[00:00:00.049 --> 00:00:00.389]  Watch it.
[00:45:22.124 --> 00:45:23.085]  Sir, that's nothing.
[00:45:23.185 --> 00:45:24.046]  Already in the U.S.
[00:45:24.086 --> 00:45:30.351]  and England, they're telling teachers they can't say mom and dad, because that will hurt children that have gay or lesbian parents.
[00:45:30.391 --> 00:45:31.292]  I appreciate your call.
[00:45:31.352 --> 00:45:32.693]  Good job, sir, with the work you've done.
[00:45:32.733 --> 00:45:33.914]  I've seen your research.
[00:45:33.954 --> 00:45:35.475]  It's part of the course, everything else I've seen.
[00:45:35.736 --> 00:45:39.239]  But he shows documents and the textbooks on screen and blows it up for you.
[00:45:40.159 --> 00:45:40.760]  Ah, good job.
[00:45:40.800 --> 00:45:44.022]  And you notice I just... I saw Beaumont put it together when he said it.
[00:45:44.042 --> 00:45:45.062]  That's how much research I do.
[00:45:45.443 --> 00:45:47.884]  See, when you find out they're killing you, you can't stop researching.
[00:45:48.364 --> 00:45:51.186]  My mind is just burning with knowledge and info and documents.
[00:45:52.107 --> 00:45:54.448]  But imagine how much easier it is just for the general public.
[00:45:54.468 --> 00:45:55.769]  They just tune in and say it's none of its crew.
[00:45:55.869 --> 00:45:56.509]  Okay, fine.
[00:45:56.869 --> 00:45:57.890]  Sodium chloride's good for you.
[00:45:57.950 --> 00:45:59.511]  It doesn't matter what's the main ingredient in rat poison.
[00:46:00.111 --> 00:46:00.752]  Just guzzle it.
[00:46:00.812 --> 00:46:01.712]  Guzzle it with pleasure.
[00:46:02.673 --> 00:46:04.954]  Okay, let's go ahead and hang another call.
[00:46:04.974 --> 00:46:05.635]  Don't listen to me.
[00:46:05.655 --> 00:46:06.635]  You've got it all figured out.
[00:46:06.675 --> 00:46:07.376]  You know how everything works.
[00:46:08.397 --> 00:46:10.238]  Let's talk to Dawn in North Carolina.
[00:46:10.258 --> 00:46:10.778]  You're on the air.
[00:46:10.858 --> 00:46:11.279]  Go ahead.
[00:46:11.939 --> 00:46:12.639]  Hello, Alex.
[00:46:12.659 --> 00:46:13.400]  You are brilliant.
[00:46:13.800 --> 00:46:14.380]  No, I'm not.
[00:46:14.760 --> 00:46:15.241]  Yes, you are.
[00:46:15.301 --> 00:46:16.021]  Listen, I'm not.
[00:46:16.061 --> 00:46:18.502]  I just would have been really brilliant, but I'm just average.
[00:46:18.522 --> 00:46:21.104]  The floor-out only knocked me down from 160 to 140.
[00:46:21.184 --> 00:46:22.785]  The second is about the debate.
[00:46:23.245 --> 00:46:28.387]  You know, we've been force-fed this idea that Hillary Rodham Clinton is the smartest woman in the world.
[00:46:28.407 --> 00:46:30.689]  Well, she is a good CIA operative.
[00:46:30.709 --> 00:46:30.949]  She is.
[00:46:30.969 --> 00:46:32.470]  She dropped the Washington, D.C.
[00:46:32.490 --> 00:46:33.130]  bar exam.
[00:46:33.510 --> 00:46:34.711]  I'm sorry, go ahead and say what you said.
[00:46:35.271 --> 00:46:36.812]  She was a good operative for the CIA, though.
[00:46:37.232 --> 00:46:43.835]  No, I said Dick Morris has reported that Hillary, the smartest woman in the world, actually flunked the D.C.
[00:46:43.875 --> 00:46:44.575]  bar exam.
[00:46:44.895 --> 00:46:46.536]  Well, Hitler flunked a lot of tests, too.
[00:46:46.556 --> 00:46:49.917]  I know, but still... I mean, she's smart at being cunning and vicious.
[00:46:49.977 --> 00:46:52.218]  He should have soared through it with flying colors.
[00:46:52.298 --> 00:46:53.639]  Second of all... Are you a liberal?
[00:46:53.659 --> 00:46:54.579]  Because it's liberal now.
[00:46:54.599 --> 00:46:56.620]  Ann Coulter's endorsed her for president.
[00:46:56.840 --> 00:46:58.301]  Are you a liberal if you don't like Hillary?
[00:46:58.901 --> 00:47:01.643]  I've had enough of these liberals!
[00:47:01.763 --> 00:47:04.525]  Americans got control and open borders!
[00:47:05.505 --> 00:47:09.488]  But the second thing is, it may be unconstitutional for a woman to be president.
[00:47:09.508 --> 00:47:13.010]  It specifically talks about, he shall hold his office.
[00:47:13.390 --> 00:47:14.511]  Okay, I just want to throw that out.
[00:47:14.551 --> 00:47:20.095]  But the second thing is, I'm really upset about the way Ron Paul was treated in the Republican debate.
[00:47:20.215 --> 00:47:22.796]  Oh, you mean cheated, given less than one-third of the time is usable?
[00:47:22.916 --> 00:47:26.959]  I don't think we can just hold Anderson Cooper and his cohorts responsible.
[00:47:27.399 --> 00:47:29.840]  Oh, let me stop you Anderson Cooper.
[00:47:30.100 --> 00:47:30.641]  Stop ma'am.
[00:47:30.661 --> 00:47:31.581]  Stop ma'am.
[00:47:31.601 --> 00:47:32.362]  Ma'am stop.
[00:47:32.662 --> 00:47:34.343]  You mentioned another known CIA operative.
[00:47:34.383 --> 00:47:36.824]  Just Google Anderson Cooper admits he was a CIA officer.
[00:47:36.904 --> 00:47:38.465]  I want to make a unique point though.
[00:47:38.825 --> 00:47:40.726]  Everybody talks about Anderson Cooper.
[00:47:40.766 --> 00:47:42.987]  They talk about Ron Paul not standing up for himself.
[00:47:43.287 --> 00:47:48.810]  But does anybody ever think about the fact that Romney, McCain sit there smirking and Huckabee.
[00:47:48.950 --> 00:47:50.711]  Nobody comes to Ron Paul's defense.
[00:47:50.951 --> 00:47:59.275]  When they jumped over Ron Paul, why didn't one of those people who sat there talking about fairness and talking about the little guy, why didn't somebody say, just wait a minute?
[00:47:59.455 --> 00:48:01.856]  No, I agree with you, ma'am, and I'm sorry to be jumping in over you.
[00:48:01.896 --> 00:48:03.997]  Anderson Cooper is another CIA operative in the media.
[00:48:04.657 --> 00:48:05.918]  And that's admitted.
[00:48:05.938 --> 00:48:08.179]  We, by the way, exposed that first, then he had to admit it.
[00:48:08.659 --> 00:48:12.681]  Most of them are CIA at that level, or Defense Intelligence or one of the other agencies.
[00:48:13.129 --> 00:48:15.212]  And they just sit up there for the government and they read a script.
[00:48:15.673 --> 00:48:23.205]  Now, Ron Paul, in every debate, has been given a third or less of the time and a third or less of the questions, on average, given to the other candidates.
[00:48:23.874 --> 00:48:24.574]  And he was cheated.
[00:48:24.594 --> 00:48:28.175]  He won first place in Louisiana, and they reported second place in national news.
[00:48:28.515 --> 00:48:30.115]  He won second place in Nevada.
[00:48:30.135 --> 00:48:31.856]  They lied and said that he didn't win any place.
[00:48:32.756 --> 00:48:34.516]  And they steal everywhere, and it's totally staged.
[00:48:34.556 --> 00:48:36.777]  And the CIA runs the big five voting machine companies.
[00:48:37.137 --> 00:48:38.917]  In the past, you had to have the ballot box in the middle.
[00:48:39.117 --> 00:48:39.977]  People came in and voted.
[00:48:39.997 --> 00:48:40.678]  Everybody watched it.
[00:48:40.698 --> 00:48:42.218]  The precinct counted it in front of witnesses.
[00:48:42.538 --> 00:48:43.418]  Now they say it's secret.
[00:48:43.458 --> 00:48:44.158]  You can't look at it.
[00:48:44.498 --> 00:48:47.499]  And magically, the polls aren't accurate anymore because it's all staged.
[00:48:48.948 --> 00:48:51.190]  You say, well, Alex, then why are you still for voting?
[00:48:51.230 --> 00:48:52.451]  Because we're going to prove it's a fraud.
[00:48:52.671 --> 00:49:01.318]  We financed, helped finance the recount in New Hampshire, and Bev Harris, who produced the HBO documentary, Hacking Democracy, has gone public saying it's, quote, a criminal enterprise and was staged.
[00:49:01.938 --> 00:49:02.138]  See?
[00:49:02.198 --> 00:49:05.441]  And now 85% of Americans in major polls know the elections are staged.
[00:49:05.741 --> 00:49:06.802]  We're going to go on doing that.
[00:49:07.663 --> 00:49:10.285]  We can't just let them steal the election and not engage them or expose them.
[00:49:11.426 --> 00:49:12.907]  Oh, thank you very much for the call.
[00:49:14.128 --> 00:49:17.430]  Let's go ahead and talk to Andrew in California.
[00:49:17.470 --> 00:49:18.031]  You're on the air.
[00:49:19.924 --> 00:49:20.244]  Andrew!
[00:49:21.005 --> 00:49:21.305]  Hello?
[00:49:21.465 --> 00:49:22.446]  Yes, you're on the air.
[00:49:23.006 --> 00:49:23.486]  Alright.
[00:49:24.067 --> 00:49:25.467]  Have you heard of Paul Lafley?
[00:49:25.848 --> 00:49:26.088]  Yes.
[00:49:27.068 --> 00:49:28.489]  And, uh, the World Trade Center thing.
[00:49:28.529 --> 00:49:31.391]  Oh, I just wanted to know if you were familiar with that guy.
[00:49:31.751 --> 00:49:38.695]  But anyways, he has some good, uh, good info with that 9-11 thing that's just, you know, pretty much it's just all bullshit.
[00:49:39.056 --> 00:49:39.496]  But anyways,
[00:49:44.745 --> 00:49:48.627]  All righty, let's go ahead and take another call.
[00:49:48.667 --> 00:49:52.089]  Let's go ahead and talk to Russell in Austin.
[00:49:52.489 --> 00:49:53.589]  Russell, you're on the air.
[00:49:53.609 --> 00:50:01.653]  Hey, Paul, if you were talking about buying land, what you would be looking for, like where, I guess, and what?
[00:50:02.334 --> 00:50:04.375]  Well, I'm not saying buy land.
[00:50:04.495 --> 00:50:05.575]  I'm saying I've done that.
[00:50:06.116 --> 00:50:13.039]  And I mean, I have a family property I can go to and I have a little thing out in the German Hill Country outside Austin in case I have to.
[00:50:15.590 --> 00:50:17.450]  I mean, here's the bottom line.
[00:50:17.731 --> 00:50:25.914]  We were more than 80% agrarian, that is farmers, rural in the Great Depression, and a lot of people still start.
[00:50:26.854 --> 00:50:27.594]  Now we are 90%
[00:50:29.739 --> 00:50:36.083]  Urban living in cities, and of the rural community, 4 or 5 percent, depending on the study you look at, actually could sustain themselves.
[00:50:36.123 --> 00:50:40.125]  So, 4 to 5 percent of the population can take care of themselves.
[00:50:40.525 --> 00:50:42.246]  If things collapsed, what would happen?
[00:50:42.286 --> 00:50:53.693]  Well, you'll have lots of super domes like New Orleans, and for four days with the food stacked up and the head of emergency management out of one of the parishes following orders and not getting his mother out of a nursing home until she died five days later.
[00:50:53.993 --> 00:50:56.374]  I mean, these cops will follow orders while their mama dies in a nursing home.
[00:50:56.394 --> 00:50:57.015]  They'll stand down.
[00:50:57.395 --> 00:50:58.256]  They will follow orders.
[00:50:58.276 --> 00:50:59.016]  They've been brainwashed.
[00:50:59.978 --> 00:51:11.320]  And so if we had 90% able to take care of themselves and they barely made it, what's going to happen if there's a collapse and 95% can't take care of themselves?
[00:51:11.741 --> 00:51:14.161]  I'm saying you've got to have food, have water.
[00:51:14.761 --> 00:51:15.661]  The government does that.
[00:51:15.681 --> 00:51:16.462]  They build bunkers.
[00:51:16.502 --> 00:51:17.702]  The elite, the rich all have it.
[00:51:17.722 --> 00:51:18.642]  They're all leaving the country.
[00:51:18.922 --> 00:51:27.744]  But they tell you it's kooky if you have more than a day of food and just worship black ski masks, worship inoculations, worship fluoride, worship government.
[00:51:27.784 --> 00:51:28.244]  Anything else?
[00:51:29.820 --> 00:51:31.061]  I guess that's it for now, thanks.
[00:51:31.161 --> 00:51:33.963]  Thank you so much, and don't listen to me, folks.
[00:51:34.924 --> 00:51:39.287]  I can just quote legislation bills, the Bill of Rights, I just study this stuff 15, 16 hours a day.
[00:51:40.528 --> 00:51:42.990]  Oh, don't listen to me, listen to all the guppies!
[00:51:43.810 --> 00:51:47.853]  Who told you not to buy gold when it was $300 an ounce and it's now $9.30!
[00:51:48.734 --> 00:51:49.734]  Don't listen to me!
[00:51:49.754 --> 00:51:55.058]  We'll be right- It's no secret that Genesis Communications Network depends on listeners like you.
[00:51:55.158 --> 00:51:56.459]  Now you can do even more to your
[00:51:59.209 --> 00:52:01.751]  Are your Federal Reserve notes looking for a safe haven?
[00:52:01.771 --> 00:52:04.613]  Mine found it in precious metals.
[00:52:27.125 --> 00:52:30.287]  Not paper promises, but actual gold in my possession.
[00:52:30.948 --> 00:52:37.413]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[00:52:38.193 --> 00:52:40.415]  Find your answer at Midas Resources.
[00:52:40.775 --> 00:52:41.015]  That's 1-800-686-2237.
[00:52:41.035 --> 00:52:41.516]  The answer is at 1-800-686-2237.
[00:53:04.493 --> 00:53:05.834]  He stands for truth.
[00:53:07.255 --> 00:53:09.116]  He stands for justice.
[00:53:10.457 --> 00:53:12.078]  He stands for what's right.
[00:53:12.418 --> 00:53:15.260]  This is the Alex Jones Show.
[00:53:16.240 --> 00:53:19.222]  Call Alex now, toll free at 877-590-5525.
[00:53:19.322 --> 00:53:21.704]  Now live from Austin, Texas.
[00:53:27.755 --> 00:53:29.519]  Come here, Alex Jones.
[00:53:30.742 --> 00:53:32.246]  It is Super Bowl Sunday.
[00:53:32.346 --> 00:53:33.749]  We are live.
[00:53:33.769 --> 00:53:35.634]  It's about 10 minutes to kickoff here.
[00:53:36.960 --> 00:53:38.321]  And this game is what matters.
[00:53:38.381 --> 00:53:45.888]  The imploding economy, the global central banks openly doing this by design to create a depression, and you being homeless on the street.
[00:53:45.948 --> 00:53:46.669]  That doesn't matter.
[00:53:47.069 --> 00:53:48.931]  The game is what matters, ladies and gentlemen.
[00:53:48.951 --> 00:53:50.993]  You've been trained like that, and that's good.
[00:53:51.013 --> 00:53:53.675]  We need to be slaves here in this nation.
[00:53:53.695 --> 00:53:55.677]  So I'm glad you're not listening to the show today.
[00:53:55.697 --> 00:53:59.180]  I'm glad you're watching the Pats and the New York Giants, that.
[00:54:00.660 --> 00:54:02.121]  It's what our country needs.
[00:54:02.161 --> 00:54:06.522]  Keep drinking the sodium fluoride, rotting holes in your brain, by design, openly in government documents.
[00:54:07.483 --> 00:54:09.643]  It is a wonderful, beautiful thing.
[00:54:10.324 --> 00:54:14.045]  And it's a wonderful, beautiful thing that bioethicists under eugenics in the U.S.
[00:54:14.085 --> 00:54:19.147]  and England, all the way out to Australia, are talking about not giving treatment to old people because they need to go ahead and die.
[00:54:19.667 --> 00:54:20.948]  That's not an important issue.
[00:54:21.668 --> 00:54:24.189]  We should talk about the patriots again, ladies and gentlemen, and we will.
[00:54:24.975 --> 00:54:26.576]  Alright, I'm going to stop being sarcastic.
[00:54:26.996 --> 00:54:31.278]  The globalists are great pitch men, and they know how to institutionalize the fake war on terror.
[00:54:31.578 --> 00:54:44.583]  They have 10% of the college graduates having their scholarships paid for to go be spies, thugs, secret police, to shift the economy over where the military industrial complex is actually going to own the nation.
[00:54:45.943 --> 00:54:47.644]  And they do the same thing with the environmental movement.
[00:54:48.664 --> 00:54:56.550]  It's good to not have poison water and air, and so they sell you on it, and they also institutionalize it where you can make money in the clean movement.
[00:54:57.170 --> 00:55:08.138]  But then meanwhile, the government allows the big companies to have open-air testing of genetically engineered crops that are spreading, causing super bad problems, toxic waste dumping in the ocean, cutting down the rainforest.
[00:55:08.478 --> 00:55:15.483]  All the real environmental degradation is accelerating while they train us that we shouldn't have more than one child for the one-child policy in the U.S.
[00:55:15.843 --> 00:55:17.124]  now being proposed and pushed.
[00:55:17.820 --> 00:55:20.403]  Uh, that we shouldn't give old people treatment because there's too many humans.
[00:55:20.463 --> 00:55:23.026]  Once you decide that, everybody knows there's too many people.
[00:55:23.226 --> 00:55:25.048]  Okay, well then you, you know, you die first.
[00:55:26.911 --> 00:55:29.714]  After they sell us on these ideas...
[00:55:31.738 --> 00:55:42.961]  Then they've set the precedent that humans are bad, the government's going to deal with this threat, war on humanity, a global tax, regional taxes on carbon, on carbon dioxide that humans exhale, that plants breathe.
[00:55:43.241 --> 00:55:51.123]  That's the big toxic waste threat, not all the real genetic engineering toxic waste and all the things that are actually happening.
[00:55:51.383 --> 00:55:55.844]  So in this stack, I had a few stories that just came out this last week that I thought we'd go over.
[00:55:56.124 --> 00:55:58.445]  Don't treat the old and unhealthy, say doctors.
[00:55:59.345 --> 00:55:59.945]  Why should?
[00:56:02.266 --> 00:56:04.547]  We pay for smokers' health care.
[00:56:04.587 --> 00:56:08.468]  See, once they socialize, then we're all in a big pot and the government's going to decide.
[00:56:08.868 --> 00:56:13.729]  Mississippi politicians seek to ban fats.
[00:56:13.909 --> 00:56:15.050]  This is from the Smoking Gun.
[00:56:15.930 --> 00:56:16.950]  We have the bill here.
[00:56:17.050 --> 00:56:24.652]  It says that state licensed restaurants, which they all are, now it's just don't have a clean restaurant or don't serve alcohol to minors.
[00:56:25.232 --> 00:56:27.693]  Now it's don't serve to people that are fat.
[00:56:27.733 --> 00:56:30.134]  See, everybody's a secret police member for the government.
[00:56:30.154 --> 00:56:30.614]  They have all these
[00:56:31.451 --> 00:56:35.416]  Reasons that sound reasonable, but it's all about control.
[00:56:35.536 --> 00:56:39.641]  Once they sell you on what type of light bulb you can have or what type of toilet you can have or...
[00:56:40.526 --> 00:56:42.727]  They're going to tax you if you have more than one child.
[00:56:42.988 --> 00:56:48.051]  Once they do that, then they can expand it when that president is set.
[00:56:48.071 --> 00:56:49.212]  So we'll be going over that.
[00:56:49.692 --> 00:56:54.135]  Also, Bill Clinton said, quote, we just have to slow down our economy to fight global warming.
[00:56:54.515 --> 00:56:55.576]  We have to be serfs.
[00:56:55.656 --> 00:57:02.060]  We have to be pauperized to be able to cure the threat of global warming.
[00:57:02.460 --> 00:57:05.042]  That is, of course, naturally occurring, and thank God it is, because
[00:57:05.481 --> 00:57:08.726]  That boosts the load of life that can live on the planet.
[00:57:09.047 --> 00:57:12.072]  Some good news, Wesley Snipes cleared of serious tax charges.
[00:57:13.044 --> 00:57:19.610]  We'll be going into some of that and some bad Second Amendment news and good Second Amendment news today.
[00:57:19.690 --> 00:57:21.231]  Right now, let's get through some more of your calls.
[00:57:21.251 --> 00:57:36.464]  I'm going to come back and get into the eugenic society, what you're really living in, what you really face, and how you're all going to have more government bureaucrats and social workers literally ordering you around and telling you how to go to the bathroom, basically.
[00:57:37.384 --> 00:57:41.966]  Let's go ahead and take a call from Al in Australia.
[00:57:42.406 --> 00:57:43.867]  You are welcome to the airwave, sir.
[00:57:45.487 --> 00:57:45.707]  Alex?
[00:57:45.968 --> 00:57:46.268]  Yes, sir.
[00:57:47.688 --> 00:57:49.789]  I just want to let you know some good news.
[00:57:49.829 --> 00:57:58.032]  We've got a 9-11 troop coming to Australia from March the 14th to the 16th with some high-profile speakers.
[00:57:58.512 --> 00:57:58.692]  Good.
[00:57:58.732 --> 00:57:59.953]  What time is it in Australia?
[00:58:01.754 --> 00:58:02.274]  Right now?
[00:58:03.648 --> 00:58:05.169]  Uh, eleven past ten in the morning.
[00:58:05.569 --> 00:58:07.390]  Oh, so it's an early morning show for you.
[00:58:07.410 --> 00:58:11.651]  Well, I've been up all night painting banners for it.
[00:58:12.032 --> 00:58:12.432]  Oh, good.
[00:58:12.472 --> 00:58:15.493]  So tell me who's coming to, uh, The Land Down Under.
[00:58:15.513 --> 00:58:18.094]  Uh, Professor Stephen Jones.
[00:58:18.114 --> 00:58:20.015]  These are the confirmed speakers so far.
[00:58:20.555 --> 00:58:32.860]  Uh, Lieutenant Colonel Bob Bowman, Jedwood Griffin, Barry Zwicker, Dave Von Christ, Dr. Frank Legg, Dr. David Leifer, Ian Woods, and Cosmos
[00:58:33.897 --> 00:58:35.237]  Where are they going to travel around?
[00:58:35.257 --> 00:58:42.479]  That's just in Sydney for three days at the Powerhouse Museum right down the center of the city.
[00:58:42.959 --> 00:58:43.900]  Is it going to be a big event?
[00:58:45.240 --> 00:58:46.520]  Well, I hope so, yeah.
[00:58:47.061 --> 00:58:57.283]  It's the first big one here that we've done, so it's a done sort of... Hey, on another issue, I've got reports that your central bank's got serious inflation starting there, just like we have here.
[00:58:57.303 --> 00:59:03.065]  Yeah, they're talking about raising it a point or something in the next few days.
[00:59:04.446 --> 00:59:06.466]  What, rising the interest rate to try to drive down inflation?
[00:59:07.547 --> 00:59:07.887]  Yeah.
[00:59:08.067 --> 00:59:09.207]  Why not be like the U.S.?
[00:59:09.247 --> 00:59:13.107]  Why not cut it by 125 basis points and implode the economy?
[00:59:15.448 --> 00:59:18.268]  And our dollars are not worth anything anyway.
[00:59:18.488 --> 00:59:23.629]  Yeah, so I wanted to talk to you, Alex.
[00:59:23.769 --> 00:59:25.990]  I've been listening to you for about three years.
[00:59:27.270 --> 00:59:31.251]  Got woken up by Dave on Christ and then followed it up with your stuff.
[00:59:31.271 --> 00:59:33.451]  And yeah, I really appreciate the work you do.
[00:59:35.205 --> 00:59:36.286]  Well, God bless you, my friend.
[00:59:36.326 --> 00:59:38.667]  Good to hear from you from Sydney, Australia.
[00:59:39.188 --> 00:59:42.430]  Let's go ahead now and talk to Chris N. St.
[00:59:42.850 --> 00:59:43.311]  Louis.
[00:59:43.791 --> 00:59:44.712]  You're on the air.
[00:59:44.772 --> 00:59:45.392]  Go ahead, Chris.
[00:59:46.273 --> 00:59:48.454]  Alex, thank you so much, listeners, since day one.
[00:59:49.835 --> 00:59:55.459]  What I was going to point out was there was a PBS special in the past week about lobotomies.
[00:59:55.879 --> 00:59:56.600]  And how they're good.
[00:59:56.620 --> 00:59:58.081]  Oh, they're fantastic.
[00:59:58.101 --> 00:59:59.962]  We all need them.
[01:00:00.622 --> 01:00:02.223]  Maybe at birth we can all be given them.
[01:00:02.243 --> 01:00:04.265]  Or you're with Al-Qaeda.
[01:00:06.061 --> 01:00:11.163]  They were giving them up until 1960, and the creator of them actually had a... Yeah, he was a psychopath.
[01:00:11.203 --> 01:00:17.105]  I've seen film footage of him in the 40s taking an ice pick into a child's head and just jabbing holes in their brain.
[01:00:17.145 --> 01:00:17.825]  Fantastic.
[01:00:18.665 --> 01:00:20.206]  Oh, were they showing that and saying it was good?
[01:00:21.666 --> 01:00:23.947]  Alex, what else was I going to say?
[01:00:24.027 --> 01:00:27.428]  Oh, even among the people in the truth movement, I'm finding I'm 28 years old.
[01:00:27.448 --> 01:00:29.249]  I've been talking about gold since it was 320.
[01:00:29.549 --> 01:00:31.350]  If you had a lobotomy, you wouldn't think gold was good.
[01:00:33.854 --> 01:00:34.854]  What's wrong with you, sir?
[01:00:34.955 --> 01:00:36.155]  Poison is good in your water.
[01:00:36.395 --> 01:00:37.236]  Lobotomies are good.
[01:00:38.016 --> 01:00:48.020]  Well, what I'm going to say is, even among the people in the truth movement, I find a lot of people still have been affected negatively by fluoride, I assume, and chemtrails and who knows what else.
[01:00:48.481 --> 01:00:51.822]  Most people just touch the surface and can't get to greater issues.
[01:00:51.882 --> 01:00:53.363]  Yeah, most people don't have critical thinking.
[01:00:53.383 --> 01:00:55.904]  They've been brain damaged with a mass chemical lobotomy.
[01:00:56.724 --> 01:01:02.127]  Yeah, I mean, like the guy in your in-game video, Crawford, I can't remember what his name was, he said,
[01:01:02.574 --> 01:01:07.256]  They're not after money, they're after power, and even people in the truth movement still can't understand it.
[01:01:07.296 --> 01:01:14.220]  The elite openly said with eugenics that we are going to dumb down the mass to make them more easily controlled by putting chemicals in the water.
[01:01:14.840 --> 01:01:17.121]  I mean, that's their own documents.
[01:01:17.461 --> 01:01:18.162]  Sign me up first.
[01:01:18.302 --> 01:01:19.122]  I want extra chemicals.
[01:01:19.162 --> 01:01:19.542]  How about you?
[01:01:20.303 --> 01:01:22.724]  Well, if you don't take them, sir, it shows you're with Al-Qaeda.
[01:01:23.404 --> 01:01:26.786]  I really think, sir, that you do need more sodium fluoride.
[01:01:28.143 --> 01:01:30.264]  I mean, you know, how dare you?
[01:01:30.844 --> 01:01:33.264]  How dare you attack America?
[01:01:33.284 --> 01:01:36.165]  How dare you, boy?
[01:01:36.185 --> 01:01:40.326]  If you're a good Republican, you're going to support Hillary.
[01:01:40.987 --> 01:01:42.907]  How many years did I tell you that was going to happen?
[01:01:43.107 --> 01:01:45.488]  Hillary Clinton has been endorsed by Ann Coulter.
[01:01:45.508 --> 01:01:46.848]  She says she's our girl.
[01:01:47.548 --> 01:01:48.749]  Hillary is our girl.
[01:01:48.789 --> 01:01:49.349]  That's a quote.
[01:01:49.989 --> 01:01:51.109]  Our girl.
[01:01:51.849 --> 01:01:56.671]  We'll destroy your dollar, destroy your future, poison you, and then go have you fight with some Muslims.
[01:01:56.691 --> 01:01:57.431]  They're the threat.
[01:01:58.129 --> 01:02:02.412]  Not the government surveillance, not the government taxes, not the regulation, not the social workers.
[01:02:03.692 --> 01:02:06.734]  Look, in-game blueprint for global enslavement getting serious.
[01:02:07.094 --> 01:02:20.582]  Shows in their own documents, their own film, their own admissions, where the scientific elite got hired a hundred years ago by the big banks, have done everybody down, propaganda, brainwashing, poisoning you, and I'm sorry that the reality is so incredible.
[01:02:21.503 --> 01:02:27.324]  But, a lot of you that play it safe and think you're members of the establishment, you better take action now or you have no future.
[01:02:27.344 --> 01:02:28.264]  That's the only hope we've got.
[01:02:28.284 --> 01:02:35.966]  And there's a lot of good old boys who think you're part of the system, or you know I'm telling the truth, and you say, yeah, I'm just gonna stay out of it all.
[01:02:36.146 --> 01:02:37.666]  You're in it whether you know it or not.
[01:02:38.566 --> 01:02:39.487]  But I know I'm a kook.
[01:02:39.507 --> 01:02:44.328]  Just give your child the mercury shot, and just go ahead and give them lots of tap water.
[01:02:44.368 --> 01:02:44.608]  Okay?
[01:02:44.628 --> 01:02:46.068]  We'll be right back.
[01:02:52.518 --> 01:02:53.919]  It is a big idea.
[01:02:53.939 --> 01:02:56.061]  A new world order.
[01:02:56.761 --> 01:03:01.045]  In the near future, Earth is dominated by a powerful new government.
[01:03:01.665 --> 01:03:03.427]  It's known as the Bilderberg.
[01:03:04.488 --> 01:03:06.729]  Could their objective be world domination?
[01:03:07.270 --> 01:03:09.672]  For thousands of years, their dark order grew.
[01:03:10.447 --> 01:03:17.953]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:03:20.795 --> 01:03:25.759]  For the first time in history, the elite's plan for world government is blown wide open.
[01:03:26.259 --> 01:03:29.703]  You will learn the secret that drives the entire New World Order agenda.
[01:03:30.103 --> 01:03:32.625]  Bill Burgess makes great progress toward a world government.
[01:03:32.665 --> 01:03:33.646]  Most people have no idea.
[01:03:33.666 --> 01:03:34.607]  They're not after money.
[01:03:34.627 --> 01:03:35.688]  They have all the money they need.
[01:03:35.908 --> 01:03:36.629]  They're after power.
[01:03:36.889 --> 01:03:37.910]  That's what they're after, you see.
[01:03:38.030 --> 01:03:46.218]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[01:03:46.338 --> 01:03:49.120]  Endgame, blueprint for global enslavement.
[01:03:49.541 --> 01:03:50.582]  You have been warned.
[01:03:51.218 --> 01:03:52.219]  Hello, Ted Anderson.
[01:03:52.299 --> 01:03:57.065]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[01:03:57.225 --> 01:04:05.035]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[01:04:05.315 --> 01:04:10.642]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[01:04:10.862 --> 01:04:17.886]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[01:04:18.146 --> 01:04:23.489]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[01:04:23.749 --> 01:04:28.472]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[01:04:28.812 --> 01:04:36.396]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[01:04:36.756 --> 01:04:43.004]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[01:04:43.305 --> 01:04:44.506]  For more information, call 1-800-686-2237.
[01:04:44.646 --> 01:04:44.947]  That's 1-800-686-2237.
[01:04:44.967 --> 01:04:45.507]  Hi, neighbor.
[01:04:55.678 --> 01:04:57.378]  We all know that knowledge is power.
[01:04:57.819 --> 01:05:00.919]  We've tried to give you knowledge to help you prepare for rough times.
[01:05:01.539 --> 01:05:06.221]  There's the worldwide famine and our country's dependence on often dangerous food imports.
[01:05:06.861 --> 01:05:08.841]  You know about genetically poisoned food.
[01:05:09.361 --> 01:05:14.963]  Two-thirds of the food is disappearing with the bees along with huge crop failures from all-time record water shortages.
