[00:00:00.089 --> 00:00:00.549]  So much more.
[01:17:06.398 --> 01:17:09.619]  So we're suppressed down in our caveman technology down here.
[01:17:09.879 --> 01:17:12.720]  If you want to find out what's going on, you can only progress to here.
[01:17:13.801 --> 01:17:17.442]  The American Idol crowd is even down here below what the technological threshold is.
[01:17:17.922 --> 01:17:18.702]  The football crowd.
[01:17:21.730 --> 01:17:23.331]  God knows even what the reality is.
[01:17:23.391 --> 01:17:24.692]  It could be Matrix-like.
[01:17:25.312 --> 01:17:40.523]  Because the military says in a 1992 document, declassified in January 7, 2000, that the main military job is converting the entire economy under a New World Order grid
[01:17:41.263 --> 01:18:08.171]  With implantable chips, face scanning to buy and sell, phasing us in through fads and through being able to have jobs as a requirement that we'll all have brain chips and because of the pleasure center induction, we will all then be warehoused, kind of like they have in Tokyo and German tour buses where you sleep in like a coffin that just comes out of the wall, that we will all acquiesce to have our pleasure center stimulated to be put into those and then we'll be allowed to live and work and die in cyberspace
[01:18:08.891 --> 01:18:11.532]  Hooked in, but that we won't be able to breed.
[01:18:11.832 --> 01:18:20.415]  While the elite run around flying around in their spaceships and enjoying themselves and life extension and playing God, we'll think we've been given freedom in the false reality of the Matrix.
[01:18:20.796 --> 01:18:23.357]  See, the Matrix is a Pentagon operation.
[01:18:23.757 --> 01:18:36.902]  I'm not saying the Wachowski brothers are evil, they may have been given the info, but what is in the Matrix 1999, and I know Keanu Reeves by the way, I've been in a film with him, everybody knows that, but the point is that this is an extrapolation of what they're really planning to do.
[01:18:37.882 --> 01:18:42.623]  Now, I don't know if in 2024 they're going to take me and insert me into the bay.
[01:18:43.163 --> 01:19:02.207]  But if they ever get you one time on that pleasure center, they had rats 40 years ago, other mammals, pigeons, you know, that the ornithologists were working with, where they hook them in with just a primitive wire into the pleasure center, and a monkey, a primate, a bird, a pig, they will just sit there
[01:19:03.123 --> 01:19:03.383]  We're good.
[01:19:19.403 --> 01:19:26.168]  Aldous Huxley, brother of the UN head of the eugenics program, also the head of world eugenics and the founder of transhumanism.
[01:19:26.888 --> 01:19:28.649]  He gave a speech before he died at Berkeley.
[01:19:28.669 --> 01:19:29.330]  You can go listen to it.
[01:19:29.370 --> 01:19:30.871]  Clips of it are in Endgame.
[01:19:31.391 --> 01:19:35.374]  And he said, look, I learned all this from actual globalist plans in 1930 when I wrote this in 1933.
[01:19:35.414 --> 01:19:37.675]  That's why Brave New World's all coming true.
[01:19:38.076 --> 01:19:45.581]  And he said, you know, in the 1950s, 60s, I visited people already under remote control with their pleasure centers in Britain.
[01:19:46.468 --> 01:19:49.170]  And now they've declassified all that, but he was shooting his mouth off.
[01:19:49.190 --> 01:19:49.990]  They probably killed him.
[01:19:50.010 --> 01:19:53.973]  He died two months later, unexpectedly, for shooting his mouth off, bragging a little bit too much.
[01:19:54.653 --> 01:19:56.154]  But this is what you face.
[01:19:56.214 --> 01:19:57.495]  Okay, I said I was going to end the show.
[01:19:57.515 --> 01:19:59.916]  I've got a lot of work to do, but we've got loaded phone lines.
[01:19:59.956 --> 01:20:00.677]  Who was I talking to?
[01:20:00.697 --> 01:20:03.759]  Who was that last caller?
[01:20:04.479 --> 01:20:06.981]  Does that answer your question, Evian?
[01:20:07.671 --> 01:20:10.113]  Oh, that was a fantastic outline of that metaphor, sir.
[01:20:10.333 --> 01:20:11.594]  That was very in-depth.
[01:20:11.614 --> 01:20:12.134]  Thank you very much.
[01:20:12.214 --> 01:20:13.315]  I just got one more thing for you.
[01:20:13.755 --> 01:20:17.757]  Oliver North is coming to In and Around My Town at the end of this month.
[01:20:17.777 --> 01:20:20.099]  Is there any question you would like me to ask him for you?
[01:20:21.590 --> 01:20:23.011]  I think we've had Oliver North on the shoot.
[01:20:23.171 --> 01:20:23.891]  Oh, that's an idea.
[01:20:23.931 --> 01:20:25.392]  Get Oliver North back on.
[01:20:25.672 --> 01:20:27.293]  Oliver North.
[01:20:27.473 --> 01:20:27.954]  Who's the other guy?
[01:20:27.974 --> 01:20:28.274]  He's out.
[01:20:28.294 --> 01:20:29.895]  He's got a book out called Heroes right now.
[01:20:29.915 --> 01:20:33.877]  He's on a book tour going around talking about being heroes, I suppose.
[01:20:34.137 --> 01:20:35.078]  Hey, who was the other guy?
[01:20:35.118 --> 01:20:36.398]  I've already lost a piece of paper.
[01:20:36.779 --> 01:20:37.859]  Oh, Charles Carlson.
[01:20:38.320 --> 01:20:39.180]  Okay, I'm getting these.
[01:20:39.220 --> 01:20:39.880]  Oliver North.
[01:20:40.741 --> 01:20:45.224]  I would... Oh, I have an interview in ten minutes.
[01:20:45.244 --> 01:20:45.704]  Okay.
[01:20:47.335 --> 01:20:48.496]  Oh, we can simulcast it.
[01:20:49.136 --> 01:20:49.836]  That's an idea.
[01:20:49.856 --> 01:20:50.957]  Have them call here.
[01:20:51.417 --> 01:20:53.138]  Isn't it Southwest Radio Church?
[01:20:53.898 --> 01:20:54.659]  That is huge.
[01:20:55.139 --> 01:20:58.020]  Okay, for listeners in overdrive, I'm going to have to let them control the interview.
[01:20:58.421 --> 01:21:03.723]  Make sure it's okay with them that I do that, and if not, I'll just end in ten minutes.
[01:21:03.743 --> 01:21:06.685]  Just want them to know I'm doing an internet simulcast for presentplanet.tv.
[01:21:07.225 --> 01:21:12.168]  You know, the best way to describe it to them so it's simple, so they don't... It's just that I'm doing... I'm going to record this and put it on the web.
[01:21:12.793 --> 01:21:13.294]  Is it okay?
[01:21:13.614 --> 01:21:14.695]  Okay, that's what we'll tell them.
[01:21:14.955 --> 01:21:17.258]  Tell them I just want to put the interview myself on the web.
[01:21:17.718 --> 01:21:19.340]  And if they don't want to do it, that's fine.
[01:21:19.400 --> 01:21:19.941]  We won't do it.
[01:21:21.983 --> 01:21:23.024]  Okay, thank you for the call.
[01:21:23.044 --> 01:21:24.366]  Oh, you were asking about Oliver North.
[01:21:24.706 --> 01:21:25.807]  What should I do with Oliver North?
[01:21:25.907 --> 01:21:26.488]  Or what should you do?
[01:21:28.614 --> 01:21:42.505]  I saw him talking about Reverend Wright and how he inspires terrorism in America and that was very interesting just because he brought me to Leonard Horowitz, who you also had on your show, and I find his writings and his documentaries and it's very intriguing information.
[01:21:42.545 --> 01:21:42.965]  Now I hear you.
[01:21:42.985 --> 01:21:44.046]  Let me try to answer that question.
[01:21:44.066 --> 01:21:44.686]  I'm trying to think.
[01:21:45.667 --> 01:21:47.528]  I don't want to think quickly and give you a bad answer.
[01:21:48.289 --> 01:21:50.631]  All the time we are changed calls me and says, what should we say to this person?
[01:21:50.651 --> 01:21:51.491]  What should we say to that person?
[01:21:51.571 --> 01:21:54.093]  A lot of times the questions you hear are ones I gave them.
[01:21:54.433 --> 01:21:55.093]  They're great folks.
[01:21:55.614 --> 01:21:56.314]  I don't know.
[01:21:57.155 --> 01:21:58.976]  Everybody defers to me for questions.
[01:21:59.016 --> 01:22:03.579]  But you could always ask him about CIA narcotics trafficking.
[01:22:03.899 --> 01:22:10.164]  And when he denies it, say, but the CIA solicitor general, inspector general, said in congressional hearings that the government was involved.
[01:22:10.724 --> 01:22:14.887]  You could talk to him about Rex 84 and his concentration camp program that's now been made public.
[01:22:16.188 --> 01:22:18.189]  So, how many Americans do they want to put in camps?
[01:22:18.250 --> 01:22:20.031]  Why is he doing this to America?
[01:22:20.391 --> 01:22:21.252]  He swore an oath to it.
[01:22:21.272 --> 01:22:22.093]  I appreciate your call.
[01:22:22.133 --> 01:22:23.214]  Just whatever you think.
[01:22:23.254 --> 01:22:24.135]  You sound like a smart guy.
[01:22:24.155 --> 01:22:26.757]  Okay, now we've got to race in case they don't want to simulcast.
[01:22:26.777 --> 01:22:28.679]  Well, even if they want to simulcast, I've got to let the callers go.
[01:22:31.901 --> 01:22:33.383]  Haley in California, go ahead.
[01:22:34.434 --> 01:22:34.694]  Hello.
[01:22:35.055 --> 01:22:35.655]  Hey, how you doing?
[01:22:35.915 --> 01:22:36.696]  Alright, how you doing?
[01:22:36.896 --> 01:22:37.116]  Good.
[01:22:37.657 --> 01:22:41.920]  Um, listen, I have a real problem with the whole, like, religion factor.
[01:22:42.541 --> 01:22:49.987]  I mean, that is one of the main things that have gotten the country into, you know, brainwashed into believing all these things.
[01:22:50.027 --> 01:22:53.169]  I mean, we're the only creature on this planet that really has
[01:22:54.671 --> 01:22:57.093]  The need to fight over something we don't know.
[01:22:57.313 --> 01:23:00.276]  Well, I mean, there's... well, it's philosophies, too, is really what it comes down to.
[01:23:00.356 --> 01:23:01.257]  Yeah, basically.
[01:23:01.417 --> 01:23:04.800]  But, I mean, they also... so, even if you are an atheist, it still has value.
[01:23:04.840 --> 01:23:05.560]  It's your philosophy.
[01:23:06.441 --> 01:23:08.523]  And that tends to be a religious view.
[01:23:08.563 --> 01:23:14.368]  It is true that the infighting amongst the religions and subgroups is used to control us, and that really needs to stop.
[01:23:14.668 --> 01:23:15.489]  Yeah, yeah.
[01:23:16.149 --> 01:23:33.264]  And, like, with the whole genetic engineering, with their, with the whole, like, uh, what was it, that ship, the boat, uh, Jonah, Jonah Ark, or whatever the hell that was, or whatever that was, that's, like, genetic engineering is basically the only way that they could have fit every creature on that boat.
[01:23:34.989 --> 01:23:36.789]  Well, it's funny you say that.
[01:23:36.829 --> 01:23:39.950]  Genesis actually has a lot of stuff about genetic engineering in it.
[01:23:40.510 --> 01:23:41.090]  Very interesting.
[01:23:41.531 --> 01:23:49.752]  I mean, because there's no way they could have fit all, you know, they would have needed to have two of every creature to reproduce, you know.
[01:23:50.353 --> 01:23:53.133]  And three carpetbaggers on board.
[01:23:53.153 --> 01:23:56.634]  Yeah, and enough food to keep all those creatures alive.
[01:23:58.559 --> 01:23:58.999]  I hear you.
[01:23:59.079 --> 01:24:01.520]  I appreciate your call, and I am tired of all the infighting.
[01:24:01.560 --> 01:24:02.641]  I really appreciate your call.
[01:24:02.721 --> 01:24:03.841]  I want to talk to you longer, Haley.
[01:24:03.861 --> 01:24:05.542]  You held so long, but I'm having to move fast.
[01:24:06.022 --> 01:24:07.222]  Alex in New York, go ahead.
[01:24:08.643 --> 01:24:10.524]  Adon, you know, it's funny.
[01:24:10.564 --> 01:24:11.964]  You were talking about Atlas Huxley.
[01:24:11.984 --> 01:24:13.525]  That's exactly what I'm calling in about.
[01:24:13.545 --> 01:24:17.446]  The speech you're referring to at the Berkeley Language Center.
[01:24:17.506 --> 01:24:20.948]  Have you listened to the question and answer time after?
[01:24:21.168 --> 01:24:21.388]  Yes.
[01:24:22.372 --> 01:24:38.041]  Now, I was very conflicted about Alice Huxley because I've gotten into researching eugenics a lot, like I've been reading books like War Against the Weak by Edwin Black, the guy who had all the access to the confidential Rockefeller and Carnegie Foundation documents.
[01:24:38.061 --> 01:24:41.183]  Yeah, it's exactly about how they ran the operation.
[01:24:41.203 --> 01:24:42.083]  Right, yeah.
[01:24:42.964 --> 01:24:48.147]  So now, I was looking at Alice Huxley, and you know, of course, with him being part of the elite structure with this
[01:24:48.627 --> 01:24:49.688]  Grandfather T.H.
[01:24:49.748 --> 01:24:52.509]  Huxley and his brother Julian Huxley founding UNESCO and all that.
[01:24:53.350 --> 01:25:04.335]  I figured he must be part of that power structure, but then apparently it looks like he went through some sort of psychological change around 1929 to 1933 and then after that wrote Brave New World.
[01:25:08.957 --> 01:25:18.707]  So I was wondering if you had any insight into whether he was a whistleblower or whether that was one of those things where, you know, the New World Order... Where it was revelation of the method?
[01:25:19.308 --> 01:25:22.151]  I've listened to other recordings of him and I think it's kind of in between.
[01:25:22.171 --> 01:25:30.779]  It was like a thing of being moral to let you know they're doing it, kind of like a vampire, you know, kind of tells you he's coming for you before he does.
[01:25:31.820 --> 01:25:33.362]  I think it's a mix.
[01:25:33.402 --> 01:25:34.963]  I don't think he was one of the nastier ones.
[01:25:35.824 --> 01:25:39.147]  To them, you know, it's this esoteric, well, that's just the way it is.
[01:25:39.327 --> 01:25:41.729]  I mean, there are too many people.
[01:25:41.749 --> 01:25:42.970]  We have to kill them.
[01:25:43.670 --> 01:25:45.812]  And so, I think that's really the angle.
[01:25:46.773 --> 01:25:47.213]  I see, I see.
[01:25:47.734 --> 01:25:52.218]  Well, on a related subject also, I was looking into SV40.
[01:25:53.479 --> 01:25:59.384]  Now, do you know what other vaccines besides the polio vaccine that SV40 has gotten into?
[01:26:00.660 --> 01:26:02.021]  Well, it's not just SP40.
[01:26:03.221 --> 01:26:07.564]  It's hundreds of different cancer-causing viruses have been found in a whole bunch of vaccines.
[01:26:08.644 --> 01:26:10.885]  And then they always say, oh, it accidentally got in there!
[01:26:12.326 --> 01:26:16.208]  But then we go back and do further research and it's clearly being added.
[01:26:18.049 --> 01:26:25.293]  Do you know where we could go where there's sort of a... Yeah, I've had guests on, I've covered it, it's a huge area of research we've had guests on.
[01:26:25.313 --> 01:26:26.393]  We'll have more guests on about it.
[01:26:26.433 --> 01:26:27.874]  I can't really tackle that in the time we have.
[01:26:28.442 --> 01:26:28.902]  Okay, all right.
[01:26:28.942 --> 01:26:29.763]  Thanks a lot, Biff Alderman.
[01:26:29.823 --> 01:26:30.443]  Thank you, sir.
[01:26:30.483 --> 01:26:31.283]  Great to hear from you.
[01:26:31.303 --> 01:26:33.384]  That's a good idea to do more on that.
[01:26:34.164 --> 01:26:35.545]  Are you going to call Savile's Radio Church?
[01:26:36.786 --> 01:26:37.526]  Or they're calling us?
[01:26:38.246 --> 01:26:40.447]  Okay, well, as soon as they call, we've got to end this.
[01:26:40.787 --> 01:26:46.169]  And then we'll go back to rebroadcast at InfoWars.com from the earlier interviews with David J. Smith.
[01:26:46.189 --> 01:26:49.571]  I had the day, got into the whole Vatican angle and the rest of it.
[01:26:50.931 --> 01:26:52.672]  But no good to evil, go unpunished, don't worry.
[01:26:54.714 --> 01:26:55.414]  So ridiculous.
[01:26:57.816 --> 01:27:00.797]  So ridiculous that I'll be accused of covering up for the Vatican if we're doing a show on it.
[01:27:00.817 --> 01:27:02.238]  This is crazy.
[01:27:03.379 --> 01:27:04.380]  Oh man, it doesn't matter.
[01:27:05.020 --> 01:27:06.801]  Let's go ahead and talk to George in Florida.
[01:27:06.821 --> 01:27:07.562]  George, go ahead.
[01:27:07.582 --> 01:27:09.523]  Hey, God bless you, Alex.
[01:27:10.644 --> 01:27:11.264]  God bless you.
[01:27:11.504 --> 01:27:11.784]  Go ahead.
[01:27:12.045 --> 01:27:15.747]  Yes, I'd like to have a question for one of the steamer train pastors.
[01:27:16.548 --> 01:27:24.392]  I'd like to explain Romans 13 to those World War II veterans in 1946 Athens, Tennessee, when they took back their government.
[01:27:24.852 --> 01:27:25.772]  They were of the devil.
[01:27:25.832 --> 01:27:29.134]  The government should have been stealing and robbing from everybody in Athens, Tennessee.
[01:27:29.954 --> 01:27:31.875]  That's a good thing to have guests on about.
[01:27:31.895 --> 01:27:32.295]  What was it called?
[01:27:32.315 --> 01:27:33.176]  The Battle of Athens?
[01:27:33.216 --> 01:27:34.716]  Is the book about that?
[01:27:34.756 --> 01:27:35.017]  Yes.
[01:27:35.117 --> 01:27:39.539]  You just Google 1946 Athens, Tennessee, and you'll get a whole thing.
[01:27:39.559 --> 01:27:44.701]  The Jews for Preservation of Firearm Ownership has a nice little explanation to it for it.
[01:27:47.828 --> 01:27:48.329]  Absolutely.
[01:27:48.349 --> 01:27:50.611]  In fact, I'm having this brainstorm of guests.
[01:27:50.651 --> 01:27:54.574]  I want to get Aaron Zellman on about the battle for Athens, and they're the ones that have a book about it.
[01:27:55.175 --> 01:28:02.462]  Well, Alex, I've been doing a little research around here, because Athens, Tennessee, sort of like, you know,
[01:28:03.297 --> 01:28:06.299]  It made me ashamed of my manhood because these men really stood up.
[01:28:07.100 --> 01:28:08.081]  I'm not interrupting you.
[01:28:08.121 --> 01:28:09.242]  This is all live action.
[01:28:09.262 --> 01:28:10.963]  We're not going to rebroadcast in a minute.
[01:28:11.323 --> 01:28:16.227]  Southwest Radio Church, which is on hundreds of stations, is going to let us simulcast with them.
[01:28:16.447 --> 01:28:17.748]  I think this is a recording they're doing.
[01:28:17.788 --> 01:28:19.510]  We're live or is this live too?
[01:28:19.530 --> 01:28:21.431]  Okay, are they online now?
[01:28:22.712 --> 01:28:24.614]  You just talked to them though and they're happy to simulcast?
[01:28:25.441 --> 01:28:26.622]  Okay, are they going to call us?
[01:28:27.123 --> 01:28:27.643]  Just being clear.
[01:28:28.144 --> 01:28:29.085]  We're multitasking here.
[01:28:29.365 --> 01:28:30.586]  Excuse me, sir, for interrupting.
[01:28:30.606 --> 01:28:32.568]  This interruption brought to you by InfoWars.com.
[01:28:33.269 --> 01:28:34.210]  Go ahead and finish your point.
[01:28:34.810 --> 01:28:40.096]  Well, I'm doing a lot of research in Florida, around the local areas, about real men.
[01:28:40.937 --> 01:28:47.003]  Back in the 1950s and 60s and 40s, with the civil rights, I found out that
[01:28:47.904 --> 01:28:56.248]  This victimization they try to portray, because there was a lot of black communities that ran out with their shotguns when the Klan group was going to go firebomb somebody's house.
[01:28:56.288 --> 01:28:59.489]  And that's why they had gun control to disarm the blacks, absolutely.
[01:29:00.590 --> 01:29:02.010]  Somebody get me another tea, please.
[01:29:02.951 --> 01:29:03.451]  Please, thank you.
[01:29:03.471 --> 01:29:05.772]  As you can see, I can't leave, folks, so go ahead.
[01:29:06.392 --> 01:29:08.553]  I mean, and like I say, where are the real men gone?
[01:29:08.953 --> 01:29:10.334]  They're all hanging out in sports bars.
[01:29:10.414 --> 01:29:12.035]  They're all acting tough.
[01:29:13.351 --> 01:29:16.232]  Again, a real man is afraid of getting in a fight with somebody.
[01:29:16.852 --> 01:29:18.452]  Okay, because you know how bad they're going to hurt him.
[01:29:18.732 --> 01:29:24.013]  A real man does not hold back and psychologically fully engages somebody.
[01:29:24.053 --> 01:29:31.695]  These tough guys, like when you're fighting them, they'll even act tough, like they'll posture when they swing, like that makes it tough while you're busy knocking their teeth out.
[01:29:31.735 --> 01:29:34.976]  Not that I've ever beaten anybody up, but you know I'm hypothetically acting tough myself now.
[01:29:35.576 --> 01:29:39.637]  Alright, well listen, I appreciate your call and it was really good to have you on.
[01:29:41.880 --> 01:29:42.720]  They are calling us.
[01:29:42.760 --> 01:29:43.661]  You check with Eddie Bearer.
[01:29:43.721 --> 01:29:44.641]  They have the number and everything.
[01:29:44.721 --> 01:29:45.561]  Okay, that's a big show.
[01:29:45.581 --> 01:29:46.442]  I don't want to mess that up.
[01:29:46.502 --> 01:29:47.562]  Leo and Mass, go ahead.
[01:29:48.603 --> 01:29:50.103]  Hi Alex, good to hear you.
[01:29:51.404 --> 01:29:56.706]  I've been kind of worried that I think that we're functioning more like a stink tank than a think tank.
[01:29:57.066 --> 01:29:57.406]  I agree.
[01:29:57.446 --> 01:29:59.947]  It's all about who's bad, who's stinky.
[01:30:00.887 --> 01:30:02.968]  It's a gossip complex.
[01:30:03.008 --> 01:30:09.851]  We're part of a small faction that actually can see that the bridge is out and the train is going to crash.
[01:30:10.729 --> 01:30:17.773]  Okay, so with that in mind, let's make a video game about the poisoned food and the international intrigue.
[01:30:17.893 --> 01:30:24.897]  Oh, and you're a globalist who has to poison everything, and I think that's the best way to do it, because population controls your goal.
[01:30:24.917 --> 01:30:25.378]  Great idea.
[01:30:25.738 --> 01:30:26.078]  Hold on.
[01:30:26.998 --> 01:30:30.140]  The video game has to be historically correct, okay?
[01:30:30.360 --> 01:30:39.786]  I mean, and get it peer-reviewed by history people, and so that kids can play the game, but they can also learn history, and they'll have links
[01:30:40.146 --> 01:30:42.908]  Yeah, that game would take about two million dollars in development.
[01:30:42.928 --> 01:30:44.690]  I actually know a lot of video game makers here in Austin.
[01:30:44.890 --> 01:30:49.194]  This is one of the capitals of video game production in the world is Austin.
[01:30:49.514 --> 01:30:53.117]  And I actually know some people, but the problem is big corporations own them.
[01:30:53.657 --> 01:30:56.720]  But I know the guy that puts out the Illuminati games, he might do that.
[01:30:57.761 --> 01:30:59.082]  Because he's exposed the Illuminati.
[01:31:00.242 --> 01:31:01.923]  By knowing him, I met him one time.
[01:31:02.043 --> 01:31:03.004]  What company is that?
[01:31:03.484 --> 01:31:04.244]  I forget his name.
[01:31:04.284 --> 01:31:06.546]  I met him at a party once, and I know people that know him well.
[01:31:07.026 --> 01:31:09.187]  He put out the Illuminati card game.
[01:31:09.868 --> 01:31:11.229]  Jackson games?
[01:31:13.250 --> 01:31:15.531]  You can Google it, but yes, that is a genius idea.
[01:31:15.791 --> 01:31:17.132]  Anyway, another topic.
[01:31:18.073 --> 01:31:19.333]  You say you're overweight, right?
[01:31:19.774 --> 01:31:20.554]  Well, I'm losing weight.
[01:31:20.574 --> 01:31:21.675]  I've been running every day.
[01:31:21.995 --> 01:31:26.958]  Yeah, but get an exercise bike and work out while you're on the show.
[01:31:28.123 --> 01:31:29.024]  Okay, listen, I gotta go.
[01:31:29.064 --> 01:31:31.766]  We've got our folks that have got to interview us here.
[01:31:31.786 --> 01:31:38.772]  We're going to continue with a simulcast at PrisonPlanet.tv for TV viewers and over the internet at Infowars.com for folks listening on the screens.
[01:31:39.412 --> 01:31:41.614]  And we're going to go ahead and go to Southwest Radio Ministry.
[01:31:41.654 --> 01:31:42.334]  Let's bring them up.
[01:31:43.075 --> 01:31:44.136]  And it's Larry.
[01:31:44.997 --> 01:31:47.258]  Larry, thank you for having me on your show.
[01:31:47.519 --> 01:31:48.620]  Well, wonderful, Alex.
[01:31:48.760 --> 01:31:51.922]  I'm really excited about the interview.
[01:31:52.022 --> 01:31:54.044]  I've looked at Endgame twice.
[01:31:54.684 --> 01:31:58.107]  Man, it frightens you, and it'll make you angry as well.
[01:31:58.167 --> 01:31:59.909]  I think it's a great DVD.
[01:32:00.069 --> 01:32:04.553]  Well, I know you have millions of listeners, and I just want to thank you for letting us do this simulcast.
[01:32:04.573 --> 01:32:08.476]  My show ended at three, but some days I go over with just an internet side of it.
[01:32:08.837 --> 01:32:11.359]  And so thank you for having me on.
[01:32:11.419 --> 01:32:18.145]  It's your show, so you conduct it, and I turn everything over to you on my end so that I'm not co-hosting something.
[01:32:18.565 --> 01:32:19.967]  Okay, well, very good.
[01:32:20.007 --> 01:32:24.451]  Well, I want to greet all of our listeners of Southwest Radio Church Ministries.
[01:32:25.272 --> 01:32:33.400]  You know, friends, Isaiah 21 and verse 6 tells us that the watchman has to declare what he sees, and man, there are lots of things out there.
[01:32:33.420 --> 01:32:39.465]  We're going to be speaking to Alex Jones, and we're just so excited to have Alex on the program.
[01:32:39.485 --> 01:32:40.927]  Thank you for being with us, Alex.
[01:32:41.127 --> 01:32:41.727]  Thank you, sir.
[01:32:41.767 --> 01:32:42.487]  I didn't know we were live.
[01:32:42.507 --> 01:32:43.268]  Thank you for having me on.
[01:32:43.708 --> 01:32:47.389]  Okay, well, this is pre-recorded on our end, but I guess it's live on your end.
[01:32:47.469 --> 01:32:48.209]  Fantastic.
[01:32:48.389 --> 01:32:48.909]  Very good.
[01:32:49.329 --> 01:32:53.270]  Well, Alex, let's speak about Endgame eugenics.
[01:32:53.490 --> 01:32:58.572]  Maybe you could elaborate on the eugenics operation you cover in your movie Endgame.
[01:32:59.292 --> 01:33:17.988]  Well, I mean, anyone who's engaged in news or research about the New World Order, the Antichrist world government system, realizes that eugenics is a big part of it, that the UN openly carries out sterilization programs, abortion, and other horrible things worldwide, from China to Nigeria, South Africa to the United States.
[01:33:18.288 --> 01:33:20.750]  First world, second world, third world, old world.
[01:33:22.151 --> 01:33:29.619]  I set out to make a film about the history of the New World Order, who controls it, what the globalists are setting up, and what made them tick.
[01:33:29.719 --> 01:33:40.811]  And I read, myself, dozens of books, re-read books, re-read David Rockefeller's book, re-read Carol Quigley's book, taught globalists, my staff read a bunch of books, all totaled about 40 books.
[01:33:41.912 --> 01:33:51.456]  And I went and got the letters of Margaret Sanger, the founder of Planned Parenthood, and I went and re-read not just Mein Kampf, but Hitler's speeches and transcripts from the National Archives.
[01:33:51.956 --> 01:33:55.818]  I mean, I spent probably four years of research on this.
[01:33:55.898 --> 01:34:00.040]  This was a film that took about a year of intense editing to make.
[01:34:00.880 --> 01:34:02.882]  And we only scratched the tip of the iceberg.
[01:34:02.922 --> 01:34:16.875]  As horrifying as Endgame for Blueprint for Global Enslavement is, which by the way is free on Google Video, just Google Endgame Blueprint for Global Enslavement or go to Infowars.com to get a copy, buy a DVD if you want, but whatever you do, just watch Endgame.
[01:34:18.271 --> 01:34:27.278]  It is just so horrible to realize everything they do, everything they do is about killing 90% of the world's population.
[01:34:28.079 --> 01:34:31.061]  And of course that's the mainline UN view.
[01:34:31.121 --> 01:34:33.083]  It was 80% for the last 50 years.
[01:34:33.523 --> 01:34:42.531]  Now the main thinking, the biological diversity assessments, the University of Texas statements, the Princeton statements, the Prince Philip statements in his books is 90%.
[01:34:42.711 --> 01:34:44.292]  And then a lot of other
[01:34:47.034 --> 01:34:50.616]  Groups and organizations, they say no, total extinction.
[01:34:51.296 --> 01:34:54.698]  Eco Group calls for voluntary human extinction, that's the Times of London.
[01:34:55.098 --> 01:35:02.701]  They go in and teach school children in England that they shouldn't have children, that all humans must die, and that we are a count cancer on Gaia.
[01:35:03.161 --> 01:35:10.585]  And then in the film we covered thousands of people, Dr. Eric Pianca, University of Texas, one of their top biologists, been given awards by the
[01:35:11.565 --> 01:35:13.426]  Royal Society in England and others.
[01:35:13.946 --> 01:35:24.330]  He, a few years ago, was in Texas and he was getting the Lifetime Achievement number one award from the Texas Academy of Science, 2,000 people in attendance.
[01:35:24.770 --> 01:35:35.535]  And local papers, two of them reported, he got sustained three-minute standing ovations when he said, 90% of us need to die, a bio-weapon needs to be released to kill us.
[01:35:36.115 --> 01:35:52.425]  When he would show giant projections of red skulls, they were in rapture, like it was a tent revival, you know, crying, clapping, kill everyone, and when you go to his website, he, on the UT website, he is dressed as a druid, and he speaks about his love for Lucifer.
[01:35:53.769 --> 01:35:59.511]  Well, you know, in Mein Kampf, Hitler actually quotes American eugenic ideology.
[01:35:59.571 --> 01:36:15.415]  I did a little research on this, and Hitler said this, quote, I have studied with great interest the laws of several American states concerning prevention of reproduction by people whose progeny would, in all probability, be of no value or be injurious to the racial stock, close quote.
[01:36:15.455 --> 01:36:19.156]  So, um, the eugenics movement really has never gone away.
[01:36:19.176 --> 01:36:20.997]  It's just been repackaged, hasn't it?
[01:36:21.761 --> 01:36:32.904]  That's right, and understand, at a major scientific conference, 95% standing ovation, and some of the people at this event work at level 4 bio-weapons labs.
[01:36:33.584 --> 01:36:36.604]  So, again, I'm not trying to scare people.
[01:36:36.664 --> 01:36:37.405]  This is a fact.
[01:36:38.145 --> 01:36:42.046]  The globalists have been promised, and they say this in their own documents.
[01:36:42.546 --> 01:36:43.186]  It's incredible.
[01:36:44.386 --> 01:36:53.653]  Ray Kurzweil, all of them, that only the elite can have live extension technologies, so we must get rid of 90 plus percent of the world population.
[01:36:54.053 --> 01:36:57.676]  In fact, I had his graduate students threatening me, sending me their own papers.
[01:36:58.576 --> 01:37:06.782]  Some of them now are graduated as doctors at major facilities with dangerous pathogens, and they said all humans must die.
[01:37:07.242 --> 01:37:12.624]  But the elite believe this because they believe that it's a new age belief of saving the earth.
[01:37:12.924 --> 01:37:25.047]  Humans are a cancer but that also the elite have to kill the majority of the population so they, the elite, can have the access to the life extension technologies because they say you can't give six and a half
[01:37:25.347 --> 01:37:26.007]  Billion people.
[01:37:44.796 --> 01:38:02.592]  Richard N. Haas, the head of the CFR, said in a Club of Rome report that they published that they will use staged terrorism as one pincer to take our liberty, and that the other pincer in the pincer attack that they're going to come in and grab us with is saving the earth, global carbon tax,
[01:38:03.172 --> 01:38:08.757]  To quote, make humanity the enemy, that's a quote, and that the state will wage war against humans.
