[00:00:23.695 --> 00:00:24.115]  Whenever you're ready.
[00:47:32.408 --> 00:47:37.651]  I wish it would come up a little faster, but heck, it's coming up and that's what's important.
[00:47:37.927 --> 00:47:41.190]  Absolutely, and we have to keep informing people.
[00:47:41.230 --> 00:47:42.972]  We have to spread the message.
[00:47:43.012 --> 00:47:46.195]  And again, G. Edward Griffin's books are top-notch, folks.
[00:47:47.015 --> 00:47:48.417]  Now, you're working on a new book.
[00:47:48.437 --> 00:47:50.559]  I've talked to you a little bit about this.
[00:47:50.579 --> 00:47:52.360]  Why don't you tell the audience about your new project?
[00:47:52.821 --> 00:47:58.326]  Well, it's embarrassing in a way, because I've been working on it now, technically, ever since 9-11.
[00:47:58.626 --> 00:48:03.771]  A couple of days after 9-11, I decided, oh, I've got to pull together this topic.
[00:48:04.227 --> 00:48:08.110]  And produce a book, and I thought I would do it in about, you know, maybe a year and a half.
[00:48:08.511 --> 00:48:19.319]  And I'm still struggling along on it, because not that I'm failing to get the information down on paper so much, as that I'm crowded with other things that take up my day.
[00:48:20.120 --> 00:48:26.665]  But anyway, I'm still working on it, and I'm going to say it's probably about 65 to 70 percent done.
[00:48:27.346 --> 00:48:30.849]  And the title of it, the tentative title, is the Freedom Manifesto.
[00:48:31.468 --> 00:48:45.795]  That was the title I jotted down a couple of days after 9-11, and I still think it's a good title, but now we see that Congressman Paul's book uses the word manifesto, so I may not stick with that title.
[00:48:45.935 --> 00:48:53.059]  But did you ever think in America we were going to have a New York Times number one best-selling book with manifesto in the title?
[00:48:54.246 --> 00:48:55.107]  Which isn't fiction!
[00:48:55.188 --> 00:49:04.221]  You know, maybe a fiction book, but not something written by a congressman who raised more money than anybody else in the Republican candidacy for president.
[00:49:04.882 --> 00:49:07.667]  Yeah, not by anybody that's speaking the truth, that's for sure.
[00:49:08.123 --> 00:49:08.864]  But there it is.
[00:49:09.724 --> 00:49:11.525]  So it just proves that miracles can happen.
[00:49:11.606 --> 00:49:11.926]  Absolutely.
[00:49:11.946 --> 00:49:13.587]  But look at the media blackout on that.
[00:49:13.627 --> 00:49:19.311]  I mean, anybody with a number one bestseller on the New York Times list is on Oprah.
[00:49:19.671 --> 00:49:21.673]  They're on every night talk show.
[00:49:21.693 --> 00:49:24.375]  They've got a dedicated hour on Larry King Live.
[00:49:24.395 --> 00:49:26.036]  But we haven't seen that with Mr. Paul.
[00:49:26.056 --> 00:49:31.239]  We've seen some sparse media appearances where he seems to be attacked, even though he's a bestselling author.
[00:49:31.680 --> 00:49:32.300]  Yeah.
[00:49:32.380 --> 00:49:36.043]  Well, it just proves what we've been saying about the bias in the media.
[00:49:37.374 --> 00:49:38.715]  But anyway, that's wonderful news.
[00:49:38.755 --> 00:49:45.099]  And as far as my own book is concerned, it is going to be quite different than Paul's book.
[00:49:46.020 --> 00:49:59.270]  Paul is focusing correctly, I think, focusing on political issues and themes which are of particular interest to people who are kind of new to the movement, who want to know how to vote and what's going on in the political arena.
[00:50:01.172 --> 00:50:03.193]  Whereas mine, you know how I do things.
[00:50:03.293 --> 00:50:04.254]  I can't start
[00:50:04.946 --> 00:50:08.327]  With today, I've got to get a run on it, and that's why I go back in history.
[00:50:08.447 --> 00:50:09.668]  You like to peel back the layers.
[00:50:10.148 --> 00:50:18.831]  I have to go back, yeah, peel back the layers, dig down to the roots, because otherwise I don't think you can understand today if you don't really understand yesterday.
[00:50:19.292 --> 00:50:24.676]  It's a continuity, you know, and you certainly won't understand tomorrow if you don't see where today came from.
[00:50:25.176 --> 00:50:28.018]  Those who don't know their past are doomed to repeat it in the future.
[00:50:28.058 --> 00:50:30.459]  We have one more segment with G. Edward Griffin.
[00:50:30.860 --> 00:50:32.381]  After this, it's the Alex Jones Show.
[00:50:32.501 --> 00:50:35.463]  I'm Jason Bermas, Infowars.com, PrisonPlanet.com.
[00:50:47.128 --> 00:50:51.410]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:50:51.650 --> 00:50:56.552]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:50:56.752 --> 00:50:58.073]  Hi folks, Alex Jones here.
[00:50:58.253 --> 00:51:01.735]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:51:01.855 --> 00:51:07.037]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:51:07.277 --> 00:51:13.000]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:51:13.380 --> 00:51:15.822]  Now, Calvin Soaps are available to you and me.
[00:51:15.902 --> 00:51:18.203]  Triple concentrated for all your cleaning needs.
[00:51:18.423 --> 00:51:20.564]  From bathing and laundry to dishes, hair and more.
[00:51:20.844 --> 00:51:21.805]  No harsh chemicals.
[00:51:22.045 --> 00:51:22.986]  No animal testing.
[00:51:23.246 --> 00:51:24.547]  I use them and love them.
[00:51:24.567 --> 00:51:26.168]  Knowing they're all naturally safe.
[00:51:26.468 --> 00:51:27.548]  And I say big time.
[00:51:27.869 --> 00:51:29.109]  Call Calvin Pure Soap at 1-800-340-7091.
[00:51:29.129 --> 00:51:29.349]  That's 1-800-340-7091.
[00:51:29.369 --> 00:51:30.950]  Or log on to 5starsoap.com now for a free catalog.
[00:51:39.335 --> 00:51:45.901]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:51:47.122 --> 00:51:48.524]  It is a big idea.
[00:51:48.544 --> 00:51:50.666]  A new world order.
[00:51:51.366 --> 00:51:55.671]  In the near future, Earth is dominated by a powerful world government.
[00:51:55.691 --> 00:51:58.413]  It's known as the Bilderberg Group.
[00:51:59.094 --> 00:52:01.256]  Put their objective being world domination.
[00:52:01.863 --> 00:52:04.305]  For thousands of years, their Dark Order grew.
[00:52:05.045 --> 00:52:12.369]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:52:15.382 --> 00:52:20.345]  For the first time in history, the elite's plan for world government is blown wide open.
[00:52:20.846 --> 00:52:24.288]  You will learn the secret that drives the entire New World Order agenda.
[00:52:24.688 --> 00:52:27.250]  The Old Berg is making great progress toward a world government.
[00:52:27.290 --> 00:52:28.431]  Most people have no idea.
[00:52:28.451 --> 00:52:29.211]  They're not after money.
[00:52:29.231 --> 00:52:30.292]  They have all the money they need.
[00:52:30.492 --> 00:52:31.213]  They're after power.
[00:52:31.493 --> 00:52:32.313]  That's what they're after.
[00:52:32.634 --> 00:52:37.157]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:52:37.377 --> 00:52:40.859]  Or watch it online right now at PrisonPlanet.tv.
[00:52:41.359 --> 00:52:43.681]  Endgame, blueprint for global enslavement.
[00:52:44.161 --> 00:52:45.182]  You have been warned.
[00:52:48.845 --> 00:52:51.787]  Imagine walking down the street and hearing footsteps behind you.
[00:52:52.228 --> 00:52:56.351]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[00:52:57.072 --> 00:52:58.773]  What are you going to do to defend yourself?
[00:52:59.574 --> 00:53:03.677]  Tebowtech specializes in non-lethal self-defense products for you and your family.
[00:53:04.258 --> 00:53:12.365]  With everything from stun guns and tasers, to personal alarms and pepper spray, Tebowtech will arm you with the most advanced non-lethal products anywhere on the net.
[00:53:13.067 --> 00:53:14.007]  Not sure where to start?
[00:53:14.447 --> 00:53:17.808]  The Tebowtech Essentials Package is great for you or to share with your family.
[00:53:18.328 --> 00:53:29.051]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[00:53:29.711 --> 00:53:35.753]  With these or any of Tebowtech's products, you have the tools to defend yourself against an attack and get yourself to safety.
[00:53:36.445 --> 00:53:38.330]  Don't be a victim, be a victor!
[00:53:38.931 --> 00:53:39.612]  Stock up now!
[00:53:39.993 --> 00:53:43.722]  tbotech.com that's t-b-o-t-e-c-h dot com
[00:54:07.483 --> 00:54:10.304]  Alright, folks, it's the final segment of the Alex Jones Show.
[00:54:10.344 --> 00:54:26.028]  I just want to remind everybody out there, if you missed any of this four-hour broadcast, and it was a powerful four-hour broadcast with Rob Jacobson, Alex Jones, and Luke Rudowsky, all calling in from Bilderberg, you can go to InfoWars.com, and the refeed starts in about six minutes.
[00:54:26.568 --> 00:54:28.229]  That's InfoWars.com.
[00:54:28.249 --> 00:54:31.290]  If you want to get at me, Myspace.com slash Jason Burmess.
[00:54:31.590 --> 00:54:35.673]  We're on the line with G. Edward Griffin, an accomplished author and speaker.
[00:54:36.293 --> 00:54:40.236]  And before you go, Mr. Griffin, I'd like to get your take on Iran.
[00:54:40.316 --> 00:54:42.257]  In the last couple of days, I've been doing a lot of interviews.
[00:54:42.297 --> 00:54:43.558]  I talked to Daniel Astellan.
[00:54:43.578 --> 00:54:45.199]  He thinks that Iran is off the table.
[00:54:45.259 --> 00:54:49.162]  He feels like the European sect of this elite doesn't want to go in there.
[00:54:49.902 --> 00:54:51.383]  I'm of a little bit different opinion.
[00:54:51.443 --> 00:54:59.588]  I really feel like they want Iran, that that could be their crowning jewel in the Middle East until they take over Saudi Arabia and really build this new Eurasian Union.
[00:54:59.849 --> 00:55:00.409]  What do you think?
[00:55:02.045 --> 00:55:13.253]  Well, I have to start off by saying I'm certainly not a Middle East expert, and I haven't really studied that part of the puzzle as deeply as I have other parts.
[00:55:14.093 --> 00:55:24.621]  But I think I have to agree with you, Jason, that it looks to me like for many, many years, if not decades, the master planning for this has gone back many, many years.
[00:55:25.181 --> 00:55:29.504]  And it looks to me like they've always wanted to have that military dominance in the Middle East.
[00:55:29.544 --> 00:55:30.305]  They wanted Iran.
[00:55:32.754 --> 00:55:43.778]  It just seems to be that the people who are running the show, now we're not talking about the average American, we're talking about the CFR people, and the people with that pretty ear making the decisions.
[00:55:44.279 --> 00:55:55.463]  They want that, and they keep talking about it, and they keep trying to stimulate some kind of an international incident to justify our attack, make it look like it was retaliation and so forth.
[00:55:55.703 --> 00:56:00.685]  So I see no reason to believe that the people making the decisions have backed off at all.
[00:56:01.420 --> 00:56:11.529]  Well, I'm with you on that, and you know what really scared me, probably like four or five months ago, when I saw this supposed speedboat, Iranian speedboat alongside a U.S.
[00:56:13.178 --> 00:56:18.960]  Uh, Navy, uh, Navy Craft, and they were reporting, oh, these guys were threatening to blow it up, and this and that.
[00:56:18.980 --> 00:56:25.022]  I saw it all over the media, and they were speaking in English, and I remember I was over at my buddy's house watching this live, and I go, you watch.
[00:56:25.442 --> 00:56:35.725]  I go, three or four days from now, it's gonna come out that that whole thing was staged, and it was totally fake, and sure enough, it did, and it looked to me, again, like they were trying to provocate another Gulf of Tonkin-type incident.
[00:56:36.277 --> 00:56:37.517]  Yes, it's very clear.
[00:56:37.597 --> 00:56:38.378]  So I don't know.
[00:56:39.538 --> 00:56:41.618]  I also know that these people are flexible.
[00:56:41.818 --> 00:56:51.120]  They've always got a plan B and maybe a plan C. So if for some reason their European counterparts decide that they don't want the U.S.
[00:56:51.301 --> 00:56:54.521]  in Iran at this time, you know, they might postpone it.
[00:56:54.561 --> 00:56:55.702]  They might try something else.
[00:56:55.762 --> 00:57:01.663]  But anyway, having said, I don't really consider myself to be an expert and certainly don't have any inside information.
[00:57:02.302 --> 00:57:06.944]  But I will answer the question by saying my opinion is that I think they're still determined to go in there.
[00:57:07.124 --> 00:57:08.345]  Yeah, I'd have to agree with you there.
[00:57:09.085 --> 00:57:13.327]  We've seen such a brutalization, really, of the U.S.
[00:57:13.387 --> 00:57:25.732]  economy from the housing market going under to the fact that the dollar has been devalued to the point that it's below Canadian currency now, and the fact that we don't seem to be producing anything in this country.
[00:57:25.932 --> 00:57:28.413]  We're a nation of consumers and not producers.
[00:57:28.933 --> 00:57:31.074]  Where do you see the economy going in the next six months?
[00:57:32.011 --> 00:57:38.232]  Well, I'm certainly not, you don't have to be a rocket scientist to see, to look at a graph.
[00:57:38.992 --> 00:57:48.735]  And if you look at the economy, in the world where a graph, let's say the value of the dollar, make a graph on it, and it's going down, down, down, down, down, down, down.
[00:57:49.055 --> 00:57:51.175]  It's been doing that for a long, long time.
[00:57:51.855 --> 00:57:55.556]  And so you have to conclude that unless something changes,
[00:57:56.215 --> 00:57:58.135]  But that line is going to continue to go down.
[00:57:58.636 --> 00:57:59.716]  I have to agree with you there, too.
[00:57:59.736 --> 00:58:02.936]  G. Edward Riffin, thank you so much for spending a half an hour with us.
[00:58:02.976 --> 00:58:03.817]  This is the Alex Jones Show.
[00:58:03.837 --> 00:58:04.757]  You're very welcome, Jason.
[00:58:04.857 --> 00:58:05.237]  Thank you.
[00:58:05.837 --> 00:58:10.558]  And remember, if you missed any of it, you can catch the whole thing over again over at InfoWars.com.
[00:58:10.678 --> 00:58:12.218]  Alex Jones from Bilderberg.
[00:58:12.238 --> 00:58:14.239]  It's the Alex Jones Show.
[00:58:14.319 --> 00:58:14.999]  I'm Jason Bermas.
[00:58:15.039 --> 00:58:15.939]  Thanks for having me.
[00:58:16.299 --> 00:58:16.959]  We'll be back tomorrow.
