[00:00:00.129 --> 00:00:02.651]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:50:05.434 --> 00:50:06.434]  I'm a first-time caller.
[00:50:06.815 --> 00:50:09.196]  I'm calling from Binghamton, New York.
[00:50:10.036 --> 00:50:13.298]  I'd like to say thank you for all the hard work that you're doing.
[00:50:13.698 --> 00:50:15.079]  We really appreciate it here in Binghamton.
[00:50:16.909 --> 00:50:17.729]  I really got working up.
[00:50:17.909 --> 00:50:22.071]  I have just three quick things and one question for you.
[00:50:22.451 --> 00:50:30.674]  The first thing is that on November 6th at my school, BCC, my college, we're showing your film Endgame at Titchener Hall at 3pm.
[00:50:31.734 --> 00:50:33.515]  To anyone out there in Binghamton who's listening or Ithaca,
[00:50:34.471 --> 00:50:42.197]  Also, regarding the insider trading that took place on 9-11, I was watching a film today on Google Videos.
[00:50:42.718 --> 00:50:43.578]  It's called Ring of Fire.
[00:50:43.598 --> 00:50:45.460]  I don't know how good it is or whatever.
[00:50:45.480 --> 00:50:47.822]  Basically, you know, because we had the trouble with the Zeitgeist thing.
[00:50:47.842 --> 00:50:48.642]  I don't know how good it is.
[00:50:48.662 --> 00:50:52.405]  It's kind of really critical of religion, but it's called Ring of Fire.
[00:50:52.445 --> 00:50:59.731]  And on that, it mentioned that regarding the insider trading that took place on 9-11, it said Merrill Lynch, HSBC, Morgan Stanley,
[00:51:00.524 --> 00:51:05.806]  Bank of America, Lehman Brothers, and General Motors and a few others were the ones involved in the insider trading.
[00:51:05.846 --> 00:51:10.568]  And the reason I bring this up is because you keep mentioning the banker bailout.
[00:51:10.748 --> 00:51:12.009]  And these are the same guys.
[00:51:12.029 --> 00:51:17.231]  Well, for those that don't know, there was record put options, never before that big and never after that big.
[00:51:18.651 --> 00:51:24.134]  Specifically, not just on airlines, but specifically on United and American in the four days leading up to it.
[00:51:24.154 --> 00:51:27.575]  And we all heard, we're going to find out who was behind it because of the insider trading.
[00:51:27.595 --> 00:51:34.018]  And then it led to Buzzy Crongaard, Executive Director of the CIA, and Alex Brown, the company, and others.
[00:51:34.038 --> 00:51:34.878]  So it got shut down.
[00:51:35.678 --> 00:51:36.419]  Yes, absolutely.
[00:51:36.739 --> 00:51:43.502]  And the third thing is, I'm not sure if you're familiar with this one guy, people call him a scholar, but I don't know too much about him.
[00:51:43.522 --> 00:51:44.242]  His name is Cornel West.
[00:51:44.842 --> 00:51:46.803]  But he was on C-SPAN like
[00:51:47.891 --> 00:51:48.611]  About a year ago.
[00:51:48.791 --> 00:51:53.513]  And he mentioned Will Smith and said it was a Scientologist or something like that.
[00:51:53.733 --> 00:51:58.774]  Now the reason I bring this up is that I remember a good movie just recently called I Am Legend.
[00:51:59.014 --> 00:52:11.197]  And in that movie, it was supposed to be like some virus that caused 85% of the world's population... Yeah, it's a vaccine that's supposed to cure people of cancer and then it kills the majority of the world population.
[00:52:12.258 --> 00:52:12.858]  Absolutely.
[00:52:12.898 --> 00:52:16.919]  So my point is, do you see this being part of the globalist agenda where
[00:52:18.089 --> 00:52:21.792]  They're intending on using something similar to the depiction in this movie.
[00:52:21.812 --> 00:52:23.213]  This man, again, is an insight.
[00:52:23.253 --> 00:52:29.938]  He's like maybe a Scientologist that he's in, and he has some insight into what the plan is, but he glorifies it in some way.
[00:52:29.978 --> 00:52:41.966]  Well, I Am Legend was written back in the early 1950s, and then it was made into Omega Man, and then they made an I Am Legend, and then they made the newest one under the same title.
[00:52:43.897 --> 00:52:59.587]  You know, when I get up on air and I say that the United Nations and the IMF and the World Bank and the Club of Rome and the Council on Foreign Relations put out white papers saying they want to exterminate 80 to 90 percent of the population, I mean, my films, Road to Tyranny and Endgame, cover that.
[00:53:00.127 --> 00:53:02.629]  And by the way, a lot of my films have bibliographies.
[00:53:02.749 --> 00:53:03.109]  Endgame.
[00:53:03.889 --> 00:53:04.650]  Three-hour film.
[00:53:05.951 --> 00:53:12.895]  Well, it's about two hours, 40 minutes, and has an hour extra, so it's... The point is, is that it has a bibliography.
[00:53:13.627 --> 00:53:19.335]  And every second of the film, every video clip, every document, we have linked up on whatistheendgame.com.
[00:53:20.076 --> 00:53:23.600]  www.whatistheendgame.com.
[00:53:24.502 --> 00:53:26.965]  And yes, they are putting sodium fluoride in the water.
[00:53:28.057 --> 00:53:36.182]  Just Google sodium fluoride cancer and I mean hundreds of mainline studies that it more than doubles cancer, just in bone cancer alone.
[00:53:37.043 --> 00:53:47.029]  Or that they decided in the 50s to put the particular type, there were hundreds of types of plastic they could adopt, but they adopted the BPA based plastic they knew would sterilize men in the West.
[00:53:47.370 --> 00:53:48.751]  That's why sperm counts are down by about 85%.
[00:53:48.791 --> 00:53:49.471]  Women are infertile.
[00:53:51.532 --> 00:53:54.335]  Because, you know, too much of this hormone ends up sterilizing you.
[00:53:54.735 --> 00:53:58.759]  And I could go on and on, but I mean, how do you get the public to come to grips with that?
[00:53:58.979 --> 00:53:59.680]  I mean, I'm sorry.
[00:54:00.181 --> 00:54:02.403]  I told you the Banker Bailout Bill was a scam, and it is.
[00:54:02.723 --> 00:54:03.404]  I tell you everything.
[00:54:03.904 --> 00:54:05.806]  I told you 9-11 was going to happen before it happened.
[00:54:06.126 --> 00:54:06.867]  This is what I do.
[00:54:06.947 --> 00:54:10.330]  I'm not an expert on Texas Tech and UT and the Cowboys.
[00:54:10.691 --> 00:54:12.312]  I'm an expert on the New World Order, folks.
[00:54:12.752 --> 00:54:14.814]  And let me tell you, they're eugenicists.
[00:54:14.834 --> 00:54:16.376]  If you don't know what that term is, Google it.
[00:54:16.923 --> 00:54:19.786]  Okay, let's go ahead and talk to George in Texas.
[00:54:19.826 --> 00:54:20.687]  George, you're on the air.
[00:54:20.707 --> 00:54:21.548]  Welcome.
[00:54:21.568 --> 00:54:22.409]  Good afternoon, Alex.
[00:54:22.769 --> 00:54:23.090]  Hi.
[00:54:23.730 --> 00:54:27.695]  Yes, you know, mom, last week my wife came home in tears.
[00:54:29.216 --> 00:54:34.322]  She was threatened arrest at the DPS because she refused to get a thumb scan.
[00:54:34.924 --> 00:54:35.404]  That's right.
[00:54:35.444 --> 00:54:38.106]  That's all part of the international agreement.
[00:54:38.386 --> 00:54:41.988]  That is a world ID card, not just a national ID card.
[00:54:42.028 --> 00:54:44.390]  It's all part of submitting to your enslavement.
[00:54:44.770 --> 00:54:46.351]  I mean, is it color of law to do that?
[00:54:46.411 --> 00:54:48.352]  You will thumbprint to buy and sell.
[00:54:48.372 --> 00:54:55.476]  They're going in the tanning salons, the stores, the churches, the libraries, parents to get their children at public schools, you know, thumb scanning.
[00:54:55.977 --> 00:54:56.917]  And what does they say?
[00:54:56.977 --> 00:54:58.098]  Driving is a privilege.
[00:54:58.238 --> 00:54:58.638]  It isn't.
[00:54:58.678 --> 00:54:59.899]  I have the Supreme Court rulings.
[00:55:00.559 --> 00:55:03.882]  But in the 30s they said, well these trucks are tearing up the road.
[00:55:04.243 --> 00:55:09.067]  If you're involved in commerce, trucks need a driver's license.
[00:55:09.087 --> 00:55:13.892]  And then 15, 20 years later, depending on the state, they phased in that it was a privilege to drive.
[00:55:13.932 --> 00:55:15.754]  But only under commerce.
[00:55:15.894 --> 00:55:18.736]  And the state police were really federal set up in the late 30s.
[00:55:19.617 --> 00:55:22.298]  And they have no idea what's going on, and they don't believe me.
[00:55:22.318 --> 00:55:24.838]  They love the system, so give your children more fluoride water.
[00:55:25.239 --> 00:55:25.899]  Don't believe me.
[00:55:25.999 --> 00:55:27.679]  Just give them more mercury shots.
[00:55:27.719 --> 00:55:28.619]  You know, don't believe me.
[00:55:29.040 --> 00:55:30.060]  Just love your government.
[00:55:30.080 --> 00:55:30.940]  Well, it's not your government.
[00:55:30.960 --> 00:55:31.880]  It's criminal bankers.
[00:55:32.160 --> 00:55:33.081]  You're under eugenics.
[00:55:33.401 --> 00:55:34.001]  Thumbscan.
[00:55:34.061 --> 00:55:34.781]  Enjoy yourselves.
[00:55:34.801 --> 00:55:37.662]  You're going to have a national sales tax on top of the income tax.
[00:55:38.022 --> 00:55:41.623]  Everything you're doing being tracked under carbon credits on your card.
[00:55:43.058 --> 00:55:44.479]  So tell me, what did they say to your wife?
[00:55:45.019 --> 00:55:47.700]  Well, they told her if you don't take this thumbprint, you're going to be arrested.
[00:55:48.120 --> 00:55:50.041]  And I'm not going to use the color of law to take that thumbprint.
[00:55:50.061 --> 00:55:54.322]  I mean, they should have just said, well, you know, you don't get a license and then you'll get arrested.
[00:55:54.382 --> 00:55:56.343]  Now, citizens get arrested for no idea.
[00:55:56.363 --> 00:55:57.203]  Illegal aliens don't.
[00:55:57.923 --> 00:56:00.284]  And I've had police admit this, and it's been in the news.
[00:56:00.824 --> 00:56:08.026]  So, again, it's all part of humiliation, all part of domination, all part of bringing the country to its knees, all part of us learning how to be slaves.
[00:56:08.466 --> 00:56:08.947]  And we are.
[00:56:09.007 --> 00:56:09.887]  We are now slaves.
[00:56:10.367 --> 00:56:13.608]  The public just sits down and shuts up and goes along with anything.
[00:56:14.288 --> 00:56:20.110]  And also, too, she went to the health department and asked for a federal vaccine waiver form, and they say there ain't no such thing.
[00:56:20.842 --> 00:56:21.962]  Well, that's another lie.
[00:56:22.042 --> 00:56:24.363]  Number one, there's no law to take any vaccines.
[00:56:24.843 --> 00:56:30.084]  Number two, they then kick your kids out under truancy laws, saying it's a school policy.
[00:56:30.384 --> 00:56:36.746]  Then criminal charges kick in for the truancy, not for the, quote, non-existent law of taking vaccines.
[00:56:37.186 --> 00:56:38.606]  And so, yes, they are criminals.
[00:56:38.887 --> 00:56:39.587]  They will lie.
[00:56:39.767 --> 00:56:40.687]  Google this.
[00:56:41.747 --> 00:56:45.428]  Vaccine exemption or vaccine waiver form.
[00:56:45.468 --> 00:56:48.469]  But why do you need a waiver for something that isn't a law to begin with?
[00:56:50.095 --> 00:57:04.228]  Hey, Google forced vaccine Maryland, and I even had the head of the state on, the head attorney, they had police dogs barking and thousands of kids showing up crying, being quote, forcibly injected under color of law.
[00:57:04.308 --> 00:57:06.269]  It is a bankrupt criminal government.
[00:57:06.530 --> 00:57:11.354]  And anybody that doubts me, only a criminal government would lie and say that you have to take a vaccine.
[00:57:12.595 --> 00:57:13.236]  When there's no law.
[00:57:13.616 --> 00:57:15.778]  I kind of see the people down the road pushing back.
[00:57:16.964 --> 00:57:18.225]  They are going to push back.
[00:57:18.265 --> 00:57:26.008]  That's why they openly admit the local police are now dialing in to the spy satellites, the control grids, the FEMA camps.
[00:57:26.388 --> 00:57:36.012]  Every major city has helicopters standing by, according to declassified documents in 2000 by the Sunshine Project, with helicopters with opiate knockout gases waiting to gas every major city.
[00:57:36.932 --> 00:57:42.353]  Well, I just pray that this election is peaceful, but I don't think it's going to be peaceful.
[00:57:42.393 --> 00:57:47.915]  I talked to a woman who lives in the Caribbean, who came from Africa, and this is what she said.
[00:57:47.935 --> 00:57:48.695]  She's a black woman.
[00:57:48.715 --> 00:57:53.596]  She sat there and said, Barack Obama will lead the black people down to the slaughter.
[00:57:54.016 --> 00:58:00.318]  I said, these charismatic leaders, once they get in power, I said, that's when the horror starts.
[00:58:00.578 --> 00:58:03.738]  Yeah, we have a completely criminal elite looting everything in power.
[00:58:04.119 --> 00:58:05.659]  During the break, I'm going to Google
[00:58:07.071 --> 00:58:10.214]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:58:10.234 --> 00:58:12.576]  Now you can do even more to hear Genesis shows in your area.
[00:58:28.490 --> 00:58:32.931]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:58:33.051 --> 00:58:33.571]  It's easy.
[00:58:33.751 --> 00:58:40.313]  Log on to GCNlive.com or call us toll free 877-807-4048.
[00:58:40.373 --> 00:58:41.033]  Make a difference.
[00:58:41.133 --> 00:58:46.414]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[00:58:46.514 --> 00:58:46.874]  Call today.
[00:58:52.216 --> 00:58:53.256]  Looking for profit?
[00:58:53.316 --> 00:58:55.078]  Looking for safety and security?
[00:58:55.098 --> 00:58:58.260]  The $10 Olympic commemorative gold coin offers both.
[00:58:58.280 --> 00:59:05.864]  This low-mintage collector coin, with a total series mintage under $600,000, has sold at four times its current price.
[00:59:05.924 --> 00:59:09.627]  Falling dollar values and inflation make this likely to happen again.
[00:59:09.667 --> 00:59:11.448]  Secure your position today.
[00:59:11.508 --> 00:59:12.729]  Call Midas Resources at 1-800-686-2237.
[00:59:12.749 --> 00:59:13.029]  That's 1-800-686-2237.
[00:59:21.098 --> 00:59:23.560]  Gee, honey, those new shoes look great on you.
[00:59:23.720 --> 00:59:26.241]  And look, they show off my new toenails, too.
[00:59:26.481 --> 00:59:27.222]  New toenails?
[00:59:27.762 --> 00:59:28.843]  What happened to the old ones?
[00:59:29.443 --> 00:59:32.445]  Well, they're not really new, just clear and healthy looking.
[00:59:32.785 --> 00:59:34.426]  Remember how embarrassed I was?
[00:59:34.767 --> 00:59:37.328]  They were so discolored, ugh, really awful looking.
[00:59:37.448 --> 00:59:38.909]  Well, they sure look clear now.
[00:59:39.310 --> 00:59:40.991]  I wish I could wear sandals again.
[00:59:41.271 --> 00:59:43.012]  My toenails are a disaster.
[00:59:43.332 --> 00:59:46.214]  Look, this one looks white, and that one's thick and yellow.
[00:59:46.394 --> 00:59:48.856]  Here's my secret, Non-X Nail Gel.
[00:59:49.177 --> 00:59:53.340]  It clears out yellow and keratin debris, the cause of nail discoloration.
[00:59:53.581 --> 00:59:54.341]  So that's it.
[00:59:54.541 --> 00:59:57.664]  I've got ugly keratin debris build up under my nails.
[00:59:57.865 --> 00:59:59.826]  And Non-X Nail Gel gets rid of it.
[01:00:00.167 --> 01:00:03.670]  You'll need to use it daily, but clear nails are worth it.
[01:00:03.810 --> 01:00:04.330]  You bet.
[01:00:04.471 --> 01:00:09.055]  When we go to the beach next summer, my toenails are going to look just as good as yours do.
[01:00:09.375 --> 01:00:11.036]  Thanks to Non-X Nail Gel.
[01:00:11.136 --> 01:00:13.498]  Non-X Nail Gel for clear, healthy looking nails.
[01:00:13.718 --> 01:00:20.402]  Now at Walgreens, Rite Aid, CVS, Long's, Meijer, Target, and other fine pharmacies and mass retailers in the foot care section.
[01:00:21.162 --> 01:00:22.463]  Will not face charges.
[01:00:22.703 --> 01:00:23.944]  We'll have those stories and more.
[01:00:24.344 --> 01:00:28.367]  You are listening to GCN, the Genesis Communications Radio Network.
[01:00:29.067 --> 01:00:30.508]  Texas, it's 5 o'clock.
[01:00:35.300 --> 01:00:36.901]  IRM USA Radio News.
[01:00:37.181 --> 01:00:38.022]  I'm Jody Jordan.
[01:00:38.222 --> 01:00:44.105]  He may be leading in the polls, but Barack Obama is not easing up on a final weekend before the election.
[01:00:44.706 --> 01:00:49.449]  He'll campaign today in Ohio, hoping to pocket a traditionally Republican state.
[01:00:49.569 --> 01:00:51.270]  Don't believe for a second this election's over.
[01:00:51.930 --> 01:00:54.672]  Don't think for a minute that power will concede without a fight.
[01:00:54.852 --> 01:00:58.534]  John McCain will spend his last day of campaigning in Pennsylvania and New Hampshire.
[01:00:58.754 --> 01:01:03.437]  He says he's fighting back from being down in the polls and urges voters to prove the pundits wrong.
[01:01:04.048 --> 01:01:13.634]  Britain's Prime Minister is in Saudi Arabia where he's trying to coax oil-rich countries in the Middle East to donate to the bailout reserves of the International Monetary Fund.
[01:01:14.234 --> 01:01:17.336]  Gordon Brown says he's confident the Saudis will help.
[01:01:17.677 --> 01:01:28.363]  If we're going to protect the world against what we might call the contagion of something happening in one country affecting another, then we do need the countries with reserves and resources to contribute to that.
[01:01:28.463 --> 01:01:30.505]  This is IRN USA Radio News.
[01:01:32.072 --> 01:01:37.315]  Here's a word about Israel from Dr. Jack Hayford, President of the International Church of the Foursquare Gospel.
[01:01:37.335 --> 01:01:40.797]  To go to Israel is to change the way you will ever approach the Bible.
[01:01:40.997 --> 01:01:47.081]  The Bible becomes faced in an entirely deeper and richer way because you have been where it happened.
[01:01:47.461 --> 01:01:49.943]  You'll never be the same when you visit Israel.
[01:01:50.463 --> 01:01:54.185]  To start planning your trip to Israel today, visit www.goisrael.com.
[01:02:01.844 --> 01:02:05.487]  Imagine what your life would be like if over half your credit card debt was gone.
[01:02:05.647 --> 01:02:08.109]  You don't have to imagine life without credit card debt.
[01:02:08.229 --> 01:02:12.853]  You can call Financial Freedom of America for a free, no obligation debt consultation.
[01:02:12.973 --> 01:02:17.696]  Their friendly staff will show you how they can wipe out 30 to 60 percent of your credit card bills.
[01:02:17.876 --> 01:02:19.077]  Not available in all states.
[01:02:19.237 --> 01:02:20.158]  The call is free.
[01:02:20.218 --> 01:02:21.619]  The consultation is free.
[01:02:21.719 --> 01:02:21.999]  Call 800-515-4749.
[01:02:22.019 --> 01:02:22.080]  800-515-4749.
[01:02:22.100 --> 01:02:22.800]  Don't wait another minute.
[01:02:22.840 --> 01:02:23.140]  Call 800-515-4749.
[01:02:32.210 --> 01:02:38.755]  And more on the road to the White House, where Republican presidential candidate John McCain will be busy between now and Election Day.
[01:02:39.095 --> 01:02:40.336]  Here's Warren Levinson.
[01:02:40.516 --> 01:02:51.125]  New Hampshire has revived John McCain before in the Republican primaries of 2000 and 2008, and the campaign makes a symbolic visit to a town meeting in Peterborough on the last Sunday before Election Day.
[01:02:51.385 --> 01:02:56.429]  Before that, a return to Pennsylvania, where he campaigned yesterday, and a late-night rally in Crucial, Florida.
[01:02:56.529 --> 01:02:59.491]  The pundits have counted us out, McCain told supporters, again.
[01:02:59.591 --> 01:03:05.556]  When I see this momentum, when I see this great support, I know, I know we're gonna win.
[01:03:05.776 --> 01:03:06.897]  I know we're gonna win.
[01:03:07.277 --> 01:03:09.338]  Warren Levenson with the McCain campaign, New York.
[01:03:09.478 --> 01:03:15.483]  And it's a small group of people who would willingly stick a pumpkin on their head and run down a crowded city street naked.
[01:03:15.503 --> 01:03:18.205]  At least in part, that's because it's illegal.
[01:03:18.665 --> 01:03:26.031]  Police in Boulder, Colorado ticketed about a dozen people for making such a run Friday night, despite cries of protest from the crowd.
[01:03:26.727 --> 01:03:30.439]  For more news and analysis, log on to IRNnews.com.
[01:03:31.818 --> 01:03:35.439]  I'm Errol Squires, inventor of Relieve One Day Cold Sore Symptom Treatment.
[01:03:35.539 --> 01:03:40.840]  I invented Relieve because I wanted a very effective, natural treatment for cold sores that work really fast.
[01:03:41.020 --> 01:03:44.760]  Relieve works so well and so fast for me, my family and friends.
[01:03:44.900 --> 01:03:47.441]  I wanted to help other people who suffer from cold sores.
[01:03:47.641 --> 01:03:50.261]  I think people are smart enough to know if something works.
[01:03:50.521 --> 01:03:54.502]  If you suffer from cold sores, try Relieve and find out if it works for you.
[01:03:54.722 --> 01:03:57.963]  Relieve is comprised of botanical extracts and is guaranteed.
[01:03:58.063 --> 01:04:00.363]  Buy Relieve now at all major stores.
[01:04:02.230 --> 01:04:09.982]  Boeing's commercial airplane factories began getting back to normal tonight now that the machinist union has accepted a new contract.
[01:04:10.663 --> 01:04:14.109]  A key issue of the eight-week strike was job security.
[01:04:15.590 --> 01:04:20.271]  You can't please everyone 100% of the time.
[01:04:20.291 --> 01:04:29.673]  I think that a 74% acceptance is a strong, strong acceptance by the membership and they feel good about it.
[01:04:42.788 --> 01:04:50.214]  With Obama running to make history, Bruce Springsteen's his warm-up act in Cleveland, one of three cities Obama's hitting here.
[01:04:50.754 --> 01:04:58.120]  Polls give the Democrat a narrow lead in a state that decided the outcome four years ago, but he's telling supporters take nothing for granted.
[01:04:58.260 --> 01:05:04.585]  I need you to close the deal, because the time for change has come, you know it, and we've got a righteous wind at our backs.
[01:05:04.905 --> 01:05:10.769]  Coming full circle, Obama ends this day in Florida, where the run for the White House was decided in 2000.
[01:05:12.091 --> 01:05:14.972]  Mark Smith with the Obama campaign, Columbus, Ohio.
[01:05:14.992 --> 01:05:22.195]  And Afghan officials are waiting to hear from kidnappers who seized the brother of Afghanistan's finance minister Friday.
[01:05:22.815 --> 01:05:25.736]  No word yet on who they are or what they may want.
[01:05:26.737 --> 01:05:30.198]  I'm Jody Jordan for IRN USA Radio News.
[01:05:31.483 --> 01:05:32.864]  Senator Barkley, I presume.
[01:05:33.144 --> 01:05:35.366]  Governor Ventura, what are you doing down here?
[01:05:35.606 --> 01:05:38.409]  Looking for a way out for me and all these taxpayers.
[01:05:38.789 --> 01:05:40.170]  Are we where I think we are?
[01:05:40.390 --> 01:05:43.192]  Yes, it appears we're at the bottom of a very deep hole.
[01:05:43.392 --> 01:05:44.573]  Did we do something wrong?
[01:05:44.653 --> 01:05:45.154]  Not us.
[01:05:45.254 --> 01:05:49.978]  It seems some schemers on Wall Street dug this hole, and we're down here to get them out of it.
[01:05:50.138 --> 01:05:53.921]  I don't see too many investment bankers or insurance company executives down here.
[01:05:54.241 --> 01:05:55.742]  I don't see Al Franken here either.
[01:05:55.902 --> 01:05:59.045]  Senator, I said we're down here with taxpayers.
[01:05:59.805 --> 01:06:01.746]  I don't see Norm Coleman down here either.
[01:06:01.947 --> 01:06:06.490]  Well, since Norm Coleman became Senator, the federal deficit went up three trillion dollars.
[01:06:06.770 --> 01:06:09.592]  Governor, you and I know the first rule of getting out of a hole.
[01:06:09.932 --> 01:06:11.293]  Stop digging!
[01:06:11.573 --> 01:06:14.455]  During my administration, we ran budget surpluses.
[01:06:14.655 --> 01:06:16.537]  And we gave money back to taxpayers.
[01:06:16.677 --> 01:06:18.858]  That's the kind of thinking we need in Washington.
[01:06:19.038 --> 01:06:24.082]  Please go to SenatorBarclay.com to make a contribution and help take back our country.
[01:06:24.522 --> 01:06:27.044]  I'm Senator Dean Barclay and I approve this message.
[01:06:27.484 --> 01:06:30.505]  And so do I. Paid for by Barclay for Senate.
[01:06:32.526 --> 01:06:40.890]  Prepare yourself for a talk radio experience like no other.
[01:06:41.890 --> 01:06:43.471]  He stands for truth.
[01:06:44.671 --> 01:06:46.912]  He stands for justice.
[01:06:47.873 --> 01:06:49.654]  He stands for what's right.
[01:06:50.294 --> 01:06:52.515]  This is the Alex Jones Show.
[01:06:54.290 --> 01:07:00.814]  Call Alex now, toll free at 877-590-5525.
[01:07:01.974 --> 01:07:09.658]  Now live from Austin, Texas, here's Alex Jones.
[01:07:09.878 --> 01:07:22.325]  Alright, I want to take a lot of phone calls on the election, the economy, the new world order being openly announced by all these world leaders, but this is a microcosm of everything we're dealing with that I'm about to cover here briefly.
[01:07:24.159 --> 01:07:28.181]  A caller calls in, and I see it in the news every day.
[01:07:28.241 --> 01:07:29.341]  I scan hundreds of newspapers.
[01:07:30.441 --> 01:07:37.564]  And he says, yeah, my wife went in to the health department to get the exemption for vaccination.
[01:07:37.584 --> 01:07:39.065]  And they have them for certain jobs.
[01:07:39.105 --> 01:07:40.065]  They claim you have to do it.
[01:07:40.405 --> 01:07:42.786]  They have it for the public schools, the private schools.
[01:07:43.886 --> 01:07:45.427]  They claim it's the law.
[01:07:45.527 --> 01:07:46.087]  It's the law.
[01:07:46.187 --> 01:07:46.728]  It's the law.
[01:07:48.208 --> 01:07:53.250]  And I said, sir, just Google Texas vaccine exemption form or just add your state's name.
[01:07:53.903 --> 01:07:55.984]  And for Texas, I got 56,200 hits.
[01:07:56.464 --> 01:08:00.125]  Texas vaccine exemption form.
[01:08:01.125 --> 01:08:02.426]  Texas vaccine exemption.
[01:08:02.466 --> 01:08:03.126]  State of Texas.
[01:08:03.146 --> 01:08:06.227]  The state of Texas law grants and acknowledges.
[01:08:06.627 --> 01:08:08.007]  Well, see that's the new system.
[01:08:08.027 --> 01:08:09.508]  They grant us because we're slaves.
[01:08:10.248 --> 01:08:16.330]  And acknowledges the rights of parents to exempt their children or themselves from vaccinations.
[01:08:16.790 --> 01:08:20.711]  Because the vaccine exemption forms for reasons of conscious including, and you can go through.
[01:08:20.731 --> 01:08:22.532]  It's DSHS.
[01:08:24.446 --> 01:08:36.319]  dot state dot texas dot us forward slash immunization forward slash school forward slash default dot s h t m but but just google texas vaccine exemption form now now here's the issue
[01:08:37.253 --> 01:08:46.799]  Every year, in August, right before school starts, on Austin News, on Dallas News, on New York News, everywhere, they announce, it's the law, you'll be arrested.
[01:08:47.260 --> 01:09:02.149]  Thousands show up for free immunization at the local Zilker Park, or thousands show up at the Texas Stadium up in Dallas, or thousands show up at the health department in St.
[01:09:02.189 --> 01:09:02.990]  George County
[01:09:04.321 --> 01:09:04.982]  Maryland.
[01:09:05.583 --> 01:09:08.827]  And on hand was the state attorney making sure they follow the law.
[01:09:09.287 --> 01:09:12.231]  And then there were images just in that case in Maryland.
[01:09:12.271 --> 01:09:13.552]  We called and got the guy on.
[01:09:13.572 --> 01:09:17.317]  This is at the start of school this year.
[01:09:18.081 --> 01:09:30.626]  And it shows police dogs barking, police in riot gear because they've got a lot of threatening phone calls, and over 2,000 children and thousands of parents lined up with these mobile vans being injected and parents crying on the news.
[01:09:30.646 --> 01:09:42.350]  You can go pull these up, it was on CNN, ABC, everywhere going, I just think it's wrong, it's the law, we gotta take these, I don't like these, I can't believe it, you know, vaccines can make you sick, I can't believe they're threatening to arrest us.
[01:09:43.171 --> 01:09:44.151]  And I had the guy on,
[01:09:45.248 --> 01:09:49.132]  The state attorney, and he said, well it's true, I don't vaccinate my children and started laughing.
[01:09:49.172 --> 01:09:50.673]  You can go YouTube that.
[01:09:51.093 --> 01:09:51.674]  It's been posted.
[01:09:52.295 --> 01:09:54.717]  People take the audio of it and post it to video on the web.
[01:09:55.558 --> 01:09:58.060]  And he said, well you're right, there is no law.
[01:09:58.700 --> 01:10:00.942]  And he said, oh you want to be a lawyer, you're real smart.
[01:10:00.982 --> 01:10:05.767]  Yeah, it's our policy and then we kick you out for truancy and then criminal charges come in.
[01:10:08.405 --> 01:10:12.429]  But on the news, nationwide, they advertised, it's the law, gotta do it.
[01:10:12.690 --> 01:10:15.773]  Police dogs barking at the people as they were herded into the stadium.
[01:10:17.875 --> 01:10:21.599]  Now, people also email me and say, I'm a liar, it's the law, you gotta take it.
[01:10:21.939 --> 01:10:22.420]  No, you don't.
[01:10:22.460 --> 01:10:27.846]  Not to be a doctor, not to be a nurse, not to go to college, not to go to public school, not to go anywhere.
[01:10:28.847 --> 01:10:30.869]  And by the way, then they try this idiot line of, well,
[01:10:31.693 --> 01:10:36.435]  We've got to lie and say it's the law because you can infect other children if you don't have it.
[01:10:36.896 --> 01:10:48.201]  Wait a minute, if they're protected with a smallpox shot or a flu shot or whatever it is, MMR, Measles, Mumps, Rubella, Tetanus, Hepatitis, on and on and on again.
[01:10:48.221 --> 01:10:51.623]  Of course, Tetanus isn't even communicable, as reported by other people.
[01:10:53.616 --> 01:10:55.597]  Then your child is protected.
[01:10:56.118 --> 01:11:05.143]  And by the way, the last six years in a row now, they haven't even guessed a year before what mutated version of the flu shot to produce.
[01:11:06.824 --> 01:11:08.125]  So when you take it, it does nothing.
[01:11:08.325 --> 01:11:09.085]  By the way, here's another one.
[01:11:09.386 --> 01:11:12.588]  Google flu shot Alzheimer's.
[01:11:13.568 --> 01:11:14.589]  Hundreds of studies
[01:11:15.834 --> 01:11:20.396]  And the lowest study shows a doubling in Alzheimer's for those who have taken more than three flu shots in their life.
[01:11:20.816 --> 01:11:22.696]  And some studies show a five-fold.
[01:11:23.057 --> 01:11:23.697]  Oh, don't believe me?
[01:11:23.737 --> 01:11:24.337]  Just Google it.
[01:11:24.537 --> 01:11:27.878]  And you're going to be on government sites, research facilities.
[01:11:27.958 --> 01:11:28.559]  It's all there.
[01:11:29.899 --> 01:11:32.200]  Now, imagine if they're lying to you about that.
[01:11:32.440 --> 01:11:35.621]  Lying to you and saying it's the law, you've got to take shots.
[01:11:36.841 --> 01:11:38.242]  I mean, they CPS people's kids.
[01:11:38.262 --> 01:11:39.322]  They kidnap people's kids.
