[00:00:00.009 --> 00:00:01.190]  File sharing networks.
[00:50:43.629 --> 00:50:47.619]  But these people need to have the ammunition and the knowledge to carry to their friends and family.
[00:50:48.354 --> 00:50:52.298]  And so, yeah, we lose a little bit of money on it, but well worth the cost.
[00:50:52.318 --> 00:50:53.138]  800-686-2237.
[00:50:53.499 --> 00:50:57.923]  You can see it on screen there at PrisonPlanet.tv.
[00:50:58.883 --> 00:51:01.746]  Right now, if you're watching or later on the web, this is archived.
[00:51:02.206 --> 00:51:12.055]  Again, ladies and gentlemen, Ted, briefly come back at the end, because I want to just again explain to people, this is gold, $100, under what it's currently selling for.
[00:51:12.095 --> 00:51:13.136]  You understand that, folks?
[00:51:13.516 --> 00:51:14.097]  We'll be right back.
[00:51:15.103 --> 00:51:17.385]  Right now the world is a scary place.
[00:51:17.605 --> 00:51:22.809]  It's only a matter of time until we are struck again, but this time with biological and chemical attacks.
[00:51:23.049 --> 00:51:27.433]  The thought is scary, but it's important to hope for the best and prepare for the worst.
[00:51:27.633 --> 00:51:30.315]  The First Line Defense Kit allows you to do just that.
[00:51:30.495 --> 00:51:40.278]  The first line of defense kit includes Nutri-Immune and Nutri-Defense, providing top biological host defenses against pathogen entry, and provides immune NK killer cell boosting.
[00:51:40.498 --> 00:51:49.000]  Also included, the Nano-Mask Nano-Particular antiviral masks with replacement filters, providing supreme viral protection from airborne pathogens.
[00:51:49.281 --> 00:51:50.901]  And, the first line of defense wipes,
[00:51:51.081 --> 00:51:53.623]  It is a big idea, a new world order in the near future.
[00:52:21.431 --> 00:52:23.854]  Earth is dominated by a powerful world government.
[00:52:24.495 --> 00:52:26.617]  It's known as the Bilderberg Group.
[00:52:27.338 --> 00:52:29.560]  Could their objective be world domination?
[00:52:30.121 --> 00:52:32.584]  For thousands of years, their dark order grew.
[00:52:33.305 --> 00:52:40.633]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:52:43.644 --> 00:52:48.627]  For the first time in history, the elite's plan for world government is blown wide open.
[00:52:49.088 --> 00:52:52.590]  You will learn the secret that drives the entire New World Order agenda.
[00:52:52.950 --> 00:52:55.452]  Build America is making great progress toward a world government.
[00:52:55.512 --> 00:52:56.673]  Most people have no idea.
[00:52:56.693 --> 00:52:57.453]  They're not after money.
[00:52:57.473 --> 00:52:58.554]  They have all the money they need.
[00:52:58.754 --> 00:52:59.475]  They're after power.
[00:52:59.735 --> 00:53:00.575]  That's their aphrodisiac.
[00:53:00.876 --> 00:53:05.419]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:53:05.639 --> 00:53:09.121]  Or watch it online right now at PrisonPlanet.tv.
[00:53:09.601 --> 00:53:11.963]  Endgame, blueprint for global enslaving.
[00:53:12.403 --> 00:53:13.444]  You have been warned.
[00:53:15.146 --> 00:53:18.970]  You don't have to be in the military to enjoy military surplus savings.
[00:53:19.290 --> 00:53:25.096]  Right now at MainMilitary.com, you'll find savings on the top must-have military supplies.
[00:53:25.477 --> 00:53:27.059]  M10 gas masks for $12 or 3 for $30.
[00:53:27.099 --> 00:53:28.180]  Gas mask hoods $4 or 3 for $10.
[00:53:31.383 --> 00:53:33.706]  Mask filters, six dollars or three for 15.
[00:53:34.006 --> 00:53:36.889]  Save big on British chemical suits, only twelve dollars.
[00:53:37.089 --> 00:53:38.931]  Israeli gas masks, twenty dollars.
[00:53:39.191 --> 00:53:42.575]  Trigger finger gloves, five dollars a pair or thirty six dollars a dozen.
[00:53:42.835 --> 00:53:45.958]  Snowshoe binding for eight dollars or forty eight dollars a dozen.
[00:53:46.159 --> 00:53:47.180]  And so much more.
[00:53:47.480 --> 00:53:50.904]  Even hard to find surplus items, all at surplus prices.
[00:53:51.184 --> 00:53:53.987]  Preparing the whole family has never been so affordable.
[00:53:54.107 --> 00:53:54.727]  We're good to go.
[00:54:17.000 --> 00:54:21.242]  Alright, I want to jam in a call from Debbie James Russell, whoever I can here at the end.
[00:54:22.063 --> 00:54:25.464]  Too much has gone by too fast with us today here.
[00:54:26.085 --> 00:54:36.670]  Ted Anderson, without belaboring this, you buy gold when it's down, and then you pass those savings on to people when it's up.
[00:54:37.571 --> 00:54:43.078]  They can buy it when it's down too, but it's way up over $100 in the last week, and you bought it when it was $100 lower.
[00:54:43.158 --> 00:54:53.331]  You have the British Sovereigns, you have the American Eagles, you have the European Franks, the French and Swiss and other Franks.
[00:54:54.132 --> 00:54:56.555]  Again, tell folks about those deals and give them the phone number.
[00:54:57.037 --> 00:54:57.777]  Yeah, of course.
[00:54:57.838 --> 00:55:01.019]  We have the British Sovereign, currently right now it's at $2.54.
[00:55:01.139 --> 00:55:03.201]  We have the Frank, it's at $2.05.
[00:55:03.581 --> 00:55:07.663]  We do put the silver dollars inside of the book, The Creature from Jekyll Island.
[00:55:07.683 --> 00:55:13.546]  If you want something, I mean, get a silver dollar for nothing, basically, because you're paying for just the cost of the book.
[00:55:13.566 --> 00:55:14.667]  You get a free silver dollar.
[00:55:15.120 --> 00:55:17.361]  Otherwise, I do have the Buffalo.
[00:55:18.541 --> 00:55:19.202]  Oh my God!
[00:55:19.222 --> 00:55:19.862]  Wait, wait, wait.
[00:55:19.982 --> 00:55:21.183]  You had 50 of those yesterday.
[00:55:21.203 --> 00:55:21.823]  Do you still have them?
[00:55:22.003 --> 00:55:24.164]  No, we sold that supply out, but I found more.
[00:55:24.364 --> 00:55:25.685]  So I'll do another 50.
[00:55:25.965 --> 00:55:27.585]  How many do you have?
[00:55:27.805 --> 00:55:28.646]  Like I said, I'll do 50 at $1,036.
[00:55:31.807 --> 00:55:35.029]  Again, impossible to find, and huge premiums everywhere.
[00:55:35.069 --> 00:55:35.830]  You can find them.
[00:55:36.170 --> 00:55:37.531]  There is no premium on that.
[00:55:37.611 --> 00:55:39.332]  You cannot beat that deal.
[00:55:39.352 --> 00:55:39.553]  800-686-2237.
[00:55:39.573 --> 00:55:39.833]  800-686-2237.
[00:55:39.853 --> 00:55:47.998]  And Ted, I want to thank you for your sponsorship of this show.
[00:55:48.078 --> 00:55:50.700]  So much of what we're able to do here is because of you.
[00:55:50.720 --> 00:55:57.365]  And I don't know how you support us like you do, because I happen to know your gold prices, and I happen to know on some of these deals, you're making no money.
[00:55:58.683 --> 00:56:01.564]  Well, it's, I mean, a lot of it, I mean, you know where my heart is.
[00:56:01.604 --> 00:56:04.784]  I would like to see, I'd like to see this movement move forward.
[00:56:04.884 --> 00:56:11.905]  I would, you know, I'm going to be getting into some pretty mainstream shows, pitching the idea that this Federal Reserve is a bad idea.
[00:56:12.505 --> 00:56:14.026]  And so just start listening.
[00:56:14.046 --> 00:56:15.346]  You'll hear me all over the place.
[00:56:15.726 --> 00:56:26.968]  And I just think it's so important to get people back to your show and listen, because given any bit of time, they're going to find out the truth and know that it's coming from you and what's coming from these mainstream people.
[00:56:27.919 --> 00:56:33.408]  You know, it's just a bunch of hogwash and smoke and mirrors, so we'll just keep it running that way.
[00:56:33.889 --> 00:56:34.470]  Absolutely.
[00:56:34.490 --> 00:56:35.011]  800-686-2237.
[00:56:36.574 --> 00:56:39.418]  Ted, thank you so much for joining us.
[00:56:39.719 --> 00:56:40.620]  Yeah, thanks for having me on.
[00:56:41.357 --> 00:56:43.539]  Okay, folks, I took about 20 calls today.
[00:56:43.599 --> 00:56:44.920]  That's shameful.
[00:56:45.160 --> 00:56:46.461]  I mean, I could have taken 500.
[00:56:47.942 --> 00:56:49.383]  Every caller wants to make points.
[00:56:49.543 --> 00:56:50.403]  I want to make points.
[00:56:50.984 --> 00:56:52.605]  I want to spend time with the callers.
[00:56:52.765 --> 00:56:54.966]  I want to give them a chance to speak.
[00:56:55.027 --> 00:56:57.348]  And I have all this other news and audio clips and video clips.
[00:56:57.748 --> 00:56:58.309]  We're out of time.
[00:56:58.769 --> 00:57:01.371]  I meant to go to Joshua, David, Debbie, James, Russell.
[00:57:01.812 --> 00:57:06.776]  Call me back tomorrow, guys, in the first hour, and I promise you'll go to the head of the line.
[00:57:07.076 --> 00:57:15.424]  But I'm going to leave my IM from Minnesota open, because we're in Texas, the main networks in Minnesota, and if you call in tomorrow, you'll be first in line.
[00:57:15.444 --> 00:57:16.645]  I apologize to those viewers.
[00:57:17.807 --> 00:57:19.528]  And there's all this other news I didn't get to here.
[00:57:19.568 --> 00:57:20.888]  Let me cover that right here at the end.
[00:57:21.248 --> 00:57:38.515]  Corporate media notices War College report on economic crisis, and Kurt Nimmo did a story about a whole bunch of mainstream newspapers, El Paso, Times, Phoenix Business Journal, a whole bunch of other ones in the last week coming out and saying the Army will be used against the American people.
[00:57:39.176 --> 00:57:40.636]  Not terrorists, the American people.
[00:57:41.997 --> 00:57:44.178]  But the articles sickeningly say it's good
[00:57:45.091 --> 00:57:53.802]  See, when they're really finally to use this martial law apparatus that they've set up, they then have to introduce it to you and sell you that it's a good idea.
[00:57:54.743 --> 00:57:57.968]  And again, I'm not against the military and the police individually, but...
[00:57:59.349 --> 00:58:01.110]  They've been set up to carry out tyranny.
[00:58:01.831 --> 00:58:03.051]  We're under martial law.
[00:58:03.091 --> 00:58:04.372]  We're under the War Powers Act.
[00:58:04.392 --> 00:58:07.254]  The Federal Reserve has announced to Congress they are in control of the country.
[00:58:07.694 --> 00:58:09.456]  That is illegal.
[00:58:09.896 --> 00:58:14.599]  But the hijacker is dressed up in a fancy uniform, so people are, cops are going, well, I guess they're the new boss.
[00:58:15.099 --> 00:58:16.460]  Because of that image of authority.
[00:58:18.001 --> 00:58:18.541]  There's that.
[00:58:18.742 --> 00:58:20.162]  There's a bunch of other stories here.
[00:58:20.182 --> 00:58:20.483]  A U.S.
[00:58:20.543 --> 00:58:22.104]  Army document that proves the U.S.
[00:58:22.164 --> 00:58:24.986]  is the world's number one sponsor of worldwide terrorism.
[00:58:25.346 --> 00:58:26.707]  The Army admits it themselves.
[00:58:28.472 --> 00:58:29.393]  It's just incredible.
[00:58:29.633 --> 00:58:31.273]  I am out of time here.
[00:58:33.014 --> 00:58:36.295]  Again, hundreds and hundreds of major chains and businesses going under.
[00:58:36.795 --> 00:58:38.376]  Holiday sales the worst ever.
[00:58:39.056 --> 00:58:42.658]  This is all New World Order engineered so they can blow out the economy and have a fire sale.
[00:58:42.978 --> 00:58:45.099]  Rebroadcast starts on the web one place.
[00:58:45.479 --> 00:58:48.960]  Infowars.com with all the key info right now.
[00:58:49.300 --> 00:58:51.101]  We'll be back on the AM and FM later today and tomorrow.
[00:58:51.121 --> 00:58:51.801]  God bless you all.
[00:58:52.201 --> 00:58:53.142]  This is it for PrisonPlanet.tv.
[00:58:56.457 --> 00:58:58.323]  You are listening to GCN.
[00:58:59.969 --> 00:59:02.276]  Visit GCNlive.com today.
