[00:00:00.836 --> 00:00:01.256]  Yes, sir.
[00:46:28.615 --> 00:46:38.441]  Yeah, I don't know about that, but Fulford did write for Forbes and he says that the Asian Mafia, which is basically the heads of the Chinese and Japanese governments, are threatening the New World Order.
[00:46:39.562 --> 00:46:40.423]  I appreciate your call.
[00:46:40.803 --> 00:46:47.707]  That's speculative, so we don't go there, but Dr. Roberts, we know in reality the Chinese and others are saying that they're dumb of all this.
[00:46:49.788 --> 00:46:52.090]  Yeah, I think they're dumb of all this, but they're the rising powers.
[00:46:53.106 --> 00:46:55.308]  Yeah, they don't need to act like a bunch.
[00:46:55.328 --> 00:46:56.589]  It'll happen in our lifetime.
[00:46:57.450 --> 00:46:59.371]  George in Indiana, you're on the air with Dr. Roberts.
[00:46:59.411 --> 00:46:59.792]  Go ahead.
[00:47:02.094 --> 00:47:03.375]  Thanks, Dr. Roberts.
[00:47:03.535 --> 00:47:04.756]  You and Alex are doing a great job.
[00:47:04.816 --> 00:47:08.339]  I've got two or three comments, and real quick ones that I have a question for you.
[00:47:08.359 --> 00:47:08.900]  Go, go, go.
[00:47:09.781 --> 00:47:16.727]  I went to Burger King yesterday to get me a fish sandwich, and on the drive-thru window, now it says no video filming or picture taking.
[00:47:17.027 --> 00:47:20.310]  I'm going to go in there and tell that manager I'm never eating there again until that comes down.
[00:47:20.390 --> 00:47:21.291]  Well, I want to explain.
[00:47:21.351 --> 00:47:24.814]  They're going to surveil us, but then we can't surveil them back.
[00:47:24.854 --> 00:47:29.778]  And I've got tons of videos of cops walking up on city streets telling people don't take camp shots.
[00:47:29.998 --> 00:47:31.880]  Again, it's just more martial law.
[00:47:31.920 --> 00:47:32.640]  What's the other comment?
[00:47:32.940 --> 00:47:33.521]  Absolutely.
[00:47:34.362 --> 00:47:37.104]  On this guy that thinks he follows the Christian attitude,
[00:47:37.484 --> 00:47:41.207]  The second commandment says, make no image of heaven or earth or bound down to it.
[00:47:41.247 --> 00:47:42.528]  You see crosses everywhere.
[00:47:42.829 --> 00:47:44.730]  These people don't understand what they're worshiping.
[00:47:45.090 --> 00:47:48.113]  In Florida, there's a guy that says he is Jesus and the Antichrist.
[00:47:48.433 --> 00:47:50.675]  Putting 666 on people and they're following him around.
[00:47:50.735 --> 00:47:52.576]  Do you have any questions for Dr. Roberts?
[00:47:52.596 --> 00:47:53.877]  Because that's why we open the phones up.
[00:47:55.759 --> 00:47:56.500]  Another thing.
[00:47:56.760 --> 00:47:59.982]  Our government is not a department of offense.
[00:48:00.002 --> 00:48:01.303]  It's a department of defense.
[00:48:01.584 --> 00:48:04.326]  We shouldn't be attacking people with no provocation.
[00:48:04.626 --> 00:48:06.548]  What I want to ask you guys though is
[00:48:07.650 --> 00:48:15.413]  Explain to everybody out there what it means when it says that those are with Israel, God is with them, those are against Israel, God is against them.
[00:48:15.453 --> 00:48:16.634]  Explain what that really means.
[00:48:16.854 --> 00:48:18.194]  Well, I mean, it's not in the Bible.
[00:48:18.594 --> 00:48:21.875]  The prophets were coming and saying when Israel was bad and was going to go into exile.
[00:48:21.936 --> 00:48:25.757]  It's just made up, and it makes the Christian religion now Israel worship.
[00:48:25.797 --> 00:48:26.377]  Dr. Roberts?
[00:48:26.397 --> 00:48:28.378]  Well, I think you nailed it.
[00:48:31.260 --> 00:48:32.180]  I mean, I agree with you, Alex.
[00:48:32.280 --> 00:48:33.781]  It's just mindless cult worship.
[00:48:33.841 --> 00:48:35.301]  I mean, it's insane.
[00:48:36.061 --> 00:48:41.403]  And Israel doesn't like the Christian faith in the government, so they have Hagee say Jesus is not Jesus.
[00:48:41.443 --> 00:48:43.044]  I mean, and they say, alright, he's bad.
[00:48:43.664 --> 00:48:45.684]  I mean, you know, these people will do anything they're told, folks.
[00:48:46.185 --> 00:48:50.846]  I mean, Hagee could dress up in a devil outfit and say, you know, have Anton LaVey in, and they'd bow down.
[00:48:51.886 --> 00:48:52.386]  Who's up next?
[00:48:52.406 --> 00:48:53.287]  George or Steve here?
[00:48:54.907 --> 00:48:56.008]  Steve in Ohio.
[00:48:56.048 --> 00:48:56.568]  You're on the air.
[00:48:56.588 --> 00:48:57.528]  Go ahead with Dr. Roberts.
[00:48:57.568 --> 00:48:58.608]  Any economic questions?
[00:48:59.029 --> 00:48:59.789]  Hey, how's it going, Alex?
[00:48:59.869 --> 00:49:00.369]  Mr. Roberts?
[00:49:02.115 --> 00:49:02.775]  I got a question.
[00:49:02.795 --> 00:49:06.298]  Did any of you guys see that speech by George Bush that he addressed?
[00:49:06.378 --> 00:49:14.343]  He was actually addressing the nation and he more or less informed us that our country wasn't going to be the industrial power that it used to be.
[00:49:16.305 --> 00:49:21.128]  We're moving toward data processing and service-oriented industries.
[00:49:21.889 --> 00:49:23.210]  You guys remember seeing that?
[00:49:23.942 --> 00:49:24.162]  Yes.
[00:49:24.943 --> 00:49:25.963]  That's what we see now, right?
[00:49:26.203 --> 00:49:31.946]  We see the destruction of manufacturing and all these large corporations in this country disappear.
[00:49:32.126 --> 00:49:33.427]  It didn't happen by accident.
[00:49:33.447 --> 00:49:39.350]  Dr. Roberts, you know, thinks that they just are a bunch of idiots, and I agree they are delusional, but they're engineering this.
[00:49:39.370 --> 00:49:41.451]  I mean, they know what they're doing, don't they, Dr. Roberts?
[00:49:42.872 --> 00:49:45.954]  It's not just manufacturing jobs, either.
[00:49:46.434 --> 00:49:50.096]  It's all the data processing jobs, all the computer software jobs.
[00:49:51.217 --> 00:49:51.757]  It's any
[00:49:52.581 --> 00:50:01.945]  A job that's tradable, that is, that doesn't have to be done hands-on, like a barber or a dentist or awaiting a table or fixing a drink.
[00:50:02.205 --> 00:50:05.026]  You don't make a living at that job.
[00:50:05.066 --> 00:50:18.671]  The reason they're doing it is because it dramatically lowers their cost of production and they then can pay themselves a multi-million dollar
[00:50:22.134 --> 00:50:26.816]  It's a short-term thing for them, but does destroy the goose that lays the golden eggs.
[00:50:27.516 --> 00:50:30.197]  What happens when China calls in their loans?
[00:50:30.217 --> 00:50:32.558]  What happens when they stop taking American dollars?
[00:50:34.979 --> 00:50:37.820]  The government can't pay its bills any longer.
[00:50:37.940 --> 00:50:38.300]  The U.S.
[00:50:38.340 --> 00:50:43.842]  government can't pay its bills if the Chinese don't buy its paper.
[00:50:45.080 --> 00:50:48.862]  And that's why they're setting up work brigades and the million-man youth corps.
[00:50:48.882 --> 00:50:55.605]  Did you see Obama, Dr. Roberts, say that he wants a million-man teenagers spying on the American people last week?
[00:50:56.506 --> 00:50:57.406]  I didn't see that.
[00:50:58.067 --> 00:51:00.288]  Well, then he's just now part of the problem.
[00:51:01.388 --> 00:51:01.729]  Isn't he?
[00:51:01.789 --> 00:51:03.329]  I mean, all this stuff about change.
[00:51:04.330 --> 00:51:07.411]  It sounds like the only change he's going to bring is for the worse.
[00:51:08.512 --> 00:51:11.814]  Well, now he's out talking the line of warmongering.
[00:51:11.894 --> 00:51:13.915]  I mean, we know he's handled by the same crew.
[00:51:15.626 --> 00:51:16.046]  That's right.
[00:51:17.447 --> 00:51:18.307]  I totally agree.
[00:51:18.367 --> 00:51:19.207]  It's the same crew.
[00:51:20.147 --> 00:51:27.909]  And what we mustn't overlook, though, is the United States is no longer the powerhouse that they think it is.
[00:51:29.390 --> 00:51:41.453]  Well, like you said, this isn't like a man who beats his wife every night with a tire iron, and she's finally leaving, and he really tries to intimidate her when she's got everything loaded up, and he pulls a gun out and threatens to shoot her.
[00:51:41.773 --> 00:51:43.054]  I mean, I think we've gotten to that point.
[00:51:43.074 --> 00:51:44.034]  Would you agree with that analogy?
[00:51:45.680 --> 00:51:49.383]  Well, if we pull a gun on China or Russia, we're going to get our clocks clean.
[00:51:51.245 --> 00:51:53.767]  So, of course, that's what McCain wants to do.
[00:51:54.247 --> 00:51:54.668]  Apparently.
[00:51:55.588 --> 00:51:56.689]  And that's what the Neocons do.
[00:51:56.809 --> 00:51:59.011]  McCain has the body language of a lunatic.
[00:51:59.051 --> 00:51:59.832]  Would you agree with that?
[00:51:59.852 --> 00:52:04.056]  I mean, he acts like... I mean, if I knew that guy in business, I would think he had a screw loose.
[00:52:04.356 --> 00:52:06.778]  I think they call it testosterone poisoning.
[00:52:08.099 --> 00:52:12.102]  I think that's the psychological term for McCain.
[00:52:12.383 --> 00:52:14.024]  Testosterone poisoning.
[00:52:18.703 --> 00:52:20.124]  Yeah, he's definitely got to screw loose.
[00:52:20.144 --> 00:52:21.364]  Thank you, Steve.
[00:52:21.464 --> 00:52:23.645]  Todd in Ohio, you're on the air.
[00:52:27.366 --> 00:52:27.987]  Go ahead, Todd.
[00:52:28.587 --> 00:52:29.267]  Hey, how's it going?
[00:52:29.707 --> 00:52:44.593]  I just wanted to call in and make the point, it's funny how the people that are saying that you should follow the government and do whatever they say, they say follow those laws, are the same ones that actually reject the laws of God, but they say you've got to follow man's laws, but don't follow God's laws.
[00:52:45.456 --> 00:52:46.297]  Does that make any sense?
[00:52:46.397 --> 00:52:46.937]  No, no, that's right.
[00:52:46.957 --> 00:52:51.681]  They're the funny Christians that go out and have abortions and get, you know, get divorced five or six times.
[00:52:51.721 --> 00:52:52.862]  And I'm not even judging those people.
[00:52:52.882 --> 00:52:57.566]  The point is, they're the ones that do that, and they're the ones that'll steal from you in business.
[00:52:57.606 --> 00:53:00.289]  I mean, I grew up around a bunch of big Dallas preachers in the neighborhood I lived in.
[00:53:00.309 --> 00:53:01.650]  You know, upper middle class.
[00:53:01.670 --> 00:53:02.110]  My dad.
[00:53:03.171 --> 00:53:11.478]  And I saw him partying, and I saw him with the hookers next door, and I saw him with all the... And I'd see him on TV the next, you know, the next day on Sunday on Dallas television.
[00:53:11.498 --> 00:53:12.479]  Dr. Roberts, you're giggling.
[00:53:16.305 --> 00:53:25.667]  Well, listen, I think on the whole, the question is open whether or not there is a Christian religion.
[00:53:25.887 --> 00:53:28.208]  Maybe there's still something left in the Catholic Church.
[00:53:28.288 --> 00:53:30.568]  I think the Protestant Church has blown it.
[00:53:32.069 --> 00:53:34.369]  By the Catholics, you mean at least they're still against abortion?
[00:53:35.589 --> 00:53:42.371]  Well, I think they still believe that people have souls and that the purpose of religion is to save a soul.
[00:53:44.254 --> 00:53:54.544]  And I guess the church has been against the war, too, so that's a... Generally, they are against destruction of human life, whether it's war, abortion, capital punishment.
[00:53:55.865 --> 00:53:57.827]  They think life is something God gives.
[00:53:59.096 --> 00:53:59.977]  So I took the belt off.
[00:54:00.017 --> 00:54:02.098]  He ran his hands down over and pulled the pants down.
[00:54:02.118 --> 00:54:03.098]  They went down around my ankles.
[00:54:28.556 --> 00:54:32.539]  At that point, Perry was standing in his underwear in public view.
[00:54:32.879 --> 00:54:34.361]  He asked to see a supervisor.
[00:54:34.621 --> 00:54:35.782]  That made things worse.
[00:54:36.682 --> 00:54:38.824]  She was yelling, I have power!
[00:54:39.184 --> 00:54:39.945]  I have power!
[00:54:40.345 --> 00:54:41.126]  I have power!
[00:54:41.686 --> 00:54:47.731]  The power to stop him from flying to Florida with his wife that day to celebrate their 50th wedding anniversary.
[00:54:48.271 --> 00:54:49.032]  Make you feel like
[00:54:49.631 --> 00:54:51.011]  You have no rights.
[00:54:51.392 --> 00:54:57.814]  Perry says he always alerts TSA agents about his metal knee and wonders why they can't just check his leg.
[00:54:58.174 --> 00:55:06.436]  If somebody told me that I'm going to save the people on the airplane by taking my pants off in public, I wouldn't mind doing it.
[00:55:06.896 --> 00:55:08.897]  But this was not necessary.
[00:55:09.197 --> 00:55:15.179]  TSA officials say that when the metal detector goes off, their agents must resolve what caused the alarm.
[00:55:15.618 --> 00:55:17.699]  Dr. Roberts, we know this is by design.
[00:55:17.939 --> 00:55:20.459]  I mean, they want to train us how to be slaves, as you've said.
[00:55:21.119 --> 00:55:24.900]  And people need to know that now they have the body scanners where they videotape your naked body.
[00:55:25.480 --> 00:55:26.961]  And I'm not going through those.
[00:55:27.421 --> 00:55:33.082]  And you watch that same video where they beat people up for just not even rudely talking back.
[00:55:33.142 --> 00:55:37.083]  And now they're killing people behind closed doors at airports.
[00:55:37.143 --> 00:55:38.123]  I mean, where is it going to end?
[00:55:39.744 --> 00:55:41.964]  Well, when we stop being cheap.
[00:55:45.271 --> 00:55:46.492]  This guy running around, I.F.
[00:55:46.592 --> 00:55:48.173]  Power, somebody should have decked him.
[00:55:48.393 --> 00:55:50.234]  In fact, all the people there.
[00:55:51.054 --> 00:55:54.036]  There must have been hundreds of people waiting in those stupid lines.
[00:55:54.796 --> 00:56:00.559]  They should have attacked those transportation security people in mass and just beat the livid shit out of them.
[00:56:00.579 --> 00:56:05.822]  That's what they should have done.
[00:56:05.862 --> 00:56:06.122]  Oh my God.
[00:56:06.142 --> 00:56:08.183]  That's exactly what they should have done.
[00:56:08.223 --> 00:56:10.945]  They ought to pull these people, and they ought to strip them off.
[00:56:15.193 --> 00:56:19.154]  And when the cops come, they ought to turn over their cars and do the same thing to them.
[00:56:19.214 --> 00:56:26.997]  Until the people start standing up for themselves and realize that they're dealing with a bunch of fascist thugs.
[00:56:27.017 --> 00:56:27.717]  And less to revolt about.
[00:56:39.619 --> 00:56:40.279]  Well, that's true!
[00:56:40.379 --> 00:56:44.782]  In fact, it was in the article, and they put cameras up, the Chinese climb up and knock them down and throw fits!
[00:56:47.004 --> 00:56:50.426]  I mean, when Communist China, in many respects, is more free than we are, we're in a lot of trouble.
[00:56:51.406 --> 00:56:52.467]  I agree that they are.
[00:56:52.707 --> 00:56:55.449]  Yes, they definitely are more free than we are.
[00:56:55.489 --> 00:56:57.250]  I've been there recently.
[00:56:58.231 --> 00:56:58.711]  Definitely.
[00:56:58.731 --> 00:56:59.832]  And they don't have the sphere.
[00:57:01.047 --> 00:57:05.309]  of government, and the government's not trying to instill fear in the population.
[00:57:23.891 --> 00:57:24.371]  Take care.
[00:57:25.332 --> 00:57:26.373]  What a way to end the show.
[00:57:26.913 --> 00:57:29.534]  More details, Willie Nelson and Jesse Ventura.
[00:57:29.835 --> 00:57:31.095]  Looks like it's probably going to happen.
[00:57:31.115 --> 00:57:35.198]  We just got to figure out in the next few months at short notice if we can get a venue big enough to do this.
[00:57:38.280 --> 00:57:39.420]  So that's up on the site.
[00:57:39.540 --> 00:57:44.864]  We're going into very bad waters here, but a lot of people are waking up and we can say no to this.
[00:57:46.210 --> 00:57:52.955]  We got a bunch of sick social engineers doing all this by design, bringing us into a global crisis by design, and we had to learn to say no.
[00:57:53.476 --> 00:57:54.336]  My mom called up.
[00:57:54.356 --> 00:57:55.037]  She never calls the office.
[00:57:55.057 --> 00:58:02.442]  I don't think my mother's ever called the office in a decade plus of a radio show, said, wish your uncle a happy birthday, because he was on the show earlier today.
[00:58:02.562 --> 00:58:03.483]  I didn't know it was your birthday.
[00:58:03.503 --> 00:58:04.063]  Happy birthday.
[00:58:04.083 --> 00:58:05.404]  It's also Burmese's birthday.
[00:58:06.886 --> 00:58:11.509]  So, you guys all have the same birthday there.
[00:58:12.550 --> 00:58:13.651]  All right, take us out of here, John.
[00:58:13.671 --> 00:58:15.192]  I don't hear my illustrious bumper music.
[00:58:16.409 --> 00:58:24.535]  I do want to encourage all of the listeners to please remember rebroadcast with Ron Paul and everybody else.
[00:58:24.815 --> 00:58:26.576]  Jim Mars with his new book on the Nazis.
[00:58:26.636 --> 00:58:28.898]  It's all up on Infowars.com.
[00:58:29.098 --> 00:58:32.340]  Retransmission on the audio starts right now for internet listeners.
[00:58:32.360 --> 00:58:34.882]  For everybody else, back live tomorrow on the MNFM Dial.
[00:58:34.902 --> 00:58:36.022]  But the show starts again.
[00:58:36.082 --> 00:58:36.823]  All the stuff you missed.
[00:58:37.103 --> 00:58:39.545]  It's a new show for those that haven't heard it at Infowars.com.
