[00:00:00.009 --> 00:00:01.650]  Waging war on corruption!
[00:47:00.974 --> 00:47:06.377]  I mean, this isn't, quote, again, you'll hear them say they would call it training, but then it was real.
[00:47:07.219 --> 00:47:09.320]  Now this was when it was a total felony to do this.
[00:47:09.360 --> 00:47:10.080]  It's still illegal.
[00:47:10.400 --> 00:47:11.701]  But they've watered it down somewhat.
[00:47:11.981 --> 00:47:17.203]  So this is your government committing crime, the military running operations quietly against the American people.
[00:47:17.423 --> 00:47:21.405]  You hear about the Pentagon spying on peace groups, spying on anti-corruption groups.
[00:47:21.705 --> 00:47:23.186]  You know, they're involved everywhere now.
[00:47:23.446 --> 00:47:25.567]  High treason, they're the enemy, they're the terrorist.
[00:47:26.167 --> 00:47:27.467]  Do I hate our average military?
[00:47:27.547 --> 00:47:27.788]  No.
[00:47:28.188 --> 00:47:29.708]  I realize how they've been used and controlled.
[00:47:29.988 --> 00:47:31.869]  So here's a few minutes from Road to Tyranny.
[00:47:32.309 --> 00:47:35.970]  This guy gave me all his documents, all his credentials, photos of it all.
[00:47:36.330 --> 00:47:37.491]  We didn't show it in the film.
[00:47:37.751 --> 00:47:43.833]  We then show other secret documents, some of which haven't been declassified yet, some of which have been, in the film.
[00:47:43.853 --> 00:47:51.456]  But people should watch Road to Tyranny, because we show you how they carried out 9-11 in Oklahoma City, and the first World Trade Center attack, and now what they're doing.
[00:47:51.896 --> 00:47:52.256]  Here it is.
[00:47:54.897 --> 00:48:02.318]  Let's just stop.
[00:48:02.678 --> 00:48:07.259]  I don't know why that DVD... It doesn't matter.
[00:48:07.499 --> 00:48:10.940]  I try my hardest around here and it just doesn't happen.
[00:48:12.201 --> 00:48:12.561]  You know what?
[00:48:12.621 --> 00:48:14.701]  John actually has the audio cued up at the network.
[00:48:15.041 --> 00:48:17.602]  Play it from 33 minutes in from that clip I sent you, John.
[00:48:17.942 --> 00:48:19.282]  We'll just do this the old-fashioned way.
[00:48:19.302 --> 00:48:20.222]  Okay?
[00:48:21.263 --> 00:48:22.123]  John, you got that audio?
[00:48:23.022 --> 00:48:23.425]  It's running.
[00:48:23.445 --> 00:48:24.233]  Alright, go ahead and roll it.
[00:48:28.852 --> 00:48:31.413]  Our team was in Swansboro, North Carolina back in 2000.
[00:48:32.534 --> 00:48:37.696]  In February of 2002, two special forces trainees were killed by a sheriff's deputy.
[00:48:38.256 --> 00:48:39.057]  You ask why?
[00:48:39.277 --> 00:48:40.757]  They were trying to disarm him.
[00:48:40.797 --> 00:48:44.019]  They were trying to take over local law enforcement.
[00:48:44.339 --> 00:48:52.963]  This is the new type of training that our military are being given to overthrow the civilian government, the elected government, right here in the United States.
[00:48:53.423 --> 00:49:00.526]  And shockingly enough, there were actually two cases of this in the same week in North Carolina, where they were being trained to overthrow the civilian government.
[00:49:23.027 --> 00:49:24.369]  Oh, yeah.
[00:49:32.224 --> 00:49:37.467]  Every day in America, militarized SWAT teams kill innocent people, and they're rarely held accountable.
[00:49:37.807 --> 00:49:42.289]  More often, they kill their own officers, and still they're not held accountable.
[00:49:42.629 --> 00:49:43.890]  What's happening in America?
[00:49:44.170 --> 00:49:45.671]  How did they become so militarized?
[00:49:46.031 --> 00:49:54.495]  We interviewed a former Marine Corps officer, who in 1989, while he was in the Marine Corps, was serving search warrants on American citizens' homes and businesses.
[00:49:54.995 --> 00:50:11.082]  To start the beginning for us, a little bit about your past, how you first got involved in the military, and some of the things you did, and then later in life, some of the questions that you started raising yourself after you've been a police officer.
[00:50:11.702 --> 00:50:12.783]  Okay.
[00:50:12.803 --> 00:50:14.603]  I started out, I joined the Marines.
[00:50:15.184 --> 00:50:19.365]  Tested real high on the ASVAB, which is the Armed Forces Vocational Aptitude Battery.
[00:50:19.926 --> 00:50:22.847]  Did real well in that and was a MP5800 in the military police.
[00:50:24.151 --> 00:50:28.872]  From that, I was sent over to various duty stations.
[00:50:30.293 --> 00:50:32.153]  They started an interest in civilian law enforcement.
[00:50:32.193 --> 00:50:32.973]  Pause it right there!
[00:50:32.993 --> 00:50:36.274]  We're going to come back and end the show with the rest of this.
[00:50:36.354 --> 00:50:41.856]  I mean, this is the illegal government sneaking around, running our lives, doing whatever they want.
[00:50:41.876 --> 00:50:42.956]  They're all around you.
[00:50:43.016 --> 00:50:43.816]  They do what they want.
[00:50:43.856 --> 00:50:45.017]  They own you and your family.
[00:50:45.037 --> 00:50:46.617]  They're getting ready to make you their slaves.
[00:50:46.697 --> 00:50:47.217]  Just watch.
[00:50:47.537 --> 00:50:48.217]  Watch it happen.
[00:50:48.497 --> 00:50:50.118]  The military is now run by foreign banks.
[00:50:52.219 --> 00:50:53.279]  Why should we fire Congress?
[00:50:53.499 --> 00:50:56.981]  Because they use the Constitution of the United States as a scrap of paper.
[00:50:57.121 --> 00:50:59.222]  They swear an oath to follow it, and then they reject it.
[00:50:59.422 --> 00:51:02.103]  That was their employment document.
[00:51:02.243 --> 00:51:02.983]  They haven't followed it.
[00:51:03.303 --> 00:51:05.044]  Congressmen, Senators, you're fired.
[00:51:05.184 --> 00:51:06.884]  Washington, you're fired!
[00:51:07.064 --> 00:51:08.605]  I think it's the next freedom to fascism.
[00:51:09.085 --> 00:51:15.568]  Washington You're Fired was born out of sheer frustration with abuses in our current political system, and it gives a voice to Americans across the country.
[00:51:16.008 --> 00:51:31.574]  Washington You're Fired examines constitutional issues as they relate to the Katrina disaster, the president's illegal spy program, NSA data mining, FISA's secret court, the illegal wiretapping of millions of Americans, and the last seven years of terror-related spy bills, how they affect you, and what you can do about it.
[00:51:32.034 --> 00:51:36.076]  Washington, You're Fired captures the spirit and zest of an old-fashioned Boston tea party.
[00:51:36.416 --> 00:51:39.758]  Kem Williams describes the film as a rabble-rousing call to arms.
[00:51:40.258 --> 00:51:41.839]  We invite you to make the change with us.
[00:51:42.159 --> 00:51:43.439]  Help take back our government now.
[00:51:43.720 --> 00:51:47.722]  Go to TakeBackWashington.com and get the video tools you need for the information war.
[00:51:48.002 --> 00:51:49.582]  We have a plan to take back our government.
[00:51:49.823 --> 00:51:51.803]  Please visit TakeBackWashington.com.
[00:51:52.644 --> 00:51:54.065]  It is a big idea.
[00:51:54.085 --> 00:51:56.166]  A new world order.
[00:51:56.886 --> 00:52:01.148]  In the near future, Earth is dominated by a powerful world government.
[00:52:01.767 --> 00:52:03.529]  It's known as the Bilderberg.
[00:52:04.591 --> 00:52:06.854]  Put their objective be world domination.
[00:52:07.374 --> 00:52:09.837]  For thousands of years their dark order grew.
[00:52:10.578 --> 00:52:17.908]  Now as they hail the birth of the new world order, their great dream of exterminating 80% of humanity is at hand.
[00:52:20.908 --> 00:52:25.891]  For the first time in history, the elite's plan for world government is blown wide open.
[00:52:26.352 --> 00:52:29.834]  You will learn the secret that drives the entire New World Order agenda.
[00:52:30.214 --> 00:52:32.736]  Build America is making great progress toward a world government.
[00:52:32.796 --> 00:52:33.757]  Most people have no idea.
[00:52:33.777 --> 00:52:34.717]  They're not after money.
[00:52:34.737 --> 00:52:35.818]  They have all the money they need.
[00:52:36.018 --> 00:52:36.759]  They're after power.
[00:52:36.999 --> 00:52:37.839]  That's their aphrodisiac.
[00:52:38.160 --> 00:52:42.703]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:52:42.903 --> 00:52:46.405]  Or watch it online right now at PrisonPlanet.tv.
[00:52:46.865 --> 00:52:47.246]  Endgame.
[00:52:47.626 --> 00:52:49.147]  Blueprint for global enslaving.
[00:52:49.687 --> 00:52:50.748]  You have been warned.
[00:52:51.608 --> 00:52:56.771]  The Federal Trade Commission estimates that 9 million Americans are victims of identity theft each year.
[00:52:56.951 --> 00:53:01.713]  The crime of identity theft occurs every 3.5 seconds, costing the victims an average of $8,000.
[00:53:01.833 --> 00:53:09.877]  If you own a PC, passwords are a common form of authentication, and often the only protection between a hacker and your personal information.
[00:53:10.138 --> 00:53:18.742]  Passwords that are stored in a spreadsheet, text file, data file, or any other file that is not encrypted and password protected, are vulnerable to malicious theft and misuse.
[00:53:19.142 --> 00:53:23.806]  With Password Safe Pro, your passwords can be secured in an encrypted database within minutes.
[00:53:24.086 --> 00:53:30.691]  Password Safe Pro utilizes secure 160-bit encryption and comes complete with a strong password generation tool.
[00:53:31.052 --> 00:53:38.679]  For secure password protection and peace of mind, get your free Password Safe Pro today at www.PasswordSafePro.com.
[00:53:38.979 --> 00:53:44.745]  Again, get your free Password Safe Pro at www.PasswordSafePro.com.
[00:53:45.025 --> 00:53:48.629]  Secure password protection and peace of mind is one click away.
[00:53:48.869 --> 00:53:51.051]  Trust the Pro Password Safe Pro.
[00:54:04.522 --> 00:54:06.483]  Got the big money bomb coming up Saturday.
[00:54:09.465 --> 00:54:15.348]  We'll see if Ron Paul only gets grace for the big bucks or can we go to the next level of fighting the New World Order.
[00:54:17.149 --> 00:54:21.932]  You know, I wanted to come on air today and go through hours of evidence about the military takeover.
[00:54:21.992 --> 00:54:28.256]  I mean, I know there is a slow motion, deliberate, public, admitted
[00:54:29.229 --> 00:54:32.820]  Plan for complete martial law, gun confiscation, slave labor camps.
[00:54:33.843 --> 00:54:36.271]  This country is going to be such a hell pit, you're not going to believe it.
[00:54:37.690 --> 00:54:39.352]  A lot of Americans think they're part of the elite.
[00:54:39.472 --> 00:54:41.473]  Uh-ha-ha, we're killing the Iraqis, taking their oil.
[00:54:41.733 --> 00:54:43.895]  Hey, idiot, you're having your stuff taken too.
[00:54:44.455 --> 00:54:45.176]  You're being fed on.
[00:54:45.216 --> 00:54:45.997]  You're not a predator.
[00:54:46.457 --> 00:54:48.178]  You're not on the top, even if you think you are.
[00:54:48.418 --> 00:54:51.761]  I mean, there's nothing more pathetic than these evil people who think they've got power.
[00:54:52.141 --> 00:54:53.542]  You're low-level little goblins.
[00:54:54.143 --> 00:55:01.789]  Little skinny, pathetic, I mean, in the spiritual sense, little snot-nosed, pathetic maggot-covered, rotten, about to fall over dead maggot.
[00:55:02.429 --> 00:55:04.270]  I started out and joined the Marines.
[00:55:32.302 --> 00:55:36.483]  Tested real high on the ASVAB, which is the Armed Forces Vocational Aptitude Battery.
[00:55:37.043 --> 00:55:40.024]  Did real well in that and was an MP5800 Military Police.
[00:55:41.284 --> 00:55:46.026]  From that I was sent over to various duty stations.
[00:55:47.506 --> 00:55:54.968]  Established an interest in civilian law enforcement, so I was able to take part in joint military police and civilian police exercises.
[00:55:56.137 --> 00:56:11.601]  We've seen the Airborne Warfare training all across the country, the black helicopters, the special forces in cities, and it seems like it's been ratcheted up in the last five years from just basic training to actual live fire in city streets.
[00:56:12.782 --> 00:56:15.823]  What type of relationship did you have with law enforcement when you were in the Marine Corps?
[00:56:16.323 --> 00:56:17.043]  Very cohesive.
[00:56:17.063 --> 00:56:18.203]  A lot of interaction.
[00:56:18.223 --> 00:56:20.524]  1988 and 1989, like I told you prior,
[00:56:24.915 --> 00:56:25.595]  So, you were actively, as
[00:56:53.104 --> 00:57:00.087]  A member of the United States Marine Corps active duty out with civilian law enforcement serving search warrants to homes?
[00:57:00.968 --> 00:57:01.368]  That's correct.
[00:57:02.368 --> 00:57:08.051]  There weren't missions, they were called exercises, but it was actual with real, what we call combatants, real live.
[00:57:08.551 --> 00:57:09.552]  It was the real deal.
[00:57:10.032 --> 00:57:11.773]  Helping execute search warrants.
[00:57:13.353 --> 00:57:13.894]  Late 80s?
[00:57:15.574 --> 00:57:16.635]  I've actually been on point.
[00:57:17.148 --> 00:57:18.048]  With an MP5.
[00:57:18.309 --> 00:57:20.610]  And I was not in a police uniform.
[00:57:20.630 --> 00:57:23.311]  I had a police vest on and a police jacket.
[00:57:24.792 --> 00:57:25.912]  And black BDU's.
[00:57:26.553 --> 00:57:29.154]  I think they're obviously drug dealers.
[00:57:31.155 --> 00:57:31.535]  One, maybe.
[00:57:31.555 --> 00:57:33.056]  What were the other raids concerned?
[00:57:35.277 --> 00:57:35.997]  Pawn shop owners.
[00:57:36.398 --> 00:57:37.498]  One was a pawn shop owner.
[00:57:37.958 --> 00:57:42.921]  And the other was for a joint working with ATF.
[00:57:43.481 --> 00:57:44.602]  As a member of the Marine Corps,
[00:57:46.551 --> 00:57:55.265]  David, you're telling us you raided a civilian business with the VATF going after guns?
[00:57:55.907 --> 00:57:57.128]  It was the business owner's home.
[00:57:59.408 --> 00:58:08.094]  Okay, good job John, good job Bob, good job to my whole team, Trey, Eddie, on the producing, thanks to all the guests, everybody else.
[00:58:08.894 --> 00:58:16.319]  So, illegally, secretly, 89 Marines raiding gun shops, gun homes, gun owners' homes.
[00:58:16.640 --> 00:58:19.802]  Okay, you saw New Orleans, you know what they want to do, you know what they're trying to do.
[00:58:20.382 --> 00:58:22.404]  These Marine Corps drills are to take over your town.
[00:58:22.444 --> 00:58:23.625]  They will be arresting citizens.
[00:58:23.966 --> 00:58:24.726]  God bless you all.
[00:58:24.807 --> 00:58:27.689]  Retransmission starts right now at InfoWars.com.
[00:58:27.830 --> 00:58:30.592]  Incredible four hours about to re-air.
[00:58:30.893 --> 00:58:31.713]  InfoWars.com.
