[00:00:11.010 --> 00:00:12.771]  Monday through Friday from 11 a.m.
[00:55:26.676 --> 00:55:36.962]  These clever, wicked people, they just do it because they can in this mad, almost instinctive race to have power, to dominate, to control.
[00:55:37.022 --> 00:55:39.264]  The rationale is, well if I don't do it,
[00:55:40.204 --> 00:55:51.249]  Somebody else will, but also wisdom really is about being tied into the human journey, the human species, realizing we're all connected and not being selfish.
[00:55:51.269 --> 00:56:04.995]  I mean, they're clever to have power, but they're also blinded in that they think they really are disconnected from the rest of reality, when really, when some soldier rapes and kills a child, they're raping and killing their own soul.
[00:56:17.387 --> 00:56:18.747]  David, I've got to stop you again.
[00:56:19.048 --> 00:56:20.288]  Can you wiggle that cord?
[00:56:20.748 --> 00:56:21.368]  David, stop.
[00:56:22.229 --> 00:56:25.990]  I need you to wiggle that cord in that phone or we may have to reconnect with you.
[00:56:28.447 --> 00:56:31.469]  Well, when we have a break, I'll try the other phone on the other side of the room.
[00:56:31.989 --> 00:56:32.730]  That's what we'll do.
[00:56:32.790 --> 00:56:33.230]  That's perfect.
[00:56:33.250 --> 00:56:35.231]  We'll call you on the other phone.
[00:56:35.311 --> 00:56:36.252]  Okay, you're back now.
[00:56:36.272 --> 00:56:38.173]  I can barely hear you say Einstein.
[00:56:38.693 --> 00:56:38.934]  Yeah.
[00:56:39.214 --> 00:56:45.758]  What they're saying is that Einstein said that you cannot solve problems with the same level of consciousness that created them.
[00:56:46.218 --> 00:56:48.479]  And that's what we're constantly trying to do.
[00:56:48.559 --> 00:56:50.661]  And that's why, you know, you replace
[00:56:51.341 --> 00:56:51.621]  I think?
[00:57:21.403 --> 00:57:22.484]  I don't think so.
[00:57:51.929 --> 00:58:10.200]  Now, I want to shift gears into currently what's happening with Iran, why the globalists are revaluing the dollar, why they're preparing to bring us into a world crisis as the springboard to the next level, what things will look like if the Illuminists and their controllers are able to build their
[00:58:10.740 --> 00:58:23.487]  Their world, so seeing it from their perspective, their view, what they want, this cold-blooded view, versus what freedom and love and liberty and the human revolution.
[00:58:23.527 --> 00:58:37.696]  We see these two different revolutions, the tyrant's revolution for global domination, to have the final revolution of total dehumanization, global extermination of 90% of the world's population, versus this
[00:58:38.436 --> 00:58:39.497]  Yeah, it's like the irresistible force.
[00:59:05.347 --> 00:59:06.167]  I don't think so.
[00:59:26.401 --> 00:59:43.158]  You know, I've been saying in this election campaign, just bringing it down to a basic level, you know, that we've had people in this country fine hundreds of pounds for putting their wheelie trash bin out on the wrong day, according to the council's data that says they should put it out.
[00:59:43.218 --> 00:59:44.499]  And they spy on your trash.
[00:59:44.539 --> 00:59:47.482]  We have to start saying, no, I'm not going to go along with this.
[00:59:47.522 --> 00:59:47.803]  Go ahead.
[00:59:48.948 --> 01:00:00.619]  We had a guy in the last week here who was fined £100 by a council for putting a card in his own car saying it was for sale.
[01:00:00.959 --> 01:00:07.445]  He was charged with trading in the street because he parked it somewhere to go to a shop.
[01:00:08.285 --> 01:00:29.036]  Now, if we just allow that to happen and say, oh, that's terrible, isn't it ridiculous, what's the world coming to, then we're going to walk straight into this prison cell that we can't see the bars, well, most people can't see the bars, although they're beginning to, and the door's going to click shut, and then we're going to say, oh, hold a second, we're in a cell, what do we do?
[01:00:29.076 --> 01:00:30.437]  Well, it's going to be a bit bloody late then.
[01:00:30.997 --> 01:00:41.501]  What we need to do now is to have a non-violent, absolutely non-violent, non-cooperation campaign with the system that's enslaving us.
[01:00:41.781 --> 01:00:51.644]  You know, if someone's fined for putting a wheelie bin out on the wrong day, then hundreds and thousands of people need to put their wheelie bin out on the wrong day, indefinitely, until the laws change.
[01:00:51.864 --> 01:00:55.926]  People need to go around with cards in their cars, with adverts on, until the laws change.
[01:00:57.066 --> 01:01:00.490]  This is the only way we're going to do it, because politicians aren't going to change it.
[01:01:00.851 --> 01:01:07.758]  Politicians are told how to vote, because they want to progressively... No, they've got the big think tanks and the party heads manage them.
[01:01:07.798 --> 01:01:08.760]  I wanted to bring this up.
[01:01:09.040 --> 01:01:14.646]  Two years ago I was in England, two and a half years ago, right after the London bombing, for Terror Storm, my film.
[01:01:15.527 --> 01:01:26.976]  And the police, when I was being quiet, I'd be standing there videotaping somewhere in London, or outside London, and cops would walk over and say, I'm putting you in a database, you're not allowed to videotape in this country.
[01:01:28.277 --> 01:01:32.020]  I'd be talking to crowds of people, they'd walk over and say, you're not allowed to talk to people.
[01:01:33.121 --> 01:01:35.963]  And it was before they banned protest around Parliament.
[01:01:36.263 --> 01:01:58.297]  It was about a week later they did, and they just said, we don't care, you're not allowed to be here, no law, and now they're even coming up to mainline reporters, and how did they get these police, these bobbies, to with pleasure come over, and now it's in the British News, they harass everyone, even mainline reporters, they tell people don't talk to others in the streets, I mean, this is worse than East Germany, and it just happened overnight, David.
[01:01:59.033 --> 01:02:05.584]  Yeah, well I had a, shall we say, an animated discussion with some policemen when I was filming a television program.
[01:02:05.985 --> 01:02:09.872]  I was in Parliament and they came over to me and said, excuse me, have you got permission?
[01:02:09.892 --> 01:02:10.513]  I said, what permission?
[01:02:10.533 --> 01:02:12.817]  I thought I paid taxes to pay for this place.
[01:02:13.456 --> 01:02:13.756]  I think so.
[01:02:31.310 --> 01:02:47.132]  Over the years, this rabbit hole has got deeper, the pictures got bigger, and there's something, Alex, to do with the way they are manipulating the consciousness of people who are, if you like, operating at a certain level of frequency.
[01:02:48.072 --> 01:02:54.335]  You know, the brain is an electromagnetic, electrical operation.
[01:02:54.375 --> 01:02:56.736]  It's like a computer, like the whole body's like a computer.
[01:02:56.756 --> 01:02:57.356]  It's electrochemical?
[01:02:57.836 --> 01:03:00.717]  Yeah, electrochemical and electromagnetic.
[01:03:00.837 --> 01:03:03.158]  It's all to do with that stuff.
[01:03:03.198 --> 01:03:14.563]  And if you can access the body computer, as I call it, at the frequency levels it operates at, with the means, the electromagnetic, electrical, chemical means that it operates in,
[01:03:15.143 --> 01:03:24.490]  Then you can start changing the way that people operating at that frequency that you're manipulating at, think, feel and everything.
[01:03:24.530 --> 01:03:34.016]  Now this is an interesting point, a really interesting point that you've raised here, because I've been walking around and seeing this for many, many months now.
[01:03:34.477 --> 01:03:41.962]  There has been a consciousness change, Alex, very demonstrably among council officials
[01:03:43.753 --> 01:03:53.039]  People in uniform, no doubt about it, they've become more officious, they've become more robotic in the sense that they can't assess the situation on its merits.
[01:03:53.359 --> 01:03:56.662]  It's the law, mate, so I've got to do this and all this stuff.
[01:03:58.002 --> 01:04:03.406]  You can tell me about America, but in this country, I've demonstrably seen it in the last year or so.
[01:04:03.426 --> 01:04:09.690]  This has got more and more blatant and obvious, where you literally, mate, talking to robots.
[01:04:10.365 --> 01:04:16.466]  Who cannot function in assessing a situation and reacting to it.
[01:04:16.526 --> 01:04:19.647]  They have to approach every situation the same.
[01:04:19.687 --> 01:04:20.427]  It's extraordinary.
[01:04:20.787 --> 01:04:27.729]  And it's like, I got an email a few days ago, which I posted on my website, which is a classic case.
[01:04:29.009 --> 01:04:38.091]  A parent who's just sat her little child, she's having an ice cream on the side of this little fountain, no danger whatsoever in a public place.
[01:04:39.135 --> 01:04:45.787]  We've now got safety police in this country who came over and said, well, you've got to take your child off that
[01:04:49.824 --> 01:05:01.910]  Well, they're getting you trained to be minded, to have secret police talking to you, to have them asking what you're doing, putting you in files, controlling you.
[01:05:01.930 --> 01:05:07.873]  They're getting normal people who wouldn't have connections to the system and the police, they're training you.
[01:05:07.893 --> 01:05:10.815]  I mean, they admit the public schools here are prisons
[01:05:11.195 --> 01:05:11.435]  Yeah.
[01:05:11.455 --> 01:05:11.555]  Yeah.
[01:05:41.636 --> 01:05:47.304]  Yeah, this is one major level of what's going on, Alex, in my view.
[01:05:47.845 --> 01:05:57.038]  You know when they put rats or mice in these laboratory mazes, and if they go down certain channels in the maze, they get an electrical shock.
[01:05:57.825 --> 01:05:58.365]  I don't think so.
[01:06:14.873 --> 01:06:22.077]  Goodness me, it's expanding so fast that we're told what we can do, what we shouldn't do, we're threatened with prosecution, we'll be fined if you do this.
[01:06:22.458 --> 01:06:33.664]  Basically, what this is, it's a massive war on the human mind and the human consciousness and human emotion, basically to become subservient.
[01:06:33.804 --> 01:06:38.447]  It's a massive version of anything for a quiet life.
[01:06:39.728 --> 01:06:43.110]  And the more we acquiesce, the more they pile on.
[01:06:43.670 --> 01:06:58.498]  Yeah, because what they're building is a society in which they, for the vast, vast majority, they don't have to do anything to keep people in line, because they'll keep people in line like the rat or the mouse.
[01:06:58.578 --> 01:06:59.799]  It's the panopticon.
[01:06:59.879 --> 01:07:06.162]  It's the 200-year-old French system of making people think they're surveilled, and then they enforce on themselves.
[01:07:06.803 --> 01:07:08.804]  Yeah, and this brings me to another point.
[01:07:09.584 --> 01:07:20.792]  All this surveillance and the tracking and the databases and all this stuff, this is not for the vast majority of people on this planet.
[01:07:21.392 --> 01:07:33.861]  Because the vast majority of people will fall into that category whereby they will acquiesce through fear or through subservient programming that we've been talking about.
[01:07:34.461 --> 01:07:46.510]  All this stuff is for those that don't buy it, that don't fall for it, that hold their own mind and their own consciousness and their own reality, what might be called collectively the dissidents of the system.
[01:07:46.650 --> 01:07:47.871]  That's what that's for.
[01:07:48.211 --> 01:07:50.213]  To keep track and keep control of them.
[01:07:50.233 --> 01:07:53.155]  Because these guys are terrified of mavericks.
[01:07:53.195 --> 01:07:55.837]  They're terrified of people who aren't terrified of them.
[01:07:56.577 --> 01:07:59.300]  And so this is what it's really targeting.
[01:07:59.621 --> 01:08:06.529]  Because most people, as in Orwell's 1984, most of the people weren't a problem to Big Brother.
[01:08:06.829 --> 01:08:11.034]  It was the dissidents that Big Brother had the control systems in for.
[01:08:11.860 --> 01:08:15.543]  Okay, we're going to go to break for the main network, but David, we're going to talk behind the scenes.
[01:08:15.583 --> 01:08:17.504]  Your phone's fine now, so we don't have to switch over.
[01:08:19.606 --> 01:08:20.226]  Stay right there.
[01:08:20.266 --> 01:08:26.711]  We're going to talk behind the scenes for the PrisonPlanet.tv viewers and the folks listening to the exclusive streams at InfoWars.com.
[01:08:26.731 --> 01:08:29.453]  Everybody else, we'll be right back in just three minutes.
[01:08:29.473 --> 01:08:35.057]  You want to hear this, go to the InfoWars.com exclusive streams or PrisonPlanet.com streams.
[01:08:35.137 --> 01:08:35.698]  We'll be right back.
[01:08:40.945 --> 01:08:41.805]  May I have everybody?
[01:08:42.046 --> 01:08:45.407]  Okay, David, I don't want to put you on the spot here with all the viewers watching.
[01:08:45.427 --> 01:08:52.151]  Do you absolutely have to go at the bottom of the next hour, or could you do another 10-minute segment, maybe to 40, 45 after with me?
[01:08:52.531 --> 01:08:53.732]  Okay, let's do that then.
[01:08:54.072 --> 01:08:54.852]  Let's do that.
[01:08:54.892 --> 01:08:55.612]  You're just awesome.
[01:08:55.673 --> 01:08:56.313]  You're just awesome.
[01:08:56.573 --> 01:08:57.393]  This is going so well.
[01:08:57.413 --> 01:09:00.135]  Listen, in the time we've got, I really
[01:09:00.735 --> 01:09:02.637]  Because I've seen you only do a few of these talks.
[01:09:02.677 --> 01:09:04.839]  You're so good at covering and I do the same thing.
[01:09:04.879 --> 01:09:08.402]  I get stuck in one sector of it because your knowledge is so large.
[01:09:08.763 --> 01:09:09.944]  Can we go big picture?
[01:09:10.044 --> 01:09:16.170]  I know you're giving people individual personal experience and I know that's so important, but I want to get your big picture.
[01:09:16.630 --> 01:09:21.052]  Like ten years ago you said this is going to happen A to Z. It happened.
[01:09:21.352 --> 01:09:26.074]  I want to hear you do another A to Z. I know you want to back up each point you make and give examples.
[01:09:26.094 --> 01:09:27.695]  We can come back and do that if you want.
[01:09:28.075 --> 01:09:34.178]  It's just I want you to give me your vision, your understanding, your wide spectrum analysis, which I really respect.
[01:09:34.418 --> 01:09:39.960]  In hindsight, a prophet, I don't mean literally, but a prophet is proven if his prophecies come true.
[01:09:40.480 --> 01:09:43.642]  What your forecast is if they win.
[01:09:44.182 --> 01:09:51.064]  Or if we don't resist them enough versus the forecast, if people get out of their box, get out of their comfort space and fight back?
[01:09:51.785 --> 01:09:52.225]  You're okay.
[01:09:52.305 --> 01:09:52.745]  No problem.
[01:09:53.385 --> 01:10:07.510]  Listen, we'll also plug on the main radio show as we just did, but right now again, this will be big on the web, tell me about what you think the one most important book or video is that you have that people watching and listening right now should get.
[01:10:08.720 --> 01:10:24.750]  Well, it's either the latest book, The David Icke Guide to the Global Conspiracy, which is a massive work of doc connecting, pulling together information from a vast range of subjects and basically an amalgamation of the best stuff that I've understood and learned over the last nearly 20 years.
[01:10:25.270 --> 01:10:35.176]  And the other one is the DVD from Brixton that's coming out, which is Seven Hours, which is another massive work of doc connecting, which people can watch rather than read if they prefer that.
[01:10:35.802 --> 01:10:45.770]  But you know my whole focus really has moved along with all the other stuff but has moved to the nature of reality and what it is.
[01:10:46.365 --> 01:10:48.787]  Because these people understand the nature of reality.
[01:10:48.827 --> 01:10:52.289]  That's one of the great mysteries or secrets that they've carried.
[01:11:16.325 --> 01:11:18.225]  Oh, right on to that.
[01:11:18.786 --> 01:11:23.447]  But, you know, it's the old saying, it's the old principle.
[01:11:24.107 --> 01:11:27.868]  If I have knowledge and you don't have knowledge, I have power over you.
[01:11:27.888 --> 01:11:28.928]  It's disgusting.
[01:11:28.948 --> 01:11:32.949]  So, knowledge to them is not to be shared and to be celebrated.
[01:11:33.349 --> 01:11:38.671]  It's to be hoarded so it can control those that you keep the knowledge from.
[01:11:38.691 --> 01:11:40.991]  And what's happening is... Okay, here we go, here we go.
[01:11:41.011 --> 01:11:42.071]  Let's talk about that right now.
[01:11:42.111 --> 01:11:43.732]  David, we're back on the main show.
[01:11:43.772 --> 01:11:43.972]  Here we go.
[01:11:48.064 --> 01:11:54.386]  Okay, David and I were just talking about how we want to share knowledge, we want to learn more, we want to celebrate knowledge.
[01:11:54.406 --> 01:11:56.107]  The elite hoard it, control it.
[01:11:56.407 --> 01:12:09.251]  The universities, the military industrial complex, 90 plus percent of university research, it's all compartmentalized and then sent up to the architects to control it, manipulate it.
[01:12:09.751 --> 01:12:11.713]  And David was just now talking about that.
[01:12:11.793 --> 01:12:22.024]  Then when we start the next hour, for 45 minutes, he's going to spend with us, he's going to get into the master plan, what they want to build, what their endgame is, and how we can stop them.
[01:12:22.064 --> 01:12:28.150]  David, finish up with what you were just talking about, how they hoard knowledge, how it's the ultimate selfishness.
[01:12:28.928 --> 01:12:40.200]  Yeah, knowledge is something that sets people free, because the more you know, the more potential you have to control your own life, to understand your own world, to understand your own reality.
[01:12:40.921 --> 01:12:45.186]  And so what they've done over the centuries is two things.
[01:12:45.806 --> 01:12:46.387]  Thank you.
[01:13:01.861 --> 01:13:04.083]  Well, we're at a molecular level that resonates with that table.
[01:13:27.208 --> 01:13:28.628]  Yeah, exactly.
[01:13:29.289 --> 01:13:31.609]  We're within its frequency range, but we're decoding it.
[01:13:31.649 --> 01:13:39.752]  We live... The more I understand about this, Alex... You know, our brain sits in the fourth dimension, which the scientific equations show.
[01:13:39.772 --> 01:13:43.213]  I mean, our thoughts are more than even four-dimensional.
[01:13:43.874 --> 01:13:48.919]  Yeah, we live in what I call the holographic internet.
[01:13:49.960 --> 01:13:55.105]  I'm sitting in a room now, and this hotel has the wireless internet.
[01:13:55.545 --> 01:13:56.406]  I can't see it.
[01:13:56.727 --> 01:14:04.174]  It's in the invisible realms beyond the frequency of visible light, which is the only frequency range that my eyes can access.
[01:14:04.714 --> 01:14:07.277]  However, if I put my computer on,
[01:14:07.817 --> 01:14:08.398]  I think so.
[01:14:27.156 --> 01:14:29.137]  The internet exists in that form.
[01:14:29.177 --> 01:14:30.197]  It's on the computer screen.
[01:14:30.297 --> 01:14:34.079]  Everywhere else, it's electronic circuits and on-off electrical pulses.
[01:14:34.519 --> 01:14:36.239]  People say, tell me about television.
[01:14:36.319 --> 01:14:38.280]  Oh, it's programs and moving pictures on a screen.
[01:14:38.320 --> 01:14:39.040]  Hold on a second.
[01:14:39.060 --> 01:14:42.322]  The only place television exists in that form is on the screen.
[01:14:42.402 --> 01:14:45.343]  Everywhere else, it's frequency fields and electronic circuits.
[01:14:45.363 --> 01:14:56.347]  And then it interfaces with your eyes, which are brain stalks, which then decode it in their own system, and that are then interpreted by the deeper centers of the mind.
[01:14:56.926 --> 01:15:15.605]  Yeah, we are like receiver transmitters, well never mind we're like, we are at the level of the body receiver transmitters of information from a quote matrix which operates just like the wireless internet and we are decoding it through the mind, through the various
[01:15:16.301 --> 01:15:20.842]  And the top admin let us in on this when they say, perception is reality.
[01:15:45.370 --> 01:15:45.811]  It is.
[01:15:46.291 --> 01:16:07.211]  And if I had to bring this down to the most foundation form, this whole conspiracy that plays out as banking scams and political scams and all the things that you deal with and I deal with, but at its foundation, it is the manipulation of our reality and our sense of reality.
[01:16:07.532 --> 01:16:08.693]  And it's more than this.
[01:16:10.052 --> 01:16:14.654]  In China, you can only access parts of the Internet.
[01:16:14.674 --> 01:16:15.654]  Stay there, stay there.
[01:16:15.694 --> 01:16:16.495]  David, got a break.
[01:16:16.535 --> 01:16:19.176]  Back in 70 seconds with the fourth hour.
[01:16:22.677 --> 01:16:24.758]  Thank you for listening to GCN.
[01:16:25.299 --> 01:16:28.440]  Be sure to visit GCNlive.com today.
[01:16:31.275 --> 01:16:33.816]  Terror Storm, a history of government-sponsored terror.
[01:16:34.136 --> 01:16:35.417]  Loose Change Final Cut.
[01:16:35.697 --> 01:16:37.678]  Endgame, blueprint for global enslavement.
[01:16:37.858 --> 01:16:39.579]  The true story of the Bilderberg Group.
[01:16:39.759 --> 01:16:41.000]  The late, great USA.
[01:16:41.240 --> 01:16:42.661]  America, freedom to fascism.
[01:16:43.001 --> 01:16:49.844]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[01:16:50.024 --> 01:16:53.946]  When you visit prisonplanet.com, you can connect to our amazing online store.
[01:16:54.106 --> 01:16:57.508]  Whether you're looking for survival and wellness products like Berkey water filters,
[01:16:57.808 --> 01:16:58.269]  We're good to go.
[01:17:17.791 --> 01:17:28.018]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[01:17:28.398 --> 01:17:29.940]  Join the info war today!
[01:17:33.702 --> 01:17:35.663]  Waging war on corruption!
[01:17:36.104 --> 01:17:38.866]  Alex Jones on the GCN Radio Network!
[01:17:52.674 --> 01:17:55.295]  David Icke is our guest for another 45 minutes.
[01:17:55.775 --> 01:18:05.098]  At the bottom of the hour, I will take about five, six phone calls for David, specifically for David, on any question you have.
[01:18:05.118 --> 01:18:05.578]  1-800-259-9231.
[01:18:06.238 --> 01:18:08.299]  It is July 3rd, 2008.
[01:18:08.959 --> 01:18:12.480]  Jason Bermans will be sitting in for me live tomorrow.
[01:18:13.220 --> 01:18:20.503]  Coming out this evening, we're going to release on the web, a few hours early, at prisonplanet.tv, my new film, Truth Rising.
[01:18:21.503 --> 01:18:35.234]  And we're very, very excited as it energizes the population to go out there and take on the New World Order and get other people outside their comfort zones, outside the sheep zone, to tell the system we're not going along with it peacefully.
[01:18:36.095 --> 01:18:46.183]  David Icke, again, our amazing guest, you were talking about how they limit the perception of reality, how they keep us here just looking at, you know, the materialistic plane when humans are obviously so much more
[01:18:47.203 --> 01:18:50.584]  And you were talking about China, which limits large areas of the internet.
[01:18:50.904 --> 01:18:53.705]  Now we're seeing that in Europe, England, and the US.
[01:18:54.265 --> 01:18:57.986]  Companies, corporations, universities, internet too, they're now doing that.
[01:18:58.026 --> 01:18:59.086]  You've gotten up to that point.
[01:18:59.886 --> 01:19:09.709]  Yeah, the reason I raised the point about the Chinese internet is because it's so relevant to the way our reality is manipulated.
[01:19:10.462 --> 01:19:24.416]  In China, you can only get so much of the internet because it's firewalled off and those computers in that country cannot access, cannot decode the internet in those areas firewalled off.
[01:19:24.956 --> 01:19:29.321]  Now, what they've been doing and what they're really ratcheting up now
[01:19:29.961 --> 01:19:44.694]  is to firewall off our body computer's ability to access a much greater range of reality, even within this holographic internet, this matrix, whatever you want to call it.
[01:19:45.434 --> 01:19:55.323]  They are firewalling us off from great chunks of it, and being able to access knowledge, understanding, and what have you from it.
[01:19:55.988 --> 01:20:01.033]  And what they're doing are destabilizing the body computer.
[01:20:01.073 --> 01:20:03.895]  Now the body computer works electrically and it works chemically.
[01:20:04.336 --> 01:20:15.286]  When it is in chemical and electrical balance, we are at our sharpest and we are fully potential transmitter receivers of information.
[01:20:16.016 --> 01:20:22.418]  But you add sodium fluoride, mercury in the shots, booze, drugs, all of it, it clouds it.
[01:20:22.738 --> 01:20:29.000]  And then you add the electronic frequency pollution, you add the TV, you add all these flickering distractions.
[01:20:29.400 --> 01:20:34.122]  I mean, they admit, first time you watch TV, 45 minutes and you're mesmerized, dream level.
[01:20:34.922 --> 01:20:37.763]  And then the next time it's 10 minutes, next time it's 30 seconds.
[01:20:38.103 --> 01:20:39.924]  People are literally mesmerized.
[01:20:40.104 --> 01:20:40.464]  Go ahead.
[01:20:41.164 --> 01:20:41.624]  Exactly.
[01:20:41.865 --> 01:20:50.691]  What they're doing is destabilizing the body computer so it becomes an inefficient transmitter-receiver of information.
[01:20:50.811 --> 01:20:58.756]  And so the band, the range of the reality that we are accessing gets smaller and smaller.
[01:20:58.816 --> 01:20:59.777]  It's interesting, you know.
[01:21:00.037 --> 01:21:02.059]  What do we say about people with closed minds?
[01:21:02.119 --> 01:21:03.660]  We say they're narrow-minded.
[01:21:04.060 --> 01:21:08.363]  I would say they're narrow-banded because they're accessing just a minute...
[01:21:10.905 --> 01:21:13.786]  And when you shut down, you tend to get smaller and smaller.
[01:21:14.446 --> 01:21:16.927]  When you open up, your bandwidth tends to get bigger and bigger.
[01:21:16.947 --> 01:21:17.627]  Here are the studies.
[01:21:17.887 --> 01:21:21.129]  They'll have an 85-year-old, 97-year-old in one case.
[01:21:21.189 --> 01:21:23.510]  I've seen the autopsy reports in studies.
[01:21:23.550 --> 01:21:24.930]  My dad years ago showed these to me.
[01:21:25.230 --> 01:21:29.092]  Some composer who was speaking five languages, totally happy until the day they died.
[01:21:29.472 --> 01:21:32.534]  They cut open their brain cap, tiny brain, but they were a genius.
[01:21:32.934 --> 01:21:35.815]  Then they'll cut open some 70-year-old who died of Alzheimer's.
[01:21:36.195 --> 01:21:42.458]  Big brain, hadn't had a lot of tissue loss, but they were basically retarded when they died, and they're always TV heads.
[01:21:42.738 --> 01:21:49.201]  And they have all the studies that show TV is causing Alzheimer's, along with a cocktail of other things, because they weren't stimulating the mind.
[01:21:49.241 --> 01:21:52.123]  It was only one-way information.
[01:21:52.870 --> 01:21:59.535]  Yeah, I mean, you know, as the saying goes, Alex, size is not everything, and it's certainly not that with the brain.
[01:21:59.575 --> 01:22:11.344]  It's how efficient it is, how sharp it is, how its electrical and chemical systems are working, and the more you stimulate it, the more you stimulate and hone and sharpen those systems.
[01:22:11.764 --> 01:22:19.629]  So when you have the dumbing down, not just of America, but of country after country now, it's like a muscle.
[01:22:19.689 --> 01:22:37.941]  If you don't use it, then it starts to go to sleep, it starts to get flabby, it stops working properly, and you go into a smaller and smaller range of reality, which means that you cannot make the connections, you cannot connect the dots, you cannot see what is... Hold on one moment, we've got a break!
[01:22:40.422 --> 01:22:42.725]  Okay, we're going to talk behind the scenes now for a part of the audience.
[01:22:42.765 --> 01:22:43.526]  Come back in three minutes.
[01:22:43.546 --> 01:22:44.787]  I don't want to waste any time with you.
[01:22:45.748 --> 01:22:47.730]  Let's continue along that discussion line.
[01:22:47.750 --> 01:22:50.694]  Now, I'm not being elitist.
[01:22:50.734 --> 01:22:52.616]  I don't ever think of myself as sardonic.
[01:22:52.676 --> 01:22:54.578]  I'm an average farm boy from Texas.
[01:22:55.299 --> 01:22:56.160]  You've studied history.
[01:22:56.360 --> 01:22:57.440]  I have gotten smarter.
[01:22:57.520 --> 01:22:58.441]  I have learned more.
[01:22:58.981 --> 01:23:00.222]  My mind has opened up.
[01:23:00.302 --> 01:23:01.123]  I can write better.
[01:23:01.203 --> 01:23:02.023]  I can spell better.
[01:23:02.324 --> 01:23:06.647]  Supposedly after you're 30, you start losing brain tissue and that's not the case, but I am getting smarter.
[01:23:06.987 --> 01:23:09.048]  Now I found the studies that show that's actually the case.
[01:23:09.328 --> 01:23:16.913]  So everything you're saying is proven by the real science, but now, and it's not a view, it's not some sardonic view.
[01:23:17.354 --> 01:23:18.695]  I'm not lying to myself.
[01:23:18.735 --> 01:23:25.239]  I'm really noticing that either people are getting smarter, more dynamic, more open, more intelligent around me.
[01:23:26.420 --> 01:23:27.181]  There's a quickening.
[01:23:27.521 --> 01:23:39.791]  They're either getting smarter, and more open, and more attuned, and more dynamic, and more effervescent, and magical, or, and the vast majority are getting worse, they're literally like zombies everywhere.
[01:23:40.191 --> 01:23:50.960]  Even people that work at companies, or are driving nice cars, it's like they can't talk anymore, they don't interact, it's like an acceleration of a zombification.
[01:23:51.400 --> 01:23:51.961]  Can you comment?
[01:23:52.521 --> 01:23:53.982]  This is a very important point.
[01:23:54.843 --> 01:24:00.288]  At the end of my talk in Brixton, I had a picture of a fork in the road.
[01:24:01.188 --> 01:24:04.111]  And we're at that point now, and it's becoming more blatant.
[01:24:04.171 --> 01:24:16.902]  It's like I said earlier, it's becoming so obvious that these people, the educated idiots, as you call them, and my father used to call them that, funnily enough, and the useful idiots in the system,
[01:24:17.422 --> 01:24:30.352]  They are becoming more and more closed down, more and more robotic, and yet the people who are awakening absolutely all over the world are changing in ways that you accurately describe.
[01:24:31.233 --> 01:24:32.334]  And I would put it this way.
[01:24:33.495 --> 01:24:37.138]  If you are a radio,
[01:24:38.027 --> 01:24:52.997]  And you have two radio stations, or one, that you can access, against a radio next to it that can access a great stream and band of stations, therefore information, knowledge, understanding, awareness.
[01:24:53.457 --> 01:25:08.383]  Which one is going to be the man in uniform or the close-minded pen pusher in the council or the government, and which one is going to be the free-thinking, whoa, flowing, open-minded, hey, I can see it, look, intuitive.
[01:25:08.803 --> 01:25:10.744]  It's obvious, and that's what's happening.
[01:25:11.204 --> 01:25:14.026]  People are opening their minds, Alex, and that's what it is.
[01:25:14.046 --> 01:25:19.009]  They're opening their minds to a greater range of reality.
[01:25:19.029 --> 01:25:19.750]  Bigger horizon.
[01:25:19.770 --> 01:25:23.192]  They are accessing that and expressing it.
[01:25:23.312 --> 01:25:25.554]  These great changes that people are going through.
[01:25:25.974 --> 01:25:33.279]  The others are getting in a narrower and narrower band, and they're becoming narrower and narrower and narrower.
[01:25:33.299 --> 01:25:35.100]  And it's a feedback loop.
[01:25:35.140 --> 01:25:40.203]  Those of us that are awakening are feeding on each other, and the dumbed down, the closed down, they're feeding off each other.
[01:25:40.264 --> 01:25:40.604]  Here we go.
[01:25:43.413 --> 01:25:47.396]  Alex Jones on the GCN Radio Network.
[01:25:50.279 --> 01:25:57.045]  Wow, David Icke is talking about how, in the behind-the-scenes of Prison Planet on TV viewers, he is talking about how
[01:25:59.079 --> 01:26:10.154]  The people that are going along with the system, the government people, the police, those that are in those closed down cult-like cultures, with all the peer pressure, they are closing down right now.
[01:26:10.514 --> 01:26:13.378]  You can see the myopic, almost grueling,
[01:26:14.299 --> 01:26:22.903]  I mean, you talk to people now, and either they're getting more closed down, I mean literally like retarded, or they're opening up and energizing and more intuitive.
[01:26:23.424 --> 01:26:25.785]  And I just, I dream of giving them knowledge.
[01:26:25.865 --> 01:26:27.526]  I dream of seeing them energized.
[01:26:27.886 --> 01:26:32.068]  I dream of seeing them seeing what I see, knowing what I know, and even more.
[01:26:32.688 --> 01:26:33.329]  And I just want to...
[01:26:34.927 --> 01:26:39.689]  Untie that, unloose it, and then I see the New World Order, which I can see more and more clearly now.
[01:26:39.749 --> 01:26:44.491]  I can see their designs, their master plans, not just from their own documents, but I can see the manifestation.
