[00:00:00.029 --> 00:00:00.817]  They can read along.
[00:49:38.458 --> 00:49:47.483]  As Bill Joy of Sun Microsystems wrote, he went to a meeting with 200 plus elitists and he was shocked to hear them talking about how we're all going to have to be killed.
[00:49:48.607 --> 00:49:56.092]  And the police officers out there, most of them will aid the system incrementally as the rest of us are euthanized, sterilized, given cancer, die.
[00:49:56.493 --> 00:49:59.134]  They will watch as their sons, daughters, mothers, brothers die.
[00:49:59.575 --> 00:50:03.758]  They themselves will die thanking their lord, thanking their government, thanking their master.
[00:50:04.018 --> 00:50:05.359]  That is the new order slave grid.
[00:50:06.239 --> 00:50:14.804]  At the highest levels of the New World Order, Jordan, I've heard it described as the Great White Brotherhood, the Council of Thirteen.
[00:50:15.444 --> 00:50:20.807]  We know there's less than a hundred really true initiates that have the full picture of their master plan.
[00:50:21.127 --> 00:50:26.790]  But as best you can tell, A, who are a few of the top initiates to the most secret elite group?
[00:50:27.070 --> 00:50:28.131]  What's the name of that group?
[00:50:28.751 --> 00:50:32.233]  And will they be able to carry out their plans?
[00:50:35.169 --> 00:50:35.429]  I don't know.
[00:50:57.242 --> 00:51:14.312]  The real movers and shakers who are making things happen, you will never know their names ever, you will never hear their names ever, and that all the people that you are hearing, like the Rockefellers and the Rothschilds and all those people, are not the real players.
[00:51:14.432 --> 00:51:22.377]  The real players are so much more powerful and so much more hidden, you will never know who they really are.
[00:51:23.077 --> 00:51:24.158]  They cannot afford to.
[00:51:24.611 --> 00:51:28.092]  To have their name or their face ever put out in public.
[00:51:28.212 --> 00:51:30.173]  So, I learned that a long time ago.
[00:51:30.193 --> 00:51:36.435]  Well, we know as far as dynasties go, I mean, you know, you've got the Saxe-Coburg-Gotha, the British.
[00:51:37.296 --> 00:51:41.857]  You've got the Rockefellers, the Rothschilds, certainly sit on large piles of the wealth.
[00:51:41.917 --> 00:51:42.918]  Of course, of course they do.
[00:51:42.938 --> 00:51:48.360]  But I mean, you're saying the true, you know, the true technocrats, though, that are really running the ship.
[00:51:48.880 --> 00:51:49.781]  Yeah.
[00:51:49.921 --> 00:51:52.043]  Our people, you will never know who they are.
[00:51:52.163 --> 00:51:53.544]  You will never see their names.
[00:51:53.644 --> 00:51:55.746]  You will never hear their names spoken, ever.
[00:51:56.586 --> 00:52:00.209]  And those are the people who are really running the planet behind the scenes.
[00:52:00.910 --> 00:52:03.692]  And like a classic example is the Vatican.
[00:52:03.752 --> 00:52:07.395]  But the Vatican isn't the bottom line on this subject.
[00:52:07.876 --> 00:52:10.178]  There are powers behind the Vatican.
[00:52:10.318 --> 00:52:13.480]  There are, just as there was behind the Caesars of Rome.
[00:52:14.021 --> 00:52:16.663]  Caesars of Rome saw themselves as gods.
[00:52:17.170 --> 00:52:20.535]  But in point of fact, they had masters of their own.
[00:52:21.636 --> 00:52:25.942]  Well, you've always got the inner councils and the orders and the bankers for it.
[00:52:26.823 --> 00:52:28.806]  What's the real power behind the Vatican from?
[00:52:29.287 --> 00:52:33.873]  Well, during the time of the Roman Empire, behind the Caesars,
[00:52:34.597 --> 00:52:41.041]  The raw child of the Rockefeller types behind the Caesar of Rome was called the Pissos family.
[00:52:41.141 --> 00:52:45.824]  P-I-C-O-E-P-I-C-O-S, Pissos family.
[00:52:45.844 --> 00:52:47.304]  So the black nobility of today?
[00:52:47.365 --> 00:52:49.766]  Yeah, the black nobility of the Pissos family.
[00:52:50.847 --> 00:52:54.889]  Uh, and the Peasos, the father was Arius Copernicus Peasos.
[00:52:55.350 --> 00:53:01.873]  They were the real manipulators of the Roman Empire, along with their family and dynasties.
[00:53:03.354 --> 00:53:08.316]  They were the wise men, the power behind the throne, pouring over the parchments in their citadels.
[00:53:08.616 --> 00:53:09.077]  That's it.
[00:53:09.417 --> 00:53:10.597]  That's exactly right.
[00:53:10.617 --> 00:53:14.399]  And today, that still is today in operation.
[00:53:14.559 --> 00:53:15.440]  Powerful people.
[00:53:16.013 --> 00:53:22.717]  Behind world governments are setting, reading their... Here's an example on, you know, so above, so below.
[00:53:23.237 --> 00:53:24.177]  Yep, exactly.
[00:53:24.357 --> 00:53:27.779]  Here's another quick example, final segment with Jordan Maxwell coming up here after a one minute break.
[00:53:28.720 --> 00:53:36.384]  There's a bank that owns a whole bunch of oil wells and gas wells all over Texas, and you never know, it's a tiny little bank and a little guy living in a trailer.
[00:53:36.684 --> 00:53:37.324]  We'll be right back.
[00:53:40.246 --> 00:53:41.487]  You are listening to GCN.
[00:53:43.767 --> 00:53:46.026]  Visit GCNlive.com today!
[00:53:49.091 --> 00:53:51.633]  Terror Storm, a history of government-sponsored terror.
[00:53:51.953 --> 00:53:53.234]  Loose Change, Final Cut.
[00:53:53.514 --> 00:53:55.516]  Endgame, Blueprint for Global Enslavement.
[00:53:55.676 --> 00:53:57.397]  The True Story of the Bilderberg Group.
[00:53:57.577 --> 00:53:58.798]  The Late Great USA.
[00:53:59.058 --> 00:54:00.479]  America, Freedom to Fascism.
[00:54:00.820 --> 00:54:07.644]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:54:07.845 --> 00:54:11.787]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:54:11.928 --> 00:54:15.290]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:54:15.610 --> 00:54:16.070]  We're good to go.
[00:54:35.621 --> 00:54:45.864]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:54:46.204 --> 00:54:47.745]  Join the info war today!
[00:54:51.466 --> 00:54:53.387]  Waging war on corruption!
[00:54:53.847 --> 00:54:56.628]  Alex Jones on the GCN Radio Network!
[00:55:05.106 --> 00:55:07.227]  Well, final segment with Jordan Maxwell.
[00:55:07.267 --> 00:55:08.307]  JordanMaxwell.com.
[00:55:08.327 --> 00:55:11.227]  A lot of great books and videos available at his website.
[00:55:11.988 --> 00:55:14.728]  Really appreciate him spending the last two hours with us.
[00:55:17.729 --> 00:55:20.970]  Now, I was just talking to some family that was doing some business in East Texas.
[00:55:21.730 --> 00:55:27.011]  They were telling me about this bank locally that owns so much of the land, so much of the property, so many of the houses.
[00:55:27.971 --> 00:55:30.232]  And you find out the guy that owns this hundred-year-old bank
[00:55:32.048 --> 00:55:34.030]  Is in a little bitty house with a trailer behind it.
[00:55:34.871 --> 00:55:37.713]  And you never know, you know, the guy's got like two teeth in his head.
[00:55:38.134 --> 00:55:39.134]  There's lots of that.
[00:55:39.715 --> 00:55:41.136]  And so that's at the local level.
[00:55:41.497 --> 00:55:44.579]  Somebody worth, you know, half a billion dollars, conservatively.
[00:55:45.000 --> 00:55:46.301]  You never even know they had any money.
[00:55:46.321 --> 00:55:48.122]  There are not any listings of wealthy people.
[00:55:48.623 --> 00:55:49.424]  And it's the same thing.
[00:55:49.444 --> 00:55:51.566]  You hear Bill Gates is the richest with 80 billion bucks.
[00:55:52.006 --> 00:55:52.887]  That's a joke, folks.
[00:55:52.907 --> 00:55:54.889]  You notice he gave most of his money for eugenics.
[00:55:55.349 --> 00:55:56.250]  So did Warren Buffett.
[00:55:57.010 --> 00:56:02.051]  Then it turns out IBM set up Microsoft as a front company to get past trust busting.
[00:56:02.931 --> 00:56:06.512]  You find out that it's set up for eugenics as a family trust.
[00:56:06.752 --> 00:56:08.993]  That's their religion, isn't it?
[00:56:09.273 --> 00:56:10.693]  It's killing us and hurting us.
[00:56:11.533 --> 00:56:12.914]  It's a predator's religion.
[00:56:12.974 --> 00:56:15.594]  They revel in hurting us, Jordan Maxwell.
[00:56:15.614 --> 00:56:16.094]  That's right.
[00:56:16.474 --> 00:56:19.555]  And to mutate the human race into a race of animals.
[00:56:20.037 --> 00:56:23.039]  Oh my God, we've watched that on television and movies.
[00:56:23.100 --> 00:56:33.828]  There have been tons of television shows and movies and books written about, you know, the New Order and Island of Lost Souls.
[00:56:34.068 --> 00:56:39.112]  Back in 1939, Charles Lawton made a movie called Island of Lost Souls, 1965.
[00:56:39.353 --> 00:56:43.256]  Yeah, that's on the island of Dr. Maru with the Genesis H.G.
[00:56:43.276 --> 00:56:43.536]  Wells.
[00:56:43.936 --> 00:56:46.538]  That's right, and that's precisely the point.
[00:56:47.379 --> 00:56:52.725]  We've been told about this stuff for years in movies and TV about the world that's coming.
[00:56:52.745 --> 00:56:54.407]  Well, it's about ultimate domination.
[00:56:54.447 --> 00:56:57.150]  The greatest control freak doesn't just want your money and control.
[00:56:57.450 --> 00:56:58.391]  They want to hurt you.
[00:56:58.431 --> 00:56:59.412]  They want to kill you.
[00:56:59.693 --> 00:57:04.098]  They want to turn you into a monkey creature and laugh at you because they want to be gods.
[00:57:04.178 --> 00:57:05.879]  I was in a hotel in London.
[00:57:06.780 --> 00:57:14.501]  And these people that were looking at us disdainfully, oh you're Alex Jones, and they're like, we're royal and we vacation all year and you're scum.
[00:57:14.901 --> 00:57:18.142]  And whether they were or not, the point is, they wanted me to know that.
[00:57:18.182 --> 00:57:20.202]  They're miserable, unhappy cancers.
[00:57:20.983 --> 00:57:21.363]  You're right.
[00:57:21.903 --> 00:57:22.623]  No doubt about it.
[00:57:23.843 --> 00:57:34.745]  I need to say this again, if anybody's really interested in the subject of occult and secret societies, there's a reference book on my home page that's filled with that.
[00:57:36.218 --> 00:57:52.225]  I don't know, 560 pages is a very thick book on all of the secret societies, occult orders of Europe, around the world, religious orders, the different cults of theology, secret societies, criminal societies.
[00:57:52.345 --> 00:58:02.229]  It's just generally an incredibly well-written book called Occultiocracy, The World of the Occult Secret Societies.
[00:58:02.942 --> 00:58:10.484]  And the most impressive book I ever have read on theology and religion was called Symbols, Sex, and the Stars.
[00:58:11.384 --> 00:58:17.486]  And it is a very well-written book just explaining theology.
[00:58:17.966 --> 00:58:21.867]  And then again, that term, the stars, the movie stars.
[00:58:22.327 --> 00:58:23.987]  Of course!
[00:58:24.287 --> 00:58:26.128]  Absolutely, and that's where we get it from.
[00:58:26.969 --> 00:58:33.274]  And of course the other book I have on my home page is Stellar Theology and Masonic Astronomy.
[00:58:34.134 --> 00:58:35.555]  Incredibly important.
[00:58:37.297 --> 00:58:52.428]  Explaining how the astrological symbols and terms that are used in secret societies have to have a book called Stellar Theology and Masonic Astronomy.
[00:58:52.448 --> 00:58:53.769]  It's right there on my home page.
[00:58:54.490 --> 00:58:56.251]  And of course there's a downloadable
[00:58:56.827 --> 00:58:57.688]  I don't think so.
[00:59:05.676 --> 00:59:23.491]  Well, Jordan, I just want to say in closing, thank you so much for spending time with us again, and coming up not this Sunday, but the Sunday after next, we've got you on the Sunday Show, and I'm glad you've been spending so much time with us, and we'll go through some more of these terms and hopefully get people to just to think about looking behind the curtain and realize there is a curtain.
[00:59:24.331 --> 00:59:32.698]  We can argue about what's behind it all day, but the important thing is to get people thinking and to move forward, and I really appreciate you spending time with us, Jordan Maxwell.
[00:59:32.918 --> 00:59:35.220]  Well, I thank you for being my friend and letting me on.
[00:59:35.300 --> 00:59:36.601]  Thank you very much for everything.
[00:59:36.621 --> 00:59:36.921]  You bet.
[00:59:36.941 --> 00:59:38.042]  Thank you, Jordan Maxwell.
[00:59:38.503 --> 00:59:41.125]  Yeah, listeners a few months ago were like, is Jordan Maxwell on?
[00:59:41.165 --> 00:59:42.726]  Well, he agreed to come on.
[00:59:42.746 --> 00:59:45.288]  He said he wasn't doing interviews anymore and we twisted his arm into it.
[00:59:45.749 --> 00:59:46.710]  Two in one week.
[00:59:47.570 --> 00:59:53.415]  So there is Jordan Maxwell for you and back in about a week and a half again for everybody.
[00:59:54.376 --> 00:59:57.339]  State Rep Charles Key fighting the new world order straight ahead.
[00:59:59.091 --> 01:00:06.309]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final.
[01:00:06.650 --> 01:00:07.573]  Uh, no, he is still there.
[01:00:07.633 --> 01:00:07.994]  One second.
[01:00:08.891 --> 01:00:09.432]  For everything.
[01:00:09.492 --> 01:00:09.752]  You bet.
[01:00:09.792 --> 01:00:10.893]  Thank you, Jordan Maxwell.
[01:00:11.333 --> 01:00:13.976]  Yeah, listeners a few months ago were like, is Jordan Maxwell on?
[01:00:14.016 --> 01:00:15.577]  Well, he agreed to come on.
[01:00:15.597 --> 01:00:18.140]  He said he wasn't doing interviews anymore and we twisted his arm into it.
[01:00:18.580 --> 01:00:19.561]  Two in one week.
[01:00:20.422 --> 01:00:24.125]  So there is Jordan Maxwell for you and back in about a week and a half.
[01:00:24.746 --> 01:00:26.267]  Again, for everybody.
[01:00:27.228 --> 01:00:27.668]  State Rep.
[01:00:27.708 --> 01:00:30.191]  Charles Key fighting the New World Order straight ahead.
[01:00:31.881 --> 01:00:44.584]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[01:00:45.004 --> 01:00:51.385]  Loose Change Final Cut is rated for all your cleaning needs, from bathing, because there's a war on for your mind.
[01:00:54.446 --> 01:00:57.987]  Okay, we have State Representative Charles Key on with us.
[01:00:59.421 --> 01:01:09.151]  For the next 55 minutes, he valiantly has exposed the fact that there's a cover-up of what really happened to the Oklahoma City bombing.
[01:01:10.212 --> 01:01:19.782]  Since he first really pushed with grand jurors and others to expose that, it's come out that the Southern Poverty Law Center was involved in running the white supremacist compound.
[01:01:21.900 --> 01:01:22.941]  At Elohim City.
[01:01:23.241 --> 01:01:25.082]  They gotta get our guns one way or the other, don't they?
[01:01:25.122 --> 01:01:26.023]  These America haters.
[01:01:27.504 --> 01:01:32.748]  And it's also come out in sworn affidavits in major newspapers that McVeigh was a government operative.
[01:01:33.229 --> 01:01:34.029]  We already knew that.
[01:01:35.430 --> 01:01:37.772]  And the fact that the building was blown out, not in.
[01:01:38.673 --> 01:01:39.613]  It's just amazing.
[01:01:39.653 --> 01:01:41.254]  We cover that in my film, Road to Tyranny.
[01:01:41.795 --> 01:01:47.799]  And I want to spend some time at the end of the interview dealing with the new developments there with Representative Key.
[01:01:48.917 --> 01:01:51.478]  But about a week ago, we learned the good news.
[01:01:55.939 --> 01:02:08.403]  And that dovetails with other states like Arizona, one of the Dakotas, New Hampshire saying that if a new world order continues or gun confiscation begins or any of this happens, we're going to pull out, we're going to secede.
[01:02:08.443 --> 01:02:10.484]  Well, this story was from World Net Daily.
[01:02:11.024 --> 01:02:12.504]  It was also in some of the Oklahoma papers.
[01:02:12.584 --> 01:02:14.365]  Oklahoma defends, don't tread on me.
[01:02:14.945 --> 01:02:17.286]  State House defends its sovereignty from D.C.
[01:02:17.386 --> 01:02:17.926]  intrusion.
[01:02:18.908 --> 01:02:21.489]  This is what we need, a declaration that the Feds are out of control.
[01:02:21.509 --> 01:02:23.931]  I mean, they're federalizing everything with our tax money.
[01:02:24.211 --> 01:02:26.672]  They take our money and send a few cents of it back with controls.
[01:02:27.792 --> 01:02:33.415]  Steamed over a perceived increase in federal usurping of states' rights, Oklahoma House of Representatives told Washington, D.C.
[01:02:33.435 --> 01:02:34.035]  to back off.
[01:02:34.596 --> 01:02:37.017]  Joint Resolution 1089 passed by an overwhelming 92 to 3 margin.
[01:02:40.424 --> 01:02:43.026]  Reasserts Oklahoma's sovereignty under the Tenth Amendment to the U.S.
[01:02:43.066 --> 01:02:50.571]  Constitution, and according to the resolution's own language, is serving notice to the federal government to cease and desist certain mandates.
[01:02:50.651 --> 01:02:59.537]  The Tenth Amendment states, the powers not delegated to the United States by the Constitution, nor prohibited to by the states, are reserved to the states, respectively, or to the people.
[01:03:00.629 --> 01:03:04.171]  Charles Key, the Republican State Representative who authored the Resolution to the World and Daily.
[01:03:04.511 --> 01:03:10.714]  They introduced it because he believes the federal government's overstepping its bounds has put our Constitution in the form of government in danger.
[01:03:11.294 --> 01:03:14.896]  And so he's the guy that got it passed 92 to 3.
[01:03:14.956 --> 01:03:15.917]  I'd like to know who those 3 are.
[01:03:17.137 --> 01:03:28.125]  And, you know, stuff happened with members of the legislature and with the local mayor, where they would say, oh, I don't know anything about a North American union, and then they'd catch them as signatories to it five years ago.
[01:03:28.205 --> 01:03:30.887]  So, a lot of that has got Oklahomans up in arms.
[01:03:30.927 --> 01:03:38.573]  I wish we had people in our legislature like Charles Key here in Texas, where they're really raping the daylights out of us, the feds are.
[01:03:39.433 --> 01:03:41.815]  But Charles Key, thank you so much for coming on with us.
[01:03:42.336 --> 01:03:43.837]  Hey, it's good to be with you again, Alex.
[01:03:45.044 --> 01:03:47.246]  You know, you've got the floor here for the next 50 minutes.
[01:03:47.286 --> 01:03:57.375]  Tell me about the Oklahoma City bombing website, this website, your site, what you're doing, but after you do that, let's get into this resolution and why it's a ray of hope.
[01:03:58.696 --> 01:04:05.822]  Well, you know this, and just for some of your listeners to know, I'm in my second tenure in the legislature.
[01:04:05.842 --> 01:04:09.245]  I had a previous life in the 80s and 90s in the legislature.
[01:04:10.086 --> 01:04:15.528]  And I was out for about eight years, and I didn't really plan on running again, but I did in 2006, and here I am.
[01:04:17.089 --> 01:04:20.550]  And the reason he had me on the show today, H.G.R.
[01:04:20.750 --> 01:04:24.731]  1089, which is the Tenth Amendment resolution, did pass the House this year.
[01:04:25.652 --> 01:04:26.832]  But it's not brand new.
[01:04:26.872 --> 01:04:31.234]  It's new to a lot of people, but it actually started back in the very early 90s.
[01:04:31.774 --> 01:04:34.515]  There was a state senator from Colorado named Charles Duke.
[01:04:35.411 --> 01:04:47.677]  And he started it, he gets credited with starting the Tenth Amendment Resolution, but he and myself back then and a number of other legislators and other state legislatures introduced it in their state legislatures and passed it back then.
[01:04:48.077 --> 01:04:50.258]  I passed it in the Oklahoma House back in 1994.
[01:04:50.659 --> 01:04:56.962]  Yeah, let's be clear, you guys passed that and said the UN's not coming in here, we're not putting up with land grabs, and boom!
[01:04:57.282 --> 01:04:59.543]  A little bombing happened to teach you to love the feds.
[01:05:00.757 --> 01:05:08.782]  Interesting times back then, and I'd love to take credit for it this time this year, but it does have a history that goes back into the 90s.
[01:05:09.322 --> 01:05:15.805]  But it's something we definitely, we must get out there and get every state to pass this same resolution.
[01:05:16.346 --> 01:05:23.270]  And I tell you, I've got a lot of legislators that are contacting me and saying they want to do the same thing in their legislature this next year.
[01:05:23.290 --> 01:05:25.531]  I've even got some people down there in Texas.
[01:05:27.685 --> 01:05:29.366]  Wow, now I didn't know that.
[01:05:29.666 --> 01:05:33.009]  I don't want to put you on the spot, but do you have in front of you who they are?
[01:05:33.029 --> 01:05:44.837]  I have their approval to talk about it on a public broadcast, so just out of deference to them, I think it would probably be better if I didn't mention their names, but I guarantee you there's some real interest in the Texas Legislature.
[01:05:44.877 --> 01:05:47.699]  Gotcha, we want to sneak up on them, that makes sense.
[01:05:47.739 --> 01:05:56.205]  Tell folks, I've got it here in front of me, but tell them where they can find the resolution to try to give it to their legislatures, and tell us what's in the resolution, why it's so important.
[01:05:56.687 --> 01:06:05.209]  Well, first of all, they could email me at charles.key at okhouse.gov and request a copy.
[01:06:05.229 --> 01:06:06.369]  I would be glad to send it to them.
[01:06:06.449 --> 01:06:19.331]  Or they can go to the Oklahoma House of Representatives website that's real easy to find and it's a very user-friendly website and just look up HJR1089 and you can download your own copy of it.
[01:06:22.032 --> 01:06:23.212]  Tell us about some of the
[01:06:24.500 --> 01:06:27.461]  Pun intended, key areas of the legislation.
[01:06:28.341 --> 01:06:30.742]  Well, you know, you pretty much described it in the opening.
[01:06:30.782 --> 01:06:39.785]  It just simply reiterates what the Tenth Amendment says and says federal government, get back into your proper role and stop getting into areas that you have no legal authority to be into.
[01:06:40.425 --> 01:06:43.607]  And my gosh, the list, you know, we don't have enough time in an hour.
[01:06:43.987 --> 01:06:49.829]  We'd have to spend all day long talking about what the federal government's done and venturing into areas they have no legal authority to be into.
[01:06:49.849 --> 01:06:53.030]  But go over some of the most egregious and why your state's upset.
[01:06:53.737 --> 01:07:09.546]  Well, you've got the violations of privacy, the Fourth Amendment, because of bills like the Patriot Act and all the other ones that we've already forgot the names of them, in which they've tried and they have, I like to say, tried to restrict our rights.
[01:07:09.606 --> 01:07:10.527]  Of course, they have.
[01:07:11.227 --> 01:07:17.211]  But I happen to be one that I don't believe in saying, well, they got us again.
[01:07:17.571 --> 01:07:19.212]  They've eliminated another amendment.
[01:07:20.349 --> 01:07:23.770]  I think the Supreme Law of the Land is just that.
[01:07:23.830 --> 01:07:25.031]  It's the Supreme Law of the Land.
[01:07:25.271 --> 01:07:25.651]  I agree.
[01:07:25.691 --> 01:07:26.311]  It's still there.
[01:07:26.351 --> 01:07:29.492]  Just because they're criminal doesn't mean I'm still not a free human being.
[01:07:29.833 --> 01:07:33.434]  Yeah, just because they passed some bill doesn't mean all of a sudden they superseded it or something.
[01:07:33.474 --> 01:07:34.174]  They got rid of it.
[01:07:34.914 --> 01:07:41.617]  But, you know, you've got privacy, you've got surveillance, you've got ventures into the area of education.
[01:07:42.099 --> 01:07:51.790]  You know, they're telling people what to do and how to educate their kids from Washington, D.C., tying funds to it to try to, you know... And all the problems started when the feds got involved.
[01:07:52.171 --> 01:07:53.132]  Yeah, it just gets worse.
[01:07:53.152 --> 01:07:53.813]  It doesn't get better.
[01:07:57.967 --> 01:08:03.792]  You know, they had a bill this last year that gave a lot of money to hire more law enforcement officers.
[01:08:04.313 --> 01:08:06.335]  They don't have any right to be doing that.
[01:08:06.355 --> 01:08:09.718]  It's not their role, their right to be in that particular area.
[01:08:09.758 --> 01:08:14.743]  Well, I hear people all the time on talk radio, even so-called conservatives, say, but it's free money!
[01:08:15.523 --> 01:08:15.864]  No!
[01:08:16.244 --> 01:08:22.810]  In fact, from what I've seen, federal money is the most, even if you agree with the programs, which we don't, I mean, it is the most wasteful.
[01:08:22.870 --> 01:08:23.631]  It's our money!
[01:08:25.390 --> 01:08:25.950]  Yeah, you know what?
[01:08:25.970 --> 01:08:39.315]  There was an idea that came up back in those early and middle 90s when some of us back then were looking at what we could do to thwart the activity of the federal government in unconstitutional areas.
[01:08:39.935 --> 01:08:49.979]  And this idea came up, if anybody's listening out there that might want to pass this on to a legislator or some of the legislators that are listening to this program or people running for office, you know, it is our money.
[01:08:51.235 --> 01:08:56.059]  And they're taking it and directing it back to the states with kind of a carrot-stick approach.
[01:08:57.099 --> 01:09:02.443]  You do this, we'll give you this money, then once you get hooked into the deal, then they'll take the money away unless you keep doing it and do more.
[01:09:03.004 --> 01:09:04.425]  Yeah, unfunded mandates.
[01:09:04.725 --> 01:09:18.495]  Yeah, what if the states said, okay, look, we're going to start requiring our people within the state to send certain federal taxes to us through the state treasury, and then we'll pass it on up to the federal government.
[01:09:19.321 --> 01:09:23.904]  And this is a real good money-generating, revenue-generating idea, by the way.
[01:09:24.424 --> 01:09:28.726]  The states would have some short-term interest they'd make on that money as it floated through.
[01:09:28.747 --> 01:09:31.168]  And that might really help some states out.
[01:09:31.708 --> 01:09:43.435]  But it would also allow the states to say to the federal government, when they start pushing more unfunded mandates and unconstitutional acts, to say, well, maybe we won't send that money back up to you, we'll just keep it.
[01:09:44.403 --> 01:09:46.844]  Maybe the states need to start doing something like that.
[01:09:47.705 --> 01:09:49.046]  Because it is our money.
[01:09:50.747 --> 01:09:51.847]  Well, it certainly is.
[01:09:52.848 --> 01:09:59.131]  What are some other areas that you think are important people know about dealing with the declaration?
[01:10:01.472 --> 01:10:11.538]  Well, you know, the big issues out there, well, the big issues that have been talked about for several years, I think it's gotten prominent again this time around because of the Ron Paul campaign.
[01:10:12.422 --> 01:10:22.286]  Is the money issue, the authority given to the Federal Reserve, private Federal Reserve Bank, to have control over just about every aspect of our lives having to do with finances and money.
[01:10:23.047 --> 01:10:26.788]  That is proving, and finally proving, to be a really big problem.
[01:10:27.409 --> 01:10:29.029]  They don't have the authority to do that.
[01:10:29.069 --> 01:10:30.150]  It's unconstitutional.
[01:10:31.250 --> 01:10:32.491]  And that needs to be addressed.
[01:10:32.591 --> 01:10:37.873]  Well, now they're saying the Federal Reserve's issued so much currency and liquidity that the dollar's going to be like toilet paper.
[01:10:38.534 --> 01:10:39.294]  Yeah, well, it's...
[01:10:40.239 --> 01:10:42.100]  You know, it seems to be heading that way.
[01:10:42.140 --> 01:10:43.900]  I mean, it's pretty bad right now.
[01:10:43.920 --> 01:10:59.705]  What amazes me and really makes me mad is a lot of these talking head pundits and people in both parties that make buckoos of money and have been living off the system for a long time, they don't have a clue how tough it is for the average middle and lower income person out here trying to get by.
[01:10:59.725 --> 01:11:05.827]  And they think everybody's still making a couple hundred thousand or more dollars a year and everything's real rosy.
[01:11:06.407 --> 01:11:07.948]  But the country is hurting right now.
[01:11:08.801 --> 01:11:12.222]  And it can get a lot worse than it might, but that needs to be fixed.
[01:11:12.322 --> 01:11:20.346]  And the answer is not to print more dollars up and throw a few coins back towards the folks with some type of a tax rebate or something.
[01:11:21.266 --> 01:11:22.626]  But that issue needs to be addressed.
[01:11:22.646 --> 01:11:25.167]  We've also got the problem of just taxation itself.
[01:11:25.788 --> 01:11:28.549]  The federal income tax is a bad tax.
[01:11:29.469 --> 01:11:31.350]  It's not a legal tax.
[01:11:32.130 --> 01:11:36.712]  The Supreme Court, once in our history at least, has ruled that it was not constitutional.
[01:11:37.694 --> 01:11:57.387]  If a court had the courage or the will, the constitutional knowledge, or whatever is holding them back from ruling on this issue, maybe they just need an opportunity, they ought to rule again that the federal income tax is unconstitutional.
[01:12:00.365 --> 01:12:14.414]  You know, it's just hard to believe that a state would have to pass a resolution saying the state of Oklahoma hereby claims sovereignty under the Tenth Amendment to the Constitution of the United States over all powers not otherwise enumerated and granted to the federal government by the Constitution of the United States.
[01:12:15.054 --> 01:12:23.920]  And you serve notice and demand of the federal government as our agent to cease and desist effective immediately mandates that are beyond the scope of these constitutionally delegated powers.
[01:12:24.560 --> 01:12:26.542]  Like federalizing local police
[01:12:27.262 --> 01:12:29.406]  I mean, folks, the government is out of control.
[01:12:29.446 --> 01:12:33.393]  The federal government, it's like a neighbor who's in your house telling you what to do.
[01:12:33.453 --> 01:12:35.036]  I mean, it is out of control.
[01:12:35.597 --> 01:12:36.759]  We'll be right back with State Rep.
[01:12:36.779 --> 01:12:37.901]  Charles Key, a great guy.
[01:12:37.921 --> 01:12:39.063]  We'll cover some other subjects as well.
[01:12:44.230 --> 01:12:48.713]  Did you know that pH balance is one of the most important factors in maintaining high energy?
[01:12:48.733 --> 01:12:49.034]  Let me talk.
[01:12:49.074 --> 01:12:59.421]  In demand of the federal government, as our agent, the cease and desist effective immediately mandates that are beyond the scope of these constitutionally delegated powers, like federalizing local police.
[01:13:00.121 --> 01:13:02.243]  I mean, folks, the government is out of control.
[01:13:02.283 --> 01:13:06.246]  The federal government, it's like a neighbor who's in your house telling you what to do.
[01:13:06.286 --> 01:13:07.887]  I mean, it is out of control.
[01:13:08.347 --> 01:13:09.588]  And we'll be right back with State Rep.
[01:13:09.608 --> 01:13:10.729]  Charles Key, a great guy.
[01:13:10.749 --> 01:13:11.930]  We'll cover some other subjects as well.
[01:13:16.994 --> 01:13:22.661]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[01:13:22.941 --> 01:13:27.727]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[01:13:27.747 --> 01:13:32.953]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[01:13:33.154 --> 01:13:36.598]  This product is a one-of-a-kind in its strength and effectiveness.
[01:13:37.078 --> 01:13:37.339]  I'm good.
[01:13:51.715 --> 01:13:52.035]  I think so.
[01:14:16.584 --> 01:14:17.565]  Hello, Ted Anderson.
[01:14:17.645 --> 01:14:22.429]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[01:14:22.609 --> 01:14:30.416]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
