[00:00:00.029 --> 00:00:00.970]  Alright, we're back!
[00:48:24.468 --> 00:48:30.870]  You're telling me that all FAA communication in this country is shut down right now, and they can't communicate with commercial airliners?
[00:48:31.590 --> 00:48:35.972]  I'm not going to say that's 100% certain, but that's just what I'm reading here is what it sounds like.
[00:48:36.212 --> 00:48:36.492]  Wow.
[00:48:36.572 --> 00:48:42.214]  Well, let me jump to CNN.com right now and see if that is in fact the case, if that is being reported.
[00:48:42.234 --> 00:48:43.414]  That would be a huge story.
[00:48:44.694 --> 00:48:45.375]  That's reckless!
[00:48:45.535 --> 00:48:47.495]  I mean, we could have planes running into each other.
[00:48:47.515 --> 00:48:52.217]  I mean, that is an essential service, and I hope that you're wrong.
[00:48:53.104 --> 00:48:54.566]  I do, because...
[00:49:09.242 --> 00:49:14.564]  The two facilities process all flight plans for commercial and general aviation flights in the United States, the FAA said.
[00:49:14.584 --> 00:49:15.424]  The FAA said there are no radar outages.
[00:49:15.444 --> 00:49:15.724]  That's good.
[00:49:15.744 --> 00:49:17.525]  And said they have not lost contact with any planes.
[00:49:38.171 --> 00:49:38.571]  Also good.
[00:49:38.651 --> 00:49:40.052]  Okay, not that bad then.
[00:49:40.132 --> 00:49:40.532]  Sorry guys.
[00:49:40.572 --> 00:49:41.073]  That's alright.
[00:49:41.113 --> 00:49:43.834]  Hey, you know, that's why we like this cutting-edge news.
[00:49:43.854 --> 00:49:45.075]  That's why we do it off the cuff.
[00:49:45.095 --> 00:49:47.697]  We check our sources before we actually say any of this stuff.
[00:49:47.977 --> 00:49:49.078]  And I'm glad that you called.
[00:49:49.098 --> 00:49:49.938]  Thanks for the call, Tony.
[00:49:50.558 --> 00:49:55.321]  I want to remind people that this is a four-hour radio broadcast, and we have covered a lot today.
[00:49:55.341 --> 00:49:58.143]  We had Red Beckman, a legend in the Patreon movement.
[00:49:58.163 --> 00:50:00.965]  We had Mike Rivera of WhatReallyHappened.com on.
[00:50:00.985 --> 00:50:04.147]  We aired some of Alex's interview.
[00:50:05.604 --> 00:50:24.899]  uh... in a uh... mock white house earlier uh... right off of the mainstream mainline networks over in a denver and of course alex himself called in so we're breaking new ground here you know we're doing live video streams for free at info wars dot com we're launching movies fabled enemies is on the way
[00:50:25.785 --> 00:50:29.887]  It's about to hit PrisonPlanet.tv in only, what's today, the 25th or 26th?
[00:50:29.927 --> 00:50:30.227]  Six days!
[00:50:30.427 --> 00:50:32.168]  I'm excited!
[00:50:32.208 --> 00:50:34.449]  And we're going to be shipping DVDs September 1st.
[00:50:34.910 --> 00:50:37.231]  Be your first to order it over at InfoWars.com.
[00:50:37.291 --> 00:50:38.371]  I worked hard on this film.
[00:50:38.652 --> 00:50:39.532]  I want people to see it.
[00:50:39.552 --> 00:50:40.292]  I want it to get out.
[00:50:40.312 --> 00:50:44.875]  I want it to bring even more people into the 9-11 truth movement, because Lord knows, we need it.
[00:50:45.751 --> 00:50:46.871]  We're back in the final segment.
[00:50:46.891 --> 00:50:59.053]  This is the Alex Jones Show, PrisonPlanet.tv.
[00:50:59.593 --> 00:51:01.914]  Collectors, outdoor enthusiasts, survivalists.
[00:51:02.114 --> 00:51:05.734]  The Army Navy Store from your memory as a child is just that, a memory.
[00:51:05.854 --> 00:51:10.235]  But there is still one place to find everything from gas masks to ammo cans and find it cheap.
[00:51:10.375 --> 00:51:11.935]  MainMilitary.com.
[00:51:11.995 --> 00:51:14.696]  Get hard to find objects like real wool blankets for under 20 bucks.
[00:51:15.376 --> 00:51:15.876]  We're good to go.
[00:51:40.026 --> 00:51:40.607]  Thanks for watching!
[00:51:59.816 --> 00:52:12.552]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:52:12.972 --> 00:52:16.777]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[00:52:17.077 --> 00:52:17.477]  We're good to go.
[00:52:42.927 --> 00:52:50.533]  Make sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[00:52:50.954 --> 00:52:53.215]  We're in a no-holds-barred information war.
[00:52:53.576 --> 00:52:58.940]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:53:02.263 --> 00:53:05.205]  Imagine walking down the street and hearing footsteps behind you.
[00:53:05.646 --> 00:53:09.709]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[00:53:12.967 --> 00:53:17.053]  Tebowtech specializes in non-lethal self-defense products for you and your family.
[00:53:17.654 --> 00:53:25.767]  With everything from stun guns and tasers, to personal alarms and pepper spray, Tebowtech will arm you with the most advanced non-lethal products anywhere on the net.
[00:53:26.463 --> 00:53:27.404]  Not sure where to start?
[00:53:27.844 --> 00:53:31.207]  The Tebowtech Essentials Package is great for you or to share with your family.
[00:53:31.748 --> 00:53:42.477]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[00:53:43.118 --> 00:53:49.163]  With these or any of Tebowtech's products, you have the tools to defend yourself against an attack and get yourself to safety.
[00:53:49.841 --> 00:53:51.741]  Don't be a victim, be a victor!
[00:53:52.322 --> 00:53:54.582]  Stock up now, tbotech.com.
[00:53:55.022 --> 00:53:57.123]  That's t-b-o-t-c-h dot com.
[00:54:19.364 --> 00:54:20.064]  All right, folks.
[00:54:20.524 --> 00:54:21.165]  We are back.
[00:54:21.465 --> 00:54:22.725]  It is the Alex Jones Show.
[00:54:23.125 --> 00:54:29.047]  Remember, the rebroadcast begins in only five minutes over at InfoWars.com, so if you missed any of the other four hours.
[00:54:30.067 --> 00:54:37.849]  Action-packed, Malkin vs. Jones at the DNC, Jones live from the DNC, Michael Rivero, Red Beckman, your calls and more.
[00:54:37.889 --> 00:54:40.170]  All right, we got a couple callers still on the line.
[00:54:40.190 --> 00:54:44.071]  I promised I'd take them, so in the last couple minutes, let's go to Frank in California.
[00:54:44.091 --> 00:54:44.811]  What's on your mind, Frank?
[00:54:46.571 --> 00:54:47.612]  Hello?
[00:54:47.792 --> 00:54:48.092]  Yes, sir.
[00:54:48.971 --> 00:54:49.671]  Good to talk to you guys.
[00:54:49.691 --> 00:54:50.952]  God bless Alex doing his work.
[00:54:50.972 --> 00:54:52.592]  I just want to weigh in real quick.
[00:54:53.133 --> 00:54:55.234]  We've got to stop playing this game, the right and the left.
[00:54:55.894 --> 00:54:58.695]  These political parties have been hijacked by these globalists.
[00:54:59.255 --> 00:55:03.637]  They're New World Order puppets, and it's a distraction to what really needs to happen in this country.
[00:55:04.184 --> 00:55:10.546]  So thank goodness you guys are exposing this, because you do not see this media give us any resemblance of the truth.
[00:55:10.966 --> 00:55:11.506]  Absolutely not.
[00:55:11.526 --> 00:55:12.407]  And nobody has to do it.
[00:55:12.667 --> 00:55:24.771]  No, no, they're always trying to get you stuck into conservative or liberal, left or right, Democrat or Republican, and you know, they tried to attack Corsi as a right-winger when he went after Obama, and he's like, look man, I'm
[00:55:25.091 --> 00:55:26.151]  I'm voting Chuck Baldwin.
[00:55:26.171 --> 00:55:27.232]  I don't know what you're talking about.
[00:55:27.432 --> 00:55:32.353]  It's pretty funny that he kind of denied 9-11 Truth right there and he's voting for the 9-11 Truth candidate.
[00:55:32.513 --> 00:55:35.214]  But it shows he's hip and he's just trying to sell a couple books.
[00:55:35.234 --> 00:55:36.374]  You know, he knows what's going on.
[00:55:36.674 --> 00:55:43.936]  But more and more people not only have to know what's going on, they have to make it acceptable to talk about and say, man, you're voting Democrat or Republican, you're part of the problem.
[00:55:46.391 --> 00:55:47.271]  No better.
[00:55:47.932 --> 00:55:50.713]  This is a guy that is a New World Order puppet.
[00:55:50.773 --> 00:55:54.815]  He is basically committed treason against this country, and these are the people.
[00:55:55.115 --> 00:56:01.818]  You don't think Barack Obama is some type of prophet, which is the biggest misconception that you have in today's media.
[00:56:01.838 --> 00:56:03.379]  But we're brainwashed idiots in this country.
[00:56:03.599 --> 00:56:07.100]  Oh yeah, it's change you can vote for.
[00:56:07.120 --> 00:56:11.202]  There'll be no change other than that appearance that Democrats are in, Republicans are not.
[00:56:11.462 --> 00:56:16.463]  The same elitists are behind him, you can tell from his global world order speech out in Berlin.
[00:56:16.723 --> 00:56:17.624]  Thank you very much, Frank.
[00:56:17.644 --> 00:56:19.584]  He literally said again, global citizenship.
[00:56:19.604 --> 00:56:22.505]  You will do more, not less, in the future.
[00:56:22.545 --> 00:56:23.946]  And we're global citizens, folks.
[00:56:24.226 --> 00:56:28.908]  We're part of this world, this one world, and this new world order they're trying to create.
[00:56:28.928 --> 00:56:29.928]  Well, I'm not going to be a part of that.
[00:56:30.288 --> 00:56:34.511]  And I'm going to do everything in my living, waking bones to oppose it.
[00:56:35.031 --> 00:56:36.392]  Alright, last caller.
[00:56:36.412 --> 00:56:37.993]  Let's jump to Chris in Florida.
[00:56:38.033 --> 00:56:38.774]  Chris, what's on your mind?
[00:56:40.675 --> 00:56:41.215]  Still there, Chris?
[00:56:42.696 --> 00:56:43.016]  Hello?
[00:56:43.297 --> 00:56:43.977]  Yes, are you there?
[00:56:43.997 --> 00:56:44.657]  I'm here.
[00:56:45.358 --> 00:56:45.838]  I can hear ya.
[00:56:47.359 --> 00:56:47.880]  He dropped him.
[00:56:47.920 --> 00:56:48.600]  Ah, we dropped him.
[00:56:48.900 --> 00:56:50.821]  Alright, well you try to take that final call.
[00:56:50.862 --> 00:56:53.944]  I guess I'll just plug my little film, Fabled Enemies.
[00:56:55.006 --> 00:56:56.668]  It's coming out August 31st.
[00:56:57.469 --> 00:57:00.232]  I know I've been just a rush with the plugs, but I really believe in this film.
[00:57:00.312 --> 00:57:01.814]  I really think that it can make a difference.
[00:57:01.854 --> 00:57:04.157]  I really think that it's a good answer to the NIST report.
[00:57:04.177 --> 00:57:05.458]  I have a whole chapter on Building 7.
[00:57:06.059 --> 00:57:07.981]  I have a whole chapter on the anthrax attacks.
[00:57:08.301 --> 00:57:08.602]  Okay?
[00:57:08.882 --> 00:57:10.804]  I get into the shadow government like no other.
[00:57:10.844 --> 00:57:14.288]  There will be no denial that there is a shadow government after this film.
[00:57:15.089 --> 00:57:16.170]  And I promise you that.
[00:57:16.210 --> 00:57:18.691]  I mean, continuity government is commonplace.
[00:57:19.072 --> 00:57:20.893]  It's talked about openly at hearings.
[00:57:20.953 --> 00:57:26.096]  It's just that when you use the term shadow government, most people want to believe that you're wearing a tinfoil hat and it doesn't exist.
[00:57:26.736 --> 00:57:30.839]  Because our globalist masters are supposed to love us and protect us and want to help us.
[00:57:31.680 --> 00:57:32.720]  They never lie to us.
[00:57:33.861 --> 00:57:36.623]  Well, unfortunately, that is just not the case.
[00:57:36.643 --> 00:57:37.803]  They constantly lie to us.
[00:57:37.823 --> 00:57:39.444]  They constantly propagate to us.
[00:57:39.665 --> 00:57:43.207]  They constantly try to take away our living conditions, our freedoms.
[00:57:44.326 --> 00:57:45.889]  They're blowing out the housing market.
[00:57:45.909 --> 00:57:47.111]  They're going to take your home.
[00:57:48.093 --> 00:57:49.736]  They're blowing out the banking market.
[00:57:49.976 --> 00:57:51.078]  They're going to take your money.
[00:57:51.759 --> 00:57:52.500]  What are you going to do?
[00:57:54.087 --> 00:57:58.149]  Well, I suggest you arm yourself in this info war with information first.
[00:57:58.569 --> 00:57:59.389]  Then educate others.
[00:57:59.409 --> 00:58:00.290]  Then prepare yourself.
[00:58:00.330 --> 00:58:02.170]  Get into hard assets like gold and silver.
[00:58:02.611 --> 00:58:03.431]  Get our films.
[00:58:03.511 --> 00:58:05.072]  Get Freedom to Fascism.
[00:58:05.432 --> 00:58:06.752]  Get Road to Tyranny.
[00:58:06.772 --> 00:58:07.413]  Get Martial Law.
[00:58:07.453 --> 00:58:08.253]  Get Loose Change.
[00:58:08.313 --> 00:58:10.634]  And please get Fabled Enemies this week.
[00:58:10.674 --> 00:58:14.036]  Remember, we ship it September 1st and it will be available online August 31st.
[00:58:15.336 --> 00:58:17.760]  Retransmission in less than 60 seconds.
[00:58:18.241 --> 00:58:20.865]  I want to thank Alex Jones again for giving me this opportunity.
[00:58:21.205 --> 00:58:22.267]  All week I'll be with you.
[00:58:22.367 --> 00:58:23.188]  I'm Jason Bermas.
[00:58:23.228 --> 00:58:24.390]  It's the Alex Jones Show.
[00:58:24.650 --> 00:58:25.371]  PrisonPlanet.tv
