[00:00:00.009 --> 00:00:01.810]  We're live at PrisonPlanet.tv
[00:52:15.624 --> 00:52:20.148]  Oh, we can't keep you from hunting migratory birds with the national law?
[00:52:20.469 --> 00:52:23.411]  Okay, we'll get a treaty with Canada and then we'll stuff it right down your throat.
[00:52:23.531 --> 00:52:36.782]  Or they are now going to list carbon dioxide as a deadly toxic poison, not one of the four main elements of life on the planet, and then by claiming polar bears are endangered, which they're at record levels, forty-something thousand just in
[00:52:38.453 --> 00:52:42.097]  Yeah, I guess I must have been dreaming when I saw the videos of polar bears in the Arctic swimming.
[00:53:01.185 --> 00:53:02.546]  No, it's all lies.
[00:53:03.226 --> 00:53:06.109]  And it's no longer global warming, it's now climate change.
[00:53:07.590 --> 00:53:14.396]  Any season, any climate change, the bureaucrats got to take your house and your factory and your farm, because they care about you.
[00:53:14.916 --> 00:53:18.439]  And if they're doing it for a UN treaty, you really won't have any defense.
[00:53:19.040 --> 00:53:21.442]  Forget about any of your constitutional protections.
[00:53:22.082 --> 00:53:26.666]  Once they think they've got themselves covered with one of these UN treaties, that's it, baby.
[00:53:27.673 --> 00:53:31.516]  And they've been using these things for a long time.
[00:53:31.896 --> 00:53:35.699]  It's simply a matter of moving the chess pieces a little further down the board.
[00:53:35.719 --> 00:53:38.881]  It's not as if they're inventing something brand new.
[00:53:41.563 --> 00:53:46.426]  How do we stop the UN pushing through a treaty just being watchful?
[00:53:49.308 --> 00:53:55.212]  We've got to be watchful, and that's one reason I hope people will go to gunowners.org, get themselves on our email list,
[00:53:55.794 --> 00:54:02.036]  Alertless, because we may have to respond very, very quickly when they try to pull one of these things.
[00:54:02.116 --> 00:54:07.178]  It may come up in any number of backhanded ways from behind closed doors.
[00:54:07.658 --> 00:54:09.458]  And so, we've got to be ever alert.
[00:54:09.778 --> 00:54:15.680]  Folks have to be ready, kind of like Minutemen, to get those emails, or this thing could just pass.
[00:54:15.940 --> 00:54:16.441]  Absolutely.
[00:54:16.521 --> 00:54:17.961]  Larry, we're coming back to the full audience.
[00:54:17.981 --> 00:54:18.361]  Here we go.
[00:54:20.962 --> 00:54:23.883]  I'm going to let Larry Pratt go here in about a minute and a half, because the show's almost over.
[00:54:25.622 --> 00:54:44.227]  Before we do that, Larry, at the state level, at the county level, at the federal regulatory level, what are some of the biggest hot spots right now, some of the most dangerous threats to the Second Amendment, briefly, and then some of the good spots, some of the places where we're reclaiming our basic human right to self-defense?
[00:54:44.707 --> 00:54:54.069]  I would say one of the most important things that we have to do in the area of reclaiming is to get what we would call Katrina laws, laws that prohibit the
[00:54:54.693 --> 00:55:04.457]  The confiscation of guns from people during an emergency, unless they're committing a crime, but if they're just walking down the street with a shotgun... Yeah, you can't have emergency decrees to take people's guns.
[00:55:05.137 --> 00:55:13.140]  And if they do it, and just making it illegal won't stop them, because you hardly ever hear of police officers being prosecuted.
[00:55:13.600 --> 00:55:23.964]  But if you do what was done at the federal level, thanks to Senator Vitter and then Representative Jindal, and if you do it at the state level, as they have done in Utah, you make it so that if
[00:55:24.560 --> 00:55:28.083]  Those guns are confiscated in spite of the law.
[00:55:28.523 --> 00:55:38.612]  The victim can bring a personal lawsuit, meaning that the police department or whatever does not pay for the guy's legal expenses.
[00:55:38.772 --> 00:55:45.998]  And if he loses and there's a monetary settlement against him, because these will be civil suits, he has to pay it out of his own pocket.
[00:55:46.380 --> 00:55:50.261]  There goes his home, there goes his savings, there goes his retirement.
[00:55:50.281 --> 00:56:00.604]  Yeah, we've got to punish people that violate the Bill of Rights and Constitution and that also gives police, you know, a law to say no to their superiors or to the governor or somebody else if they try that.
[00:56:00.864 --> 00:56:02.464]  Larry Pratt, thank you for joining us.
[00:56:03.045 --> 00:56:04.305]  Thank you for having me.
[00:56:04.585 --> 00:56:05.565]  I forgot one quick question.
[00:56:05.905 --> 00:56:07.826]  Is it encouraging to see record gun sales?
[00:56:09.144 --> 00:56:13.066]  Yes, I think it is, because I know it's bringing new people into the fold.
[00:56:13.166 --> 00:56:18.428]  I've had calls from people who say, well, I've never owned a gun, but, you know, ladies typically.
[00:56:18.948 --> 00:56:20.168]  But what kind of gun should I have?
[00:56:20.208 --> 00:56:22.009]  It's a good cultural revolution.
[00:56:22.029 --> 00:56:24.770]  I don't know a lot of liberals buying guns.
[00:56:25.090 --> 00:56:29.732]  They are waking up and realizing and understanding it's a very special, precious thing.
[00:56:29.812 --> 00:56:30.792]  Larry, thanks for joining us.
[00:56:31.193 --> 00:56:31.593]  Thank you.
[00:56:32.389 --> 00:56:32.729]  You bet.
[00:56:32.929 --> 00:56:36.211]  There goes Larry Pratt, ladies and gentlemen.
[00:56:37.131 --> 00:56:38.492]  We're about to end this transmission.
[00:56:38.532 --> 00:56:39.872]  We had a bunch of big guests on.
[00:56:39.892 --> 00:56:44.795]  Of course, Gary Franchi about the protest against the Federal Reserve all over the country, Alan Watt and others.
[00:56:46.209 --> 00:56:47.850]  That's coming up at the very end of the show.
[00:56:48.290 --> 00:56:51.132]  I'm getting over my cold, so the radio show is getting back on track.
[00:56:51.832 --> 00:57:01.478]  Before we end the broadcast, I do want to encourage everybody to listen to me very carefully and to start being self-sufficient, not just with firearms, but with storable foods.
[00:57:01.858 --> 00:57:12.084]  And the place to do that with the best storable foods available for the price, free stride, and dehydrated is efoodsdirect.com or J. Michael Stevens Group, 800-409-5633, with all the craziness and the upheaval.
[00:57:15.666 --> 00:57:16.567]  Going on in the world.
[00:57:16.627 --> 00:57:19.009]  It is more important than ever to be self-sufficient.
[00:57:19.029 --> 00:57:22.612]  It is more important than ever to not count on the government or anybody else.
[00:57:23.113 --> 00:57:29.238]  This is high quality food that lasts more than 10 years in climate controlled, 10 years in non-climate controlled, 800-409-5633, 800-409-5633.
[00:57:29.278 --> 00:57:30.860]  This is insurance you can't afford to not have.
[00:57:37.005 --> 00:57:37.846]  800-409-5633.
[00:57:37.906 --> 00:57:40.527]  Call and get a free brochure.
[00:57:40.968 --> 00:57:44.390]  Call and learn about the great food packages they've got from two months up to five years.
[00:57:44.410 --> 00:57:48.753]  800-409-5633 or on the web at efoodsdirect.com.
[00:57:48.793 --> 00:57:53.536]  Big giant banners at the top of infowars.com and prisonplanet.com.
[00:57:54.909 --> 00:57:56.210]  And then, of course, Ecolablue.
[00:57:56.410 --> 00:57:57.311]  It's so cool.
[00:57:57.431 --> 00:57:59.612]  I hope you check out their whole line of products.
[00:57:59.632 --> 00:58:02.314]  They don't just have these neat atmospheric water generators there.
[00:58:02.334 --> 00:58:03.455]  They have a lot of other products.
[00:58:04.275 --> 00:58:05.456]  Solar panels, you name it.
[00:58:05.516 --> 00:58:06.316]  But just check them out.
[00:58:06.757 --> 00:58:08.278]  Ecolablue.com.
[00:58:08.438 --> 00:58:11.159]  E-C-O-L-O.com.
[00:58:11.820 --> 00:58:12.740]  They manufacture them.
[00:58:12.760 --> 00:58:13.321]  They've got them.
[00:58:13.341 --> 00:58:14.261]  They've got them in stock.
[00:58:14.782 --> 00:58:16.903]  A lot of these atmospheric water generators are sold out, folks.
[00:58:16.923 --> 00:58:17.343]  They have them.
[00:58:17.724 --> 00:58:19.045]  Ecolablue.com.
[00:58:19.065 --> 00:58:20.205]  We have one right here in the office.
[00:58:20.525 --> 00:58:21.386]  I'm drinking it right here.
[00:58:21.406 --> 00:58:22.807]  In fact, put me on TV here real fast.
[00:58:25.413 --> 00:58:25.894]  Good stuff.
[00:58:28.256 --> 00:58:36.664]  Again, ladies and gentlemen, check out acolablue.com or 866-585-4044.
[00:58:37.305 --> 00:58:42.530]  That's 866-585-4044 or acolablue.com.
[00:58:42.670 --> 00:58:43.270]  Check them out.
[00:58:43.611 --> 00:58:44.812]  Rebroadcast starts now.
[00:58:44.852 --> 00:58:46.694]  Thanks to all the listeners and affiliates and sponsors.
