[00:00:02.431 --> 00:00:11.439]  Okay, huge new development.
[00:42:00.602 --> 00:42:01.363]  Or in the state.
[00:42:01.743 --> 00:42:06.326]  I do seminars all over the country, and everybody says, my county's the most corrupt in the state.
[00:42:06.726 --> 00:42:07.467]  Except here.
[00:42:08.288 --> 00:42:11.770]  Here, everybody says, Williamson County's the most corrupt.
[00:42:12.150 --> 00:42:17.354]  And something I know about, the more corrupt they are, the more vulnerable they are.
[00:42:18.703 --> 00:42:22.227]  Most policemen don't get into the police work to be jackbooted thugs.
[00:42:22.928 --> 00:42:24.830]  But they get stuck in this corrupt system.
[00:42:25.491 --> 00:42:26.352]  They know it's corrupt.
[00:42:26.793 --> 00:42:27.414]  They don't like it.
[00:42:27.434 --> 00:42:30.077]  But if they're going to keep their job, they're going to follow along.
[00:42:30.657 --> 00:42:33.681]  And then somebody comes along and points their finger right at it.
[00:42:34.642 --> 00:42:36.623]  Well, they knew they were corrupt all the time.
[00:42:36.663 --> 00:42:39.185]  The more corrupt they are, the more concerned they are.
[00:42:39.865 --> 00:42:46.829]  And the first thing they're going to do is creak open their little closet door and look at their darkest skeleton and figure out how I'm going to find it.
[00:42:47.709 --> 00:42:49.310]  So that's why I went to Williamson County.
[00:42:49.851 --> 00:42:53.653]  I filed a criminal charge with the district attorney against the sheriff's deputy.
[00:42:55.131 --> 00:42:58.293]  And that was with what had happened.
[00:42:58.313 --> 00:43:05.038]  A deputy had arrested a woman in Travis County sitting in a parking lot with her lights on.
[00:43:05.499 --> 00:43:06.399]  He saw a headlight out.
[00:43:07.800 --> 00:43:09.361]  He pulled into Travis County.
[00:43:11.143 --> 00:43:12.224]  It was in front of a beer joint.
[00:43:12.324 --> 00:43:14.885]  He did a sobriety test on her.
[00:43:15.931 --> 00:43:25.796]  ran her license and found that ten years earlier she had three DUIs and it had been ten years, you know, when she was in her late teens and pretty wild, she got over that.
[00:43:26.757 --> 00:43:28.718]  So he arrested her and took her back to Williamson County.
[00:43:29.678 --> 00:43:32.860]  It had been almost a year, her trying to get it to trial.
[00:43:34.801 --> 00:43:37.603]  So they told me about it and uh...
[00:43:38.755 --> 00:43:43.076]  First thing I did was file criminal charges against the officer for false arrest.
[00:43:43.796 --> 00:43:45.176]  You're not supposed to be out of your jurisdiction.
[00:43:46.136 --> 00:43:52.438]  Technically, he can go four hundred yards out of his jurisdiction, but not for a misdemeanor, only for a felony.
[00:43:53.278 --> 00:43:57.079]  And he claimed that he followed her from Williamson County into Travis County.
[00:43:58.319 --> 00:43:59.739]  So, he lied.
[00:44:00.339 --> 00:44:01.719]  We had conflicting opinions.
[00:44:01.940 --> 00:44:03.260]  I wanted a grand jury to sort it out.
[00:44:03.420 --> 00:44:03.800]  Actually,
[00:44:04.773 --> 00:44:09.536]  I wanted the district attorney to refuse to take the complaint so I could try to get him arrested.
[00:44:10.957 --> 00:44:13.179]  I always want to go for the highest guy in the district.
[00:44:13.859 --> 00:44:15.100]  Don't want to mess with the policeman.
[00:44:16.561 --> 00:44:18.243]  Article 2.03 Texas Code of Conduct.
[00:44:18.343 --> 00:44:18.743]  Stay there.
[00:44:18.763 --> 00:44:25.448]  We're going to get into how to do this when we get back and we'll talk about some other issues behind the scenes at InfoWars.com if you're listening there.
[00:44:25.948 --> 00:44:26.688]  I'm Alex Jones.
[00:44:26.708 --> 00:44:27.129]  Stay with me.
[00:44:31.636 --> 00:44:34.420]  Randy, I want to get back to that story with Williamson County and then get into the solutions.
[00:44:35.041 --> 00:44:43.713]  But right now, because I want to keep the show congruent for those that are listening on the main radio line, but other side issues or anything else you want to cover?
[00:44:45.225 --> 00:44:45.465]  No.
[00:44:46.406 --> 00:44:51.148]  Too much information in just this one section with only an hour.
[00:44:51.168 --> 00:44:51.929]  I don't have enough time.
[00:44:51.949 --> 00:44:52.949]  Okay, well let's go back then.
[00:44:53.009 --> 00:44:54.590]  Let's go back because I don't want to break it up.
[00:44:54.690 --> 00:44:56.551]  Tell us some more horror stories of corruption.
[00:44:58.312 --> 00:45:04.035]  Well, the Ridhabeus Corpus I have before the grand jury right now.
[00:45:05.076 --> 00:45:09.178]  A kid in Montgomery County gets stopped for DUI.
[00:45:09.198 --> 00:45:12.860]  The Republic of Texas guys call me to see if I can do something about it.
[00:45:13.925 --> 00:45:16.786]  I go down there and no court record.
[00:45:18.026 --> 00:45:19.147]  There's no record he exists.
[00:45:19.187 --> 00:45:20.987]  He's been sitting in jail for three, four weeks.
[00:45:21.828 --> 00:45:23.528]  And the court clerk doesn't know he exists.
[00:45:23.808 --> 00:45:24.829]  They do that all the time now.
[00:45:25.029 --> 00:45:25.749]  Yes, they do.
[00:45:25.889 --> 00:45:28.810]  And I charge them with felony tampering with a government document for doing it.
[00:45:29.758 --> 00:45:36.262]  Because when the magistrate does that little hearing that he does, they call it a magistration.
[00:45:37.022 --> 00:45:37.763]  They made that up.
[00:45:38.443 --> 00:45:39.624]  Magistration doesn't exist.
[00:45:39.864 --> 00:45:42.226]  If you type it into Microsoft Word, it puts a little red line under it.
[00:45:42.246 --> 00:45:43.006]  It doesn't recognize it.
[00:45:44.007 --> 00:45:47.269]  There is such a thing they're supposed to do, and it's called an examining trial.
[00:45:47.289 --> 00:45:51.911]  And there's a whole chapter in the Code of Criminal Procedure that defines what's done in an examining trial.
[00:45:51.931 --> 00:45:52.772]  They do none of that.
[00:45:54.465 --> 00:46:09.739]  There's another statute under chapter 17 under bail that tells the magistrate after an examination he's to seal all documents had in the hearing, cause his name to be written across the seal, forward it to the clerk of the court of jurisdiction.
[00:46:10.300 --> 00:46:11.220]  They don't do that.
[00:46:11.260 --> 00:46:15.424]  They give it to the prosecutor to keep the speedy trial clock from starting.
[00:46:16.085 --> 00:46:18.187]  That gives him time to squeeze a deal out of you.
[00:46:20.265 --> 00:46:21.006]  That's a felony.
[00:46:21.927 --> 00:46:23.849]  Yeah, that's a form of cruel and unusual torture.
[00:46:23.969 --> 00:46:30.196]  I mean, that's punishment to throw someone in and then have no record of them in some gulag.
[00:46:30.456 --> 00:46:34.060]  That's the opposite of due process, the opposite of habeas corpus, the Magna Carta.
[00:46:34.481 --> 00:46:36.143]  Everything we're built on and they do it all the time.
[00:46:37.564 --> 00:46:45.108]  37.10 Penal Code says it's a felony for anyone to secret a government document from the person or department it's directed to.
[00:46:45.748 --> 00:46:48.029]  Got the judge dead bang.
[00:46:48.330 --> 00:46:49.030]  What happened to him?
[00:46:49.550 --> 00:46:50.631]  Oh, nothing yet.
[00:46:51.951 --> 00:46:54.333]  I filed 30 complaints with the magistrate.
[00:46:55.342 --> 00:47:00.624]  He took the complaints, and one of them was that complaint of secreting documents from the clerk.
[00:47:01.465 --> 00:47:08.488]  He sent them all back to me with a note saying he examined into my allegations and found no probable cause, so he returned them to me.
[00:47:09.868 --> 00:47:10.469]  Moron!
[00:47:10.489 --> 00:47:11.229]  Didn't you read it?
[00:47:11.929 --> 00:47:14.190]  Now I file 30 felons against you!
[00:47:15.571 --> 00:47:19.593]  Eventually, we'll move out of Williamson County into the federal court.
[00:47:20.546 --> 00:47:23.872]  We'll get them out of their local venue.
[00:47:24.433 --> 00:47:26.577]  I'm getting them to violate what I can.
[00:47:26.637 --> 00:47:28.380]  So it builds a case as they violate.
[00:47:28.480 --> 00:47:29.021]  Exactly.
[00:47:29.422 --> 00:47:31.225]  It's the Tar Baby Syndrome.
[00:47:32.372 --> 00:47:36.354]  First guy screws up, everybody who touches it sticks to it.
[00:47:37.335 --> 00:47:45.799]  I filed two felonies, eight class A misdemeanors, I'm sorry, I will be filing, against every jailer who was in the jail at the time.
[00:47:45.819 --> 00:47:47.000]  Whatever happened to the young man?
[00:47:47.100 --> 00:47:48.121]  Still in there?
[00:47:49.141 --> 00:47:59.687]  Five months later, after I filed a writ of habeas corpus in his behalf, I got a call from someone who said, are you, Randall Kelton at CSM, are you Danny Schill's attorney?
[00:47:59.747 --> 00:48:00.728]  No, I'm not an attorney.
[00:48:01.528 --> 00:48:03.872]  Did you file a writ of habeas corpus on Danny Shull's behalf?
[00:48:03.913 --> 00:48:04.514]  Yes, I did.
[00:48:04.534 --> 00:48:09.102]  Do you mind if I ask what your relationship with Mr. Shulls is?
[00:48:09.583 --> 00:48:09.863]  Sure.
[00:48:10.164 --> 00:48:11.887]  I don't have a relationship with Mr. Shulls.
[00:48:12.107 --> 00:48:12.728]  Never met the man.
[00:48:13.717 --> 00:48:20.282]  There's this long pause, and she said, uh, well, uh, do you mind if I ask what your business with Mr. Schultz is?
[00:48:20.882 --> 00:48:21.683]  Yes, I do.
[00:48:22.523 --> 00:48:25.405]  I have business with Mr. Schultz, and it's none of yours.
[00:48:26.026 --> 00:48:30.409]  The next week, they took him into court, dismissed all the charges, put him on the street.
[00:48:30.429 --> 00:48:30.950]  Okay, here we go.
[00:48:30.990 --> 00:48:31.450]  We're going live.
[00:48:37.793 --> 00:48:41.175]  I was talking to Randy Kelton in the behind the scenes of PrisonPlanet.tv viewers.
[00:48:41.215 --> 00:48:51.500]  He was just telling me about one case in Texas where they pull a young guy over, claim he's drinking, and he was in jail five months without a charge, without a name, without a hearing.
[00:48:51.540 --> 00:48:52.821]  And I hear about this all the time.
[00:48:52.841 --> 00:48:53.762]  I see it in the news now.
[00:48:54.502 --> 00:49:00.645]  Where they just grab you and throw you in jail, and you had to go file criminal charges, habeas corpus documents, all of this.
[00:49:01.065 --> 00:49:03.687]  This isn't just Abu Ghraib people getting flown to Camp X-Ray.
[00:49:03.707 --> 00:49:04.567]  I mean, U.S.
[00:49:04.607 --> 00:49:07.749]  citizens now, it's not even a contempt charge.
[00:49:07.789 --> 00:49:10.070]  They just say, we just put you in jail now.
[00:49:11.171 --> 00:49:13.912]  I mean, that is the opposite of what our country is based on.
[00:49:14.152 --> 00:49:14.732]  Exactly.
[00:49:15.913 --> 00:49:18.234]  The document I filed, the writ of habeas corpus,
[00:49:20.336 --> 00:49:33.170]  stipulates how every step from arrest to trial as presently practiced in Texas is not only wrong, it is very specifically against particular law.
[00:49:33.330 --> 00:49:38.276]  And to be clear though, you've been practicing and exposing things in Texas, but you've looked at it all over the country is the same.
[00:49:38.616 --> 00:49:44.824]  Everywhere I go, this writ of habeas corpus is written on Texas law, but it's based on federal law.
[00:49:44.884 --> 00:49:46.306]  It's essentially the same everywhere.
[00:49:46.786 --> 00:49:50.951]  Everywhere I go, people read it, they say the same thing's going on here.
[00:49:51.432 --> 00:49:55.637]  And everywhere I go, everybody says, my county is the most corrupt
[00:49:55.657 --> 00:49:56.677]  Well, here's an example.
[00:49:57.137 --> 00:50:02.819]  I got arrested protesting, and then they come to the door, and then they just took me away, because you don't have free speech in Austin.
[00:50:03.299 --> 00:50:08.321]  They pay $100,000 and $500,000 lawsuits every few weeks for arresting people at demonstrations.
[00:50:08.721 --> 00:50:10.102]  They just take our tax money and pay it.
[00:50:10.602 --> 00:50:11.142]  They don't care.
[00:50:11.602 --> 00:50:16.924]  They're still going to keep, they've got to stop that freedom, got to stop that free speech, or the public might wake up and take them all to prison.
[00:50:17.924 --> 00:50:23.085]  But they came to my jail cell, and they said, we want you to sign this, and it had all this big list of crimes I've committed to get out.
[00:50:23.145 --> 00:50:25.105]  I said, well this is a plea of guilt.
[00:50:25.966 --> 00:50:29.486]  And then years later, Mike Hanson got arrested, and he told me this, and I went and got the copy.
[00:50:29.526 --> 00:50:30.567]  They even gave it to me.
[00:50:30.607 --> 00:50:35.008]  I mean, the Soviets would torture you underground and show you a document and say, sign it.
[00:50:35.328 --> 00:50:38.028]  Here in America, they just say, the average idiot doesn't know.
[00:50:38.048 --> 00:50:44.009]  They go, here, sign your personal recognizance bond, and you're agreeing that you've committed drug dealing, drunken driving.
[00:50:44.509 --> 00:50:46.850]  You're agreeing to all these classes that you've committed a crime.
[00:50:47.819 --> 00:50:49.742]  Yeah, that's common practice.
[00:50:50.423 --> 00:50:55.070]  I mean, the government's just totally lawless, and do the cops know, and do the jailers know they're criminals?
[00:50:55.270 --> 00:50:55.551]  Yes.
[00:50:55.811 --> 00:50:56.151]  Oh, they do?
[00:50:56.372 --> 00:50:58.114]  And for the most part, they don't like it.
[00:50:59.156 --> 00:51:00.758]  It's not as bad as we think.
[00:51:01.179 --> 00:51:02.641]  There is a remedy out there.
[00:51:03.482 --> 00:51:19.271]  And while I don't blame the policeman, the remedy involves kicking him right square in his behind as hard as you can so he has plausible deniability to go to his boss and say, if you want to arrest this guy and take him to jail, you do it.
[00:51:20.072 --> 00:51:21.853]  I'm not having him take my bass boat.
[00:51:22.998 --> 00:51:25.260]  You accuse the individual of a crime.
[00:51:25.360 --> 00:51:26.640]  Forget the guys at the top.
[00:51:27.061 --> 00:51:31.023]  Take that personal individual, accuse him of committing a criminal act.
[00:51:31.344 --> 00:51:33.865]  When he commits a criminal act, he loses his immunity.
[00:51:34.426 --> 00:51:35.686]  You can sue him personally.
[00:51:35.807 --> 00:51:36.347]  I know, yeah.
[00:51:36.847 --> 00:51:38.648]  Now you put him under threat.
[00:51:38.929 --> 00:51:45.193]  When I file against every jailer in the jail in Williamson County for following policy, they're going to say, what?
[00:51:45.613 --> 00:51:46.113]  What did I do?
[00:51:47.074 --> 00:51:49.595]  And I'm going to say, you touched the tar baby, Bubba!
[00:51:49.995 --> 00:51:56.377]  Now, I want to get into, first off, you've had quite a few victories now, and then in the 30 minutes we've got left, let's get into what you do.
[00:51:56.677 --> 00:51:59.358]  And I'd like to have you back, Randy, you're really a great guy and we appreciate you coming in.
[00:52:01.199 --> 00:52:02.079]  You've had some victories.
[00:52:02.319 --> 00:52:02.980]  Yes, I have.
[00:52:04.200 --> 00:52:11.603]  The writ we spoke of earlier, the one I filed in Danny Shull's behalf, I filed it with a local district judge, they stopped a murder trial.
[00:52:12.603 --> 00:52:16.167]  To hear it, and the judge threw me out of the courtroom because I wasn't an attorney.
[00:52:16.988 --> 00:52:23.895]  So I prepared criminal charges against the judge, and then filed the writ with the Texas Court of Criminal Appeals.
[00:52:24.636 --> 00:52:25.537]  Highest court in Texas.
[00:52:26.398 --> 00:52:29.922]  They insisted that I file a motion for leave to file.
[00:52:31.163 --> 00:52:33.145]  Then they denied me leave to file.
[00:52:34.298 --> 00:52:39.141]  Well, Rid of Habeas Corpus is the only court filing mentioned in Constitution.
[00:52:39.702 --> 00:52:41.103]  It's a writ of right.
[00:52:42.524 --> 00:52:43.164]  The Great Writ.
[00:52:43.444 --> 00:52:44.245]  The Great Writ.
[00:52:45.225 --> 00:52:49.548]  They denied me permission to exercise a constitutional right.
[00:52:49.708 --> 00:52:53.451]  I see that as official oppression, a class A misdemeanor in Texas.
[00:52:53.871 --> 00:53:00.015]  I went down to the bailiff of the grand jury and I told the bailiff, instruct the foreman I have business with the grand jury.
[00:53:01.036 --> 00:53:10.924]  Instead of instructing the foreman, she called the district attorney, who came down and insisted that this was the grand jury's last day, and their calendar's full, they just will not have time to hear your complaint.
[00:53:11.724 --> 00:53:13.866]  But if you'll give it to me, I'll give it to the next grand jury.
[00:53:14.526 --> 00:53:21.912]  And I told her, make sure you do, because if you don't, you'll start a fight with me and you that I don't want to have.
[00:53:22.813 --> 00:53:24.434]  She did not give it to the grand jury.
[00:53:25.135 --> 00:53:26.696]  So I came back to the grand jury,
[00:53:27.870 --> 00:53:50.471]  with and told the bailiff instruct the foreman I have business with the grand jury instead she called the district attorney and handed me the phone said this is the district attorney she wants to talk to you I said if you look at those complaints you'll find their complaints against the district attorney she's a criminal I don't talk to criminals and the bailiff took the phone back and uh... we've got this on on video
[00:53:51.751 --> 00:53:55.953]  Uh, he said he can't talk to you because you're the criminal and he don't talk to criminals.
[00:53:57.234 --> 00:54:02.956]  She came out anyway and stopped me from filing criminal complaints against herself with the grand jury.
[00:54:03.276 --> 00:54:07.658]  And now, that is a conflict of interest, obstruction of justice, and a bunch of other things.
[00:54:07.718 --> 00:54:08.899]  That is so horrendous.
[00:54:08.939 --> 00:54:09.519]  What else is it?
[00:54:10.199 --> 00:54:16.322]  It's official oppression, it's shielding from prosecution, and she brought someone with a pistol.
[00:54:16.902 --> 00:54:17.723]  Aggravated assault.
[00:54:18.411 --> 00:54:20.953]  Oh my God, these people are absolutely out of their minds.
[00:54:20.973 --> 00:54:21.633]  We'll be right back.
[00:54:22.634 --> 00:54:23.515]  We're on the march.
[00:54:24.155 --> 00:54:24.636]  Keep going.
[00:54:24.816 --> 00:54:26.337]  Yeah, that's how it gets worse.
[00:54:26.957 --> 00:54:28.238]  And literally I set him up.
[00:54:29.279 --> 00:54:31.661]  I was sure that the prosecutor would stop me.
[00:54:32.741 --> 00:54:34.923]  So I could come back with charges against her.
[00:54:35.063 --> 00:54:37.445]  I didn't expect her to stop me with charges against her.
[00:54:38.145 --> 00:54:38.766]  But she did.
[00:54:39.386 --> 00:54:44.330]  So from there I went to the head criminal district judge in Travis County.
[00:54:45.871 --> 00:54:54.018]  Petitioned him for a court of inquiry to examine into her actions and presented him with three criminal complaints, which he refused to take.
[00:54:55.119 --> 00:54:59.222]  Said the district court in Travis County doesn't take criminal charges.
[00:54:59.783 --> 00:55:03.085]  I said, well, I'm not approaching you in your capacity as a district judge.
[00:55:03.145 --> 00:55:09.210]  I'm approaching you in your capacity as a magistrate in Texas, and that's a duty from which you may not shield yourself.
[00:55:10.211 --> 00:55:11.112]  Well, he did.
[00:55:12.373 --> 00:55:14.535]  So I filed criminal charges against him.
[00:55:16.109 --> 00:55:22.271]  And then came back a second time and filed the same petition for court of inquiry with another district judge.
[00:55:23.871 --> 00:55:26.952]  This one found out what I was doing with the first and he took it.
[00:55:28.393 --> 00:55:34.395]  He sent it to the district clerk who sent it to the county attorney to look into it for him.
[00:55:34.415 --> 00:55:36.595]  He couldn't send it to the district attorney because he was accused.
[00:55:37.416 --> 00:55:40.897]  I went to the county attorney and filed three criminal charges against Claire Brown.
[00:55:42.308 --> 00:55:50.274]  And went back to the district attorney's office, demanded the complaints I had given to her against the Court of Criminal Appeals judges.
[00:55:51.135 --> 00:55:53.797]  She brought them to me and I got an opportunity to talk to her.
[00:55:55.378 --> 00:55:57.299]  Told her, I'm not after you, Claire.
[00:55:57.379 --> 00:55:58.520]  I never was after you.
[00:55:59.721 --> 00:56:02.983]  If you will just stand aside, let me hand these to the grand jury.
[00:56:03.003 --> 00:56:05.846]  Then you go in there and talk them out of indicting.
[00:56:07.046 --> 00:56:07.867]  Everybody wins.
[00:56:08.848 --> 00:56:10.249]  The judges don't get indicted.
[00:56:11.207 --> 00:56:14.169]  I get them presented to the grand jury and you get to be the hero.
[00:56:15.670 --> 00:56:16.791]  She bought that story.
[00:56:17.691 --> 00:56:19.873]  They're in the hands of the grand jury as we speak.
[00:56:20.273 --> 00:56:24.716]  If this grand jury doesn't indict, I got twelve a year that I'll file with.
[00:56:25.774 --> 00:56:26.755]  I'll eventually get them.
[00:56:27.895 --> 00:56:31.758]  When I get all the justice of the Court of Criminal Appeals, everything changes.
[00:56:32.298 --> 00:56:33.959]  They get indicted, they're removed from office.
[00:56:34.119 --> 00:56:44.406]  But I know about lots of other people's cases where somebody has been arrested for no driver's license and you give them procedures, just basic stuff, and the court finally doesn't make a plea bargain and just dismisses it.
[00:56:44.686 --> 00:56:46.027]  And we see lots of that too.
[00:56:46.047 --> 00:56:48.549]  Yes, that's because the writ of habeas corpus
[00:56:49.509 --> 00:56:53.651]  It demonstrates all the acts that they commit that are criminal.
[00:56:54.211 --> 00:56:57.812]  So I took Rita Habeas Corpus apart and broke it into a bunch of motions.
[00:56:58.293 --> 00:57:08.477]  I maintain that when the officer arrests you, searches you, cuffs you, stuffs you, cranks the automobile, points it toward the jail, he has committed aggravated kidnapping.
[00:57:09.457 --> 00:57:12.158]  There's no false imprisonment statute in Texas.
[00:57:12.178 --> 00:57:15.620]  The statute is kidnapping.
[00:57:16.220 --> 00:57:18.781]  When he arrested you, he could have arrested you legally.
[00:57:19.537 --> 00:57:26.084]  But when he pointed toward the jail instead of some magistrate's office, he violated law relating to his office, he became a criminal treasurer.
[00:57:26.104 --> 00:57:32.530]  Because you're supposed to immediately go before the magistrate so that you can then present your basic Bill of Rights.
[00:57:32.770 --> 00:57:33.251]  Exactly.
[00:57:33.591 --> 00:57:34.933]  Hold on, let's explain that right now.
[00:57:45.689 --> 00:57:47.070]  Randy Kelton's our guest.
[00:57:47.391 --> 00:57:49.072]  He's had a lot of effect in the courts.
[00:57:49.132 --> 00:57:51.954]  I've seen him have some victories, get some people out of things they hadn't done.
[00:57:53.415 --> 00:57:57.999]  When lawyers wanted $20,000, he was able, with basic procedures, to have them just drop the cases.
[00:57:58.019 --> 00:58:02.022]  I mean, it's one big, giant, corrupt system.
[00:58:02.683 --> 00:58:06.226]  And Randy, we were talking during the last break there for PrisonPlanet.tv viewers.
[00:58:06.546 --> 00:58:09.528]  We were just now getting into the procedures.
[00:58:10.289 --> 00:58:13.471]  The police officer in the old days took you before a judge first.
[00:58:14.392 --> 00:58:25.317]  And it was always over rustling, or horse thieving, or rape, or something serious, but they still had to bring you before a judge, before the jail, where they could hold you maybe for a day before you went before a judge when the judge came in.
[00:58:25.337 --> 00:58:26.638]  It was on the weekend or at night.
[00:58:27.278 --> 00:58:30.239]  And now they'll just take you for weeks, months in jail without even charges.
[00:58:30.760 --> 00:58:36.862]  That is kidnapping, that is official oppression, that is grade A tyranny, but all of this has just been standardized.
[00:58:36.882 --> 00:58:37.743]  But here's another example.
[00:58:40.034 --> 00:58:42.595]  Somebody steals your car, they won't come out and look into it.
[00:58:42.635 --> 00:58:45.176]  If you want to go file a report, they won't even let you.
[00:58:45.196 --> 00:58:52.999]  If you want to file charges on somebody who's knocked your teeth out, they'll just act like, well, come back later, or I can't do that, or go here.
[00:58:53.640 --> 00:59:01.263]  They don't let you know that they have to file that, and then if you turn out to be a liar, you get arrested for filing false charges.
[00:59:02.063 --> 00:59:03.744]  And so it's the same thing with grand juries.
[00:59:03.784 --> 00:59:05.325]  Grand juries used to be creatures of the people.
[00:59:05.765 --> 00:59:06.326]  They were open.
[00:59:06.346 --> 00:59:07.146]  They were discussed.
[00:59:07.526 --> 00:59:09.187]  Now they've become creatures of the prosecutors.
[00:59:09.308 --> 00:59:11.429]  Everything has been domesticated.
[00:59:11.869 --> 00:59:12.950]  So let's talk about that.
[00:59:12.990 --> 00:59:13.270]  I mean, when
[00:59:16.783 --> 00:59:25.710]  You know, I've gone down many years ago, ten, twelve years ago, when I had stalkers and people breaking my car and doing stuff, being in my backyard, and I'd go to them and they'd say, look, you don't like us cops.
[00:59:26.190 --> 00:59:28.512]  I'm not going to file a thing on him for you.
[00:59:28.953 --> 00:59:29.893]  Just get out of my office.
[00:59:30.594 --> 00:59:31.655]  And I was just like, whoa!
[00:59:31.675 --> 00:59:32.996]  And that was down here in Austin.
[00:59:33.416 --> 00:59:34.757]  And that's when I really started waking up.
[00:59:34.817 --> 00:59:44.383]  I mean, I'd grown up in Dallas where our sheriff would jail for being a drug dealer, and I'd seen all kinds of crazy stuff and knew it was all a joke, but I mean, this really is, these are hardcore crooks.
[00:59:44.443 --> 00:59:47.766]  I mean, you're saying your normal officer isn't like that on the ground.
[00:59:47.786 --> 00:59:56.051]  I know they're just out writing tickets and raising revenue and helping people occasionally, but higher up, I mean, it does seem to get more rotten as you get higher up the fish.
[00:59:56.792 --> 01:00:00.734]  You know, it rots from the head down, but I mean, Randy, that's a lot I've said, but comments on that.
[01:00:01.054 --> 01:00:02.796]  It goes to the law of credulence.
[01:00:03.676 --> 01:00:05.238]  Crud sinks to the top.
[01:00:06.179 --> 01:00:08.481]  You have to be a scoundrel to ever get there.
[01:00:09.422 --> 01:00:13.726]  And I'm not saying all police are lily white angels.
[01:00:14.186 --> 01:00:20.092]  There are a number of police out there who got into police work for reasons that should have kept them out of police work.
[01:00:20.672 --> 01:00:24.016]  But for the most part, they got into police work wanting to be a good guy.
[01:00:24.536 --> 01:00:27.919]  They found themselves trapped in this situation, this
[01:00:29.079 --> 01:00:30.060]  But then he gets promoted!
[01:00:46.494 --> 01:00:48.215]  He's the one that gets promoted.
[01:00:48.315 --> 01:00:54.239]  I've literally seen them pull people who are quadriplegics out and beat them up because they couldn't get out of the car fast enough.
[01:00:54.739 --> 01:00:55.980]  And then that guy gets promoted.
[01:00:56.480 --> 01:00:56.981]  Exactly.
[01:00:57.361 --> 01:00:58.582]  There is a technique.
[01:00:59.342 --> 01:01:02.344]  And mostly it's getting away from the guy at the bottom.
[01:01:03.445 --> 01:01:08.588]  If a guy at the bottom gives me a problem, or if I have a complaint to file, I never file it with the police.
[01:01:09.468 --> 01:01:10.449]  I go file it with a judge.
[01:01:11.590 --> 01:01:13.291]  And if the judge refuses to take it,
[01:01:14.093 --> 01:01:14.734]  Wonderful!
[01:01:15.654 --> 01:01:19.657]  Now I get to go to the district attorney and file criminal charges against the judge.
[01:01:21.459 --> 01:01:23.760]  And the district attorney is not even going to take that.
[01:01:24.501 --> 01:01:27.623]  Now I get to file criminal charges directly with the grand jury.
[01:01:28.424 --> 01:01:31.206]  And there's a number of innovative ways to get that.
[01:01:31.586 --> 01:01:35.649]  The grand jury is still as powerful as it always has been.
[01:01:36.510 --> 01:01:39.873]  It's just that the officials have gotten better at hiding them from us.
[01:01:41.038 --> 01:01:42.359]  They hate grand juries.
[01:01:42.820 --> 01:01:44.761]  Oh, no, they want to abolish them and regular juries.
[01:01:44.801 --> 01:01:47.123]  You bet they want to abolish grand juries.
[01:01:47.423 --> 01:01:55.550]  My district attorney in Wise County once told me, those damn grand jury members, they think what they're doing is important.
[01:01:56.131 --> 01:01:57.312]  I said, well, Barry, it is.
[01:01:57.332 --> 01:02:03.337]  I know that, but I wish they didn't, because he never knows what they're going to do.
[01:02:03.757 --> 01:02:06.840]  Well, I mean, I want to get into your solutions here, and how you do it.
[01:02:06.860 --> 01:02:15.948]  We've talked some about that on your website, but go back to Williamson County a few months ago, because you go to file this complaint on somebody's rights that are violated, and tell them what they did to you behind closed doors.
[01:02:16.089 --> 01:02:21.794]  Well, when the investigator came out and told me that the district attorney... Tell them what department this was.
[01:02:21.834 --> 01:02:22.535]  Go through it all.
[01:02:22.555 --> 01:02:23.636]  I went to the district attorney.
[01:02:24.557 --> 01:02:26.979]  Hank handed his investigator a criminal complaint.
[01:02:27.559 --> 01:02:30.642]  If you go to the district attorney with a complaint, they'll always send you an investigator.
[01:02:30.662 --> 01:02:31.703]  So this is Round Rock or?
[01:02:32.023 --> 01:02:33.744]  This was Georgetown.
[01:02:33.905 --> 01:02:35.926]  Okay, Georgetown City District Attorney, okay.
[01:02:36.166 --> 01:02:38.588]  No, went to the county courthouse.
[01:02:38.648 --> 01:02:41.931]  Okay, I want to be clear, he went to the county of Williamson County?
[01:02:41.991 --> 01:02:44.613]  The county, the elected district attorney.
[01:02:44.853 --> 01:02:45.634]  Got it, county seat.
[01:02:45.754 --> 01:02:47.356]  Yeah, I wanted the highest one in the city.
[01:02:47.396 --> 01:02:49.197]  Got it, I just didn't know what jurisdiction, go ahead.
[01:02:49.477 --> 01:02:53.961]  Complaints against public officials always go to a district attorney, even if it's a Class C misdemeanor.
[01:02:55.066 --> 01:02:55.426]  By law.
[01:02:56.087 --> 01:02:57.227]  So, I file the complaint.
[01:02:57.808 --> 01:02:59.249]  I try to file it with a district attorney.
[01:02:59.269 --> 01:03:00.990]  When you try to do that, they'll never talk to you.
[01:03:01.230 --> 01:03:02.451]  They'll send out their investigator.
[01:03:03.051 --> 01:03:04.812]  So, I got this trick for them.
[01:03:05.373 --> 01:03:06.654]  I make up a criminal complaint.
[01:03:07.714 --> 01:03:10.016]  And I ask the investigator, are you a certified police officer?
[01:03:10.036 --> 01:03:10.836]  And he said, yes I am.
[01:03:10.997 --> 01:03:11.817]  Good, I need you.
