[00:00:00.981 --> 00:00:01.781]  I've been warned.
[00:44:27.080 --> 00:44:38.384]  And Robert David Chapman, I just wanted to get some... Well, I listen to G. Edward Griffin a lot, and he explains how when they print out more greenbacks and more Federal Reserve notes,
[00:44:38.945 --> 00:44:45.207]  That it's a form of taxation, and I think a lot of people don't really understand how that works.
[00:44:45.407 --> 00:44:46.848]  It's called the inflation tax.
[00:44:47.948 --> 00:44:49.369]  Yeah, yeah.
[00:44:49.629 --> 00:44:55.691]  And it's... So this whole bailout thing is kind of like, almost like a smoke screen in a sense, because they're doing that already anyway.
[00:44:56.351 --> 00:45:00.433]  I mean, when they just... This is on a grand scale, is what you're saying.
[00:45:00.533 --> 00:45:00.813]  Yeah.
[00:45:01.073 --> 00:45:02.133]  And it is.
[00:45:02.593 --> 00:45:04.174]  And it's a giant tax.
[00:45:05.106 --> 00:45:12.318]  Because it's going to depreciate the value of anything that you already own, probably the only exception being gold.
[00:45:15.251 --> 00:45:21.674]  Oh, well, I think they're actually getting to the point where the cost of printing paper is getting more expensive than the value of the dollar.
[00:45:21.774 --> 00:45:25.435]  Well, we haven't got there yet, but that's ultra-hyperinflation.
[00:45:25.455 --> 00:45:27.436]  Thanks for the call.
[00:45:27.476 --> 00:45:30.537]  Don't forget G. Edward Griffin's book, The Creature from Jekyll Island.
[00:45:30.577 --> 00:45:31.337]  You've got to read it.
[00:45:31.457 --> 00:45:32.398]  These are all great callers.
[00:45:32.418 --> 00:45:37.180]  I'm just having to go to you briefly because we've got to end this soon with Bob Chapman and have a little mini guest on real fast.
[00:45:38.721 --> 00:45:48.235]  I just want to make it clear here that as bad as this stuff sounds, you know, we're just telling you the facts as we know it and meeting the threat and being honest about the threat is the best way to counter it.
[00:45:48.976 --> 00:45:54.604]  But the reason I think Bob may be right just about how quickly things may degenerate is that
[00:45:55.796 --> 00:45:56.696]  They're going for broke.
[00:45:56.736 --> 00:46:12.863]  I mean, when it's in the Associated Press that they are taking the trillion plus bucks they put out first as bonuses and to buy up other banks as a consolidation and a vertical integration, and they admit that we were lied to about what it was for.
[00:46:12.903 --> 00:46:13.743]  We told you that day one.
[00:46:13.783 --> 00:46:14.463]  We could read the bill.
[00:46:15.964 --> 00:46:21.266]  The fact that they just don't care shows they've made the decision to just go all the way.
[00:46:21.326 --> 00:46:21.606]  Bob?
[00:46:22.827 --> 00:46:23.167]  I agree.
[00:46:24.364 --> 00:46:32.447]  I agree, and that's where we're headed, and people have got to wake up, and they've got to wake up fast, and they've got to try to do something about it.
[00:46:35.828 --> 00:46:40.450]  Billy Bob in Timbuktu, go ahead, go ahead.
[00:46:40.930 --> 00:46:43.011]  Yes, Steve, I'm privileged to be on the air.
[00:46:43.071 --> 00:46:47.812]  First of all, it's interesting to me that the caller just before me had a time limit.
[00:46:47.852 --> 00:46:49.893]  Hold on, hold on, you just said your name's Steve?
[00:46:50.785 --> 00:46:53.347]  No, isn't your name Steve?
[00:46:53.387 --> 00:46:54.547]  No, my name is Alex Jones.
[00:46:54.607 --> 00:46:55.248]  Alex Jones.
[00:46:55.328 --> 00:46:56.749]  And then you're talking to Bob Chapman.
[00:46:57.049 --> 00:46:57.289]  Yes.
[00:46:57.349 --> 00:46:58.930]  And then you gave the fake name of Billy Bob.
[00:46:58.970 --> 00:46:59.431]  Now go ahead.
[00:47:00.211 --> 00:47:05.975]  Anyway, you said you're spending $2,000 for phone lines, and I've got a good suggestion for you.
[00:47:05.995 --> 00:47:17.422]  If you go to freeconferencecall.com, you can get a, go to the Simple Events site, you can get 1,000 participant listeners, and it's absolutely free.
[00:47:17.742 --> 00:47:20.264]  People can call into this free conferencing site.
[00:47:21.036 --> 00:47:24.038]  And you can throw away, you know, quit spending that $2000.
[00:47:24.278 --> 00:47:25.599]  Well, we'll certainly do that.
[00:47:25.639 --> 00:47:28.400]  We just did that as they're shutting down the web as an emergency backup.
[00:47:28.640 --> 00:47:29.561]  We're going to try to expand it.
[00:47:29.581 --> 00:47:32.122]  This is our own phone cards, our own phone lines.
[00:47:32.442 --> 00:47:33.683]  See, that's on the internet.
[00:47:33.783 --> 00:47:35.184]  That could go down.
[00:47:36.024 --> 00:47:39.366]  We're doing this on independent, real phone lines.
[00:47:40.086 --> 00:47:46.910]  Okay, so we have something, you know, as we get people prepared for the idea of not having the internet.
[00:47:48.846 --> 00:47:51.287]  But that's a great idea for us to do while we have the web.
[00:47:51.927 --> 00:47:52.787]  Give me the name of it again.
[00:47:53.607 --> 00:47:58.909]  Freeconferencecall.com or you can call 877-482-5838.
[00:48:01.810 --> 00:48:07.612]  And then I've also got a question for Bob Chapman on the gas prices.
[00:48:07.732 --> 00:48:12.613]  Why were the prices falling the same time there were shortages being reported?
[00:48:12.633 --> 00:48:16.414]  Because we have a rigged market and because the speculators were all bailing out of the market, Bob.
[00:48:18.035 --> 00:48:18.455]  That's it.
[00:48:19.989 --> 00:48:36.644]  Now they're down to $215 to $230, and as soon as the election's over and the money starts to really hit the economy that they've injected into it, then the commodities will go back and retrace 50% of their losses, as will gold and silver.
[00:48:37.345 --> 00:48:42.209]  And at the same time, the stock market will be under pressure and it will go down and plumb new
[00:48:43.951 --> 00:48:45.412]  Recent lows, if you may.
[00:48:45.432 --> 00:48:46.052]  You can go to
[00:49:14.059 --> 00:49:18.581]  The site on the internet, TheInternationalForecaster.com.
[00:49:19.101 --> 00:49:22.622]  TheInternationalForecaster.com.
[00:49:22.902 --> 00:49:29.164]  You can email us at International underscore Forecaster at yahoo.com.
[00:49:29.585 --> 00:49:33.606]  International underscore Forecaster at yahoo.com.
[00:49:34.046 --> 00:49:35.026]  Or you can call 877-479-8178.
[00:49:35.046 --> 00:49:35.787]  That's toll free, 877-479-8178.
[00:49:43.590 --> 00:49:47.958]  4 7 9 8 1 7 8.
[00:49:45.373 --> 00:49:47.958]  And get a free complimentary sample copy.
[00:49:48.660 --> 00:49:49.221]  Exactly.
[00:49:49.381 --> 00:49:50.162]  Alright, Bob, let's
[00:49:52.233 --> 00:49:56.798]  I've got to plug a sponsor right now, but we're going to talk during the break for the internet audience, so stay right there, Bob.
[00:49:57.078 --> 00:50:00.181]  I want to tell folks about New Vitality.
[00:50:00.321 --> 00:50:07.709]  New Vitality has hundreds of well-documented vitamins, herbs, different combinations that don't have any magical cure properties.
[00:50:07.729 --> 00:50:11.132]  They're just well-known to really be healthful and to treat a lot of problems.
[00:50:11.593 --> 00:50:13.395]  And a lot of this stuff is doctor-recommended, by the way.
[00:50:13.415 --> 00:50:15.237]  A lot of this stuff has been proven over decades.
[00:50:15.977 --> 00:50:19.560]  NewVitality.com or 1-800-569-4056.
[00:50:19.880 --> 00:50:21.802]  Call them and ask them for a free catalog.
[00:50:21.822 --> 00:50:23.443]  Call them and ask them for a listing.
[00:50:23.483 --> 00:50:27.527]  This is an old mainline company with just the really high quality proven stuff.
[00:50:27.547 --> 00:50:27.907]  800-569-4056.
[00:50:28.027 --> 00:50:33.672]  They have the aloes, colon and body cleanse.
[00:50:33.772 --> 00:50:35.173]  It totally flushes out your guts.
[00:50:35.573 --> 00:50:37.235]  They got stuff like the super beta prostate.
[00:50:38.796 --> 00:50:42.039]  Hey, that sounds like ice cream trucks or Christmas out there.
[00:50:42.059 --> 00:50:43.240]  Remember Willie last week?
[00:50:44.324 --> 00:50:48.607]  Oh, man.
[00:50:48.627 --> 00:50:48.948]  800-569-4056.
[00:50:48.968 --> 00:50:49.488]  800-569-4056.
[00:50:50.008 --> 00:50:51.009]  Super.
[00:50:51.349 --> 00:50:51.650]  Beta.
[00:50:51.670 --> 00:50:52.150]  Prostate.
[00:50:52.170 --> 00:50:53.571]  And hundreds of other products.
[00:50:53.631 --> 00:50:59.555]  Or check out their banner at Infowars.com and PrisonPlanet.com.
[00:50:59.575 --> 00:51:00.236]  800-569-4056.
[00:51:01.157 --> 00:51:02.938]  We'll be right back after this quick break.
[00:51:03.218 --> 00:51:05.079]  To the full audience, we say bye to Bob Chapman.
[00:51:05.580 --> 00:51:05.920]  More than.
[00:51:05.940 --> 00:51:06.601]  Let me go to Bob now.
[00:51:08.642 --> 00:51:12.225]  Did you get this Bush person on, John?
[00:51:14.688 --> 00:51:15.189]  John Harmon.
[00:51:16.450 --> 00:51:16.711]  Yes, sir.
[00:51:17.932 --> 00:51:19.714]  Go ahead and get John Bush on.
[00:51:20.014 --> 00:51:20.996]  Yep, I got him on the line.
[00:51:21.296 --> 00:51:22.017]  Alright, alright.
[00:51:23.138 --> 00:51:26.262]  I want to bring him up in a minute here behind the scenes, but I want to say bye to Bob Chapman.
[00:51:27.163 --> 00:51:32.870]  Bob, appreciate you coming on, but here, just for the internet audience, gold's gone back up some this week.
[00:51:34.673 --> 00:51:35.934]  I know, and it's a two-tiered market.
[00:51:36.054 --> 00:51:39.477]  One is controlled by the powers behind government, which is the ComEx and the CBOT markets.
[00:51:39.637 --> 00:51:42.080]  And then there's a real market, which is a physical market.
[00:51:57.668 --> 00:51:59.329]  With virtually nothing available.
[00:51:59.409 --> 00:52:02.490]  Yeah, gold's plunging in price, but you can't find it anywhere!
[00:52:02.510 --> 00:52:09.134]  That's right, and so you can see the proof of the manipulations going on.
[00:52:09.154 --> 00:52:13.436]  They've got gold down in the December month today, $20, but that's nothing.
[00:52:13.456 --> 00:52:22.160]  You get an election coming up, and they'll want gold to sit still or be slightly weaker, and they'll want the market to go up, as I explained a couple of weeks ago.
[00:52:23.900 --> 00:52:32.550]  And after the election's over, the things will change and Goal will take a run, along with Silver to the upside, and the market will start to filter back down again.
[00:52:32.570 --> 00:52:34.592]  All right, Bob, I want to talk to you again next week.
[00:52:34.612 --> 00:52:35.233]  Thanks for all the time.
[00:52:35.994 --> 00:52:36.654]  All right, thank you.
[00:52:36.674 --> 00:52:36.895]  Bye-bye.
[00:52:36.975 --> 00:52:37.996]  All right, cut the feed.
[00:52:38.036 --> 00:52:39.598]  I want to talk to somebody behind the scenes real fast.
[00:52:41.767 --> 00:52:48.592]  ...game, blueprint for global enslavement, the true story of the Bilderberg Group, the late great USA, America, freedom to fascism.
[00:52:48.933 --> 00:52:55.718]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:52:55.958 --> 00:52:59.881]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:53:00.021 --> 00:53:10.009]  Whether you're looking for survival and wellness products like Berkey water filters, or you would like a book on the history of the Federal Reserve, we've got the most well-researched and documented titles all available
[00:53:10.009 --> 00:53:10.489]  I think so.
[00:53:37.014 --> 00:53:40.915]  Would you like to know how you can use water as fuel and laugh at the rising price of gas?
[00:53:41.375 --> 00:53:43.416]  Then keep listening for a very special offer.
[00:53:43.916 --> 00:53:49.217]  GasFreedom.info has the information you need to learn about the newest hydrogen technology available.
[00:53:49.577 --> 00:53:52.738]  GasFreedom is an affordable, practical, free energy device.
[00:53:53.318 --> 00:53:58.199]  It uses electricity from your car's battery to separate water into a gas called HHO.
[00:53:58.800 --> 00:54:03.361]  HHO, also called browns gas, spurs efficiently and provides the energy your car needs.
[00:54:09.665 --> 00:54:14.088]  One more sponsor, and then four minutes with John Bush out there taking action.
[00:54:14.108 --> 00:54:15.910]  I'm gonna get him to pop in longer tomorrow.
[00:54:15.930 --> 00:54:19.312]  I apologize for moving him today, but we had this World War III news.
[00:54:19.413 --> 00:54:21.954]  Rand lobbies Pentagon to start wars to save U.S.
[00:54:22.355 --> 00:54:23.696]  Wants them to hit a major nation.
[00:54:26.838 --> 00:54:27.819]  Bigger than Iraq.
[00:54:30.961 --> 00:54:31.642]  Food shortage U.S.A.
[00:54:34.571 --> 00:54:36.032]  FoodShortageUSA.com.
[00:54:36.092 --> 00:54:40.176]  Learn how to make your own storable foods for you and your family to prepare for the road ahead.
[00:54:40.196 --> 00:54:44.459]  The website reveals step-by-step ways for the average guy to get prepared for what's ahead.
[00:54:44.479 --> 00:54:49.083]  I think the best part about the system is it gets you off the food grid, even if you don't have a lot of money to spend.
[00:54:49.103 --> 00:54:51.545]  The site is FoodShortageUSA.com.
[00:54:51.565 --> 00:54:52.867]  Check it out today or give them a call. 877.
[00:54:56.310 --> 00:55:06.899]  327-0365 to get more information 877-327-0365 or FoodShortageUSA.com and it's always good to not trust the murdering criminals that run our government.
[00:55:08.260 --> 00:55:12.963]  And yeah, don't drink the water, and now I guess don't drink the milk in children's ice cream with all the fluoride in it.
[00:55:13.103 --> 00:55:15.084]  Again, foodshortageusa.com.
[00:55:15.444 --> 00:55:17.385]  Okay, I'm going to get you back up to 30 minutes tomorrow.
[00:55:17.405 --> 00:55:18.446]  This is a big subject.
[00:55:18.786 --> 00:55:25.150]  I had the police chief in here who I like overall, but he's wickedly taking money from the feds for warrantless blood sucking.
[00:55:25.190 --> 00:55:25.930]  We've had lawyers on.
[00:55:25.950 --> 00:55:27.731]  These are fake group warrants.
[00:55:28.591 --> 00:55:36.356]  Tell us what's coming up in Austin and also under federal grants nationwide on the high holy day of Samhain tomorrow.
[00:55:37.077 --> 00:55:37.277]  Mm-hmm.
[00:55:37.597 --> 00:55:43.641]  Well, on July 1st this year, KXAN published an article titled, Austin Police Chief Wants to Take Your Blood.
[00:55:43.661 --> 00:55:49.824]  There's a quote from AltaVedo in which he states, My intent in the future is to make it so there is no such thing as a refusal.
[00:55:50.165 --> 00:55:53.647]  You can refuse all you want, but we are going to aggressively seek search warrants.
[00:55:54.067 --> 00:55:55.047]  So we caught wind of that.
[00:55:55.528 --> 00:56:00.891]  We stormed a downtown area commander's forum with over 200 people, and we started questioning them.
[00:56:00.931 --> 00:56:01.651]  They played dumb.
[00:56:01.691 --> 00:56:04.493]  They said there's not going to be any major change in policy.
[00:56:04.995 --> 00:56:05.975]  We got all the documents.
[00:56:06.015 --> 00:56:13.117]  It turns out that Chief Acevedo has already applied for a federal grant from the National Highway and Traffic Safety Administration, which would train the DWIA.
[00:56:13.157 --> 00:56:13.697]  Yeah, yeah.
[00:56:13.737 --> 00:56:14.318]  Let's be clear.
[00:56:14.338 --> 00:56:17.879]  They've already been doing it on the streets in Austin hospitals and refuse to draw blood.
[00:56:18.559 --> 00:56:19.019]  This is true.
[00:56:19.039 --> 00:56:19.539]  This is true.
[00:56:19.919 --> 00:56:22.960]  Now they're making it official and it's actually going to be the police officers that are
[00:56:23.542 --> 00:56:24.883]  I've been talking to police officers.
[00:56:24.943 --> 00:56:25.883]  They're against it.
[00:56:25.944 --> 00:56:29.386]  They don't want to have to get that liability, but you know there's some of those jack-booted thugs that are
[00:56:51.874 --> 00:56:54.515]  You know, they're fiending for that blood of the vampire police.
[00:56:54.595 --> 00:56:55.136]  It's crazy.
[00:56:55.656 --> 00:56:59.157]  Yeah, it's Halloween, you've got vampiric ringwraiths in black uniforms.
[00:57:00.798 --> 00:57:02.879]  With the head ghoul, Arte Cervado.
[00:57:02.899 --> 00:57:05.060]  I want to get him back in the studio, but go ahead.
[00:57:05.840 --> 00:57:09.102]  We recently formed a political action committee called Texans for Accountable Government.
[00:57:09.522 --> 00:57:13.264]  And basically what we're focusing on is fighting the New World Order here on the local level.
[00:57:13.766 --> 00:57:18.649]  Regardless of the federal programs or the United Nations programs, they have to implement them on the local level.
[00:57:18.929 --> 00:57:24.152]  So we can cut them off there before they can execute them, and it makes it meaningless for them on the national level.
[00:57:24.192 --> 00:57:27.934]  We're sticking out for Austin here, Travis County, and the state of Texas.
[00:57:27.954 --> 00:57:29.735]  We're looking out for our own backs, unfortunately.
[00:57:30.475 --> 00:57:34.858]  As the bailout went through, it's evident that the federal government doesn't give a damn what we have to say.
[00:57:34.878 --> 00:57:36.078]  Alright, well give us the website.
[00:57:37.825 --> 00:57:41.268]  The website is stopvampirecops.wordpress.com.
[00:57:54.977 --> 00:57:57.218]  StopVampireCops.wordpress.com.
[00:57:57.238 --> 00:58:00.340]  The email address is StopVampireCops at yahoo.com.
[00:58:00.481 --> 00:58:03.603]  And tomorrow night on Halloween, we're going to be out in mass.
[00:58:03.703 --> 00:58:06.024]  It's 4th in Colorado at 9pm.
[00:58:06.044 --> 00:58:07.185]  We're holding a press conference.
[00:58:07.205 --> 00:58:08.446]  We invited the local press.
[00:58:08.926 --> 00:58:12.348]  And we're just going to stand up and say we're not going to take it here in the city of Austin.
[00:58:12.368 --> 00:58:13.569]  We're going to hold you accountable.
[00:58:14.082 --> 00:58:14.963]  This is the will of the people.
[00:58:15.003 --> 00:58:19.388]  We are above the local government, so we'd like everybody to come out, show up in force.
[00:58:19.408 --> 00:58:20.849]  We're going to march down 6th Street.
[00:58:20.969 --> 00:58:27.076]  Hey, hey, Josh, I mean John, I'm going to let you go, John Bush, but I'll have my producer call you.
[00:58:28.017 --> 00:58:30.159]  Set you up for 30 minutes tomorrow, because I want to talk more about this.
[00:58:30.179 --> 00:58:30.840]  Thanks for joining us.
[00:58:32.486 --> 00:58:33.046]  I'm out of time.
[00:58:33.207 --> 00:58:34.428]  Let me talk to him after the show's over.
[00:58:34.968 --> 00:58:35.969]  I'm out of time right now.
[00:58:36.069 --> 00:58:39.492]  Back tomorrow, a bunch of big guests and key info from 11 to 3 live.
[00:58:39.532 --> 00:58:41.253]  But rebroadcast starts now, one place.
[00:58:41.994 --> 00:58:43.875]  Big guest today, InfoWars.com.
[00:58:43.895 --> 00:58:44.216]  Toodaloo.
