[00:00:07.393 --> 00:00:10.658]  I love you folks.
[00:51:34.517 --> 00:51:34.817]  That's it.
[00:51:34.837 --> 00:51:38.337]  Dick Cheney, ex-director of CFR, Rockefeller.
[00:51:43.819 --> 00:51:44.559]  Yeah, start it over.
[00:51:44.599 --> 00:51:45.879]  Just back it up.
[00:51:46.199 --> 00:51:47.679]  We'll turn the audio up and we'll get it for folks.
[00:51:48.079 --> 00:51:50.460]  Yeah, here he is thanking David Rockefeller, his commander.
[00:51:50.820 --> 00:51:57.121]  A special televised meeting of the New York-based Council on Foreign Relations provides a window to the real story.
[00:51:57.922 --> 00:52:00.142]  The speaker, Vice President Dick Cheney,
[00:52:00.839 --> 00:52:24.870]  Mr. Vice President, I just enjoyed so much your whole speech, but I was particularly pleased that you gave such a strong endorsement for the Free Trade Agreement for all the Americas, a subject that has been of great concern to me for many years, and particularly recently, and I think it's absolutely essential for the strength of our economy.
[00:52:26.252 --> 00:52:31.753]  Rockefeller's role in the drive for an FTAA was a lot more central than he portrays.
[00:52:32.493 --> 00:52:37.394]  Rockefeller cultivated Latin American leaders who could be counted on to support such a proposal.
[00:52:37.974 --> 00:52:46.156]  Both the 1994 Miami Summit and the FTAA proposal were conceived and nurtured by a Rockefeller-created network.
[00:52:46.896 --> 00:52:49.937]  Prominent among the organizations sponsoring the Miami event
[00:52:50.635 --> 00:52:51.195]  We're good to go.
[00:53:13.371 --> 00:53:16.634]  Rockefeller's influence also extends to the current administration.
[00:53:17.114 --> 00:53:26.742]  He was chairman emeritus of the CFR when Vice President Dick Cheney once served as a director, a relationship that Cheney concealed during his congressional career.
[00:53:27.523 --> 00:53:30.105]  It's good to be back at the Council on Foreign Relations.
[00:53:30.245 --> 00:53:36.190]  As Pete mentioned, I've been a member for a long time and was actually a director for some period of time.
[00:53:36.931 --> 00:53:40.454]  I never mentioned that when I was campaigning for re-election back home in Wyoming.
[00:53:44.278 --> 00:53:45.322]  Isn't it funny?
[00:53:45.342 --> 00:53:46.928]  Ha ha!
[00:53:47.229 --> 00:53:48.052]  The slaves!
[00:53:48.413 --> 00:53:49.898]  Oh God, we're robbing them!
[00:53:52.759 --> 00:53:56.841]  We put out MAAC reports to the cops, saying they're terrorists if they talk about us!
[00:53:58.382 --> 00:54:03.125]  We tell the cops the vets are the terrorists if they talk about imaginary CFR!
[00:54:03.325 --> 00:54:07.187]  And the best part is, the cops are buying it!
[00:54:07.227 --> 00:54:08.848]  God, we're building FEMA camps!
[00:54:09.629 --> 00:54:11.350]  It's so fun to rape them all!
[00:54:11.590 --> 00:54:13.531]  There's nothing this scum won't take!
[00:54:13.971 --> 00:54:15.072]  Yeah, baby!
[00:54:18.417 --> 00:54:20.378]  The best part is we're poisoning their water!
[00:54:21.139 --> 00:54:24.120]  Most of them are sterile and don't even care!
[00:54:24.140 --> 00:54:30.183]  87% of them have become sterile, and it's not even an issue with these idiots!
[00:54:31.164 --> 00:54:32.825]  They just don't even know why it's happening!
[00:54:35.566 --> 00:54:45.291]  And then they have hundreds of these little subgroups, which mayors and people are part of, and then the Rockefellers and the globalists, because they steal all the tax money, they sit there and fund them.
[00:54:45.691 --> 00:54:46.992]  And so your mayor may only get
[00:54:48.434 --> 00:54:54.381]  $10,000, $20,000 a year in a stipend, get to fly around five or six great destinations, be in a five-star hotel.
[00:54:56.264 --> 00:54:59.207]  Just for that, they'll sell your complete society out.
[00:54:59.948 --> 00:55:04.674]  Then the feds come in, teach them how to steal property, teach them how to set up pimp game operations.
[00:55:06.755 --> 00:55:07.656]  It's just all a big joke.
[00:55:07.696 --> 00:55:09.717]  Hillary, oh, I come here to get told what to do.
[00:55:09.738 --> 00:55:11.279]  Haas is like, yes, you do.
[00:55:11.879 --> 00:55:12.460]  Pimp game.
[00:55:12.480 --> 00:55:15.762]  Now get up there and tell them what needs to be done.
[00:55:15.923 --> 00:55:17.204]  You are my slave.
[00:55:17.964 --> 00:55:20.466]  And it's just all a big joke.
[00:55:20.907 --> 00:55:23.249]  Cheney, oh, thank you, David Rockefeller.
[00:55:23.749 --> 00:55:27.792]  We never tell the scum how it really works, do we?
[00:55:29.394 --> 00:55:31.756]  And they're now closing their final net of control.
[00:55:34.827 --> 00:55:38.909]  And they've stolen 24 trillion big ones.
[00:55:40.510 --> 00:55:42.671]  24 trillion big ones.
[00:55:42.751 --> 00:55:46.012]  And when we get back, I'm gonna play that clip for you.
[00:55:46.352 --> 00:55:49.174]  Cost of bailout hits a whopping $24 trillion.
[00:55:49.594 --> 00:55:54.156]  Paul Joseph Watson, 24 trill.
[00:55:55.376 --> 00:55:56.897]  Now three months ago, it was 14.8.
[00:55:59.638 --> 00:56:01.279]  What does this mean that it's now 24 trill?
[00:56:04.858 --> 00:56:07.820]  If you do the math, they are accelerating the stealing.
[00:56:08.940 --> 00:56:15.024]  That's 8.8 trill they've stolen in just two and a half, three months.
[00:56:16.024 --> 00:56:18.746]  And CNBC's very happy about all this.
[00:56:20.922 --> 00:56:22.123]  Woo-hoo, baby!
[00:56:22.583 --> 00:56:25.285]  We are... You're not leaving anything!
[00:56:25.345 --> 00:56:27.006]  No, we don't want them to be able to ever fight back again.
[00:56:27.026 --> 00:56:28.127]  We want to totally bankrupt them.
[00:56:28.467 --> 00:56:29.508]  Genius plan!
[00:56:30.208 --> 00:56:32.070]  Yes, and the police are standing by.
[00:56:32.110 --> 00:56:32.610]  What are they going to do?
[00:56:32.630 --> 00:56:33.210]  Quit their jobs?
[00:56:35.072 --> 00:56:35.952]  It's perfect!
[00:56:36.713 --> 00:56:41.236]  Oh, and we'll sit offshore while they try to fight back, and the cops and citizens kill each other.
[00:56:41.736 --> 00:56:42.857]  Genius plan!
[00:56:43.997 --> 00:56:45.358]  Oh, it's so good.
[00:56:45.959 --> 00:56:47.920]  It's so good to be running the damn game.
[00:56:47.940 --> 00:56:49.001]  We'll be right back.
[00:56:51.656 --> 00:56:54.679]  When you hear the words water purification, what comes to mind?
[00:56:55.040 --> 00:56:58.644]  If it's Berkey Water Purification Systems, this message is for you.
[00:56:58.944 --> 00:57:02.408]  Did you know that over 60% of municipal water contains fluoride?
[00:57:02.668 --> 00:57:09.616]  At less than 2 cents per gallon, Berkey water filters purify treated and untreated water, remove dangerous chlorine, fluoride,
[00:57:13.049 --> 00:57:13.269]  I think so.
[00:57:41.408 --> 00:57:44.130]  That's BigBerkeyWaterFilters.com or call 1-877-99-BERKEY.
[00:57:44.150 --> 00:57:44.771]  That's 1-877-99-BERKEY today!
[00:57:51.992 --> 00:57:57.294]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:57:57.794 --> 00:58:04.817]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:58:05.377 --> 00:58:11.540]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:58:11.960 --> 00:58:13.802]  Well, Obama's already fudging.
[00:58:13.942 --> 00:58:16.344]  He's fudged since day one in this election.
[00:58:16.444 --> 00:58:27.393]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:58:28.013 --> 00:58:29.314]  It's not about left or right.
[00:58:29.694 --> 00:58:31.055]  It's about a one-world government.
[00:58:31.536 --> 00:58:37.761]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:58:38.442 --> 00:58:46.209]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:58:46.709 --> 00:58:47.850]  The Obama Deception.
[00:58:48.291 --> 00:58:49.472]  The people strike back!
[00:58:51.500 --> 00:58:54.762]  Silver is mankind's oldest natural antibiotic.
[00:58:54.942 --> 00:58:59.004]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:58:59.184 --> 00:59:10.629]  Utopia, Texas, is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:59:10.849 --> 00:59:16.672]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[00:59:16.912 --> 00:59:17.553]  We're good to go.
[00:59:37.196 --> 00:59:41.538]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:59:41.658 --> 00:59:44.359]  Because there's a war on for your mind.
[01:00:04.986 --> 01:00:07.888]  Okay, I'm going to continue with these video clips, breaking them down.
[01:00:09.249 --> 01:00:11.610]  The 24 trillion stolen and counting.
[01:00:13.431 --> 01:00:17.954]  Goldman Sachs, JPMorgan Chase, all announcing record profits.
[01:00:20.096 --> 01:00:23.238]  And remember, the Pentagon's standing by if you don't keep paying those foreign bankers.
[01:00:24.454 --> 01:00:29.817]  They told Congress, you do this or we're going to declare martial law and we're going to shut down the Congress.
[01:00:29.837 --> 01:00:35.821]  Well, Congress should have stood up at that point, but then Al-Qaeda would have detonated an A-bomb probably.
[01:00:37.342 --> 01:00:40.044]  See, the Congress knows they're dealing with major-level gangsters.
[01:00:40.624 --> 01:00:42.125]  Oh, you didn't give the bankers power?
[01:00:42.145 --> 01:00:44.927]  Oh, Al-Qaeda, yeah.
[01:00:47.185 --> 01:00:48.626]  Al-Qaeda hit Washington.
[01:00:49.367 --> 01:00:52.589]  The executive hates having to set up a dictatorship now.
[01:00:53.010 --> 01:00:55.892]  The continuity of government system just hates power.
[01:00:56.312 --> 01:01:03.398]  That's why they're in power and control, because they don't like to wield power, because they're not ruthless, because they're real nice and limp-wristed.
[01:01:05.340 --> 01:01:09.523]  And that's not just my opinion.
[01:01:10.043 --> 01:01:15.368]  The British 10-year Ministry of Defense perspective in
[01:01:17.779 --> 01:01:27.381]  2007 said that Western governments would simply neutron bomb any citizen group that tried to take over the Capitol or 10 Downing Street.
[01:01:28.501 --> 01:01:31.442]  If you ever try to have a revolution, they're just going to drop weapons on you.
[01:01:32.922 --> 01:01:35.222]  And if the Congress ever tries it, they're going to kill them.
[01:01:36.403 --> 01:01:43.144]  But, the good news is, we're going to take over the counties and the cities, and the idea of liberty is going to take over.
[01:01:44.184 --> 01:01:47.627]  You can't have one frontal assault, one battle with these people.
[01:01:47.947 --> 01:01:50.068]  Their whole architecture is built around defeating that.
[01:01:50.348 --> 01:01:52.210]  But they cannot stop you.
[01:01:52.290 --> 01:01:53.291]  You are immovable.
[01:01:53.731 --> 01:01:54.692]  You are inexorable.
[01:01:55.072 --> 01:01:57.293]  You are the unstoppable, terrible force.
[01:01:57.694 --> 01:02:05.339]  When you just decide to hand out DVDs and call into radio shows and go speak before city council and say no to bureaucrats and expose them.
[01:02:05.840 --> 01:02:10.343]  Just all of us doing it, it's just an unstoppable will, just taking the enemy and going,
[01:02:12.509 --> 01:02:14.631]  Just terminate them in the info war.
[01:02:14.651 --> 01:02:22.957]  Because they have to have your broken spirit, your broke back attitude for them to be able to succeed.
[01:02:22.977 --> 01:02:25.779]  They've got to have you capitulate to them.
[01:02:25.799 --> 01:02:27.120]  Well, don't capitulate!
[01:02:27.140 --> 01:02:34.526]  We're going to end this hour and then I'm going to play the clip about the 24 trillion and then get a guest on and continue with your calls.
[01:02:34.566 --> 01:02:36.147]  But I want to tell you about a few of the sponsors today.
[01:02:36.167 --> 01:02:36.888]  I haven't plugged yet.
[01:02:38.342 --> 01:02:42.347]  HeFoodsDirect.com is the name in high-quality, sterile foods.
[01:02:42.747 --> 01:02:44.089]  HeFoodsDirect.com.
[01:02:44.729 --> 01:02:47.192]  Do not wait with these scumbag, filth-running things.
[01:02:47.533 --> 01:02:48.954]  You need to be self-sufficient.
[01:02:49.014 --> 01:02:52.038]  Firearms, gold, silver, and number one, food and water.
[01:02:52.318 --> 01:02:54.641]  They got high-quality water filters, food, everything.
[01:02:54.761 --> 01:02:55.642]  They got a lot of great stuff.
[01:02:56.042 --> 01:02:58.966]  This is where I've chosen to buy my food, and then I said, hey, this is the best food I ever got.
[01:02:59.386 --> 01:03:00.407]  A lot of other stuff is crud.
[01:03:00.787 --> 01:03:02.649]  It's brand new, high-quality, non-GMO food.
[01:03:02.689 --> 01:03:03.970]  I said, I'm going to use eFoodsDirect.
[01:03:04.390 --> 01:03:05.491]  eFoodsDirect.com.
[01:03:05.671 --> 01:03:06.212]  eFoods.
[01:03:06.412 --> 01:03:07.673]  E-F-O-O-D-S.
[01:03:08.033 --> 01:03:08.714]  Direct.com.
[01:03:08.814 --> 01:03:09.975]  eFoodsDirect.com or 1-800-409-5633.
[01:03:09.995 --> 01:03:10.075]  1-800-409-5633.
[01:03:10.095 --> 01:03:10.816]  Do not wait.
[01:03:10.836 --> 01:03:11.617]  Do not procrastinate.
[01:03:11.637 --> 01:03:12.177]  Call them today.
[01:03:12.197 --> 01:03:13.018]  eFoodsDirect.com.
[01:03:13.038 --> 01:03:13.158]  1-800-409-5633.
[01:03:13.198 --> 01:03:14.039]  Also, a home game.
[01:03:14.059 --> 01:03:16.341]  The Little Happy Max the Orange Gorilla.
[01:03:26.570 --> 01:03:29.292]  Link through at that at InfoWars.com and PrisonPlanet.com.
[01:03:29.312 --> 01:03:30.832]  The site is absolutely free.
[01:03:31.173 --> 01:03:32.653]  HomeGain.com.
[01:03:34.274 --> 01:03:38.577]  They have the free home sale maximizer at HomeGain.com.
[01:03:39.037 --> 01:03:42.979]  The free home sale maximizer is my favorite.
[01:03:42.999 --> 01:03:48.862]  You put in your home address or info that tells you the best upgrades to make for your house.
[01:03:49.423 --> 01:03:50.943]  Or you don't have to put your address in either way.
[01:03:51.724 --> 01:03:53.325]  The cheapest things to do to get the highest
[01:03:54.245 --> 01:03:55.186]  sale value from it.
[01:03:55.646 --> 01:04:03.010]  There's also another system where you type in your home address, you get a free estimate on your home's value from the same internal systems that the realtors use.
[01:04:03.330 --> 01:04:04.951]  So find out what they think your home's really worth.
[01:04:05.271 --> 01:04:06.612]  Homegain.com.
[01:04:06.652 --> 01:04:09.114]  H-O-M-E-G-A-I-N.com.
[01:04:09.194 --> 01:04:10.194]  Homegain.com.
[01:04:12.816 --> 01:04:17.358]  We're going to go ahead and start the final hour here.
[01:04:19.179 --> 01:04:22.941]  And I will get to that video clip and news about the 24 Trail.
[01:04:24.932 --> 01:04:27.476]  Just 24 trill, double the GDP.
[01:04:28.337 --> 01:04:29.899]  The bankers need that money.
[01:04:31.571 --> 01:04:36.556]  America's number one source for independent talk radio for over a decade.
[01:04:37.177 --> 01:04:40.440]  We are the GCN Radio Network.
[01:04:41.060 --> 01:04:45.064]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[01:04:45.304 --> 01:04:47.086]  Do you really know what's in your tap water?
[01:04:47.306 --> 01:04:55.574]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[01:04:55.814 --> 01:05:01.036]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[01:05:01.356 --> 01:05:02.976]  Now what are you going to do about it?
[01:05:03.236 --> 01:05:09.558]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[01:05:09.738 --> 01:05:14.240]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere.
[01:05:14.520 --> 01:05:14.880]  We're good to go.
[01:05:44.053 --> 01:05:45.956]  Waging war on corruption.
[01:05:46.457 --> 01:05:49.220]  Alex Jones on the GCM Radio Network.
[01:06:17.974 --> 01:06:25.823]  On October 3rd, Congress refused to pass legislation giving unlimited money to the private run for private federal reserve.
[01:06:28.506 --> 01:06:36.375]  They stole tens of trillions in the first three or four months and then held the money
[01:06:38.444 --> 01:06:40.725]  Held the money and stopped lending.
[01:06:41.485 --> 01:06:45.147]  And that actually drove up real interest rates, not what they claimed interest rates were of 0%.
[01:06:45.387 --> 01:06:49.168]  Actually drove up the cost of lending and less loans were made.
[01:06:50.829 --> 01:06:53.230]  And they've almost got the economy ripe, though.
[01:06:53.290 --> 01:06:55.051]  Things are imploding, things are falling apart.
[01:06:55.471 --> 01:07:00.733]  Now they're streaming in with the investment bankers, with your tax money, buying everything up.
[01:07:01.093 --> 01:07:05.175]  And remember, you pay the taxes, the $24 trillion now,
[01:07:06.792 --> 01:07:07.852]  Double the GDP.
[01:07:07.912 --> 01:07:10.073]  That's double the GDP.
[01:07:10.393 --> 01:07:10.953]  Say it with me.
[01:07:11.473 --> 01:07:13.554]  Double the GDP.
[01:07:13.574 --> 01:07:14.534]  24 trillion.
[01:07:16.675 --> 01:07:21.997]  That's more than double all the mortgages in the country.
[01:07:22.497 --> 01:07:24.137]  Not outstanding mortgages, all of them.
[01:07:24.498 --> 01:07:25.618]  The amount of taxes
[01:07:27.318 --> 01:07:30.179]  The amount of taxes each American is expected to pay for this.
[01:07:30.439 --> 01:07:32.400]  That's why they're announcing all the new carbon taxes.
[01:07:32.560 --> 01:07:34.121]  Taxes on soda pop.
[01:07:35.501 --> 01:07:36.962]  Taxes on toilet paper.
[01:07:37.262 --> 01:07:38.262]  Taxes on beef.
[01:07:38.322 --> 01:07:39.402]  Taxes on plastic.
[01:07:39.863 --> 01:07:40.403]  Everything.
[01:07:40.883 --> 01:07:51.327]  Agencies given unlimited power to just levy any taxes they want, and they're all forming giant armored cadres of Soviet-style tax police to knock your teeth in.
[01:07:53.072 --> 01:07:54.813]  So get ready, here they come.
[01:07:54.873 --> 01:07:59.135]  It's like watching a trillion flesh-eating locusts flying towards you.
[01:08:00.236 --> 01:08:02.297]  And it is not a pretty situation.
[01:08:02.797 --> 01:08:06.459]  Cost of bailout hits a whopping $24 trillion.
[01:08:07.339 --> 01:08:09.280]  PrisonPlanet.com does a great analysis.
[01:08:09.320 --> 01:08:10.041]  Paul Joseph Watson.
[01:08:10.061 --> 01:08:11.541]  But let's show you CNBC.
[01:08:12.062 --> 01:08:12.662]  She gets it wrong.
[01:08:12.702 --> 01:08:13.902]  It says $27 trillion.
[01:08:14.163 --> 01:08:16.464]  With her high school education, she can't read off the teleprompter.
[01:08:17.164 --> 01:08:17.684]  I'm being mean.
[01:08:17.704 --> 01:08:18.445]  We all make mistakes.
[01:08:19.554 --> 01:08:21.776]  Especially a number that big, it's hard to read it correctly.
[01:08:22.096 --> 01:08:23.658]  And she corrects it for 24 Trill.
[01:08:24.459 --> 01:08:27.041]  But here she is, CNBC 24 Trill.
[01:08:27.521 --> 01:08:30.544]  That you're going to pay and you're going to pay interest on.
[01:08:32.586 --> 01:08:35.208]  You give it to the bankers and then you pay them.
[01:08:36.950 --> 01:08:40.413]  They loan it to you and you pay interest and they loan it to the government and you pay interest.
[01:08:41.694 --> 01:08:42.675]  Now that's a scam!
[01:08:43.851 --> 01:08:49.316]  That's like somebody comes and robs your car and they're driving off with it and then you've got to pay them to steal your car.
[01:08:51.357 --> 01:08:56.021]  Like somebody burns your house down and then you've got to pay them for the cost of them burning the house down.
[01:08:57.302 --> 01:08:57.903]  Go ahead and play her.
[01:08:59.410 --> 01:09:01.971]  Good to see you, Edward.
[01:09:01.991 --> 01:09:20.875]  We're waiting for the President on health care, and I see that you've also been blogging about this issue, what's been used, what's the TARP funds have been used for, and we're all kind of scratching our heads about this leaked testimony from the TARP inspector general who says that the ultimate government sponsorship could be 27 trillion, 23 trillion dollars, not to overstate it.
[01:09:22.841 --> 01:09:30.223]  We had a bit of a hint of this last week, I think, when Goldman reported its $3.5 billion quarter profits.
[01:09:30.263 --> 01:09:45.908]  We actually have a column on our site today, thedailybeast.com, by one Charlie Gasparino, who compares this use of TARP money to essentially giving Goldman, in this case, $100 to go to Vegas, making $1,000, and thanks very much, you get your $100 back.
[01:09:46.775 --> 01:09:48.497]  You know, we've kind of been down that road.
[01:09:48.517 --> 01:09:58.286]  We had Charlie on a little bit earlier, but, you know, to the points that we were making a little bit earlier on the air, we have heard from a number of banks that they are making loans.
[01:09:58.346 --> 01:10:06.134]  Bank of America, we mentioned a few moments ago, we talked to some community bankers who said that they are lending as well, and a number of other larger institutions that say they're lending.
[01:10:06.234 --> 01:10:08.236]  And besides, who's to say what the TARP money
[01:10:08.536 --> 01:10:10.017]  So there you have it.
[01:10:10.037 --> 01:10:11.638]  They just go on and basically say it's a good thing.
[01:10:34.560 --> 01:10:35.061]  Oh, it's good.
[01:10:35.101 --> 01:10:36.163]  It's got the economy going.
[01:10:36.724 --> 01:10:38.747]  As the economy is in absolute free fall.
[01:10:39.087 --> 01:10:40.089]  Look at the actual numbers.
[01:10:40.129 --> 01:10:41.531]  They're hoarding the cash.
[01:10:42.753 --> 01:10:43.495]  So there you have it.
[01:10:44.316 --> 01:10:46.439]  We're going to get into the drugging of this nation.
[01:10:47.844 --> 01:10:51.026]  The THX1138 Raven World, straight ahead.
[01:10:51.186 --> 01:10:56.749]  This is Alex Jones, and I want to tell you again about a company that has supported us in the truth movement for years.
[01:10:57.049 --> 01:10:58.210]  Inner Health Botanicals.
[01:10:58.350 --> 01:11:02.292]  This company produces the highest quality superfood around, called Inner Food.
[01:11:02.632 --> 01:11:04.153]  My wife just loves the stuff.
[01:11:04.493 --> 01:11:10.776]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[01:11:11.917 --> 01:11:14.478]  Inner Food is loaded with 20 great organic ingredients.
[01:11:14.798 --> 01:11:16.279]  No fillers, no sweeteners.
[01:11:16.539 --> 01:11:19.300]  It would be impossible to blend this up for a better price.
[01:11:19.541 --> 01:11:20.981]  And their formula really works.
[01:11:21.261 --> 01:11:23.803]  This is the real thing for the great health you need.
[01:11:24.063 --> 01:11:25.323]  Try the Nutri-Cafe.
[01:11:25.563 --> 01:11:29.965]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[01:11:30.326 --> 01:11:32.527]  A truly healthy coffee that tastes great.
[01:11:32.747 --> 01:11:35.008]  And take it from me folks, it really does taste great.
[01:11:35.208 --> 01:11:36.949]  Don't forget to try their other great products.
[01:11:37.309 --> 01:11:38.429]  Go to www.
[01:11:39.810 --> 01:11:40.751]  We're good to go.
[01:11:51.311 --> 01:11:56.294]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:11:56.514 --> 01:12:00.317]  Number one, new climate legislation could easily double or triple your electric bill.
[01:12:00.537 --> 01:12:06.140]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:12:06.440 --> 01:12:11.303]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:12:11.504 --> 01:12:11.964]  Number three,
[01:12:12.424 --> 01:12:17.867]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:12:18.707 --> 01:12:21.368]  The hurricane and dangerous summer storm season is here again.
[01:12:21.608 --> 01:12:25.810]  Every year, thousands of families lose their power from weather-related outages.
[01:12:26.130 --> 01:12:29.752]  A solar power generator provides powerful backup insurance and peace of mind.
[01:12:29.992 --> 01:12:35.476]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:12:35.716 --> 01:12:40.280]  You can get more information at www.mysolarbackup.com.
[01:12:40.420 --> 01:12:41.961]  That's mysolarbackup.com.
[01:12:42.181 --> 01:12:44.523]  Remember, the government doesn't own the sun yet.
[01:12:44.763 --> 01:12:47.405]  So go to mysolarbackup.com or call toll free 877-327-0365.
[01:12:51.317 --> 01:12:54.701]  Water systems are the most trusted name in water filtration available on the market.
[01:12:54.821 --> 01:13:11.840]  The revolutionary Berkey Light self-sterilizing and recleanable purification elements purify water by removing pathogenic bacteria, cysts, and parasites to non-detectable levels and by extracting harmful chemicals such as herbicides, pesticides, VOCs, organic solvents, radon-222, and trihalomethanes.
[01:13:12.120 --> 01:13:16.802]  They also reduce nitrates, nitrites, sediment, and unhealthy minerals such as lead and mercury.
[01:13:17.222 --> 01:13:23.944]  As an authorized dealer for over four years serving thousands of satisfied customers, we offer amazing specials for Berkey Light water systems.
[01:13:24.364 --> 01:13:32.267]  Order the Berkey Light system today and we'll include two black Berkey elements and three sport Berkey water bottles for only $209 with free shipping.
[01:13:32.567 --> 01:13:38.409]  That's right, free shipping and three sport Berkey water bottles at $89 value, free for a limited time.
[01:13:38.769 --> 01:13:43.413]  Just call the Berkey guy at 877-886-3653 now to order.
[01:13:43.473 --> 01:13:50.179]  That's the Berkey guy at 877-886-3653 or visit our website at directed21.com.
[01:13:51.920 --> 01:13:57.405]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:14:02.401 --> 01:14:05.663]  Well, I saw his film and I was really impressed.
[01:14:06.103 --> 01:14:10.345]  That's why we carry it on the online video bookstore at InfoWars.com.
[01:14:10.565 --> 01:14:17.489]  In fact, if you go to InfoWars.com and look in the show guest area, we have a hybrid link to the film.
[01:14:18.669 --> 01:14:21.030]  It's Generation RX.
[01:14:21.791 --> 01:14:23.151]  Generation RX.
[01:14:23.231 --> 01:14:27.814]  And it goes over the history of the drugging of the children and adults and the horror stories.
[01:14:29.192 --> 01:14:36.480]  Kevin P. Miller began producing documentaries in the 1980s and was immediately rewarded with numerous international film and television awards for his efforts.
[01:14:36.820 --> 01:14:46.811]  His first documentary, The Promised Land, explored the abandonment of homeless military veterans and it won him many international film awards and other accolades.
[01:14:47.967 --> 01:14:53.593]  More importantly, it helped launch a string of hard-hitting documentaries about health care and other important issues over a 20-year period.
[01:14:53.933 --> 01:15:00.460]  Kevin P. Miller is being featured in the upcoming book, Dangerous Men, along with David Icke, Dr. Bruce Lipton and others.
[01:15:00.920 --> 01:15:10.249]  His latest film is called Generation Rx, a documentary that examines how we are drugging our children earlier and more often than ever before with psychiatric medicines.
[01:15:11.090 --> 01:15:11.771]  It is, it's Paul Haggis.
[01:15:27.594 --> 01:15:28.295]  Fantastic.
[01:15:29.316 --> 01:15:50.014]  Listen, so much to go over, so much to cover here, but whenever I look into the drugging of children, the New Freedom Initiative with its own internal documents saying the goal is to put 50% of America's kids on psychotropics and anti-psychotics, these drugs brain damage people, they admit it causes suicide and psychopathic
[01:15:51.175 --> 01:15:54.158]  Outbursts, especially in people that are already prone to impulse control.
[01:15:54.638 --> 01:16:02.125]  They know what they're doing, and as society breaks down, and now they have drugs for the drugs.
[01:16:03.466 --> 01:16:12.414]  I've seen those ads on television, so this is a bottomless pit, it seems, and the public is pretty much unaware of it, so I appreciate you making this film.
[01:16:13.049 --> 01:16:18.791]  Well listen, it's a great honor to be on your show and I know that you've been covering the topic for a long time.
[01:16:19.611 --> 01:16:30.374]  When you talk about experimentation, that's already being done of course, and the foster kids who are already in the worst situation imaginable without parents.
[01:16:31.474 --> 01:16:36.357]  You know, they're being shifted around from house to house and institution to institution.
[01:16:37.058 --> 01:16:49.605]  And in California, Massachusetts, many states around the country, Florida for one, over 75% of the foster kids are already on antipsychotic medications, Alex.
[01:16:49.665 --> 01:16:52.527]  So, I mean, it doesn't get much uglier than that, frankly.
[01:16:54.568 --> 01:16:55.028]  Continue.
[01:16:55.888 --> 01:17:09.298]  Well, I think that the reality is that when you've got 75% of the most vulnerable kids on antipsychotic medications, you know that there's some kind of trial going on.
[01:17:09.318 --> 01:17:10.539]  They're dumbing down people.
[01:17:11.160 --> 01:17:20.667]  And frankly, you know, this is what we're putting another, you know, 10 million or so kids who are diagnosed as, quote, bipolar disorder.
[01:17:21.248 --> 01:17:25.471]  That's the exact class of drugs that kids are being put on.
[01:17:26.284 --> 01:17:33.567]  And so, you know, it's really an ugly thing, and it's only made uglier by the fact that our tax dollars are supporting it.
[01:17:34.407 --> 01:17:46.372]  In Florida, for example, that 75% of the foster kids that I was mentioning to you, I think it's 55 to 58% of those are being paid for by Medicare.
[01:17:47.672 --> 01:17:51.774]  So, you know, it's a ridiculous, heinous situation.
[01:17:54.361 --> 01:18:07.531]  Now, when you talk about 75% in some states, the national average, at least when I made Endgame two years ago, was 69% of the nation's foster children are on psychotropics.
[01:18:08.751 --> 01:18:17.278]  And you're right that even then, I saw the number of 80%, approaching 80%, being on the drugs in some states.
