[00:00:00.655 --> 00:00:01.636]  Initiate launch.
[01:29:18.480 --> 01:29:20.522]  In the end, he decried the German people, Mike.
[01:29:21.721 --> 01:29:24.245]  Yeah, and we saw the same thing in Russia under Stalin.
[01:29:24.325 --> 01:29:28.893]  All the Russian people who supported him in his rise to power, he turned on them and double-crossed them.
[01:29:28.913 --> 01:29:30.716]  He called them all useful idiots.
[01:29:31.377 --> 01:29:34.282]  And, you know, tyrants have no respect for the people who support them.
[01:29:34.402 --> 01:29:36.205]  Look at the Night of the Long Knives in Germany.
[01:29:38.735 --> 01:29:42.798]  Mike Rivera is our guest, final segment straight ahead, more of your phone calls, great points Michael.
[01:29:43.199 --> 01:29:46.001]  Dan, Dave, Mike, you'll be the final caller for Mike Rivera.
[01:29:46.321 --> 01:29:49.544]  Then a ton of other news including Super Bowl propaganda ads.
[01:29:50.024 --> 01:29:58.191]  We're going to break these down and analyze them here on the one and only GCN Radio Network in association with Infowars.com and PrisonPlanet.tv.
[01:30:01.894 --> 01:30:04.797]  We're on the march, the empire's on the run.
[01:30:05.806 --> 01:30:08.588]  Alex Jones and the GCN Radio Network.
[01:30:11.611 --> 01:30:17.255]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[01:30:17.455 --> 01:30:22.599]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[01:30:22.879 --> 01:30:27.963]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[01:30:28.263 --> 01:30:30.025]  People who alkalize the water they drink
[01:30:34.148 --> 01:30:40.152]  It was intended for human beings to drink alkaline water, but due to modern way of life, most people are overly acidic.
[01:30:40.372 --> 01:30:43.915]  The fact is that disease simply cannot exist in an alkaline environment.
[01:30:44.175 --> 01:30:48.698]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[01:30:48.998 --> 01:30:49.779]  Do your part.
[01:30:50.039 --> 01:30:52.300]  Alkalize and supercharge your body now!
[01:30:52.661 --> 01:30:58.785]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[01:30:59.085 --> 01:31:03.327]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[01:31:03.487 --> 01:31:05.168]  And we knew what to do.
[01:31:05.288 --> 01:31:06.588]  Or at least we thought we did.
[01:31:06.628 --> 01:31:12.651]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[01:31:29.005 --> 01:31:36.008]  EPA director on the 18th made a statement that the air was safe to breathe.
[01:31:36.328 --> 01:31:43.132]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[01:31:43.432 --> 01:31:46.513]  He had his hand over the radio while he was getting a countdown.
[01:31:46.593 --> 01:31:51.856]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[01:31:52.376 --> 01:31:54.917]  This is an emergency transmission worldwide.
[01:31:55.453 --> 01:32:01.301]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[01:32:01.501 --> 01:32:04.044]  Or order the DVD at Infowars.com.
[01:32:04.425 --> 01:32:09.331]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[01:32:11.075 --> 01:32:14.460]  More than 700 chemicals have been found in our drinking water.
[01:32:14.600 --> 01:32:19.827]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:32:20.007 --> 01:32:24.713]  That's because many chemicals are inhaled when they evaporate and others are absorbed into the skin.
[01:32:26.015 --> 01:32:36.320]  KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:32:36.680 --> 01:32:42.223]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[01:32:42.443 --> 01:32:48.506]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:32:48.706 --> 01:32:49.367]  What about you?
[01:32:49.747 --> 01:32:53.849]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99, with free shipping.
[01:32:56.170 --> 01:32:58.332]  Call the Berkey Guy and order now by calling 1-877-886-3653.
[01:32:58.352 --> 01:32:58.812]  That's 1-877-886-3653.
[01:32:58.832 --> 01:33:02.135]  Or simply click on the banner at GCNlive.com to order online now.
[01:33:02.155 --> 01:33:02.975]  We will not be forgotten.
[01:33:02.995 --> 01:33:03.796]  We won't be left behind.
[01:33:04.036 --> 01:33:05.738]  Our memories live on in mortal mind.
[01:33:28.963 --> 01:33:31.365]  Okay, let's go straight back to your phone calls here.
[01:33:33.747 --> 01:33:37.950]  Let's go ahead and talk to Dan in Ohio.
[01:33:37.990 --> 01:33:38.831]  You're on the air, Dan.
[01:33:38.851 --> 01:33:40.612]  Hi, Alex.
[01:33:40.652 --> 01:33:41.553]  Dan from Ohio.
[01:33:42.374 --> 01:33:43.074]  Welcome.
[01:33:43.415 --> 01:33:44.335]  First time caller.
[01:33:45.216 --> 01:33:48.519]  And Mike, this is also an important subject.
[01:33:48.539 --> 01:33:49.420]  This is a pre-interview.
[01:33:49.440 --> 01:33:50.941]  I've been on hold for quite some time.
[01:33:52.162 --> 01:33:56.025]  Is anyone there yet familiar with the New Hampshire House of
[01:33:57.745 --> 01:33:59.285]  Concurrent resolution number six.
[01:34:01.026 --> 01:34:04.246]  It's about as close to an article of succession that I've seen.
[01:34:04.266 --> 01:34:11.887]  It's also been recommended by the state of Massachusetts, New York, North Carolina, Rhode Island, and Virginia.
[01:34:13.508 --> 01:34:17.408]  Basically, in summation, they are drawing a line in the sand.
[01:34:17.428 --> 01:34:20.829]  As far as I understand here, there are six articles at the bottom.
[01:34:22.489 --> 01:34:25.930]  Many of those being further infringements of the right to keep and bear arms, including
[01:34:27.943 --> 01:34:36.461]  Uh, prohibiting the type and quantity of arms and ammunition, any act regarding religion, fertile limitations of freedom of political speech, and fertile limitations of the freedom of the press.
[01:34:37.589 --> 01:34:42.112]  And it goes on, enforcing martial law without the general consent of the state legislator.
[01:34:42.132 --> 01:34:44.673]  Basically... Let me stop you.
[01:34:44.693 --> 01:34:45.213]  Let me stop you.
[01:34:45.553 --> 01:34:46.414]  I'm not aware of this.
[01:34:46.474 --> 01:34:47.454]  I'm not omnipresent.
[01:34:48.155 --> 01:34:52.757]  Specifically, I know that New Hampshire invoked right to revolt Article 10.
[01:34:52.997 --> 01:34:54.278]  I mean, I'm aware of the article.
[01:34:54.298 --> 01:34:55.319]  I just didn't know they invoked it.
[01:34:55.999 --> 01:34:58.440]  Article 10 had been invoked in the month before 9-11.
[01:34:59.932 --> 01:35:02.996]  They were going to have a state convention on September 12th.
[01:35:03.016 --> 01:35:05.719]  I'm not saying they carried out the attack because of that.
[01:35:06.881 --> 01:35:11.727]  Because there, the cities and counties themselves can make the states secede.
[01:35:11.787 --> 01:35:12.889]  That's originally in there.
[01:35:12.909 --> 01:35:15.512]  The states are on top of the federal government.
[01:35:15.532 --> 01:35:17.574]  They claim that the Civil War decided that.
[01:35:18.749 --> 01:35:23.071]  For the Feds, but the Feds are completely illegitimate and controlled by offshore banks through a corporate takeover.
[01:35:23.511 --> 01:35:27.654]  Specifically, you're saying this is Article 6, where and what are they saying?
[01:35:28.054 --> 01:35:32.116]  Just Google HCR 6 and it'll be the first thing that comes up.
[01:35:32.216 --> 01:35:33.276]  It just came out yesterday.
[01:35:33.477 --> 01:35:34.897]  House Concurrent Resolution?
[01:35:34.917 --> 01:35:36.178]  6, yes.
[01:35:36.838 --> 01:35:40.660]  Okay, House Concurrent Resolution 6 in New Hampshire.
[01:35:41.281 --> 01:35:44.442]  Yes, 2009 session.
[01:35:44.482 --> 01:35:47.664]  Now, has this been introduced or has this gotten sponsors and being brought forward?
[01:35:48.368 --> 01:35:51.431]  It's sponsored by several representatives and Senator Denley.
[01:35:53.012 --> 01:35:56.956]  The House Concurrent Resolution affirms states' rights based on Jeffersonian principles.
[01:35:57.416 --> 01:36:00.279]  Okay, I'm going to get these state reps on immediately.
[01:36:01.280 --> 01:36:05.063]  So, House Concurrent Resolution 6, New Hampshire, and we'll call all the sponsors.
[01:36:05.083 --> 01:36:07.265]  You'll probably hear them here tomorrow.
[01:36:07.305 --> 01:36:08.186]  In fact, we just found it.
[01:36:08.606 --> 01:36:10.448]  We're going to punch it up on screen here in just a moment.
[01:36:10.528 --> 01:36:10.968]  Thank you.
[01:36:11.509 --> 01:36:12.870]  Thank you for calling with that info.
[01:36:12.910 --> 01:36:14.231]  Mike Rivero, your take on this.
[01:36:14.992 --> 01:36:35.408]  Yeah, I had heard of this because I am from New Hampshire originally and basically all of these resolutions, and we're seeing a lot of them start up now, they're all reaffirmations of the Declaration of Independence and the very principles by which this country threw out the last government and said we're going to be a new nation that is founded on these principles of freedom, freedom of speech, freedom to be armed,
[01:36:36.248 --> 01:36:37.269]  It's a great show.
[01:36:53.755 --> 01:37:03.559]  And so I would think that as we saw with the fall of Rome, as the central government bankrupts itself, the outlying provinces, or in this case states, start to break away and assert their independence.
[01:37:03.859 --> 01:37:06.320]  And I think ultimately that's what we're going to see happen to the United States.
[01:37:06.340 --> 01:37:09.801]  And I want to be clear, I'm for the union, but it isn't a union.
[01:37:09.841 --> 01:37:15.083]  We have to break apart first to come back together, if the people so choose.
[01:37:15.103 --> 01:37:19.485]  Because the globalists, as they did in China 150 years ago, the same system here,
[01:37:20.450 --> 01:37:23.473]  Starting with phony drugs they shipped in to then break down the society.
[01:37:24.134 --> 01:37:25.155]  That's mainline history.
[01:37:26.391 --> 01:37:27.691]  They're going to break us up.
[01:37:27.751 --> 01:37:28.752]  That's what globalism is.
[01:37:29.032 --> 01:37:40.314]  They merge larger units in the continental unions to then break up and destroy the sovereignty of the original units into smaller parts through balkanization.
[01:37:40.354 --> 01:37:46.256]  So we've got to break apart ourselves if we're ever going to reconstitute the Republic.
[01:37:46.296 --> 01:37:48.616]  And I can't see how Hawaii couldn't break away.
[01:37:49.076 --> 01:37:51.537]  Well, that was less than, you know, a hundred years ago.
[01:37:52.560 --> 01:37:54.260]  That they killed a bunch of the royal family.
[01:37:54.300 --> 01:37:55.341]  I mean, you live there.
[01:37:55.381 --> 01:37:56.861]  Tell folks briefly the story about that.
[01:37:56.881 --> 01:38:02.982]  Well, basically, the United States illegally annexed Hawaii during the Spanish-American War.
[01:38:03.422 --> 01:38:11.784]  And in 1993, President Bill Clinton signed a public law of apology acknowledging that the Hawaiian people had never really surrendered their national sovereignty.
[01:38:12.164 --> 01:38:15.484]  So technically, on paper, there is still a nation of Hawaii.
[01:38:15.784 --> 01:38:18.585]  There are several groups arguing over who should be in charge of it.
[01:38:19.345 --> 01:38:25.429]  But the bottom line is that were there to be a major economic upheaval on the mainland, there's a very strong movement.
[01:38:26.410 --> 01:38:34.455]  Not necessarily to secede because they're not acknowledging that statehood is legal to begin with, but there's certainly a strong independence movement here in Hawaii.
[01:38:36.236 --> 01:38:36.857]  Absolutely.
[01:38:37.097 --> 01:38:37.837]  Great call, sir.
[01:38:37.878 --> 01:38:40.940]  Appreciate you calling in with that information, Dan.
[01:38:41.220 --> 01:38:43.441]  Quickly, Dave in Florida, then Mike in New York.
[01:38:43.461 --> 01:38:44.202]  We'll let Mike go.
[01:38:44.842 --> 01:38:45.382]  Go ahead, Dave.
[01:38:45.402 --> 01:38:45.863]  You're on the air.
[01:38:47.321 --> 01:38:52.542]  Yeah, hey, I just wanted to follow up on that, about these gun bills.
[01:38:55.103 --> 01:39:01.865]  I think it was a confusion earlier when they were saying that Al C. Hastings had introduced H.R.
[01:39:01.885 --> 01:39:01.865]  45.
[01:39:02.665 --> 01:39:12.328]  It looks like it was Bobby Rush from, I bet you can guess, from District 1 in Illinois.
[01:39:12.768 --> 01:39:16.449]  Wait, I did see Hastings' name on the bill when I covered it last week.
[01:39:17.631 --> 01:39:18.852]  I think that was the FEMA camp.
[01:39:18.872 --> 01:39:21.636]  I came in here, I'm not complaining, but somebody cleaned my desk off this weekend.
[01:39:21.656 --> 01:39:23.237]  Where is the stack of stuff that was here last week?
[01:39:36.232 --> 01:39:36.853]  Bring it in to me.
[01:39:37.293 --> 01:39:38.775]  Dig through it and find me the gun bills.
[01:39:39.135 --> 01:39:40.676]  Because I said that at the start of the show.
[01:39:40.736 --> 01:39:42.338]  I said, I don't have the bills in front of me.
[01:39:42.718 --> 01:39:43.779]  Then the caller called in.
[01:39:44.500 --> 01:39:45.721]  So we gotta be careful about this.
[01:39:45.741 --> 01:39:47.263]  But yes, he introduced the FEMA camp bill.
[01:39:47.583 --> 01:39:48.464]  Now remember, you're right.
[01:39:50.306 --> 01:39:52.308]  Regardless, call him and tell him we don't want the FEMA camp bill.
[01:39:53.874 --> 01:39:54.534]  Right, yeah.
[01:39:54.974 --> 01:39:58.395]  What I wanted to say was, yesterday when you had that congressman... No, no, no, no, no, wait a minute.
[01:39:58.415 --> 01:39:59.035]  We weren't wrong.
[01:39:59.635 --> 01:40:00.776]  Mike did call.
[01:40:00.796 --> 01:40:03.616]  It was caller Mike from Montana.
[01:40:04.376 --> 01:40:06.557]  He called and said it was the FEMA bill.
[01:40:06.917 --> 01:40:07.917]  People need to call him.
[01:40:08.237 --> 01:40:09.017]  So we were right.
[01:40:09.578 --> 01:40:13.679]  Then, another caller called in and said here's his number on the gun bill.
[01:40:14.019 --> 01:40:15.159]  So it was the caller that was wrong.
[01:40:15.179 --> 01:40:15.459]  Go ahead.
[01:40:16.758 --> 01:40:16.958]  Right.
[01:40:17.699 --> 01:40:25.685]  But that congressman yesterday, when he was talking about Alcee Hastings, and if you look at this guy Bobby Rush, you just wonder, you know, where do they come up with this stuff?
[01:40:26.226 --> 01:40:34.453]  And that congressman yesterday said, you know, he knew Alcee... Your phone cut out, sir.
[01:40:34.513 --> 01:40:35.594]  You're on an IP phone, right?
[01:40:35.634 --> 01:40:35.974]  Go ahead.
[01:40:37.375 --> 01:40:38.076]  Hey, he's gone.
[01:40:38.696 --> 01:40:39.077]  Go ahead.
[01:40:40.378 --> 01:40:42.760]  Yeah, he said he knew Alcee Hastings and
[01:40:43.482 --> 01:40:50.007]  He knew that he was really dirty and they had a lot of stuff on him so they could get him to introduce anything.
[01:40:50.808 --> 01:40:55.811]  I think everybody uses that word, they, so much.
[01:40:55.871 --> 01:40:58.693]  How can we unmask?
[01:40:59.054 --> 01:41:03.897]  Let me tell you, and I appreciate the call, I'm going to let Mike go in a moment, I want him to be able to comment on this.
[01:41:05.012 --> 01:41:06.914]  They is the military-industrial complex.
[01:41:06.974 --> 01:41:09.837]  It's the big lobbying interests that are all in support of globalism.
[01:41:10.257 --> 01:41:29.916]  They combine their forces together to buy off government, to remove the checks and balances from the people, remove our power over the system, and give it to themselves so they can use governments to shut down their political competition, their economic, their industrial, their scientific competition, and so they can extract more and more wealth from the people and social engineer us.
[01:41:30.496 --> 01:41:38.463]  So, that's who they are, and yesterday I listed a bunch of Trilateral Commission people in Obama's administration and who were neocons and things.
[01:41:38.483 --> 01:41:40.885]  So, we are listing who they are.
[01:41:41.306 --> 01:41:45.469]  But if all we did was list they, we had Rothkopf that wrote the book Superclass.
[01:41:45.489 --> 01:41:48.672]  He says there's 6,000 globalists, run everything, they want world government.
[01:41:49.113 --> 01:41:49.673]  He was here.
[01:41:49.753 --> 01:41:51.655]  It's in the New York Times.
[01:41:52.235 --> 01:41:53.917]  That's two questions and I'm going to let Mike go.
[01:41:57.406 --> 01:41:58.387]  You know, who are they?
[01:41:58.508 --> 01:42:05.378]  And then B, why are they suddenly in hundreds of newspapers a week going, you know, North American Union's the answer to the crises.
[01:42:06.099 --> 01:42:08.642]  Oh, you know what, FEMA camps are the answer to all of this.
[01:42:08.682 --> 01:42:11.606]  You know, why are they now admitting what they've denied so long?
[01:42:11.647 --> 01:42:12.448]  Those two questions, Mike.
[01:42:13.464 --> 01:42:15.927]  Well, they obviously is the little clique.
[01:42:15.967 --> 01:42:22.735]  If you remember back in high school, there was always the clique of beautiful rich people who sort of got away with everything and looked down on everyone else.
[01:42:23.115 --> 01:42:25.077]  Well, it's the same thing, only grown up.
[01:42:25.117 --> 01:42:33.287]  And now they're in Congress, and now they're in the media, and now they're basically all working together to basically, as you said, extract real wealth from the ordinary people.
[01:42:33.687 --> 01:42:38.911]  As for the reason why they're going public with it right about now, I think it goes back to what you said earlier in the show.
[01:42:39.331 --> 01:42:40.512]  There's a degree of panic.
[01:42:40.532 --> 01:42:46.476]  They're beginning to recognize they don't have the iron grip on the minds of America that they thought they did once before.
[01:42:46.796 --> 01:42:47.917]  So now they're having to come up.
[01:42:48.357 --> 01:42:48.877]  It's a pitch.
[01:42:48.937 --> 01:42:49.858]  It's a sales pitch.
[01:42:50.118 --> 01:42:52.860]  They're out here trying to sell us that these are really good things to do.
[01:42:53.460 --> 01:42:57.643]  And like I said before, the public is aware globalism got us into this mess.
[01:42:58.103 --> 01:43:02.946]  Selling globalism as the cure-all, that's a really, really tough sell, and they're pushing it as hard as they can.
[01:43:03.246 --> 01:43:10.110]  And it really is a war between they and their advertising PR agencies, and we, who have the truth on our side.
[01:43:10.550 --> 01:43:12.091]  And the first one to quit loses.
[01:43:14.272 --> 01:43:15.153]  And that's it, Mike.
[01:43:16.374 --> 01:43:18.275]  They denied all this while they were building it.
[01:43:19.560 --> 01:43:24.406]  But with the alternative media, we exposed the architecture as it was being developed.
[01:43:25.667 --> 01:43:33.356]  Now, the people are aware of it, so they're forced to go ahead and admit it's all true, but put a spin on it that it will save you from the economic collapse.
[01:43:33.376 --> 01:43:34.318]  But the people go, wait a minute.
[01:43:35.499 --> 01:43:39.564]  You're the ones that did all this, and you promised the last bailout would fix it.
[01:43:40.785 --> 01:43:44.328]  And they'll probably pass another one and another one and announce themselves to be emperors.
[01:43:44.729 --> 01:43:47.391]  But then everybody will see through it that they're a bunch of illegitimate criminals.
[01:43:47.832 --> 01:43:48.593]  Then what happens?
[01:43:49.173 --> 01:43:53.417]  Well, war in the streets and they think their military is going to be able to carry this out.
[01:43:53.437 --> 01:43:55.299]  A lot of military and police aren't going to go along with this.
[01:43:55.740 --> 01:44:00.204]  Even if they're thugs, some of them are not going to like what happens when they go up against the American people.
[01:44:00.844 --> 01:44:02.166]  And they're not going to want to show up to work.
[01:44:04.699 --> 01:44:11.626]  Well, it's not working so far in Europe because those protesters, they've already pulled down the government of Iceland and some of these other governments like Greece.
[01:44:11.666 --> 01:44:13.488]  They're in serious, serious trouble right now.
[01:44:14.208 --> 01:44:16.290]  And I think the same thing is going to happen here.
[01:44:17.423 --> 01:44:19.145]  How do you stop the shark-teeth effect?
[01:44:19.606 --> 01:44:28.316]  We've seen in Argentina and Nigeria and places where the globalists have done this, you know, declassified, it's admitted, bring their economies down economically to consolidate.
[01:44:28.816 --> 01:44:35.744]  And then you'll see five prime ministers, six, seven presidents, in one year as the people figure out, no, he's a puppet, get rid of him.
[01:44:36.024 --> 01:44:37.126]  No, he's a puppet, get rid of him.
[01:44:37.346 --> 01:44:38.406]  No, he's a puppet, get rid of him.
[01:44:38.787 --> 01:44:50.292]  And then finally the governments are just insolvent, but still, the private banks now own the infrastructure, and they have police forces with machine guns guarding it, and the country just sinks into the mud, but the globalists then own the pile of dung.
[01:44:52.210 --> 01:45:01.178]  Well, if you go back and you look at the history of the French Revolution, they talk about the revolution, but there were actually a series of several revolutions as the same thing.
[01:45:01.478 --> 01:45:05.101]  Each new government that came in proved it was just as corrupt as the previous one.
[01:45:05.502 --> 01:45:06.943]  They were brought down and kicked out.
[01:45:07.223 --> 01:45:12.468]  And ultimately, in the French Revolution, the bankers were brought down with the royal families at the same time.
[01:45:12.828 --> 01:45:16.151]  And they basically restarted their economy and their government from scratch.
[01:45:16.571 --> 01:45:18.373]  And I think that's what's going to happen here in the U.S.
[01:45:18.413 --> 01:45:21.015]  I think ultimately the Federal Reserve has to be gotten rid of.
[01:45:21.295 --> 01:45:29.762]  We need to go back to the monetary system that we had when we founded this country, which is a monetary system based on units of value rather than units of debt.
[01:45:30.302 --> 01:45:30.923]  All right, Mike.
[01:45:31.003 --> 01:45:32.804]  Amazing interview today.
[01:45:32.824 --> 01:45:41.051]  I really want to thank you for joining us and we'll see you back next month on the first Tuesday of every month for an hour and a half or so.
[01:45:41.511 --> 01:45:43.232]  And I really appreciate you spending time with us.
[01:45:43.252 --> 01:45:43.573]  Take care.
[01:45:44.420 --> 01:45:44.940]  My pleasure.
[01:45:45.700 --> 01:45:46.461]  There he goes, folks.
[01:45:46.541 --> 01:45:48.321]  WhatReallyHappened.com.
[01:45:48.701 --> 01:45:49.041]  All right.
[01:45:49.701 --> 01:45:55.523]  We've got an hour and 14 minutes left in transmission time today.
[01:45:57.803 --> 01:46:11.147]  And I didn't get to a bunch of news articles that I saw yesterday about how they're saying we shouldn't be able to have more than two children, there should be tax incentives to only have one, but if you have more than two, you get fines and fees put on you.
[01:46:14.801 --> 01:46:16.822]  Is how they started the one-child policy in China.
[01:46:17.182 --> 01:46:25.405]  Started in 1974 with a treaty with the United States and the IMF World Bank who paid the communist Chinese to institute it.
[01:46:25.625 --> 01:46:30.106]  They put fines on you and harassed you if you had more than one child.
[01:46:30.687 --> 01:46:32.167]  Then in 1980 it became law.
[01:46:32.587 --> 01:46:34.528]  Now I've told you for years they're going to propose this.
[01:46:34.948 --> 01:46:36.369]  Now I watched a lot of
[01:46:37.748 --> 01:46:46.155]  Television this weekend, which I rarely do, and on show after show after show after show, news shows, they would demonize people with more than one or two children.
[01:46:46.515 --> 01:46:49.197]  So, I mean, there's a whole new level.
[01:46:49.217 --> 01:46:51.499]  It wasn't just that, it was everything was propaganda.
[01:46:52.840 --> 01:46:56.203]  I saw CNN say, I mean, everything was propaganda.
[01:46:56.724 --> 01:47:00.627]  There was another election in Iraq and finally women got a chance to vote for the first time.
[01:47:01.840 --> 01:47:11.607]  Well, A, it wasn't the first time they've had a chance to vote, and B, Saddam Hussein had more women graduating from college as doctors and lawyers and scientists than men, around 60%.
[01:47:11.667 --> 01:47:19.052]  Saddam Hussein was trying to stop religious Muslims from having women basically cover themselves up.
[01:47:19.532 --> 01:47:21.513]  Saddam Hussein wanted to empower women.
[01:47:21.953 --> 01:47:23.374]  I'm not defending Saddam Hussein.
[01:47:23.755 --> 01:47:26.797]  The point here is that the globalists created the guy.
[01:47:27.037 --> 01:47:31.380]  He actually, though, wanted to progress his country and was making it first world.
[01:47:32.160 --> 01:47:33.261]  And that's why he had to be stopped.
[01:47:33.301 --> 01:47:36.162]  So, again, the idea is to back up the war.
[01:47:36.222 --> 01:47:36.543]  It was out.
[01:47:36.703 --> 01:47:37.603]  The war is going great.
[01:47:37.643 --> 01:47:38.263]  Less killing.
[01:47:38.303 --> 01:47:39.584]  Very little violence at the elections.
[01:47:39.924 --> 01:47:41.025]  And women get to vote now.
[01:47:43.386 --> 01:47:44.947]  Implying that women never had rights.
[01:47:45.287 --> 01:47:50.470]  Women now have less rights because they put the religious people in control over there.
[01:47:51.531 --> 01:47:52.811]  Which is what the globalists always do.
[01:47:52.911 --> 01:47:54.072]  They overthrew Iran for that.
[01:47:55.305 --> 01:47:58.988]  They don't want secular governments.
[01:47:59.028 --> 01:48:05.172]  The Muslims, the Arabs, the Persians, they want to build giant hotels.
[01:48:05.412 --> 01:48:06.493]  They want to build giant resorts.
[01:48:06.513 --> 01:48:07.694]  They want to build giant factories.
[01:48:07.874 --> 01:48:08.414]  They're smart.
[01:48:08.554 --> 01:48:10.235]  They're just as smart as people in the West, folks.
[01:48:11.716 --> 01:48:12.537]  They're smart.
[01:48:13.497 --> 01:48:14.198]  They want to live.
[01:48:15.139 --> 01:48:15.799]  The British!
[01:48:17.500 --> 01:48:18.801]  It's the story of Lawrence of Arabia.
[01:48:18.841 --> 01:48:19.662]  That movie's true.
[01:48:20.082 --> 01:48:20.943]  That movie's historical.
[01:48:20.983 --> 01:48:22.223]  That's a historic film.
[01:48:23.024 --> 01:48:23.865]  It's non-fiction.
[01:48:24.915 --> 01:48:29.697]  They went and they found a group of ragtag Bedouins.
[01:48:30.277 --> 01:48:31.898]  I'm not attacking the Bedouins, just a fact.
[01:48:32.358 --> 01:48:38.341]  And they hired them and gave them machine guns and hand grenades and had them go overthrow the governments and then they set up the Middle East.
[01:48:39.021 --> 01:48:40.842]  They set up the countries that are in Saudi Arabia now.
[01:48:41.523 --> 01:48:42.563]  They are British intel.
[01:48:42.583 --> 01:48:44.964]  The Obamas, you know, of the world.
[01:48:47.358 --> 01:48:51.459]  Are nothing but distractions and diversions, just like the Saudi kings of the world are distractions and diversions.
[01:48:51.879 --> 01:48:53.139]  These people are all puppets.
[01:48:53.959 --> 01:48:58.340]  And where do you see so much of the, quote, Muslim terrorism emanating out of Saudi Arabia?
[01:48:59.120 --> 01:49:00.181]  15 of the 19 hijackers?
[01:49:03.041 --> 01:49:04.021]  But that's okay.
[01:49:04.421 --> 01:49:08.822]  We need to invade Iraq because they've got women graduating 60% of their new doctors.
[01:49:10.923 --> 01:49:13.023]  You know, they had women in radio and TV everywhere.
[01:49:14.784 --> 01:49:16.384]  They weren't downtrodden in Iraq.
[01:49:16.404 --> 01:49:16.924]  They are now.
[01:49:19.614 --> 01:49:26.317]  So they want radical Muslims in control, ladies and gentlemen, and they did that as a, quote, counterbalance to communism, and they call it a blowback.
[01:49:27.438 --> 01:49:28.979]  And now I'll get threats from those Muslims.
[01:49:28.999 --> 01:49:31.100]  Well, I'm sorry if your leaders are run by the New World Order.
[01:49:31.440 --> 01:49:32.080]  It's just a fact.
[01:49:32.381 --> 01:49:37.723]  Now, before I go any further here, I want to tell you about the sponsors of the day.
[01:49:38.744 --> 01:49:41.285]  One is Survivalist Seeds, ladies and gentlemen.
[01:49:41.785 --> 01:49:44.447]  Survivalist Seeds is just a fabulous company.
[01:49:46.294 --> 01:49:49.216]  Knowing that something's coming is not the solution.
[01:49:49.256 --> 01:49:51.738]  Preparing for what's coming is the solution, is the answer.
[01:49:51.758 --> 01:49:54.860]  Get 7 years of healthy food for pennies on the pound, 100% heirloom seeds.
[01:49:55.120 --> 01:49:57.842]  Grow your own food and eliminate your dependence on society.
[01:49:58.222 --> 01:50:03.165]  Get 15,000 heirloom vegetable seeds for just 7, for a 7 year family supply.
[01:50:03.185 --> 01:50:08.428]  And get seeds 5 times cheaper than the GM trash sold at Walmart.
[01:50:08.869 --> 01:50:10.630]  Same day priority shipping is available.
[01:50:12.202 --> 01:50:20.567]  You can simply go to their website, survivalofseeds.com, survivalofseeds.com, or 620-637-2978, 620-637-2978.
[01:50:20.867 --> 01:50:27.230]  These really are high quality heirloom seeds.
[01:50:27.730 --> 01:50:30.172]  All natural seeds, non-hybrid, non-genetically modified.
[01:50:30.492 --> 01:50:35.475]  You can sell your spare seeds back for cash, or learn how to sell your produce to farmers, markets, restaurants.
[01:50:36.155 --> 01:50:36.756]  And a lot more.
[01:50:36.776 --> 01:50:40.780]  They have materials on that that can teach you how to get that done as well.
[01:50:40.840 --> 01:50:45.204]  Growing your own food will determine how much freedom you will have in your level of suffering.
[01:50:45.585 --> 01:50:48.768]  Because the global is trying to take over the farms and ranches right now.
[01:50:49.148 --> 01:50:50.149]  survivalofseeds.com or 620-637-2978.
[01:50:50.229 --> 01:50:50.369]  Okay.
[01:50:55.179 --> 01:51:02.429]  We're going to come back and get into a bunch of news, your phone calls, and then I'm going to get into some of these Super Bowl ads and analyze the propaganda.
[01:51:02.610 --> 01:51:09.239]  This is a tiny snapshot of the tapestry, the tissue of brainwashing and conditioning that's going on.
[01:51:09.299 --> 01:51:09.740]  Stay with us.
[01:51:11.474 --> 01:51:14.456]  Every 22 seconds, a violent crime is committed.
[01:51:14.716 --> 01:51:16.737]  Are you concerned about your personal safety?
