[00:00:04.192 --> 00:00:10.015]  The web, efoodsdirect.com, 800-409-5633.
[00:46:59.254 --> 00:47:11.341]  Now you can fight internal parasites, heavy metals, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:47:11.341 --> 00:47:15.003]  FPP is now available to you from FreshwaterOrganics.com.
[00:47:15.603 --> 00:47:18.745]  A two-month supply starts at just $17.
[00:47:18.745 --> 00:47:22.467]  FPP is so affordable you can't afford to do without.
[00:47:22.467 --> 00:47:25.969]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[00:47:25.969 --> 00:47:26.529]  That's 888-949-3570.
[00:47:26.529 --> 00:47:29.691]  You're listening to GCN, the Genesis Communications Radio Network.
[00:47:51.763 --> 00:47:55.384]  That's right, take the Prozac!
[00:48:22.005 --> 00:48:22.986]  Yes!
[00:48:22.986 --> 00:48:30.571]  Put the whole population on drugs that cause people to go completely psychopathic and murder their families.
[00:48:30.571 --> 00:48:37.537]  And then disarm the American people so they can't defend themselves.
[00:48:37.537 --> 00:48:40.219]  Sanitarium!
[00:48:40.219 --> 00:48:41.339]  Just leave me alone!
[00:48:59.187 --> 00:49:00.107]  Alex, thanks for taking my call.
[00:49:00.107 --> 00:49:00.727]  Good news from Utah.
[00:49:00.727 --> 00:49:03.508]  We got a bill in the legislature to do away with the concealed and carry.
[00:49:33.294 --> 00:49:37.299]  Well, let me stop you there for a moment.
[00:49:37.299 --> 00:49:43.647]  You're saying you want Vermont-style concealed carry, where you don't have to get a license to have your Second Amendment, which turns a right into a privilege?
[00:49:43.647 --> 00:49:44.268]  Is that what you're saying?
[00:49:45.114 --> 00:49:45.514]  Right.
[00:49:45.514 --> 00:49:46.875]  It's something to do with that.
[00:49:46.875 --> 00:49:47.675]  It's similar.
[00:49:47.675 --> 00:49:48.996]  I was reading over the bill.
[00:49:48.996 --> 00:49:57.521]  It's pretty... And all over the country they're putting in body scanners that 360 biometrically scan your naked body through your clothes and put it on a hard drive.
[00:49:57.521 --> 00:49:59.702]  And now they train you to take your shoes off.
[00:49:59.702 --> 00:50:02.623]  They train you not to have water, toothpaste, to be a good slave.
[00:50:02.623 --> 00:50:05.965]  They admit it's all part of basically dog training to train us to submit.
[00:50:05.965 --> 00:50:07.926]  And now they're going to train us to have our bodies scanned.
[00:50:08.903 --> 00:50:09.183]  Right.
[00:50:09.183 --> 00:50:13.324]  I was surprised that nobody spoke out on it.
[00:50:13.324 --> 00:50:14.565]  Well, people did speak out.
[00:50:14.565 --> 00:50:15.945]  The media just doesn't cover that.
[00:50:15.945 --> 00:50:19.646]  And again, they only make like maybe one out of ten people go through it.
[00:50:19.646 --> 00:50:21.427]  I'm not going through the thing.
[00:50:21.427 --> 00:50:24.308]  And I'm sure they'll taser me and maybe murder me in one of the airports.
[00:50:24.308 --> 00:50:33.071]  You know, if I dare to not want to have my body scanned naked or if I'm flying with my family, if I dare to not want to put my wife and children through it so the perverts and the government can have that.
[00:50:33.071 --> 00:50:34.471]  But, you know, I say pervert.
[00:50:34.471 --> 00:50:37.752]  The real reason is that machine 360 scans your whole body.
[00:50:38.365 --> 00:50:51.055]  And then, with the surveillance cameras and the rest of the system, even if you're wearing a mask, it knows your body's signature, and DARPA admits that's the, quote, secret weapon Bob Woodward talked about in his book late last year that they've deployed in Iraq.
[00:50:51.055 --> 00:50:52.797]  It's body scanners.
[00:50:52.797 --> 00:50:53.997]  Oh, wow.
[00:50:53.997 --> 00:50:55.759]  Well, the Obama deception was great.
[00:50:55.759 --> 00:51:00.503]  I saw it with my Prison Planet TV membership, and I just want to commend you on that.
[00:51:00.503 --> 00:51:05.747]  But the reason I called is Michael Wiener Savage, on the 4th of March,
[00:51:09.223 --> 00:51:16.751]  No, that's good.
[00:51:16.751 --> 00:51:19.194]  I mean, Savage is really coming a long way.
[00:51:19.194 --> 00:51:27.704]  He came out and documented that Obama's policies are like the Nazis in government policy, which is true, but he didn't point out the Republicans helped set it all up.
[00:51:28.536 --> 00:51:34.699]  And we did a story on that at Infowars.com, and I hope he comes all the way, but I did get emails about that.
[00:51:34.699 --> 00:51:35.339]  I didn't hear it.
[00:51:35.339 --> 00:51:37.880]  You mean he's talking about government-sponsored terrorism?
[00:51:37.880 --> 00:51:38.881]  Well, good for him then!
[00:51:38.881 --> 00:51:39.921]  Good!
[00:51:39.921 --> 00:51:49.366]  Well, I was really surprised to hear it, and I'm paraphrasing, but he said, a Reichstag-like event perpetrated by the government to justify a dictatorship.
[00:51:49.366 --> 00:51:51.147]  So I thought that was pretty big news.
[00:51:51.147 --> 00:51:52.087]  Well, that is big news.
[00:51:52.087 --> 00:51:53.408]  Somebody find the clip and send it to me.
[00:51:54.548 --> 00:51:55.869]  Well, hail Savage then.
[00:51:55.869 --> 00:51:57.350]  I appreciate the call.
[00:51:57.350 --> 00:51:59.932]  I mean, all I've wanted is these people to wake up and stand up.
[00:51:59.932 --> 00:52:22.928]  You know, I had Chuck Norris on for 35 minutes on Friday's show, and Chuck Norris, you know, we first had him on last year, and I found out, I knew years ago, and it had been one contact with him about a decade ago, and I knew that he was a listener of the show, but last time I had him on about five months ago, he said, no, I listen every week during a break when I was talking to him.
[00:52:23.547 --> 00:52:34.395]  This week he kind of said how great the show was, and I was a crusader, and he wants to defeat the New World Order and arrest the New World Order bankers, and that was blowing me away Friday.
[00:52:34.395 --> 00:52:35.876]  In fact, that was a long interview.
[00:52:35.876 --> 00:52:38.178]  That's why I didn't have you guys clip it out.
[00:52:38.178 --> 00:52:39.960]  I forgot to tell you Friday.
[00:52:39.960 --> 00:52:43.562]  But he said that a couple times in the interview.
[00:52:43.562 --> 00:52:44.523]  Just see if you can find it.
[00:52:44.523 --> 00:52:48.466]  I mean, I know it's posted up at InfoWars.com, but there's just two of you in there.
[00:52:48.466 --> 00:52:52.209]  I don't know if we've got time at the end of the show to maybe pull a clip of Chuck Norris on the show.
[00:52:53.407 --> 00:52:55.847]  And that's a big deal because the police love him.
[00:52:55.847 --> 00:52:58.968]  For all he's done for law enforcement charities and stuff.
[00:52:58.968 --> 00:53:02.169]  And all the movies glorifying the police he's made.
[00:53:02.169 --> 00:53:04.529]  And that's a big deal having him come over against the New World Order.
[00:53:04.529 --> 00:53:08.330]  We're very excited about having Chuck Norris on board.
[00:53:08.330 --> 00:53:15.311]  And of course I also woke up an even bigger Hollywood star.
[00:53:15.311 --> 00:53:17.752]  You do have the Savage clip?
[00:53:17.752 --> 00:53:17.952]  Really?
[00:53:17.952 --> 00:53:19.052]  How did you find it that fast?
[00:53:19.052 --> 00:53:22.513]  It's on YouTube?
[00:53:22.513 --> 00:53:23.293]  What's the name of the clip?
[00:53:29.352 --> 00:53:34.813]  He said, and so he went on, it's called, Michael Savage, New World Order, Agenda Exposed.
[00:53:34.813 --> 00:53:39.014]  You know what, we'll post that up on InfoWars, I'm not going to play his radio show here.
[00:53:39.014 --> 00:53:43.935]  It's fair use, but it gets into a gray area, I'm just not going to do it.
[00:53:43.935 --> 00:53:48.457]  Why don't you guys listen to it and write me just the quote about Reichstag, see if that's in there.
[00:53:48.457 --> 00:53:53.158]  Then I'll just, we can play like ten seconds of it, but I don't want to play a bunch of it.
[00:53:53.158 --> 00:53:56.939]  Let's go ahead and talk to Dan.
[00:53:56.939 --> 00:53:58.859]  Dan, you're on the air from Alaska.
[00:53:59.790 --> 00:54:00.350]  Hey, Alex.
[00:54:00.350 --> 00:54:02.031]  It's always a pleasure talking to you, my friend.
[00:54:02.031 --> 00:54:04.331]  Good to talk to you.
[00:54:04.331 --> 00:54:09.033]  The Obama deception was awesome, and I did what I told you I was going to do.
[00:54:09.033 --> 00:54:10.433]  I made 50 copies of it.
[00:54:10.433 --> 00:54:13.294]  I'm passing it out to everybody I know.
[00:54:13.294 --> 00:54:14.995]  I also did what I told you I was going to do.
[00:54:14.995 --> 00:54:21.677]  I got a transmitter on the way to me, so I can broadcast your voice to the local Anchorageites up here.
[00:54:21.677 --> 00:54:26.518]  Yeah, for those that don't know, we have a sponsor up on InfoWars.com, but I had them on separate from being a sponsor.
[00:54:27.159 --> 00:54:27.479]  Absolutely.
[00:54:27.479 --> 00:54:30.321]  I'll tell you what Alex, you have lit a fire inside of me I did not know I had.
[00:54:30.321 --> 00:54:32.102]  And I want to thank you for that.
[00:54:32.102 --> 00:54:34.803]  Another thing I want to bring to your attention is a
[00:54:56.748 --> 00:55:06.218]  There's a, if you Google states file sovereignty, the very first one that comes up is from PanamaLaw.org.
[00:55:06.218 --> 00:55:08.240]  It was written on February 18th.
[00:55:08.240 --> 00:55:15.187]  This is an actual law firm that has written a little article about the states filing sovereignty.
[00:55:15.187 --> 00:55:20.352]  Now in the article it only states, they only tell you about 20 states because at the time that was the number.
[00:55:21.187 --> 00:55:27.549]  And as we all know, it's grown to 32, but it is well written.
[00:55:27.549 --> 00:55:30.930]  You ought to have your boys back there behind the scenes check that out real quick.
[00:55:30.930 --> 00:55:32.991]  I think even you would like it.
[00:55:32.991 --> 00:55:36.032]  So, but I just wanted to let you know.
[00:55:36.032 --> 00:55:36.812]  Thank you very much.
[00:55:36.812 --> 00:55:37.832]  Good to hear from you, Dan.
[00:55:37.832 --> 00:55:40.553]  Let's go now to Brian in Berkeley.
[00:55:40.553 --> 00:55:43.434]  I would guess that means Central California.
[00:55:43.434 --> 00:55:44.214]  Hello, Brian.
[00:55:45.325 --> 00:55:49.829]  Oh, well hello Alex, and thank you very much for your service to this country.
[00:55:49.829 --> 00:55:52.271]  The Founding Fathers do smile upon you.
[00:55:52.271 --> 00:56:03.220]  Anyway, I wanted to bring to the attention of your audience, and to you yourself, about the Oscar Grant case, because you haven't really mentioned that too often, and
[00:56:04.020 --> 00:56:05.042]  I really fear that.
[00:56:05.042 --> 00:56:12.712]  I mean, of course, you know that the Marines, the foreign troops and the Oakland Police Department have trained together.
[00:56:12.712 --> 00:56:18.520]  I mean, you covered it in Police State 2000 about, you know, having a
[00:56:19.395 --> 00:56:47.405]  Yeah, Oscar Grant did nothing, and the officers shot him in the back on the platform of the train there in the Bay Area, and then the cop started kind of slapping him around after he shot him in the back, flipped him over, kind of roughed him up, and then they tried to seize everybody's cameras and claim he'd attacked the police, which wasn't true, and thank God people on a passing train, when it stopped, got good video of it to prove the murder, and it's
[00:56:48.686 --> 00:56:50.266]  Really a horrible case.
[00:56:50.266 --> 00:57:01.010]  Well, not only that, but there's been another video released with another police officer, Tony Perrone, the guy who put his knee on the neck of Officer Durant, punching him in the face.
[00:57:01.010 --> 00:57:03.070]  And no investigation, nothing from him.
[00:57:03.070 --> 00:57:05.871]  I mean, after you shoot someone in the back, you gotta beat him up a little.
[00:57:05.871 --> 00:57:10.852]  I mean, you know, that was an assault on an officer.
[00:57:10.852 --> 00:57:15.534]  When the officer shoots you, you need to be charged with assaulting them.
[00:57:15.534 --> 00:57:16.534]  That's how this works.
[00:57:17.818 --> 00:57:27.163]  Just like how my friend Davi Santos who bullhorned a crowd on January 7th where the riots happened and they charged him with two felony counts.
[00:57:27.163 --> 00:57:30.845]  This guy is 16 years old with inciting a riot and vandalism.
[00:57:30.845 --> 00:57:32.586]  And all he did was bullhorn a crowd.
[00:57:32.586 --> 00:57:35.468]  So you bullhorn, you use your free speech, you get charged with felony.
[00:57:36.189 --> 00:57:41.515]  Well, that's because the bankers rule America, and they've got to suppress the people.
[00:57:41.515 --> 00:57:46.981]  And they know that if we take the nation back, we're going to prosecute the bankers, as Ron Paul and others are calling for.
[00:57:46.981 --> 00:57:48.002]  And I appreciate your call.
[00:57:48.002 --> 00:57:54.529]  And yeah, since I've been calling for the arrest of the bankers, and lawfully, I want grand juries to indict them for the crimes they've committed.
[00:57:54.529 --> 00:57:56.051]  Congressman Ron Paul and others have agreed.
[00:57:56.051 --> 00:57:57.452]  Chuck Norris agreed on the show Friday.
[00:57:57.452 --> 00:57:58.193]  I guess he's evil now.
[00:57:59.254 --> 00:58:02.496]  Uh, we're getting all sorts of dirty tricks against us.
[00:58:02.496 --> 00:58:06.559]  Again, the Obama Deception is now available at PrisonPlanet.tv in super high quality.
[00:58:06.559 --> 00:58:07.820]  Download it.
[00:58:07.820 --> 00:58:08.841]  Burn it to disk.
[00:58:08.841 --> 00:58:11.202]  Take as many copies as you want to give out to folks.
[00:58:11.202 --> 00:58:15.565]  And you can also order the super high quality DVD at InfoWars.com and support the filmmaker.
[00:58:15.565 --> 00:58:20.509]  We're gonna come back with some quick comments on the film, some new developments there, and your calls after the news.
[00:58:20.509 --> 00:58:20.929]  Stay with us.
[00:58:22.625 --> 00:58:26.408]  The IRS is skimming the wealth of the American people for the Wall Street bankers.
[00:58:26.408 --> 00:58:30.410]  Taxpayers are being raked over the coals and forced to pay for bailout after bailout.
[00:58:30.410 --> 00:58:33.672]  First we went after the Fed, now we're going after the Internal Revenue Service.
[00:58:33.672 --> 00:58:36.374]  On April 15th, the Republic strikes back.
[00:58:36.374 --> 00:58:39.656]  Every zip code, every post office nationwide, one purpose.
[00:58:39.656 --> 00:58:40.897]  Show me the law.
[00:58:40.897 --> 00:58:44.099]  Visit showmethelaw.org and sign up today to get involved.
[00:58:44.099 --> 00:58:46.701]  Action groups are forming now at restoretherepublic.net.
[00:58:46.701 --> 00:58:50.323]  Join us in this national grassroots action to end the federal income tax.
[00:58:50.323 --> 00:58:52.485]  On April 15th, the Republic strikes back.
[00:58:52.765 --> 00:59:02.092]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, and carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:59:02.092 --> 00:59:02.892]  This capitalism?
[00:59:02.892 --> 00:59:09.157]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:59:09.157 --> 00:59:10.017]  Hi, Ted Anderson.
[00:59:10.017 --> 00:59:13.280]  I'm placing a silver dollar in a book explains our monetary system.
[00:59:13.280 --> 00:59:14.080]  Call for your copy 800-686-2237.
[00:59:14.080 --> 00:59:15.481]  It's time to understand the system.
[00:59:15.481 --> 00:59:15.821]  Call 800-686-2237.
[00:59:15.821 --> 00:59:16.082]  That's 800-686-2237.
[00:59:22.906 --> 00:59:33.478]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:59:33.478 --> 00:59:34.900]  Garden in a Can.
[00:59:34.900 --> 00:59:39.044]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:59:39.044 --> 00:59:41.066]  Garden in a Can is ready when you are.
[00:59:41.066 --> 00:59:43.349]  Plant them now or store them for when you really need them.
[00:59:43.809 --> 00:59:52.818]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:59:53.490 --> 00:59:54.891]  Garden in a Can.
[00:59:54.891 --> 00:59:56.111]  It's that simple.
[00:59:56.111 --> 00:59:58.493]  Fresh, healthy, easy.
[00:59:58.493 --> 01:00:02.835]  Only $69.95 for over a half acre of safe fresh vegetables.
[01:00:02.835 --> 01:00:04.416]  Ready when you are.
[01:00:04.416 --> 01:00:08.498]  Stop procrastinating and start preparing with Garden in a Can.
[01:00:08.498 --> 01:00:11.979]  For more details visit GardenInACan.com today.
[01:00:11.979 --> 01:00:14.561]  That's GardenInACan.com or call 866-598-7396 866-598-7396
[01:00:22.421 --> 01:00:26.884]  Some school years may be extended by as much.
[01:00:26.884 --> 01:00:30.606]  You're listening to GCN.
[01:00:30.606 --> 01:00:35.889]  And on NewsRadio 590, KOBJ Austin.
[01:00:35.889 --> 01:00:40.391]  Hi RNUSA Radio News, I'm Jody Jordan.
[01:00:40.391 --> 01:00:50.377]  With interest rates sitting at a record low and the economy still reeling from the financial fallout, analysts aren't expecting any changes to come after the Federal Reserve policymakers meet this week.
[01:00:51.235 --> 01:01:03.322]  President Obama says the notion that the US and Europe are taking sides with America pushing for more stimulus spending and European nations favoring tighter regulation of the financial industry is a phony debate.
[01:01:03.322 --> 01:01:11.407]  In my mind at least, there is no conflict or contradiction between the positions of the G20 countries and how we're going to be moving forward.
[01:01:11.407 --> 01:01:13.008]  There's going to be differences in details.
[01:01:13.812 --> 01:01:15.374]  Those are being worked out right now.
[01:01:15.374 --> 01:01:17.215]  I expect to have a productive meeting.
[01:01:17.215 --> 01:01:24.061]  And Christina Romer, one of President Barack Obama's top economic advisors, tells NBC that while the U.S.
[01:01:24.061 --> 01:01:29.907]  is temporarily in a financial mess, the economy is fundamentally sound.
[01:01:29.907 --> 01:01:32.109]  This is IRN USA Radio News.
[01:01:34.585 --> 01:01:37.967]  Men and women, if you've got 10 to 30 pounds or more to lose, please listen carefully.
[01:01:37.967 --> 01:01:39.548]  Guys, many of us tend to overeat.
[01:01:39.548 --> 01:01:41.969]  We eat too much red meat, fast foods, and processed foods.
[01:01:41.969 --> 01:01:44.591]  This keeps the belly flabby and keeps our bodies overweight.
[01:01:44.591 --> 01:01:46.692]  Ladies, have you ever said, I feel fat today?
[01:01:46.692 --> 01:01:48.013]  Or do you have this bloated feeling?
[01:01:48.013 --> 01:01:51.294]  And how many of you have been trying to lose the same 10 to 20 pounds for years?
[01:01:51.294 --> 01:01:53.996]  There's a healthy and faster way to lose weight than any diet pill.
[01:01:54.276 --> 01:02:03.964]  It's called EverCleanse, a clinically proven weight loss and detox formula that helps you lose weight and get rid of the 5 to 25 pounds of waste that some experts say is trapped to the colon walls like spackle or paste.
[01:02:03.964 --> 01:02:06.326]  Two weeks of EverCleanse may be equal to months of dieting.
[01:02:06.326 --> 01:02:07.186]  It's simple too.
[01:02:07.186 --> 01:02:09.468]  Natural, tasteless crystals that dissolve in any food or beverage.
[01:02:09.688 --> 01:02:14.552]  EverCleanse will flatten out your midsection, reduce love handles, and bellies and bloating have been disappearing in just days.
[01:02:14.552 --> 01:02:19.075]  You see, EverCleanse gets rid of the weight you can't take off by exercising or starving yourself on a diet.
[01:02:19.075 --> 01:02:21.177]  And it's not something you have to take for the rest of your life.
[01:02:21.177 --> 01:02:23.058]  Call now to receive a very special offer.
[01:02:23.058 --> 01:02:23.418]  Call 800-567-5598.
[01:02:23.418 --> 01:02:24.099]  Ask about a free supply.
[01:02:24.099 --> 01:02:24.199]  800-567-5598.
[01:02:24.199 --> 01:02:24.439]  That's 800-567-5598.
[01:02:34.173 --> 01:02:41.200]  The president's chief economic advisor says the bonus payments given out to the American International Group are outrageous.
[01:02:41.200 --> 01:02:51.609]  This whole area is something we're going to have to look at as we think about regulation in the future because no one can be satisfied with what's happened.
[01:02:51.609 --> 01:02:56.914]  Lawrence Summers told ABC that the troubled insurance giant got more than $170 billion in bailout money.
[01:02:59.392 --> 01:03:04.153]  And the weather is looking good for tonight's rescheduled launch of the Space Shuttle Discovery.
[01:03:04.153 --> 01:03:09.374]  Repairs have been made after a hydrogen gas leak scrapped liftoff plans Wednesday.
[01:03:09.374 --> 01:03:14.295]  The delay has shortened the mission by at least a day, increasing pressure for today's departure.
[01:03:14.295 --> 01:03:15.896]  This is NASA's George Stiller.
[01:03:15.896 --> 01:03:22.397]  Right now we are well past the point where our leakage problem developed on our first launch attempt.
[01:03:23.426 --> 01:03:27.548]  And we are not seeing any indications of leakage at all.
[01:03:27.548 --> 01:03:33.731]  For the latest news and analysis, log on to IRNUSANews.com.
[01:03:33.731 --> 01:03:38.573]  With a word about Israel, here's best-selling author and Bible teacher, Kay Arthur.
[01:03:38.573 --> 01:03:41.375]  If you could only visit one country...
[01:03:42.416 --> 01:03:46.843]  One nation on the face of this earth, it should be Israel.
[01:03:46.843 --> 01:03:49.867]  Because then, you'll never be the same.
[01:03:49.867 --> 01:03:53.291]  To start planning your trip to Israel today, call 1-888-77-ISRAEL or visit www.goisrael.com.
[01:04:06.116 --> 01:04:13.722]  Sounds from Sunday services that resumed today at an Illinois church, one week after the senior pastor was gunned down.
[01:04:13.722 --> 01:04:18.605]  A minister from Texas talked to the congregation and spoke from his own experience.
[01:04:18.605 --> 01:04:25.170]  A decade ago, a gunman entered his Fort Worth church and killed seven people before committing suicide.
[01:04:25.170 --> 01:04:31.415]  OPEC oil ministers say they'll continue current output levels, but try to end overproduction by some cartel members.
[01:04:32.091 --> 01:04:36.613]  Today's decision means there'll be no cutbacks from December production levels.
[01:04:36.613 --> 01:04:40.054]  Abdallah Saleem al-Badri is the OPEC Secretary General.
[01:04:40.054 --> 01:04:48.396]  Taking into consideration what's going on in the world economy, everything we try to talk about, everything is negative, you know.
[01:04:48.396 --> 01:04:50.897]  Every day we're receiving negative information.
[01:04:50.897 --> 01:04:54.338]  So we just try to balance the situation out.
[01:04:54.338 --> 01:04:59.140]  And Israel is setting a deadline for a prisoner exchange with the Hamas rulers of Gaza.
[01:04:59.838 --> 01:05:00.958]  Here's Mark Levy.
[01:05:00.958 --> 01:05:08.320]  The clock is ticking down on a deal for release of an Israeli soldier held nearly three years by Hamas-linked militants in Gaza.
[01:05:08.320 --> 01:05:10.881]  Israel has set a special cabinet meeting for tomorrow.
[01:05:10.881 --> 01:05:15.182]  If there's no deal today, the prisoner issue will be turned over to the next government.
[01:05:15.182 --> 01:05:20.964]  The current government appears willing to free most of the prisoners Hamas is demanding, including convicted terrorists.
[01:05:20.964 --> 01:05:27.126]  But Benjamin Netanyahu, the incoming Israeli Prime Minister, takes a harder line against Hamas and Arabs in general.
[01:05:27.774 --> 01:05:28.954]  Mark Levy, Jerusalem.
[01:05:28.954 --> 01:05:32.655]  And I'm Jody Jordan for IRN USA Radio News.
[01:05:32.655 --> 01:05:38.016]  HempUSA.org is now offering free shipping worldwide to better serve our customers.
[01:05:38.016 --> 01:05:44.438]  Our goal is to get these fine hemp products to you in the least amount of time so you can enjoy what the powder seeds and oil can do for you.
[01:05:44.438 --> 01:05:46.958]  HempUSA.org has a warning that the U.S.
[01:05:46.958 --> 01:05:52.260]  food supplies are dangerously low and we urge you to protect your family with hemp storable foods today.
[01:05:52.260 --> 01:05:53.500]  Tomorrow may be too late.
[01:05:53.680 --> 01:05:58.182]  Call 908-691-2608 or visit hempusa.org.
[01:05:58.182 --> 01:06:11.066]  This incredible food source is loaded with enzymes so your body can digest the food you eat, and it creates an alkaline environment where cancer can't grow and parasites cannot live, and brings funguses, viruses, and bacterial levels down and to a halt.
[01:06:11.066 --> 01:06:12.907]  Try our powder seeds and oil today.
[01:06:12.907 --> 01:06:17.229]  Call 908-691-2608 or visit hempusa.org.
[01:06:17.229 --> 01:06:20.210]  If the body has the proper nutrition, it will heal itself.
[01:06:20.210 --> 01:06:20.770]  Ask yourself,
[01:06:21.070 --> 01:06:24.292]  Why does our government not allow this crop to grow in the US?
[01:06:24.292 --> 01:06:26.813]  This product is also great for pets and animals.
[01:06:26.813 --> 01:06:31.796]  Call 908-691-2608 or go to hempusa.org today.
[01:06:31.796 --> 01:06:33.617]  He stands for truth.
[01:06:33.617 --> 01:06:35.218]  He stands for justice.
[01:06:35.218 --> 01:06:37.659]  He stands for what's right.
[01:06:50.533 --> 01:06:54.754]  We've got a big second hour, final hour lined up for you and lots of your calls.
[01:06:54.754 --> 01:07:00.176]  Let me hit some of the news that's coming up and we'll go right back to your calls.
[01:07:00.176 --> 01:07:06.037]  I was digging through a bunch of stuff we got out of storage.
[01:07:21.089 --> 01:07:23.310]  I always had too small of an office, so I had a bunch of storage buildings.
[01:07:23.310 --> 01:07:29.793]  We were moving some of them to the office, and I was looking at some of the first tapes of myself when I started out on AXS TV.
[01:07:29.793 --> 01:07:32.995]  And I saw the dates on them, so it's now been 14 years.
[01:07:32.995 --> 01:07:35.096]  I hadn't really thought about it.
[01:07:35.096 --> 01:07:37.497]  14 years I've been on air, looking at those dates.
[01:07:37.497 --> 01:07:39.138]  14 plus years.
[01:07:39.138 --> 01:07:43.841]  And, you know, everything I've always covered has been government documents.
[01:07:43.841 --> 01:07:46.342]  I found out in 1997 that Delta Force in Houston
[01:07:49.426 --> 01:07:49.826]  I think?
[01:08:15.652 --> 01:08:16.653]  Is paying people off!
[01:08:16.653 --> 01:08:22.455]  So I went and interviewed Thomas Sanchez at Emergency Management Kingsville and Chief of Police San Antonio, L.A.
[01:08:22.455 --> 01:08:22.856]  Philippus.
[01:08:22.856 --> 01:08:29.999]  I mean, I got in the car and drove down and interviewed him, put him on a local TV show and then on the radio show and people would call in and say, you've made this up.
[01:08:29.999 --> 01:08:31.760]  The military's not sneaking around paying people off.
[01:08:31.760 --> 01:08:33.481]  And I'd say, well, here's the Associated Press.
[01:08:33.481 --> 01:08:34.321]  Here's the interview.
[01:08:34.321 --> 01:08:35.602]  Let me play the audio of the police chief.
[01:08:35.602 --> 01:08:38.623]  They'd say, oh, it's not real.
[01:08:38.623 --> 01:08:42.525]  And now the New Yorker magazine has broken a bunch of news concerning this.
[01:08:42.525 --> 01:08:44.086]  So I want to go over that after we take some calls.
[01:08:45.899 --> 01:08:51.761]  But on every issue I cover, most of it is in government documents or legislation or even mainstream news.
[01:08:51.761 --> 01:08:53.362]  It just doesn't get any attention.
[01:08:53.362 --> 01:08:56.403]  We try to give it attention and connect the dots.
[01:08:56.403 --> 01:09:09.288]  Now, in my film Terror Storm, a history of government sponsored terror put out in 2007, I go over many of the 200 plus declassified instances where the U.S.
[01:09:09.288 --> 01:09:15.611]  government admits, I mean this is congressional testimony, they admit it, that they blow up buildings, blow up school buses all over the world.
[01:09:16.038 --> 01:09:20.179]  Things that will upset people to blame it on their enemies.
[01:09:20.179 --> 01:09:24.160]  And then last year, WikiLeaks came out and Mainstream News reported on it.
[01:09:24.160 --> 01:09:37.243]  An army field manual we've read on air, where they teach army captains in black ops, in black operations, secret operations, one of their main tools is staged terror, false flag, and they teach them how to do that.
[01:09:37.243 --> 01:09:45.165]  A good Hollywood example of this, based on kind of a composite of some true stories, but it's based on true stories, but a fiction, The Quiet American.
[01:09:46.099 --> 01:09:55.427]  By Graham Greene, where the CIA guy is, you know, the CIA in Southern Vietnam is staging terror attacks to blame it on the Communists.
[01:09:55.427 --> 01:10:02.473]  And the Pentagon's argument is, well, you know, the Russians, they staged terror attacks to blame it on us, so we've got to do it too.
[01:10:02.473 --> 01:10:05.696]  And that's how you become totally evil.
[01:10:05.696 --> 01:10:09.419]  By saying, oh, I'll become my enemy to fight them.
[01:10:09.419 --> 01:10:12.682]  And so when I talk about this, I'm only covering what's admitted.
[01:10:12.682 --> 01:10:13.483]  Do you understand that?
[01:10:14.858 --> 01:10:18.079]  You understand there's Operation Northwoods to bomb U.S.
[01:10:18.079 --> 01:10:25.120]  ships, bomb D.C., hijack jets by remote control, commit sniper attacks all over the country and blame it on the Russians?
[01:10:25.120 --> 01:10:28.581]  ABC News, Baltimore Sun, just Google Operation Northwoods.
[01:10:28.581 --> 01:10:32.121]  I mean, all I'm covering is real stuff.
[01:10:32.121 --> 01:10:40.063]  Now, I did go on the air two months before 9-11 and I said they're going to stage terror attacks, probably on the World Trade Center.
[01:10:40.063 --> 01:10:41.983]  You can just Google Alex Jones predicts 9-11.
[01:10:41.983 --> 01:10:44.104]  You can hear the radio show and the TV show.
[01:10:44.104 --> 01:10:44.644]  You can watch it.
[01:10:45.686 --> 01:10:49.269]  There's millions of views on the web of it, on Google and YouTube and everywhere else.
[01:10:49.269 --> 01:11:01.657]  There's a new film out, the selection of South by Southwest, the documentary film of the year by the Independent Film Channel called New World Order, and they have the clips of me in there talking about that.
[01:11:01.657 --> 01:11:08.222]  Well, I went on air a couple months ago and I said Obama's agenda is going to stall, even before he was sworn in, but when he was elect.
[01:11:08.222 --> 01:11:15.167]  And I said, people are going to find out this guy's a globalist, and I'm going to tell you right now, the way they're setting up the military to police America, the way this has all been geared up under
[01:11:16.295 --> 01:11:18.597]  The last four or five administrations, it's all coming to a head.
