[00:00:00.734 --> 00:00:04.076]  It's already Thursday, the 16th day of July 2009.
[00:58:50.431 --> 00:58:52.892]  It's time for you to look outside the box and change
[00:58:52.892 --> 00:58:53.252]  We're good to go.
[00:59:19.381 --> 00:59:21.582]  Here's what you do to get here's what you do.
[00:59:21.903 --> 00:59:23.864]  Visit here's what you do dot net.
[00:59:24.064 --> 00:59:26.045]  That's here's what you do dot net.
[00:59:26.245 --> 00:59:28.026]  Here's what you do dot net.
[00:59:28.246 --> 00:59:30.308]  And start changing your life today.
[00:59:36.849 --> 00:59:41.031]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:59:41.692 --> 00:59:42.512]  You want answers?
[00:59:43.272 --> 00:59:44.153]  Well, so does he.
[00:59:44.613 --> 00:59:48.455]  He's Alex Jones on the GCN Radio Network.
[00:59:49.016 --> 00:59:53.138]  And now, live from Austin, Texas, Alex Jones.
[00:59:54.138 --> 01:00:02.543]  Well, joining us from the United Kingdom are Rima Labo, Medical Doctor, Albert Installment III, General,
[01:00:04.188 --> 01:00:05.349]  Both of their bios are amazing.
[01:00:05.369 --> 01:00:06.269]  We've got 51 minutes with them.
[01:00:06.289 --> 01:00:18.275]  We're talking about the forced inoculation plans worldwide, level 6, what's really in the triple jab, the right of self-shielding, what that means, the new developments with the U.S.
[01:00:19.515 --> 01:00:28.479]  head science czar writing an internal government textbook, 1,100 pages, on how to carry out a world government eugenics extermination plan.
[01:00:28.760 --> 01:00:31.421]  This is confirmation of everything we've reverse-engineered.
[01:00:33.183 --> 01:00:34.045]  State Department memorandum 200.
[01:00:34.346 --> 01:00:37.553]  United Nations Biological Diversity Assessment 96.
[01:00:38.935 --> 01:00:40.459]  We have all the pieces.
[01:00:40.519 --> 01:00:42.583]  It's all stated, but this is all in one place.
[01:00:44.361 --> 01:00:50.244]  And it's just devastating because, you know, even though I know all this stuff, you don't want to believe they're actually doing it.
[01:00:50.304 --> 01:00:56.927]  Forced drugging, forced sterilization, forced abortion, drugs in the water, the food, genetically engineered to sterilize mammals.
[01:00:57.227 --> 01:00:57.787]  It's coming up.
[01:00:58.147 --> 01:01:01.429]  Major General Albert Burt Stubblebine, the third U.S.
[01:01:01.469 --> 01:01:03.310]  Army retired, graduate of U.S.
[01:01:03.690 --> 01:01:05.211]  Military Academy, West Point, class of 52.
[01:01:06.311 --> 01:01:08.172]  Who enjoyed a stinger 32-year career in U.S.
[01:01:08.272 --> 01:01:10.113]  Army during which he commanded soldiers at every level.
[01:01:10.454 --> 01:01:16.317]  After his retirement, he served as VP for Intelligence Systems with BDM, a major defense contractor.
[01:01:16.577 --> 01:01:19.759]  He's also taken a set of experiences and become involved in
[01:01:21.175 --> 01:01:26.418]  Leading Edge Medical Research and Development in collaboration with his wife, Rima E. Labo, MD.
[01:01:26.458 --> 01:01:32.121]  He is a long-term, way-out-of-the-box thinker who redesigned the U.S.
[01:01:32.201 --> 01:01:36.284]  Army's intelligence architecture while serving as the Commanding General of the U.S.
[01:01:36.344 --> 01:01:39.706]  Army Intelligence School and Center, and helped to define the requirements of the U.S.
[01:01:39.806 --> 01:01:40.006]  Army.
[01:01:40.526 --> 01:01:41.066]  That is correct.
[01:02:08.706 --> 01:02:12.410]  Okay, we're going to go to you in a second, sir, and we appreciate you joining us on the interview today.
[01:02:12.450 --> 01:02:22.521]  Let's go to your wife, the medical doctor first, in light of, give us your perspective, and then I want to get the General's perspective, on the Mass Eugenics Plan.
[01:02:22.581 --> 01:02:23.923]  We have right of self-defense.
[01:02:24.423 --> 01:02:29.665]  This is a government-level PhD textbook for government leaders, for policy.
[01:02:29.945 --> 01:02:31.426]  I've now read over 400 pages of the 1100.
[01:02:32.367 --> 01:02:33.167]  Total nightmare.
[01:02:33.227 --> 01:02:36.148]  Doctor, this is exactly what you've been saying for decades.
[01:02:36.708 --> 01:02:44.832]  Break down what this new development means, then we'll get the General's take, and then we'll expand out into what this flu vaccination means.
[01:02:46.173 --> 01:02:51.515]  I'm happy to do that, Alex, and I want you to know that both the General and I are
[01:02:52.222 --> 01:02:56.864]  Happy and privileged to have the opportunity to talk to you and your listeners about this.
[01:02:57.184 --> 01:03:01.666]  This is a critical time and the first thing I want to do is start at the very end.
[01:03:02.086 --> 01:03:13.671]  The very end is unless you, listeners, take action now, you will be faced with involuntary detention
[01:03:14.532 --> 01:03:14.672]  Okay.
[01:03:31.516 --> 01:03:43.518]  No recourse, no legal recourse, and you will have no financial recourse because vaccine makers are protected by the Fraud and Death Administration and by the spineless, worthless Congress of the United States.
[01:03:43.558 --> 01:03:46.799]  And if you'd like, later, Alex, I'll tell you how I feel about the Congress.
[01:03:47.559 --> 01:03:51.600]  Anyway, the point is that you have a moment now.
[01:03:52.320 --> 01:03:56.561]  If you go to our website, which is healthfreedomusa.org.
[01:03:59.522 --> 01:04:00.602]  We're good to go.
[01:04:24.679 --> 01:04:29.444]  For the quarantine period and self-shield.
[01:04:29.944 --> 01:04:44.578]  Now, the best friend that Health Freedom has in the United States Congress is willing to take this onto the floor and create a bill and introduce a bill if there is enough support from all of us.
[01:04:45.069 --> 01:04:55.397]  So if ever you valued your freedom, if ever you valued your right to make your own health decisions, and if ever you distrusted the government, now is the time.
[01:04:55.457 --> 01:05:01.502]  Go to healthfreedomusa.org and click on the top action item.
[01:05:01.802 --> 01:05:08.728]  Because if you don't, you will be either mandatorily vaccinated or you will be incarcerated.
[01:05:08.808 --> 01:05:12.491]  And now to answer your question, Alex, because that's the bottom line,
[01:05:13.226 --> 01:05:31.594]  The answer is yes, the vaccine against this genetically engineered, weaponized H1N1 virus, which we are now being told, golly gee willikers, this resembles the 1918 swine flu pandemic virus.
[01:05:31.654 --> 01:05:41.779]  Well yes, of course it does, because the genes were introduced intentionally into this new virus when they fizzled after being introduced into the avian flu virus.
[01:05:42.279 --> 01:05:50.046]  So, now the vaccine will be a deadly, quote, remedy to get rid of a large number of us.
[01:05:50.146 --> 01:06:04.239]  And we're going, if we're sheeple, we're going to line up, roll up our sleeves, present our children for vaccination the way 40 million Americans did in 10 weeks during the swine flu debacle in 1976.
[01:06:07.569 --> 01:06:33.618]  Only this time they won't stop it after 10 weeks, because the intention, we firmly believe, based on Holder's document and on other information that we've been amassing for years, and we've been talking about you, and the General and I have had the chance to talk about it on this show and on others, and we've been writing about it for years, that you have, this time, the intention is to get rid of us.
[01:06:34.178 --> 01:06:35.098]  Profitably.
[01:06:35.599 --> 01:06:36.899]  The amount of money
[01:06:37.475 --> 01:06:47.725]  That is being poured into the coffers of the World Pharmaceutical Company is absolutely unholy, as is the intent.
[01:06:48.065 --> 01:07:03.179]  In fact, today, the World Health Organization put out, I'm sorry, yesterday, World Health Organization put out a press release saying that what we need for this and the coming pandemic, because remember Alex,
[01:07:03.837 --> 01:07:07.705]  This vaccine is not the last pandemic vaccine.
[01:07:07.745 --> 01:07:13.877]  It's the first of many, many, many, many horrors to come until they've gotten rid of all of us.
[01:07:14.554 --> 01:07:16.035]  This is what's needed.
[01:07:16.115 --> 01:07:17.896]  We need many new vaccines.
[01:07:17.936 --> 01:07:19.156]  We need new patents.
[01:07:19.236 --> 01:07:41.787]  We need new drugs because... Well, if you look how they ramp it up, they admittedly are testing global level six with all the major nation states under the direction of the World Health Organization, this global directorate, and so it's kind of like a Jim Jones Kool-Aid drinking drill where they drill following orders and taking the poison and they admit... Well, I mean, you've looked at this, Doctor, and I want to get General Stubblebine's take on it.
[01:07:42.207 --> 01:07:43.288]  What is the history
[01:07:44.189 --> 01:07:46.091]  Actually, I believe the trials were done by Novartis.
[01:08:05.889 --> 01:08:23.097]  And I believe that they were in conjunction with Sinophia Ventis, the good people who manufactured an avian flu vaccine, which the United States bought a hundred million doses of in their first order, totally untested, untried, but approved by the FDA.
[01:08:23.277 --> 01:08:23.957]  Well, that's the thing.
[01:08:23.977 --> 01:08:27.458]  They're on our news here in Austin saying everybody's got to take the shot, get ready.
[01:08:27.478 --> 01:08:31.339]  They're on the news saying it will be mandatory coming up in the fall.
[01:08:31.399 --> 01:08:32.599]  It will be a pandemic.
[01:08:32.959 --> 01:08:34.239]  It will be mass death.
[01:08:34.599 --> 01:08:40.261]  And then people are lining up and they're saying, oh, we don't even know if this is the right thing and just taking the shot.
[01:08:40.461 --> 01:08:47.542]  What do we know from past operations, Dr. Labo and then General Stubblebine, about what they're putting in these vaccines?
[01:08:47.962 --> 01:08:49.342]  Well, they're putting adjuvants.
[01:08:49.723 --> 01:08:50.683]  Adjuvants are
[01:08:52.216 --> 01:08:52.717]  I think so.
[01:09:08.214 --> 01:09:08.594]  I don't
[01:09:29.166 --> 01:09:43.252]  And then this, according to other doctors we've had on, accelerates the allergies, the sicknesses, the cancers, and then makes your immune system go haywire.
[01:09:43.272 --> 01:09:44.213]  I want to talk about that more.
[01:09:44.473 --> 01:09:45.473]  We're about to go to break.
[01:09:45.893 --> 01:09:55.718]  But General Stubblebine, you were just on six, seven months ago before this whole flu thing came up, and you guys were talking about when they try to launch a pandemic, don't take the shot.
[01:09:57.017 --> 01:09:58.678]  What does this look like to you?
[01:09:59.579 --> 01:10:00.680]  Well, it's very clear.
[01:10:00.700 --> 01:10:10.188]  You know, what Dr. Riva and I have been doing, Alex, has been watching very carefully a whole lot of information.
[01:10:10.628 --> 01:10:11.789]  And I call them dots.
[01:10:11.889 --> 01:10:13.731]  They're tidbits of information.
[01:10:14.151 --> 01:10:22.178]  But it's part of the way I have been trained from the intelligence world, or in the intelligence world, of how you put the picture together.
[01:10:22.558 --> 01:10:25.661]  And what you do is you take little bits of information,
[01:10:26.901 --> 01:10:37.347]  For instance, 11 people died instantaneously in a trial in Poland, and then 22 more died later from the same vaccine that you're about to take.
[01:10:38.067 --> 01:10:51.494]  And then you take the information about Baxter, which contaminated the vaccines for 22 different countries, or 18 different countries in Europe.
[01:10:52.314 --> 01:10:57.721]  You put all of these various dots together like that, and what you end up with is a picture.
[01:10:58.201 --> 01:11:11.717]  Suddenly the picture flies into your face, and you say, holy smokes, now I take this to the people who are called operational folks, because they're the people that do the planning of what you do about it.
[01:11:12.469 --> 01:11:22.679]  So, the intelligence piece of all of this has been creating this enormous picture that you now have seen the documentation for.
[01:11:22.699 --> 01:11:23.480]  Stay there.
[01:11:23.940 --> 01:11:24.821]  We gotta break, General.
[01:11:24.841 --> 01:11:26.162]  Please come right back with this.
[01:11:26.603 --> 01:11:28.364]  And we'll get the doctor's comments on this.
[01:11:29.045 --> 01:11:29.546]  Absolutely.
[01:11:29.566 --> 01:11:31.708]  We now have the full textbook on how they're gonna kill us.
[01:11:32.108 --> 01:11:38.930]  Finally in the news this evening, it's being reported that cyber spies from Russia and China have now penetrated our power grid.
[01:11:39.230 --> 01:11:55.195]  Even as energy experts are reporting that each summer we get closer and closer to the limits of our nation's power grid, some say that this summer's demand for electrical power may finally push the grid over its edge, creating a cascade of power outages across the country, putting us all in the dark.
[01:11:55.435 --> 01:12:00.577]  Are you prepared for the next round of storm-related outages or government-created blackouts?
[01:12:00.797 --> 01:12:07.084]  Have you ever thought about taking steps to get off the grid and generate your own private supply of electrical power?
[01:12:07.324 --> 01:12:10.968]  If so, this will be the most important information you have ever heard.
[01:12:11.228 --> 01:12:13.811]  Solar powered generators are finally available.
[01:12:13.911 --> 01:12:19.277]  They have no moving parts to wear out or break and require absolutely no gas whatsoever.
[01:12:19.577 --> 01:12:22.179]  Remember, the government doesn't own the sun.
[01:12:22.259 --> 01:12:24.461]  So go to MySolarBackup.com.
[01:12:24.481 --> 01:12:26.943]  That's MySolarBackup.com.
[01:12:26.983 --> 01:12:31.267]  Check out MySolarBackup.com before you lose your power.
[01:12:32.384 --> 01:12:37.689]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:12:38.189 --> 01:12:45.176]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[01:12:45.776 --> 01:12:51.942]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:12:52.342 --> 01:12:54.183]  Well, Obama's already fudging.
[01:12:54.323 --> 01:12:56.744]  He's fudged since day one in this election.
[01:12:56.825 --> 01:13:07.750]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:13:08.411 --> 01:13:09.691]  It's not about left or right.
[01:13:10.072 --> 01:13:11.452]  It's about a one-world government.
[01:13:11.933 --> 01:13:18.176]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:13:18.832 --> 01:13:26.604]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:13:27.105 --> 01:13:28.267]  The Obama Deception.
[01:13:28.688 --> 01:13:29.869]  The people strike back!
[01:13:31.570 --> 01:13:31.910]  Good day.
[01:13:32.110 --> 01:13:33.532]  Jim Newcomer from Midas Resources.
[01:13:33.712 --> 01:13:33.952]  July 16, 2009.
[01:13:34.012 --> 01:13:35.013]  Gold opened this morning at $940.
[01:13:35.053 --> 01:13:37.655]  A one-ounce gold coin can be purchased for $966.96, $4348 for a half-ounce, or $241.74 for the quarter-ounce.
[01:13:37.675 --> 01:13:38.255]  That's $966.96, $483.48, or $241.74.
[01:13:49.284 --> 01:13:53.086]  Bailout equals market distortions, increased money supply while productivity is going down.
[01:13:53.246 --> 01:13:57.288]  Wall Street is receiving injections of liquidity while smaller companies are forced to concede.
[01:13:57.468 --> 01:14:01.950]  Companies too big to fail are now using the tax dollars to increase market share, paying fat dividends.
[01:14:02.110 --> 01:14:07.512]  Are you wondering why supplies of gold and silver coins are decreasing rapidly, leaving the public scrambling to accumulate what's left?
[01:14:07.652 --> 01:14:10.814]  Fiat currency's value is based on trust, fiscal responsibility.
[01:14:10.914 --> 01:14:15.716]  Is Congress and the White House acting responsibly, earning your trust, or is it time to ensure your hard-earned wealth?
[01:14:15.816 --> 01:14:18.958]  Midas Resources offers economic insurance, gold and silver coins, 800-686-2237.
[01:14:19.058 --> 01:14:23.721]  Do you believe that more bailout will solve our economic problems?
[01:14:23.781 --> 01:14:25.583]  Or would you like to call Midas Resources at 1-800-686-2237?
[01:14:25.643 --> 01:14:26.923]  That's Midas Resources at 1-800-686-2237.
[01:14:46.216 --> 01:14:47.237]  Have a glass of water.
[01:14:47.757 --> 01:14:53.081]  Can you taste the harmful chlorine, fluoride, lead, pharmaceutical drugs, and numerous other chemicals?
[01:14:53.422 --> 01:14:54.202]  Of course you can't.
[01:14:54.482 --> 01:14:59.306]  The air that you breathe and the water you drink should help maintain good health, not take away from it.
[01:14:59.626 --> 01:15:07.852]  AirandAqua.com knows exactly what doesn't belong in our air and water, and they know exactly how to help you rid your home or office of these toxins.
[01:15:08.172 --> 01:15:19.958]  AirAndAqua.com carries whole house air and water purification systems, air conditioners, shower head filters, water testing kits, atmospheric water generators, humidifiers, dehumidifiers, and much more.
[01:15:20.138 --> 01:15:26.942]  To learn more and see the products that will change the way you look at our air and water, please visit AirAndAqua.com.
[01:15:27.062 --> 01:15:29.163]  That's AirAndAqua.com.
[01:15:29.263 --> 01:15:30.724]  Purify your life today!
[01:15:36.707 --> 01:15:57.761]  Obama's science advisor called for a planetary regime to enforce totalitarian population control, forced sterilization, forced abortion, euthanasia,
[01:16:07.179 --> 01:16:09.780]  Of course, drugging of the water supply, implantable chips.
[01:16:10.620 --> 01:16:14.061]  And this is Obama's science advisor, General Stubblebine.
[01:16:14.561 --> 01:16:15.621]  Intelligence expert.
[01:16:16.122 --> 01:16:18.962]  Continuing, you got interrupted by the satellite, break their head to take it.
[01:16:19.303 --> 01:16:21.023]  Continuing with the intelligence.
[01:16:21.043 --> 01:16:27.105]  You're saying, you can see the history of the vaccine, the history of what they've done over and over again, the fear-mongering.
[01:16:27.625 --> 01:16:30.426]  And so it's not the flu you worry about, it's the shot.
[01:16:30.486 --> 01:16:30.926]  Continue.
[01:16:31.533 --> 01:16:33.035]  That's absolutely correct.
[01:16:33.435 --> 01:16:41.383]  And as you begin to, as this picture suddenly pops into your face, Alex, you suddenly say, holy smokes!
[01:16:41.824 --> 01:16:43.005]  You know, I knew it was bad.
[01:16:43.025 --> 01:16:45.027]  I did not know it was that bad.
[01:16:45.507 --> 01:16:49.111]  Now, though, it's time to take action because you now know.
[01:16:49.411 --> 01:16:51.894]  And oh, by the way, the book that you've just gotten is
[01:16:53.035 --> 01:16:59.238]  Your confirmation that everything that we've been saying for months and months and months and months is absolutely true.
[01:16:59.738 --> 01:17:03.780]  And oh by the way, during those months and months and months, people were saying we're crazy.
[01:17:04.180 --> 01:17:04.660]  We're done.
[01:17:04.700 --> 01:17:05.201]  We're off the wall.
[01:17:05.261 --> 01:17:09.323]  And that we work for Big Pharma and that we're CIA agents, yadda yadda yadda yadda.
[01:17:09.603 --> 01:17:14.305]  The fact is they didn't want to hear what we were saying or they were on the other side.
[01:17:14.785 --> 01:17:15.425]  Ignore them.
[01:17:15.445 --> 01:17:16.886]  The facts are the facts.
[01:17:19.736 --> 01:17:21.097]  That's how COINTELPRO works.
[01:17:21.978 --> 01:17:23.579]  They can't believe we have a Ron Paul.
[01:17:23.619 --> 01:17:25.280]  They can't believe we have a General Stubblebine.
[01:17:25.540 --> 01:17:30.663]  They can't believe that there's good people from powerful positions that are stepping up.
[01:17:32.384 --> 01:17:33.805]  That's what COINTELPRO does.
[01:17:34.305 --> 01:17:36.347]  Regardless, we're putting out the facts.
[01:17:36.367 --> 01:17:37.507]  We're doing the best we can.
[01:17:37.747 --> 01:17:40.249]  People can listen or they can go ahead and take the shots.
[01:17:40.762 --> 01:17:48.965]  No, but at this stage of the game, they better goddamn listen, otherwise, excuse my language, but they better listen, otherwise, they're going to be in deep trouble!
[01:17:49.366 --> 01:17:58.590]  You have now seen, for a fact, I mean you've believed all along, Alex, now you understand exactly because you've seen the document!
[01:17:59.070 --> 01:18:02.451]  You've seen the blueprint for what all of this is about!
[01:18:02.771 --> 01:18:06.153]  Let me read to you the CDC assumptions.
[01:18:06.833 --> 01:18:09.195]  That they're basing their targeting on, okay?
[01:18:09.795 --> 01:18:14.118]  They say, one, severity of illness is unchanged from that which has already been observed.
[01:18:14.418 --> 01:18:23.683]  Well, they're also predicting, and this is just nonsense, they're also predicting that it's going to get a whole lot worse, which is why, after all, we need the vaccinations.
[01:18:23.863 --> 01:18:29.707]  Yeah, they're saying for sure, they know this, but with regular flu, they go, a million Americans have it, like we're all going to die.
[01:18:29.907 --> 01:18:32.169]  That just means we have the virus, no big deal.
[01:18:32.389 --> 01:18:34.870]  They're clearly engaged in lying and fear-mongering.
[01:18:35.090 --> 01:18:35.971]  The question is why?
[01:18:37.043 --> 01:18:55.412]  Well, the answer is very simple, because the WHO has said for decades, and the United States government has accepted for decades, that their first priority for a, quote, sustainable planet is the same as the Illuminati and Bilderberger agenda, which is massive depopulation.
[01:18:56.172 --> 01:18:57.353]  The Georgia Guidestones
[01:18:58.033 --> 01:18:59.154]  Pretty well say it all.
[01:18:59.194 --> 01:19:00.155]  I don't know who put them up.
[01:19:00.255 --> 01:19:01.436]  I don't know what their deal was.
[01:19:01.736 --> 01:19:07.361]  But they do want to reduce the population by a minimum of 80% and a maximum of 90%.
[01:19:08.081 --> 01:19:13.746]  That means 9 out of every 10 humans on the planet is slated to go.
[01:19:13.826 --> 01:19:19.651]  But as long as we're going, they say, why don't we just pump untold
[01:19:20.391 --> 01:19:30.815]  Amounts of the remaining money, such as it is, the worthless money that's been degraded by the, if you will, the economic pandemic that's been engineered.
[01:19:31.275 --> 01:19:42.599]  Why don't we just pump all the remaining money into their hands through the diseases that they will cause and through the unbelievable amount of money that these vaccines are generating?
[01:19:42.799 --> 01:19:44.560]  Well, Doctor, we've got a long segment coming up.
[01:19:44.580 --> 01:19:50.624]  This was the short one, so we've got plenty of time for both you and General Stubblebine to break this down and what you're recommending we do and how we get this to the floor.
[01:19:51.185 --> 01:19:59.410]  You know, to say, look, we're not going to take forced injections because under the executive order that they've activated, as you know, the public may not.
[01:19:59.430 --> 01:20:04.634]  They're now saying forced inoculations under level six, quarantining, lockdown, basically code red.
[01:20:04.854 --> 01:20:10.518]  But General, briefly, a lot of the experts I've talked to, but you've been the former head of major intelligence divisions of the Army,
[01:20:11.218 --> 01:20:13.819]  And really wrote the book on a lot of the systems we see today.
[01:20:14.479 --> 01:20:26.641]  Looking at this, most experts I talked to said they won't want to kill most people right away with the shot, that it'll have a bad effect on some and the soft kill will be an immediate kill with some, as we saw with trials in Poland and other areas.
[01:20:27.761 --> 01:20:37.803]  But a lot of experts are saying buy an airy weapon, for those that don't know, meaning this gives you half of it, they then trigger through water or air, something else later.
[01:20:39.042 --> 01:20:42.523]  You know, we know pieces of what are in the vaccine.
[01:20:42.884 --> 01:20:46.865]  We absolutely do not know the entire menu that's in that vaccine.
[01:20:47.446 --> 01:21:08.094]  One thing is for sure, you can rest assured since this vaccine is being put there on purpose to give you as an excuse to give you the shot, you know that what's going to be in there and what's going to be in your body is not going to fit your body very nicely.
[01:21:08.614 --> 01:21:09.014]  Stay there.
[01:21:09.094 --> 01:21:10.895]  Stay there, doctor.
[01:21:10.915 --> 01:21:11.355]  We got a break.
[01:21:11.395 --> 01:21:12.195]  Long segment coming up.
[01:21:12.235 --> 01:21:12.896]  General, stay there.
[01:21:13.716 --> 01:21:14.376]  Absolutely.
[01:21:14.896 --> 01:21:20.458]  And a lot of experts we've talked to, genetic engineers, say a lot of these cancer viruses they implant trigger later.
[01:21:22.159 --> 01:21:23.059]  We're on the march.
[01:21:23.559 --> 01:21:25.160]  The Empire's on the run.
[01:21:26.080 --> 01:21:28.761]  Alex Jones and the GCN Radio Network.
[01:21:31.564 --> 01:21:32.665]  This is Alex Jones.
[01:21:32.946 --> 01:21:34.728]  Have you heard of the Millionaire Patriot?
[01:21:34.948 --> 01:21:35.569]  Well, you should.
[01:21:35.589 --> 01:21:40.154]  He has a free handgun and five days of firearms training waiting for you.
[01:21:40.414 --> 01:21:40.895]  That's right.
[01:21:41.215 --> 01:21:49.685]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[01:21:49.885 --> 01:21:51.166]  All for pennies on the dollar.
[01:21:51.246 --> 01:21:52.388]  Plus, if you act fast.
[01:21:52.588 --> 01:21:58.210]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[01:21:58.571 --> 01:22:05.093]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[01:22:05.454 --> 01:22:10.636]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[01:22:10.976 --> 01:22:12.117]  This is real.
[01:22:12.438 --> 01:22:13.179]  Don't miss out.
[01:22:13.479 --> 01:22:21.868]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[01:22:22.068 --> 01:22:24.231]  Go to FrontSight.com today.
[01:22:24.431 --> 01:22:27.935]  That's F-R-O-N-T-S-I-G-H-T dot com.
[01:22:28.115 --> 01:22:31.039]  Go to FrontSight.com for your training and free gun.
[01:22:31.903 --> 01:22:33.485]  Hello friends, this is Alex Jones.
[01:22:33.605 --> 01:22:38.251]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:22:38.352 --> 01:22:41.095]  We need to be independent, and food and water is the key.
[01:22:41.295 --> 01:22:44.179]  You'll never have to stand in a bread line if you have your own bread.
[01:22:44.340 --> 01:22:49.086]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[01:22:49.286 --> 01:22:50.227]  If you simply prepare.
[01:22:50.407 --> 01:22:53.371]  No one is going to take care of your family in the final equation but you.
[01:22:53.671 --> 01:23:00.559]  You know efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:23:00.659 --> 01:23:03.782]  And they do it at almost half the cost of last year's grocery prices.
[01:23:03.942 --> 01:23:04.183]  Call 1-800-409-5633.
[01:23:04.203 --> 01:23:05.825]  Or on the web, go to efoodsdirect.com.
[01:23:09.068 --> 01:23:15.135]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[01:23:15.335 --> 01:23:19.080]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:23:19.100 --> 01:23:20.441]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[01:23:20.461 --> 01:23:21.042]  Take action today.
[01:23:21.082 --> 01:23:22.904]  The first step is getting storable food.
[01:23:31.854 --> 01:23:34.495]  You know that you can be tracked and traced when you're online?
[01:23:34.756 --> 01:23:42.640]  With identity theft and cybercrimes on the rise, your passwords, your identity, and even your physical location can be revealed to complete strangers.
[01:23:42.880 --> 01:23:46.562]  Would you like to surf the internet anonymously and not have to worry about these threats?
[01:23:46.822 --> 01:23:49.803]  Well, now you can by visiting patriotinternet.com.
[01:23:49.983 --> 01:23:54.866]  For about $2 per month, patriotinternet.com will conceal your IP address and your physical
[01:23:54.946 --> 01:23:55.866]  We're good to go.
[01:24:20.259 --> 01:24:20.660]  We're good.
[01:24:50.032 --> 01:24:55.958]  Ladies and gentlemen, this isn't a game or a joke that General Stubblebine was just saying.
[01:24:56.259 --> 01:25:02.164]  Okay, we've got General Stubblebine and his wife, Doctor...
[01:25:03.487 --> 01:25:05.369]  Rima Lebo, you've got the floor here.
[01:25:05.929 --> 01:25:08.771]  Continue breaking down then, because you got interrupted by some breaks.
[01:25:09.392 --> 01:25:13.876]  Start over, break down the intelligence we have on these vaccines, what we know.
[01:25:13.896 --> 01:25:20.681]  I mean, it's just like Gardasil at Middle East, killing a whole bunch of women and girls, having weird autoimmune diseases with the others.
[01:25:20.721 --> 01:25:24.584]  We're almost like Ebola, where blood's coming out of all these orifices.
[01:25:25.165 --> 01:25:28.348]  It's paralyzing people, and it's like they're testing soft kills.
[01:25:28.968 --> 01:25:31.990]  Testing the media's response, testing the public.
[01:25:32.010 --> 01:25:41.554]  I don't know what you'd call that, General, in a military fashion, but just like before they invaded Panama, they would have the helicopters land and do drills for six months to where they were acclimated.
[01:25:42.115 --> 01:25:47.377]  So they just acclimate us now to the ambient soft kill, silent weapons, quiet wars.
[01:25:47.397 --> 01:25:54.221]  Let's get the General's take on that and then the doctor breaking down what she sees happening here, how we get Congress to say no
[01:25:54.781 --> 01:25:56.843]  And to, like, override the executive order?
[01:25:56.863 --> 01:25:59.186]  Because they've now engaged Level 6.
[01:26:00.047 --> 01:26:01.368]  The question is, will they implement?
[01:26:01.648 --> 01:26:13.801]  So, General, what do you call this soft-kill system where they're increasing the deadliness of the vaccines, openly killing us, death to the left, death to the right, and everyone just marching and injecting their children?
[01:26:14.724 --> 01:26:26.647]  Well, I'm not sure that I know the military terminology for this kind of soft kill, but it's like guerrilla warfare because it's...
[01:26:27.839 --> 01:26:29.139]  Kind of behind the scenes.
[01:26:29.640 --> 01:26:30.180]  It's hidden.
[01:26:30.560 --> 01:26:38.461]  You know, if you're doing guerrilla warfare, you cannot go out into the middle of the street with your gun.
[01:26:38.962 --> 01:26:41.142]  You do it from an ambush position.
[01:26:41.562 --> 01:26:42.882]  So it's always hidden.
[01:26:43.302 --> 01:26:50.384]  Well, there's not any difference between what is happening now and guerrilla warfare against all populations.
[01:26:50.404 --> 01:26:53.185]  That's exactly what's happening, Alex.
[01:26:53.605 --> 01:26:54.085]  Go ahead.
[01:26:55.425 --> 01:27:02.407]  No, you can just see them rolling out the total PSYOP for a non-event flu and then now saying we're all basically dead in the fall.
[01:27:02.708 --> 01:27:09.050]  Take the shot with their history of radiating foster children, black men and syphilis, Project Shad.
[01:27:09.250 --> 01:27:12.311]  How would anyone in their right mind take anything they try to give us?
[01:27:12.571 --> 01:27:14.072]  They're not in their right mind, Alex.
[01:27:14.452 --> 01:27:19.614]  They've been propagandized, they've been fluoridated, they've been controlled.
