[00:00:00.049 --> 00:00:01.229]  Welcome ladies and gentlemen, welcome.
[01:30:34.225 --> 01:30:35.786]  It's so shameful.
[01:30:40.955 --> 01:30:44.497]  It's just so unacceptable on so many fronts.
[01:31:00.645 --> 01:31:03.547]  To do this, and like a true hero, you never talk about it.
[01:31:04.947 --> 01:31:10.110]  You know, all the stuff that was made up about you before, you were told, shut up, we're going to make up a bunch of crap, and they did.
[01:31:10.130 --> 01:31:16.453]  You know, in the nastiest way, and going after Cuban, now in the New York Times, the White House calling him.
[01:31:16.773 --> 01:31:29.660]  I mean, this is heavy gangsters you're going up against, and you've gone through all of this, and you've come out smelling like a rose, because the people know the media lies and spins, and what I want you to speak to next is,
[01:31:31.064 --> 01:31:38.768]  You put out the challenge to John McCain's daughter and all these people, and they're afraid to debate you.
[01:31:39.609 --> 01:31:43.651]  I haven't heard anything back thus far, and we issued the challenge when, Alex?
[01:31:44.611 --> 01:31:45.212]  Last Friday.
[01:31:45.612 --> 01:31:46.172]  Last Friday.
[01:31:46.452 --> 01:31:49.134]  Yeah, alright, so we'll give them a weekend, you know, they were busy, whatever.
[01:31:50.354 --> 01:31:55.557]  But, yeah, no, we haven't, my PR team has not received any calls.
[01:31:56.918 --> 01:31:58.059]  You haven't received any calls.
[01:31:58.099 --> 01:31:59.099]  I haven't received any calls.
[01:32:01.323 --> 01:32:08.784]  It just seems, uh, it seems, you know, very glaring, in my opinion, that, uh, what have they got to hide?
[01:32:08.844 --> 01:32:10.265]  What are they so afraid of?
[01:32:10.285 --> 01:32:20.847]  Let me just read one thing from the letter, Alex, that these, you know, these talking heads, these talking pinheads need to, uh, need to be made aware of.
[01:32:21.127 --> 01:32:28.788]  Um, please keep in mind, Mr. President, everything I'm about to say is documented as fact and part of the public record.
[01:32:29.383 --> 01:32:34.369]  The information you are holding in your hands chronicles and verifies each and every point.
[01:32:35.030 --> 01:32:45.964]  Now, would you and I have written a statement like that just prior to the briefing if we didn't feel it was absolutely bulletproof and stood completely on its own?
[01:32:47.159 --> 01:32:48.060]  No, we wouldn't have.
[01:32:48.280 --> 01:32:50.361]  And now that is in the White House hands.
[01:32:50.441 --> 01:32:51.202]  Gibbs has it.
[01:32:51.542 --> 01:32:52.503]  They've called you back.
[01:32:52.563 --> 01:32:53.343]  You've talked to them.
[01:32:53.403 --> 01:32:54.404]  We have their emails.
[01:32:54.804 --> 01:32:57.226]  We didn't publish their emails or phone calls back to you.
[01:32:57.266 --> 01:33:04.711]  We published your emails to them, you know, out of respect to privacy, even though it's a public office of the White House Press Secretary Gibbs.
[01:33:05.752 --> 01:33:09.574]  Here you are saying, I'd like to meet with you, with the 9-11 families.
[01:33:10.115 --> 01:33:11.916]  You're in contact with the 9-11 families.
[01:33:12.296 --> 01:33:15.779]  Here you are saying, I'd like to debate and
[01:33:16.716 --> 01:33:30.125]  On top of that, Larry King was hot to have you on, but he said, we've got to have somebody on the other side, and then Larry King called you up last week, and they said, look, we can find no one to debate Charlie Sheen.
[01:33:31.346 --> 01:33:31.966]  It's incredible.
[01:33:32.206 --> 01:33:38.490]  Which, yeah, which doesn't really support their whole argument, because I'm a complete nutbag.
[01:33:38.650 --> 01:33:42.673]  I'm crazy, quote, unquote.
[01:33:43.434 --> 01:33:45.455]  I have, what did Mustache call me?
[01:33:46.587 --> 01:33:49.928]  Mustache called me, he said I had a trick gene.
[01:33:50.669 --> 01:33:50.929]  Yes.
[01:33:51.449 --> 01:33:54.670]  Do we even, do we know what a trick gene is, Alex?
[01:33:55.170 --> 01:33:59.712]  I think you gotta have a trick gene to be able to grow a Stromboli mustache.
[01:34:01.953 --> 01:34:03.553]  Get your science team on that right away.
[01:34:03.573 --> 01:34:13.497]  So if Stromboli is going to attack me with a trick gene, shouldn't he be held responsible for at least explaining what that means?
[01:34:14.633 --> 01:34:17.595]  Well, that's... Or are we giving him too much airtime and too much credit?
[01:34:19.856 --> 01:34:28.740]  Well, you know, Geraldo Rivera is a joke in his own right and all he did was use lies, innuendos, say you were hurting the families.
[01:34:28.801 --> 01:34:29.361]  The families
[01:34:31.403 --> 01:34:32.363]  Almost to a person.
[01:34:32.744 --> 01:34:37.507]  The news says over 75% didn't like the commission and said it was a fraud and cover-up.
[01:34:38.208 --> 01:34:42.431]  There's all those famous photos and videos of them holding up signs saying cover-up.
[01:34:43.012 --> 01:34:51.098]  And they're up there knowing that's the case, lying and claiming they represent the families and then saying you're hurting the families.
[01:34:52.440 --> 01:34:57.564]  When it was Bush that blocked the families being able to sue Saudi Arabia for that connection.
[01:34:57.604 --> 01:34:59.725]  That brings me to another point you made off-air.
[01:35:01.046 --> 01:35:05.308]  And that's about Hollywood and their so-called anti-war stance.
[01:35:06.309 --> 01:35:19.495]  Yeah, it just seems a little hypocritical, in my book at least, that everybody is so outspoken against the war, but it seems like they're forgetting the reason that the war began.
[01:35:19.515 --> 01:35:25.738]  It seems like they're forgetting what had to take place prior to both wars being launched.
[01:35:27.142 --> 01:35:42.899]  So I don't feel, I'm not saying like I can't handle this out here on my own because I went into the fire and, you know, I'm ready to carry the flag, I'm ready to deliver the message, I'm ready to do whatever I have to do to keep the fight going, to keep this, you know, to keep focus on the issue.
[01:35:43.900 --> 01:35:48.465]  But I just, it might have been nice if somebody came forward and said, I got your back, bro, I got your back.
[01:35:49.881 --> 01:35:53.365]  You know, I guess everybody's too worried about the things they're worried about, and you know what?
[01:35:53.745 --> 01:35:57.650]  They're absolutely entitled to take that position.
[01:35:58.370 --> 01:36:04.717]  I'm not saying I respect it, I'm not saying I disrespect it, but to say I wasn't slightly disappointed would be a lie.
[01:36:06.345 --> 01:36:08.406]  Well, sometimes it takes time.
[01:36:08.486 --> 01:36:14.387]  I mean, you saw Jesse Ventura, Willie Nelson, a lot of other people go public after you went public.
[01:36:14.427 --> 01:36:14.547]  Sure.
[01:36:15.367 --> 01:36:19.088]  And we don't know that Hollywood people haven't made a statement to the media.
[01:36:19.408 --> 01:36:21.629]  The media is trying to clamp this down, Charlie.
[01:36:22.629 --> 01:36:22.949]  Yeah.
[01:36:23.429 --> 01:36:24.129]  Yeah, I guess you're right.
[01:36:24.489 --> 01:36:24.689]  Yeah.
[01:36:25.230 --> 01:36:31.291]  So I think there could have been those that came forward that just the message was not delivered, you know?
[01:36:33.459 --> 01:36:41.161]  Well, I happen to know for a fact that there are some other big Hollywood people who have made little statements here and there, but they haven't boldly come out on the radio.
[01:36:41.181 --> 01:36:43.542]  They haven't made a public statement to the President.
[01:36:44.062 --> 01:36:46.303]  And I think that's why you are a hero, Charlie.
[01:36:46.483 --> 01:36:47.203]  Well, thanks, Alex.
[01:36:47.243 --> 01:36:49.444]  I mean, I don't look at myself like that.
[01:36:49.504 --> 01:36:50.604]  Honestly, I don't.
[01:36:50.664 --> 01:36:56.305]  I'm not sitting back here, like, you know, studying Google and every single story.
[01:36:56.366 --> 01:36:58.866]  I'm not, you know, basking in what I've done.
[01:36:58.926 --> 01:37:01.487]  I just, you know, I feel like I have a responsibility.
[01:37:02.763 --> 01:37:16.509]  Um, to, you know, use my platform, use my position, use my voice, and represent those that don't have that platform, that don't have the ability to reach the amount of people that I do.
[01:37:16.869 --> 01:37:24.233]  And, you know, last time I checked, that was my God-given right in this country as a law-abiding, tax-paying American.
[01:37:24.353 --> 01:37:25.833]  Well, that's another issue.
[01:37:26.094 --> 01:37:26.894]  Last time I checked.
[01:37:27.654 --> 01:37:31.336]  But I guess, you know, the clock is ticking on that front as well.
[01:37:32.250 --> 01:37:48.535]  But wait a minute, Alex, let's talk for two seconds about the president finds the time to comment on this ridiculous Kanye West thing at a music award show, and then, you know, they have to call and apologize to the White House because of something set off the record.
[01:37:49.456 --> 01:38:01.820]  It's like a whole big thing, but he doesn't even acknowledge that this letter was presented, the video was produced and launched on YouTube that's blown up, you know, in the last
[01:38:02.216 --> 01:38:03.077]  Four or five days.
[01:38:03.717 --> 01:38:15.946]  He doesn't even have the decency, the compassion, the executive awareness to just make one comment about this, just so we know that he's read it, that he cares, that he doesn't care, something.
[01:38:16.347 --> 01:38:25.574]  Just let us know where you stand, Mr. President, because, you know, I didn't do this, I didn't do this just to, you know, suddenly put myself back in the news, you know?
[01:38:26.744 --> 01:38:32.606]  In fact, the media has reported one of the most private people in Hollywood turned down interviews constantly.
[01:38:33.486 --> 01:38:36.507]  I was talking to your publicist, Larry King, trying to get you every week.
[01:38:36.927 --> 01:38:38.467]  You've refused for year after year.
[01:38:38.887 --> 01:38:44.229]  You suddenly say, OK, I'm ready to come on and talk about 9-11, and you can have three people against me.
[01:38:44.649 --> 01:38:47.790]  And even three to one, they can't get them to come on.
[01:38:48.610 --> 01:38:48.850]  Exactly.
[01:38:48.910 --> 01:38:52.871]  I mean, I don't drink, but I don't see why he and I couldn't recreate the, you know,
[01:39:18.874 --> 01:39:21.956]  Rose Garden beer meeting, you know?
[01:39:23.697 --> 01:39:28.280]  Well, you could have a buckler, like one of the guys that doesn't drink did.
[01:39:29.241 --> 01:39:31.222]  Exactly.
[01:39:32.303 --> 01:39:37.226]  But again, you know, obviously at this point everybody knows that we're not hiding.
[01:39:37.386 --> 01:39:38.486]  We're here to make a statement.
[01:39:38.506 --> 01:39:47.212]  We're here to confront an issue and issues that have been ignored and steamrolled and completely
[01:39:48.723 --> 01:39:51.086]  Devastated for much too long.
[01:39:52.368 --> 01:39:53.709]  And it's time to be accountable.
[01:39:53.749 --> 01:39:54.610]  It's time to step up.
[01:39:54.650 --> 01:39:55.451]  It's time to step forward.
[01:39:55.491 --> 01:39:58.635]  It's time to put this thing back on the front burner.
[01:39:59.376 --> 01:40:02.700]  And it's time to demand the truth.
[01:40:03.701 --> 01:40:04.642]  That's what it's really about.
[01:40:04.963 --> 01:40:06.765]  It's really about right here, right now.
[01:40:06.965 --> 01:40:08.287]  What can we do right here, right now?
[01:40:08.956 --> 01:40:13.800]  Well, you and I have talked a lot about why you wanted to go public, and it's the same reason I go public.
[01:40:14.180 --> 01:40:17.763]  How do you know six of the ten commissioners say it's a fraud and a cover-up?
[01:40:18.103 --> 01:40:21.986]  How do you know the White House was involved covering it up?
[01:40:22.486 --> 01:40:29.792]  How do you know that FBI translators said the government was running al-Qaeda and bin Laden up until the day of the attack, 9-11?
[01:40:30.512 --> 01:40:35.136]  How do you know NORAD stood down and then just go, oh, I'm going to go on about my life
[01:40:36.256 --> 01:40:48.045]  They've staged Gulf of Tonkin, Cheney wanted to blow up our own ships, this whole history, and then we're supposed to just sit back and ignore it, and that's completely abnormal to be able just to ignore this.
[01:40:49.046 --> 01:40:49.386]  It is.
[01:40:49.866 --> 01:40:50.166]  It is.
[01:40:50.627 --> 01:40:57.972]  But unfortunately, they've created the illusion that there's no other option.
[01:40:58.713 --> 01:41:04.817]  That is the only way to behave, that is the only way to think, and anybody that dares defy that is labeled a nutjob.
[01:41:05.686 --> 01:41:13.529]  Charlie, when we come back, we've got a big announcement to make, and we've got a few other issues to cover in the time we have with you today.
[01:41:31.789 --> 01:41:33.609]  Just asking you live here on air.
[01:41:34.030 --> 01:41:44.632]  From my perspective, it's been a huge success with your video message, 20 Minutes of the President, published by hundreds of newspapers, links to it, some papers printed the whole thing, some your 20 bullet points.
[01:41:45.592 --> 01:41:54.494]  It's reignited a huge debate about false flag terror, and I think really keeps the establishment from trying to pull something like this again.
[01:41:55.395 --> 01:41:57.355]  Are you happy with what's happened overall?
[01:41:57.375 --> 01:41:58.635]  I'm thrilled, Alex.
[01:41:58.855 --> 01:41:59.376]  I'm thrilled.
[01:42:01.920 --> 01:42:03.982]  You know, phase one is a major success.
[01:42:05.363 --> 01:42:11.808]  But, you know, to be thrilled and not satisfied is a little frustrating, to be honest, you know?
[01:42:11.908 --> 01:42:14.169]  Because I didn't start this.
[01:42:14.210 --> 01:42:21.955]  I didn't, you know, roll this snowball downhill to have it just be this, you know?
[01:42:22.716 --> 01:42:29.862]  This is the ultimate goal, is to sit down with the man, is to get 20 minutes of face time with POTUS.
[01:42:30.802 --> 01:42:31.663]  That's what this is about.
[01:42:32.980 --> 01:42:35.841]  20 minutes with Possum, I mean POTUS.
[01:42:36.161 --> 01:42:36.381]  Yes.
[01:42:36.981 --> 01:42:39.222]  Charlie Sheen is our guest.
[01:42:39.862 --> 01:42:42.303]  Phase 1 has been launched.
[01:42:42.783 --> 01:42:46.784]  We're gonna let you know a little bit about Phase 2, but there's more coming up down the road as well.
[01:42:47.204 --> 01:42:52.626]  Charlie Sheen is our guest, and you, my friends, are essential in Phase 2.
[01:42:53.406 --> 01:42:55.107]  Even more important than you were in Phase 1.
[01:42:55.867 --> 01:42:56.387]  Stay with us.
[01:42:58.854 --> 01:43:02.476]  When looking at your personal preparedness level, remember the freeze-dry guide.
[01:43:02.596 --> 01:43:09.521]  During times of physical and emotional stress, like the uncertain times we live in today, it is vital that you not alter your diet too much.
[01:43:09.761 --> 01:43:14.784]  You should only store what you usually eat, because one day you may have to eat only what you have stored.
[01:43:15.845 --> 01:43:16.985]  There's the Freeze-Dry Guy.
[01:43:17.005 --> 01:43:23.446]  Featuring the superior nutrition and taste you've come to expect, the Freeze-Dry Guy has a wide variety of choices in freeze-dried foods.
[01:43:23.626 --> 01:43:28.387]  All freeze-dried foods are no-cook products requiring only hot water and a few minutes of your time.
[01:43:28.587 --> 01:43:36.829]  The Freeze-Dry Guy has been serving various government agencies as well as the private sector with the finest in freeze-dried storable foods and emergency rations since 1970.
[01:43:37.909 --> 01:43:44.570]  Consider the technological advances made in computers from the punch card days of the 60s and 70s to the high-speed personal computers of today.
[01:43:45.390 --> 01:43:45.970]  We're good to go.
[01:43:59.352 --> 01:44:01.054]  Our beloved Republic is on her knees.
[01:44:01.354 --> 01:44:04.798]  The forces of globalism are destroying national sovereignty worldwide.
[01:44:04.978 --> 01:44:06.840]  But in Liberty's darkest hour, there is hope.
[01:44:07.300 --> 01:44:10.204]  For the first time in modern history, the people are beginning to wake up.
[01:44:10.504 --> 01:44:16.030]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[01:44:16.290 --> 01:44:20.294]  We have a short time frame to fully awaken and energize the people to meet this threat.
[01:44:20.574 --> 01:44:21.956]  In the Info War, prison
[01:44:22.056 --> 01:44:25.497]  PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[01:44:25.777 --> 01:44:28.559]  PrisonPlanet.tv is a vault of forbidden information.
[01:44:28.859 --> 01:44:35.722]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[01:44:36.122 --> 01:44:41.964]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:44:42.124 --> 01:44:46.666]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:44:46.966 --> 01:44:49.490]  The Info War is waiting for you to set it free.
[01:44:49.850 --> 01:44:51.512]  Join PrisonPlanet.tv.
[01:44:51.913 --> 01:44:53.675]  Burn the info bombs to disk.
[01:44:53.916 --> 01:44:55.738]  Put them on the file sharing networks.
[01:44:56.059 --> 01:44:57.500]  Bring down the New World Order.
[01:44:57.881 --> 01:44:58.622]  PrisonPlanet.tv
[01:45:00.171 --> 01:45:00.652]  Attention!
[01:45:00.832 --> 01:45:15.925]  An important product from hempusa.org, micro plant powder, will change your life by removing all types of positive toxins, such as heavy metals, parasites, bacteria, viruses, and fungus from the digestive tract and stomach wall so you can absorb nutrients.
[01:45:16.206 --> 01:45:17.627]  Micro plant powder is 89% silica
[01:45:18.928 --> 01:45:19.389]  I think so.
[01:45:34.005 --> 01:45:34.305]  I think so.
[01:46:10.882 --> 01:46:12.463]  Charlie Sheen, ladies and gentlemen.
[01:46:12.523 --> 01:46:17.646]  He looks at 9-11, the unanswered questions, he looks at his family, he decides to go public.
[01:46:17.666 --> 01:46:18.966]  An intensely private person.
[01:46:18.986 --> 01:46:19.987]  But he's doing it because
[01:46:36.510 --> 01:46:38.131]  I can't sleep at night unless he does.
[01:46:38.851 --> 01:46:40.012]  A man after my own heart.
[01:46:40.592 --> 01:46:44.034]  Charlie's going to be with us 20 minutes into the next hour.
[01:46:44.054 --> 01:46:45.894]  I just cleared the phones.
[01:46:46.455 --> 01:46:48.316]  Your chance to talk to him about 9-11, 9-11 Truth, 1-800-259-9231, 1-800-259-9231.
[01:46:48.356 --> 01:46:51.937]  Your questions or comments for Charlie Sheen coming up when we start the next hour.
[01:46:51.957 --> 01:46:53.098]  Charlie, I noticed here in your letter
[01:47:06.664 --> 01:47:08.065]  Your open letter to the public.
[01:47:08.445 --> 01:47:10.966]  You say another Bin Laden tape has surfaced this morning.
[01:47:11.346 --> 01:47:23.149]  I will be monitoring the FBI's Most Wanted website to see if this tape finally provides the Bureau with the evidence required to list him for the crime of 9-11 on his rap sheet.
[01:47:23.449 --> 01:47:24.770]  Thus far, it has not.
[01:47:25.110 --> 01:47:25.290]  Yeah.
[01:47:27.411 --> 01:47:28.171]  Yeah.
[01:47:29.011 --> 01:47:29.891]  It's still not up.
[01:47:31.112 --> 01:47:31.732]  It's still not up.
[01:47:33.619 --> 01:47:41.139]  So it doesn't really make any sense to keep rolling out these tapes, video, audio, whatever, and it doesn't seem to, uh...
[01:47:42.893 --> 01:47:44.254]  It doesn't seem to connect him to anything.
[01:47:45.135 --> 01:47:51.539]  He keeps coming out in these fake videos that have been proven to be fake, and now audios, admitting he carried it out.
[01:47:52.280 --> 01:47:58.704]  If they have him listed and indicted for the coal and the embassy bombings in Africa, why not for 9-11?
[01:47:58.884 --> 01:48:01.246]  Because the FBI says they don't have the evidence!
[01:48:01.546 --> 01:48:01.806]  Yeah.
[01:48:02.167 --> 01:48:05.929]  Yeah, no, it really confuses the whole issue.
[01:48:06.990 --> 01:48:08.091]  It confuses the whole issue.
[01:48:08.151 --> 01:48:11.373]  You know, there's a reason that that was the first bullet point on the list.
[01:48:14.403 --> 01:48:21.487]  Because I've been in conversation, and I've told people, I said, you know, if you visit the FBI's most wanted, you look up at one of the... 9-1-1 is just not mentioned.
[01:48:22.047 --> 01:48:23.428]  They're like, oh, that's not true.
[01:48:23.448 --> 01:48:28.751]  And then you walk them over to a computer, you bring it up, and they sit there dumbfounded.
[01:48:29.351 --> 01:48:29.611]  You know?
[01:48:31.753 --> 01:48:40.778]  And, you know, I would like to believe that because of the letter, hopefully in certain situations, that that's... that it led people to do just that.
[01:48:41.758 --> 01:48:43.039]  It led them to go check.
[01:48:43.677 --> 01:48:49.241]  Well, Charlie, there is no doubt, and Paul Watson concurs, and he talked about this last hour.
[01:48:50.442 --> 01:48:54.724]  You had them doing 9-11 hit pieces against us in the last few months.
[01:48:55.305 --> 01:49:02.690]  You had POTUS starting to invoke 9-11 as the pretext to increase troops in Iraq and Afghanistan and contractors.
[01:49:03.650 --> 01:49:07.733]  And then you have more warrantless raids of innocent people.
[01:49:08.133 --> 01:49:11.896]  It came out Cheney did that and wanted to use the Army just to create fear.
[01:49:12.056 --> 01:49:13.057]  That's been declassified.
[01:49:13.897 --> 01:49:28.300]  And you have this Ben Lawton tape coming out from the Intel Center who's been caught uploading past ones with the Intel Center logo in the same video layer as the Al-Qaeda logo, meaning they produced it.
[01:49:31.661 --> 01:49:31.961]  Yeah.
[01:49:32.701 --> 01:49:34.202]  Are we surprised?
[01:49:34.242 --> 01:49:34.762]  Are we shocked?
[01:49:34.862 --> 01:49:36.382]  Are we dumbfounded?
[01:49:36.422 --> 01:49:39.623]  I mean, it's what these people do.
[01:49:39.703 --> 01:49:39.883]  Come on.
[01:49:42.028 --> 01:49:46.532]  Well, how do you like having the Pentagon release a new video trying to overshadow your going public?
[01:49:47.432 --> 01:49:52.316]  Well, I mean, I don't want to take credit that that was their response.
[01:49:52.377 --> 01:49:55.759]  I mean, it seems like the timing is a little suspect, a little convenient, perhaps.
[01:49:55.779 --> 01:49:58.421]  Well, they make national TV shows attacking us, bro.
[01:49:58.622 --> 01:49:59.222]  Yeah, that's true.
[01:49:59.382 --> 01:49:59.783]  That's true.
[01:49:59.803 --> 01:50:09.310]  Yeah, no, they... I think that, you know, if perhaps it wasn't a coincidence, then... then, gosh, it...
[01:50:10.532 --> 01:50:16.275]  You know, I would have to say, to quote my dad from Apocalypse, that we really shoved a weed up Command's ass, you know?
[01:50:20.276 --> 01:50:22.397]  Oh man, you are something else, Charlie Sheen.
[01:50:22.437 --> 01:50:27.600]  We're gonna go to break, come back, take some calls, and get into other points with Charlie.
[01:50:28.280 --> 01:50:36.284]  There's so many to make, but we want to thank all of you that made this a big success, that got 20 Minutes with the President out there to tens of millions.
[01:50:36.344 --> 01:50:36.984]  Keep spreading it.
[01:50:40.836 --> 01:50:42.397]  Thank you for listening to GCN.
[01:50:43.318 --> 01:50:45.720]  Be sure to visit GCNlive.com today.
[01:50:48.802 --> 01:50:53.806]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:50:54.006 --> 01:50:57.749]  Number one, new climate legislation could easily double or triple your electric bill.
[01:50:57.969 --> 01:51:03.573]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:51:03.874 --> 01:51:08.737]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:51:08.957 --> 01:51:09.458]  Number three,
[01:51:09.858 --> 01:51:15.301]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:51:16.142 --> 01:51:18.804]  The hurricane and dangerous summer storm season is here again.
[01:51:19.044 --> 01:51:22.446]  Every year, thousands of families lose their power from weather-related outages.
[01:51:23.567 --> 01:51:27.169]  A solar power generator provides powerful backup insurance and peace of mind.
[01:51:27.409 --> 01:51:32.893]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:51:33.134 --> 01:51:37.697]  You can get more information at www.mysolarbackup.com.
[01:51:37.837 --> 01:51:39.399]  That's mysolarbackup.com.
[01:51:39.619 --> 01:51:41.941]  Remember, the government doesn't own the sun yet.
[01:51:42.181 --> 01:51:47.565]  So go to mysolarbackup.com or call toll-free 877-327-0365.
[01:51:51.468 --> 01:51:53.390]  Waging war on corruption.
[01:51:53.850 --> 01:51:56.613]  Alex Jones on the GCM Radio Network.
[01:52:11.897 --> 01:52:14.498]  Okay, we're going to take your phone calls for Charlie Sheen.
[01:52:15.239 --> 01:52:17.460]  In the next segment, we've got a big announcement.
[01:52:17.540 --> 01:52:22.562]  The next phase in our operation to get 9-11 Truth out there on the front burner.
[01:52:23.022 --> 01:52:26.584]  Charlie, thanks to you spreading the word, has been successful in phase one.
[01:52:27.064 --> 01:52:28.325]  Help us with phase two.
[01:52:29.065 --> 01:52:31.286]  Quickly, Mark in Oregon.
[01:52:31.326 --> 01:52:33.187]  You're on the air with Charlie Sheen.
[01:52:33.207 --> 01:52:33.807]  Go ahead, Mark.
[01:52:34.667 --> 01:52:36.028]  Yeah, good morning, Alex.
[01:52:36.088 --> 01:52:36.949]  Good morning, Charlie.
[01:52:37.029 --> 01:52:37.829]  Hey, Mark, how are you, man?
[01:52:38.562 --> 01:52:39.823]  Oh man, I'm doing pretty good.
[01:52:39.883 --> 01:52:46.287]  I'm doing better, you know, each day since you, with Alex's great assistance, have really taken off with.
[01:52:47.268 --> 01:52:59.957]  What I see is actually implementing what is the most powerful tool available to us at this time, Charlie, and I think you may be aware of this, to strike at the heart of evil with the facts of truth of the unforewarned.
[01:52:59.977 --> 01:53:03.299]  That is the vehicle of publicity, the tool of publicity
[01:53:03.986 --> 01:53:08.427]  is extremely powerful and when you put your name to the facts of truth charlie you have
[01:53:09.071 --> 01:53:13.233]  Supercharged the publicity, which has always been available to the Infowar.
[01:53:13.273 --> 01:53:21.337]  It all depended how far all of the Infowarriors have wanted to go, and it's an ongoing condition as to how much we implement of what is available to us.
[01:53:21.417 --> 01:53:31.722]  But the facts of the truth create tremendous publicity, and just God bless you, sir, and I'm sure he does, and I really appreciate everything that you're doing and everything you've done, Charles.
[01:53:31.742 --> 01:53:32.383]  Thank you, Mark.
[01:53:32.463 --> 01:53:33.103]  Thank you, Mark.
[01:53:33.183 --> 01:53:33.983]  Thank you so much.
[01:53:34.104 --> 01:53:36.245]  Wow, that's really powerful.
[01:53:36.445 --> 01:53:36.765]  Thank you.
[01:53:37.284 --> 01:53:41.026]  Let me throw a point in here on this issue.
[01:53:41.666 --> 01:53:45.147]  The mainstream media keeps going, he's an actor, why didn't he just shut up?
[01:53:45.347 --> 01:53:46.628]  A, you're an American citizen.
[01:53:47.288 --> 01:53:48.309]  B, you're a father.
[01:53:49.289 --> 01:53:52.690]  C, you've been a director, writer, a very accomplished person.
[01:53:53.070 --> 01:53:54.751]  Ronald Reagan was an actor.
[01:53:54.771 --> 01:53:56.532]  Hey, good point.
[01:53:56.632 --> 01:53:58.913]  The governor of California is an actor.
[01:53:59.333 --> 01:54:01.514]  That's a load of crap.
[01:54:01.814 --> 01:54:03.795]  They just wish they were Charlie Sheen.
[01:54:05.410 --> 01:54:07.051]  Well, I mean, you can say that, Alex.
[01:54:07.291 --> 01:54:13.633]  I, of course, can't, but... No, but I think it's interesting.
[01:54:13.713 --> 01:54:26.817]  What Mark said is that they abuse the media that they so irresponsibly control, and... Sorry, there's a jet.
[01:54:27.157 --> 01:54:30.878]  And I'm trying to utilize it in a more responsible fashion, you know?
[01:54:32.557 --> 01:54:40.721]  Well, look, just outside the paradigm, you're deviating from the false reality and they don't want you to say, look, the emperor is wearing no clothes.
[01:54:41.081 --> 01:54:41.481]  Exactly.
[01:54:42.082 --> 01:54:48.865]  I mean, listen, what you've done seismic, it's going to continue to have effects for years, much bigger than last time you went public.
[01:54:48.885 --> 01:54:52.727]  I mean, it's already probably 10 times more media attention than than 2006.
[01:54:53.427 --> 01:54:56.569]  But I'm here to tell you, buddy, this is going to have seismic effects.
[01:54:56.829 --> 01:54:57.550]  I hope so, Alex.
[01:54:57.670 --> 01:54:58.110]  I hope so.
[01:54:58.150 --> 01:55:03.954]  And what I'm really proud of and what I'm really excited about is the fact that now there's a document.
[01:55:04.575 --> 01:55:09.698]  I have delivered a document that is ingrained into the landscape of the movement.
[01:55:09.878 --> 01:55:18.745]  And now people that perhaps couldn't focus the argument now have a document to lay in front of their doubters and say, okay, you don't want to listen to me?
[01:55:19.105 --> 01:55:19.805]  Just read this.
[01:55:20.306 --> 01:55:21.006]  Just look at this.
[01:55:21.026 --> 01:55:22.447]  Let's talk about number one.
[01:55:22.667 --> 01:55:23.708]  Let's talk about number seven.
[01:55:23.868 --> 01:55:24.769]  Let's talk about number nine.
[01:55:25.427 --> 01:55:26.708]  Debate me on number 14.
[01:55:26.989 --> 01:55:28.190]  Let's talk about development.
[01:55:28.270 --> 01:55:29.711]  Let's just talk about these things.
[01:55:29.891 --> 01:55:39.821]  And it's just, I think we've given them a real powerful tool that now exists in the pantheon of this historical movement.
[01:55:40.780 --> 01:55:42.542]  And it had to be novel.
[01:55:42.642 --> 01:55:46.345]  Just another 20 points, another research article, no one would have read it.
[01:55:46.405 --> 01:56:07.002]  But Charlie Sheen, combined with another celebrity, Barack Obama, in this debate, in this discussion, with the links, the American people became the president, and Charlie Sheen was giving the American people and the people of the world the two folders of the data, and now tens of millions have read it.
[01:56:07.742 --> 01:56:13.523]  The genius, the brilliance of that to get those 20 points out is unparalleled.
[01:56:14.304 --> 01:56:16.084]  Well, Alex, you are much too kind.
[01:56:16.144 --> 01:56:16.564]  Thank you.
[01:56:16.784 --> 01:56:17.364]  Thank you.
[01:56:17.504 --> 01:56:33.708]  I don't know if I would call it, you know, brilliant or genius, but I think it was, uh, I just, I, I, I, I had faith in the, in the, in the theatrical aspect of it, getting people interested and then delivering them to, uh, to the facts.
[01:56:34.124 --> 01:56:37.686]  Well, Charlie, for five, six days, it's been the number one 9-11 story.
[01:56:37.746 --> 01:56:39.307]  Not all their lies and propaganda.
