[00:00:12.599 --> 00:00:14.121]  Or call 888-766-6066.
[00:47:53.553 --> 00:47:58.317]  Okay, Robert, you had a member of our new secret police, the new million person, until U.S.
[00:47:58.357 --> 00:48:04.563]  Senators announced in the New York Times it's going to be seven million, domestic spies, but they're going to be paid by the government.
[00:48:04.603 --> 00:48:11.349]  That's the new government welfare program they take from the working middle class and they give it to people that can't get jobs or don't want to work.
[00:48:12.029 --> 00:48:14.573]  And then they come out and command and rule us.
[00:48:14.733 --> 00:48:25.267]  Maybe they can have little whipping sticks, little cattle prods and we can start making bricks for them or something and build pyramids for the bureaucrats and we'll build giant sphinx heads of the presidents.
[00:48:26.048 --> 00:48:29.433]  So what did you say to the creature that was GPS-ing your home?
[00:48:31.598 --> 00:48:40.146]  Well, she took me completely by surprise because I turned around and she just like appeared like a little vampire or a little sneaky little, you know, creepy person just creeped up there.
[00:48:40.226 --> 00:48:42.588]  And so I was like, well, what are you doing?
[00:48:42.608 --> 00:48:43.809]  Because she didn't knock on the door at all.
[00:48:43.849 --> 00:48:44.850]  That's what kind of creeped me out.
[00:48:44.870 --> 00:48:45.751]  She didn't knock on the door.
[00:48:45.771 --> 00:48:46.532]  She didn't talk to anybody.
[00:48:46.552 --> 00:48:50.615]  Got to be clear, they go though to the doorstep because they want your doorstep.
[00:48:50.675 --> 00:48:51.956]  Where to send the SWAT team?
[00:48:52.196 --> 00:48:53.257]  That is for federal.
[00:48:53.418 --> 00:48:54.078]  This is admitted.
[00:48:54.699 --> 00:48:57.261]  Listen, folks, guess what zip codes are?
[00:48:57.961 --> 00:49:03.405]  Zip codes are artillery coordinates and folks are going, well how with five numbers do you do artillery?
[00:49:03.445 --> 00:49:06.728]  No, the dash on the next number was before GPS.
[00:49:07.028 --> 00:49:12.032]  They can bring down on your house artillery or bombs with that.
[00:49:12.052 --> 00:49:13.273]  That is a Pentagon grid.
[00:49:13.333 --> 00:49:15.235]  Now, with the GPS developed by the military,
[00:49:15.575 --> 00:49:17.636]  That was originally for smart bombs and cruise missiles.
[00:49:18.076 --> 00:49:28.380]  They admit this is for gun confiscation and control, and the Feds are going to every doorstep in America, but they also have separately the ACORN people out identifying.
[00:49:29.041 --> 00:49:29.661]  They admit this.
[00:49:29.761 --> 00:49:32.522]  Are you an Obama supporter, or are you not an Obama supporter?
[00:49:32.582 --> 00:49:33.262]  They want to know.
[00:49:33.623 --> 00:49:36.904]  And so they can send those federal SWAT teams right to your door.
[00:49:36.924 --> 00:49:37.244]  Isn't that right?
[00:49:37.244 --> 00:49:50.750]  That land of the free, home of the brave, baby, just like we told you about the federal reports and we broke the MIAC and the Homeland Security reports telling you the veterans of the terrorists and the gun owners of the terrorists and the families and the Americans and the Christians of the terrorists.
[00:49:51.090 --> 00:49:58.053]  And because we're the people that don't want communism in America, but it's not the communism that we were taught about.
[00:49:58.113 --> 00:50:04.035]  It's big, fat, degenerate offshore banks saying, this is commie land, we're going to turn a bunch of
[00:50:04.315 --> 00:50:05.976]  Lazy parasites loose on you.
[00:50:06.156 --> 00:50:07.476]  They're going to steal all the money.
[00:50:07.676 --> 00:50:10.357]  We're going to give them a little bit because they like shiny uniforms.
[00:50:10.677 --> 00:50:12.297]  And the offshore banks are going to take it.
[00:50:12.558 --> 00:50:13.518]  How's that sound?
[00:50:13.878 --> 00:50:16.379]  Anyway, so you find this little vampire at your doorstep.
[00:50:16.639 --> 00:50:18.539]  And by the way, they're crossing people's fences.
[00:50:18.739 --> 00:50:20.820]  They're coming across no trespassing signs.
[00:50:21.100 --> 00:50:26.522]  This is all over the news coming to your doorstep because they want to know where to send those federal SWAT teams, baby.
[00:50:26.822 --> 00:50:27.422]  Now, tell me.
[00:50:28.328 --> 00:50:29.228]  Oh, you're going to love this.
[00:50:29.468 --> 00:50:32.049]  Well, I asked her, and she said, well, I'm with the Census.
[00:50:32.109 --> 00:50:34.149]  And I said, well, what are you doing there on my doorstep?
[00:50:34.229 --> 00:50:36.530]  And she said, well, we count people.
[00:50:37.010 --> 00:50:39.371]  And, you know, I just didn't know how to respond to that.
[00:50:39.391 --> 00:50:41.851]  You know, I was like, just so condescending, you know.
[00:50:42.191 --> 00:50:43.172]  But we count people.
[00:50:43.232 --> 00:50:44.592]  So did you ask the worm?
[00:50:44.612 --> 00:50:48.153]  Did you ask the worm why they were there with GPS?
[00:50:49.692 --> 00:51:04.297]  Yeah, well she admitted that it was a GPS thing and then she took off and my girlfriend was inside the house but I got her so she could see her walking off and you know she had a little camouflage hat on and she went to the neighbor's house, stood on their porch, didn't knock on their door.
[00:51:04.317 --> 00:51:05.597]  She didn't talk to anybody.
[00:51:05.637 --> 00:51:08.978]  No, they're coming to find where to send the SWAT team.
[00:51:09.850 --> 00:51:10.430]  Yeah, exactly.
[00:51:10.450 --> 00:51:11.371]  We need video of this.
[00:51:11.431 --> 00:51:12.332]  I mean, it's in the news.
[00:51:12.352 --> 00:51:13.232]  They're doing it.
[00:51:13.552 --> 00:51:15.133]  They're coming across people's land.
[00:51:15.173 --> 00:51:15.533]  You name it.
[00:51:15.754 --> 00:51:19.156]  Remember in 2000, the cases where they would break down doors?
[00:51:19.236 --> 00:51:20.656]  I've got to Google it right now.
[00:51:21.757 --> 00:51:24.038]  Census taker forces way into home.
[00:51:24.279 --> 00:51:24.719]  Google it.
[00:51:24.739 --> 00:51:25.579]  You think I'm joking?
[00:51:25.860 --> 00:51:27.140]  I don't joke about nothing, folks.
[00:51:27.180 --> 00:51:28.001]  It's all documented.
[00:51:28.041 --> 00:51:28.401]  Now listen.
[00:51:28.421 --> 00:51:29.001]  Listen, Alex.
[00:51:29.021 --> 00:51:30.042]  I don't understand.
[00:51:30.062 --> 00:51:31.383]  I don't understand what you're doing.
[00:51:31.403 --> 00:51:34.725]  You know, I'm kind of looking forward to building our temples for these guys, you know?
[00:51:37.887 --> 00:51:40.568]  You're kind of looking forward to taking that vaccine that sterilizes you?
[00:51:43.550 --> 00:51:44.611]  Never mind, I'm not going to say it.
[00:51:46.632 --> 00:51:50.815]  They got shots, folks, that basically terminate any usefulness for your huevos.
[00:51:51.935 --> 00:51:53.676]  Just take your vaccine, ladies and gentlemen.
[00:51:54.037 --> 00:51:55.398]  Adios, mofo.
[00:51:56.959 --> 00:51:58.780]  You guys are in there playing some funny clips today.
[00:51:59.380 --> 00:52:00.381]  Okay, you know what?
[00:52:00.401 --> 00:52:02.482]  I joke about this, but I'm not joking.
[00:52:03.786 --> 00:52:05.947]  I joke around, but this is a serious issue.
[00:52:06.967 --> 00:52:09.689]  Now, let me tell you, I'm not saying all census takers are bad or evil.
[00:52:09.729 --> 00:52:11.089]  They're folks wanting 10 bucks an hour.
[00:52:11.610 --> 00:52:22.795]  But I remember in 2000, I was covering it on the air at the time, and one out of six households got this longer form that had 49 questions.
[00:52:22.915 --> 00:52:30.258]  And then I think it was one out of 15, I don't remember the exact, got this American Community Survey that was a couple hundred long, and people were getting business surveys.
[00:52:31.383 --> 00:52:33.385]  They were asking, how many guns do you have?
[00:52:33.445 --> 00:52:34.707]  What are your stocks and bonds?
[00:52:34.807 --> 00:52:35.307]  List them.
[00:52:37.730 --> 00:52:39.292]  Do you have a low flush toilet?
[00:52:39.973 --> 00:52:41.074]  How long have you lived here?
[00:52:41.995 --> 00:52:43.156]  Who is your next of kin?
[00:52:44.338 --> 00:52:46.059]  And I explained to people that the U.S.
[00:52:46.120 --> 00:52:48.682]  Code, and I had retired judges on and read the U.S.
[00:52:48.722 --> 00:52:51.265]  Code, all they can ask you is how many people live here.
[00:52:51.305 --> 00:52:51.646]  That's it!
[00:52:52.731 --> 00:52:57.413]  Not their blood type, not who their mommy was, not if they like to drink 2% or whole milk.
[00:52:57.854 --> 00:52:59.715]  You can't ask them if their hair is dyed.
[00:52:59.775 --> 00:53:04.097]  You can't ask them, you know, if they use conditioner when they wash their hair.
[00:53:04.357 --> 00:53:06.218]  You can't ask them if they clean their toenails.
[00:53:06.478 --> 00:53:08.119]  You can't ask them their sexual preference.
[00:53:08.299 --> 00:53:11.561]  You can't ask them if they like slits, malt, liquor, or Budweiser.
[00:53:11.921 --> 00:53:14.122]  You can't ask them if you like the cowboys or the redskins.
[00:53:14.322 --> 00:53:17.164]  You can't ask them nothing, you little secret police freaks!
[00:53:20.459 --> 00:53:22.400]  All of that said, I'm getting tired of tyranny, folks.
[00:53:22.460 --> 00:53:23.421]  I'm fired up today.
[00:53:24.722 --> 00:53:28.104]  This is what happens when I stop not exercising and start exercising.
[00:53:28.144 --> 00:53:30.986]  The old, horrid Alex of 10-12 years ago comes back.
[00:53:31.026 --> 00:53:32.087]  The really obnoxious one.
[00:53:33.048 --> 00:53:35.129]  Anyways, testosterone is what it's called, folks.
[00:53:35.549 --> 00:53:37.991]  It can make all my hair fall out, though, if I keep working out like this.
[00:53:39.412 --> 00:53:40.973]  Anyways, side issue.
[00:53:45.993 --> 00:53:48.295]  Oh yeah, working out with heavy weights, boosters, testosterone, folks.
[00:53:48.335 --> 00:53:49.096]  I'm fired up here.
[00:53:49.596 --> 00:53:51.477]  Alright, let me go, plus all this coffee I've been drinking.
[00:53:51.698 --> 00:53:52.979]  But listen, let's just go back here.
[00:53:53.019 --> 00:54:05.909]  Doesn't it fire you up, I mean, to know that under the census law, they can only ask how many people live here, and that's for, that goes back to Mount Sinai and Moses numbering the people of Israel.
[00:54:06.970 --> 00:54:07.890]  To break them into tribes.
[00:54:09.732 --> 00:54:13.455]  What you're dealing with here is, they said, we're going to have a Congress.
[00:54:14.304 --> 00:54:19.966]  And each state will get two senators, but so that states with bigger populations don't get full control, we'll have senators.
[00:54:21.146 --> 00:54:31.910]  But at the same time, so bigger states do get a little bit more representation, in the House, it'll be apportioned by the number of people by the census, how many representatives you get.
[00:54:32.590 --> 00:54:33.311]  And under U.S.
[00:54:33.351 --> 00:54:35.051]  law, they can only ask how many people live here.
[00:54:35.351 --> 00:54:35.731]  That's it.
[00:54:36.032 --> 00:54:43.074]  So when you get the form, the longer ones, that we got in 2000, and now it's time for the census again, that's totally illegal.
[00:54:44.466 --> 00:54:45.507]  It's all color of law.
[00:54:45.567 --> 00:54:46.168]  It's a trick.
[00:54:46.288 --> 00:54:48.149]  Just like there's no law, you gotta take vaccines.
[00:54:48.289 --> 00:54:52.012]  It's a regulation to attend school, but it's not a law.
[00:54:52.353 --> 00:54:56.596]  It's their policy, but they have to give you a waiver for the policy under state law.
[00:54:57.617 --> 00:54:58.218]  Well, it's the same thing.
[00:54:58.238 --> 00:55:01.621]  You'll see the big form with 49 questions, 100 questions, 200 questions.
[00:55:01.901 --> 00:55:02.341]  It depends.
[00:55:02.381 --> 00:55:09.927]  They send out different ones, and it'll say... Up in the corner, it'll have two or three questions, and it'll say under that, you have to do this by penalty of law.
[00:55:10.728 --> 00:55:11.489]  And there's a tiny
[00:55:12.640 --> 00:55:16.601]  Dotted line beneath it with all the other questions that under law you don't have to answer.
[00:55:16.882 --> 00:55:18.262]  But they don't explain that to you.
[00:55:18.322 --> 00:55:19.502]  You see how that scam works?
[00:55:19.763 --> 00:55:20.803]  It's a contract fraud.
[00:55:21.143 --> 00:55:26.645]  Stinking, dirty, lying government lawyers think up all this stuff to trick you and they sit around laughing.
[00:55:26.845 --> 00:55:28.205]  Haha, the slaves will never know.
[00:55:28.385 --> 00:55:29.926]  They'll tell us how much money they've got in the bank.
[00:55:30.106 --> 00:55:31.226]  Do they own firearms?
[00:55:32.107 --> 00:55:36.008]  And then I remember there was a big stink in 2000 about this and I got bang, bang, bang.
[00:55:37.189 --> 00:55:38.429]  And my girlfriend, now my wife,
[00:55:40.862 --> 00:55:47.147]  I answered the door when I was gone one day, and this punk at the door threatened her and said, you didn't fill out your census, you only said two people live here.
[00:55:47.767 --> 00:55:49.789]  You gotta answer all the questions, and she slammed the door.
[00:55:50.169 --> 00:55:50.869]  Well, he was back!
[00:55:52.170 --> 00:55:56.073]  And so I get a video camera and I go to the door, this tape's somewhere, and I say, what do you want?
[00:55:56.093 --> 00:56:02.798]  He goes, he was an arrogant on a power trip, I walked outside and followed him, he was parked in the middle of the street, just totally out of his mind on a power trip.
[00:56:02.938 --> 00:56:09.203]  That's how it is, these dumbed-down fluoride heads, they got 75 IQs, but they're on a power trip with a little plastic badge now!
[00:56:10.194 --> 00:56:11.595]  And he says, you gotta fill this out under the law.
[00:56:11.615 --> 00:56:13.436]  And I said, go call the police then, punk!
[00:56:13.817 --> 00:56:15.498]  Get off my doorstep now!
[00:56:15.518 --> 00:56:16.759]  And he said, you're gonna be arrested.
[00:56:16.979 --> 00:56:17.739]  I said, good!
[00:56:17.960 --> 00:56:19.481]  I'm gonna sue you after I'm done!
[00:56:19.681 --> 00:56:20.361]  Get outta here!
[00:56:20.381 --> 00:56:22.303]  And I followed him out to the curb.
[00:56:22.903 --> 00:56:26.065]  Because he... I'm somebody who's not a slave.
[00:56:26.226 --> 00:56:27.426]  I went and checked the U.S.
[00:56:27.486 --> 00:56:27.767]  Code.
[00:56:28.067 --> 00:56:28.767]  I know it's a lie.
[00:56:28.787 --> 00:56:30.729]  Now that idiot probably believes it's actually the law.
[00:56:31.169 --> 00:56:33.631]  Did you guys find where census takers force ways into homes?
[00:56:34.482 --> 00:56:35.082]  You didn't find it?
[00:56:35.742 --> 00:56:36.223]  Still looking?
[00:56:36.243 --> 00:56:37.183]  No, I mean, it was all over the news.
[00:56:37.203 --> 00:56:39.644]  Of course, that was nine years ago, maybe off the web by now.
[00:56:39.704 --> 00:56:40.344]  Everybody remembers.
[00:56:40.384 --> 00:56:44.686]  The point is, yeah, there were cases where they got on such power trips, they would force their way, bust down doors.
[00:56:44.986 --> 00:56:45.666]  They'd get arrested.
[00:56:45.746 --> 00:56:47.387]  One census taker got killed by dogs.
[00:56:49.047 --> 00:56:50.168]  Anyway, side issue.
[00:56:51.368 --> 00:56:52.549]  The point is, then they announced 2004.
[00:56:53.109 --> 00:56:54.409]  I remember seeing the news.
[00:56:54.709 --> 00:56:56.930]  Oh, now we're gonna have yearly and monthly censuses.
[00:56:57.350 --> 00:56:57.831]  Now, now, wait a minute.
[00:56:57.851 --> 00:56:58.671]  You have a Fifth Amendment.
[00:56:58.911 --> 00:57:01.712]  They can catch an axe murderer with 15 chopped up
[00:57:02.435 --> 00:57:07.017]  Men, women, and children in a basement, and they can't compel the axe murderer to incriminate themselves.
[00:57:07.317 --> 00:57:07.837]  Fifth Amendment.
[00:57:09.118 --> 00:57:10.358]  You have a right to remain silent.
[00:57:11.198 --> 00:57:19.201]  Why, then, do they tell you, under penalty of law, you've got to answer these questions about do you own guns, do you have a low flush toilet, what are your stocks and bonds?
[00:57:19.221 --> 00:57:20.102]  Those are real questions.
[00:57:22.262 --> 00:57:24.563]  You see, this is how these scumbag work.
[00:57:24.683 --> 00:57:28.565]  Now, they're going around GPSing everybody's front door for the federal police.
[00:57:29.285 --> 00:57:31.666]  You saw the gun confiscation in New Orleans and now in Illinois.
[00:57:33.573 --> 00:57:42.189]  So this has got me fired up and I'm sorry I kind of went over the deep end there but I mean I am sick and tired of it and then now we've confirmed the acorn people and others are running around with GPS's.
[00:57:43.697 --> 00:57:52.105]  Also, and of course they admitted this about a month ago, they said, oh, there'll be upwards of a million Obama volunteers knocking on your door to see if you support his agenda.
[00:57:52.425 --> 00:58:00.372]  And then I saw in their own blurbs, they've been given GPSs for files on top of it to nexus in with your name off the federal census.
[00:58:00.412 --> 00:58:08.859]  So, both the feds and this auxiliary goon force, you know when you see these usaservice.org and all these groups, that's private groups, the Democratic Party and George Soros,
[00:58:09.319 --> 00:58:13.263]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:58:13.363 --> 00:58:16.826]  Now you can do even more to hear Genesis shows in your area.
[00:58:31.098 --> 00:58:35.539]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:58:35.659 --> 00:58:36.180]  It's easy.
[00:58:36.360 --> 00:58:42.942]  Log on to GCNLive.com or call us toll free 877-807-4048.
[00:58:42.982 --> 00:58:43.642]  Make a difference.
[00:58:43.742 --> 00:58:49.104]  Call your local stations and contact us through affiliate relations at GCNLive.com or call 877-807-4048.
[00:58:49.124 --> 00:58:49.484]  Call today.
[00:58:53.465 --> 00:59:02.752]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:59:02.812 --> 00:59:03.533]  This capitalism?
[00:59:03.593 --> 00:59:09.678]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:59:09.838 --> 00:59:10.618]  Hi, Ted Anderson.
[00:59:10.658 --> 00:59:13.760]  I'm placing a free silver dollar in a book that explains our monetary system.
[00:59:13.820 --> 00:59:15.300]  Call for your copy 800-686-2237.
[00:59:17.221 --> 00:59:18.522]  It's time to understand the system.
[00:59:18.582 --> 00:59:20.523]  Call 800-686-2237.
[00:59:20.903 --> 00:59:23.504]  That's 800-686-2237.
[00:59:23.844 --> 00:59:35.309]  Today, we cannot afford to ignore the current state of our country, the economy, job layoffs, mass foreclosures, and now we are all at risk of being exposed to this new flu pandemic.
[00:59:35.569 --> 00:59:40.151]  The Center for Disease Control has declared a public health emergency across the United States.
[00:59:40.411 --> 00:59:41.852]  What can you do to prepare yourself?
[00:59:42.072 --> 00:59:44.293]  The answer is ZeroFlu.com.
[00:59:44.533 --> 00:59:48.114]  ZeroFlu.com offers you the very best at air purifiers.
[00:59:48.314 --> 01:00:01.040]  These revolutionary air purifiers protect up to 3,000 square feet of your home and stop 99.9% of airborne allergens, influenza, bacteria, viruses, pollen, dust, pet dander, black mold, MRSA, and more.
[01:00:01.280 --> 01:00:03.541]  Not only from the air, but from all surfaces.
[01:00:03.701 --> 01:00:06.443]  With no filters to replace ever, you save money.
[01:00:06.603 --> 01:00:07.784]  Prepare yourself today.
[01:00:07.924 --> 01:00:10.045]  To learn more, visit ZeroFlu.com.
[01:00:10.125 --> 01:00:11.706]  That's ZeroFlu.com.
[01:00:11.866 --> 01:00:12.566]  Or call 888-766-6066.
[01:00:12.586 --> 01:00:13.047]  888-766-6066 today.
[01:00:13.107 --> 01:00:13.627]  ZeroFlu.com.
[01:00:13.647 --> 01:00:15.928]  Protecting you and your family, one day at a time.
[01:00:23.271 --> 01:00:31.220]  ...in the line of duty, and the Texas House votes to keep the... This is the GCN Radio Network, home to hard-hitting talk radio.
[01:00:31.421 --> 01:00:34.224]  Radio 590, KLBJ, Austin.
[01:00:38.309 --> 01:00:40.952]  IRN USA Radio News, I'm Jody Jordan.
[01:00:41.512 --> 01:00:43.415]  A conservative icon has died.
[01:00:44.091 --> 01:00:54.341]  Jack Kemp, the former pro quarterback who turned fame on the gridiron into a career into national politics, died of cancer last evening at his suburban Washington home.
[01:00:55.102 --> 01:00:59.927]  The former congressman and 1996 Republican vice presidential candidate was 73.
[01:01:01.306 --> 01:01:03.249]  Edwin Fulner was a campaign advisor.
[01:01:03.369 --> 01:01:09.336]  He believed very much in freedom for everybody and that everybody should have an equal opportunity.
[01:01:09.757 --> 01:01:13.041]  Not necessarily equal outcomes, but they all should have the opportunity.
[01:01:13.121 --> 01:01:17.386]  And the majority of swine flu cases in Spain are due to visits in Mexico.
[01:01:18.027 --> 01:01:19.008]  Here's Harold Heckel.
[01:01:19.228 --> 01:01:26.715]  All of the cases except for one are actually people that have returned from holidaying in Mexico.
[01:01:27.496 --> 01:01:30.939]  Only one has been an infection within Spanish soil.
[01:01:31.140 --> 01:01:33.502]  This is IRN USA Radio News.
[01:01:34.923 --> 01:01:39.007]  If you've been watching the news lately, you've been hearing a lot about the obstacles in our economy.
[01:01:39.406 --> 01:01:48.360]  If you'll listen for just a few seconds, I'll share the opportunities that this economic downturn is offering to those with the energy, courage, and know-how to take advantage of it.
[01:01:48.700 --> 01:01:50.423]  Hi, how in the world are you anyway?
[01:01:50.683 --> 01:01:53.888]  I'm Andy Willoughby with the Three Step Plan Home Business System.
[01:01:54.332 --> 01:01:58.675]  The three-step plan helps people feel better, look better, and make more money.
[01:01:59.115 --> 01:02:03.398]  History has shown that our product line actually grows during an economic slowdown.
[01:02:03.718 --> 01:02:11.042]  Our newest product category actually grew 21% during the last 12 months, while most business categories were dropping like a rock.
[01:02:11.542 --> 01:02:20.348]  With the three-step plan, you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[01:02:20.688 --> 01:02:22.229]  Don't wait for things to get worse.
[01:02:22.608 --> 01:02:24.509]  Check out the three-step plan today.
[01:02:24.849 --> 01:02:32.134]  Go to 3stepplan.com or call 800-480-2102.
[01:02:32.154 --> 01:02:32.734]  800-480-2102.
[01:02:35.356 --> 01:02:46.462]  Negotiations are restarting today between unions at the Boston Globe and its owner, the New York Times Company, as another deadline approaches for the Globe employees to make $20 million in concessions.
[01:02:47.062 --> 01:02:51.105]  The Times Company has threatened to close the Globe unless the concessions are met.
[01:02:52.159 --> 01:02:58.522]  Chinese state media says an explosion in an illegal fireworks factory has killed 13 people and injured two.
[01:02:59.182 --> 01:03:04.485]  Yesterday's blast flattened three rooms in a rented house in the eastern province of Shandong.
[01:03:05.105 --> 01:03:09.487]  Neighbors say they did not know the house had been rented out to a fireworks maker.
[01:03:10.148 --> 01:03:15.390]  It's the 10th anniversary of a deadly spat of tornadoes that tore through Kansas and Oklahoma.
[01:03:16.411 --> 01:03:21.193]  74 twisters spawned by the same storm system killed 46 people in the two states.
[01:03:22.324 --> 01:03:27.751]  The 1999 experience has led to the development of better forecasting methods and local preparedness.
[01:03:28.613 --> 01:03:32.759]  For the latest news and analysis, log on to IRNUSANews.com.
[01:03:34.867 --> 01:03:44.992]  If you're paying your credit cards with credit cards, or maybe some other crisis in your life made you fall behind on your bills, there is a light at the end of the tunnel with Consumer Credit of America.
[01:03:45.232 --> 01:03:49.794]  They can help you find your way out of the debt trap and find financial freedom.
[01:03:50.034 --> 01:03:50.514]  Call now.
[01:03:50.534 --> 01:03:50.814]  877-348-FREE.
[01:03:50.834 --> 01:03:51.154]  That's 877-348-F-R-E-E.
[01:03:51.174 --> 01:03:52.495]  Or visit them on the web at ccofamerica.com.
[01:03:52.515 --> 01:03:52.935]  877-348-FREE.
[01:03:52.955 --> 01:03:53.916]  Not available in all states.
[01:04:05.270 --> 01:04:15.434]  Pope Benedict says he hopes his upcoming trip to the Holy Land will give encouragement to Christians there, and also promote peace and reconciliation between Israel and the Palestinians.
[01:04:15.694 --> 01:04:23.297]  This Friday, I leave for my pilgrimage to the Holy Land, where men and women first heard the voice of the Good Shepherd.
[01:04:23.478 --> 01:04:28.640]  Benedict will travel to Jordan, Israel, and the Palestinian territories May 8th through the 15th.
[01:04:29.821 --> 01:04:34.786]  He spoke about his trip during his weekly Sunday blessings to pilgrims and tourists in St.
[01:04:34.846 --> 01:04:35.527]  Peter's Square.
[01:04:36.508 --> 01:04:40.431]  Children are among the latest victims of a bomb attack in Afghanistan.
[01:04:41.052 --> 01:04:42.573]  Here's Jason Strasioso.
[01:04:42.714 --> 01:04:52.283]  An improvised bomb placed on a bicycle in a busy market in southern Afghanistan killed four people, including two children, a 10-year-old boy and an 8-year-old girl.
[01:04:52.600 --> 01:04:58.793]  Such violence threatens to overshadow the August 20th election, the second since the ouster of the Taliban in 2001.
[01:05:00.385 --> 01:05:04.827]  A Human Rights Committee official suspects potential voter fraud in the upcoming elections.
[01:05:05.107 --> 01:05:14.050]  The chairwoman said that in the province of Logar, 72% of the Afghans who registered to vote were female, and that that was not logically possible.
[01:05:14.170 --> 01:05:22.553]  And authorities in Western Australia say they've recovered the bodies of six people who died when an avalanche struck as they hiked in the Alps yesterday.
[01:05:23.433 --> 01:05:25.574]  Six of the victims were from the Czech Republic.
[01:05:26.134 --> 01:05:27.675]  There was only one survivor.
[01:05:28.692 --> 01:05:32.216]  I'm Jody Jordan for IRN USA Radio News.
[01:05:33.625 --> 01:05:38.468]  The new multipolar inline and portable water system, new from hempusa.org.
[01:05:38.668 --> 01:05:47.074]  Now you can restructure and degas your water supply from any source, rendering chemicals harmless to the human body by polarizing the molecular structure.
[01:05:47.294 --> 01:05:51.977]  Imagine a softer, smoother water with increased oxygen that helps the nervous system and brain.
[01:05:52.197 --> 01:05:58.741]  There are no filters to buy, and it can be taken anywhere, making it our number one new product from hempusa.org.
[01:05:59.261 --> 01:06:05.486]  This water system will descale all piping, hot water heaters, and appliances due to heavy buildup of hard minerals.
[01:06:05.646 --> 01:06:16.515]  Detoxification may result with restructured water by easily entering the fine capillaries of the human body by dissolving stones and toxins, with extreme positive effects on plants, vegetables, and fruits.
[01:06:16.575 --> 01:06:21.459]  Improved taste, color, size, and yield with approximately 30% less water usage.
[01:06:21.599 --> 01:06:25.122]  There are multiple sizes also available for farms and commercial use.
[01:06:25.342 --> 01:06:27.523]  Visit hempusa.org or call 908-691-2608.
[01:06:27.583 --> 01:06:28.343]  That's 908-691-2608.
[01:06:28.383 --> 01:06:43.046]  Prepare yourself for a talk radio experience like no other.
[01:06:44.006 --> 01:06:45.507]  He stands for truth.
[01:06:46.767 --> 01:06:48.968]  He stands for justice.
[01:06:49.988 --> 01:06:52.328]  He stands for what's right.
[01:06:52.428 --> 01:06:54.629]  This is the Alex Jones Show.
[01:06:55.697 --> 01:06:58.582]  Call Alex now, toll free at 877-590-5525.
[01:06:58.642 --> 01:07:02.287]  Now live from Austin, Texas, here's Alex Jones.
[01:07:11.972 --> 01:07:13.293]  We are locked and loaded.
[01:07:13.353 --> 01:07:15.154]  This is the Info War.
[01:07:15.234 --> 01:07:18.996]  You are on the tip of the spear in the fight for liberty and freedom against the globalists.
[01:07:19.016 --> 01:07:21.217]  We are breaking the mainstream media's conditioning.
[01:07:21.477 --> 01:07:23.538]  They're brainwashing our false left-right paradigm.
[01:07:23.558 --> 01:07:24.578]  We are taking action.
[01:07:24.918 --> 01:07:27.200]  Okay, next segment I'm getting into the gun grab treaty.
[01:07:27.520 --> 01:07:28.540]  All the latest gun grabbing.
[01:07:28.560 --> 01:07:29.581]  This is off the chart.
[01:07:30.041 --> 01:07:33.283]  Obama keeps using his military program of saying this is not an assault.
[01:07:33.583 --> 01:07:34.523]  We don't want your guns.
[01:07:34.543 --> 01:07:37.004]  This is not amnesty as they push for amnesty.
[01:07:37.305 --> 01:07:39.526]  This is not a carbon tax as it is a carbon tax.
[01:07:40.266 --> 01:07:53.396]  using his move to go after our guns and everything else uh... with the smokescreen of the hyped-up manufactured flu known as the porcine piggly wiggly flu let's go ahead and take a call.
[01:07:53.416 --> 01:07:55.138]  Now listen, I'm going to do this because I'm really bad.
[01:07:55.418 --> 01:08:08.668]  Caller calls up, gets me on a rant and a rave about the census takers violating the law, color of law, intimidating people to turn into snitches on themselves and tell faceless bureaucrats all this stuff in fact I've
[01:08:09.221 --> 01:08:11.983]  We googled census takers forced their way into door from 2000.
[01:08:12.043 --> 01:08:14.564]  We found a bunch of new stuff like this one.
[01:08:15.145 --> 01:08:18.527]  First video footage of censor taker and GPS in neighborhood.
[01:08:18.827 --> 01:08:20.989]  Worker gets upset with homeowner for videotape.
[01:08:21.369 --> 01:08:23.850]  Then tells the guy, you can't videotape me in your own house.
[01:08:24.311 --> 01:08:28.133]  I mean, now it's not enough to have cops on a power trip violating the Bill of Rights.
[01:08:28.513 --> 01:08:36.819]  Now it's just millions of little, little mindless idiots who haven't even given 10 minutes of training about the Bill of Rights running around on power trips.
[01:08:37.515 --> 01:08:38.217]  Anyways, let's go ahead.
[01:08:38.237 --> 01:08:44.871]  I'm going to give each caller about a minute because I want to take seven calls in this segment and then come back and get into all of this vital news.
[01:08:45.954 --> 01:08:47.718]  Michael, you're on the air from Los Angeles.
[01:08:47.738 --> 01:08:48.099]  Go ahead.
