[00:00:04.821 --> 00:00:05.461]  It is Monday.
[02:11:29.965 --> 02:11:31.966]  So I don't have any concern about that.
[02:11:33.018 --> 02:11:35.719]  Well, yeah, that's the way it is, I guess, in Central and South America.
[02:11:35.719 --> 02:11:37.000]  The people are the salt of the earth.
[02:11:37.000 --> 02:11:47.904]  You've usually got a small criminal group feeding on them, but from just looking at places to send my family if I have to, the area of Ecuador you're in, separate from your research, does look like a pretty good area.
[02:11:47.904 --> 02:11:50.485]  Tell us about your facility, then I want to get into the flu.
[02:11:52.102 --> 02:11:52.663]  Okay, sure.
[02:11:52.663 --> 02:11:56.886]  Well, we have some acreage here, and we grow all kinds of food.
[02:11:56.886 --> 02:12:03.412]  We have 80 different types of food and superfruits, 75 different trees just on our own land here.
[02:12:04.099 --> 02:12:15.985]  And we grow far more than we can eat, so we donate food to the local community to help people there, and to help create good relationships between myself, a foreigner, and the local people.
[02:12:15.985 --> 02:12:19.547]  And, like you said, these are really good people.
[02:12:19.547 --> 02:12:25.951]  And Alex, this society cannot collapse, because they already live so close to the Earth.
[02:12:26.491 --> 02:12:28.173]  I mean, they can do without water.
[02:12:28.173 --> 02:12:29.795]  They can do without electricity.
[02:12:29.795 --> 02:12:33.459]  They don't have heating and cooling here because the temperature doesn't require it.
[02:12:33.459 --> 02:12:39.405]  If the whole world falls apart, there are certain places on this planet where people are going to be just almost business as usual.
[02:12:39.405 --> 02:12:40.847]  And this is one of those places.
[02:12:42.341 --> 02:12:43.542]  Amazing.
[02:12:43.542 --> 02:12:44.023]  The flu.
[02:12:44.023 --> 02:12:45.724]  You're watching this.
[02:12:45.724 --> 02:12:49.808]  You're actually down in the hemisphere where a lot of this cranked up.
[02:12:49.808 --> 02:12:52.130]  We've seen the flu chart from the CDC.
[02:12:52.130 --> 02:12:54.352]  They say it peaks in a week and a half.
[02:12:54.352 --> 02:12:57.635]  Very mild, but people are being forced to take the regular shot.
[02:12:57.635 --> 02:12:58.496]  They're being intimidated.
[02:12:58.496 --> 02:13:02.660]  They're now starting this week with the regular H1N1.
[02:13:02.660 --> 02:13:05.983]  We've got vaccine trial deaths with other similar vaccines in Europe.
[02:13:06.764 --> 02:13:13.369]  We have the very same vaccine makers like Bayer caught knowingly shipping out HIV filled shots with hepatitis.
[02:13:13.369 --> 02:13:19.434]  No one seems to point out why do we trust these people that they're deploying troops in major cities everywhere.
[02:13:19.434 --> 02:13:25.780]  They are savagely attacking peaceful protesters and even going on university campuses saying no one's allowed outside day or night.
[02:13:26.320 --> 02:13:28.421]  Alright, and I apologize in advance.
[02:13:28.421 --> 02:13:34.425]  If I do get disconnected, I'll call right back in, because I am talking to you from southern Ecuador, and sometimes that happens.
[02:13:34.425 --> 02:13:34.685]  In any case,
[02:13:52.530 --> 02:14:05.358]  The number one thing that I think most Americans need to be aware of right now is that even if they never got the vaccine, and even if they never showed flu symptoms, they may already have antibodies for the swine flu.
[02:14:05.358 --> 02:14:07.720]  They may have already been exposed.
[02:14:07.720 --> 02:14:09.941]  And their immune system did its job.
[02:14:09.941 --> 02:14:15.424]  You know, the job that God meant our immune system to do, which is to overcome infectious disease.
[02:14:15.424 --> 02:14:19.487]  You may be walking around right now immune to swine flu.
[02:14:20.160 --> 02:14:33.224]  And yet, at the same time, these authorities want everybody to be injected anyway, regardless of your status, regardless of what the side effects might be, and without any long-term testing ever being done on any of these vaccines.
[02:14:33.224 --> 02:14:37.925]  So this vaccine, I agree with your previous guests over the last several weeks who have said,
[02:14:38.545 --> 02:14:43.747]  This vaccine is more dangerous than the pandemic, by far.
[02:14:43.747 --> 02:14:45.228]  Let me just interrupt briefly.
[02:14:45.228 --> 02:14:59.053]  Dr. Monteith made the point from the CDC's own numbers, upwards of 37% of Americans when they get tested who are healthy already have the antibodies for the H1N1, meaning that it's already massively in the public and a very weak virus.
[02:14:59.053 --> 02:15:04.756]  So why would they, and they still inoculate people who have the antibodies.
[02:15:04.756 --> 02:15:05.576]  Totally pointless.
[02:15:07.093 --> 02:15:08.134]  Yeah, exactly.
[02:15:08.134 --> 02:15:09.616]  Well, it comes down to this.
[02:15:09.616 --> 02:15:13.339]  They use taxpayer dollars to buy all these vaccines.
[02:15:13.339 --> 02:15:16.662]  And if they don't find a way to use them, they're going to look pretty darn stupid.
[02:15:16.662 --> 02:15:24.569]  So they are going to push this pandemic, regardless of the scientific basis for it, which is really no basis for vaccination at this point.
[02:15:25.310 --> 02:15:32.840]  And this is going to make sure they use up all these vaccines, even if that means injecting babies and children and immune-compromised people.
[02:15:32.840 --> 02:15:37.807]  I mean, they're just going to use them up to justify the decision that they made to buy these vaccines.
[02:15:37.807 --> 02:15:40.010]  That's not medical policy.
[02:15:40.010 --> 02:15:40.691]  That's politics.
[02:15:42.079 --> 02:15:49.164]  Did you see the Reuters story two weeks ago where they said, oh, millions are going to die of heart attacks and strokes and autoimmune stuff.
[02:15:49.164 --> 02:15:52.487]  They're going to think it's after they take the shot, but it's impossible.
[02:15:52.487 --> 02:15:54.328]  The shot can't have a bad reaction.
[02:15:54.328 --> 02:15:57.951]  So they're getting everybody ready for the bad reaction, saying it's a conspiracy.
[02:15:57.951 --> 02:15:58.972]  It doesn't exist.
[02:15:58.972 --> 02:16:05.317]  When their own internal CDC memorandums that were released a month ago said, no, get ready for adverse effects.
[02:16:06.570 --> 02:16:10.914]  Yeah, this is, I call it preemptive hypnosis of the consumers.
[02:16:10.914 --> 02:16:18.841]  They're trying to feed people this line to make them ignore the side effects and discount them as being just coincidence.
[02:16:18.841 --> 02:16:21.263]  But we've got a plan to do something about this.
[02:16:21.263 --> 02:16:26.568]  We're going to have a website out there where people can post the side effects that they're experiencing.
[02:16:26.568 --> 02:16:28.650]  And we'll be announcing that within a few days.
[02:16:28.650 --> 02:16:30.832]  So we've got to get some of this on the record, Alex, because
[02:16:32.073 --> 02:16:35.795]  The whole medical industry is trying to whitewash this entire thing.
[02:16:35.795 --> 02:16:40.859]  They have full immunity, they take no responsibility, and they don't value human life.
[02:16:40.859 --> 02:16:42.740]  We'll talk about conflict of interest.
[02:16:42.740 --> 02:16:53.628]  I mean, they're the ones profiting from it, running the genocide, and then they preemptively say, if you get Guillain-Barré or you get any of these other diseases, or you die or get sick, it wasn't the vaccine preemptively.
[02:16:55.410 --> 02:16:56.171]  Right.
[02:16:56.171 --> 02:17:11.500]  And remember this, this is research that has come out of Canada just in the last two days, that people who get the regular seasonal flu shot may be at an increased risk of being harmed by the swine flu if they do get exposed to the swine flu.
[02:17:11.500 --> 02:17:16.743]  So now we've got a case where one vaccine is worsening potentially the pandemic.
[02:17:17.978 --> 02:17:20.800]  And yet they're pushing both of these vaccines on everyone.
[02:17:20.800 --> 02:17:22.721]  Of course, I say don't take any of the vaccines.
[02:17:22.721 --> 02:17:27.503]  Just take care of your immune system and you're going to be fine.
[02:17:27.503 --> 02:17:34.607]  You know, it's anecdotal, but neighbor kids playing my yard, a bunch of them got a shot a week and a half ago.
[02:17:34.607 --> 02:17:40.050]  Now, two of the four neighbor kids are sick in bed the last week and a half, and their parents can't put two and two together.
[02:17:41.861 --> 02:17:43.022]  It's very common, Alex.
[02:17:43.022 --> 02:17:57.848]  If you look at many of the outbreaks of infectious disease over the last several decades, you'll find that many of the people who were infected, in some cases the vast majority, were in fact the very people who received the vaccination injections.
[02:17:57.848 --> 02:18:01.890]  I've called vaccines, Alex, the quackery of modern medicine.
[02:18:02.466 --> 02:18:05.087]  This is the one thing that they cannot give up.
[02:18:05.087 --> 02:18:16.290]  They can't tell the truth about vaccines because so much of western medicine and pharmacology depends on this mythology that chemical intervention is the solution to your health problems.
[02:18:16.290 --> 02:18:17.931]  But it's not.
[02:18:17.931 --> 02:18:23.753]  It's just a collection of lies and we are seeing it now very clearly with this swine flu vaccine.
[02:18:25.569 --> 02:18:26.571]  Amazing.
[02:18:26.571 --> 02:18:27.052]  Continue.
[02:18:27.052 --> 02:18:35.768]  We're about to go to break, but with the talk of forced inoculations, trying to force medical workers to do it, while Obama says, don't worry, you don't have to take it.
[02:18:37.985 --> 02:18:39.046]  Well, very clearly.
[02:18:39.046 --> 02:18:40.607]  We're getting lots of reports from people.
[02:18:40.607 --> 02:18:42.849]  You know, we get thousands of emails sometimes.
[02:18:42.849 --> 02:18:54.278]  And healthcare workers are complaining to us that they are being threatened, they're being intimidated, and they're losing their jobs now because of their refusals to get the swine flu vaccination.
[02:18:54.278 --> 02:18:56.139]  And this is happening all across America.
[02:18:56.139 --> 02:19:00.563]  So it is being made mandatory in several different ways, even though they don't admit it.
[02:19:00.563 --> 02:19:04.926]  Oh yeah, they're having a big protest in New York and New Jersey tomorrow, and it's now mainstream news.
[02:19:04.926 --> 02:19:05.727]  They're firing people.
[02:19:06.761 --> 02:19:07.721]  Oh yeah, they are.
[02:19:07.721 --> 02:19:09.162]  Yeah, they're just gonna kick them right out.
[02:19:09.162 --> 02:19:12.483]  And the thing is, these nurses, they know what they're talking about.
[02:19:12.483 --> 02:19:25.927]  They can go to their bosses in the hospitals and they can present documentation that, you know, I'm a healthy person, I have high vitamin D levels, I don't have respiratory problems, I'm not susceptible to swine flu infection, and I'm healthy, but it doesn't matter.
[02:19:25.927 --> 02:19:28.488]  They say take the injection or take a hike.
[02:19:28.488 --> 02:19:30.169]  That's what they're being told right now, Alex.
[02:19:32.975 --> 02:19:36.777]  Meanwhile, the military propaganda arm is saying, no one has to take it.
[02:19:36.777 --> 02:19:38.977]  Don't listen to the conspiracy theorists.
[02:19:38.977 --> 02:19:42.399]  Just take the shot or you're fired, but no one's making you.
[02:19:42.399 --> 02:19:44.059]  All psych warfare.
[02:19:44.059 --> 02:19:49.181]  I want to get the bottom line from Mike Adams, the health ranger, on what he believes is really going on here.
[02:19:49.181 --> 02:19:51.502]  A lot of scientists are saying this is man-made.
[02:19:51.502 --> 02:19:54.884]  They're saying they may release something else that's mutated that's more deadly.
[02:19:54.884 --> 02:19:59.686]  Why do we see such a massive buildup for something that looks so incredibly mild on the surface?
[02:19:59.686 --> 02:20:00.226]  Stay with us.
[02:20:03.260 --> 02:20:06.322]  Comfort food is the food you turn to when you've had a bad day.
[02:20:06.322 --> 02:20:08.984]  It's also the first thing you want when it's time to celebrate.
[02:20:08.984 --> 02:20:12.727]  eFoods Direct just finished developing our new Nutraversal Foods.
[02:20:12.727 --> 02:20:19.052]  Close your eyes and taste our creamy three cheese blend macaroni and cheese, and you'll swear you're eating fresh pasta in downtown Italy.
[02:20:19.412 --> 02:20:23.295]  Dig into our chili with cornmeal dumplings and you'll feel like a wealthy Texan.
[02:20:23.295 --> 02:20:27.658]  Or sip a cup of warm potato cheddar soup and be soothed on a cold rainy day.
[02:20:27.658 --> 02:20:29.920]  New Traversal Foods from eFoods Direct.
[02:20:29.920 --> 02:20:31.281]  Your new comfort food.
[02:20:31.281 --> 02:20:34.363]  Incredible taste, easy to prepare, and a long shelf life.
[02:20:34.363 --> 02:20:35.624]  New Traversal Foods.
[02:20:35.624 --> 02:20:42.329]  More fun while hunting and fishing, bigger tails around the campfire, and the food your kids will want when celebrating the win of a ballgame.
[02:20:42.329 --> 02:20:46.812]  And if it's this great during the good times, imagine how reassuring it will be if times get tough.
[02:20:51.618 --> 02:20:52.499]  It is a big idea.
[02:20:52.499 --> 02:20:53.900]  A new world order.
[02:20:53.900 --> 02:20:57.643]  In the near future, Earth is dominated by a powerful world government.
[02:20:57.643 --> 02:20:59.625]  It's known as the Bilderberg Group.
[02:20:59.625 --> 02:21:04.148]  Could their objective be world domination?
[02:21:04.148 --> 02:21:06.230]  For thousands of years, their dark order grew.
[02:21:19.185 --> 02:21:29.549]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[02:21:29.549 --> 02:21:34.451]  For the first time in history, the elite's plan for world government is blown wide open.
[02:21:34.983 --> 02:21:38.844]  You will learn the secret that drives the entire New World Order agenda.
[02:21:38.844 --> 02:21:41.425]  The Olivera gets to make great progress for New World Order.
[02:21:41.425 --> 02:21:42.585]  Most people have no idea.
[02:21:42.585 --> 02:21:43.365]  They're not after money.
[02:21:43.365 --> 02:21:44.646]  They have all the money they need.
[02:21:44.646 --> 02:21:45.626]  They're after power.
[02:21:45.626 --> 02:21:46.786]  That's their aphrodisiac.
[02:21:46.786 --> 02:21:51.548]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[02:21:51.548 --> 02:21:55.489]  Or watch it online right now at PrisonPlanet.tv.
[02:21:55.489 --> 02:21:58.290]  Endgame, blueprint for global enslavement.
[02:21:58.290 --> 02:21:59.450]  You have been warned.
[02:22:00.416 --> 02:22:07.078]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[02:22:07.078 --> 02:22:15.200]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[02:22:15.200 --> 02:22:23.362]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[02:22:23.362 --> 02:22:28.123]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[02:22:28.463 --> 02:22:33.685]  Congressman Ron Paul states it's what every American needs to know about central bank power.
[02:22:33.685 --> 02:22:38.027]  A gripping adventure into the secret world of international banking cartel.
[02:22:38.027 --> 02:22:39.108]  Hi, this is Ted Anderson.
[02:22:39.108 --> 02:22:43.610]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[02:22:43.610 --> 02:22:48.512]  Call 1-800-686-2237 and order a copy today.
[02:22:48.512 --> 02:22:51.513]  It's critical that the public be made aware of the system.
[02:22:51.513 --> 02:22:53.154]  Call and order your copy today at 1-800-686-2237.
[02:22:56.335 --> 02:22:59.656]  That's 1-800-686-2237.
[02:22:59.656 --> 02:23:03.398]  When looking at your personal preparedness level, remember the freeze-dry guide.
[02:23:03.398 --> 02:23:10.561]  During times of physical and emotional stress, like the uncertain times we live in today, it is vital that you not alter your diet too much.
[02:23:10.561 --> 02:23:12.482]  You should only store what you usually eat
[02:23:12.742 --> 02:23:15.866]  Because one day you may have to eat only what you have stored.
[02:23:15.866 --> 02:23:17.948]  Lucky for you, there's the Freeze-Dry Guy.
[02:23:17.948 --> 02:23:24.436]  Featuring the superior nutrition and taste you've come to expect, the Freeze-Dry Guy has a wide variety of choices in freeze-dried foods.
[02:23:24.436 --> 02:23:29.181]  All freeze-dried foods are no-cook products, requiring only hot water and a few minutes of your time.
[02:23:29.381 --> 02:23:38.709]  The Freeze-Dry Guy has been serving various government agencies as well as the private sector with the finest in freeze-dried storable foods and emergency rations since 1970.
[02:23:38.709 --> 02:23:45.375]  Consider the technological advances made in computers from the punch card days of the 60s and 70s to the high-speed personal computers of today.
[02:23:45.575 --> 02:23:50.598]  Comparably, the advances made in food storage from the World War II era till now are equally great.
[02:23:50.598 --> 02:23:55.642]  Visit the website at www.freezedryguy.com or call toll-free 866-404-3663.
[02:23:55.642 --> 02:23:57.083]  You look like an angel.
[02:23:57.083 --> 02:23:57.863]  Walk like an angel.
[02:24:12.987 --> 02:24:22.396]  You know, Mike Adams, Health Rangers, joining us from Ecuador.
[02:24:28.462 --> 02:24:30.063]  It's not even a devil in disguise.
[02:24:30.063 --> 02:24:35.066]  I mean the history of vaccines, the history of these drug makers, the history of how they're involved in eugenics.
[02:24:35.066 --> 02:24:39.308]  Not 50 years ago, I mean they were, but 5 years ago, a year ago.
[02:24:39.308 --> 02:24:45.172]  How they kill us on purpose, how they do this by design, how we're in this scientific big pharma dictatorship.
[02:24:46.894 --> 02:24:48.334]  It's just incredible.
[02:24:48.334 --> 02:25:09.660]  You go over the 10 big lies of the vaccine, but before we go into that and take calls in the next segment, from your deep study of this, and I really respect your wide-ranging view and research on this, and you're probably the biggest alternative media person when it comes to just alternative health, and all the experts you talk to, what is this whole flu hype really about?
[02:25:11.001 --> 02:25:24.187]  Well, thanks for asking that question, by the way, because there's a lot of information that comes to me that I really don't... I can't substantiate well enough to publish, but it comes to me from several different sources, so it starts to paint a picture.
[02:25:24.187 --> 02:25:39.293]  For example, I had a physician visiting me here in Ecuador recently, and this physician was telling me about the training that they had just received for how to handle people who were refusing to swine flu vaccinations.
[02:25:39.293 --> 02:25:40.494]  And this is
[02:25:41.425 --> 02:25:59.716]  Totally, completely congruent with the reports we're getting from certain law enforcement personnel, sheriffs especially, who are saying that they're receiving either training or instruction on how to deal with swine flu vaccine checkpoints and the so-called refuse nicks, people who refuse the vaccine.
[02:25:59.716 --> 02:26:06.941]  And that's in the level 6 literature globally and a lot of the info we were getting 2-3 weeks ago is now being confirmed, so this is going on.
[02:26:08.135 --> 02:26:12.298]  Oh yeah, absolutely, and I've heard it first-hand from people that I know and trust.
[02:26:12.298 --> 02:26:14.399]  It's not just random bloggers emailing me things.
[02:26:14.399 --> 02:26:16.781]  These are people I've known for many years.
[02:26:16.781 --> 02:26:20.504]  There's an undercurrent that is definitely happening.
[02:26:20.504 --> 02:26:31.651]  Now, I can't say if it's a plan to make these things happen, or if it's just a contingency plan in case this pandemic gets out of control.
[02:26:31.651 --> 02:26:35.534]  Or if it's a drill to test military and police to see if they'll do it.
[02:26:36.691 --> 02:26:38.572]  Oh yeah, exactly.
[02:26:38.572 --> 02:26:41.393]  There's definitely an element of that going on.
[02:26:41.393 --> 02:26:51.937]  I think, Alex, I think that these people are listening to your show, they're reading my website, they're watching what the physicians and the nurses and the healthcare professionals actually do.
[02:26:51.937 --> 02:26:53.978]  Oh no, they've written about that.
[02:26:53.978 --> 02:26:57.200]  Fox News, others have written about this show particularly.
[02:26:57.200 --> 02:26:58.320]  I've seen you singled out.
[02:26:58.320 --> 02:27:00.081]  No, they admit they're monitoring us right now.
[02:27:01.249 --> 02:27:07.730]  Oh yeah, it's all part of the same plan to make sure that they can properly manipulate the population.
[02:27:07.730 --> 02:27:16.832]  And that's why you get into that story that you mentioned before the break about the preemptive hypnosis of people to discount the swine flu vaccine side effect.
[02:27:16.832 --> 02:27:25.514]  But if you ask me what the underlying purpose of all of this, there are two that really come to mind.
[02:27:26.115 --> 02:27:34.039]  And one is that vaccines are fantastic at creating future business for the pharmaceutical companies.
[02:27:34.039 --> 02:27:45.485]  Because if you vaccinate everybody, you're going to get down the road a certain percentage of people with liver problems, with neurological problems especially, and of course, immune system problems.
[02:27:45.485 --> 02:27:54.430]  And this means future business for the cancer industry, future business for the transplant industry, which is steeped in all kinds of evil doing that we can't even go into.
[02:27:55.199 --> 02:27:57.180]  But you see where I'm going with this, Alex?
[02:27:57.180 --> 02:27:59.482]  This creates a lot of business.
[02:27:59.482 --> 02:28:01.443]  And it's all about money.
[02:28:01.443 --> 02:28:07.407]  But the second possibility here is about population control.
[02:28:07.407 --> 02:28:12.991]  And if you look at the chemicals that are being put into these vaccines, you know, the squalene in particular,
[02:28:13.965 --> 02:28:18.228]  This is a chemical that is associated with increased infertility.
[02:28:18.228 --> 02:28:23.152]  And what a brilliant, clever, evil way to cause widespread infertility.
[02:28:23.152 --> 02:28:26.114]  Just get everybody to sign up for an injection.
[02:28:26.114 --> 02:28:31.097]  And frying immune systems.
[02:28:31.097 --> 02:28:32.398]  Absolutely.
[02:28:32.398 --> 02:28:39.243]  I think that the medical complex in this country wants to keep people immune-compromised
[02:28:39.947 --> 02:28:43.570]  And completely ignorant of medical reality.
[02:28:43.570 --> 02:28:51.415]  They don't want people to know about natural cures, for example, or all the cures for cancer that exist right now all around the world.
[02:28:51.415 --> 02:28:54.737]  I've got cures for cancer growing in my front yard here in Ecuador.
[02:28:54.737 --> 02:28:56.778]  They're all over South America.
[02:28:56.778 --> 02:28:59.520]  And North Americans haven't heard of many of these.
[02:28:59.520 --> 02:29:06.785]  But they exist, and they're being censored and oppressed because the people in charge want to keep the American people ignorant.
[02:29:08.800 --> 02:29:09.760]  Well, I agree with that.
[02:29:09.760 --> 02:29:17.704]  It's also about reinforcing the lie that you've got to take vaccines, setting the precedent that you've got to take vaccines.
[02:29:17.704 --> 02:29:19.464]  It's also, as you said, a soft kill weapon.
[02:29:19.464 --> 02:29:26.367]  Like, look at how they've increased the vaccinations for hepatitis, then suddenly levels of hepatitis explode off the charts.
[02:29:26.367 --> 02:29:30.229]  Let's come back and talk about that on the other side with Mike Adams, the Health Ranger.
[02:29:30.229 --> 02:29:31.269]  I'm Alex Jones.
[02:29:31.269 --> 02:29:32.630]  Your phone calls as well at 1-800-259-9231.
[02:29:35.791 --> 02:29:37.592]  I realize a lot of your calls will be all over the map.
[02:29:37.592 --> 02:29:38.572]  We'll move to you quickly.
[02:29:38.572 --> 02:29:44.235]  But if you have questions on the flu, or questions about medical issues, Mike Adams is a real authority.
[02:29:44.235 --> 02:29:45.636]  We really are honored to have him here.
[02:29:45.636 --> 02:29:51.399]  He's a great asset to Liberty and Freedom.
[02:29:51.399 --> 02:29:52.799]  We're on the march.
[02:29:52.799 --> 02:29:55.320]  The Empire's on the run.
[02:29:55.320 --> 02:29:58.002]  Alex Jones and the GCN Radio Network.
[02:30:00.811 --> 02:30:05.035]  Hello friends, this is Alex Jones, and I want each of you to ask yourself this question.
[02:30:05.035 --> 02:30:07.057]  Do you really know what's in your tap water?
[02:30:07.057 --> 02:30:15.585]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[02:30:15.585 --> 02:30:21.130]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[02:30:21.130 --> 02:30:22.752]  Now, what are you going to do about it?
[02:30:22.972 --> 02:30:29.498]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[02:30:29.498 --> 02:30:40.549]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultraviolet light sterilization techniques.
[02:30:40.549 --> 02:30:41.930]  That's right, clean water.
[02:30:42.190 --> 02:30:42.590]  We're good to go.
[02:31:00.768 --> 02:31:06.075]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[02:31:06.075 --> 02:31:10.601]  Will you continue to be their profit center, buying their processed food that makes you sick?
[02:31:10.601 --> 02:31:12.884]  Go to the doctor and buy their drugs?
[02:31:12.884 --> 02:31:14.506]  You don't have to cooperate.
[02:31:14.506 --> 02:31:15.548]  There is a solution.
[02:31:15.768 --> 02:31:24.194]  Interhealth Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[02:31:24.194 --> 02:31:31.659]  Try their Interfood with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[02:31:31.659 --> 02:31:37.323]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health ranger.
[02:31:37.683 --> 02:31:43.708]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[02:31:43.708 --> 02:31:47.851]  Try all of their truly honest products that will keep you alive and healthy.
[02:31:47.851 --> 02:31:55.316]  Go to enerfood.com or give them a call right now, 866-762-9238.
[02:31:55.316 --> 02:31:58.619]  Click on their banner at infowars.com to see all the available discounts.
[02:32:01.118 --> 02:32:01.478]  I think so.
[02:32:22.719 --> 02:32:26.123]  Our powder is 50% protein and does not contain gluten.
[02:32:26.123 --> 02:32:28.565]  Gluten impairs the cells from absorbing nutrients.
[02:32:28.565 --> 02:32:35.172]  This nutrient-dense food can be stored up to five years when vacuum packed and is priced affordably to be used as a storable food.
[02:32:35.172 --> 02:32:38.696]  HempUSA.org is a bulk shipper starting with five pounds and up.
[02:32:38.696 --> 02:32:42.560]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[02:32:45.743 --> 02:32:48.906]  The body will react and heal itself given the proper nutrition.
[02:32:48.906 --> 02:32:51.108]  This superfood will be your greatest asset.
[02:32:51.108 --> 02:32:54.771]  So try it today, store it today, and change your life.
[02:32:54.771 --> 02:33:11.664]  Call 908-691-2608 or order from hempusa.org.
[02:33:11.664 --> 02:33:13.446]  We're here live Monday through Friday.
[02:33:15.058 --> 02:33:16.179]  12 noon to 4 p.m.
[02:33:16.179 --> 02:33:16.499]  Eastern.
[02:33:16.499 --> 02:33:18.680]  Thank you for joining us.
[02:33:18.680 --> 02:33:21.761]  This show is not about races or religions fighting with each other.
[02:33:21.761 --> 02:33:25.743]  It's not about bashing any one group.
[02:33:25.743 --> 02:33:34.988]  It's about waking up to the scientific dictatorship we live under and warning the people and saying no as free sentient beings on this planet.
[02:33:34.988 --> 02:33:38.490]  And if we don't shatter the false left-right paradigm, it's over for this society.
[02:33:38.490 --> 02:33:40.191]  Going back to Mike Adams in a moment.
[02:33:41.278 --> 02:33:41.498]  I don't
[02:34:01.909 --> 02:34:11.229]  A guard with border patrol deep inside a state and they asked him if he'd had his flu shot, started asking if he had a bracelet and people were honking and they waved him on through.
[02:34:12.386 --> 02:34:17.427]  California Swine Flu Checkpoint Identified, ladies and gentlemen, is the headline at PrisonPlanet.com.
[02:34:17.427 --> 02:34:22.208]  Before we go back to my guest, I want to tell you about one of our sponsors that makes this hour possible.
[02:34:22.208 --> 02:34:23.828]  That's Front Sight.
[02:34:23.828 --> 02:34:25.449]  Front Sight Firearms.
[02:34:25.449 --> 02:34:27.129]  FrontSight.com.
[02:34:27.129 --> 02:34:31.710]  Have you heard of the millionaire patriot, Dr. Ignatius Piazza, the founder of the Front Sight Firearms Training Institute?
[02:34:31.710 --> 02:34:35.251]  He's offering a free handgun and five days of firearms training to my listeners.
[02:34:36.124 --> 02:34:42.568]  The offer is only available for a limited time because Dr. Piaget is literally paying his own money out of pocket to be able to offer you this deal and won't last forever.
[02:34:42.568 --> 02:34:43.448]  So listen up.
[02:34:43.448 --> 02:34:51.132]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit all for pennies on the dollar.
[02:34:51.132 --> 02:34:56.515]  Act fast, you will be given a free spring-filled Armory XD pistol in the caliber of your choice.
[02:34:56.515 --> 02:35:00.438]  It's one thing to own a bunch of guns and ammo to defend yourself from criminals and
[02:35:01.258 --> 02:35:04.699]  Other groups, but it's one another thing to actually be trained.
[02:35:04.699 --> 02:35:06.040]  No drill instructor attitude.
[02:35:06.040 --> 02:35:06.880]  It's awesome.
[02:35:06.880 --> 02:35:08.020]  Frontsight.com.
[02:35:08.020 --> 02:35:10.921]  That's frontsight.com.
[02:35:10.921 --> 02:35:14.523]  And one last sponsor I want to tell you about is mysolarbackup.com.
[02:35:14.523 --> 02:35:17.404]  A lot of things can cut off your electrical power, hurricanes, snow, ice storms.
[02:35:18.976 --> 02:35:20.857]  Global greenhouse taxes, you name it.
[02:35:20.857 --> 02:35:24.019]  Listeners should move towards getting off the grid, and here's a way to do just that.
[02:35:24.019 --> 02:35:28.041]  The solar power generator is now available from our longtime sponsor, Solutions from Science.
[02:35:28.041 --> 02:35:35.465]  You get an emergency power backup kit, which consists of the power source, 800-watt generator, and a high-efficiency solar panel designed to provide endless electricity.
[02:35:35.465 --> 02:35:41.008]  Remember, too, that gas generators need gas, but in a blackout, gas pumps can't pump gas because they run on electricity.
[02:35:41.008 --> 02:35:43.670]  It's a perfect emergency backup for these troubled times.
[02:35:43.670 --> 02:35:46.431]  The government doesn't own the sun yet, folks, so make your move today.
[02:35:46.431 --> 02:35:47.432]  MySolarBackup.com.
[02:35:49.993 --> 02:35:51.153]  Or 877-327-0365.
[02:35:51.153 --> 02:35:55.015]  MySolarBackup.com or 877-327-0365.
[02:35:55.015 --> 02:36:02.957]  And I won't belabor this anymore, but I will just tell you, the listeners, that my new film is done.
[02:36:02.957 --> 02:36:06.519]  We sent crews out 17 times around the country for these interviews.
[02:36:06.519 --> 02:36:09.060]  Alan Watts in it, just to give you an idea.
[02:36:09.060 --> 02:36:09.680]  Went to Canada.
