[00:00:00.792 --> 00:00:02.733]  Hit it boys!
[00:51:05.217 --> 00:51:06.198]  It's just unbelievable.
[00:51:08.800 --> 00:51:10.302]  Let's go ahead and take your phone calls.
[00:51:10.322 --> 00:51:12.964]  We'll only get to a few in this hour, but we'll take a ton in the next hour.
[00:51:13.925 --> 00:51:16.708]  I think I've covered most of the different angles and points here.
[00:51:18.151 --> 00:51:19.072]  There's the other headline.
[00:51:19.132 --> 00:51:22.115]  Homeless people die after bird flu vaccine trial in Poland.
[00:51:23.196 --> 00:51:28.162]  In one test alone, 20 plus homeless died after being given the shot.
[00:51:28.722 --> 00:51:30.905]  Experimental secret bird flu trial.
[00:51:31.145 --> 00:51:36.651]  Then they had labs testing the Baxter regular vaccine that had weaponized bird flu mixed in.
[00:51:38.157 --> 00:51:39.718]  My God, these companies are wicked!
[00:51:39.758 --> 00:51:49.264]  And you have the White House Science Chief calling for world sterilization and for all children to be taken at birth by the CPS and raised in government dormitories?
[00:51:50.324 --> 00:51:53.286]  A government policy book he wrote that's being implemented?
[00:51:53.606 --> 00:51:54.927]  These people mean business!
[00:51:55.127 --> 00:51:58.589]  And the guy he co-wrote it for was one of Bush's science advisors.
[00:51:59.030 --> 00:51:59.410]  Ehrlich!
[00:52:00.691 --> 00:52:07.495]  Not just John P. Holdren and his book, Ecoscience.
[00:52:08.792 --> 00:52:11.173]  I mean, you trust these people to do anything?
[00:52:11.193 --> 00:52:14.255]  Alright, I've made my points.
[00:52:14.315 --> 00:52:14.975]  I've said my piece.
[00:52:15.015 --> 00:52:15.756]  Let's take your calls.
[00:52:16.056 --> 00:52:17.517]  Phil in Florida, thanks for holding.
[00:52:17.757 --> 00:52:18.357]  Go ahead, Phil.
[00:52:19.078 --> 00:52:19.858]  Yeah, hi Alex.
[00:52:19.918 --> 00:52:23.820]  I'll try to be quick because I want you and the listeners to be able to hear what I have to share.
[00:52:24.521 --> 00:52:34.066]  We had a woman who ran for Congress a couple of times here in Florida who's put together a letter addressed to the school board out where she lives.
[00:52:35.007 --> 00:52:38.251]  And I think it's a great model that can be used.
[00:52:38.671 --> 00:52:51.486]  A couple of points that she brings out in the letter, the WHO memo of July 13 stating the vaccines have not been tested and more importantly they contain oil-based adjuvants.
[00:52:52.034 --> 00:52:55.557]  Such as squalene, which was used in the anthrax vaccine.
[00:52:55.577 --> 00:52:57.579]  Yeah, and then people argue squalene isn't bad.
[00:52:57.599 --> 00:53:00.341]  It isn't that bad if you ingest a little through your intestines.
[00:53:00.361 --> 00:53:02.903]  Through your stomach and upper and lower intestine.
[00:53:03.164 --> 00:53:13.793]  The issue is, is that it accelerates autoimmune responses and has been proven in hundreds of government studies to cause the autoimmune swelling in the brain that causes brain damage.
[00:53:14.514 --> 00:53:23.640]  And what she does is she notes these things, she links them, just like your writers do for InfoWars and Prison Planet.
[00:53:24.801 --> 00:53:42.893]  With the CDPC planning assumption documents targeting K-12 and infants less than six months, she... Yeah, no, no, no, they said, and I appreciate your call, those are good points, they've said that they're going after children and pregnant women, the exact groups that this hurts the worst.
[00:53:43.615 --> 00:53:45.316]  Look, let me just recap.
[00:53:45.497 --> 00:53:55.505]  They were gearing up for this flu and getting mass graves and federalization and martial law grids ready in the months before they started hyping this non-event in April.
[00:53:55.765 --> 00:54:02.951]  Then the non-event happens, they openly announce the UN is running America and every other major nation's response to this, the World Health Organization.
[00:54:04.923 --> 00:54:08.284]  Now they're saying get ready for forced inoculations and that's the other great point.
[00:54:08.585 --> 00:54:15.467]  They admit it's an untested, unproven vaccine that is going to be for an earlier version and this thing's already mutated.
[00:54:16.208 --> 00:54:19.549]  Just like Gardasil doesn't even block the papillomavirus.
[00:54:19.929 --> 00:54:21.430]  It's absolute crap.
[00:54:21.850 --> 00:54:24.331]  It's not even, it's incredible fraud.
[00:54:24.551 --> 00:54:25.632]  The whole thing's a hoax.
[00:54:25.932 --> 00:54:27.673]  We don't know the specifics of the hoax.
[00:54:27.993 --> 00:54:29.933]  We just know the whole thing's a stinking lie.
[00:54:30.194 --> 00:54:31.074]  Why are they doing it?
[00:54:31.354 --> 00:54:32.054]  We don't know!
[00:54:32.535 --> 00:54:35.796]  Clearly is a political cover for all the stuff they're trying to pass.
[00:54:36.797 --> 00:54:38.157]  Oh, thank you Phil, great points.
[00:54:39.198 --> 00:54:42.940]  Yeah, I mean the vaccine, all the health problems, all the things, I mean it's just insane.
[00:54:43.520 --> 00:54:47.502]  Folks, in 76 they gave millions of Americans the shot and it killed tens of thousands.
[00:54:48.042 --> 00:54:51.544]  I could play the whole 60 Minutes piece from the 70s when it killed everybody.
[00:54:51.564 --> 00:54:54.906]  I mean, don't you forget the swine flu shots?
[00:54:57.127 --> 00:54:58.047]  Steve in Houston.
[00:54:58.387 --> 00:54:59.208]  Steve, you're on the air.
[00:55:00.342 --> 00:55:01.843]  Yeah, hey, good afternoon Alex.
[00:55:01.863 --> 00:55:08.387]  Before I give you my take about this flu, I wanted to give you that quote I didn't get to the other day from the Time Machine by H.G.
[00:55:08.447 --> 00:55:08.827]  Wells.
[00:55:09.428 --> 00:55:17.292]  This is an exact quote when Dr. or Professor Wells' friend is asking him about his preoccupation with time.
[00:55:17.332 --> 00:55:18.093]  This is what he said.
[00:55:18.553 --> 00:55:21.376]  I don't much care for the time I was born into.
[00:55:21.396 --> 00:55:24.519]  It seems people aren't dying fast enough these days.
[00:55:24.859 --> 00:55:30.906]  They call upon science to invent new, more efficient weapons to depopulate the earth.
[00:55:31.306 --> 00:55:32.287]  Yeah, no, no, H.G.
[00:55:32.307 --> 00:55:36.992]  Wells was a top eugenicist and he did predictive programming in his fiction.
[00:55:37.372 --> 00:55:40.175]  They are the Morlocks, we are the Eloi, the mindless idiots.
[00:55:40.535 --> 00:55:41.675]  Running around they feed on.
[00:55:41.735 --> 00:56:06.665]  He wrote scores of non-fiction, one titled The New World Order, calling for world eugenics, world sterilization, and then now we have a government policy textbook written by the science czar, calling for all of this, and the same guy saying they want to kill us, want us to take their shot, and they were gearing up for mass graves before this for the flu, and had already put in patents for the very swine flu vaccine a year before.
[00:56:08.971 --> 00:56:11.233]  Here's my take on this whole thing, okay?
[00:56:11.253 --> 00:56:27.109]  When you consider what you just quoted from his so-called science hour and the fact that he's pushing this so-called health care plan and these so-called government vaccine squads where he wants and forces three shots per person... That's right!
[00:56:27.169 --> 00:56:28.650]  He's now Dr. Obama!
[00:56:28.870 --> 00:56:30.252]  He says you need three now!
[00:56:31.067 --> 00:56:37.271]  You said the government's brought up now, what, 200 million vaccine doses of the vaccine.
[00:56:37.291 --> 00:56:38.852]  Well, that's how much they just made.
[00:56:38.892 --> 00:56:41.814]  They're going to get the other 100 million they need.
[00:56:41.894 --> 00:56:43.075]  Yeah, they have 195 mil.
[00:56:43.675 --> 00:56:50.179]  Right, so what I believe they're doing is, you know, you pegged it, this thing to start with, it was a halt as far as the effect they were saying.
[00:56:51.080 --> 00:56:53.982]  But that was the smoke screen to get their system in place.
[00:56:54.022 --> 00:56:54.282]  Go ahead.
[00:56:54.952 --> 00:57:10.279]  Right, they may be gearing up to release some real epidemic, but I think more importantly, what they're planning on doing is they're trying to scare people into taking what will kill them, which is the vaccines, which as you pointed out have live cancer viruses and other things in them.
[00:57:12.876 --> 00:57:13.517]  Absolutely.
[00:57:14.478 --> 00:57:21.287]  They admit that over 200 million Americans got cancer from the cancer viruses put in the polio vaccine alone.
[00:57:21.327 --> 00:57:27.355]  And every major vaccine line they study has cancer viruses implanted in it that have nothing to do with the manufacturing process.
[00:57:27.756 --> 00:57:33.699]  Just like half of corn syrup products have been found to have massive levels of mercury, according to the Washington Post and Federal Studies.
[00:57:34.120 --> 00:57:35.520]  It's all being added.
[00:57:35.740 --> 00:57:36.561]  It's eugenics.
[00:57:36.921 --> 00:57:44.265]  It's in the official UN documents, official State Department documents, official White House top scientist documents.
[00:57:44.545 --> 00:57:45.726]  It's really happening.
[00:57:45.906 --> 00:57:49.488]  They're counting on it being so incredibly evil that we can't face it.
[00:57:49.908 --> 00:57:50.909]  We must face it.
[00:57:51.109 --> 00:57:53.530]  Hour 2, your calls, straight ahead.
[00:57:53.590 --> 00:57:54.211]  Stay with us.
[00:58:02.500 --> 00:58:04.061]  Hello friends, this is Alex Jones.
[00:58:04.181 --> 00:58:08.843]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:58:08.923 --> 00:58:11.685]  We need to be independent, and food and water is the key.
[00:58:11.885 --> 00:58:14.747]  You'll never have to stand in a bread line if you have your own bread.
[00:58:14.927 --> 00:58:20.770]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:58:21.010 --> 00:58:23.952]  No one is going to take care of your family in the final equation but you.
[00:58:24.253 --> 00:58:31.138]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:58:31.238 --> 00:58:34.361]  And they do it at almost half the cost of last year's grocery prices.
[00:58:34.521 --> 00:58:36.402]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com.
[00:58:39.665 --> 00:58:45.730]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:58:45.910 --> 00:58:49.273]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:58:49.293 --> 00:58:50.414]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:58:50.434 --> 00:58:51.095]  Take action today.
[00:58:51.115 --> 00:58:52.596]  The first step is getting storable food.
[00:59:02.162 --> 00:59:06.146]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:59:06.386 --> 00:59:08.168]  Do you really know what's in your tap water?
[00:59:08.388 --> 00:59:16.676]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:59:16.917 --> 00:59:22.162]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:59:22.482 --> 00:59:24.104]  Now what are you going to do about it?
[00:59:24.324 --> 00:59:30.668]  The Acola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:59:30.848 --> 00:59:41.596]  The Acola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:59:41.896 --> 00:59:42.396]  That's right.
[00:59:42.656 --> 00:59:44.958]  Clean water, right from the air you breathe.
[00:59:45.238 --> 00:59:46.819]  Order today by calling 1-800-691-6043.
[00:59:46.839 --> 00:59:47.039]  That's 1-800-691-6043.
[00:59:54.224 --> 00:59:54.745]  We're good.
[01:00:16.823 --> 01:00:17.443]  Big Brother.
[01:00:18.124 --> 01:00:19.164]  Mainstream media.
[01:00:19.904 --> 01:00:20.985]  Government cover-ups.
[01:00:21.645 --> 01:00:22.465]  You want answers?
[01:00:23.246 --> 01:00:24.106]  Well, so does he.
[01:00:24.126 --> 01:00:28.468]  He's Alex Jones on the GCN Radio Network.
[01:00:28.988 --> 01:00:33.010]  And now, live from Austin, Texas, Alex Jones.
[01:00:34.758 --> 01:00:39.341]  Folks, you know I've been ranting and raving and frothing because there's just so many hundreds of points.
[01:00:39.421 --> 01:01:01.893]  It's completely obvious in our face their eugenicists, their hyping, flu and other pandemics as I predicted that are soft kill, that are very weak as a pretext to set up their control grids down the line to release more powerful plagues to actually wipe out large numbers like they've done with HIV as a cover virus for other operations they're launching in Africa.
[01:01:04.448 --> 01:01:06.889]  I'm going to recap all this, continue with your calls right now.
[01:01:08.129 --> 01:01:11.010]  Let's talk to, is it Nelson is next?
[01:01:12.150 --> 01:01:12.910]  Guys, can you hear me?
[01:01:14.391 --> 01:01:15.651]  Scott in Minnesota is next.
[01:01:15.711 --> 01:01:17.072]  Scott, you're on the air, go ahead.
[01:01:17.092 --> 01:01:25.434]  Hey Alex, I am the self-proclaimed Malcolm X of single fathers and I got a real easy way to wake people up.
[01:01:26.916 --> 01:01:31.178]  No, I have the most beautiful baby boy.
[01:01:31.198 --> 01:01:32.199]  He's a clone of me.
[01:01:32.419 --> 01:01:34.480]  But he's got the most trifling mother in the world.
[01:01:34.980 --> 01:01:37.682]  And even she knows not to get the flu shot.
[01:01:37.722 --> 01:01:40.363]  I was real worried about it all week and I finally talked to her.
[01:01:41.961 --> 01:01:52.025]  But see, what they'll do is they'll just kill a bunch of people with a real flu, and then hype everybody into taking it, and it may even protect you from the flu, though they admit this vaccine won't.
[01:01:52.605 --> 01:01:53.586]  That's the incredible thing.
[01:01:53.626 --> 01:01:55.726]  They admit this won't even protect you.
[01:01:55.766 --> 01:01:59.628]  Like, the last seven years in a row, the flu shot hasn't even protected people.
[01:01:59.968 --> 01:02:03.569]  They didn't even get the mutation right, but people still go out and take it.
[01:02:04.430 --> 01:02:05.150]  I'm sorry, go ahead.
[01:02:06.863 --> 01:02:07.744]  I'll tell you my story real quick.
[01:02:07.784 --> 01:02:13.829]  I woke up about a year ago, and after a few months of Googling this and YouTubing that, I found you on the internet.
[01:02:13.889 --> 01:02:17.353]  I finally met someone that feels the same way.
[01:02:17.893 --> 01:02:22.337]  Alright, well listen, I appreciate your call.
[01:02:22.357 --> 01:02:23.839]  Good to hear from you, Scott.
[01:02:25.020 --> 01:02:26.141]  Get out there and spread the word.
[01:02:26.241 --> 01:02:28.323]  Nelson in California, you're on the air, Nelson.
[01:02:29.765 --> 01:02:30.625]  Hello, Alex.
[01:02:30.705 --> 01:02:31.526]  The name is Nealon.
[01:02:32.326 --> 01:02:40.689]  Anyway, I just had a quick comment about, you know, the oligarchy that really claims to be our government and the solution.
[01:02:41.069 --> 01:02:49.392]  I mean, I personally believe that if Jefferson were alive today, he would be leading an insurrection against this oligarchy to give it back to the people.
[01:02:49.412 --> 01:02:53.353]  So I believe the solution to all these problems is insurrection.
[01:02:53.874 --> 01:02:54.214]  Thank you.
[01:02:54.574 --> 01:02:56.314]  So are you engaged in insurrection right now?
[01:02:57.355 --> 01:02:57.855]  Of course not.
[01:02:59.141 --> 01:03:00.061]  Well, actually, you are.
[01:03:00.081 --> 01:03:14.369]  I mean, you're calling Angus... Well, I mean, yeah, you're actually right, but I mean, not in the way that they would stereotype, you know, with violence, but there's plenty of ways to be an insurrectionist, to show dissent without having to be violent.
[01:03:14.429 --> 01:03:25.795]  You know, I've done many die-ins in front of the federal building protesting torture, and that's just one of the many ways you can be an insurrectionist without having to wield a gun or any weapon at all.
[01:03:25.855 --> 01:03:26.435]  Just your words.
[01:03:27.028 --> 01:03:44.893]  Yeah, for 15 years before the Revolutionary War, 12 to 15, there was a lot of protesting, demonstrating, what you could even call vandalizing government equipment and systems before the big war.
[01:03:46.144 --> 01:03:50.988]  You know, out here in California, you see these kids all day scribbling crap all over everything.
[01:03:51.008 --> 01:03:53.791]  And none of it is, you know, liberty or anything.
[01:03:53.831 --> 01:03:55.512]  It's just... Yeah, mindless crap language.
[01:03:55.552 --> 01:03:59.155]  That's because the MTV weaponized mind control system got them.
[01:03:59.276 --> 01:04:04.020]  It's a nihilist culture that this oligarchy puts upon us through its corrupt fourth estate.
[01:04:04.480 --> 01:04:04.861]  That's right.
[01:04:04.881 --> 01:04:06.022]  They want to make us hopeless.
[01:04:06.322 --> 01:04:07.303]  They want to make us weak.
[01:04:07.564 --> 01:04:08.965]  They want to make us just give up to them.
[01:04:09.045 --> 01:04:13.470]  Well, we start winning by not giving up and getting fired up and getting aggressive.
[01:04:13.491 --> 01:04:14.171]  And I agree with you.
[01:04:14.572 --> 01:04:20.719]  We've got to engage in peaceful insurrection against this corrupt, illegitimate crime syndicate.
[01:04:21.843 --> 01:04:29.488]  If Jefferson was alive today, he would be leading our insurrection against these terrible people that want nothing more than to annihilate us all.
[01:04:29.528 --> 01:04:30.729]  There's no doubt about it, Alex.
[01:04:31.410 --> 01:04:32.610]  Thank you so much for your work.
[01:04:32.630 --> 01:04:33.031]  I appreciate it.
[01:04:33.051 --> 01:04:33.851]  God bless you, sir.
[01:04:33.871 --> 01:04:34.952]  I appreciate your call.
[01:04:35.492 --> 01:04:41.657]  We're going to come back, and we're going to talk to Jasper, Daniel, David, Chuck, Teresa, and many others.
[01:04:42.977 --> 01:04:46.860]  Sometimes I think I need to expand the show to three or four hours, because two hours, I just get so hyped up.
[01:04:48.481 --> 01:04:50.863]  It's like being in a car.
[01:04:52.438 --> 01:04:54.721]  And somebody else is driving and you know they're gonna wreck it.
[01:04:55.702 --> 01:04:58.725]  And you know they're headed towards a brick wall and you're like, please stop, please.
[01:04:59.265 --> 01:05:04.691]  Please think for yourself and then... But it's not just like being in a car that you know is gonna slam into a wall and you can't stop it.
[01:05:04.892 --> 01:05:05.933]  It's like Groundhog Day.
[01:05:05.953 --> 01:05:07.795]  It just happens over and over again.
[01:05:07.815 --> 01:05:08.736]  We'll be right back.
[01:05:10.939 --> 01:05:16.106]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[01:05:16.246 --> 01:05:20.612]  Will you continue to be their profit center, buying their processed food that makes you sick?
[01:05:20.772 --> 01:05:22.635]  Go to the doctor and buy their drugs?
[01:05:23.055 --> 01:05:24.397]  You don't have to cooperate.
[01:05:24.677 --> 01:05:25.699]  There is a solution.
[01:05:25.939 --> 01:05:33.944]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[01:05:34.364 --> 01:05:41.428]  Try their inner food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[01:05:41.828 --> 01:05:47.411]  It even won the award for best superfood of 2009 from our friend Mike Adams, the health ranger.
[01:05:47.852 --> 01:05:53.435]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[01:05:53.855 --> 01:05:57.678]  Try all of their truly honest products that will keep you alive and healthy.
[01:05:58.018 --> 01:06:02.381]  Go to enerfood.com or give them a call right now.
[01:06:02.401 --> 01:06:04.242]  866-762-9238.
[01:06:04.523 --> 01:06:08.826]  Click on their banner at infowars.com to see all the available discounts.
[01:06:13.329 --> 01:06:19.333]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:06:19.954 --> 01:06:22.936]  It's Alex Jones and the GCN Radio Network.
[01:06:29.636 --> 01:06:34.639]  Alright, I'm going to briefly recap the special I've been doing on this engineered flu.
[01:06:34.859 --> 01:06:37.281]  It's not swine flu, it didn't come from pigs.
[01:06:37.641 --> 01:06:40.103]  It's two part human, one part pig, one part bird.
[01:06:40.783 --> 01:06:44.366]  Top scientists, we've put the BBC and ABC News headlines up.
[01:06:45.426 --> 01:06:47.888]  They've told you what we've told you, it's manufactured.
[01:06:48.348 --> 01:06:52.451]  I knew that day one because there was no pedigree, no history, no background.
[01:06:54.238 --> 01:06:58.189]  Every other natural flu, they can track it back over 50 years.
[01:06:58.850 --> 01:07:02.199]  It's different mutations, it's different permutations.
[01:07:04.147 --> 01:07:28.387]  Now, months before April, I got on air and said they're building mass graves, they're setting up FEMA camps, they may use flu as a cover for martial law to pass a total Federal Reserve dictatorship, bills are now introduced, to pass a total carbon tax control of every facet of life, just like they passed the income tax in 1913, to dovetail with the Federal Reserve takeover, now they need the global tax to pay the new global bank.
[01:07:28.668 --> 01:07:30.409]  That's not my opinion, that's mainstream news.
[01:07:31.110 --> 01:07:32.231]  We're in world government now.
[01:07:34.386 --> 01:07:35.907]  And all of this is coming up in the fall.
[01:07:36.027 --> 01:07:48.471]  Well, they've got the perfect political cover, worldwide, as nations get angry at their corrupt governments that are raping and stealing from them, to the tune of $23.7 trillion, stolen, according to Congress, out of the U.S.
[01:07:48.511 --> 01:07:50.072]  Treasury in the last 10 months alone.
[01:07:51.493 --> 01:07:52.673]  They need flu.
[01:07:52.933 --> 01:07:57.615]  Whether this thing kills a bunch of people or not, they're saying it is, and it's level 6 on the end of the world.
[01:07:59.798 --> 01:08:01.119]  It's a way to put us under U.N.
[01:08:01.159 --> 01:08:05.360]  control, to have everybody trained to be under lockdown and forced inoculation.
[01:08:05.880 --> 01:08:07.081]  All this is being announced.
[01:08:07.621 --> 01:08:14.584]  Then they admit, oh, by the way, this vaccine doesn't even protect you from whatever new mutation of it is out there.
[01:08:15.224 --> 01:08:20.166]  But they know the public doesn't understand how flu works, how the RNA of these viruses work.
[01:08:21.107 --> 01:08:22.769]  How it interacts with the human DNA.
[01:08:23.149 --> 01:08:26.212]  They know you don't know that, so they're treating you like you're idiots!
[01:08:26.713 --> 01:08:32.219]  I want to ask you, why does the establishment want to set the precedent to put things in our bodies so bad?
[01:08:33.345 --> 01:08:34.866]  Why is the school year coming up?
[01:08:35.106 --> 01:08:40.088]  They're lying on the news again saying it's the law, you gotta take 40-plus shots for your kid.
[01:08:40.348 --> 01:08:42.789]  There's no law, your kid's gotta take any of those shots.
[01:08:43.289 --> 01:08:51.572]  There is city and state and county policies that the school has a policy, like a policy not to chew gum.
[01:08:51.912 --> 01:08:54.294]  There is no law that you can't chew gum in school.
[01:08:54.614 --> 01:08:56.896]  Or no law you can't have a cell phone in school.
[01:08:57.276 --> 01:08:58.397]  It's a policy!
[01:08:58.737 --> 01:09:04.922]  And they have a waiver form around the policy under state law in all 50 states and possessions.
[01:09:06.221 --> 01:09:07.421]  In fact, people don't believe me.
[01:09:07.822 --> 01:09:11.423]  Because they can't believe ABC and CBS and NBC and Fox lie.
[01:09:11.863 --> 01:09:15.944]  Google for folks, Texas vaccine exemption form.
[01:09:16.244 --> 01:09:20.885]  You'll be on the State of Texas Health Department, City Health Departments, County Health Departments.
[01:09:21.265 --> 01:09:22.346]  It'll be on screen.
[01:09:22.846 --> 01:09:27.627]  Massachusetts, Rhode Island, California, Oregon, Indiana.
[01:09:27.787 --> 01:09:29.168]  It doesn't matter.
[01:09:29.388 --> 01:09:33.349]  There is no law to take the vaccine!
[01:09:37.196 --> 01:09:39.938]  There's some site, vaccineinfo.net, it's got links.
[01:09:39.958 --> 01:09:41.360]  Yeah, right there, the blue link.
[01:09:44.102 --> 01:09:44.582]  There it is.
[01:09:45.323 --> 01:09:48.866]  Affidavit request for exemption for immunizations for reasons of conscience.
[01:09:49.447 --> 01:09:50.487]  Anybody can get it!
[01:09:51.288 --> 01:09:52.089]  There it is!
[01:09:52.429 --> 01:09:53.630]  There is no law!
[01:09:53.910 --> 01:09:54.711]  It's a crock!
[01:09:55.011 --> 01:09:55.952]  It's a lie!
[01:09:56.172 --> 01:09:57.253]  It's a fraud!
[01:09:58.514 --> 01:10:03.679]  Just like it's a fraud that this supposed swine flu has killed a bunch of people.
[01:10:04.741 --> 01:10:08.343]  Let's believe it's killed 2,000 worldwide and 197 in the U.S.
[01:10:09.164 --> 01:10:11.085]  Earlier in the week I was saying it just killed a few dozen.
[01:10:11.105 --> 01:10:13.047]  That number's now up to close to 200.
[01:10:13.627 --> 01:10:14.448]  That's nothing!
[01:10:15.148 --> 01:10:18.290]  What's gonna happen when tens of thousands start dying from regular flu?
[01:10:18.450 --> 01:10:19.171]  They're gonna hype it.
[01:10:19.331 --> 01:10:21.232]  They've got mass tents ready in every city.
[01:10:21.412 --> 01:10:22.653]  The army ready in every city.
[01:10:22.873 --> 01:10:23.814]  Mass graves ready.
[01:10:24.034 --> 01:10:25.815]  I just... I was telling you this six months ago.
[01:10:25.835 --> 01:10:26.676]  People were laughing at me.
[01:10:27.096 --> 01:10:29.298]  When I go, they're building mass graves, they're getting ready for flu.
[01:10:29.718 --> 01:10:30.418]  I don't know why.
[01:10:30.479 --> 01:10:31.519]  What do they know we don't know?
[01:10:31.820 --> 01:10:33.080]  Oh, shut up, you're a liar!
[01:10:33.301 --> 01:10:34.942]  Now it's mainstream news, folks!
[01:10:37.404 --> 01:10:38.204]  This is big.
[01:10:38.264 --> 01:10:42.187]  I'm telling you, they're gearing up for something big, and if we get the word out, we may be able to back them off.
[01:10:42.527 --> 01:10:43.388]  I'm gonna take your calls.
[01:10:43.468 --> 01:10:45.910]  Jasper, Daniel, David, Chuck, Teresa, and others.
[01:10:46.230 --> 01:10:48.052]  Jasper in Massachusetts, you're on the air.
[01:10:48.072 --> 01:10:48.412]  Go ahead.
[01:10:49.721 --> 01:10:51.762]  Hey Alex, how you doing?
[01:10:51.802 --> 01:10:52.322]  Yeah, I know.
[01:10:52.362 --> 01:10:52.922]  It's pretty freaky.
[01:10:52.942 --> 01:10:53.942]  There's no other word for it, really.
[01:11:14.079 --> 01:11:25.968]  Well, I'm just thinking, I'm trying to think down the road here and, you know, try to assume different things like whether they got this all planned out, you know, or whether there's surprises, where the surprises are.
[01:11:26.409 --> 01:11:37.978]  And I'm trying to see this from the point of view of the real hardcore, the real brainwashed, crazy crazies of the elites, you know, and what they must be thinking about the future, you know, for their
[01:11:38.198 --> 01:11:44.123]  Well, we know they're thinking they're going to make tens of billions, tens of billions off the vaccine that the government's paying for.
[01:11:44.143 --> 01:11:51.330]  And they've got to know it allows the government to grandstand and set up checkpoints and train us all how to line up and be searched.
[01:11:51.410 --> 01:11:55.073]  Look, America, the whole world is going to be like living in an airport.
[01:11:56.991 --> 01:11:59.692]  Vaccines are kind of small potatoes in the larger scheme of things.
[01:12:00.152 --> 01:12:04.913]  I mean, what we're really looking at is, like, the dawn of human interaction with the elite, right?
[01:12:05.334 --> 01:12:13.276]  Like, these are our first experiences with them, and in, like, a hundred years, people are going to look back and see these as the defining interaction moments with them.
[01:12:13.576 --> 01:12:22.279]  So what happens right now is really important, and the symbolicness of invading the body with a vaccine is a very important symbol.
[01:12:22.839 --> 01:12:32.087]  You know, and... Setting the precedent that the Army sets up checkpoints and the military and the government saves you and the kids get the shots and the... Yeah.
[01:12:33.308 --> 01:12:33.548]  Yeah.
[01:12:34.729 --> 01:12:35.469]  I appreciate your call.
[01:12:35.810 --> 01:12:36.510]  I appreciate your call.
[01:12:36.530 --> 01:12:37.371]  Good to hear from you, Jasper.
[01:12:37.651 --> 01:12:38.872]  Daniel in California.
[01:12:39.153 --> 01:12:40.113]  Daniel, you're on the air.
[01:12:40.153 --> 01:12:40.574]  Go ahead.
[01:12:41.695 --> 01:12:42.876]  What's up, Alex?
[01:12:43.836 --> 01:12:46.779]  I wanted to tell you much love and respect for what you're doing, man.
[01:12:48.618 --> 01:12:49.380]  Okay, thank you, sir.
[01:12:49.420 --> 01:12:50.001]  Go ahead.
[01:12:59.850 --> 01:13:05.352]  With quarantine excuses, you know, saying that, oh, that this mass flu is causing... No, they've already said that!
[01:13:05.452 --> 01:13:05.912]  Exactly!
[01:13:05.952 --> 01:13:18.256]  They build all the FEMA camps, laugh at us as we're pointing them out, Glenn Beck says they don't exist, AP, Reuters, Houston Chronicle admit they do, and then they say the FEMA camps are for the flu outbreak or for the depression.
[01:13:18.556 --> 01:13:23.718]  Now they arrest the homeless all over the country, from California to New York, make them go to FEMA camps.
[01:13:24.378 --> 01:13:28.560]  Again, like I always told you, they were going to set it up where people want to go to the camps.
[01:13:28.940 --> 01:13:32.090]  Mobile federal inoculation vans.
[01:13:32.732 --> 01:13:34.397]  Federal health care vans.
[01:13:34.457 --> 01:13:35.259]  It's all happening!
[01:13:36.403 --> 01:13:39.004]  Right, well, they think they can be saved at these camps.
[01:13:39.024 --> 01:13:41.605]  You see, I'm in Bakersfield and we're closest to Mojave here.
[01:13:42.146 --> 01:13:44.527]  And, I mean, they've doubled the size of that one in Mojave.
[01:13:44.847 --> 01:13:48.628]  And not to mention, we've only had two cases, not even in Bakersfield.
[01:13:48.828 --> 01:13:53.751]  They were in, like, Polari, some little, you know, nothing town in the boondocks.
[01:13:54.251 --> 01:14:01.614]  And the flu pandemic is there, and it's like, okay, you know, how is this even a pandemic when it's not even in a big city?
[01:14:01.634 --> 01:14:03.475]  You know, it's ridiculous.
[01:14:03.775 --> 01:14:06.237]  Well, see, they changed the definition.
