[00:00:00.309 --> 00:00:04.473]  ["The Star-Spangled Banner"]
[00:45:31.962 --> 00:45:34.044]  Let's talk to Shadow in Pennsylvania.
[00:45:34.084 --> 00:45:35.065]  Shadow, you're on the air.
[00:45:35.085 --> 00:45:36.867]  Hey Alex, how you doing?
[00:45:37.287 --> 00:45:37.608]  Good, sir.
[00:45:39.029 --> 00:45:42.252]  Wondering what your take is on the Senate Bill 787.
[00:45:42.532 --> 00:45:48.318]  The federal government wants to change jurisdiction over all waters in the United States.
[00:45:49.171 --> 00:45:50.472]  Um, they're voting on it tomorrow.
[00:45:50.492 --> 00:45:54.314]  As a matter of fact, I'd urge your listeners to call their representatives to oppose this bill.
[00:45:54.854 --> 00:45:55.774]  Is that HR?
[00:45:56.255 --> 00:45:57.075]  Is that HR?
[00:45:57.095 --> 00:46:00.116]  Uh, S. Period 787.
[00:46:01.792 --> 00:46:02.592]  Oh, it's a Senate bill, 787.
[00:46:02.873 --> 00:46:08.115]  I have seen all the legislation to fully grab all water, turn it over under U.N.
[00:46:08.175 --> 00:46:08.595]  treaties.
[00:46:08.935 --> 00:46:19.320]  It's kind of a de facto, instead of having the Congress ratify the law of the sea, all our ports, creeks, waterways, a puddle in your backyard, literally, where they can come take your property.
[00:46:19.700 --> 00:46:27.307]  Uh, this, this standardizes it to then, uh, to then comply with law of the sea, global taxation grid.
[00:46:27.327 --> 00:46:32.231]  But I hadn't seen the Senate bill, that's another one of the things, but Senate bill, give me the number again, we'll pull it up.
[00:46:33.172 --> 00:46:34.013]  Uh, Senate Bill 787.
[00:46:36.475 --> 00:46:37.115]  Senate Bill 787.
[00:46:37.796 --> 00:46:40.658]  Do you have a subsection for me so I can pull that up?
[00:46:42.674 --> 00:46:43.054]  Section 4.
[00:46:44.115 --> 00:46:46.996]  Yeah, Clean Water Restoration Act, U.S.
[00:46:47.656 --> 00:46:48.416]  Open Congress.
[00:46:48.456 --> 00:46:48.757]  Thank you.
[00:46:49.137 --> 00:46:50.257]  Please continue with the subsection.
[00:46:53.198 --> 00:46:58.781]  Section 25, the term waters of the United States means all waters subject to the ebb and flow of the tide.
[00:46:59.281 --> 00:47:02.702]  Territorial, sea, interstate, interstate waters and their tributaries.
[00:47:02.962 --> 00:47:03.823]  All right, let me stop you.
[00:47:03.863 --> 00:47:07.184]  Guys, guys, you want to click on read and comment on full text of the bill.
[00:47:07.944 --> 00:47:09.105]  Click on that for me, boys.
[00:47:09.605 --> 00:47:11.146]  Okay, sir, give me that subsection again.
[00:47:11.186 --> 00:47:11.646]  What section?
[00:47:12.639 --> 00:47:12.739]  Uh, 25.
[00:47:12.939 --> 00:47:16.328]  Alright guys, do a control left, section 25.
[00:47:16.368 --> 00:47:16.809]  There it is.
[00:47:16.829 --> 00:47:16.909]  Yep.
[00:47:16.969 --> 00:47:17.992]  25, confirming.
[00:47:22.369 --> 00:47:23.129]  What you said.
[00:47:23.570 --> 00:47:23.750]  Yep.
[00:47:24.370 --> 00:47:25.591]  And see, I can't even keep track of this.
[00:47:25.611 --> 00:47:29.313]  They got federal bills to kidnap any kids they want federally with no records.
[00:47:29.353 --> 00:47:30.793]  We can't even cover it time-wise.
[00:47:31.074 --> 00:47:32.734]  They got bills to seize all the water.
[00:47:32.995 --> 00:47:34.055]  Total federal control.
[00:47:34.355 --> 00:47:34.916]  There it is.
[00:47:34.976 --> 00:47:35.616]  I was aware of it.
[00:47:35.656 --> 00:47:36.817]  Hadn't even covered it on air.
[00:47:37.697 --> 00:47:38.517]  It's just incredible.
[00:47:38.577 --> 00:47:39.158]  Good job.
[00:47:39.558 --> 00:47:43.080]  Somebody needs to write an article and send it to writers at InfoWars.com.
[00:47:43.120 --> 00:47:44.901]  You know, I've got Kurt.
[00:47:45.908 --> 00:47:50.490]  And Paul about to work, and Steve about to work on, because they only do articles.
[00:47:51.190 --> 00:47:54.991]  Did you hear me last hour how the Federal Reserve is going to take over every industry, every business?
[00:47:55.551 --> 00:47:58.132]  Just total God-like powers under executive orders?
[00:48:01.213 --> 00:48:01.513]  Caller?
[00:48:03.974 --> 00:48:04.855]  I guess we lost him.
[00:48:07.055 --> 00:48:08.756]  Sir, are you getting something or are you still there?
[00:48:10.886 --> 00:48:12.267]  Yeah, he's going to listen to himself on air.
[00:48:12.307 --> 00:48:12.668]  Let him go.
[00:48:13.248 --> 00:48:14.249]  Thank you so much, caller.
[00:48:14.769 --> 00:48:15.449]  Excellent point.
[00:48:15.490 --> 00:48:19.252]  And again, it's you, the listeners, sitting on hold, who bring me this information.
[00:48:19.732 --> 00:48:20.333]  And there it is.
[00:48:21.013 --> 00:48:21.654]  Right there for you.
[00:48:21.674 --> 00:48:26.057]  And I'd read about different bills to do this, and I'd seen the House version.
[00:48:26.077 --> 00:48:27.358]  That must be the Senate version of it.
[00:48:27.918 --> 00:48:28.519]  So there you go.
[00:48:28.559 --> 00:48:31.521]  I mean, just total criminal takeover at every level of society.
[00:48:32.321 --> 00:48:32.842]  My God.
[00:48:34.082 --> 00:48:35.063]  And it's not just the government.
[00:48:35.103 --> 00:48:39.005]  The public's turning into degenerate criminals as well, I've been noticing on average.
[00:48:39.085 --> 00:48:42.787]  It's just total, everything unraveling, falling apart right in front of us.
[00:48:44.408 --> 00:48:50.532]  Let's go ahead and take another call here.
[00:48:50.552 --> 00:48:53.033]  The shadow certainly knew, didn't he?
[00:48:53.413 --> 00:48:54.494]  John in Texas.
[00:48:54.554 --> 00:48:55.615]  John, you're on the air, sir.
[00:48:56.555 --> 00:48:57.556]  Hey, good to talk to you, Alex.
[00:48:58.216 --> 00:48:58.877]  Good to talk to you.
[00:49:00.589 --> 00:49:05.551]  I really enjoyed David Icke on the other day talking about the reptilian brain and the higher consciousness and stuff.
[00:49:06.151 --> 00:49:07.951]  Well, people confuse that.
[00:49:08.011 --> 00:49:11.092]  I wasn't talking about reptoids from Alpha Centauri.
[00:49:11.492 --> 00:49:13.713]  I was talking about medical fact.
[00:49:14.233 --> 00:49:16.534]  In fact, pull up brain physiology.
[00:49:17.854 --> 00:49:19.995]  Google brain anatomy.
[00:49:22.199 --> 00:49:23.961]  I'm not even Googling reptilian brain.
[00:49:24.001 --> 00:49:28.605]  Brain anatomy, and we'll put up on screen a map from a medical website of a brain.
[00:49:29.045 --> 00:49:35.992]  You've got the lower brain stem that's heart rate, the lungs, things like that.
[00:49:36.753 --> 00:49:41.097]  And then you've got above that the reptilian brain that's sex, desire, money, survival.
[00:49:41.337 --> 00:49:43.759]  And then you've got the other higher faculties of the brain.
[00:49:43.979 --> 00:49:45.761]  So it's a bunch of different computer systems.
[00:49:48.658 --> 00:49:49.438]  And we'll pull that up.
[00:49:49.478 --> 00:49:50.779]  We got really slow internet in here.
[00:49:51.419 --> 00:49:53.480]  They don't have it faster here in this part of town we live in.
[00:49:53.700 --> 00:49:54.200]  Sorry, caller.
[00:49:54.220 --> 00:49:54.520]  Go ahead.
[00:49:55.441 --> 00:49:56.001]  That's right.
[00:49:56.141 --> 00:49:59.182]  I'm watching on PrisonPlan.TV so I can see that as well.
[00:49:59.803 --> 00:50:08.026]  But I was going to say, you are waking life, and I wonder if you had either experienced it yourself or looked into lucid dreaming at all as a
[00:50:08.735 --> 00:50:12.757]  Kind of, uh, inter-exploration and kind of merging your, uh, conscious and subconscious.
[00:50:12.917 --> 00:50:13.758]  Yeah, what's the term?
[00:50:13.798 --> 00:50:17.680]  It's, it's not like astronaut, but people that dream and call themselves dream travelers.
[00:50:17.780 --> 00:50:20.001]  It has a, has a name like dream traveler.
[00:50:20.581 --> 00:50:20.941]  What is that?
[00:50:20.981 --> 00:50:21.882]  Yeah, I can't remember.
[00:50:21.922 --> 00:50:24.663]  It's something not, but yeah, I can't, uh... Stay there.
[00:50:24.683 --> 00:50:25.904]  We'll talk more about it on the other side.
[00:50:25.924 --> 00:50:29.666]  Then I'll get into the big enchilada, what the bankers are doing right now and a lot more.
[00:50:30.026 --> 00:50:34.148]  And we got in-studio coming up, life in the bubble, blowing the American dream.
[00:50:35.742 --> 00:50:36.182]  Stay with us.
[00:50:36.202 --> 00:50:38.244]  You don't want to miss this interview coming up in studio.
[00:50:38.644 --> 00:50:41.025]  Are you concerned for the safety of your loved ones?
[00:50:41.325 --> 00:50:44.487]  Listen closely to this message from Pepperspray.com.
[00:50:44.948 --> 00:50:47.789]  Every 22 seconds a violent crime is committed.
[00:50:48.109 --> 00:50:52.212]  America has changed and your personal safety is your first priority.
[00:50:52.532 --> 00:50:53.152]  Be smart.
[00:50:53.333 --> 00:50:53.933]  Be safe.
[00:50:54.293 --> 00:50:56.634]  Trust Pepper Spray instead of your luck.
[00:50:56.894 --> 00:51:03.176]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:51:03.456 --> 00:51:09.259]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:51:09.459 --> 00:51:11.899]  From big to small, we have it all.
[00:51:12.160 --> 00:51:15.901]  Pepper Spray, mace, animal repellents, stun guns, and tasers.
[00:51:16.181 --> 00:51:22.583]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:51:22.903 --> 00:51:27.505]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:51:27.785 --> 00:51:29.206]  So what are you waiting for?
[00:51:29.446 --> 00:51:31.207]  Go to Pepperspray.com.
[00:51:31.407 --> 00:51:33.367]  That's Pepperspray.com.
[00:51:33.547 --> 00:51:34.408]  Or call 1-800-908-9988 today!
[00:51:38.533 --> 00:51:39.874]  Hey folks, Alex Jones here.
[00:51:40.054 --> 00:51:45.038]  I'm sending out a special alert to all those out there listening with credit card debt and struggling to make payments.
[00:51:45.439 --> 00:51:47.520]  I'm going to give you a very important phone number.
[00:51:47.861 --> 00:51:57.068]  Due to a declining economy and credit crisis, you now have the power to settle your debt and lower your payments by up to 60% or more by calling the bailout group.
[00:51:57.328 --> 00:51:58.109]  We're good to go.
[00:52:27.168 --> 00:52:27.548]  We're good.
[00:52:38.709 --> 00:52:45.533]  Finally in the news this evening, it's being reported that cyber spies from Russia and China have now penetrated our power grid.
[00:52:45.833 --> 00:53:01.283]  Even as energy experts are reporting that each summer we get closer and closer to the limits of our nation's power grid, some say that this summer's demand for electrical power may finally push the grid over its edge, creating a cascade of power outages across the country, putting us all in the
[00:53:01.623 --> 00:53:07.208]  Are you prepared for the next round of storm-related outages or government-created blackouts?
[00:53:07.408 --> 00:53:13.714]  Have you ever thought about taking steps to get off the grid and generate your own private supply of electrical power?
[00:53:13.934 --> 00:53:17.577]  If so, this will be the most important information you have ever heard.
[00:53:17.837 --> 00:53:20.419]  Solar-powered generators are finally available.
[00:53:20.519 --> 00:53:25.884]  They have no moving parts to wear out or break and require absolutely no gas whatsoever.
[00:53:26.184 --> 00:53:28.789]  Remember, the government doesn't own the sun.
[00:53:28.869 --> 00:53:31.053]  So go to MySolarBackup.com.
[00:53:31.093 --> 00:53:33.558]  That's MySolarBackup.com.
[00:53:33.598 --> 00:53:37.885]  Check out MySolarBackup.com before you lose your power.
[00:53:57.467 --> 00:54:14.053]  Ah, it gets distracting when you've got film crews in your studio, but it's always fun.
[00:54:14.193 --> 00:54:17.254]  Okay, here's this regular physiology.
[00:54:17.294 --> 00:54:19.815]  This is called the reptilian complex of the brain.
[00:54:20.435 --> 00:54:22.095]  That's what they teach in medical school.
[00:54:22.776 --> 00:54:24.056]  It's called the reptilian brain.
[00:54:24.076 --> 00:54:26.457]  You've got the limbic system and the neocortex.
[00:54:27.534 --> 00:54:31.920]  And then down here you got the brain stem and what it hooks into.
[00:54:31.940 --> 00:54:34.103]  And this is the area over the heart beating.
[00:54:34.123 --> 00:54:38.429]  Well I guess people can't see me on TV pointing it out.
[00:54:38.909 --> 00:54:40.452]  Pull me up on screen and I'll show folks.
[00:54:40.912 --> 00:54:42.274]  See right here you got the reptilian brain.
[00:54:43.137 --> 00:54:43.878]  We're good to go.
[00:55:03.203 --> 00:55:04.064]  Or an alligator brain.
[00:55:04.724 --> 00:55:05.605]  And that was my point.
[00:55:05.645 --> 00:55:12.751]  People thought I was endorsing what David says about other issues, which I'm not pooh-poohing what he says, I just don't have any proof of it and don't cover it.
[00:55:13.611 --> 00:55:15.473]  And people got confused when I was saying that.
[00:55:15.493 --> 00:55:17.554]  But go ahead and finish up what you were saying, caller.
[00:55:17.574 --> 00:55:32.026]  I was just saying that after you were in Waking Life, if you've ever looked into lucid dreaming or had ever experienced it yourself, it seems to me like it might be kind of like a further step in our evolution of thought as... Well, let's just put it this way.
[00:55:33.286 --> 00:55:35.907]  I keep my visions to myself.
[00:55:36.647 --> 00:55:38.888]  How's that Fleetwood Mac song goes?
[00:55:39.368 --> 00:55:42.068]  Oh, here they come again, the crystal vision.
[00:55:42.088 --> 00:55:44.389]  I keep my vision to myself.
[00:55:44.469 --> 00:55:47.870]  I mean, yeah, I've obviously had a lot of wild dreams.
[00:55:50.050 --> 00:55:50.891]  Most people have.
[00:55:50.911 --> 00:55:53.471]  When I was a kid, I sleptwalked some.
[00:55:54.011 --> 00:55:57.232]  And that's just between the waking and the sleeping area.
[00:55:57.893 --> 00:55:59.453]  And I've had a lot of dreams that have come true.
[00:56:00.751 --> 00:56:04.434]  You always know it's a dream that's very intense, very upsetting.
[00:56:04.474 --> 00:56:05.915]  It's like you've been somewhere else.
[00:56:06.776 --> 00:56:10.259]  And it could be something like a house being built on a hill.
[00:56:10.919 --> 00:56:13.622]  And you image the house, and you have dream after dream where you're in the house.
[00:56:13.642 --> 00:56:16.444]  And this is a dream I had when I was like nine.
[00:56:17.205 --> 00:56:18.946]  And then years later, I'd always remember the dream.
[00:56:18.986 --> 00:56:20.888]  I see him building that very house on the hill.
[00:56:22.708 --> 00:56:23.368]  And it didn't click.
[00:56:23.428 --> 00:56:25.189]  I was like, why is that house so interesting to me?
[00:56:25.550 --> 00:56:40.078]  And then later that night, I was in there with a girlfriend in the neighborhood, and I'm looking out the windows that hadn't been finished yet, out onto the, you know, hills and woods, and had the realization, wow, I've had this dream so many times, and then remembered the full dream.
[00:56:40.598 --> 00:56:41.799]  And it wasn't deja vu.
[00:56:41.839 --> 00:56:42.759]  It was because I'd remembered it.
[00:56:43.039 --> 00:56:47.522]  It was like I had a dream one time that a guy in a green and purple shirt, um,
[00:56:49.468 --> 00:56:52.410]  Came out from behind a building, a cinder block building, and attacked me.
[00:56:53.051 --> 00:56:55.313]  And I even told people about it, because it was an upsetting dream.
[00:56:56.794 --> 00:57:04.360]  And then sure enough, about a year later, I'm 16, we had to drive into Dallas to buy beer, because the big beer stores there would sell to underage people.
[00:57:05.180 --> 00:57:13.067]  And I pull up, get out of the car, my buddies are parked around the back of the gas station, I'm walking with a case of beer, and from behind
[00:57:14.468 --> 00:57:18.932]  It's like I went back into the dream as I was walking, see the center block, and I go, I've seen this before.
[00:57:19.272 --> 00:57:22.575]  Here comes the guy in the green and purple polo shirt and tries to mug me.
[00:57:23.616 --> 00:57:26.198]  And then I'll, well, dealt with it.
[00:57:27.359 --> 00:57:28.160]  Enjoyably, of course.
[00:57:28.220 --> 00:57:33.884]  But the issue is, the issue is that I have had dreams that have come true.
[00:57:34.145 --> 00:57:38.708]  But I don't really get into it on air and make a big issue out of it because, you know, it kind of gets off into the hinterland.
[00:57:39.189 --> 00:57:39.849]  I have bills.
[00:57:39.990 --> 00:57:41.531]  I have legislation for martial law.
[00:57:44.801 --> 00:57:45.802]  I know this is going on.
[00:57:45.862 --> 00:57:46.844]  I know this is happening.
[00:57:48.125 --> 00:57:50.688]  And so I have the black and white so I cover what I can prove.
[00:57:51.089 --> 00:57:52.050]  Does that answer your question?
[00:57:52.991 --> 00:57:53.632]  Yeah, yeah, sure.
[00:57:54.873 --> 00:57:55.875]  Good to hear from you, my friend.
[00:57:58.638 --> 00:58:03.864]  Yes, I am in the film Waking Life, because Rick Linklater lives in town and is a fan of the show, and I'm in Scanner Darkly.
[00:58:04.813 --> 00:58:06.254]  And I consulted on that film.
[00:58:06.975 --> 00:58:09.878]  People are always emailing me going, it has secret masonic symbolism.
[00:58:10.298 --> 00:58:13.060]  It's not secret when they're wearing all-seeing eyes on their shirts.
[00:58:13.561 --> 00:58:16.303]  The whole point is, they were wanting to expose the New World Order.
[00:58:19.947 --> 00:58:21.828]  Thank you for listening to GCN.
[00:58:23.350 --> 00:58:25.431]  Visit GCNlive.com today.
[00:58:28.476 --> 00:58:33.477]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:58:33.677 --> 00:58:37.479]  Number one, new climate legislation could easily double or triple your electric bill.
[00:58:37.699 --> 00:58:43.320]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:58:43.620 --> 00:58:48.462]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:58:48.682 --> 00:58:49.182]  Number three,
[00:58:49.602 --> 00:58:55.046]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:58:55.887 --> 00:58:58.549]  The hurricane and dangerous summer storm season is here again.
[00:58:58.789 --> 00:59:02.192]  Every year, thousands of families lose their power from weather-related outages.
[00:59:03.313 --> 00:59:06.916]  A solar power generator provides powerful backup insurance and peace of mind.
[00:59:07.156 --> 00:59:12.637]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:59:12.877 --> 00:59:17.438]  You can get more information at www.mysolarbackup.com.
[00:59:17.578 --> 00:59:19.119]  That's mysolarbackup.com.
[00:59:19.359 --> 00:59:21.699]  Remember, the government doesn't own the sun yet.
[00:59:21.919 --> 00:59:27.301]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:59:31.182 --> 00:59:33.102]  Waging war on corruption.
[00:59:33.562 --> 00:59:36.323]  Alex Jones on the GCN Radio Network.
[00:59:51.640 --> 00:59:54.423]  Wow, the last three hours went by quickly.
[00:59:54.483 --> 00:59:58.888]  We're going to have open phones again today.
[00:59:58.968 --> 01:00:01.091]  In the fourth hour, coming up at 1-800-259-9231.
[01:00:01.111 --> 01:00:10.261]  Bunch of news I'm going to finish up getting to as well, because my good friend, William Lewis, who I feel like I know so well over the phone all these years, I finally met him in person.
[01:00:11.673 --> 01:00:18.977]  I remember back in like 1998, 1999, 2000, he made an audio CD, great music, with little outtakes of myself.
[01:00:18.997 --> 01:00:20.157]  I think he called it Police State.
[01:00:20.718 --> 01:00:25.820]  He's made a bunch of films since then, like In Plain Sight, Ripple Effect.
[01:00:26.581 --> 01:00:30.663]  He's made films like Washington, You're Fired.
[01:00:31.912 --> 01:00:42.680]  And of course, Life on the Edge of the Bubble, Blowing the American Dream, the newest film and some of his best work available at Infowars.com, I would add.
[01:00:43.140 --> 01:00:55.049]  Great film to give somebody to explain to what's happening with this bubble economy and how the bankers, I love this cover, look at how Greenspan's like this giant above the city and creating all the different types of economic bubbles.
[01:00:56.041 --> 01:00:57.102]  And so they control the bubble.
[01:00:57.122 --> 01:00:59.123]  It's like the greatest form of insider trading.
[01:00:59.463 --> 01:01:00.464]  They control it as it goes up.
[01:01:00.484 --> 01:01:01.524]  They control it as it goes down.
[01:01:01.924 --> 01:01:04.506]  So we're glad to be carrying this in the InfoWars.com store.
[01:01:05.086 --> 01:01:06.027]  Or folks can call 888-253-3139 to get it.
[01:01:06.087 --> 01:01:09.209]  And you guys are here to interview me about your... Can you talk about what your new film is yet?
[01:01:13.510 --> 01:01:15.012]  You're making a concentration camp film.
[01:01:15.032 --> 01:01:16.473]  We'll talk about that later.
[01:01:16.493 --> 01:01:18.735]  You've got some really exciting stuff you're doing.
[01:01:19.336 --> 01:01:22.619]  And so I'm honored to be interviewed for the film.
[01:01:23.440 --> 01:01:27.704]  And can we talk about your illustrious travel mate here?
[01:01:29.806 --> 01:01:32.769]  Gary Franchier, Restore the Republic and Lone Lantern Society.
[01:01:33.349 --> 01:01:34.571]  And so he's here as well.
[01:01:35.612 --> 01:01:37.754]  Okay, Mr. Lewis, good to have you here.
[01:01:38.695 --> 01:01:39.255]  Good to be here.
[01:01:39.656 --> 01:01:44.820]  Okay, tell me about this film, Life on the Edge of Derbubble.
[01:01:46.273 --> 01:01:53.615]  This is, you know, there's so many films out there on the Federal Reserve and on money and all the various aspects of the economy.
[01:01:53.955 --> 01:01:56.215]  We wanted to make one that was a little bit different.
[01:01:56.335 --> 01:01:57.656]  We want to follow that same pattern.
[01:01:58.136 --> 01:02:02.277]  We wanted to show Americans that this is really nothing new at all.
[01:02:03.077 --> 01:02:07.158]  Starting in, like, the year after we signed the Constitution, we had our first bubble.
[01:02:07.678 --> 01:02:08.078]  We had one in 1819.
[01:02:11.860 --> 01:02:17.283]  1837, 1857, 1873, 1893.
[01:02:16.162 --> 01:02:17.283]  Speculative bubbles.
[01:02:17.503 --> 01:02:18.984]  Literally almost every 20 years.
[01:02:19.404 --> 01:02:23.307]  And yeah, they were all speculative bubbles based on some type of overuse of credit.
[01:02:23.927 --> 01:02:26.089]  And I mean, this is nothing new to the American economy.
[01:02:26.129 --> 01:02:30.852]  It's just that for whatever reason, the Federal Reserve, when it was introduced,
[01:02:32.131 --> 01:02:37.161]  Managed to be able to allow the bubbles to grow larger and larger and larger.
[01:02:37.542 --> 01:02:42.913]  Instead of having a pop every 20 years and having a small bubble pop, now we've got a 75-year bubble that's popping.
[01:02:43.153 --> 01:02:43.734]  And it's global!
[01:02:44.875 --> 01:02:45.395]  Well, exactly.
[01:02:45.435 --> 01:02:46.055]  I was going to expand.
[01:02:46.075 --> 01:03:11.861]  It was the same money changers out of England and Europe that ran these scams, that created these fiat bubbles, and the film covers that in an excellent fashion, who now are in control of the whole planet, and instead of it being limited bubbles of certain financial sectors before, and we were an agrarian society and people didn't care because it was so limited, now these bubbles literally have the power of a tsunami of fiat money to destroy entire societies.
[01:03:12.859 --> 01:03:13.359]  Yeah, exactly.
[01:03:13.679 --> 01:03:28.066]  You know, I don't think many people look at it from this perspective, but, you know, we tend to want to blame the Federal Reserve and the people who issue the credit and, you know, all the people that are kind of at the top of the bubble, shall we say.
[01:03:28.366 --> 01:03:33.408]  And we kind of forget that all of us participate in some degree to helping build these bubbles.
[01:03:34.469 --> 01:03:39.131]  Whether we're flipping houses and participating to that degree or just taking our bank loans so that we can
[01:03:39.571 --> 01:03:42.474]  You know, take the equity out of our home and cash it in and maybe fix up our home.
[01:03:42.975 --> 01:03:48.441]  All these are things that allows the bubble to grow and it allows us as Americans to live beyond our means.
[01:03:48.881 --> 01:03:51.504]  In other words, if you only make $30,000 a year, shouldn't you only spend $30,000 a year?
[01:03:51.564 --> 01:03:54.527]  If you spend $50,000 or $60,000 a year consecutively, year after year after year, we're making a bubble.
[01:03:59.793 --> 01:04:09.460]  So, like a drug dealer, they're getting us addicted and strung out to where we're totally under their control and they made the drug, the credit, out of nothing.
[01:04:10.548 --> 01:04:14.249]  Exactly, and this is one of the issues that I'd like to cover and tell people.
[01:04:15.429 --> 01:04:19.110]  The Federal Reserve that we have now is actually the third national bank.
[01:04:19.130 --> 01:04:20.070]  That's the third federal bank.
[01:04:20.091 --> 01:04:21.751]  Yeah, this is an incredible history lesson.
[01:04:22.031 --> 01:04:24.492]  You've outdone yourself with life on the edge of a bubble.
[01:04:24.772 --> 01:04:26.192]  I know most of the listeners understand this.
[01:04:26.232 --> 01:04:28.553]  Your neighbors, your friends, your family don't.
[01:04:29.053 --> 01:04:31.013]  You need to get this film out to everybody.
[01:04:31.433 --> 01:04:33.414]  Available right now at InfoWars.com.
[01:04:33.434 --> 01:04:37.475]  William Lewis, the director, is our guest with the illustrious Gary Franchian Studio.
[01:04:38.075 --> 01:04:39.156]  This is Alex Jones.
[01:04:39.436 --> 01:04:41.237]  Have you heard of the Millionaire Patriot?
[01:04:41.437 --> 01:04:42.098]  Well, you should.
[01:04:42.418 --> 01:04:46.681]  He has a free handgun and five days of firearms training waiting for you.
[01:04:46.921 --> 01:04:47.402]  That's right.
[01:04:47.722 --> 01:04:56.188]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[01:04:56.368 --> 01:04:57.649]  All for pennies on the dollar.
[01:04:57.729 --> 01:04:58.890]  Plus, if you act fast.
[01:04:59.090 --> 01:05:04.714]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[01:05:05.074 --> 01:05:11.598]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[01:05:11.958 --> 01:05:17.162]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[01:05:17.482 --> 01:05:18.623]  This is real.
[01:05:18.943 --> 01:05:19.683]  Don't miss out.
[01:05:20.003 --> 01:05:26.868]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[01:05:27.108 --> 01:05:28.368]  And get your free handgun.
[01:05:28.548 --> 01:05:30.709]  Go to FrontSight.com today.
[01:05:30.909 --> 01:05:34.410]  That's F-R-O-N-T-S-I-G-H-T.com.
[01:05:34.610 --> 01:05:37.570]  Go to FrontSight.com for your training and free gun.
[01:05:38.390 --> 01:05:38.971]  Hello, friends.
[01:05:39.011 --> 01:05:39.951]  This is Alex Jones.
[01:05:40.091 --> 01:05:42.991]  I've told you for a long time it's important to be self-sufficient.
[01:05:43.051 --> 01:05:44.692]  And today, that's more important than ever.
[01:05:44.832 --> 01:05:45.952]  We need to be independent.
[01:05:46.012 --> 01:05:47.592]  And food and water is the key.
[01:05:47.792 --> 01:05:50.633]  You'll never have to stand in a bread line if you have your own bread.
[01:05:50.833 --> 01:05:54.494]  You'll never have to go to the Superdome and beg for FEMA to take care of your family.
[01:05:54.634 --> 01:05:55.534]  In any emergency,
[01:05:55.774 --> 01:05:56.715]  If you simply prepare.
[01:05:56.895 --> 01:05:59.837]  No one is going to take care of your family in the final equation but you.
[01:06:00.137 --> 01:06:07.043]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration or Chinese imports.
[01:06:07.143 --> 01:06:10.265]  And they do it at almost half the cost of last year's grocery prices.
[01:06:10.425 --> 01:06:11.786]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[01:06:15.549 --> 01:06:21.630]  Visit efoodsdirect.com and look over the fine list of high-quality, freeze-dried, and dehydrated foods they have to offer.
[01:06:21.811 --> 01:06:25.551]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:06:25.571 --> 01:06:27.072]  Again, 1-800-409-5633 or on the web at efoodsdirect.com.
[01:06:27.112 --> 01:06:27.532]  Take action today.
[01:06:27.552 --> 01:06:29.552]  The first step is getting storable food.
[01:06:39.105 --> 01:06:42.586]  Going into battle, you would want all the ammunition for your gun you could get.
[01:06:42.806 --> 01:06:46.027]  But presently, ammunition and reloading supplies are in shortage.
[01:06:46.328 --> 01:06:47.228]  Now think about this.
[01:06:47.688 --> 01:06:53.550]  If you have no food, all the guns and ammunition will be useless against the population control breadlines.
[01:06:53.890 --> 01:06:56.251]  In the present battle for freedom and the lives of
[01:07:00.401 --> 01:07:00.921]  I think so.
[01:07:20.725 --> 01:07:23.247]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:08:03.326 --> 01:08:05.589]  Okay, um... Life?
[01:08:06.812 --> 01:08:09.134]  On the edge of a bubble, blowing the American Dream.
[01:08:09.714 --> 01:08:13.096]  Let's zoom in on this with Alan Greenspan on the cover.
[01:08:13.657 --> 01:08:16.379]  And yes, they say you can't judge a film or book by its cover.
[01:08:16.979 --> 01:08:17.840]  Well, you can this one.
[01:08:17.920 --> 01:08:20.582]  Great cover, great film.
[01:08:21.602 --> 01:08:26.826]  And why don't you, again, start describing the film and we're going to put the trailer coming up in a few minutes.
[01:08:27.927 --> 01:08:32.570]  And then break down four people
