[00:00:00.141 --> 00:00:00.588]  I'm scumming.
[02:09:59.910 --> 02:10:01.951]  But the thing is, I didn't really do a good job in the last month.
[02:10:01.971 --> 02:10:03.952]  I don't like asking for money, but once I do it, I do it.
[02:10:05.313 --> 02:10:08.755]  Last month, building up to this, I probably mentioned it five times in the last few days.
[02:10:08.795 --> 02:10:11.316]  I kind of, oh gosh, I better plug the money bomb or it's not going to be a success.
[02:10:12.056 --> 02:10:18.960]  But I've decided, since so many people don't like the money bomb, just for them, I may do another one next month or something.
[02:10:19.640 --> 02:10:24.143]  Because I've got a rule, you know, that if people try to stop me from doing something, I'm going to do it.
[02:10:25.143 --> 02:10:27.124]  We may do one in two or three months or something.
[02:10:27.424 --> 02:10:29.085]  Plus, the economy is going into shambles.
[02:10:29.125 --> 02:10:29.805]  We all know that.
[02:10:30.185 --> 02:10:35.868]  And there may become a time when we're not getting the video sales and the advertising to pay for... that pays for most of the stuff.
[02:10:37.548 --> 02:10:45.432]  Again, a money bomb just lets us be sure we can buy this equipment and expand, and so I can chart out that I have enough money to do this in the next year, guaranteed.
[02:10:46.331 --> 02:10:48.031]  And then all the money goes to that.
[02:10:48.071 --> 02:10:49.212]  But I'm done talking about it.
[02:10:49.632 --> 02:11:01.094]  Infowarsmoneybomb.com, 888-201-2244, 888-201-2244, or 512-646-1776, 512-646-1776.
[02:11:01.555 --> 02:11:10.477]  And if you're in Mexico, or you're in Germany, or you're in Japan, or you're in Russia, or you're in Argentina, wherever you are, you donate at Infowarsmoneybomb.com.
[02:11:10.517 --> 02:11:14.218]  You know it's going to churn out films, and material, and audio, and more.
[02:11:14.258 --> 02:11:15.778]  We're going to add a lot of new features here.
[02:11:17.031 --> 02:11:18.412]  I just thank all of you for your support.
[02:11:18.432 --> 02:11:21.253]  We couldn't have done any of this without all the great listeners and the donations over the years.
[02:11:21.694 --> 02:11:26.436]  So many times I'd be in a bind 2, 3, 4, 5 years ago when some $5,000 donation would come in.
[02:11:26.856 --> 02:11:27.437]  God bless you.
[02:11:28.377 --> 02:11:29.558]  And that was before I would ask for money.
[02:11:30.503 --> 02:11:47.338]  And people kept telling me, you gotta ask, you gotta ask, because that's what the Founding Fathers did, that's what Ron Paul's done, and look at how people bitched and griped and said, look, hey, he got $20 million and then nothing happened, and then, you know, he only did 20 interviews a day and marched all over the country and, you know, aged 10 years doing it, and now everything's in the Fed.
[02:11:47.598 --> 02:11:48.719]  See, everything's delayed.
[02:11:48.759 --> 02:11:54.664]  You don't, I always use the analogy of Force 10 from Navarone, great movie, kind of a composite of some true stories.
[02:11:55.645 --> 02:11:56.546]  Guns of Navarone.
[02:11:57.756 --> 02:12:04.342]  It's a true story, but Force 10 from Navarone is kind of a composite of in the Balkans, and they send in some special forces, U.S.
[02:12:04.402 --> 02:12:10.748]  and British special forces, to blow up a dam to flood a road that the Axis is going to use to come across and attack.
[02:12:11.108 --> 02:12:17.654]  And they put the explosive in, it blows up, and Harrison Ford, the other actor, I forget his name, great actor, they're marching out, and it didn't blow up.
[02:12:17.854 --> 02:12:18.955]  Oh, that's ridiculous.
[02:12:18.995 --> 02:12:22.638]  And then all of a sudden, it starts cracking and breaking, and the dam falls.
[02:12:22.999 --> 02:12:23.819]  It takes a few minutes.
[02:12:24.600 --> 02:12:25.782]  It's the same thing, folks.
[02:12:25.822 --> 02:12:26.524]  It's like in a fight.
[02:12:26.544 --> 02:12:28.567]  If you punch somebody, somebody's attacking you.
[02:12:29.368 --> 02:12:34.457]  And I've seen a lot of people, a lot of bullies when I was growing up would punch you a couple times and see what they did.
[02:12:37.213 --> 02:12:39.915]  And I've always noticed winners in a physical fight don't stop.
[02:12:39.956 --> 02:12:41.417]  They don't even think about it.
[02:12:41.897 --> 02:12:43.919]  You go all out till the enemy's defeated.
[02:12:44.620 --> 02:12:51.386]  And people that, especially bullies who think they're tough, they always punch you and then try to, ooh, ooh, have a celebration.
[02:12:51.446 --> 02:12:52.867]  No, the people that win attack.
[02:12:53.208 --> 02:12:53.948]  Killer instinct.
[02:12:54.269 --> 02:12:57.712]  They go all the way, they don't stop till the person's on the ground and not getting back up.
[02:12:58.733 --> 02:12:59.834]  Not giving you any more problems.
[02:13:01.827 --> 02:13:03.869]  And, you know, it's the same thing here.
[02:13:03.929 --> 02:13:15.097]  We need to just go after the New World Order, resist the New World Order, not back off, not wait, not see what the response is, just attack, attack, attack, attack, attack, attack, attack, attack, attack.
[02:13:15.337 --> 02:13:16.338]  And ignore their attacks.
[02:13:17.719 --> 02:13:21.421]  And ignore their bull, their lies, their spin, their slander, their COINTELPRO.
[02:13:21.481 --> 02:13:22.202]  Ignore it all.
[02:13:23.817 --> 02:13:27.058]  Just accelerate and go after the New World Order.
[02:13:27.098 --> 02:13:37.742]  So 888-201-2244, 888-201-2244, 512-646-1776, or as I said earlier, you can donate at InfoWarsMoneyBomb.com.
[02:13:37.762 --> 02:13:41.943]  And if you're seeing this on the web in a few days, forgot about it, didn't know about it, you can still donate as well.
[02:13:41.983 --> 02:13:45.925]  It'll go on for a few days after, like last year's, but the big one is this
[02:13:48.424 --> 02:13:52.406]  Hey Alex, if you get a million bucks, you gotta eat twice as many saltine crackers this time.
[02:14:14.878 --> 02:14:18.899]  You know, if I get a million bucks, I will make myself eat six saltine crackers.
[02:14:19.019 --> 02:14:19.979]  People said it's easy to do.
[02:14:20.039 --> 02:14:20.419]  It's not.
[02:14:20.799 --> 02:14:21.900]  I tried it in 60 seconds.
[02:14:21.920 --> 02:14:27.081]  It would have been painful, but for a million bucks, I can force it down my throat, even though it feels like razor blades.
[02:14:27.581 --> 02:14:28.341]  It was hilarious.
[02:14:28.401 --> 02:14:30.982]  Hey, if I get a million bucks, should I give my guys raises out here?
[02:14:31.622 --> 02:14:32.042]  Probably.
[02:14:32.062 --> 02:14:42.104]  So, I just wanted to call and say, you know, I met you back in 2006 at the 9-11 Scholars Symposium, and I've been following you for a long time.
[02:14:42.748 --> 02:14:48.072]  I woke up with 9-11 Road to Tyranny and this stuff is just real simple.
[02:14:48.152 --> 02:14:51.074]  This is what happens over and over in history and I just don't know why people
[02:14:51.556 --> 02:14:59.279]  Well, it's not even programming it is, it's that they're cowards.
[02:14:59.699 --> 02:15:03.560]  They have no respect for themselves, and so why should they care if there's a tyranny?
[02:15:03.921 --> 02:15:10.383]  Because they're living minute to minute about, oh, I'm going to go to the bar, and then I want to buy a fancy shirt so I'll look good with that girl on Friday.
[02:15:10.403 --> 02:15:15.105]  You know, they're just real low-level, bestial, lower-level animal instincts.
[02:15:16.877 --> 02:15:22.899]  If you get a love of life and a love of science and a love of the creation around us, your mind will open up and you'll fight the New World Order.
[02:15:22.959 --> 02:15:25.560]  It's almost changing things is an inside job.
[02:15:25.600 --> 02:15:27.680]  We've all got to get our heads screwed on straight, but go ahead.
[02:15:28.700 --> 02:15:33.302]  Well, and the truth is closely guarded by a bodyguard of lies, and that's what you learn as you get in this.
[02:15:33.402 --> 02:15:37.423]  I mean, they take you down the rabbit hole of chupacabras and this and that.
[02:15:38.483 --> 02:15:43.765]  Before you know it, it takes you years just to get on the truth, but once you get there, you just got to push through.
[02:15:44.620 --> 02:15:45.200]  Absolutely.
[02:15:45.240 --> 02:15:45.821]  God bless you.
[02:15:45.841 --> 02:15:46.701]  Good to hear from you.
[02:15:47.161 --> 02:15:49.022]  Let's talk to Jonathan in California.
[02:15:49.082 --> 02:15:50.042]  Jonathan, you're on the air.
[02:15:50.082 --> 02:15:50.503]  Go ahead.
[02:15:50.523 --> 02:15:52.724]  Hello, Alex.
[02:15:52.984 --> 02:15:53.984]  Great opportunity to talk to you.
[02:15:54.004 --> 02:15:54.304]  Thank you.
[02:15:54.725 --> 02:15:55.565]  Good to talk to you, sir.
[02:15:57.023 --> 02:16:04.729]  I wanted to ask you your opinion on the Firearm Freedom Act that has been written through Tennessee, Montana, Texas, supposedly doing it, Alaska.
[02:16:04.870 --> 02:16:17.119]  Yeah, they're just saying open carry, basically what Vermont has, and we're not going to let the feds come in here and confiscate our guns, and some states are saying we're going to manufacture our own states under states' rights here domestically inside the state.
[02:16:17.820 --> 02:16:19.141]  Because these are their own countries.
[02:16:19.481 --> 02:16:22.584]  It's a federation together to defend themselves against outside invasion.
[02:16:24.042 --> 02:16:25.003]  I think this will be successful.
[02:16:25.023 --> 02:16:30.267]  You think that possibly these states will be more... It's already been successful in four states I know of.
[02:16:30.287 --> 02:16:33.529]  You just listed some of them that have passed it, or are about to pass it.
[02:16:34.310 --> 02:16:36.091]  And it's successful.
[02:16:36.572 --> 02:16:38.013]  If we're defeated this time, we come back.
[02:16:38.233 --> 02:16:38.994]  What does the enemy do?
[02:16:39.014 --> 02:16:39.734]  They never stop.
[02:16:40.214 --> 02:16:42.056]  And people are like, oh, we beat them, but they're coming back.
[02:16:42.116 --> 02:16:42.336]  Good!
[02:16:42.376 --> 02:16:43.557]  It's fun to kick their ass.
[02:16:44.398 --> 02:16:45.979]  It's fun to get in there and go at them.
[02:16:46.419 --> 02:16:51.823]  They're putting naked body scanners now, not just in the airports, but in subways all over the country.
[02:16:52.044 --> 02:16:53.745]  The feds are taking everything over.
[02:16:56.066 --> 02:17:04.248]  With golden states like mine, California, do you think states like Montana and Tennessee will be in flux with people that would be, say, freedom fighters?
[02:17:04.308 --> 02:17:04.689]  Yes, yes.
[02:17:05.389 --> 02:17:10.110]  Everybody's already leaving California that wants to work and has half a brain, so it will collapse.
[02:17:10.651 --> 02:17:17.333]  But see, that's why they want a world government, because the OECD that plans all this, the Organization of Economic Cooperative Development,
[02:17:17.833 --> 02:17:20.054]  The private corporation for the banks that did the Marshall Plan.
[02:17:20.555 --> 02:17:22.716]  It talks about how, oh we have brain drain.
[02:17:23.036 --> 02:17:25.878]  We want an 80% global tax, one-child policies.
[02:17:25.918 --> 02:17:26.598]  It's all stated.
[02:17:27.419 --> 02:17:30.240]  But they say people always run from us.
[02:17:30.280 --> 02:17:34.243]  So we gotta have a world government, then they claim communism's gonna work.
[02:17:34.523 --> 02:17:36.104]  But not the communism you were told.
[02:17:36.444 --> 02:17:39.146]  Communism to funnel all your money and power to them.
[02:17:40.373 --> 02:17:43.196]  So, uh, yeah, California's gonna completely collapse.
[02:17:43.796 --> 02:17:44.997]  And the globalists love that.
[02:17:45.057 --> 02:17:49.241]  They love things collapsing, because then they get to get even more power and dehumanize.
[02:17:49.321 --> 02:17:54.606]  But, it isn't good if it collapses, because then everybody can run, and that's what's happening now.
[02:17:54.666 --> 02:17:55.466]  Everyone's running.
[02:17:55.506 --> 02:18:04.574]  California is just sinking into the ocean with a peacock megalomaniac going, I am Lord Yahweh!
[02:18:04.614 --> 02:18:05.435]  Terminator!
[02:18:07.557 --> 02:18:11.819]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[02:18:12.060 --> 02:18:16.963]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[02:18:17.183 --> 02:18:18.504]  Hi folks, Alex Jones here.
[02:18:18.664 --> 02:18:22.166]  Why not go back to basics and be safe with Calbin Pure Soaps?
[02:18:22.286 --> 02:18:27.449]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[02:18:27.689 --> 02:18:33.393]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[02:18:33.473 --> 02:18:33.753]  Yes.
[02:18:33.793 --> 02:18:36.214]  Now, Calvin Soaps are available to you and me.
[02:18:36.314 --> 02:18:38.614]  Triple concentrated for all your cleaning needs.
[02:18:38.834 --> 02:18:40.975]  From bathing and laundry to dishes, hair and more.
[02:18:41.255 --> 02:18:42.215]  No harsh chemicals.
[02:18:42.455 --> 02:18:43.395]  No animal testing.
[02:18:43.635 --> 02:18:44.956]  I use them and love them.
[02:18:44.976 --> 02:18:46.596]  Knowing they're all naturally safe.
[02:18:46.876 --> 02:18:47.936]  And I say big time.
[02:18:48.296 --> 02:18:49.497]  Call Calvin Pure Soap at 1-800-340-7091.
[02:18:49.517 --> 02:18:49.757]  That's 1-800-340-7091.
[02:18:49.777 --> 02:18:51.437]  Or log on to 5starsoap.com now for a free catalog.
[02:18:59.779 --> 02:19:06.281]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[02:19:07.681 --> 02:19:13.003]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[02:19:13.483 --> 02:19:20.485]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[02:19:21.070 --> 02:19:27.275]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:19:27.655 --> 02:19:29.497]  Well, Obama's already fudging.
[02:19:29.617 --> 02:19:32.039]  He's fudged since day one of this election.
[02:19:32.119 --> 02:19:43.108]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[02:19:43.701 --> 02:19:44.982]  It's not about left or right.
[02:19:45.363 --> 02:19:46.764]  It's about a one world government.
[02:19:47.224 --> 02:19:53.590]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:19:54.150 --> 02:20:01.917]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:20:02.417 --> 02:20:03.558]  The Obama Deception.
[02:20:03.979 --> 02:20:05.180]  The people strike back.
[02:20:07.759 --> 02:20:11.263]  Going into battle, you would want all the ammunition for your gun you could get.
[02:20:11.463 --> 02:20:14.687]  But presently, ammunition and reloading supplies are in shortage.
[02:20:14.987 --> 02:20:15.888]  Now think about this.
[02:20:16.349 --> 02:20:22.215]  If you have no food, all the guns and ammunition will be useless against the population control breadlines.
[02:20:22.555 --> 02:20:25.659]  In the present battle for freedom and the lives of your loved ones,
[02:20:28.575 --> 02:20:28.775]  I think?
[02:20:48.168 --> 02:20:48.488]  We're good.
[02:21:20.286 --> 02:21:28.054]  I hurt myself today to see if I still feel.
[02:21:28.074 --> 02:21:29.515]  $133,000 has been raised.
[02:21:29.555 --> 02:21:30.796]  Counting Darrell Rundas' donation.
[02:21:30.816 --> 02:21:32.138]  If you don't count it, it's like $85,000.
[02:21:32.218 --> 02:21:34.940]  We need $250,000 to do the changes and the upgrades and the expansions.
[02:21:34.980 --> 02:21:35.781]  You've already seen the results.
[02:21:44.801 --> 02:21:51.826]  So, uh, I'd like to set the goal to have 200,000 by tonight at midnight Central Standard Time, and I'll be here for the full three hours tonight.
[02:21:51.846 --> 02:22:03.073]  I'm going to do an hour of overdrive, and some of these callers, like Morgan, Jake, Ian, Ellen, and Nick, I should give them the call-in number here.
[02:22:03.633 --> 02:22:05.715]  Guys, what's the call-in number on my studio line?
[02:22:06.095 --> 02:22:07.416]  I know I had it punched up on my computer.
[02:22:08.737 --> 02:22:10.018]  It's on the screen right in front of me.
[02:22:10.078 --> 02:22:12.079]  No, I've done stuff with caller lists.
[02:22:12.139 --> 02:22:13.140]  It's not on the screen in front of me.
[02:22:13.899 --> 02:22:15.020]  That's why I tell you I don't have it.
[02:22:16.760 --> 02:22:20.082]  The direct call-in line is the same number as the Money Bomb number?
[02:22:22.103 --> 02:22:23.603]  But won't they pick it up out there then?
[02:22:25.124 --> 02:22:25.944]  Then they'll send it to us.
[02:22:26.044 --> 02:22:26.345]  Okay.
[02:22:27.205 --> 02:22:30.867]  Alright, all the callers that are on hold need to call, and they'll go first, 888-201-2244, 888-201-2244, or 512-646-1776.
[02:22:30.907 --> 02:22:31.347]  Again, 888-201-2244, 512-646-1776.
[02:22:44.178 --> 02:22:46.960]  And again, have you ever been deep-sea fishing?
[02:22:47.681 --> 02:22:49.682]  Well, not even deep-sea fishing, crab fishing off a pier.
[02:22:49.783 --> 02:22:53.746]  You put the crabs, they're greedy, they won't let go of the piece of bacon.
[02:22:54.006 --> 02:22:55.467]  You put them in a bucket and there's a bunch of them.
[02:22:55.727 --> 02:22:57.329]  If they work together, they can climb out.
[02:22:57.369 --> 02:23:02.453]  But as soon as one tries to climb out, the others come over and grab him and keep him from climbing out.
[02:23:02.853 --> 02:23:04.895]  The New World Order works together against us.
[02:23:05.635 --> 02:23:10.299]  And for all their trillions, they're barely in control right now and they're in very, very deep trouble.
[02:23:10.879 --> 02:23:12.381]  What if we all got together?
[02:23:13.260 --> 02:23:15.402]  And started supporting alternative media even more.
[02:23:15.822 --> 02:23:18.184]  And that means you're spreading the word about it if you can't even donate.
[02:23:19.885 --> 02:23:25.489]  Again, I haven't even really promoted this Money Bomb and it's already very successful, but I definitely want to reach the goal we hit last year at least.
[02:23:25.869 --> 02:23:32.274]  So please help us get to the 250 number by going to Infowarsmoneybomb.com or 888-201-2244.
[02:23:32.734 --> 02:23:40.940]  And when you call the front desk with the four people answering, five people answering, let them know if you want to go to the radio or if you want to donate.
[02:23:43.309 --> 02:23:44.330]  888-201-2244.
[02:23:44.350 --> 02:23:50.015]  I do want to take this time out to thank all of the listeners that have given and donated and supported.
[02:23:50.816 --> 02:23:51.897]  You've just made it all possible.
[02:23:51.917 --> 02:23:57.602]  We're going to have an hour of commercial free radio just on PrisonPlanet.tv for viewers and the internet streams.
[02:23:57.622 --> 02:24:01.746]  You'll need to go to InfoWars.com or PrisonPlanet.com to listen to those streams exclusively.
[02:24:02.126 --> 02:24:04.709]  I will take 15 calls or so right when we start the show.
[02:24:06.650 --> 02:24:08.531]  And bring me in with Flight of the Valkyries here, folks.
[02:24:09.451 --> 02:24:11.232]  And then I will cover all the news.
[02:24:11.292 --> 02:24:13.293]  Some of it I got to a little bit, but not that much.
[02:24:13.333 --> 02:24:15.874]  I want to talk more about the Holocaust madman.
[02:24:16.734 --> 02:24:25.357]  We have a lot of inside connections, and I'm getting things that sound pretty credible from people about this being staged and other stuff planned.
[02:24:25.417 --> 02:24:27.718]  So I've got a lot of crazy things I've got to work on later.
[02:24:28.979 --> 02:24:32.260]  There should be some breaking news here in the next few days as well, ladies and gentlemen.
[02:24:32.580 --> 02:24:34.101]  Thanks to all our tipsters out there.
[02:24:36.545 --> 02:24:38.550]  Another reason we need support is we are under attack.
[02:24:38.590 --> 02:24:41.137]  We've got a lot of stuff to deal with that we don't talk about on air.
[02:24:41.317 --> 02:24:42.059]  I'll just leave it at that.
[02:24:42.950 --> 02:24:47.513]  We just trust in God and trust in the activists out there to continue to support what we're doing.
[02:24:48.353 --> 02:24:51.035]  But again, the number to call in live is 888-201-2244.
[02:24:51.075 --> 02:24:54.117]  That's also the number to call for the Money Bomb, 888-201-2244.
[02:24:54.177 --> 02:24:57.198]  I know there's a bunch of mail came in.
[02:24:57.539 --> 02:25:01.881]  We've got to add all that as well into the Money Bomb today and tomorrow.
[02:25:02.201 --> 02:25:07.485]  So we'll have the official numbers by next week, but tonight we'll see if we can hit 250,000 by midnight tonight.
[02:25:07.505 --> 02:25:10.827]  A big thing you can do is email everybody you know about the Money Bomb.
[02:25:11.627 --> 02:25:13.309]  We haven't even sent a mass email out yet.
[02:25:13.369 --> 02:25:14.230]  What am I thinking?
[02:25:14.771 --> 02:25:15.672]  We've got to do that.
[02:25:18.255 --> 02:25:29.247]  Matt, in fact we ought to just take one of Kirk Watson's, Kirk Watson thinking of the mayor, Kirk Nemo's stories, thinking of that wicked state senator, Kirk Nemo's
[02:25:30.865 --> 02:25:33.686]  We're going to be right back in one minute, folks.
[02:25:33.706 --> 02:25:34.046]  Stay with us.
[02:25:34.066 --> 02:25:34.626]  Good job, Genesis.
[02:25:34.666 --> 02:25:35.106]  Good job, Oatman.
[02:25:57.489 --> 02:26:02.792]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[02:26:03.332 --> 02:26:11.717]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[02:26:11.918 --> 02:26:18.702]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[02:26:19.042 --> 02:26:21.043]  This new technology has proven itself.
[02:26:21.243 --> 02:26:24.545]  To be a formidable weapon against bio threats of today and tomorrow.
[02:26:24.785 --> 02:26:30.768]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[02:26:31.089 --> 02:26:37.372]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[02:26:37.752 --> 02:26:42.135]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[02:26:42.395 --> 02:26:45.377]  Check out the patented new silver solution today.
[02:26:45.757 --> 02:26:49.064]  Click on the link and check out the uses for new silver solution.
[02:26:49.464 --> 02:26:54.133]  Order this extra line of defense today by going to SupernaturalSilver.com.
[02:26:54.274 --> 02:26:56.398]  That's SupernaturalSilver.com today!
[02:27:11.633 --> 02:27:12.215]  We're good to go.
[02:27:23.154 --> 02:27:24.415]  We are in overdrive.
[02:27:24.495 --> 02:27:30.201]  A fifth hour today on this June 11, 2009 InfoWarsMoneyBomb.com event.
[02:27:30.901 --> 02:27:32.042]  We'll be live here for another hour.
[02:27:32.062 --> 02:27:34.164]  Then tonight, nine to midnight, I'll be in the command chair.
[02:27:34.685 --> 02:27:37.127]  Irmis will move over to the co-pilot seat there.
[02:27:37.447 --> 02:27:39.709]  I'll do three hours tonight on the news and the money bomb.
[02:27:39.949 --> 02:27:41.431]  They've declared a level six pandemic.
[02:27:41.771 --> 02:27:46.516]  Glenn Beck saying 9-11 truthers basically worshipped this Von Brun moron.
[02:27:49.514 --> 02:27:53.218]  Forensic expert Harrity did not commit suicide, Associated Press, we told you.
[02:27:53.638 --> 02:27:55.280]  Our inside scoop was he was murdered.
[02:27:56.221 --> 02:27:57.962]  It is all coming up in this hour.
[02:27:57.982 --> 02:28:02.467]  I want everybody to know we are only at PrisonPlanet.tv right now and Infowars.com.
[02:28:02.487 --> 02:28:03.748]  We're not on the AM and FM dial.
[02:28:04.949 --> 02:28:06.511]  This is a overdrive right now.
[02:28:07.592 --> 02:28:11.116]  And let us go ahead and go to some of your phone calls.
[02:28:12.057 --> 02:28:12.957]  The number to join us
[02:28:14.079 --> 02:28:14.219]  Is 888-201-2244
[02:28:31.718 --> 02:28:34.620]  You know, they'd have specialized creatures that did it all for them.
[02:28:35.140 --> 02:28:36.421]  That's basically what I'm turning into.
[02:28:36.461 --> 02:28:41.624]  Soon I'll have, you know, vestigial hands like a Tyrannosaurus rex, and I won't even be able to hit buttons.
[02:28:41.664 --> 02:28:45.866]  I'll be like, ah, ah, and I'll have like a special person that punches the buttons.
[02:28:46.507 --> 02:28:47.867]  I want to be able to control it.
[02:28:48.648 --> 02:28:50.009]  I want the phone lines in here.
[02:28:51.950 --> 02:28:58.914]  You know, doing this show for, since 1997, with a previous network and then Genesis,
[02:29:00.009 --> 02:29:04.050]  They're always in Minnesota, and then I've always said, okay caller, it's like I'm on a remote.
[02:29:04.930 --> 02:29:11.712]  Like years ago when I'd be at a county fair or barbecue doing my live radio show, and they'd be back at the station here in Austin.
[02:29:11.932 --> 02:29:12.552]  It's the same thing.
[02:29:12.572 --> 02:29:14.272]  So I've done that a lot, so I'm okay with it.
[02:29:14.292 --> 02:29:16.853]  But it's really nice to have your own phone system.
[02:29:18.233 --> 02:29:21.974]  They've explained to me that I know how to do all the clicking and things on this computer, I can go to calls.
[02:29:22.014 --> 02:29:28.816]  But I want, because it's what I was trained with and what I love, a nice phone box with red lights all lit up.
[02:29:31.790 --> 02:29:34.951]  And it'll all be there right there for me.
[02:29:35.771 --> 02:29:37.752]  I'm out there torturing the IT guys out there.
[02:29:38.792 --> 02:29:39.692]  They're very rebellious.
[02:29:39.712 --> 02:29:40.532]  They just do whatever they want.
[02:29:41.833 --> 02:29:43.253]  Especially Matt.
[02:29:43.853 --> 02:29:47.434]  He had some of the guys shut out on the website so they couldn't upload for security reasons yesterday.
[02:29:48.634 --> 02:29:48.974]  We are.
[02:29:48.994 --> 02:29:50.175]  I'm just joking around, folks.
[02:29:50.295 --> 02:29:51.955]  Okay, I got a bunch of news to go over.
[02:29:52.655 --> 02:29:54.896]  The money bombs now reach the halfway point.
[02:29:56.573 --> 02:30:00.176]  $135,000 since we really got going this morning.
[02:30:00.216 --> 02:30:03.200]  It's going to run from today to tomorrow when we start the show.
[02:30:03.540 --> 02:30:06.123]  Please donate at InfoWarsMoneyBomb.com.
[02:30:06.643 --> 02:30:11.368]  More importantly, spread the word about the Money Bomb to all our supporters out there that it's going on today.
[02:30:11.408 --> 02:30:12.389]  This could really get big.
[02:30:13.424 --> 02:30:19.528]  Then I found out some people are obsessed and jealous and upset with us doing this, so now I really want it to be big.
[02:30:19.548 --> 02:30:21.209]  My goodness, I didn't really promote it the last month.
[02:30:21.269 --> 02:30:23.790]  I may have to have more of these if that upsets my enemies.
[02:30:23.850 --> 02:30:25.371]  I mean, goodness gracious.
[02:30:27.072 --> 02:30:27.913]  Can't let them win.
[02:30:28.253 --> 02:30:31.995]  Let's go to Kevin in Texas.
[02:30:32.035 --> 02:30:32.956]  Kevin, you're on the air.
[02:30:32.996 --> 02:30:33.416]  Go ahead.
[02:30:33.436 --> 02:30:39.320]  Hi, this is a first-time caller, I guess, and I'm kind of like new to the whole movement.
[02:30:40.120 --> 02:30:40.601]  Thank you, sir.
[02:30:42.156 --> 02:30:57.213]  I'm a school teacher and I actually met you outside of a bookstore and I told you how I saw Endgame and I was really impressed and you asked me what have you done with it and I've kind of taken that mantle up and that as a part of my curriculum in my government class I've made like a
[02:30:58.809 --> 02:31:14.982]  Watching shows like America's Freedom from Fascism and clips of Endgame as a part of the government, I have to guise it in the terms of conspiracy theory for the lesson plan, but I just wanted to let you know there's people out there trying to teach stuff other than just the tax debt.
[02:31:15.731 --> 02:31:16.291]  Good job!
[02:31:16.331 --> 02:31:28.596]  Well, with Endgame Blueprint for Global Enslavement, there's a bibliography at whatistheendgame.com, so you can have the students, I'm sure you've already done this, go there and go, oh, look at the New York Times with David Rockefeller saying he loves what Mao did.
[02:31:28.616 --> 02:31:30.316]  Oh, it's a conspiracy theory.
[02:31:30.376 --> 02:31:31.477]  He said he did it, you know.
[02:31:31.877 --> 02:31:33.277]  You can really sit there and show people.
[02:31:34.298 --> 02:31:39.840]  The one thing they really loved was America's freedom from fascism, and they were like, wait a second, you mean we
[02:31:40.669 --> 02:31:41.030]  Don't.
[02:31:41.430 --> 02:31:43.052]  We shouldn't have to pay an income tax.
[02:31:43.292 --> 02:31:43.913]  We don't.
[02:31:44.053 --> 02:31:44.914]  It's not ratified.
[02:31:44.934 --> 02:31:45.815]  It wasn't ratified.
[02:31:45.835 --> 02:31:53.764]  And I was like... Well, you're doing something really radical with... What grade are your students?
[02:31:54.545 --> 02:31:55.486]  They're all high school students.
[02:31:56.414 --> 02:31:57.414]  Yeah, well this is beautiful.
[02:31:57.474 --> 02:31:59.455]  I mean, this is what's going to change our society.
[02:31:59.475 --> 02:32:03.417]  I used to try to go to Austin High and to St.
[02:32:03.477 --> 02:32:15.803]  Edwards and ACC when people asked me to speak, but the teachers are nice, the professors are nice, but school security always freaks out and runs up because they know it's Alex Jones and panic and think I'm attacking, even though I'm a guest.
[02:32:16.323 --> 02:32:25.227]  So I've kind of quit going the last few years to speak at events, but I thought about that and I said, I shouldn't let them stop me just because they flip out so much when they see me.
[02:32:25.247 --> 02:32:28.949]  And then I have to explain that I'm supposed to be there and then they don't apologize.
[02:32:28.969 --> 02:32:31.430]  They stand at the door shaking going, it's him.
[02:32:31.810 --> 02:32:33.811]  He talks about freedom.
[02:32:34.331 --> 02:32:36.112]  But I mean, that literally has happened.
[02:32:37.092 --> 02:32:38.653]  But very interesting.
[02:32:38.713 --> 02:32:39.573]  I salute you, sir.
[02:32:39.634 --> 02:32:40.134]  Good job.
[02:32:40.574 --> 02:32:44.936]  What do your colleagues think of you showing the youth what's really going on?
[02:32:45.728 --> 02:32:53.850]  Well, some of the teachers are kind of, and it's funny, the more liberal the teacher, the more afraid they are.
