[00:00:00.009 --> 00:00:01.150]  Great videos we carry.
[00:44:42.352 --> 00:44:53.577]  In what amounts a little more than a three-paragraph rant, a well-known British climate change alarmist has announced that the onset of the glorious spell of summer weather has uniformly silenced climate change deniers.
[00:44:54.097 --> 00:45:06.702]  London Guardian contributor George Monbiot today asked, by the way, he's a guy that signed a letter a month ago calling for world government with a group of journalists, so he wants the funding mechanism for world government.
[00:45:07.382 --> 00:45:11.384]  Have the climate change deniers abandoned us during the heat wave, is the headline.
[00:45:12.962 --> 00:45:16.004]  Oh, we abandoned... See, they know everybody's about living in the minute.
[00:45:16.024 --> 00:45:17.884]  Everybody's about transitory hype.
[00:45:19.125 --> 00:45:21.526]  And so... Oh, it's hot!
[00:45:21.766 --> 00:45:22.727]  Oh, proven!
[00:45:23.827 --> 00:45:27.509]  That's like saying, it's hot, so therefore, the moon is made of cheese.
[00:45:27.529 --> 00:45:33.992]  It's like having a block of cheese in your hand going, I have cheese, therefore the moon is made of cheese.
[00:45:36.024 --> 00:45:50.775]  His central, and indeed his only, point seems to be that because it is hot at the moment in the southeast of England, this can be used to counter those who question the consensus, of course they lied about there being a consensus, on climate change.
[00:45:52.036 --> 00:45:53.057]  Notice it's not global warming.
[00:45:53.077 --> 00:45:54.398]  See, it's climate change.
[00:45:54.758 --> 00:45:56.300]  Having seasons is evil.
[00:45:58.661 --> 00:45:59.142]  I'm not kidding.
[00:45:59.162 --> 00:46:03.245]  You're going to have children now arguing, going, is it true we have climate?
[00:46:03.725 --> 00:46:05.827]  Is it true there used to be a winter and a summer?
[00:46:08.232 --> 00:46:10.113]  No, those people are with Al-Qaeda.
[00:46:10.894 --> 00:46:13.055]  Climate change deniers, they bombed a building.
[00:46:13.295 --> 00:46:14.096]  Look for that to happen.
[00:46:14.116 --> 00:46:16.537]  They're going to definitely do false flags if they want to ban.
[00:46:17.237 --> 00:46:18.238]  It's called climate denial.
[00:46:18.278 --> 00:46:20.780]  They say that's code now for wanting to kill Jews.
[00:46:20.820 --> 00:46:21.300]  I'm not kidding.
[00:46:21.320 --> 00:46:24.081]  They say, you know, use the Holocaust on anybody.
[00:46:24.682 --> 00:46:26.463]  Oh, it's like Holocaust denial.
[00:46:26.783 --> 00:46:28.124]  We have to arrest you.
[00:46:28.764 --> 00:46:29.665]  They're proposing arrest.
[00:46:29.705 --> 00:46:31.446]  In fact, people won't believe that.
[00:46:31.466 --> 00:46:33.567]  It says 107 close to record.
[00:46:36.513 --> 00:46:37.954]  That's out of the Austin American Statesman.
[00:46:37.994 --> 00:46:40.014]  So June is not as hot as July.
[00:46:40.034 --> 00:46:47.198]  And they're saying 107 is close to the record because it was 108 in June before.
[00:46:47.238 --> 00:46:51.599]  See, I'm telling you, that is not the all-time hot temperature like they're saying right now.
[00:46:52.960 --> 00:46:55.201]  I've seen it 100 degrees in May in this state.
[00:47:00.788 --> 00:47:02.310]  Again, it's all about perception.
[00:47:02.571 --> 00:47:13.105]  It's kind of like people in New York, everybody I meet from New York who's never been to Texas, they go, we thought you lived in shacks and rode horses to work and we thought that it was all desert.
[00:47:14.321 --> 00:47:16.683]  It's a perception that Texas is desert.
[00:47:17.303 --> 00:47:20.866]  Well, the western part of it is, the eastern part, swamps and pine trees.
[00:47:21.487 --> 00:47:31.755]  But the point is, the perception is global warming's real, and this new global government's gonna fix it, when it has nothing to do with that, and the people pushing it know that.
[00:47:31.815 --> 00:47:33.116]  It's a big joke to them.
[00:47:34.637 --> 00:47:38.060]  And I know you know that, folks, but we gotta get the word out to people.
[00:47:45.217 --> 00:48:05.520]  Once again, using the insane and extremely derogatory term of denier, for anyone who raises questions over the theory of man-made global warming, Monbiot fires his way through an immature explosion of words that may as well read, told you so, told you so, nah, nah, nah, nah, nah.
[00:48:06.061 --> 00:48:07.663]  Yeah, but see, he does that scientifically.
[00:48:07.703 --> 00:48:11.166]  Mombiatsa, high-level journalist with The Globalist, he admits it.
[00:48:11.246 --> 00:48:12.347]  He's gone.
[00:48:12.587 --> 00:48:13.608]  We've run our black ops.
[00:48:13.628 --> 00:48:14.329]  They're brain damaged.
[00:48:14.349 --> 00:48:16.711]  They're dumbed down with our eugenics op.
[00:48:17.131 --> 00:48:18.593]  We've got to further dumb them down.
[00:48:19.013 --> 00:48:27.081]  And so they feed people on this bestial, low-level, moronic, sophomoric, ah-ha, you just don't like Obama because you lost, right-winger!
[00:48:27.639 --> 00:48:29.641]  And I'm like, I'm not a Republican or a right-winger.
[00:48:29.661 --> 00:48:31.022]  I don't believe in the left-right paradigm.
[00:48:31.422 --> 00:48:33.184]  The presidents are controlled by offshore banks.
[00:48:33.564 --> 00:48:35.186]  Nice try, Republican!
[00:48:35.486 --> 00:48:36.707]  You just met, you lost!
[00:48:37.227 --> 00:48:38.148]  Nice try!
[00:48:38.468 --> 00:48:39.609]  It's hot outside!
[00:48:39.870 --> 00:48:41.011]  It's global warming!
[00:48:41.031 --> 00:48:42.512]  Uh-huh!
[00:48:42.812 --> 00:48:45.234]  You're like, hey, you faked all the thermostat records.
[00:48:46.235 --> 00:48:46.936]  No, we didn't!
[00:48:46.996 --> 00:48:47.476]  Shut up!
[00:48:48.037 --> 00:48:48.197]  Uh-huh!
[00:48:51.640 --> 00:48:53.261]  And you're like, but you're being enslaved too!
[00:48:53.621 --> 00:48:54.702]  No, I'm part of the system!
[00:48:55.183 --> 00:48:55.363]  Uh-huh!
[00:48:56.647 --> 00:48:58.668]  Because I feel like I'm going along with it psychologically.
[00:48:58.688 --> 00:48:59.769]  That makes me in charge.
[00:49:01.309 --> 00:49:19.479]  The fact that this is the height of summer, and that this is the first time in three years that the country has seen any kind of agreeable weather, seems to be a secondary point for those like Monbiot, who have us believe that we're all going to keel over and die unless we start paying vast amounts of taxes to politicians and carbon trading to businessmen.
[00:49:19.859 --> 00:49:20.699]  Okay, I'm going to shut up.
[00:49:21.960 --> 00:49:22.620]  Go to your calls.
[00:49:22.660 --> 00:49:23.541]  The point here is
[00:49:24.721 --> 00:49:29.524]  Then we have this Oxfam International, big globalist eugenics front.
[00:49:31.225 --> 00:49:37.629]  And it says, millions face climate-related hunger as seasons shift and change.
[00:49:37.669 --> 00:49:39.691]  And it says there's floods and earthquakes.
[00:49:40.411 --> 00:49:41.692]  It's the climate doing it.
[00:49:42.753 --> 00:49:44.134]  There's always floods and earthquakes.
[00:49:45.154 --> 00:49:50.698]  And they show somebody in a flood having to carry his belongings as if
[00:49:53.007 --> 00:49:56.269]  As if monsoons in India didn't happen 5,000 years ago.
[00:49:58.671 --> 00:49:59.471]  But see, no proof.
[00:49:59.511 --> 00:50:02.153]  It's all just emotional appeal to emotion.
[00:50:02.553 --> 00:50:04.934]  Oh, the Earth is dying.
[00:50:05.215 --> 00:50:06.996]  Oh, my God.
[00:50:07.836 --> 00:50:13.900]  If we don't move our industry to India where they have no carbon controls and if we don't increase the carbon, we're all dead.
[00:50:14.280 --> 00:50:15.181]  But that's not what they're saying.
[00:50:15.201 --> 00:50:18.303]  They're saying move it to India where there's no controls and there'll be less.
[00:50:22.054 --> 00:50:23.215]  Even if you believe it's bad!
[00:50:24.237 --> 00:50:36.290]  And then the next thing is, oh, we need a global tax mobilized for $150 billion tax needed in addition to existing aid commitments to help poor countries adapt to the efforts of climate change and reduce emissions.
[00:50:36.550 --> 00:50:39.033]  That's just a new IMF World Bank payoff.
[00:50:39.093 --> 00:50:41.216]  It just gave the IMF a trillion dollars.
[00:50:42.677 --> 00:50:49.141]  To go out and forcibly carry out inoculations, injections, sterilizations, takeover of the third world.
[00:50:49.641 --> 00:50:51.142]  It's just funding the war machine.
[00:50:51.442 --> 00:50:52.963]  Oh, we're here to help the Earth!
[00:50:55.405 --> 00:50:57.206]  This is the Nazi takeover.
[00:50:57.286 --> 00:50:58.947]  This is the globalist takeover.
[00:50:59.007 --> 00:51:00.168]  This is the eugenics.
[00:51:00.208 --> 00:51:05.251]  This is the planetary government regulating the very building blocks of life on the planet.
[00:51:05.811 --> 00:51:10.074]  Talk about a tyranny that makes what you breathe a crime.
[00:51:10.885 --> 00:51:13.806]  The air you breathe, what plants breathe, a crime.
[00:51:14.147 --> 00:51:19.509]  It is the most preposterous scam fraud ever conceived, and it's passed the U.S.
[00:51:19.529 --> 00:51:19.929]  House!
[00:51:21.150 --> 00:51:27.473]  It's now in the Senate, and so is the hate crimes bill to ban free speech in America, targeting Christianity.
[00:51:27.973 --> 00:51:29.074]  Christians aren't protected.
[00:51:30.168 --> 00:51:31.369]  Gun owners aren't protected.
[00:51:31.429 --> 00:51:32.489]  Veterans aren't protected.
[00:51:32.529 --> 00:51:41.393]  It's all, if you say something bad about any of these protected groups and it hurts their feelings, the federal government is going to send police to arrest you.
[00:51:42.333 --> 00:51:47.596]  And then we're going to demonize conservatives and gun owners and Christians with the Homeland Security reports.
[00:51:47.816 --> 00:51:48.956]  Because see, we're the threat.
[00:51:49.016 --> 00:51:49.977]  We won't take the chip.
[00:51:50.377 --> 00:51:54.199]  We won't go along with the new global Gaia religion.
[00:51:55.919 --> 00:52:02.041]  Alright, I told you, nothing but open phones the next hour, but for the end of this segment, the next, he called in, he couldn't get in on the regular line.
[00:52:02.341 --> 00:52:08.104]  Daryl Rundus, he's been arrested and fined in feed for preaching on street corners in Dallas.
[00:52:08.144 --> 00:52:08.884]  Not allowed to do that.
[00:52:09.244 --> 00:52:10.224]  Landed in the free home of the brave.
[00:52:10.584 --> 00:52:14.546]  He's got a lawsuit going over that, and the news is like, how dare you stand up for your rights?
[00:52:14.986 --> 00:52:16.407]  But he's here to make an announcement today.
[00:52:16.467 --> 00:52:19.108]  Daryl, what do you think of all the stuff that's happening in the world?
[00:52:19.448 --> 00:52:20.948]  Man, you know what I think?
[00:52:20.968 --> 00:52:24.570]  I think Christians must be blind, stupid, or lazy, or something.
[00:52:25.814 --> 00:52:29.956]  I'm constantly confronting them with all this evidence, clearly, right before their face.
[00:52:30.356 --> 00:52:32.617]  And they just don't seem to get it, Alex.
[00:52:32.697 --> 00:52:36.438]  So I just called up today to give you a word of encouragement.
[00:52:36.518 --> 00:52:39.239]  Alright, well give us that word of encouragement on the other side.
[00:52:40.039 --> 00:52:40.920]  Word-couragement.
[00:52:40.960 --> 00:52:41.960]  I just invented a new word.
[00:52:42.400 --> 00:52:45.341]  Alex Jones and the Ebonics Radio Show straight ahead.
[00:52:45.581 --> 00:52:47.102]  Darrell Rundas, stay with us, my friend.
[00:52:47.142 --> 00:52:47.862]  Good to hear from you.
[00:52:48.002 --> 00:52:49.723]  We'll be right back with Darrell Rundas and your calls.
[00:52:51.977 --> 00:52:57.001]  You've probably heard about the incredible, powerful, and natural antioxidants found in red wine.
[00:52:57.322 --> 00:53:01.345]  Unfortunately, not everyone is able to drink a glass of wine each day.
[00:53:01.915 --> 00:53:02.615]  I think so.
[00:53:24.424 --> 00:53:32.666]  New Rev has been the subject of some of the most exciting anti-aging research in decades and has only recently become available in purified form.
[00:53:32.986 --> 00:53:36.907]  Now, you can discover the amazing health benefits of New Rev for free.
[00:53:37.227 --> 00:53:38.907]  Just pay to have New Rev shipped to you.
[00:53:39.207 --> 00:53:43.088]  Get your free sample now at NewRevOnline.com.
[00:53:43.328 --> 00:53:46.709]  That's N-U-R-E-V Online dot com.
[00:53:46.969 --> 00:53:48.910]  NewRevOnline.com.
[00:53:49.210 --> 00:53:50.750]  Improve your life today.
[00:53:51.533 --> 00:53:52.874]  Hey folks, Alex Jones here.
[00:53:53.034 --> 00:53:58.018]  I'm sending out a special alert to all those out there listening with credit card debt and struggling to make payments.
[00:53:58.419 --> 00:54:00.500]  I'm going to give you a very important phone number.
[00:54:00.841 --> 00:54:10.048]  Due to a declining economy and credit crisis, you now have the power to settle your debt and lower your payments by up to 60% or more by calling the bailout group.
[00:54:10.328 --> 00:54:17.073]  This program has already settled over 100 million dollars of debt and are saving individual consumers thousands of dollars.
[00:54:17.393 --> 00:54:23.537]  Folks, if you are struggling with credit card debt and those excessive interest payments, the time is now to take advantage of this opportunity.
[00:54:23.717 --> 00:54:27.780]  Call the bailout group today at 1-800-324-6554.
[00:54:27.980 --> 00:54:30.201]  I hope our listeners take advantage of this.
[00:54:30.442 --> 00:54:35.805]  The call is free and in 10 minutes they will show you how much you can save right over the phone with one simple call.
[00:54:36.045 --> 00:54:38.207]  Let the bailout group bail you out of debt.
[00:54:38.427 --> 00:54:39.868]  Reduce your payments by up to 60%
[00:54:40.148 --> 00:54:40.529]  We're good.
[00:54:51.331 --> 00:54:59.737]  Of the three million plus edible food plants that grow on earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:55:00.037 --> 00:55:05.720]  At hempusa.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:55:06.041 --> 00:55:12.565]  At hempusa.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:55:13.129 --> 00:55:16.410]  Our powder is 50% protein and does not contain gluten.
[00:55:16.530 --> 00:55:18.771]  Gluten impairs the cells from absorbing nutrients.
[00:55:18.971 --> 00:55:25.333]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[00:55:25.573 --> 00:55:28.874]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:55:29.094 --> 00:55:32.955]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:55:36.136 --> 00:55:39.098]  The body will react and heal itself given the proper nutrition.
[00:55:39.298 --> 00:55:41.380]  This superfood will be your greatest asset.
[00:55:41.500 --> 00:55:44.862]  So try it today, store it today, and change your life.
[00:55:45.162 --> 00:55:50.186]  Call 908-691-2608 or order from hempusa.org.
[00:55:57.231 --> 00:55:58.372]  This is the end.
[00:55:59.032 --> 00:55:59.853]  This is the end.
[00:55:59.953 --> 00:56:01.894]  It's hot outside.
[00:56:01.934 --> 00:56:03.215]  The earth is heating.
[00:56:03.335 --> 00:56:03.956]  Tax us!
[00:56:05.157 --> 00:56:08.438]  I heard a conspiracy theorist say it was summer, but that was a lie!
[00:56:08.798 --> 00:56:10.599]  The government teaches us there is no summer!
[00:56:11.479 --> 00:56:14.720]  If the winter comes or the spring comes, it's Al-Qaeda!
[00:56:15.060 --> 00:56:15.640]  Tax me!
[00:56:15.760 --> 00:56:16.421]  Tax me!
[00:56:16.881 --> 00:56:18.261]  The sun has nothing to do with it!
[00:56:18.661 --> 00:56:19.501]  Al Gore says so!
[00:56:19.541 --> 00:56:20.422]  He invented the internet!
[00:56:20.442 --> 00:56:21.182]  He's a genius!
[00:56:21.202 --> 00:56:23.963]  Alright, Dale Rundis.
[00:56:25.043 --> 00:56:26.364]  You were calling into the show.
[00:56:26.404 --> 00:56:26.984]  I apologize.
[00:56:27.004 --> 00:56:27.384]  Go ahead.
[00:56:27.824 --> 00:56:28.624]  That's okay, man.
[00:56:28.724 --> 00:56:32.165]  I just called because it seemed like you could use a word of encouragement.
[00:56:32.205 --> 00:56:33.786]  I know it gets frustrating fighting.
[00:56:34.777 --> 00:56:36.598]  I am a bit of a pouty pot today.
[00:56:36.838 --> 00:56:37.458]  No, it's okay.
[00:56:37.478 --> 00:56:43.760]  In fact, it brings me to my point, which is the number one rule, the very first rule when it comes to waking people up.
[00:56:43.780 --> 00:56:44.340]  You know what it is?
[00:56:44.820 --> 00:56:45.580]  Be obnoxious.
[00:56:47.641 --> 00:56:51.062]  Yeah, that too.
[00:56:51.542 --> 00:56:52.982]  No, actually, quite the contrary.
[00:56:53.082 --> 00:56:54.943]  You never get mad at the blind man.
[00:56:55.283 --> 00:56:56.323]  You remember we talked about this?
[00:56:57.424 --> 00:57:01.425]  It's so hard not to because some of these people just seem so arrogant or ignorant.
[00:57:03.106 --> 00:57:05.008]  Yes, they're arrogant about their stupidity.
[00:57:05.088 --> 00:57:06.229]  It's like they have a possession.
[00:57:06.549 --> 00:57:07.650]  No, I don't want to know that.
[00:57:08.230 --> 00:57:09.531]  There is no such thing as summer.
[00:57:09.591 --> 00:57:09.952]  Shut up.
[00:57:10.032 --> 00:57:10.872]  It's a conspiracy.
[00:57:11.173 --> 00:57:19.740]  And in the same way, though, if you're sitting at a bus stop and a blind man walked by and he tripped over you and fell down, you wouldn't say, hey, you stupid blind man, watch where you're going.
[00:57:20.300 --> 00:57:21.661]  No, you'd take compassion on him.
[00:57:21.701 --> 00:57:23.563]  No, you'd take him to a FEMA camp as Al-Qaeda.
[00:57:25.592 --> 00:57:27.853]  He's euthanizing because he's bad for the earth.
[00:57:28.173 --> 00:57:29.373]  He's got a carbon footprint.
[00:57:29.714 --> 00:57:30.294]  Absolutely.
[00:57:30.314 --> 00:57:32.455]  But that's where, you know, we have to be patient.
[00:57:32.475 --> 00:57:36.256]  We have to be diligent and persistent in our efforts.
[00:57:36.356 --> 00:57:44.379]  But at the same time, hey, you know, it's our job to do what you're already doing, and that is just continue to sow the truth, the seeds of truth to people.
[00:57:44.419 --> 00:57:46.400]  And hey, let them fall where they may.
[00:57:46.480 --> 00:57:48.681]  Some will find good soil and they'll produce good fruit.
[00:57:48.901 --> 00:57:49.681]  Most of them won't.
[00:57:50.296 --> 00:57:55.889]  In fact, I wanted to call to give a wake-up call and a word of encouragement to you, but a wake-up call to many Christians.
[00:57:56.289 --> 00:57:57.252]  I heard you reading the word.
[00:57:58.090 --> 00:58:03.212]  Uh, one of the poems the other day, and so I thought of you when I saw this in the scripture, I thought you'd want to hear it.
[00:58:03.232 --> 00:58:03.672]  You want to hear it?
[00:58:04.293 --> 00:58:04.673]  Oh yes.
[00:58:05.073 --> 00:58:09.915]  Yeah, this is Jesus, straight from the Lord himself in Luke 12, talking about the last day.
[00:58:10.275 --> 00:58:12.356]  No way, this is going to be banned soon.
[00:58:12.776 --> 00:58:13.416]  I'm not kidding.
[00:58:13.476 --> 00:58:20.139]  Under the new hate crime law about to pass the Senate, give what you're about to read hurts someone's feelings, and in Canada they arrest preachers.
[00:58:20.159 --> 00:58:21.939]  This is really, actually it happened in Philadelphia.
[00:58:22.299 --> 00:58:23.200]  They arrested preachers.
[00:58:23.880 --> 00:58:30.147]  What you're about to read here is soon to be banned in the U.S., but I guess that's what the 4th of July is all about.
[00:58:31.027 --> 00:58:32.629]  Before this is banned, go ahead and read it.
[00:58:32.909 --> 00:58:35.192]  Yeah, I would say it's no longer independent.
[00:58:35.372 --> 00:58:37.074]  It's more like interdependent.
[00:58:37.134 --> 00:58:38.035]  Dependent on the government.
[00:58:38.335 --> 00:58:39.436]  Yes, dependent on the government.
[00:58:39.756 --> 00:58:40.497]  Go ahead and read.
[00:58:40.517 --> 00:58:41.939]  And I'm not kidding.
[00:58:42.039 --> 00:58:42.940]  Soon to be banned.
[00:58:45.339 --> 00:58:46.860]  Um, evil, according to the Bible.
[00:58:46.920 --> 00:58:59.427]  It definitely would classify for hate speech, but I'm quoting the Bible, the age-old truth of the Scriptures, and this is, once again, Jesus Himself saying this, not to the unbeliever, okay, but to those who say they believe, okay?
[00:58:59.787 --> 00:59:03.349]  So listen close to what He says in Luke 12, starting with verse 42.
[00:59:03.909 --> 00:59:12.354]  He says, Who then is the faithful and wise manager, whom the Master puts in charge of all His servants, to give them their food allowance at the proper time?
[00:59:12.879 --> 00:59:17.000]  It'll be good for that servant whom the master finds doing so when he returns.
[00:59:17.621 --> 00:59:20.542]  I tell you the truth, he'll put him in charge of all his possessions.
[00:59:21.122 --> 00:59:31.265]  But suppose the servant says to himself, my master is taking a long time in coming, and then he begins to be some other men's servant, the maid's servant, and to eat and drink and get drunk.
[00:59:31.686 --> 00:59:38.748]  Now listen closely to what Jesus says he's going to do to those people who are mocking and making fun of those who are standing up for liberty and truth and for justice.
[00:59:39.292 --> 00:59:45.181]  It says the master of that servant will come on a day when he does not expect them and at an hour he's unaware of.
[00:59:45.601 --> 00:59:50.048]  And he'll cut him into pieces and assign him a place with the unbelievers.
[00:59:50.695 --> 00:59:58.583]  That servant who knows his master's will and does not get ready, or does not do what the master wants, will be beaten with many blows.
[00:59:59.064 --> 01:00:04.509]  But the one who does not know and does things deserving of punishment will be beaten with but a few blows.
[01:00:04.990 --> 01:00:07.212]  So it's a whole lot worse to know... Stay there, Darryl.
[01:00:07.272 --> 01:00:07.813]  Stay there, Darryl.
[01:00:07.833 --> 01:00:08.934]  Do five more minutes with us.
[01:00:09.615 --> 01:00:10.456]  And I'm not kidding.
[01:00:11.536 --> 01:00:12.657]  In fact, people don't believe this.
[01:00:13.417 --> 01:00:21.402]  Google pastors arrested Philadelphia for preaching and charges hate criminals because they said that the anti-abortion message was hurtful.
[01:00:22.182 --> 01:00:23.123]  This is on a street corner.
[01:00:23.723 --> 01:00:27.586]  And then also in Canada they are arresting people that read from the Old and New Testament.
[01:00:27.946 --> 01:00:30.427]  So we're going to continue to commit crimes in one minute.
[01:00:30.447 --> 01:00:30.888]  Stay with us.
[01:00:33.629 --> 01:00:35.691]  Thank you for listening to GCN.
[01:00:36.231 --> 01:00:39.413]  Be sure to visit GCNlive.com today.
[01:00:42.000 --> 01:00:47.304]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[01:00:47.824 --> 01:00:56.231]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[01:00:56.411 --> 01:01:03.196]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:01:03.536 --> 01:01:09.038]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[01:01:09.278 --> 01:01:15.260]  The New Silver Solution Gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[01:01:15.600 --> 01:01:21.862]  The New Silver Solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[01:01:22.242 --> 01:01:26.624]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[01:01:26.904 --> 01:01:29.865]  Check out the patented New Silver Solution today.
[01:01:30.265 --> 01:01:33.547]  Click on the link and check out the uses for New Silver Solution.
[01:01:33.948 --> 01:01:38.631]  Order this extra line of defense today by going to SupernaturalSilver.com.
[01:01:38.771 --> 01:01:40.933]  That's SupernaturalSilver.com today.
[01:01:44.515 --> 01:01:46.436]  Waging war on corruption.
[01:01:46.897 --> 01:01:49.699]  Alex Jones on the GCN Radio Network.
[01:02:16.809 --> 01:02:21.754]  All right, my friends, we are now into the final hour already of this transmission.
[01:02:21.774 --> 01:02:24.476]  I do want to get into the whole hate crime legislation.
[01:02:24.496 --> 01:02:26.939]  I've read the subsections over and over again for y'all here.
[01:02:28.721 --> 01:02:29.882]  I can't believe this is in there.
[01:02:30.002 --> 01:02:31.182]  I can't believe this is happening.
[01:02:31.863 --> 01:02:36.285]  And I do want to take your phone calls in the next segment before I get into all of that for those who have been patiently holding.
[01:02:36.565 --> 01:02:39.146]  But Daryl Rhondas got interrupted by the satellite break there.
[01:02:40.027 --> 01:02:42.928]  So Daryl, you were explaining that parable there given by Christ.
[01:02:44.649 --> 01:03:11.340]  uh... about uh... you know this test that is this life what's gonna happen to people that use their stewardship and their knowledge to abuse the lesser people and also like the story of better to tie a millstone around your neck and you hurt one of these and i see that not just as physical children but also is like a retarded children or special needs type people or the old you know how the elite how how the predators love to feed on the weak
[01:03:12.240 --> 01:03:15.222]  They are certainly going to be punished for that.
[01:03:16.023 --> 01:03:16.623]  Absolutely.
[01:03:16.863 --> 01:03:30.733]  In fact, what this scripture that I just read to you in Luke 12 says clearly, though, is those who don't know, in other words, those that don't know Him, and they don't live for Him, they serve Satan and not God, they hate God, therefore they love death.
[01:03:31.373 --> 01:03:36.737]  Those people are in less trouble with Jesus when He returns than those who call themselves believers.
[01:03:36.757 --> 01:03:39.639]  Keep in mind, He's not addressing this to the unbelievers.
[01:03:39.719 --> 01:03:41.560]  He says He's going to find these people
[01:03:42.173 --> 01:03:43.074]  With the unbelievers.
[01:03:43.294 --> 01:03:44.756]  So he's talking about believers here.
[01:03:44.776 --> 01:03:58.230]  He's saying, hey, if that wicked, lazy servant doesn't get up and get out and do the Master's will, which is to stand up for peace and truth and liberty and justice and what's right and what's good, he's going to cut them into many pieces and give them many blows.
[01:03:58.250 --> 01:04:02.374]  They're going to be assigned a place with the unbelievers, only they're going to be tortured even worse.
[01:04:02.659 --> 01:04:10.768]  Well what about all these Christians that are saying war and death and all of this stuff is a good thing and even killing people's kids in front of them.
[01:04:11.249 --> 01:04:12.611]  Suddenly that's a good thing.
[01:04:12.671 --> 01:04:15.594]  Suddenly carpet bombing cities is a good thing.
[01:04:16.635 --> 01:04:19.999]  Suddenly corruption and lying about WMDs is a good thing.
[01:04:20.991 --> 01:04:22.052]  These aren't really Christians.
[01:04:22.372 --> 01:04:24.173]  No, absolutely not, and that's what's sad.
[01:04:24.193 --> 01:04:44.843]  In fact, I'm going to quit calling myself a Christian and start calling myself a Christ follower or something, because so many people claim to be a Christian, and they may serve Him with their lips, but their hearts are far from Him, because I don't know anybody who could love righteousness, who could be a light of the world, and yet allow all these evilties that are done in darkness and never expose them, or even worse,
[01:04:45.353 --> 01:04:45.713]  I think so.
[01:05:06.786 --> 01:05:07.626]  Well, it's more than that.
[01:05:07.666 --> 01:05:09.007]  They don't even want to know, Daryl.
[01:05:09.067 --> 01:05:13.528]  They get into being ignorant, and their religion is being ignorant.
[01:05:13.928 --> 01:05:17.449]  And you can give them mainstream news about the preachers covertly hired by FEMA.
[01:05:17.969 --> 01:05:20.309]  FEMA saying they're getting ready for forced inoculations.
[01:05:20.329 --> 01:05:23.310]  I don't know if they're going to do it, but they're certainly saying they're getting ready.
[01:05:23.650 --> 01:05:25.791]  Homeland Security doing drills with foreign troops.
[01:05:26.291 --> 01:05:27.231]  And they just laugh.
[01:05:27.651 --> 01:05:28.712]  So they're the kooks.
[01:05:28.772 --> 01:05:30.512]  It's their religion to laugh at us.
[01:05:30.892 --> 01:05:31.452]  Absolutely.
[01:05:31.492 --> 01:05:33.713]  And what's even more wicked about it is that
[01:05:34.198 --> 01:05:36.379]  Here they say, oh, it's all going to happen anyway.
[01:05:36.539 --> 01:05:37.700]  There's nothing I can do.
[01:05:37.780 --> 01:05:39.861]  God's in control, so I'm just going to pray.
[01:05:40.301 --> 01:05:50.106]  And I ask them, look, if a tsunami was about to sweep across the land and wipe out thousands of people, and you knew it was coming, would you just sit there and say, well, God's in control, I'll just stand here and pray?
[01:05:50.286 --> 01:05:51.847]  Or would you run around warning people?
[01:05:52.427 --> 01:05:56.009]  And that would just say, I actually got Christians to say, no, I would just pray.
[01:05:56.069 --> 01:05:57.670]  Let the media tell them about the tsunami.
[01:05:57.690 --> 01:05:58.370]  That's their job.
[01:05:59.045 --> 01:06:00.246]  And I just find it very sad.
[01:06:00.266 --> 01:06:07.730]  In fact, it reminds me of another scripture, and it also reminds me of you in 2 Thessalonians 2, verses 9-12.
[01:06:08.270 --> 01:06:10.772]  It reminds me of people drinking the Kool-Aid, as you call it.
[01:06:10.792 --> 01:06:11.072]  It says,
[01:06:18.636 --> 01:06:19.036]  We're good to go.
[01:06:31.880 --> 01:06:32.300]  And they do.
[01:06:32.340 --> 01:06:33.021]  They buy the lie.
[01:06:33.041 --> 01:06:34.061]  They love the lie, don't they?
[01:06:34.441 --> 01:06:34.922]  Exactly.
[01:06:34.962 --> 01:06:38.403]  This entire New World Order system is openly coming out in the open.
[01:06:38.423 --> 01:06:40.244]  It's the best time ever to wake people up.
[01:06:40.644 --> 01:06:43.426]  And the Christians look at their watch and go, I'm about to get raptured.
[01:06:43.966 --> 01:06:45.367]  I'm glad things are getting bad.
[01:06:45.447 --> 01:06:46.587]  I'm not going to help anybody.
[01:06:46.948 --> 01:06:49.769]  Do you really think God's going to save you then if you have that attitude?
[01:06:50.009 --> 01:06:51.370]  Daryl, stay there one more minute.
