[00:00:01.553 --> 00:00:02.133]  Initiate!
[00:50:06.129 --> 00:50:12.730]  My whole point is, we're doing a talk radio show, and you know, I have a Neumann Mic, German.
[00:50:12.791 --> 00:50:14.671]  I'm not owned by the Neumann Corporation.
[00:50:15.111 --> 00:50:17.433]  I have a Toshiba TV in front of me as a monitor.
[00:50:17.753 --> 00:50:19.095]  I'm not owned by Toshiba.
[00:50:19.135 --> 00:50:21.877]  I'm just saying, listeners, this is what the Feds do.
[00:50:21.897 --> 00:50:26.181]  It makes me angry, not that they're putting the lies out, but that people are so gullible.
[00:50:26.561 --> 00:50:28.723]  Like there's a porno magazine called Genesis.
[00:50:28.883 --> 00:50:33.107]  They claim we're owned by the porno magazine, when there's hundreds of companies called Genesis.
[00:50:33.507 --> 00:50:38.031]  Another writer put out a lie, because there was some Genesis thing with some Saudi Arabian.
[00:50:39.472 --> 00:50:45.462]  I think you ought to post on the site your charter, your corporate charter, that it's a Ted Anderson company.
[00:50:45.502 --> 00:50:49.108]  I'm tired of the feds running black ops and people believing it, Ted.
[00:50:49.468 --> 00:50:50.510]  Yeah, and there's a lot of...
[00:50:52.250 --> 00:50:53.050]  Funny information.
[00:50:53.150 --> 00:50:57.312]  I think, you know, I think you ought to just sue one of those people just to teach people a lesson.
[00:50:57.772 --> 00:50:58.633]  That's a good idea.
[00:50:58.653 --> 00:51:00.113]  I mean, I know you sue people.
[00:51:00.153 --> 00:51:01.414]  You need to go ahead and just sue them.
[00:51:01.774 --> 00:51:07.597]  Because I'm tired of them getting, you know, we need to get aggressive and start hammering people and call them in court and go, now listen, you bastard liar!
[00:51:08.057 --> 00:51:09.998]  You talk, you tell the judge what's going on!
[00:51:10.828 --> 00:51:20.594]  SouthSummit.com is the place for top name brand knives such as Kershaw, Spyderco, Cold Steel, Gerber, K-Bar, Boker, Leatherman, and more.
[00:51:20.754 --> 00:51:24.696]  South Summit has one of the largest selections of self-defense products on the web.
[00:51:24.836 --> 00:51:34.662]  Knives, stun guns, police batons, pepper spray, LED flashlights, emergency kits, binoculars, and tactical gear are just some of the great products found on SouthSummit.com.
[00:51:34.742 --> 00:51:38.645]  Receive discounted prices on camping and preparedness products from Camelbak, Kelty,
[00:51:38.985 --> 00:51:39.785]  We're good to go.
[00:52:04.771 --> 00:52:06.232]  1-800-234-8654.
[00:52:06.292 --> 00:52:07.673]  That's 1-800-234-8654.
[00:52:07.733 --> 00:52:17.279]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:52:17.640 --> 00:52:19.341]  The enemy struck America on September 11th.
[00:52:20.273 --> 00:52:21.294]  But who is the enemy?
[00:52:21.834 --> 00:52:22.335]  Bin Laden.
[00:52:22.635 --> 00:52:23.575]  This is his M.O.s.
[00:52:23.595 --> 00:52:24.976]  We have to look to the Middle East.
[00:52:24.997 --> 00:52:26.638]  We have to look to Osama Bin Laden.
[00:52:26.998 --> 00:52:33.743]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:52:34.143 --> 00:52:34.584]  Some U.S.
[00:52:34.624 --> 00:52:40.268]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:52:40.968 --> 00:52:44.449]  I'm aware that some Israeli citizens have been detained.
[00:52:44.469 --> 00:52:46.610]  Either you are with us, or you are with the terrorists.
[00:53:12.597 --> 00:53:14.580]  It's a new year full of uncertainties.
[00:53:15.161 --> 00:53:17.664]  People are being laid off in record numbers.
[00:53:18.245 --> 00:53:22.411]  The price of food continues to rise and the economy continues to falter.
[00:53:23.160 --> 00:53:24.921]  You know that you need to prepare.
[00:53:25.282 --> 00:53:28.304]  And maybe you've been putting it off, but the time to act is now.
[00:53:28.664 --> 00:53:31.686]  That's why you need to visit OrganicaSeed.com.
[00:53:31.987 --> 00:53:43.375]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds and survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:53:43.776 --> 00:53:50.200]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco.
[00:53:50.981 --> 00:53:51.421]  I think so.
[00:54:13.922 --> 00:54:16.444]  They came and took it all away, ladies and gentlemen.
[00:54:16.785 --> 00:54:19.827]  You know, Ted, I didn't mean to get sidetracked.
[00:54:20.007 --> 00:54:23.030]  I just got into radio stuff with you here on air.
[00:54:23.050 --> 00:54:24.751]  We've been so busy, I hadn't talked to you about that.
[00:54:24.792 --> 00:54:29.656]  Jason Vermas' show starts 9 to midnight, Central, March 1st.
[00:54:29.676 --> 00:54:30.957]  A couple Thursdays from now.
[00:54:30.977 --> 00:54:34.000]  And I just know what a good guy you are and how hard you work.
[00:54:34.660 --> 00:54:38.363]  Everything you've done and the Fed's little lies about you really make me mad.
[00:54:39.224 --> 00:54:46.132]  I think I'll look at suing one or two of these people just to, you know, it'll be a court record of their lives and get a judgment against them, but that's a side issue.
[00:54:46.413 --> 00:54:47.974]  I'm glad you're going to get us another satellite feed.
[00:54:47.994 --> 00:54:48.695]  Good job, Ted.
[00:54:49.997 --> 00:54:55.583]  Let's get into the gold here in the four minutes that we have got left here today.
[00:54:56.184 --> 00:54:57.605]  You are at the very tail end.
[00:54:57.665 --> 00:55:00.067]  And folks, he told you this one was at $700 and that ran out.
[00:55:00.407 --> 00:55:01.929]  And then it was $800 and then $830.
[00:55:01.989 --> 00:55:02.990]  It's about to run out.
[00:55:03.670 --> 00:55:07.733]  He was able, at that original price, to get some more Sovereigns, British Sovereigns and Franks.
[00:55:07.873 --> 00:55:09.194]  Where is gold right now, Ted?
[00:55:10.455 --> 00:55:12.297]  Gold today has seen $948.80.
[00:55:12.337 --> 00:55:13.518]  It's down by just about $2.
[00:55:13.678 --> 00:55:13.858]  It's up $27.
[00:55:13.918 --> 00:55:14.138]  It's at $944.10.
[00:55:14.239 --> 00:55:16.560]  I did some math on the British Sovereigns.
[00:55:24.056 --> 00:55:27.098]  Currently, right now, they're at $288 when I buy them.
[00:55:27.558 --> 00:55:28.679]  Right now, I'm carrying them for $265.
[00:55:29.520 --> 00:55:41.928]  Four of them put together make an ounce, so I took the difference of $23 from where they would be today to what I'm offering them for, and it comes out to be $92 per ounce.
[00:55:41.948 --> 00:55:43.409]  I also have the French Frank.
[00:55:43.469 --> 00:55:45.150]  I did the math on that one as well.
[00:55:46.070 --> 00:55:49.713]  They are up $19 from where I'm carrying them right now.
[00:55:50.053 --> 00:55:50.573]  They're at $235.
[00:55:51.174 --> 00:55:51.814]  I've got them at $217.
[00:55:53.393 --> 00:56:02.017]  You multiply that by five because it's a fifth of an ounce, $95 above and beyond where they're trading at right now per ounce.
[00:56:02.357 --> 00:56:03.198]  That's the difference.
[00:56:03.438 --> 00:56:05.679]  I mean, the silver market right now is even higher.
[00:56:06.480 --> 00:56:10.201]  Silver currently right now today is at $13.72.
[00:56:10.421 --> 00:56:15.024]  I have the silver dollars, not the silver dollars, I wish I had them.
[00:56:15.324 --> 00:56:17.285]  I have the walking liberty halves and the dimes.
[00:56:17.665 --> 00:56:18.205]  Half dollars.
[00:56:18.225 --> 00:56:21.407]  Back when it was down at $9 an ounce when silver was down there.
[00:56:21.789 --> 00:56:25.533]  The same price as the dimes currently right now are at $1,590 per $100 face value.
[00:56:25.553 --> 00:56:30.157]  Is it safe to say this is the best deal you've ever offered?
[00:56:30.197 --> 00:56:32.319]  Well, Alex, I haven't ever offered it for this.
[00:56:37.043 --> 00:56:43.044]  Not like this before, and you know, again, I mean, I talked to more than my price.
[00:56:43.064 --> 00:56:50.246]  This is priced at $114 less than the market is right now, and most places don't even have gold or silver, and when they do, they put huge premiums over it.
[00:56:50.306 --> 00:56:52.567]  This is an insane deal.
[00:56:52.967 --> 00:56:54.207]  How long are you offering it?
[00:56:54.327 --> 00:56:57.568]  Well, Alex, I can't offer this past midnight tonight.
[00:56:57.588 --> 00:56:58.348]  There's no way.
[00:56:58.368 --> 00:57:02.109]  Unless if I can have a huge drop in gold, it ain't gonna happen.
[00:57:02.580 --> 00:57:06.822]  I mean, I'm watching the argument that's going on in Washington, D.C.
[00:57:07.322 --> 00:57:15.966]  about this stimulus package, and then right behind that, the Secretary of Treasury asking for like $3 trillion to bail out the banks again.
[00:57:15.986 --> 00:57:18.948]  And last time, $700 billion turned into $8.5 trillion.
[00:57:19.468 --> 00:57:27.512]  Bloomberg reports the bailouts now at $9.7 trillion, that's the newest number, so $3 trillion would be three times that of what they always left, which we're talking about $30 trillion.
[00:57:28.132 --> 00:57:30.593]  I mean, these numbers don't... It's insane.
[00:57:30.653 --> 00:57:31.633]  Protect yourselves now.
[00:57:31.933 --> 00:57:33.334]  They're hyper-inflating the currency.
[00:57:33.374 --> 00:57:34.314]  There's no doubt of that.
[00:57:34.674 --> 00:57:40.577]  Give the brokers a call on the francs, on the sovereigns, and on the half dollars and the dimes in silver.
[00:57:40.597 --> 00:57:41.037]  1-800-686-2237.
[00:57:41.057 --> 00:57:41.157]  1-800-686-2237.
[00:57:41.177 --> 00:57:42.637]  And that's good through midnight, February 11th.
[00:57:42.697 --> 00:57:44.798]  That's a nice birthday present from me to everybody.
[00:57:44.818 --> 00:57:46.159]  Today's my birthday, Ted.
[00:57:53.121 --> 00:57:55.042]  Oh, wow, happy birthday, I forgot about that.
[00:57:55.062 --> 00:57:57.122]  I'm getting to be an old man now, I'm 35.
[00:57:57.462 --> 00:57:59.443]  Well, you're getting to be an old man, all right.
[00:58:01.184 --> 00:58:02.404]  I'm a lot of miles on there.
[00:58:02.824 --> 00:58:12.867]  Oh, well, I tell you what, every year goes by and the amount of people that are listening to this show and how it grows, I can't tell you, Alex, I am so appreciative of what you've done.
[00:58:13.287 --> 00:58:15.848]  No, I'm appreciative of the listener spreading the word.
[00:58:16.629 --> 00:58:17.689]  So where is Silver right now?
[00:58:18.289 --> 00:58:23.054]  Uh, silver currently right now $13 and uh... And you're selling it at the $9 level?
[00:58:23.394 --> 00:58:23.834]  Yeah.
[00:58:23.894 --> 00:58:26.977]  What's it priced in at $9?
[00:58:27.397 --> 00:58:32.282]  $800, $686, $2237, and you're pricing gold at $114 less than the market is?
[00:58:32.842 --> 00:58:34.704]  Yeah, right now at this time you can't beat that.
[00:58:34.804 --> 00:58:35.625]  I know that my compa...
[00:58:36.032 --> 00:58:37.633]  Thank you for listening to GCN.
[00:58:37.653 --> 00:58:38.353]  Visit GCNlive.com today.
[00:59:00.694 --> 00:59:02.255]  Hello friends, this is Alex Jones.
[00:59:02.375 --> 00:59:06.977]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:59:07.117 --> 00:59:09.878]  We need to be independent, and food and water is the key.
[00:59:10.078 --> 00:59:12.939]  You'll never have to stand in a bread line if you have your own bread.
[00:59:13.119 --> 00:59:17.841]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:59:18.061 --> 00:59:19.002]  If you simply prepare.
[00:59:19.202 --> 00:59:22.144]  No one is going to take care of your family in the final equation but you.
[00:59:22.444 --> 00:59:29.330]  You know efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:59:29.450 --> 00:59:32.552]  And they do it at almost half the cost of last year's grocery prices.
[00:59:32.712 --> 00:59:34.253]  Call 1-800-409-5633 or on the web go to efoodsdirect.com.
[00:59:37.836 --> 00:59:43.921]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:59:44.101 --> 00:59:47.383]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:59:47.463 --> 00:59:48.544]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:59:48.564 --> 00:59:49.045]  Take action today.
[00:59:49.065 --> 00:59:50.506]  The first step is getting storable food.
[01:00:03.439 --> 01:00:05.341]  Waging war on corruption.
[01:00:05.841 --> 01:00:08.764]  Alex Jones on the GCN Radio Network.
[01:00:15.170 --> 01:00:18.413]  We are back live, now already into the final hour.
[01:00:19.054 --> 01:00:21.136]  State Representative Jim Gass will be joining us.
[01:00:21.156 --> 01:00:22.437]  They're getting him off the floor right now.
[01:00:22.477 --> 01:00:23.218]  He's in Missouri.
[01:00:25.154 --> 01:00:28.797]  Ten states and another 20, according to Jack McClain, are moving to declare sovereignty.
[01:00:28.817 --> 01:00:30.879]  They're talking about martial law, gun confiscations.
[01:00:31.319 --> 01:00:34.722]  Now they're not going along with compulsory slavery, a new domestic draft.
[01:00:35.162 --> 01:00:35.963]  Obama's pushing.
[01:00:36.043 --> 01:00:37.224]  This is exciting.
[01:00:37.624 --> 01:00:38.424]  We're on the march.
[01:00:38.465 --> 01:00:39.545]  The empire is on the run.
[01:00:40.046 --> 01:00:45.770]  Ted Anderson's gone now, but you just heard him do that gold pitch from gold he bought when it was at $830 level.
[01:00:48.942 --> 01:00:52.505]  Just amazing deal on precious metals in stock.
[01:00:52.525 --> 01:00:55.006]  800-686-2237.
[01:00:55.026 --> 01:00:55.066]  800-686-2237.
[01:00:57.328 --> 01:00:58.909]  Take advantage of this or you're crazy.
[01:00:58.929 --> 01:01:01.931]  In fact, I'm going to take advantage of it every six months or so.
[01:01:01.951 --> 01:01:03.112]  I'll buy a little bit of silver and gold.
[01:01:03.392 --> 01:01:04.373]  This deal is just too good.
[01:01:04.393 --> 01:01:05.574]  800-686-2237.
[01:01:05.594 --> 01:01:10.377]  Okay, we are back live now into the fourth hour.
[01:01:11.018 --> 01:01:12.739]  Coming up, I'm going to get into Madoff's wife.
[01:01:12.779 --> 01:01:14.941]  Pulled $15 million before his arrest out of Reuters.
[01:01:15.461 --> 01:01:16.302]  They've got a new drug czar.
[01:01:16.322 --> 01:01:17.343]  We're going to be going over all that.
[01:01:17.383 --> 01:01:19.125]  Time Magazine calls for a world government.
[01:01:19.846 --> 01:01:24.491]  And this issue, titled the New World Order, saying a foreign bank will control the United States.
[01:01:24.572 --> 01:01:25.693]  See, this has been the plan.
[01:01:26.594 --> 01:01:29.157]  The good news is ten states now have legislation introduced.
[01:01:29.177 --> 01:01:30.478]  It was eight last Friday.
[01:01:30.518 --> 01:01:31.139]  Now it's ten.
[01:01:31.480 --> 01:01:32.601]  Twenty more looking at it.
[01:01:33.582 --> 01:01:34.964]  And we've been having people on from
[01:01:36.710 --> 01:01:40.093]  Oklahoma and from Washington and from New Hampshire, more from New Hampshire.
[01:01:40.733 --> 01:01:44.616]  Throughout this week and next week we're having these great patriots, these great men and women on.
[01:01:44.656 --> 01:01:56.646]  Representative Jim Guest has introduced HCR 13, claims sovereignty of the United States under the 10th Amendment of the United States Constitution for all powers, not otherwise enumerated and granted to the federal government under the Constitution.
[01:01:57.126 --> 01:01:58.988]  Now that's already enshrined
[01:02:01.152 --> 01:02:08.938]  Well, it's an honor for me to be on and visit with the people of this great country and help them join our forces here to... It's sad that we have to have a wake-up call to take back the powers that supposedly are ours.
[01:02:25.726 --> 01:02:26.087]  Absolutely.
[01:02:26.107 --> 01:02:32.635]  We're going to break in a moment and come back and talk more about it, but what spurred you to introduce this and how is it going and what does it cover?
[01:02:34.220 --> 01:02:37.743]  I guess it probably started a couple years ago when this Real ID Act came out.
[01:02:37.783 --> 01:02:40.566]  That was also a direct violation of the 10th Amendment.
[01:02:40.626 --> 01:02:44.509]  And we started down the road to get states to enact legislation to oppose that.
[01:02:44.589 --> 01:02:51.274]  And we kept citing it was a direct violation of about three or four amendments in the Bill of Rights and obviously the 10th.
[01:02:51.334 --> 01:03:00.362]  And as we got on down there in a bit with other legislators around the country, I thought we need to make a concerted and united effort here to file some legislation to
[01:03:01.098 --> 01:03:05.600]  Notify our federal government that we're going to take back those rights delineated in the 10th Amendment.
[01:03:05.620 --> 01:03:07.140]  So that's kind of what was behind it there.
[01:03:07.860 --> 01:03:11.002]  Have you seen the New Hampshire one that says, we're saying no to martial law?
[01:03:11.502 --> 01:03:12.842]  Yeah, absolutely.
[01:03:13.162 --> 01:03:14.823]  What do you think of that?
[01:03:14.983 --> 01:03:16.724]  That was a very bold step.
[01:03:16.744 --> 01:03:25.547]  I presented my HCR 13, the 10th Amendment rights here in my committee yesterday morning, and I briefly noted it.
[01:03:25.567 --> 01:03:29.188]  I said, if you think this language is a little bit strong, you need to read the New Hampshire where it says,
[01:03:29.967 --> 01:03:33.891]  If they violate any of these, we're going to nullify the Constitution and start all over again.
[01:03:33.971 --> 01:03:37.675]  So yes, I commend them for that very brave and bold step they're taking.
[01:03:38.156 --> 01:03:40.699]  And New Hampshire has the strongest state constitution.
[01:03:41.239 --> 01:03:47.466]  It's even better in powers delegated to the state and the people than even the federal, the only one that I know of that's even stronger.
[01:03:47.486 --> 01:03:52.211]  And it states, right to revolt, and they're basically preparing for right to revolt clause.
[01:03:53.243 --> 01:03:53.764]  That's right.
[01:03:53.844 --> 01:03:57.327]  I just reiterated that in a committee meeting.
[01:03:57.387 --> 01:03:59.629]  I kind of went over the high points of it.
[01:03:59.749 --> 01:04:10.659]  I said, you know, this is no wonder they call it a live freer die state up there and we need more patriots and more people around the country to stand up with what they're starting there.
[01:04:11.621 --> 01:04:18.206]  I want to go over your concerns about federal control because it's not even federal, it's international.
[01:04:18.746 --> 01:04:23.309]  Time Magazine says it is a world government run by private banks, so they can't call us kooks.
[01:04:24.310 --> 01:04:31.695]  Wall Street Journal is calling for North American Union and getting rid of the dollar and letting a foreign bank, and we're being taken over like a third world country by foreign banks.
[01:04:32.175 --> 01:04:40.561]  We are, and that's one of the efforts we've been working on here is a resolution with other states to make people aware of this North American Union and the
[01:04:41.221 --> 01:04:42.742]  The One World Government is coming on.
[01:04:42.782 --> 01:04:49.265]  You know, people kind of made light of it for several years when all of a sudden the lights started to come on and they realized what's taking place.
[01:04:49.305 --> 01:04:56.149]  But it's difficult when some of these powers get that far down the road before you can get people to take action on it.
[01:04:56.169 --> 01:04:59.491]  But it's never too late until the doors close.
[01:04:59.531 --> 01:05:00.311]  So we need to work on it.
[01:05:00.331 --> 01:05:00.692]  That's right.
[01:05:00.992 --> 01:05:01.952]  And we turned the lights on.
[01:05:01.972 --> 01:05:04.173]  There were a million New World Order cockroaches in there.
[01:05:04.574 --> 01:05:08.776]  Representative Jim Guess from Missouri, a great patriot, he'll be back with us after this break.
[01:05:11.525 --> 01:05:14.967]  Attention, this is an extremely urgent self-reliant news bulletin.
[01:05:15.348 --> 01:05:21.772]  If you have ever wanted to produce your own cheaper-than-dirt survival food, this is going to be the most important message you will ever hear.
[01:05:22.433 --> 01:05:23.133]  Here is why.
[01:05:23.894 --> 01:05:33.821]  This network has just learned of a new video course that reveals the secrets of how to safely prepare and store all types of survival foods in an event of social unrest and food shortages here in the U.S.
[01:05:34.341 --> 01:05:36.764]  Grain shortages and hunger are spreading across the globe.
[01:05:37.085 --> 01:05:39.167]  Will troops guard the food supplies in the U.S.
[01:05:39.207 --> 01:05:39.668]  this fall?
[01:05:40.189 --> 01:05:40.689]  Don't wait.
[01:05:41.110 --> 01:05:44.734]  Learn the food shortage skills that can keep you and your family alive in a crisis.
[01:05:45.055 --> 01:05:47.878]  Get the details at foodshortageusa.com.
[01:05:48.399 --> 01:05:49.500]  That's foodshortageusa.com.
[01:05:51.082 --> 01:05:55.405]  Or you can call toll-free 877-327-0365.
[01:05:55.805 --> 01:05:57.106]  Don't wait for empty shelves.
[01:05:57.586 --> 01:06:00.868]  Go to foodshortageusa.com while you still have time.
[01:06:01.448 --> 01:06:07.491]  www.foodshortageusa.com or toll-free at 877-327-0365.
[01:06:07.511 --> 01:06:09.973]  Act now!
[01:06:09.993 --> 01:06:17.297]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:06:17.657 --> 01:06:19.318]  The enemy struck America on September 11th.
[01:06:20.293 --> 01:06:21.314]  But who is the enemy?
[01:06:21.834 --> 01:06:22.355]  Bin Laden.
[01:06:22.655 --> 01:06:23.636]  This is his ammo.
[01:06:23.656 --> 01:06:24.937]  We have to look to the Middle East.
[01:06:25.017 --> 01:06:26.639]  We have to look to Osama Bin Laden.
[01:06:27.019 --> 01:06:33.745]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:06:34.145 --> 01:06:34.586]  Some U.S.
[01:06:34.626 --> 01:06:40.291]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:06:40.971 --> 01:06:44.472]  I'm aware that some Israeli citizens have been detained.
[01:06:44.492 --> 01:06:47.272]  Either you are with us, or you are with the terrorists.
[01:07:10.903 --> 01:07:14.197]  Aging doesn't only show in your face, but it can be felt in your body.
[01:07:14.559 --> 01:07:15.423]  You feel tired.
[01:07:15.734 --> 01:07:19.016]  Your joints and muscles ache, and your mind seems clouded and forgetful.
[01:07:19.236 --> 01:07:23.819]  It's time to stop the aging clock with a proven system brought to you by NutraMedical.com.
[01:07:24.180 --> 01:07:29.723]  Anti-Age Max uses a revolutionary formula to turn back the hands of time on the inside and out.
[01:07:29.944 --> 01:07:40.891]  Combine Anti-Age Max with Nutra-Trala to protect against cellular damage, and Collagen Max to regenerate healthy bones, ligaments, joints, and improve the collagen and elastin to your skin's appearance.
[01:07:41.311 --> 01:07:45.454]  It is possible to look and feel youthful again when you give your body what it needs.
[01:07:46.054 --> 01:07:47.175]  Anti-Age Max.
[01:07:47.916 --> 01:07:52.119]  Dr. Bill's Anti-Age Max is available now by calling 888-212-8871.
[01:07:52.359 --> 01:07:56.062]  That's 888-212-8871.
[01:07:56.522 --> 01:07:59.044]  Or order online at Nutrimedical.com.
[01:07:59.265 --> 01:08:02.027]  That's N-U-T-R-I-Medical.com.
[01:08:02.427 --> 01:08:03.668]  Nutrimedical.com.
[01:08:04.008 --> 01:08:09.973]  Your source for the most powerful nutraceuticals and wellness protocols from a doctor you can trust.
[01:08:12.276 --> 01:08:18.304]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:08:18.905 --> 01:08:21.949]  It's Alex Jones and the GCN Radio Network.
[01:08:23.231 --> 01:08:29.259]  The United States, the jewel and the crown of this world, has been seized by offshore banks publicly.
[01:08:31.004 --> 01:08:41.113]  And if we don't address just how dire things are, just how out of control things are, with Newsweek saying we're now a socialist nation, we're all socialists now, we're not going to be able to turn this around.
[01:08:41.873 --> 01:08:44.155]  No more time to play patty cake or mince words.
[01:08:44.256 --> 01:08:48.840]  This is tyrannical world government at point-blank range attacking our country and looting it.
[01:08:49.710 --> 01:08:56.413]  They got all these scared people saying, we'll do whatever you say, take our rights away, just give us, you know, money, give us jobs.
[01:08:56.673 --> 01:09:04.876]  When the very same crew filling Obama's administration, if you thought Bush was bad, are the very people in the Clinton administration who changed the banking rules to engage in this criminal looting.
[01:09:04.976 --> 01:09:06.457]  A bunch of made-offs, basically.
[01:09:07.261 --> 01:09:20.432]  We've got a representative guest on with us, and I appreciate Jim Guest joining us from Missouri, District 5, Republican, and I told you it was 8 states, I guess he's the 9th because he introduced it yesterday.
[01:09:20.452 --> 01:09:23.635]  It's up to 10 now, and 20 more looking at it.
[01:09:25.416 --> 01:09:33.442]  Why did you, I mean looking at things happening, run over the thought process of introducing this, where it's going, how we help you get this passed.
[01:09:33.602 --> 01:09:37.985]  I know I'm on a couple stations, like the fine station KCXL out of Kansas City.
[01:09:38.425 --> 01:09:45.270]  How do folks put pressure, as you know the foreign bankers are lobbying, putting pressure against you guys to not save the republic.
[01:09:45.330 --> 01:09:46.671]  How do we help you?
[01:09:46.931 --> 01:09:47.991]  A. Why'd you do this?
[01:09:48.071 --> 01:09:48.932]  What's the main threats?
[01:09:49.272 --> 01:09:50.073]  B. How do we help you?
[01:09:51.676 --> 01:10:02.182]  The main reason is I've got two grandchildren and I keep telling people I want them to grow up in the world I have.
[01:10:02.262 --> 01:10:09.407]  The last thing I want to do is sit on the front step of my house and tell my two granddaughters I can remember back when America used to be free.
[01:10:09.467 --> 01:10:13.089]  I don't want them to ask me what it was like, Grandpa, when America was free.
[01:10:13.109 --> 01:10:14.930]  That's one of the main reasons I'm working this far.
[01:10:15.586 --> 01:10:15.726]  I don't
[01:10:32.330 --> 01:10:35.313]  We've got a number of legislators around the country doing so.
[01:10:35.393 --> 01:10:41.179]  It's a concern today, but it's more of a concern of what's going to happen tomorrow if we don't take action today.
[01:10:41.379 --> 01:10:44.883]  Like you said, it's not tomorrow we need to take action, it's today.
[01:10:44.903 --> 01:10:51.229]  I keep saying we're at the crossroads and whatever freedoms and rights we lose, we're never going to get them back.
[01:10:54.372 --> 01:10:55.073]  We're good to go.
[01:11:22.341 --> 01:11:25.042]  We join here and how can people in Missouri help?
[01:11:25.522 --> 01:11:26.162]  Pretty easy.
[01:11:26.182 --> 01:11:34.784]  They find out who their legislators are on the committee, call their legislators and tell them to support this HCR 13.
[01:11:36.264 --> 01:11:41.125]  And I've also got a bill out there, House Bill 361, to reject the REAL ID Act.
[01:11:41.145 --> 01:11:44.246]  Those both go in pretty close together.
[01:11:44.266 --> 01:11:51.248]  The REAL ID Act is another tank for Big Brother to start watching us and controlling us and tracking our every movement.
[01:11:52.432 --> 01:11:55.514]  Those two bills are ones I'm working on today.
[01:11:57.035 --> 01:11:58.836]  Well, you know, people want solutions.
[01:11:58.856 --> 01:11:59.397]  This is it.
[01:11:59.837 --> 01:12:09.444]  This is the remedy in the Constitution, next to the cartridge box, is the states, and I hope we don't have to go to that, for the states to say no and stand up and declare their sovereignty.
[01:12:10.764 --> 01:12:14.987]  And, you know, we're now, as you said, I said that earlier, hours ago, this is the big crossroads.
[01:12:15.047 --> 01:12:15.928]  I totally agree with you.
[01:12:16.148 --> 01:12:18.450]  And the good news is the bad news.
[01:12:19.150 --> 01:12:20.231]  And I'll take the bad first.
[01:12:20.271 --> 01:12:22.252]  The bad news is they've taken the gloves off.
[01:12:22.292 --> 01:12:34.097]  They're openly announcing world government FEMA camps, forced compulsory service, national goon squads, carbon taxes that will shut down what's left of our industry, open borders, tracking and tracing.
[01:12:34.117 --> 01:12:42.301]  I mean, it was in Bloomberg yesterday that in the stimulus package is the total federalization of health care, where doctors have to be told by the government what treatments they could do.
[01:12:42.341 --> 01:12:48.004]  And in there it says, over 55, it says in the bill, they would deny this before, they said this is the British model.
[01:12:48.824 --> 01:12:51.165]  And we're just going to let old folks go blind.
[01:12:51.185 --> 01:12:52.186]  We're not going to give you the surgery.
[01:12:52.206 --> 01:12:53.466]  We're not going to give you brain surgery.
[01:12:53.747 --> 01:12:54.667]  You're going to have to wait.
[01:12:55.047 --> 01:12:56.768]  The young people will get the health care.
[01:12:56.968 --> 01:12:58.369]  Actual rationing.
[01:13:01.030 --> 01:13:02.511]  So the good news is the bad news.
[01:13:02.531 --> 01:13:06.793]  The bad news is they're out in the open with classic tyranny and corruption and abuse and control.
[01:13:07.654 --> 01:13:10.175]  But that's also the good news because it's so outrageous.
[01:13:10.215 --> 01:13:11.516]  How could we not beat this?
[01:13:13.357 --> 01:13:14.277]  So please speak to that.
[01:13:14.577 --> 01:13:17.879]  And why do you think government is going so hog wild right now?
[01:13:18.519 --> 01:13:27.986]  I think they've been successful in the past in stepping on us, and without people revolting, I think maybe it is, as they say, time for another revolution here.
[01:13:29.487 --> 01:13:43.676]  We've quietly gone along here until these last, I'm not sure, three or four years, they take away our rights and people kind of go along with it, and now they think that we won't put up any resistance, but then that's why it's so great.
[01:13:44.938 --> 01:13:48.021]  I'm so glad to see so many states stepping forward now.
[01:13:48.362 --> 01:13:54.108]  I think I just feel like that they've got the upper hand, which they do have, and they're going to continue with it.
[01:13:54.148 --> 01:13:59.053]  So they feel that the states won't revolt, won't resist.
[01:14:00.069 --> 01:14:07.137]  They've got the people in a state of fear out there that they're not going to have a job or not going to have any money.
