[00:00:01.869 --> 00:00:02.489]  Engage!
[01:12:28.285 --> 01:12:29.367]  United States Border Patrol.
[01:12:29.627 --> 01:12:30.088]  Hands up!
[01:12:30.168 --> 01:12:31.089]  Screams out one voice.
[01:12:31.980 --> 01:12:41.662]  Now, again, they know Border Patrol's popular, so all these Homeland Security shows and all these shows brainwashing the kids, they call them Border Patrol, but then they practice taking on vets and confiscating guns.
[01:12:42.382 --> 01:12:45.023]  And this goes on all over the nation, not just with the Boy Scouts.
[01:12:45.443 --> 01:12:46.123]  There it is.
[01:12:46.603 --> 01:12:47.163]  Right there.
[01:12:47.563 --> 01:12:49.223]  This is what they're gearing up for.
[01:12:49.303 --> 01:12:50.264]  They admit it!
[01:12:51.204 --> 01:12:54.004]  And I don't think listeners understand, I'm not just saying that.
[01:12:54.364 --> 01:12:56.205]  People email me and say, oh, you're exaggerating.
[01:12:56.505 --> 01:12:56.985]  No, this
[01:12:57.865 --> 01:12:59.907]  You know, you heard the retired cop call in from Missouri.
[01:12:59.927 --> 01:13:07.133]  He said, no, they've already tried to recruit us in the VFW and the Marine Corps Veterans Group to spy on neighbors in Tattle.
[01:13:07.633 --> 01:13:19.383]  I've covered and been sent by listeners the videos of the FBI in every town and city has these meetings where they say, we want your community to come volunteer to help look for terrorists.
[01:13:20.302 --> 01:13:30.488]  And then when you show up to it, they teach you, alright, we're fighting Al-Qaeda, and gun owners, and pot dealers, and we're going to spy on people abusing their kids.
[01:13:30.929 --> 01:13:33.210]  Did you see your neighbor over the fence spat their kid?
[01:13:33.270 --> 01:13:33.971]  Call police.
[01:13:34.611 --> 01:13:35.531]  Call CPS.
[01:13:35.592 --> 01:13:35.852]  See?
[01:13:36.372 --> 01:13:37.333]  So it sounds good.
[01:13:37.413 --> 01:13:39.354]  Come here and fight Al-Qaeda that hit us.
[01:13:39.674 --> 01:13:41.635]  You get there and they go, okay, Al-Qaeda!
[01:13:41.715 --> 01:13:47.119]  We're going to spend five minutes on Al-Qaeda and the next three days on veterans.
[01:13:48.226 --> 01:13:50.487]  I know some of you are veterans, but you're the good veterans.
[01:13:50.507 --> 01:13:51.388]  There's some bad ones.
[01:13:52.048 --> 01:14:01.513]  Well, what it comes down to is they've turned the entire Patriot Act, something that was adopted, you know, to do a good thing, they've turned the entire thing around on the United States people.
[01:14:02.033 --> 01:14:04.775]  And it's a gun aimed at us, and we're about to get it.
[01:14:04.795 --> 01:14:07.656]  Well, that said, it was a fight.
[01:14:08.497 --> 01:14:08.777]  Go ahead.
[01:14:09.357 --> 01:14:12.379]  I wish we could somehow... I don't know how you could do it.
[01:14:13.052 --> 01:14:16.034]  But sponsor some sort of a million man march on D.C.
[01:14:16.094 --> 01:14:16.774]  Let them know we need them.
[01:14:16.794 --> 01:14:17.515]  Here's the problem.
[01:14:17.615 --> 01:14:20.917]  I couldn't sponsor a 50,000 person march.
[01:14:20.937 --> 01:14:22.437]  It would probably cost 20 grand to fund.
[01:14:23.238 --> 01:14:24.719]  That's why we're having the money bomb tomorrow.
[01:14:25.119 --> 01:14:27.920]  Because everybody keeps saying, and it's true, I need to do more.
[01:14:28.541 --> 01:14:29.702]  And we need the funds to do it.
[01:14:29.722 --> 01:14:31.903]  So buy the books, buy the videos, donate, whatever.
[01:14:32.283 --> 01:14:32.863]  Just support us.
[01:14:32.903 --> 01:14:33.604]  God bless you, sir.
[01:14:33.624 --> 01:14:35.305]  We're going to call those phone numbers.
[01:14:36.568 --> 01:14:40.810]  And folks, don't call too much until I've had a chance to call, but it won't matter.
[01:14:40.850 --> 01:14:49.353]  The media is going to get a hold of this, and you'll see all these quotes in the news about, we can't have veterans with guns, and yeah, these are BATF investigations.
[01:14:49.413 --> 01:14:57.416]  I said first hour about this probably has to do with BATF at gun shows, and this will be their excuse to intimidate the VFW and turn them all into stenches.
[01:14:58.516 --> 01:15:00.257]  And that's now what he was basically saying.
[01:15:00.936 --> 01:15:02.017]  Let's go to more callers.
[01:15:02.317 --> 01:15:05.919]  Let's talk to Rob in Texas and then James, Bill, John and others.
[01:15:05.959 --> 01:15:06.600]  Go ahead, Rob.
[01:15:07.581 --> 01:15:08.621]  Hey Alex, how are you doing?
[01:15:08.961 --> 01:15:09.102]  Good.
[01:15:09.122 --> 01:15:10.182]  What do you think is going on here?
[01:15:10.923 --> 01:15:12.204]  Well, I'm not quite sure.
[01:15:12.484 --> 01:15:17.507]  I'm a quartermaster at one of the VFWs here in Texas.
[01:15:17.687 --> 01:15:18.688]  I got this email.
[01:15:18.808 --> 01:15:21.750]  I posted it on one of our forums back on April 22nd.
[01:15:22.050 --> 01:15:28.495]  One of the things I'm kind of wondering about is, there's a requirement for the VFWs to
[01:15:29.747 --> 01:15:34.369]  To report all their ceremonial rifles every three years to TACOM.
[01:15:35.950 --> 01:15:43.993]  And what raises a question in my mind is why all of a sudden they need to inventory everything.
[01:15:44.013 --> 01:15:52.836]  You know, because all these cannons and artillery and everything that the VFW owns except for the ceremonial rifles are all demilled.
[01:15:53.297 --> 01:15:54.157]  They're non-functional.
[01:15:55.236 --> 01:15:55.636]  That's right.
[01:15:55.656 --> 01:16:01.160]  For those who don't know, when you drive in front of a VFW in a little town, you see an army tank and a helicopter.
[01:16:01.781 --> 01:16:13.269]  If it even has the Gatling gun on the Cobra, or if it even has the main gun, the howitzer on the tank, it's been filled.
[01:16:15.311 --> 01:16:17.092]  It's had hot metal poured down into it.
[01:16:17.132 --> 01:16:17.933]  It's been spiked.
[01:16:18.906 --> 01:16:22.448]  And, but the issue is, again, there, you are the terrorist.
[01:16:22.488 --> 01:16:32.773]  This is a way to introduce you to the BATF, introduce you to secret police, where you're intimidated, and you're going to feel good when the BATF and FBI and Homeland Security Office says, oh, it's all right.
[01:16:33.354 --> 01:16:34.114]  You're not in trouble.
[01:16:34.154 --> 01:16:35.475]  We want you to work for us.
[01:16:35.535 --> 01:16:40.457]  And you're thinking about a rival that came up missing ten years ago, and you're going, all right, what do you need to know?
[01:16:40.918 --> 01:16:45.120]  We just want you to fight Al Qaeda, by the way, and watch your neighbors.
[01:16:45.180 --> 01:16:45.960]  No, I'm serious.
[01:16:46.000 --> 01:16:46.901]  That's how this goes.
[01:16:48.247 --> 01:16:56.994]  I know, and I have some concerns with the VFW, especially with the DHS report calling all of us veterans terrorists.
[01:16:59.135 --> 01:17:06.541]  The VFW was, I saw the memo from the National Commander, and they were basically supporting the government's decision to do this.
[01:17:07.176 --> 01:17:08.016]  I remember that!
[01:17:08.036 --> 01:17:18.318]  I remember when the VFW came out on TV and said, I know it seems strange to say the veterans are the number one threat, not even Al-Qaeda, and gun owners are number two and then Al-Qaeda.
[01:17:19.038 --> 01:17:22.599]  Evil vets, evil gun owners, Al-Qaeda.
[01:17:22.619 --> 01:17:27.060]  And that was on national news going, but veterans are bad, they're dangerous.
[01:17:28.120 --> 01:17:30.540]  And I don't appreciate that.
[01:17:30.860 --> 01:17:34.121]  The American Legion... Is that because you're with Al-Qaeda, sir?
[01:17:35.168 --> 01:17:36.448]  We may have to take you in.
[01:17:37.189 --> 01:17:42.931]  We may have to take you in for a little bit of waterboarding to make sure.
[01:17:43.131 --> 01:17:45.332]  By the way, they're now waterboarding marijuana suspects.
[01:17:45.392 --> 01:17:46.672]  I have the mainstream news article.
[01:17:47.893 --> 01:17:50.233]  And if you're against waterboarding, maybe you're with Al-Qaeda.
[01:17:50.734 --> 01:17:53.054]  I mean, do you see how this whole thing works now?
[01:17:53.815 --> 01:17:54.175]  Oh yeah.
[01:17:54.575 --> 01:17:59.777]  The whole problem is, is the American public in general is in denial of what's going on.
[01:18:00.495 --> 01:18:02.999]  They think that, oh, everything's going to be okay.
[01:18:03.019 --> 01:18:05.042]  We're going to turn around and vote Republican.
[01:18:06.036 --> 01:18:09.379]  Or do something to where our government isn't going to walk all over us.
[01:18:09.939 --> 01:18:11.120]  I don't see that happening.
[01:18:11.401 --> 01:18:12.041]  No, no, no.
[01:18:12.442 --> 01:18:15.404]  When the Republicans are in power, the right foot steps forward.
[01:18:15.744 --> 01:18:18.106]  And when the Democrats are in power, the left foot steps forward.
[01:18:18.367 --> 01:18:22.550]  Can't we look below the leg, I mean, past the legs and the body in the New World Order?
[01:18:22.570 --> 01:18:30.157]  You've got these international bankers, or the body, yeah, North Com's their arms, the IRS is their mouth to devour us.
[01:18:30.777 --> 01:18:44.664]  And they've just sprouted a new mouth, that's the green taxes, the carbon tax, and sprouting a new mouth, the new oil tax, and it's just a bunch of mouths cramming us into it, and we debate the legs all day instead of the body and the arms and the head.
[01:18:45.004 --> 01:18:45.624]  You see what I'm saying?
[01:18:46.244 --> 01:18:47.345]  Oh yeah, definitely.
[01:18:48.145 --> 01:18:50.847]  And they're just grabbing whole families, grabbing farms, ranches.
[01:18:51.067 --> 01:18:57.650]  They grabbed GM and just went... And paid to send it overseas.
[01:18:59.241 --> 01:19:08.143]  The whole thing, you know, is until this starts affecting the average everyday person, they're just not going to pay attention, no matter how many people are calling attention to this.
[01:19:08.363 --> 01:19:12.104]  As long as they do it incrementally, the cowards aren't going to wake up.
[01:19:12.144 --> 01:19:24.186]  Look, the cowards are saying Bilderberg doesn't exist, Global Bank doesn't exist, even when it's in hundreds of newspapers, because previously they were told it didn't exist, so they'll look at me and say, I don't care the news says it's real.
[01:19:24.826 --> 01:19:26.247]  It ain't real and you're a kook.
[01:19:27.547 --> 01:19:27.727]  Yeah.
[01:19:28.850 --> 01:19:36.193]  And that's what they, well even on my forums they treat the Infowarriors as a bunch of kooks, which, you know, kind of offends me.
[01:19:36.833 --> 01:19:38.094]  Well they love being slaves.
[01:19:39.455 --> 01:19:41.095]  It's a religion to submit.
[01:19:41.735 --> 01:19:43.636]  A religion to make excuses.
[01:19:43.836 --> 01:19:46.277]  Their 501c3 churches are under federal control publicly.
[01:19:46.517 --> 01:19:48.378]  We broke it two years before it was national news.
[01:19:49.299 --> 01:19:52.660]  Training them to turn their guns in and go to FEMA camps.
[01:19:52.780 --> 01:19:55.021]  I mean, they're training everybody to get ready for the FEMA camps.
[01:19:55.061 --> 01:19:56.882]  I mean, they're really planning to do this.
[01:19:57.799 --> 01:20:00.424]  And they're gonna take everything you got, all you stupid good ol' boys.
[01:20:00.945 --> 01:20:01.486]  You worry.
[01:20:01.646 --> 01:20:03.710]  If you don't, you don't understand the situation.
[01:20:03.990 --> 01:20:04.271]  Hi.
[01:20:04.531 --> 01:20:06.976]  Summer's coming, and now's the time to learn self-sufficiency.
[01:20:07.318 --> 01:20:11.561]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[01:20:11.862 --> 01:20:14.043]  Experience is the best teacher, but that means time.
[01:20:14.324 --> 01:20:17.386]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[01:20:17.686 --> 01:20:19.408]  Author Linda Runyon is that teacher.
[01:20:19.608 --> 01:20:22.130]  Her Wild Food Knowledge Package is the crash course.
[01:20:22.410 --> 01:20:25.813]  The DVD gives you a three-hour overview of her world directly from her.
[01:20:26.133 --> 01:20:30.217]  The book gives you an in-depth reference with all of the insider know-how you'll ever need.
[01:20:30.537 --> 01:20:34.280]  And her Wild Cards are your portable summary and cheat sheet for your fieldwork.
[01:20:34.620 --> 01:20:40.626]  This three-pronged learning system will take you from spectator to scholar to gourmet survivalist in weeks, not years.
[01:20:40.946 --> 01:20:43.088]  Folks, I can vouch that Linda's the real deal.
[01:20:43.308 --> 01:20:44.989]  She's my mom, and I watched her do it.
[01:20:45.430 --> 01:20:49.634]  So go to ofthefield.com or call 888-51-EAT-FREE.
[01:20:50.074 --> 01:20:50.714]  Start now.
[01:20:50.995 --> 01:20:51.936]  Knowledge is power.
[01:20:52.716 --> 01:20:53.517]  Better take action.
[01:20:53.717 --> 01:20:54.658]  I think a storm's coming.
[01:21:01.837 --> 01:21:03.817]  Hi, I'm John Swenson at Midas Resources.
[01:21:03.837 --> 01:21:07.258]  800-686-2237, extension 128.
[01:21:07.978 --> 01:21:09.618]  And let's take in a brief mind movie.
[01:21:10.098 --> 01:21:15.579]  We're surrounded by jesters, members of the nation's largest clown club based in Washington, D.C.
[01:21:15.779 --> 01:21:21.380]  Fuzzy hair, baggy pants, big yellow shoes, and now offering financial assurances that all will be well.
[01:21:21.580 --> 01:21:23.241]  The stimulus package is working.
[01:21:23.581 --> 01:21:25.121]  A bailout is coming your way.
[01:21:25.461 --> 01:21:29.382]  And while we're flat broke, we're also told that we've stepped back away from the brink.
[01:21:29.662 --> 01:21:29.982]  Pardon me?
[01:21:30.802 --> 01:21:31.782]  Back to the real world.
[01:21:32.042 --> 01:21:36.004]  We know that we can rely on no one but ourselves to generate financial security.
[01:21:36.304 --> 01:21:38.325]  Protecting your assets is solely up to you.
[01:21:38.885 --> 01:21:40.345]  No one else is coming to the rescue.
[01:21:40.585 --> 01:21:51.349]  Please call me, John Swenson, 800-686-2237, extension 128, to discuss investing in precious metals, gold and silver, with a 6,000 year track record of success and security.
[01:21:52.049 --> 01:21:59.032]  I'm John Swenson, 800-686-2237, extension 128, and together we'll create a package that really works for you.
[01:22:01.388 --> 01:22:06.712]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:22:07.212 --> 01:22:14.237]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[01:22:14.793 --> 01:22:20.955]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:22:21.295 --> 01:22:23.195]  Well, Obama's already fudging.
[01:22:23.355 --> 01:22:25.756]  He's fudged since day one in this election.
[01:22:25.856 --> 01:22:36.799]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:22:37.421 --> 01:22:38.722]  It's not about left or right.
[01:22:39.082 --> 01:22:40.482]  It's about a one-world government.
[01:22:40.943 --> 01:22:47.305]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:22:47.846 --> 01:22:55.649]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:22:56.109 --> 01:22:57.270]  The Obama Deception.
[01:22:57.690 --> 01:22:58.951]  The people strike back.
[01:23:02.112 --> 01:23:03.973]  Hi, this is Steve Schenck, E-Food
[01:23:07.756 --> 01:23:07.976]  I'm good.
[01:23:30.998 --> 01:23:31.538]  I think so.
[01:24:08.318 --> 01:24:23.821]  Huge news blitzes coming up.
[01:24:23.861 --> 01:24:25.401]  Just tons of vital info.
[01:24:26.241 --> 01:24:28.182]  Waterboarding marijuana suspects.
[01:24:29.002 --> 01:24:30.422]  Government now saying they're going to do that.
[01:24:30.922 --> 01:24:32.682]  Notice they say, oh we're not spying on you.
[01:24:32.702 --> 01:24:35.003]  Then, oh we are spying, but it's only off-door Al-Qaeda.
[01:24:35.323 --> 01:24:35.843]  And the courts
[01:24:37.441 --> 01:24:39.762]  And Congress say they can have no more Fourth Amendment.
[01:24:39.802 --> 01:24:42.962]  They say, yeah, we're going to spy on everybody for everything.
[01:24:44.003 --> 01:24:45.123]  And, oh, we can waterboard?
[01:24:45.163 --> 01:24:45.883]  That's not torture.
[01:24:45.903 --> 01:24:48.884]  We're going to waterboard you for anything we want.
[01:24:48.904 --> 01:24:57.506]  They already have pressure compliance, pain compliance, where they court ruled last week in the U.S.
[01:24:57.986 --> 01:25:01.087]  They can taser you to make you talk, to make you give DNA.
[01:25:02.918 --> 01:25:03.860]  Oh, that's not torture!
[01:25:03.880 --> 01:25:08.788]  50,000 volts into somebody when they don't answer your questions.
[01:25:10.137 --> 01:25:12.399]  And they say, to make you talk, but it's not torture.
[01:25:12.799 --> 01:25:14.660]  Incredible pain, excruciating pain.
[01:25:14.941 --> 01:25:19.844]  You know, when he's electrocuting Winston Smith in 1984, O'Brien is?
[01:25:20.285 --> 01:25:21.005]  It's not torture?
[01:25:21.506 --> 01:25:22.006]  No!
[01:25:22.306 --> 01:25:23.807]  And that's exactly what O'Brien would say.
[01:25:23.827 --> 01:25:28.591]  This isn't torture, this is medical aid I'm giving you, Winston.
[01:25:28.731 --> 01:25:30.593]  Oh, let me pull that tooth out with pliers.
[01:25:30.793 --> 01:25:31.353]  Oh, yeah.
[01:25:31.773 --> 01:25:32.874]  Oh, that's not torture.
[01:25:33.435 --> 01:25:35.937]  And again, there's not a world government, we're just announcing it.
[01:25:38.018 --> 01:25:45.702]  You know, all the veterans, we're going to SWAT team you, if you don't report that old cannon you've got from the Civil War.
[01:25:46.403 --> 01:25:49.245]  This is about making the military.
[01:25:49.865 --> 01:25:52.086]  Veterans, you're going to be sub-citizens now.
[01:25:52.506 --> 01:25:55.788]  You're going to be spied on, hated, watched, not able to own firearms.
[01:25:56.068 --> 01:25:57.269]  It's all being announced.
[01:25:57.729 --> 01:26:00.731]  I told you years ago you were the number one terror threat to Homeland Security.
[01:26:01.732 --> 01:26:02.712]  I've been to the training drills.
[01:26:02.772 --> 01:26:05.594]  NORTHCOM is for you, and it's for me, a gun owner.
[01:26:07.364 --> 01:26:10.866]  You were going along with it, going, yeah, fight them brown Al-Qaeda's!
[01:26:11.146 --> 01:26:13.067]  Those brown Al-Qaeda's work for the bankers.
[01:26:14.287 --> 01:26:20.270]  Let's go ahead and go to James in the UK, then Bill, John, Mark, and others.
[01:26:20.310 --> 01:26:20.990]  Go ahead, James.
[01:26:23.311 --> 01:26:23.571]  Hello?
[01:26:24.111 --> 01:26:24.472]  Yes, sir.
[01:26:24.492 --> 01:26:25.812]  Hi, Alex.
[01:26:25.832 --> 01:26:27.453]  Firstly, I'm going to have to apologize to you.
[01:26:27.533 --> 01:26:30.394]  I didn't know you only wanted to talk about it today, so I can't listen to you live.
[01:26:30.414 --> 01:26:31.094]  Well, that's okay.
[01:26:31.114 --> 01:26:31.995]  Since you're here, go ahead.
[01:26:33.224 --> 01:26:48.170]  First I wanted to bring to your attention a big news article we've got here today on Sky News, and the headline is London Police Accused of Water Torture, and I emphasize the word torture, where basically six London police officers have been suspended for waterboarding for drug suspicion.
[01:26:48.783 --> 01:26:49.723]  Yeah, same thing here.
[01:26:49.823 --> 01:26:50.143]  No, no.
[01:26:50.283 --> 01:26:51.704]  Everybody's going to be tortured.
[01:26:52.244 --> 01:26:57.626]  They're going to increase the tasers from 50,000 watts or volts to 70,000.
[01:26:58.326 --> 01:27:03.628]  And they are going to make you on airplanes wear a shock necklace and shock bracelet.
[01:27:03.648 --> 01:27:04.908]  Homeland Security announced it.
[01:27:05.288 --> 01:27:06.049]  People didn't believe it.
[01:27:06.129 --> 01:27:12.211]  In fact, guys, YouTube, taser bracelets for air travel.
[01:27:12.551 --> 01:27:16.072]  And then the company that did this, Homeland Security, is considering
[01:27:17.097 --> 01:27:19.359]  Making you wear... And it's like, it's freedom!
[01:27:19.419 --> 01:27:22.082]  Everybody gets a shock necklace in America!
[01:27:22.342 --> 01:27:23.644]  What are you, with Al-Qaeda?
[01:27:25.666 --> 01:27:30.891]  I mean, it's just total... How is that not insanity, that we'll all be wearing shock necklaces and bracelets?
[01:27:30.911 --> 01:27:31.932]  Does that sound like freedom?
[01:27:32.772 --> 01:27:34.834]  Nothing surprises me in this world anymore.
[01:27:35.075 --> 01:27:36.336]  No, no, I'm not kidding, sir!
[01:27:36.376 --> 01:27:37.257]  I'm not kidding!
[01:27:37.577 --> 01:27:38.978]  I'm not kidding about this!
[01:27:39.779 --> 01:27:41.261]  They'd just shoot us in the head if they could.
[01:27:42.264 --> 01:27:43.284]  Well, that's next.
[01:27:43.344 --> 01:27:44.825]  Will, they do that in Fallujah.
[01:27:44.845 --> 01:27:51.148]  If you don't have your ID in order, I have Tom Brokaw, right before he retired, saying they line the families up, they don't have the cards, they're all shot.
[01:27:52.968 --> 01:27:53.869]  God is my witness.
[01:27:54.029 --> 01:27:55.629]  I have Tom Brokaw saying that.
[01:27:55.649 --> 01:27:57.390]  I've played it four or five years.
[01:27:57.650 --> 01:27:57.970]  I'm sorry.
[01:27:58.250 --> 01:27:58.831]  I'm going to shut up.
[01:27:58.871 --> 01:27:59.751]  You go ahead and make your point.
[01:28:01.112 --> 01:28:03.533]  Yeah, basically I just wanted to bring my article to everyone's attention.
[01:28:03.593 --> 01:28:06.874]  If they want to Google it, the headline is London Police Accused of Water Torture.
[01:28:07.373 --> 01:28:23.032]  And also, I wanted to... I know you've got quite a few UK listeners, and I wanted them to point them into the direction of a new website we've released for UK people, against the New World Order, and the URL is www.freetourmindnow.tk.
[01:28:24.912 --> 01:28:41.321]  Because basically we realised there wasn't any real sites targeted for the UK people and British people have a huge tendency to go, oh the New World Order, yeah that's the sort of things we want to take over America and try and take the new world out of the sentence and just say, oh that's just America.
[01:28:41.381 --> 01:28:43.742]  So we wanted to bring awareness into this country as well.
[01:28:44.343 --> 01:28:46.264]  So just wanted to plug that website as well.
[01:28:47.441 --> 01:28:48.502]  All right, well thank you so much.
[01:28:48.522 --> 01:28:49.082]  Good to hear from you.
[01:28:49.122 --> 01:28:51.264]  Let's jam in one more and then continue after the break.
[01:28:52.105 --> 01:28:54.667]  Let's talk to Bill in Connecticut, probably another evil gun owner.
[01:28:55.027 --> 01:28:57.209]  Terrorist, do you own a firearm, sir?
[01:28:57.829 --> 01:28:58.790]  Hey, what's going on, Alex?
[01:28:58.890 --> 01:28:59.751]  Do you own a firearm?
[01:29:00.491 --> 01:29:01.052]  Absolutely.
[01:29:01.292 --> 01:29:02.153]  Okay, we got a terrorist.
[01:29:02.213 --> 01:29:02.693]  I'm serious.
[01:29:02.733 --> 01:29:04.534]  You are, according to the federal government, a terrorist.
[01:29:04.574 --> 01:29:05.275]  Number one threat.
[01:29:05.695 --> 01:29:06.656]  North Com is for you.
[01:29:06.956 --> 01:29:07.997]  Terrorist, what do you have to say?
[01:29:08.658 --> 01:29:09.558]  I'm a scary guy.
[01:29:10.919 --> 01:29:15.483]  In any case, hey Alex, I just wanted to point out a couple things to you here.
[01:29:16.212 --> 01:29:20.636]  That you've said on a few other shows, and I can't believe this.
[01:29:20.656 --> 01:29:23.139]  I was sitting there reading yesterday, doing my laundry.
[01:29:23.679 --> 01:29:24.520]  In The Economist.
[01:29:24.760 --> 01:29:25.982]  Okay?
[01:29:26.582 --> 01:29:31.587]  In The Economist, they turn around on, I don't have the page here, but it's their new technology thing.
[01:29:32.208 --> 01:29:33.749]  The Spies in the Skies.
[01:29:33.809 --> 01:29:36.472]  Military technology with blimps equipped with remote sensing.
[01:29:36.512 --> 01:29:38.614]  This is in The Economist.
[01:29:39.420 --> 01:29:40.140]  Doesn't exist.
[01:29:40.200 --> 01:29:41.821]  Economist doesn't exist either, sir.
[01:29:41.861 --> 01:29:45.083]  You're having a mass schizophrenic event with me right now.
[01:29:45.103 --> 01:29:48.645]  This video of troops confiscating guns, preparing for it, not real either.
[01:29:48.665 --> 01:29:48.966]  Stay there.
[01:29:48.986 --> 01:29:49.366]  Stay with us.
[01:29:49.386 --> 01:29:50.286]  I want to hear the rest of it.
[01:29:51.227 --> 01:29:52.107]  We're on the march.
[01:29:52.608 --> 01:29:54.209]  The empire's on the run.
[01:29:55.149 --> 01:29:57.831]  Alex Jones and the GCN Radio Network.
[01:30:00.851 --> 01:30:02.433]  Hello friends, this is Alex Jones.
[01:30:02.533 --> 01:30:07.138]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:30:07.278 --> 01:30:10.041]  We need to be independent, and food and water is the key.
[01:30:10.242 --> 01:30:13.105]  You'll never have to stand in a bread line if you have your own bread.
[01:30:13.285 --> 01:30:19.152]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[01:30:19.372 --> 01:30:22.295]  No one is going to take care of your family in the final equation but you.
[01:30:22.595 --> 01:30:29.502]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:30:29.582 --> 01:30:32.725]  And they do it at almost half the cost of last year's grocery prices.
[01:30:32.885 --> 01:30:34.747]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com.
[01:30:38.010 --> 01:30:42.972]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[01:31:06.792 --> 01:31:15.174]  Check out SupernaturalSilver.com today or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[01:31:15.354 --> 01:31:22.156]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:31:22.477 --> 01:31:27.998]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[01:31:28.238 --> 01:31:33.780]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to 4 hours.
[01:31:34.540 --> 01:31:40.805]  The New Silver Solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[01:31:41.185 --> 01:31:45.589]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[01:31:45.849 --> 01:31:48.871]  Check out the patented New Silver Solution today.
[01:31:49.232 --> 01:31:52.534]  Click on the link and check out the uses for New Silver Solution.
[01:31:52.915 --> 01:31:57.578]  Order this extra line of defense today by going to SupernaturalSilver.com.
[01:31:57.738 --> 01:31:59.860]  That's SupernaturalSilver.com today.
[01:32:00.638 --> 01:32:09.302]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[01:32:09.722 --> 01:32:14.444]  Studies have shown that a majority of Americans are seriously deficient in basic minerals.
[01:32:14.904 --> 01:32:19.527]  Deficiency in any one or more important minerals actually results in disease.
[01:32:19.947 --> 01:32:22.608]  Go to AmericanSuperfoods.com today!
[01:32:22.968 --> 01:32:23.208]  I'm good.
[01:32:37.170 --> 01:32:45.435]  Marine Photoplankton, Maca, Goji Berries, Raw Chocolate Cacao, Nibs, Noni, Immune Detox, and more.
[01:32:45.735 --> 01:32:47.296]  Folks, you gotta check these out.
[01:32:47.436 --> 01:32:53.960]  These foods promote nutritional excellence, health and well-being, beauty enhancement, and sustainable rainforest agriculture.
[01:32:54.380 --> 01:32:56.622]  Go to AmericanSuperfoods.com.
[01:32:56.882 --> 01:32:59.744]  Again, the website is AmericanSuperfoods.com.
[01:33:09.042 --> 01:33:13.183]  Okay, for about ten minutes or so, I got We Are Change LA, who are just kicking butt.
[01:33:13.223 --> 01:33:35.568]  They've confronted General Richard Myers, Vice President Joe Biden, ex-CFR President Lindsey Glebe, LA County Sheriff Lee Baca, LAPD Chief Bratton three times, Governor Arnold Schwarzenegger, CIA Case Officer Robert Baer, General Wesley Cart, Summer Redstone, CIA Director Michael V. Hayden, what an effeminate demon,
[01:33:37.148 --> 01:33:40.710]  Shannon, Representative Grace Napolitano, L.A.
[01:33:41.050 --> 01:33:48.833]  City Council, Scott McClellan, Mike Revell, Simon Wiesenthal Center, David Frum, Jane Harmon, Mitt Romney.
[01:33:49.133 --> 01:33:56.717]  They confronted the Simon Wiesenthal Center because they went before Congress and said, anybody who's a 9-11 truth is a Nazi Al-Qaeda.
[01:33:56.737 --> 01:33:58.357]  I mean, we've got the video in Congress.
[01:33:58.637 --> 01:34:01.859]  They said, architects and engineers from 9-11 Truth hate Jews.
[01:34:02.299 --> 01:34:03.720]  Nothing to do, we don't talk about...
[01:34:04.620 --> 01:34:07.001]  I mean, they're the ones pushing anti-Semitism.
[01:34:07.622 --> 01:34:09.462]  And it makes people go, ooh, why are you covering up 9-11?
[01:34:09.522 --> 01:34:12.104]  I mean, it interjects it into it.
[01:34:13.464 --> 01:34:14.765]  That's coming up in about five minutes.
[01:34:15.205 --> 01:34:17.706]  I wanted to finish up with a caller, if he's still there.
[01:34:19.107 --> 01:34:19.848]  Who was I talking to?
[01:34:19.908 --> 01:34:20.588]  Bill in Connecticut?
[01:34:22.196 --> 01:34:23.317]  Okay, Bill, you still there?
[01:34:23.697 --> 01:34:24.037]  Yes, sir.
