[00:00:01.283 --> 00:00:01.723]  Engage.
[00:53:22.578 --> 00:53:26.039]  Maybe you've been putting things off, but the time to act is now.
[00:53:26.259 --> 00:53:28.840]  You need to get your seeds before it's too late.
[00:53:29.101 --> 00:53:40.965]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:53:41.305 --> 00:53:51.750]  Grow your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco with detailed growing guides available to you at no charge.
[00:53:51.910 --> 00:53:54.832]  You can maximize your harvest and investment.
[00:53:55.112 --> 00:53:55.933]  And the best part?
[00:53:56.233 --> 00:53:58.274]  All orders ship within 24 hours.
[00:53:58.574 --> 00:54:01.235]  So head over to OrganicaSeed.com.
[00:54:01.435 --> 00:54:05.758]  That's O-R-G-A-N-I-C-A-S-E-E-D dot com.
[00:54:05.998 --> 00:54:08.159]  OrganicaSeed.com today.
[00:54:15.877 --> 00:54:44.366]  Look, in the Roman Empire, the Aztec, Mayan Empires, Babylonian, Qin Dynasty in China, African dynasties in different regions, they would just come kidnap children and bring them to be re-educated and used usually as a slave class.
[00:54:45.242 --> 00:54:46.163]  They'd kill the adults.
[00:54:46.663 --> 00:54:47.983]  Now they just use excuses.
[00:54:48.023 --> 00:54:49.484]  Your kid's got a bruise on their leg.
[00:54:50.345 --> 00:54:53.666]  And the CPS workers get bounties for taking them, and they take them.
[00:54:54.026 --> 00:54:55.587]  And they got kangaroo courts to do it.
[00:54:56.288 --> 00:55:00.390]  And we're talking to lawyer Jerry Lynn Ward and Joanna Scott.
[00:55:01.212 --> 00:55:03.775]  Who heads up an advocacy group fighting these criminals.
[00:55:04.295 --> 00:55:05.036]  And I know their history.
[00:55:05.056 --> 00:55:07.739]  I know they were founded by the eugenicists, so I understand the whole paradigm.
[00:55:08.399 --> 00:55:09.861]  And it's just very, very wicked.
[00:55:10.041 --> 00:55:16.628]  SB 1440, to where fishing expeditions, when they knock at your door, you say, go get a warrant.
[00:55:17.168 --> 00:55:25.614]  You're not going to come in here just as, you know, my neighbor sees TV ads saying kids shouldn't be playing in the backyard and usually it's folks go, those kids need to be in school, I'm calling.
[00:55:25.974 --> 00:55:28.416]  Because the public's a bunch of scum as well on average now.
[00:55:28.436 --> 00:55:30.177]  A lot of filth out there.
[00:55:30.897 --> 00:55:35.601]  And even in wealthy neighborhoods they come and try to take people's kids now because they've run out of the poor kids.
[00:55:36.061 --> 00:55:40.644]  Plus they get more money for the, you know, wealthier kids for some reason.
[00:55:41.084 --> 00:55:44.087]  And, you know, for the better looking kids I guess in some cases.
[00:55:45.609 --> 00:55:49.677]  I mean you cannot make up stuff as bad as what reality is.
[00:55:49.777 --> 00:55:51.079]  It's so off the charts.
[00:55:51.881 --> 00:55:55.728]  Jerry Lynn Ward, Joanna Scott, other points need to be made about
[00:55:57.509 --> 00:56:10.055]  It seems as if these federalized child kidnappers are really starting to get exposed, so their response is to try to pass a bunch of unconstitutional laws nationwide and go after kids even more.
[00:56:10.135 --> 00:56:12.556]  Like, oh, you don't want us taking your kids for no reason.
[00:56:13.357 --> 00:56:14.677]  Okay, well get ready for this.
[00:56:15.017 --> 00:56:17.379]  So it seems the battle is really on now.
[00:56:17.419 --> 00:56:18.259]  Can you comment on that?
[00:56:19.855 --> 00:56:21.296]  Well, I think that's exactly right.
[00:56:21.396 --> 00:56:40.624]  Whenever you try to trim the powers of a governmental agency, whereby impacting those who economically benefit from what that agency does, you're going to see all sorts of attempts to get around the court's decisions about how to trim their power.
[00:56:40.644 --> 00:56:48.307]  That's just the nature of government, and it's especially the nature of government where you've got other groups, like these groups that benefit
[00:56:49.080 --> 00:56:53.602]  From giving services to family or taking kids around, trying to push back.
[00:56:55.923 --> 00:56:59.605]  How did you first get mad, Jerry?
[00:56:59.805 --> 00:57:01.125]  How did you first learn about this?
[00:57:01.145 --> 00:57:07.588]  I first learned about it when they took those kids out in El Dorado and I couldn't sleep for three nights.
[00:57:08.269 --> 00:57:15.752]  And so I started calling to find out how I could help and it ended up that not many lawyers were volunteering to help the fathers.
[00:57:16.738 --> 00:57:21.622]  So I helped one of the fathers, and then I entered into bizarro world.
[00:57:22.443 --> 00:57:36.814]  The first hearing I went to was on the services plan, and I put on, or I cross-examined the caseworker who admitted in front of the judge that there was no evidence of abuse and neglect.
[00:57:36.854 --> 00:57:40.477]  I made a motion for them to dismiss the case, and they didn't do it.
[00:57:40.517 --> 00:57:41.658]  To me, that's bizarre.
[00:57:42.559 --> 00:57:43.519]  That's where I met Jerry.
[00:57:43.540 --> 00:57:45.081]  At that hearing.
[00:57:45.646 --> 00:57:48.007]  That's right, no evidence and they still take your kids.
[00:57:48.307 --> 00:58:00.011]  We only have five minutes left with you ladies, but I'd like to invite you for a full hour to come to the South Austin offices we have, you know, whenever you can both get here to, you know, talk to the full audience.
[00:58:00.031 --> 00:58:02.031]  We also simulcast on TV.
[00:58:02.091 --> 00:58:08.973]  But how do we, number one, beat this current bill and, B, get involved with you guys and support what you're doing?
[00:58:10.614 --> 00:58:14.155]  Well, to veto this bill, you have to call the governors.
[00:58:14.744 --> 00:58:16.028]  That's number one and that's 800-252-9600.
[00:58:16.409 --> 00:58:17.431]  You can leave a message 24 hours a day.
[00:58:24.077 --> 00:58:29.581]  If you want to talk to their switchboard and actually get a person, you can 512-463-2000.
[00:58:30.782 --> 00:58:42.551]  You can call your local representative and senator who may or may not really understand what they voted for because this was passed unanimously, and say, hey, what are you doing to stop this thing that you probably didn't know was passed on?
[00:58:42.571 --> 00:58:43.271]  All right, stay there.
[00:58:43.431 --> 00:58:45.493]  Back in one minute to start the final hour.
[00:58:45.513 --> 00:58:46.433]  Gary Franchi coming up.
[00:58:46.453 --> 00:58:49.115]  But I want to give those numbers out again, ladies, when we get back.
[00:58:50.877 --> 00:58:52.518]  Thank you for listening to GCN.
[00:58:55.535 --> 00:58:57.836]  Visit gcnlive.com today!
[00:59:00.136 --> 00:59:05.437]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:59:05.978 --> 00:59:14.360]  Check out supernaturalsilver.com today or visit the link on infowars.com to find out more about this incredible new silver compound.
[00:59:14.560 --> 00:59:21.341]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:59:21.681 --> 00:59:23.682]  This new technology has proven itself.
[00:59:23.882 --> 00:59:24.302]  We're good to go.
[00:59:48.425 --> 00:59:51.686]  Click on the link and check out the uses for New Silver Solution.
[00:59:52.106 --> 00:59:56.768]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:59:56.908 --> 00:59:59.068]  That's SupernaturalSilver.com today.
[01:00:02.709 --> 01:00:04.610]  Waging war on corruption.
[01:00:05.090 --> 01:00:07.871]  Alex Jones on the GCN Radio Network.
[01:00:26.558 --> 01:00:27.879]  Gary Franchi coming up.
[01:00:27.939 --> 01:00:29.941]  Jerry Lynn Ward, attorney.
[01:00:29.961 --> 01:00:31.422]  Joanna Scott, activist.
[01:00:32.472 --> 01:00:37.333]  Give us those numbers again for the governor's office, Rick Perry.
[01:00:37.753 --> 01:00:39.614]  We have millions of listeners.
[01:00:39.634 --> 01:00:43.295]  When we shut down the Hays County phone systems, we didn't even get out their emergency numbers.
[01:00:43.315 --> 01:00:45.095]  We just shut the whole county down.
[01:00:45.575 --> 01:00:48.636]  What if tens of thousands of you all over the country call Rick Perry?
[01:00:49.537 --> 01:00:51.917]  At least he'll be aware we're aware of his activities.
[01:00:52.517 --> 01:00:56.818]  But call the state reps and others and say, how dare you vote on this?
[01:00:57.339 --> 01:00:58.679]  Give us those numbers again, Joanna.
[01:00:59.319 --> 01:01:00.379]  It's the opinion line 800-252-9600.
[01:01:00.399 --> 01:01:04.580]  800-252-9600 and then also the Governor's switchboard 512-463-2000.
[01:01:04.640 --> 01:01:05.200]  What about Kirk Watson?
[01:01:05.240 --> 01:01:07.301]  Texas Monthly said he's the best Senator.
[01:01:07.321 --> 01:01:09.161]  What a besmirching of the Texas Monthly.
[01:01:09.201 --> 01:01:12.982]  These people think they're saving children.
[01:01:13.002 --> 01:01:14.162]  They don't really understand
[01:01:26.303 --> 01:01:33.626]  Or care, evidently, about the trauma that a child goes through when strangers come and ask, did daddy touch your pee-pee?
[01:01:34.347 --> 01:01:35.947]  Do you do this or that at home?
[01:01:35.967 --> 01:01:40.609]  These strangers come, take their clothes off and look at them, give them medical exams.
[01:01:40.649 --> 01:01:43.411]  This only should be happening when you know.
[01:01:44.551 --> 01:01:53.075]  They did it to the lady's child who works here, and then they lied about it, and even the statesman writer said, no, first they admitted they did it, then they said they didn't.
[01:01:53.797 --> 01:01:56.378]  I mean, the statesmen caught them lying.
[01:01:56.398 --> 01:01:58.519]  They strip search little girls and do whatever they want.
[01:01:58.959 --> 01:01:59.159]  Yeah.
[01:01:59.839 --> 01:02:04.221]  I just got, while we were sitting here, I just got on my email my little update.
[01:02:04.241 --> 01:02:05.981]  I'm on the department's update.
[01:02:07.302 --> 01:02:08.602]  Children waiting for adoption.
[01:02:08.942 --> 01:02:10.283]  I pop up my email.
[01:02:10.723 --> 01:02:14.324]  All the new kids up for adoption just popped up on my screen.
[01:02:16.365 --> 01:02:17.365]  That's what this is about.
[01:02:18.025 --> 01:02:19.646]  All the new kids they've snatched, yeah.
[01:02:20.666 --> 01:02:30.764]  The best way to protect children is to protect the due process rights of their parents, and ultimately them, because this is just a slippery slope.
[01:02:31.512 --> 01:02:35.615]  And nobody's going to have any rights if we keep on in this direction.
[01:02:35.715 --> 01:02:38.017]  Well, what about putting back on the CPS?
[01:02:38.117 --> 01:02:43.801]  I mean, the record they've got of abusing children, this is the worst place you'd want children to be, period.
[01:02:43.881 --> 01:02:46.503]  What about them being investigated for a change?
[01:02:46.523 --> 01:02:49.005]  Because we know where all the smart pedophiles go.
[01:02:49.025 --> 01:02:50.446]  They don't go to parks to grab kids.
[01:02:50.466 --> 01:02:51.787]  They go become CPS workers.
[01:02:52.207 --> 01:02:54.268]  Yeah, they're always covering that.
[01:02:54.889 --> 01:02:56.310]  We bring that up all the time.
[01:02:57.299 --> 01:03:07.721]  There are national studies that have been done that prove that if you actually even left the really abused kids in their homes, they'd actually be abused less in their home than they would be in the foster care system.
[01:03:08.201 --> 01:03:15.683]  Well, I mean, look, I was a carpet cleaner for one summer, and I saw CPS homes, and let me tell you something, it's hell.
[01:03:16.663 --> 01:03:20.324]  And you can take one look at the people running them, and you're like, oh my God, that's a deal.
[01:03:20.584 --> 01:03:25.845]  But even, you're right, but even, I'm here to say that even in the best
[01:03:26.596 --> 01:03:31.922]  Supposedly good home with good, well-meaning people that actually treat a child correctly?
[01:03:32.163 --> 01:03:33.644]  It's still a stranger.
[01:03:34.105 --> 01:03:35.607]  It's still a trauma.
[01:03:36.047 --> 01:03:38.290]  It still should not be happening.
[01:03:38.350 --> 01:03:39.571]  And they want to break the family up.
[01:03:39.972 --> 01:03:43.516]  Any websites, Joanna Scott or Jerry Lynn Ward, we should check out?
[01:03:44.637 --> 01:03:45.979]  Our website is www.parent.org.
[01:03:48.260 --> 01:03:56.566]  ParentGuidanceCenter.org National Coalition of Child Protection Reform.
[01:03:56.686 --> 01:04:00.369]  That's NCCPR.org.
[01:04:00.509 --> 01:04:01.610]  That's Richard Wexler.
[01:04:01.670 --> 01:04:03.772]  He does exposés on states.
[01:04:03.812 --> 01:04:05.613]  He's done a couple on Texas.
[01:04:06.094 --> 01:04:10.257]  He's got postings about Senate Bill 1440 and his take on it.
[01:04:10.277 --> 01:04:13.199]  Get those websites out again.
[01:04:14.220 --> 01:04:16.181]  Again, ParentGuidanceCenter.org.
[01:04:19.730 --> 01:04:23.833]  Go ahead.
[01:04:24.173 --> 01:04:29.778]  If you want more details on this story, I would suggest Tim Lambert's blog right in Texas.
[01:04:29.798 --> 01:04:31.880]  He's the head of the Texas Homeschool Coalition.
[01:04:31.900 --> 01:04:38.065]  He's been blogging about this, and you can get more details about the case there.
[01:04:38.265 --> 01:04:44.470]  Yeah, and if you go to a couple, like our website, we'll have links to the other groups that also have a lot of information about it as well.
[01:04:45.171 --> 01:04:47.572]  Yeah, but the Texas Homeschool Coalition, we've linked to those stories.
[01:04:47.592 --> 01:04:48.232]  Those are excellent.
[01:04:48.392 --> 01:04:53.474]  Well, Jerry Lynn Ward, we commend you for your courage in fighting the pedophile rings.
[01:04:54.034 --> 01:05:02.638]  And Joanna Scott, we commend you for being able to be around these people, because I've gone and fought them some myself, and being around them actually shakes somebody's psyche, because they're so evil.
[01:05:02.938 --> 01:05:05.179]  Thank you so much, ladies, and I hope to get you in studio.
[01:05:05.239 --> 01:05:06.039]  Take care of yourselves.
[01:05:06.279 --> 01:05:06.879]  Thank you.
[01:05:07.620 --> 01:05:07.960]  You bet.
[01:05:09.773 --> 01:05:15.316]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[01:05:15.616 --> 01:05:16.777]  Inner Health Botanicals.
[01:05:16.937 --> 01:05:20.899]  This company produces the highest quality superfood around, called InnerFood.
[01:05:21.199 --> 01:05:22.760]  My wife just loves the stuff.
[01:05:23.060 --> 01:05:29.363]  And now, the health ranger Mike Adams has awarded InnerFood his Editor's Choice Award for Best Superfood of 2009.
[01:05:30.504 --> 01:05:33.046]  Inner Food is loaded with 20 great organic ingredients.
[01:05:33.366 --> 01:05:34.867]  No fillers, no sweeteners.
[01:05:35.107 --> 01:05:37.888]  It would be impossible to blend this up for a better price.
[01:05:38.129 --> 01:05:39.569]  And their formula really works.
[01:05:39.830 --> 01:05:42.371]  This is the real thing for the great health you need.
[01:05:42.651 --> 01:05:43.912]  Try the NutriCafe.
[01:05:44.152 --> 01:05:48.595]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[01:05:48.915 --> 01:05:51.116]  A truly healthy coffee that tastes great.
[01:05:51.316 --> 01:05:53.578]  And take it from me folks, it really does taste great.
[01:05:53.798 --> 01:05:55.539]  Don't forget to try their other great products.
[01:05:55.879 --> 01:06:01.361]  Go to www.enerfood.com.
[01:06:01.562 --> 01:06:06.024]  That's www.enerfood.com.
[01:06:06.224 --> 01:06:09.125]  Or just click on their banner on infowars.com for special pricing.
[01:06:09.960 --> 01:06:14.942]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:06:15.162 --> 01:06:18.944]  Number one, new climate legislation could easily double or triple your electric bill.
[01:06:19.184 --> 01:06:24.787]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:06:25.087 --> 01:06:29.950]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:06:30.150 --> 01:06:30.650]  Number three,
[01:06:31.070 --> 01:06:36.514]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:06:37.355 --> 01:06:40.017]  The hurricane and dangerous summer storm season is here again.
[01:06:40.257 --> 01:06:43.660]  Every year, thousands of families lose their power from weather-related outages.
[01:06:44.781 --> 01:06:48.384]  A solar power generator provides powerful backup insurance and peace of mind.
[01:06:48.624 --> 01:06:54.110]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:06:54.370 --> 01:06:58.915]  You can get more information at www.mysolarbackup.com.
[01:06:59.055 --> 01:07:00.596]  That's mysolarbackup.com.
[01:07:00.837 --> 01:07:03.159]  Remember, the government doesn't own the sun yet.
[01:07:03.399 --> 01:07:06.042]  So go to mysolarbackup.com or call toll free 877-327-0365.
[01:07:09.991 --> 01:07:18.917]  Do you know that it's a documented fact 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection?
[01:07:19.077 --> 01:07:27.102]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites and your doctor would never know it.
[01:07:27.602 --> 01:07:31.744]  And clinically detected parasites account for only 1% of all cases.
[01:07:31.824 --> 01:07:34.445]  Don't continue to suffer from pain due to misdiagnosis.
[01:07:34.585 --> 01:07:45.890]  Now you can fight internal parasites, heavy metal poisoning, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[01:07:46.150 --> 01:07:52.352]  FPP is used around the world, has numerous uses, and is now available to you from Freshwater Organics.
[01:07:52.592 --> 01:07:56.314]  FPP strengthens skin, hair, and bones, lowers cholesterol, and is an
[01:07:56.514 --> 01:08:00.337]  Excellent source of natural plant-based silica with 14 trace minerals.
[01:08:00.477 --> 01:08:03.299]  Order some today at FreshWaterOrganics.com.
[01:08:03.419 --> 01:08:05.620]  Again, that's FreshWaterOrganics.com.
[01:08:05.760 --> 01:08:06.861]  Or call 888-949-3570.
[01:08:07.301 --> 01:08:17.488]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:08:18.089 --> 01:08:21.071]  It's Alex Jones and the GCN Radio Network.
[01:08:24.932 --> 01:08:28.273]  In the studio, Gary Franchi, founder of Lone Lantern Society.
[01:08:28.293 --> 01:08:30.834]  Also heads up before the Republic.
[01:08:31.334 --> 01:08:38.276]  And the good part about it is, another example of somebody in the last four or five years who's reached millions of people by taking action.
[01:08:38.376 --> 01:08:39.436]  I absolutely love it.
[01:08:39.776 --> 01:08:41.897]  We'll be talking to Gary Franchi in one moment.
[01:08:42.793 --> 01:08:49.139]  First off though, I want to tell people about DigiNet personal audio video recorders.
[01:08:49.539 --> 01:08:59.068]  They've got systems that very inexpensively, very affordably, are little hard drives hidden in your car with camera systems where you can activate it with the police and they don't even see it.
[01:08:59.668 --> 01:09:06.394]  And then you can burn them good when they're violating the Bill of Rights and Constitution, or save yourself when they're lying about you.
[01:09:06.934 --> 01:09:11.698]  I mean, they'll say you were firing machine guns, sacrificing children, you know, doing whatever.
[01:09:11.978 --> 01:09:13.900]  You're going to have the video proving you didn't do it.
[01:09:14.440 --> 01:09:16.962]  And of course I'm being sarcastic there, but you know what I'm talking about.
[01:09:17.563 --> 01:09:18.623]  Just absolutely amazing.
[01:09:18.804 --> 01:09:21.145]  And they've also got pins like this one.
[01:09:21.826 --> 01:09:24.249]  We're doing some undercover work today with some of their pens.
[01:09:24.809 --> 01:09:32.398]  We were touring a government facility here in Austin, to be announced later, and they wouldn't let us have cameras, but I'm sorry, we do.
[01:09:33.239 --> 01:09:37.784]  And we have footage of the facility with these pen cameras.
[01:09:37.804 --> 01:09:38.826]  They've got the best prices.
[01:09:39.406 --> 01:09:39.687]  on these.
[01:09:39.727 --> 01:09:40.187]  I've seen them.
[01:09:40.207 --> 01:09:41.909]  And I've paid hundreds and hundreds of dollars for these.
[01:09:41.929 --> 01:09:44.573]  It's like 45, 50 bucks on their site for these.
[01:09:44.773 --> 01:09:48.958]  And the audio and video is really great quality for units this small.
[01:09:49.239 --> 01:09:50.781]  So I hope you visit their website.
[01:09:50.801 --> 01:09:52.403]  It's a D-I-G-A.
[01:09:52.423 --> 01:09:54.205]  That's a D-I-G-A.
[01:09:55.066 --> 01:09:56.227]  D-I-G-A-N-E-T dot net.
[01:09:56.327 --> 01:09:59.550]  D-I-G-A-N-E-T dot net.
[01:09:59.811 --> 01:10:02.213]  Everyone should have these DigiPens on them.
[01:10:02.693 --> 01:10:07.718]  Everybody should have their even better unit in their car, and I'm going to get one put in my car.
[01:10:08.038 --> 01:10:09.440]  And it hides very, very simple.
[01:10:09.460 --> 01:10:10.461]  A little bitty memory stick.
[01:10:10.761 --> 01:10:14.625]  You just activate it when you want to record, and you defeat the enemy.
[01:10:14.885 --> 01:10:17.067]  So D-I-G-A-N-E-T.
[01:10:17.688 --> 01:10:18.448]  That's DigiNet.
[01:10:20.051 --> 01:10:20.811]  D-I-G-A-A-N-E-T dot net.
[01:10:20.831 --> 01:10:22.752]  Ladies and gentlemen, check them out today.
[01:10:23.112 --> 01:10:26.914]  D-I-G-A-A-N-E-T dot net.
[01:10:27.214 --> 01:10:31.096]  They've got a lot of different models and systems, so definitely check that out.
[01:10:32.054 --> 01:10:35.076]  Okay, going now to Gary Franchi.
[01:10:35.477 --> 01:10:37.018]  Gary, it's great to have you here.
[01:10:37.278 --> 01:10:39.159]  You were here with William Lewis running camera.
[01:10:39.179 --> 01:10:42.301]  You're producing a film about FEMA camps around the country.
[01:10:42.321 --> 01:10:46.244]  There's so many to go to, so little time, and also discrediting Glenn Beck.
[01:10:46.264 --> 01:10:47.565]  So that's a film we talked about doing.
[01:10:47.585 --> 01:10:49.947]  That's why I was excited to hear you guys were making that film.
[01:10:49.987 --> 01:10:51.608]  I guess our minds think alike.
[01:10:51.908 --> 01:10:53.149]  That's why I'm honored to be in it.
[01:10:54.370 --> 01:10:55.011]  But you're also
[01:10:56.570 --> 01:10:56.931]  You bet!
[01:10:56.971 --> 01:10:58.973]  Just another testament to what we can all do taking action.
[01:10:59.013 --> 01:11:02.617]  Tell folks how you woke up and all the success you've had against the New World Order.
[01:11:15.513 --> 01:11:24.058]  Most people don't even realize this, but I was about 17 when I first learned about the Committee of 300, the Council of Rome, the Council on Foreign Relations, all these things.
[01:11:24.999 --> 01:11:29.141]  I was running around like a chicken with my head cut off, telling all these people about it.
[01:11:31.121 --> 01:11:32.842]  Well, I was, uh, medicated.
[01:11:33.142 --> 01:11:37.525]  You know, doctors said, you know, this is not going on, take these drugs and forget about all of this.
[01:11:37.545 --> 01:11:45.170]  So your parents said, my God, he's mentally ill, he believes there's a corrupt elite, he believes there's a Federal Reserve, he's a criminal, we've got to drug him.
[01:11:45.470 --> 01:11:47.431]  Well, it was more... So you were already awake?
[01:11:47.671 --> 01:11:48.892]  I was already awake.
[01:11:49.112 --> 01:11:50.173]  And a thought criminal.
[01:11:50.393 --> 01:11:51.574]  Yes, I was a thought criminal.
[01:11:51.694 --> 01:11:58.118]  And then for 10 years I was heavily medicated until, you know, I always knew deep down something was going on.
[01:11:58.939 --> 01:12:03.182]  And I started researching the microchip on peer-to-peer networks.
[01:12:03.222 --> 01:12:07.865]  This is well before there was anything like YouTube or these types of streaming video sites.
[01:12:08.145 --> 01:12:11.808]  I came across a video of you talking about the RFID chip, the VeraChip.
[01:12:12.929 --> 01:12:13.969]  And I said, who is this guy?
[01:12:14.009 --> 01:12:14.830]  What's he talking about?
[01:12:14.890 --> 01:12:19.853]  I mean, what I was talking about before wasn't just some line that I read in a book.
[01:12:20.654 --> 01:12:27.119]  Then I started doing some more searching, found your name, saw a video of you at SeaWorld, you know, talking about biometrics.
[01:12:27.179 --> 01:12:33.183]  Yeah, there's actually one from 2000 and another from 2004, so people get those confused, but yeah, they put the biometrics in.
[01:12:33.583 --> 01:12:39.627]  Yeah, so I watched the video and I said, look, this guy right here, he is talking the exact same thing that I'm talking about.
[01:12:39.687 --> 01:12:40.688]  I'm not crazy!
[01:12:40.808 --> 01:12:48.130]  Okay, so before, you thought you were crazy and they medicated you, and then years later, you're saying, no, it's real, it's really happening.
[01:12:48.150 --> 01:12:49.010]  Yes, it's really happening.
[01:12:49.030 --> 01:12:52.311]  So I didn't really wake you up, I just validated what you already knew.
[01:12:52.331 --> 01:12:58.693]  Well, yeah, I mean, you had validated what I knew, but you reignited that spark that was there dwelling inside me.
[01:13:00.533 --> 01:13:01.894]  I said, okay, it's time.
[01:13:02.294 --> 01:13:03.635]  Let's organize.
[01:13:03.695 --> 01:13:05.216]  I downloaded all your movies.
[01:13:05.836 --> 01:13:09.618]  I sat in the basement, watched them all, emerged from the darkness.
[01:13:10.279 --> 01:13:14.361]  A new light shone upon me and I was like, where is everybody?
[01:13:14.401 --> 01:13:15.482]  We gotta find everybody.
[01:13:15.522 --> 01:13:16.362]  Let's get organized.
[01:13:16.382 --> 01:13:17.203]  Let's take action.
[01:13:17.543 --> 01:13:19.845]  And that's when the Lone Lantern Society was created.
[01:13:20.305 --> 01:13:22.186]  Explain what Lone Lantern means for those that don't.
[01:13:22.426 --> 01:13:29.712]  Lone Lantern is the single lantern in the virtual tower, telling people that the enemies are here.
[01:13:29.833 --> 01:13:34.056]  It's taken after the Midnight Ride of Paul Revere, where one if by land, two if by sea.
[01:13:34.677 --> 01:13:35.818]  The enemy's here!
[01:13:35.858 --> 01:13:36.599]  Yeah, they are here.
[01:13:36.639 --> 01:13:40.562]  They're on our soil and it's up to us to ride through the streets and wake up the American people.
[01:13:40.662 --> 01:13:43.625]  And that's what the Lone Lantern Society was created to do.
[01:13:44.946 --> 01:13:51.571]  And then you got to work with Aaron Russo, and when he died, right as he died, he handed over, restored the Republic, and you've done a great job keeping that alive.
[01:13:51.631 --> 01:13:52.692]  Yeah, the Lone Lantern Society.
[01:13:52.772 --> 01:14:04.081]  Aaron saw what I was doing in Chicago with the Lone Lantern Society, and he said, you know, we met on several occasions, you know, had some really wild late-night conversations in his suite at the Sofitel Hotel.
[01:14:04.101 --> 01:14:05.983]  You know, those late-night, 3 a.m.
[01:14:06.023 --> 01:14:10.046]  conversations, philosophy, and the meaning of life, it was just amazing.
[01:14:10.286 --> 01:14:12.848]  And, you know, we developed a bond and trust.
[01:14:12.888 --> 01:14:13.689]  I worked behind the scenes.
[01:14:13.729 --> 01:14:15.810]  He had a lot of energy while he was even fighting for his life.
[01:14:15.850 --> 01:14:16.390]  Oh, he sure did.
[01:14:16.590 --> 01:14:18.470]  A total of six years he fought cancer.
[01:14:18.490 --> 01:14:18.691]  Yes.
[01:14:18.971 --> 01:14:20.311]  He didn't tell people about it until the very end.
[01:14:20.571 --> 01:14:20.971]  That's right.
[01:14:21.071 --> 01:14:24.432]  And that movie was his final message to the people.
[01:14:25.253 --> 01:14:27.413]  And it really catapulted a movement.
[01:14:27.453 --> 01:14:28.694]  It catapulted Ron Paul.
[01:14:29.414 --> 01:14:36.376]  And then we had all these people who had seen the film, and we needed to harness the energy that was created.
[01:14:36.556 --> 01:14:39.157]  And that's where the Restore the Republic organization came in.
[01:14:40.031 --> 01:14:41.052]  No, that's just wonderful.
[01:14:41.172 --> 01:14:42.814]  And it's another testament, though.
[01:14:42.874 --> 01:14:47.979]  You took action, you got involved, and you've conservatively, with your work and the volunteers, reached millions of people.
[01:14:49.240 --> 01:14:50.721]  And it's so exciting.
[01:14:50.741 --> 01:14:57.107]  I mean, all these scores of universities, it's making the news that they're taking the Obama deception and making copies of it.
[01:14:57.387 --> 01:15:00.170]  This film's been out three months, over 15 million views.
[01:15:00.230 --> 01:15:02.092]  I quit counting online, probably way more than that now.
[01:15:02.492 --> 01:15:03.813]  That was a month ago.
[01:15:03.833 --> 01:15:04.634]  That was two months in.
[01:15:05.555 --> 01:15:06.116]  So three months.
[01:15:06.376 --> 01:15:07.037]  I don't know what it is.
[01:15:08.518 --> 01:15:09.219]  All over the place.
[01:15:09.239 --> 01:15:13.463]  You'll read in the newspaper, 15,000 Obama deceptions where they burn copies and hand them out.
[01:15:13.823 --> 01:15:15.625]  Same thing with American freedom to fascism.
[01:15:15.945 --> 01:15:19.188]  So now George Soros is funding things like the Home Project.
[01:15:19.509 --> 01:15:20.309]  Humans are bad.
[01:15:20.349 --> 01:15:21.491]  Gotta have carbon taxes.
[01:15:21.511 --> 01:15:22.812]  Gotta have one-child policies.
[01:15:23.212 --> 01:15:24.012]  Humans are evil.
[01:15:24.052 --> 01:15:26.653]  They're saying give them out for free, have street actions.
[01:15:27.013 --> 01:15:35.194]  They're now trying to duplicate what we're doing because we're engaged in a real color revolution against outside bankers coming in and taking over our country.
[01:15:35.474 --> 01:15:40.956]  They're trying now to come in with a false Obama revolution, but that's sputtering down very quickly.
[01:15:40.976 --> 01:15:47.097]  They're even admitting that they can't get their 13 million volunteers to do anything because they're finding out Barack Obama is a corporate front.
[01:15:47.417 --> 01:15:47.877]  So again,
[01:15:48.377 --> 01:15:49.638]  This doesn't have to happen.
[01:15:49.838 --> 01:15:52.099]  Can you believe that they're openly announcing, L.A.
