[00:00:00.908 --> 00:00:11.013]  Prepare yourself for a talk radio experience like no other.
[00:55:04.534 --> 00:55:08.195]  There's a powerful secret that credit card companies don't want you to know.
[00:55:08.195 --> 00:55:15.636]  If you have credit card debt, you have the power to settle that debt for a fraction of what you owe, cutting your payments by up to half or more.
[00:55:15.636 --> 00:55:19.357]  That's bad news for credit card companies, but it's great news for you.
[00:55:19.357 --> 00:55:27.399]  Call the Credit Helpline for free information that'll show you how to settle your credit card debts and lower your payments by up to half or more.
[00:55:28.319 --> 00:55:29.339]  Not available in all states.
[00:56:00.243 --> 00:56:04.026]  Afghan President Harman Karzai wants a bigger role in overseeing U.S.
[00:56:04.026 --> 00:56:06.887]  and NATO military action in his country.
[00:56:06.887 --> 00:56:08.088]  He's denouncing a U.S.
[00:56:08.088 --> 00:56:11.811]  operation that he says killed 16 Afghan civilians.
[00:56:11.811 --> 00:56:15.933]  Karzai says civilian deaths strengthened the terrorists.
[00:56:15.933 --> 00:56:21.637]  John McCain says he won't vote for President Obama's stimulus package unless there are some major changes.
[00:56:21.637 --> 00:56:27.261]  The Arizona senator tells Fox News Sunday that he will push to make the Bush tax cuts permanent.
[00:56:27.261 --> 00:56:28.742]  They're due to expire next year.
[00:56:29.494 --> 00:56:35.795]  Now that he has an official residence in Washington, where is Joe Biden spending his first weekend as Vice President?
[00:56:35.795 --> 00:56:37.796]  Back home in Wilmington, Delaware.
[00:56:37.796 --> 00:56:43.817]  He's used to taking the train back and forth every day during his decades in the Senate, and his mother still lives there.
[00:56:43.817 --> 00:56:47.058]  He tells CBS she won't move to Washington.
[00:56:47.058 --> 00:56:54.639]  And Venezuelan President Hugo Chavez is welcoming President Barack Obama's pledge to improve diplomatic relations around the world.
[00:56:54.639 --> 00:56:58.380]  For more news and analysis, log on to IRNnews.com.
[00:56:59.759 --> 00:57:10.147]  If you're paying your credit cards with credit cards, or maybe some other crisis in your life made you fall behind on your bills, there is a light at the end of the tunnel with Consumer Credit of America.
[00:57:10.147 --> 00:57:14.951]  They can help you find your way out of the debt trap and find financial freedom.
[00:57:14.951 --> 00:57:15.431]  Call now.
[00:57:15.431 --> 00:57:15.731]  877-348-FREE.
[00:57:15.731 --> 00:57:16.092]  That's 877-348-F-R-E-E.
[00:57:16.092 --> 00:57:17.413]  Or visit them on the web at ccofamerica.com.
[00:57:17.413 --> 00:57:17.853]  877-348-FREE.
[00:57:17.853 --> 00:57:18.834]  Not available in all states.
[00:57:30.220 --> 00:57:33.181]  The Hamas government is up and running again in Gaza.
[00:57:33.181 --> 00:57:38.423]  With administrative offices bombed out, officials are working just about anywhere they can.
[00:57:38.423 --> 00:57:44.326]  The group says it'll dole out $52 million in aid to those affected by Israel's recent offensive.
[00:57:44.326 --> 00:57:49.948]  Meanwhile, UN humanitarian chief John Holmes says economic life in Gaza must be allowed to resume.
[00:57:49.948 --> 00:57:51.409]  We need the crossing points.
[00:57:52.229 --> 00:57:58.395]  As fully open as possible, and preferably fully open not only for humanitarian goods, but also for commercial goods.
[00:57:58.395 --> 00:58:01.237]  And also, not only to gain, but also to get out.
[00:58:01.237 --> 00:58:09.084]  House Republican leader John Boehner tells NBC the latest economic stimulus plan won't get much Republican support without significant changes.
[00:58:09.084 --> 00:58:13.768]  200 million dollars to fix up the National Mall.
[00:58:13.768 --> 00:58:15.609]  21 million dollars for sod.
[00:58:15.609 --> 00:58:18.492]  Over 200 million dollars for contraceptives.
[00:58:19.306 --> 00:58:21.227]  How is this gonna fix an alien economy?
[00:58:21.227 --> 00:58:27.391]  And a couple who tried to sneak into the country by walking across a frozen river gets caught when they're forced to call for help.
[00:58:28.160 --> 00:58:29.361]  Here's Julie Walker.
[00:58:29.361 --> 00:58:34.703]  First, the couple tried to enter the country legally at a border crossing between Canada and the U.S.
[00:58:34.703 --> 00:58:42.306]  The 38-year-old man is an American citizen, but his 50-year-old fiancé is British and couldn't get in because of her immigration status.
[00:58:42.306 --> 00:58:46.887]  So she tried to sneak across the frozen Niagara River, but couldn't make it.
[00:58:46.887 --> 00:58:50.169]  Then he tried to save her, only to get stuck as well.
[00:58:50.169 --> 00:58:53.130]  The pair, called 911, were rescued and arrested.
[00:58:53.530 --> 00:58:55.110]  Julie Walker, New York.
[00:58:55.110 --> 00:58:58.111]  And I'm Jody Jordan for IRN USA Radio News.
[00:59:15.896 --> 00:59:18.517]  Mask filters, $6 or 3 for $15.
[00:59:18.517 --> 00:59:21.579]  Save big on British chemical suits, only $12.
[00:59:21.579 --> 00:59:23.680]  Israeli gas masks, $20.
[00:59:23.680 --> 00:59:27.322]  Trigger finger gloves, $5 a pair or $36 a dozen.
[00:59:27.322 --> 00:59:30.664]  Snowshoe binding for $8 or $48 a dozen.
[00:59:30.664 --> 00:59:31.965]  And so much more.
[00:59:31.965 --> 00:59:35.687]  Even hard to find surplus items, all at surplus prices.
[00:59:35.687 --> 00:59:40.729]  Preparing the whole family has never been so affordable at MainMilitary.com.
[00:59:40.729 --> 00:59:42.350]  MainMilitary.com.
[00:59:42.350 --> 00:59:45.192]  One of the last surviving true surplus stores in the country.
[00:59:45.552 --> 00:59:50.156]  Shop now at MAINEMILITARY.COM or call 877-608-0179.
[00:59:50.156 --> 00:59:50.596]  That's 877-608-0179 today.
[00:59:50.596 --> 00:59:53.218]  Prepare yourself for a talk radio experience like no other.
[00:59:53.218 --> 00:59:53.939]  He stands for truth.
[00:59:53.939 --> 00:59:54.879]  He stands for justice.
[01:00:14.485 --> 01:00:16.926]  He stands for what's right.
[01:00:16.926 --> 01:00:20.207]  This is the Alex Jones Show.
[01:00:20.207 --> 01:00:23.328]  Call Alex now, toll free at 877-590-5525.
[01:00:23.328 --> 01:00:26.809]  Now live from Austin, Texas, here's Alex Jones.
[01:00:26.809 --> 01:00:30.910]  It didn't matter if 98% of Americans
[01:00:42.816 --> 01:00:46.738]  In every major poll, some were even 99% were against the banker bailout.
[01:00:46.738 --> 01:00:48.439]  They did it, but it wasn't a banker bailout.
[01:00:48.439 --> 01:00:51.301]  See, they'll call it one thing, it's another.
[01:00:51.301 --> 01:00:59.385]  It allowed unlimited amounts of money, now over $8.5 trillion and growing, to be given to offshore predominant banks, to whoever they want.
[01:00:59.385 --> 01:01:05.249]  Remember, they said, oh, we're passing it, October 3rd, threatened Congress with martial law, on record.
[01:01:05.249 --> 01:01:11.012]  The White House did it, they didn't pass it, and said, we've got to have it for, or we'll have a depression by next week to unlock credit.
[01:01:11.445 --> 01:01:12.425]  And the subprime mortgages.
[01:01:12.425 --> 01:01:17.847]  And then, on October 4th, Secretary of the Treasury Paulson said, you know what?
[01:01:17.847 --> 01:01:22.589]  We don't need it for that, but it's secret what we do need it for, and we're not going to tell you where it's going.
[01:01:22.589 --> 01:01:27.411]  But that gave them unlimited criminal power in that bill.
[01:01:27.411 --> 01:01:30.192]  Now they're saying, Obama's saying they've got to have another bill.
[01:01:30.192 --> 01:01:31.713]  He helped cheerlead the last one.
[01:01:31.713 --> 01:01:33.253]  He's saying we've got to have it.
[01:01:33.253 --> 01:01:37.675]  He's got Timothy Geithner, who engineered a bunch of the scams we're seeing, doesn't pay his taxes.
[01:01:38.240 --> 01:01:43.164]  He's now been approved out of the committee, at least, to be Treasury Secretary.
[01:01:43.164 --> 01:01:44.045]  And it's the same group.
[01:01:44.045 --> 01:01:46.687]  Very same group of people.
[01:01:46.687 --> 01:01:48.969]  And they're saying, well, we need an even bigger bailout.
[01:01:48.969 --> 01:01:50.890]  It's going to be international in scope.
[01:01:50.890 --> 01:01:53.973]  Well, you read the fine print of what they're saying.
[01:01:53.973 --> 01:01:54.433]  And it's weird.
[01:01:54.433 --> 01:01:55.694]  They tell Congress it's secret.
[01:01:55.694 --> 01:01:58.036]  We can't tell you.
[01:01:58.036 --> 01:01:59.377]  But then they're in Newsweek.
[01:01:59.377 --> 01:02:00.698]  They're in the Financial Times of London.
[01:02:00.698 --> 01:02:03.381]  They're in the Wall Street Journal saying what it is.
[01:02:03.381 --> 01:02:06.223]  But they mislabel it a nationalization.
[01:02:07.295 --> 01:02:09.176]  And they talk about the Federal Reserve being government.
[01:02:09.176 --> 01:02:11.937]  And they say it's going to set up a new bank of the U.S.
[01:02:11.937 --> 01:02:13.458]  that will take on, quote, all the debt.
[01:02:13.458 --> 01:02:17.579]  That means giving trillions more to themselves, the private shareholders.
[01:02:17.579 --> 01:02:21.661]  So again, they've engineered the crisis to implode the economy so they can consolidate it.
[01:02:21.661 --> 01:02:27.363]  Now, we're the guys that told you this years and years and years ago and said it would start with derivatives, start with subprime mortgages.
[01:02:27.363 --> 01:02:29.864]  And it's now happened.
[01:02:29.864 --> 01:02:36.507]  And I've got a New York Post article of all places, you know, that's Rupert Murdoch, endorsing Barack Obama and saying his plan
[01:02:37.111 --> 01:02:45.097]  Is the right one to fix the economy and then they mislabel it saying that it is a bailout of the banks to stop the implosion.
[01:02:45.097 --> 01:02:48.020]  The big central banks are just fronts for the private shareholders.
[01:02:48.020 --> 01:02:54.065]  They've already moved their assets into real infrastructure and gold and silver and weapon stocks and media.
[01:02:54.065 --> 01:02:57.347]  Things they know that will be there at the end of this.
[01:02:57.347 --> 01:03:00.430]  They have to destroy the economy to have this fire sale.
[01:03:00.430 --> 01:03:04.573]  But I wanted Bob Chapman, a researcher, economist, financial reporter,
[01:03:05.573 --> 01:03:08.894]  Retired when he had the biggest financial newsletter in the world.
[01:03:08.894 --> 01:03:12.435]  Came back a few years ago, the International Forecaster, out of retirement.
[01:03:12.435 --> 01:03:14.936]  And he was also in military intelligence before that.
[01:03:14.936 --> 01:03:18.797]  And his predictions have been stunningly accurate, like folks like Gerald Cilente and others.
[01:03:18.797 --> 01:03:20.598]  So that's why we have him on with us.
[01:03:20.598 --> 01:03:22.899]  I had him on Friday, but he's back with us today.
[01:03:22.899 --> 01:03:27.980]  Bob, can you succinctly explain what's happening to people with this Wall Street coup?
[01:03:27.980 --> 01:03:32.962]  As Dr. Paul Gregg Roberts, the former head of the Treasury, has said, and many others, this is a Wall Street coup.
[01:03:34.139 --> 01:03:43.181]  Explain, in basic terms, what they're doing, where this is going, how bad this depression is going to get, and where you see all of this ending.
[01:03:43.181 --> 01:03:51.502]  I mean, boil down for people, basically, talk to us like we're 5th graders, and explain to people exactly what's happening.
[01:03:51.502 --> 01:04:03.224]  Well, first of all, two years ago, we said that we were entering recession, and several economists came along about a year ago and said, yes, we're going into a recession.
[01:04:04.036 --> 01:04:07.259]  And government discovered it about a month ago.
[01:04:07.259 --> 01:04:11.662]  And government didn't discover it because the government didn't want to.
[01:04:11.662 --> 01:04:15.725]  And so you say to yourself, well, why did that happen?
[01:04:15.725 --> 01:04:18.848]  Well, it's because it was engineered that way.
[01:04:18.848 --> 01:04:21.510]  It just didn't happen.
[01:04:21.510 --> 01:04:30.818]  The money that has gone to the banks, as Alex has said, has gone offshore.
[01:04:30.818 --> 01:04:32.399]  Some of it was used to pay dividends.
[01:04:33.411 --> 01:04:41.937]  Bonuses to these people who run these banks and brokerage firms and insurance companies.
[01:04:41.937 --> 01:04:48.502]  And what it is, is it's a private consolidation of power.
[01:04:48.502 --> 01:04:51.044]  They're just rolling everything together.
[01:04:51.044 --> 01:05:01.131]  And the scandals that we see, such as the questioning of Mr. Giffler by Congress,
[01:05:02.346 --> 01:05:21.436]  The Madoff Affair, where somewhere between $50 and $100 billion disappeared, and all of the losses that are being taken by companies with no explanation as to why.
[01:05:21.436 --> 01:05:31.421]  And so, this is a conglomeration of information that's come forward, and the intention of the powers behind government
[01:05:32.734 --> 01:05:47.078]  Is that they want to show the public that finances, that includes insurance, brokerage, as well as banks, have been mismanaged.
[01:05:47.078 --> 01:05:54.080]  And we have to have regulations worldwide in order to not make that happen again.
[01:05:54.080 --> 01:05:59.822]  And remember folks, this is the group that engineered all this and changed the laws in the mid and late 90s to do this.
[01:05:59.822 --> 01:06:02.363]  Now they're saying we're the saviors, give us unlimited power.
[01:06:03.081 --> 01:06:08.144]  Openly in Newsweek, let us have a world government that sets taxes and regulates all of you.
[01:06:08.144 --> 01:06:10.846]  Openly by the banks.
[01:06:10.846 --> 01:06:13.227]  And that is part of it as well.
[01:06:13.227 --> 01:06:29.257]  And so, I think you're going to see, starting this coming month, talk in Washington, Wall Street, about these new regulations, which have been banted around Europe for the last three or four months.
[01:06:29.257 --> 01:06:32.419]  Sarkozy, the president of France,
[01:06:33.357 --> 01:06:45.467]  And also Mrs. Merkel, who is the Chancellor in Germany, Kevin talking about it as well as Gordon Brown, the PM, in London.
[01:06:45.467 --> 01:06:50.831]  And so, they kind of get the ball rolling and get the door open.
[01:06:50.831 --> 01:06:59.718]  Now what they're after here is, once they get consolidation nationally, and of course in the case of the European Union,
[01:07:01.056 --> 01:07:02.937]  It'll be in two segments.
[01:07:02.937 --> 01:07:06.238]  One, the non-members.
[01:07:06.238 --> 01:07:13.561]  There's 27, I think, members in the European Union, of which 16 belong to the Eurozone.
[01:07:13.561 --> 01:07:17.723]  And that's the group that uses the currency, the Euro.
[01:07:17.723 --> 01:07:25.045]  And they will fit in and go along with the regulations.
[01:07:25.045 --> 01:07:26.486]  The next step will be
[01:07:27.529 --> 01:07:38.911]  A devaluation of all currencies, or almost all currencies, and don't ask me to give you a time frame because it's too difficult.
[01:07:38.911 --> 01:07:41.172]  People are talking about next month.
[01:07:41.172 --> 01:07:47.273]  Yeah, they're just saying they're planning to do it on record, but they won't say when, and they're also very secretive.
[01:07:47.273 --> 01:07:48.033]  Please continue.
[01:07:48.033 --> 01:07:54.334]  So globally, a private group of banks operating as a government through a treaty with nations, setting
[01:07:55.307 --> 01:08:15.544]  Well, once they get these regulations in place, and it'll take them at least a year to do it, and it could take as long as two, but let's say it takes a year.
[01:08:15.544 --> 01:08:20.007]  Then what they will do is say, well, the U.S.
[01:08:20.007 --> 01:08:23.350]  dollar has come down substantially
[01:08:24.117 --> 01:08:26.599]  Which I expect it to as well.
[01:08:26.599 --> 01:08:31.483]  And so the dollar is going to have to be devalued.
[01:08:31.483 --> 01:08:35.986]  And rather than face default, we'll have everybody else devalued too.
[01:08:35.986 --> 01:08:44.873]  And the key to that will be the sovereign nations throughout the world have foreign exchange balances.
[01:08:44.873 --> 01:08:49.336]  And they are keeping 64.5% of those balances in US dollars.
[01:08:52.853 --> 01:08:57.115]  So, if the dollar gets devalued, they get hit pretty hard too.
[01:08:57.115 --> 01:09:00.337]  So, they're all in it together, so to speak.
[01:09:00.337 --> 01:09:07.281]  So, I think most all of the currencies in the world would be devalued at the same time the dollar would be.
[01:09:07.281 --> 01:09:08.601]  And that's what globalization is.
[01:09:08.601 --> 01:09:20.668]  They get everybody tied in to their fiat system and they implode it and say the only way out of this is giving us these private consortium of banks operating as a world government, a regulatory agency, give us unlimited power, we can fix it.
[01:09:21.721 --> 01:09:50.517]  Well, the next step, of course, is the hue and cry that, oh, goodness gracious, we've had this terrible worldwide devaluation because of what's gone on and lack of regulations, so they get the regulations passed, and then all of a sudden they say, well, we've decided, us, people in the financial business, and these governments have decided that it would be much better if we had one currency.
[01:09:51.480 --> 01:09:53.681]  And that's what they're after.
[01:09:53.681 --> 01:09:58.982]  And there's no constituency in the world who'll go along with it.
[01:09:58.982 --> 01:10:03.043]  Have you ever felt like the United States government knows way too much about your financial affairs?
[01:10:03.043 --> 01:10:08.924]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[01:10:08.924 --> 01:10:10.044]  It makes me wonder if the U.S.
[01:10:10.044 --> 01:10:14.085]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[01:10:14.745 --> 01:10:28.053]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act in Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[01:10:28.053 --> 01:10:34.157]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[01:10:34.157 --> 01:10:40.041]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[01:10:40.782 --> 01:10:42.063]  Call for your free copy at 1-800-686-2237.
[01:10:42.063 --> 01:10:43.165]  When investing, always proceed with caution.
[01:10:43.165 --> 01:10:43.686]  Again, call 1-800-686-2237.
[01:10:43.686 --> 01:10:45.428]  Exercise your legal right to trade metals privately.
[01:10:45.428 --> 01:10:45.488]  1-800-686-2237.
[01:10:58.160 --> 01:11:06.426]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[01:11:06.426 --> 01:11:10.989]  In these troubled times, one of the most important things your family can have is good health.
[01:11:10.989 --> 01:11:15.652]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[01:11:15.652 --> 01:11:17.053]  It's a documented fact.
[01:11:17.253 --> 01:11:24.696]  About 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
[01:11:24.696 --> 01:11:36.780]  Now, you can fight internal parasites, heavy metals, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[01:11:36.780 --> 01:11:40.461]  FPP is now available to you from FreshwaterOrganics.com.
[01:11:41.061 --> 01:11:44.183]  A two-month supply starts at just $17.
[01:11:44.183 --> 01:11:47.925]  FPP is so affordable you can't afford to do without.
[01:11:47.925 --> 01:11:51.226]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[01:11:51.226 --> 01:11:51.427]  That's 888-949-3570.
[01:11:58.870 --> 01:12:02.571]  Everyone knows that omega-3 should be an essential part of our daily diet.
[01:12:02.571 --> 01:12:08.293]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[01:12:08.293 --> 01:12:12.634]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[01:12:12.634 --> 01:12:15.094]  Nature's Gem Premium Omega-3.
[01:12:15.094 --> 01:12:20.896]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[01:12:20.896 --> 01:12:21.536]  We're good to go!
[01:12:38.522 --> 01:12:40.543]  Nature's Gem Golden Flax is pure.
[01:12:40.543 --> 01:12:44.086]  There is nothing added and nothing taken away and non-GMO.
[01:12:44.086 --> 01:12:46.508]  We offer a 100% money-back guarantee.
[01:12:46.508 --> 01:12:50.350]  Order a Nature's Gem Premium Golden Flax today at GoldenFlax.com.
[01:12:50.350 --> 01:12:52.252]  Golden F-L-A-X dot com.
[01:12:52.252 --> 01:12:52.752]  Or call 800-387-5516.
[01:12:52.752 --> 01:12:52.992]  That's 800-387-5516.
[01:12:52.992 --> 01:12:53.673]  Free shipping included.
[01:12:59.338 --> 01:13:04.839]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[01:13:04.839 --> 01:13:05.620]  and the world.
[01:13:05.620 --> 01:13:09.481]  And for the first time in their lives, they are feeling the need for preparedness.
[01:13:09.481 --> 01:13:15.982]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[01:13:15.982 --> 01:13:18.003]  Ready Reserve is the manufacturer.
[01:13:18.003 --> 01:13:23.244]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish.
[01:13:23.444 --> 01:13:26.227]  With double enamel cans and nitrogen packaging.
[01:13:26.227 --> 01:13:30.931]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[01:13:30.931 --> 01:13:36.756]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[01:13:36.756 --> 01:13:38.938]  Many companies do not even offer a catalog.
[01:13:38.938 --> 01:13:41.180]  We will be more than happy to send a catalog to you
[01:13:41.520 --> 01:13:42.601]  Free of charge.
[01:13:42.601 --> 01:13:42.921]  Dial 1-800-453-2202.
[01:13:42.921 --> 01:13:43.021]  1-800-453-2202.
[01:13:43.021 --> 01:13:45.342]  Or visit our website at readyreservefoods.com.
[01:13:45.342 --> 01:13:47.944]  Factory direct, wholesale pricing from Ready Reserve Foods.
[01:13:47.944 --> 01:13:48.484]  Call us at 1-800-453-2202.
[01:13:48.484 --> 01:13:49.685]  Thank you for listening to GCN.
[01:13:49.685 --> 01:13:51.446]  Be sure to visit GCNlive.com today.
[01:14:10.615 --> 01:14:17.801]  Folks, I know we have a lot of phone lines, and coming up in the next segment, I'll be dealing with your phone calls on a host of subjects, any issue you want to call in about.
[01:14:17.801 --> 01:14:28.029]  But I wanted to get Bob Chapman up here today, because, and again, I've had former Nobel Prize winning economists on, I've interviewed them all, and they're all saying the same thing.
[01:14:28.029 --> 01:14:36.676]  This is an engineered crisis, and the very group of offshore banks that engineered it are the ones now terrorizing the public, saying, well, I have a depression.
[01:14:36.676 --> 01:14:39.198]  If you don't do what we say, well, they've already
[01:14:39.597 --> 01:14:41.818]  had tax incentives to move offshore.
[01:14:41.818 --> 01:14:43.979]  This was all done by design.
[01:14:43.979 --> 01:14:47.500]  Bob, they're openly announcing they plan to start stealing pension funds.
[01:14:47.500 --> 01:14:49.140]  Well, a lot of companies already doing it.
[01:14:49.140 --> 01:14:54.882]  They changed the law a few years ago where they could do that, but saying they can do it and being able to get away with it is another thing.
[01:14:54.882 --> 01:14:58.884]  They're openly announcing that they want to use regular army against the American people.
[01:14:58.884 --> 01:15:02.585]  They're announcing they're gonna use the Patriot Act against non-terror related cases.
[01:15:02.585 --> 01:15:04.846]  I mean, this is a worst case scenario that is
[01:15:05.638 --> 01:15:06.178]  Unfolding.
[01:15:06.178 --> 01:15:20.146]  Can you speak to, just briefly, the real state of the economy right now with all of this news coming out about Citigroup raises $12 billion, loses $42.2 billion, just having to pay their dividends on investments.
[01:15:20.146 --> 01:15:24.248]  So now they're having to raid the Federal Depositors Insurance Corporation fund for that.
[01:15:24.248 --> 01:15:27.590]  California's first centennial bank going under.
[01:15:27.590 --> 01:15:32.673]  Meanwhile, we have all these neocon publications endorsing Obama and quote, nationalization.
[01:15:33.305 --> 01:15:44.387]  When it's not nationalization, it's the private Federal Reserve using taxpayer money to buy Ford, buy Chevy, to go in and buy up infrastructure.
[01:15:44.387 --> 01:15:48.928]  People get mad if they knew our tax money was going for private banks to buy these upper pennies on the dollar.
[01:15:48.928 --> 01:15:51.828]  So they just call it nationalization when it's the opposite.
[01:15:51.828 --> 01:15:55.489]  This is privatization, isn't it?
[01:15:55.489 --> 01:15:58.029]  Yes, that's exactly what it is.
[01:15:58.029 --> 01:16:02.690]  And I've given you the train or the chain of events
[01:16:03.308 --> 01:16:09.590]  That I expect that will be attempted over the next two to three years.
[01:16:09.590 --> 01:16:24.154]  One of the things that I've learned, and this is my 49th year now, and one of the things I've learned in business, one of the things I've learned is that things never happen as quickly as you think they do or will.
[01:16:24.154 --> 01:16:29.615]  And so you tend to be a little bit calmer and more patient
[01:16:30.530 --> 01:16:34.611]  Then when you recognize the same things when you were 35 years old.
[01:16:34.611 --> 01:16:39.393]  And so, it's going to take a while, but they're not going to be successful.
[01:16:39.393 --> 01:16:45.775]  They think they are, and they're going forward like it's just another coup for them.
[01:16:45.775 --> 01:16:47.635]  And that just isn't going to happen.
[01:16:47.635 --> 01:16:48.436]  That's a key point.
[01:16:48.436 --> 01:16:54.657]  They've done this to hundreds of third world countries, this exact same takeover profile.
[01:16:54.657 --> 01:16:56.638]  Well, they don't want any part of it.
[01:16:57.438 --> 01:17:02.282]  I mean, if you go to different countries in the world and talk to the people on the street that say, no, I don't want that.
[01:17:02.282 --> 01:17:07.505]  You know, we experienced that before with this or that, or look what's happening to the Euro.
[01:17:07.505 --> 01:17:12.449]  I mean, we've got four countries in Europe that are on the edge of bankruptcy.
[01:17:12.449 --> 01:17:17.433]  Well, what are folks going to do when they start... I mean, it's one thing to lose your job.
[01:17:17.433 --> 01:17:21.596]  What are they going to do as the government seizes people's 401ks to, quote, protect them?
[01:17:21.596 --> 01:17:22.917]  Well, let's back into that.
[01:17:22.917 --> 01:17:24.658]  You spoke about it a couple of minutes ago.
[01:17:25.496 --> 01:17:39.900]  And you spoke about the legislation which allowed these corporations, about 19% of people are covered under conventional pensions, we'll call them.
[01:17:39.900 --> 01:17:42.481]  Not the 401k variety.
[01:17:42.481 --> 01:17:50.163]  And they were allowed to adjust or eliminate their pension plans.
[01:17:50.163 --> 01:17:52.224]  And they're doing it.
[01:17:52.224 --> 01:17:53.404]  The excuse is, well,
[01:17:54.597 --> 01:18:01.798]  Companies from offshore don't give any benefits to their employees, and they treat them like slave labor.
[01:18:01.798 --> 01:18:04.819]  So let's do that to Americans, too.
[01:18:04.819 --> 01:18:09.920]  So anyway, that's been underway for about, actually, almost three years now.
[01:18:09.920 --> 01:18:14.501]  And I gotta just sidetrack for a second.
[01:18:14.501 --> 01:18:23.122]  You said something about the monies being put offshore by transnational corporations.
[01:18:23.855 --> 01:18:25.476]  This is nothing new.
[01:18:25.476 --> 01:18:42.868]  If you go back three years, you'll see that there was legislation to allow these transnationals, who are the ones under free trade and globalization, who are offshoring and outsourcing over five million American jobs over the last eight years.
[01:18:42.868 --> 01:18:51.694]  And what they do is they make this money by having goods made cheap, say in China,
[01:18:52.412 --> 01:18:54.354]  And then have them sold to the United States.
[01:18:54.354 --> 01:18:57.276]  But the money is not coming into the United States.
[01:18:57.276 --> 01:19:02.640]  It's going to their subsidiary, perhaps in the Cayman Islands.
[01:19:02.640 --> 01:19:19.072]  And three years ago, because they needed an infusion into the American financial scene, and under the guise of creating employment, all these offshore corporations were allowed to bring as much money back
[01:19:19.693 --> 01:19:21.353]  To the United States as I want it.
[01:19:21.353 --> 01:19:24.234]  And that's why Halliburton and others have moved offshore.
[01:19:24.234 --> 01:19:27.615]  And I want to take you into the next segment and talk briefly about that.
[01:19:27.615 --> 01:19:38.418]  But before this segment ends, I want to bring Ted Anderson, the owner of the Genesis Network that syndicates this radio show on, because he also owns Midas Resources, 30-year gold brokerage and silver brokerage.
[01:19:38.418 --> 01:19:41.119]  Because Ted bought gold when it was $815 an ounce.
[01:19:41.119 --> 01:19:42.259]  Now it's over $900 right now.
[01:19:42.259 --> 01:19:42.839]  He has it in store.
[01:19:45.979 --> 01:19:55.527]  And he also wants to, you've let us at his company, give people a free introductory copy of your latest hard copy newsletter, The International Forecaster.
[01:19:55.527 --> 01:19:57.368]  They can also go to internationalforecaster.com.
[01:19:57.368 --> 01:20:13.461]  So before this segment ended, I wanted to briefly bring Ted in so he could, well it's 800-686-2237, so they could call and find out about that, but also find out about the gold and silver deal that Ted's got going that only goes until midnight tonight, folks.
[01:20:13.854 --> 01:20:18.356]  Because then he's going to be out of this position and have to buy gold at the new higher price.
[01:20:18.356 --> 01:20:20.077]  Most places don't even have gold and silver.
[01:20:20.077 --> 01:20:30.841]  Ted's been in it so long, but I mean, Bob, bottom line, would it be a smart move for people to physically have part of their 401k in gold or silver or should they just trust the government and leave it in there?
[01:20:30.841 --> 01:20:40.725]  Well, I recommend gold and silver related assets very strongly because as far as I can see, after all my years of experience
[01:20:41.429 --> 01:20:42.930]  This is the only place to be.
[01:20:42.930 --> 01:20:54.377]  How good of a deal is it if Ted bought gold at $815 an ounce and he's selling it at that price, priced into the market, when it's at $900?
[01:20:54.377 --> 01:20:56.278]  How good of a deal is that?
[01:20:56.278 --> 01:20:57.899]  Well, it's terrific.
[01:20:57.899 --> 01:20:59.119]  It goes without saying.
[01:20:59.119 --> 01:21:01.801]  I mean, coins that he purchased probably for $100,000.
[01:21:05.145 --> 01:21:08.427]  Say $45 he was selling them at that level.
[01:21:08.427 --> 01:21:10.688]  They're now $160 or whatever.
[01:21:10.688 --> 01:21:11.489]  Let's bring Ted on.
[01:21:11.489 --> 01:21:14.490]  They're higher in the marketplace than what Ted bought them at.
[01:21:14.490 --> 01:21:17.892]  Ted, take a Frank or a British Sovereign.
