[00:00:19.180 --> 00:00:20.163]  We are back live.
[01:21:42.992 --> 01:21:44.893]  Now I'm telling you there's a reason why.
[01:21:48.056 --> 01:21:48.476]  Stay there!
[01:21:48.516 --> 01:21:48.897]  Stay there!
[01:21:48.937 --> 01:21:49.317]  Stay there!
[01:21:49.737 --> 01:21:50.638]  We're on the march.
[01:21:51.119 --> 01:21:52.740]  The Empire's on the run.
[01:21:53.661 --> 01:21:56.344]  Alex Jones and the GCN Radio Network.
[01:21:59.679 --> 01:22:02.001]  Hi, this is Peter Kronschnabel with Midas Resources.
[01:22:02.141 --> 01:22:05.845]  As you know, government spending is at an all-time high and inflation is on the rise.
[01:22:05.945 --> 01:22:08.588]  What are you doing right now to protect yourself financially?
[01:22:08.768 --> 01:22:15.975]  As the economy continues to deteriorate due to corporate greed and government intervention, more people will lose their jobs and worse, their life savings.
[01:22:16.095 --> 01:22:16.415]  I'm good.
[01:22:32.552 --> 01:22:36.556]  If you've been thinking about investing in the physical possession of precious metals, I can help.
[01:22:36.696 --> 01:22:41.940]  Call me today, Peter Kranchnobel, at 800-686-2237, extension 108.
[01:22:42.501 --> 01:22:47.425]  And I will take the time personally to put together a portfolio designed to protect what you've worked so hard for.
[01:22:47.545 --> 01:22:51.549]  Call Peter, 800-686-2237, extension 108.
[01:22:52.009 --> 01:22:54.491]  You've worked hard your whole life, and I want to work hard for you.
[01:22:54.651 --> 01:22:55.112]  Call 800-686-2237, extension 108.
[01:23:00.157 --> 01:23:05.410]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:23:06.190 --> 01:23:11.553]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[01:23:12.073 --> 01:23:18.277]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:23:18.497 --> 01:23:20.378]  Well, Obama's already fudging.
[01:23:20.538 --> 01:23:22.939]  He's fudged since day one of this election.
[01:23:22.999 --> 01:23:33.885]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[01:23:36.189 --> 01:23:37.449]  It's not about left or right.
[01:23:37.849 --> 01:23:39.190]  It's about a one world government.
[01:23:39.710 --> 01:23:46.072]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:23:46.612 --> 01:23:54.394]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:23:54.874 --> 01:23:56.034]  The Obama Deception.
[01:23:56.455 --> 01:23:57.635]  The people strike back.
[01:24:00.052 --> 01:24:05.534]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[01:24:05.574 --> 01:24:06.094]  and the world.
[01:24:06.354 --> 01:24:09.815]  And for the first time in their lives, they are feeling the need for preparedness.
[01:24:10.215 --> 01:24:16.477]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[01:24:16.717 --> 01:24:18.498]  Ready Reserve is the manufacturer.
[01:24:18.758 --> 01:24:26.700]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[01:24:26.960 --> 01:24:31.401]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[01:24:31.661 --> 01:24:37.202]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[01:24:37.482 --> 01:24:39.482]  Many companies do not even offer a catalog.
[01:24:39.663 --> 01:24:43.043]  We will be more than happy to send a catalog to you, free of charge.
[01:24:43.343 --> 01:24:45.464]  Dial 1-800-453-2202, 1-800-453-2202, or visit our website at ReadyReserveFoods.com.
[01:24:52.125 --> 01:24:55.687]  The United States has had a heads of protection up around it.
[01:24:55.707 --> 01:25:01.270]  Doesn't mean we haven't had wars and hundreds of thousands dead per major war.
[01:25:20.691 --> 01:25:22.232]  Almost like a half million in the Civil War.
[01:25:22.252 --> 01:25:25.653]  A couple hundred thousand in World War I and World War II.
[01:25:28.914 --> 01:25:29.974]  Slavery, all those things.
[01:25:30.114 --> 01:25:34.056]  But the rest of the world is barbarism and enslavement, where thugs run everything.
[01:25:35.116 --> 01:25:37.957]  Now, the big bankers in control engineered the Russian Revolution.
[01:25:37.977 --> 01:25:38.757]  They funded Hitler.
[01:25:38.777 --> 01:25:39.497]  That's on record.
[01:25:39.578 --> 01:25:39.938]  Mao.
[01:25:39.958 --> 01:25:40.618]  Pol Pot.
[01:25:41.898 --> 01:25:43.839]  And they're planning that here, clearly.
[01:25:43.859 --> 01:25:48.701]  I remember telling you ten years ago they had secret dossiers on all gun owners and all this.
[01:25:48.761 --> 01:25:49.581]  Now they just admit it.
[01:25:51.348 --> 01:26:00.090]  They're paying off the preachers, even small preachers, we've confirmed, who have small home churches are getting Homeland Security letters about, remember Romans 13, you do what the government tells you.
[01:26:00.911 --> 01:26:03.211]  And these are, of course, preachers that have been speaking out against the government.
[01:26:03.791 --> 01:26:05.692]  I mean, Steve, this is a secret police.
[01:26:05.732 --> 01:26:12.554]  This is a criminal government that knows it's about to do even more horrible things, so it's trying to get everybody to stand down.
[01:26:13.769 --> 01:26:19.130]  But then they know it's going to blow up into rebellion, and then they're going to call everybody that's standing up terrorists.
[01:26:19.831 --> 01:26:21.971]  My God, this is going to be a horrible situation, Steve.
[01:26:23.251 --> 01:26:29.853]  But, I mean, police, military, former special forces, you're really saying the government's going to come after them?
[01:26:29.893 --> 01:26:32.874]  I mean, where are they going to get these forces in the first wave?
[01:26:32.954 --> 01:26:39.375]  I see them playing us off against each other in the first wave until society breaks down, then going and doing the red and blue list.
[01:26:39.435 --> 01:26:40.916]  But you say you've got other intel.
[01:26:40.956 --> 01:26:41.276]  Go ahead.
[01:26:41.496 --> 01:26:43.358]  We've got other intel, and let me share this.
[01:26:43.459 --> 01:26:49.867]  It comes from the highest realms of the military themselves, and it comes from some of the best placed sources.
[01:26:49.967 --> 01:26:55.214]  And when I say this, you know, look, the deal is, Alex, is that the hunter-killer teams are coming.
[01:26:55.314 --> 01:26:56.916]  NATO has been brought in this country.
[01:26:56.936 --> 01:26:57.437]  Remember when
[01:26:57.817 --> 01:27:03.419]  Secretary of Defense Gates said that they may need to call on NATO to bring in troops because we were deployed all over the world.
[01:27:03.479 --> 01:27:05.400]  We told people that was the plan.
[01:27:05.440 --> 01:27:06.201]  To deploy U.S.
[01:27:06.221 --> 01:27:11.683]  troops would be loyal to the United States, our oath to defend the Constitution Bill of Rights, and to bring in NATO troops.
[01:27:12.344 --> 01:27:21.490]  There are agencies that specifically do nothing but literally monitor the whereabouts of all these different individuals.
[01:27:21.510 --> 01:27:22.831]  No, no, we've always known that.
[01:27:22.851 --> 01:27:27.654]  I mean, they constantly spy on the vets who think that doing all these black ops, the government loves them.
[01:27:27.694 --> 01:27:32.838]  They hate you because they know you're going to resist when they try the Soviet-style purge.
[01:27:32.878 --> 01:27:33.238]  Go ahead.
[01:27:33.718 --> 01:27:38.043]  Right, and I think they could have called us BS brokers or whatever.
[01:27:38.083 --> 01:27:39.105]  They've called me worse than that.
[01:27:39.165 --> 01:27:40.266]  I'm sure you've had it worse than that.
[01:27:40.306 --> 01:27:48.436]  But the point is, Napolitano basically validated everything that you and I have been warning about for these past 15, 10 years, whatever.
[01:27:48.796 --> 01:27:51.700]  The point is, ladies and gentlemen, how dare they?
[01:27:52.120 --> 01:28:04.886]  Billify a group of men and women who would lay down their lives for their country, and then turn them into the enemy with the same brush as all those gun owners, those constitutionalists, those patriots, those right-wing terrorists, blah, blah, blah.
[01:28:05.226 --> 01:28:13.870]  If we don't command a lawsuit, a multi-faceted lawsuit against the, and I'm telling you, these are hate crimes, ladies and gentlemen.
[01:28:14.330 --> 01:28:16.191]  And it shows they're the bad guys!
[01:28:29.758 --> 01:28:34.200]  I mean, look, foreign banks are looting the GDP in six months.
[01:28:35.201 --> 01:28:39.423]  All the production of the country is stolen in half a year for an entire year.
[01:28:40.284 --> 01:28:42.625]  They are just running rampant, stealing everything.
[01:28:42.905 --> 01:28:49.469]  The only reason I think you may be right, they may go hot sooner rather than later, Steve, unless we get the word out like our lives depend on it.
[01:28:50.109 --> 01:28:54.071]  Is because all the rich people for three years have been leaving the United States, and I mean the billionaires.
[01:28:54.531 --> 01:29:05.818]  And I've talked to them, a lot of them live here in Austin, and they're freaked out themselves, going, oh yeah, you don't know the elite, I'm getting the hell out of here, oh yeah, there won't even be an America.
[01:29:06.078 --> 01:29:08.259]  And I go, what do you mean there won't be an America?
[01:29:08.579 --> 01:29:10.480]  And they just said, there won't be an America.
[01:29:10.800 --> 01:29:13.502]  I don't know what that means, but I just can't believe they're doing this.
[01:29:14.264 --> 01:29:22.449]  Well, they are doing it, Alex, and the problem is that when it becomes so in your face, it's one thing to warn about it for years or a decade or a decade and a half.
[01:29:22.770 --> 01:29:26.072]  It's another thing when everything you've warned about is now present on your plate.
[01:29:26.452 --> 01:29:33.096]  Now, also, the feds are going to tell the military and law enforcement people to send their families to so-called safe zones.
[01:29:33.317 --> 01:29:35.218]  And they're going to say that we're killing...
[01:29:37.199 --> 01:29:40.526]  Steve, this is key and I've always had this thought and researched it and I always forget to say it on air.
[01:29:40.807 --> 01:29:43.933]  They're going to kill some of the select police and military.
[01:29:44.454 --> 01:29:45.937]  I just differ on how many with you.
[01:29:46.775 --> 01:29:47.756]  And then blame it on us.
[01:29:48.016 --> 01:29:48.536]  Sorry, go ahead.
[01:29:48.556 --> 01:29:49.036]  Absolutely.
[01:29:49.416 --> 01:29:54.039]  And that's the nature of my orange alert that's going up on my website today, or it may be up tomorrow.
[01:29:54.319 --> 01:29:55.020]  But here's the deal.
[01:29:55.580 --> 01:29:56.580]  Understand this, Alex.
[01:29:56.600 --> 01:30:01.223]  The military and law enforcement are going to be promised the protection of their families, okay?
[01:30:01.663 --> 01:30:07.807]  And then their family members are going to be used as a lever to get them to comply with the illegal orders to kill U.S.
[01:30:07.847 --> 01:30:10.888]  citizens and round them up in family camps and children.
[01:30:11.108 --> 01:30:12.069]  See, remember, we were
[01:30:12.469 --> 01:30:16.976]  Breaking the info about all these kids are going to be locked down in schools and moved to safe zones?
[01:30:18.041 --> 01:30:20.322]  You would do anything to keep your family alive, wouldn't you?
[01:30:20.382 --> 01:30:46.077]  And I remember you saying that twelve, thirteen years ago, myself reporting, and then we got sent footage from places like Missouri and the Ozarks where they load the elementary up with their hands up on buses without telling them where they were going, take them to a FEMA camp and then call the parents and say you've got to come here to pick them up and it was an admitted drill and now the news admits during the collapse of society they are going to have the military and police quote move in to defended camps for themselves
[01:30:46.957 --> 01:30:49.279]  My God, what a sickening plan they've devised.
[01:30:49.699 --> 01:30:55.364]  Well, this is, I think the word sickening, satanic, diabolic, luciferian, wickedness.
[01:30:55.404 --> 01:31:00.708]  Now, Jesus said, and Alex, I'm quoting Jesus, because when he tells it like it is, you don't have to question it like it is.
[01:31:00.748 --> 01:31:05.092]  He said, there's never been a time like it in history, nor would be again.
[01:31:05.132 --> 01:31:09.035]  And I gotta tell you, that upsets me when I... Even worse than the days of Noah.
[01:31:09.595 --> 01:31:10.457]  Absolutely.
[01:31:10.857 --> 01:31:25.198]  And the thing I think that people need to recognize right now is that, look, their hopes, their dreams, their futures, their earning capacity, everything that they've worked hard for all their life has been literally taken away from them.
[01:31:25.558 --> 01:31:32.682]  By the very people that are now using the media and the mouthpieces and the vomit-brokering whores to vilify us.
[01:31:32.743 --> 01:31:37.546]  And remember, they identify, they vilify, they nullify, and now they destroy.
[01:31:37.846 --> 01:31:40.547]  And so what I'm telling people, I could not be more serious.
[01:31:40.928 --> 01:31:43.869]  The lateness of the hour demands that people become active.
[01:31:43.909 --> 01:31:45.510]  They can't let Alex Jones do it.
[01:31:45.751 --> 01:31:47.151]  They can't let Steve Quayle do it.
[01:31:47.191 --> 01:31:49.413]  They can't let whoever their favorite or
[01:31:49.833 --> 01:31:51.094]  Non-favorite talk radio show.
[01:31:51.314 --> 01:31:52.155]  They have to do it.
[01:31:52.235 --> 01:32:00.600]  And see, again, the idea is, listen, they can even tell the level of resistance by how many people complain.
[01:32:00.620 --> 01:32:01.280]  Do you follow me?
[01:32:02.141 --> 01:32:02.321]  Yes.
[01:32:02.401 --> 01:32:03.962]  Only a million people complain.
[01:32:03.982 --> 01:32:05.263]  They go, that's a piece of cake.
[01:32:05.283 --> 01:32:07.024]  They're testing our defenses.
[01:32:07.064 --> 01:32:08.845]  They're testing our picket line.
[01:32:09.385 --> 01:32:09.926]  You got it.
[01:32:09.986 --> 01:32:10.386]  Thank you.
[01:32:10.426 --> 01:32:11.567]  That's what I was trying to say.
[01:32:13.428 --> 01:32:14.388]  That's what I'm trying to say.
[01:32:14.428 --> 01:32:15.769]  So they're testing the picket line.
[01:32:16.029 --> 01:32:18.671]  Now, here's one thing that everyone can take great hope in.
[01:32:19.426 --> 01:32:26.428]  The thing is, is that there is a promise, and there are promises, that they that know the living God shall be strong and do exploits.
[01:32:26.788 --> 01:32:30.049]  There are amazing people, Alex, still in the military.
[01:32:30.089 --> 01:32:31.349]  There are amazing people.
[01:32:31.649 --> 01:32:33.550]  Not all of them are sold out to the devil.
[01:32:33.830 --> 01:32:39.171]  But the problem is, and this is the big issue, I have been told by top-level military brass
[01:32:39.571 --> 01:32:41.672]  Oh no, there's been major news articles written
[01:33:07.501 --> 01:33:12.723]  There's been major articles written about how all these big companies have hired their own armies or produced their own armies.
[01:33:13.083 --> 01:33:29.109]  They've been getting ready for a siege mode for decades, hardening their corporate and government facilities to literally shut the economy down in a Great Depression, but now we're not agrarian, we're not rural, so that that's their main weapon is just shutting everything off.
[01:33:29.149 --> 01:33:29.529]  Go ahead.
[01:33:30.109 --> 01:33:30.710]  Absolutely.
[01:33:30.810 --> 01:33:45.139]  And again, the situation is that, listen, if you're taking assets that should be used to defend the country, and see, this is what I wish the military would understand, especially those who still love this country.
[01:33:45.639 --> 01:33:51.363]  They, basically, a lot of the multi-star generals and stuff that have been gone into retirement or forced into retirement, etc.
[01:33:52.296 --> 01:34:00.080]  They basically are not aware of the degree of subterfuge on the international financial scene.
[01:34:00.481 --> 01:34:12.747]  I have contacts, Alex, in both Beijing and Hong Kong, and they tell me point blank, and you can't get any better connected, that most of the bailout money is being sent overseas to buy commodities.
[01:34:12.767 --> 01:34:15.829]  Then a big story comes on that China's buying all the copper they can.
[01:34:16.189 --> 01:34:18.310]  China knows what's getting ready to happen.
[01:34:18.590 --> 01:34:30.575]  The United States, which has been one of the most amazing producing countries in the world, we've exported in the good days, we exported food, we exported our technology, we exported things that could help people's lives be better.
[01:34:31.056 --> 01:34:38.859]  Then the greed monsters from hell show up and they desire, hey, we're not done just plundering the United States, we've got to plunder the planet.
[01:34:39.199 --> 01:34:39.279]  Yes.
[01:34:39.299 --> 01:34:39.700]  No, you're right.
[01:35:09.842 --> 01:35:11.503]  You've got to do everything you can do.
[01:35:11.563 --> 01:35:17.727]  Those of you in the military that are given an unlawful and unconstitutional order, at the time it's given, that's the point you have to deal with it.
[01:35:18.127 --> 01:35:26.172]  And I'll let the imaginations of those... Getting back to something you said, why Special Forces, Delta, all the guys that have specialized training, because they can teach others.
[01:35:26.592 --> 01:35:30.634]  And this is the thing, Alex, too many coincidences.
[01:35:30.694 --> 01:35:37.278]  Right now, the Criminal Investigation Division of the military is investigating a couple Army deaths at one of the Army hospitals.
[01:35:37.298 --> 01:35:42.080]  Well, they're constantly killing the Delta Force people when they come back.
[01:35:42.500 --> 01:35:46.702]  And I saw a report, suicides are at like 10 times, I think it was even higher.
[01:35:46.722 --> 01:35:48.923]  I just Googled record military suicides.
[01:35:48.963 --> 01:35:51.465]  It was just astronomical, off the charts.
[01:35:51.825 --> 01:35:54.546]  Most of these aren't suicides, they're killing people.
[01:35:55.106 --> 01:35:59.889]  Absolutely, and isn't there a big story by Seymour Hersh about a former high-level U.S.
[01:35:59.969 --> 01:36:02.550]  Vice President that was heading up the hit squads?
[01:36:03.661 --> 01:36:04.281]  Absolutely.
[01:36:04.801 --> 01:36:07.262]  And so ladies and gentlemen, here's the thing.
[01:36:07.742 --> 01:36:08.822]  Here's the thing you've got to do.
[01:36:08.842 --> 01:36:10.623]  You've got to turn off the bloody TV.
[01:36:11.163 --> 01:36:12.603]  I call it the zombie machine.
[01:36:12.943 --> 01:36:18.865]  That zombie machine is a mind-controlling, neuro-linguistic programming device.
[01:36:18.905 --> 01:36:19.865]  That's why they're even bigger.
[01:36:19.925 --> 01:36:27.747]  Alex, you walk into Costco, you know, 100 TVs, basically, you know, 40, 50 inches, whatever big they are, right there, beaming out, streaming out.
[01:36:27.767 --> 01:36:28.507]  But what I don't think
[01:36:28.507 --> 01:36:44.242]  Hey, I took RTF 15 plus years ago and they openly admitted there was subliminals in billboards, radio, TV, all the big productions, and then they admit the flicker rate, the way they put all the different screens on there, they'll have like 10 screens behind them, where you're
[01:36:44.542 --> 01:36:47.364]  Conscious mind can't pick it all up, but your subconscious mind kicks in.
[01:36:47.664 --> 01:36:49.606]  Then the info beams right in.
[01:36:49.626 --> 01:36:53.809]  I mean, they've got multi-layers of propaganda and programming.
[01:36:53.849 --> 01:37:01.315]  And I catch myself watching Obama listing when he does that perfect cadence, when he goes, uh, uh, and I can't even do it like he does it.
[01:37:01.595 --> 01:37:06.659]  And then I read top neuro-linguistic programmers that are, you know, mainstream scientists working for governments.
[01:37:06.919 --> 01:37:08.220]  They say he's a master at it.
[01:37:08.440 --> 01:37:11.483]  He's up there literally hypnotizing people.
[01:37:12.769 --> 01:37:18.134]  And this is something, again, before people boo-boo or say, oh, you're both crazy, here's the thing.
[01:37:18.754 --> 01:37:29.243]  You know, the people that were fat and sassy with a heavy retirement and, you know, half a million dollar house in Austin and no worries, now they're out on the streets, not only in Austin, but all the major cities in the United States.
[01:37:29.423 --> 01:37:30.924]  Ask yourself this, ladies and gentlemen.
[01:37:31.884 --> 01:37:42.069]  How is it that everybody who saw it coming, and those of us who were warning about it way before even Peter Schiff and Gerald came on the scene, we've been warning about it, but we were all as marginalized.
[01:37:42.589 --> 01:37:45.250]  Now the bottom line is the Illuminati's out in such plain sight.
[01:37:45.270 --> 01:37:46.911]  You know, Alex, you've heard the same thing I've heard.
[01:37:47.211 --> 01:37:48.792]  There's nothing you can do to stop us.
[01:37:48.932 --> 01:37:49.732]  That's their threat.
[01:37:50.353 --> 01:37:51.973]  You know, we don't care what you tell.
[01:37:52.094 --> 01:37:52.814]  It's too late.
[01:37:53.334 --> 01:37:58.418]  Well, I remain tainted as long as somebody's got breath and the will and the desire to take their oath seriously.
[01:37:58.438 --> 01:38:02.961]  You know, even God says, don't take an oath haphazardly.
[01:38:03.021 --> 01:38:05.162]  Let your yays be yays and your nays be nays.
[01:38:05.202 --> 01:38:07.904]  For any more than that proceeds out of that, that's sin.
[01:38:08.044 --> 01:38:08.925]  It's simply stated.
[01:38:09.665 --> 01:38:12.527]  You're saying an oath is something that someone binds themselves to.
[01:38:12.947 --> 01:38:21.513]  And so the new oaths that are being bounced out there, you know this, is that under the new administration, oaths will not be taken to the Constitution or pledged to the Constitution.
[01:38:21.533 --> 01:38:22.514]  I want to make a statement.
[01:38:23.052 --> 01:38:42.189]  When the very images of historic Christianity are covered up at the College of Georgetown by request of the White House, and a pyramid is placed over that image on a black banner, and the President of the United States is basically the head in the middle of the pyramid, let me share with us what that means.
[01:38:42.449 --> 01:38:43.630]  Let me stop you, let me stop you.
[01:38:43.650 --> 01:38:44.711]  Here comes the New World Order.
[01:38:45.492 --> 01:38:47.954]  Yeah, start over, because I want to put that on screen.
[01:38:48.535 --> 01:39:00.027]  Guys, because we're at PrisonPlanet.TV, Google Georgetown University, White House request, Christian images taken down, Georgetown University, or White House request, removal of Christian.
[01:39:00.527 --> 01:39:02.609]  And then put it up and show folks the Black Pyramid.
[01:39:02.669 --> 01:39:03.150]  Exactly.
[01:39:03.510 --> 01:39:05.732]  They didn't just remove the cross.
[01:39:06.092 --> 01:39:07.754]  They brought in the Black Pyramid.
[01:39:08.074 --> 01:39:09.656]  Explain to people what that means.
[01:39:09.676 --> 01:39:11.738]  Hierarchical mass death.
[01:39:12.078 --> 01:39:16.662]  Here is our man on the black horse, the man on the white horse.
[01:39:17.363 --> 01:39:18.264]  It's bringing you death.
[01:39:18.444 --> 01:39:19.165]  Start over, Steve.
[01:39:19.745 --> 01:39:22.428]  Well, again, the idea was that prior to
[01:39:23.498 --> 01:39:32.082]  The President speaking at Georgetown, the request was made by the White House and by the staffers that all Christian imagery be covered up.
[01:39:32.542 --> 01:39:39.605]  Not only that, but especially the IHS, the very presentation of Jesus behind the place that Obama would be speaking.
[01:39:40.065 --> 01:39:46.207]  Now, to put a black pyramid up there, the pyramid is the ultimate, go to your dollar bill, ladies and gentlemen, the New World Order.
[01:39:46.588 --> 01:39:52.470]  Basically, Alex, what that meant, and I'm telling you, the Luciferian symbology is the old
[01:39:53.050 --> 01:39:55.192]  Epic, or the old days are over.
[01:39:55.873 --> 01:40:00.316]  On to the stage, stage right, comes the new deliverer, okay?
[01:40:00.837 --> 01:40:03.339]  It's not enough to just put that imagery up there.
[01:40:03.719 --> 01:40:08.984]  The ramification is that Obama is typing, or being typed, with the all-seeing eye on the pyramid.
[01:40:09.484 --> 01:40:11.786]  The eye of Horus, H-O-R-U-S.
[01:40:12.346 --> 01:40:16.050]  And not only that, that's probably the most in-your-face slap-against-heaven.
[01:40:16.838 --> 01:40:29.502]  I'm not privy to the conversations going on in heaven right now, and I'm not being a wise guy when I'm saying this, but of all the insults that I think could ever be levied against the Lord Jesus Christ, that has to be one of the most dramatic.
[01:40:29.542 --> 01:40:31.043]  Now let me share this to the people.
[01:40:31.861 --> 01:40:33.382]  A man who is superstitious.
[01:40:33.462 --> 01:40:35.522]  Obama carries talismans in his pocket.
[01:40:35.562 --> 01:40:38.643]  He paid papers out of them to the reporters.
[01:40:38.663 --> 01:40:39.003]  Remember that?
[01:40:39.043 --> 01:40:40.664]  He had a little monkey god named Hanuman?
[01:40:41.024 --> 01:40:42.885]  He carries the same talismans.
[01:40:43.205 --> 01:40:46.406]  Remember the big sports team owner in Memphis?
[01:40:46.806 --> 01:40:50.767]  And those rumors there were little talismans up in a pyramid, up in the top of the pyramid?
[01:40:51.748 --> 01:40:52.728]  We have the news articles.
[01:40:53.268 --> 01:40:56.532]  When they opened it up, it's the same talismans that Obama carries.
[01:40:56.572 --> 01:40:57.974]  They put it in Time and Newsweek.
[01:40:58.334 --> 01:41:00.096]  These are high satanic talismans.
[01:41:00.356 --> 01:41:03.400]  So exactly, it isn't just, oh, get that Jesus out from behind me.
[01:41:03.460 --> 01:41:05.282]  He believed that would lessen his power.
[01:41:05.322 --> 01:41:05.743]  Go ahead.
[01:41:06.223 --> 01:41:07.505]  Yeah, and now you nailed it.
[01:41:07.565 --> 01:41:08.546]  It's power, Alex.
[01:41:09.147 --> 01:41:10.528]  Power is the quintessence.
[01:41:10.548 --> 01:41:19.533]  Look, I've known millionaires, I've known billionaires, I've talked to people that I don't know any of the trillionaires, but I know the people that work for the trillionaires, and there are trillionaires.
[01:41:19.934 --> 01:41:24.917]  The thing is, is that when you take a talisman, you are invoking the power of that.
[01:41:25.457 --> 01:41:28.659]  And the invocation of the power, you know the last person to do that in history?
[01:41:29.119 --> 01:41:30.020]  On a major level?
[01:41:30.280 --> 01:41:30.740]  Hitler.
[01:41:31.021 --> 01:41:31.401]  Yeah, Hitler.
[01:41:31.501 --> 01:41:32.782]  And he did it in Berlin.
[01:41:33.002 --> 01:41:36.344]  And ladies and gentlemen, if you want to read a great book, read The Third Reich and The Occult.
[01:41:36.972 --> 01:41:39.495]  Because, again, what I'm saying, Alex, is this.
[01:41:40.236 --> 01:41:45.501]  Even in the Bible, when evil spirits are cast out, they go and seek someone else to possess, okay?
[01:41:46.122 --> 01:41:49.625]  I wonder, personally, where that spirit that left Hitler was.
[01:41:50.086 --> 01:41:53.269]  When I saw who was speaking in Berlin, I didn't have to wonder anymore.
[01:41:53.329 --> 01:41:56.673]  Well, you know, he literally went to Hitler's favorite speaking spot.
[01:41:57.153 --> 01:41:57.693]  You got it!
[01:41:58.294 --> 01:42:06.279]  And behind him was a seat of, what was it, it was called the, oh goodnight, the seat of Satan that Jesus spoke about in the book of Revelation.
[01:42:06.699 --> 01:42:11.222]  And the actual, I don't know if you know this, but it resided in Pergamos, which is in Turkey.
[01:42:11.522 --> 01:42:17.166]  It was brought to the Berlin Museum, and a copy of it was literally behind him as he spoke to Berlin.
[01:42:17.506 --> 01:42:18.327]  No, I did know that.
[01:42:19.233 --> 01:42:30.561]  Well, and see, this is the thing, Alex, it's amazing how many years you've been talking about the Bohemian Grove, the Bohemian Grove, the occult nature of the Illuminati, and to have such a luministic symbols right thrown in your face.
[01:42:30.982 --> 01:42:38.367]  I gotta tell you, brother, I don't know if there are any, seriously, I don't know, the thing that makes me curious is the ministers in this country.
[01:42:38.667 --> 01:42:39.908]  That should be speaking the truth.
[01:42:39.928 --> 01:42:47.975]  They're now being castigated, castrated, and silenced by the... Well, I mean, I mean, you know, we've got a lot of atheists and agnostics listening, even if they don't believe in God.
[01:42:47.995 --> 01:42:54.701]  Our point is, as a scientific, historical fact, the elites do, and they believe in Satan and destruction and blood.
[01:42:55.342 --> 01:42:56.243]  I mean, it's a fact.
[01:42:57.003 --> 01:42:57.444]  Look out!
[01:42:59.958 --> 01:43:00.818]  Spring is here.
[01:43:01.078 --> 01:43:01.858]  Growing season.
[01:43:02.038 --> 01:43:04.019]  The economy is not getting any better.
[01:43:04.219 --> 01:43:05.639]  In fact, it's getting worse.
[01:43:05.939 --> 01:43:06.599]  Think about it.
[01:43:06.919 --> 01:43:10.760]  At this rate, how will your life be in a month or even a year?
[01:43:11.000 --> 01:43:14.501]  Maybe you've been putting things off, but the time to act is now.
[01:43:14.761 --> 01:43:16.381]  The country is running out of food.
[01:43:16.641 --> 01:43:19.222]  You need to get your seeds before it's too late.
[01:43:19.482 --> 01:43:29.664]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you
[01:43:29.944 --> 01:43:30.164]  I think so.
[01:43:59.904 --> 01:44:05.210]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:44:05.710 --> 01:44:12.698]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[01:44:13.286 --> 01:44:19.468]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:44:19.868 --> 01:44:21.709]  Well, Obama's already fudging.
[01:44:21.849 --> 01:44:24.270]  He's fudged since day one in this election.
[01:44:24.350 --> 01:44:35.294]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:44:35.914 --> 01:44:37.214]  It's not about left or right.
[01:44:37.594 --> 01:44:38.955]  It's about a one-world government.
[01:44:39.446 --> 01:44:45.791]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:44:46.351 --> 01:44:54.136]  Get your copy of The Obama Deception today at Infowars.com or download it in super high quality at PrisonPlanet.tv.
[01:44:54.617 --> 01:44:55.778]  The Obama Deception.
[01:44:56.198 --> 01:44:57.459]  The people strike back.
[01:44:59.340 --> 01:45:01.922]  Companies continue to lay off thousands of people.
[01:45:02.552 --> 01:45:05.514]  Unemployment is the highest it's been in over 30 years.
[01:45:05.874 --> 01:45:09.296]  Statistics prove that in a recession, crime rates go up.
[01:45:09.656 --> 01:45:15.840]  Everyone needs something for that extra edge to prevent becoming a victim in these difficult and trying times.
[01:45:16.240 --> 01:45:21.283]  You need to prepare yourself with DPS pepper spray, available at MrDefense.com.
[01:45:21.463 --> 01:45:28.167]  DPS is the strongest pepper spray in the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[01:45:28.524 --> 01:45:29.345]  Need something more?
