[00:00:00.049 --> 00:00:01.361]  Moron for your mind.
[00:55:05.800 --> 00:55:06.901]  Oh, we've got to take you in.
[00:55:06.941 --> 00:55:07.881]  Your name's suspicious.
[00:55:07.901 --> 00:55:08.542]  You're on a list.
[00:55:08.962 --> 00:55:10.262]  It's not just going to be in the airports.
[00:55:10.302 --> 00:55:16.606]  The Pentagon admits it's going to be on the streets, where the troops or the paramilitary police pull you over, and they just grab whoever they want who's on the list.
[00:55:16.626 --> 00:55:17.566]  And it's, well, you're on the list.
[00:55:17.606 --> 00:55:18.447]  This shouldn't be a problem.
[00:55:18.727 --> 00:55:20.448]  And you're used to being on the list so many times.
[00:55:20.468 --> 00:55:23.049]  When they finally take you, you don't fight back.
[00:55:23.109 --> 00:55:25.610]  This is very sadistic, what they're doing.
[00:55:25.630 --> 00:55:28.712]  And I have heard reports they're doing it, well, they call it trusted traveler.
[00:55:28.732 --> 00:55:30.433]  Well, just sign up with us.
[00:55:31.013 --> 00:55:33.075]  And agree to go through more screening and then you'll be alright.
[00:55:33.095 --> 00:55:33.635]  Is that what he said?
[00:55:33.655 --> 00:55:34.696]  Well, that's it.
[00:55:34.716 --> 00:55:37.018]  But it's like they're rewarding terrorists now.
[00:55:38.199 --> 00:55:39.240]  But it's not terrorism.
[00:55:39.300 --> 00:55:40.842]  It's a blacklist.
[00:55:41.202 --> 00:55:43.724]  If somebody was really a suspected terrorist, they should be arrested.
[00:55:44.485 --> 00:55:45.426]  It's total crap.
[00:55:45.486 --> 00:55:46.347]  They're the terrorists.
[00:55:46.367 --> 00:55:47.387]  They carried out the attack.
[00:55:49.209 --> 00:55:49.990]  What else did he say?
[00:55:50.050 --> 00:55:50.690]  What else did he say?
[00:55:51.111 --> 00:55:52.352]  Well, basically that was it.
[00:55:52.472 --> 00:55:55.755]  Him and his wife were harassed to the point where his wife was almost in tears.
[00:55:56.611 --> 00:56:03.594]  And they were in such disbelief that, you know, by subscribing to whatever options they were giving him, that they'd remove his name from the list.
[00:56:03.634 --> 00:56:09.496]  They basically had to cancel their tickets and go and sit and wait five or six hours for another airline to get their trip.
[00:56:10.057 --> 00:56:14.478]  So, just complete manhandling of an individual for no real reason.
[00:56:14.538 --> 00:56:15.599]  No, but that's what it's about!
[00:56:15.719 --> 00:56:19.601]  Going through the checkpoints, being searched, your children being searched at school.
[00:56:19.661 --> 00:56:23.382]  It's about training you to have learned helplessness.
[00:56:24.262 --> 00:56:25.263]  It's an absolute joke.
[00:56:26.795 --> 00:56:27.596]  It's real, man.
[00:56:27.636 --> 00:56:29.097]  These people are building death camps.
[00:56:31.178 --> 00:56:35.061]  How many people does Canadian airports beat to death?
[00:56:35.602 --> 00:56:36.603]  Anything else you want to add, sir?
[00:56:37.203 --> 00:56:37.783]  No, that's it.
[00:56:37.804 --> 00:56:38.684]  I love the show, bro.
[00:56:38.724 --> 00:56:39.225]  Keep it going.
[00:56:39.645 --> 00:56:40.005]  Thank you.
[00:56:40.225 --> 00:56:46.830]  Yeah, for folks that think we're making stuff up, stuff so crazy, I can't even explain how bad it is and how out of control.
[00:56:46.850 --> 00:56:47.251]  Stay with us.
[00:56:53.877 --> 00:57:00.260]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:57:00.660 --> 00:57:02.621]  The enemy struck America on September 11th.
[00:57:03.302 --> 00:57:04.322]  But who is the enemy?
[00:57:04.843 --> 00:57:05.363]  Bin Laden.
[00:57:05.643 --> 00:57:06.563]  This is his ammo.
[00:57:06.583 --> 00:57:07.924]  We have to look to the Middle East.
[00:57:07.984 --> 00:57:09.625]  We have to look to Osama Bin Laden.
[00:57:10.025 --> 00:57:16.749]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:57:17.149 --> 00:57:17.589]  Some U.S.
[00:57:17.629 --> 00:57:23.252]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:57:23.972 --> 00:57:27.453]  I'm aware that some Israeli citizens have been detained.
[00:57:27.473 --> 00:57:29.614]  Either you are with us, or you are with the terrorists.
[00:57:53.632 --> 00:57:59.358]  People around the world are testifying that their cataracts are quickly disappearing like magic thanks to Can-C.
[00:57:59.498 --> 00:58:09.348]  The original Can-C eyedrop used in clinical trials maintains that only the original unadulterated formula is effective in reducing, reversing and slowing the occurrence of senile cataract.
[00:58:09.468 --> 00:58:13.833]  CanSee can also assist in lowering the intraocular pressure associated with glaucoma.
[00:58:13.953 --> 00:58:20.920]  CanSee is beneficial for contact lens disorders, to treat corneal disorders, combat eye strain, kidneys, computer vision syndrome, and more.
[00:58:21.060 --> 00:58:26.866]  People enjoying the benefits while using CanSee report no side effects and the drops are gentle and don't cause eye burning.
[00:58:26.926 --> 00:58:34.828]  With regular use, people using CAN-C drops report a difference in their vision in as little as 30 days, and some have their cataracts completely disappear within months.
[00:58:35.068 --> 00:58:52.894]  CAN-C, that's CAN dash letter C, is available now by calling 888-212-8871, that's 888-212-8871, or order online at Nutrimedical.com, that's N-U-T-R-I-Medical.com, your source for the most powerful nutraceuticals and wellness protocols from a doctor you can trust.
[00:58:53.843 --> 00:58:57.224]  More than 700 chemicals have been found in our drinking water.
[00:58:57.364 --> 00:59:02.586]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:59:02.766 --> 00:59:07.548]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:59:07.928 --> 00:59:19.052]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:59:19.452 --> 00:59:24.997]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[00:59:25.217 --> 00:59:31.283]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:59:31.483 --> 00:59:32.144]  What about you?
[00:59:32.524 --> 00:59:38.570]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99 with free shipping.
[00:59:38.970 --> 00:59:41.092]  Call the Berkey guy and order now by calling 1-877-886-3653.
[00:59:44.435 --> 00:59:44.936]  That's 1-877-886-3653.
[00:59:48.239 --> 00:59:51.763]  Or simply click on the banner at GCNlive.com to order online now.
[00:59:54.846 --> 00:59:56.948]  Ease the T-Rex of political talk.
[00:59:56.988 --> 01:00:00.312]  Alex Jones on the GCN Radio Network.
[01:00:03.684 --> 01:00:10.347]  Alright, John, Bradley, Leo, John, Jim and others, your calls are coming up when we come in at the 24 after break.
[01:00:10.387 --> 01:00:13.908]  We're going right through your calls and at the end of the show, I'm going to play this audio.
[01:00:14.348 --> 01:00:23.772]  There's a whole bunch of these, but they are coming after the First Amendment, because that's Al Qaeda too, with the Fairness Doctrine for the web, talk radio, you name it.
[01:00:24.332 --> 01:00:27.113]  They mean business, it's all part of the Violent Radicalization Act.
[01:00:27.973 --> 01:00:30.115]  And a lot more, so you'll hear from a U.S.
[01:00:30.135 --> 01:00:48.628]  Senator coming up, but I've only had him on once, about three or four months ago, and I wanted to get him back on because we've got a lot of questions from listeners out there about how does a box the size of a water cooler without the water bottle on top produce seven and a half gallons of water a day in normal humidity?
[01:00:50.071 --> 01:00:51.212]  It produces water in the desert.
[01:00:52.232 --> 01:00:52.992]  How does that work?
[01:00:53.032 --> 01:01:04.578]  So we have the founder of A Cola Blue, the designer, and he is also, of course, the individual who we have on air with us.
[01:01:04.818 --> 01:01:07.019]  So he's perfect to be able to discuss all these things.
[01:01:07.579 --> 01:01:09.020]  And he's Tyler Palmer.
[01:01:09.360 --> 01:01:11.221]  Tyler, I appreciate you coming on with us.
[01:01:11.901 --> 01:01:15.122]  Well, thank you, Alex, and I appreciate being able to come on again.
[01:01:15.263 --> 01:01:17.624]  It was a pleasure talking to you the last time.
[01:01:19.745 --> 01:01:25.150]  Again, it's wonderful to be able to explain the technology to all the people listening.
[01:01:26.147 --> 01:01:32.630]  Okay, break down how an atmospheric water generator works, and then it also has filters in it after it grabs the water out of the air.
[01:01:32.650 --> 01:01:43.334]  I know the media has said that carbon dioxide that makes up most of water and water vapors is toxic waste, but I mean, you know, the clouds are the water, and there is water in the air.
[01:01:44.155 --> 01:01:45.175]  It's not with al-Qaeda.
[01:01:45.555 --> 01:01:53.178]  I know they want to put a tax on it, but explain to us how you grab this al-Qaeda out of the atmosphere so people can drink it.
[01:01:55.297 --> 01:02:08.429]  If anyone's ever sat and enjoyed a cold drink on a hot day, they've probably noticed that maybe their wives or girlfriends will say to you, use a coaster, you know, put the coaster below the drink.
[01:02:08.949 --> 01:02:11.211]  You mean enjoying a cold glass of al-Qaeda?
[01:02:11.772 --> 01:02:20.599]  Right, a cold glass of al-Qaeda, because on the exterior of the glass, there's moisture that's condensing, and that moisture
[01:02:21.986 --> 01:02:25.409]  Is the ambient moisture that's in all air.
[01:02:25.429 --> 01:02:33.736]  It doesn't matter if it's the desert or if it's in the polar, in the northern polar regions, there's moisture in the air.
[01:02:34.537 --> 01:02:50.030]  And our machine condenses that water vapor and filters that condensate and makes it potable drinking water that you can have at your home and control.
[01:02:50.965 --> 01:02:57.629]  Uh, so that, uh, you know, here in California, where I am, we now have mandatory rationing.
[01:02:58.230 --> 01:02:59.250]  And toilet to tap.
[01:02:59.310 --> 01:03:08.316]  Most of your big facilities, they take the sewage and then supposedly clean it up with all sorts of nice chemicals that are worse than drinking the poop, and then feed it back to you.
[01:03:08.356 --> 01:03:10.237]  But again, that's good water.
[01:03:10.317 --> 01:03:11.898]  Water out of the air is al-Qaeda water.
[01:03:12.358 --> 01:03:17.303]  And we know that they are trying to restrict and ban and tax people with their own wells now.
[01:03:18.043 --> 01:03:22.707]  I guess you could hide one of these Acola Blues and land in the free home of the brave in your house, even if they outlawed it.
[01:03:23.228 --> 01:03:24.789]  Get a little bit of the water out of the air.
[01:03:24.809 --> 01:03:25.770]  I mean, maybe.
[01:03:26.911 --> 01:03:38.241]  No, we have plenty of people in apartments and in rural areas who use the machines and they get all their drinking water needs met by
[01:03:39.195 --> 01:03:43.158]  This one little device that's about the size of a water cooler, like you said.
[01:03:43.578 --> 01:03:47.161]  And if you plug it into a solar panel, you've got it right, I mean, you can be off the grid.
[01:03:47.741 --> 01:03:57.749]  Right, you can be off the grid in all ways, you know, in terms of electricity, if you have solar, and then now with water, you can be off the grid.
[01:03:57.829 --> 01:04:01.952]  So, you can be your own independent Al-Qaeda production unit.
[01:04:02.492 --> 01:04:03.053]  Yeah, I know.
[01:04:03.093 --> 01:04:04.494]  This is kind of terroristic.
[01:04:04.814 --> 01:04:09.278]  Having a garden, having a water purification on the air, having your own power.
[01:04:09.338 --> 01:04:12.421]  That could be... You could do some crimes with power.
[01:04:12.841 --> 01:04:14.042]  You could electrocute somebody.
[01:04:15.523 --> 01:04:17.545]  Just like they want to register guns for everybody's safety.
[01:04:17.565 --> 01:04:18.986]  Because, you know, guns are what are evil.
[01:04:19.006 --> 01:04:19.907]  Well, electricity is evil.
[01:04:20.187 --> 01:04:24.111]  You could put wires in the wall and run outside with wires and shock somebody.
[01:04:24.131 --> 01:04:25.392]  So we've got to ban electricity.
[01:04:25.672 --> 01:04:26.473]  Right.
[01:04:26.613 --> 01:04:31.837]  Well, water will soon be evil, too, if it's not delivered by the municipality.
[01:04:32.217 --> 01:04:33.578]  What do you mean, soon?
[01:04:33.618 --> 01:04:38.202]  I mean, to be serious, there's ads everywhere demonizing bottled water, saying, drink your tap, it's healthy.
[01:04:38.422 --> 01:04:43.406]  There's ads telling us the mercury-filled, literally mercury-filled, high fructose corn syrup is wonderful.
[01:04:43.766 --> 01:04:46.848]  There's ads telling us, I mean, so yeah, no, no, we need to get off the grid.
[01:04:47.549 --> 01:04:51.572]  Yeah, and our technology and our company
[01:04:52.091 --> 01:04:56.612]  Really wants to help people to be off the grid and be self-sufficient.
[01:04:57.032 --> 01:05:11.955]  And we see this, like, in addition to having your own garden, your own firearms, and your own energy source, your own water now.
[01:05:12.555 --> 01:05:15.356]  It completes the cycle.
[01:05:15.416 --> 01:05:18.177]  Of course, storable food is important.
[01:05:19.990 --> 01:05:20.271]  Right.
[01:05:21.398 --> 01:05:22.183]  If you have water...
[01:05:23.729 --> 01:05:27.672]  You know, you can go on for an indefinite period.
[01:05:27.852 --> 01:05:28.732]  We can't have that.
[01:05:28.752 --> 01:05:31.314]  I mean, you could commit a crime if you have enough water to drink.
[01:05:31.834 --> 01:05:32.114]  Right.
[01:05:32.435 --> 01:05:34.196]  You've got to only have the government give it to you.
[01:05:34.276 --> 01:05:36.477]  If you've been good, you'll be in a little pit cage.
[01:05:36.877 --> 01:05:38.498]  And if you've been good like a monkey, they'll feed you.
[01:05:38.538 --> 01:05:39.579]  I mean, let's get serious, though.
[01:05:39.979 --> 01:05:43.041]  It is important to get off the grid, but more importantly, this produces a lot of water.
[01:05:43.461 --> 01:05:44.782]  Even in the desert, a lot of water.
[01:05:44.802 --> 01:05:47.344]  You have bigger units for people that have larger needs.
[01:05:47.404 --> 01:05:48.424]  Very affordable.
[01:05:48.945 --> 01:05:52.467]  And the great part is, it goes through all these other filtration systems inside.
[01:05:53.129 --> 01:05:53.429]  Right.
[01:05:53.789 --> 01:05:57.511]  We have several different filtration systems.
[01:05:58.792 --> 01:06:04.855]  Chief amongst them is the activated carbon that is impregnated with silver.
[01:06:05.976 --> 01:06:11.879]  And as many people know, silver is a natural antimicrobial... Wait a minute!
[01:06:11.919 --> 01:06:12.479]  Impregnated?
[01:06:12.499 --> 01:06:13.840]  There's too many people on the planet!
[01:06:14.840 --> 01:06:16.221]  That's another climate crime!
[01:06:16.892 --> 01:06:18.773]  Well, it's a chemical term.
[01:06:19.474 --> 01:06:23.577]  No, I understand, but it's a joke.
[01:06:23.757 --> 01:06:44.773]  So we have the activated carbon filters, and then we also have UV lights in the system, 245 nanometer UV lights, which are, in a sense, it completely, if there's any bacteria in there, let's say it's RNA is
[01:06:45.816 --> 01:06:53.059]  Stopped from reproducing and it just wipes out all the bacteria that could be in the water.
[01:06:53.279 --> 01:06:53.739]  I don't know.
[01:06:54.119 --> 01:07:02.963]  I think I'm going to drink big healthy glasses of municipal tap water full of mercury, lead, arsenic, chlorine, sodium, fluoride, and then all the dead bacteria just kills us.
[01:07:03.023 --> 01:07:05.224]  Let me ask you a question.
[01:07:05.244 --> 01:07:07.885]  Why are you an extremist?
[01:07:07.925 --> 01:07:09.806]  Toilets are tapped in many major cities.
[01:07:09.866 --> 01:07:12.827]  Drinking sewage water that's been burned with chemicals.
[01:07:13.487 --> 01:07:15.148]  That sounds delicious.
[01:07:15.268 --> 01:07:19.411]  Sir, do you have some kind of authority problem?
[01:07:19.431 --> 01:07:28.297]  They've got mental illness designations now for people that think they need to be self-sufficient and people that don't trust the government or don't trust toilet water?
[01:07:28.897 --> 01:07:29.538]  Sewage?
[01:07:29.658 --> 01:07:31.039]  You don't want reclaimed sewage?
[01:07:31.819 --> 01:07:33.381]  Well, yeah.
[01:07:33.981 --> 01:07:38.424]  I may be anti-establishment and have trouble with authority, but
[01:07:38.928 --> 01:07:40.910]  I just don't like the taste of sewage.
[01:07:41.090 --> 01:07:44.614]  I mean, call me crazy, but... Well, you know what?
[01:07:44.654 --> 01:07:45.856]  I'm going to keep drinking sewage water.
[01:07:45.876 --> 01:07:49.059]  I don't think people should call and get a... No, getting serious.
[01:07:49.099 --> 01:07:50.140]  This is awesome, folks.
[01:07:50.160 --> 01:07:50.781]  This is awesome.
[01:07:50.821 --> 01:07:51.762]  I've got one at my house.
[01:07:52.523 --> 01:07:53.424]  My friends have been getting it.
[01:07:53.444 --> 01:07:54.845]  We've got one at the office here.
[01:07:55.786 --> 01:07:57.207]  You need to get into Cola Blue.
[01:07:57.527 --> 01:07:59.169]  You won't believe how great these units are.
[01:07:59.189 --> 01:08:00.630]  You've got them in a bunch of different colors.
[01:08:01.270 --> 01:08:05.333]  I've got a black one here at the office, a black one at home, and we've got another green one.
[01:08:07.555 --> 01:08:08.456]  Let's give people a website.
[01:08:08.476 --> 01:08:12.379]  It's acolablue.com.
[01:08:12.399 --> 01:08:13.279]  What about a phone number?
[01:08:13.800 --> 01:08:17.362]  The phone number is 800-691-6043, and we have a new call center.
[01:08:23.295 --> 01:08:35.549]  There's some folks there, Charmaine, Jim, Tim, Travis, and Roy, who will take your phone call, and then after hours we have our other number, the 866-585-4044 number.
[01:08:39.560 --> 01:08:46.006]  But if you want to speak to us in the office, that 800-691-6043 number is the way to do it.
[01:08:46.086 --> 01:08:49.089]  And you've got brochures and material.
[01:08:49.129 --> 01:08:52.432]  You've got a bunch of other products, too, on the Ecolablue website.
[01:08:52.552 --> 01:08:54.474]  E-C-O-L-O-B-L-U-E dot com.
[01:08:54.954 --> 01:08:57.436]  And all silliness aside, this is a great unit.
[01:08:58.497 --> 01:09:01.861]  There's some other stuff out there, but this is the best one we've found, especially for the price.
[01:09:02.341 --> 01:09:03.142]  Gorgeous unit.
[01:09:03.662 --> 01:09:09.165]  And it's high-tech, I mean, everything's controlled there, and you've got hot water that comes out of it, too.
[01:09:09.426 --> 01:09:10.947]  Tell folks about the control panel.
[01:09:11.527 --> 01:09:26.856]  Right, it really is state-of-the-art, and it comes in, to follow up on the colors, we have gray, black, well, silver, black, red, green, and white, and a blue one.
[01:09:27.537 --> 01:09:32.980]  And the LCD screen, it has a little computer on it,
[01:09:33.439 --> 01:09:37.501]  And it monitors the temperature of the hot and cold water tank.
[01:09:37.521 --> 01:09:39.282]  There are two separate tanks on there.
[01:09:39.922 --> 01:09:45.865]  The hot water tank will heat the water up to 199 degrees Fahrenheit.
[01:09:46.605 --> 01:09:50.447]  And it'll heat it as little as 160 degrees Fahrenheit.
[01:09:50.948 --> 01:09:55.790]  And then the cold water side will chill it to 39 degrees Fahrenheit.
[01:09:56.288 --> 01:09:56.609]  I think so.
[01:10:09.625 --> 01:10:13.228]  To have hot water when you need it and cold water.
[01:10:13.809 --> 01:10:19.934]  All other water, even if we put it through a filter, which is still good, comes downstream through all the cities and towns, the runoff.
[01:10:20.294 --> 01:10:23.958]  When you're getting it out of the air, it's about as clean as it gets and then it goes through filters.
[01:10:24.258 --> 01:10:26.000]  You cannot beat this water.
[01:10:26.020 --> 01:10:26.060]  800-691-6043.
[01:10:26.080 --> 01:10:26.120]  800-691-6043.
[01:10:31.264 --> 01:10:31.784]  That's correct.
[01:10:31.824 --> 01:10:37.946]  And also, I'd like to tell your listeners, and this is just for Alex Jones listeners, we're going to offer any color machine
[01:10:55.288 --> 01:11:01.992]  Of the Ecolo Blue Model 28 for $1,250 with free shipping.
[01:11:02.612 --> 01:11:05.914]  And that's all the way up until Valentine's Day.
[01:11:05.994 --> 01:11:07.135]  So what is that?
[01:11:07.155 --> 01:11:09.716]  $300 off the price and then free shipping is like a $100 value?
[01:11:10.297 --> 01:11:11.057]  Yeah.
[01:11:11.097 --> 01:11:12.038]  That's $400 off then?
[01:11:13.779 --> 01:11:14.599]  Essentially, yeah.
[01:11:15.019 --> 01:11:18.921]  That's what it sounds like to me.
[01:11:18.941 --> 01:11:18.921]  $800, $691, $60, $43.
[01:11:19.522 --> 01:11:21.843]  And what about Alex Jones listeners going to Colorblue.com?
[01:11:21.883 --> 01:11:23.264]  Do they just tell them that when they go there?
[01:11:23.746 --> 01:11:27.507]  Right, just mention the show and you'll get the discount.
[01:11:29.087 --> 01:11:32.909]  Alright, well, sir, it has been super having you on, Mr. Palmer.
[01:11:33.109 --> 01:11:39.490]  Tyler Palmer has been our guest at Coloblue.com, Big Fat Banners up on Infowars.com and PrisonPlanet.com.
[01:11:39.810 --> 01:11:42.931]  I want to sincerely thank you for your great sponsorship and your great product.
[01:11:42.951 --> 01:11:45.092]  We'll have you back on to specifically get into all the technicals.
[01:11:45.392 --> 01:11:47.933]  We were just covering how evil it is to get clean water today.
[01:11:48.533 --> 01:11:50.453]  And I think folks, we really should give you a call.
[01:11:50.513 --> 01:11:50.893]  Take care.
[01:11:51.494 --> 01:11:52.194]  Thank you, Alex.
[01:11:52.274 --> 01:11:52.934]  You have a good day.
[01:11:53.942 --> 01:11:57.545]  When making important financial decisions, you should always know the facts.
[01:11:57.865 --> 01:12:01.428]  That's why Midas Resources is willing to pay you to read the facts.
[01:12:01.688 --> 01:12:10.476]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[01:12:10.856 --> 01:12:14.817]  Midas Resources offers a host of services and stands behind their products.
[01:12:15.097 --> 01:12:19.379]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[01:12:19.959 --> 01:12:25.381]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[01:12:25.601 --> 01:12:30.882]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[01:12:31.183 --> 01:12:32.243]  So, what are you waiting for?
[01:12:32.583 --> 01:12:35.544]  On September 11th, 2001, along with hundreds of my fellow troops, I went to Ground Zero.
[01:12:35.744 --> 01:12:36.904]  And we knew what to do.
[01:13:02.090 --> 01:13:03.111]  Or at least we thought we did.
[01:13:03.332 --> 01:13:09.760]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[01:13:10.381 --> 01:13:18.913]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[01:13:19.281 --> 01:13:26.085]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[01:13:26.386 --> 01:13:29.428]  He had his hand over the radio while he was getting a countdown.
[01:13:29.548 --> 01:13:34.691]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[01:13:35.311 --> 01:13:37.953]  This is an emergency transmission worldwide.
[01:13:38.393 --> 01:13:45.378]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[01:13:48.391 --> 01:13:58.236]  Rough roads might be ahead for the economy, but your vehicle doesn't have to experience them.
[01:13:58.496 --> 01:14:01.097]  Can't afford a new vehicle or even an expensive repair?
[01:14:01.377 --> 01:14:07.960]  Now you can take care of your vehicle with Protecta Engine Oil Booster by SFR, which is a fully synthetic oil booster.
[01:14:08.160 --> 01:14:11.922]  Protecta Engine Oil Booster fortifies your motor oil to help your engine last longer.
[01:14:12.102 --> 01:14:18.228]  Protecta Engine Oil Booster has been tested by independent laboratories and proven in over 1 million vehicles worldwide.
[01:14:18.469 --> 01:14:22.853]  We'll give you enough Protecta Engine Oil Booster for 5 complete oil changes for only $22.95.
[01:14:23.213 --> 01:14:26.437]  That's enough for 2 vehicles for up to 1 year.
[01:14:26.717 --> 01:14:28.539]  Start taking care of your vehicle today.
[01:14:28.819 --> 01:14:31.782]  Take advantage of this limited time offer and receive free shipping.
[01:14:31.962 --> 01:14:35.466]  Protecta Engine Oil Booster is the last defense against engine wear.
[01:14:35.646 --> 01:14:38.147]  Go to oilcompanysecret.com or call 1-888-873-7371.
[01:14:38.167 --> 01:14:39.247]  That's oilcompanysecret.com or 888-873-7371.
[01:14:39.267 --> 01:14:40.588]  Satisfaction guaranteed or your money back.
[01:14:40.628 --> 01:14:42.789]  Call 888-873-7371 or visit oilcompanysecret.com.
[01:14:53.886 --> 01:14:57.189]  The United States is bankrupt and the bankers want you bankrupt also.
[01:14:57.450 --> 01:14:59.792]  How would you like to be debt free in 90 days?
[01:14:59.912 --> 01:15:00.573]  Guaranteed!
[01:15:00.973 --> 01:15:07.620]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[01:15:07.900 --> 01:15:15.608]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[01:15:15.848 --> 01:15:23.673]  With Debt Crisis Solutions program, you'll also restore your credit history and be protected from legal action without making one more payment to creditors.
[01:15:23.933 --> 01:15:31.137]  Debt Crisis Solutions dot com specializes in credit report restoration, preventing wage garnishment and bank levies, liens and judgments.
[01:15:31.537 --> 01:15:33.659]  Doing nothing doesn't make the debt go away.
[01:15:33.859 --> 01:15:36.401]  Become debt-free in 90 days, guaranteed!
[01:15:36.601 --> 01:15:39.884]  Call Debt Crisis Solutions now for a free consultation at 718-615-0123.
[01:15:39.944 --> 01:15:40.144]  That's 718-615-0123.
[01:15:40.164 --> 01:15:42.265]  Or visit them online at DebtCrisisSolutions.com.
[01:15:42.326 --> 01:15:43.607]  That's DebtCrisisSolutions.com today!
[01:16:05.307 --> 01:16:10.089]  TheObamadeception.net, the new website for the new film, coming out March 15th.
[01:16:10.349 --> 01:16:13.150]  Alright, right back to your calls, and then to the attack on the First Amendment.
[01:16:13.190 --> 01:16:14.151]  It's really happening.
[01:16:14.911 --> 01:16:18.113]  They swore they wouldn't do it, but of course they're moving ahead with the legislation.
[01:16:18.653 --> 01:16:20.674]  They are a nasty group of little creatures.
[01:16:21.614 --> 01:16:25.516]  Let's talk to Aaron in California, then Peter, Bradley, Leo, Jim, and others.
[01:16:25.656 --> 01:16:27.617]  Aaron, you are on the air, sir.
[01:16:28.764 --> 01:16:29.744]  How's it going, Alex?
[01:16:29.885 --> 01:16:30.705]  I love your show.
[01:16:30.765 --> 01:16:33.486]  I'm a paid member, and you're an inspiration to true seekers everywhere.
[01:16:33.746 --> 01:16:35.967]  Couldn't do it without the PresentPlanet.tv members.
[01:16:35.987 --> 01:16:36.327]  Thank you.
[01:16:37.488 --> 01:16:39.608]  And I just wanted to throw out a real quick YouTube plug.
[01:16:39.929 --> 01:16:42.670]  Two channels, not so much 524 and Here in the Light of Day.
[01:16:43.430 --> 01:16:47.972]  You know, we gather up videos and everything from all across the internet, and piece them all together for everybody to watch.
[01:16:49.312 --> 01:16:49.712]  Excellent.
[01:16:50.953 --> 01:16:55.895]  But what I really wanted to talk to you about was more local posse comitatus violations.
[01:16:59.150 --> 01:17:03.191]  I'm sorry, you're out in California where the Marines run checkpoints with the police for DWIs.
[01:17:03.231 --> 01:17:04.592]  Go ahead.
[01:17:04.832 --> 01:17:13.715]  Actually, I am in the Monterey Bay area and what we have going on here is supposedly from what the police and the mainstream media tell us is that it's a gang war.
[01:17:14.455 --> 01:17:18.537]  Well, our mayor has been completely ineffectual in trying to combat this.
[01:17:18.617 --> 01:17:22.038]  He's tried to organize fasts and other
[01:17:22.660 --> 01:17:26.943]  Real new age type stuff to help, you know, gather awareness in the community.
[01:17:27.303 --> 01:17:30.005]  But the only thing that's happened is just made crime worse around here.
[01:17:31.806 --> 01:17:35.869]  Well, society's imploding and as the economy goes to hell in a handbasket, it's only going to get worse.
[01:17:35.929 --> 01:17:38.591]  And they've made shoot-em-ups the culture.
[01:17:39.712 --> 01:17:43.654]  There's a... Well, I mean, keep talking about it.
[01:17:43.674 --> 01:17:44.935]  Go ahead and talk about Posse Comitatus.
[01:17:44.975 --> 01:17:45.756]  I'm finding a clip.
[01:17:46.036 --> 01:17:49.018]  They just did big urban warfare drills again with black helicopters.
[01:17:49.058 --> 01:17:51.099]  Mainstream news in Louisiana.
[01:17:51.139 --> 01:17:51.440]  Go ahead.
[01:17:52.641 --> 01:18:05.647]  Yeah, what's the kicker though is that now the mayor has gotten the Naval Postgraduate School in Monterey involved in searching for evidence and gathering new strategies to help combat this so-called gang war problem.
[01:18:05.727 --> 01:18:08.788]  Well, that's what Governor Blagojevich said three or four months ago before he got into all this trouble.
[01:18:08.808 --> 01:18:12.209]  He said, we're going to use the National Guard to help us get the guns off the streets.
[01:18:13.470 --> 01:18:16.291]  So, again, who specifically in the military?
[01:18:17.291 --> 01:18:18.432]  The Naval Postgraduate School.
[01:18:20.464 --> 01:18:22.845]  Naval postgraduate school.
[01:18:23.245 --> 01:18:25.446]  Yeah, well, I mean, this is the way to introduce it to the public.
