[00:00:05.805 --> 00:00:07.366]  Hello, my friends!
[01:30:53.691 --> 01:30:57.413]  You've heard about PODS from Bio-Ox International and it's bubble-up technology.
[01:30:57.694 --> 01:31:01.976]  But have you heard about Bio-Ox Citrus Concentrate that also uses bubble-up technology?
[01:31:02.216 --> 01:31:09.160]  Bio-Ox Citrus Concentrate harnesses the power of oxygen to safely attack and remove dirt, stains, odors, and soils at the source.
[01:31:09.540 --> 01:31:16.185]  It's a sad fact, but in just seconds your carpet can be soiled with mud, your sofa ruined by pizza sauce, or your walls by color crayons.
[01:31:16.486 --> 01:31:19.948]  But in minutes, you can remove those problems with Bio-Ox Citrus Concentrate.
[01:31:19.968 --> 01:31:20.749]  Call 877-289-7297 or visit bio-ox.com.
[01:31:25.072 --> 01:31:32.215]  Bubble Up Technology is part of the reason Bio-Ox International will guarantee you will have a cleaner and healthier home after using Bio-Ox Citrus Concentrate.
[01:31:32.295 --> 01:31:38.998]  You can throw out all those bottles of harmful cleaning chemicals because it's just better to use Bio-Ox Citrus Concentrate to clean your home.
[01:31:39.198 --> 01:31:43.861]  Call 877-289-7297 or visit Bio-Ox.com.
[01:31:44.061 --> 01:31:46.602]  That's B-I-O-O-X dot com.
[01:31:46.742 --> 01:31:51.404]  When you see the difference, you'll know why it's just better to use Bio-Ox family of products.
[01:31:54.679 --> 01:31:57.440]  Crashing through the lies and disinformation.
[01:31:57.460 --> 01:32:01.282]  It's Alex Jones, only on the GCN Radio Network.
[01:32:03.223 --> 01:32:11.006]  We're talking to Dr. Kenneth C. Tennant, 45, Gulf War-era veteran in Iowa.
[01:32:12.786 --> 01:32:15.468]  And what did Dr. Tennant do wrong?
[01:32:15.688 --> 01:32:23.711]  They admit here in the Quad City Times, they have the Homeland Security officer here, openly saying
[01:32:24.528 --> 01:32:35.596]  Will Calvey saying that, quote, we were looking at the messages and while there were no direct threats, the language was abusive and derogatory and seemed to be getting worse.
[01:32:36.677 --> 01:32:52.568]  And then they admit here that he's been involved in the community, he sued the VA over the forced inoculations of experimental vaccines, it's a felony to force somebody to take one of these federal judges, and it's ruled repeatedly just about a month ago again that you cannot do this, but they say, we don't care, we're going to continue it.
[01:32:54.025 --> 01:32:57.947]  And so he emails, he calls, he complains, and they say, we're going to have you arrested.
[01:32:58.787 --> 01:33:04.230]  And he believes it's because he's been involved on local radio and other places speaking out against the flu shots.
[01:33:04.250 --> 01:33:08.392]  I mean, Bill Maher on his new HBO show says don't take them.
[01:33:08.432 --> 01:33:11.973]  Even Bush in a speech said, you don't need them unless you're old, young, or infirm.
[01:33:12.733 --> 01:33:16.855]  And then they're even questionable if they're safe, full of the thimerosal the Associated Press reported.
[01:33:17.155 --> 01:33:20.477]  They've actually increased the level of mercury in these shots, which is admittedly dangerous.
[01:33:21.705 --> 01:33:29.250]  So all of this is going on, and so they come to his house, they pull him outside in the morning with these two Homeland Security guys and two regular cops, local cops.
[01:33:29.730 --> 01:33:30.711]  They handcuff you.
[01:33:30.791 --> 01:33:32.352]  What do they say to you at that point?
[01:33:32.732 --> 01:33:34.814]  What do they say when you're in the police car?
[01:33:34.854 --> 01:33:35.574]  What happened next?
[01:33:36.335 --> 01:33:48.523]  Well, they just told me that if I was quiet and cooperative, they would reposition the cops from being tightly behind my back to in the front, and they did.
[01:33:49.358 --> 01:33:53.081]  And then they offered to get me something to eat, and they did.
[01:33:53.701 --> 01:33:56.443]  Now, are these the local cops or the feds?
[01:33:56.603 --> 01:33:59.125]  No, these are the Homeland Security Federal.
[01:33:59.145 --> 01:34:00.686]  So they're obviously feeling guilty.
[01:34:00.706 --> 01:34:06.691]  And again, I said they're honest in the paper and so they didn't threaten anybody, but he was arrested for threats.
[01:34:06.731 --> 01:34:08.752]  Yeah, I don't want to demonize these guys.
[01:34:08.832 --> 01:34:10.753]  I mean, they seem like they're decent human beings.
[01:34:10.773 --> 01:34:12.395]  But that shows how bad this is.
[01:34:12.435 --> 01:34:15.337]  That's why I said they're not liars, they're nuts.
[01:34:15.657 --> 01:34:15.917]  Yeah.
[01:34:15.937 --> 01:34:18.119]  But they should not follow this illegal order.
[01:34:18.259 --> 01:34:26.305]  Well, they have families they gotta feed, they got a job that they gotta do and they have to follow orders or, you know, they're gonna be in the food lines too.
[01:34:26.485 --> 01:34:28.327]  Yeah, what happened in Nuremberg though?
[01:34:28.847 --> 01:34:30.468]  So they go put you in the car?
[01:34:30.969 --> 01:34:32.190]  It's the same situation.
[01:34:32.250 --> 01:34:36.053]  So along, you know, basically it was pretty quiet.
[01:34:36.153 --> 01:34:41.837]  But, I mean, to their credit, you know, I wasn't just talking at all with them.
[01:34:42.284 --> 01:34:55.192]  But I mean, they were talking between themselves, and some of the language that they used in speaking of their superiors were, idiots, and this is bullshit, and uh... Sir, sir, we cannot use any profanity on the air, okay?
[01:34:55.212 --> 01:34:56.432]  We're going to have to let you go.
[01:34:56.452 --> 01:34:56.633]  Alright?
[01:34:57.253 --> 01:34:59.354]  You cannot talk like that on the air, doctor.
[01:35:00.135 --> 01:35:00.435]  Okay?
[01:35:00.515 --> 01:35:02.036]  That's... Yeah, that was... Okay, fine.
[01:35:02.296 --> 01:35:03.036]  I know, I know.
[01:35:03.417 --> 01:35:09.900]  I know, even on, even on NPR now, if it's a documentary, and what's happening here at five o'clock in the afternoon doing that, but we don't do that here.
[01:35:09.920 --> 01:35:10.261]  Listen.
[01:35:11.810 --> 01:35:14.632]  So, they were openly saying this was garbage.
[01:35:15.372 --> 01:35:15.572]  Yes.
[01:35:15.992 --> 01:35:22.536]  So, that is extremely, extremely positive that they were there saying that this was garbage.
[01:35:24.657 --> 01:35:32.762]  They were speaking of not specifically... I mean, that's just some of the language that they used between themselves along the way.
[01:35:32.782 --> 01:35:35.123]  I was not talking to them.
[01:35:35.583 --> 01:35:36.944]  Okay, so they didn't like it.
[01:35:36.984 --> 01:35:38.025]  How long were you in jail?
[01:35:39.545 --> 01:35:40.226]  Several hours.
[01:35:41.573 --> 01:35:48.556]  My wife posted a bond of $3.25 and I was released approximately 11pm that evening.
[01:35:58.280 --> 01:36:00.982]  We're arrested for making harassing phone calls.
[01:36:01.022 --> 01:36:03.184]  They don't say specifically what you were charged with.
[01:36:03.464 --> 01:36:04.465]  What were you charged with?
[01:36:04.685 --> 01:36:10.850]  Well, I haven't been formally charged and I have no idea what the particulars are because no one's telling me anything.
[01:36:10.910 --> 01:36:13.192]  Wait a minute, they arrested you and took you to jail?
[01:36:13.452 --> 01:36:13.812]  Yes.
[01:36:14.133 --> 01:36:15.794]  But didn't tell you what you were charged with?
[01:36:17.135 --> 01:36:18.396]  Sounds like Homeland Security to me.
[01:36:19.277 --> 01:36:21.298]  Now, did they have you sign any paperwork?
[01:36:21.318 --> 01:36:23.760]  Did you sign a personal recognitions bond?
[01:36:24.121 --> 01:36:24.901]  No, I did not.
[01:36:24.961 --> 01:36:25.462]  My wife
[01:36:26.030 --> 01:36:27.851]  Posted cash.
[01:36:27.871 --> 01:36:27.851]  $325.
[01:36:28.011 --> 01:36:38.919]  All I was given at one point in time when I met with him at the library was an Iowa Code 2001 Section 708.7 harassment.
[01:36:38.979 --> 01:36:40.380]  He underlined the word annoyed.
[01:36:41.021 --> 01:36:48.466]  They at that time said that we feel that Polk County Attorney can write up a citation for harassment, simple misdemeanor.
[01:36:49.048 --> 01:36:56.232]  But the particulars of the case, the evidence, the potential witnesses, none of that has been divulged to me, and I've been told that I can't get it.
[01:36:57.613 --> 01:37:00.214]  So I basically cannot prepare a defense.
[01:37:00.254 --> 01:37:01.235]  I have no attorney.
[01:37:02.275 --> 01:37:06.318]  And, you know, it's kind of a stressful situation for my whole family.
[01:37:06.358 --> 01:37:11.461]  We've been thoroughly humiliated, embarrassed, you know, terrorized.
[01:37:13.373 --> 01:37:15.515]  You know, it's not a good situation.
[01:37:15.535 --> 01:37:18.418]  I mean, physically, it can cause people to be sick.
[01:37:18.498 --> 01:37:27.868]  I mean, my kids... So, you're sitting here, and you have been arrested, but they didn't charge you when you were bonded out?
[01:37:27.908 --> 01:37:29.009]  What did you bond out for?
[01:37:31.802 --> 01:37:37.346]  Well, again, the best I can tell it's a simple third-degree misdemeanor harassment.
[01:37:37.546 --> 01:37:42.370]  But they should have told you that and issued the summons after you were bonded out.
[01:37:42.450 --> 01:37:47.033]  Yeah, I won't get that until I appear on November 15th.
[01:37:47.133 --> 01:37:53.198]  And by the way, what was that Patriot Act section you had noted about?
[01:37:53.318 --> 01:37:53.778]  It's H.R.
[01:37:53.798 --> 01:37:55.980]  3162 is the bill number passed October 27, 2001.
[01:37:56.040 --> 01:37:55.980]  3162?
[01:37:56.120 --> 01:37:56.560]  It is the bill.
[01:38:01.198 --> 01:38:01.938]  How are you guys doing?
[01:38:01.958 --> 01:38:05.220]  Hey, I just wanted to tell Kenneth I'm a disabled veteran, also Ken.
[01:38:29.111 --> 01:38:31.556]  And I've been going through some of the same things you did.
[01:38:31.596 --> 01:38:33.799]  I broke my back in three places at the Marine Corps.
[01:38:34.521 --> 01:38:38.628]  And the VA tells me that I'm born that way, even though all my medical records say.
[01:38:39.443 --> 01:38:44.906]  And I also found out... Well that's like my friend here in town, shot in the back in Vietnam, a family, hard working, owns a little company.
[01:38:45.826 --> 01:38:47.347]  He doesn't have a bunch of insurance though.
[01:38:47.367 --> 01:38:49.168]  You know, middle class, lower middle class.
[01:38:49.528 --> 01:38:52.930]  And he's in the records, he was shot in the back and they won't help him!
[01:38:53.390 --> 01:39:00.293]  Yeah, and I also found out that I have cancer in my hip after they lied to me for years saying, oh you're born that way, there's nothing wrong.
[01:39:01.334 --> 01:39:07.397]  So what I did, I got all my medical records from them under the Privacy Act and the Freedom of Information Act.
[01:39:08.038 --> 01:39:13.321]  And that Iowa Clinic should have a transcript of every time you've been there and every time you've called.
[01:39:13.841 --> 01:39:18.524]  And you need to get that, and you will catch them in lie after lie after lie.
[01:39:19.184 --> 01:39:22.807]  And the ones you catch lying to, you need to go take out arrest warrants for them.
[01:39:23.327 --> 01:39:34.433]  I mean, these people... Well, the Homeland Security going out to arrest somebody and the police said it was garbage, you know, that it was just ridiculous,
[01:39:36.315 --> 01:39:40.459]  Again, they still shouldn't... Police need to stop following illegal orders!
[01:39:40.999 --> 01:39:43.801]  Yeah, it's just... Hitler's goons is basically what it is.
[01:39:43.881 --> 01:39:51.087]  I mean, that's what this country's come to, is let's go harass disabled veterans because they're treated like trash from the VA.
[01:39:51.668 --> 01:39:53.229]  I mean, the VA is just horrible.
[01:39:53.309 --> 01:39:57.833]  I interviewed about a hundred veterans, because I was taking my case to one of my senators.
[01:39:58.553 --> 01:40:03.057]  Over a hundred veterans told me that the same VA clinic had told them that
[01:40:03.582 --> 01:40:04.923]  Oh, you were born that way.
[01:40:04.943 --> 01:40:06.623]  You never got hurt in the military.
[01:40:06.643 --> 01:40:07.124]  Blah, blah, blah.
[01:40:07.144 --> 01:40:07.844]  We've interviewed vets.
[01:40:07.884 --> 01:40:09.605]  We've read mainstream news articles.
[01:40:10.025 --> 01:40:11.165]  I know vets personally.
[01:40:11.546 --> 01:40:12.806]  They won't even examine you.
[01:40:12.826 --> 01:40:14.267]  They just go, oh, here's some Prozac.
[01:40:14.307 --> 01:40:14.847]  You're crazy.
[01:40:14.867 --> 01:40:16.668]  Yeah, that's what they do to me.
[01:40:17.148 --> 01:40:19.189]  When I got my medical records, they kept saying,
[01:40:19.764 --> 01:40:25.188]  Well, he's got Post Traumatic Stress Disorder, and he has a history of being angry with the VA.
[01:40:25.388 --> 01:40:25.909]  Exactly.
[01:40:25.929 --> 01:40:27.170]  They're trying to discredit.
[01:40:27.850 --> 01:40:32.834]  Again, if you look at the Gary Null's documentary, Biddy Golf Course Center, that's their MO.
[01:40:32.854 --> 01:40:36.997]  They try to discredit every veteran that knows anything by doing that.
[01:40:37.017 --> 01:40:38.078]  That's a crime.
[01:40:38.138 --> 01:40:44.763]  I've got a letter by the former director of the VA, the regional office in Des Moines, where he outright
[01:40:45.200 --> 01:40:51.145]  Lies and says that I was not going to be accepted into the school that, ultimately, I graduated from.
[01:40:52.286 --> 01:40:56.950]  This is the kind of blatant disregard for the truth that we have to endure.
[01:40:58.112 --> 01:41:02.315]  In my case, it's been 13 years or better, and it's just an atrocity.
[01:41:02.976 --> 01:41:04.477]  Alright, thanks for the call, Danny.
[01:41:04.877 --> 01:41:05.458]  I've got to move on.
[01:41:05.478 --> 01:41:06.539]  I've got loaded phone lines here.
[01:41:06.619 --> 01:41:07.720]  Fred in Pennsylvania.
[01:41:07.980 --> 01:41:08.681]  Fred, go ahead.
[01:41:08.701 --> 01:41:11.583]  Hi, I wanted to say that
[01:41:12.748 --> 01:41:19.455]  You have a situation, apparently, where you're afraid about your deteriorating health, right?
[01:41:19.675 --> 01:41:19.935]  Yes.
[01:41:23.919 --> 01:41:26.241]  What kind of local resources do you have?
[01:41:26.261 --> 01:41:29.925]  Do you have a lawyer referral service up in that city?
[01:41:30.606 --> 01:41:34.029]  I've found them to be totally empty.
[01:41:35.269 --> 01:41:46.575]  I've never been able to find, I mean, we've got everything that anyone's got, but when you call the, you know, all these lawyer referral services, you can't really find anybody.
[01:41:47.015 --> 01:41:47.416]  I can't.
[01:41:48.016 --> 01:41:49.757]  Well, they're going to sell a bunch of money out of you.
[01:41:49.777 --> 01:41:57.361]  Look, you go into court, and you hold up the news article as Exhibit A, and you go, the Chief Federal Officer on this case says I did not threaten anybody.
[01:41:58.762 --> 01:42:01.323]  Am I allowed to call the VA?
[01:42:01.443 --> 01:42:01.663]  Yes.
[01:42:01.703 --> 01:42:02.784]  Are they there to serve me?
[01:42:02.844 --> 01:42:03.124]  Yes.
[01:42:04.554 --> 01:42:05.435]  Well, they're not.
[01:42:05.495 --> 01:42:10.679]  The VA is going to step back and let the local county prosecutor... No, I know, sir.
[01:42:10.719 --> 01:42:12.181]  You show that no one was harmed.
[01:42:12.221 --> 01:42:13.282]  No crime has been committed.
[01:42:13.622 --> 01:42:15.003]  Well, I don't feel that at all.
[01:42:15.223 --> 01:42:20.588]  The chief federal officer says you didn't threaten anybody, but they were still arrested you.
[01:42:21.624 --> 01:42:26.466]  Yeah, that's, I feel that that's, uh, you know, in the French meant to say the least.
[01:42:26.506 --> 01:42:30.647]  Look, you put him on the stand, you go, did you tell the Quad City Times this?
[01:42:30.727 --> 01:42:34.589]  And if he says no, you call in the Quad City Times reporter and go, did he tell you that?
[01:42:35.069 --> 01:42:35.749]  Uh, yes he did.
[01:42:35.769 --> 01:42:38.510]  Hey, thanks, uh, Jim, anything else?
[01:42:38.951 --> 01:42:40.011]  Or Fred, go ahead.
[01:42:40.051 --> 01:42:45.053]  Yeah, I think you might have a point of attack in the arrest warrant, it might not even
[01:42:45.635 --> 01:42:47.477]  I've been one when you're actually arrested.
[01:42:47.537 --> 01:42:48.037]  There wasn't.
[01:42:48.437 --> 01:42:49.078]  I didn't mean it.
[01:42:49.298 --> 01:42:54.862]  Well, then you can void the charges if you were actually arrested legally.
[01:42:55.183 --> 01:42:56.424]  Okay, Fred, thanks for the call.
[01:42:56.524 --> 01:42:58.946]  Yeah, they do this a lot where there's nothing even on the record.
[01:42:58.966 --> 01:42:59.826]  It's just harassment.
[01:43:00.247 --> 01:43:08.253]  And again, the big story here, why is Homeland Security visiting toy stores, county commissioners, small-time pot dealers?
[01:43:09.666 --> 01:43:13.267]  Doctors, veterans who call the VA.
[01:43:13.747 --> 01:43:14.687]  Why is this happening?
[01:43:15.008 --> 01:43:15.848]  Steve in Texas.
[01:43:15.888 --> 01:43:16.548]  Steve, go ahead.
[01:43:16.568 --> 01:43:17.128]  You're on the air.
[01:43:19.449 --> 01:43:20.749]  I apologize to both of you.
[01:43:20.789 --> 01:43:24.230]  I've got something to speak about that has absolutely nothing to do with this.
[01:43:24.250 --> 01:43:24.350]  Oh, no.
[01:43:24.370 --> 01:43:25.830]  You say you disagree with me, so go ahead.
[01:43:26.390 --> 01:43:26.630]  Yes.
[01:43:28.211 --> 01:43:31.972]  Alex, I'm trying to be a part of the solution here, not a part of the problem.
[01:43:32.012 --> 01:43:37.633]  But a problem that I'm coming to, a problem that I'm finding is that
[01:43:38.760 --> 01:43:49.423]  When I tell people to listen to the local radio station here that carries your broadcast and other broadcasts, when they hear how you badger people, it slams the door shut.
[01:43:50.144 --> 01:43:58.806]  You're impeaching yourself and you're impeaching me, because after hearing how you badger people, nobody wants to listen anymore.
[01:43:58.826 --> 01:43:59.706]  It puts them back to sleep.
[01:44:00.407 --> 01:44:07.129]  Concerning the gentleman that called earlier, who had been doing biblical research, I believe he was calling out of Canada.
[01:44:09.027 --> 01:44:14.131]  I am new to the Patriot community and also new to the Christian community.
[01:44:14.652 --> 01:44:16.593]  This man was giving information that I need.
[01:44:17.694 --> 01:44:18.755]  You say that you're a Christian.
[01:44:19.115 --> 01:44:22.558]  That would say that you might place more importance on your eternal soul.
[01:44:22.618 --> 01:44:24.539]  Let me ask you a question.
[01:44:24.639 --> 01:44:28.943]  Would it be badgering if I was able to respond to the first thing you said and then the second?
[01:44:29.583 --> 01:44:29.883]  Certainly.
[01:44:30.444 --> 01:44:30.844]  No, no, no.
[01:44:31.004 --> 01:44:31.745]  It wouldn't be badgering.
[01:44:31.765 --> 01:44:32.265]  Go ahead.
[01:44:32.325 --> 01:44:32.986]  May I talk then?
[01:44:33.566 --> 01:44:34.067]  Absolutely.
[01:44:34.127 --> 01:44:34.627]  It's your show.
[01:44:34.647 --> 01:44:35.728]  You have the power of the office.
[01:44:35.768 --> 01:44:36.048]  Okay.
[01:44:36.088 --> 01:44:38.290]  I don't have any... Let me just say something to you.
[01:44:38.954 --> 01:44:41.815]  How was I able to just now go to your call, Steve?
[01:44:43.515 --> 01:44:50.237]  I was able to go to your call because I let Danny say three or four things, and then let the guest comment, and let Danny have another response.
[01:44:50.658 --> 01:44:55.059]  Then I let Fred say two things, then have the guest have a response, and then Fred finished.
[01:44:55.794 --> 01:44:57.235]  And then I went to you, Steve.
[01:44:57.695 --> 01:45:00.257]  And so I have to go to the next caller.
[01:45:00.277 --> 01:45:01.718]  In fact, I've actually timed this out.
[01:45:02.258 --> 01:45:07.362]  We give callers more time, about three times more time than most mainstream radio shows.
[01:45:08.082 --> 01:45:08.903]  I do jump in.
[01:45:09.003 --> 01:45:09.664]  I do interrupt.
[01:45:09.764 --> 01:45:10.824]  I do add points.
[01:45:12.045 --> 01:45:12.906]  And that's what I do.
[01:45:13.026 --> 01:45:17.509]  And I have the number one patriot radio show in the country.
[01:45:18.409 --> 01:45:19.890]  Because I don't script things.
[01:45:20.071 --> 01:45:21.472]  I wear my heart on my sleeve.
[01:45:22.472 --> 01:45:23.593]  I tell you what I think.
[01:45:23.693 --> 01:45:24.954]  I tell you when I make a mistake.
[01:45:25.942 --> 01:45:28.726]  And I'm just an average person and I'm not perfect.
[01:45:29.527 --> 01:45:31.350]  Now that's, that's number one.
[01:45:32.051 --> 01:45:36.034]  You are who is considered to be the world's leading authority on the New World Order.
[01:45:36.054 --> 01:45:38.735]  I don't know about that, but the point is I have the number one radio show.
[01:45:38.775 --> 01:45:39.596]  That's admitted.
[01:45:40.096 --> 01:45:42.057]  And it's a great responsibility.
[01:45:42.177 --> 01:45:45.359]  But the point here is I can't make everybody happy.
[01:45:45.840 --> 01:45:49.282]  And I can't sit here and put a smiling face on this and be happy.
[01:45:49.382 --> 01:45:50.242]  I get angry.
[01:45:50.723 --> 01:45:51.803]  I work too hard.
[01:45:52.544 --> 01:45:54.745]  Sometimes I've got black circles around my eyes.
[01:45:56.166 --> 01:45:57.647]  I need to take off more time.
[01:45:58.308 --> 01:45:59.068]  Somebody calls in.
[01:45:59.088 --> 01:46:00.289]  I give them three or four minutes.
[01:46:00.869 --> 01:46:02.611]  Now I did not badger that caller.
[01:46:02.751 --> 01:46:03.091]  Go ahead.
[01:46:20.333 --> 01:46:28.736]  If I might, if I may, I'd like to leave my telephone number with your producers so that in the event this gentleman from Canada is still listening that we can get in contact.
[01:46:28.856 --> 01:46:29.676]  We can't do that.
[01:46:29.716 --> 01:46:33.858]  We cannot become a dating service.
[01:46:33.938 --> 01:46:35.738]  And I don't mean that in the sense of dating.
[01:46:35.798 --> 01:46:37.419]  I mean, you know, everybody hooking up and talking.
[01:46:37.459 --> 01:46:37.959]  I understand.
[01:46:37.979 --> 01:46:38.619]  I understand.
[01:46:41.661 --> 01:46:48.643]  Alex, you are... That's because we've got one person answering the phones, running the show, and even doing the website.
[01:46:49.631 --> 01:46:50.131]  I understand.
[01:46:50.432 --> 01:46:52.673]  And my hat's off to both of you, Alex.
[01:46:52.793 --> 01:46:55.675]  Your work is tireless and I admire that.
[01:46:57.196 --> 01:46:58.076]  You have more information than I do.
[01:46:58.096 --> 01:47:03.159]  You say, you know, people tune in and they don't like the... You know, my tone, my tone's different every day.
[01:47:03.179 --> 01:47:04.980]  You know, it depends on what news I'm covering.
[01:47:05.421 --> 01:47:06.621]  All of this upsets me.
[01:47:07.322 --> 01:47:09.843]  I can't sit there and go, this is what I'm doing out there, folks.
[01:47:10.123 --> 01:47:14.086]  Hey, Mr. Tennant got arrested for making a complaint.
[01:47:14.426 --> 01:47:16.207]  Mr. Tennant, how are you doing today?
[01:47:16.507 --> 01:47:18.048]  You know, there's plenty of that out there.
[01:47:19.049 --> 01:47:19.209]  Right.
[01:47:20.828 --> 01:47:22.709]  Okay, well, thanks for the time, Alex.
[01:47:22.829 --> 01:47:24.250]  Hey, Steve, I appreciate your call.
[01:47:25.070 --> 01:47:26.311]  And again, I'm not perfect.
[01:47:27.771 --> 01:47:29.512]  Any comments about what he was saying, Doctor?
[01:47:29.532 --> 01:47:36.136]  Uh, you know, I just appreciate what he had to say and, uh, you know, God bless him.
[01:47:37.497 --> 01:47:40.459]  Alright, let's go ahead now and talk to Jim in Ohio.
[01:47:40.539 --> 01:47:41.839]  Jim, go ahead, you're on the air.
[01:47:42.060 --> 01:47:42.620]  Well, thank you.
[01:47:42.920 --> 01:47:48.003]  And for those people who've never called in, the only thing that you're asked when you call in is your first name and the state.
[01:47:48.752 --> 01:47:51.114]  There's no, nobody screens anything.
[01:47:51.174 --> 01:47:57.300]  But see, because I don't screen and I don't harass and I don't censor, I'm bad because I give callers more time than anybody else.
[01:47:58.140 --> 01:47:58.681]  Exactly.
[01:47:59.001 --> 01:48:11.713]  Hey, I was reading on Rents, a guy who wrote a book, Milton Mayer, They Thought They Were Free, and he interviews nine Germans who were in the Nazi, who were citizens in Germany during the Nazi regime, especially in the early 30s.
[01:48:13.720 --> 01:48:16.662]  They said, basically, most people in Germany didn't see the tyranny.
[01:48:16.682 --> 01:48:20.745]  They said each occasion of Nazi violence was worse than the last, but only a little worse.
[01:48:21.226 --> 01:48:27.410]  So they waited for one shocking event, thinking that they would join others, if or when it happened, and rise up.
[01:48:27.930 --> 01:48:30.873]  And they waited and waited until the Nazis had complete control.
[01:48:31.393 --> 01:48:39.159]  And it seems to me that a lot of people are waiting before they get involved, or before they buy the videos and get them out to people, and that kind of thing.
[01:48:39.199 --> 01:48:40.620]  Waiting for that one big event.
[01:48:41.280 --> 01:48:42.141]  And it might not happen.
[01:48:43.621 --> 01:48:45.843]  And just kind of wanted to see what your thoughts were on that.
[01:48:45.863 --> 01:48:46.663]  Well, it's incremental.
[01:48:46.703 --> 01:48:57.791]  They kill protesters, kill demonstrators, shoot old ladies with rubber bullets, arrest people for suing the government, arrest people for having Rubik's Cubes at their toy store, or threaten to arrest them.
[01:48:57.811 --> 01:48:59.873]  You know, this is the type of stuff we're facing.
[01:49:00.233 --> 01:49:01.074]  It's already here.
[01:49:01.434 --> 01:49:07.058]  Well, and some of the other things that I've been reading, basically, you know, people sat back and said, oh gee, it's only the homosexuals.
[01:49:07.118 --> 01:49:08.039]  Oh, it's only the Jews.
[01:49:08.239 --> 01:49:09.400]  Oh, it's only the Christians.
[01:49:09.540 --> 01:49:10.761]  Oh, it's... and next thing,
[01:49:11.900 --> 01:49:13.461]  You know, it was everybody.
[01:49:14.241 --> 01:49:18.424]  But as long as it doesn't, you know, enter your universe, well, it's okay.
[01:49:18.644 --> 01:49:19.564]  You know, it's not me.
[01:49:20.065 --> 01:49:21.085]  You know, that kind of thing.
[01:49:21.465 --> 01:49:22.766]  Until they're knocking on your door.
[01:49:25.448 --> 01:49:26.068]  I agree with you.
[01:49:26.108 --> 01:49:26.708]  Great call.
[01:49:26.768 --> 01:49:27.509]  Thanks for the call.
[01:49:29.365 --> 01:49:31.266]  Johnny and others, your calls are up next.
[01:49:31.326 --> 01:49:33.267]  We'll finish up with our guest here on the other side.
[01:49:33.307 --> 01:49:34.627]  We'll give you his home phone number.
[01:49:34.907 --> 01:49:35.728]  He wants to do that.
[01:49:36.088 --> 01:49:36.968]  Is that correct, Doctor?
[01:49:37.208 --> 01:49:37.948]  That is correct.
[01:49:38.169 --> 01:49:44.171]  For folks in Iowa or surrounding states who would like to help him with his case, this is scary.
[01:49:44.211 --> 01:49:45.411]  I mean, this is really scary.
[01:49:45.451 --> 01:49:49.493]  Now you call up and complain, and that's considered harassment?
[01:49:50.555 --> 01:49:53.597]  Not threats, but harassment and Homeland Security comes and grabs you.
[01:49:53.877 --> 01:49:55.378]  Hey folks, Alex Jones here.
[01:49:55.579 --> 01:49:58.661]  And the behavior of our police is a reflection of our government.
[01:49:58.801 --> 01:50:02.704]  One look in the mirror and we know our country is entering a high-tech police state.
[01:50:02.744 --> 01:50:06.967]  Here's just a sample from my documentary film, Police State 2 The Takeover.
[01:50:07.327 --> 01:50:11.109]  In downtown Seattle today, the First Amendment ended.
[01:50:11.250 --> 01:50:13.051]  A civil emergency was created by the police.
[01:50:13.311 --> 01:50:16.535]  Riot police attacked people on the street indiscriminately.
[01:50:16.575 --> 01:50:21.300]  The medical bills are going to be enormous for me.
[01:50:21.460 --> 01:50:24.503]  You see them here with their hands cupped behind their backs.
[01:50:24.683 --> 01:50:27.567]  They are being led into the Sandpoint Brig.
[01:50:28.027 --> 01:50:34.154]  The neighbors in that area of Sandpoint Naval Air Station were shocked to hear that the old brig was being reopened.
[01:50:34.674 --> 01:50:38.478]  This information is absolutely vital for all freedom lovers in the United States.
[01:50:38.878 --> 01:50:40.260]  Order your video today.
[01:50:40.580 --> 01:50:41.641]  Call toll free at 888-253-3139.
[01:50:41.681 --> 01:50:43.983]  The number to order to take over again is 888-253-3139.
[01:50:44.003 --> 01:50:45.224]  Or go to my website, Infowars.com.
[01:50:53.552 --> 01:50:57.114]  Do you know where the 78 potentially active volcanoes in the U.S.
[01:50:57.154 --> 01:50:57.654]  are located?
[01:50:57.874 --> 01:51:01.256]  And do you know the locations of the top 300 prime terrorist targets?
[01:51:01.476 --> 01:51:06.198]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[01:51:06.459 --> 01:51:11.481]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas.
[01:51:11.741 --> 01:51:17.745]  Brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[01:51:18.025 --> 01:51:32.454]  Complete with three gigabytes of detailed information on each of 3,000-plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis to help you zero in on the best places to live.
[01:51:32.714 --> 01:51:37.338]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[01:51:37.638 --> 01:51:43.042]  Get Prudent Places USA for only $29 plus shipping by calling New Millennium at 888-803-4438.
[01:51:43.102 --> 01:51:43.382]  That's 888-803-4438.
[01:51:43.523 --> 01:51:45.584]  To order on the web or at berkeywater.com.
[01:51:54.458 --> 01:51:54.759]  Thank you.
[01:52:09.662 --> 01:52:10.262]  I think so.
[01:52:32.233 --> 01:52:34.314]  Simply log on to HerbalHealer.com.
