[00:00:02.809 --> 00:00:05.009]  Ladies and gentlemen, it is The Alex Jones Show.
[00:49:36.349 --> 00:49:44.630]  We're praying for a miracle. We've seen several miracles this campaign season, especially with Donald Trump surviving what seems to be assassination attempt after assassination attempt.
[00:49:44.769 --> 00:49:52.690]  But in the event that no miracle occurs next month on November 13th and we are shut down by the leftist forces.
[00:49:53.760 --> 00:50:05.340]  That want to conglomerate all political power into one New World Order, one world government, then the Alex Jones story is absolutely imperative to keeping Alex Jones on the air in one way or the other.
[00:50:06.199 --> 00:50:09.960]  Alex Jones operating broadcasting every single day because we're not going to take any time off.
[00:50:10.099 --> 00:50:11.559]  We're not going to skip a beat.
[00:50:11.840 --> 00:50:17.539]  We are going to start broadcasting immediately after the leftists attempt to shut down this network.
[00:50:18.210 --> 00:50:19.230]  And I'm looking at the desk.
[00:50:19.409 --> 00:50:24.909]  It's amazing how many incredible articles have come out just since the war room on Friday afternoon.
[00:50:25.469 --> 00:50:28.570]  But I'm seeing Infowars banners all across all these.
[00:50:28.650 --> 00:50:32.409]  Because I pretty much exclusively cover Infowars articles when I host.
[00:50:32.590 --> 00:50:34.409]  And they just say Infowars, Infowars, Infowars.
[00:50:34.550 --> 00:50:40.550]  And how next month, the leftists want to make it illegal for us to even use the name Infowars.
[00:50:40.869 --> 00:50:42.170]  It's plastered over everything.
[00:50:42.349 --> 00:50:49.590]  We've always given away all of our broadcasts free, fair use, rebroadcast anywhere, no charge, upload the clips, download the clips.
[00:50:49.710 --> 00:50:59.630]  We don't care. We never file any copyright infringement, and they're trying to take away that which we have given the American people for decades, that which we have given humanity itself for decades.
[00:51:00.360 --> 00:51:04.659]  They are trying to take it away, so please go to thealexjonesstore.com right now.
[00:51:04.800 --> 00:51:06.199]  Incredible fundraiser shirts.
[00:51:06.659 --> 00:51:12.400]  Optimal Human, which is an incredible powdered green that you can mix into any water and drink and get all your vitamins every single day.
[00:51:12.480 --> 00:51:18.539]  We've got the capsule version of the sea moss, an incredible source of natural iodine that will blow you away.
[00:51:18.659 --> 00:51:23.119]  Please go to thealexjonesstore.com right now and give the middle finger to the New World Order, please.
[00:51:23.639 --> 00:51:24.699]  More on the other side.
[00:51:34.300 --> 00:51:47.619]  A recent video going viral shows Israel's finance minister saying that the Jewish state must extend into Jordan, Lebanon, Egypt, Syria, Iraq, and Saudi Arabia.
[00:51:47.840 --> 00:51:49.880]  But he's been saying this for over a year.
[00:51:50.179 --> 00:51:58.460]  Look, the Jordanians, for starters, did not like the statement, but even less the setting of the stage, with Smotic giving the statement.
[00:52:00.019 --> 00:52:11.949]  He gave the address on the podium was a map of Greater Israel that includes parts of modern-day Jordan and that's what got Amman to blast the statement.
[00:52:12.449 --> 00:52:22.010]  They said that Smotrich's actions constituted an act of reckless incitement as well as a violation of international norms and the peace agreement between Israel and Jordan.
[00:52:22.090 --> 00:52:37.170]  The Deputy Speaker of Jordanian Parliament took it a step further Calling on the Jordanian military to quote, take up arms and saying that all options should be on the table for Jordan given the extremist statements.
[00:52:37.989 --> 00:52:42.389]  Some Israeli soldiers wear the greater Israel patch on their uniforms.
[00:52:44.010 --> 00:52:51.710]  Many Israelis believe it is prophesied by God, and the radical American prophecy Christians agree.
[00:52:51.989 --> 00:53:03.889]  But what I'm saying is I believe eventually our borders will extend from Lebanon to the Great Desert, which is Saudi Arabia, and then from the Mediterranean to the Euphrates.
[00:53:04.380 --> 00:53:05.659]  And who's on the other side of the Euphrates?
[00:53:05.860 --> 00:53:08.179]  The Kurds. And the Kurds are our friends.
[00:53:08.500 --> 00:53:16.019]  So we have the Mediterranean behind us, the Kurds in front of us, Lebanon, which really needs the umbrella of protection of Israel.
[00:53:16.579 --> 00:53:22.980]  And then we're going to take, I believe, we're going to take Mecca, Medina and Mount Sinai and purify those places.
[00:53:23.179 --> 00:53:24.760]  You know, it's going to happen.
[00:53:25.829 --> 00:53:31.750]  Ukrainian President Zelensky has said that he wants his country to become a big Israel.
[00:53:32.349 --> 00:53:43.070]  And while young Ukrainians are sacrificed for the U.S. State Department war with Russia, Jewish settlers from Israel are setting up homes in their place.
[00:53:44.050 --> 00:53:59.409]  We are told that Israel is defending themselves from Hamas, but a leaked telegram from Israel states that Hamas served as a useful countergroup against the PLO. In 2019, Benjamin Netanyahu said,
[00:53:59.690 --> 00:54:08.230]  anyone who wants to thwart the establishment of a Palestinian state has to support bolstering Hamas and transferring money to Hamas.
[00:54:09.260 --> 00:54:23.960]  The CIA, MI6, Mossad, and their intelligence counterparts have a long history of fostering terrorist groups and using them as the boogeyman to sell nonstop illegal wars in the Middle East.
[00:54:24.920 --> 00:54:32.260]  And do not forget that after 9-11, the United States Department of Defense planned on invading seven countries.
[00:54:32.539 --> 00:54:37.300]  I went downstairs just to say hello to some of the people on the joint staff who used to work for me.
[00:54:37.380 --> 00:54:38.519]  And one of the generals called me in.
[00:54:38.539 --> 00:54:40.340]  He said, sir, you got to come in.
[00:54:40.380 --> 00:54:41.840]  You got to come in and talk to me a second.
[00:54:41.920 --> 00:54:43.519]  I said, well, you're too busy. He said, no, no.
[00:54:43.860 --> 00:54:48.260]  He says, we've made the decision we're going to war with Iraq.
[00:54:48.860 --> 00:54:50.760]  This was on or about the 20th of September.
[00:54:51.639 --> 00:54:53.320]  I said, we're going to war with Iraq.
[00:54:53.480 --> 00:54:57.289]  Why? He said, I don't know.
[00:54:58.190 --> 00:55:03.789]  So I came back to see him a few weeks later, and by that time we were bombing in Afghanistan.
[00:55:03.989 --> 00:55:05.530]  I said, are we still going to war with Iraq?
[00:55:05.670 --> 00:55:07.070]  And he said, oh, it's worse than that.
[00:55:07.309 --> 00:55:23.750]  He said, I just got this down from upstairs, meeting the Secretary of Defense Office today, and he said, this is a memo that describes how we're going to take out seven countries in five years, starting with Iraq and then Syria, Lebanon, Libya, Somalia, Sudan, and finishing off Iran.
[00:55:24.809 --> 00:55:36.170]  Israel and the United States continue to bomb Lebanon, murdering countless civilians, shooting young children in the head, and pushing closer to a war with Iran.
[00:55:36.489 --> 00:55:40.530]  A war that will inevitably pull Russia into the conflict.
[00:55:41.519 --> 00:55:44.880]  Why this is all happening is not entirely clear.
[00:55:45.440 --> 00:55:51.300]  But the late naval intelligence whistleblower, William Cooper, believed that he knew the answer.
[00:55:51.940 --> 00:55:57.500]  Israel was created as the instrument to bring about the battle of Armageddon and the fulfillment of prophecy.
[00:55:57.880 --> 00:56:06.400]  A war that will be so terrible, where nuclear weapons will be used, so that the American citizens and the other people in the world will get down on their knees and beg for no more war.
[00:56:06.500 --> 00:56:07.539]  And what is the answer to that?
[00:56:08.079 --> 00:56:17.679]  They're going to be told the only way we can guarantee no more war is if we destroy the sovereignty of nations and we come together as one humanity in a one-world government.
[00:56:17.940 --> 00:56:21.320]  Right. Reporting for InfoWars, this is Greg Reese.
[00:56:26.440 --> 00:56:28.800]  Ladies and gentlemen, this is The Alex Jones Show.
[00:56:28.960 --> 00:56:33.559]  I am your host this evening, Chase Geyser, for the next two hours and 54 minutes.
[00:56:33.800 --> 00:56:39.420]  We are going to be covering the news, breaking down all of the headlines, all of the cliffs, and taking your calls in the final hour.
[00:56:39.619 --> 00:56:43.440]  Open lines as always, so keep those phones close by.
[00:56:44.159 --> 00:56:45.619]  Dial in in two hours.
[00:56:45.920 --> 00:56:47.880]  We've got this breaking news from today.
[00:56:48.239 --> 00:56:49.820]  Assassination attempt number three.
[00:56:50.539 --> 00:56:55.820]  Armed man who said he wanted to kill the president arrested outside Trump's Coachella rally.
[00:56:56.969 --> 00:57:01.769]  A couple of main quotes from that article by the great Jamie White on Infowars.com.
[00:57:01.949 --> 00:57:07.750]  Quote, we arrested a man trying to get in the perimeter with two firearms who ended up saying he was going to kill the president.
[00:57:07.750 --> 00:57:13.550]  We probably stopped another assassination attempt, says Riverside County Sheriff Chad Bianco.
[00:57:14.070 --> 00:57:21.969]  The arrest occurred in wake of two previous alleged assassination attempts on former President Trump, but suspect already released from custody on $5,000 bail.
[00:57:23.269 --> 00:57:33.659]  Unbelievable. An armed man was arrested Saturday outside former President Donald Trump's MAGA rally in Coachella, California, after he allegedly said he wanted to kill the president.
[00:57:33.800 --> 00:57:43.400]  Riverside County Sheriff Chad Bianco told the Epoch Times that his department arrested a man who was in possession of two firearms outside the perimeter of Trump's event in Coachella, 130 miles east of Los Angeles.
[00:57:45.650 --> 00:57:50.769]  Saying again, we arrested a man trying to get in the perimeter with two firearms who ended up saying that he was going to kill the president.
[00:57:51.150 --> 00:57:58.530]  Bianco told the outlet, adding, the individual was carrying fraudulent VIP and media passes at the rally checkpoint.
[00:58:00.030 --> 00:58:04.630]  And they say this is the third attempt, but we know it's the fourth if we count what happened in Tucson.
[00:58:04.909 --> 00:58:22.590]  I don't want to beat a dead horse or belabor the point, but the fact of the matter is the leftists, the Democrats, the globalists have failed the American people so abundantly over the course of the last several years that the population of the American nation has become abundantly populist.
[00:58:23.130 --> 00:58:29.010]  In and of itself, it realizes that our problems are no longer right versus left, but the people versus the political class.
[00:58:29.289 --> 00:58:35.090]  And so they have to resort to assassinating their political opponents because they cannot beat them in fair elections.
[00:58:35.230 --> 00:58:41.650]  They can't even beat them in rigged elections because support for Donald Trump is officially too big to rig.
[00:58:42.590 --> 00:58:45.650]  It's just too big to rig.
[00:58:45.869 --> 00:58:46.889]  And we have them admitting this.
[00:58:46.969 --> 00:58:48.409]  We're going to show you clip number 27 here in a moment.
[00:58:49.690 --> 00:58:50.869]  This is not a good sign.
[00:58:50.989 --> 00:58:54.869]  Mar rips Dems for using Tim Walz to connect with black male voters.
[00:58:55.250 --> 00:59:07.349]  Let's run clip number 27 and then I'll show you example after example after example of leftists freaking out as this election comes to a head with just a little over three weeks until the fate of America and humanity is decided.
[00:59:07.510 --> 00:59:13.849]  Clip number 27. It's 25 days before the election, and I gotta say, it's not looking that great for the Democrats.
[00:59:14.110 --> 00:59:18.289]  I mean, this is not a good sign, you know, when you have an African-American candidate.
[00:59:18.389 --> 00:59:23.190]  You probably shouldn't be having to shore up your support among black men, but that's what's going on.
[00:59:23.289 --> 00:59:28.530]  Tim Walz is headlining a voter engagement event tonight with black men.
[00:59:28.670 --> 00:59:32.590]  Who better to connect with young black men than Tim Walz?
[00:59:37.759 --> 00:59:40.739]  Because apparently Michael Buble was unavailable.
[00:59:48.900 --> 00:59:51.000]  Meanwhile, Kim Kardashian's like, hello.
[00:59:54.739 --> 00:59:59.659]  But... No, Obama even came out yesterday to scold.
[01:00:00.000 --> 01:00:01.659]  I mean, he was scolding.
[01:00:01.880 --> 01:00:05.820]  Well, I don't know. In the last month of the convention, he was no scolding.
[01:00:05.900 --> 01:00:10.710]  Now he's scolding. He was saying, you've got to vote for Harris.
[01:00:10.849 --> 01:00:14.550]  But of course, for some young, especially the younger black men, it's a tough choice.
[01:00:15.050 --> 01:00:17.989]  Harris is African-American, but Trump has a sneaker line.
[01:00:19.929 --> 01:00:21.590]  Yeah, they really dropped the ball.
[01:00:21.750 --> 01:00:22.969]  They really dropped the ball.
[01:00:23.269 --> 01:00:28.889]  In their efforts, I'm going to show you some clips of some black men analyzing some of the Kamala Harris campaign stuff going on here.
[01:00:28.949 --> 01:00:30.789]  But let's just get through this Bill Maher stuff.
[01:00:30.849 --> 01:00:31.929]  I want to show you clip number 38.
[01:00:32.090 --> 01:00:33.949]  Maher mocking Kamala's media blitz.
[01:00:34.070 --> 01:00:36.809]  She went to places where the ass is pre-kissed.
[01:00:36.969 --> 01:00:38.170]  Let's watch clip number 38.
[01:00:40.409 --> 01:00:48.030]  Okay, so I was mentioning in the monologue, there's some sobering statistics for the Democrats this week about the election, which is only a little over three weeks away.
[01:00:48.250 --> 01:00:50.510]  I'm taking this from Andrew Sullivan's column.
[01:00:50.630 --> 01:00:58.389]  He says, at this point in 2020, Biden, with far fewer resources than Harris has, was 10 points ahead of Trump.
[01:00:58.690 --> 01:01:01.190]  And in 2016, Hillary was six up.
[01:01:01.789 --> 01:01:03.909]  And she is only 2.6 up.
[01:01:04.510 --> 01:01:07.309]  Pennsylvania, Biden was up 7 at this point.
[01:01:07.550 --> 01:01:09.050]  She's up 1.
[01:01:09.670 --> 01:01:12.349]  Michigan, Biden was up 8, and she's tied.
[01:01:12.909 --> 01:01:15.510]  Now, we're all in our bubbles, okay?
[01:01:16.670 --> 01:01:21.510]  And that's one reason I'm glad you're here, because a lot of people are saying, I don't care about any of this.
[01:01:21.550 --> 01:01:24.030]  How could anyone think about voting for Trump?
[01:01:24.110 --> 01:01:25.550]  And that's why you're here, Buck. Thank you.
[01:01:26.349 --> 01:01:27.630]  And we're going to get to that.
[01:01:28.840 --> 01:01:31.679]  But it does not seem like she is closing the deal.
[01:01:31.840 --> 01:01:33.519]  This week she did a media blitz.
[01:01:35.400 --> 01:01:38.340]  She went to Howard Stern and Stephen Colbert and The View.
[01:01:39.159 --> 01:01:42.820]  Places where, you know, I would say the ass is pre-kissed.
[01:01:47.440 --> 01:01:50.300]  Am I wrong?
[01:01:50.460 --> 01:02:01.800]  No. And while she's doing the view in some podcast called Call Me Daddy or something like that, and these other just favorable placements, even 60 Minutes she probably thought was favorable.
[01:02:02.199 --> 01:02:07.519]  While she's doing all these friendly outlets, she's bombing there, looking like she's totally dropping the ball.
[01:02:07.619 --> 01:02:10.500]  It's obnoxious. She's reading a teleprompter when she's on Oprah.
[01:02:10.739 --> 01:02:15.500]  It's unbelievably disgusting how incompetent and lacking of just utter talent.
[01:02:15.869 --> 01:02:17.590]  This woman is running for office.
[01:02:17.789 --> 01:02:23.349]  It's no wonder that she's losing in the polls and they still have to say that she's winning in the polls even though the numbers are way down.
[01:02:23.449 --> 01:02:36.639]  I mean we saw how close the election was close quote in 2020 and by all of the 2020 standards Kamala Harris is just getting absolutely murdered politically, metaphorically here.
[01:02:36.739 --> 01:02:40.300]  She is murdered in the polls, way less popular than Biden.
[01:02:40.480 --> 01:02:43.119]  We know there's going to be a lower turnout than 2020.
[01:02:43.320 --> 01:02:47.639]  It's very likely that there's going to be a lower voter turnout than 2020 because that was in the middle of this...
[01:02:47.659 --> 01:03:08.179]  We're good to go.
[01:03:09.989 --> 01:03:22.630]  persuading voters to not care about a word that she says or not be enthusiastic about her policies whatsoever between amnesty and ads like this clip number 19 I think it's pretty obvious that she just sucks.
[01:03:22.789 --> 01:03:27.130]  Let's watch clip number 19 here in this cringe new Kamala ad begging men to vote for a woman.
[01:03:29.070 --> 01:03:30.969]  I'm a man. I'm a man.
[01:03:31.150 --> 01:03:32.190]  I'm a man, man.
[01:03:32.389 --> 01:03:36.070]  I'm man enough. I'm man enough to enjoy a barrel-proof bourbon.
[01:03:36.210 --> 01:03:38.510]  Neat. Man enough to cook my steak rare.
[01:03:38.690 --> 01:03:42.550]  Man enough to deadlift 500 and braid the s*** out of my daughter's hair.
[01:03:42.730 --> 01:03:44.489]  You think I'm afraid to rebuild a carburetor?
[01:03:44.650 --> 01:03:46.030]  I eat carburetors for breakfast.
[01:03:46.369 --> 01:03:48.630]  I ain't afraid of bears. That's what bear hugs are for.
[01:03:48.949 --> 01:03:51.230]  I'll tell you another thing I sure as s*** am not afraid of.
[01:03:52.489 --> 01:03:54.210]  Women. I'm not afraid of women.
[01:03:54.369 --> 01:03:55.409]  I'm not afraid of women.
[01:03:55.550 --> 01:03:56.769]  They want to control their bodies?
[01:03:57.050 --> 01:03:58.110]  I say go for it.
[01:03:58.269 --> 01:03:59.730]  They want to use IVF to start a family?
[01:03:59.989 --> 01:04:01.150]  I'm not afraid of families.
[01:04:02.929 --> 01:04:10.010]  Well, I hope she has the guts to look me right in the eye and accept my full-throated endorsement.
[01:04:10.210 --> 01:04:11.710]  Because I'm man enough to support women.
[01:04:11.989 --> 01:04:14.489]  You just described Kamala Harris as full-throated.
[01:04:14.489 --> 01:04:17.769]  I'm man enough to admit I'm lost even when I refuse to ask for directions.
[01:04:18.090 --> 01:04:21.210]  Man enough to not ban young women from reading Little Women.
[01:04:23.469 --> 01:04:25.349]  I'm man enough to raw dog a flight.
[01:04:25.630 --> 01:04:26.869]  It sucked. What?
[01:04:27.030 --> 01:04:30.210]  Not worth it. I'm man enough to be emotional in front of my wife.
[01:04:30.469 --> 01:04:32.250]  In front of my kids. In front of my horse.
[01:04:32.989 --> 01:04:36.110]  What? I'm man enough to tell you that I cry at Love Actually.
[01:04:36.309 --> 01:04:37.949]  Good Will Hunting. West Side Story.
[01:04:38.469 --> 01:04:44.960]  And Predator. I'm sick of so-called men domineering, belittling, and controlling women just so they can feel more power.
[01:04:44.960 --> 01:04:46.119]  This is my first time watching this video.
[01:04:46.119 --> 01:04:47.280]  That's not how my mama raised me.
[01:04:47.440 --> 01:04:50.139]  I love women. I love women who support their families.
[01:04:50.360 --> 01:04:52.039]  Women who decide not to have families.
[01:04:52.260 --> 01:04:55.179]  Women who take charge. And I'm man enough to help them win.
[01:04:57.469 --> 01:05:00.869]  You know, there's somebody in my neighborhood that actually has a Harris Waltz sign out in their yard.
[01:05:01.610 --> 01:05:04.849]  And I'm not a leftist, so I'm not going to vandalize or destroy that sign.
[01:05:04.889 --> 01:05:15.789]  I don't believe in that. I'm just going to put a Trump sign out in my yard and defend it to the lawful extent of the law here in Texas, which means if anybody touches it, I'm going to shoot them in the face.
[01:05:16.769 --> 01:05:23.170]  But... It's just so infuriating after you see ads like that, clips like that, statements like this.
[01:05:23.429 --> 01:05:32.989]  All this evidence, headline after headline, stack after stack, article after article of how incompetent and evil and corrupt and just stupid, abundantly dangerously stupid these people are.
[01:05:33.110 --> 01:05:39.510]  When you see a sign out in somebody's yard that supports it, somebody in your neighborhood, somebody of your socioeconomic status that should know better.
[01:05:39.869 --> 01:05:45.690]  Probably college educated, probably successful, probably a house with two working professionals.
[01:05:45.869 --> 01:05:47.869]  I mean, these are people that are not supposed to be stupid.
[01:05:48.030 --> 01:05:55.670]  These are people that are supposed to have IQs above 100, making the abundantly stupid decision to support Harris-Waltz.
[01:05:55.730 --> 01:05:57.429]  I just cannot believe it.
[01:05:58.940 --> 01:06:07.820]  And even more frustrating than seeing a cringe ad like that and then support for Kamala Harris is seeing clip number 26 here where Harris pledges amnesty for millions.
[01:06:08.219 --> 01:06:18.440]  We understand now that the reason they left the border completely open is so that over 20 million people can come into this country so they can be shipped to swing states like Ohio.
[01:06:20.590 --> 01:06:37.469]  And then so that if the Democrats win this election cycle, they can grant amnesty to these 20 million people and then just initiate, manifest the fact that the United States of America will then become a one-party state indefinitely until total collapse and then civil war, whether it's in 10 years or 100 years from now.
[01:06:37.750 --> 01:06:38.789]  Is that what they want?
[01:06:38.889 --> 01:06:40.449]  I mean, unbelievable. Watch clip 26.
[01:06:42.369 --> 01:06:44.369]  So my pledge to you...
[01:06:45.079 --> 01:07:00.599]  Is that by the grace of God, and hopefully with your support as well, when I am elected president, I will bring back that border security bill, and I will sign it into law, and do the work of focusing on what we must do,
[01:07:00.840 --> 01:07:14.599]  the orderly and humane pathway to earn citizenship, and one of the biggest You know, I thought since 1933 a brown suit was taboo.
[01:07:15.659 --> 01:07:26.840]  Unbelievable. And that is, again, that is one of the priorities for me, frankly, in terms of my motivation for what I know we must do.
[01:07:27.719 --> 01:07:29.219]  And I think it's...
[01:07:30.909 --> 01:07:38.889]  I think it should compel us to agree they should not have to live in fear but should have an ability to be on a pathway to earn their citizenship.
[01:07:39.210 --> 01:07:40.449]  So it is one of my priorities.
[01:07:42.369 --> 01:07:43.929]  Absolutely disgusting. I mean, they admit it.
[01:07:44.050 --> 01:07:46.550]  They don't even try to hide it anymore, as Alex Jones says.
[01:07:46.849 --> 01:07:48.030]  They're not even trying to cover it up.
[01:07:48.150 --> 01:08:06.829]  I remember a time in the United States of America where our corrupt politicians, our supervillains, were so competent, so good at their supervillainy that they actually did cover their tracks, that they lied so well that you had the benefit of the doubt and you couldn't really pin down what they were doing with certainty because it was just an odicum,
[01:08:06.909 --> 01:08:10.010]  a modicum of doubt as to what they were really doing.
[01:08:11.309 --> 01:08:17.949]  But now we've arrived at this place in our politics where the supervillains don't even try to cover up what they are doing.
[01:08:18.069 --> 01:08:21.329]  They don't even do what they're doing in the name of some noble cause.
[01:08:22.550 --> 01:08:28.430]  I mean, at least Hitler, as evil as he was, claimed that he was trying to do what was in the best interest of Germany.
[01:08:28.630 --> 01:08:35.229]  Turns out he was wrong and millions upon millions of Germans died and they totally lost everything in World War II. Turns out they did terrible things.
[01:08:35.689 --> 01:08:43.689]  Stalin, evil as he was, did what he was doing in the name of this collectivist ideal of communism for the sake of the working class people of Russia.
[01:08:43.949 --> 01:08:45.689]  Turns out he was an evil bastard too.
[01:08:45.890 --> 01:08:48.130]  Turns out, yeah, millions upon millions of people died.
[01:08:48.730 --> 01:09:06.310]  Mao! Turns out he was evil, after all, with 50 million people killed in the Great Leap Forward between 1958 and 1962, but at least he did it in the name of industrializing China and bringing China into the future so that it wouldn't become some moot talking point of some history lesson.
[01:09:07.430 --> 01:09:10.569]  But now we have these Democrats leading our country.
[01:09:10.649 --> 01:09:14.850]  They're not even coming out in the name of some real good, in the name of some greater good.
[01:09:14.909 --> 01:09:18.310]  They're just saying things like, yes, we want to take away your guns.
[01:09:18.550 --> 01:09:20.550]  We don't believe that you have a Second Amendment right.
[01:09:20.670 --> 01:09:27.569]  And we want to amend the Constitution so that you don't have freedom of speech because it turns out freedom of speech is really just getting in the way of democracy.
[01:09:27.770 --> 01:09:36.250]  And when the Supreme Court doesn't agree with us, we just want to expand the Supreme Court so that we can water it down with leftist judges and make it rule in our favor from now on.
[01:09:36.750 --> 01:09:51.649]  And we also want to open up the borders entirely so there's no national sovereignty and then grant all of the invaders citizenship when they come in so they vote for us and there's never any representation of half of America ever again, the half that we don't like ever again in the future of the United States of America.
[01:09:51.770 --> 01:10:01.789]  I mean, they're just telling you how evil they are right before your eyes while the media in clip number 37 just weeps and cries that Gen Z doesn't support them.
[01:10:01.909 --> 01:10:09.920]  It's unbelievable. Watch. I had thought that Trump's debate performance would disqualify him.
[01:10:10.359 --> 01:10:24.800]  Then in the end, looking at the two candidates side by side, which the American people have been waiting weeks and months to see, that just as Biden's performance cost him the nomination, that Trump's performance would cost him the election.
[01:10:25.520 --> 01:10:29.960]  And I've had to walk that back a little bit because I think the race is dead even.
[01:10:30.340 --> 01:10:32.539]  I don't find the national numbers at all.
[01:10:32.720 --> 01:10:34.060]  It's the seven states.
[01:10:34.319 --> 01:10:37.720]  And in every one of those seven states, it's within the margin of error.
[01:10:37.939 --> 01:10:39.800]  In fact, it's half the margin of error.
[01:10:40.220 --> 01:10:51.340]  So there's no way to call it right now, which is why these 4% — and that's it — these 4% races are impossible to predict.
[01:10:51.800 --> 01:10:53.180]  Now, they could all go for Harris.
[01:10:53.300 --> 01:10:54.439]  They could all go for Trump.
[01:10:54.909 --> 01:10:58.770]  But I'm questioning whether these undecided voters are even going to participate.
[01:10:59.050 --> 01:11:00.189]  I know you're going to play some sound.
[01:11:00.710 --> 01:11:05.329]  But make no mistake, we are on a pin's edge right now.
[01:11:05.510 --> 01:11:14.649]  And the essential key point of this is that who they vote for is the next president of the United States.
[01:11:15.800 --> 01:11:25.079]  So, Frank, let's listen to what some of the focus group participants had to say about why they are still undecided.
[01:11:26.579 --> 01:11:31.840]  Raise your hand if you are undecided still at this point.
[01:11:34.329 --> 01:11:47.270]  If the election were held today, who would you vote for if you had to pick, if the election were held today, between Trump, Harris, a write-in, and not voting?
[01:11:48.369 --> 01:11:50.869]  Yeah, I think I'm going to vote for Kamala Harris.
[01:11:51.029 --> 01:12:00.470]  I just can't get over what happened in 2020 and what's been reaffirmed in the debates and the general statements made during the campaign.
[01:12:01.010 --> 01:12:05.449]  Not just the riot, but the alternative slate of elector schemes is a bridge too far for me.
[01:12:06.480 --> 01:12:13.420]  Angelo, just if you can ask briefly, you've been a little bit leaning Harris, and I know tonight you raised some concerns.
[01:12:14.539 --> 01:12:16.579]  Why are you in the right-end camp right now?
[01:12:17.479 --> 01:12:24.779]  In my opinion, the more I look back into it, the more I watch the debate, the more I look into her campaign, I cannot trust her.
[01:12:25.359 --> 01:12:30.479]  I'm not going to vote for Trump, but the more I think about it, the more I just don't know if I can vote for Harris.
[01:12:30.560 --> 01:12:31.779]  I just do not trust her.
[01:12:31.840 --> 01:12:35.340]  I'm more inclined to write someone who I feel like would best represent me through my vote.
[01:12:35.789 --> 01:12:36.989]  Aisha, how about you?
[01:12:37.189 --> 01:12:40.369]  Raise your hand. If you had to vote today for Harris, why Harris?
[01:12:42.050 --> 01:12:47.270]  I just want to see what she will do because I know she's going to have to run again later.
[01:12:47.869 --> 01:12:52.909]  So I'm hoping she will be an exemplary president for this term.
[01:12:53.109 --> 01:12:54.630]  That's my only reason. Okay.
[01:12:55.390 --> 01:12:56.930]  And Abigail, how about you?
[01:12:58.789 --> 01:13:17.840]  Some people said some things tonight that motivated me to do a little bit more research about Well,
[01:13:18.640 --> 01:13:23.020]  the fact she's thinking she's going to have children means that she's probably going to vote for Donald Trump.
[01:13:25.670 --> 01:13:29.250]  Okay, so first of all, we thank everybody for participating.
[01:13:29.609 --> 01:13:33.930]  Absolutely no bad things to say about people who participate in these conversations.
[01:13:33.930 --> 01:13:35.890]  Right before she says bad things about it.
[01:13:36.710 --> 01:13:39.890]  But does anybody at this table need to take a deep breath?
[01:13:39.890 --> 01:13:42.229]  Because I do. I just do.
[01:13:42.590 --> 01:13:46.590]  We've been listening to Undecided for weeks on TUA. So they're freaking out.
[01:13:46.869 --> 01:13:48.130]  This is the point of the whole clip.
[01:13:48.250 --> 01:13:51.470]  I don't want to, you know, torture you.
[01:13:52.489 --> 01:13:55.350]  With clips from MSNBC any more than absolutely necessary.
[01:13:55.689 --> 01:14:07.810]  Not only is it terribly insulting how inaccurate they are in the reporting of virtually everything, but it adds insult to injury how boring they are about it too.
[01:14:08.029 --> 01:14:13.029]  I mean, it's just sad, washed up pundits with their...
[01:14:14.359 --> 01:14:18.380]  Perfect hair, I guess it's supposed to be perfect, and then their corny suit.
[01:14:19.060 --> 01:14:33.439]  There's something about the whole aesthetic of mainstream media that just insults me as an American because they don't even try to be cool in any way, shape, or form, or original in any way, shape, or form with their fake backdrops, and they drop a flag and a Capitol and a monument.
[01:14:33.800 --> 01:14:36.899]  And then we got the landscapes on the other screen that doesn't even make any sense.
[01:14:36.979 --> 01:14:39.239]  What the hell is going on aesthetically?
[01:14:39.340 --> 01:14:46.680]  I can tell you right now that if we threw up a background like that before Alex Jones sat in this chair, he'd be like, what the hell is this behind me right now?
[01:14:47.180 --> 01:14:56.039]  So when I watch these other shows, these other networks, I am particularly sensitive to some of the production decisions that are being made by people with absolutely no taste.
[01:14:57.399 --> 01:14:58.640]  I think it's Dave Rubin.
[01:14:58.739 --> 01:14:59.779]  He's a famous producer.
[01:15:00.850 --> 01:15:01.869]  Doesn't play any instruments.
[01:15:01.989 --> 01:15:03.989]  He's a guy that's kind of bald with a really long beard.
[01:15:04.670 --> 01:15:07.010]  He's done a bunch of cool records.
[01:15:07.170 --> 01:15:08.350]  I think he's worked with the Black Keys.
[01:15:08.689 --> 01:15:11.550]  He did a documentary with Rick Rubin.
[01:15:11.630 --> 01:15:13.310]  Thank you. Rick Rubin.
[01:15:13.949 --> 01:15:17.449]  He did a documentary where he listened to some old Beatles songs with Paul McCartney.
[01:15:18.090 --> 01:15:19.770]  And one time he was asked...
[01:15:21.840 --> 01:15:26.899]  How is it that you're able to produce all these amazing records even though you don't play any instruments?
[01:15:27.079 --> 01:15:28.159]  Please get this guy off the screen.
[01:15:28.399 --> 01:15:30.739]  It's distracting how dorky and lame he is.
[01:15:32.899 --> 01:15:34.060]  Thank you.
[01:15:35.600 --> 01:15:36.939]  He said, I have good taste.
[01:15:37.119 --> 01:15:40.300]  I'm able to produce these great records because I have good taste.
