[00:00:00.000 --> 00:00:06.960]  The World Health Organization pandemic treaty is still not approved.
[01:56:07.069 --> 01:56:09.569]  And what it does to the body is just incredible.
[01:56:10.220 --> 01:56:21.560]  Well, the CMOS we have at thealexjonesstore.com is a private label of one of the top-rated, strongest CMOS formulas in the country.
[01:56:21.899 --> 01:56:23.699]  So, we're not reinventing the wheel here.
[01:56:23.779 --> 01:56:37.210]  We're bringing you the known top superfood from a top producer that our great sponsors at thealexjonesstore.com have gotten the authorization because the owners of the formula Like my broadcast and gave us a great deal on it.
[01:56:37.670 --> 01:56:39.369]  And that means we pass on the savings to you.
[01:56:39.569 --> 01:56:41.550]  For a limited time, the sale's going to end soon.
[01:56:42.090 --> 01:56:45.710]  Around December 1st, you can get 55% off on three bottles.
[01:56:45.970 --> 01:56:48.029]  And believe me, once you start tagging it, you're going to want more.
[01:56:48.130 --> 01:56:48.949]  So you're going to be glad you got it.
[01:56:49.210 --> 01:56:53.470]  50% off on two bottles and 40% off on one bottle.
[01:56:53.569 --> 01:56:57.569]  There's a lot of other great supplements as well at thealexjonesstore.com.
[01:56:57.630 --> 01:57:09.289]  But let me just read to you what some of the superfoods, because it's not Just sea moss that's in it, though it is equivalent of 40 grams concentrated sea moss in one serving, two capsules.
[01:57:09.430 --> 01:57:15.970]  It's also got the bladder rack and the burdock root, as well as concentrated pepperdine and more.
[01:57:16.590 --> 01:57:19.829]  So here's what Irish sea moss does, according to ChatGPT.
[01:57:20.029 --> 01:57:21.529]  Rich in nutrients.
[01:57:21.829 --> 01:57:25.770]  Contains 92 of the 102 essential minerals the body needs.
[01:57:26.210 --> 01:57:27.750]  Boost immune system support.
[01:57:28.180 --> 01:57:30.439]  Packed with antioxidants and antiviral properties.
[01:57:30.920 --> 01:57:32.239]  Supports digestive health.
[01:57:32.479 --> 01:57:33.720]  Enhances skin health.
[01:57:33.960 --> 01:57:35.140]  Promotes thyroid function.
[01:57:35.520 --> 01:57:36.579]  Aids weight loss management.
[01:57:36.939 --> 01:57:38.060]  Improves energy levels.
[01:57:38.340 --> 01:57:39.619]  Supports respiratory health.
[01:57:39.920 --> 01:57:40.920]  That's just the sea moss.
[01:57:41.319 --> 01:57:42.420]  Now let's look at bladder rack.
[01:57:42.880 --> 01:57:43.699]  Thyroid support.
[01:57:44.000 --> 01:57:45.100]  Anti-inflammatory.
[01:57:45.380 --> 01:57:46.220]  Digestive aid.
[01:57:46.560 --> 01:57:47.300]  Rich in antioxidants.
[01:57:47.739 --> 01:57:48.579]  Skin health.
[01:57:48.819 --> 01:57:50.020]  Weight management.
[01:57:50.439 --> 01:57:51.079]  Joint support.
[01:57:51.680 --> 01:57:53.779]  Improves vision and so much more.
[01:57:53.920 --> 01:57:55.140]  Now let's look at burdock root.
[01:57:55.649 --> 01:58:08.350]  Detoxifies the body, rich in antioxidants, improves skin health, supports digestive health, boost immune system function, balances blood sugar, anti-inflammatory, supports circulation, and again, so much more.
[01:58:08.529 --> 01:58:13.149]  And it's not just Ultimate CMOS Formula that's amazing at TheAlexJonesStore.com.
[01:58:13.550 --> 01:58:17.970]  Incredible Patriot gear, Infowars gear, Trump One gear.
[01:58:18.170 --> 01:58:21.250]  We have limited edition fundraiser posters.
[01:58:21.640 --> 01:58:25.479]  And all of these products keep our transmission on the air.
[01:58:25.659 --> 01:58:31.840]  Whether Infowars gets shut down by the bad guys or not, looks like it's not going to be by the grace of God, so keep praying for us and keep supporting.
[01:58:32.199 --> 01:58:38.279]  But regardless, we've set up the Alex Jones Network and are ready in case it shuts down to not miss a beat.
[01:58:38.279 --> 01:58:42.979]  All because of viewers and listeners like you past support.
[01:58:43.340 --> 01:58:56.180]  So, visit thealexjonesstore.com today and make sure you become a VIP member if you're going to buy anything and support because you get $40 to spend each month in the store for your membership of $30 and you can cancel anytime.
[01:58:56.539 --> 01:58:58.939]  So again, be sure and visit thealexjonesstore.com.
[01:58:59.039 --> 01:59:00.239]  It's a total win-win.
[01:59:00.420 --> 01:59:06.020]  Try the Irish CMOS, get some of the Patriot gear, support the Infowar and have a healthier day.
[01:59:06.490 --> 01:59:17.550]  It is a true 360 win and it all starts at thealexjonesstore.com and I want to thank you for keeping us on the air and encourage you now to support so we stay on the air in the face of the new world order.
[01:59:23.689 --> 01:59:39.050]  Look, when you realize how fake it all is, the football, the basketball, the Lady Gaga, the Justin Bieber, you know, who gives you these carbon tax messages, they tell your kids they gotta love Justin Bieber, and then Bieber says, hand in your guns,
[01:59:39.289 --> 01:59:41.789]  pass the Cybersecurity Act, and...
[01:59:42.760 --> 01:59:57.520]  The police state's good, and then your children are turned into mindless vassals who now, they look up to some twit instead of looking up to Thomas Jefferson, or looking up to Nikola Tesla, or looking up to Magellan.
[01:59:57.859 --> 02:00:00.140]  I mean, kids, Magellan's a lot cooler!
[02:00:00.170 --> 02:00:01.989]  Cooler than Justin Bieber.
[02:00:02.130 --> 02:00:06.750]  He circumnavigated with one ship the entire planet.
[02:00:07.069 --> 02:00:10.649]  He was killed by wild natives before they got back to Portugal.
[02:00:10.649 --> 02:00:19.449]  And when they got back, there was only like 11 people alive of the 200 and something crew, and the entire ship was rotting down to the waterline.
[02:00:19.670 --> 02:00:20.949]  That's destiny.
[02:00:21.149 --> 02:00:21.890]  That's will.
[02:00:22.229 --> 02:00:23.529]  That's striving.
[02:00:23.810 --> 02:00:27.409]  That's being a trailblazer, an explorer, going into space.
[02:00:27.760 --> 02:00:30.720]  Mathematics, quantum mechanics, the secrets of the universe.
[02:00:30.960 --> 02:00:31.779]  It's all there.
[02:00:31.979 --> 02:00:33.760]  Life is fiery with its beauty.
[02:00:33.899 --> 02:00:35.460]  It's incredible detail.
[02:00:35.800 --> 02:00:36.859]  Tuning into it.
[02:00:36.960 --> 02:00:40.420]  They want to shudder your mind talking about Justin Bieber.
[02:00:41.899 --> 02:00:43.300]  It's pure evil.
[02:00:43.659 --> 02:00:48.300]  They're taking your intellect and your soul and giving you Michael Jordan and Bieber.
[02:00:49.559 --> 02:00:51.079]  Unlock your human potential.
[02:00:51.840 --> 02:00:56.119]  Defeat the globalists who want to shatter your mind, your doorways to perception.
[02:00:56.520 --> 02:00:59.039]  I want to see you truly live.
[02:00:59.260 --> 02:01:02.180]  I want to see you truly be who you are.
[02:01:03.840 --> 02:01:15.439]  I don't want my progeny who's coming, my unborn grandchildren and great-grandchildren to live in this nightmare system these control freaks have created.
[02:01:16.449 --> 02:01:30.369]  Where these wicked globalists are so threatened by human potential, they poison the water, the vaccines, the food to turn us into a bunch of slugs, a bunch of lobotomized sloths so they can control us.
[02:01:30.449 --> 02:01:31.350]  It is a crime.
[02:01:31.510 --> 02:01:36.989]  It is the most jealous, envious, greedy, hateful, sickening thing the New World Order does.
[02:01:37.090 --> 02:01:40.529]  And that's why I am so pleased to be committed in the fight against them.
[02:01:40.760 --> 02:01:44.060]  That's why I don't care about my own life except I wanna continue to live to fight them.
[02:01:44.260 --> 02:01:46.199]  That's why I don't have fear.
[02:01:46.460 --> 02:01:51.399]  I only have fear of myself and my flesh and not being up to the challenge.
[02:01:53.510 --> 02:01:58.369]  And I ask you to look in the mirror and ask yourselves, what are you doing in this time of great challenge?
[02:01:58.850 --> 02:02:00.729]  What are you doing to unlock minds?
[02:02:01.569 --> 02:02:06.029]  Once you unlock a mind, once you unlock somebody, then they can unlock their soul.
[02:02:06.250 --> 02:02:07.369]  We can't unlock a soul.
[02:02:07.609 --> 02:02:08.750]  Only God can do that.
[02:02:08.869 --> 02:02:10.329]  But we can unlock minds.
[02:02:10.529 --> 02:02:14.989]  And once the mind is unlocked, once the intellect is turned on, then comes the discernment.
[02:02:15.130 --> 02:02:16.930]  Then comes the awakening of the soul.
[02:02:17.350 --> 02:02:20.510]  Then comes true enlightenment and empowerment.
[02:02:21.869 --> 02:02:28.909]  So the globalists seek to make you a bunch of jealous, stunted, weak, backstabbing, gibbering demons.
[02:02:29.710 --> 02:02:32.689]  All of us have the lower elements and the higher.
[02:02:32.890 --> 02:02:34.390]  We must strive for the higher.
[02:02:34.569 --> 02:02:35.409]  Stay with us!
[02:02:36.109 --> 02:02:37.710]  I'm always loving to them.
[02:02:38.350 --> 02:02:44.930]  Do you think that what you've done, choosing the sort of life that you've chosen to lead, is going to make things very, very difficult for your children?
[02:02:45.149 --> 02:02:47.149]  No, I think it's going to make it wonderful for them.
[02:02:47.270 --> 02:02:49.810]  So far, they think mommy's wonderful.
[02:02:50.590 --> 02:02:54.550]  Don't you think it's about time we redefined human relationships?
[02:02:55.050 --> 02:03:02.949]  Haven't we really messed up a lot of people's lives with our old-fashioned values, our old-fashioned bombs?
[02:03:04.310 --> 02:03:09.069]  Aren't we in the generation that should practice what we preach?
[02:03:11.270 --> 02:03:12.689]  Is there a love in your life at the moment?
[02:03:13.550 --> 02:03:14.409]  Oh, yes.
[02:03:14.810 --> 02:03:15.189]  How many?
[02:03:16.350 --> 02:03:17.189]  How many?
[02:03:17.430 --> 02:03:19.010]  Is there a love in my life?
[02:03:19.029 --> 02:03:19.550]  How many?
[02:03:19.850 --> 02:03:21.170]  Well, is there a man in your life?
[02:03:21.310 --> 02:03:22.250]  A special man in your life?
[02:03:22.250 --> 02:03:22.489]  Yes.
[02:03:23.390 --> 02:03:23.930]  Any hints?
[02:03:24.270 --> 02:03:24.590]  No.
[02:03:25.750 --> 02:03:27.250]  Somebody will find out sooner or later later.
[02:03:27.270 --> 02:03:27.470]  Sure.
[02:03:27.810 --> 02:03:30.569]  Does that bother you that you don't have a private life whether you like it or not?
[02:03:30.609 --> 02:03:31.470]  Right now I do.
[02:03:31.729 --> 02:03:32.569]  I love it.
[02:03:32.710 --> 02:03:33.810]  How long do you think that will last?
[02:03:36.470 --> 02:03:37.470]  I don't care.
[02:03:38.550 --> 02:03:45.350]  Reading things about you and even reading your book, it's very easy to get the impression that you're preoccupied with relationships.
[02:03:45.689 --> 02:03:46.510]  Yes, boy crazy.
[02:03:47.090 --> 02:03:48.569]  Now it's the man crazy.
[02:03:49.529 --> 02:03:57.130]  Her approach to motherhood, like her approach to most things, is an odd mixture of naive wisdom and amazing short-sightedness.
[02:03:57.270 --> 02:04:03.189]  She sees her three sons, Justin, Sasha and Michelle, for five days every two weeks.
[02:04:13.649 --> 02:04:14.789]  That is him.
[02:04:15.270 --> 02:04:16.390]  Holy shit, that is him.
[02:04:20.489 --> 02:04:24.029]  Ladies and gentlemen, I am Chase Geiser, your host of The Alex Jones Show today.
[02:04:24.149 --> 02:04:26.069]  Alex will be back in studio on Thursday.
[02:04:26.069 --> 02:04:27.609]  We are wishing you a happy new year.
[02:04:27.750 --> 02:04:30.250]  I am honored to be joined by Dr. Robert Malone.
[02:04:30.409 --> 02:04:31.670]  You know who he is.
[02:04:31.850 --> 02:04:33.369]  You can support him at malone.news.
[02:04:33.430 --> 02:04:37.550]  Follow him on X. And I gotta say, doctor, it's an honor and pleasure to be speaking with you for the first time.
[02:04:37.630 --> 02:04:38.829]  I've followed your work for some time.
[02:04:39.470 --> 02:04:42.170]  Very impressed with you and grateful for the work that you've done.
[02:04:42.910 --> 02:04:50.170]  I have in my office at home a bunch of patents hanging up on the wall, but they're all Nikola Tesla patents because they look so cool with the drawings.
[02:04:50.590 --> 02:04:53.890]  You actually have, it looks like your own patents hanging up on the wall behind you.
[02:04:53.989 --> 02:04:54.810]  That's next level.
[02:04:56.130 --> 02:05:01.630]  I call it my Alex Berenson wall of disinformation.
[02:05:02.069 --> 02:05:14.550]  In our substack, and it's just hitting now, we got a huge bump in paid subscribers when Alex attacked me on Fox News years ago now.
[02:05:14.989 --> 02:05:19.649]  And every year, it rolls around this time, and they all plus up with another year's subscription.
[02:05:19.930 --> 02:05:25.949]  So, Jill tells me that I'd actually thank Alex for his efforts.
[02:05:26.250 --> 02:05:26.250]  Absolutely.
[02:05:26.250 --> 02:05:28.329]  Well, never underestimate the Streisand effect.
[02:05:28.569 --> 02:05:32.250]  There's no such thing as bad publicity, and it's better to be infamous than not famous at all.
[02:05:32.569 --> 02:05:34.529]  So, congratulations on that success.
[02:05:34.529 --> 02:05:38.529]  I'm glad, and I hope that our audience will continue to support you in a more and more expansive way.
[02:05:38.670 --> 02:05:42.090]  So, obviously, you are the mRNA expert.
[02:05:43.090 --> 02:05:45.510]  This bird flu thing has been coming up quite a bit.
[02:05:45.609 --> 02:05:58.750]  I have some very specific things that I want to ask you about, but I want to start with your macro take on what is happening with this bird flu, how it relates to what we experienced in 2020 and what you think is really going on.
[02:05:58.989 --> 02:06:01.789]  Let's just generally attack from that perspective.
[02:06:03.289 --> 02:06:11.750]  So I put out four or five Substack articles on this, and about two weeks ago, I just plus-upped with another threat assessment, updated threat assessment.
[02:06:12.310 --> 02:06:27.550]  The bottom line that everybody needs to be aware of, of course, the CDC doesn't have much credibility these days, but even the CDC is making this statement in its website that the risk associated with bird flu is low.
[02:06:29.529 --> 02:06:32.949]  Here's the key things that people need to keep in mind.
[02:06:33.170 --> 02:06:35.029]  I'm empowering you, the audience.
[02:06:35.630 --> 02:06:41.670]  Here's the way that any professional ought to be looking at any emerging infectious disease outbreak.
[02:06:42.649 --> 02:06:44.909]  Two key points to consider.
[02:06:45.189 --> 02:06:49.170]  Number one, are you seeing a high level of disease?
[02:06:52.020 --> 02:06:59.720]  We're good to go.
[02:07:09.619 --> 02:07:33.579]  Now, what Lena Nguyen is citing, and also Bob Redfield, former CDC director who seems to have gone rogue again, is the old, debunked, outdated WHO statements that bird flu historically has been associated with approximately a 50% case fatality rate.
[02:07:33.899 --> 02:07:37.020]  That is pure, unadulterated fear porn.
[02:07:37.619 --> 02:07:42.300]  What it represents is an artifact of data sampling.
[02:07:43.039 --> 02:07:46.899]  What the WHO collects is information on the most severe cases.
[02:07:46.899 --> 02:07:54.640]  If you have a mild case of something, your doc doesn't call up the WHO and say, hey, you know, this just happened.
[02:07:55.100 --> 02:08:04.340]  No, the only cases that come to the attention of the World Health Organization are the severe cases, often in people who already have significant pre-existing conditions.
[02:08:04.500 --> 02:08:09.260]  Now, we all went through this rodeo with COVID, so you understand how this works.
[02:08:10.970 --> 02:08:13.130]  I think?
[02:08:31.050 --> 02:08:34.909]  3.4 or 3.5% case fatality rate.
[02:08:35.010 --> 02:08:38.670]  In other words, three to four out of every hundred people infected die.
[02:08:38.930 --> 02:08:40.630]  That turns out to be fraud.
[02:08:41.310 --> 02:08:46.350]  And the true case fatality rate with COVID was a fraction of a fraction of 1%.
[02:08:46.350 --> 02:08:55.829]  And this was known early on by a Stanford epidemiologist and public health expert who actually did the right work rather than modeling it.
[02:08:56.090 --> 02:08:59.470]  Same is true with this bird flu outbreak.
[02:09:00.210 --> 02:09:01.069]  So what are the data?
[02:09:01.289 --> 02:09:09.329]  We have something around 60 cases here in the United States, and we have, wait for it, a total of zero deaths.
[02:09:09.590 --> 02:09:13.810]  Do we have any evidence of sustained human-to-human transmission?
[02:09:14.069 --> 02:09:15.310]  The answer is no.
[02:09:15.850 --> 02:09:20.310]  What we do have is an epidemic of testing.
[02:09:21.180 --> 02:09:28.800]  The public health infrastructure within the United States has decided that it's necessary to greatly expand testing.
[02:09:29.159 --> 02:09:31.060]  Remember the PCR story.
[02:09:31.300 --> 02:09:41.100]  With PCR, if you turn up the cycle numbers, you can get positives for anything, especially if you're working in a laboratory that is already testing for whatever that pathogen is.
[02:09:41.239 --> 02:09:46.100]  This is a problem with contamination that's notorious in PCR testing laboratories.
[02:09:46.880 --> 02:09:50.420]  And so, you test more, you find more.
[02:09:50.619 --> 02:09:52.020]  Well, what are you finding?
[02:09:52.659 --> 02:09:53.979]  This is valid.
[02:09:54.779 --> 02:09:57.600]  They were not previously testing cattle.
[02:09:58.729 --> 02:10:08.970]  The issue, to your point, about trying to migrate the mRNA vaccines into livestock and the human food supply...
[02:10:08.970 --> 02:10:16.369]  Now, I would quibble with you about whether or not we have data that they're transmittable from food sources.
[02:10:16.550 --> 02:10:18.750]  Other than milk, that's not shown.
[02:10:19.210 --> 02:10:25.189]  But in any case, the one thing that was very clear...
[02:10:25.949 --> 02:10:37.829]  That the mRNA vaccine technology was not appropriate for was for dairy cattle in particular, because we know that these products are shed in human breast milk.
[02:10:38.229 --> 02:10:43.909]  And lo and behold, they're likely also shed in dairy.
[02:10:45.170 --> 02:10:46.930]  Now, they started testing dairy.
[02:10:47.090 --> 02:10:48.909]  They wanted to jab the cows.
[02:10:49.329 --> 02:10:52.329]  They started testing dairy for bird flu.
[02:10:52.609 --> 02:11:01.270]  And what they found was that the glands in the udders that produce the milk actually support replication of bird flu.
[02:11:01.390 --> 02:11:02.310]  Is this a new finding?
[02:11:03.029 --> 02:11:09.829]  We don't know because they didn't used to test for bird flu in cattle or many other species.
[02:11:10.010 --> 02:11:11.130]  This is a new phenomenon.
[02:11:11.970 --> 02:11:20.529]  And so, yes, we're having bird flu virus, H5N1, which has been around for my entire career.
[02:11:21.550 --> 02:11:24.010]  Is endemic in waterfowl, by the way.
[02:11:24.109 --> 02:11:27.170]  There's no way we're ever going to eradicate bird flu.
[02:11:27.489 --> 02:11:45.550]  To do that, we would have to kill all the migratory geese and ducks in North America because they are all basically chronic carriers and shed enormous amounts of influenza virus in their stool into water supplies.
[02:11:45.710 --> 02:11:46.710]  This is just the facts.
[02:11:47.520 --> 02:12:04.079]  So what we're seeing now that we're testing so much is that dairy workers, particularly in Southern California, are at some low frequency, very low frequency, a total of something less than 60 people have developed symptoms,
[02:12:04.079 --> 02:12:12.939]  and those people are associated with the presence of PCR positive signal for bird flu, which we weren't previously testing for.
[02:12:13.710 --> 02:12:14.810]  What are those symptoms?
[02:12:14.970 --> 02:12:15.529]  Are they dying?
[02:12:15.609 --> 02:12:16.449]  Are they going to the hospital?
[02:12:16.630 --> 02:12:22.989]  No, mostly they're getting conjunctivitis and pink eye, which they recover from naturally without any treatment.
[02:12:23.649 --> 02:12:27.729]  So this is absolutely not a medical crisis.
[02:12:28.149 --> 02:12:31.829]  It is not a biologic emergency.
[02:12:32.569 --> 02:12:38.109]  But the fear that has been circulated by Lena Nguyen and so many others...
[02:12:39.199 --> 02:12:55.159]  Recently, notoriously, with her appearance on Face the Nation, is that it's possible, it's theoretically possible, that at some point this avian influenza might mutate to become more infectious in humans.
[02:12:55.420 --> 02:12:59.600]  That is absolutely a possibility, but it's somewhere in the future.
[02:13:00.000 --> 02:13:04.239]  And by the way, decades of coexistence with bird flu has never had this happen.
[02:13:04.859 --> 02:13:20.180]  We have been through multiple outbreaks of fear porn around bird flu and had influenza vaccines developed and deployed for this, but there has never been a major outbreak.
[02:13:20.460 --> 02:13:41.510]  So the advocacy right now coming out of basically the pharmaceutical biodefense industrial complex, you know, teamed with the military industrial complex, We're going to have to deploy these mRNA vaccines that they have been paid hundreds of millions of dollars to develop by BARDA,
[02:13:41.970 --> 02:13:46.250]  a branch of Health and Human Services that will come under Bobby's supervision.
[02:13:47.219 --> 02:13:48.960]  Should he be confirmed?
[02:13:49.539 --> 02:13:54.119]  They have paid enormous amounts of money to have these products developed.
[02:13:54.340 --> 02:13:57.340]  There has been some stockpiling of these products.
[02:13:57.619 --> 02:14:00.279]  They are not tested clinically.
[02:14:00.640 --> 02:14:02.520]  They are not approved.
[02:14:02.880 --> 02:14:04.920]  They are not authorized for marketing.
[02:14:05.239 --> 02:14:09.479]  And there's no medical emergency, so there can't be an emergency use authorization.
[02:14:09.760 --> 02:14:28.500]  But the likes of Lena Nguyen and her colleagues are out beating the drums right now that the Biden administration ought to basically jump the shark, rush these things out, emergency use authorize them, circulate widely, home testing for bird flu.
[02:14:29.199 --> 02:14:43.659]  And completely avoid any clinical trials and just start jabbing people with these new bird flu vaccines because they elicit an antibody response in animals, okay?
[02:14:43.920 --> 02:14:46.739]  And this is the other part of this whole problem set.
[02:14:47.460 --> 02:14:55.380]  Is Lena Nguyen, bless her heart sugar, has no bloody clue about influenza and immunology.
[02:14:55.579 --> 02:15:08.319]  And she doesn't understand that just because there's antibodies produced in an animal, that does not mean that a product, quote, vaccine is going to be effective in humans.
[02:15:08.659 --> 02:15:16.439]  Historically, even the best influenza vaccines lately have been something like 20 to 40% effective.
[02:15:16.890 --> 02:15:31.670]  Now we've been through that rodeo with COVID. If you administer a crummy, leaky vaccine in the face of any kind of a major public health outbreak, what you get is an infectious disease that's more resistant to the vaccine.
[02:15:31.909 --> 02:15:32.829]  Come on, guys.
[02:15:33.069 --> 02:15:34.930]  How many times do we have to learn this lesson?
[02:15:35.899 --> 02:15:45.420]  So they are advocating that they just go ahead and start jabbing in the, what is it, three weeks left of the Biden administration.
[02:15:45.699 --> 02:15:45.939]  Right.
[02:15:46.199 --> 02:15:47.979]  As many as possible before the 20th.
[02:15:48.670 --> 02:16:02.210]  Before the Trump administration comes in and shuts them down, because they've dropped hundreds of millions of dollars, and these companies that are manufacturing this product, like Pfizer and Moderna, want to get it out into the market.
[02:16:02.430 --> 02:16:22.670]  And they are afraid, for good reason, that the new director of the FDA, the new director of the CDC, the new director of NIH, and their boss, Bobby Kennedy, presumably, Psychological bioterrorism PSYOP,
[02:16:22.789 --> 02:16:24.789]  which is what is being deployed right now.
[02:16:24.949 --> 02:16:27.170]  I'll stop there and let you get a word in edgewise.
[02:16:27.449 --> 02:16:28.949]  No, I love that analysis.
[02:16:28.949 --> 02:16:29.609]  It's so powerful.
[02:16:29.770 --> 02:16:41.270]  I had Dr. McCullough on yesterday, and he enlightened me to the fact that there have been some gain-of-function research done on the bird flu, which made it transmissible from poultry to mallard ducks.
[02:16:41.489 --> 02:16:43.770]  Of course, that increases the ability for it to spread.
[02:16:43.870 --> 02:16:44.170]  I got this...
[02:16:44.920 --> 02:16:47.879]  This study right here, this is from Peter McCullough's Substack.
[02:16:51.459 --> 02:17:05.340]  What are your thoughts on whether or not this strain of bird flu has been manipulated?
[02:17:07.620 --> 02:17:10.239]  I'm not aware of genetic evidence that that's the case.
[02:17:10.399 --> 02:17:19.260]  And by the way, Peter, bless his heart, is a great cardiologist and a renal specialist, but he knows almost nothing about molecular biology, virology, and vaccinology.
[02:17:19.479 --> 02:17:20.959]  Just to make that point.
[02:17:21.159 --> 02:17:21.299]  Sure.
[02:17:21.680 --> 02:17:24.459]  Well, that's something that he and I share in common.
[02:17:24.719 --> 02:17:25.940]  The history?
[02:17:26.219 --> 02:17:27.600]  Okay, fair enough.
[02:17:28.559 --> 02:17:30.159]  But you don't...
[02:17:30.159 --> 02:17:31.559]  Let's not go there.
[02:17:31.680 --> 02:17:31.840]  Okay.
[02:17:32.379 --> 02:17:36.799]  So, the history of gain-of-function research in influenza is long.
[02:17:37.610 --> 02:17:53.750]  In fact, it was the advent of a paper, I think it's two manuscripts, one from the Netherlands and one from the University of Wisconsin years ago, that demonstrated that influenza can be adapted,
[02:17:53.870 --> 02:17:57.850]  avian influenza can be adapted to infect mammals.
[02:17:58.450 --> 02:18:03.610]  Through a couple of specific point mutations, both laboratories independently found those mutations.
[02:18:04.510 --> 02:18:08.709]  That prompted the original ban on gain-of-function research.
[02:18:09.069 --> 02:18:15.989]  There's also a laboratory at the University of Georgia that's been doing gain-of-function research on avian influenza.
[02:18:16.370 --> 02:18:36.889]  So there are multiple approaches, and it's all justified as dual-function research that has both a potential knowledge gain component, As well as a potential weaponization component or application.
[02:18:37.149 --> 02:18:46.649]  Now it goes back even further than that in terms of influenza because the CDC really did groundbreaking research over a decade ago.
[02:18:47.250 --> 02:19:02.790]  That demonstrated that there are a couple of specific point mutations that you can put in influenza to cause it to shift from upper airway, which tends to be relatively non-pathogenic, to lower airway, which is less effective but much more pathogenic.
[02:19:03.420 --> 02:19:07.780]  I think?
[02:19:24.000 --> 02:19:29.959]  derives from laboratory-based gain-of-function research in my mind is a bridge too far.
[02:19:30.180 --> 02:19:31.979]  We don't have that evidence.
[02:19:32.139 --> 02:19:35.360]  Personally, I think it's irresponsible to make those kinds of statements.
[02:19:35.600 --> 02:19:37.399]  Has any sequence analysis been done?
[02:19:38.399 --> 02:19:44.040]  It creates a situation in which the public is like the boy crying wolf.
[02:19:45.120 --> 02:19:53.500]  This may happen at some point in time, and we want people, when we say this is what's happened, we want them to have confidence that, in fact, that's what's happened.
[02:19:53.760 --> 02:20:00.620]  So that's my take on the issue of gain-of-function research, laboratory research, including serial passage.
[02:20:01.250 --> 02:20:04.190]  That's old school gain-of-function research.
[02:20:04.389 --> 02:20:13.450]  And by the way, serial passage was probably done at University of North Carolina by Ralph Baric on the SARS-CoV-2.
[02:20:13.729 --> 02:20:17.430]  So, you know, this is, it just keeps coming around and around.
[02:20:17.909 --> 02:20:26.049]  Has any sequence analysis been done in a substantial way on the existing strains of this specific bird flu?
[02:20:27.000 --> 02:20:28.780]  My understanding is the answer is yes.
[02:20:39.760 --> 02:20:46.500]  Is that there is a case in Louisiana of an elderly gentleman with multiple pre-existing conditions.
[02:20:47.200 --> 02:20:50.840]  Presumably, he worked on one of these major chicken farms.
[02:20:51.020 --> 02:20:51.360]  I don't know.
[02:20:52.100 --> 02:20:57.819]  And was in close contact with a number of chicken carcasses that had been infected.
[02:20:58.680 --> 02:21:10.719]  And he developed kind of a slow-burning, indolent infection with this avian influenza, no surprise, and he is quite ill but has not passed away.
[02:21:11.440 --> 02:21:35.790]  You know, this is another case, like we heard again and again with SARS-CoV-2, where the press is jumping on these things, asserting that, and there's another case in Mexico, which the Mexican government denies, But the press is asserting that these cases where avian influenza has been detected are demonstrating that avian influenza is what's causing this more severe disease,
[02:21:36.010 --> 02:21:41.409]  where specifically this gentleman in Louisiana has a lot of other diseases.
[02:21:41.549 --> 02:21:45.250]  It just happens that makes him more susceptible to avian influenza.
[02:21:45.250 --> 02:21:58.750]  Now, in his case, because it's been burning in his body, And any RNA virus is highly prone to mutation because it's involved in the molecular biology of RNA replication.
[02:21:59.170 --> 02:22:13.020]  Those RNA polymerases are error-prone, and these viruses evolve, particularly if they stay in your body a long time, like HIV. And so there has been a couple of mutations in the case of this gentleman.
[02:22:13.379 --> 02:22:16.940]  There's no reports that those have been transmitted to third parties.
[02:22:17.180 --> 02:22:25.020]  Remember, sustained human-to-human transmission is a characteristic you have to see, and if it's not there, it's fear porn.
[02:22:25.649 --> 02:22:36.629]  Okay, so that's how I see it right now, is we do have significant insight into where the bad problems might arise.
[02:22:37.649 --> 02:22:50.729]  If those had occurred, I guarantee it would have been shouted from the rooftops all across the world, including from Tedros Cabresos at WHO. There has been none of those reports.
[02:22:51.549 --> 02:22:59.989]  And of course it's evolving, particularly in people that are chronically infected, because that's what happens with RNA viruses.
[02:23:01.120 --> 02:23:01.440]  Sure.
[02:23:01.639 --> 02:23:02.780]  Well, here's what I'm curious about then.
[02:23:02.959 --> 02:23:15.540]  If we've established there's not human to human transference and we've transmission and we've established that a lot of these mortality claims of 50 to 60% of those infected are greatly exaggerated.
[02:23:16.459 --> 02:23:22.559]  My next question, of course, for you is what is the mortality rate of chickens that are infected?
[02:23:22.780 --> 02:23:23.360]  Do we know that?
[02:23:24.969 --> 02:23:25.969]  So that's a good question.
[02:23:26.129 --> 02:23:28.430]  And I don't know the specifics.
[02:23:28.489 --> 02:23:35.889]  I do know that there is a significant mortality associated with bird flu in a number of different species of which chickens is one.
[02:23:36.129 --> 02:23:56.659]  And there is also a standard U.S.-centric public policy, but it's shared in many other nations, that if you have a chicken house that gets infected, We're good to go.
[02:24:07.930 --> 02:24:09.469]  I used to live in North Georgia.
[02:24:10.149 --> 02:24:22.649]  If any of your listeners haven't ever encountered a modern commercial-grade chicken farm, they ought to find out about it.
[02:24:22.729 --> 02:24:27.950]  Because that's the real problem here, is that factory farming...
[02:24:28.670 --> 02:24:35.709]  It gives rise to the emergence of infectious disease, particularly viral infectious disease.
[02:24:35.969 --> 02:24:44.709]  And that includes, in particular, swine farming, swine factory farming, where you have animals closely quartered with each other.
