[00:00:07.543 --> 00:00:08.624]  ...government cover-ups.
[01:34:51.257 --> 01:34:54.341]  But maybe he wasn't telling the line.
[01:34:54.361 --> 01:34:55.142]  I don't know.
[01:34:55.162 --> 01:34:56.965]  I mean, I've studied Israel quite a bit.
[01:34:56.985 --> 01:34:58.728]  It's pretty important, but I don't know about this guy.
[01:34:59.068 --> 01:35:00.210]  Maybe you can fill me in on it?
[01:35:02.052 --> 01:35:03.812]  There's a bunch of other news I've got here, too.
[01:35:03.832 --> 01:35:07.573]  We're going to go to Eric and Alan and Tony and John and everybody else here in just a minute.
[01:35:07.973 --> 01:35:10.314]  But first, I always like to have her up at least once a week.
[01:35:10.334 --> 01:35:11.234]  She's Debbie Morrow.
[01:35:11.294 --> 01:35:16.335]  She handles just the phone calls for New Millennium Concept, the national manufacturer and distributor.
[01:35:16.735 --> 01:35:17.835]  They manufacture the U.S.
[01:35:17.875 --> 01:35:18.856]  Berkey, Black Berkeys.
[01:35:18.896 --> 01:35:20.916]  They are the national distributor of the British Berkeys.
[01:35:21.856 --> 01:35:24.817]  They've got the Lexan models, the stainless steel models.
[01:35:25.665 --> 01:35:31.980]  Uh, and the reason it's important that they're the national manufacturer and then the distributor as well is that you get distributor prices.
[01:35:32.982 --> 01:35:36.903]  You pay $300 for their basic unit at a camping supply or survival shop.
[01:35:37.363 --> 01:35:45.446]  It's $2.99 with a free gift, a $30 value, the sports bottle or potassium iodide, or the sheltering in place video.
[01:35:45.486 --> 01:35:52.288]  You pay $2.59, you get two free gifts, and it comes with the LED lights that you can get a little solar charger for to always give you light.
[01:35:52.308 --> 01:35:56.369]  You can also charge your cell phone and it has an adapter for other plug-ins on it.
[01:35:56.889 --> 01:35:58.269]  Kind of like a survival buoy.
[01:35:58.449 --> 01:35:59.990]  Great thing for the camphouse or
[01:36:00.550 --> 01:36:02.371]  The farm, or your home, or business.
[01:36:02.411 --> 01:36:03.751]  We have one right here in the office.
[01:36:04.512 --> 01:36:05.332]  I have one at home.
[01:36:05.432 --> 01:36:07.653]  I've given, I think, it's a whole bunch.
[01:36:07.833 --> 01:36:08.793]  It's got to be, I don't know.
[01:36:10.454 --> 01:36:18.356]  Over the last, I started buying these in 1998, and I guess since then I've probably given about 2 or 3 actually a year as gifts.
[01:36:18.417 --> 01:36:18.817]  I don't know.
[01:36:18.857 --> 01:36:20.077]  It's a whole bunch of them.
[01:36:21.338 --> 01:36:23.038]  It's got to be over 10 of these things as gifts.
[01:36:27.364 --> 01:36:28.164]  Here's Debbie Morrow.
[01:36:28.204 --> 01:36:29.484]  Debbie, thanks for coming on with us.
[01:36:29.584 --> 01:36:30.365]  Hi there, Alex.
[01:36:30.485 --> 01:36:32.225]  Thank you very much for having me.
[01:36:32.605 --> 01:36:33.145]  You bet.
[01:36:33.165 --> 01:36:35.966]  This is made in America, which is why most folks won't want to get it.
[01:36:35.986 --> 01:36:37.146]  You have British.
[01:36:37.166 --> 01:36:40.267]  I know America is so rare, people may not believe something is actually made here.
[01:36:40.667 --> 01:36:41.967]  But you do have British.
[01:36:43.227 --> 01:36:44.968]  Our brethren over there, our cousins.
[01:36:45.988 --> 01:36:48.889]  Tell us about the Big Berkey and why folks should get them.
[01:36:48.909 --> 01:36:50.909]  The Berkey water filter system
[01:36:51.693 --> 01:36:58.620]  are a unique water purification system because, one, you do not need to plumb them into your system.
[01:36:58.680 --> 01:37:01.082]  You can use them anywhere worldwide.
[01:37:01.142 --> 01:37:02.323]  You can take it with you.
[01:37:02.784 --> 01:37:06.687]  You can use it under normal or hostile or emergency environments.
[01:37:06.807 --> 01:37:10.511]  So, you know, it's an all-around water filter system.
[01:37:10.671 --> 01:37:14.555]  It's very affordable and it pays for itself very quickly.
[01:37:15.006 --> 01:37:22.410]  And not only that, you're sure that you're getting the healthiest possible water and that's our main goal is to make sure that people get good water.
[01:37:22.430 --> 01:37:23.771]  I'm just going to trust the government.
[01:37:23.811 --> 01:37:25.032]  I think that's nutritious.
[01:37:26.273 --> 01:37:28.614]  Well, you don't have to do that with the Berkey water filter.
[01:37:28.654 --> 01:37:35.178]  You can actually test your water to be sure that it's taking the contaminants out and so you can visually see
[01:37:35.973 --> 01:37:39.375]  That you're taking out everything that needs to come out of the water.
[01:37:39.395 --> 01:37:52.341]  But mercury and nickel and herbicides and pesticides and motor oil and all the dead bacteria, because the chlorine just kills the bacteria, all the dead bacteria, all the chlorine, all of it, that is delicious!
[01:37:52.381 --> 01:37:53.582]  Why would I want to drink that?
[01:37:53.942 --> 01:37:54.482]  I don't know.
[01:37:54.502 --> 01:37:59.025]  I can't imagine why somebody wouldn't want to feel terrible after they drink water.
[01:37:59.105 --> 01:38:01.186]  Well, you know, I shouldn't feel good.
[01:38:01.246 --> 01:38:01.946]  I should feel bad.
[01:38:01.966 --> 01:38:03.207]  I think I'm not going to buy the Berkey.
[01:38:03.945 --> 01:38:06.487]  Plus it's made in America and supports this broadcast.
[01:38:07.307 --> 01:38:09.949]  And of course we have people who own Berkeys and love them out there.
[01:38:10.009 --> 01:38:11.390]  Why should they give them to their children?
[01:38:11.811 --> 01:38:13.352]  Why should they give them to their grandparents?
[01:38:13.372 --> 01:38:16.474]  Why should they give it to their cousin or their neighbor who's their best friend?
[01:38:16.934 --> 01:38:19.736]  Why would you want to tell your family not to drink poison water?
[01:38:19.776 --> 01:38:23.459]  Why would you care and get in their business and buy them a Berkey if you have to?
[01:38:23.759 --> 01:38:25.340]  Like crazy people like myself do.
[01:38:25.360 --> 01:38:29.263]  I can't imagine why somebody would want to do all those things.
[01:38:29.743 --> 01:38:30.564]  Or not do them.
[01:38:31.084 --> 01:38:31.845]  When they can.
[01:38:33.183 --> 01:38:35.824]  Well, Debbie, what you're doing is hateful.
[01:38:35.864 --> 01:38:51.086]  Discounting these about $100 over what they normally sell for in stores, actually hiring people at your factory here in the U.S., New Millennium actually having you just for these radio interviews so you can answer the phone personally for people, because it's the manufacturer and distributor, folks.
[01:38:51.106 --> 01:38:52.347]  They don't normally do this.
[01:38:52.367 --> 01:38:56.607]  Four or five years ago, we decided, hey, we'll actually go out and sell direct over the radio.
[01:38:56.907 --> 01:38:58.228]  How dare you do that, Debbie?
[01:38:58.268 --> 01:38:58.768]  It's horrible.
[01:38:58.808 --> 01:39:00.588]  You should push poison on people.
[01:39:01.337 --> 01:39:01.638]  Okay.
[01:39:02.839 --> 01:39:03.841]  I'll stop being stupid.
[01:39:03.881 --> 01:39:04.622]  I apologize.
[01:39:05.243 --> 01:39:08.107]  I'm just trying to, you know, have another angle here.
[01:39:08.608 --> 01:39:12.573]  Folks, you're crazy if you don't get these filtration systems.
[01:39:12.633 --> 01:39:13.555]  It's really important.
[01:39:13.575 --> 01:39:14.496]  It really works great.
[01:39:14.536 --> 01:39:15.438]  It's easy to put together.
[01:39:15.458 --> 01:39:16.279]  It takes about two minutes.
[01:39:16.969 --> 01:39:17.209]  I think so.
[01:39:36.118 --> 01:39:40.061]  It's just, in a month or two, you'll have this thing paid for.
[01:39:40.601 --> 01:39:41.782]  And so you need to get it.
[01:39:41.822 --> 01:39:42.983]  Give her a call 1-888-803-4438.
[01:39:43.003 --> 01:39:45.364]  888-803-4438.
[01:39:45.864 --> 01:39:52.048]  Or go to Berkeywater.com.
[01:39:52.068 --> 01:39:54.590]  Tell them what free gift you want there in the comment section.
[01:39:54.870 --> 01:39:57.511]  You've also got a code for our listeners so they get the free gifts?
[01:39:58.132 --> 01:39:58.592]  Well, yes.
[01:39:58.672 --> 01:40:05.116]  They can actually, if they go to our website, they can put in the comments
[01:40:06.127 --> 01:40:10.328]  That they heard it on the Alex Jones Show?
[01:40:10.348 --> 01:40:11.668]  Or there is a code.
[01:40:11.688 --> 01:40:13.509]  I don't know what it is.
[01:40:13.749 --> 01:40:15.929]  Code Alex Jones.
[01:40:16.029 --> 01:40:16.869]  Kilroy was here.
[01:40:16.889 --> 01:40:18.330]  Whatever you want to enter in there, they'll know.
[01:40:18.590 --> 01:40:19.970]  Yes, and also call me.
[01:40:19.990 --> 01:40:25.911]  Because I really want to make sure people get the best price and also that they get what they need for their family.
[01:40:25.931 --> 01:40:30.272]  So if you want to give me a call, if you get the message, maybe... Debbie is a softie!
[01:40:31.385 --> 01:40:33.827]  She will deal with you.
[01:40:33.867 --> 01:40:37.949]  Give her a call.
[01:40:37.969 --> 01:40:38.310]  888-803-4438.
[01:40:38.570 --> 01:40:39.971]  How's your husband and family doing?
[01:40:40.411 --> 01:40:41.732]  Oh, everybody's great.
[01:40:41.952 --> 01:40:42.492]  We're blessed.
[01:40:42.913 --> 01:40:44.374]  Well Debbie, we appreciate you coming on.
[01:40:44.454 --> 01:40:45.694]  We will talk to you again soon.
[01:40:45.714 --> 01:40:46.775]  Thank you very much.
[01:40:47.035 --> 01:40:47.335]  You bet.
[01:40:47.355 --> 01:40:47.836]  God bless.
[01:40:48.256 --> 01:40:49.217]  Give her a call right now.
[01:40:49.237 --> 01:40:54.960]  888-803-4438 or Berkeywater.com or order the exact same system.
[01:40:54.980 --> 01:40:58.623]  We just fax them the orders every day at InfoWars.com.
[01:40:58.643 --> 01:41:00.064]  They're on our secure online Google
[01:41:00.664 --> 01:41:01.965]  Excuse me, Yahoo shopping cart.
[01:41:02.605 --> 01:41:03.786]  Got Google on my brain today.
[01:41:04.346 --> 01:41:05.066]  Let's go to the calls.
[01:41:05.086 --> 01:41:06.387]  You've been holding long enough.
[01:41:06.567 --> 01:41:07.947]  Eric in Australia.
[01:41:08.007 --> 01:41:08.648]  Welcome, sir.
[01:41:09.948 --> 01:41:11.169]  Alex Jones, how are you doing?
[01:41:11.189 --> 01:41:11.549]  Good, sir.
[01:41:12.670 --> 01:41:13.630]  Thanks for having me on your show.
[01:41:13.670 --> 01:41:16.611]  Listen, mate, I just want to say you're doing a great job.
[01:41:17.112 --> 01:41:22.514]  I've only been listening to you for about a month now, and I don't know that the world would be a different place without you, mate.
[01:41:23.883 --> 01:41:30.708]  Well, you know, I'm just an average person, and I think the world would be a different place if it wasn't for all of us fighting this tyranny.
[01:41:31.869 --> 01:41:32.609]  Yeah, excellent.
[01:41:32.649 --> 01:41:35.671]  Now, I just have a few comments and questions for you.
[01:41:35.792 --> 01:41:46.779]  Firstly, the Torture Bill, I run a... I work with an online community of gamers, and I play with a lot of American people, and I've been talking to some of them about the issues.
[01:41:46.859 --> 01:41:47.940]  I'm just trying to wake people up.
[01:41:48.000 --> 01:41:48.921]  I've got my own website.
[01:41:48.941 --> 01:41:51.843]  I've posted a lot of your articles and links to your website there.
[01:41:52.503 --> 01:42:11.135]  And I have some people that are in the military, or used to be in the military, and actually are telling me that a lot of the military, as you mentioned just before, are very angry with the torture bill, because they're saying that if America does it to everyone else, that they're going to do it to the Americans when they get caught, because there's going to be no safeguards.
[01:42:11.215 --> 01:42:12.817]  Oh, they're not just going to do it to Americans.
[01:42:12.877 --> 01:42:16.119]  Everything we adopt is adopted by Australia, is adopted by England.
[01:42:16.139 --> 01:42:17.900]  It's just horrible.
[01:42:19.056 --> 01:42:19.457]  Exactly.
[01:42:19.497 --> 01:42:21.019]  A lot of people say to me, why do you care?
[01:42:21.039 --> 01:42:21.760]  You live in Australia.
[01:42:21.780 --> 01:42:25.766]  And I say, well, shoot, you know, we're a rubber stamp of America.
[01:42:25.866 --> 01:42:26.987]  Everything they do, we do.
[01:42:27.167 --> 01:42:30.492]  And I'm actually scared right now what's happening.
[01:42:30.532 --> 01:42:31.513]  It's petrifying.
[01:42:31.854 --> 01:42:32.395]  Well, you know what?
[01:42:32.555 --> 01:42:33.496]  I am scared, too.
[01:42:33.596 --> 01:42:35.960]  And so I've always decided to fight instead of to run.
[01:42:36.590 --> 01:42:40.032]  I mean, I know when to hold them, know when to fold them, know when to walk away, know when to run.
[01:42:40.052 --> 01:42:41.093]  I mean, sometimes I'll run.
[01:42:42.234 --> 01:42:42.874]  Rarely, though.
[01:42:43.475 --> 01:42:46.597]  But, you know, I just instinctively tend to get up on my hind legs.
[01:42:47.337 --> 01:42:49.039]  And believe me, I'm totally freaked out.
[01:42:49.079 --> 01:42:51.620]  It's why I'm getting more and more aggressive, more and more focused.
[01:42:51.960 --> 01:42:53.401]  I'm working more and more than I ever have.
[01:42:53.421 --> 01:42:54.963]  I've got more energy than I ever had.
[01:42:55.243 --> 01:42:56.323]  Because we're in combat.
[01:42:56.343 --> 01:42:56.944]  I mean, listen.
[01:42:57.384 --> 01:43:01.347]  Actual Hitler types have seized control of the lone superpower.
[01:43:02.026 --> 01:43:03.567]  They're destroying the Bill of Rights.
[01:43:04.148 --> 01:43:04.948]  Our country, sir!
[01:43:05.809 --> 01:43:07.290]  We're in the North American Union!
[01:43:07.950 --> 01:43:10.332]  Believe me, if you're freaked out, I'm freaked out.
[01:43:10.732 --> 01:43:12.213]  They actually killed my country!
[01:43:12.754 --> 01:43:15.856]  Now, it's like somebody who's had a heart attack and has been dead for two minutes.
[01:43:15.876 --> 01:43:20.139]  You've got a couple more minutes to put the paddles to their chest and defibrillate them and wake them up.
[01:43:20.179 --> 01:43:25.263]  But, you know, in the scale of things, a few years, a few months, you know, that's the scale of a few minutes.
[01:43:26.168 --> 01:43:29.430]  With the life of a country, and we don't have long to defibrillate.
[01:43:29.470 --> 01:43:31.331]  I mean, literally, folks, we're turning green here.
[01:43:31.351 --> 01:43:32.051]  We're going down.
[01:43:32.892 --> 01:43:35.073]  I want you folks in Australia to know, the U.S.
[01:43:35.093 --> 01:43:35.713]  has fallen.
[01:43:36.053 --> 01:43:37.014]  We have been hijacked.
[01:43:37.054 --> 01:43:42.317]  Listen, it's like when an American Airlines jet gets hijacked, for real, not like 9-11.
[01:43:43.297 --> 01:43:46.639]  That isn't now an American Airlines jet.
[01:43:46.659 --> 01:43:48.120]  It's not an American Airlines pilot.
[01:43:48.260 --> 01:43:49.360]  It's been grabbed.
[01:43:49.400 --> 01:43:50.241]  It's been seized.
[01:43:51.201 --> 01:43:52.502]  And that's what's happened.
[01:43:53.846 --> 01:43:55.187]  Absolutely, absolutely.
[01:43:55.447 --> 01:44:04.053]  You know, I really didn't know much about your Constitution or, you know, everyone talked about the American freedoms and why people loved America, and I didn't really, I never really had a need to study it.
[01:44:04.473 --> 01:44:16.521]  And it's only in the last few weeks that I've been looking up the Bill of Rights, your Constitution, and I've got to tell you, they were so spot on when they did it, and to see it getting destroyed, even as an Australian citizen, to see that, it's disgraceful.
[01:44:17.902 --> 01:44:20.824]  Well, as you said, Robert Stamp, they're dismantling your freedoms, too.
[01:44:21.903 --> 01:44:25.025]  Yeah, well, you know, a lot of people here don't know about it.
[01:44:25.085 --> 01:44:30.409]  It was passed a while back about capturing terrorists and detaining them indefinitely, and that was a while back.
[01:44:30.429 --> 01:44:31.891]  Well, I mean, just the gun control alone.
[01:44:32.931 --> 01:44:35.133]  Yeah, well, that's been happening for a long time.
[01:44:35.193 --> 01:44:41.698]  In fact, there was an incident in Tasmania that triggered a lot of that, and there's even reports that that could have been staged as well.
[01:44:41.778 --> 01:44:44.360]  Yeah, that was totally, that was a total government op.
[01:44:45.524 --> 01:44:49.446]  Yeah, that's what the rumors are.
[01:44:49.486 --> 01:44:53.128]  That's more of a reason to have guns, that these nuts go around doing this.
[01:44:53.168 --> 01:44:54.628]  Never did it in the past when we had guns.
[01:44:54.969 --> 01:45:00.811]  Just do it now, always in the care of Tavistock Institute British Intelligence Officers.
[01:45:01.272 --> 01:45:02.072]  I mean, give me a break.
[01:45:03.172 --> 01:45:03.973]  Yeah, absolutely.
[01:45:04.413 --> 01:45:08.415]  You know, you can't even have any kind of defensive weapon, a knife or a
[01:45:09.379 --> 01:45:11.820]  Or even some chili spray is a prohibited weapon.
[01:45:11.840 --> 01:45:13.320]  You could go to jail for it here.
[01:45:13.920 --> 01:45:17.261]  You can't get slingshots, sir, now into your country.
[01:45:17.281 --> 01:45:18.682]  Yeah, no, absolutely.
[01:45:18.722 --> 01:45:20.262]  They've been illegal for many years.
[01:45:20.362 --> 01:45:21.843]  Many years.
[01:45:21.863 --> 01:45:22.323]  Trust me.
[01:45:22.763 --> 01:45:23.603]  Since I was a kid.
[01:45:23.783 --> 01:45:26.264]  Yeah, your government is enslaving you.
[01:45:26.764 --> 01:45:33.126]  Some of the most rugged people in the world, the Australians, just being totally disarmed.
[01:45:33.146 --> 01:45:34.146]  And it's just going to get worse now.
[01:45:34.747 --> 01:45:38.108]  You know, they killed Prof. Dundee, but not the guy on the movie.
[01:45:38.388 --> 01:45:40.148]  The real guy who looked just like him.
[01:45:40.548 --> 01:45:41.888]  He wouldn't turn his guns in.
[01:45:41.948 --> 01:45:42.948]  I'm sure you heard about that.
[01:45:43.389 --> 01:45:44.509]  Happened about nine years ago.
[01:45:44.529 --> 01:45:47.809]  And they came out to his house and just the SWAT teams just opened fire.
[01:45:48.369 --> 01:45:51.790]  Just blew, I mean literally, just opened fire like a Dirty Harry movie.
[01:45:52.150 --> 01:45:53.930]  Just fired hundreds of rounds into that house.
[01:45:55.031 --> 01:45:56.551]  He killed two of them though.
[01:45:57.631 --> 01:45:58.711]  Yeah, I'll have to look that one up.
[01:45:59.391 --> 01:46:00.771]  Listen, I just have a question.
[01:46:00.812 --> 01:46:03.552]  It's a topic that I haven't heard you talk about.
[01:46:04.435 --> 01:46:07.036]  Um, since I've been listening, which has only been about a month now.
[01:46:07.617 --> 01:46:09.277]  But have you heard of the Disclosure Project?
[01:46:10.738 --> 01:46:11.318]  Yes, I have.
[01:46:12.439 --> 01:46:15.340]  Okay, what's your opinion of the Disclosure Project?
[01:46:15.801 --> 01:46:16.601]  What's your angle on that?
[01:46:16.821 --> 01:46:20.623]  Well, last time I checked, it's got Bill Clinton's former Chief of Staff working with it.
[01:46:20.663 --> 01:46:22.704]  It's got a known Rothschild working on it.
[01:46:23.428 --> 01:46:35.379]  And I think it's part of a very large-scale PSYOP program, and I think it's bringing in legitimate, for those who don't know, now two astronauts have gone public saying they've seen UFOs, their war craft out there.
[01:46:37.702 --> 01:46:40.925]  There's a big push by the government to claim that we're going to be
[01:46:42.336 --> 01:46:45.679]  You know, basically invaded by this, we've got to give up all our rights to fight that.
[01:46:45.719 --> 01:46:49.202]  That could be a hoax with holograms or other advanced technologies.
[01:46:49.722 --> 01:47:03.293]  I don't doubt there's not life out in the universe, but the point is, the stuff we talk about is so hardcore and so hard to believe, even when it's in the legislation, even when it's in the Houston Chronicle, they're building concentration camps.
[01:47:03.988 --> 01:47:16.577]  Here in America, it's so hard core that I shy away from things I can't prove and the things that are entertaining and people like and I'd cover it but I just won't do it.
[01:47:17.718 --> 01:47:26.665]  I understand the separation between your topics and the Disclosure Project but they do cover a lot of industrial military complex
[01:47:27.786 --> 01:47:50.038]  The coercion of the government... No, I know, but see, when you mix that together, the media's always tried to mix people that report on, say, the North American Union in with the UFO stuff, and I'm not knocking people who do, I'm just saying, here on this broadcast, I mean, callers can always call in about it, I think I'm going to have George Norion soon, who knows what he'll talk about, but, you know, we occasionally get into it, just looking at the movement itself, but I don't know.
[01:47:50.078 --> 01:47:52.440]  Hey, listen, good to hear from you from Australia, Eric.
[01:47:52.500 --> 01:47:53.340]  Keep it up, my friend.
[01:47:53.820 --> 01:47:56.842]  Let's talk to Alan, and Alan, where are you calling us from?
[01:47:58.413 --> 01:47:59.733]  Hi Alex, thanks for taking my call.
[01:48:00.234 --> 01:48:01.894]  Great, well thank you for calling, where are you calling from?
[01:48:01.914 --> 01:48:03.074]  Connecticut.
[01:48:03.194 --> 01:48:04.035]  Okay, what's going on?
[01:48:04.875 --> 01:48:07.576]  Okay, well first I have a comment and then a question.
[01:48:07.936 --> 01:48:16.738]  First I want to say, let's just, let's say for example that you're a blind neocon follower, and let's pretend it's 2008, and let's say Hillary Clinton wins.
[01:48:17.418 --> 01:48:23.540]  What people don't realize is that all of these acts, the military commissions, banning habeas corpus, torture bills,
[01:48:23.956 --> 01:48:27.539]  These are all going to apply to all those neocons that supported George Bush.
[01:48:27.639 --> 01:48:30.321]  Oh, they're still going to see that you're right, but they're still going to like it.
[01:48:30.682 --> 01:48:33.504]  Because it'll be against the Islamofascist and others.
[01:48:33.544 --> 01:48:34.485]  They'll love Hillary.
[01:48:34.785 --> 01:48:37.287]  Look, Rupert Murdoch has dinner with her every week.
[01:48:37.367 --> 01:48:39.769]  Roger Ailes, head of Fox News, head of Limbaugh's op.
[01:48:40.510 --> 01:48:41.711]  It's hilarious when, right now,
[01:49:07.099 --> 01:49:09.220]  They all say, yeah, but that's for terrorists!
[01:49:09.320 --> 01:49:10.280]  I'm an American!
[01:49:10.300 --> 01:49:11.020]  They're not going to get me!
[01:49:11.040 --> 01:49:11.620]  That's right!
[01:49:11.640 --> 01:49:12.320]  I love Hillary now!
[01:49:12.520 --> 01:49:13.581]  She's got some problems!
[01:49:13.641 --> 01:49:15.001]  She did take our guns!
[01:49:15.321 --> 01:49:17.942]  But at least she's whooping up on Arabs!
[01:49:19.402 --> 01:49:21.723]  I have a question for you, too, if I could.
[01:49:21.783 --> 01:49:22.023]  Sure.
[01:49:23.703 --> 01:49:28.465]  I'm 27, and in the first of the year, I wanted to start a, you know, a basic retirement account.
[01:49:28.505 --> 01:49:30.085]  I did want to invest in gold and silver.
[01:49:30.725 --> 01:49:33.406]  And in your opinion, would you recommend
[01:49:34.127 --> 01:49:45.610]  Stashing a bunch of cash and gold coins or going for a retirement account that invests in gold and silver, I mean, because with the economy, it seems to me the economy is very shaky right now.
[01:49:45.630 --> 01:49:47.550]  Well, let me just give you my advice, and you can take it for what it's worth.
[01:49:47.590 --> 01:49:49.111]  I'm not giving you financial advice.
[01:49:49.131 --> 01:49:50.151]  This is what I would do.
[01:49:50.831 --> 01:49:51.831]  I would diversify.
[01:49:51.851 --> 01:49:55.932]  I'd have a little bit of cash in this bank, a little bit of cash in that bank.
[01:49:55.992 --> 01:49:58.873]  I'd have a little bit of money in a local bank, a little bit of money in a big bank.
[01:50:00.246 --> 01:50:03.209]  Uh, I don't have a great deal of capital, so this isn't something I really need to worry about.
[01:50:03.229 --> 01:50:06.253]  I have a business account, a little bit of money I've got I keep for the business.
[01:50:06.954 --> 01:50:09.517]  Most of my money is just there to be spent on this operation.
[01:50:10.498 --> 01:50:13.782]  But the other money, I would take physical possession.
[01:50:14.876 --> 01:50:16.957]  Of course, we're good to go.
[01:50:39.784 --> 01:50:40.444]  I don't think so.
[01:50:58.614 --> 01:51:00.316]  And then I'd keep a little bit of money in the bank.
[01:51:00.376 --> 01:51:01.216]  Diversity.
[01:51:01.697 --> 01:51:02.537]  Multi-legs.
[01:51:02.557 --> 01:51:04.999]  You don't want to be sitting on one leg or two legs or three legs.
[01:51:05.339 --> 01:51:06.420]  You want to have four or five legs.
[01:51:06.700 --> 01:51:12.265]  I'll tell you the best thing you can have, the best asset you can have when we get back, and I appreciate your call, sir.
[01:51:12.825 --> 01:51:15.187]  I'll tell you the most important asset you can have when we return.
[01:51:22.489 --> 01:51:25.630]  It's here, after a year in production and traveling to distant lands.
[01:51:26.010 --> 01:51:27.951]  My new film, Terror Storm, is complete.
[01:51:28.311 --> 01:51:35.973]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:51:36.653 --> 01:51:43.696]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:51:44.096 --> 01:51:50.938]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying,
[01:51:51.471 --> 01:51:55.533]  Secret police torture, the latest 9-11 information, and much, much more.
[01:51:55.834 --> 01:51:59.356]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:51:59.796 --> 01:52:01.757]  It's an anthology of government crimes.
[01:52:02.057 --> 01:52:05.980]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:52:06.500 --> 01:52:13.964]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:52:19.617 --> 01:52:27.967]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[01:52:28.127 --> 01:52:38.179]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[01:52:38.659 --> 01:52:44.501]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[01:52:44.741 --> 01:52:49.162]  Find out everything from where to get water in an emergency to geographic income levels.
[01:52:49.382 --> 01:52:55.444]  Housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[01:52:55.624 --> 01:53:02.066]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[01:53:02.366 --> 01:53:07.528]  Order Bruton Places USA now for only $29, plus shipping by calling New Millennium.
[01:53:07.748 --> 01:53:09.512]  Call us at 888-803-4438 and tell them Alex Jones sent you.
[01:53:09.573 --> 01:53:11.437]  That's 888-803-4438 or order online at Berkeywater.com.
[01:53:19.165 --> 01:53:27.112]  For years you've been hearing about Herbal Healer Academy and how it's remained the leader in effective alternative and natural medicine and education.
[01:53:27.553 --> 01:53:30.716]  But how can they continue to hold that title for years on end?
[01:53:31.096 --> 01:53:34.139]  The answer is high quality and huge selection.
[01:53:34.539 --> 01:53:39.343]  Just visit HerbalHealer.com and shop online or request a free catalog.
[01:53:39.784 --> 01:53:42.126]  You're bound to find the alternative you're looking for.
[01:53:42.859 --> 01:53:47.542]  Did you know that Herbal Healer carries the latest, safest and effective weight loss products?
[01:53:48.062 --> 01:53:53.925]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[01:53:54.245 --> 01:53:55.386]  And don't forget your pets!
[01:53:55.846 --> 01:54:01.509]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows and birds.
[01:54:01.980 --> 01:54:08.346]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[01:54:08.887 --> 01:54:13.732]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[01:54:14.272 --> 01:54:17.636]  HerbalHealer.com, working with the power of nature.
[01:54:20.752 --> 01:54:45.246]  The most important asset you can have is a personal relationship with Jesus Christ.
[01:54:48.408 --> 01:54:59.937]  Knowing God, having a sense of wonderment, having a will to do unto others as you've had them do unto you, being willing to lay down your life for your brother or even for your neighbor or someone you don't know.
[01:54:59.957 --> 01:55:02.219]  And the truth is, that's not a sacrifice.
[01:55:03.160 --> 01:55:09.285]  When you have a culture where people are ready to lay down their lives and you have courage, you literally drown in milk and honey.
[01:55:10.106 --> 01:55:13.247]  Because everybody's cool, they're smart, they're strong.
[01:55:13.607 --> 01:55:15.267]  Criminals are almost non-existent.
[01:55:15.287 --> 01:55:18.228]  There's dynamic ideas and an upward lifting spirit.
[01:55:18.788 --> 01:55:25.249]  Instead we're entering a dark age of ninnying and bobbles and just beastly level garbage.
[01:55:25.289 --> 01:55:33.671]  And it's all being fed to us through our sensory perceptions by top mind control experts who've literally woven this modern system.
[01:55:34.525 --> 01:55:39.810]  And the other big asset more important than gold or real estate or anything is friends.
[01:55:40.090 --> 01:55:42.252]  I've said it before and people picked up the quote.
[01:55:43.733 --> 01:55:50.859]  Good friends and family, good friends and community are more important and more valuable than all the gold in the hills.
[01:55:52.521 --> 01:55:53.141]  And that's true.
[01:55:54.562 --> 01:55:57.545]  Having neighbors and friends and good people you can trust and
[01:55:58.698 --> 01:56:03.381]  Having people that will come to your aid, people that will give you the shirt off their back, that's the most important thing.
[01:56:03.582 --> 01:56:11.247]  We need communities locally of people we can trust and people we can work with.
[01:56:11.267 --> 01:56:12.828]  Another great asset is courage.
[01:56:15.670 --> 01:56:23.396]  And of course, I cannot stress enough the importance of the Second Amendment.
