[00:00:18.612 --> 00:00:19.312]  People of the day!
[00:47:03.872 --> 00:47:06.033]  Six-tenths plus of a million, okay?
[00:47:06.413 --> 00:47:08.173]  That's more than half a million dead.
[00:47:08.333 --> 00:47:14.575]  Six hundred and fifty four thousand, two hundred and something, I forget the exact number, are dead in the last three and a half years.
[00:47:14.635 --> 00:47:16.856]  That is a conservative estimate, they said.
[00:47:17.196 --> 00:47:19.456]  They said it could be as high as nine hundred plus thousand.
[00:47:19.697 --> 00:47:24.698]  But conservative, what they know have died six hundred plus thousand, okay?
[00:47:25.938 --> 00:47:29.819]  Now, before that, it's over a million and a half Iraqis.
[00:47:29.839 --> 00:47:31.500]  So, conservatively, two
[00:47:34.759 --> 00:47:35.620]  .15 million.
[00:47:35.800 --> 00:47:37.962]  We know their population was 25 million in 1990.
[00:47:39.443 --> 00:47:43.245]  And it is now, my friends, 22 and some change.
[00:47:43.626 --> 00:47:46.147]  So, I guess, I mean, it'll be 6 million, 10 million.
[00:47:46.167 --> 00:47:47.248]  I mean, this will go on forever.
[00:47:47.408 --> 00:47:49.490]  Pretty soon, the last Iraqi will be gunned down.
[00:47:49.730 --> 00:47:50.931]  And that'll make a lot of you happy.
[00:47:50.971 --> 00:47:53.833]  I've heard you callin' the shows, Blast Parking Lot!
[00:47:54.473 --> 00:47:55.454]  Parking Lot'em!
[00:47:56.866 --> 00:48:17.551]  You don't want to know, it's admitted mainstream history that our government took Saddam at the age of 18 and 54, trained him as a CIA assassin, had him commit assassinations, then they finally got him in as the head of Baathist security in 69, helped stage a coup in 79 to put him in, told him to attack Iran, gave him $34 billion to do it, told him to go ahead and attack Kuwait, set him up, folks, a U.S.
[00:48:17.591 --> 00:48:18.332]  government agent.
[00:48:19.552 --> 00:48:20.932]  It's the same M.O.
[00:48:21.232 --> 00:48:23.953]  over and over and over and over and over.
[00:48:24.794 --> 00:48:26.856]  By the way, did you know Ho Chi Minh was a government agent?
[00:48:27.176 --> 00:48:37.122]  Ho Chi Minh was employed and given 900 plus million up until 1960 by our government to help us fight the Japanese, and then they tried to kill him, so he turned against us.
[00:48:37.402 --> 00:48:40.424]  Because the big banker boys of the oil companies, they want wars!
[00:48:40.444 --> 00:48:41.705]  You understand that's what they do?
[00:48:41.925 --> 00:48:47.309]  They write policy reports, Rand Corporation writes it, and says it, the Carnegie Foundation, public, go read it!
[00:48:48.211 --> 00:48:53.174]  Just like Carnegie Foundation pro-war documents, and you'll go read it from the thirties.
[00:48:53.214 --> 00:48:54.314]  We've got to always have wars.
[00:48:54.534 --> 00:48:55.375]  Let's fund Hitler.
[00:48:56.896 --> 00:48:57.776]  It's the same.
[00:48:57.996 --> 00:49:01.958]  Let's fund the radical Reconquistas that say the Southwest belongs to Mexico.
[00:49:03.559 --> 00:49:07.101]  Let's fund the radical Muslim groups, because you've got to have a business.
[00:49:08.441 --> 00:49:10.322]  Killing is the business, and business is good.
[00:49:10.603 --> 00:49:12.484]  Let's talk to Joanne in Victoria, Texas.
[00:49:12.524 --> 00:49:13.924]  Joanne, good to hear from you.
[00:49:14.305 --> 00:49:15.125]  Hi, Alex.
[00:49:15.960 --> 00:49:22.045]  I was just wanting to say, because you're having such a growing audience, that now you're becoming more of a threat to them.
[00:49:22.065 --> 00:49:29.832]  I just wanted you to say that I've been looking all over for you for about a couple of months now, and I finally found you on Sunday.
[00:49:29.852 --> 00:49:40.281]  I heard you first on the George Norris Show, and when I heard you I thought, well, you're the one that seems to have the whole picture almost together over anybody else.
[00:49:42.270 --> 00:49:53.677]  I've been doing this for about ten years, but before Clinton was elected the first time, I read two articles in Reader's Digest that exposed the Council on Foreign Relations and how they were putting into power all over the world.
[00:49:53.737 --> 00:50:09.307]  Ronald Reagan gave speeches against them all over the country and hated George Bush Senior, and then I talked to the Republicans that were at the RNC convention when they told him, look, you're not going to get the nomination even if the people want you unless you sign him on to basically run things.
[00:50:09.327 --> 00:50:10.187]  Right, right.
[00:50:11.864 --> 00:50:12.265]  You're right.
[00:50:12.285 --> 00:50:15.388]  The news media does not want us to know the truth.
[00:50:15.548 --> 00:50:18.111]  Most people in my family think I belong to a cult.
[00:50:18.852 --> 00:50:20.153]  Well, that's how they operate.
[00:50:20.213 --> 00:50:21.855]  And ma'am, it's good to have you on board with us.
[00:50:21.875 --> 00:50:23.157]  Sundays, 4 to 6 p.m.
[00:50:23.577 --> 00:50:24.638]  out of the studios in Israelia.
[00:50:24.658 --> 00:50:24.778]  590-KLBJ.
[00:50:27.023 --> 00:50:29.185]  And you can tune in.
[00:50:29.285 --> 00:50:30.586]  It's being syndicated all over the country.
[00:50:30.606 --> 00:50:31.807]  A lot of stations have turned it on.
[00:50:32.128 --> 00:50:35.250]  A bunch of stations came in this week that are in the process.
[00:50:35.270 --> 00:50:37.092]  They've got to move shows, give them a month.
[00:50:37.432 --> 00:50:40.755]  That's why it's taking time, but they're really starting to sign on now.
[00:50:41.336 --> 00:50:44.058]  And it is just super, super, duper exciting.
[00:50:45.019 --> 00:50:48.602]  Let's go ahead and talk to Dan in Alabama.
[00:50:49.042 --> 00:50:50.023]  Dan, welcome, sir.
[00:50:50.063 --> 00:50:51.505]  Yeah, there's one thing.
[00:50:52.065 --> 00:50:52.525]  Are you there?
[00:50:52.746 --> 00:50:53.026]  Yes, sir.
[00:50:53.576 --> 00:50:59.162]  Oh, that nobody's mentioning yet about them illegal getting rid of the Constitution?
[00:51:00.403 --> 00:51:00.744]  Yes.
[00:51:01.144 --> 00:51:13.377]  Article 5 of the Constitution says that the Senate and the House passes if they want to change the Constitution, and then it's got to go to the states where 38 states have got to approve it.
[00:51:15.427 --> 00:51:15.847]  That's right.
[00:51:15.887 --> 00:51:17.728]  Two-thirds ratification.
[00:51:18.769 --> 00:51:20.430]  Have we been talking about amendments today?
[00:51:20.450 --> 00:51:21.510]  No, I know.
[00:51:21.550 --> 00:51:25.433]  I've been trying for quite a while to get on with it.
[00:51:25.513 --> 00:51:29.835]  I've never heard nobody talk about it, but all them things are just worth the newspaper.
[00:51:29.915 --> 00:51:30.456]  No, no, no, man.
[00:51:30.476 --> 00:51:31.156]  I'm glad you called in.
[00:51:31.176 --> 00:51:32.917]  I was just trying to understand why you were bringing it up.
[00:51:33.577 --> 00:51:34.598]  Anything else you'd like to add?
[00:51:35.196 --> 00:51:37.359]  Well that's the most thing, that's the one thing we got there.
[00:51:37.379 --> 00:51:39.503]  All them bills they passed were unconstitutional.
[00:51:40.104 --> 00:51:41.666]  Alright sir, good to hear from you.
[00:51:41.686 --> 00:51:48.176]  Alright, we'll cover the whole man-cow, Fox News attacking us, we'll break it down, analyze it in the next hour, get into the war, the economy, a lot more.
[00:51:48.296 --> 00:51:49.138]  Your call, stay with us.
[00:51:50.263 --> 00:51:51.183]  Hi, Ted Anderson here.
[00:51:51.203 --> 00:51:58.346]  I'm happy to announce that the audience has increased over 200% this year and our advertisers have sent testimonials complimenting the responsiveness.
[00:51:58.606 --> 00:52:01.507]  Sponsorship is critical at both local and national levels.
[00:52:01.707 --> 00:52:07.349]  If you have a business product or message that could benefit from this broadcast locally, call the station you're listening to.
[00:52:07.609 --> 00:52:11.950]  For national exposure, call 877-996-4327.
[00:52:12.050 --> 00:52:16.492]  Become a part of the Genesis team by calling your local station or call the national line at 877-996-4327.
[00:52:21.434 --> 00:52:23.934]  Are your Federal Reserve notes looking for a safe haven?
[00:52:24.395 --> 00:52:26.295]  Mine found it in precious metals.
[00:52:27.015 --> 00:52:30.176]  Not paper promises, but actual gold in my possession.
[00:52:30.836 --> 00:52:37.317]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[00:52:38.077 --> 00:52:40.277]  Find your answer at Midas Resources.
[00:52:40.658 --> 00:52:41.098]  That's 1-800-686-2237.
[00:52:41.158 --> 00:52:42.578]  The answer is at 1-800-686-2237.
[00:52:50.326 --> 00:52:50.646]  Did you?
[00:52:51.347 --> 00:52:51.767]  We're done.
[00:52:52.747 --> 00:52:59.031]  Prepare yourself for a talk radio interview like no other.
[00:53:00.011 --> 00:53:01.812]  Strap yourselves in and hold on.
[00:53:02.813 --> 00:53:04.594]  He stands for truth.
[00:53:04.634 --> 00:53:05.394]  Defending our borders.
[00:53:05.894 --> 00:53:07.855]  He stands for justice.
[00:53:07.895 --> 00:53:09.376]  Fighting the American Union.
[00:53:09.536 --> 00:53:11.217]  He stands for what's right.
[00:53:11.257 --> 00:53:13.718]  This is explosive talk radio.
[00:53:14.299 --> 00:53:16.500]  This is the Alex Jones Show.
[00:53:17.409 --> 00:53:19.192]  Call Alex now toll free 877-590-5525.
[00:53:19.673 --> 00:53:21.496]  Now live from Austin, Texas.
[00:53:21.576 --> 00:53:23.058]  Here's Alex Jones.
[00:53:31.141 --> 00:53:38.369]  Welcome to our number two of the little Sunday broadcast we do here from the studios of NewsRadio 590 KLBJ.
[00:53:38.769 --> 00:53:40.931]  Blasting out across the country, now syndicated.
[00:53:40.991 --> 00:53:42.493]  A lot of stations turning the show on.
[00:53:42.513 --> 00:53:44.856]  A lot of other stations saying they're going to be turning it on.
[00:53:45.636 --> 00:53:48.619]  It's really going well and I'm blessed and thankful to be here.
[00:53:49.120 --> 00:53:50.662]  Thankful to MS Communications.
[00:53:51.162 --> 00:53:52.764]  Thankful to Genesis Communications.
[00:53:53.545 --> 00:54:01.953]  For teaming up and making this possible, and of course to the good Lord above, to my family, to Trey in there running the broadcast, to you the callers, the sponsors, everybody!
[00:54:02.894 --> 00:54:11.842]  It's good to be able to stand here with you and fight against globalization, fight against the New World Order, fight against the destruction of our Constitutional Republic.
[00:54:11.882 --> 00:54:14.245]  Okay, I want to go through the Pentagon Working Group.
[00:54:14.801 --> 00:54:16.463]  And their quote, new plan.
[00:54:16.923 --> 00:54:19.646]  It's not new, but I want to break that down.
[00:54:19.706 --> 00:54:20.787]  Also, some good news.
[00:54:21.267 --> 00:54:27.594]  Senator Dodd is saying he's going to try to repeal the Military Commissions Act that overturns the entire Bill of Rights.
[00:54:27.634 --> 00:54:30.577]  I mean, that literally killed the Bill of Rights.
[00:54:30.617 --> 00:54:32.539]  And if you kill the Bill of Rights, you kill America.
[00:54:32.579 --> 00:54:38.885]  Now, I've been saying for months since they passed this, back in October, since last month, I've been saying we can resuscitate the Republic.
[00:54:40.539 --> 00:54:43.302]  It's one thing to pass this stuff, it's another thing to implement it.
[00:54:43.382 --> 00:54:45.484]  So, it's the beginning of the death of the country.
[00:54:45.845 --> 00:54:50.750]  If they were ever able to implement it, wide scale, get away with it, the country would be dead.
[00:54:50.790 --> 00:54:56.195]  The country is not dead, at least in our hearts and minds, and in our common practices.
[00:54:56.515 --> 00:54:59.979]  They have not destroyed common law, the Magna Carta, Bill of Rights.
[00:55:00.419 --> 00:55:01.860]  And so we'll be breaking that down as well.
[00:55:02.181 --> 00:55:06.064]  I know we have a lot of phone calls, John, Dan, Garrett, and many others.
[00:55:06.104 --> 00:55:15.852]  The toll free number to join us in this hour, whether you're listening in Tennessee, Ohio, right here in Texas, or upstate New York, the toll free number to join us is 877-590-5525, 877-590-5525.
[00:55:24.201 --> 00:55:27.723]  But I first want to get into Mankal Muller and Fox News.
[00:55:27.763 --> 00:55:31.965]  And again, every week we're on TV or on the radio or in a newspaper.
[00:55:32.005 --> 00:55:33.086]  We don't normally cover it.
[00:55:33.786 --> 00:55:44.612]  But when the biggest cable news station in the country has an hour-long special and fully 16 minutes of it is about you.
[00:55:44.632 --> 00:55:47.193]  We're only going to play about 8 minutes of it here today.
[00:55:48.033 --> 00:55:48.674]  It's serious.
[00:55:48.914 --> 00:55:50.835]  And I just want to point out, out of the gates,
[00:55:52.444 --> 00:55:58.369]  That every interview I do, when it's a hit piece, it's always the same tired, tried out things.
[00:55:58.409 --> 00:55:59.370]  Well, I wasn't there.
[00:56:00.030 --> 00:56:01.831]  I couldn't go because of a family commitment.
[00:56:01.851 --> 00:56:02.572]  They wanted me to go.
[00:56:02.892 --> 00:56:05.975]  So I had Kevin Smith, my radio producer for my weekday show.
[00:56:06.355 --> 00:56:06.855]  I sent him.
[00:56:06.895 --> 00:56:13.961]  He's very articulate, very intelligent, and he's also hard to rattle when somebody's yelling at him or calling him names.
[00:56:14.761 --> 00:56:15.662]  Whereas I'm the opposite.
[00:56:16.604 --> 00:56:18.526]  No, actually, I can control myself if I want to.
[00:56:18.987 --> 00:56:21.531]  And so we sent Kevin up there, and I appreciate him going.
[00:56:22.152 --> 00:56:23.073]  He's a pilot, by the way.
[00:56:23.093 --> 00:56:24.275]  His brother's a commercial pilot.
[00:56:24.735 --> 00:56:31.265]  Kevin said that it was the roughest plane flight period, and he flies Pipers, that he's ever been in.
[00:56:32.374 --> 00:56:35.156]  The plane was dropping like a thousand feet and going back up.
[00:56:35.236 --> 00:56:36.517]  Everybody was vomiting on board.
[00:56:36.757 --> 00:56:37.577]  So I'm glad I didn't go.
[00:56:37.617 --> 00:56:38.398]  I'm glad Kevin went.
[00:56:38.778 --> 00:56:39.558]  That was the flight back.
[00:56:39.578 --> 00:56:43.160]  I remember like two weeks ago when they taped it, they had those horrible storms on the East Coast.
[00:56:43.180 --> 00:56:44.481]  But I'm digressing.
[00:56:44.541 --> 00:56:46.422]  It must not be bad to talk radio, though, because you're tuned in.
[00:56:46.442 --> 00:56:47.663]  But that's how my brain works.
[00:56:47.683 --> 00:56:50.525]  I start telling the story and I go down every rabbit trail that's available.
[00:56:50.545 --> 00:56:56.148]  But in the interest of time, so Kevin goes up there and they swear, oh, it's not a hit piece.
[00:56:56.188 --> 00:56:56.788]  Oh, it's friendly.
[00:56:56.828 --> 00:56:57.669]  We want to ask you questions.
[00:56:57.689 --> 00:56:59.610]  We're like, sure it is Fox News.
[00:57:00.449 --> 00:57:03.213]  This isn't my first rodeo on national television.
[00:57:03.594 --> 00:57:05.617]  This isn't our first operation here.
[00:57:06.138 --> 00:57:08.802]  And so the first thing out of the gate says, you're doing this to make money!
[00:57:11.125 --> 00:57:13.748]  And that is a very serious charge.
[00:57:14.108 --> 00:57:16.891]  Now, obviously, I've got to make money to have ten employees.
[00:57:17.372 --> 00:57:22.737]  Obviously, I've got to make money to be able to make more films and buy the high-definition cameras and do what I do.
[00:57:22.978 --> 00:57:23.878]  And I'm not going to lie to you.
[00:57:23.898 --> 00:57:28.023]  I like living in a decent house and driving a decent car and, you know, wearing decent shoes and clothes.
[00:57:28.383 --> 00:57:29.805]  But that's not what my life's about.
[00:57:29.865 --> 00:57:32.968]  Anybody who knows me, I'm not wearing Rolexes and rings and
[00:57:33.228 --> 00:57:34.388]  You know, I'm not into bling.
[00:57:34.468 --> 00:57:36.129]  I'm not into that.
[00:57:36.169 --> 00:57:43.390]  I'm into oak trees, and blue skies, and water skiing, and the beauty in the world.
[00:57:43.970 --> 00:57:45.951]  I do what I do from a place of passion.
[00:57:46.431 --> 00:57:49.311]  It's why I've done a free access TV show for 12 years.
[00:57:49.331 --> 00:57:55.073]  It's why I've been doing talk radio for 12 years, and I have to say, the first five or six, basically being paid nothing.
[00:57:55.613 --> 00:57:56.013]  Okay, folks.
[00:57:56.033 --> 00:57:59.734]  I mean, I'd have a couple other jobs than go in and do a weekday show here on another station.
[00:58:00.214 --> 00:58:01.034]  I mean, I got paid, I think, $200 a week.
[00:58:02.681 --> 00:58:03.802]  This is not about money.
[00:58:03.902 --> 00:58:07.064]  That's why I have a national distributor for TerrorStorm.
[00:58:08.085 --> 00:58:08.465]  Okay?
[00:58:09.326 --> 00:58:12.368]  And frankly, if I just sold it myself, I'd make more money.
[00:58:12.628 --> 00:58:15.730]  By having a distributor, they sell it to stores for 50-60% off.
[00:58:16.050 --> 00:58:17.151]  Then I get 20% of that.
[00:58:17.171 --> 00:58:20.373]  I get like 50 cents a dollar, depending on every DVD that's sold.
[00:58:20.834 --> 00:58:26.358]  But I still go with the distributor, and frankly, I've ended up not making as much money on TerrorStorm, but I've reached more people.
[00:58:26.718 --> 00:58:27.238]  I don't care.
[00:58:27.698 --> 00:58:28.239]  By the way,
[00:58:29.884 --> 00:58:30.664]  Take Terror Storm.
[00:58:30.724 --> 00:58:32.865]  It cost me $100,000 to make.
[00:58:32.885 --> 00:58:35.547]  You see, I have to have money to make that film.
[00:58:35.567 --> 00:58:37.347]  It cost me $100,000 to make.
[00:58:37.788 --> 00:58:40.269]  And I try to pay my employees decently.
[00:58:41.149 --> 00:58:42.750]  Most media pays their employees.
[00:58:43.291 --> 00:58:44.551]  That is at least small-time media.
[00:58:45.352 --> 00:58:50.234]  And I put it out for free, day one on Google Video, so millions could watch it.
[00:58:50.674 --> 00:58:53.996]  Okay, conversely, Fox News has published.
[00:58:54.616 --> 00:58:55.517]  Okay, News Corp.
[00:58:56.198 --> 00:58:59.160]  The parent company has published, If I Did It, by O.J.
[00:58:59.220 --> 00:59:01.661]  Simpson, who, frankly, I think he did it.
[00:59:01.701 --> 00:59:02.541]  Everybody knows he did it.
[00:59:02.742 --> 00:59:04.482]  The guy's not writing books about how he did it.
[00:59:05.223 --> 00:59:10.506]  Quote, hypothetically, give me a break with a thin veil there, because of double jeopardy, which I agree with.
[00:59:10.526 --> 00:59:15.648]  It lets a few killers like him go, but at least it protects innocent people from the tyranny of government.
[00:59:15.929 --> 00:59:22.072]  It'd be better than ten guilty men go free than one innocent man hang, goes the old saying by some British lord, I forget exactly who.
[00:59:23.510 --> 00:59:25.611]  So, so, this is sick.
[00:59:25.731 --> 00:59:30.932]  I mean, they're making money, hyping, and O'Reilly and all of them, and Geraldo, that's all staged.
[00:59:30.952 --> 00:59:36.253]  I know people that work at Fox, they've told me, where they come out and attack Rupert Murdoch, and attack the TV show.
[00:59:36.413 --> 00:59:37.533]  That just makes more people tune in.
[00:59:37.553 --> 00:59:38.974]  In fact, they don't care right now!
[00:59:39.214 --> 00:59:40.714]  They cynically know I'll talk about it.
[00:59:40.914 --> 00:59:42.895]  Every other talk show host in America will talk about it.
[00:59:43.135 --> 00:59:47.476]  And idiot Americans, I'm not saying we're all idiots, but Americans who do it are idiots,
[00:59:47.976 --> 00:59:49.577]  Are gonna go out and buy that book.
[00:59:49.737 --> 00:59:50.938]  I wouldn't read that book.
[00:59:51.218 --> 00:59:53.660]  I wouldn't buy that book for all the tea in China.
[00:59:54.000 --> 00:59:54.881]  Trey, what about you?
[00:59:54.901 --> 00:59:58.783]  I mean, this is sick, said Negative.
[00:59:59.043 --> 01:00:02.226]  This is totally and completely sick and disgusting.
[01:00:02.566 --> 01:00:14.634]  So, so these are the whores, the whores that will publish books of killers talking about how they slit their wife's throat and their children have to read that and they've got the nerve when I put my films out for free
[01:00:16.095 --> 01:00:17.656]  I mean, I'm thinking about the end of my life, folks.
[01:00:17.716 --> 01:00:18.676]  I probably won't be killed.
[01:00:18.716 --> 01:00:20.157]  I probably won't be arrested, but I could be.
[01:00:20.197 --> 01:00:21.298]  I get death threats all the time.
[01:00:21.318 --> 01:00:23.099]  I mean, I made a sacrifice doing this.
[01:00:23.759 --> 01:00:25.560]  I've been doing this out in the wilderness forever.
[01:00:26.140 --> 01:00:28.382]  I could care less about money and power.
[01:00:28.562 --> 01:00:32.644]  We're doing this for the right reasons, and they've got the nerve to sit there and say that.
[01:00:32.684 --> 01:00:40.008]  Then they claim we live in shacks and we're liars, but every time we try to bring up facts, they shout us down and yell over us, and will never counter any of our facts, because they can't.
[01:00:41.187 --> 01:00:44.729]  Now, the more sophisticated attack pieces, like by Popular Mechanics, they build straw men.
[01:00:45.089 --> 01:00:55.494]  They say we said things, or things we never said, and then attack the falsehoods and prove them false, or they go find kooks who are saying ridiculous things about 9-11 being an inside job, and then attack them.
[01:00:56.955 --> 01:00:58.116]  Okay, this is how they operate.
[01:00:58.276 --> 01:00:59.236]  That's more sophisticated.
[01:00:59.476 --> 01:01:03.338]  This Fox News stuff, and then everybody who's been on there, it's the same thing.
[01:01:03.358 --> 01:01:05.219]  They scream at you, they yell at you, they talk over you.
[01:01:05.519 --> 01:01:06.740]  At least Mancow Muller,
[01:01:07.711 --> 01:01:09.674]  Allowed Kevin to talk some.
[01:01:09.694 --> 01:01:10.656]  In fact, he talked quite a bit.
[01:01:10.916 --> 01:01:14.962]  They double teamed him, but still he did get to talk quite a lot.
[01:01:15.603 --> 01:01:22.494]  Now the other big piece of propaganda that they ran is that they claim that the firefighters disagree with us and we're hurting the firefighters.
[01:01:22.894 --> 01:01:24.975]  What does that have to do with the firefighters who carried out 9-11?
[01:01:25.135 --> 01:01:26.136]  They're heroes regardless.
[01:01:26.176 --> 01:01:27.157]  They went into that building.
[01:01:27.457 --> 01:01:28.397]  They went in to save people.
[01:01:28.417 --> 01:01:29.258]  They did a great job.
[01:01:29.618 --> 01:01:31.599]  What does that have to do with 9-11 being an inside job?
[01:01:31.739 --> 01:01:35.281]  Then they try to say that, well, we just say America's bad now and America's gone.
[01:01:35.721 --> 01:01:39.403]  And then Kevin says, well, Thomas Jefferson said that you shouldn't trust the government.
[01:01:39.804 --> 01:01:41.845]  And the firefighter goes, I don't believe that.
[01:01:42.625 --> 01:01:43.985]  I went and pulled up hundreds of quotes.
[01:01:44.185 --> 01:01:45.126]  All the founders said it.
[01:01:45.466 --> 01:01:46.646]  Yes, keep government small.
[01:01:46.706 --> 01:01:47.366]  Don't trust it.
[01:01:47.566 --> 01:01:48.306]  It'll get out of hand.
[01:01:48.346 --> 01:01:49.207]  It'll get out of control.
[01:01:49.467 --> 01:01:50.307]  Power corrupts absolutely.
[01:01:50.327 --> 01:01:51.207]  Power corrupts absolutely.
[01:01:51.667 --> 01:01:53.708]  I repeated what Lord Acton in England had said around the time.
[01:01:54.948 --> 01:02:00.989]  So again, it also shows a massive wall of ignorance about what's really happening in the world.
[01:02:01.009 --> 01:02:06.530]  So when we get back from this break, we're going to play about eight minutes of this or so.
[01:02:07.311 --> 01:02:08.771]  And I'm going to play a stupid intro.
[01:02:09.403 --> 01:02:18.311]  And then we'll comment on it when we come back after the bottom of the hour news, and then we'll go straight to John, Garrett, Brown, and many others.
[01:02:18.351 --> 01:02:26.638]  But the reason we play this is not because I was on national television or one of my employees, one of my reporters was, a reporter and radio producer.
[01:02:27.159 --> 01:02:28.460]  We all do multitasking.
[01:02:28.940 --> 01:02:30.262]  I'm chief cook and bottle washer.
[01:02:30.302 --> 01:02:31.623]  I write articles, edit video.
[01:02:32.398 --> 01:02:33.039]  Pay the bills.
[01:02:33.139 --> 01:02:34.060]  Carry out the trash.
[01:02:34.400 --> 01:02:35.381]  Well, Kevin does the same thing.
[01:02:35.861 --> 01:02:38.004]  And people get confused by him being a reporter and a radio producer.
[01:02:38.024 --> 01:02:38.724]  All right.
[01:02:38.804 --> 01:02:40.406]  We'll be right back with this.
[01:02:40.446 --> 01:02:42.448]  You'll want to stay with us and your calls.
[01:02:42.968 --> 01:02:49.695]  Blasting out worldwide from right here in Central Texas, from the studios of NewsRadio 590K, it'll be JInfoWars.com is the website.
[01:02:51.295 --> 01:02:53.998]  Are you concerned about the high cost of prescription drugs?
[01:02:54.399 --> 01:03:00.887]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[01:03:01.207 --> 01:03:02.849]  That's over 46% savings!
[01:03:03.250 --> 01:03:05.512]  The average savings for generic drugs was over 71%.
[01:03:07.314 --> 01:03:15.800]  RxDrugCard.com is the only major discount prescription drug plan that offers a price lookup page, so you can get an idea of your discounted price before you enroll.
[01:03:16.020 --> 01:03:19.383]  RxDrugCard.com is for anyone who pays for their own prescriptions.
[01:03:19.603 --> 01:03:24.366]  There are no age restrictions, all prescriptions are covered, and 95% of all pharmacies in the U.S.
[01:03:24.407 --> 01:03:28.469]  participate, including Walmart, Walgreens, CVS Pharmacy, and many more.
[01:03:28.810 --> 01:03:33.273]  With RxDrugCard.com, you will save immediately with no messy forms or paperwork.
[01:03:33.613 --> 01:03:39.736]  Membership fees start at only $4.50 per month and include a 30-day unconditional money-back guarantee.
[01:03:39.836 --> 01:03:43.798]  Visit us at www.rxdrugcard.com or call us at 888-216-2461.
[01:03:43.818 --> 01:03:44.018]  That's 888-216-2461.
[01:03:44.038 --> 01:03:44.318]  Do it today!
[01:03:44.338 --> 01:03:46.559]  Hi, this is Ted Anderson, here for the 2007 Red Book.
[01:03:57.654 --> 01:04:02.477]  The commodity markets like gold, silver, copper, aluminum and oil have exploded over the last year.
[01:04:02.678 --> 01:04:05.419]  This is a glaring testimony of how quickly the U.S.
[01:04:05.460 --> 01:04:06.580]  dollar can be devalued.
[01:04:07.921 --> 01:04:12.524]  Many have turned to precious metals to provide a safe haven while increasing the potential profits.
[01:04:13.445 --> 01:04:20.710]  Though accumulating precious metals has been a proven method for the storage of wealth, it is important that you understand the market you are getting into.
[01:04:21.711 --> 01:04:24.753]  Midas Resources is offering the red book and silver dollar for only $27.95.
[01:04:26.906 --> 01:04:30.368]  The Red Book is the number one best-selling guide to gold and silver coins.
[01:04:31.349 --> 01:04:32.590]  Call for your copy today.
[01:04:32.850 --> 01:04:35.071]  It's 800-686-2237.
[01:04:36.132 --> 01:04:41.975]  If you've already accumulated or plan to get into the precious metals market, you simply must have the Red Book in your library.
[01:04:42.676 --> 01:04:43.076]  Call 800-686-2237.
[01:04:43.096 --> 01:04:43.316]  That's 1-800-686-2237.
[01:04:51.632 --> 01:04:55.213]  Are you looking for a one-stop shop to find all your favorite books and videos?
[01:04:55.473 --> 01:04:56.334]  Look no further!
[01:04:56.634 --> 01:04:59.195]  Northern Voice Bookstore has everything you need.
[01:04:59.635 --> 01:05:08.118]  Hundreds of titles from self-defense, survival, and financial freedom to history, politics, conspiracy, and everything you need to know about the New World Order.
[01:05:08.278 --> 01:05:08.538]  You can
[01:05:08.598 --> 01:05:08.838]  I think so.
[01:05:25.882 --> 01:05:26.422]  I think so.
[01:05:53.126 --> 01:05:57.267]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[01:05:57.487 --> 01:05:59.248]  Well, the glass has a natural resonance.
[01:05:59.508 --> 01:06:05.790]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[01:06:06.090 --> 01:06:12.211]  Using this similar principle, Royal Raymond Wright discovered that diseased organisms can be destroyed using different resonant frequencies.
[01:06:12.451 --> 01:06:14.292]  The BioSolutions Frequency Instrument
[01:06:14.492 --> 01:06:15.413]  We're good to go.
[01:06:37.072 --> 01:06:38.752]  This is the GCN Radio Network.
[01:07:03.200 --> 01:07:04.740]  Agree or disagree?
[01:07:05.861 --> 01:07:10.001]  Alex wants to hear from you right now at 877-590-5525.
[01:07:10.061 --> 01:07:15.042]  Now, here's Alex Jones.
[01:07:17.243 --> 01:07:17.703]  That's right.
[01:07:17.743 --> 01:07:21.844]  Without further ado, this is kind of like a little compilation we grabbed off TV and threw up on the web.
[01:07:21.884 --> 01:07:22.944]  I should have brought an actual disc.
[01:07:23.024 --> 01:07:24.984]  It'd sound a little bit better, but it's okay quality-wise.
[01:07:25.545 --> 01:07:29.865]  This is Mankow introducing the show, then a little clip of him interviewing Shatner before he goes to us.
[01:07:30.366 --> 01:07:32.286]  We were the number two lineup on the show.
[01:07:32.921 --> 01:07:35.583]  Other stuff was some mindless fluff about YouTube.
[01:07:35.643 --> 01:07:40.986]  Now TV and radio is trying to imitate the internet and do shows covering the web.
[01:07:41.006 --> 01:07:42.707]  So the rest of the show was about that.
[01:07:42.727 --> 01:07:43.407]  And they better do that.
[01:07:43.427 --> 01:07:47.329]  These dinosaurs better do it because their days are numbered here in the media.
[01:07:47.890 --> 01:07:57.916]  But let's go ahead and go to the Planet Man Cow hit piece on Fox News special against my producer Kevin Smith in studio with him and a poor firefighter.
[01:07:57.956 --> 01:07:58.256]  Here he is.
[01:08:08.656 --> 01:08:16.281]  This is crazy!
[01:08:16.541 --> 01:08:16.782]  No!
