[00:00:00.129 --> 00:00:00.569]  D.I.C.
[00:44:13.356 --> 00:44:29.621]  This is George Bush, the President of the United States, and I've heard many things that you have been saying on the internet and other various mediums that are out there.
[00:44:29.661 --> 00:44:40.104]  I understand you have problems with the government and you believe in many conspiracies.
[00:44:41.260 --> 00:44:43.482]  But I believe that we can work this out.
[00:44:43.522 --> 00:44:50.047]  If you will take my phone call, we can speak about this stuff.
[00:44:50.067 --> 00:44:52.068]  We will work this out.
[00:44:53.529 --> 00:44:54.650]  It's diplomacy.
[00:44:54.730 --> 00:44:56.531]  Diplomatic diplomacy is the way to go.
[00:44:56.551 --> 00:45:08.580]  If the two of us can work this out, and I think we can, we'll definitely have it worked out then.
[00:45:12.116 --> 00:45:12.837]  We'll try it back.
[00:45:13.317 --> 00:45:15.599]  Uh, you know, if you need to keep doing what you're doing, do it.
[00:45:16.500 --> 00:45:20.564]  But, uh... Okay.
[00:45:21.485 --> 00:45:23.287]  Richard Jones, this is the... Alright, alright.
[00:45:23.427 --> 00:45:24.428]  He started over again.
[00:45:25.089 --> 00:45:26.630]  Now, my wife was freaked out by this.
[00:45:26.670 --> 00:45:27.871]  She goes, that's George Bush.
[00:45:28.132 --> 00:45:33.717]  Um, you will find out, ladies and gentlemen, at the bottom of the next hour, I'll, uh... I'll, uh...
[00:45:34.488 --> 00:45:35.588]  Let you know who it really was.
[00:45:35.888 --> 00:45:39.109]  And then at the end of the broadcast, we'll play the Limbaugh clip and analyze it.
[00:45:39.389 --> 00:45:41.230]  Right now, let's go to your calls.
[00:45:41.550 --> 00:45:42.830]  Let's go ahead and take your calls.
[00:45:42.890 --> 00:45:52.993]  Oh, by the way, it wasn't just Rumsfeld and Bush-controlled companies that gave the reactors, and this is all getting confirmed, and the missile secrets and the computer secrets and everything else to the Chinese.
[00:45:53.013 --> 00:45:55.974]  Remember when I was screaming at Clinton ten years ago for doing all this?
[00:45:55.994 --> 00:45:57.574]  Yeah, I was kind of young and dumb back then.
[00:45:57.995 --> 00:45:58.815]  I'm still young and dumb.
[00:45:58.835 --> 00:45:59.575]  I'm learning every day.
[00:46:00.029 --> 00:46:02.510]  But that's why I get smarter, because I know I don't know it all.
[00:46:02.991 --> 00:46:03.931]  I was blaming Bill Clinton.
[00:46:03.951 --> 00:46:05.532]  I didn't know Bill Clinton just signed off on it.
[00:46:05.572 --> 00:46:06.393]  Well, sure, Bush.
[00:46:06.473 --> 00:46:09.314]  I had a vacation with you already when we were in the CIA together.
[00:46:09.354 --> 00:46:10.915]  You brought me up when you were director.
[00:46:11.196 --> 00:46:12.116]  No, it's all staged, folks.
[00:46:12.796 --> 00:46:17.999]  But I didn't know that it was ABB and Rumsfeld and Bush transferring it all to the North Koreans.
[00:46:18.880 --> 00:46:21.341]  But I did learn back in 2000 when I saw it on the BBC.
[00:46:22.382 --> 00:46:27.325]  And it was Rumsfeld with the nerve gas, the botulism, the anthrax to Saddam.
[00:46:27.345 --> 00:46:28.946]  All that got destroyed and the UN took it over.
[00:46:29.577 --> 00:46:30.057]  We're good to go!
[00:46:52.995 --> 00:46:56.396]  I guess that would be line 3 in good old Carl in Liberty Hill.
[00:46:56.556 --> 00:46:57.196]  One world government.
[00:46:57.557 --> 00:46:59.517]  When do I think it will arrive?
[00:46:59.997 --> 00:47:00.918]  It is here.
[00:47:01.138 --> 00:47:06.620]  It's kind of like when you're dropping down a well to the bottom and you're 50 foot down and it's a 100 foot well.
[00:47:06.940 --> 00:47:08.720]  You ask, when are you going to be dropping in the well?
[00:47:08.740 --> 00:47:10.201]  You're falling right now.
[00:47:10.501 --> 00:47:13.302]  You'll just break both your legs here in about two seconds.
[00:47:14.003 --> 00:47:15.824]  Let's go ahead and talk to Carl.
[00:47:15.864 --> 00:47:19.606]  Carl, you're blasting out worldwide from the studios of KLBJ.
[00:47:19.706 --> 00:47:20.027]  Go ahead.
[00:47:20.207 --> 00:47:21.287]  Alex, God bless you.
[00:47:21.307 --> 00:47:33.774]  I'm so happy that you're not just... I know you've been... your other program is nationwide, but I'm glad that KLBJ, which is the biggest news station here in Austin and Central Texas, is syndicating you nationwide and around the world on the Internet.
[00:47:33.814 --> 00:47:35.055]  So keep doing what you're doing.
[00:47:35.075 --> 00:47:37.296]  Well, we're doing that with my regular syndicator, Genesis Emes.
[00:47:38.917 --> 00:47:40.198]  Kelby J., we're very excited.
[00:47:40.518 --> 00:47:41.619]  And we have four stations.
[00:47:41.679 --> 00:47:42.940]  Well, counting Kelby J., five.
[00:47:43.180 --> 00:47:43.961]  Five right now.
[00:47:44.021 --> 00:47:44.461]  Pretty darn good.
[00:47:44.481 --> 00:47:45.122]  We're going to get more.
[00:47:45.362 --> 00:47:52.487]  I think it's absolutely necessary and wonderful, and I have faith that most people, when they hear the truth, will respond to the truth.
[00:47:52.527 --> 00:47:53.668]  Now, you were right earlier.
[00:47:53.828 --> 00:47:59.193]  Some people just don't want to hear the truth, whether it's a Kennedy assassination or September 11th or anything.
[00:47:59.213 --> 00:48:01.334]  They want to believe their government's good.
[00:48:01.354 --> 00:48:02.355]  That government's good.
[00:48:02.395 --> 00:48:05.677]  Anybody that says it isn't good is a terrorist, or Riley said.
[00:48:05.737 --> 00:48:07.559]  Well, the problem is George Washington said that.
[00:48:07.990 --> 00:48:16.376]  Well, yeah, and wasn't it Eisenhower who warned us about the military-industrial complex before Kennedy was assassinated, before Kennedy was... But he's evil, too.
[00:48:16.436 --> 00:48:17.236]  He should be arrested.
[00:48:17.436 --> 00:48:17.917]  Right.
[00:48:17.977 --> 00:48:25.682]  And so I just wanted to ask you, I've heard for years that when the New World Order is fully instituted or enforced, or the police state, that they'll be able to
[00:48:26.283 --> 00:48:34.206]  Yeah, they passed the National ID Card last year.
[00:48:34.246 --> 00:48:37.848]  It's already in effect in 47 states, but it's a federal law.
[00:48:38.208 --> 00:48:39.648]  It has to be in place by 2008.
[00:48:40.729 --> 00:48:42.389]  Everything you buy, sell, and trade will be tracked.
[00:48:42.549 --> 00:48:44.090]  They're going to have a new sales tax.
[00:48:44.530 --> 00:48:48.932]  They're going to keep the income tax, though, but they're going to scan your card with a graduated sales tax.
[00:48:49.412 --> 00:48:53.375]  We've got a lot of well-meaning fools pushing that, but it's going to be devastating.
[00:48:53.435 --> 00:48:57.218]  As we got more high-tech, people started talking about inserting a computer.
[00:48:57.238 --> 00:48:58.579]  I've heard this many times.
[00:48:59.039 --> 00:49:03.902]  Time and USA Today and a bunch of other papers this week said we should all take it.
[00:49:03.922 --> 00:49:04.403]  It's wonderful.
[00:49:04.663 --> 00:49:07.405]  And Newsweek for Kids and two different issues says we all should take it.
[00:49:07.605 --> 00:49:08.706]  This is wonderful.
[00:49:08.766 --> 00:49:11.107]  Andy Rooney says we should be forced to take it to prove we're good.
[00:49:11.407 --> 00:49:15.069]  The Mexican Attorney General has made 167 of his employees take it.
[00:49:15.269 --> 00:49:18.991]  And I had the Bergen County Sheriff on from New Jersey with 2 million people in his county.
[00:49:19.011 --> 00:49:21.372]  He said he will make people take the chip and he's taken it.
[00:49:21.553 --> 00:49:30.878]  Right, and then they'd say, and I've heard this, that when it gets powerful enough, and like a police state, if you don't have the chip you can't buy or sell, you can't bank, you're basically... But that's Christian, sir!
[00:49:30.998 --> 00:49:31.738]  That's Christian.
[00:49:31.778 --> 00:49:32.879]  You should be all for it.
[00:49:32.959 --> 00:49:35.700]  A world leader in forced chips is the Lord's way.
[00:49:36.180 --> 00:49:37.041]  We should submit.
[00:49:37.654 --> 00:49:39.075]  Of course, I'm being sarcastic now.
[00:49:39.296 --> 00:49:42.359]  The New World Order, the North American Union, has been set up.
[00:49:42.379 --> 00:49:44.882]  We're already merging our police, our military, our regulations.
[00:49:45.402 --> 00:49:46.503]  Now they're announcing it.
[00:49:46.804 --> 00:49:48.445]  They had a secret meeting three weeks ago.
[00:49:48.605 --> 00:49:53.691]  This is now Associated Press, Toronto Star, with our three governments, official government, Congress.
[00:49:54.892 --> 00:49:56.033]  A trilateral Congress.
[00:49:56.474 --> 00:49:57.455]  It's effective.
[00:49:57.515 --> 00:49:58.196]  It's official.
[00:49:58.656 --> 00:50:00.799]  They just announced the Asian Union two days ago.
[00:50:00.859 --> 00:50:02.421]  It's been in place for a decade as well.
[00:50:02.621 --> 00:50:04.423]  They're now announcing it to us, the slaves.
[00:50:04.884 --> 00:50:07.166]  The European Union started as a steel deal in 51.
[00:50:08.954 --> 00:50:13.316]  And then by 57 it was a trade deal, the European Economic Community.
[00:50:13.776 --> 00:50:18.117]  And then now the Europeans have vetoed over their sovereignty, they've lost their currencies.
[00:50:18.878 --> 00:50:22.599]  They all hate it in major polls, 75-95% depending on the country.
[00:50:22.879 --> 00:50:28.541]  But finally they had referendums and had EU rejection of total expansion in France and several other countries.
[00:50:28.761 --> 00:50:34.123]  So EU total super-state dominance imploded, but the bureaucracies are still enforcing it regardless.
[00:50:35.083 --> 00:50:47.570]  You know what, we're going to start the second hour and go directly to Ryan, Iraq vet in Illinois, and then we'll go to Tony in Maine, who wants to talk about the new poll where 84% of Americans don't believe the official story, but they're being lied to.
[00:50:48.130 --> 00:50:55.213]  Rick in Belton, Texas, he wants to talk about reenacting the acts from World War I. That's a brain teaser.
[00:50:55.373 --> 00:50:58.575]  I don't know what that's going to be, so I'm going to definitely go to him.
[00:50:59.565 --> 00:51:01.106]  It's always good to hear from the females.
[00:51:01.506 --> 00:51:07.730]  We've had the ladies call this show, but my weekday show has even more female callers, and we haven't had one yet.
[00:51:08.330 --> 00:51:12.993]  Ladies, would you like to chime in on all this cornucopia, this buffet we've laid bare before you here?
[00:51:13.013 --> 00:51:14.894]  877-590-KOBJ, we always like a woman's touch.
[00:51:14.914 --> 00:51:15.695]  877-590-5525 for the ladies to call in.
[00:51:21.519 --> 00:51:23.039]  Or locally, 836-0590.
[00:51:23.640 --> 00:51:27.401]  And all the little neocon thumbsuckers out there that love gun control and open borders.
[00:51:27.941 --> 00:51:28.801]  You're fake conservatives.
[00:51:28.821 --> 00:51:29.381]  You're trash.
[00:51:29.802 --> 00:51:31.562]  You go to the headline when you call in trash.
[00:51:31.582 --> 00:51:33.423]  836-0590.
[00:51:33.443 --> 00:51:35.523]  836-0590, scum.
[00:51:36.063 --> 00:51:40.385]  We're told free 877-590-KLBJ, so us real conservatives can clean your clots.
[00:51:41.145 --> 00:51:41.805]  Get in the ring, boy!
[00:51:41.925 --> 00:51:43.966]  If you think you can handle it, we'll be right back.
[00:51:44.286 --> 00:51:47.627]  On NewsRadio 590-KLBJ, blasting out worldwide.
[00:51:50.734 --> 00:51:51.815]  Hi, this is Ted Anderson.
[00:51:51.915 --> 00:51:56.717]  Over the years, Genesis Communications Network has grown by leaps and bounds, reaching millions of listeners.
[00:51:56.837 --> 00:51:59.718]  The impact on political and social issues have been enormous.
[00:51:59.858 --> 00:52:03.860]  Businesses associated with the network have grown to become valuable enterprises.
[00:52:04.180 --> 00:52:10.203]  If you are accredited and have an entrepreneurial spirit, national radio may be the opportunity you're looking for.
[00:52:10.383 --> 00:52:11.944]  Call me today at 877-996-4327, extension 101.
[00:52:12.024 --> 00:52:14.365]  For more information, that's 877-996-4327, extension 101.
[00:52:21.638 --> 00:52:24.119]  Are your Federal Reserve notes looking for a safe haven?
[00:52:24.579 --> 00:52:26.480]  Mine found it in precious metals.
[00:52:27.200 --> 00:52:30.382]  Not paper promises, but actual gold in my possession.
[00:52:31.022 --> 00:52:37.484]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[00:52:38.285 --> 00:52:40.466]  Find your answer at Midas Resources.
[00:52:40.846 --> 00:52:41.286]  That's 1-800-686-2237.
[00:52:41.386 --> 00:52:42.667]  The answer is at 1-800-686-2237.
[00:52:56.755 --> 00:52:59.357]  I hope there is no experience like no other.
[00:52:59.417 --> 00:53:00.598]  Like no other.
[00:53:00.618 --> 00:53:02.399]  Strap yourselves in and hold on.
[00:53:03.179 --> 00:53:04.760]  He stands for truth.
[00:53:05.060 --> 00:53:06.201]  Defending our borders.
[00:53:06.241 --> 00:53:08.262]  He stands for justice.
[00:53:08.483 --> 00:53:09.683]  Fighting the American Indian.
[00:53:09.723 --> 00:53:12.285]  He stands for what's right.
[00:53:12.385 --> 00:53:14.346]  This is explosive talk radio.
[00:53:14.647 --> 00:53:16.908]  This is the Alex Jones Show!
[00:53:17.749 --> 00:53:18.649]  Call Alex now.
[00:53:18.889 --> 00:53:19.730]  Toll free at 877-590-5525.
[00:53:23.636 --> 00:53:28.380]  Now, live from Austin, Texas, here's Alex Jones.
[00:53:30.841 --> 00:53:31.482]  Oh, I love it.
[00:53:31.562 --> 00:53:33.844]  Now into our number two.
[00:53:34.694 --> 00:53:35.695]  Loaded up phones here.
[00:53:35.715 --> 00:53:46.460]  If you want to try to get crammed in, it's 877-590-KLBJ or 877-590-5525 or locally 8360-590 from the studios of NewsRadio 590-KLBJ.
[00:53:46.480 --> 00:53:47.661]  Blasting out all over the country.
[00:53:47.681 --> 00:53:50.882]  I want to thank the four affiliates that have signed on this week.
[00:53:51.222 --> 00:53:57.966]  Some of them were already picking us up last week, like WCER Radio 900 AM out of Canton, Ohio, going into four states and
[00:53:58.570 --> 00:54:00.351]  I'm told he's in Cincinnati and a bunch of other places.
[00:54:00.391 --> 00:54:01.772]  That is a great station.
[00:54:02.072 --> 00:54:03.834]  Picks us up during the week.
[00:54:03.854 --> 00:54:04.994]  We get a big response.
[00:54:05.435 --> 00:54:06.255]  Okay.
[00:54:07.356 --> 00:54:08.457]  Information overload.
[00:54:08.837 --> 00:54:10.358]  That is really what's happening here.
[00:54:11.279 --> 00:54:17.043]  In the last hour, we talked about the fact that in a huge scientific New York Times CBS poll,
[00:54:18.248 --> 00:54:26.638]  Put out by Angus and Reed, 84% of Americans reject the official 9-11 story and believe they're being lied to or misled, that the White House is being deceptive.
[00:54:27.099 --> 00:54:28.661]  That is massive.
[00:54:29.081 --> 00:54:32.165]  But I guess 16% of you, you're the same people.
[00:54:32.706 --> 00:54:37.471]  You believe that babies come from under cabbage patch leaves and you believe in
[00:54:38.430 --> 00:54:45.093]  You know, Captain Kangaroo is really your friend, and everything's nice, and you believe they found those WMDs.
[00:54:46.234 --> 00:54:52.597]  During the news, Trey, who's in there running the board, he said, hey, why don't you explain to people what neocons are, because some of my friends don't know what it is.
[00:54:53.337 --> 00:54:55.598]  A neocon is a fake conservative.
[00:54:55.878 --> 00:55:01.561]  They want your guns, they want to get rid of the border, and they just go around patting you on the head, laughing at you.
[00:55:01.861 --> 00:55:03.762]  It's a Karl Rove, it's a William Crystal.
[00:55:04.342 --> 00:55:06.103]  That's what a neocon is, okay?
[00:55:07.037 --> 00:55:09.821]  And they're a joke, they're a fraud, they're a scam.
[00:55:10.682 --> 00:55:18.153]  And they were founded, this is admitted, if you don't believe me, this sounds so crazy, just type it into Google, you'll get mainstream news articles, just type in Neocon Trotskyites.
[00:55:18.493 --> 00:55:21.097]  The Communist Fourth International came over to Mexico,
[00:55:22.001 --> 00:55:40.266]  In the fifties, and it was run by Trotsky, and he basically infiltrated the conservative movement, and they've taken over, and I'm not saying communists have gotten this, it was just thugs trying to run the commies, and they just want power, and then it was thugs trying to run the conservatives, and they have, and we're basically doomed, and that's just how it is.
[00:55:41.286 --> 00:55:45.067]  Coming up later, I did confront John Ashcroft, in fact after the next segment we'll play that,
[00:55:45.931 --> 00:55:52.199]  In the next segment, this week I got a chance to confront him on national radio, the former Attorney General on 9-11 cover-ups.
[00:55:52.279 --> 00:55:57.906]  It fits into the theme of our show, 9-11 fraud imploding and collapsing and falling apart today.
[00:55:58.533 --> 00:56:02.717]  And then we'll get into Rush Limbaugh has a comment about my reportage and what we're doing.
[00:56:02.737 --> 00:56:03.978]  We'll do that at the end of the show.
[00:56:04.018 --> 00:56:10.224]  I got this weird call that sounds like George Bush to my home that freaked out my wife, and I had a prediction about what it would be.
[00:56:10.244 --> 00:56:12.487]  It turned out, well, you'll find out if I was right.
[00:56:12.527 --> 00:56:13.448]  Did George Bush call me?
[00:56:13.888 --> 00:56:14.789]  Well, that is coming up.
[00:56:14.829 --> 00:56:16.430]  No, no, Limbaugh really did talk about us.
[00:56:16.651 --> 00:56:17.892]  I really did confront Ashcroft.
[00:56:18.522 --> 00:56:20.222]  I really did get an interview with Jesse Ventura.
[00:56:20.583 --> 00:56:23.083]  You know, all of that's really going on, but was this really George Bush?
[00:56:23.483 --> 00:56:27.264]  We didn't know until today, and now we know.
[00:56:27.724 --> 00:56:30.305]  But right now, let's take a call.
[00:56:30.325 --> 00:56:31.885]  I've got to move quicker to get to everybody.
[00:56:32.345 --> 00:56:35.526]  Let's talk to Tony in Maine, and we'll go to Ryan, Rick, Peter, and others.
[00:56:36.306 --> 00:56:38.907]  Tony, you're blasting out worldwide, my friend.
[00:56:39.267 --> 00:56:39.567]  Welcome.
[00:56:39.587 --> 00:56:40.287]  Thank you for joining us.
[00:56:41.007 --> 00:56:42.128]  Thank you, Alex.
[00:56:42.168 --> 00:56:47.169]  You are a patriot of the fullest extent, and I'm so glad to be on your talk show.
[00:56:47.705 --> 00:56:53.846]  And much obliged to all the other affiliates, you know, people that take you, you know, on other airwaves.
[00:56:53.926 --> 00:56:59.367]  So, what my question was, you know, you've answered a lot of my questions regardless of the people that called you.
[00:56:59.847 --> 00:57:17.010]  You know, what my question is, is that I saw some C-SPAN video on Google, which was the C-SPAN video of the Bush lookalike along with Colbert deliberately insulting himself, you know, deliberately insulting himself.
[00:57:17.403 --> 00:57:26.629]  When Colbert went up there, and I'm trying to figure out whether what he was trying to gain from that, like, is he trying to be nice and, like, take all these insults to his face?
[00:57:27.069 --> 00:57:29.110]  Or, what is he trying, you know, what's he trying to prove?
[00:57:29.170 --> 00:57:31.612]  Like, everybody's happy and... Who?
[00:57:31.712 --> 00:57:32.893]  Bush or the look-alike?
[00:57:33.473 --> 00:57:34.233]  Oh, oh, no, no.
[00:57:34.794 --> 00:57:35.434]  Bush in general.
[00:57:35.454 --> 00:57:41.878]  He's just, like, he... Well, actually, he turned red and could barely contain himself and got real mad after that was in the news.
[00:57:41.918 --> 00:57:44.860]  He didn't know that the roasting was going to be that bad.
[00:57:45.445 --> 00:57:45.705]  Really?
[00:57:45.765 --> 00:57:46.025]  Yeah.
[00:57:46.045 --> 00:57:49.806]  So basically, you know, these people have to go to these roasts, because presidents have always done it.
[00:57:50.626 --> 00:57:52.927]  And this was a pretty bad, you know, roasting.
[00:57:53.267 --> 00:57:56.847]  I think Colbert said something like, hey, they're saying we're going down like the Titanic.
[00:57:57.108 --> 00:57:58.108]  That's ridiculous!
[00:57:58.148 --> 00:57:58.748]  Yeah, yeah.
[00:57:58.788 --> 00:58:00.668]  We're burning up like the Hindenburg!
[00:58:00.768 --> 00:58:02.509]  Yeah, on something different, yeah.
[00:58:02.689 --> 00:58:05.989]  But I'm just kind of... Sure, but you had a comment about the new pole, it says here.
[00:58:07.010 --> 00:58:07.370]  What's that?
[00:58:07.570 --> 00:58:10.410]  Oh, yeah, the new pole is definitely, like, mind-blowing.
[00:58:10.670 --> 00:58:13.171]  Like, it's totally, you know, it's a snowball effect.
[00:58:13.522 --> 00:58:15.323]  It's growing, and it's growing, and it's growing.
[00:58:15.944 --> 00:58:17.585]  Like, people are waking up.
[00:58:18.225 --> 00:58:19.186]  We're all waking up.
[00:58:19.326 --> 00:58:19.686]  That's right.
[00:58:19.726 --> 00:58:20.367]  It's exponential.
[00:58:20.407 --> 00:58:21.488]  I appreciate your call, Tony.
[00:58:21.668 --> 00:58:23.289]  Let's talk to Ryan in Illinois.
[00:58:23.709 --> 00:58:24.410]  Welcome, Ryan.
[00:58:24.430 --> 00:58:25.170]  Thanks for holding.
[00:58:25.210 --> 00:58:25.550]  Go ahead.
[00:58:25.570 --> 00:58:27.031]  Hello, sir.
[00:58:27.212 --> 00:58:27.492]  Yes, sir.
[00:58:28.152 --> 00:58:30.534]  Yeah, I'd just like to personally thank you.
[00:58:31.250 --> 00:58:32.031]  You're my hero.
[00:58:32.711 --> 00:58:34.433]  I totally appreciate it.
[00:58:34.473 --> 00:58:34.973]  Oh, come on.
[00:58:35.233 --> 00:58:38.216]  I don't want to start having to copy Limbaugh and say dittos, but thank you, sir.
[00:58:38.436 --> 00:58:39.757]  Hey, folks like you are my hero.
[00:58:39.777 --> 00:58:41.118]  I mean, I support the troops.
[00:58:41.438 --> 00:58:43.920]  You guys have been put in a bad position, and we support you.
[00:58:43.940 --> 00:58:49.925]  That's why we're trying to get you out of that fraud with Bush's former business partner, Saddam, and that whole thing over there.
[00:58:50.085 --> 00:58:51.526]  But go ahead and make your point, sir.
[00:58:52.867 --> 00:58:59.252]  You know, I realized when I was over there while I was pointing guns in children's faces that I was a part of the problem and not a part of the solution.
[00:58:59.292 --> 00:59:00.813]  I discovered your website online.
[00:59:01.374 --> 00:59:02.335]  I just opened my eyes.
[00:59:03.095 --> 00:59:09.539]  I guess my question is, I hear you say a lot that the Republicans and the Democrats are both controlled.
[00:59:11.340 --> 00:59:13.261]  What organization is controlling both of them?
[00:59:14.181 --> 00:59:14.982]  Okay, it's simple.
[00:59:15.862 --> 00:59:20.645]  And if you go read the writings or the biography written by a great UT professor of
[00:59:22.952 --> 00:59:27.554]  One of our greatest presidents, Andrew Jackson, he was shot at.
[00:59:27.654 --> 00:59:28.515]  He was shot.
[00:59:29.015 --> 00:59:30.476]  They tried to kill him, openly.
[00:59:30.776 --> 00:59:38.301]  The British banks did, because he wouldn't let them shut up a central bank here, run by private bankers, to issue script or pay for money.
[00:59:38.721 --> 00:59:40.422]  Well, they finally took over in 1913.
[00:59:40.902 --> 00:59:42.663]  Private banks, the Federal Reserve is private.
[00:59:42.943 --> 00:59:45.225]  They control, imagine being able to print the money.
[00:59:45.425 --> 00:59:47.226]  They bought up almost everything with it.
[00:59:47.586 --> 00:59:48.687]  They had total power.
[00:59:48.727 --> 00:59:50.408]  They controlled most of the dominant media.
[00:59:50.928 --> 00:59:51.169]  I don't know.
[01:00:03.914 --> 01:00:09.777]  They own big pharma, big banks, but it's all out of the fractional reserve banking fraud.
[01:00:10.057 --> 01:00:11.178]  That's really the root of this.
[01:00:11.238 --> 01:00:22.863]  And so with that monopoly of money creation, again, in the past money was gold and silver, and then people had real goods, they traded for that real wealth in a precious metal.
[01:00:23.223 --> 01:00:26.145]  Now that's all fraud in a private group.
[01:00:26.625 --> 01:00:28.987]  There's only about 14 shareholding families.
[01:00:29.067 --> 01:00:34.510]  It's mainly British Royalty and Rockefeller and Rothschild owned.
[01:00:34.530 --> 01:00:36.532]  And that's in Financial Times of London and stuff.
[01:00:36.732 --> 01:00:38.713]  That's in real serious financial publications.
[01:00:39.013 --> 01:00:41.695]  We are totally dominated and owned by foreign powers.
[01:00:41.715 --> 01:00:44.697]  We are used as an engine of global domination for them.
[01:00:44.977 --> 01:00:47.579]  America takes the blame for all the empire and the bullying.
[01:00:48.217 --> 01:00:51.538]  They give us domestic propaganda to make us think we're the good guys and everything's okay.
[01:00:52.138 --> 01:00:54.899]  Overseas, the banks own the press and actually demonize us.
[01:00:55.440 --> 01:01:05.843]  The very banks that own our media over here, that is control most of the dominant media, overseas, take Rupert Murdoch, he even demonizes America in his papers over there.
[01:01:05.863 --> 01:01:08.264]  This is so sophisticated.
[01:01:08.524 --> 01:01:13.486]  We go build the New World Order for them, this is official documents, then we're meant to be imploded.
[01:01:14.085 --> 01:01:17.166]  And then take the blame as kind of the old Soviet Union or the old Hitler.
[01:01:17.507 --> 01:01:19.567]  And then the EU will rise as the good cop.
[01:01:19.868 --> 01:01:21.508]  We are being used up.
[01:01:21.968 --> 01:01:23.589]  We are a birdcage liner.
[01:01:24.349 --> 01:01:27.471]  And they've got all these fake conservative Judas Goats in there.
[01:01:27.751 --> 01:01:30.292]  Just making sure the conservatives stay under control.
[01:01:30.472 --> 01:01:31.693]  That's what they're most worried about.
[01:01:31.873 --> 01:01:33.653]  They've got Judas Goat fake liberals.
[01:01:33.854 --> 01:01:35.074]  Keeping the liberals in control.
[01:01:35.354 --> 01:01:36.114]  Just making sure.
[01:01:36.355 --> 01:01:37.475]  Keep them under control.
[01:01:37.575 --> 01:01:39.456]  Play it off left right with the open borders.
[01:01:39.716 --> 01:01:41.337]  Play it off left, right with 30 million.
[01:01:41.557 --> 01:01:51.520]  The very same banks, Ford Foundation and others, funded tens of millions of comic books in Mexico, going back 40 years saying that this is Mexico or Reconquista, come take America over.
[01:01:51.720 --> 01:01:57.542]  Just like the Washington Post reported tens of millions a year, going back to 1946, funding radical Muslims.
[01:01:57.902 --> 01:02:07.185]  Our government shipping them the children's books, the textbooks, paying for the radical madrasas and the hadiths and the Taliban, which means school.
[01:02:07.865 --> 01:02:13.890]  They literally, let me say this for you, literally funded the Aztec La Reconquista.
[01:02:14.091 --> 01:02:20.176]  They literally funded the Muslim extremists, which are real to some extent, but again, controlled.
[01:02:21.016 --> 01:02:22.518]  Now you see the full picture.
[01:02:23.799 --> 01:02:29.644]  Then they bring these crises against us and then they organize it and use the crises to get us to go along with their plans.
[01:02:31.385 --> 01:02:32.226]  Oh, it's so sick.
[01:02:33.075 --> 01:02:37.160]  The Republic has already fallen, as Lou Dobbs has told you, as many other historians have told you.
[01:02:37.521 --> 01:02:41.345]  As the father of Reaganomics, Dr. Paul Craig Roberts, has said, it's already gone.
[01:02:41.746 --> 01:02:43.168]  The question is, will we revive her?
[01:02:43.728 --> 01:02:47.573]  We'll be right back with more of your calls, the Ashcroft Conversation, and a lot more.
[01:02:47.613 --> 01:02:48.014]  Stay with us.
[01:02:52.065 --> 01:02:53.706]  Hello, this is Amy Bjorklund.
[01:02:54.006 --> 01:03:01.390]  Thanks to a quantum leap in garlic research, the health benefits of 20 fresh garlic cloves are now available in one tiny capsule.
[01:03:01.551 --> 01:03:09.335]  With stabilized allicin, the proven power of garlic has been transformed into what is perhaps the most important medicinal product ever developed.
[01:03:09.535 --> 01:03:10.616]  And there's no odor.
[01:03:10.876 --> 01:03:20.863]  Stabilized Allicin gives you and your family a safe, natural weapon that kills harmful bacteria, viruses, and funguses, all without harming the friendly bacteria in the digestive tract.
[01:03:20.923 --> 01:03:29.169]  This means strong immunity, fewer and shorter colds, and the best possible protection from deadly diseases, none of which prescription drugs can offer.
[01:03:29.449 --> 01:03:35.013]  What's more, this product can deter mosquitoes from biting you and safely keep fleas and ticks off your pets.
[01:03:35.413 --> 01:03:37.815]  Hi, this is Ted Anderson, here for the 2007 Red Book.
[01:03:58.661 --> 01:04:03.484]  The commodity markets like gold, silver, copper, aluminum and oil have exploded over the last year.
[01:04:03.685 --> 01:04:06.426]  This is a glaring testimony of how quickly the U.S.
[01:04:06.467 --> 01:04:07.567]  dollar can be devalued.
[01:04:08.928 --> 01:04:13.511]  Many have turned to precious metals to provide a safe haven while increasing the potential profits.
[01:04:14.452 --> 01:04:21.717]  Though accumulating precious metals has been a proven method for the storage of wealth, it is important that you understand the market you are getting into.
[01:04:22.718 --> 01:04:25.760]  Midas Resources is offering the red book and silver dollar for only $27.95.
[01:04:27.913 --> 01:04:31.375]  The Red Book is the number one best-selling guide to gold and silver coins.
[01:04:32.336 --> 01:04:33.617]  Call for your copy today.
[01:04:33.857 --> 01:04:36.078]  It's 800-686-2237.
[01:04:37.119 --> 01:04:42.962]  If you've already accumulated or plan to get into the precious metals market, you simply must have the Red Book in your library.
[01:04:43.663 --> 01:04:43.963]  Call 800-686-2237.
[01:04:43.983 --> 01:04:44.263]  That's 1-800-686-2237.
[01:04:52.495 --> 01:04:55.136]  Is your child disrespectful, defiant, or obnoxious?
[01:04:55.456 --> 01:04:57.656]  Does everything turn into an argument with your kid?
[01:04:57.976 --> 01:04:59.677]  I'm behavioral therapist James Lehman.
