[00:00:00.009 --> 00:00:00.489]  We're live, my friends.
[00:49:16.404 --> 00:49:29.547]  Okay, we're going to give up all our rights, all our liberties, pay hundreds of billions of dollars into private defense contractors to set up a third world East German police state in the name of fighting these people, but we leave our borders wide open and allow immigration to flood in.
[00:49:30.067 --> 00:49:31.528]  It doesn't hold water.
[00:49:32.148 --> 00:49:32.770]  Continuing.
[00:49:33.352 --> 00:49:36.681]  September 11th anniversary marked by noise and recrimination.
[00:49:37.563 --> 00:49:45.066]  And there were thousands protesting for the mosque, against the mosque, thousands protesting for the Koran, not burning it, thousands for burning it.
[00:49:45.426 --> 00:49:47.967]  They had some guy at Ground Zero burn the Koran.
[00:49:49.048 --> 00:49:56.010]  Thank God the police didn't arrest him, because whether you agree with it or disagree, you have to agree with his First Amendment right that our veterans fought and died for.
[00:49:56.711 --> 00:49:58.812]  People burned it in Tennessee and other areas.
[00:49:59.412 --> 00:50:01.573]  And guess what happened, ladies and gentlemen?
[00:50:02.353 --> 00:50:07.476]  In Indonesia, in the West Bank, and many other areas, guess what happened?
[00:50:08.376 --> 00:50:13.279]  Muslims beat up Christians, attacked them, attacked their churches, burned Bibles.
[00:50:14.102 --> 00:50:18.066]  So, where is the religion of peace, ladies and gentlemen?
[00:50:18.286 --> 00:50:18.846]  Where is it?
[00:50:19.227 --> 00:50:21.849]  Listen, I don't like burning the Bible or Koran or anything else.
[00:50:22.270 --> 00:50:23.150]  It's disrespectful.
[00:50:23.411 --> 00:50:26.073]  But it's the right of free people to do it.
[00:50:26.313 --> 00:50:27.875]  I don't like burning the American flag.
[00:50:28.335 --> 00:50:34.581]  But I've got to defend people's right to do it, because if you take their right, well then this radio show doesn't have a First Amendment right, does it?
[00:50:36.158 --> 00:50:41.762]  And I see articles every day out of England where people make mild statements against groups and get arrested.
[00:50:42.183 --> 00:50:43.744]  We don't want that system.
[00:50:43.764 --> 00:50:44.965]  In fact, put it back up on screen.
[00:50:45.185 --> 00:50:49.969]  Christians beaten and stabbed with plank near Indonesian capital.
[00:50:50.289 --> 00:50:59.596]  And it's at the site of a mosque, a nearby mosque, to a Christian church that was shut down by the Muslim Indonesian government.
[00:51:00.737 --> 00:51:04.680]  Now, I defended Muslims' rights to have that ground zero mosque.
[00:51:06.459 --> 00:51:10.783]  But you have to defend Christians' rights in Saudi Arabia and Indonesia to have churches.
[00:51:11.063 --> 00:51:12.004]  But that's not the case.
[00:51:12.764 --> 00:51:13.605]  That's not the case.
[00:51:14.226 --> 00:51:15.387]  That's not what's going on here.
[00:51:16.227 --> 00:51:22.413]  So it's wrong, continuing with these reports,
[00:51:24.585 --> 00:51:30.270]  Here is the article out of the New York Observer, and we're putting it up on screen for PrisonPlanet.TV viewers.
[00:51:30.610 --> 00:51:31.892]  It's not just a radio show, folks.
[00:51:31.912 --> 00:51:32.913]  It's a TV multicast.
[00:51:32.933 --> 00:51:34.994]  If you want to see it, PrisonPlanet.TV.
[00:51:35.014 --> 00:51:40.860]  And if you're listening later, you can always log in and watch the archive of this show at PrisonPlanet.TV.
[00:51:41.420 --> 00:51:50.769]  Utilizing the bizarre, untangling the bizarre, CIA links to the Ground Zero Mosque.
[00:51:51.707 --> 00:52:02.714]  And this New York Observer report goes into all the bizarre CIA links to directly funding the mosque at Ground Zero.
[00:52:03.594 --> 00:52:06.116]  What did we report last month at my websites?
[00:52:07.517 --> 00:52:08.597]  Publicly available info.
[00:52:08.617 --> 00:52:16.042]  This imam is a globalist, a pro-world government supporter, a Davos Switzerland meeting member, trilateral commission, CFR.
[00:52:17.683 --> 00:52:20.845]  And if you go to the mosque website, the foundation that's funding it,
[00:52:21.983 --> 00:52:23.544]  What is the number one funder?
[00:52:24.805 --> 00:52:28.507]  The number one funder is the Rockefeller Foundation.
[00:52:29.167 --> 00:52:30.768]  Next, it's the Carnegie Endowment.
[00:52:31.709 --> 00:52:37.952]  And if you look at who the Rockefeller and Carnegie Foundations fund, they fund Mecha and La Raza.
[00:52:38.012 --> 00:52:39.133]  What does La Raza mean?
[00:52:39.513 --> 00:52:40.173]  The race.
[00:52:40.574 --> 00:52:42.194]  For those inside the race, everything.
[00:52:42.235 --> 00:52:43.515]  For those outside the race, nothing.
[00:52:43.695 --> 00:52:45.176]  That is the La Raza slogan!
[00:52:46.077 --> 00:52:49.639]  I'm against the Ku Klux Klan, and I'm also against La Raza.
[00:52:50.319 --> 00:53:11.732]  It's a racial organization, and for 50 plus years, our government has allowed major foundations to engage in sedition and treason, and fund these groups in Mexico and other areas, telling them the Southwest belongs to Mexico, and they're part of La Reconquista, Reconquering, or Infasora, the invasion.
[00:53:12.699 --> 00:53:13.700]  La Infasora.
[00:53:13.960 --> 00:53:15.922]  That's what's on the Spanish radio and TV.
[00:53:16.162 --> 00:53:18.404]  That's what's taught in the Mexican schools in Mexico.
[00:53:18.644 --> 00:53:22.027]  That's what I was taught at Anderson High School in art class.
[00:53:22.808 --> 00:53:26.551]  We were taken to UT and taught this is Mexico and gringos are evil!
[00:53:27.432 --> 00:53:29.033]  I was in high school 18 years ago!
[00:53:29.053 --> 00:53:29.794]  19 years ago!
[00:53:32.535 --> 00:53:37.456]  As a senior, here in Austin, and I was taught that gringos are evil!
[00:53:38.157 --> 00:53:41.497]  I was taught this is Mexico, because the government wants it!
[00:53:41.938 --> 00:53:44.138]  The CIA's funding that mosque!
[00:53:45.679 --> 00:53:50.200]  The Ford Foundation, the Rockefeller Foundation, the Carnegie Foundation, go read it!
[00:53:50.560 --> 00:53:52.140]  We knew this a month ago!
[00:53:52.460 --> 00:53:53.661]  We did research!
[00:53:54.061 --> 00:53:55.241]  It's what we do!
[00:53:57.982 --> 00:54:01.303]  They're funding the people, and hyping idiots to burn the Koran.
[00:54:02.409 --> 00:54:03.930]  I don't like what they're doing, but it's their right.
[00:54:04.490 --> 00:54:08.692]  And they're funding the building of that mosque and the hyping of it right now.
[00:54:09.012 --> 00:54:15.315]  It came out, what, two, three years ago when there was Paris being burned and cars being tumped over and police being attacked?
[00:54:16.036 --> 00:54:25.480]  It turned out that known CIA operatives were in control of the newspapers that published the Mohammed cartoons with Mohammed's turban being a bomb.
[00:54:27.381 --> 00:54:27.661]  Meanwhile...
[00:54:44.258 --> 00:54:51.401]  Associated Press admits, two months after we broke it, with people that were on the plane, that the unnamed U.S.
[00:54:51.441 --> 00:54:59.944]  intelligence agency, quote, ordered the State Department to put the underwear bomber on the stinking plane without a passport, without a visa.
[00:55:01.985 --> 00:55:03.405]  You understand this?
[00:55:04.105 --> 00:55:04.886]  Do you get it?
[00:55:05.446 --> 00:55:06.206]  Do you get it?
[00:55:06.686 --> 00:55:07.767]  Do you understand it?
[00:55:08.820 --> 00:55:22.429]  They want you scared of the Muslims so the big banks can use our troops and our money with upwards of $2 trillion total defense budget, $1 trillion, $100 billion on record, $800 plus billion in supplemental and black op funding.
[00:55:23.070 --> 00:55:26.892]  You think these mega corporations that could care less about America want their $2 trillion?
[00:55:27.793 --> 00:55:31.435]  Are they going to go out and finance an enemy for a couple billion a year?
[00:55:32.571 --> 00:55:34.974]  Does that mean that enemy is totally controlled by them?
[00:55:35.034 --> 00:55:35.254]  No!
[00:55:35.374 --> 00:55:36.496]  It's financed by them!
[00:55:36.756 --> 00:55:38.018]  It's protected by them!
[00:55:38.358 --> 00:55:39.439]  It's run by them!
[00:55:40.341 --> 00:55:41.742]  This is so elementary.
[00:55:42.003 --> 00:55:43.504]  This is so simple.
[00:55:44.508 --> 00:55:47.250]  And now they've got all these new Republican Tea Party leaders.
[00:55:47.850 --> 00:55:58.137]  The Republicans are just as guilty, the Republican leadership, of the banker bailouts, the corruption, the Patriot Act, all of it, as Barack Obama and his gaggle of creatures.
[00:55:59.098 --> 00:56:04.101]  His gaggle of Congress critters, as they're called, there in the District of Criminals.
[00:56:05.542 --> 00:56:06.903]  And now, what comes out?
[00:56:07.123 --> 00:56:09.945]  Boehner says that, well, he'll take any tax cut.
[00:56:10.185 --> 00:56:12.146]  Go ahead and let the tax cut for $125,000 or up go in.
[00:56:16.206 --> 00:56:17.846]  What do you think was going to happen with that?
[00:56:17.886 --> 00:56:19.267]  Here's another headline out of AP.
[00:56:19.587 --> 00:56:24.688]  GOP tries to take out Tea Party-backed candidate in Delaware.
[00:56:26.248 --> 00:56:30.609]  If the GOP finds out you're a real patriot like Rand Paul, what did they do?
[00:56:31.270 --> 00:56:34.430]  They had Dick Cheney come into town and speak out against him.
[00:56:34.690 --> 00:56:36.811]  They had all the Republicans line up against him.
[00:56:39.432 --> 00:56:40.912]  That's the same thing everywhere.
[00:56:42.776 --> 00:56:44.057]  And I just want you to remember that.
[00:56:44.137 --> 00:56:46.338]  Oh, I'm all for the Republicans throwing the Democrats out.
[00:56:46.699 --> 00:56:49.020]  And I'm for keeping their feet to the fire once they're in.
[00:56:49.300 --> 00:56:52.042]  And I'm for focusing on the states and taking our states back.
[00:56:52.442 --> 00:56:59.307]  And I'm for getting good patriot sheriffs elected and nullifying the out-of-control behavior of this rogue federal government.
[00:56:59.807 --> 00:57:01.970]  Speaking of that, we told you this months ago.
[00:57:02.350 --> 00:57:04.413]  Obama has stopped border enforcement.
[00:57:04.593 --> 00:57:07.016]  He's pulled the border patrol off the border.
[00:57:07.517 --> 00:57:09.920]  That's even in mainstream news in Arizona.
[00:57:10.280 --> 00:57:14.205]  And now he's openly saying they're not arresting or deporting any illegals.
[00:57:15.006 --> 00:57:19.728]  We're going to get to that coming up after calls when we start the second hour.
[00:57:20.068 --> 00:57:22.629]  This is your rude awakening, ladies and gentlemen.
[00:57:22.849 --> 00:57:25.150]  This is the cold ice water thrown on your face.
[00:57:25.430 --> 00:57:41.216]  If you want to save the free market, the Second Amendment, your family, if you want to save your pension funds, if you want to save the stock market, we have got to stop these top six global banks who want world government and who are financially taking over our country in a financial takeover.
[00:57:45.683 --> 00:57:51.086]  When you're out on the road, the last place you want to be is on the road.
[00:57:51.106 --> 00:57:57.089]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:57:57.469 --> 00:58:04.253]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:58:06.194 --> 00:58:08.516]  They sew pride in every stitch.
[00:58:10.277 --> 00:58:12.638]  Guarantee you'll love the way they fit.
[00:58:14.694 --> 00:58:18.557]  They put a Diamond Gusset in the crotch where you need it most.
[00:58:19.278 --> 00:58:22.400]  Blue Diamond Gussets got it.
[00:58:23.121 --> 00:58:23.942]  Others don't.
[00:58:24.342 --> 00:58:26.243]  We turn jeans inside out.
[00:58:26.504 --> 00:58:28.005]  Diamond Gusset Jeans.
[00:58:28.285 --> 00:58:30.847]  Made in the USA with unparalleled quality.
[00:58:31.167 --> 00:58:37.432]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection so you can ride all day with confidence.
[00:58:37.793 --> 00:58:39.995]  Order yours at gusset.com.
[00:58:40.495 --> 00:58:42.537]  Diamond Gusset Jeans got it.
[00:58:42.877 --> 00:58:43.738]  Others don't.
[00:58:45.137 --> 00:58:48.958]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[00:58:49.238 --> 00:58:54.939]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[00:58:55.219 --> 00:58:59.000]  Go to HomeGain.com and see what I'm talking about.
[00:58:59.380 --> 00:59:05.721]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[00:59:06.101 --> 00:59:09.002]  This is a great way to be able to monitor the value of your home.
[00:59:09.422 --> 00:59:10.942]  And again, it's absolutely free.
[00:59:11.522 --> 00:59:13.162]  There are tons of tools to help you.
[00:59:13.563 --> 00:59:17.003]  For instance, if you want to remodel your home, go to HomeGain.com.
[00:59:17.344 --> 00:59:23.905]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[00:59:24.145 --> 00:59:27.286]  For 10 years, these folks have been helping home sellers and buyers.
[00:59:27.706 --> 00:59:29.627]  Visit their link at InfoWars.com.
[00:59:30.047 --> 00:59:30.767]  Look for Max
[00:59:31.027 --> 00:59:35.070]  The Orange Home Gain Gorilla to help you with any real estate needs you might have.
[00:59:35.470 --> 00:59:36.491]  You'll love this site.
[00:59:36.711 --> 00:59:38.092]  It's HomeGain.com.
[00:59:38.572 --> 00:59:41.134]  H-O-M-E-G-A-I-N.com.
[00:59:41.454 --> 00:59:42.275]  Check them out today.
[00:59:46.137 --> 00:59:47.298]  Coast to Coast.
[00:59:47.658 --> 00:59:48.959]  Direct from Austin.
[00:59:49.720 --> 00:59:52.922]  You're listening to the Alex Jones Broadcasting Network.
[00:59:55.686 --> 00:59:57.888]  He's the T-Rex of political talk.
[00:59:58.428 --> 01:00:01.310]  Alex Jones on the GCN Radio Network.
[01:00:04.252 --> 01:00:05.273]  Thanks for joining us.
[01:00:05.333 --> 01:00:09.416]  Thanks for caring about freedom and liberty on this Sunday edition.
[01:00:10.056 --> 01:00:15.640]  I'm going to go to Julio, Tom, David, Ryan, Liz, Lauren, Mark, Tim, Glenn, Jeremy, Tom, Mike, and everybody else.
[01:00:16.200 --> 01:00:17.561]  The toll-free number to join us is 888-201-2244.
[01:00:20.899 --> 01:00:22.661]  And then I'm going to get more into the economy.
[01:00:23.722 --> 01:00:25.283]  Amazing story out of The Independent.
[01:00:25.343 --> 01:00:27.705]  China rethinks its controversial one-child policy.
[01:00:28.186 --> 01:00:29.047]  Very big news.
[01:00:29.467 --> 01:00:31.729]  And what's happening with the Mexico situation.
[01:00:32.370 --> 01:00:34.992]  The Global is trying to implode our country along with Mexico.
[01:00:35.453 --> 01:00:36.193]  That's coming up.
[01:00:36.514 --> 01:00:38.656]  But right now, let's go to your phone calls.
[01:00:39.116 --> 01:00:40.898]  Let's talk to Julio in Illinois.
[01:00:40.918 --> 01:00:41.839]  You're on the air first.
[01:00:43.700 --> 01:00:44.822]  Come on Alex, a second.
[01:00:45.262 --> 01:00:48.006]  Hey Alex, sorry I was on speakerphone.
[01:00:48.046 --> 01:00:49.208]  How are you today, sir?
[01:00:49.228 --> 01:00:50.389]  Beautiful day here in Illinois.
[01:00:50.750 --> 01:00:53.594]  No chemtrails to be found.
[01:00:54.535 --> 01:00:59.202]  Quickly, a guest suggestion before I talk about 9-11 and what you've been talking about today.
[01:00:59.662 --> 01:01:09.769]  Someone like Mike Adams or someone in the health field to discuss the dangers and potentials of cloned meat and cloned products we've been eating.
[01:01:09.829 --> 01:01:14.993]  I saw you had something posted about cloned salmon approved by the FDA.
[01:01:15.013 --> 01:01:16.514]  That stuff's pretty dangerous.
[01:01:16.554 --> 01:01:26.181]  I don't know if you've heard of the movie Splice that came out, but that movie's all about transhumanism and it goes into that 50 Facts of Howling Fathers.
[01:01:26.201 --> 01:01:28.823]  Wouldn't have known you had posted on InfoWars.
[01:01:30.365 --> 01:01:44.226]  Going into 9-11, I think it's key, especially when you talk about Glenn Beck for the Glenn Beck Deception, to talk about the Mockingbird Media and how they clearly are a big part in covering this up and trying to dumb down the public.
[01:01:44.987 --> 01:01:52.053]  We still, in the 9-11 Commission Report, do not have any specific info on building number 7, the key building.
[01:01:52.293 --> 01:01:55.996]  BBC reported twice within that hour span that it was going to fall.
[01:01:56.096 --> 01:02:03.422]  Aaron Campbell or Brown on CNN was right behind building 7 and reported to the country that it already had fallen.
[01:02:03.442 --> 01:02:05.503]  I mean, what are your thoughts on that, Alex?
[01:02:05.563 --> 01:02:07.265]  I mean, it all goes back to the Bush.
[01:02:07.805 --> 01:02:11.787]  You know, link with Prescott Bush to start Mockingbird Media and then 9-11.
[01:02:11.807 --> 01:02:15.529]  Well, look, I mean, I have made or produced six films on 9-11.
[01:02:15.549 --> 01:02:19.732]  We've done probably 500 or more interviews on the subject.
[01:02:20.692 --> 01:02:25.715]  And more than just Mockingbird Media that's government financed or controlled, that's now admitted out in the open.
[01:02:25.735 --> 01:02:30.798]  It was out in the 70s in a lot of congressional reports and the church committee.
[01:02:32.078 --> 01:02:32.559]  But now,
[01:02:33.579 --> 01:02:37.785]  Before they would just deny world government or deny, you know, most of these issues.
[01:02:37.805 --> 01:02:40.669]  Now they've got to have their people come out and admit some of it.
[01:02:41.350 --> 01:02:42.271]  Admit some of it.
[01:02:42.872 --> 01:02:50.061]  Or they try to radicalize alternative media to make us so kooky or people so racist that it demonizes
[01:02:50.822 --> 01:02:52.523]  The overall questioning of the system.
[01:02:53.063 --> 01:03:01.988]  But the overall structure is so corrupt and out of control, it doesn't matter how much they infiltrate to put out this info, or how much they try to start infighting.
[01:03:02.568 --> 01:03:07.050]  This is a runaway train they can't stop, because people instinctively know what's happening.
[01:03:07.310 --> 01:03:08.731]  Julio, I appreciate your call.
[01:03:09.131 --> 01:03:12.673]  Hard to believe it's been nine years since those staged attacks of 9-11.
[01:03:12.953 --> 01:03:14.534]  Tom in Connecticut, you're on the air.
[01:03:16.015 --> 01:03:17.035]  Hi Alex, how you doing?
[01:03:17.275 --> 01:03:17.776]  All right, sir.
[01:03:18.797 --> 01:03:20.238]  Alright, so listen, I wanted to thank you.
[01:03:20.278 --> 01:03:31.548]  It's been almost a year now that I saw the most excellent film that you produced to date, which is The Fall of the Republic, and you helped wake me up to the issues that are happening out there in the world.
[01:03:32.368 --> 01:03:46.615]  And, uh, I can't believe that I, uh, I'm an attorney and I knew, I didn't know things like there was a private Federal Reserve System that were borrowing our money from a, you know, I just, the things that you have taught us in the past years, and I want you to know that there is an awakening going here in Connecticut.
[01:03:47.156 --> 01:03:51.398]  I can't go a day, I was in the gym yesterday and this young man walks up to me and says,
[01:03:52.307 --> 01:03:56.408]  ...start talking about the Federal Reserve System, and then I meet another kid, and he says, can I have some links?
[01:03:56.469 --> 01:04:11.674]  And now I'm sending links from you, and links from, uh, the Secrets of Oz, and links for, uh, Ron Paul, and it's, it's, um, it, but there is a worldwide awakening, and I said... And that's why the globalists want to start World War III, it's why they want a domestic crackdown, because we are kicking their butt!
[01:04:13.072 --> 01:04:16.813]  Well, I just wanted to thank you for all your hard effort.
[01:04:16.914 --> 01:04:27.157]  I don't know how you do it on a daily basis because I tell you, I went down the rabbit hole, as you said, and at one point I had to stop listening to you for about a month because it became so frightening.
[01:04:27.658 --> 01:04:33.360]  It's overwhelming to see that my children could be going to a war that, for no reason whatsoever, as your children.
[01:04:34.275 --> 01:04:35.356]  Well, God bless you, Tom.
[01:04:35.416 --> 01:04:36.097]  Great points.
[01:04:36.437 --> 01:04:40.340]  But it's because we have children or we care about the future that we can't stop.
[01:04:40.360 --> 01:04:44.364]  I mean, it's painful for me to have to look at this information and stay focused on it.
[01:04:44.844 --> 01:04:45.945]  But it's reality.
[01:04:46.666 --> 01:04:51.270]  And overall, we're so much more fulfilled because we do face the hard truths.
[01:04:51.530 --> 01:04:52.171]  We'll be right back.
[01:04:54.258 --> 01:04:55.858]  Hello friends, this is Alex Jones.
[01:04:55.898 --> 01:04:58.719]  You've heard me talk about Calden 5 Star Soaps for years.
[01:04:59.279 --> 01:05:04.200]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[01:05:04.501 --> 01:05:07.661]  You can buy factory direct, shipped via UPS right to your door.
[01:05:07.921 --> 01:05:11.262]  Check them out on the web at 5starsoap.com or call 800-340-7091.
[01:05:14.443 --> 01:05:15.383]  Take my word for it.
[01:05:15.563 --> 01:05:17.904]  Once you've used pure soap, you won't buy anything else.
[01:05:18.225 --> 01:05:24.427]  Since 1947, Calvin's Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[01:05:24.747 --> 01:05:27.568]  Buy American and stay clean, as well as support InfoWars.
[01:05:27.688 --> 01:05:29.929]  Visit 5starsoap.com today or call 1-800-340-7091.
[01:05:29.949 --> 01:05:31.270]  Well, Marty, what do you have to say?
[01:05:34.560 --> 01:05:41.805]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[01:05:42.486 --> 01:05:45.848]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[01:05:45.888 --> 01:05:46.168]  Thank you!
[01:05:56.454 --> 01:06:02.479]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:06:03.079 --> 01:06:06.222]  It's Alex Jones and the GCN Radio Network.
[01:06:08.083 --> 01:06:09.524]  Monday through Friday, 11 a.m.
[01:06:09.544 --> 01:06:10.125]  to 2 p.m.
[01:06:10.165 --> 01:06:11.286]  Central, we're here live.
[01:06:11.346 --> 01:06:13.988]  Back Sundays, 4 to 6 p.m., we are live.
[01:06:14.028 --> 01:06:15.529]  It is Sunday, the 12th day of September, 2010.
[01:06:16.009 --> 01:06:21.314]  We're taking your phone calls right now, and then I'm going to get into the economy.
[01:06:22.785 --> 01:06:30.293]  The acceleration of deterioration on the border and the outrage of Obama now admitting what we told you really last year.
[01:06:30.313 --> 01:06:37.120]  That they ceased basically all deportations and arrest of illegals.
[01:06:37.180 --> 01:06:39.583]  But that is USA Today, U.S.
[01:06:40.063 --> 01:06:43.147]  Schiff's approach to deporting illegal immigrants.
[01:06:45.094 --> 01:06:58.482]  The Obama administration is changing the federal immigration enforcement strategy in ways that reduce the threat of deportation for millions of illegal immigrants, even as states such as Arizona, Colorado, Virginia, Ohio, and Texas are pushing to accelerate deportations.
[01:06:59.283 --> 01:07:13.632]  And I remember this five, six years ago, Houston Chronicle reported over a quarter million illegal aliens who had committed violent crimes were released in one year, including arson, rape, armed robbery,
[01:07:14.451 --> 01:07:15.772]  without being deported.
[01:07:16.352 --> 01:07:22.417]  You can rape a woman, spend a couple years in jail for it, and be released in Texas.
[01:07:23.478 --> 01:07:25.299]  That's your lawless criminal government.
[01:07:25.579 --> 01:07:29.262]  But they tell you, oh, give up all your rights or Al-Qaeda will get you.
[01:07:30.123 --> 01:07:32.284]  Then you read the federal research, the federal training.
[01:07:32.765 --> 01:07:35.907]  It's all aimed at you and your business, your farm, your guns.
[01:07:36.447 --> 01:07:43.613]  The criminal corporations that run our government hate real Americans' guts with a passion, and they're funding the radical Muslims.
[01:07:44.964 --> 01:07:45.967]  Uh, makes me sick.
[01:07:46.128 --> 01:07:47.151]  Let's go quickly to your calls.
[01:07:47.572 --> 01:07:49.357]  David in Missouri, you're on the air.
[01:07:50.529 --> 01:07:52.270]  Great, great Sunday broadcast, Alex.
[01:07:52.430 --> 01:07:55.150]  I just want to inform you that you have the power to save lives.
[01:07:55.271 --> 01:07:59.232]  And if you can check it out and urge your listeners to go to the Aaron Hansen Surgery Fund.
[01:07:59.612 --> 01:08:00.312]  That's my brother.
[01:08:00.752 --> 01:08:02.433]  We don't have insurance.
[01:08:02.573 --> 01:08:04.033]  We're poverty struck here.
[01:08:04.093 --> 01:08:04.653]  No options.
[01:08:04.713 --> 01:08:11.476]  I don't know if people understand what to have nothing in this world and not even be able to afford an operation to save your life.
[01:08:11.536 --> 01:08:12.496]  Well, let me stop you there.
[01:08:12.556 --> 01:08:14.196]  This is a huge point.
[01:08:14.637 --> 01:08:15.957]  And listen, I appreciate your call.
[01:08:16.397 --> 01:08:18.278]  We don't screen calls, David.
[01:08:19.918 --> 01:08:25.360]  But if people wanted me to try to get my listeners to help them, you need to email me, talk to me about that.
[01:08:25.400 --> 01:08:27.740]  But you're not being told the truth.
[01:08:28.400 --> 01:08:29.541]  You're being lied to.
[01:08:29.601 --> 01:08:33.542]  In fact, guys, let me think of the exact headline, Dallas Morning News.
[01:08:35.642 --> 01:08:42.304]  Majority of Parkland Hospital births immigrants.
[01:08:43.124 --> 01:08:44.165]  And then you read the article,
[01:08:45.365 --> 01:08:46.406]  It's illegal aliens.
[01:08:47.507 --> 01:08:49.008]  I'm going from memory here, but they're going to pull it up.
[01:08:49.028 --> 01:08:50.950]  It's from a month ago.
[01:08:50.970 --> 01:08:55.934]  76% of the births at Parkland to illegal aliens, and guess what?
[01:08:57.015 --> 01:08:57.975]  All of them free!
[01:08:58.716 --> 01:08:59.537]  All of them free!
[01:08:59.857 --> 01:09:03.760]  Now, I know about this because my dad is a dentist and oral surgeon.
[01:09:04.781 --> 01:09:06.482]  When he went to dental school at Baylor,
[01:09:07.560 --> 01:09:15.055]  He was taught that at least a third of his work under the Hippocratic Oath was to be free or charity.
[01:09:16.658 --> 01:09:17.340]  He still does it.
[01:09:19.414 --> 01:09:19.814]  There it is.
[01:09:19.914 --> 01:09:24.337]  Parkland Memorial Hospital delivers more of those babies than any other hospital in the state.
[01:09:24.377 --> 01:09:29.261]  Last year at Parkland, 11,071 babies were born to women who are non-citizens.
[01:09:29.301 --> 01:09:34.204]  About 74 percent, so I got it wrong, 76, 74 percent of total deliveries.
[01:09:34.544 --> 01:09:36.906]  Most of these women are believed to be in the country illegally.
[01:09:37.346 --> 01:09:39.628]  And then it goes on, that's Dallas Morning News.
[01:09:39.668 --> 01:09:40.909]  Scroll it down, I want to see the headline.
[01:09:43.197 --> 01:09:44.097]  It's free!
[01:09:44.537 --> 01:09:48.478]  Across Texas, 60,000 babies of non-citizens get U.S.
[01:09:48.518 --> 01:09:48.998]  birthright.
[01:09:49.579 --> 01:09:53.700]  See, I could sit here and tell listeners to try to send this poor guy money for his brother.
[01:09:54.660 --> 01:09:57.421]  Or I could help everybody by educating everyone.
[01:09:58.041 --> 01:10:02.882]  So, I grew up watching my father do free dentistry.
[01:10:05.423 --> 01:10:06.543]  Other dentists don't do it anymore.
[01:10:06.583 --> 01:10:07.083]  They're supposed to.
[01:10:08.149 --> 01:10:10.210]  I grew up watching him get up at 3 a.m.
[01:10:10.270 --> 01:10:10.971]  or 2 a.m.
[01:10:11.031 --> 01:10:20.857]  or midnight two or three times a week and go downtown to a hospital to rewire somebody's jaw who'd been in a car wreck who was a charity case because it had to be wired right then.
[01:10:20.877 --> 01:10:22.278]  Uh-huh.
[01:10:23.228 --> 01:10:24.109]  I grew up watching that.
[01:10:24.509 --> 01:10:30.315]  I grew up him leaving the house and then not getting any sleep and staying up all day with his dental practice the next day.
[01:10:30.956 --> 01:10:31.176]  Okay?
[01:10:31.736 --> 01:10:33.158]  I watched that.
[01:10:33.678 --> 01:10:37.923]  Now, one of my employees, I'm not going to say his name, though he might want to come on some day and talk about it himself.
[01:10:39.084 --> 01:10:40.405]  He wasn't my employee at the time.
[01:10:40.725 --> 01:10:41.847]  This is five years ago.
[01:10:42.067 --> 01:10:46.011]  I'm at his editing studio making Martial Law, the film Martial Law.
[01:10:47.851 --> 01:10:50.573]  And I come one day, and he's collapsed on the floor.
[01:10:50.674 --> 01:10:52.595]  He's lost about 20 pounds in the last month.
[01:10:52.895 --> 01:10:53.656]  He cannot eat.
[01:10:54.016 --> 01:10:58.440]  He's got an autoimmune disorder, admittedly caused by the measles shot.
[01:10:58.620 --> 01:11:01.222]  In every test, it's found in their intestines, the antibodies for it.
[01:11:01.623 --> 01:11:05.306]  It causes an autoimmune response in the intestines.
[01:11:05.626 --> 01:11:06.507]  He has Crohn's.
[01:11:06.747 --> 01:11:07.368]  He couldn't eat.
[01:11:09.129 --> 01:11:10.210]  He went to the doctors.
[01:11:10.810 --> 01:11:11.991]  He went to the emergency room.
[01:11:12.031 --> 01:11:13.573]  They said, you're just going to have to die.
[01:11:14.684 --> 01:11:16.105]  We're not going to give you medication.
[01:11:16.865 --> 01:11:20.506]  We're not going to... He couldn't get insured because of the pre-existing condition.
[01:11:20.827 --> 01:11:23.348]  They said, you're just going to have to, you know, just go away.
[01:11:25.048 --> 01:11:27.189]  And I went to him, and he got in an argument with me.
[01:11:27.869 --> 01:11:33.872]  And there he was, sitting on his couch, having to go to the bathroom to vomit, diarrhea, you know, just couldn't eat anything.
[01:11:33.952 --> 01:11:34.332]  Dying.
[01:11:34.792 --> 01:11:35.192]  Dying.
[01:11:35.953 --> 01:11:36.353]  Dying.
[01:11:41.543 --> 01:11:43.044]  And I did research on Crohn's.
