[00:00:00.709 --> 00:00:03.691]  On that number, 1-800-409-5633.
[00:51:42.939 --> 00:51:46.562]  That's 877-327-0365.
[00:51:47.083 --> 00:51:51.606]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:51:51.906 --> 00:51:54.368]  This is Alex Jones for SurvivalSeedBank.com.
[00:51:58.412 --> 00:52:00.313]  Waging war on corruption.
[00:52:00.793 --> 00:52:03.556]  Alex Jones on the GCM Radio Network.
[00:52:19.290 --> 00:52:24.492]  All right, ladies and gentlemen, we are now into this fourth and final hour.
[00:52:24.772 --> 00:52:38.156]  We have a guest joining us, Charlie Skelton, writer for the Evening Standard and the London Guardian, from Spain, at the 2010 Global Government Conference, the Bilderberg Group Conference, that kicks off tomorrow.
[00:52:38.176 --> 00:52:41.397]  They've already closed the hotel and globalists are arriving.
[00:52:43.418 --> 00:52:45.198]  And here's the headline, our man at Bilderberg, 2010.
[00:52:50.063 --> 00:52:56.909]  So that is coming up in about 30 minutes with that information.
[00:52:59.051 --> 00:53:11.062]  Now, for the first half of this hour, I want to get Paul Joseph Watson on, who wrote the article last week for PrisonPlanet.com dealing with the Open Conspiracy, the Bilderberg Group.
[00:53:12.143 --> 00:53:13.204]  And, I mean, this is a big deal.
[00:53:14.500 --> 00:53:20.974]  They psychologically for the last half century told you there's no world government, no banking elite, no such thing as fractional reserve banking.
[00:53:21.294 --> 00:53:22.557]  The Federal Reserve is federal.
[00:53:23.584 --> 00:53:24.365]  Just forget about it.
[00:53:24.925 --> 00:53:26.426]  Now they've engineered a global collapse.
[00:53:26.486 --> 00:53:27.747]  They're bringing in world government.
[00:53:28.928 --> 00:53:34.072]  They're preparing to plunge the dollar and the euro even more, openly announcing world government.
[00:53:34.552 --> 00:53:37.094]  But all the yuppies have been told it doesn't exist.
[00:53:37.654 --> 00:53:41.837]  So even when the news admits world government's here, the yuppie says, well, I'm a winner.
[00:53:42.078 --> 00:53:44.099]  And winners don't recognize that exists.
[00:53:44.459 --> 00:53:48.662]  So I'm going to let the government take my job and my pension fund because I'm a trendy.
[00:53:49.483 --> 00:53:51.004]  Well, they're going to do what they're going to do.
[00:53:51.424 --> 00:53:54.746]  We've got to reach out to people that understand what's happening and reverse all this.
[00:53:54.766 --> 00:53:58.288]  So a lot of news coming out right now out of Bilderberg.
[00:53:58.969 --> 00:54:06.293]  We've also got the Times of London and others reporting the secret of Bilderberg Club ready for protest.
[00:54:06.733 --> 00:54:14.879]  So we've gone from world government not existing to the media admitting it's being set up and people aren't addressing the puppet presidents and prime ministers anymore.
[00:54:15.159 --> 00:54:17.301]  They're addressing the actual power structure.
[00:54:17.601 --> 00:54:22.385]  And that's why Brzezinski said two weeks ago, top global strategist, that the new world order is in trouble.
[00:54:22.625 --> 00:54:27.709]  Because for the first time in world history, the entire globe is awake to the true power structure.
[00:54:27.729 --> 00:54:28.890]  So we should all be celebrating.
[00:54:29.290 --> 00:54:33.933]  Once the real enemy is identified, they can now be defeated instead of us fighting windmills.
[00:54:34.234 --> 00:54:35.855]  Paul Watson joining us from England.
[00:54:36.195 --> 00:54:37.396]  Breakdown the latest developments.
[00:54:38.677 --> 00:54:40.078]  Hello Alex, good to be back.
[00:54:40.598 --> 00:54:45.021]  And there we have it ladies and gentlemen, Paul Watson via video Skype.
[00:54:46.121 --> 00:54:48.143]  Looking like the Grinch that stole Christmas.
[00:54:50.484 --> 00:54:52.706]  Hey Watson, good to have you here with us.
[00:54:53.526 --> 00:54:54.427]  A lot going on.
[00:54:54.487 --> 00:54:58.049]  So many years interviewing him and to have him from England on video, it's just weird.
[00:54:58.889 --> 00:55:02.592]  Watson, we're about to go to break, but tell us what's coming up after the break.
[00:55:04.178 --> 00:55:12.142]  Well yeah, the fact that Bilderberg is now an open conspiracy is exemplified today with this London Times article.
[00:55:12.303 --> 00:55:21.328]  Ten years ago, the London Times, which is the premier establishment newspaper next to the New York Times and Washington Post, they wouldn't even
[00:55:22.330 --> 00:55:31.396]  mentioned the fact that Bilderberg existed and now today they're reporting not only who's attending but what their agenda will be.
[00:55:32.137 --> 00:55:40.383]  So, again, that underscores the fact that everything that Bilderberg are talking about is now public and is now in our faces.
[00:55:45.020 --> 00:55:50.968]  Also, you've got a report out at PrisonPlanet.com about Iran announcing 40 plus billion dollars of U.S.
[00:55:50.988 --> 00:55:53.412]  currency they're going to dump in favor of gold.
[00:55:53.472 --> 00:55:54.754]  That should cause some fireworks.
[00:55:56.308 --> 00:56:07.593]  Well, that's right, because Bilderberg are basically in a blind panic about the Euro collapsing, because for them it represents the embryonic global currency.
[00:56:08.033 --> 00:56:23.300]  We know that the ultimate agenda is to move towards a one-world currency, and that's exactly what IMF chief and Bilderberg member Dominique Strasse-Kahn recently said at a meeting of elitists in Zurich.
[00:56:24.761 --> 00:56:41.594]  They're in a blind panic about the situation with the Euro, and now that Iran and other central banks in the Gulf are quickly heading for the exit door, it's a big panic situation amongst the Bilderberg members.
[00:56:45.236 --> 00:56:49.640]  Paul Watson joining us via video Skype from England straight ahead.
[00:56:49.680 --> 00:56:51.122]  By the way, the audio is awesome.
[00:56:51.162 --> 00:56:52.183]  It's like he's in studio.
[00:56:53.043 --> 00:56:53.504]  I love it.
[00:56:53.744 --> 00:56:56.046]  Simulcasting and all at PrisonPlanet.tv.
[00:56:56.507 --> 00:56:58.889]  If you're not a PrisonPlanet.tv member, it's 15 cents a day.
[00:56:58.909 --> 00:57:05.235]  All my films, my book, Watson's book, the live video feed of the show, You Can't Beat It, higher quality podcast, PrisonPlanet.tv.
[00:57:05.695 --> 00:57:11.097]  When you're out on the road, the last place you want to be is on the road.
[00:57:12.337 --> 00:57:17.119]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:57:17.479 --> 00:57:24.521]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:57:26.202 --> 00:57:28.523]  They sew pride in every stitch.
[00:57:30.283 --> 00:57:32.224]  Guarantee you'll love the way they fit.
[00:57:34.571 --> 00:57:38.592]  They put a diamond gusset in the crotch where you need it most.
[00:57:39.312 --> 00:57:42.413]  Blue diamond gussets got it.
[00:57:43.133 --> 00:57:43.953]  Others don't.
[00:57:44.353 --> 00:57:46.254]  We turn jeans inside out.
[00:57:46.514 --> 00:57:48.014]  Diamond gusset jeans.
[00:57:48.294 --> 00:57:50.855]  Made in the USA with unparalleled quality.
[00:57:51.175 --> 00:57:57.416]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[00:57:57.796 --> 00:57:59.997]  Order yours at gusset.com.
[00:58:00.497 --> 00:58:02.538]  Diamond gusset jeans got it.
[00:58:02.878 --> 00:58:03.738]  Others don't.
[00:58:09.355 --> 00:58:10.276]  Tyranny is here.
[00:58:10.616 --> 00:58:14.180]  The grim future foretold in 1984 has become reality.
[00:58:14.481 --> 00:58:16.763]  It really says that the state is God.
[00:58:16.783 --> 00:58:22.229]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:58:22.649 --> 00:58:28.876]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:58:29.296 --> 00:58:34.857]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:58:35.277 --> 00:58:38.958]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:58:39.458 --> 00:58:43.459]  Prepare to enter the secretive world of emergency dictatorship.
[00:58:43.739 --> 00:58:49.280]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:58:49.680 --> 00:58:52.680]  It's only the beginning of the New World Order's hellish plan.
[00:58:53.240 --> 00:58:54.661]  The police state isn't coming.
[00:58:55.221 --> 00:58:55.661]  It's here.
[00:58:56.321 --> 00:59:02.808]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv
[00:59:05.626 --> 00:59:08.227]  Hello, this is Alex Jones with some important questions.
[00:59:08.647 --> 00:59:13.588]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:59:13.968 --> 00:59:15.709]  My answer would be all I can get.
[00:59:16.009 --> 00:59:20.830]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:59:21.010 --> 00:59:21.971]  How much do you want?
[00:59:22.191 --> 00:59:22.951]  When do you want it?
[00:59:23.311 --> 00:59:24.912]  Now or after the battle starts?
[00:59:25.212 --> 00:59:26.032]  When will you need it?
[00:59:26.272 --> 00:59:28.333]  Can you buy it without proper identification?
[00:59:28.473 --> 00:59:29.473]  Will there be any food?
[00:59:29.813 --> 00:59:33.716]  Will it make your children sick if there's a quarantine and you can't feed yourself?
[00:59:33.876 --> 00:59:36.397]  Will you go to the gathering center and be immunized?
[00:59:36.598 --> 00:59:39.780]  You wipe out all these problems if you have a good food supply.
[00:59:40.200 --> 00:59:43.702]  Food is your ammunition to fight for your freedom and your life.
[00:59:44.002 --> 00:59:45.003]  How much will you need?
[00:59:45.243 --> 00:59:45.844]  We don't know.
[00:59:46.144 --> 00:59:47.065]  How much do you want?
[00:59:47.245 --> 00:59:47.985]  All you can get.
[00:59:48.185 --> 00:59:49.026]  I'm Alex Jones.
[00:59:49.286 --> 00:59:52.028]  I want all of you good guys to live to fight another day.
[00:59:52.328 --> 00:59:54.069]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com
[00:59:59.833 --> 01:00:03.735]  Again, that number, 1-800-409-5633.
[01:00:10.560 --> 01:00:11.220]  Big Brother.
[01:00:11.860 --> 01:00:12.941]  Mainstream media.
[01:00:13.642 --> 01:00:14.782]  Government cover-ups.
[01:00:15.403 --> 01:00:16.243]  You want answers?
[01:00:16.984 --> 01:00:17.924]  Well, so does he.
[01:00:17.944 --> 01:00:22.187]  He's Alex Jones on the GCN Radio Network.
[01:00:22.707 --> 01:00:26.770]  And now, live from Austin, Texas, Alex Jones.
[01:00:30.336 --> 01:00:37.441]  Alright, Paul Joseph Watson, the editor of PrisonPlanet.com, joins us for the next twenty minutes or so.
[01:00:37.501 --> 01:00:42.504]  Then we have London Guardian reporter Charlie Skelton joining us from Spain, the side of Bilderberg, 2010.
[01:00:44.585 --> 01:00:51.590]  Watson, you've written a lot of articles about what's happening globally around the planet, what's happening with the economy, with currencies, and of course the Bilderberg Group.
[01:00:51.910 --> 01:00:55.652]  If we have new listeners tuning in, we're saying, why do we care about the Bilderberg Group?
[01:00:56.253 --> 01:00:57.273]  Well, as Jim Tucker
[01:00:58.368 --> 01:01:06.914]  And many others have proven they can predict two, three, four years beforehand what's going to happen from their sources in Bilderberg and also talking to people.
[01:01:07.234 --> 01:01:08.475]  They'll get there a few days before.
[01:01:09.216 --> 01:01:10.436]  I've done this myself a few times.
[01:01:10.516 --> 01:01:16.200]  Talk to the servants, you know, the staff at the five-star hotels, and they'll say, I've been told not to talk to you, I'll be fired.
[01:01:16.541 --> 01:01:20.904]  And I go, after you're treated like crud, after you hear them openly laugh about enslaving us,
[01:01:21.624 --> 01:01:23.965]  You know, give me your number and I'll call you after the fact.
[01:01:24.105 --> 01:01:27.267]  And then they call you going, my God, they're planning to enslave us.
[01:01:27.807 --> 01:01:28.688]  I want to tell you.
[01:01:29.248 --> 01:01:30.529]  And you find out everything.
[01:01:30.869 --> 01:01:32.650]  And we've been on record with all of this.
[01:01:33.030 --> 01:01:36.952]  And of course, it's just one of the big meeting groups of the overall world government.
[01:01:37.452 --> 01:01:41.234]  But Watson, let's break down what's happening with the world government right now.
[01:01:41.254 --> 01:01:47.937]  Because the good news from every source, including Zbigniew Brzezinski, one of their top minions, is that they are getting in deep trouble.
[01:01:48.377 --> 01:01:51.039]  And you know, they're kind of like the cartoon cat.
[01:01:51.559 --> 01:02:07.282]  in a old cartoon with a hundred dishes and plates trying to trying to balance things and it's only a matter of time till they stumble of course in that process it's gonna be very very uh... messy uh... should we say so joining us via video skype paul joseph watson break it down
[01:02:08.663 --> 01:02:12.204]  Well yeah, just to pick up on what you just mentioned with the secrecy aspect.
[01:02:13.904 --> 01:02:20.326]  They're having problems with leaks coming out of Bilderberg, and obviously this has intensified over the last few years.
[01:02:21.446 --> 01:02:33.749]  And now we learn, out of the London Times report today, that most Bilderberg members, certainly the most prominent ones that are going to be there today, are bringing their own staff
[01:02:34.449 --> 01:02:54.327]  So whereas they'd normally rely on hotel staff to do all the cooking and cleaning and washing and providing all the services for them, now they're bringing their own in-house staff and that's explicitly to prevent leaks of information getting out to Bilderberg sleuths that are there on the scene.
[01:02:54.787 --> 01:02:58.570]  So they're very concerned about secrecy and things coming out.
[01:02:59.511 --> 01:03:14.234]  But as we've, you know, the theme is that it is now an open conspiracy because Bildberg members who, um, get together once a year are revealing their agenda to their own flock beforehand.
[01:03:14.674 --> 01:03:24.415]  And this comes out in, uh, CFR speeches and in speeches such as the one I mentioned before the break, Dominique Strass-Kahn, who gave a speech in Zurich.
[01:03:24.475 --> 01:03:28.416]  So all this is coming out before they even meet, which is why
[01:03:29.704 --> 01:03:47.754]  The topics of their conversations are already known to us beforehand, and certainly top of the agenda this year is the collapse of the Euro, because for Bilderberg, the Euro represents their embryonic one-world currency.
[01:03:48.414 --> 01:03:58.480]  Now, they already broke the terms of their own Maastricht Treaty to bail out Greece, which they said they would never do, but they did it because
[01:03:59.500 --> 01:03:59.700]  Yeah.
[01:04:21.110 --> 01:04:25.093]  All but derail their wider agenda for a one world currency.
[01:04:25.174 --> 01:04:28.696]  And of course I had Greg Pallast on, who I'm going to get back on by the way next week, guys.
[01:04:29.117 --> 01:04:36.083]  I had him on a few weeks ago and he talked about meeting with some of the, a BBC reporter, high level, with some of the founders of Euro.
[01:04:36.103 --> 01:04:45.731]  And they bragged, the Euro was set up to take control of nations and rob them as an IMF World Bank extraction arm, just like they do Africa, Asia, Latin America.
[01:04:46.872 --> 01:04:48.633]  And that this was the plan all along.
[01:04:49.054 --> 01:04:55.420]  And so they're holding Europe hostage saying we're going to economically destroy you and you're going to give us all your money and your pension funds and everything.
[01:04:55.840 --> 01:05:03.948]  And our media is selling it like oh those lazy Europeans they just want three vacations a year and you know they want to be able to retire when they're 55 instead of 65.
[01:05:04.268 --> 01:05:05.470]  They deserve what's happening.
[01:05:05.710 --> 01:05:09.494]  The truth is we can produce unlimited wealth if this fractional reserve
[01:05:10.495 --> 01:05:13.218]  Debt black hole was removed.
[01:05:13.238 --> 01:05:14.259]  This is not free market.
[01:05:14.279 --> 01:05:16.381]  This is parasite market.
[01:05:16.401 --> 01:05:25.852]  So the battle is joined with Deutschland, Germany, which are big New World Order people, saying politically, no, we're not going along with fresh rounds of looting.
[01:05:25.932 --> 01:05:29.597]  So all is not well in the kingdom of the New World Order.
[01:05:30.984 --> 01:05:31.624]  Well, that's right.
[01:05:31.644 --> 01:05:54.440]  I mean, that's exactly what Brzezinski said during his CFR speech a couple of weeks ago, that not only was there a global awakening taking place amongst the people, but there was massive infighting within the elite itself, and Germany is very upset about what the EU, what certain blocks of the EU were forced to do with Greece.
[01:05:55.080 --> 01:06:00.684]  So now, at the Bilderberg Conference in Barcelona, just outside Barcelona,
[01:06:02.084 --> 01:06:12.589]  The key men who will be attending are from Spain, obviously, but not only because it's in Spain, but because Spain could become the next Greece.
[01:06:13.109 --> 01:06:19.832]  And if Spain goes the same way as Greece, then the Euro is basically heading for the toilet.
[01:06:19.892 --> 01:06:23.013]  Yeah, they've already lost their AAA rating last week.
[01:06:24.482 --> 01:06:42.315]  Yeah, they lost the AAA rating, so now the Spanish Prime Minister, Luis Rodríguez Zapatero, is going to give the keynote opening address at Bilderberg, and he's going to be accompanied by the Spanish Foreign Minister, as well as Spain's former Economy Minister.
[01:06:44.076 --> 01:07:01.053]  They're basically there to try and reassure the Bilderberg members that Spain won't go the same way as Greece with massive crippling debts which of course lead to these austerity measures which provoke the riots that we've seen across Greece in the last couple of months.
[01:07:01.734 --> 01:07:05.117]  So you've got a heavy presence from Spain and
[01:07:06.687 --> 01:07:08.509]  That's because Spain is in trouble.
[01:07:09.591 --> 01:07:13.456]  Part of their problem is not just related to the economic meltdown.
[01:07:13.997 --> 01:07:20.425]  It's because of Spain's disastrous effort to implement the green economy.
[01:07:21.807 --> 01:07:40.435]  Which they were mandated to do by Bilderberg policies, specifically the EU Commission head Barroso, who coined the term post-industrial revolution, and the green economy is part of that post-industrial revolution.
[01:07:40.435 --> 01:07:45.696]  And it's designed to destroy your economy so you can't pay the bankers back, so they come in and take over.
[01:07:46.037 --> 01:07:47.957]  I mean, it's literally economic warfare.
[01:07:48.397 --> 01:08:09.143]  In the words of the Club of Rome, of the UN, of the head of NASA, of the White House Science Czar, I mean, this is a group of control freaks engaging in economic siege, and they are carrying this operation out, and we must have Europe throw their behinds out of there.
[01:08:11.854 --> 01:08:19.866]  Yeah, and it's an agenda to reduce living standards, which is what is happening in Europe as the taxes go up and the public services get cut.
[01:08:20.507 --> 01:08:23.391]  And it's being felt most painfully in Spain.
[01:08:24.052 --> 01:08:26.055]  You've got an unemployment rate in Spain of 18%.
[01:08:27.978 --> 01:08:38.841]  And that is a consequence of this green economy, because for every job created as part of the green economy, more than 2.2 jobs are lost.
[01:08:39.542 --> 01:08:51.586]  And in fact, a leaked internal document that came out of Spain a couple of weeks ago said that the rate of job loss is in fact worse than 2.2 jobs for everyone gained.
[01:08:53.086 --> 01:09:01.288]  The report basically said if we don't get out of this post-industrial revolution, this green economy, we're going to face economic ruin.
[01:09:02.009 --> 01:09:20.914]  So that's what the Spanish political leaders are at Bilderberg to discuss, is how they can extricate themselves from this green economy, rescue their own economy, and in turn rescue the euro, which is what Bilderberg and the globalists in general need to do.
[01:09:21.574 --> 01:09:26.338]  If confidence will remain in their agenda to create a global currency.
[01:09:26.818 --> 01:09:33.744]  Because if the Euro goes, then a big part of their agenda to centralise the world economic system goes.
[01:09:35.607 --> 01:09:43.049]  Separately, your report that's also in Press TV, the official organ of Tehran, that fits into this.
[01:09:43.069 --> 01:09:50.972]  More and more of the Arab nations and the Persians and the Iranians are saying they're dumping the dollar right now and going to gold.
[01:09:51.032 --> 01:09:53.392]  And of course you notice gold's been up the last few days.
[01:09:54.573 --> 01:09:55.453]  Break that down for us.
[01:09:57.369 --> 01:10:07.618]  Yeah, the Central Bank of Iran announced today that they were going to dump 45 billion euros and exchange it for gold bullion and dollars.
[01:10:08.839 --> 01:10:14.984]  And also Chinese state media reported that several Gulf states were going to do the same thing.
[01:10:15.705 --> 01:10:17.947]  Now the major central banks are
[01:10:18.607 --> 01:10:19.187]  Desperately
[01:10:35.712 --> 01:10:36.072]  I don't
[01:10:55.461 --> 01:11:00.322]  That intervention would buoy the currency and it would last for days or weeks.
[01:11:00.822 --> 01:11:09.324]  But as we've seen today, with the euro flat or even down against the dollar, the last time I looked about an hour ago, it doesn't work anymore.
[01:11:09.524 --> 01:11:22.166]  Even though the central banks are intervening, investors and other countries like Iran and Gulf states are still aggressively dumping the euro because they've read the predictions of
[01:11:23.126 --> 01:11:30.917]  Big financial houses like BNP Paribas who say that the euro is going to parity against the dollar by next year.
[01:11:31.097 --> 01:11:34.201]  And of course, the dollar is going to soon follow in its footsteps.
[01:11:34.221 --> 01:11:38.567]  When we come back, absolutely, when we come back we're going to get your take from the Times of London.
[01:11:38.687 --> 01:11:40.349]  Greece urged to give up euro.
[01:11:41.190 --> 01:11:50.133]  The Greek government has been advised by British economists to leave the Euro in default on its 300 billion pound debt to save its economy.
[01:11:50.593 --> 01:11:59.477]  The Center for Economics and Business Research, a London-based consultancy, has warned Greek ministers they will be unable to escape their debt trap without devaluing their currency to boost exports.
[01:11:59.797 --> 01:12:00.857]  And that's actually true!
[01:12:01.357 --> 01:12:05.199]  We'll be right back and get Watson's take on this and the Flotilla incident.
[01:12:05.239 --> 01:12:05.639]  Stay with us.
[01:12:06.024 --> 01:12:09.667]  When making important financial decisions, you should always know the facts.
[01:12:09.947 --> 01:12:13.510]  That's why Midas Resources is willing to pay you to read the facts.
[01:12:13.750 --> 01:12:22.578]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[01:12:22.938 --> 01:12:26.880]  Midas Resources offers a host of services and stands behind their products.
[01:12:27.160 --> 01:12:31.442]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[01:12:32.042 --> 01:12:37.505]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[01:12:37.685 --> 01:12:42.967]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[01:12:43.267 --> 01:12:44.328]  So, what are you waiting for?
[01:12:44.588 --> 01:12:50.011]  Get the facts and Paul Midas resources toll free at 888-292-2709.
[01:12:50.771 --> 01:12:53.412]  That's 888-292-2709.
[01:12:53.672 --> 01:12:59.035]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty Silver Half Dollar.
[01:13:06.275 --> 01:13:07.396]  Are you prepared?
[01:13:07.656 --> 01:13:09.758]  Well, you need to be hardcore prepared.
[01:13:09.958 --> 01:13:11.039]  There is a difference.
[01:13:11.339 --> 01:13:16.944]  To be hardcore prepared, equip yourself with the latest survival gear available at tacktowngear.com.
[01:13:17.225 --> 01:13:20.187]  All Tactown gear has been field tested by Canadian and U.S.
[01:13:20.227 --> 01:13:21.909]  forces, so you know it's tough.
[01:13:22.029 --> 01:13:22.989]  What kind of gear?
[01:13:23.010 --> 01:13:25.111]  72-hour survival kits as low as $55.
[01:13:25.171 --> 01:13:25.752]  Holsters for $21.
[01:13:28.234 --> 01:13:28.774]  We're good to go.
[01:13:47.944 --> 01:13:51.327]  Visit tacktowngear.com right now for your preparedness needs.
[01:13:51.567 --> 01:13:54.309]  That's T-A-C-T-O-W-N-G-E-A-R-D-O-T-C-O-M.
[01:13:54.609 --> 01:13:56.190]  Tactowngear.com.
[01:13:56.430 --> 01:13:57.992]  Or call Tactown Gear at 418-844-9111.
[01:13:58.072 --> 01:13:58.732]  Again, that's 418-844-9111.
[01:14:06.107 --> 01:14:10.971]  The question is, where should the American people draw their line in the sand?
[01:14:11.071 --> 01:14:11.832]  What have we got?
[01:14:12.052 --> 01:14:14.174]  A republic or a monarchy?
[01:14:14.514 --> 01:14:15.235]  A republic.
[01:14:15.515 --> 01:14:18.097]  It's based on a constitution which protects minority rights.
[01:14:18.157 --> 01:14:20.079]  Not democracy, not mob rule.
[01:14:20.439 --> 01:14:22.341]  Two wolves and a sheep voting on what's for dinner.
[01:14:22.461 --> 01:14:23.742]  So they think they own our land?
[01:14:24.142 --> 01:14:25.263]  They think they own our water?
[01:14:25.464 --> 01:14:25.864]  Children?
[01:14:26.064 --> 01:14:26.845]  Our education?
[01:14:27.185 --> 01:14:27.806]  Our money?
[01:14:28.006 --> 01:14:31.669]  We have to define who we are and what we will tolerate.
[01:14:32.029 --> 01:14:35.674]  Somebody's gonna ask you what you did during the Patriot Uprising.
[01:14:35.714 --> 01:14:36.675]  You'll be warned.
[01:14:36.996 --> 01:14:37.817]  We have the facts.
[01:14:38.017 --> 01:14:39.138]  We have the Constitution.
[01:14:39.178 --> 01:14:40.060]  We have the Bill of Rights.
[01:14:40.100 --> 01:14:40.921]  We have common law.
[01:14:40.981 --> 01:14:43.224]  Knowledge is power, ladies and gentlemen.
[01:14:43.504 --> 01:14:47.269]  And I'm so excited to be able to offer you Don't Tread on Me, Rise of the Republic.
[01:14:47.369 --> 01:14:52.172]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[01:14:52.333 --> 01:14:53.693]  A new tool in the Info War.
[01:14:53.834 --> 01:14:54.674]  Don't tread on me.
[01:14:54.914 --> 01:15:01.339]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[01:15:06.752 --> 01:15:09.353]  Hello, this is Alex Jones with some important questions.
[01:15:09.773 --> 01:15:14.715]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:15:15.095 --> 01:15:16.815]  My answer would be all I can get.
[01:15:17.136 --> 01:15:21.957]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[01:15:22.137 --> 01:15:23.098]  How much do you want?
[01:15:23.318 --> 01:15:24.058]  When do you want it?
[01:15:24.438 --> 01:15:26.039]  Now or after the battle starts?
[01:15:26.320 --> 01:15:27.140]  When will you need it?
[01:15:27.401 --> 01:15:29.462]  Can you buy it without proper identification?
[01:15:29.602 --> 01:15:30.703]  Will there be any food?
[01:15:30.944 --> 01:15:32.285]  Will it make your children sick?
[01:15:32.465 --> 01:15:37.529]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:15:37.729 --> 01:15:40.872]  You wipe out all these problems if you have a good food supply.
[01:15:41.312 --> 01:15:44.813]  Food is your ammunition to fight for your freedom and your life.
[01:15:45.133 --> 01:15:46.113]  How much will you need?
[01:15:46.353 --> 01:15:46.973]  We don't know.
[01:15:47.253 --> 01:15:48.173]  How much do you want?
[01:15:48.373 --> 01:15:49.093]  All you can get.
[01:15:49.293 --> 01:15:50.134]  I'm Alex Jones.
[01:15:50.394 --> 01:15:53.134]  I want all of you good guys to live to fight another day.
[01:15:53.434 --> 01:15:55.194]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[01:15:55.214 --> 01:15:56.135]  Again, that number 1-800-409-5633.
[01:16:16.482 --> 01:16:19.949]  By the way, this video Skype is working so well from England.
[01:16:20.670 --> 01:16:22.454]  Really, Watson has great political...
[01:16:23.999 --> 01:16:25.060]  Understanding and research.
[01:16:25.080 --> 01:16:27.201]  That's why he's one of our chief writers and webmasters.
[01:16:28.542 --> 01:16:33.344]  I remember eight, nine years ago when I hired him, watching some of the work he was doing and thinking it was first rate.
[01:16:33.944 --> 01:16:35.505]  He's been part of the team for a long time.
[01:16:35.565 --> 01:16:40.328]  So now that we have this, this is a great video slash audio connection to England.
[01:16:40.348 --> 01:16:47.592]  We may have to start having Watson sit in occasionally when I'm working on a film or out of town on assignment.
[01:16:48.432 --> 01:17:06.846]  Going back to Paul Watson in the four and a half minutes we've got left before we go to Spain and talk about the Bilderberg group to the nearby city of Sigis, where the airspace has now been closed for the owners, the criminal owners of the planet, to nest and plan their next rip-off.
[01:17:07.547 --> 01:17:08.307]  We went to break
[01:17:09.586 --> 01:17:15.613]  And we were talking about this headline, Greece urged to give up Euro.
[01:17:16.554 --> 01:17:19.498]  So this thing is really falling apart quickly, Watson.
[01:17:21.530 --> 01:17:37.938]  Yeah, and a lot of people in Greece said that that's exactly what they should do, but the leadership in Greece have been strong-armed by the globalists to not exit the Euro because it would only worsen the crisis of confidence in the Euro.
[01:17:39.719 --> 01:17:42.802]  This is what Bilderberg 2010 is going to be all about.
[01:17:43.042 --> 01:17:44.523]  How do we save the euro?
[01:17:44.983 --> 01:18:00.056]  Because everybody's predicting that it's going to go to parity with the dollar, and every time the central banks try and intervene and push the euro back up again when it gets to that 1.21 level, it just sinks straight back down again the next day.
[01:18:00.576 --> 01:18:01.858]  So, I mean, this is
[01:18:03.086 --> 01:18:06.629]  The euro represents their entire agenda for a world currency.
[01:18:06.689 --> 01:18:18.497]  So if confidence is lost in the euro, then it proves that their claims that stability comes with unity are completely false.
[01:18:18.577 --> 01:18:27.564]  So it won't allow them to exploit the economic crisis which they created further to get their world government, which is what they've called for.
[01:18:27.584 --> 01:18:30.186]  I want to go back to this article briefly.
[01:18:30.206 --> 01:18:31.167]  These little devils
[01:18:33.000 --> 01:18:33.781]  aren't gods.
[01:18:33.861 --> 01:18:37.864]  I mean, they're not in total control, but I think they're basically playing both sides.
[01:18:39.045 --> 01:18:50.234]  Because I remember Trilateral Commission documents from over 20 years ago where they were talking about building up a few competing global currencies and then letting them collapse to bring in the SDR.
[01:18:50.294 --> 01:18:59.602]  So these little devils could have a method to their madness where they're claiming they don't want the euro to go belly up, but that's actually a way to save the dollar and then roll it into an SDR.
