[00:00:02.970 --> 00:00:03.511]  We've got him.
[00:54:18.433 --> 00:54:22.777]  Two people were pulled for watching clips of the 9-11 attacks.
[00:54:23.998 --> 00:54:26.260]  Probably 9-11 truth videos.
[00:54:26.280 --> 00:54:27.401]  Remember when Virgin Atlantic?
[00:54:28.353 --> 00:54:31.894]  Purchased loose change to be able to show it in their in-flight movie selection.
[00:54:31.914 --> 00:54:34.355]  There was a big uproar and they pulled out of it.
[00:54:35.275 --> 00:54:37.856]  But this is out of CNews.
[00:54:38.056 --> 00:54:41.237]  Two pulled from plane over 9-1-1 video.
[00:54:41.757 --> 00:54:42.437]  Toronto.
[00:54:42.497 --> 00:54:45.798]  This in-flight movie got a father and son kicked off a plane.
[00:54:45.858 --> 00:54:47.619]  Two Air Canada passengers were pulled.
[00:54:48.499 --> 00:54:57.826]  From their Orlando-bound flight before takeoff from Toronto's Pearson Airport after another passenger spotted them watching video of the 9-11 terror attacks.
[00:54:58.366 --> 00:55:03.890]  I wish that passenger would spot the big central banks robbing us or would spot all the police state stuff happening.
[00:55:04.470 --> 00:55:07.933]  QMI Agency columnist Joe Warmington on his way to
[00:55:09.312 --> 00:55:21.337]  Cover of the Conrad Black Story in Florida was on the same plane when another passenger alerted the flight crew after they spotted the young boy, oh he's definitely dangerous, watching video on his iPod of planes smashing in the World Trade Center.
[00:55:21.757 --> 00:55:27.500]  So the media can show this all the time, but you can't be watching it on your iPad or iPhone.
[00:55:27.520 --> 00:55:28.640]  It's just citizens that are bad.
[00:55:29.101 --> 00:55:36.844]  Just before the plane took off for US airspace, Air Canada officials confirmed that the son
[00:55:38.191 --> 00:55:45.015]  Of the two passengers, a man and a boy were watching the video of the 9-11 attacks before flight AC922 departed Tuesday night.
[00:55:45.376 --> 00:55:52.240]  Other passengers and crew became concerned, Air Canada spokesman Patrick Fitzpatrick told The Sun Wednesday.
[00:55:52.500 --> 00:55:57.364]  The passengers were deplaned following an investigation allowed to travel Wednesday morning.
[00:55:57.384 --> 00:55:58.064]  Oh, they were allowed!
[00:55:58.104 --> 00:55:58.744]  Isn't that nice?
[00:55:59.285 --> 00:56:00.385]  Safety and security are
[00:56:01.186 --> 00:56:07.769]  As well as comfort of all our passengers and crew is always our top concern, and we take whatever steps we need necessary to provide a safe, secure, comfortable environment.
[00:56:08.149 --> 00:56:15.151]  The Air Canada employee told Washington... Wormington that the first man tried to cover up the video when staff tried to talk to him.
[00:56:15.351 --> 00:56:16.352]  Ooh, even more evil.
[00:56:17.632 --> 00:56:18.653]  It made everyone nervous.
[00:56:18.913 --> 00:56:19.333]  Oh, yes.
[00:56:19.873 --> 00:56:22.814]  The employee said adding the entire incident may have been a coincidence.
[00:56:23.314 --> 00:56:26.756]  I don't know if it was the right decision, the employee said, but better safe than sorry.
[00:56:26.796 --> 00:56:27.076]  Yes.
[00:56:27.756 --> 00:56:29.697]  Live in a Stasi thought-crime system.
[00:56:30.950 --> 00:56:39.875]  Peel Regional Police constituency, constabulary, Samantha Newell said officers assisted the airline with the complaint meeting.
[00:56:40.831 --> 00:56:43.333]  The two passengers at the gate when they were taken off the plane.
[00:56:43.353 --> 00:56:46.355]  Investigators found no criminal offense had taken place, she said.
[00:56:47.195 --> 00:56:50.838]  Newell said that she couldn't confirm the two were watching 9-11 scenes.
[00:56:50.898 --> 00:56:52.399]  The two were cleared of all allegations.
[00:56:52.759 --> 00:56:53.600]  Allegations of what?
[00:56:54.140 --> 00:56:56.862]  And set out on the next flight, she said.
[00:56:56.902 --> 00:57:00.324]  The terror video scare wasn't the only delay on the flight that day.
[00:57:00.364 --> 00:57:02.766]  Oh, there was lots of hysteria and fear going on.
[00:57:03.126 --> 00:57:10.311]  Passengers were told missing baggage was delaying the plane's takeoff, even before they were told there would be a further delay due to the security problem.
[00:57:10.751 --> 00:57:18.478]  So it's just a ninnying society of being naked body scanned with radiation and checkpoints and army and kids being trained to tattle on their parents.
[00:57:18.518 --> 00:57:24.683]  I see articles every week or two, stories where some high school student will write a fiction story.
[00:57:25.564 --> 00:57:35.093]  Usually they're some day student who's done nothing wrong and they'll write a story about zombies or war and it doesn't even involve the school and they get arrested because of what they wrote.
[00:57:40.188 --> 00:57:42.049]  And it just goes on from there.
[00:57:45.069 --> 00:57:50.591]  Passenger Mike Burrard told Toronto Businessman, told that the whole thing was scary.
[00:57:50.611 --> 00:57:51.771]  It was a scary ordeal.
[00:57:52.371 --> 00:57:54.972]  This was definitely the strangest flight of my career, he said.
[00:57:55.312 --> 00:57:56.032]  Oh my gosh!
[00:57:56.372 --> 00:58:00.794]  There was some missing baggage and then there was a kid watching a 9-11 video.
[00:58:00.874 --> 00:58:01.694]  Oh my gosh!
[00:58:01.794 --> 00:58:01.954]  I mean...
[00:58:03.567 --> 00:58:08.413]  Meanwhile, there's poisons in almost all the major processed foods items on record by design.
[00:58:08.833 --> 00:58:10.876]  The government's poisoning the water supply on record.
[00:58:11.977 --> 00:58:14.420]  All these diseases like cancer, you name it, are exploding.
[00:58:15.501 --> 00:58:17.784]  And we're going into a depression worldwide.
[00:58:20.370 --> 00:58:22.632]  The public's just clinging to the legs of the stewardess.
[00:58:22.972 --> 00:58:24.473]  Save me!
[00:58:24.894 --> 00:58:25.774]  It was a child!
[00:58:26.275 --> 00:58:27.856]  It was a 9-11 video!
[00:58:28.516 --> 00:58:30.078]  This is the modern mind control.
[00:58:30.098 --> 00:58:32.620]  It's the same hysteria they use to demonize the Second Amendment.
[00:58:33.240 --> 00:58:35.842]  There's some old man seen cleaning their gun in their garage.
[00:58:35.882 --> 00:58:36.663]  The police get called.
[00:58:36.683 --> 00:58:38.384]  The old man has their guns taken.
[00:58:38.664 --> 00:58:39.785]  Stay with us, Kenfo, coming up.
[00:58:42.667 --> 00:58:44.729]  Thank you for listening to GCN.
[00:58:45.289 --> 00:58:47.811]  Be sure to visit GCNlive.com today.
[00:58:50.233 --> 00:58:54.477]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:58:54.797 --> 00:58:55.398]  Number one.
[00:58:55.698 --> 00:58:58.861]  New climate legislation could easily double or triple your electric bill.
[00:58:59.121 --> 00:58:59.702]  Number two.
[00:58:59.982 --> 00:59:04.546]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:59:04.887 --> 00:59:05.327]  It's true.
[00:59:05.627 --> 00:59:07.449]  Total government control of electricity
