[00:00:07.276 --> 00:00:08.583]  We are simulcasting.
[01:17:15.109 --> 01:17:17.030]  Like a pincer beetle captures its prey.
[01:17:22.421 --> 01:17:33.545]  And I'm proud of what I've done, and I'm proud of the fact I've been true, and I'm proud of the fact that I want to be truthful, and I try to get it right, and I try to warn you, and I try to mobilize you, and I'm proud of what we've done together.
[01:17:34.205 --> 01:17:39.768]  But I also don't see myself in the position I'm in, but there's no one else.
[01:17:39.808 --> 01:17:47.931]  There's no one else who is in this position and who has the general basic understanding.
[01:17:47.951 --> 01:17:48.611]  It's quite simple.
[01:17:50.009 --> 01:17:53.791]  There's many who understand this, but not many who have got any platform to present it.
[01:17:54.051 --> 01:17:55.591]  And that's why the enemy's coming after me.
[01:17:55.611 --> 01:17:57.472]  They're coming after me on every front.
[01:17:58.413 --> 01:18:01.434]  When you hear the words water purification, what comes to mind?
[01:18:01.774 --> 01:18:05.396]  If it's Berkey Water Purification Systems, this message is for you.
[01:18:05.696 --> 01:18:09.137]  Did you know that over 60% of municipal water contains fluoride?
[01:18:09.397 --> 01:18:15.640]  At less than 2 cents per gallon, Berkey water filters purify treated and untreated water, remove dangerous chlorides,
[01:18:19.002 --> 01:18:19.082]  Yes.
[01:18:19.102 --> 01:18:26.307]  These filters are powerful enough to purify stagnant pond water, making them perfect for rainwater collection systems from the smallest to the largest systems.
[01:18:26.707 --> 01:18:30.510]  Big Berkey water filters .com has what you need with your system purchase.
[01:18:30.730 --> 01:18:34.593]  You'll receive a shower filter, a fluoride filter or to sport Berkey bottles.
[01:18:34.773 --> 01:18:35.593]  Absolutely free.
[01:18:35.854 --> 01:18:37.995]  Big Berkey water filters .com would like to
[01:18:42.658 --> 01:18:45.300]  And ship all orders over $50 free of charge.
[01:18:45.600 --> 01:18:47.922]  Visit BigBerkeyWaterFilters.com.
[01:18:48.142 --> 01:18:50.484]  That's BigBerkeyWaterFilters.com.
[01:18:50.724 --> 01:18:53.125]  Or call 1-877-99-BERKEY.
[01:18:53.306 --> 01:18:57.649]  That's 1-877-99-BERKEY today.
[01:18:59.430 --> 01:19:03.092]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:19:03.453 --> 01:19:06.455]  This is our last chance to not relive history.
[01:19:06.695 --> 01:19:08.116]  As we're finishing off this agenda,
[01:19:08.815 --> 01:19:11.456]  That we're pulling the rug from underneath Americans at home.
[01:19:11.476 --> 01:19:17.658]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:19:17.858 --> 01:19:22.900]  I think it's incumbent upon all of us as American citizens to pay attention.
[01:19:23.060 --> 01:19:33.023]  Fall of the Republic identifies the enemies of our nation, the criminal offshore cartel, hell-bent on destroying sovereignty and on its ashes constructing world government.
[01:19:33.163 --> 01:19:35.263]  Tim Geithner, Bernanke, they're arsonists!
[01:19:35.504 --> 01:19:36.844]  They're asking for more matches!
[01:19:37.084 --> 01:19:39.364]  And the Congress is saying, who do we make the check out to?
[01:19:39.544 --> 01:19:41.405]  Today seems like nobody does care.
[01:19:41.665 --> 01:19:46.466]  And right now in Washington, D.C., we have seen a fall of the Republic.
[01:19:46.826 --> 01:19:51.587]  Get your copy of Fall of the Republic on DVD at InfoWars.com.
[01:19:51.827 --> 01:19:55.928]  Or watch it online right now in super high quality at PrisonPlanet.tv.
[01:19:59.062 --> 01:20:03.405]  Healthy Hearts Club presents Heart and Body Extract.
[01:20:03.865 --> 01:20:12.411]  Supports clean, clear arteries, healthy blood pressure levels, healthy circulation and blood flow, regular heart rate and beat.
[01:20:12.691 --> 01:20:15.033]  What if you could avoid heart attacks?
[01:20:15.573 --> 01:20:18.375]  What if you could avoid emergency room visits?
[01:20:18.875 --> 01:20:21.218]  What if you could avoid surgery?
[01:20:21.458 --> 01:20:21.819]  How?
[01:20:22.239 --> 01:20:25.523]  With this heart and body extract.
[01:20:25.543 --> 01:20:27.025]  100% organic.
[01:20:27.345 --> 01:20:28.927]  No negative side effects.
[01:20:29.507 --> 01:20:32.190]  Guaranteed to work or your money back.
[01:20:32.531 --> 01:20:33.051]  Call now!
[01:20:33.752 --> 01:20:34.833]  We're good to go.
[01:21:08.180 --> 01:21:13.782]  We have to understand that the human community is under scientific, diabolical attack.
[01:21:14.002 --> 01:21:18.284]  And we have to huddle together and educate our neighbors like our lives depend on it.
[01:21:18.324 --> 01:21:19.645]  We have to love each other.
[01:21:36.038 --> 01:21:47.712]  We have to just do little things like newsletters and posting flyers and calling into talk radio and just be vocal until the crescendo rises and people discover the psychopathic empire.
[01:21:52.338 --> 01:22:00.882]  Again, I'm not afraid of being set up or destroyed or lied about in all the hatchet jobs, except that I am now a symbol, a leader.
[01:22:01.622 --> 01:22:03.623]  And I've not been perfect in everything I've done.
[01:22:04.343 --> 01:22:06.124]  And they can cobble it together and twist it.
[01:22:07.804 --> 01:22:18.069]  And so, because I am this symbol of resistance and liberty, one of the main symbols worldwide now, and they see our growth and understand what we're doing,
[01:22:19.008 --> 01:22:23.591]  Just understand, folks, we are under dramatic sustained attack from all sides.
[01:22:23.671 --> 01:22:25.172]  COINTELPRO, you name it.
[01:22:26.112 --> 01:22:28.153]  Very dangerous groups in Austin operating.
[01:22:28.994 --> 01:22:33.456]  And if you give in to the COINTELPRO and cover it, then that gives them the power.
[01:22:37.138 --> 01:22:43.222]  If you sue them, that then ties you up, but... It's just, it's so massive.
[01:22:44.022 --> 01:22:45.123]  It's so huge.
[01:22:46.536 --> 01:22:52.697]  But if we simply activate and realize just how bad it is and start educating others, we can stop them.
[01:22:55.378 --> 01:22:58.059]  We are the priest of power, O'Brien said to Winston.
[01:23:00.199 --> 01:23:01.019]  God is power.
[01:23:01.199 --> 01:23:04.740]  This is before they'd broken Winston, O'Brien, while torturing him.
[01:23:04.760 --> 01:23:06.760]  We are the priest of power, Winston.
[01:23:07.861 --> 01:23:08.821]  God is power.
[01:23:11.840 --> 01:23:15.581]  But at present, power is only a word so far as you are concerned.
[01:23:16.461 --> 01:23:20.563]  It is time for you to gather some idea of what power means.
[01:23:21.063 --> 01:23:23.964]  The first thing you must realize is that power is collective.
[01:23:24.444 --> 01:23:27.905]  The individual only has power insofar as he ceases to be an individual.
[01:23:28.545 --> 01:23:31.546]  You know the party slogan, freedom is slavery.
[01:23:32.346 --> 01:23:35.627]  Has it ever occurred to you that it is reversible?
[01:23:36.408 --> 01:23:37.388]  Slavery is freedom?
[01:23:39.938 --> 01:23:42.460]  Alone, free, the human being is always defeated.
[01:23:42.520 --> 01:23:47.784]  It must be so, because every human being is doomed to die, which is the greatest of all failures.
[01:23:48.144 --> 01:24:01.514]  But if he can make complete, utter submission, as the globalists have done to their cult, their psycho-power cult, it has, if he can escape from his identity, if he can merge himself in the party so that the party, and that he is the party,
[01:24:02.435 --> 01:24:04.236]  Then he is all-powerful and immortal.
[01:24:04.856 --> 01:24:09.498]  The second thing for you to realize is that power is power over human beings, over the body.
[01:24:10.118 --> 01:24:11.899]  But, above all, over mind.
[01:24:12.319 --> 01:24:13.979]  Power over matter.
[01:24:14.640 --> 01:24:17.841]  External reality, as you would call it, is not important.
[01:24:18.501 --> 01:24:22.422]  Already, our control over matter is absolute.
[01:24:23.883 --> 01:24:26.344]  Because they believe in perception, he goes on to say.
[01:24:28.528 --> 01:24:31.209]  The lie that perception is reality.
[01:24:31.409 --> 01:24:39.111]  If you're hallucinating on PCP and jump off a hundred-story balcony window, and you believe you're flying and you're a butterfly, it's not real.
[01:24:39.631 --> 01:24:41.532]  When you hit the concrete, reality comes.
[01:24:41.592 --> 01:24:42.612]  But they're saying, no.
[01:24:43.812 --> 01:24:46.073]  We can have Americans say, ban free speech.
[01:24:46.133 --> 01:24:46.593]  It's freedom.
[01:24:47.133 --> 01:24:48.954]  We can say, shut down the gun show.
[01:24:49.014 --> 01:24:49.494]  It's freedom.
[01:24:49.974 --> 01:24:52.195]  We can say, kill a million Iraqis.
[01:24:52.255 --> 01:24:52.735]  It's freedom.
[01:24:55.612 --> 01:24:57.513]  Notice how they're obsessed with controlling the weather.
[01:24:58.233 --> 01:25:01.954]  The White House science czar gives speeches about how they're manipulating the weather.
[01:25:02.274 --> 01:25:04.815]  And then you talk to reporters and they can't even fathom it.
[01:25:05.175 --> 01:25:08.816]  Because Big Brother separately said, this doesn't exist, but we're doing it.
[01:25:08.836 --> 01:25:10.477]  2 plus 2 equals 5.
[01:25:12.304 --> 01:25:13.385]  And I say no.
[01:25:13.825 --> 01:25:17.548]  Freedom is the power to say 2 plus 2 equals 4.
[01:25:18.889 --> 01:25:24.994]  Monsanto does know that their corn is attacking people's organs.
[01:25:25.035 --> 01:25:26.776]  They do know it kills the lab animals.
[01:25:28.177 --> 01:25:29.378]  People must face that.
[01:25:29.438 --> 01:25:30.079]  They must face it.
[01:25:30.099 --> 01:25:31.140]  It's premeditated.
[01:25:31.560 --> 01:25:32.401]  It is known.
[01:25:33.361 --> 01:25:35.443]  Everything they're doing is by design.
[01:25:35.463 --> 01:25:41.208]  Thank you for listening to GCS.
[01:25:42.763 --> 01:25:44.944]  Visit GCNlive.com today.
[01:25:47.405 --> 01:25:51.646]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:25:51.946 --> 01:25:56.007]  Number one, new climate legislation could easily double or triple your electric bill.
[01:25:56.287 --> 01:26:01.689]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:26:02.029 --> 01:26:02.489]  It's true.
[01:26:02.789 --> 01:26:07.331]  Total government control of electricity in the name of smart grid technology is coming.
[01:26:07.651 --> 01:26:08.191]  Number 3.
[01:26:08.471 --> 01:26:11.752]  In some areas of the country, the power grid is dangerously overloaded.
[01:26:12.052 --> 01:26:15.753]  And now, new socialist legislation is only compounding the problem.
[01:26:15.973 --> 01:26:16.513]  Number 4.
[01:26:16.773 --> 01:26:19.134]  Dangerous weather is always a threat to local grids.
[01:26:19.514 --> 01:26:22.915]  Every year, thousands of families lose their power from weather-related outages.
[01:26:23.195 --> 01:26:23.415]  Number 5.
[01:26:23.995 --> 01:26:27.916]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:26:28.136 --> 01:26:32.897]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:26:33.197 --> 01:26:37.239]  You can get more information at www.mysolarbackup.com.
[01:26:37.359 --> 01:26:38.939]  That's mysolarbackup.com.
[01:26:39.139 --> 01:26:41.220]  Remember, the government doesn't own the sun.
[01:26:41.400 --> 01:26:43.741]  So go to mysolarbackup.com or call 1-877-327-0365.
[01:27:10.717 --> 01:27:13.898]  Richard Reeves is scheduled to be in studio with us in 30 minutes.
[01:27:18.920 --> 01:27:22.681]  If you question the Big Brother level of fraud, look at how the U.N.
[01:27:22.701 --> 01:27:29.824]  has now been forced to admit they've been engaged in premeditated fraud on ClimateGate, on the Himalayas, on the temperature readings across the planet.
[01:27:30.464 --> 01:27:30.764]  U.N.
[01:27:31.104 --> 01:27:37.767]  documents have been released the last three months, we've covered here on air, where they organized scores of key universities worldwide to
[01:27:38.627 --> 01:27:39.568]  Collate the data.
[01:27:39.969 --> 01:27:40.890]  Create the fraud.
[01:27:41.531 --> 01:27:45.055]  They say in the documents that these are fellow travelers from world government.
[01:27:45.376 --> 01:27:48.700]  I mean, this is a cult of control freaks that want to run your life.
[01:27:49.080 --> 01:27:50.162]  Want to control your speech.
[01:27:50.402 --> 01:27:51.143]  Disarm you.
[01:27:52.004 --> 01:27:53.326]  Herd you into compact cities.
[01:27:57.915 --> 01:28:00.696]  Look at how their fraud on the flu shot has been exposed.
[01:28:00.836 --> 01:28:02.657]  Look at how it's now come out.
[01:28:03.157 --> 01:28:04.517]  I mean, how dumb do they think you were?
[01:28:05.378 --> 01:28:08.439]  Sure, one big group of the population will buy anything, but others don't now.
[01:28:08.499 --> 01:28:09.259]  That's the good news.
[01:28:09.299 --> 01:28:09.859]  There is hope.
[01:28:10.999 --> 01:28:15.961]  We're not in this total 1984 society yet, but we've got to fight and struggle against it now.
[01:28:16.601 --> 01:28:26.845]  And 90% of the battle, as the Pentagon says, or as O'Brien, the fictional big brother enforcer, would say, all of it is in the mind.
[01:28:28.444 --> 01:28:29.565]  Because they're selling a lie.
[01:28:31.286 --> 01:28:35.869]  When CBS News locally tells you mercury is good for your children's brains, I mean, can you imagine O'Brien?
[01:28:36.769 --> 01:28:39.531]  He's saying, Winston, you must agree that 2 plus 2 equals 5.
[01:28:40.692 --> 01:28:41.713]  And Winston's like, no.
[01:28:42.993 --> 01:28:46.736]  And then later he tortures him, he says, okay, 2 plus 2 equals 5, I agree with you.
[01:28:46.756 --> 01:28:48.657]  He said, no, you don't really believe it.
[01:28:48.857 --> 01:28:51.519]  He tortures him for months more, his teeth all fall out.
[01:28:54.661 --> 01:28:57.383]  And he stands him up and says, look at you, look at how pathetic you are.
[01:28:58.171 --> 01:29:04.234]  He tortures him some more, and then Winston sees the two fingers merge into five.
[01:29:05.015 --> 01:29:07.896]  He sees the groups of two fingers merge into five.
[01:29:07.936 --> 01:29:10.318]  He, he, oh, it is five.
[01:29:10.418 --> 01:29:11.799]  Mercury is good for me.
[01:29:11.979 --> 01:29:14.820]  I, Monsanto doesn't want to hurt me.
[01:29:16.541 --> 01:29:22.605]  Monsanto, okay, sure, it's killing me, but we can't talk about it or do anything about it because, you know, that would be unfriendly towards Monsanto.
[01:29:24.414 --> 01:29:25.394]  They might come after me.
[01:29:25.834 --> 01:29:30.696]  They might sue me if I read the official medical studies on it and tell people.
[01:29:34.057 --> 01:29:35.238]  That is 2 plus 2 equals 5.
[01:29:36.518 --> 01:29:39.979]  And people do it every day, going, oh yes, I think we should ban free speech.
[01:29:43.700 --> 01:29:45.361]  Oh yes, I think we should ban guns.
[01:29:46.081 --> 01:29:47.382]  Well, that's not in the Constitution.
[01:29:47.622 --> 01:29:48.542]  See, they start out with
[01:29:50.882 --> 01:29:57.690]  With equations that are more complex, like, well, does 997 plus 1422 come up to this number?
[01:29:57.950 --> 01:30:02.436]  And it's a wrong number, but you're lazy and go, I'll just believe it's whatever you say it is.
[01:30:03.457 --> 01:30:06.480]  And then pretty soon they say, 2 plus 2 does not equal 4, it equals 5.
[01:30:06.981 --> 01:30:08.323]  Or 10 or 20 or whatever we say.
[01:30:13.247 --> 01:30:16.268]  And so they're practicing that lie on you.
[01:30:16.408 --> 01:30:25.232]  I mean, to come out and say, here's the fact sheet we're going to give you that the feds wrote up at the school or the government building or at the pharmacy.
[01:30:25.852 --> 01:30:26.932]  And here's a little fact sheet.
[01:30:26.952 --> 01:30:28.073]  It has no mercury in it.
[01:30:28.533 --> 01:30:30.454]  We've shown you these over and over again, side by side.
[01:30:30.754 --> 01:30:32.054]  Doesn't cause any problems.
[01:30:32.094 --> 01:30:33.775]  Doesn't have any neurological disorders.
[01:30:33.835 --> 01:30:34.575]  Can't hurt you.
[01:30:35.495 --> 01:30:36.776]  And then you actually get the insert.
[01:30:38.815 --> 01:30:41.496]  And it admits all the bad things it can do to you.
[01:30:41.516 --> 01:30:42.977]  See, they think you're so stupid.
[01:30:45.899 --> 01:30:46.519]  They're bold.
[01:30:46.999 --> 01:30:47.600]  They're bold.
[01:30:48.900 --> 01:30:51.962]  Now, there is still time to change this.
[01:30:53.583 --> 01:30:56.945]  Several TV stations, I saw the newscast on YouTube,
[01:30:58.166 --> 01:31:01.570]  Ran pieces that were 90% truth last night.
[01:31:01.670 --> 01:31:05.315]  CBS and the reporter came over and said, I'm a listener.
[01:31:05.335 --> 01:31:08.378]  He was very, he had a very, I mean, he was real.
[01:31:09.019 --> 01:31:11.182]  And he was like, okay, fine.
[01:31:11.242 --> 01:31:12.303]  Let us try to get it right.
[01:31:12.663 --> 01:31:14.566]  And they got it pretty close.
[01:31:17.116 --> 01:31:19.258]  So see, they weren't evil and diabolical.
[01:31:19.278 --> 01:31:22.640]  They were just going with the peer pressure of the ATF and the Austin Police Department.
[01:31:22.861 --> 01:31:23.461]  That's what the guy said.
[01:31:23.481 --> 01:31:25.723]  He said, we just reported what they told us, Alex.
[01:31:26.463 --> 01:31:28.045]  But see, you didn't go look it up.
[01:31:28.785 --> 01:31:32.308]  They even said on the news, Alex claims this is the federal law, as I read it on air.
[01:31:32.468 --> 01:31:33.549]  But at least they did that.
[01:31:34.089 --> 01:31:37.052]  That there is no, that the law is you can have private sale of firearms.
[01:31:37.132 --> 01:31:39.534]  We turned them around because I screamed at them.
[01:31:40.274 --> 01:31:42.135]  I went and got in their face and rebuked them.
[01:31:42.695 --> 01:31:48.237]  I didn't sit up there in a little beauty pageant, barely talking on a megaphone where nobody could hear, you know, oh, you know.
[01:31:49.358 --> 01:31:53.200]  No, I was there to wage war on fraud, wage war on lies.
[01:31:53.580 --> 01:31:56.321]  I was there to psychically assault them with the truth.
[01:31:58.342 --> 01:32:00.943]  Hello, this is Alex Jones with some important questions.
[01:32:01.343 --> 01:32:06.306]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:32:06.666 --> 01:32:08.406]  My answer would be all I can get.
[01:32:08.727 --> 01:32:13.549]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[01:32:13.729 --> 01:32:14.689]  How much do you want?
[01:32:14.909 --> 01:32:15.650]  When do you want it?
[01:32:16.030 --> 01:32:17.631]  Now or after the battle starts?
[01:32:17.911 --> 01:32:18.731]  When will you need it?
[01:32:18.991 --> 01:32:20.992]  Can you buy it without proper identification?
[01:32:21.172 --> 01:32:22.292]  Will there be any food?
[01:32:22.513 --> 01:32:23.853]  Will it make your children sick?
[01:32:24.053 --> 01:32:29.115]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:32:29.315 --> 01:32:32.496]  You wipe out all these problems if you have a good food supply.
[01:32:32.897 --> 01:32:36.358]  Food is your ammunition to fight for your freedom and your life.
[01:32:36.718 --> 01:32:37.699]  How much will you need?
[01:32:37.939 --> 01:32:38.559]  We don't know.
[01:32:38.839 --> 01:32:39.760]  How much do you want?
[01:32:39.940 --> 01:32:40.680]  All you can get.
[01:32:40.881 --> 01:32:41.721]  I'm Alex Jones.
[01:32:41.981 --> 01:32:44.743]  I want all of you good guys to live to fight another day.
[01:32:45.023 --> 01:32:46.764]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[01:32:46.784 --> 01:32:47.725]  Again, that number 1-800-409-5633.
[01:32:57.301 --> 01:33:04.144]  This is Alex Jones, and I want to tell you about the Ecola Blue Atmospheric Water Generator that produces pure drinking water right from the humidity in the air.
[01:33:04.265 --> 01:33:05.505]  No, this isn't science fiction.
[01:33:05.545 --> 01:33:06.205]  It's very real.
[01:33:06.366 --> 01:33:10.127]  I know because I use one every day in my own home, and it's available right now to you.
[01:33:10.248 --> 01:33:14.590]  Because you know exactly where your water comes from with Ecola Blue, you'll know what's in your cup.
[01:33:14.730 --> 01:33:17.111]  Clean, great-tasting water without all the pollutants.
[01:33:17.291 --> 01:33:23.094]  Get your family off the grid today by ordering your own Ecola Blue Atmospheric Water Generator for your home or business.
[01:33:23.314 --> 01:33:28.036]  Their best seller, the Ecolablue 28, produces up to 7 gallons of water every day.
[01:33:28.096 --> 01:33:30.817]  The Ecolablue 28 is easy to use and economical.
[01:33:30.917 --> 01:33:33.538]  Generate your own pure water from the humidity in the air.
[01:33:33.638 --> 01:33:40.801]  This system is free of chemicals and uses a multi-stage filtration system, including reverse osmosis, carbon filters, and ultraviolet lights.
[01:33:41.101 --> 01:33:47.022]  Order now and claim your water independence today by calling a Coloblue at 1-800-691-6043.
[01:33:47.062 --> 01:33:49.303]  That's 1-800-691-6043.
[01:33:49.903 --> 01:33:56.465]  Or visit a Coloblue on the web at www.ecoloble.com today.
[01:33:57.965 --> 01:34:02.426]  Studies have shown that many people do not get the proper vitamins and minerals necessary to maintain
[01:34:08.736 --> 01:34:09.857]  The answer is simple.
[01:34:10.137 --> 01:34:11.438]  PureBulk.com.
[01:34:11.698 --> 01:34:20.565]  PureBulk.com has over 150 bulk wholesale nutritional products in stock, including vitamins, super antioxidants, amino acids, and herbal extracts.
[01:34:20.785 --> 01:34:30.152]  PureBulk.com's products contain no fillers, no additives, no fancy retail packaging, and no minimum purchase, allowing you to save 50% to 90% over store-bought supplements.
[01:34:30.412 --> 01:34:37.838]  PureBulk.com carries atomic iodine, red wine extract, gingko biloba, oil of oregano, natural coffee caffeine, L-arginine,
[01:34:37.938 --> 01:34:41.941]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:35:06.024 --> 01:35:08.386]  Okay, let's go to your phone calls.
[01:35:09.246 --> 01:35:10.767]  Let's talk to David in Oklahoma.
[01:35:10.787 --> 01:35:11.648]  David, you're on the air.
[01:35:11.708 --> 01:35:12.228]  Welcome, sir.
[01:35:13.409 --> 01:35:13.829]  Hello!
[01:35:14.550 --> 01:35:14.930]  Welcome.
[01:35:15.831 --> 01:35:16.831]  Hey, Alex.
[01:35:16.911 --> 01:35:20.594]  First off, I just want to say I thank God for you and what you do.
[01:35:21.074 --> 01:35:31.421]  I was awakened about a little over a year ago, and the process eventually led me to the Obama deception and endgame and loose change and
[01:35:32.802 --> 01:35:36.305]  Dr. Stanley Monteith read his book, Brotherhood of Darkness, in the whole nine.
[01:35:36.745 --> 01:35:43.771]  The thing that I wanted to ask is, I'm a Christian and I've read the Bible cover to cover several times, so I know how it is.
[01:35:44.672 --> 01:35:48.335]  And I hear you and I hear other guests talk about how we're going to win.
[01:35:48.796 --> 01:35:54.961]  Well, I want to know what you mean when you say we're going to win or we can win this.
[01:35:55.161 --> 01:35:56.162]  Tell me what you mean by that.
[01:35:57.537 --> 01:35:58.898]  That's a great question, David.
[01:35:58.958 --> 01:36:00.719]  We're going to win our souls.
[01:36:00.879 --> 01:36:08.663]  We're going to stand up against evil and not cop out and say we're going to be teleported by Scotty in the rapture that's non-existent in the Bible.
[01:36:10.864 --> 01:36:11.484]  Until after.
[01:36:12.525 --> 01:36:16.847]  And we're going to stand against evil and be tested in the fire.
[01:36:17.808 --> 01:36:20.189]  And in the end, good is going to win.
[01:36:21.650 --> 01:36:23.691]  And so I don't get up here and debate
[01:36:24.682 --> 01:36:25.422]  Theology.
[01:36:25.602 --> 01:36:26.342]  I've read the Bible.
[01:36:26.403 --> 01:36:26.923]  I've studied it.
[01:36:27.003 --> 01:36:27.803]  I know what it says.
[01:36:27.823 --> 01:36:31.144]  I know it says the beast will make war on the saints and overcome them.
[01:36:31.524 --> 01:36:33.004]  But that means the saints are going to fight it.
[01:36:33.584 --> 01:36:39.106]  But in the greatest awakening to this dehumanizing force, that's what it is.
[01:36:39.126 --> 01:36:41.307]  It's death and disease and pain.
[01:36:41.327 --> 01:36:42.527]  That's beautiful to Satan.
[01:36:43.187 --> 01:36:44.307]  And Satan is a spirit.
[01:36:44.347 --> 01:36:44.908]  It is real.
[01:36:46.028 --> 01:36:49.729]  There is a mystery of evil, as the Bible talks about, guiding this force.
[01:36:52.148 --> 01:36:56.332]  And I can feel the good, I can feel the evil.
[01:36:58.935 --> 01:37:08.564]  So the cop-out that I see from the false, Christianoid, plastic, fake, mannequin church that isn't real, it's like a mannequin of a man or woman, it's not a human.
[01:37:14.411 --> 01:37:23.917]  I mean, the reason I know the Bible is profound, inspired by the Creator, is that people talk about Nostradamus.
[01:37:24.257 --> 01:37:26.379]  They're incredibly vague.
[01:37:26.659 --> 01:37:32.002]  The king will be struck on the horse and the spear will go in his eye.
[01:37:32.062 --> 01:37:34.004]  Well, kings back then fought in wars.
[01:37:34.884 --> 01:37:40.787]  And that was one of the most common ways they were killed, was someone with a sword or a spear or an arrow through the visor.
[01:37:40.807 --> 01:37:47.991]  It's one of the few places they could, they would be in heavy battle armor, would take a crane to put them on the giant war horse, the big Clydesdale.
[01:37:48.852 --> 01:37:51.433]  I mean, that's how you'd know the king, because they would have the heaviest armor.
[01:37:52.073 --> 01:38:00.158]  And so, oh my gosh, this quattrain, you know, a hundred years later, the king of France was killed jousting.
[01:38:00.638 --> 01:38:04.966]  The jousting spear went into his visor.
[01:38:04.986 --> 01:38:08.712]  I mean, that's not prophecy.
[01:38:09.153 --> 01:38:14.141]  You read Ezekiel and Daniel and Revelations and it is
[01:38:15.939 --> 01:38:22.326]  Uh, giant metal insects dropping eggs that are, you know, that turn into giant pillars of fire.
[01:38:22.346 --> 01:38:23.347]  I mean, that's, that's nukes.
[01:38:23.968 --> 01:38:35.581]  It is, it is a world system where the image of the beast is seen by all, television, and, and, and that there's moving images of the beast on the streets, and it describes holograms and robots.
[01:38:36.141 --> 01:38:40.144]  And how you must buy or sell, and it's the hand or the face, the body scan.
[01:38:40.765 --> 01:38:48.171]  They're now scanning you in these scanners to get your full biometric scan, where they can passively, not just in airports, but from the street, know who you are, even if you wear a mask.
[01:38:48.471 --> 01:38:53.615]  Shoots through your clothes and has the digital... Let he who hath understanding reckon the number.
[01:38:53.635 --> 01:38:54.636]  It is a number of a man.
[01:38:54.896 --> 01:38:59.981]  The digital calculation of a man's body, of your face, of your hand.
[01:39:01.460 --> 01:39:25.462]  And it just goes on, and on, and on, and on, and on, and how there will be ten kingdoms, and how there will be, and then you read the Club of Rome and UN, and the UN calls it ten kingdoms, and it will be ruled by a monetary system, and it will be a false church, and it's just, it's, it's, it's, it's unbelievable, and you can't read Revelation
[01:39:26.848 --> 01:39:31.393]  And those visions on the Isle of Patmos and not... I mean, it's not vague.
[01:39:31.974 --> 01:39:32.595]  It's not vague.
[01:39:32.615 --> 01:39:35.478]  And it says, the merchants of the world traffic in men's souls.
[01:39:35.538 --> 01:39:38.041]  That's what they're really into, is control of the mind.
[01:39:38.281 --> 01:39:43.126]  What O'Brien is saying to Winston, the mind is everything, the soul, what people believe.
[01:39:44.067 --> 01:39:46.209]  And it just goes on and on and on.
[01:39:49.787 --> 01:39:58.950]  I'm just here to tell people what's happening and what the New World Order is doing, and I have found that Bible-thumping, pushy Christians can't wake up anybody.
[01:39:59.390 --> 01:40:08.733]  But I, this radio show, has so many people have not found the organized religion and the churches, but they have found a relationship with the Creator.
[01:40:09.493 --> 01:40:12.714]  And their heart is right, and they now understand and are getting themselves ready.
[01:40:13.495 --> 01:40:14.855]  Ready for what we're going into.
[01:40:16.095 --> 01:40:16.276]  And I
[01:40:18.755 --> 01:40:21.136]  Just want to try to be a pure and virtuous person.
[01:40:21.696 --> 01:40:29.599]  I want to try to transcend my flesh and be the true leader that we're all meant to be.
[01:40:33.361 --> 01:40:34.982]  Because as a symbol of liberty
[01:40:36.175 --> 01:40:36.355]  This is
[01:40:53.999 --> 01:40:57.262]  Because they understand and they don't want people to realize there are good people.
[01:40:57.282 --> 01:40:58.903]  They don't want people to realize there are good leaders.
[01:40:58.923 --> 01:41:03.427]  They don't want people to realize because then a leader then reflects on you and you become a leader.
[01:41:03.667 --> 01:41:06.669]  They don't want you to believe there's anything real, anything bonafide.
[01:41:06.689 --> 01:41:07.710]  There's just more evil.
[01:41:08.711 --> 01:41:10.292]  And so it's just incredible.
[01:41:10.312 --> 01:41:14.896]  I mean, I feel the spirit of the Creator and it embraces me.
[01:41:16.001 --> 01:41:23.668]  With chills, as the Creator says, you know, you've done well, but now you truly know more than you did before.
[01:41:23.708 --> 01:41:24.989]  Now you have the discernment.
[01:41:25.049 --> 01:41:26.150]  Now you have the knowledge.
[01:41:26.170 --> 01:41:27.030]  There's no excuse.
[01:41:27.431 --> 01:41:28.592]  You have to be even better.
[01:41:29.713 --> 01:41:34.437]  And then I say, why me, God?
[01:41:34.537 --> 01:41:37.119]  Why am I in this position?
[01:41:37.780 --> 01:41:39.181]  Why have I been given this burden?
[01:41:39.201 --> 01:41:41.483]  You know, they say with great wisdom comes great sorrow.
[01:41:44.123 --> 01:41:48.708]  And then, why can't I articulate and teach what I know and understand?
