# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:13.279 --> 00:00:17.519]  The Alex Jones Network is tomorrow's news today.
[00:48:56.000 --> 00:48:59.119]  And that's why they want broadcasts like this off the air.
[00:48:59.360 --> 00:49:05.119]  For those of you that have been awake 20, 30, 40 years, some of you before I was awake, this just all seems like, yeah, we already know this.
[00:49:05.360 --> 00:49:08.239]  Remember, the general public is just woken up.
[00:49:08.559 --> 00:49:13.920]  And when you first wake up in the middle of the night when a fire alarm is going off, you don't know exactly what's going on.
[00:49:14.000 --> 00:49:16.320]  You're awake now, but you got to figure out what's going on.
[00:49:16.639 --> 00:49:20.639]  You and I have been awake for a long time, so we know what's going on.
[00:49:20.960 --> 00:49:25.280]  We've got to now get all the other people that are awake understanding what's happening.
[00:49:25.440 --> 00:49:27.840]  Waking people up is just the first piece.
[00:49:28.159 --> 00:49:31.519]  Then you've got to get them informed and show them for themselves.
[00:49:31.840 --> 00:49:34.960]  It's like Morpheus says to Neo in the first Matrix.
[00:49:35.039 --> 00:49:37.599]  He says, listen, I can't tell you about the Matrix.
[00:49:38.559 --> 00:49:39.440]  You just got to decide.
[00:49:39.519 --> 00:49:41.679]  You want to know what's really going on or you want to go back to Wonderland?
[00:49:42.400 --> 00:49:45.199]  Take the blue pill, go back to fantasy land, take the real red pill.
[00:49:45.440 --> 00:49:48.400]  But let me warn you, all I'm offering is the truth.
[00:49:50.079 --> 00:49:53.599]  So and again, what's my agenda?
[00:49:55.679 --> 00:49:59.760]  Pro-human, the truth, pro-God, pro-family, pro-Jesus Christ.
[00:50:00.639 --> 00:50:04.239]  And I will just tell you what I really believe is the most accurate information.
[00:50:04.400 --> 00:50:05.280]  That's my North Star.
[00:50:05.440 --> 00:50:06.159]  That's my mission.
[00:50:07.119 --> 00:50:07.840]  So people will tune in.
[00:50:07.920 --> 00:50:09.760]  They'll say, well, you put out a bunch of different ideas and things.
[00:50:10.000 --> 00:50:17.280]  Yeah, because a lot of the time I've got a general knowledge of what's happening to what's going on, but I'm not sure what's going to happen.
[00:50:18.159 --> 00:50:19.599]  I'm not God, far from it.
[00:50:19.760 --> 00:50:20.720]  And neither are you.
[00:50:21.599 --> 00:50:23.840]  So this is a thinking person's broadcast.
[00:50:24.000 --> 00:50:27.039]  And I say that because we got a lot of new listeners, a lot of new viewers all the time.
[00:50:27.280 --> 00:50:29.199]  They tune to hear what it's really all about.
[00:50:29.519 --> 00:50:32.960]  And I'm just trying to get people to research like I do.
[00:50:33.760 --> 00:50:34.639]  Don't believe what I say.
[00:50:34.960 --> 00:50:36.720]  Go check out what I research.
[00:50:37.039 --> 00:50:42.400]  Remember, the New York Times and others ran articles the last six, seven years, a bunch of them, saying, do not ask questions.
[00:50:44.800 --> 00:50:47.599]  Those telling you to ask questions and do your own research are bad.
[00:50:48.800 --> 00:50:58.400]  Well, anybody telling you to not do your own research is a bad person or is brainwashing an occult.
[00:50:59.679 --> 00:51:11.360]  So Zoron, or whatever his name is, up in New York, Zoran, is as bad as they come.
[00:51:12.960 --> 00:51:27.679]  And if you think you've seen videos of Kamala Harris or Hillary Clinton or even Rick Perry, he's famous for it, though he's not as bad as them changing their voice, pretending on what crowd they're in front of.
[00:51:28.559 --> 00:51:30.159]  There are now compilations of him.
[00:51:30.239 --> 00:51:31.440]  Some are like 15 minutes long.
[00:51:31.760 --> 00:51:33.679]  I'm going to play just a short one coming up.
[00:51:35.440 --> 00:51:39.280]  Where when he's in front of Indians, he goes, hello, how are you doing today?
[00:51:39.440 --> 00:51:40.079]  Good to see you.
[00:51:40.239 --> 00:51:42.000]  I can't really do an Indian accent, but, you know.
[00:51:42.960 --> 00:51:45.840]  And if he's in front of black people, he's like, how's it going now?
[00:51:46.800 --> 00:51:51.599]  And then if he is in front of gay people, he's like, hello, God, I'm wearing an apron and a dress.
[00:51:51.679 --> 00:51:52.720]  I'm gone, gay.
[00:51:52.960 --> 00:51:55.760]  I want to triple the money to cut little boys' penises off.
[00:51:55.920 --> 00:51:56.960]  So liberal.
[00:51:57.280 --> 00:52:01.760]  This guy, as I said a week ago, But now it's, I'm sure of it.
[00:52:01.920 --> 00:52:06.000]  This is the chameleons chameleon.
[00:52:06.960 --> 00:52:08.800]  I mean, it is incredible.
[00:52:09.119 --> 00:52:12.639]  But before I play that clip, got a bunch of them here.
[00:52:13.280 --> 00:52:39.280]  Let's play a clip of whatever it was, five, six days ago, when he won the Democrat primary massively, which generally means he's the shoe end for the mayor of a bunch of white liberals and his campaign people literally cheering for someone that just came out and said, we need to look at white zip codes and increase their property taxes.
[00:52:39.519 --> 00:52:44.000]  Well, again, I'm not going to go to the statistics.
[00:52:44.079 --> 00:52:45.039]  You can look up for yourself.
[00:52:45.280 --> 00:52:53.760]  But if you look at the wealthiest groups by race of the top 10, seven or eight.
[00:52:53.920 --> 00:52:54.639]  No, it's eight.
[00:52:54.719 --> 00:52:54.800]  Yeah.
[00:52:54.960 --> 00:52:55.920]  Eight are Asian.
[00:52:56.239 --> 00:52:57.920]  And Asian means a lot of different groups.
[00:52:58.000 --> 00:52:58.719]  It could be Pakistani.
[00:52:58.800 --> 00:53:02.480]  It could be Chinese, Japanese, South Korean, all that, Vietnamese.
[00:53:02.800 --> 00:53:06.639]  They count kind of Arabs as Asian, even though they're partly Asian genetically.
[00:53:07.199 --> 00:53:16.239]  But the point is Arabs in general are mainly white with Asian, with a little bit of African, depending on the Arab.
[00:53:16.320 --> 00:53:18.960]  Most Arabs don't have much African, but that's the genetics.
[00:53:19.039 --> 00:53:30.000]  But the point is, is that this lie, this class warfare lie that white people per capita are the rich people is not true.
[00:53:30.079 --> 00:53:34.400]  Now, it's true that of the world's billionaires, the majority are white.
[00:53:35.599 --> 00:53:44.320]  And of those, quote, Caucasians, they're Jewish, which you could say, well, they're not even really Caucasian.
[00:53:44.960 --> 00:53:49.039]  Different groups of Sephardic Jews, Ashkenazi Jews, on and on and on.
[00:53:49.599 --> 00:53:52.239]  And I'm not attacking Jews saying that.
[00:53:53.280 --> 00:54:01.679]  It's just a fact that of the world's white billionaires, there's different statistics, different numbers, but around 60% are Jewish.
[00:54:02.239 --> 00:54:13.039]  And then you see the leftist Jewish lobby, Soros, and others, constantly pushing that the average white person, I've seen a lot of black commentators now seeing the statistics, wait a minute.
[00:54:14.320 --> 00:54:14.960]  Wait a minute.
[00:54:15.280 --> 00:54:18.159]  Actually, the average white person's blue collar.
[00:54:19.679 --> 00:54:24.000]  So, and of the middle class, it's mainly Asians.
[00:54:24.320 --> 00:54:26.719]  And there's a lot of Hispanics and blacks that are in the middle class as well.
[00:54:26.800 --> 00:54:28.320]  They've actually been upwardly mobile, which is great.
[00:54:28.400 --> 00:54:29.280]  I'm all for that.
[00:54:29.599 --> 00:54:31.920]  Because this is a non-zero sum game.
[00:54:32.239 --> 00:54:34.800]  We can have everybody do well in an expanding economy.
[00:54:35.039 --> 00:54:36.639]  I don't believe in winners and losers.
[00:54:36.800 --> 00:54:42.800]  That's what Trump believes in, like JFK said, the president, a rising tide raises all ships.
[00:54:42.880 --> 00:54:44.239]  I mean, it's true.
[00:54:45.679 --> 00:54:49.599]  But who's trying to make it all racial when it's not racial?
[00:54:49.760 --> 00:54:51.199]  It's policy.
[00:54:52.400 --> 00:54:56.400]  And it's policies that impoverish the average person, no matter what color you are.
[00:54:56.639 --> 00:55:00.000]  And the globalists want you poor and want you to not have skills.
[00:55:00.320 --> 00:55:01.039]  So you're what?
[00:55:01.199 --> 00:55:03.760]  Domesticated and under their control.
[00:55:03.920 --> 00:55:05.760]  They also want to split up families.
[00:55:05.920 --> 00:55:12.639]  They want to teach women, as they did with the CIA and Gloria Steinem work for the CIA and Miss Magazine, that having a husband, having a baby, slavery.
[00:55:12.960 --> 00:55:16.000]  And now the statistics have been out for decades, and it just gets worse and worse.
[00:55:16.159 --> 00:55:18.880]  Women are more depressed, more unhappy than ever.
[00:55:19.039 --> 00:55:19.920]  So are men.
[00:55:20.239 --> 00:55:22.239]  Women are saying everywhere, where are the men?
[00:55:22.559 --> 00:55:32.639]  Young women I know are literally saying the guys just want to play video games.
[00:55:33.280 --> 00:55:34.480]  They don't even want women.
[00:55:34.559 --> 00:55:35.519]  It's not they're even gay.
[00:55:35.679 --> 00:55:37.599]  They just, you know, what's wrong with them?
[00:55:37.840 --> 00:55:41.199]  There's big articles, the New York Times, Washington Post this week, where have all the men gone?
[00:55:41.280 --> 00:55:42.079]  That's coming up.
[00:55:42.400 --> 00:55:50.880]  Well, you got a bunch on average entitled, spoiled women that have been taught they don't need a man.
[00:55:51.440 --> 00:55:55.599]  And so you're not even following your biological directive, your main drive state.
[00:55:55.679 --> 00:55:58.000]  And then you wonder why you're so unhappy.
[00:55:58.960 --> 00:56:01.519]  But men are on average more self-sufficient than women.
[00:56:01.840 --> 00:56:04.320]  That's in all mammal species.
[00:56:04.639 --> 00:56:07.280]  And so they're just off doing their own thing.
[00:56:08.159 --> 00:56:11.920]  And then the women are like, God, we're totally depressed on SSRIs.
[00:56:12.000 --> 00:56:12.400]  What the hell?
[00:56:12.639 --> 00:56:16.400]  Well, you got taught by the CIA that you don't need a man.
[00:56:16.480 --> 00:56:20.400]  And that's all globalist policy to break down society.
[00:56:23.519 --> 00:56:23.760]  Yeah.
[00:56:24.400 --> 00:56:25.920]  Men, where have you gone?
[00:56:26.079 --> 00:56:26.880]  Please come back.
[00:56:27.199 --> 00:56:30.000]  So I love the New York Times, the Washington Post, and all of them.
[00:56:30.320 --> 00:56:32.639]  All part of this engineering operation.
[00:56:33.199 --> 00:56:36.800]  Remember Paul Ehrlich in the 70s and 80s.
[00:56:36.880 --> 00:56:37.679]  I've played many clips of this.
[00:56:37.760 --> 00:56:40.400]  You can type in Paul Ehrlich talks about depopulation.
[00:56:40.480 --> 00:56:42.559]  Paul Ehrlich talks about demonizing the family.
[00:56:42.720 --> 00:56:47.599]  Paul Ehrlich talks about, you'll have 70s, 80s, 90s, still TV shows.
[00:56:47.679 --> 00:56:49.840]  He's like, we're going to did a deal.
[00:56:49.920 --> 00:56:58.800]  He said in 79 on a talk show, he says, we're going to run TV programs everywhere showing men as a joke and men as idiots and women as being in charge.
[00:56:59.119 --> 00:57:00.159]  And we're going to break up the family.
[00:57:00.320 --> 00:57:02.000]  That'll cause depopulation.
[00:57:02.880 --> 00:57:04.480]  Top globalist Club of Rome.
[00:57:04.720 --> 00:57:08.639]  And then you look at it suddenly, starting in the late 70s, all the men are idiots in TV shows.
[00:57:08.960 --> 00:57:10.559]  Married with Children, The Simpsons.
[00:57:10.720 --> 00:57:13.039]  I mean, you know, that was deliberate.
[00:57:13.280 --> 00:57:16.720]  And then it expanded where every hero is a woman.
[00:57:18.239 --> 00:57:22.480]  And every woman can beat up men and every woman is a better soldier than men.
[00:57:22.720 --> 00:57:24.400]  All of this, yeah, here it is right here.
[00:57:24.559 --> 00:57:25.519]  God, Cree found that instantly.
[00:57:25.599 --> 00:57:26.559]  I didn't tell him I'm going to go there.
[00:57:26.800 --> 00:57:29.440]  I mean, Jimmy Carstene went there like 30 times or something.
[00:57:30.159 --> 00:57:32.320]  I mean, there's hundreds of these things.
[00:57:32.880 --> 00:57:35.840]  And he said, we're doing this to destroy the family.
[00:57:36.000 --> 00:57:38.159]  I mean, it's not like it's my opinion.
[00:57:38.480 --> 00:57:40.960]  So Peter Till goes, why is society collapsing?
[00:57:41.199 --> 00:57:42.320]  Why aren't we innovating?
[00:57:42.480 --> 00:57:43.760]  Why are we being depopulated?
[00:57:43.840 --> 00:57:45.199]  You know, Elon Musk, all that.
[00:57:45.519 --> 00:57:48.880]  It is a direct, admitted operation.
[00:57:50.400 --> 00:57:55.199]  Now, any woman that ever has kids, and the statistics show it, will tell you it's the greatest thing in her life.
[00:57:55.360 --> 00:57:56.559]  Any man's ever had children.
[00:57:56.639 --> 00:57:57.360]  It's the greatest thing ever.
[00:57:57.440 --> 00:57:59.679]  And it makes you click into gear to get your shit together.
[00:58:00.000 --> 00:58:05.280]  I'm not attacking people that are barren or, you know, had bad parents or didn't, never found somebody they loved, didn't have a kid.
[00:58:05.440 --> 00:58:06.880]  I'm not saying there aren't bad marriages.
[00:58:07.679 --> 00:58:15.679]  It's statistically, though, there is no doubt that they were sabotaging civilization for a post-industrial world.
[00:58:15.840 --> 00:58:17.199]  If you're going to do that, you got to sabotage it.
[00:58:17.599 --> 00:58:18.800]  But I'm digressing.
[00:58:19.360 --> 00:58:22.639]  Back to Sauron Mondani or whatever the hell his name is.
[00:58:23.599 --> 00:58:26.559]  This guy is what they want to put in charts.
[00:58:26.639 --> 00:58:30.559]  And I have mainstream London Guardian, A.P. Reuters, you name it.
[00:58:31.360 --> 00:58:34.239]  Oh, yeah, Parliament wants to ban you being able to even have children.
[00:58:36.320 --> 00:58:44.960]  They want to dumb you down and make you so poor that you're on welfare so they can then dictate to you if you're even allowed to have kids.
[00:58:45.280 --> 00:58:50.480]  And then society breaks down so bad, you're like, well, actually, we should not let people have kids that are so dumb or vote.
[00:58:50.800 --> 00:58:55.519]  But see, they built the breakdown on purpose to then offer their solution.
[00:58:55.679 --> 00:58:56.480]  And it's all admitted.
[00:58:56.639 --> 00:59:00.159]  It's not like I figured all this out and it all came true and I was this magic man.
[00:59:00.480 --> 00:59:01.920]  They said it all.
[00:59:02.239 --> 00:59:03.599]  I mean, I didn't script this with the crew.
[00:59:03.679 --> 00:59:07.039]  I tell them what articles they have, what videos they have, but I just say stuff and they type it in.
[00:59:07.119 --> 00:59:08.480]  They do a great job.
[00:59:11.039 --> 00:59:12.079]  And it's all there.
[00:59:12.639 --> 00:59:16.000]  And they're like, oh, everybody's starving because you cut off the fertilizer, you cut off the food.
[00:59:16.159 --> 00:59:17.360]  You destabilize their governments.
[00:59:17.599 --> 00:59:19.360]  You do lockdowns, killing tens of millions.
[00:59:19.519 --> 00:59:22.960]  And then you flood us with the refugees of that and then pose us as saviors.
[00:59:23.280 --> 00:59:24.719]  And they talk about how they do that.
[00:59:26.320 --> 00:59:30.880]  So I'm like a football coach that has the whole enemy playlist, what play they're going to pull.
[00:59:31.519 --> 00:59:33.440]  And then the owner says, I'm pulling you out, coach.
[00:59:33.519 --> 00:59:37.039]  I'm going to put somebody in that doesn't have the playlist, that doesn't have the playbook.
[00:59:37.360 --> 00:59:39.119]  And I'm just like, okay, well, all right.
[00:59:39.679 --> 00:59:42.719]  And that's why they want me off the air because I know the enemy playbook.
[00:59:43.360 --> 00:59:45.119]  So let's play a bunch of these in a row.
[00:59:45.519 --> 00:59:55.119]  Let's play white liberals cheering for someone that literally hates them when Zoran won the primary.
[00:59:55.440 --> 01:00:02.400]  Then I have this racist representative Oglis misrepresenting what Trump's really doing.
[01:00:03.119 --> 01:00:05.440]  We're deporting illegal aliens.
[01:00:05.599 --> 01:00:06.639]  We're not deporting citizens.
[01:00:06.719 --> 01:00:09.599]  Yeah, it's a joke to denaturalize Zoran and deport him.
[01:00:09.840 --> 01:00:14.320]  Like when I said deport Pierce Morgan in 2013, it was a joke.
[01:00:14.639 --> 01:00:18.079]  And then here's what I was talking about right here, Washington Post.
[01:00:19.360 --> 01:00:23.199]  Zoran may join a global trend of mayors standing up to nationalists.
[01:00:23.280 --> 01:00:24.880]  Oh, people that want to control their own countries.
[01:00:25.119 --> 01:00:28.480]  That's immunialization, UN take over the cities, like the blue cities, like you've seen.
[01:00:29.039 --> 01:00:29.599]  It's a plan.
[01:00:29.840 --> 01:00:36.159]  When they couldn't get the carbon taxes passed 20 years ago, they made the UN head of immunialization to take over the city Schwarzenegger for a while.
[01:00:37.760 --> 01:00:39.840]  He wants a tax on white people.
[01:00:40.880 --> 01:00:45.840]  Here he is with Osama bin Laden look like, you know, where he's talking all in Islamic or Middle Eastern accent.
[01:00:46.079 --> 01:00:48.400]  The guy's a total chameleon.
[01:00:48.719 --> 01:00:52.480]  So let's air those clips, including the chameleon clip.
[01:00:52.800 --> 01:00:55.679]  And if we've got it, him with the, I think I gave it to you today.
[01:00:55.760 --> 01:00:59.360]  I had it yesterday, never played it, him with the Osama bin Laden look like.
[01:01:00.000 --> 01:01:02.079]  But here is this ultimate chameleon.
[01:01:02.159 --> 01:01:07.599]  And what he really is, is a globalist who's here to bring down civilization and create balkanization.
[01:01:07.760 --> 01:01:10.400]  And there's nothing like Islam to do that.
[01:01:10.559 --> 01:01:11.440]  Here it is.
[01:01:12.960 --> 01:01:26.480]  Okay, so here we have white people in New York jumping for joy because a Muslim socialist from Uganda named Soran Mamdani will be the next NYC mayor.
[01:01:27.119 --> 01:01:28.719]  Jumping for joy.
[01:01:29.280 --> 01:01:33.199]  This is a man who wants government-owned food stores.
[01:01:33.440 --> 01:01:34.400]  I have to say that again.
[01:01:34.639 --> 01:01:36.880]  Government-owned food stores.
[01:01:37.119 --> 01:01:39.119]  That's as communist as you get.
[01:01:39.440 --> 01:01:41.679]  Someone posted one of his tweets from 10 years ago.
[01:01:41.840 --> 01:01:50.159]  This guy was cranking out anti-white tweets 10 years ago while getting zero likes, just pure love of the game.
[01:01:50.480 --> 01:01:54.559]  And then you have the same demographic jumping for joy that he's elected.
[01:01:54.800 --> 01:02:00.480]  It's truly incredible to watch the self-hatred out of this demographic years in the making.
[01:02:00.800 --> 01:02:05.519]  Mr. Speaker, I rise to honor immigrants.
[01:02:05.840 --> 01:02:12.320]  Throughout American history, immigrants of all kinds have made our country great.
[01:02:12.960 --> 01:02:22.639]  Sergey Breen invented Google, and Marilyn Albright blazed trails as the first female Secretary of State.
[01:02:22.880 --> 01:02:23.679]  By the way, hip pause.
[01:02:25.280 --> 01:02:26.719]  And they came here legally.
[01:02:27.599 --> 01:02:28.800]  So did Elon Musk.
[01:02:29.519 --> 01:02:30.880]  We're talking about illegal aliens here.
[01:02:30.960 --> 01:02:31.519]  Continue.
[01:02:33.039 --> 01:02:37.199]  Diversity, many Republicans want to shame immigrants.
[01:02:37.519 --> 01:02:44.480]  On Tuesday, Zoran Mandani, an immigrant from Uganda, won the New York mayoral primary.
[01:02:44.800 --> 01:03:08.320]  Representative Andy Ogles promptly went on an unhinged anti-immigrant racist rant throughout yesterday and today, calling this freely elected man and U.S. citizen little Mohamed, called for revoking his citizenship and for him to be deported with no just cause.
[01:03:08.639 --> 01:03:11.119]  We must always condemn hate.
[01:03:11.440 --> 01:03:22.639]  I have introduced a censure resolution, House Resolution 553, against Andy Ogles for his horrific anti-immigrant sentiment.
[01:03:22.960 --> 01:03:24.960]  Immigrants make our country great.
[01:03:25.310 --> 01:03:27.500]  And I yield back.
[01:03:33.360 --> 01:03:35.840]  I mean, do you like capitalism?
[01:03:36.400 --> 01:03:38.639]  No, I have many critiques of capitalism.
[01:03:38.800 --> 01:03:46.239]  And I think ultimately the definition for me of why I call myself a democratic socialist king decades ago.
[01:03:46.400 --> 01:03:49.199]  He said, call it democracy or call it democratic socialism.
[01:03:49.440 --> 01:03:52.960]  There must be a better distribution of wealth for all of God's children in this country.
[01:03:53.280 --> 01:03:57.440]  And that's what I'm focused on is dignity and taking on income inequality.
[01:03:57.760 --> 01:04:02.000]  And for too long, politicians have pretended that we're spectators to that crisis of affordability.
[01:04:02.239 --> 01:04:09.119]  We're actually actors and we have the choice to exacerbate it like Mayor Adams has done or to respond to it and resolve it like I'm planning to do.
[01:04:09.440 --> 01:04:17.679]  I'm gravely concerned that if he became mayor and implemented some of these policies, we're going to see an exodus from New York.
[01:04:17.920 --> 01:04:19.679]  It's going to crater our economy.
[01:04:20.000 --> 01:04:23.599]  It's going to drive up taxes that will be passed on to my constituents.
[01:04:24.239 --> 01:04:28.480]  And it will destroy our state's economy as well.
[01:04:29.119 --> 01:04:33.599]  He ran a campaign based on a bunch of promises that he cannot deliver on.
[01:04:33.920 --> 01:04:35.920]  We are facing a cost of living crisis.
[01:04:36.159 --> 01:04:51.760]  But the way forward for Americans and the way forward for my party is to find concrete solutions, to find ways to lower the cost of living for everyday Americans and not promise to be Santa Claus and give everything for free when you can't actually do that because nothing is free.
[01:04:52.159 --> 01:04:57.280]  The pressure, no matter the attacks, I will not move on those principles.
[01:04:57.599 --> 01:05:05.280]  And I tell you starting tomorrow for early voting.
[01:05:05.599 --> 01:05:09.119]  Guarantee that fat imams on three welfare checks came and wipe his ass.
[01:05:10.000 --> 01:05:11.440]  That New Yorkers want that.
[01:05:11.840 --> 01:05:12.880]  These people are disgusting.
[01:05:13.199 --> 01:05:15.679]  They want to come here and tell us how we suck and try to conquer us.
[01:05:16.239 --> 01:05:17.199]  Islam means submission.
[01:05:17.920 --> 01:05:19.039]  And they tell us how much we suck.
[01:05:19.840 --> 01:05:22.400]  And Islam's like 90% allied with communism in the left.
[01:05:23.360 --> 01:05:24.639]  I'm just sorry, it's cancer.
[01:05:24.960 --> 01:05:28.000]  But in the last election, only 7% of us voted.
[01:05:28.320 --> 01:05:29.360]  Now, I will not judge anyone.
[01:05:29.760 --> 01:05:31.119]  Bin Laden's sitting on a toilet right there?
[01:05:31.920 --> 01:05:32.639]  He's taking a dump.
[01:05:36.639 --> 01:05:37.679]  We have an opportunity.
[01:05:37.920 --> 01:05:38.800]  I bet he's wearing a diaper.
[01:05:39.039 --> 01:05:47.599]  And I can tell you, I began this race at 1%, and today I am just 2% away from Andrew Paul.
[01:05:48.880 --> 01:05:50.719]  2% away from City Hall.
[01:05:50.880 --> 01:05:51.440]  And he beat him.
[01:05:51.679 --> 01:05:54.159]  2% away from making history.
[01:05:54.480 --> 01:05:59.119]  And that is why every day a new Republican billionaire puts a million dollars into this.
[01:05:59.519 --> 01:06:01.519]  On average, 80% of these Muslims are on welfare.
[01:06:01.760 --> 01:06:03.440]  I guarantee that whole room's on welfare.
[01:06:03.760 --> 01:06:04.159]  Which is the situation.
[01:06:04.559 --> 01:06:05.760]  Walk around their nightgowns all day.
[01:06:06.800 --> 01:06:08.239]  Your wives wear beekeeper suits.
[01:06:09.280 --> 01:06:11.519]  And they put these Muslims forward in their suits to trick us.
[01:06:12.400 --> 01:06:13.920]  Look at London, look at all, look at Paris.
[01:06:14.239 --> 01:06:18.400]  To tell them that we as Muslims deserve what every other community deserves.
[01:06:18.719 --> 01:06:20.239]  Equality and respect.
[01:06:20.559 --> 01:06:24.719]  But we know that in this city and in this country, we are not going to be given those things.
[01:06:25.039 --> 01:06:26.559]  We have to win those things.
[01:06:26.880 --> 01:06:30.239]  And one way we win them is at the ballot box.
[01:06:31.119 --> 01:06:41.280]  So I ask you, when you go and vote, remember, it is our opportunity to show that Muslims don't just belong in New York City.
[01:06:41.599 --> 01:06:43.679]  We belong in City Hall too.
[01:06:43.920 --> 01:06:44.480]  Thank you so much.
[01:06:44.639 --> 01:06:45.280]  Sam Ari.
[01:06:45.920 --> 01:06:46.639]  Thank you.
[01:06:49.199 --> 01:06:50.880]  Come on, you forgot to rin the mosque.
[01:06:51.039 --> 01:06:52.400]  You forgot to rin the mosque too.
[01:06:54.880 --> 01:06:58.400]  So the left's totally allied with this crap.
[01:06:58.719 --> 01:07:06.000]  Now, meanwhile, Ice, Ice Baby, Denver City Council ends car theft tracking system to protect illegal immigrants.
[01:07:06.320 --> 01:07:10.239]  It's everything they can do to allow crime to run totally wild.
[01:07:10.480 --> 01:07:14.719]  Ron Paul says President Trump is unleashing a great, big, ugly surveillance state.
[01:07:15.039 --> 01:07:17.440]  And he's talking about Palantir, and he's right.
[01:07:18.079 --> 01:07:19.760]  But Oracle's already running it.
[01:07:20.079 --> 01:07:24.079]  Trump's trying to bring in Palantir to look at all the agencies and groups to tell what they're doing.
[01:07:24.400 --> 01:07:25.760]  And you're like, well, that's big tech.
[01:07:25.840 --> 01:07:26.480]  That's surveillance.
[01:07:26.880 --> 01:07:27.119]  Yeah.
[01:07:27.440 --> 01:07:31.920]  15 years ago when Alexa came out, I said it's listening to everything you say and do, which of course came out.
[01:07:32.239 --> 01:07:33.760]  And your cars, all the new smart cars.
[01:07:34.320 --> 01:07:35.199]  It's all going on.
[01:07:35.760 --> 01:07:36.880]  It's not a defense of Palantir.
[01:07:37.039 --> 01:07:38.079]  I'm people said I did.
[01:07:38.400 --> 01:07:41.920]  It's pointing out that, no, Palantir did not invent this.
[01:07:42.800 --> 01:07:47.119]  And then Trump is trying to bring in little tech to try to get control of it and do it all.
[01:07:47.440 --> 01:07:50.320]  But it's still the ring of Sauron and it's still out of control.
[01:07:50.960 --> 01:07:51.599]  Remember this?
[01:07:51.920 --> 01:07:56.639]  Biden administration backs down from tracking bank accounts with over 600 annual transactions.
[01:07:56.960 --> 01:08:04.320]  And they admitted years ago they were using AI in all of our bank accounts in live time without a warrant to track everything we do.
[01:08:05.920 --> 01:08:08.800]  So is that Palantir tracking everything you do?
[01:08:09.119 --> 01:08:11.519]  And then they quote, back down, but they're still doing it.
[01:08:12.480 --> 01:08:18.479]  Trump administration knocked down of personal data barriers, raises privacy alarms.
[01:08:19.600 --> 01:08:25.359]  So your Samsung TV, your Alexa, your Google assistant, they're been listening and watching and tracking your iPhone.
[01:08:25.680 --> 01:08:35.279]  But Trump wants Palantir to look at who's stealing Social Security and how the agencies and how all this is going because it's so complex, hard for people to ever do it.
[01:08:35.600 --> 01:08:45.840]  And suddenly the Daily Mail, the New York Times, they say, oh my God, there's a thing called a surveillance grid and it just got invented by Palantir and they're doing it and we want these contracts killed.
[01:08:45.920 --> 01:08:46.640]  We want it to happen.
[01:08:47.279 --> 01:08:49.600]  I'm saying, do you fight fire with fire?
[01:08:52.479 --> 01:08:54.880]  Or do we dismantle all this AI and big tech?
[01:08:55.439 --> 01:08:58.239]  The point is, this is a fight over who is going to control it.
[01:08:58.479 --> 01:09:01.359]  And now Trump wants to use it to actually go after the deep state.
[01:09:01.680 --> 01:09:04.000]  And I'm saying that's like using the ring of Sauron for good.
[01:09:04.079 --> 01:09:04.880]  It never works.
[01:09:05.199 --> 01:09:07.119]  People go, wait a minute, you just endorsed Palantir.
[01:09:07.680 --> 01:09:15.760]  No, I'm known as the guy that first, at least for 28, 29 years, been over 31, but I didn't really cover this the first few.
[01:09:16.640 --> 01:09:21.039]  It was just developing the cashless society, the whole move, the social credit score, all that.
[01:09:21.359 --> 01:09:23.039]  This is already in place.
[01:09:24.000 --> 01:09:28.880]  Biden got a law passed in Congress three years ago that all new cars track you and listen to you and watch you in live time.
[01:09:29.039 --> 01:09:32.159]  It was already for over a decade in all the cars, but now they made it a law.
[01:09:32.479 --> 01:09:33.920]  I'm not against travelerless cars.
[01:09:34.159 --> 01:09:43.199]  If you're sick or you're drunk or you're whatever or you're tired, it's a great service, but it's a great technology, except it's all integrated into AI to run it.
[01:09:43.439 --> 01:09:46.079]  And then they want to make humans obsolete and push us out of the vehicles.
[01:09:46.159 --> 01:09:46.880]  That's admitted.
[01:09:47.439 --> 01:09:50.239]  I'm not against guns, but I don't want criminals using them wrong.
[01:09:50.560 --> 01:09:51.119]  You see?
[01:09:52.000 --> 01:09:54.640]  So you got to have a full spectrum view of this.
[01:09:54.960 --> 01:09:57.680]  And so I'm simply saying, what do we do about this?
[01:09:58.000 --> 01:10:03.359]  Not, oh, my God, palanteer with all of your personal info.
[01:10:03.520 --> 01:10:06.239]  The agencies and corporations already have it all, do whatever they want with it.
[01:10:06.319 --> 01:10:15.119]  Like 23andMe told you a decade ago, 20 years, 15, whenever it came out 15 years ago, whatever it was, that they're really owning your DNA and using it for medical experiments.
[01:10:15.199 --> 01:10:18.640]  I told you the no swabs were really DNA tests that came out.
[01:10:19.520 --> 01:10:26.319]  So there is all this competing AI, all this competing surveillance data, all these competing social credit scores.
[01:10:26.399 --> 01:10:29.279]  The UN's got its global standardized system with Bill Gates and China running it.
[01:10:29.359 --> 01:10:30.640]  That's all being put in.
[01:10:30.800 --> 01:10:32.640]  Trump's coming in, kind of blocking some of that.
