# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: e88e4929dc3fcfc98d92524c7c7cd4d1
[00:00:07.759 --> 00:00:08.240]  Christmas.
[02:03:12.880 --> 02:03:14.240]  And you're the ones that allow it.
[02:03:14.480 --> 02:03:15.920]  You're the ones that do it.
[02:03:16.560 --> 02:03:20.880]  Now, Andrew Wakesfield was the original person exposing poison shots and autism.
[02:03:21.040 --> 02:03:22.640]  He's been totally vindicated.
[02:03:22.960 --> 02:03:25.360]  In studio with us, coming up.
[02:03:26.560 --> 02:03:33.120]  Then Andrew Meyer responding to, as a Jewish person, to all the attacks and things that are going on.
[02:03:33.200 --> 02:03:36.320]  It's good to hear from folks like him.
[02:03:36.640 --> 02:03:45.680]  Then Victor Boot, that nobody can get an interview with, Baylor even Russia, regional leader, former U.S. political prisoner, listened to me for 10 years in prison.
[02:03:46.000 --> 02:03:49.120]  He's got big intel, incredible interview coming up.
[02:03:49.440 --> 02:03:57.840]  And then, of course, Kaidi, defender of the Republic, who is doing an incredible job exposing the Globalist Crime Syndicate.
[02:03:57.920 --> 02:03:59.760]  This lady is amazing.
[02:04:00.080 --> 02:04:03.760]  And I also learned she's the stepdaughter of a very important person.
[02:04:03.920 --> 02:04:06.960]  I didn't realize that when I was talking to her, but every guest is powerful.
[02:04:07.200 --> 02:04:08.400]  Everything they say is powerful.
[02:04:08.640 --> 02:04:10.160]  You decide how it gets spread.
[02:04:10.400 --> 02:04:11.760]  You decide the effect it has.
[02:04:12.080 --> 02:04:12.720]  You decide.
[02:04:12.880 --> 02:04:14.720]  You are the game changer.
[02:04:15.040 --> 02:04:23.920]  And you decide as we go to break and come back with the full transmission, Dr. Andrew Wakefield in her studio on whether or not this operation can continue on no matter what happens, Infowars.
[02:04:24.000 --> 02:04:27.680]  So when you go to the Alexander.com, you don't just fund Infowars or the Legal Defense.
[02:04:27.760 --> 02:04:29.040]  You fund the Alex Shows Network.
[02:04:29.120 --> 02:04:31.360]  It's been built and is ready to go as our backup.
[02:04:31.680 --> 02:04:36.000]  And there's an even bigger studio being built right now as well by our sponsors, thealxialstore.com.
[02:04:36.160 --> 02:04:36.640]  We're all in.
[02:04:36.800 --> 02:04:37.760]  We thank you for being all in.
[02:04:38.000 --> 02:04:40.080]  Ultra Methylene Red, what a bestseller.
[02:04:40.320 --> 02:04:42.640]  The first two rounds that came in sold out so quickly.
[02:04:42.960 --> 02:04:45.120]  More ultra-methylene red proprietary.
[02:04:45.200 --> 02:04:46.320]  It goes great with methylene blue.
[02:04:46.400 --> 02:04:46.800]  Very special.
[02:04:46.880 --> 02:04:47.840]  It takes hours to get into it.
[02:04:48.000 --> 02:04:48.640]  Go research it.
[02:04:48.880 --> 02:04:51.920]  Now back in stock at thealxjonstore.com.
[02:04:52.240 --> 02:04:53.760]  So get your methylene red right now.
[02:04:53.840 --> 02:04:56.400]  Ultra methylene red right now at thealxhoodstore.com.
[02:04:56.560 --> 02:04:58.400]  We'll be right back with Dr. Andrew Wakefield.
[02:04:58.640 --> 02:05:03.840]  RFK Jr. shocked many when he sat down for a meal with Fox's Sean Hannity.
[02:05:04.400 --> 02:05:17.840]  The pair dined at Fast Food Chain Steak and Shake, eating burgers and fries in a bid to highlight the chain switch to frying their food in beef tallow, which is a healthier alternative to traditionally used seed oils.
[02:05:18.160 --> 02:05:19.280]  I am so excited.
[02:05:19.520 --> 02:05:24.720]  After over a year, we have the highest quality private labeled beef tallow out there.
[02:05:24.960 --> 02:05:28.320]  You heard RFK Jr. rave about it, the health effects, how good it is.
[02:05:28.480 --> 02:05:30.240]  This sucker is boom heavy.
[02:05:30.480 --> 02:05:31.440]  This is high quality.
[02:05:31.600 --> 02:05:34.640]  It is very competitively priced and it funds this whole operation.
[02:05:34.960 --> 02:05:40.560]  It is optimal human beef tallow rash fed from thealexjonstore.com.
[02:05:40.800 --> 02:05:48.080]  It is night and day compared to all these other fats and all these trans fats and all of the seed oils that are so toxic, especially when you eat them.
[02:05:48.400 --> 02:05:49.120]  Not this.
[02:05:49.360 --> 02:05:50.160]  It is so good.
[02:05:50.399 --> 02:05:54.318]  It is now available, discounted, at thealochonestore.com.
[02:05:54.858 --> 02:06:13.069]  A frontal assault on the lies of the New World Order.
[02:06:13.600 --> 02:06:15.079]  It's Alex Jones.
[02:06:36.659 --> 02:06:40.459]  Wakefield for at least 20 years, even before they tried to set him up and destroy him.
[02:06:41.840 --> 02:06:47.200]  And he has been a fellow Austinite, you know, now lives outside Austin in Wimberly, beautiful place.
[02:06:47.280 --> 02:06:48.160]  If I could, I live out there.
[02:06:48.240 --> 02:06:48.720]  It's gorgeous.
[02:06:48.960 --> 02:06:50.560]  I can't commute him the hour.
[02:06:51.120 --> 02:06:53.840]  And it's got to be Twilight Zone for you.
[02:06:54.000 --> 02:06:56.560]  In fact, I just didn't get to talk to you before you came in.
[02:06:56.640 --> 02:06:57.920]  We just talked like a minute before we went live.
[02:06:58.000 --> 02:06:59.040]  And I said, what do you want to cover first?
[02:06:59.120 --> 02:07:02.400]  You just said how crazy the world is, how things have changed, the Great Awakening.
[02:07:02.480 --> 02:07:03.760]  I said, that was my first question.
[02:07:04.080 --> 02:07:08.960]  But probably before we get into all the new developments, important to just recap what they did to you.
[02:07:09.280 --> 02:07:10.880]  And, you know, you're not a victim.
[02:07:10.960 --> 02:07:11.760]  You're an overcomer.
[02:07:12.000 --> 02:07:17.680]  And not for me to play victim either, but I have gone through a very similar demonization, large-scale campaign.
[02:07:18.000 --> 02:07:23.280]  So we are peers in that, like a Mike Lindell or a Donald Trump.
[02:07:23.440 --> 02:07:25.680]  And it's not that we're whining victim.
[02:07:25.920 --> 02:07:28.320]  We have experienced the machinery and being run over by it.
[02:07:28.480 --> 02:07:32.000]  So we have a particular perspective to be able to share with people.
[02:07:32.320 --> 02:07:37.520]  But the good news is back when you're blowing the whistle and I'm blowing the whistle on things, there weren't many of us that could really target us.
[02:07:37.600 --> 02:07:40.640]  Now there's so many that we're beginning to turn the tide over well.
[02:07:41.600 --> 02:07:46.880]  So WakefieldMediaGroup.com, now you make films, all the rest of your great work helping autistic children.
[02:07:47.200 --> 02:07:57.120]  But you were and still are patient zero, tip of the spear, domino number one in the UK with your patients, discovering this has all been vindicated.
[02:07:57.520 --> 02:07:59.920]  The fake studies, the lies, all of it totally insane.
[02:08:00.000 --> 02:08:01.520]  But first, you want to go there first.
[02:08:01.760 --> 02:08:02.960]  35,000 foot view.
[02:08:03.120 --> 02:08:05.440]  They're trying to impeach Robert F. Kennedy Jr.
[02:08:06.240 --> 02:08:07.600]  They've had so many huge successes.
[02:08:07.920 --> 02:08:09.040]  It's really amazing.
[02:08:09.360 --> 02:08:10.480]  And so he's now the new target.
[02:08:10.560 --> 02:08:11.680]  We got to rally behind him.
[02:08:12.000 --> 02:08:14.800]  And then just recapping and take your time and what happened to you.
[02:08:15.040 --> 02:08:17.760]  And then we'll get into all the new developments and this giant new study that's come out.
[02:08:17.920 --> 02:08:18.720]  It's just incredible.
[02:08:18.960 --> 02:08:19.600]  Sure, Alex.
[02:08:19.760 --> 02:08:25.200]  Well, who could have believed when we first got together that we would be here now, how the world would have changed?
[02:08:25.360 --> 02:08:28.240]  But my story starts back.
[02:08:28.480 --> 02:08:31.680]  I was a mainstream gastroenterologist at a London teaching hospital.
[02:08:31.760 --> 02:08:33.360]  I had a big research team.
[02:08:33.680 --> 02:08:34.400]  Life was good.
[02:08:34.560 --> 02:08:39.040]  And then in 1995, I got a call from a mother who said my child was fine.
[02:08:39.120 --> 02:08:39.600]  They were normal.
[02:08:39.680 --> 02:08:42.560]  They had speech, language, interaction with their siblings.
[02:08:42.880 --> 02:08:45.440]  And then they had a vaccine and then they disappeared.
[02:08:45.520 --> 02:08:48.640]  The lights went out in their eyes and they were gone.
[02:08:48.960 --> 02:08:52.240]  And I believe, I said, why are you calling me?
[02:08:52.320 --> 02:08:53.600]  Because I'm a gastroenterologist.
[02:08:53.680 --> 02:08:55.600]  I don't know anything about autism at all.
[02:08:55.920 --> 02:08:56.160]  Nothing.
[02:08:56.320 --> 02:08:57.760]  We weren't taught about it at medical school.
[02:08:57.920 --> 02:08:58.480]  It was so rare.
[02:08:58.560 --> 02:09:02.640]  And she said, because my child has terrible gastrointestinal problems.
[02:09:02.960 --> 02:09:05.360]  And the doctors just say, oh, that's part of autism.
[02:09:05.680 --> 02:09:08.560]  Put them in a home, forget about them, have another child, move on.
[02:09:09.040 --> 02:09:10.160]  It was absolutely tragic.
[02:09:10.400 --> 02:09:14.720]  And she said, there's an epidemic of this particular problem, regressive autism.
[02:09:14.880 --> 02:09:18.320]  And so it was such a coherent and consistent story.
[02:09:18.400 --> 02:09:19.440]  I thought, we've got to look into this.
[02:09:19.600 --> 02:09:23.920]  We put together a big team of researchers, eminent gastroenterologists.
[02:09:24.080 --> 02:09:25.600]  The parents were absolutely right.
[02:09:25.920 --> 02:09:28.640]  The experts had said there's no bowel disease in autism.
[02:09:28.800 --> 02:09:29.760]  Kids don't regress.
[02:09:30.080 --> 02:09:31.120]  It starts in the womb.
[02:09:31.200 --> 02:09:31.760]  It's genetic.
[02:09:31.840 --> 02:09:32.560]  No, it wasn't.
[02:09:32.800 --> 02:09:34.080]  They were wrong on every single thing.
[02:09:34.480 --> 02:09:35.840]  Like you said, it was women's intuition.
[02:09:36.160 --> 02:09:37.760]  It was the mother's intuition.
[02:09:38.320 --> 02:09:45.200]  And so I looked at this and people said, look, we can't question vaccine safety.
[02:09:45.520 --> 02:09:50.880]  The dean said of the medical school said, this is not going to be good for your career, an overt threat.
[02:09:51.200 --> 02:09:53.280]  You know, stop this or else.
[02:09:53.600 --> 02:10:00.000]  And I kind of, you know, being a young surgeon at the time, I just thought, no, that made me work twice as hard.
[02:10:00.320 --> 02:10:01.440]  And they were right.
[02:10:01.600 --> 02:10:02.320]  The parents were right.
[02:10:02.480 --> 02:10:03.040]  This is the thing.
[02:10:03.280 --> 02:10:08.800]  When they said, my chick kid has a bowel disease, the medical profession said that no, they don't, and they do.
[02:10:09.120 --> 02:10:14.320]  When they say, my child regressed after a vaccine, you take that very, very seriously.
[02:10:14.640 --> 02:10:17.520]  You don't assume in your arrogance as a doctor that you know better.
[02:10:17.760 --> 02:10:24.560]  So they came after me and they did a very effective job at dismantling my career.
[02:10:24.720 --> 02:10:25.760]  Now, here's the thing, Alex.
[02:10:26.080 --> 02:10:30.000]  Now people are familiar with the cancel culture of the medical profession.
[02:10:30.240 --> 02:10:31.040]  But it was unknown then.
[02:10:31.280 --> 02:10:31.680]  Unknown.
[02:10:31.840 --> 02:10:32.480]  It was unheard of.
[02:10:32.640 --> 02:10:35.120]  In fact, you're kind of probably the first in modern time.
[02:10:35.520 --> 02:10:36.960]  Well, it certainly felt like that.
[02:10:37.520 --> 02:10:37.920]  It was me.
[02:10:38.160 --> 02:10:40.720]  And then there were, you know, the World Health Organization and UNICEF.
[02:10:41.120 --> 02:10:43.200]  And you're in every paper every day, the devil.
[02:10:43.440 --> 02:10:43.680]  Yeah.
[02:10:43.920 --> 02:10:45.680]  Yeah, I remember walking into Times Square.
[02:10:45.760 --> 02:10:56.000]  I came back from giving a lecture in Hong Kong and I walked into Times Square and there was that sort of ticker thing going around the Fox News building saying Dr. Wakefield is a fraud.
[02:10:56.160 --> 02:10:58.400]  And I was just, anyway, this is what they did.
[02:10:58.480 --> 02:10:59.200]  They came after me.
[02:11:00.080 --> 02:11:07.360]  Rupert Murdoch had his son put on the board of GlaxoSmithKline, Europe's biggest producer of MMR.
[02:11:07.680 --> 02:11:15.600]  His job as a non-executive director was to go after me to protect that company's name in the media.
[02:11:15.920 --> 02:11:18.480]  He did a very effective job and dismantled my career.
[02:11:18.560 --> 02:11:19.600]  They accused me of fraud.
[02:11:19.760 --> 02:11:22.320]  They accused me of any number of things.
[02:11:22.480 --> 02:11:24.880]  There were 28 pages of charges.
[02:11:25.200 --> 02:11:26.880]  And it was staggering.
[02:11:27.040 --> 02:11:29.520]  And at the time, it was overwhelming.
[02:11:29.600 --> 02:11:30.240]  What do you do about it?
[02:11:30.480 --> 02:11:31.840]  How do you take this kind of thing on?
[02:11:32.000 --> 02:11:33.920]  Because it's massive.
[02:11:34.240 --> 02:11:35.520]  And so I thought, you know what?
[02:11:35.680 --> 02:11:41.440]  I'm going to stop feeling sorry for myself and work out how best to continue with this work.
[02:11:41.600 --> 02:11:42.640]  And I came to America.
[02:11:42.960 --> 02:11:49.760]  So I came here as a political and professional exile, set up in Austin, and they came after me here.
[02:11:50.080 --> 02:11:51.760]  And eventually, you know what happened, Alex?
[02:11:51.920 --> 02:12:00.960]  I had so many people come to me from federal agencies like the CDC, like NIH, drug companies, saying, we have done a terrible thing.
[02:12:01.040 --> 02:12:02.000]  We've committed fraud.
[02:12:02.080 --> 02:12:02.960]  Here's the evidence.
[02:12:03.280 --> 02:12:05.680]  So I became a repository for whistleblowers.
[02:12:06.000 --> 02:12:08.160]  And I thought these would make amazing films.
[02:12:08.320 --> 02:12:12.400]  These would make great Erin Brockovich type movies, you know, The Insider.
[02:12:12.560 --> 02:12:13.360]  And so that's what I did.
[02:12:13.520 --> 02:12:14.480]  I became a filmmaker.
[02:12:14.800 --> 02:12:23.280]  Well, I'm not a pathologist, but I've unfortunately seen this a few times, where a homeless person walks out in front of an 18-wheeler and gets splattered down the road.
[02:12:23.360 --> 02:12:27.680]  I don't need to be a doctor to know when their body is in 10 different pieces over 100 yards, they're dead.
[02:12:28.000 --> 02:12:28.880]  And it's the same thing.
[02:12:28.960 --> 02:12:34.560]  I can't tell you how many people at a resort or a grocery store or a church say, you know, they got three, four kids with them.
[02:12:34.720 --> 02:12:35.840]  Oh, here's our son, Billy.
[02:12:35.920 --> 02:12:36.560]  He's four now.
[02:12:36.720 --> 02:12:42.400]  He was running around happy, playing, totally smart until 18 months, third round, had a bunch of convulsions and never talked again.
[02:12:43.040 --> 02:12:45.920]  And then has horrible diarrhea and screams and yells all day.
[02:12:46.160 --> 02:12:49.040]  But quantifying his briefer people, because now it's been vindicated.
[02:12:49.840 --> 02:12:50.640]  What were the findings?
[02:12:51.120 --> 02:12:52.000]  What are the shots doing?
[02:12:52.160 --> 02:12:53.040]  What's it doing in the gut?
[02:12:53.120 --> 02:12:54.240]  We know it's catching the brain.
[02:12:54.560 --> 02:12:55.280]  What's happening?
[02:12:55.600 --> 02:12:56.640]  Well, I don't know, Alex.
[02:12:56.720 --> 02:12:57.360]  This is the problem.
[02:12:57.520 --> 02:13:04.160]  This is a great shame is that if our work had been allowed to continue without being sabotaged, I would have answers for you now.
[02:13:04.480 --> 02:13:05.040]  But I don't.
[02:13:05.360 --> 02:13:07.440]  But I know for sure there was a bowel disease.
[02:13:07.520 --> 02:13:08.160]  It was unusual.
[02:13:08.320 --> 02:13:11.280]  It wasn't like Crohn's disease or olstive colitis.
[02:13:11.360 --> 02:13:12.080]  It was something different.
[02:13:12.400 --> 02:13:14.400]  But it responded to treatment.
[02:13:14.480 --> 02:13:23.920]  If we were given anti-inflammatories or put them on a specific diet, excluding gluten and casein, for example, the kids would improve, not just from the gut, but cognitively.
[02:13:24.240 --> 02:13:27.200]  Well, the experts had said, once again, there is no improvement.
[02:13:27.520 --> 02:13:28.720]  These children don't get better.
[02:13:28.880 --> 02:13:30.400]  The diets have no effect at all.
[02:13:30.800 --> 02:13:31.840]  Yes, they do, actually.
[02:13:32.000 --> 02:13:32.480]  The parents.
[02:13:33.120 --> 02:13:35.120]  But now the good news is Kennedy is investigating it.
[02:13:35.200 --> 02:13:36.880]  Trump's directed an investigation.
[02:13:37.360 --> 02:13:39.040]  Yeah, now it's the world has changed.
[02:13:39.520 --> 02:13:40.240]  And now they're scared.
[02:13:40.560 --> 02:13:41.120]  They're terrified.
[02:13:41.280 --> 02:13:47.920]  Bobby Kennedy getting in there and exposing this and saying, actually, the safety studies, you say safe and effective, safe and effective.
[02:13:48.240 --> 02:13:49.360]  Look, I know you're a doctor in the scientists.
[02:13:49.440 --> 02:13:51.760]  You want to speculate, but there are studies out there.
[02:13:52.080 --> 02:13:54.480]  Particularly, it's the MMR, they say, is one of the worst, right?
[02:13:54.560 --> 02:13:55.440]  With hepatitis.
[02:13:55.840 --> 02:13:58.960]  We know the brain, the spine, the guts, all connected.
[02:13:59.280 --> 02:14:01.120]  So, I mean, do we have any idea?
[02:14:01.360 --> 02:14:05.120]  I know you got samples and things like how it's triggering this inflammation.
[02:14:05.520 --> 02:14:07.760]  Obviously, the gut's inflamed, means the brain's inflamed, right?
[02:14:08.080 --> 02:14:10.800]  Well, that's what we, you know, what, what, what is the mechanism?
[02:14:10.960 --> 02:14:12.480]  How is the gut related to the brain?
[02:14:12.640 --> 02:14:15.840]  Is it that we're absorbing toxins from a damaged gut?
[02:14:16.000 --> 02:14:18.160]  Is it an allergic reaction?
[02:14:18.480 --> 02:14:22.560]  Are they being injured independently, but they're both susceptible to a vaccine injury?
[02:14:22.880 --> 02:14:24.640]  We don't know any number of these.
[02:14:24.798 --> 02:14:28.059]  Well, we know they've been spraying wheat with the glyphosate at the end.
[02:14:28.080 --> 02:14:29.920]  So you had a huge intake of that.
[02:14:30.000 --> 02:14:30.720]  We know that's toxic.
[02:14:30.880 --> 02:14:38.240]  So what I've heard of other scientists is that the cocktail of the shots and then with the glyphosate and the Tylenol just pushes it over the edge.
[02:14:38.400 --> 02:14:39.760]  Boys have a weaker blood-brain barrier.
[02:14:39.840 --> 02:14:40.800]  That's why it mainly affects boys.
[02:14:40.880 --> 02:14:42.080]  I think that's kind of the working theory.
[02:14:42.400 --> 02:14:44.480]  Yeah, there are many working theories, and that's one of them.
[02:14:44.640 --> 02:14:46.400]  It has as much merit as any other.
[02:14:46.560 --> 02:14:48.800]  Well, here's the thing with Kennedy and things as with Trump.
[02:14:49.040 --> 02:14:49.360]  That's right.
[02:14:49.440 --> 02:14:49.760]  That's right.
[02:14:50.000 --> 02:14:57.760]  So what happened, what changed everything, Alex, was that I went to the CDC, had a meeting with them around 2000.
[02:14:57.840 --> 02:15:07.280]  I testified before Congress, and they said to me, Dr. Wakefield, look, every child has MMR vaccine, only some develop autism.
[02:15:07.440 --> 02:15:08.160]  How do you explain that?
[02:15:08.320 --> 02:15:09.360]  I said, well, I don't know.
[02:15:10.560 --> 02:15:11.360]  Many people smoke.
[02:15:11.520 --> 02:15:12.880]  Only some develop lung cancer.
[02:15:13.040 --> 02:15:14.560]  We don't know the reason for that.
[02:15:14.880 --> 02:15:17.680]  But I believe that in part, it's related to age of exposure.
[02:15:17.840 --> 02:15:20.480]  The younger you get the vaccine, the greater the risk of autism.
[02:15:20.640 --> 02:15:21.120]  Why?
[02:15:21.440 --> 02:15:27.520]  Because with natural measles, the younger you get it, the greater the risk of a more serious disease if you get it under one.
[02:15:28.160 --> 02:15:30.480]  If you get it after one, it's a trivial disease.
[02:15:30.800 --> 02:15:33.120]  So they went away and tested that hypothesis.
[02:15:33.280 --> 02:15:34.960]  They found it was absolutely true.
[02:15:35.120 --> 02:15:44.080]  And they spent the next 14 years destroying the documents, hiding the results, and writing a paper which exonerated the MMR vaccine.
[02:15:44.320 --> 02:15:44.960]  14 years.
[02:15:45.200 --> 02:15:51.360]  How many American children were put in harm's way of serious permanent neurological disease during that time?
[02:15:51.680 --> 02:15:56.240]  Well, just in that period, we went like from, what, 56 years ago, it was one in 25,000.
[02:15:56.400 --> 02:16:00.400]  By then, it was like one in one in five, 10,000.
[02:16:00.480 --> 02:16:01.040]  I remember the numbers.
[02:16:01.120 --> 02:16:02.560]  Now it's like one in 35 or something.
[02:16:02.800 --> 02:16:03.840]  No, they're one in 20.
[02:16:04.000 --> 02:16:04.800]  We're talking one in 20.
[02:16:05.120 --> 02:16:05.760]  Well, it's even worse.
[02:16:06.080 --> 02:16:07.120]  Yeah, it's much worse.
[02:16:07.280 --> 02:16:12.000]  And so 14 years we waited, but then we made that film VAX.
[02:16:12.160 --> 02:16:17.200]  And when VAX got out there exposing fraud at the CDC, the world changed.
[02:16:17.360 --> 02:16:18.160]  It started to change.
[02:16:18.320 --> 02:16:21.600]  And two things have really changed the whole dynamic of this, Alex.
[02:16:21.760 --> 02:16:23.600]  One is movies, films.
[02:16:23.920 --> 02:16:30.320]  In the clinic, I can help one child at a time, but you make a movie, you can show that to millions of people at one time.
[02:16:30.960 --> 02:16:36.000]  And now the EU and all of them want to ban films questioning the shots.
[02:16:36.400 --> 02:16:36.960]  Absolutely.
[02:16:37.120 --> 02:16:38.160]  And you can see why.
[02:16:38.480 --> 02:16:39.680]  And the other thing is COVID.
[02:16:39.840 --> 02:16:42.160]  COVID was the biggest mistake they ever made.
[02:16:42.480 --> 02:16:49.600]  It exposed the underbelly of the system, the profiteering, the ignorance.
[02:16:50.400 --> 02:16:52.720]  And people are now changing.
[02:16:52.880 --> 02:16:54.480]  I mean, I got involved in the beginning.
[02:16:54.800 --> 02:16:57.840]  Maybe a handful of people worldwide would talk about vaccine safety.
[02:16:58.000 --> 02:17:00.320]  Now it's more than half the adult population of the world.
[02:17:00.480 --> 02:17:01.600]  And it's not as people have woken up more.
[02:17:01.680 --> 02:17:02.720]  There's way more damaged kids.
[02:17:02.880 --> 02:17:04.320]  So that'll get an army.
[02:17:04.480 --> 02:17:05.120]  And we'll take this.
[02:17:05.280 --> 02:17:13.760]  I remember right before they released COVID, they had the vaccine advisory board of the UN meet in an emergency in Switzerland in November.
[02:17:13.920 --> 02:17:15.280]  And we played the clips here.
[02:17:15.360 --> 02:17:16.000]  And there's the head lady.
[02:17:16.080 --> 02:17:17.280]  I forget her name, it's an Asian woman.
[02:17:17.440 --> 02:17:19.920]  She's like, most of our doctors don't trust the shots.
[02:17:20.000 --> 02:17:20.720]  We don't know what they do.
[02:17:20.800 --> 02:17:23.760]  We're given them by big pharma, and we're using people as guinea pigs.
[02:17:23.840 --> 02:17:24.560]  This needs to stop.
[02:17:24.880 --> 02:17:33.360]  So I believe they went ahead and released it to try to bring their disease X hysteria to say, no, no, you see, you need us, because their own system I know was in open rebellion against.
[02:17:33.520 --> 02:17:34.720]  Some of you have seen those clips.
[02:17:36.000 --> 02:17:39.040]  And that they had always thought disease X would give them total control instead of backfired.
[02:17:39.280 --> 02:17:40.080]  Yeah, backfired.
[02:17:40.160 --> 02:17:41.520]  Now, this is where we are now, Alex.
[02:17:41.600 --> 02:17:43.040]  And I'll just read you this.
[02:17:43.200 --> 02:17:45.280]  This is a paper that came out recently.
[02:17:45.440 --> 02:17:53.040]  This is a paper that was written by people who were skeptical about the serious side effects of vaccines initially.
[02:17:53.360 --> 02:17:59.840]  People like Peter McCullough, an outstanding cardiologist who's sort of the McCullough Foundation.
[02:18:00.240 --> 02:18:00.800]  All right, Shutter.
[02:18:01.360 --> 02:18:02.160]  This is the review.
[02:18:02.560 --> 02:18:10.160]  All those years ago, what I asked for, Alex, was more research to be done to establish the validity of the parents' claims or not.
[02:18:10.480 --> 02:18:11.040]  That's all I asked.
[02:18:11.280 --> 02:18:11.760]  You asked for research.
[02:18:12.000 --> 02:18:13.120]  You didn't fear investigation.
[02:18:13.360 --> 02:18:15.520]  I asked for, I didn't say vaccines cause autism.
[02:18:15.600 --> 02:18:17.680]  I asked for more research to be done.
[02:18:17.920 --> 02:18:24.400]  Now that research has been done, a review of 136 papers that purport to look at this issue.
[02:18:24.720 --> 02:18:27.280]  The conclusion, I'll read you the conclusion.
[02:18:27.600 --> 02:18:37.360]  Combination and early timed routine childhood vaccination constitutes the most significant modifiable risk factor for autism spectrum disorder.
[02:18:37.520 --> 02:18:39.600]  In other words, it can be prevented.
[02:18:39.920 --> 02:18:40.640]  This is the signal.
[02:18:40.800 --> 02:18:45.120]  Let's be clear because I've talked to not just McCullough, but other this is a very precise report.
[02:18:46.320 --> 02:18:47.440]  This is the highest standards.
[02:18:47.520 --> 02:18:48.000]  This is huge.
[02:18:48.319 --> 02:18:50.459]  Absolutely, and from people who...
[02:18:50.459 --> 02:18:52.138]  So finally, 20 years later, you got what you needed.
[02:18:52.560 --> 02:18:53.200]  Well, this is it.
[02:18:53.360 --> 02:18:54.400]  We got it, and there it is.
[02:18:54.560 --> 02:18:55.200]  And so they're in a.
[02:18:55.440 --> 02:18:56.160]  And what does it show?
[02:18:56.480 --> 02:19:02.560]  It shows that vaccines are the major cause of this problem, particularly autism.
[02:19:02.880 --> 02:19:04.320]  And it's modifiable.
[02:19:04.480 --> 02:19:05.120]  You can change it.
[02:19:05.280 --> 02:19:06.400]  You can prevent it.
[02:19:07.280 --> 02:19:08.240]  None of this ever had to happen.
[02:19:08.480 --> 02:19:08.800]  It's interesting.
[02:19:08.880 --> 02:19:12.080]  The drugs they talk about are exactly what you talked about 20 years ago that are needed.
[02:19:12.320 --> 02:19:21.360]  Yeah, if only they had done the science properly, if only they hadn't lied and deceived the public, deceived themselves that they were safe and effective and the science had been done.
[02:19:21.680 --> 02:19:26.640]  And it took Bobby Kennedy to come forward, a lawyer, and say, show me, show me where it's been done.
[02:19:26.800 --> 02:19:28.000]  And they couldn't because it hasn't.
[02:19:28.320 --> 02:19:28.640]  That's right.
[02:19:28.720 --> 02:19:32.480]  In the hearings, they finally admit we've never done a double-blind study.
[02:19:32.640 --> 02:19:33.680]  They just lie and say they have.
[02:19:33.840 --> 02:19:37.680]  Yeah, randomized control, clinical trials, prior to licensure have not been done.
[02:19:37.840 --> 02:19:44.240]  We put hepatitis B vaccine into one-day-old infants based upon a five-day safety study.
[02:19:44.400 --> 02:19:47.040]  No controls, no appropriate control.
[02:19:47.360 --> 02:19:52.080]  And we learned in those studies, like the Pfizer later, they hide the deaths, too.
[02:19:52.240 --> 02:19:52.480]  That's right.
[02:19:52.720 --> 02:19:55.040]  So it's not, it's only another, yeah, you're absolutely right.
[02:19:55.200 --> 02:20:01.920]  And if your child died on day six after the vaccine, it was nothing to do with the vaccine because they designed the study in that way.
[02:20:02.080 --> 02:20:02.720]  It's premeditated.
[02:20:02.800 --> 02:20:04.160]  So let me ask you this.
[02:20:04.800 --> 02:20:06.000]  There's a lot to get into here.
[02:20:07.360 --> 02:20:09.200]  What is Big Pharma going to do now?
[02:20:10.160 --> 02:20:18.240]  Well, here's the dilemma: is that what they're doing is the current vaccines like measles, mumps, and rubella have been around for a long time.
[02:20:18.400 --> 02:20:19.360]  They're failing.
[02:20:19.680 --> 02:20:28.720]  And what they're doing now is making mRNA-based vaccines for measles, mumps, rubella, and a whole host of other childhood infections.
[02:20:28.960 --> 02:20:34.960]  The plan is for the market to be taken over by those existing vaccines.
[02:20:35.120 --> 02:20:38.960]  Now, the good thing is the market will always win.
[02:20:39.520 --> 02:20:42.080]  Parents now know, and parents are saying no.
[02:20:42.320 --> 02:20:44.720]  Parents will demand the safety studies to be done.
[02:20:45.040 --> 02:20:52.160]  They will demand the proof because people like you have put it out on their show and exposed the world to the truth.
[02:20:52.480 --> 02:20:56.160]  And that's the important thing: that they can do what they like.
[02:20:56.480 --> 02:21:02.480]  But if the market says no, if the parents say, I am not putting this into my child, then they cannot win.
[02:21:02.720 --> 02:21:06.880]  Well, that's like what was there, like a 2% uptake on the mRNA booster for COVID.
[02:21:07.200 --> 02:21:11.360]  Yeah, they're failing and they're failing, and they've only got themselves to blame, Alex.
[02:21:11.680 --> 02:21:13.520]  They put themselves in this position.
[02:21:13.760 --> 02:21:15.360]  They have only got themselves to blame.
[02:21:15.440 --> 02:21:21.680]  It's no good blaming you and me for having this conversation now or blaming the parents for pinning it on the vaccines.
[02:21:22.000 --> 02:21:23.440]  They are at fault.
[02:21:23.760 --> 02:21:26.000]  Did you ever see the Borla clip like four years ago?
