[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[01:55:39.480 --> 01:55:42.280]  No, no, no, no.
[01:55:54.279 --> 01:55:59.259]  We would have to clear the gallery if clapping continues.
[01:56:00.140 --> 01:56:02.520]  I would order it if necessary.
[01:56:03.680 --> 01:56:04.000]  No.
[01:56:05.880 --> 01:56:22.380]  So the World Health Organization is an unelected, diplomatically immune, tax-exempt group that bears no resemblance to the good faith Florence Nightingale Union of Nations set up over 75 years ago.
[01:56:22.810 --> 01:56:36.109]  Public health and the decisions surrounding it now exist as a monopoly of the WHO, headed up by bureaucrats in Geneva, whose leadership has been embroiled in scandal after scandal.
[01:56:36.430 --> 01:56:41.029]  And the majority of the influence on the WHO now is by external entities.
[01:56:41.210 --> 01:56:51.090]  And indeed, as has been mentioned, one of the richest men in the world has a massive influence over the WHO. Indeed, I think 84% of...
[01:56:50.939 --> 01:57:05.579]  Of all the funding of the WHO now is by external commercial sources with an ability to direct the area that your generous donations to the WHO will send their policies.
[01:57:05.739 --> 01:57:08.119]  So it's basically pay to play.
[01:57:08.319 --> 01:57:26.920]  If you have enough money, you can influence the WHO. Not exactly the people I'd like to be deciding in the future whether my constituents are locked into their houses, whether they can see their relatives if they have to wear masks and if they have to take mandatory medication.
[01:57:27.380 --> 01:57:32.159]  I would say the least qualified people in the world to make those decisions.
[01:57:32.359 --> 01:57:40.039]  And any parliament that decides to abdicate its responsibilities to its constituents does not...
[01:57:40.109 --> 01:57:46.050]  Deserve the name of being a parliament and does not deserve a seat in any elected.
[01:57:46.350 --> 01:57:59.630]  Our final few minutes here, about 10 minutes with Andrew Bridgen, former UK member of parliament, expelled despite that he was extremely popular by his own party because he was exposing the poison shots.
[01:57:59.630 --> 01:58:01.689]  He's been totally vindicated.
[01:58:01.850 --> 01:58:05.069]  You were trying to tell an RFK Jr. story when we ended the last hour.
[01:58:05.520 --> 01:58:11.920]  We just played some of the clips of some of the other important work you've done in Parliament and in the EU Parliament speaking about what's happening.
[01:58:12.119 --> 01:58:18.819]  And I'm going to give you the floor now in the next 10 minutes, sir, to talk about whatever you'd like to get into.
[01:58:21.420 --> 01:58:23.699]  Well, I'm not politically naive.
[01:58:23.699 --> 01:58:28.260]  I knew that when I spoke out about the vaccines that there'd be a lot of pushback against me.
[01:58:28.220 --> 01:58:42.470]  I tried to recruit colleagues in the House of Commons I'd worked with for more than a decade to support my stand and stop the rollout of these dangerous, untested medical interventions.
[01:58:42.479 --> 01:58:48.009]  Some of my colleagues admitted they'd had heart attacks.
[01:58:48.020 --> 01:58:51.960]  This is back in November 22. They'd taken the shots.
[01:58:52.260 --> 01:58:57.399]  They'd suffered really serious health problems themselves.
[01:58:58.000 --> 01:59:03.439]  They'd got close family members who'd got health problems, but nobody would stand.
[01:59:03.819 --> 01:59:04.880]  Nobody would speak out.
[01:59:05.020 --> 01:59:15.960]  In the mother of all parliaments, where we're supposed to speak to protect the interest of those who elected us, without fear or favour, there's a lot of fear and there's a lot of favour.
[01:59:17.239 --> 01:59:27.800]  I was offered in January 22, I was offered anything I wanted, say what you want, to shut up.
[01:59:28.659 --> 01:59:31.779]  And my answer was, is that the game we're playing?
[01:59:32.380 --> 01:59:37.020]  And I was told it was the game we were playing, and I could have anything I wanted.
[01:59:37.260 --> 01:59:38.920]  And they said yes, within reason.
[01:59:39.260 --> 01:59:43.560]  I said, in that case, if that's the game we're playing, I want the Prime Minister's resignation letter.
[01:59:43.819 --> 01:59:47.100]  I couldn't have that, and I told them I didn't want anything else.
[01:59:47.979 --> 02:00:01.539]  Before I was thrown out of the Conservative Party, I met with a party grandee, spent an hour and a half with them, talking about the horrendous deaths and injuries from the vaccines.
[02:00:02.010 --> 02:00:26.930]  Also, my concern about the euthanisation of vulnerable elderly in our hospitals in the UK, which created the first wave of apparent COVID deaths, that was through the use of NICE guideline 163, NG163, which was brought in to treat pandemic patients with midazolam and morphine.
[02:00:27.069 --> 02:00:30.130]  Midazolam is a drug used on death row in America.
[02:00:31.809 --> 02:00:39.590]  They're respiratory inhibitors, which is bizarre that they were prescribed for people they suspected of having a respiratory illness.
[02:00:40.109 --> 02:00:46.449]  And after an hour and a half of that, I asked, what can we do to stop all this?
[02:00:46.550 --> 02:00:56.670]  This is in January 23. And I was told unequivocally that there was no political appetite at that time for my views on the vaccines.
[02:00:57.160 --> 02:01:01.359]  There may well be in 20 years' time, and I might be proved right then.
[02:01:02.020 --> 02:01:12.479]  But in the meantime, I needed to bear in mind that I was taking on the most powerful vested interest in the world with all the personal risk for me that that would entail.
[02:01:12.560 --> 02:01:13.420]  That's what I was told.
[02:01:13.800 --> 02:01:17.619]  And I said, I think this meeting's over, and I'm out of here.
[02:01:18.399 --> 02:01:21.119]  And I stood as an independent from then on.
[02:01:21.300 --> 02:01:25.819]  When I was thrown out of the party, all those MPs who I'd served with for...
[02:01:26.060 --> 02:01:27.060]  Many, many years.
[02:01:27.060 --> 02:01:38.479]  I thought that my friends, not one of them contacted me to say they were concerned or for how I was when I was thrown out of the party, a political party I'd served for decades.
[02:01:39.880 --> 02:01:49.960]  But very flatteringly, within an hour, I took a phone call from Robert Kennedy Jr. from America, who was at the time a presidential candidate, and he said he would back me.
[02:01:50.579 --> 02:01:54.779]  And he said that it was disgraceful what the UK Parliament was doing to me.
[02:01:55.229 --> 02:02:04.369]  And the last 18 months before the 24 election, I was ostracised by all the MPs in Parliament.
[02:02:04.369 --> 02:02:06.949]  I sat on my own for all my meals.
[02:02:08.090 --> 02:02:09.989]  I spoke in the chamber on my own.
[02:02:10.109 --> 02:02:16.010]  I spoke as a lone voice, raising concerns which had been raised to me by my constituents.
[02:02:16.789 --> 02:02:21.850]  But I wasn't isolated because, Alex, there are 4,000 real people who work in Parliament.
[02:02:21.989 --> 02:02:24.409]  They're the cooks and the cleaners.
[02:02:24.760 --> 02:02:26.800]  And the security guards and the clerks.
[02:02:27.399 --> 02:02:38.859]  And during the 18 months, they were so supportive for me privately when there was no one else around to witness it because they would have been sacked for showing any political bias or allegiance.
[02:02:39.180 --> 02:02:44.119]  But when there was no one about, lots and lots of them came up to me and said to Andrew, we're all praying for you.
[02:02:44.220 --> 02:02:44.600]  You're right.
[02:02:45.460 --> 02:02:50.579]  And I lost a lot of friends over the last few years speaking out.
[02:02:51.840 --> 02:02:56.279]  But I've made a lot of new friends, and I think these are better friends.
[02:02:56.520 --> 02:02:58.560]  And we are going to be on the right side of history.
[02:02:58.739 --> 02:03:01.460]  They're not going to get the 20 years of cover-up they want.
[02:03:03.500 --> 02:03:07.899]  If I have my way, they're not going to get another 20 months.
[02:03:08.939 --> 02:03:33.279]  And when this is exposed, and the madness of net zero, the power grab by the corrupt United Nations and the WHO, Seeking to create a one-world government, we'll be able to build something much better going forward for the UK, America and the rest of the world.
[02:03:33.359 --> 02:03:42.100]  And we can end these forever wars which are lining the pockets of the wealthiest in our society.
[02:03:42.180 --> 02:03:49.819]  And I think we've got to set out a new system for democracy because our democracies have been usurped.
[02:03:50.199 --> 02:03:57.119]  Around the world, they're working for someone, but they're certainly not working for the people who go out and vote.
[02:03:57.279 --> 02:03:59.000]  They're working for the super elites.
[02:03:59.260 --> 02:04:10.579]  And so we need, when this is over, and it will be over, and when we win, we're going to have to set up a system to make sure that this corruption can never happen again.
[02:04:11.539 --> 02:04:13.619]  Because humanity depends on it, Alex.
[02:04:14.939 --> 02:04:16.560]  It certainly does.
[02:04:19.539 --> 02:04:23.939]  What are your views, because I respect your views, on Nigel Farage?
[02:04:24.039 --> 02:04:25.979]  He's been a frequent guest years ago on the show.
[02:04:26.239 --> 02:04:32.560]  He's done a lot of good things, but he's said things about Tommy that really aren't fair or accurate.
[02:04:33.020 --> 02:04:35.779]  He now basically says surrender to Islam.
[02:04:36.960 --> 02:04:39.060]  What is going on with him?
[02:04:39.939 --> 02:04:40.739]  I don't know.
[02:04:40.819 --> 02:04:42.520]  I've known Nigel for 10 years.
[02:04:42.739 --> 02:04:43.920]  I'm a Brexiteer.
[02:04:43.979 --> 02:04:47.720]  I led Brexit, the campaign for the East Midlands.
[02:04:51.179 --> 02:04:52.359]  Nigel's changed.
[02:04:54.800 --> 02:05:18.020]  When I'd been and exhausted all the colleagues in Parliament for support to stop the vaccine rollout, I went to see Nigel two years ago, and after listening to all the science, and I do have a degree in biological sciences specialising in genetics and virology, Which is an amazing coincidence.
[02:05:19.699 --> 02:05:27.819]  Nigel said to me that he wasn't going to speak about the vaccines and if I knew what was good for me, I shouldn't speak about the vaccines either.
[02:05:27.819 --> 02:05:29.239]  And I was horrified at that.
[02:05:29.539 --> 02:05:34.020]  And the way he's attacked Tommy Robinson.
[02:05:34.420 --> 02:05:37.899]  Tommy Robinson endorsed his party at the last general election.
[02:05:39.920 --> 02:05:44.239]  I think if we look back, I mean, Nigel Farage has a history of...
[02:05:44.399 --> 02:05:50.060]  Pretty much stabbing everyone in the back who's supported him over the years.
[02:05:50.140 --> 02:05:53.000]  He's moved from UKIP to the Brexit party to reform.
[02:05:53.600 --> 02:06:03.020]  And the way he's treated one of his party, Ben Habib, and local councillors with principles, he's throwing them out of the party now.
[02:06:03.659 --> 02:06:08.680]  I think he's being fated that he could be a future prime minister after the next general election.
[02:06:08.899 --> 02:06:11.560]  And the way the Labour Party is performing, I mean, they're...
[02:06:11.760 --> 02:06:15.000]  They'll certainly be out of power like the conservatives were before them.
[02:06:16.020 --> 02:06:18.800]  But I'm sure he endorsed Boris Johnson, who was a big betrayer.
[02:06:19.000 --> 02:06:21.199]  And, you know, later, I mean, it's pretty clear.
[02:06:21.340 --> 02:06:22.659]  And, you know, Elon doesn't like him now.
[02:06:23.300 --> 02:06:40.760]  Well, I actually believe that the leader of the AFD in Germany has passed information to Mr. Musk over Christmas, which would be raising doubts about whose side Nigel Farage.
[02:06:41.359 --> 02:06:46.979]  That's what I've heard, and the timelines all fit with that.
[02:06:47.119 --> 02:06:54.260]  But we don't need any more members of the unit party in the UK. We need people who are going to be on the side of the people.
[02:06:54.479 --> 02:06:59.020]  We haven't got a party at all to vote for in the UK now.
[02:06:59.038 --> 02:07:16.717]  I'm afraid, Alex, I am relying, we are relying, much of the world is holding its breath that Donald Trump and his administration are going to get inaugurated successfully without any further attempts on their lives and that they are going to deliver on what they're promised.
[02:07:16.717 --> 02:07:22.958]  And I'm afraid those of us in the old world are relying on the new world to come and save us once again.
[02:07:23.260 --> 02:07:25.500]  All I'll say is do not let us down.
[02:07:25.500 --> 02:07:27.960]  Powerful.
[02:07:27.960 --> 02:07:30.079]  Everybody should visit your website.
[02:07:30.079 --> 02:07:36.900]  They should follow you on X at A, Bridgen, B-R-I-D-G-E-N.
[02:07:36.900 --> 02:07:40.380]  And please join us again very soon, sir.
[02:07:41.020 --> 02:07:42.060]  Thank you so much.
[02:07:43.199 --> 02:07:44.399]  Thank you for having me, Alex.
[02:07:44.300 --> 02:07:45.600]  Alex, it's been a pleasure.
[02:07:45.600 --> 02:07:46.079]  Wow.
[02:07:46.100 --> 02:07:57.979]  Yeah, he was the big lone voice in parliament the whole time with the COVID tyranny and as bad as the raping and killing of some of the children is.
[02:07:57.979 --> 02:08:00.180]  And it's one of the top issues.
[02:08:00.180 --> 02:08:03.940]  It just goes with the territory of how they see us as animals.
[02:08:03.940 --> 02:08:09.519]  They treat chickens or a cockroach better.
[02:08:09.529 --> 02:08:12.010]  And it's their cult.
[02:08:12.229 --> 02:08:14.710]  Because if you'll hurt children, you'll do anything.
[02:08:14.869 --> 02:08:16.189]  And it's a depopulation death cult.
[02:08:16.310 --> 02:08:17.090]  I mean, Bill Gates is on record.
[02:08:17.489 --> 02:08:20.130]  The real name of his foundation is the Global Population Control Fund.
[02:08:20.170 --> 02:08:22.130]  We have videos of them giving each other awards at it.
[02:08:22.970 --> 02:08:24.350]  His dad was head of Planned Parenthood.
[02:08:24.470 --> 02:08:26.149]  And he says, there's too many people.
[02:08:26.229 --> 02:08:27.770]  We've got to reduce the world population by 80%.
[02:08:27.770 --> 02:08:30.189]  But I've got a shot for you.
[02:08:30.409 --> 02:08:32.270]  I want you to take because I don't want you to get sick.
[02:08:32.369 --> 02:08:34.350]  And then they admitted to race to your immune system and they knew the whole time.
[02:08:35.869 --> 02:08:37.329]  And yeah, that's a lot to absorb.
[02:08:37.630 --> 02:08:40.510]  But people say, man, this show's negative, it's dark.
[02:08:40.670 --> 02:08:42.210]  No, the darkness is there.
[02:08:43.130 --> 02:08:44.890]  Light shining at it is the opposite.
[02:08:48.630 --> 02:08:52.810]  Naivete and being scared to face this evil is what's got us in this situation.
[02:08:54.029 --> 02:08:56.310]  And we will beat these people, and the tide's turned.
[02:08:58.310 --> 02:09:04.590]  So, I do this broadcast under massive persecution.
[02:09:09.020 --> 02:09:17.899]  And I see that as a badge of honor because if I'm getting attacked, and I know I'm telling the truth, that means I'm hurting the bad guys.
[02:09:18.640 --> 02:09:30.619]  So instead of feeling sorry for myself and being demoralized, my problem is I've got so much energy and I'm so angry and so focused that I'm constantly getting enraged at myself.
[02:09:31.960 --> 02:09:33.500]  Because it's not moving quick enough.
[02:09:33.659 --> 02:09:35.539]  And I've got to remember, I'm not the one that's going to beat this.
[02:09:35.720 --> 02:09:38.100]  God is, and God works through me and works through you.
[02:09:39.119 --> 02:09:41.239]  And the crew understands that, and they put up with me.
[02:09:41.420 --> 02:09:47.680]  But we need your prayers here, because I've not told you to step behind the scenes in the last few weeks because we're too busy on the big topics.
[02:09:48.939 --> 02:09:50.319]  But just know this.
[02:09:52.300 --> 02:09:54.439]  What we're doing is kryptonite to the globalists.
[02:09:55.340 --> 02:09:56.939]  And we are at the critical juncture.
[02:09:57.079 --> 02:09:57.699]  We've turned the tide.
[02:09:58.399 --> 02:09:59.539]  So I need your prayer.
[02:10:00.119 --> 02:10:01.119]  I need your support.
[02:10:01.300 --> 02:10:02.100]  I need your word of mouth.
[02:10:02.239 --> 02:10:10.100]  And I need you to aggressively take these interviews once they're posted with Alex Jones in a band-out video and share them like your future depends on them because it does.
[02:10:12.380 --> 02:10:22.399]  And great and small, all working together, no matter whether you are just an auto mechanic or whether you're a farmer or whether you're Elon Musk, this is the fight for the future destiny of humanity.
[02:10:23.479 --> 02:10:27.239]  And I am honored to be here and honored to be able to speak to you.
[02:10:28.180 --> 02:10:36.510]  And I... I know the enemy does all this stuff that's behind the scenes and publicly to frustrate me and to keep me distracted.
[02:10:37.270 --> 02:10:39.029]  That's why I do more shows.
[02:10:39.670 --> 02:10:43.909]  And it's why we produce more material on top of all the stuff I've got to do behind the scenes.
[02:10:45.069 --> 02:10:48.310]  And I have leveled up thanks to your prayer.
[02:10:49.189 --> 02:10:50.989]  And I've never been stronger.
[02:10:52.689 --> 02:10:53.789]  Not even we're close.
[02:10:54.909 --> 02:10:57.789]  And we need everybody to have that attitude.
[02:10:59.840 --> 02:11:17.479]  So I need everyone to understand when you take the live feed from Ron Alex Jones on X or Bandai Video or Infowars.com forward slash show and you share it on your email and text message by word of mouth when you take clips and upload them yourself whether it's on TikTok or Facebook it doesn't matter.
[02:11:18.439 --> 02:11:26.359]  You are engaged in a revolutionary act in the information war firing bullets of peaceful truth at the enemy's chest and head.
[02:11:28.760 --> 02:11:33.680]  We are dominating them and devastating them right now.
[02:11:34.300 --> 02:11:48.840]  And because of the stalwart will of Donald Trump, because of your will, your dauntlessness, and because of Elon Musk's iron will, and I'm going to say it again, there is no way Elon Musk is bad.
[02:11:49.880 --> 02:11:52.319]  There is no way he's a betrayer.
[02:11:52.539 --> 02:11:54.819]  There is no way, and I'll tell you why.
[02:11:59.759 --> 02:12:04.600]  Generational damage to the global death cult and ever put it back together again.
[02:12:05.399 --> 02:12:10.899]  Again, he cannot destroy them just because he wants to be in power and then become what they were.
[02:12:12.340 --> 02:12:16.079]  We are achieving more now in a month than we achieved previously.
[02:12:16.619 --> 02:12:22.119]  This is exponential by order of magnitude.
[02:12:23.239 --> 02:12:24.340]  Pray for Trump.
[02:12:24.640 --> 02:12:25.399]  Pray for Musk.
[02:12:26.989 --> 02:12:35.390]  And then we're doing important work in the original research and analysis area, and we basically hand it off to the public, hand it off to everybody else.
[02:12:36.050 --> 02:12:38.770]  And what we cover here daily is the trend.
[02:12:39.470 --> 02:12:47.449]  And I am beyond honored and blessed and humbled by God putting me in this position and raising me up against the enemy.
[02:12:47.449 --> 02:12:50.310]  And I can only do this to the strength that God gives me.
[02:12:51.890 --> 02:12:55.369]  And so I humbly...
[02:12:58.250 --> 02:13:03.550]  Want to remind all of you that you are vessels that God is working through.
[02:13:04.229 --> 02:13:12.529]  And I want you to really consciously and spiritually, at your core, understand the great commission you've been given.
[02:13:14.369 --> 02:13:16.250]  And to realize the time you're in.
[02:13:16.789 --> 02:13:20.810]  Now, I really appreciate our next guest joining us.
[02:13:21.989 --> 02:13:27.109]  He is the pastor who precisely predicted Trump getting shot in the ear three months before it happened.
[02:13:27.520 --> 02:13:34.319]  Describing it all perfectly, he warns of orchestrated attacks on Trump's inauguration and iconic properties in detail.
[02:13:34.880 --> 02:13:42.779]  He also accurately predicted and prophesied the latest terror attack in New Orleans.
[02:13:43.720 --> 02:13:55.920]  And now, Brandon Biggs, last days on YouTube, last days 247 on X, joins us.
[02:13:57.969 --> 02:14:00.909]  And I've been honest with the listeners about this.
[02:14:02.149 --> 02:14:03.550]  I'm very humble about it.
[02:14:03.670 --> 02:14:05.569]  I am given prophetic information as well.
[02:14:05.689 --> 02:14:06.529]  I've demonstrated that.
[02:14:06.710 --> 02:14:12.750]  And the Bible tells us in the end times when the Antichrist power is released, God will release his people as well.
[02:14:12.930 --> 02:14:18.449]  And that our gifts will be made stronger if we humble ourselves.
[02:14:18.630 --> 02:14:19.930]  And I don't know.
[02:14:21.090 --> 02:14:23.810]  I absolutely know that's what's happening right now.
[02:14:23.810 --> 02:14:24.729]  I don't feel that.
[02:14:25.610 --> 02:14:26.270]  Know that.
[02:14:26.369 --> 02:14:27.289]  God is at number one.
[02:14:27.409 --> 02:14:27.989]  God is everything.
[02:14:28.569 --> 02:14:30.649]  So, Pastor Biggs, thank you for joining us.
[02:14:30.850 --> 02:14:33.250]  We're going to break in about six minutes, but we'll come back after that.
[02:14:33.470 --> 02:14:36.869]  You've got the floor with what you'd like to impart to folks here.
[02:14:37.710 --> 02:14:38.850]  Okay, that's awesome.
[02:14:38.989 --> 02:14:40.050]  Thank you for having me.
[02:14:40.090 --> 02:14:41.289]  I really appreciate this.
[02:14:41.649 --> 02:14:42.529]  It's an honor.
[02:14:42.670 --> 02:14:49.069]  You know, the Lord told me three days ago that you were going to call, and he said, Brandon, I'm going to have you go on there and tell them what's coming.
[02:14:49.470 --> 02:14:53.670]  And so I waited, and then when your lady reached out to us on...
[02:14:55.140 --> 02:14:57.800]  Thursday, I was like, wow, Lord, you're so amazing.
[02:14:58.199 --> 02:14:59.979]  So it's an honor to be here.
[02:15:00.199 --> 02:15:04.680]  And so whatever you want to know, you can ask me anything.
[02:15:05.199 --> 02:15:11.359]  Well, just, I mean, we've already posted your 11-minute report or warning.
[02:15:11.720 --> 02:15:17.920]  And obviously, I'm not going to try to guess how God works, but I've seen the great power of how he works in mysterious ways.
[02:15:18.640 --> 02:15:23.500]  Did you get the feel from the message that this is a warning to stop it from happening, or was it that it's going to happen?
[02:15:24.400 --> 02:15:28.399]  Well, the Lord told me to start the YouTube channel two years ago.
[02:15:28.600 --> 02:15:30.840]  And then he gave me new instructions for this year.
[02:15:30.920 --> 02:15:35.939]  And he said, you are to create a prayer army of people to come on and change things through prayer.
[02:15:36.180 --> 02:15:41.239]  And he said, I'm commissioning you to raise up a million people to do this.
[02:15:41.300 --> 02:15:44.920]  And so I've just been telling people that we're going to pray for Trump.
[02:15:45.760 --> 02:15:47.119]  He can't do this on his own.
[02:15:47.239 --> 02:15:52.399]  And this is going to take a lot of work, not just in the physical, but in the spiritual for what's coming.
[02:15:52.779 --> 02:15:56.960]  I've seen a massive storm trying to come upon our shores from coast to coast.
[02:15:57.260 --> 02:16:07.920]  And I'm telling you all, if you're not ready and you're not watching, I mean, I know Alex is pretty in tune for what's coming, but I'm just telling you all, there's a storm coming.
[02:16:08.100 --> 02:16:17.920]  And so it's going to take people believing God and standing on the wall, like a watchman on the wall, standing in the gap for what's coming and praying against this.
[02:16:18.060 --> 02:16:20.420]  Because I'm telling you all, I've seen a lot.
[02:16:22.029 --> 02:16:24.310]  You know, I don't know if you want me to get into it.
[02:16:24.390 --> 02:16:25.210]  Please, we got the floor.
[02:16:26.010 --> 02:16:26.449]  Okay.
[02:16:27.689 --> 02:16:29.930]  This was back a couple weeks ago.
[02:16:29.930 --> 02:16:34.610]  I was praying, and so I was praying for the inauguration, our team of people.
[02:16:34.690 --> 02:16:40.350]  You know, we have 500,000 people now that are praying for President Trump and praying for this nation.
[02:16:40.569 --> 02:16:46.129]  And so in this vision, I mean, when this happens, I don't know when it's going to happen.
[02:16:46.250 --> 02:16:49.209]  The Lord just starts showing me things, and my ears get hot with fire.
[02:16:50.179 --> 02:16:53.200]  And so all of a sudden it's like a movie screen comes before me.
[02:16:53.520 --> 02:16:55.860]  And most people go, that sounds so crazy.
[02:16:56.000 --> 02:16:59.639]  But, you know, in the natural mind, if you're thinking in the natural, it is crazy.
[02:17:00.020 --> 02:17:03.979]  But things of the Spirit are not natural, of course.
[02:17:05.340 --> 02:17:11.420]  So what I'm seeing is when I'm just praying in the Spirit, you know, and I'm asking the Lord, I said, is there anything you want to show me?
[02:17:11.479 --> 02:17:12.200]  Is there anything coming?
[02:17:12.510 --> 02:17:17.030]  And all of a sudden, I just seen, like I'm saying, like this movie screen.
[02:17:17.110 --> 02:17:19.770]  And he just started showing me like he did for Trump's ear.
[02:17:19.909 --> 02:17:22.709]  And he warned me, you know, that the bullet would fly by.
[02:17:22.790 --> 02:17:26.590]  And everybody thought, well, you know, his eardrum didn't bust.
[02:17:26.750 --> 02:17:36.549]  But when you're looking into a vision and you're seeing something, I'm just describing the best of my ability, what I'm seeing with the blood flowing down his ear.
[02:17:36.870 --> 02:17:43.229]  So I thought, oh, his eardrum busted because anything, I didn't know the bullet was going to graze his ear like that.
[02:17:43.389 --> 02:17:48.809]  I just saw the bullet fly right by his ear and the blood flow started flowing down.
[02:17:49.010 --> 02:17:57.790]  So I was putting something together, you know, with my natural mind of what I'm seeing in a vision of saying blood's flowing down his face, his eardrum busted.
[02:17:58.010 --> 02:18:02.709]  So you're adding to, so, you know, I'm learning don't add to or take away from anything what you're seeing.
[02:18:02.870 --> 02:18:04.190]  So that being said.
[02:18:04.590 --> 02:18:06.170]  This is what I saw coming for.
[02:18:06.350 --> 02:18:09.850]  I believe this is not just about the inauguration, folks.
[02:18:10.090 --> 02:18:12.010]  This is a lot more than that.
[02:18:12.190 --> 02:18:13.329]  This is huge.
[02:18:13.549 --> 02:18:20.750]  I saw because he attacked, you know, whenever he assassinated the man in Iraq?
[02:18:23.350 --> 02:18:25.850]  Assam Sumalani, I guess is his name?
[02:18:26.010 --> 02:18:30.629]  Yeah, the Quds Iranian guy.
[02:18:31.350 --> 02:18:32.290]  Yeah, okay.
[02:18:32.469 --> 02:18:36.270]  So whenever he did that, they're still really upset about this.
[02:18:36.389 --> 02:18:42.049]  And so that's what the Lord was showing me was, is this, what they're planning is bigger than terrorist attacks.
[02:18:42.229 --> 02:18:48.030]  This is actually an invasion of an act of war for what I believe is coming.
[02:18:48.270 --> 02:18:55.250]  It's not like, well, we're saying, well, this is Al-Qaeda, this is ISIS. This is actually an Iranian government coming over here.
[02:18:55.389 --> 02:18:56.750]  They've come across the border.
[02:18:56.909 --> 02:18:59.850]  I saw them in tunnels that were being...
[02:18:59.799 --> 02:19:03.979]  They were being smuggled in by drug traffickers, and I saw tunnels.
[02:19:04.159 --> 02:19:20.040]  What the Lord showed me is these metal, it looked like metal-looking structures, and they were underneath the earth, and they were actually going from Mexico into America into these houses, and they were smuggling like they would do for human trafficking and drugs and all that.
[02:19:20.219 --> 02:19:24.020]  Well, I saw these men, and there's literally a thousand of them.
[02:19:24.120 --> 02:19:26.159]  I saw over a thousand men.
[02:19:26.520 --> 02:19:28.059]  That were being smuggled in.
[02:19:29.379 --> 02:19:30.780]  I'm talking big money.
[02:19:30.940 --> 02:19:38.000]  This was not just a little bit of money that I saw that they were paying the drug smugglers and for funding to get over here.
[02:19:38.159 --> 02:19:41.700]  But the Lord told me, He said, I want you to focus on fertilizer.
[02:19:42.180 --> 02:19:49.840]  And I didn't know what He was saying at the time because I saw these farming equipment and I was like, Lord, what are you showing me?
[02:19:49.899 --> 02:19:50.940]  And all of a sudden I saw...
[02:19:52.969 --> 02:19:56.270]  Because it was like silos, but he was trying in a vision.
[02:19:56.450 --> 02:19:57.909]  He's trying to show me what's coming.
[02:19:58.090 --> 02:20:06.149]  So I saw a fertilizer and the Lord said, I want you to remember Timothy McVeigh and remember what happened in Oklahoma City.
[02:20:06.409 --> 02:20:12.829]  And so I saw all this fertilizer for quite a while since they've been here.
[02:20:12.950 --> 02:20:14.889]  They've been coming over for a long time now.
[02:20:15.379 --> 02:20:16.340]  A little out of time.
[02:20:16.479 --> 02:20:17.420]  I've been seeing these men.
[02:20:17.440 --> 02:20:18.479]  Brandon, I'm sorry to interrupt you.
[02:20:18.579 --> 02:20:20.100]  We've got a hard network satellite break.
[02:20:20.219 --> 02:20:21.459]  We're coming right back to you in a few minutes.
[02:20:21.540 --> 02:20:22.319]  Please continue.
[02:20:23.159 --> 02:20:24.799]  And we've got breaking news on this as well.
[02:20:24.860 --> 02:20:25.799]  Please stay there, Pastor.
[02:20:26.840 --> 02:20:33.159]  Ladies and gentlemen, Ultimate Iron Plus with vitamin C gummies are back in stock at thealexjonesstore.com.
[02:20:33.180 --> 02:20:35.379]  Now, we know it's that time of the year where everybody's getting sick.
[02:20:35.500 --> 02:20:38.739]  We've got the CDC and the WHO coming out and warning of the bird flu.
[02:20:38.860 --> 02:20:41.379]  We've got this virus that's breaking out in China right now.
[02:20:41.520 --> 02:20:45.760]  And we know that the government and the deep state are gearing up for the next pandemic.
[02:20:46.079 --> 02:20:53.819]  Even Hotez has come out and said that there's a litany of viruses that are going to be launched across the globe as soon as Donald Trump is president of the United States again.
[02:20:53.719 --> 02:20:58.898]  Again, so fight back by fighting for your health and not giving in to the vaccine mandates, which they have in store for us.
[02:20:58.898 --> 02:21:03.969]  Please check out Ultimate Iron Plus with vitamin C gummies right now at the AlexJonesStore.com.
[02:21:03.978 --> 02:21:06.158]  It's rich in immune-boosting vitamin C plus.
[02:21:06.158 --> 02:21:15.078]  It's rich in immune-boosting vitamin C, supports healthy iron levels, promotes cellular health, and supports blood oxygen levels while being GMO and gluten-free.
[02:21:15.078 --> 02:21:19.539]  So check out Ultimate Iron Plus with vitamin C right now at the AlexJonesStore.com.
[02:21:19.539 --> 02:21:26.259]  Ultimate Iron Plus with vitamin C.
[02:21:26.280 --> 02:21:47.739]  All right, I really respect Pastor Brandon Biggs, and my spirit tells me, you know, he's really anointed, and he's made a lot of these prophetic things that have come true, and it's not like he puts out a giant volume of this, and it's not like it's Nostradamus that would do some vague thing 100 years later, something like, oh, a king got killed in battle by being shot in the eye.
[02:21:47.959 --> 02:21:51.040]  Well, that happened all the time with, you know, crossbows and the rest of it.
[02:21:51.420 --> 02:21:55.319]  No, I mean, this is specifically Trump falling down, blood on his ear getting back up.
[02:21:55.629 --> 02:21:59.250]  Being a new man after that, going on to win the presidency, all of this.
[02:22:00.069 --> 02:22:02.969]  And he's done other similar things.
[02:22:03.209 --> 02:22:06.229]  Now, I've seen them pre-programming that Iran is going to attack.
[02:22:06.829 --> 02:22:09.049]  So if the deep state kills Trump, they can blame Iran.
[02:22:09.270 --> 02:22:11.750]  But separately, and he's just seeing the image.
