# Transcription model: large-v3-turbo
[00:00:05.099 --> 00:00:06.759]  You're now entering.
[01:13:43.789 --> 01:13:46.470]  And I remember Jim Mars, and I don't have the time.
[01:13:46.729 --> 01:14:02.310]  Listeners, do it, and then post it on X. Jim Mars did whole shows about Israel's involvement in killing Kennedy.
[01:14:03.329 --> 01:14:09.350]  And they got on board with their mafia, because just as big as the Italian mafia is the Jewish mafia and still is today.
[01:14:10.409 --> 01:14:15.250]  And if you talk about the ADL attacks you, but the ADL was set up by Jewish mafia in 1913.
[01:14:15.660 --> 01:14:21.319]  When a guy kidnapped and tortured a girl to death, they got all pissed about it and said, we can't allow our people to go to jail or be executed.
[01:14:22.640 --> 01:14:23.939]  I've always exposed that.
[01:14:24.079 --> 01:14:28.819]  And that's why I'm mad at the people that are always saying I'm covering up for Israel or something.
[01:14:29.319 --> 01:14:38.300]  And they'll simultaneously go find clips of me 10 years ago, 20 years ago, talking about it and saying, see, he was the good Alex Jones back then, but he covers it up today.
[01:14:38.359 --> 01:14:41.699]  And it's just intellectually dishonest because...
[01:14:43.149 --> 01:14:46.970]  I sit there and I say, I don't believe Israel ran the whole thing.
[01:14:47.189 --> 01:14:59.090]  They were pissed off at Kennedy that he was trying to block them being able to engage in domestic manipulation of our politics, which I'm against and is terrible, and against any of these countries doing it.
[01:14:59.609 --> 01:15:01.789]  And he didn't want them to get nuclear weapons.
[01:15:02.029 --> 01:15:08.989]  So yeah, obviously they got the Jewish mafia that basically set up Israel and the Rothschilds on board.
[01:15:09.289 --> 01:15:11.189]  And you did have Jack Ruby.
[01:15:11.740 --> 01:15:15.020]  Going in and getting rid of Lee Harvey Oswald, the CIA patsy.
[01:15:15.600 --> 01:15:22.479]  And I'm seeing all this stuff again and people just add me to it and say, Jones says the CIA.
[01:15:23.340 --> 01:15:25.079]  Well, it's the clearinghouse.
[01:15:25.340 --> 01:15:36.560]  But my witnesses, Madeline Duncan Brown has admitted on record mistress, she had a son with him, was just there saying, I saw him say they'll never embarrass me next week in Dallas after that.
[01:15:36.659 --> 01:15:39.119]  And after that, he bragged about killing that son of a bitch.
[01:15:39.239 --> 01:15:40.100]  Now I'm going to get his brother.
[01:15:41.870 --> 01:15:52.409]  And then I interviewed, got the deathbed confession from the son of E. Howard Hunt, who was a famous sniper in World War II in Asia, in China.
[01:15:53.170 --> 01:15:59.689]  And then there's a guy that Ethan Hunt, Mission Impossible is based on, the main plumber from Watergate.
[01:16:00.170 --> 01:16:01.930]  And everybody always knew he was involved.
[01:16:02.069 --> 01:16:04.130]  He sued people that said he helped run the killing.
[01:16:04.289 --> 01:16:07.210]  And then he lost the suit, the defamation suit.
[01:16:08.470 --> 01:16:09.810]  And so...
[01:16:09.819 --> 01:16:11.800]  We know who was involved.
[01:16:12.020 --> 01:16:17.319]  And of course, the CIA is the clearinghouse, but they had the Italian mafia there, the Jewish mafia.
[01:16:17.680 --> 01:16:18.840]  They had the Cubans.
[01:16:18.960 --> 01:16:23.539]  They used the Operation Failed Mongoose plan from Bay of Pigs to fund it.
[01:16:23.720 --> 01:16:28.819]  And E. Howard Hunt was running the funding and was the, quote, backbencher, as he said, organizing the shooters.
[01:16:28.960 --> 01:16:29.340]  And we know.
[01:16:29.439 --> 01:16:35.300]  And they had other famous contract shooters there, like Charles Harrelson, Woody Harrelson's dad, who died in prison.
[01:16:35.939 --> 01:16:40.500]  Shooting a federal judge in San Antonio from 500 yards away in the throat with a.243.
[01:16:40.680 --> 01:16:42.720]  I mean, I know all this stuff.
[01:16:42.899 --> 01:16:44.000]  So I'm going to explain it again.
[01:16:45.180 --> 01:16:54.520]  If you get 10 guys and they go rob a bank and then you say, well, this guy's one of them.
[01:16:54.619 --> 01:16:55.979]  I'm like, well, there's another nine.
[01:16:55.979 --> 01:17:04.520]  It doesn't take away from the clear involvement of Ben-Gurion in Israel at some level.
[01:17:05.230 --> 01:17:07.770]  Because that's all part of the same globalist system.
[01:17:08.189 --> 01:17:13.189]  I mean, you always talk about Epstein, clearly Mossad, clearly MI6, clearly CIA.
[01:17:13.470 --> 01:17:18.750]  And again, these people, their religion, as you know, only Israel, think I'm like defending that.
[01:17:19.069 --> 01:17:20.649]  It's the same thing.
[01:17:22.010 --> 01:17:25.149]  So, we covered the dancing in Israelis.
[01:17:25.890 --> 01:17:27.550]  We covered the moving companies.
[01:17:27.689 --> 01:17:29.930]  We covered the art students up there where the bombs went off.
[01:17:30.010 --> 01:17:31.550]  We covered the bombs in buildings first.
[01:17:32.329 --> 01:17:35.029]  And people find those old clips and go, he's not covering it.
[01:17:35.109 --> 01:17:36.189]  I'm covering it now!
[01:17:36.810 --> 01:17:49.710]  But the Nazis, because I don't like what Israel's doing, I don't like the Nazis either, the people that play Hitler speeches and say he's a great guy, they don't ever show you me every day or every week talking about this.
[01:17:49.710 --> 01:17:53.069]  They just lie and say that I'm not covering it.
[01:17:53.329 --> 01:17:56.970]  I made a film on the USS Liberty, Fabled Enemies produced it.
[01:17:57.750 --> 01:17:58.710]  I've interviewed...
[01:17:59.410 --> 01:18:02.970]  More people from the USS Liberty than anybody else.
[01:18:03.109 --> 01:18:04.229]  I've done over a hundred.
[01:18:04.890 --> 01:18:05.770]  We looked it up.
[01:18:06.869 --> 01:18:15.949]  And even before Candace Owens came out a few months ago, did a great job covering it, I told my producers, I said, hey, go ahead and get the head of the Liberty Association on.
[01:18:16.029 --> 01:18:16.750]  Most of them are dying.
[01:18:16.750 --> 01:18:19.270]  We need to cover this again and do that.
[01:18:19.369 --> 01:18:22.649]  And then there were some real documents that we posted on InfoWars and covered it.
[01:18:23.170 --> 01:18:30.010]  That talk about Israel and talk about the stuff and I've got those and I'm going over those and I'm waiting until Roger gets on because he really wants to get into that.
[01:18:30.430 --> 01:18:34.569]  And Roger talked about it a month ago and this week on the show Israel's involvement.
[01:18:34.989 --> 01:18:36.270]  And then I see the articles.
[01:18:36.470 --> 01:18:38.390]  Alex Jones and Roger Stone are covering it up.
[01:18:38.510 --> 01:18:39.850]  It's just, it's mentally ill.
[01:18:41.029 --> 01:18:46.609]  But it's people that want to say they're the moral authority and they're better than me and that they'll talk about things somebody else won't.
[01:18:46.710 --> 01:18:50.310]  It's trying to differentiate that they're the real McCoy and I'm not the real McCoy.
[01:18:50.840 --> 01:18:54.479]  So I'm not here to defend myself on any of this.
[01:18:56.100 --> 01:19:07.659]  It's that we're reaching, because I work the hardest, my crew works the hardest, consistently for decades, the most people in the world for the liberty movement.
[01:19:07.859 --> 01:19:11.500]  And I cover all the issues and all the angles and all the areas.
[01:19:11.680 --> 01:19:20.479]  And I know so many other talk show hosts that were doing a great job in the past covering a lot of different topics that people need to know about all this stuff who do one thing now, Israel.
[01:19:20.960 --> 01:19:22.000]  Israel. Israel.
[01:19:22.220 --> 01:19:27.140]  And then there's the people that, the Vatican, the Vatican, the Vatican, and the Vatican runs it all.
[01:19:27.220 --> 01:19:28.899]  The Vatican's very corrupt and involved in a lot of stuff as well.
[01:19:29.060 --> 01:19:30.699]  And it was obviously involved.
[01:19:32.760 --> 01:19:42.560]  And then they say, I work for the Vatican and just make up all this insane crap and go, look, Alex Jones is a famous Vatican preacher and author, and it's a black guy named Alex Jones.
[01:19:42.699 --> 01:19:50.460]  I mean, that's how that started 25 years ago that I worked for the Vatican, is that there's a black guy named Alex Jones who's like a...
[01:19:50.460 --> 01:19:52.439]  Went from Protestant to Catholic or something.
[01:19:52.439 --> 01:19:53.259]  I've seen him on TV.
[01:19:54.050 --> 01:19:57.029]  And the people never changed after that and said we were wrong.
[01:19:57.149 --> 01:19:58.569]  It's mentally ill.
[01:19:59.630 --> 01:20:03.229]  And it's just crazy.
[01:20:03.270 --> 01:20:12.050]  I've talked more about the USS Liberty and all of this stuff than all these people that are on the air now doing it.
[01:20:12.149 --> 01:20:13.489]  And it's just weird.
[01:20:14.489 --> 01:20:16.350]  And it doesn't hold water.
[01:20:18.440 --> 01:20:22.380]  People, again, like we're football teams, want to pick which team they like.
[01:20:23.380 --> 01:20:28.859]  Within the liberty movement, I'm not in competition with all these other talk show hosts and stuff.
[01:20:28.979 --> 01:20:30.260]  I want to beat the globalists.
[01:20:31.439 --> 01:20:32.319]  That's my mission.
[01:20:33.619 --> 01:20:34.800]  That's what I want to do.
[01:20:36.579 --> 01:20:42.199]  And that's what I'm trying to stop nuclear war.
[01:20:42.680 --> 01:20:44.720]  I'm trying to secure our border.
[01:20:44.840 --> 01:20:46.039]  I'm trying to get our jobs back.
[01:20:46.180 --> 01:20:47.439]  I'm trying to get our industrial base back.
[01:20:49.410 --> 01:20:58.810]  I'm overall very supportive of what Trump does, and I'm on record for months and months and months saying, I don't like this Florida law that if you criticize Israel, you can be arrested.
[01:20:58.810 --> 01:21:00.090]  That is totally illegal.
[01:21:00.289 --> 01:21:04.970]  Or this New York law they're trying to pass where if you have a Hamas or Hezbollah flag, you get four years in prison.
[01:21:05.109 --> 01:21:06.409]  That's completely un-American.
[01:21:06.869 --> 01:21:08.529]  And what are the Republicans doing there?
[01:21:08.670 --> 01:21:11.210]  But then I just get in my feed and I see it.
[01:21:11.310 --> 01:21:12.149]  I don't even watch it anymore.
[01:21:12.430 --> 01:21:16.329]  All these talk shows saying, Jones supports Trump and the Republicans.
[01:21:16.810 --> 01:21:18.310]  Trying to ban people's speech.
[01:21:18.609 --> 01:21:19.270]  No, I don't.
[01:21:20.029 --> 01:21:24.850]  I support all the good stuff Trump's doing, and I'm the one that's been more critical of that.
[01:21:24.989 --> 01:21:26.869]  So it's not intellectually honest.
[01:21:27.829 --> 01:21:31.590]  And it doesn't move the ball down the field against the globalists.
[01:21:32.930 --> 01:21:34.449]  It's that simple.
[01:21:35.010 --> 01:21:45.149]  And I've got a really funny example of this that I'm going to get to at the end of the show here, of people saying that I'm not Alex Jones.
[01:21:45.960 --> 01:21:48.739]  And people saying that I've been replaced with somebody.
[01:21:49.380 --> 01:21:53.460]  And, I mean, I see these videos with millions of views all the time, new ones.
[01:21:53.619 --> 01:21:56.500]  And people with straight faces saying, this is not me.
[01:21:59.260 --> 01:22:02.520]  It doesn't hurt me, but I know it hurts them.
[01:22:03.100 --> 01:22:05.439]  Because I think some of these people actually believe this stuff.
[01:22:05.460 --> 01:22:08.060]  And if I had the crew, we're going to do it.
[01:22:09.060 --> 01:22:13.520]  Plus, I need to do it for advertisement about getting in health, for supplements and stuff.
[01:22:14.119 --> 01:22:14.880]  I've been meaning to do it.
[01:22:14.939 --> 01:22:15.340]  You know what?
[01:22:15.340 --> 01:22:17.319]  I will do it because something has to be done anyways.
[01:22:18.000 --> 01:22:18.640]  I'm always excited.
[01:22:18.800 --> 01:22:21.460]  I kind of make my editorial decisions here on air in front of you.
[01:22:22.560 --> 01:22:26.399]  I need somebody in the crew to volunteer to do this in our main InfoWars studio.
[01:22:27.079 --> 01:22:35.239]  Just randomly pick dates eight months ago and starting and grab video stills with a center camera shot.
[01:22:35.939 --> 01:22:40.119]  So just pick each day's show, randomly just skip ahead to a center shot so it's the same shot.
[01:22:40.569 --> 01:22:41.989]  And take a screenshot that day.
[01:22:42.170 --> 01:22:43.989]  Skip ahead of 15 days or so.
[01:22:44.170 --> 01:22:44.409]  Yeah, yeah.
[01:22:44.930 --> 01:22:48.949]  So grab like 16, 17, 18 shots.
[01:22:49.029 --> 01:22:50.529]  A couple shots per month for eight months.
[01:22:51.010 --> 01:22:57.649]  Okay? And show me here.
[01:22:58.390 --> 01:23:02.789]  And then we'll just bloop, bloop, bloop, bloop with 15, 20 shots over eight months.
[01:23:03.229 --> 01:23:04.670]  Skip ahead, skip ahead, skip ahead.
[01:23:05.010 --> 01:23:09.529]  And then you can see my face go and lose weight.
[01:23:10.400 --> 01:23:15.539]  And I need that too for some ads because the supplements, the Irish sea moss and all the rest of it really helped me, the iodine.
[01:23:16.479 --> 01:23:23.600]  And so it has, I wasn't going to do it because it's not important enough, but we can reuse that to really have some fun.
[01:23:24.260 --> 01:23:30.199]  Because I want to actually, because it's so illustrative, I'm going to invite these lunatics on the air.
[01:23:31.279 --> 01:23:45.239]  And I'm going to say, so you think the crew all went along with me being replaced with somebody and this person has my voice, And my mind and my mannerisms that are so unusual and so original, I mean, they are.
[01:23:45.399 --> 01:23:46.819]  Everybody's original, but me particularly.
[01:23:47.159 --> 01:23:48.760]  I mean, I'm not bragging, it's just a fact.
[01:23:49.420 --> 01:23:50.460]  Famous Alex Jones saying that.
[01:23:50.979 --> 01:24:07.000]  I mean, if I was a, how would you find an Alex Jones lookalike who then could act exactly like him and have his brain and my foibles and mannerisms?
[01:24:09.070 --> 01:24:11.470]  I mean, that is just so crazy.
[01:24:11.670 --> 01:24:12.609]  See, I'm already covering it.
[01:24:14.449 --> 01:24:16.710]  But let me tell you something.
[01:24:17.189 --> 01:24:22.770]  You start intermittent fasting and taking a bunch of supplements and drinking a bunch of water and working out like a son of a bitch.
[01:24:23.390 --> 01:24:27.850]  If you've got good genetics, you will look great.
[01:24:28.449 --> 01:24:31.890]  And even if you don't have the best genetics, you're going to have just intermittent fast.
[01:24:33.010 --> 01:24:34.970]  I mean, you're going to lose a ton of weight.
[01:24:35.750 --> 01:24:37.369]  And first, it's Ozempic.
[01:24:37.789 --> 01:24:39.409]  And then it's all this other stuff.
[01:24:40.149 --> 01:24:47.090]  And then now I've been replaced with a clone or something else.
[01:24:48.789 --> 01:24:54.350]  And these people, I've really seen these people, a bunch of them.
[01:24:54.489 --> 01:24:57.489]  And I mean, I look at them on these videos and they believe it, people.
[01:24:58.609 --> 01:25:00.210]  They absolutely believe it.
[01:25:01.280 --> 01:25:02.939]  And see, that's the other end of crazy.
[01:25:03.180 --> 01:25:08.340]  People that totally believe the government, the left, believe anything they say, believe Pfizer, believe two men can have a baby.
[01:25:09.079 --> 01:25:09.939]  They're in a cult.
[01:25:10.260 --> 01:25:15.000]  And you've got other people over here that think whatever they want to imagine is real.
[01:25:16.340 --> 01:25:20.140]  Well, the clone or whatever I am, I don't know.
[01:25:20.640 --> 01:25:23.640]  And I'm saying the exact same stuff I was saying 25 years ago.
[01:25:24.680 --> 01:25:25.840]  Because I've been right.
[01:25:26.439 --> 01:25:29.359]  And so there's just a lot of interest, obviously, in what we've done.
[01:25:30.190 --> 01:25:32.289]  How successful it is and how great it is for humanity.
[01:25:32.550 --> 01:25:33.050]  So I get it.
[01:25:33.149 --> 01:25:45.229]  There's a lot of people that feel like they can make themselves sound more powerful, more important by just saying, no, no, no, he's a bad guy.
[01:25:45.890 --> 01:25:49.949]  But, you know, I don't cover it a lot.
[01:25:50.189 --> 01:25:51.909]  It's extremely entertaining, okay?
[01:25:52.029 --> 01:25:53.569]  And it's a sick thing I have.
[01:25:54.090 --> 01:25:58.010]  I used to really do it a lot, spend a lot of time with people making fun of me because I just love it.
[01:25:58.380 --> 01:26:00.680]  That's why the crew is encouraged to do it, and I do it to myself.
[01:26:02.460 --> 01:26:10.319]  But I pray about this, though, and God's like, look, you really shouldn't encourage it.
[01:26:11.039 --> 01:26:25.020]  So I want to invite lunatics to the studio because I said I want to go back to old stories and old things we used to cover that are more important now because people are awake to them and they're still going on.
[01:26:25.840 --> 01:26:27.880]  I want to also...
[01:26:27.880 --> 01:26:31.960]  We're thinking about doing a late-night show a couple nights a week where we just have the lunatics on.
[01:26:34.600 --> 01:26:36.020]  But see, leftists won't come on.
[01:26:36.100 --> 01:26:37.199]  I would have a bunch of them on, too.
[01:26:37.319 --> 01:26:41.239]  That's how Tucker became number one on Fox when the lunatics, for some reason, he could get them on for a while.
[01:26:41.300 --> 01:26:41.859]  Then they stopped.
[01:26:42.300 --> 01:26:44.020]  I want to get leftist lunatics on.
[01:26:44.100 --> 01:26:45.560]  I want to get schizophrenics on.
[01:26:46.960 --> 01:26:47.579]  I'm sorry.
[01:26:48.800 --> 01:26:50.199]  Maybe it's not right.
[01:26:51.119 --> 01:26:55.920]  But I just want to sit there and...
[01:26:57.780 --> 01:27:00.159]  I want to invite one of these people to go work out with me.
[01:27:00.359 --> 01:27:01.619]  Hey, come work out with the clone.
[01:27:04.020 --> 01:27:06.119]  Come see how I became the clone.
[01:27:08.899 --> 01:27:10.579]  So, I'm digressing.
[01:27:10.579 --> 01:27:11.199]  I apologize.
[01:27:13.180 --> 01:27:17.039]  I'm not going to probably get done until 30 minutes of the next hour because I do need to spend some time on this.
[01:27:17.140 --> 01:27:20.020]  But when I do hit this, we can just take it when I talk about it and put the clip on the front.
[01:27:20.380 --> 01:27:23.000]  But it is, it is just, I don't, I just love it.
[01:27:23.140 --> 01:27:24.880]  I just, I just, it's not good though.
[01:27:28.239 --> 01:27:30.739]  So, we've got some of that for you coming up.
[01:27:32.319 --> 01:27:36.460]  I'm going to air a couple little short ads for RailAuxJones.com, and I want to explain this.
[01:27:36.960 --> 01:27:39.600]  RailAuxJones.com is run by the folks at Bigly.
[01:27:39.739 --> 01:27:45.520]  It's a clone, pun intended, of the AlexJones.com.
[01:27:45.520 --> 01:27:53.979]  But any extra money after InfoWars has it, which isn't much, to run the operation goes into the estate.
[01:27:56.280 --> 01:27:57.880]  And if we shut down, then we get that money.
[01:27:57.979 --> 01:28:02.720]  But we're literally on the edge of the red all the time, so that's not an issue.
[01:28:02.880 --> 01:28:07.159]  We need support at InfoWarsStore.com and TheAlexJonesStore.com.
[01:28:08.039 --> 01:28:15.779]  But when you go to RealAlexJones.com, all of it goes to the Alex Jones network that we're finishing up, the big studio, the equipment, the crew, and the systems, and all of it.
[01:28:16.439 --> 01:28:22.199]  And another bigger studio facility site's been found, and that's another big job.
[01:28:22.979 --> 01:28:24.600]  This is more the escape pod over here.
[01:28:25.070 --> 01:28:26.630]  The other studio in here is bigger and nicer.
[01:28:27.550 --> 01:28:29.390]  But not, you know, like the other ones we got at Infowars.
[01:28:29.510 --> 01:28:30.949]  But don't worry, we'll be bigger and better.
[01:28:31.010 --> 01:28:32.270]  We're going to go 24 hours a day in the future.
[01:28:32.289 --> 01:28:33.109]  I won't own it.
[01:28:33.369 --> 01:28:41.949]  But I'll be the, you know, director and the guy in charge of all of the content research, you know, the direction.
[01:28:43.010 --> 01:28:47.989]  And, but in the intermediate time, we need your support at RealOxShows.com.
[01:28:48.109 --> 01:28:48.949]  And this is the third.
[01:28:49.550 --> 01:28:59.090]  World War II, updated 2025, battle dagger, 10 inches, razor sharp, highest quality stainless steel, with the skull crusher, with the brass knuckles, total defense.
[01:28:59.289 --> 01:29:00.270]  This never runs out of bullets.
[01:29:00.710 --> 01:29:01.750]  It never lies.
[01:29:01.909 --> 01:29:02.649]  It is truth.
[01:29:03.250 --> 01:29:09.329]  InfoWars inscribed on one side, laser edged, a Spartan with a spear, tip of the spear, etched on it.
[01:29:10.149 --> 01:29:17.430]  And these will sell out in three or four days at thealgsillestore.com, but they hold back.
[01:29:18.130 --> 01:29:23.470]  Supplements and knives and t-shirts and things at the same warehouse in Arkansas, but just for this.
[01:29:23.649 --> 01:29:29.010]  So a lot of stuff you find that's sold out at thealexjonesstore.com is available at realalexjones.com.
[01:29:29.489 --> 01:29:33.869]  And it was my goal with them to have the biggest selection of Patriot t-shirts and ball caps.
[01:29:34.010 --> 01:29:35.449]  It's over 500 designs now.
[01:29:35.829 --> 01:29:38.250]  They're going to be adding a lot of other great apparel and stuff as well.
[01:29:38.430 --> 01:29:39.630]  Hoodies and stuff's already there.
[01:29:40.109 --> 01:29:41.729]  Sweaters, but, you know, stuff's warming up.
[01:29:42.170 --> 01:29:44.350]  That's all there as well.
[01:29:44.489 --> 01:29:45.829]  Everything you have at...
[01:29:46.440 --> 01:29:48.260]  Thealexjonesstore.com is at Real Alex Jones.
[01:29:48.439 --> 01:29:55.859]  Here's a quick promo on that, then I'm going to come back, get all this other final news, and then get to this hilarious video.
[01:29:56.119 --> 01:29:56.520]  Stay with us.
[01:29:56.920 --> 01:30:02.720]  Again, folks, thank you so much for joining us on this live, original Saturday afternoon transmission.
[01:30:02.720 --> 01:30:04.640]  We cannot do these broadcasts without you.
[01:30:04.699 --> 01:30:09.260]  We cannot defend against all the Democratic Party lawsuits and things going on without your support.
[01:30:09.399 --> 01:30:10.539]  We've been winning in court.
[01:30:10.720 --> 01:30:12.479]  Trump just pulled the national security clearance.
[01:30:13.350 --> 01:30:15.670]  From the big law firm that's attacking us.
[01:30:15.750 --> 01:30:16.890]  They are under criminal investigation.
[01:30:17.670 --> 01:30:19.029]  A lot of stuff's happening there.
[01:30:19.130 --> 01:30:23.590]  I'm going to break major news soon, but more just keeps breaking that we've learned.
[01:30:23.829 --> 01:30:29.229]  So I'm going to be working today and tomorrow on trying to get all these 10 different big stories ready.
[01:30:29.510 --> 01:30:30.949]  It's bigger than just Infowars.
[01:30:31.090 --> 01:30:36.550]  It goes to the heart of the deep state coming after us so hardcore because we're going after them and are the most effective thanks to your support.
[01:30:37.670 --> 01:30:40.270]  Now, my job is not being an apologist for Trump.
[01:30:40.449 --> 01:30:42.029]  I criticize stuff he does all the time.
[01:30:42.539 --> 01:30:47.159]  But overall, he's a great guy, and bad guys hate him, and 95% or more of what he's doing is great.
[01:30:47.520 --> 01:30:52.819]  And a lot of people 61 days in bitch that, well, they don't have 50,000 people being deported a day.
[01:30:52.960 --> 01:30:54.619]  They don't have the staff.
[01:30:54.739 --> 01:30:56.319]  They cut the enforcement staff to nothing.
[01:30:56.520 --> 01:30:57.500]  They're hiring people.
[01:30:57.640 --> 01:30:58.220]  They're boosting.
[01:30:59.380 --> 01:31:02.619]  They are expanding massively, and they're deporting thousands a day.
[01:31:02.720 --> 01:31:07.060]  And they're rightly going after the hardened criminals, the human smugglers, the drug dealers first.
[01:31:07.460 --> 01:31:10.479]  And you got the federal judges trying to protect and block those folks.
[01:31:10.989 --> 01:31:15.189]  And then that totally discredits them on another 80-20 issue or 90-10 issue.
[01:31:15.569 --> 01:31:18.170]  Over 90% of people want violent criminals deported.
[01:31:18.869 --> 01:31:23.289]  And so Trump is scaling up, and he's done that here.
[01:31:23.829 --> 01:31:31.909]  Trump has stripped legal status from 532,000 migrants, meaning legal aliens, flown in on Biden parole program.
[01:31:32.310 --> 01:31:36.130]  So that is a big, exciting development there.
[01:31:37.130 --> 01:31:38.970]  President Trump zings...
[01:31:38.989 --> 01:31:44.689]  Biden turns tables on a reporter asking if he has permission to deport criminals yesterday.
[01:31:45.029 --> 01:31:46.590]  Here's a clip of that.
[01:31:46.930 --> 01:31:55.090]  Do you think you have the authority, the power to round up people, deport them, and then you're under no obligation to a court to show the evidence against them?
[01:31:55.189 --> 01:32:01.770]  Well, that's what the law says, and that's what our country needs, because we were, unfortunately, they allowed...
[01:32:02.140 --> 01:32:06.260]  Millions of people to come into our country, totally unvetted, totally unchecked.
[01:32:06.300 --> 01:32:09.000]  So you ought to ask, did he have the authority to allow millions of people?
[01:32:09.159 --> 01:32:13.199]  Did Biden have the authority to do something that's unthinkable?
[01:32:13.420 --> 01:32:20.159]  Have open borders where millions of people poured into our country totally unvetted and totally unchecked, just as you would say.
[01:32:20.739 --> 01:32:22.779]  And many of those people were criminals.
[01:32:23.079 --> 01:32:28.720]  Many of them were from jails and prisons and mental institutions and gang members and drug dealers.
[01:32:29.559 --> 01:32:31.340]  And very dangerous people.
[01:32:31.500 --> 01:32:32.380]  Many were murderers.
[01:32:32.479 --> 01:32:35.600]  We have 11,088 that we know of murderers.
[01:32:35.720 --> 01:32:36.060]  They murdered.
[01:32:36.340 --> 01:32:39.640]  Of that number, at least half killed more than one person.
[01:32:39.779 --> 01:32:40.640]  They're in our country.
[01:32:41.460 --> 01:32:43.619]  They're in a location near you.
[01:32:44.699 --> 01:32:46.979]  Biden allowed that to happen to our country.
[01:32:47.819 --> 01:32:50.199]  And his people that really ran the country.
[01:32:50.829 --> 01:32:57.488]  And the person that operated the autopilot, I think we ought to find out who that was because I guess that was the real President.
[01:32:57.498 --> 01:33:03.959]  So when you asked me if we have the authority, did Biden have the authority to allow millions of people to come into our country?
[01:33:03.959 --> 01:33:10.768]  Many of these people hardened criminals at the top of the line who have caused tremendous damage
[01:33:10.789 --> 01:33:22.170]  Trump's DOJ launches criminal probe into Deep State's New York Times leak, undermining Trump's crackdown on the Venezuelan gang, Trederagua.
[01:33:23.979 --> 01:33:33.640]  Judge Bosberg grills DOJ lawyers again over deportation of criminal aliens, threatens Trump admin with consequences if they violate his order.
[01:33:34.439 --> 01:33:39.600]  Totally constitutional under Article 2 to ship these illegals out that are hardened criminals on top of it.
[01:33:40.619 --> 01:33:43.779]  So again, he's forcing them to engage in this criminal activity.
[01:33:43.779 --> 01:33:49.520]  We've got Schumer bragging they got hundreds and hundreds of these judges in the last few years to try to block what Trump's doing right now.
[01:33:50.159 --> 01:33:54.640]  Trump revokes legal status, again, For even more illegal aliens.
[01:33:54.979 --> 01:34:00.479]  Trump reopening massive migrant detention center closed by Biden.
[01:34:02.319 --> 01:34:05.760]  Guatemalan illegal arrested for raping multiple children in Georgia.
[01:34:05.899 --> 01:34:06.979]  But let's go back to this.
[01:34:07.300 --> 01:34:10.000]  They closed dozens of these big facilities.
[01:34:10.300 --> 01:34:12.199]  Trump is reopening them all.
[01:34:13.359 --> 01:34:14.819]  One a week or so.
[01:34:15.020 --> 01:34:17.340]  They're scaling up, ladies and gentlemen.
[01:34:19.279 --> 01:34:22.560]  Long-time illegal alien activist arrested by ICE.
[01:34:26.639 --> 01:34:29.500]  Soviet-style political persecution of political dissidents.
[01:34:29.800 --> 01:34:39.119]  This grave accusation referred to the recent arrest of Jeanette Vizguera, a prominent activist for illegal aliens, who's a long-time illegal alien herself.
[01:34:39.420 --> 01:34:43.340]  Now they're calling it Soviet-style to ship these communists out that aren't citizens.
[01:34:43.539 --> 01:34:50.899]  Bullshit. Just in, President Trump fires almost the entire civil rights branch of the Department of Homeland Security.
[01:34:51.340 --> 01:34:54.579]  Woke office is responsible for oversight over immigration crackdown.
[01:34:54.699 --> 01:34:58.079]  Yeah, these offices aren't just leftist bastions.
[01:34:58.220 --> 01:35:01.000]  They're controlling HR and policy.
[01:35:01.739 --> 01:35:06.819]  Continuing, suspect who lit man on fire in Times Square has fled to Egypt.
[01:35:07.739 --> 01:35:10.640]  Every time, it's some crazy, usually Islamic.
[01:35:11.380 --> 01:35:13.640]  It goes on and on.
[01:35:16.130 --> 01:35:20.970]  Meanwhile, 67,000 white South Africans expressed interest in Trump's plan to give them refugee status.
[01:35:21.569 --> 01:35:26.949]  If you're white or black, you've got a real refugee status and people are killing you for your religion and your color, you can come here.
[01:35:27.229 --> 01:35:28.310]  You've got to prove it, though.
[01:35:28.510 --> 01:35:30.350]  And it's going on.
[01:35:30.350 --> 01:35:34.430]  The president of South Africa, a communist, saying they're going to kill the whites, and they are.
[01:35:35.170 --> 01:35:39.789]  It is so refreshing to have a president and his great team that are so informed.
[01:35:40.029 --> 01:35:41.550]  The press secretary, all of them.
[01:35:41.729 --> 01:35:43.170]  His cabinet officials, all of them.
[01:35:43.780 --> 01:35:48.560]  And some people criticize Pam Bondi for being all over Fox.
[01:35:48.939 --> 01:35:51.600]  Well, it has a big audience, and Trump has asked his people.
[01:35:51.840 --> 01:35:53.399]  It's an information war to do that.
[01:35:53.500 --> 01:35:54.340]  And I think it's the right thing to do.
[01:35:54.439 --> 01:35:59.439]  That said, it's been almost a month since they supposedly released all the Epstein files.
[01:35:59.560 --> 01:36:00.579]  She admitted it was a bait-and-switch.
[01:36:00.859 --> 01:36:02.579]  She did raid the offices in New York.
[01:36:02.720 --> 01:36:10.500]  They did fire and have stepped down and resigned the key people, but no criminal investigation has yet to indict anybody.
[01:36:10.640 --> 01:36:23.829]  And she admitted two weeks ago on Fox, On Ingram, they have truckloads of stuff they got out of the D.C., excuse me, out of the New York FBI headquarters that was shipped back to D.C. Where is it?
