# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: a23bf4b0a482f14c0e2864bd70b6756b
[00:00:03.040 --> 00:00:04.240]  It's Sunday night.
[01:12:39.840 --> 01:12:42.960]  I have their tire tracks up and down my body.
[01:12:44.800 --> 01:12:45.600]  And I'm not a victim.
[01:12:45.680 --> 01:12:46.320]  I'm an overcomer.
[01:12:46.960 --> 01:12:47.680]  I'm fighting.
[01:12:48.000 --> 01:12:48.960]  I know I'll be attacked.
[01:12:49.120 --> 01:12:50.240]  But again, why I'm under attack?
[01:12:50.400 --> 01:12:52.720]  Because we know what we're doing.
[01:12:54.240 --> 01:12:56.240]  Here's the Heritage Foundation talking about it.
[01:12:56.880 --> 01:12:58.720]  Free speech isn't a free fall in Europe.
[01:12:58.880 --> 01:13:01.680]  There are two anti-free speech movements that have coalesced.
[01:13:01.840 --> 01:13:02.400]  By the way, stop again.
[01:13:02.640 --> 01:13:02.960]  I'm sorry.
[01:13:03.120 --> 01:13:11.200]  That's Jonathan Turley, huge top liberal law professor who in the last 10 years has said, look, I'm not a conservative, but the liberals are pure evil.
[01:13:11.360 --> 01:13:11.840]  I'm exposing him.
[01:13:12.000 --> 01:13:12.960]  And here he is.
[01:13:13.040 --> 01:13:13.600]  This is all known.
[01:13:13.680 --> 01:13:22.080]  It came out in Congress documents, but here he is explaining this weaponization of your tax money sent to Europe because then they can direct it without congressional oversight back on us.
[01:13:22.320 --> 01:13:23.200]  That's the EU.
[01:13:23.360 --> 01:13:24.240]  That's who he's fighting.
[01:13:24.400 --> 01:13:25.440]  That's who should be abolished.
[01:13:25.600 --> 01:13:26.320]  Go back to it.
[01:13:26.880 --> 01:13:28.720]  Free speech isn't a free fall in Europe.
[01:13:28.800 --> 01:13:32.000]  There are two anti-free speech movements that have coalesced.
[01:13:32.320 --> 01:13:35.360]  One is in Europe where it has laid waste to free speech.
[01:13:35.600 --> 01:13:37.040]  Germany, France, England.
[01:13:37.360 --> 01:13:40.160]  Free speech has been eviscerated.
[01:13:40.480 --> 01:13:42.560]  And also places like Canada.
[01:13:42.880 --> 01:13:49.120]  The U.S. anti-free speech movement began in higher education, then metastasized throughout the government.
[01:13:49.440 --> 01:13:52.080]  But this has all reached our shores now.
[01:13:52.720 --> 01:14:00.880]  The Berlin World Forum followed the remarks of Vice President Vance on free speech, and the EU was red hot.
[01:14:01.040 --> 01:14:06.640]  They gathered in Berlin, and it was the most anti-free speech gathering I've ever been part of.
[01:14:06.800 --> 01:14:09.680]  There's only two of us from the free speech community.
[01:14:10.640 --> 01:14:11.840]  And they are committed.
[01:14:12.000 --> 01:14:16.320]  And, you know, Hillary Clinton was there, and she really fueled the anger.
[01:14:16.560 --> 01:14:30.320]  I mean, she, when Twitter was purchased by Elon Musk, she called on the EU to use the infamous Digital Services Act, which is one of the most anti-free speech pieces of legislation in decades.
[01:14:30.640 --> 01:14:38.960]  And she called upon the EU to use the DSA to force the censorship of American citizens, force people like Musk to censor.
[01:14:39.200 --> 01:14:44.960]  It's an extraordinary act by someone who was once a presidential candidate in the United States.
[01:14:45.280 --> 01:14:46.400]  But they are committed to it.
[01:14:46.560 --> 01:14:51.520]  And after the World Forum, they further globalized this effort.
[01:14:51.680 --> 01:15:00.000]  And they are threatening companies like Axe with ruinous fines unless they resume censoring American citizens.
[01:15:02.800 --> 01:15:06.240]  And so this is a foreign unelected dictatorship.
[01:15:07.520 --> 01:15:12.480]  And if they can stop Musk, they can stop everybody.
[01:15:12.800 --> 01:15:28.960]  And right before Trump got re-elected, and he should circle back to this, Musk had the corrupt dictator, Count Dracula-looking judge, literally wears a black cape, in Brazil, seize all their companies, all this stuff.
[01:15:29.040 --> 01:15:32.000]  So Musk's going to say, okay, I got to wait for Trump to get in to deal with this.
[01:15:32.320 --> 01:15:33.440]  I can't kill the nation state.
[01:15:33.680 --> 01:15:34.000]  Okay.
[01:15:35.520 --> 01:15:37.040]  Well, now the EU is doing it.
[01:15:37.360 --> 01:15:39.680]  Trump better act on this aggressively.
[01:15:39.760 --> 01:15:43.200]  This is an attack on our sovereignty, on the American people, on him and everything.
[01:15:43.520 --> 01:15:44.720]  And I'm sure he will.
[01:15:46.560 --> 01:15:48.400]  But this is outrageous.
[01:15:49.920 --> 01:15:58.000]  Here's Elon Musk on Rogan talking about just on the ground, the level of censorship that's going on.
[01:15:58.320 --> 01:15:59.760]  And it's all the same groups running it.
[01:15:59.840 --> 01:16:00.560]  This is out of Ireland.
[01:16:00.640 --> 01:16:01.440]  Here it is.
[01:16:02.080 --> 01:16:02.960]  The crazy race.
[01:16:03.440 --> 01:16:03.680]  It's right.
[01:16:03.760 --> 01:16:06.080]  Like some 10-year-old got raped in Ireland like last week.
[01:16:06.320 --> 01:16:07.920]  Yeah, there's literal rapists.
[01:16:08.240 --> 01:16:09.120]  They snatched some kid.
[01:16:09.280 --> 01:16:09.440]  Yeah.
[01:16:09.680 --> 01:16:10.000]  Yeah.
[01:16:10.960 --> 01:16:13.600]  And if you criticize it, you can get arrested.
[01:16:13.920 --> 01:16:14.960]  And that's where it gets insane.
[01:16:15.120 --> 01:16:15.920]  It's like, how are they not going to be able to do it?
[01:16:17.680 --> 01:16:36.320]  Like the, I think it was the Prime Minister of Ireland actually posted on X because after that some I think some illegal migrant snatched a 10-year-old girl who was like going to school or something and violently raped a 10-year-old girl.
[01:16:37.920 --> 01:16:43.600]  And there was a, you know, the people were very upset about this and they protested.
[01:16:44.560 --> 01:16:54.480]  The Prime Minister of Ireland, instead of saying, yeah, we really shouldn't be importing violent rapists into our country, he criticized the protesters instead and didn't mention that.
[01:16:54.800 --> 01:17:00.400]  That the reason they were protesting was because a 10-year-old girl from their small town got raped.
[01:17:00.720 --> 01:17:04.320]  And they'd be saying, so Muslim, you go to jail no matter where you are in Europe and now in Canada.
[01:17:04.480 --> 01:17:06.400]  I mean, this is hardcore.
[01:17:07.280 --> 01:17:08.240]  It's like North Korea.
[01:17:08.400 --> 01:17:11.280]  Here's Musk on the UK government tyranny.
[01:17:11.840 --> 01:17:12.400]  17.
[01:17:12.640 --> 01:17:13.840]  Here's Club 17.
[01:17:15.360 --> 01:17:17.920]  Why is free speech so important to you?
[01:17:18.240 --> 01:17:20.000]  At Tommy Robinson's event.
[01:17:20.320 --> 01:17:25.520]  Well, I believe you can't get to the truth of things without freedom of speech, without active debate.
[01:17:26.160 --> 01:17:38.400]  And there's so many on the left that want to just crush debate and put people in prison just for talking, as you were, just for speaking their mind.
[01:17:39.680 --> 01:17:45.760]  You know, the essence of democracy is it should be a government for the people, by the people.
[01:17:47.200 --> 01:17:53.360]  And in fact, this is a government against the people and not for the people.
[01:17:55.520 --> 01:18:07.920]  And then you see how much violence there's on the left with our friend Charlie Cook getting murdered in cold blood this week and people on the left celebrating it openly.
[01:18:09.120 --> 01:18:15.440]  The left is the party of murder and celebrating murder.
[01:18:18.000 --> 01:18:20.880]  I mean, let that sink in for a minute.
[01:18:22.960 --> 01:18:24.960]  So the millions on the street, that's real.
[01:18:25.280 --> 01:18:26.800]  Trump getting elected, that's real.
[01:18:27.120 --> 01:18:29.440]  All the reforms, Doge, all of us that are real.
[01:18:29.600 --> 01:18:36.560]  RFK Junior in banning most of the vaccines, banning hepatitis shots for babies.
[01:18:36.880 --> 01:18:44.720]  All this good stuff you're seeing is because you got involved, you got engaged, Musk got involved, others got engaged.
[01:18:44.880 --> 01:18:46.720]  Pop is being elected all over the world.
[01:18:47.040 --> 01:18:47.680]  This is exciting.
[01:18:47.920 --> 01:18:51.600]  Yeah, I'll spend a lot of my time bitching when Trump's wrong or doesn't do things perfect.
[01:18:51.680 --> 01:18:52.240]  That's great.
[01:18:52.560 --> 01:18:53.920]  But you notice it's a competition.
[01:18:54.080 --> 01:18:58.560]  Who can bitch more and say Trump's the devil or Musk is the devil and not be engaged?
[01:18:58.720 --> 01:19:00.080]  It's night and day.
[01:19:00.400 --> 01:19:02.080]  We're in a total war.
[01:19:02.400 --> 01:19:07.040]  I think Musk and Trump have overperformed overall, actually, with what they're working with and what they got.
[01:19:07.360 --> 01:19:09.920]  Now, I'll bitch all day about what's wrong to get them back on course.
[01:19:10.560 --> 01:19:18.400]  But I will not sit there and lie to you and create all these drama queen infighting garbages all day so the bots all boost me.
[01:19:18.720 --> 01:19:20.320]  I will not be part of that lie.
[01:19:20.480 --> 01:19:21.760]  We'll be right back with huge news.
[01:19:21.840 --> 01:19:22.560]  Stay with me.
[01:19:25.680 --> 01:19:29.440]  All right, I got some news that I'm about to bring out here.
[01:19:30.960 --> 01:19:42.320]  And the Venezuelans aren't paying enough attention for this to matter, but I actually have to air a special report that I was already going to air where I think about this.
[01:19:45.520 --> 01:19:47.120]  Because one of two things is going on.
[01:19:47.200 --> 01:20:01.440]  I started getting calls this morning from five different people heavily embedded in the Pentagon and the intelligence agencies that the strike is coming on Venezuela in the next 48 hours.
[01:20:01.760 --> 01:20:05.520]  And then, of course, I asked them, well, can I talk about this?
[01:20:06.720 --> 01:20:08.160]  And no response back.
[01:20:09.440 --> 01:20:11.600]  And I noticed I got the same thing.
[01:20:15.920 --> 01:20:19.200]  So let me tell you how my brain works because I've been doing this a long time.
[01:20:19.520 --> 01:20:20.560]  Because they're compartmentalized.
[01:20:20.640 --> 01:20:21.280]  They don't know either.
[01:20:21.520 --> 01:20:23.760]  They've been authorized to tell me this.
[01:20:24.720 --> 01:20:27.360]  And I get a lot of exclusive stuff, as you know.
[01:20:28.880 --> 01:20:30.320]  But they're not told why.
[01:20:30.640 --> 01:20:33.200]  But the fact that I was given it means go with it.
[01:20:35.040 --> 01:20:36.800]  But I make the final decisions around here.
[01:20:36.880 --> 01:20:38.800]  I don't work for these agencies.
[01:20:40.080 --> 01:20:41.840]  So one of two things is going on.
[01:20:42.160 --> 01:20:46.480]  This is a final threat to Maduro to give up and leave.
[01:20:50.000 --> 01:20:52.720]  Or they know with their radar and stuff, it's not going to matter anyways.
[01:20:53.039 --> 01:20:55.680]  We're just being given another explosive as a reward.
[01:21:07.019 --> 01:21:11.199]  But all the command and control aircraft are in the air, and they don't launch us for no reason.
[01:21:11.520 --> 01:21:22.560]  So they're either doing a drill ahead of the final attack or to try to get Maduro to over-respond and shoot some missiles off as a Gulf of Tongan provocation, or they're about to strike Venezuela tonight in just a few hours.
[01:21:22.640 --> 01:21:23.440]  We're going to start.
[01:21:26.000 --> 01:21:29.520]  So I was already like on the edge about this this morning.
[01:21:29.840 --> 01:21:30.880]  Should I talk about this?
[01:21:31.040 --> 01:21:32.320]  But there I just went ahead and did it.
[01:21:32.560 --> 01:21:34.240]  And I went ahead and just gave you my thinking on it.
[01:21:34.560 --> 01:21:45.840]  I'm going to air the special report that was already to get to how good it is that people finally get Obamacare as a giant scam and a fraud designed by the creators they admit to screw you and triple your prices.
[01:21:45.920 --> 01:21:47.360]  I mean, how uncool, man.
[01:21:47.680 --> 01:21:48.800]  See what you want about Trump?
[01:21:48.880 --> 01:21:50.640]  He's really trying to cut prices.
[01:21:51.280 --> 01:21:53.280]  Did he tell people, oh, I can turn this around day one?
[01:21:53.360 --> 01:21:54.160]  I'm like, no, you can't.
[01:21:54.320 --> 01:21:56.320]  But he's already made all the moves that's starting to do it.
[01:21:56.480 --> 01:21:58.320]  We're already seeing a lot of energy prices.
[01:21:58.480 --> 01:21:59.520]  I mean, he's moving the needle, man.
[01:21:59.600 --> 01:22:00.560]  He's like, arm wrestling.
[01:22:00.640 --> 01:22:03.200]  He's like, I'll beat that top arm wrestler in one second.
[01:22:03.280 --> 01:22:06.000]  Well, no, it might take you five minutes, but you're starting to win.
[01:22:07.200 --> 01:22:07.840]  Just commute.
[01:22:07.920 --> 01:22:10.240]  Don't underpromise, over deliver, bro.
[01:22:10.320 --> 01:22:11.360]  That's all we want.
[01:22:12.560 --> 01:22:13.520]  And I'm not bitching.
[01:22:14.240 --> 01:22:17.120]  I just have got my opinions, and they're usually right.
[01:22:18.720 --> 01:22:20.480]  I'm not a Monday morning quarterback.
[01:22:20.720 --> 01:22:22.560]  I'm out back seat driving.
[01:22:23.520 --> 01:22:26.000]  I didn't follow the turnip truck yesterday.
[01:22:27.200 --> 01:22:30.080]  A lot of folks say, oh, my God, you're suddenly for war.
[01:22:30.400 --> 01:22:32.720]  No, I understand why Trump's doing it.
[01:22:33.920 --> 01:22:34.800]  But one of two things.
[01:22:34.960 --> 01:22:37.439]  This is a big feint to try to get them to overreact.
[01:22:37.460 --> 01:22:41.189]  So we do go in for sure, or the U.S. is going in.
[01:22:41.329 --> 01:22:51.130]  And I don't think the decision's been made as of right now.
[01:22:52.640 --> 01:23:01.200]  But where they're sitting in the aircraft, you know, the big command and control systems, not just the AWACS.
[01:23:01.280 --> 01:23:02.560]  All the other specialized ones are up.
[01:23:02.720 --> 01:23:04.740]  All the other stuff's up and it's going in.
[01:23:11.639 --> 01:23:13.819]  It's to get the Venezuelans overreaction.
[01:23:13.840 --> 01:23:14.720]  Shoot some missiles off.
[01:23:18.160 --> 01:23:19.520]  Actually, that's what this is, probably.
[01:23:21.120 --> 01:23:23.120]  But everybody in the military has been told they're going.
[01:23:23.360 --> 01:23:25.040]  Now, they do that sometimes and don't do it.
[01:23:25.120 --> 01:23:27.280]  But they've been told, go, go, go.
[01:23:29.200 --> 01:23:32.480]  And the people I got this from have never been wrong.
[01:23:32.800 --> 01:23:37.600]  Now, that doesn't mean they could be wrong this time, or Trump could change his mind.
[01:23:38.240 --> 01:23:39.520]  But I got a single suspicion.
[01:23:39.600 --> 01:23:45.120]  We're going to be here tomorrow at 8 a.m. when the American Journal kicks off with war with Venezuela kicked off.
[01:23:45.360 --> 01:23:46.160]  Maybe not.
[01:23:47.040 --> 01:23:49.680]  But that's what we're doing here because this is big boy pants time.
[01:23:49.760 --> 01:23:52.080]  This is not, we don't get talking points here.
[01:23:52.160 --> 01:23:54.320]  We're not repeaters that sit there and chirp stuff out.
[01:23:54.640 --> 01:23:56.000]  That's why the globalists hate this show.
[01:23:56.480 --> 01:23:59.840]  This is an analyst info war analysis in front of everybody.
[01:24:00.160 --> 01:24:01.200]  Everything's transparent.
[01:24:01.440 --> 01:24:02.240]  This needed to happen.
[01:24:02.400 --> 01:24:03.120]  This is what this is.
[01:24:03.280 --> 01:24:04.640]  That's why God created it.
[01:24:04.960 --> 01:24:06.400]  And your support backed it.
[01:24:09.600 --> 01:24:18.720]  God's ready to paint the painting, but you, I, all of us are little tubes of paint put out on the pallet so God can paint the picture.
[01:24:21.600 --> 01:24:26.720]  So my sources are it's going down.
[01:24:27.040 --> 01:24:30.720]  They could be wrong because they want the Venezuelans to get all the chatter.
[01:24:31.520 --> 01:24:33.920]  In fact, obviously, I've been told this so the Venezuelans overreact.
[01:24:34.400 --> 01:24:35.440]  I think that's obvious.
[01:24:35.760 --> 01:24:38.320]  And again, I was about to think, maybe I shouldn't tell people how this works.
[01:24:38.800 --> 01:24:39.840]  I wasn't told what they're doing.
[01:24:40.080 --> 01:24:41.280]  I can see it.
[01:24:41.600 --> 01:24:43.920]  This is to get an overreaction from the Venezuelans.
[01:24:44.240 --> 01:24:45.920]  And they hit them in two days or something.
[01:24:46.400 --> 01:24:47.040]  I don't know.
[01:24:47.360 --> 01:24:48.400]  We'll see.
[01:24:48.720 --> 01:24:51.120]  I said, how about the Russians invade in October?
[01:24:51.440 --> 01:24:55.120]  Three, four months later, I said, how about they invade by the 22nd of February?
[01:24:57.040 --> 01:24:59.120]  I think I nailed the date.
[01:25:02.000 --> 01:25:07.040]  And then per usual, I had the Russians contact us and the CIA and the FBI.
[01:25:07.200 --> 01:25:08.720]  And I got under investigation again.
[01:25:09.040 --> 01:25:10.240]  They said, how do you know that?
[01:25:10.560 --> 01:25:17.440]  And they scanned all our stuff and everything got broken into digitally because the feds wanted to know who told me that or how I knew.
[01:25:17.760 --> 01:25:19.120]  Come on, guys.
[01:25:22.000 --> 01:25:23.600]  Putin didn't want to go in there.
[01:25:23.920 --> 01:25:25.840]  He knew it was a setup, but he had to.
[01:25:26.160 --> 01:25:36.240]  He's going to wait till in the Russian operation manuals, the last possible date, the Russians published they had to go in by the end of February because they needed time before the ground thawed.
[01:25:36.480 --> 01:25:42.320]  It wasn't hard to pick the last week of February as the go date, especially with everything we saw.
[01:25:43.200 --> 01:25:44.000]  You guys aren't analysts.
[01:25:44.080 --> 01:25:45.760]  You just don't know how to integrate it all.
[01:25:47.360 --> 01:25:48.640]  That's why they sue me.
[01:25:48.800 --> 01:25:50.560]  They say, who's giving you the documents?
[01:25:50.720 --> 01:25:51.760]  Who's giving you the orders?
[01:25:52.080 --> 01:25:52.720]  Me.
[01:25:53.360 --> 01:25:55.440]  And it's not like I'm prideful about anything.
[01:25:55.760 --> 01:25:57.040]  I think this is so obvious.
[01:25:57.200 --> 01:25:59.120]  I don't know how you guys don't know all this.
[01:26:00.000 --> 01:26:02.160]  I mean, it's like General Flynn and I put out reports.
[01:26:02.240 --> 01:26:03.600]  We're in the middle of a color revolution.
[01:26:03.760 --> 01:26:05.520]  The Democrats say they're doing one.
[01:26:05.840 --> 01:26:08.400]  I mean, holy hell, they're saying they're doing it.
[01:26:08.640 --> 01:26:10.560]  And I'm not a, how are you sure, Jones?
[01:26:10.640 --> 01:26:15.440]  How do you, I mean, before they even said it was a color revolution, I warned of it.
[01:26:15.520 --> 01:26:17.360]  And now they admit it.
[01:26:18.640 --> 01:26:22.000]  It's like if I'm at SeaWorld, I'm watching a killer whale flop around.
[01:26:22.080 --> 01:26:27.200]  How do I, you're like, you don't have a marine mammal degree.
[01:26:27.360 --> 01:26:28.720]  How do you know that's a killer whale?
[01:26:28.960 --> 01:26:31.600]  It's just like, what are you talking about?
[01:26:34.480 --> 01:26:35.440]  I said I go to the report.
[01:26:35.520 --> 01:26:36.240]  Forgot what I was going to say.
[01:26:36.400 --> 01:26:37.840]  I guess I just went ahead and decided.
[01:26:41.600 --> 01:26:47.120]  The bigger question is: are traders in U.S. intelligence, if Trump does hit Venezuela, going to set this up?
[01:26:47.280 --> 01:26:49.600]  Because they're already calling blowing up drug boats war crimes.
[01:26:49.760 --> 01:27:00.179]  and I got a big stack of news here, yeah, I'm not going to the Bound Report.
[01:27:00.319 --> 01:27:00.939]  I'm just going to do this right now.
[01:27:08.498 --> 01:27:09.599]  Let's just look at this.
[01:27:10.259 --> 01:27:13.779]  Because this is a lot bigger than just blowing up the drug boats.
[01:27:14.880 --> 01:27:19.600]  This is about a history of lying scum that think you're so stupid you have no memory.
[01:27:19.920 --> 01:27:27.760]  So, not only have the Democrats, once it was declassified, have the Senate hearings with the Admirals that Hegset, just like he said, said, No, Trump ordered it.
[01:27:27.920 --> 01:27:28.720]  They had the operation.
[01:27:28.960 --> 01:27:31.360]  They called me and said, Sir, we're going to launch the attack as a green lit.
[01:27:31.520 --> 01:27:33.760]  Yes, he didn't watch the attack on the first boat.
[01:27:34.080 --> 01:27:35.040]  He wasn't even involved.
[01:27:35.200 --> 01:27:36.800]  He's the Secretary of Defense.
[01:27:38.960 --> 01:27:41.600]  And then the Admiral testified, no, he wasn't on the call.
[01:27:41.920 --> 01:27:44.880]  No, we always strike things till they sink.
[01:27:45.840 --> 01:27:52.000]  You'd think the Democrats would drop that after it was proven to be another one of their hoaxes to undermine the military and Trump's command.
[01:27:52.240 --> 01:28:00.080]  No, they're all over the news still saying Maxine Waters, all of he's a murderer, Trump, Hegseth, it's illegal.
[01:28:00.320 --> 01:28:00.720]  On and on.
[01:28:01.040 --> 01:28:02.240]  Look at this crap.
[01:28:03.760 --> 01:28:12.960]  Watch, Senator Tammy Duckworth caught in a huge lie attacking Pete Hegseth, accuses him of murder and war crimes after watching deeply disturbing boat strike video.
[01:28:13.040 --> 01:28:16.080]  Then admits she hasn't seen the video.
[01:28:16.720 --> 01:28:27.680]  In a live interview, I mean, folks, these people look at this crap this week.
[01:28:27.920 --> 01:28:29.200]  I support citizens.
[01:28:29.440 --> 01:28:31.040]  All lies over and over again.
[01:28:31.360 --> 01:28:33.040]  U.S. military shoots fishermen.
[01:28:33.120 --> 01:28:33.680]  That was a lie.
[01:28:34.000 --> 01:28:35.600]  And other misleading headlines of the week.
[01:28:35.760 --> 01:28:37.120]  Other misleading?
[01:28:38.720 --> 01:28:40.560]  How about bullshit?
[01:28:41.440 --> 01:28:46.320]  Oh, Admiral says there was no kill them, all order on boat attack, but video alarms lawmakers.
[01:28:46.480 --> 01:28:50.960]  And he went on to say, no, Hegseth, like he said, got greenlitted, wasn't involved.
[01:28:51.280 --> 01:28:54.320]  They had the judge advocate generals for the second strike greenlighted.
[01:28:54.640 --> 01:28:57.040]  Hegseth wasn't involved.
[01:28:58.880 --> 01:29:10.960]  I mean, do you think when I tell the crew, hey, there's no hand soap in the bathroom, tell the operations guy to order more hand soap.
[01:29:11.120 --> 01:29:17.360]  You think I'm there watching him order the hand soap and I make sure it's just retarded, people.
[01:29:19.600 --> 01:29:27.760]  If you own a restaurant and somebody serves a bad egg once, do you think the owner sat there and put roach legs in your egg or whatever?
[01:29:30.000 --> 01:29:31.600]  But people call this nuking him.
[01:29:31.760 --> 01:29:33.760]  I like Hegseth a lot, but no, this is not nuking him.
[01:29:33.840 --> 01:29:34.880]  This is pussy.
[01:29:35.440 --> 01:29:37.200]  And I say that to get his attention.
[01:29:38.400 --> 01:29:40.800]  Pete Hegseth nukes Washington Post.
[01:29:41.120 --> 01:29:43.680]  I don't know where you got your sources, but they suck.
[01:29:43.920 --> 01:29:44.960]  They don't suck.
[01:29:45.200 --> 01:29:51.440]  They're leaking fake intelligence that's treason to undermine the military and your command and Trump's command.
[01:29:52.320 --> 01:29:59.440]  So if you leak legal stuff that's legal, if a crime is being committed, you're protected and leaking.
[01:30:00.080 --> 01:30:04.800]  But if you leak something that's a legal order on purpose to damage the mission, it's treason.
[01:30:05.120 --> 01:30:08.800]  And if you leak fake information, it's beyond treason.
[01:30:09.120 --> 01:30:16.800]  So how about we hear about you're going to find out and prosecute who told the Washington Post you said kill them all and did all this, who's trying to run a military coup?
[01:30:17.440 --> 01:30:20.960]  I don't know who gives the Washington Post their info, but they suck.
[01:30:21.120 --> 01:30:22.240]  No, they don't suck.
[01:30:22.480 --> 01:30:24.640]  They're trying to overthrow the country.
[01:30:27.520 --> 01:30:28.080]  But I get it.
[01:30:28.240 --> 01:30:33.840]  Hegseth is an infantry leader and a really smart guy and a great guy, but he's not an information warfare specialist.
[01:30:34.080 --> 01:30:37.200]  But I mean, I think all the listeners don't need to be experts in that, do you?
[01:30:37.360 --> 01:30:37.920]  You already are.
[01:30:38.080 --> 01:30:39.280]  You tune in here.
[01:30:41.520 --> 01:30:43.760]  That's a pussy statement.
[01:30:45.040 --> 01:30:58.560]  And I say that because, like I said all week, I want prosecutions for treason, claiming it's classified, claiming it's true, and planting fake information to sabotage our country and kill our readiness ahead of the communist Islamic uprisings.
[01:30:58.800 --> 01:31:01.120]  Do you understand how critical that is, Hank Seth?
[01:31:02.240 --> 01:31:06.240]  Oh, you think, oh, your sources are full of shit.
[01:31:06.560 --> 01:31:07.600]  You're disproven.
[01:31:07.840 --> 01:31:09.120]  They're not disproven.
[01:31:09.360 --> 01:31:13.920]  They lied on purpose to destroy you and this country.
[01:31:18.000 --> 01:31:20.800]  I am so they call you an amateur and everything.
[01:31:20.880 --> 01:31:25.760]  You're doing a great job overall with the mission, the force structure, getting the morale up, all of it.
[01:31:25.920 --> 01:31:28.160]  You're doing an A-plus from your perspective.
[01:31:28.320 --> 01:31:31.120]  But information warfare, yeah, your suit looks great.
[01:31:31.200 --> 01:31:31.840]  You're well spoken.
[01:31:32.000 --> 01:31:32.160]  Great.
[01:31:32.320 --> 01:31:35.120]  Your speech in front of all those generals was wonderful.
[01:31:35.760 --> 01:31:36.640]  But stop.
[01:31:37.200 --> 01:31:39.280]  You know my number one rule.
[01:31:40.880 --> 01:31:44.080]  People say the left are idiots and failures and don't know what they're doing.
[01:31:44.240 --> 01:31:45.760]  No, they know what they're doing.
[01:31:46.400 --> 01:31:50.000]  Oh, the Somalis accidentally stole $8 million now?
[01:31:50.320 --> 01:31:52.080]  No, it's on purpose.
[01:31:52.720 --> 01:31:55.200]  Stop saying it's an accident.
[01:31:55.520 --> 01:31:56.800]  Stop saying they're idiots.
[01:31:56.960 --> 01:32:02.000]  The Washington Post plants these lies on purpose, and you know it.
[01:32:04.800 --> 01:32:12.320]  So instead of, oh, you're an idiot, you were wrong, go out and say, we're going to find out who planted false intelligence under national security.
[01:32:12.560 --> 01:32:16.240]  And then I want that person in a goddamn, excuse me, Lord.
[01:32:17.440 --> 01:32:18.480]  Actually, I don't want them damn to hell.
[01:32:18.560 --> 01:32:19.760]  I don't mean that's blasphemy.
[01:32:20.080 --> 01:32:31.600]  I want them in a supermatch prison because when they have the uprisings or a war with China or something, or Venezuela, they're going to be sabotaging this thing from pillar to post.
[01:32:34.800 --> 01:32:37.120]  I don't know where you get your sources, but they suck.
[01:32:37.280 --> 01:32:38.560]  No, they don't suck.
[01:32:38.880 --> 01:32:41.360]  They're trying to destroy the country.
[01:32:42.560 --> 01:32:43.520]  They're not failures.
[01:32:43.600 --> 01:32:44.880]  They're not incompetent.
[01:32:45.200 --> 01:32:46.560]  They just missed.
[01:32:49.040 --> 01:32:53.920]  U.S. airstrike survivor clung to boat records for an hour before second Elliot Attack video shows.
[01:32:54.000 --> 01:32:57.360]  Oh, maybe Maryland man's a good person, too.
[01:32:58.960 --> 01:33:08.080]  So all this must stuff, all of it ties into NATO being a globalist criminal organization, the EU being an unelected dictatorship that started the war with Russia.
[01:33:08.240 --> 01:33:15.280]  Russia's ready to cut and run and give us big mineral deals and all the rest of it and cut off China.
[01:33:16.240 --> 01:33:18.400]  And the EU says, no, we're not quitting.
[01:33:18.720 --> 01:33:20.880]  And we're going to arrest anybody who doesn't agree with us.
[01:33:21.200 --> 01:33:23.760]  So Trump is setting up a national divorce.
[01:33:24.080 --> 01:33:27.280]  Trump files for divorce from NATO over Ukraine.
[01:33:28.320 --> 01:33:35.040]  The national security strategy basically explains that NATO is a big threat, causing war, flooding us with migrants.
[01:33:36.960 --> 01:33:45.920]  Russia says, Hungary says, the EU says their defense ministers, their economic ministers say total conscription, total war with Russia is the business model.
[01:33:46.160 --> 01:33:47.920]  It's not Hungary's PM saying this.
[01:33:48.160 --> 01:33:49.440]  They've said this.
[01:33:50.800 --> 01:33:54.560]  EU planning for war with Russia in 2030, hungry PM.
[01:33:56.800 --> 01:33:59.440]  Let him mean you're hungry at night, folks, means the prime minister.
[01:33:59.680 --> 01:34:04.240]  Russian government invites European leaders to Kremlin for diplomatic negotiations.
[01:34:04.480 --> 01:34:06.560]  Remember that tweet I saw Musk put out?
[01:34:06.720 --> 01:34:07.600]  You're unable to find it.
[01:34:07.840 --> 01:34:08.960]  I'll find it.
[01:34:09.840 --> 01:34:10.800]  But it shows Europe.
[01:34:10.880 --> 01:34:13.200]  It says this is Europe, and it shows all the countries of Europe.
[01:34:13.520 --> 01:34:14.640]  And it says, this is the EU.
[01:34:14.800 --> 01:34:15.200]  There's nothing there.
[01:34:15.280 --> 01:34:16.400]  It's a blank page.
[01:34:17.040 --> 01:34:21.200]  You can't let the unelected EU and NATO tell the European nations what to do.
[01:34:21.360 --> 01:34:24.720]  That's why the Kremlin said, come here, meet with us.
[01:34:25.360 --> 01:34:26.960]  Let's stop this now.
[01:34:27.600 --> 01:34:30.160]  Bring back your national sovereignty.
[01:34:31.520 --> 01:34:35.360]  Russia government advised leaders of Kremlin for diplomatic negotiations.
[01:34:37.840 --> 01:34:42.240]  Meanwhile, the Russians warned of this, and now there's been attacks on Chernobyl.
