# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:04.320 --> 00:00:10.160]  It's Saturday, August 2nd, 2025.
[00:47:52.639 --> 00:48:02.800]  Over 70% of the funds that come into InfoWars is spent in all the legal defense to stay on the air, which is fine.
[00:48:02.960 --> 00:48:04.400]  You're like, wow, we're buying all these great products.
[00:48:04.480 --> 00:48:04.800]  We love them.
[00:48:04.880 --> 00:48:06.079]  The supplements, all of it.
[00:48:06.400 --> 00:48:07.440]  But then it goes to fight them.
[00:48:07.519 --> 00:48:11.280]  Yeah, that's the cost of this war to stay on air.
[00:48:11.440 --> 00:48:22.719]  Now, once they either beat me and I'm under new owners who they can't attack, because they can attack me forever, non-dischargeable fake judgments, unless the Supreme Court overturns it in Texas, which they say they have signaled they are.
[00:48:22.800 --> 00:48:29.039]  And then I don't know if the Supreme Court nationally with a Connecticut case will take that because their Supreme Court in Connecticut said, no, all this crap stands.
[00:48:29.360 --> 00:48:30.719]  There are show trials.
[00:48:31.679 --> 00:48:33.760]  I'll be harassed for the rest of my life, which is fine.
[00:48:34.000 --> 00:48:35.920]  I'm lucky they haven't killed me yet or put me in prison.
[00:48:36.079 --> 00:48:37.039]  I mean, I knew what I was getting into.
[00:48:37.119 --> 00:48:38.079]  I'm a big boy.
[00:48:38.400 --> 00:48:39.519]  And I can live frugally.
[00:48:39.679 --> 00:48:40.880]  It really doesn't affect me.
[00:48:41.440 --> 00:48:44.400]  I just never really cared about things that much anyways.
[00:48:46.000 --> 00:48:51.519]  That said, though, if they beat us here in the next few months, it's really coming to a head.
[00:48:52.159 --> 00:48:55.440]  Then we go to the Auto Shows Network and our other backers, and I'll just be the news director.
[00:48:55.679 --> 00:48:56.559]  I don't own it.
[00:48:56.880 --> 00:49:00.960]  And they'll attack that, run to a brick wall because it's all legitimate real companies and not me.
[00:49:01.039 --> 00:49:02.159]  And they know they already said that.
[00:49:02.239 --> 00:49:03.760]  And it's just, you know, you know what they do.
[00:49:04.079 --> 00:49:05.039]  Lie, lie, lie.
[00:49:07.440 --> 00:49:11.840]  But then that'll be easy legally to beat and won't be a big cost.
[00:49:12.159 --> 00:49:15.920]  And then we'll be able to hire more people already building bigger studios.
[00:49:16.239 --> 00:49:16.960]  These folks are.
[00:49:17.199 --> 00:49:18.079]  Leave it at that.
[00:49:18.880 --> 00:49:22.079]  We've got the backup here that I don't own.
[00:49:22.159 --> 00:49:24.159]  So they're brick wall right there.
[00:49:24.800 --> 00:49:28.880]  But when it comes to the legal bills, we're matched out.
[00:49:30.080 --> 00:49:35.039]  The way it's set up is the money that comes in at thealexchimpster.com.
[00:49:36.320 --> 00:49:41.519]  I get a little bit of the money, and then the rest of it goes to fund InfoWars, but there's not that much coming in.
[00:49:41.680 --> 00:49:43.440]  So InfoWars basically breaks even.
[00:49:43.680 --> 00:49:46.560]  So even if they're able to shut it down, there's nothing there except the equipment.
[00:49:46.880 --> 00:49:51.120]  So that's their fault for all the lawfare and things they've done.
[00:49:51.840 --> 00:49:52.960]  But they've never said they wanted money.
[00:49:53.039 --> 00:49:53.600]  They want me off the air.
[00:49:53.680 --> 00:49:54.240]  They said that in court.
[00:49:54.320 --> 00:49:55.200]  They said that on TV.
[00:49:55.519 --> 00:50:00.400]  But then they also whine and say you won't give us money, even though I've got it on appeal, even though they wouldn't take settlements.
[00:50:00.720 --> 00:50:06.640]  So their deception is just totally amateurish for anybody that actually studies it.
[00:50:07.200 --> 00:50:22.960]  But my point is, is that once we're through this, we either beat them and they allow the good guys to come by InfoWars and that continues on or we go with the other systems or merge those into it regardless because we already need to move out of the studios around anyways.
[00:50:23.600 --> 00:50:28.480]  It'll just be InfoWars at the new studios or it'll be the new Alex Chips Network at the new studios.
[00:50:28.800 --> 00:50:30.720]  Same crew, same people, same everything.
[00:50:31.680 --> 00:50:39.280]  But whether they're able to beat me, then all the funds won't be needed for legal.
[00:50:39.360 --> 00:50:41.200]  So it'll just be me being attacked.
[00:50:42.400 --> 00:50:46.560]  Or whether we win, then we'll be able to expand with the funds.
[00:50:46.720 --> 00:50:58.960]  So the money we have coming in right now, we could be 24 hours a day, have reporters in key cities just do incredible stuff that we were already building up to before they came after me seven years ago intensively with law fair.
[00:50:59.920 --> 00:51:07.360]  So I want to give you a report on where we are there and that, you know, persevering, they got exposed and their fake auctions and all the things they've done.
[00:51:07.519 --> 00:51:11.920]  Everybody thinks I've won because they're so discredited, but though they don't care, they're just going forward.
[00:51:12.320 --> 00:51:13.600]  So it's going to be pretty spectacular.
[00:51:13.760 --> 00:51:15.200]  They're able to shut down InfoWars.
[00:51:15.440 --> 00:51:18.400]  But everybody goes, wow, that actually happened after all the stuff they got caught in?
[00:51:18.560 --> 00:51:18.720]  Yeah.
[00:51:19.280 --> 00:51:21.200]  And then we've got all the things ready.
[00:51:21.519 --> 00:51:26.000]  And then I'm just going to stop with the legal sybil and criminal.
[00:51:26.800 --> 00:51:29.680]  And it all just escalates once they've done that.
[00:51:29.920 --> 00:51:30.400]  That is the case.
[00:51:30.480 --> 00:51:34.800]  But I'm going to fight and not pull any punches, not take a dive.
[00:51:35.120 --> 00:51:36.320]  And I just put it in God's hands.
[00:51:36.480 --> 00:51:38.000]  Whatever God's will is is going to happen.
[00:51:38.160 --> 00:51:39.680]  But God works through you.
[00:51:40.800 --> 00:51:50.000]  So if you want to support the Alex Jones Network, the backup, go to reallexjones.com, and that's a clone of everything that's at thealxjonstore.com.
[00:51:50.080 --> 00:51:59.200]  All the same supplements, the Irish CMOS, the Shiloh G, the limited edition daggers, all the t-shirts, the ball caps, wide a selection.
[00:51:59.280 --> 00:52:01.600]  It's all there at realalxjones.com.
[00:52:03.440 --> 00:52:08.880]  And then we go to thealxjonstore.com, that funds InfoWars and all the things that are happening there, all the things that are going on.
[00:52:09.039 --> 00:52:11.360]  But I need your support.
[00:52:11.519 --> 00:52:13.039]  You're the only variable factor.
[00:52:13.200 --> 00:52:18.720]  We win either way by continuing on as long as you support us.
[00:52:19.360 --> 00:52:30.880]  And back when I was still putting some money in the bank and, you know, okay, went and bought 120-something acres for an emergency place to flee to and collapse.
[00:52:31.200 --> 00:52:32.960]  It was, I bought for like a million bucks.
[00:52:33.280 --> 00:52:34.800]  When they sold it, it was worth $3 million.
[00:52:34.960 --> 00:52:36.080]  I didn't have that many resources.
[00:52:36.160 --> 00:52:39.039]  I mean, that was the extra thing I had.
[00:52:39.920 --> 00:52:44.080]  And so I never had time to go out there, so it didn't really matter.
[00:52:44.320 --> 00:52:45.200]  It was a cool place, though.
[00:52:45.280 --> 00:52:48.800]  It's on the Comal River, you know, cool little place.
[00:52:49.120 --> 00:52:51.039]  Crew liked to go out there shooting and camping and stuff.
[00:52:51.120 --> 00:52:53.920]  They were the ones that really used it because I'm always working.
[00:52:54.880 --> 00:53:11.039]  But always, I mean, I was probably taking what came into InfoWars extra, you know, the profit 10% a year and putting a few million back as emergency backup.
[00:53:11.600 --> 00:53:14.400]  But then over the years, all the law fair, I had to pay for it myself.
[00:53:14.560 --> 00:53:16.000]  So I had to pay myself more.
[00:53:16.160 --> 00:53:23.680]  I had to beg for more money, ask for more support because the way it would legally work, because I own free speech systems as an LLC, I had to pay for it.
[00:53:24.000 --> 00:53:30.400]  So the years where you see me, and the books are all out public, make it $5 million a year, that was for legal.
[00:53:31.519 --> 00:53:35.680]  Before that, I would not even take the money and I would hire more crew and do more things.
[00:53:35.840 --> 00:53:39.440]  And it's not bad if I did this, telling the truth, but also made a bunch of money.
[00:53:39.760 --> 00:53:41.200]  But that's not been my goal.
[00:53:41.360 --> 00:53:47.120]  My goal was get more money to get more hosts, more crew, more reporters, and kick more globalist ass.
[00:53:48.080 --> 00:53:49.360]  And it's the same thing with the bad guys.
[00:53:49.520 --> 00:53:50.240]  They don't want money.
[00:53:50.320 --> 00:53:50.720]  They've said that.
[00:53:50.800 --> 00:53:51.600]  They want me off the air.
[00:53:51.760 --> 00:53:53.200]  This is ideological.
[00:53:53.520 --> 00:53:57.840]  And so you really are the variable here in all of this.
[00:53:58.160 --> 00:53:59.760]  And it's not as I'm saying you're important.
[00:53:59.920 --> 00:54:01.760]  I want it to sink in that you are key.
[00:54:02.080 --> 00:54:07.520]  And those of you that have gone and bought the t-shirts and have gone and gotten the supplements and love them, you are the reason we're still here.
[00:54:07.600 --> 00:54:08.800]  So I'm very, very thankful to you.
[00:54:08.880 --> 00:54:12.960]  And so is this crew that is also super awake and super informed.
[00:54:13.520 --> 00:54:15.520]  And we've had some great crews over the years.
[00:54:15.600 --> 00:54:20.320]  Some of our crew's been here 25 years, 20 years, 18 years, 16 years, 10, 10, 12 years.
[00:54:20.640 --> 00:54:27.920]  The average crew member has probably been here about 10 years, but even the last four or five years, we've gotten some more great crew members that are just the best we've ever had together, this team.
[00:54:28.480 --> 00:54:32.880]  And they haven't had raises in years, three years under this bankruptcy.
[00:54:33.440 --> 00:54:40.960]  They rarely ever been able to get bonuses, but they've hung in there despite all the inflation and problem in the economy and never being paid that much to begin with because they care.
[00:54:41.280 --> 00:54:54.080]  And so I'm looking forward to whether we beat these people or whether the new owners come into cranking up, bringing in some sponsors, getting more revenue in, expanding, and also taking care of our people who become managers over the new stuff we're going to do.
[00:54:54.720 --> 00:54:56.080]  So this is what we're doing.
[00:54:56.240 --> 00:54:57.200]  I've been successful before.
[00:54:57.280 --> 00:54:58.480]  That's why the enemy came after us.
[00:54:58.720 --> 00:54:59.440]  We've got their number.
[00:54:59.520 --> 00:55:00.320]  We know what we're talking about.
[00:55:00.480 --> 00:55:03.760]  We're very influential in the general public and around the world and in government.
[00:55:04.080 --> 00:55:06.080]  And I thank you for keeping us in this position to do this.
[00:55:06.320 --> 00:55:08.640]  But it is such a no-brainer in this world.
[00:55:08.880 --> 00:55:18.400]  You've got to invest time, energy, and prayer and energy, I mean money in people that are hurting the globalists who want to hurt you.
[00:55:18.720 --> 00:55:20.080]  This is self-defense here.
[00:55:20.320 --> 00:55:22.880]  This is real insurance against tyranny.
[00:55:23.200 --> 00:55:25.360]  And I know those of you that do buy the products understand that.
[00:55:25.600 --> 00:55:32.320]  Plus, we want the products to really work and be really great so you love them and get them all the time.
[00:55:32.560 --> 00:55:33.760]  We want a relationship with you.
[00:55:33.840 --> 00:55:36.240]  We're not trying to sell you something one time.
[00:55:37.760 --> 00:55:41.360]  It's why we have the widest selection of t-shirts and everything to try to find what you want.
[00:55:41.680 --> 00:55:43.040]  You know, there's something for everybody.
[00:55:43.520 --> 00:55:45.680]  The best t-shirts, the best ball caps, all that.
[00:55:45.920 --> 00:55:47.600]  It's why we have the very best methylene blue.
[00:55:47.680 --> 00:55:51.280]  So we have the very best Iris C-Moss, the very best tomb ring, the very best trilogy.
[00:55:51.600 --> 00:55:52.720]  Because why wouldn't we?
[00:55:53.040 --> 00:55:54.240]  I mean, it's a no-brainer.
[00:55:54.400 --> 00:55:57.600]  And the tactical dagger, they sell that same dagger, $100 in stores.
[00:55:57.760 --> 00:55:58.880]  We sell it for $70 something.
[00:55:59.120 --> 00:56:00.240]  How do we do that and still make money?
[00:56:00.320 --> 00:56:01.840]  Because we bought 5,000 of them.
[00:56:02.800 --> 00:56:06.880]  And so we got them for 30 bucks apiece, sell them for 70-something, make some money.
[00:56:07.200 --> 00:56:08.720]  So please support us.
[00:56:08.880 --> 00:56:10.080]  We need your support.
[00:56:10.400 --> 00:56:15.280]  The AlexJones store.com to support InfoWars and all of that.
[00:56:15.600 --> 00:56:19.360]  And some of that I'm able to get and use for legal and the deal I had.
[00:56:19.920 --> 00:56:24.640]  But over here, real Alex Jones, that goes to legal defense and this operation 100%.
[00:56:25.600 --> 00:56:34.320]  And they sued my parents three years ago, the Democrats, in state court and in federal court.
[00:56:34.960 --> 00:56:42.560]  And my dad, I'd hired him to help run the supplement company 14 years ago because he was killing himself managing dental offices.
[00:56:42.880 --> 00:56:45.280]  And he'd been in supplements before and development.
[00:56:45.600 --> 00:56:47.120]  He did a great job.
[00:56:47.440 --> 00:56:49.360]  They accused him of hiding all this money from me.
[00:56:49.600 --> 00:56:50.400]  They got audited.
[00:56:50.560 --> 00:56:55.360]  They got audited by the court, had to pay for it themselves.
[00:56:55.680 --> 00:56:57.760]  And, of course, everything they said was true.
[00:56:57.840 --> 00:56:59.200]  There wasn't any hidden money.
[00:56:59.680 --> 00:57:03.520]  Actually, with the accounting, my dad was owed a couple hundred thousand dollars by me.
[00:57:03.840 --> 00:57:07.600]  And then they passed on suing him, you know, to the court.
[00:57:07.760 --> 00:57:09.040]  They just sued him.
[00:57:10.880 --> 00:57:14.480]  But then in the actual bankruptcy court where they could get something, they didn't.
[00:57:14.800 --> 00:57:17.360]  They never brought suits because there was nothing there.
[00:57:17.440 --> 00:57:19.600]  And the judge pointed that out a year into it.
[00:57:19.760 --> 00:57:20.800]  Now we're three years in.
[00:57:20.960 --> 00:57:22.400]  This is a marathon bankruptcy.
[00:57:22.960 --> 00:57:31.120]  And then when I held them up shutting us down this year and last year, they got mad a few months ago.
[00:57:31.680 --> 00:57:35.760]  And I told my parents in January, my lawyers looked at it and they said, this doesn't give you a full waiver.
[00:57:35.920 --> 00:57:37.680]  They're going to come back in the bankruptcy court and sue you.
[00:57:37.920 --> 00:57:49.200]  And Chris Murray, the trustee that's done all this stuff from the DOJ, he then sued them, made all these completely false allegations, and sued my wife, all these false allegations.
[00:57:49.840 --> 00:57:52.160]  And now we've got to battle that.
[00:57:52.320 --> 00:57:53.440]  And my parents don't have any money.
[00:57:53.520 --> 00:57:54.640]  Their house is double mortgaged.
[00:57:54.880 --> 00:57:56.080]  And I guess it makes the left happy.
[00:57:56.160 --> 00:57:56.880]  Ha ha ha ha.
[00:57:57.360 --> 00:57:59.440]  It doesn't make me and my family not be closer.
[00:58:00.160 --> 00:58:02.480]  It makes everybody understand what trash you are.
[00:58:02.880 --> 00:58:07.280]  Talking about the lawyers and the politicians, the Democrats, and Paul Weiss and all the rest of them.
[00:58:08.480 --> 00:58:12.640]  But that said, I've promoted this a little bit, but not much.
[00:58:12.880 --> 00:58:14.240]  It takes you to give, send, go.
[00:58:14.640 --> 00:58:15.360]  Great folks there.
[00:58:15.680 --> 00:58:18.480]  If you go to defendalexjones.com, that's just the URL we got.
[00:58:18.560 --> 00:58:20.080]  It's really defend my family.
[00:58:20.640 --> 00:58:23.280]  That goes to their legal defense.
[00:58:23.600 --> 00:58:35.040]  And they've already spent in three years over $2 million fighting these people and being deposed and harassed and all the rest of it.
[00:58:35.680 --> 00:58:39.520]  And then they settled with them, but didn't really, and then came back and did it again.
[00:58:39.840 --> 00:58:41.040]  And my dad's like, I'm sorry.
[00:58:41.120 --> 00:58:42.480]  They told us they promised they wouldn't.
[00:58:42.560 --> 00:58:44.160]  And I said, read that line right there.
[00:58:44.480 --> 00:58:46.720]  These people will lie to your face.
[00:58:47.040 --> 00:58:51.280]  And so, and I'm out of money and I can't help my parents anymore.
[00:58:51.520 --> 00:58:53.120]  So I want to thank those that have donated.
[00:58:53.280 --> 00:58:55.200]  I need to read some of those people out on air.
[00:58:55.280 --> 00:58:56.640]  That always makes people donate more.
[00:58:56.800 --> 00:58:57.760]  I ought to be recognized.
[00:58:57.920 --> 00:58:59.040]  I should be recognizing you.
[00:58:59.200 --> 00:59:01.040]  I just get so focused on news, I haven't.
[00:59:01.360 --> 00:59:33.280]  But if you would just go to defendalexjones.com, we have that URL, defendalexjones.com, just defend alexjones.com, then that will take you to give, send, go so that you can donate to my parents yeah let's let's go to break let's make that url okay there it is thanks and thank you um so i know to a lot of people um fifty
[00:59:33.280 --> 00:59:34.519]  $1,000 sounds like a lot.
[00:59:34.570 --> 00:59:37.880]  And for the people that did donate $5, $100, $1,000, thank you.
[00:59:37.880 --> 00:59:39.090]  And it is a lot.
[00:59:39.769 --> 00:59:48.680]  But, you know, the way this also works is the way the trustee has it set up.
[00:59:48.680 --> 00:59:50.959]  He's always trying to claim I'm hiding money and diverting money.
[00:59:50.958 --> 01:00:02.019]  I can't do a fundraiser for myself or for my parents on my main show over here because I don't own this facility and it doesn't have a deal with them and it's not my property.
[01:00:02.019 --> 01:00:08.789]  I am able to sit here and then separately for my parents, not for me, raise money.
[01:00:09.310 --> 01:00:13.120]  And so, I mean, that's fine.
[01:00:13.120 --> 01:00:20.019]  If they lose their house, that fancy house will just show it being foreclosed on them, you know, I guess moving into a trailer or something, that's fine.
[01:00:20.019 --> 01:00:21.429]  They're actually ready to do that.
[01:00:21.679 --> 01:00:22.660]  They're not arrogant.
[01:00:22.660 --> 01:00:24.999]  You know, people that are elitist, they're just good Americans.
[01:00:24.999 --> 01:00:27.459]  And if that ends up happening to me, that's fine.
[01:00:27.459 --> 01:00:28.440]  I will still be on air.
[01:00:28.440 --> 01:00:29.929]  I will still do what I do.
[01:00:30.139 --> 01:00:31.740]  And I will actually fight harder.
[01:00:31.800 --> 01:00:34.990]  So, they're not going to stop me.
[01:00:34.999 --> 01:00:46.850]  It's just that it would be a real help to my family if people would donate to DefendAlexJones.com because that's just where we are.
[01:00:46.859 --> 01:00:52.340]  And, you know, they subpoena you.
[01:00:52.340 --> 01:00:53.079]  They sue you.
[01:00:53.079 --> 01:00:54.370]  They depose you.
[01:00:55.798 --> 01:01:02.060]  And they just drag you through and drag you through and drag you through and drag you through and drag you through and drag you through.
[01:01:02.060 --> 01:01:04.219]  And it's just funny to them.
[01:01:04.340 --> 01:01:05.939]  And they enjoy it.
[01:01:06.139 --> 01:01:07.130]  And they like it.
[01:01:07.780 --> 01:01:10.820]  And they've raised hundreds of millions of dollars off my name for their charities.
[01:01:10.820 --> 01:01:12.600]  All saying I raise money off them.
[01:01:12.600 --> 01:01:16.519]  All these lies, things I did to them that they didn't quirk and never said anything to them.
[01:01:16.519 --> 01:01:17.100]  Did nothing to them.
[01:01:17.320 --> 01:01:18.219]  Nothing.
[01:01:18.219 --> 01:01:21.519]  And it's all run with the Justice Department, the CIA.
[01:01:21.519 --> 01:01:22.298]  That's all come out.
[01:01:22.510 --> 01:01:24.540]  And they get Justice Department grants on top of it.
[01:01:24.730 --> 01:01:28.280]  So, it's not just about crushing free speech and trying to take your guns.
[01:01:28.280 --> 01:01:29.600]  It is about the money.
[01:01:31.360 --> 01:02:01.680]  uh here these people are you know these bureaucrats these lawyers 12 years later 70 something million from remington and all the other stuff that went on and then they just tell these trustees who get to bill against the estate any money that came in they got the audit they did 4.3 million the irs said oh here for i wonder what i mean i knew we overpaid once we saw the numbers over five years they got us audited but i guess the irs got the call that it goes to them or something because the iris goes actually you're owed money 4.3
[01:02:01.679 --> 01:02:02.190]  oh, here it is.
[01:02:02.230 --> 01:02:03.569]  Like, oh, here, they got that.
[01:02:03.679 --> 01:02:05.419]  And then they go, we don't want that money.
[01:02:05.419 --> 01:02:07.898]  We want it used to destroy him.
[01:02:08.000 --> 01:02:16.069]  And so they then use that money to sue my parents and sue me and sue my wife and, you know, do all this stuff.
[01:02:16.118 --> 01:02:24.909]  And they even sued a bunch of defunct entities, you know, because when you start a new film or you do a new thing, you always create a new corporation for it.
[01:02:25.179 --> 01:02:26.698]  That's what the lawyers tell you to do.
[01:02:26.698 --> 01:02:28.799]  And they know all that stuff has no money and never had money.
[01:02:28.799 --> 01:02:29.719]  And they're suing those.
[01:02:29.719 --> 01:02:30.679]  We got to respond to those.
[01:02:30.679 --> 01:02:31.768]  It's like a whole bunch of lawsuits.
[01:02:31.889 --> 01:02:35.298]  And they go, oh, here's 20 lawsuits today.
[01:02:35.298 --> 01:02:35.639]  How's that?
[01:02:35.639 --> 01:02:36.730]  Here's 10 more this week.
[01:02:36.739 --> 01:02:39.739]  And they're now saying, oh, we're going to file some more on you too.
[01:02:39.739 --> 01:02:45.389]  And the judge has already said this is ridiculous before.
[01:02:45.398 --> 01:02:47.339]  Why didn't you bring evidences before?
[01:02:47.339 --> 01:02:52.309]  He's been audited by the court, audited by the three auditing firms you wanted, audited by the IRS.
[01:02:52.319 --> 01:02:55.460]  And he says they repudiates them.
[01:02:55.460 --> 01:02:58.299]  He already fired the last U.S. trustee in CRO.
[01:02:58.299 --> 01:03:00.118]  He fired two CROs in a U.S. trustee.
[01:03:00.699 --> 01:03:20.800]  and now he says he doesn't have a faith in this one well he doesn't have a faith in this one then the way it works is if we ask him to be fired the judges is going to order it shut down and that's the two deadlines um the 13th they're in judge guerrilla gamble's court trying to shut us down at the state level they already have a receiver and they'll I'll send in the sheriffs.
[01:03:21.440 --> 01:03:39.520]  And if that doesn't succeed, and Gorgamble give anything they want, if the federal court doesn't block it, and we're in there right now, then we last to September 25th when the new trustee's year-long appointment ends.
[01:03:39.840 --> 01:03:41.440]  You know, he really got in June 14th.
[01:03:41.520 --> 01:03:43.120]  He goes until September 25th.
[01:03:43.440 --> 01:03:47.840]  And then basically under the law, he got that as my assets.
[01:03:48.000 --> 01:03:52.080]  And then I'm only there operating under an agreement, so I can't be in the building.
[01:03:52.400 --> 01:03:57.680]  And so if that's the case, we'll go to midnight in the broadcast, say boon viage there.
[01:03:57.760 --> 01:03:58.480]  And I didn't give up.
[01:03:58.560 --> 01:03:59.440]  I left it all on the field.
[01:03:59.600 --> 01:04:01.280]  And neither did the crew.
[01:04:01.840 --> 01:04:04.080]  But we've got some ways to try to beat it and override it.
[01:04:04.320 --> 01:04:08.960]  And this is right at the time we're winning in court and they're in trouble, Sibylle, and we've sued them and all this corruption's come out.
[01:04:09.280 --> 01:04:18.880]  And their emails and their messages, they actually gave us in the subpoenas where the U.S. trustees with the plaintiff's lawyers saying, yeah, we're going to make sure, you know, that nobody buys it to keep them on air.
[01:04:18.960 --> 01:04:19.760]  We're going to shut it down.
[01:04:19.920 --> 01:04:22.880]  And we're going to do this auction this way.
[01:04:22.960 --> 01:04:25.280]  So you win a fake auction.
[01:04:25.360 --> 01:04:26.960]  I mean, it's fraud, folks.
[01:04:27.280 --> 01:04:29.120]  And we've shown the judge all this.
[01:04:29.440 --> 01:04:32.560]  So I don't think Judge Lopez is corrupt at all.
[01:04:32.640 --> 01:04:37.120]  He's just trying to do his job, but nobody's ever seen stuff like this except for the attacks on Trump.
[01:04:37.440 --> 01:04:42.080]  And he just doesn't know what to do because under the law, they can put the Justice Department in there to run this.
[01:04:42.400 --> 01:04:44.880]  He's already fired one guy from the Justice Department.
[01:04:45.200 --> 01:04:47.920]  And now he's just looking at him and he says, why don't you just sell it?
[01:04:48.080 --> 01:04:48.800]  Why don't you just do it?
[01:04:49.120 --> 01:04:51.200]  Why don't you sell it to people that have money?
[01:04:52.480 --> 01:04:53.600]  And then you guys get this money.
[01:04:53.840 --> 01:04:55.680]  And then they go on the news, you won't give us money.
[01:04:55.840 --> 01:04:57.280]  You won't give us money.
[01:04:57.600 --> 01:05:02.480]  You know, I have all the videos and their documents and their public statements that they just want to silence me.
[01:05:03.680 --> 01:05:08.640]  You can pull up their statements on X. The head lawyer, Chris Matty up in Connecticut, former federal prosecutor.
[01:05:08.960 --> 01:05:11.280]  And he's like, back in November, they thought they shut us down.
[01:05:11.360 --> 01:05:16.480]  He goes, the Sandy Hook families have finally shut him down so he can't hurt people.
[01:05:16.800 --> 01:05:22.640]  And he'll probably still be back some, but this will major league de-amplify him.
[01:05:23.200 --> 01:05:23.840]  No, it won't.
[01:05:24.000 --> 01:05:24.320]  Did it?
[01:05:24.480 --> 01:05:25.680]  No, it didn't.
[01:05:26.320 --> 01:05:32.000]  And if you think putting my parents on the street, pal, is going to make me stop working and stop fighting.
[01:05:32.080 --> 01:05:33.360]  You've got another thing coming.
[01:05:34.880 --> 01:05:40.080]  In the words of John Paul Jones, I've only begun to fight in the information war.
[01:05:41.600 --> 01:05:47.920]  So, I mean, wild horses cannot drag me away.
[01:05:48.240 --> 01:05:50.960]  So I trust in God and God's come through a lot.
[01:05:51.280 --> 01:05:54.720]  So just please pray for the broadcast and please pray for us.
[01:05:55.280 --> 01:05:58.000]  And I just really want to thank all of you for everything you do.
[01:05:58.880 --> 01:06:00.560]  And just know this is our fight.
[01:06:00.720 --> 01:06:04.560]  And man, I just want to win because it's the right thing to do.
[01:06:05.200 --> 01:06:07.440]  And I'm so alive and so animated because of the fight.
[01:06:07.600 --> 01:06:11.280]  But the power of my punch, the amplification, what we can do, it's all you.
[01:06:11.600 --> 01:06:12.800]  They want us de-amplified.
[01:06:12.880 --> 01:06:14.160]  They want to put a wet blanket on us.
[01:06:14.240 --> 01:06:17.760]  They want to shut us up because we stand for you and our shared values.
[01:06:18.000 --> 01:06:26.000]  So when you support us, you're supporting yourself at defendalxjones.com, realalexjones.com, and thealexjonesstewart.com.
[01:06:26.240 --> 01:06:29.040]  I humbly ask for your aid and comfort in this fight now.
[01:06:29.360 --> 01:06:30.000]  This is your fight.
[01:06:30.080 --> 01:06:31.680]  This is 1776 2.0.
[01:06:31.840 --> 01:06:33.360]  The ball is in your court.
[01:06:34.880 --> 01:06:39.200]  Now, you've not ever seen presidents go out to the Federal Reserve like this.
[01:06:39.520 --> 01:06:43.200]  You've not ever seen presidents come out and demand people be indicted like this.
[01:06:43.840 --> 01:06:46.400]  And I know he's got a bureaucracy and it's hard to get him to do it.
[01:06:46.560 --> 01:06:50.160]  But you got Senator Grassley saying people should be arrested and naming names.
[01:06:50.480 --> 01:06:55.040]  You got the FBI director saying, you got the head of the National Intelligence, Office of National Intelligence saying it.
[01:06:55.360 --> 01:06:56.560]  You got Trump saying it.
[01:06:56.800 --> 01:06:58.080]  I've talked to High Little DOJ.
[01:06:58.240 --> 01:07:00.880]  They say, no, they've been told, get it together and go after him.
[01:07:01.520 --> 01:07:03.200]  And so this is different, I believe.
[01:07:03.520 --> 01:07:09.120]  I'm not saying it's going to 100% happen, but it's definitely a different climate because Trump knows already tried to kill him twice.
[01:07:09.440 --> 01:07:12.880]  Trump knows this is a no-quarter battle.
[01:07:13.840 --> 01:07:19.760]  And so here is Trump calling for Hillary to be investigated.
[01:07:20.640 --> 01:07:30.720]  And, you know, previously, you remember he said, you know, I told him not to go after it because I wanted to blow over, but they won't go away.
[01:07:31.600 --> 01:07:33.200]  So it has to be done.
[01:07:33.760 --> 01:07:34.480]  It's like cancer.
[01:07:34.560 --> 01:07:35.360]  It's all got to be cut out.
[01:07:35.440 --> 01:07:36.000]  And then go to the club.
[01:07:36.160 --> 01:07:39.440]  Department of Justice launches voter roll investigation.
[01:07:39.760 --> 01:07:41.440]  And that is like shooting fish in a barrel.
[01:07:41.520 --> 01:07:46.720]  They've already arrested people all over the country, the Justice Department in the last six months for election fraud, all of them Democrats.
[01:07:46.880 --> 01:07:48.400]  So there's a lot of stuff going on.
[01:07:48.480 --> 01:07:53.680]  It's just you're not seeing on the news, just like corporate news won't admit Russia Gate's been a proven hoax and a coup.
[01:07:53.760 --> 01:07:54.320]  Here it is.
[01:07:56.560 --> 01:08:00.080]  Hillary says he'll finally be investigated for election fraud.
[01:08:00.400 --> 01:08:00.880]  I hope so.
[01:08:01.360 --> 01:08:01.840]  I hope so.
[01:08:02.000 --> 01:08:04.000]  I don't know whether or not that'll happen.
[01:08:06.560 --> 01:08:13.760]  Trump administration looking to boost election integrity as the DOJ opens a nationwide investigation into voter rolls.
[01:08:14.080 --> 01:08:22.400]  The department is calling on local officials to identify felons, dead voters, and also non-citizens who might have cast a ballot.
[01:08:22.640 --> 01:08:25.200]  David Spott is live from Washington with more on this one.
[01:08:25.360 --> 01:08:25.840]  Hi, David.
[01:08:26.080 --> 01:08:26.640]  Hi, Aisha.
[01:08:26.800 --> 01:08:27.200]  Good morning.
[01:08:27.360 --> 01:08:29.840]  Today, next week, the week after, and so on.
[01:08:30.080 --> 01:08:36.800]  DOJ officials will continue to work on what they call the department a serious problem with our voter rules.
