# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.000 --> 00:00:01.040]  He's like, yeah, kid.
[00:58:24.160 --> 00:58:31.000]  BlackRock has 86% of all world investment and money under its control.
[00:58:31.000 --> 00:58:32.369]  It's all the same consortium.
[00:58:32.369 --> 00:58:34.260]  BlackRock, State Street, Vanguard.
[00:58:34.260 --> 00:58:40.260]  But the point is, Larry Fink, you know, years ago, yeah, we control behavior through this.
[00:58:40.260 --> 00:58:40.869]  Well, guess what?
[00:58:41.049 --> 00:58:47.119]  Texas, Ken Paxton sued them, said you're a racketeer, you're trying to shut down our industry, making us do what you want or you won't invest.
[00:58:47.119 --> 00:58:52.369]  We're suing you as racketeers, and Texas and a bunch of other states have now pulled their investment from BlackRock.
[00:58:53.090 --> 00:58:54.740]  BlackRock goes, oh, we're going to stop now.
[00:58:54.740 --> 00:58:57.720]  See, we're exercising our power.
[00:58:57.720 --> 00:58:59.119]  We're learning how the system works.
[00:58:59.119 --> 00:59:00.409]  We're going in and taking control.
[00:59:00.439 --> 00:59:06.260]  Speaking of offense, are you thinking about going on the offense as far as everything that's going on in your world?
[00:59:06.650 --> 00:59:08.210]  Because they keep you on a defense.
[00:59:08.280 --> 00:59:11.500]  They've been, you know, keeping it that way for a while now.
[00:59:11.500 --> 00:59:16.650]  The legal system is...
[00:59:16.560 --> 00:59:18.800]  everybody knows, is about as corrupt as it gets.
[00:59:19.120 --> 00:59:21.360]  And it's its own priesthood.
[00:59:21.440 --> 00:59:22.240]  It's its own language.
[00:59:22.320 --> 00:59:23.200]  It's its own system.
[00:59:23.520 --> 00:59:26.000]  And so it tends to want to protect itself.
[00:59:28.240 --> 00:59:32.160]  And there's a lot of big, big wig Republicans that actually want censorship as well.
[00:59:32.480 --> 00:59:35.520]  So they're really happy about these rulings.
[00:59:36.880 --> 00:59:40.640]  And of course, the left's now being destroyed by their own actions.
[00:59:40.880 --> 00:59:42.640]  Now they're getting hit with huge stuff.
[00:59:43.200 --> 00:59:47.360]  So that's why free speech has got free speech has to be for everybody, or nobody has it.
[00:59:48.000 --> 00:59:51.600]  I mean, you know, I don't like the new Black Panther party saying kill the white people.
[00:59:52.480 --> 00:59:53.600]  They have a right to say what they want.
[00:59:53.680 --> 00:59:56.400]  You can't specifically say go kill this person, but you can say, I think we should kill the white people.
[00:59:56.560 --> 00:59:58.480]  I don't agree with the KKK of terrible things they do.
[00:59:58.640 --> 01:00:00.800]  But they have to have their speech or we all lose it.
[01:00:00.880 --> 01:00:01.600]  I mean, that's just simple.
[01:00:01.760 --> 01:00:02.240]  Everybody knows that.
[01:00:02.320 --> 01:00:03.360]  It's not debatable.
[01:00:03.680 --> 01:00:08.560]  So, yes, we have all the stuff we gave the Supreme Court, ironclad stuff.
[01:00:08.720 --> 01:00:09.840]  I'm already suing them.
[01:00:10.080 --> 01:00:18.560]  I already spent millions suing the DOJ people, suing the that they put in the case, suing the law firms and them in depositions admitting.
[01:00:18.640 --> 01:00:19.360]  And we get the emails.
[01:00:19.440 --> 01:00:27.360]  Yeah, it was decided that you would never be able to have your show, that we wouldn't let somebody else buy it and keep you on the ear while the judge orders a public auction.
[01:00:27.520 --> 01:00:34.800]  And while the U.S. trustee for DOJ is not supposed to be working with Paul Weiss and Koscoff and Koskoff, we have the DOJ saying, no, we work for them.
[01:00:37.280 --> 01:00:44.640]  And while they refuse $70 plus million dollars, then they go around whining and bitching, saying he won't give us our money.
[01:00:44.960 --> 01:00:48.240]  And they got a non-dischargeable debt, okay?
[01:00:48.480 --> 01:00:53.680]  Which means even with bankruptcy, it never goes away.
[01:00:53.920 --> 01:00:59.360]  So to them, it's just a way to harass me and stalk me and have me be a hunted man and come after me.
[01:00:59.920 --> 01:01:05.520]  And they somehow think that means anything to me because it doesn't.
[01:01:05.680 --> 01:01:07.760]  I mean, I will live under the bridge.
[01:01:08.320 --> 01:01:11.200]  I mean, I will live on the roof of the new studio they're building.
[01:01:11.520 --> 01:01:14.800]  I'll live, seriously, I'll live on a couch.
[01:01:15.120 --> 01:01:16.880]  In fact, I'll do it for free.
[01:01:17.200 --> 01:01:18.480]  I'll do this for free.
[01:01:18.800 --> 01:01:21.920]  And there could be a charity and I just give them my food.
[01:01:22.240 --> 01:01:23.520]  I literally don't give a shit.
[01:01:23.680 --> 01:01:25.440]  So, I mean, they can put a gun to my head.
[01:01:25.520 --> 01:01:26.080]  I'm not going to stop.
[01:01:26.720 --> 01:01:27.920]  They think this does anything to me.
[01:01:28.160 --> 01:01:32.480]  All it does is, you know, Joe years ago would say, you're a fat ass.
[01:01:32.560 --> 01:01:33.360]  You're a good looking guy.
[01:01:33.520 --> 01:01:34.160]  You need to work out.
[01:01:34.240 --> 01:01:37.200]  You know, she'll be direct with his friends and, you know, your buddy's with him.
[01:01:37.280 --> 01:01:39.200]  And then remember like 14 months ago, he goes, you're a fat ass.
[01:01:39.280 --> 01:01:39.920]  You need to work out.
[01:01:40.160 --> 01:01:45.680]  And I didn't care about myself and didn't care about looking good because I knew the world was already waking up.
[01:01:45.840 --> 01:01:47.280]  I knew I'd done a lot of my missions so far.
[01:01:47.440 --> 01:01:49.600]  And I was depressed and didn't know it.
[01:01:49.920 --> 01:01:57.200]  And so I was eating too much and all of a sudden, but them trying to destroy me and them saying we're going to destroy him.
[01:01:57.280 --> 01:01:58.240]  We want to hurt him and his family.
[01:01:58.400 --> 01:01:59.280]  We want him off the air.
[01:01:59.600 --> 01:02:00.800]  I was like, well, you know what?
[01:02:01.120 --> 01:02:02.080]  I'll just start working out.
[01:02:02.160 --> 01:02:03.760]  And you said, well, I'll start working you out every morning.
[01:02:04.000 --> 01:02:05.040]  We worked out this morning.
[01:02:05.360 --> 01:02:07.920]  And whether it's 50 minutes or 80 minutes sometimes, we do.
[01:02:08.240 --> 01:02:12.400]  I mean, it's so easy now, not out of hate, because I don't fight my enemies because I hate them.
[01:02:13.120 --> 01:02:15.120]  I fight because I love the people I'm protecting.
[01:02:15.360 --> 01:02:20.240]  But I had to flip that switch to like back when I was younger and was in great, great shape to like, you know what?
[01:02:20.560 --> 01:02:22.720]  I'm going to sit here and do these 400 setups.
[01:02:22.800 --> 01:02:24.240]  I'm going to do these 300 push-ups.
[01:02:24.480 --> 01:02:27.360]  I'm going to sit here and do this gauntlet.
[01:02:27.520 --> 01:02:28.720]  I'm going to do this nonstop.
[01:02:28.880 --> 01:02:30.720]  And when I'm doing it, I understand this is survival.
[01:02:30.800 --> 01:02:31.360]  They want to hurt me.
[01:02:31.440 --> 01:02:32.240]  They want me to be weak.
[01:02:32.320 --> 01:02:33.360]  They want me to not be strong.
[01:02:33.600 --> 01:02:35.760]  And so it's a manifesto that they want me to not be happy.
[01:02:36.000 --> 01:02:41.760]  And so now I'm happier than ever because I realize that's how they control us is by us not loving ourselves and others.
[01:02:41.920 --> 01:02:42.880]  And taking care of yourself, right?
[01:02:43.120 --> 01:02:43.280]  Exactly.
[01:02:43.520 --> 01:02:44.640]  Well, they're not perfect, but yeah.
[01:02:45.040 --> 01:02:46.960]  But I mean, you can talk about people probably interested in that.
[01:02:47.120 --> 01:02:48.800]  I mean, we do some pretty good workouts.
[01:02:49.440 --> 01:02:50.800]  Some of them work out twice today, though.
[01:02:50.960 --> 01:02:52.480]  So is InfoWars gone?
[01:02:53.760 --> 01:02:54.160]  What's going on?
[01:02:54.400 --> 01:02:54.640]  Okay.
[01:02:55.440 --> 01:03:00.080]  So we've won or held them off and won so many battles that people don't even think it's real.
[01:03:00.160 --> 01:03:00.400]  It's fine.
[01:03:00.560 --> 01:03:00.720]  I know.
[01:03:01.600 --> 01:03:03.920]  But there's battles and there's the war.
[01:03:04.240 --> 01:03:06.480]  So the receiver was in there two weeks ago.
[01:03:06.640 --> 01:03:08.080]  It's cleared by the state court.
[01:03:08.400 --> 01:03:13.680]  They were just waiting for the state court to lift the stay and that could be any day now.
[01:03:13.760 --> 01:03:15.200]  And they're waiting for the Supreme Court.
[01:03:15.280 --> 01:03:16.480]  So the Supreme Court's out of the way.
[01:03:16.560 --> 01:03:18.400]  The stay will probably be listed in a week or so.
[01:03:18.720 --> 01:03:20.080]  And of course, we're nice to the guy.
[01:03:20.160 --> 01:03:21.040]  They actually have a court order.
[01:03:21.120 --> 01:03:28.720]  It's from a fake trial, literally with a blue-haired anti-foot judge who walked the red carpet at the HBO premiere of the movie where she's the star.
[01:03:28.880 --> 01:03:30.080]  I mean, it's beyond sex.
[01:03:30.400 --> 01:03:31.280]  But that's okay.
[01:03:33.600 --> 01:03:34.880]  It's their fake ruling.
[01:03:35.040 --> 01:03:36.080]  It's a fraud.
[01:03:36.400 --> 01:03:38.080]  And the whole world knows it.
[01:03:38.640 --> 01:03:44.720]  And so when they come in and do that, and then now the receiver, I have my exempt house under state law and federal law.
[01:03:44.800 --> 01:03:46.640]  That's why Texas was founded was for a debtor state.
[01:03:46.800 --> 01:03:47.680]  And I got my car.
[01:03:48.000 --> 01:03:53.440]  And then they're going to harass me and depose me and mess with me and claim the companies I work for are frauds.
[01:03:53.840 --> 01:04:01.040]  And then they're all ready to sue them immediately because they're all real companies that have operated for many, many years and have other clients and other people they do.
[01:04:01.120 --> 01:04:02.320]  And it's going to be like, okay, great.
[01:04:02.640 --> 01:04:03.120]  They can't wait.
[01:04:03.200 --> 01:04:04.080]  They want to fight too.
[01:04:04.400 --> 01:04:09.040]  You know, the owner of one of the companies was trying to save a lady they killed on Jan 6 in the tunnel.
[01:04:09.360 --> 01:04:10.800]  And he had to get pardoned by Trump.
[01:04:11.040 --> 01:04:14.720]  And they wanted him to turn and talk bad about Trump and make up stuff he didn't.
[01:04:14.800 --> 01:04:18.400]  And so he was sentenced to four and a half years and he didn't lie.
[01:04:18.720 --> 01:04:20.960]  Roger Stone was giving a huge sentence.
[01:04:21.040 --> 01:04:23.840]  And they said, if you just lie about Trump, we'll drop it.
[01:04:24.000 --> 01:04:24.560]  And he didn't do that.
[01:04:24.720 --> 01:04:25.040]  Me too.
[01:04:25.360 --> 01:04:30.480]  So, I mean, the people I'm working with, the people I'm going to work for now, are willing to go to prison for the truth.
[01:04:30.640 --> 01:04:33.360]  So just enjoy running straight on into that.
[01:04:34.080 --> 01:04:37.600]  And then, so, I mean, it just, good luck.
[01:04:38.240 --> 01:04:39.360]  And so you want to fight?
[01:04:39.440 --> 01:04:40.000]  You got one.
[01:04:40.320 --> 01:04:49.440]  And so I'm at the point way beyond my second wind, you know, where you're out hiking and it just feels great and you just want to go and go and go and go.
[01:04:49.680 --> 01:04:51.360]  So it has, I'm not a masochist.
[01:04:51.440 --> 01:04:52.640]  I don't like pain.
[01:04:53.760 --> 01:04:55.760]  But there is an overcoming it.
[01:04:56.080 --> 01:04:58.960]  And then at a certain point, it actually becomes pleasure.
[01:04:59.520 --> 01:05:01.360]  And so I'm just pouring pleasure on me.
[01:05:01.520 --> 01:05:02.720]  I mean, I just, it's wonderful.
[01:05:03.120 --> 01:05:04.160]  And people all see through it.
[01:05:04.400 --> 01:05:05.520]  How do you feel about this?
[01:05:06.080 --> 01:05:07.680]  We'll probably be shut down within about three weeks.
[01:05:07.920 --> 01:05:08.960]  This next chapter in your life.
[01:05:09.040 --> 01:05:09.200]  Okay.
[01:05:09.280 --> 01:05:10.880]  They shut you down in the next three weeks.
[01:05:11.200 --> 01:05:12.960]  I mean, I told you we're not going to do it.
[01:05:13.120 --> 01:05:13.680]  I said, I feel great.
[01:05:13.760 --> 01:05:14.320]  Well, you tell them what I said.
[01:05:15.360 --> 01:05:16.160]  Well, you tell them what I said.
[01:05:16.320 --> 01:05:17.280]  Well, I want you to tell them.
[01:05:17.840 --> 01:05:21.840]  I want you to tell the audience, like this, like you're literally turning the page.
[01:05:22.000 --> 01:05:25.760]  Infowars, done, moving over to AJ Live, right?
[01:05:25.920 --> 01:05:26.560]  Well, here's the deal.
[01:05:26.880 --> 01:05:29.440]  It'll make the term InfoWar, but it's just generic bigger than ever.
[01:05:29.600 --> 01:05:30.000]  No, I understand.
[01:05:30.400 --> 01:05:31.120]  They'll have a website.
[01:05:31.680 --> 01:05:32.320]  But no, absolutely.
[01:05:32.400 --> 01:05:33.360]  Alex Schultz Network.
[01:05:33.600 --> 01:05:35.120]  But I'm talking to you.
[01:05:35.440 --> 01:05:40.960]  Like, how do you feel closing a chapter, a really long chapter in your life and moving to the future?
[01:05:41.280 --> 01:05:42.640]  Are you feeling reinvigorated?
[01:05:43.200 --> 01:05:43.600]  I feel great.
[01:05:43.760 --> 01:05:47.760]  Is this because it's obviously something you were trying everything to avoid, and now it's here.
[01:05:48.080 --> 01:05:53.120]  Well, I pledged to do it, and they want the name to misrepresent act like they're me and a bunch of other harassment, which is fine.
[01:05:53.440 --> 01:06:01.520]  And when I say I'm going to fight and support the listeners, they buy so much product at thealishostore.com and support us that I was 100% not pulling punches.
[01:06:01.600 --> 01:06:03.040]  I was fighting as hard as I could.
[01:06:03.360 --> 01:06:08.480]  But then there's something when you know you've been in a rigged game like the movie Gladiator, but you still get them at the end.
[01:06:08.800 --> 01:06:09.920]  This is their defeat.
[01:06:10.000 --> 01:06:11.680]  And we're only going to get bigger out of this.
[01:06:11.840 --> 01:06:15.760]  And now they can target me all day instead of targeting my organization, trying to shut it down.
[01:06:16.080 --> 01:06:17.280]  Now I'll work for other people.
[01:06:18.080 --> 01:06:25.920]  And then now the money can go not to legal, most of it, but to new crew and more hosts and going like basically 24 hours a day, at least 20 hours a day.
[01:06:26.400 --> 01:06:34.880]  So yeah, I'm excited in that I fought the fought, left it all in the field, exposed them, won the court of public opinion.
[01:06:35.200 --> 01:06:41.840]  And now they basically, I'll get a tug of war, think they pulled something out of my mouth and run away with it.
[01:06:41.920 --> 01:06:46.080]  They don't know it's a lipstick of dynamite, to paraphrase with dynamite, you know what I mean?
[01:06:46.240 --> 01:06:48.400]  So it's kind of like Wiley Coyote thinks he's going to get the roadrunner.
[01:06:48.480 --> 01:06:48.960]  It's the opposite.
[01:06:49.200 --> 01:06:54.320]  So I can look at all the angles of this and just see that it is so good for liberty, so good for freedom.
[01:06:54.800 --> 01:07:01.120]  And then, yes, not just the suits we have, but the civil rights stuff and all the rest of it, it is cut and dry.
[01:07:01.920 --> 01:07:04.800]  And we got even worse stuff we haven't brought out yet.
[01:07:05.440 --> 01:07:11.680]  And so to me, I can see the whole process of how they get weaker, we get stronger.
[01:07:12.000 --> 01:07:22.080]  You know, it's kind of like the analogy, that which doesn't kill you only makes you stronger, Nietzsche, of a great movie, great screenplay written by Millis.
[01:07:23.440 --> 01:07:24.720]  And that's Apocalypse Now.
[01:07:26.000 --> 01:07:34.480]  And you've got the captain who's just gone out and done some assassinations, and he's back in the capital city in the south of Vietnam.
[01:07:34.800 --> 01:07:42.640]  And he's drunk and he's sitting there and he goes, you know, while I'm sitting here getting weaker, Charlie's squatting in the jungle with a bowl of rice in 1847 getting stronger.
[01:07:42.880 --> 01:07:43.200]  I know.
[01:07:43.440 --> 01:07:44.800]  And so that's just sorry.
[01:07:44.880 --> 01:07:45.760]  That's how the world works.
[01:07:45.920 --> 01:07:53.040]  And so everybody knows the saying: hard times make strong men, strong men make good times, good times make weak men, weak men make strong.
[01:07:53.840 --> 01:07:54.160]  Yeah.
[01:07:54.960 --> 01:07:56.080]  I always say it wrong.
[01:07:56.880 --> 01:07:58.640]  I was trying to say it too fast.
[01:07:59.920 --> 01:08:02.080]  Good times make weak men.
[01:08:03.360 --> 01:08:04.640]  Weak men make hard times.
[01:08:04.880 --> 01:08:06.160]  Hard times make strong men.
[01:08:06.320 --> 01:08:07.440]  Strong men make good times.
[01:08:07.600 --> 01:08:08.320]  And that's the cycle.
[01:08:08.880 --> 01:08:13.200]  And so this long in it, and I always liked to fight.
[01:08:13.360 --> 01:08:14.560]  I always knew they were the bad guys.
[01:08:14.880 --> 01:08:20.480]  It's just that now to see the great awakening accelerating, most revolutionaries fighting evil don't get to see victory in their lifetime.
[01:08:20.560 --> 01:08:21.600]  They just have to know they're the right thing.
[01:08:21.840 --> 01:08:24.960]  We're getting to see running the tables against them all over the world.
[01:08:25.440 --> 01:08:31.280]  And I get to be with my crew right at the tip of the spear, like number one hated by the enemy and media.
[01:08:31.440 --> 01:08:32.400]  That is freaking awesome.
[01:08:32.640 --> 01:08:33.440]  That's a badge of honor, right?
[01:08:33.840 --> 01:08:33.920]  Yeah.
[01:08:34.000 --> 01:08:41.840]  I mean, yeah, because I'm not a prideful person and I don't care about festooning myself and signs of success and status.
[01:08:42.080 --> 01:08:43.600]  That's people that don't have it or into that.
[01:08:43.920 --> 01:08:44.880]  It's not that nice things are bad.
[01:08:44.960 --> 01:08:45.920]  It's just that I don't worship them.
[01:08:46.160 --> 01:08:54.880]  But the status of really evil, sick people hating my guts and me living rent-free in their brain and devastating them, man, that is just, that is just feel.
[01:08:55.360 --> 01:08:59.280]  It feels good because I'm, because men are supposed to crush tyranny.
[01:08:59.520 --> 01:09:01.360]  We're supposed to crush scum.
[01:09:01.680 --> 01:09:02.800]  And that's what we're supposed to do.
[01:09:02.880 --> 01:09:04.720]  And it feels good to be doing what I'm supposed to do.
[01:09:04.880 --> 01:09:05.760]  It just feels good.
[01:09:05.840 --> 01:09:06.000]  Yeah.
[01:09:06.240 --> 01:09:09.520]  Like a mountain morning or a beautiful sunset.
[01:09:09.760 --> 01:09:14.480]  It just, or you know, you're toddler, you don't, you know, you know, run around the backyard, you're playing with bubbles or whatever.
[01:09:14.640 --> 01:09:17.119]  It's just, it just feels like what you're supposed to do.
[01:09:17.440 --> 01:09:17.600]  Yeah.
[01:09:18.159 --> 01:09:19.119]  Just smash.
[01:09:21.520 --> 01:09:23.199]  That's when they asked me on the stand of the show trial.
[01:09:23.280 --> 01:09:26.880]  They go, is always being accurate and telling the truth your number one mission?
[01:09:27.199 --> 01:09:29.039]  I said, no, crushing globalists.
[01:09:30.640 --> 01:09:33.920]  Because they were going to come up with, oh, this is such a legendary situation.
[01:09:34.239 --> 01:09:34.560]  It's funny.
[01:09:34.720 --> 01:09:39.039]  And where they go, you claim high-power politicians are smuggling and trafficking children.
[01:09:39.280 --> 01:09:40.079]  How outrageous.
[01:09:40.159 --> 01:09:40.560]  Tell us about that.
[01:09:40.640 --> 01:09:42.560]  I go, you mean like the Clintons and Epsteins?
[01:09:43.440 --> 01:09:46.400]  It's like they just walk into this stuff.
[01:09:47.199 --> 01:09:51.039]  What are you predicting for Trump's second year of his term?
[01:09:51.840 --> 01:09:54.720]  He's already had way more success than he had in four years.
[01:09:54.880 --> 01:09:57.360]  He got some better justices in and a lot of good things.
[01:09:57.520 --> 01:09:59.199]  He was more of a speed hump to the globalists.
[01:09:59.520 --> 01:10:00.880]  Anything that might surprises?
[01:10:01.039 --> 01:10:03.199]  In just 11 months, oh, there'll be a lot of surprises.
[01:10:03.440 --> 01:10:08.720]  In 11 months, he has changed the world.
[01:10:09.760 --> 01:10:12.880]  And if he can follow through, he'll be as great as George Washington or Abraham Lincoln or Greater.
[01:10:13.840 --> 01:10:37.280]  But if he can't get control of the Justice Department, and if he sits there and has his old weird blind spot to have this Democrat lawyer that you sat next to in your criminal trials that he lost, and you sit there and you let this weasel where he's calling one of your main champions fringe, and we don't protect the French, I mean, you've got all these different Republicans that, you know, like in Colorado caught them.
[01:10:37.760 --> 01:10:42.000]  She's the elections official, and she catches them stealing it.
[01:10:42.079 --> 01:10:44.079]  And so she gets a thumb drive and goes to the police.
[01:10:44.400 --> 01:10:46.880]  And she's Nina Peters, she's still in jail.
[01:10:47.199 --> 01:10:53.440]  And Tom Blanch is fighting to keep her in prison and wants to keep her in high security.
[01:10:53.760 --> 01:10:59.039]  So my point is, is that he was against letting out Jay Sixers.
[01:10:59.920 --> 01:11:06.960]  These guys are foaming at the mouth, elitist leftists going, oh, Alex Jones' friend's a horrible person.
[01:11:07.600 --> 01:11:08.880]  We don't protect him.
[01:11:10.720 --> 01:11:12.239]  Oh, little peasant down there.
[01:11:12.400 --> 01:11:13.600]  I mean, it's disgusting.
[01:11:13.920 --> 01:11:17.440]  So listen, it's not about me.
[01:11:18.079 --> 01:11:18.320]  Okay.
[01:11:19.119 --> 01:11:23.920]  It's that if obviously Todd Blanche wants to protect the FBI and DOJ because they ran this illegal crap against me.
[01:11:24.159 --> 01:11:25.280]  It's cover your ass time.
[01:11:26.000 --> 01:11:26.800]  And I waited a week.
[01:11:26.880 --> 01:11:28.400]  I said, well, they're just doing that to cover my ass.
[01:11:28.640 --> 01:11:30.000]  Let me see if he talks smack.
[01:11:30.320 --> 01:11:33.600]  Oh, he talks smack, which is good because I already knew what he was.
[01:11:33.920 --> 01:11:34.560]  And I'm like, good.
[01:11:34.720 --> 01:11:37.760]  You just, for everybody, just came out and said Alex Jones is scum.
[01:11:38.320 --> 01:11:38.880]  Good.
[01:11:39.760 --> 01:11:40.159]  Good.
[01:11:40.720 --> 01:11:41.840]  We already knew that.
[01:11:42.159 --> 01:11:43.199]  We already knew what you thought.
[01:11:43.440 --> 01:11:44.800]  You just told us who you are.
[01:11:45.039 --> 01:11:47.039]  Thanks for the confession, buddy boy.
[01:11:47.600 --> 01:11:51.760]  So you'll stack yourself up against me with the general public.
[01:11:52.079 --> 01:11:55.199]  And now everybody's investigating you and all the stuff's going to come out.
[01:11:55.520 --> 01:11:58.320]  And we're going to get rid of you up there.
[01:11:58.400 --> 01:11:59.600]  We're going to get better people in.
[01:11:59.840 --> 01:12:02.480]  And if they don't tell the line for the truth, we'll get rid of them too.
[01:12:02.720 --> 01:12:03.760]  It's called public pressure.
[01:12:04.000 --> 01:12:05.440]  You're like, oh, God, he's dangerous.
[01:12:05.520 --> 01:12:06.320]  He can indict you.
[01:12:06.560 --> 01:12:07.680]  They've already tried a whole bunch.
[01:12:07.760 --> 01:12:07.920]  Whatever.
[01:12:08.320 --> 01:12:11.440]  I've always been an active guy, training, pushing myself.
[01:12:11.760 --> 01:12:17.119]  But once I learned how caffeine forces your body into that fight-or-flight mode, I realized it was wrecking my recovery.
[01:12:17.360 --> 01:12:19.520]  I'd get the boost, but I couldn't really rest.
[01:12:19.840 --> 01:12:21.760]  That's when I came across methylene blue.
[01:12:22.000 --> 01:12:25.119]  It gives me clean energy, sharper focus, and I could still recover.
[01:12:25.360 --> 01:12:29.280]  Honestly, it changed everything for me in the gym, in business, and in life.
[01:12:29.600 --> 01:12:31.920]  Then I discovered alpha-lipoic acid.
[01:12:32.079 --> 01:12:37.119]  On its own, it's a strong nootropic boosting choline, which drives brain and body performance.
[01:12:37.440 --> 01:12:40.560]  But when you combine it with methylene blue, it's on another level.
[01:12:40.880 --> 01:12:45.920]  That's why I worked with the partner to create Magic Bullet, Methylene Blue plus ALA.
[01:12:46.159 --> 01:12:51.360]  For me, methylene blue was powerful on its own, but with ALA, it's the only way I do it now.
[01:12:51.680 --> 01:12:57.920]  Right now at bluevitality.com, you can pick up a full bottle of Magic Bullet for just $39.95.
[01:12:58.239 --> 01:13:01.920]  Use my promo code SJ to get 20% off the regular price.
[01:13:02.239 --> 01:13:07.119]  If you're serious about your training, your focus, or your recovery, this is the way to go.
[01:13:08.000 --> 01:13:08.560]  I don't care.
[01:13:08.720 --> 01:13:09.520]  Blow my head off.
[01:13:09.600 --> 01:13:10.400]  Do whatever you got to do.
[01:13:10.640 --> 01:13:11.680]  I'm not backing down.
[01:13:11.920 --> 01:13:12.480]  I'm committed.
[01:13:12.560 --> 01:13:13.440]  That's what commitment means.
[01:13:13.600 --> 01:13:16.239]  It means commitment, and it feels good.
[01:13:16.560 --> 01:13:17.360]  It's that simple.
[01:13:17.600 --> 01:13:18.159]  Damn.
[01:13:18.640 --> 01:13:24.400]  What do you think about the whole Charlie situation going on right now with all the people and all the question marks surrounding this?
[01:13:24.560 --> 01:13:27.280]  And a lot of people are not believing the narrative.
[01:13:27.600 --> 01:13:45.360]  Well, when I was up at Tucker's last Monday in Maine, first show, he was going to dinner that night about to jump on a jet up to Maine over to D.C. to have been over with the vice president and with Charlie's widow, Erica Kirk.
[01:13:46.239 --> 01:13:48.560]  And I was talking about all these things with him.
[01:13:48.640 --> 01:13:59.039]  And he said, well, the way Cash Patel and them haven't been releasing more videos and more documents and putting their narrative about, he's talked to him and Bongino, and they're like, well, we don't want to give the case up.
[01:13:59.199 --> 01:14:01.760]  And Tucker's been, his first job was a crime reporter.
[01:14:01.920 --> 01:14:04.640]  He goes, you guys always put out the narrative of what's there.
[01:14:04.800 --> 01:14:05.520]  That's not true.
[01:14:05.760 --> 01:14:09.520]  And he said, that's what's generating all of this.
[01:14:10.400 --> 01:14:15.920]  And, you know, he literally just had off record.
[01:14:16.159 --> 01:14:17.280]  God, they tell us so much stuff.
[01:14:17.520 --> 01:14:18.320]  I better just not say it.
[01:14:18.480 --> 01:14:20.239]  But the point is, Tucker's dialed into everything.
[01:14:20.400 --> 01:14:21.440]  I mean, I mean, everything.
[01:14:22.239 --> 01:14:24.320]  A little more than meets the eye with that guy.
[01:14:25.920 --> 01:14:27.840]  So he's like the secret.
[01:14:28.079 --> 01:14:28.880]  I mean, this is known now.
[01:14:29.039 --> 01:14:32.720]  He's like the secret U.S. ambassador of the world, flies around constantly.
[01:14:32.880 --> 01:14:39.280]  World leaders meet with Trump messages and basically does as much stuff as Witcoff does, trying to stop war.
[01:14:39.440 --> 01:14:40.640]  And he's dialed into everything.
[01:14:40.880 --> 01:14:46.480]  But he said that he's known Kirk's security team for many years.
[01:14:46.640 --> 01:14:47.520]  They're his security team.
[01:14:48.079 --> 01:14:48.880]  He goes out with them.
[01:14:50.079 --> 01:14:54.560]  He's known Erica Kirk since they got together.
[01:14:55.039 --> 01:14:55.760]  They're really good friends.
[01:14:55.920 --> 01:14:56.720]  I already knew this.
[01:14:57.360 --> 01:14:59.199]  JD Vance is good friends with them.
[01:14:59.280 --> 01:15:05.840]  When I was up at TPUSA last year, three months before Vance was announced, I was back there with Vance and Kirk in the green room.
[01:15:06.480 --> 01:15:07.119]  They called me in there.
[01:15:07.199 --> 01:15:10.320]  Oh, and I was talking to Vance's been a listener for a long time.
[01:15:10.640 --> 01:15:11.680]  And I was like, hey, I hear your problem.
[01:15:12.000 --> 01:15:12.880]  He goes, yeah, I got it.
[01:15:13.199 --> 01:15:14.720]  And even, he didn't even say, don't tell people.
[01:15:14.800 --> 01:15:16.079]  He's just, yeah, I got it.
[01:15:16.239 --> 01:15:16.720]  It's me.
[01:15:17.039 --> 01:15:18.239]  I was like, wow, that's the weird thing.
[01:15:18.320 --> 01:15:22.960]  Is they just, I'm like, I did ask this on record off-record.
[01:15:23.600 --> 01:15:26.400]  Someone hadn't put out and said, oh, J.D. Vance, he's got it.
[01:15:26.720 --> 01:15:34.800]  But they're all buddies back there drinking ginger ale and high-fiving and watching YouTube clips and X clips of people.
[01:15:35.119 --> 01:15:36.960]  Like, they're like us, Don Jr., all of them.
[01:15:37.520 --> 01:15:38.239]  I drink beer.
[01:15:38.480 --> 01:15:45.360]  And so, and so, I mean, these people are like goody tissues.
[01:15:45.520 --> 01:15:45.680]  Yeah.
[01:15:46.400 --> 01:15:49.840]  I mean, like, there's the rumor, oh, Don Jr. is a drug addict.
[01:15:50.720 --> 01:15:50.960]  No.
[01:15:51.280 --> 01:15:53.600]  I mean, Trump doesn't even like his kids drinking.
[01:15:54.239 --> 01:16:00.640]  So the point is, is that these are, I mean, Erica Trump is an actress.
[01:16:00.800 --> 01:16:03.440]  Erica Trump has done thousands of these events.
[01:16:03.600 --> 01:16:10.239]  So when her husband gets killed, she gets up and executes and does a great job for him because that's what you do in those times.
[01:16:10.560 --> 01:16:12.079]  And people go, God, it's so slick.
[01:16:12.159 --> 01:16:12.880]  It's so produced.
[01:16:13.039 --> 01:16:14.239]  What's what they do?
