# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:15.050 --> 00:00:15.509]  Alright, everybody.
[00:41:47.630 --> 00:41:50.389]  Marriage should be no different than if you want to join a fraternity.
[00:41:50.469 --> 00:41:52.090]  You want to be a Phi Delta Kappa?
[00:41:52.269 --> 00:41:53.550]  You don't go to the courthouse.
[00:41:53.550 --> 00:41:54.869]  You go to the frat house.
[00:41:54.969 --> 00:41:56.989]  And you pick up the peanuts with your ass cheeks.
[00:41:57.190 --> 00:42:00.389]  And your fucking half-gay friends beat you with an oiled enema bag.
[00:42:00.489 --> 00:42:01.869]  And you call it all good fun.
[00:42:01.969 --> 00:42:03.849]  But it's really fucking half-queer.
[00:42:03.949 --> 00:42:07.800]  But yeah, I don't know who am I. I got blown by a dude in a wig.
[00:42:08.000 --> 00:42:09.000]  It's an old story.
[00:42:09.119 --> 00:42:11.820]  The point is, it's got nothing to do with law.
[00:42:12.039 --> 00:42:13.519]  It's a fucking silly tradition.
[00:42:13.659 --> 00:42:15.360]  And if you want that, fine.
[00:42:15.639 --> 00:42:25.980]  If you want to get married, go down to your church or go to a Chuck E. Cheese and have them do a little Indian rain dance around you and sprinkle magic dust and then call it married.
[00:42:26.090 --> 00:42:27.289]  You're fucking half retarded.
[00:42:27.429 --> 00:42:30.969]  Whatever label you want to put on it, it should have nothing to do with law.
[00:42:31.230 --> 00:42:37.409]  A government should only look at you as an individual no matter what silly things you want to do in your off time.
[00:42:37.929 --> 00:42:41.479]  If marriage didn't exist, would you invent it?
[00:42:41.489 --> 00:42:46.429]  Would you ever look at her and go, shit, baby, this...
[00:42:51.750 --> 00:42:54.909]  This is way too powerful for just two people.
[00:42:55.230 --> 00:42:57.190]  We need regulation on this.
[00:42:57.349 --> 00:42:58.610]  We need some legislation.
[00:42:58.610 --> 00:43:00.110]  We need oversight.
[00:43:01.710 --> 00:43:04.030]  You wouldn't invent that, but someone did.
[00:43:04.269 --> 00:43:05.190]  Someone invented it.
[00:43:05.409 --> 00:43:09.469]  Someone invented marriage, and that person is an asshole.
[00:43:09.809 --> 00:43:10.210]  Yes.
[00:43:10.449 --> 00:43:11.889]  I don't know who he is.
[00:43:12.070 --> 00:43:15.409]  I've Google searched, trying to find the originator of this fucking idea.
[00:43:16.210 --> 00:43:18.250]  So I could urinate on his grave.
[00:43:19.010 --> 00:43:20.429]  Hopefully it would be cloudy.
[00:43:23.550 --> 00:43:24.469]  He invented it.
[00:43:24.570 --> 00:43:25.230]  You've got to do it.
[00:43:25.579 --> 00:43:27.128]  Now you have to do it or you're a dick.
[00:43:27.128 --> 00:43:28.608]  She'll go, you don't want it to.
[00:43:28.608 --> 00:43:39.809]  No, it's just kind of an illogical, "No, no, it's not that, it's just this, we're just perpetuating a bad, Boom!
[00:43:39.909 --> 00:43:41.690]  All of a sudden it's on the calendar one year.
[00:43:41.789 --> 00:43:43.090]  You used to be a good boss.
[00:43:44.519 --> 00:43:48.760]  For the sake of being a good boss, would someone put Secretary's Day one Tuesday a year?
[00:43:48.920 --> 00:43:52.000]  And if you don't show up with product now, you're a fucking asshole.
[00:43:52.239 --> 00:43:53.639]  He doesn't respect my work.
[00:43:53.739 --> 00:43:55.699]  I'm fucking quitting to pay for less shoes.
[00:43:56.840 --> 00:43:57.360]  Right?
[00:43:58.639 --> 00:44:06.519]  And there's nothing more horribly egotistical and boring and fucking horrifying than a wedding.
[00:44:06.719 --> 00:44:10.340]  Don't ever think that someone else wants to go see your wedding.
[00:44:10.800 --> 00:44:11.900]  Don't invite them.
[00:44:12.320 --> 00:44:16.960]  If you like your friends, say, I'm going to get married, so please check my mail.
[00:44:17.199 --> 00:44:19.840]  But don't show up, because it's fucking gross.
[00:44:20.000 --> 00:44:25.659]  A wedding is like watching two people make out on a bus for fucking six and a half hours.
[00:44:25.900 --> 00:44:28.059]  But you have to look at their tongues, though.
[00:44:28.059 --> 00:44:37.179]  It's like eliminate.
[00:44:56.599 --> 00:45:05.679]  And then you have to watch your buddy all fucking dressed up in white tails, because no one has any fashion sense on the guy's side, and he's reading poetry.
[00:45:06.269 --> 00:45:13.010]  Dumb, horrible shit he wrote on a cocktail napkin an hour ago, sweating at the fucking podium.
[00:45:13.909 --> 00:45:17.210]  This is what love and commitment mean to me.
[00:45:18.650 --> 00:45:28.869]  When I first met Jolene, my heart blossomed like a carnation in the April shower.
[00:45:29.010 --> 00:45:29.949]  And you're going, no!
[00:45:30.210 --> 00:45:31.070]  Don't do this!
[00:45:31.170 --> 00:45:31.730]  Shut up!
[00:45:32.329 --> 00:45:33.769]  Someone's filming this!
[00:45:33.849 --> 00:45:34.989]  Stop doing this, man!
[00:45:36.079 --> 00:45:45.360]  I'm going to be forced to be that privy to your most intimate emotions and details, your most intimate parts of your private life.
[00:45:46.090 --> 00:45:47.849]  I'd rather just watch you fuck.
[00:45:48.130 --> 00:45:49.389]  How about that for a wedding?
[00:45:49.630 --> 00:45:51.510]  Let's just watch you fuck for a wedding.
[00:45:51.630 --> 00:46:10.030]  It'll take about six minutes, and me and you and all the family will get right in there with miner's caps and spotlights, and we'll dig right in deep with the fucking stink and the heat rash, and we'll watch you fuck for six minutes until you blow a load, and then we'll all have a reception separately at the bars we enjoy.
[00:46:13.000 --> 00:46:21.280]  That would be a wedding that's way less disgusting than the one you use as your fucking three excuses for attention in life.
[00:46:21.559 --> 00:46:22.539]  Well, I graduated.
[00:46:22.699 --> 00:46:23.559]  Everyone came to that.
[00:46:23.900 --> 00:46:25.800]  Now I'm going to get married and everyone will come to that.
[00:46:26.000 --> 00:46:28.960]  Then I'll have a baby and everyone will look at it and give me a card.
[00:46:29.159 --> 00:46:31.320]  And then I will fucking wait to die.
[00:46:31.519 --> 00:46:34.840]  Because I get attention three times in my life according to our system.
[00:46:39.039 --> 00:46:40.019]  Fucking break out.
[00:46:40.199 --> 00:46:40.699]  Just seriously.
[00:46:40.920 --> 00:46:42.400]  Just go fucking run amok.
[00:46:44.480 --> 00:46:45.559]  Whatever it is.
[00:46:45.920 --> 00:46:46.360]  Live.
[00:46:49.300 --> 00:46:50.780]  That's my health care system.
[00:46:50.789 --> 00:46:52.000]  Fucking...
[00:46:55.300 --> 00:46:58.619]  Everyone over 60. Because they're really the ones eating it up.
[00:46:58.739 --> 00:46:58.980]  Right now?
[00:46:59.139 --> 00:47:01.340]  Alex and I. I'm going to have to fucking come to you on a lot of these.
[00:47:01.400 --> 00:47:02.820]  Because I don't know what I'm talking about.
[00:47:03.039 --> 00:47:04.880]  That's going to be part of my platform.
[00:47:05.179 --> 00:47:07.559]  Is I don't really know everything yet.
[00:47:08.960 --> 00:47:09.960]  But do you?
[00:47:10.079 --> 00:47:10.940]  So shut up.
[00:47:14.760 --> 00:47:14.920]  Fun.
[00:47:15.039 --> 00:47:15.559]  That's fun.
[00:47:15.719 --> 00:47:15.880]  Fun.
[00:47:15.980 --> 00:47:16.619]  What about fun?
[00:47:16.900 --> 00:47:17.320]  Right?
[00:47:17.940 --> 00:47:18.380]  Fun.
[00:47:19.059 --> 00:47:28.280]  I would vote for any candidate, even if you were lying, if you ran on a platform where at least one of the top five things was enjoying life.
[00:47:28.500 --> 00:47:28.639]  Fun.
[00:47:28.920 --> 00:47:29.360]  Fun.
[00:47:32.010 --> 00:47:34.210]  The lowest unemployment in the 90s.
[00:47:34.250 --> 00:47:36.670]  Then kill yourself because jobs suck.
[00:47:36.829 --> 00:47:42.550]  And now where's our candidate trying to build robots to do this shit for us so we don't have to go to work, right?
[00:47:42.690 --> 00:47:43.289]  How about that?
[00:47:43.469 --> 00:47:47.989]  The long-term goal of any society should be complete unemployment.
[00:47:48.300 --> 00:47:50.380]  That should be at least a long-term goal.
[00:47:50.639 --> 00:47:54.259]  Someone should be looking for a plan for no employment.
[00:47:54.338 --> 00:47:55.399]  These jobs are...
[00:48:10.069 --> 00:48:11.139]  Vote for me!
[00:48:18.570 --> 00:48:19.409]  Don't just pursue it.
[00:48:19.570 --> 00:48:20.230]  Cut it down.
[00:48:20.349 --> 00:48:20.929]  Cut it strong.
[00:48:21.150 --> 00:48:22.070]  Fuck it in the ass.
[00:48:22.429 --> 00:48:25.570]  And then try to find new ways of being happy.
[00:48:25.769 --> 00:48:27.610]  Because there's so few ways.
[00:48:27.730 --> 00:48:29.610]  I'm 37. I'm bored out of my pit.
[00:48:30.130 --> 00:48:30.550]  Right?
[00:48:31.530 --> 00:48:34.969]  I've done all the drugs except heroin.
[00:48:38.190 --> 00:48:39.110]  And I'm waiting.
[00:48:39.230 --> 00:48:40.789]  It's not like I have something against it.
[00:48:40.849 --> 00:48:43.010]  I'm just waiting until you're going to hold something back.
[00:48:43.050 --> 00:48:48.369]  As soon as I find out I'm terminally ill, I have fucking age or that.
[00:48:48.429 --> 00:48:50.530]  I'm going right to the fucking spike.
[00:48:52.030 --> 00:48:54.269]  It's not addictive because it sucks.
[00:48:56.050 --> 00:48:57.210]  I'm just holding out.
[00:48:57.489 --> 00:48:59.847]  I'm just trying to plan for the future.
[00:49:00.157 --> 00:49:04.838]  Girls are wild.
[00:49:04.849 --> 00:49:07.650]  Just saying, you need more drugs.
[00:49:07.999 --> 00:49:13.307]  The whole medicinal marijuana argument is just so weak because it's placating to the system.
[00:49:13.349 --> 00:49:21.429]  The reason they have It's none of your business.
[00:49:22.269 --> 00:49:28.469]  They have to do it in baby steps with the fucking medicinal because the problem in this country is old fucks vote.
[00:49:30.210 --> 00:49:31.809]  They have time to do that.
[00:49:32.210 --> 00:49:33.269]  We don't vote.
[00:49:33.429 --> 00:49:33.929]  We're young.
[00:49:34.110 --> 00:49:35.210]  We have shit to do.
[00:49:35.670 --> 00:49:39.070]  We can fucking work at the Home Depot and yell at comedy shows.
[00:49:39.190 --> 00:49:50.710]  The Nunes time to read a headline off the Old fucks have nothing to do with life anymore except judge you and vote.
[00:49:50.849 --> 00:49:52.030]  Those are the two things they do.
[00:49:52.210 --> 00:49:55.210]  They sit around miserable at the polls and they go, he's smiling.
[00:49:55.349 --> 00:49:55.750]  I don't care.
[00:49:56.309 --> 00:49:57.929]  I haven't smiled in years.
[00:49:58.090 --> 00:49:59.690]  Whatever he's doing, vote no on.
[00:49:59.829 --> 00:50:00.710]  He's about to do something.
[00:50:02.130 --> 00:50:06.250]  And they vote on shit they don't know about and they're fucking caught in the past.
[00:50:06.530 --> 00:50:07.730]  Oh, those were the good old days.
[00:50:07.829 --> 00:50:09.730]  They were only good because you were young.
[00:50:10.010 --> 00:50:11.369]  Now you're fucking old.
[00:50:11.530 --> 00:50:12.610]  The day wasn't good.
[00:50:12.769 --> 00:50:13.570]  Youth is good.
[00:50:13.750 --> 00:50:17.409]  You don't understand it, so you don't understand the youth of today, so you vote no.
[00:50:18.289 --> 00:50:20.289]  We're going to bring it back the way it used to be.
[00:50:20.949 --> 00:50:21.670]  Fuck you.
[00:50:22.989 --> 00:50:28.730]  That's why my health care plan, because the old people are fucking sucking up all that fucking money.
[00:50:29.349 --> 00:50:29.989]  I'm not.
[00:50:30.190 --> 00:50:32.510]  I have insurance and I don't fucking do it.
[00:50:33.550 --> 00:50:39.659]  My health care plan is for people over 60. Get all the free pain medication they need.
[00:50:40.199 --> 00:50:40.780]  That's it.
[00:50:42.820 --> 00:50:44.920]  Okay, take a bunch of these.
[00:50:46.639 --> 00:50:48.239]  We can fix that with surgery.
[00:50:48.440 --> 00:50:48.900]  No, no, no.
[00:50:50.280 --> 00:50:51.619]  Just give them a hand.
[00:50:55.599 --> 00:50:57.500]  About a $19,000 operation.
[00:50:57.659 --> 00:50:58.500]  We could give her a new hand.
[00:50:58.619 --> 00:51:04.008]  No?
[00:51:04.019 --> 00:51:05.559]  It's part of my health care plan.
[00:51:05.710 --> 00:51:07.070]  That's all I've figured out so far.
[00:51:07.070 --> 00:51:07.550]  Man.
[00:51:07.550 --> 00:51:08.250]  Yeah.
[00:51:08.250 --> 00:51:09.210]  Yeah.
[00:51:09.210 --> 00:51:10.250]  Accident.
[00:51:12.650 --> 00:51:14.230]  I'm getting back to drugs.
[00:51:14.369 --> 00:51:16.650]  The point is, we need to work on new drugs.
[00:51:16.789 --> 00:51:20.369]  I smoked DMT, and that was something that you said up front, Alex, that made me think of it.
[00:51:20.889 --> 00:51:26.429]  I wouldn't recommend it to anyone but the most hardcore trippers, because it's really fucked up, and you really do.
[00:51:26.590 --> 00:51:28.550]  Oh, that's what it was, the atheist remark.
[00:51:28.550 --> 00:51:29.289]  I'm an atheist.
[00:51:29.469 --> 00:51:30.570]  No, I don't know yet.
[00:51:30.750 --> 00:51:32.760]  And that's when I smoked DMT with Rogan.
[00:51:32.769 --> 00:51:34.148]  It was the most...
[00:51:34.359 --> 00:51:39.329]  DMT dimethyltryptamine is the most powerful hallucinogen known to man.
[00:51:39.329 --> 00:51:48.438]  And it's about a 10 minute trip where I understood the meaning of life as though it was as cliched as a fucking baby on board bumper sticker and I'm doing it.
[00:51:48.449 --> 00:51:49.048]  Oh, okay.
[00:51:49.048 --> 00:51:56.329]  As I remember, I met Rogan doing that stupid fucking thing I did.
[00:51:56.809 --> 00:51:59.949]  There's tribes in the third world, fourth world.
[00:52:00.320 --> 00:52:04.119]  Amazon tribes that still believe that a camera can steal your soul.
[00:52:04.320 --> 00:52:07.780]  And I always thought that was ridiculous until I did the man show.
[00:52:09.800 --> 00:52:11.239]  Now, see what you mean.
[00:52:11.239 --> 00:52:21.120]  So me and Rogan, are we having to write monologues for the man show up at his fucking palatial Scarface estate before I head back to my one-room?
[00:52:21.120 --> 00:52:25.990]  We're trying to write these fucking monologues and trying to write them...
[00:52:30.519 --> 00:52:32.360]  And he's going, I got the DMT, you want to try it?
[00:52:32.500 --> 00:52:33.820]  And I go, fuck it, let's do it.
[00:52:33.920 --> 00:52:45.119]  And so I smoke this shit, and I'm literally, immediately blown into the center of the universe, and I'm there, and I'm honestly watching all information being sucked through a black hole as data.
[00:52:45.280 --> 00:52:51.320]  It's all being sucked as data, and several lines being sucked, and I understand the meaning of life, and I understand what it's all about.
[00:52:52.289 --> 00:52:52.730]  Everything.
[00:52:52.929 --> 00:52:55.170]  I know everything, and it's true.
[00:52:56.309 --> 00:53:06.510]  The difference between a good drug and a bad drug is a bad drug, the ideas that you have while you're doing it wear off the next day, and a good drug, that stays with you.
[00:53:06.610 --> 00:53:13.210]  You can get fucked up, drink all sorts of tequila and gangbikes and go, "Fuck it, dude, let's drive down to Central America!
[00:53:13.329 --> 00:53:13.889]  Why not?
[00:53:14.250 --> 00:53:26.578]  Fuck it!" "Comic said quit your job, you know what, he touched something in me, so I'm gonna fucking..." What do I do?
[00:53:26.670 --> 00:53:39.210]  And that's bad, but a good drug, like you can do acid and you fucking have fucked up thoughts and you're watching your dog and you swear he's communicating through you to you with just mere eye contact.
[00:53:39.210 --> 00:53:44.539]  And it's true, but even when the drug wears off.
[00:53:47.420 --> 00:53:48.579]  You know me, motherfucker.
[00:53:48.940 --> 00:53:49.260]  All right.
[00:53:50.619 --> 00:53:52.159]  There's a truth to the drug.
[00:53:52.420 --> 00:54:05.470]  So I'm at the center of the universe watching all this fucking information and I know the meaning of life, it's rote and it's a 10 minute trip and I come out of it and Rogan's big fucking head is...
[00:54:17.420 --> 00:54:19.239]  We're back to writing man show bombs.
[00:54:22.480 --> 00:54:24.300]  How about a Juggie joke here?
[00:54:25.119 --> 00:54:35.699]  The point is, they should be working on some shit you don't need to know about life.
[00:54:38.340 --> 00:54:43.480]  Like, a lot of your conspiracies, Alex, knowing doesn't help.
[00:54:43.980 --> 00:54:49.179]  It's just some bullshit that, yeah, if you want to find all the bullshit in the world, go talk to some chicks.
[00:54:49.340 --> 00:54:52.650]  I said, yeah, no, honey, that's just a fucking birthmark.
[00:54:52.699 --> 00:54:58.900]  And you might uncover a fucking conspiracy, but it's not going to make really...
[00:55:00.800 --> 00:55:03.559]  I get into that shit, and you're like, oh, this is fucked up.
[00:55:03.719 --> 00:55:06.599]  And then I was just angry.
[00:55:06.760 --> 00:55:08.079]  I wasn't enjoying life at all.
[00:55:08.199 --> 00:55:09.019]  I'm just always angry.
[00:55:09.179 --> 00:55:09.739]  That's fucked up.
[00:55:09.800 --> 00:55:10.360]  That's fucked up.
[00:55:11.309 --> 00:55:15.809]  Most of it doesn't really matter when you get a fucking go of boxes at the UPS.
[00:55:17.050 --> 00:55:18.030]  Some of it does.
[00:55:19.610 --> 00:55:20.090]  Same.
[00:55:20.210 --> 00:55:21.789]  We need to work on having more fun.
[00:55:22.110 --> 00:55:26.989]  We need more drugs, more places to do drugs, better places to drink.
[00:55:26.989 --> 00:55:29.970]  Can we drink somewhere that's not just a fucking...
[00:55:34.659 --> 00:55:37.440]  How about drinking a bar and a go-kart track?
[00:55:37.900 --> 00:55:39.099]  Let's go get fucked up.
[00:55:39.340 --> 00:55:41.760]  Or just anything that'd make life less boring.
[00:55:41.920 --> 00:55:45.719]  I'm running out of ideas and I'm only 37 and I'm bored all the time.
[00:55:45.980 --> 00:55:47.219]  Let's make it weird.
[00:55:48.059 --> 00:55:49.659]  You know what you ladies need?
[00:55:50.280 --> 00:55:51.199]  More holes.
[00:55:51.460 --> 00:55:52.420]  Can you work on that?
[00:55:52.679 --> 00:55:54.420]  Possibly a few more holes.
[00:55:54.639 --> 00:55:56.860]  Is there anywhere I haven't stuck my dick yet?
[00:55:57.150 --> 00:55:58.530]  I'm running out of ideas.
[00:55:58.750 --> 00:56:00.909]  I'm not as creative as you might think.
[00:56:01.630 --> 00:56:02.949]  Cloning, good thing.
[00:56:03.170 --> 00:56:05.670]  Well, no, medical science isn't advanced enough.
[00:56:05.829 --> 00:56:06.949]  We can have mutations.
[00:56:07.269 --> 00:56:07.750]  Perfect!
[00:56:08.769 --> 00:56:09.250]  Mutations.
[00:56:09.489 --> 00:56:20.369]  Maybe you spit out a little genetically altered girl baby out of your otherwise barren womb, and she shows up with 44 holes all over her body.
[00:56:20.530 --> 00:56:22.250]  And you go, it's a mistake!
[00:56:22.449 --> 00:56:23.849]  And I go, no, it's perfect!
[00:56:25.739 --> 00:56:30.719]  Get down, Jackson, because now a long-term commitment is a viable option.
[00:56:30.940 --> 00:56:35.139]  Maybe tilt that do us part with the 44 holes.
[00:56:35.659 --> 00:56:40.298]  It's going to take a long time to play through on that course.
[00:56:40.298 --> 00:56:41.958]  Give me a carton of candy, baby.
[00:56:41.958 --> 00:56:43.298]  Because I want...
[00:56:46.139 --> 00:56:47.000]  Rotations are good.
[00:56:47.119 --> 00:56:48.820]  They had this fucking two-headed baby.
[00:56:49.059 --> 00:56:51.880]  Hang on, I have to check the time so I can close appropriately.
[00:56:52.539 --> 00:56:53.719]  Ooh, and this might be it.
[00:56:53.920 --> 00:56:55.300]  This two-headed baby.
[00:56:57.500 --> 00:56:58.920]  Not the one three days ago.
[00:56:59.019 --> 00:57:07.099]  There's been five two-headed babies that they brought to the States to try to separate because these doctors, evidently, we have good two-headed baby doctors.
[00:57:07.539 --> 00:57:11.320]  Because all these two-headed babies are coming from fucking Central America, but they're good.
[00:57:11.559 --> 00:57:13.280]  I mean, I appreciate a two-headed baby.
[00:57:13.880 --> 00:57:21.039]  The Siamese twins, not the hackneyed ones, the old ones I'm bored with, the ones you see in fucking Guinness Book where they're attached at the liver.
[00:57:21.300 --> 00:57:21.739]  Boring.
[00:57:22.840 --> 00:57:23.880]  Yeah, boring.
[00:57:24.460 --> 00:57:25.719]  Hack freak.
[00:57:26.840 --> 00:57:29.139]  It's like having a bearded lady-baby.
[00:57:29.300 --> 00:57:30.840]  Come on, we've seen it a million times.
[00:57:31.000 --> 00:57:32.340]  Shave it and bring me stuff new.
[00:57:32.549 --> 00:57:41.778]  But the last two, the last one three days ago was like a fucking push me, pull you one where it's the two heads are, they're feet at opposite end.
[00:57:41.778 --> 00:57:43.539]  And it's like a, you know.
[00:57:43.548 --> 00:57:48.159]  But there was the one three months ago, it was the most beautiful thing.
[00:57:50.961 --> 00:57:53.562]  Give me one clap if you know this one.
[00:57:55.090 --> 00:57:58.590]  The top head is coming out of the bottom.
[00:57:58.590 --> 00:58:00.620]  The bottom head is like a...
[00:58:02.829 --> 00:58:06.849]  It's a girl, totem pole head, girl baby.
[00:58:07.670 --> 00:58:09.610]  It's like a townhouse head.
[00:58:10.289 --> 00:58:13.289]  And they bring it to the States to try to separate it.
[00:58:13.449 --> 00:58:15.449]  Don't separate it, leave it alone.
[00:58:15.449 --> 00:58:17.347]  How fucking happy would I be?
[00:58:17.351 --> 00:58:18.891]  to meet her at the end of the night.
[00:58:18.891 --> 00:58:20.070]  What am I going to do?
[00:58:22.909 --> 00:58:23.610]  I did that.
[00:58:23.809 --> 00:58:28.530]  At the end of the night, I was just poorer and I could have fucking jacked and had the same effect.
[00:58:28.670 --> 00:58:32.869]  What a two-headed townhouse, top-headed, duplex-headed baby.
[00:58:33.010 --> 00:58:35.170]  That would be something I would carry for life.
[00:58:35.389 --> 00:58:37.329]  And you've never won up me, motherfucker.
[00:58:37.590 --> 00:58:41.409]  But they tried to cut it apart and play God and they killed both of them.
[00:58:41.690 --> 00:58:43.369]  And you go, what, did you fucking leave it alone?
[00:58:43.610 --> 00:58:45.070]  They had to cut it apart.
[00:58:46.599 --> 00:58:54.860]  When you hear the story, you understand, because the top head had an underdeveloped brain, and they had to try to cut top head off.
[00:58:55.000 --> 00:58:57.980]  Well, they had to cut top head off if they're cutting one anyway.
[00:58:58.239 --> 00:59:02.219]  It's not like you can cut off the bottom head and move the top one down.
[00:59:02.940 --> 00:59:06.300]  That's just showboating in the old OR, right?
[00:59:07.139 --> 00:59:12.679]  But the top head had little formed eyes and lips, but the fucking brain was, yay!
[00:59:13.739 --> 00:59:14.360]  Yeah, it's gone.
[00:59:14.599 --> 00:59:16.300]  And you can't do that to the low head.
[00:59:16.420 --> 00:59:17.119]  That's just wrong.
[00:59:19.509 --> 00:59:29.369]  I mean, I have friends who work with the developmentally disabled, but that's eight hours a day on their own accord, and that's fucking stressful enough.
[00:59:29.378 --> 00:59:36.759]  You can't just fucking paste a retard right onto someone's head for their whole life without their consent, because that's...
[00:59:48.179 --> 00:59:50.679]  She's drooling Cheerios, I'll let her name.
[00:59:50.679 --> 00:59:53.778]  You're a happy mom!
[00:59:54.880 --> 00:59:58.420]  So they had to cut her apart and they killed both of them.
[00:59:58.539 --> 01:00:04.820]  And now I'll never fucking have any chance of meeting that upstairs, downstairs headed girl.
[01:00:05.469 --> 01:00:06.769]  End of my show.
[01:00:07.449 --> 01:00:08.670]  DVD for you?
[01:00:08.869 --> 01:00:11.230]  That's free, my little lovely ladies.
[01:00:14.050 --> 01:00:25.039]  Fuck you, you wouldn't do that one time if you're a last call at fucking emo's and all the fucking hot chicks she's lost and she's dumped you for being a fucking...
[01:00:33.360 --> 01:00:37.059]  Just to say you had that menage a trois that you always wanted.
[01:00:37.059 --> 01:00:38.840]  They don't have to know the details.
[01:00:39.340 --> 01:00:40.320]  They were twins.
[01:00:40.519 --> 01:00:41.440]  That's all I'm saying, dude.
[01:00:41.579 --> 01:00:42.059]  They're twins.
[01:00:42.239 --> 01:00:43.239]  I don't want to kiss and tell.
[01:00:45.920 --> 01:00:51.579]  You'd have to get the blowjob in the upside down position with you on top.
[01:00:52.130 --> 01:00:56.630]  Because that way your balls would muffle the cries of the retarded one.
[01:00:56.750 --> 01:00:59.670]  Because you can't get a nut in a public arena.
[01:00:59.730 --> 01:01:00.989]  You're just trying to concentrate.
[01:01:01.110 --> 01:01:04.949]  They're going to come before someone comes in and you get the spastic down and everything.
[01:01:06.150 --> 01:01:09.389]  Man, I want to go to swing sets.
[01:01:09.710 --> 01:01:11.110]  I like the swing set.
[01:01:11.610 --> 01:01:15.610]  So you get on top like this and then you get the egg bag.
[01:01:15.610 --> 01:01:27.579]  At least until you nut and then you give her a fucking lollipop or a yo-yo and everyone's happy.
[01:01:27.590 --> 01:01:37.949]  It's not like you can get the blowjob in the orthodox 69 kneeling position just standing there because then you get the fucking rubber head looking up at y 'all.
[01:01:37.949 --> 01:01:53.509]  wall-eyed.
[01:01:53.509 --> 01:01:53.608]  Do you like me?
[01:01:53.519 --> 01:01:54.300]  My sister?
[01:01:55.900 --> 01:01:56.420]  No!
[01:01:56.880 --> 01:01:59.079]  Of course I like your sister!
[01:01:59.539 --> 01:02:00.300]  Look down!
[01:02:00.699 --> 01:02:01.860]  Alright, I gotta go.
[01:02:02.019 --> 01:02:03.920]  We have fucking drinking to do another place here.
[01:02:04.159 --> 01:02:06.500]  I'll see you out front if you want that new CDB.
[01:02:06.980 --> 01:02:08.780]  Thank you very much.
[01:02:09.019 --> 01:02:09.940]  Jamie Kilstein.
[01:02:10.460 --> 01:02:12.199]  Take them home for nothing.
