[00:00:00.069 --> 00:00:00.450]  Free!
[00:49:07.400 --> 00:49:12.905]  If they were going to build up an infrastructure, if they were going to build roads and factories, presumably that could...
[00:49:13.385 --> 00:49:16.486]  build up their economy and they might be able to pay back those debts.
[00:49:16.566 --> 00:49:20.067]  But the IMF was accused of rent-seeking.
[00:49:20.107 --> 00:49:23.267]  In other words, trying to make these people debtors to them.
[00:49:23.307 --> 00:49:28.488]  They were increasing their indebtedness by up to 20% each year in the third world countries.
[00:49:29.069 --> 00:49:30.169]  So how did that look?
[00:49:30.269 --> 00:49:35.690]  Well, we've talked about on Friday what was going on in Venezuela, for example, the socialist people's paradise.
[00:49:35.730 --> 00:49:39.531]  And of course, if you want to bankrupt a country using a welfare system,
[00:49:40.331 --> 00:49:44.153]  No better way to do it than with a socialist like Chavez.
[00:49:44.193 --> 00:49:52.818]  Now, Hugo Chavez, Bloomberg likes to point out, kept up payments to bondholders, allowing them to reap returns of 692% during his 14-year tenure.
[00:49:56.820 --> 00:49:57.360]  Do you get that?
[00:49:57.821 --> 00:50:08.890]  This is Bloomberg.com bragging about the fact that this communist, Hugo Chavez, who you would think might be somebody that these capitalists wouldn't like, they love him.
[00:50:09.030 --> 00:50:09.291]  Why?
[00:50:09.371 --> 00:50:10.372]  Because he works with them.
[00:50:10.412 --> 00:50:11.312]  Because they got 700% profits.
[00:50:15.076 --> 00:50:15.456]  700% profits.
[00:50:15.496 --> 00:50:17.597]  Now, it's not much better after he left.
[00:50:17.657 --> 00:50:20.980]  His successor now is in debt to these banks.
[00:50:21.060 --> 00:50:21.781]  And what's happening?
[00:50:21.821 --> 00:50:26.664]  Well, his people are going without drinking water, drinking water, and medicine.
[00:50:26.684 --> 00:50:31.147]  They're having to go to other countries in order to get water, in order to get medicine.
[00:50:31.528 --> 00:50:31.828]  Why?
[00:50:32.328 --> 00:50:39.173]  Because, as they point out, this is a quote from Barclays, the government's priority is to pay their sovereign debt.
[00:50:39.654 --> 00:50:42.136]  In other words, this socialist government
[00:50:42.896 --> 00:50:46.706]  is going to pay off the bankers loans before
[00:50:47.884 --> 00:50:50.206]  Their people get water or medicine.
[00:50:50.967 --> 00:50:52.428]  That's the way that it works.
[00:50:52.929 --> 00:51:00.615]  You think that socialism is the opposite of this kind of crony capitalism, this kind of fascist capitalism that we're seeing here in America?
[00:51:00.696 --> 00:51:00.956]  No.
[00:51:01.376 --> 00:51:03.998]  It's the way that they roll that out.
[00:51:04.439 --> 00:51:06.100]  And we see that happening in Venezuela.
[00:51:06.140 --> 00:51:07.682]  We see it happening throughout Central America.
[00:51:07.702 --> 00:51:12.826]  So these poor people who are now coming to America because the bankers have imploded their country,
[00:51:13.627 --> 00:51:17.509]  They're now coming in and thinking that they're going to be able to get a free ride here.
[00:51:17.569 --> 00:51:18.550]  Well, you know what?
[00:51:19.571 --> 00:51:23.233]  You can have, just like they say, you know, good, fast and cheap, pick any two.
[00:51:23.593 --> 00:51:25.374]  Well, sometimes you can't even get two of those.
[00:51:25.414 --> 00:51:26.775]  Sometimes you can't even get one of those.
[00:51:27.495 --> 00:51:31.718]  You cannot have a welfare state and open borders.
[00:51:32.098 --> 00:51:32.719]  You can't have it.
[00:51:33.579 --> 00:51:36.161]  Even if you think that you can run a welfare state,
[00:51:37.102 --> 00:51:40.585]  As Margaret Thatcher pointed out, eventually you run out of other people's money.
[00:51:40.926 --> 00:51:50.435]  Or, eventually what happens is the bankers loan you the money and bankrupt your country as they make 700% return on their investment as they did in Venezuela.
[00:51:50.695 --> 00:51:57.521]  Working with the guy who's defending the people, the guy who was on the people's side against the big corporations.
[00:51:57.822 --> 00:51:58.382]  Yeah, right.
[00:51:58.943 --> 00:51:59.183]  Right.
[00:51:59.443 --> 00:52:01.325]  Paying those big corporations 700% return on their investment.
[00:52:02.666 --> 00:52:07.248]  So, you can't have, though, you can't have a welfare state and open borders.
[00:52:08.088 --> 00:52:10.709]  At best, you could pick one, but you can't have both.
[00:52:11.109 --> 00:52:16.171]  This is a deliberate policy to destroy the United States, and people understand that.
[00:52:16.391 --> 00:52:17.251]  Many people understand it.
[00:52:17.631 --> 00:52:19.992]  Governor Brewer understands it, from Arizona.
[00:52:20.970 --> 00:52:24.432]  As I said before, a thousand illegal immigrant children will be dumped in Arizona.
[00:52:24.452 --> 00:52:25.593]  Of course, they're coming from Texas.
[00:52:26.153 --> 00:52:27.374]  They shouldn't be here in Texas.
[00:52:28.215 --> 00:52:40.363]  She said, this is a crisis of the federal government's creation and the fact that the border remains unsecure, now apparently intentionally, intentionally, while this operation continues, full steam ahead, is deplorable.
[00:52:40.603 --> 00:52:50.530]  She said she was informed by federal officials that not only has the government been shipping these illegal immigrants out of Texas and into Arizona, but it has no plans to stop.
[00:52:51.270 --> 00:52:55.916]  See, it's an arrogant, in-your-face takedown of our country.
[00:52:56.377 --> 00:52:58.760]  It's not something that's going to help these children either.
[00:52:59.741 --> 00:53:03.446]  But before I get into that aspect of it, let me give you an idea of the magnitude of it.
[00:53:03.887 --> 00:53:08.352]  Now, this is a memo that was leaked, a four-page memo by the Deputy Border Patrol Chief.
[00:53:09.298 --> 00:53:18.590]  Dated May 30th, that contradicts the Obama administration's assertion that the border is secure enough so they can now start legalizing current illegal aliens in the United States.
[00:53:18.970 --> 00:53:23.976]  Now according to this memo from the Deputy Border Patrol Chief, he says that
[00:53:25.020 --> 00:53:35.206]  He estimates that agents, officers, and others will apprehend more than 90,000 unaccompanied children on the border this year, rising to 142,000 next year.
[00:53:36.066 --> 00:53:37.067]  Last year, there were 40,000.
[00:53:38.387 --> 00:53:41.569]  So they're looking at this roughly tripling in two years.
[00:53:42.149 --> 00:53:46.252]  And they say, of course, chiefly they're coming from Guatemala, Honduras, El Salvador.
[00:53:46.712 --> 00:53:49.753]  They're usually fleeing horrendous poverty or gang violence.
[00:53:50.894 --> 00:53:52.356]  Where does the horrendous poverty come from?
[00:53:52.416 --> 00:54:00.183]  It comes from the fact that people like Venezuela and other Central American countries have indebted themselves to these bankers.
[00:54:00.483 --> 00:54:02.425]  As I pointed out, 700% return on investment.
[00:54:04.690 --> 00:54:18.814]  Hugo Chavez gave to these bankers while their people starve in the kind of poverty that makes them try anything, including traveling across these dangerous areas and dumping their children in the United States in the vain hope that they're going to be better off here.
[00:54:19.094 --> 00:54:20.575]  It says they brave harsh conditions.
[00:54:20.895 --> 00:54:26.256]  In the case of the girls, they often face being raped during their journey through Mexico and across the U.S.
[00:54:26.296 --> 00:54:26.556]  border.
[00:54:26.576 --> 00:54:27.057]  Well, guess what?
[00:54:27.097 --> 00:54:28.177]  When they get into America,
[00:54:29.099 --> 00:54:31.862]  It's going to get even worse in many cases.
[00:54:32.303 --> 00:54:36.347]  A story breaking out of Virginia today on the DCClothesline.com.
[00:54:36.367 --> 00:54:41.493]  A Virginia congressman admits to the existence of child trafficking in Fairfax County, Virginia.
[00:54:41.513 --> 00:54:48.221]  Of course, that's right around the Washington DC area, of course, and we know how many times there have been links
[00:54:48.661 --> 00:54:56.024]  With high government officials, not just the American government, but many governments, with child trafficking, child sex rings.
[00:54:56.424 --> 00:55:04.207]  In this particular article, he talks about a State Department employee with a security clearance, a Monica Wesolowski, I think is how you pronounce the name.
[00:55:04.467 --> 00:55:06.248]  She had her child stolen by CPS.
[00:55:06.688 --> 00:55:10.710]  They never charged her or convicted her for any wrongdoing as a parent.
[00:55:11.210 --> 00:55:23.141]  But because she talked about it to the media, the Virginia Department of Family Services has called her now unstable to take revenge because she talked about them taking her child even though they never
[00:55:24.122 --> 00:55:28.926]  Never charged with anything, even though she's somebody that has security clearance from the State Department.
[00:55:29.346 --> 00:55:38.493]  So now they've said that she's unstable, they're placing her son, that she placed her son in danger by going to the media, so they're going to totally strip her of any visitation rights.
[00:55:39.033 --> 00:55:41.775]  Now, this person who's writing this article, this is
[00:55:42.856 --> 00:55:53.924]  Dave Hodges says, I have two former Virginia CPS workers who tell me that it's the goal of Virginia CPS to remove as many kids as possible and that evidence is fabricated.
[00:55:53.984 --> 00:55:55.585]  Papers are forged to this end.
[00:55:56.025 --> 00:55:58.427]  One of those sources is going public sometime in July.
[00:55:58.827 --> 00:56:10.835]  Prior investigations like those of the late Nancy Schaefer claim that children simply go missing from the care of various CPS's and that these children end up in child sex trafficking rings like the ones identified by Nick Bryant
[00:56:11.235 --> 00:56:13.417]  The author of the Franklin Scandal.
[00:56:13.778 --> 00:56:22.185]  And then he points out that Wells Fargo, Wachovia was caught in sex trafficking of children and paid $400 million in fines.
[00:56:22.245 --> 00:56:25.368]  But of course, nobody in that bank went to jail.
[00:56:25.789 --> 00:56:28.751]  And then of course, DynCorp with ties to the Republicans.
[00:56:29.372 --> 00:56:34.234]  Was also caught doing the same thing, and they paid a large fine, but again, nobody went to jail.
[00:56:34.294 --> 00:56:36.415]  We've been talking about this for a long time.
[00:56:36.595 --> 00:56:40.317]  Alex has talked about this over and over and over again.
[00:56:40.737 --> 00:56:52.302]  So it breaks my heart to see people bringing their children across, exposing them to these dangers, dumping them in the United States, just as I pointed out, like parents were doing at Hong Kong Disneyland when they couldn't get in.
[00:56:52.582 --> 00:56:56.024]  They just put their children over the fences, and here, have a good time.
[00:56:56.284 --> 00:56:57.144]  That's what they're doing.
[00:56:57.484 --> 00:56:58.425]  You can't do that.
[00:56:59.161 --> 00:57:01.723]  This is a very dangerous world.
[00:57:02.063 --> 00:57:03.665]  This is a very dangerous country.
[00:57:04.185 --> 00:57:07.988]  We've had, over and over again, exposures of child sex trafficking.
[00:57:09.029 --> 00:57:13.113]  They also are going to become minions of the federal government.
[00:57:13.153 --> 00:57:16.676]  They're going to see the government as their savior, as their daddy.
[00:57:17.768 --> 00:57:23.395]  This has always been the dream of every tyrannical government going back to Plato's Republic.
[00:57:23.715 --> 00:57:24.977]  He wanted to destroy the family.
[00:57:25.017 --> 00:57:27.980]  He wanted the children to see the government as their only family.
[00:57:28.401 --> 00:57:35.349]  What's going to happen with these children who have no family, no cultural connection, except to the government that they see as their benefactor?
[00:57:36.050 --> 00:57:40.491]  That is what Obama and the people who want to take this country down want.
[00:57:41.091 --> 00:57:47.793]  They want these children to see the government as their family, as their benefactor, as their protector, as their God.
[00:57:48.513 --> 00:57:49.634]  That's why they're doing this.
[00:57:49.834 --> 00:57:50.614]  We're going to break it out.
[00:57:50.854 --> 00:57:51.674]  There's more to this.
[00:57:51.754 --> 00:57:54.155]  Alex Jones is going to be with us in the next segment.
[00:57:54.175 --> 00:57:54.675]  Stay tuned.
[00:58:00.160 --> 00:58:04.123]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:58:04.163 --> 00:58:08.266]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:58:08.526 --> 00:58:11.929]  What are the health effects of having these drugs in our drinking water?
[00:58:12.189 --> 00:58:15.051]  It's forced medical treatment without the consent of residents.
[00:58:15.231 --> 00:58:22.557]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:58:22.777 --> 00:58:26.438]  On average, the county says it sprays with the glyphosate at least once a week.
[00:58:26.699 --> 00:58:30.940]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[00:58:31.120 --> 00:58:37.043]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:58:37.083 --> 00:58:40.864]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:58:41.024 --> 00:58:43.565]  It is our responsibility to protect our families.
[00:58:43.765 --> 00:58:45.106]  The establishment's not going to do it.
[00:58:45.266 --> 00:58:46.486]  It's time to take action.
[00:58:46.646 --> 00:58:48.287]  It's time to filter our water.
[00:58:48.447 --> 00:58:55.613]  Visit InfowarsStore.com and use promo code WATER to get 10% off their entire family of incredible products.
[00:58:55.833 --> 00:58:57.075]  Or call toll free at 888-253-3139.
[00:59:00.970 --> 00:59:02.711]  Hi, I'm Dr. Edward Group.
[00:59:03.252 --> 00:59:10.196]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:59:10.676 --> 00:59:21.103]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:59:21.524 --> 00:59:30.730]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:59:31.470 --> 00:59:34.892]  It's the strongest nascent iodine on the market today.
[00:59:35.532 --> 00:59:38.953]  It delivers 650 micrograms per drop.
[00:59:39.293 --> 00:59:40.834]  Experience the new formula.
[00:59:41.354 --> 00:59:43.315]  Experience the ancient purity.
[00:59:43.915 --> 00:59:44.876]  Shield your family.
[00:59:45.256 --> 00:59:46.636]  Survival Shield X2.
[00:59:47.077 --> 00:59:49.678]  Available now at Infowarslife.com.
[00:59:50.238 --> 00:59:54.200]  X2 from Infowarslife.com or call toll free 888-253-3139.
[01:00:01.013 --> 01:00:02.174]  Coast to Coast.
[01:00:02.534 --> 01:00:03.875]  Direct from Austin.
[01:00:04.595 --> 01:00:08.677]  You're listening to the Alex Jones Broadcasting Network.
[01:00:11.599 --> 01:00:17.642]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:18.222 --> 01:00:21.204]  It's Alex Jones and the GCN Radio Network.
[01:00:25.540 --> 01:00:26.901]  Welcome back to the Alex Jones Show.
[01:00:26.961 --> 01:00:27.581]  I'm David Knight.
[01:00:27.601 --> 01:00:30.303]  We're going to be joined in just a little bit by Alex Jones.
[01:00:30.363 --> 01:00:40.409]  He's going to break down what I've been talking about in the last segment, and that is the uncontrolled immigration of unaccompanied alien children, as Homeland Security labels it.
[01:00:40.809 --> 01:00:42.610]  Unaccompanied alien children.
[01:00:42.630 --> 01:00:43.090]  In other words...
[01:00:44.111 --> 01:00:56.643]  Parents in Central and South America, where the globalists have already gone in, collapsed the economy there, giving massive returns to the bankers who are running those countries, putting them into debt.
[01:00:56.703 --> 01:00:59.826]  As we've seen, going back to the days of Robert McNamara at the World Bank,
[01:01:00.326 --> 01:01:06.048]  Where they were increasing the debt of these third world countries by up to 20% a year.
[01:01:06.409 --> 01:01:08.970]  Essentially trying to take control of everything.
[01:01:09.030 --> 01:01:12.651]  Creating a new feudalism where no one owned anything.
[01:01:12.691 --> 01:01:21.275]  Now of course we were told that the socialist revolutions were going to push back against that kind of rent seeking, that kind of neo-colonialism.
[01:01:21.335 --> 01:01:23.455]  But then we look at somebody like Hugo Chavez.
[01:01:23.495 --> 01:01:27.117]  He's the one that Bloomberg is talking about giving a 700% return to the bankers.
[01:01:29.998 --> 01:01:37.823]  And at the same time his successor is paying off, Barclays is bragging about how they're going to take care of their sovereign debt first.
[01:01:38.223 --> 01:01:44.607]  Even though they've had over 40 people die because they can't get water in just the last couple months.
[01:01:44.627 --> 01:01:46.428]  They can't get water, they can't get medicine.
[01:01:46.648 --> 01:01:52.592]  They have to leave that country, that socialist paradise where they were told that all this was being done for the little man.
[01:01:52.912 --> 01:01:57.755]  They were pushing back against the big corporations, against the big multinational corporations and bankers and yet
[01:01:58.255 --> 01:02:02.621]  Those are the ones who are benefiting, just as we see here in America with Obamacare.
[01:02:03.282 --> 01:02:09.010]  That it's the large corporations who are benefiting at the expense of the middle class, at the expense of the lower class.
[01:02:09.431 --> 01:02:12.575]  People who can no longer get jobs at the lower end because
[01:02:13.416 --> 01:02:23.730]  The companies cannot afford to keep them on as full-time employees, cutting their hours, maybe cutting their jobs entirely, because they're having to buy insurance policies that cover everything.
[01:02:23.810 --> 01:02:25.653]  Things that they will never use, as I pointed out.
[01:02:26.033 --> 01:02:29.678]  Young men having to have policies that cover maternity leave.
[01:02:30.683 --> 01:02:31.464]  Child raising.
[01:02:31.744 --> 01:02:36.807]  You can't put that kind of stuff in and have people be able to afford the insurance policies.
[01:02:36.827 --> 01:02:41.131]  Of course, if they opt out, now they're counting the money on the other side.
[01:02:41.151 --> 01:02:46.995]  That is, they think that maybe four million people will opt out and that will give them four billion dollars in new taxes.
[01:02:47.055 --> 01:02:48.776]  About a thousand dollars a person.
[01:02:49.356 --> 01:02:50.597]  That's the way they're rolling.
[01:02:50.938 --> 01:02:56.742]  It's all about either control or taking your money, transferring it to a corporation.
[01:02:58.066 --> 01:03:00.068]  But it's not just that it's dangerous for the children.
[01:03:00.548 --> 01:03:05.111]  It's not just that they're bankrupting their countries and now they're going to bankrupt our country.
[01:03:05.351 --> 01:03:11.916]  And what they're going to do is they're going to use these children with no connection to their families to balkanize this country.
[01:03:12.457 --> 01:03:14.578]  To weigh down our welfare system.
[01:03:14.598 --> 01:03:19.302]  You cannot have a welfare system and open borders at the same time.
[01:03:19.782 --> 01:03:25.584]  Even if you want to argue that you could have one or the other, you cannot have both of them at the same time.
[01:03:25.644 --> 01:03:35.429]  You can't have unrestricted immigration and have everything provided or even much of what people need, education, food, allowances.
[01:03:35.469 --> 01:03:39.190]  You can't provide that for everybody just by opening up the borders.
[01:03:39.210 --> 01:03:43.172]  So you can't have a welfare state and open borders without destroying the country.
[01:03:43.692 --> 01:03:48.174]  But of course, we believe that is the plan of the Obama administration.
[01:03:49.014 --> 01:03:55.100]  What they would like to do is have essentially a 1984 on the top and a Brave New World on the bottom.
[01:03:55.120 --> 01:04:12.256]  In other words, if you come in, if you're a citizen here, and you want to just kick back into a kind of hedonistic Brave New World at the bottom, zone out, watch sports, watch entertainment, watch their reality television, which is not reality at all, if you want to do that, they'll leave you alone like they did the Proles in 1984.
[01:04:14.017 --> 01:04:24.986]  If you don't want to do that, or if you're part of the infrastructure, if you're part of the bureaucracy, once the government owns everything, there won't be a middle class, there won't be any businesses like there are today.
[01:04:25.026 --> 01:04:35.896]  But today, if you have a business, if you're part of the middle class, or even if you're part of the government bureaucracy, they're going to monitor you with a 1984 police state on the top, just to make sure.
[01:04:36.576 --> 01:04:38.237]  That everything stays compartmentalized.
[01:04:38.277 --> 01:04:40.199]  Just to make sure that you're not a dissident.
[01:04:40.519 --> 01:04:42.280]  Just to make sure that you're not dangerous to them.
[01:04:43.061 --> 01:04:43.861]  That's what we see.
[01:04:43.901 --> 01:04:48.304]  But then the next step that they're coming at is global depopulation.
[01:04:48.705 --> 01:04:49.866]  They don't need us.
[01:04:50.086 --> 01:04:52.587]  They've got robots to do the lower work.
[01:04:52.648 --> 01:04:53.808]  And that's what they're working on.
[01:04:54.149 --> 01:04:56.550]  Alex is going to break that down for us in the next segment.
[01:04:56.650 --> 01:04:57.111]  Stay tuned.
[01:05:08.840 --> 01:05:11.421]  Hi folks, Alex Jones here with some important information.
[01:05:11.682 --> 01:05:16.564]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[01:05:16.824 --> 01:05:24.688]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[01:05:24.929 --> 01:05:29.251]  Deciding to take action, a company run by Patriots for Patriots was born.
[01:05:29.451 --> 01:05:33.273]  MyPatriotSupply has never taken a loan or accepted outside funding.
[01:05:33.413 --> 01:05:39.138]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[01:05:39.379 --> 01:05:42.161]  It is rare to find companies who practice what they preach.
[01:05:42.541 --> 01:05:47.766]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[01:05:47.926 --> 01:05:55.954]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[01:05:59.517 --> 01:06:02.438]  That's 866-229-0927.
[01:06:02.618 --> 01:06:04.979]  Do business with someone who shares your values.
[01:06:05.260 --> 01:06:08.001]  Buypatriotsupply.com slash Alex.
[01:06:11.922 --> 01:06:14.884]  There are, of course, those who do not want us to speak.
[01:06:14.984 --> 01:06:15.884]  I think, just let me think.
[01:06:15.904 --> 01:06:21.487]  I suspect even now, orders are being shouts into telephones and men with guns will soon be on their way.
[01:06:21.667 --> 01:06:23.067]  It's time to settle.
[01:06:23.087 --> 01:06:23.468]  Damn it!
[01:06:23.988 --> 01:06:24.568]  Why?
[01:06:24.588 --> 01:06:26.709]  Because while the truncheon may be used in lieu of
[01:06:29.966 --> 01:06:31.328]  We're good to go.
[01:06:39.588 --> 01:06:41.930]  You're terribly wrong with this country, isn't that?
[01:06:41.950 --> 01:06:42.931]  You designed it, sir.
[01:06:42.991 --> 01:06:43.911]  You wanted it foolproof.
[01:06:43.931 --> 01:06:45.292]  You taught me every television in London!
[01:06:45.593 --> 01:06:49.476]  Cruelty and injustice, intolerance and oppression.
[01:06:49.496 --> 01:06:59.623]  And where once you had the freedom to object, to think and speak as you saw fit, you now have censors and systems of surveillance coercing your conformity and surveilling your submissiveness.
[01:06:59.663 --> 01:06:59.863]  Cameras.
[01:06:59.883 --> 01:07:00.324]  We need cameras.
[01:07:00.344 --> 01:07:01.084]  How did this happen?
[01:07:01.785 --> 01:07:02.546]  Who's to blame?
[01:07:03.566 --> 01:07:06.168]  Well, certainly there are those who are more responsible than others.
[01:07:06.188 --> 01:07:08.090]  They will be held accountable.
[01:07:08.110 --> 01:07:14.035]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[01:07:15.176 --> 01:07:16.957]  I know why you did it.
[01:07:17.177 --> 01:07:18.258]  I know you were afraid.
[01:07:18.278 --> 01:07:18.939]  Who wouldn't be?
[01:07:20.420 --> 01:07:21.982]  War, terror, disease.
[01:07:22.602 --> 01:07:28.929]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[01:07:29.029 --> 01:07:34.774]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[01:07:35.435 --> 01:07:41.501]  He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[01:07:48.635 --> 01:07:49.576]  This is a war.
[01:07:49.997 --> 01:07:51.018]  It's happening now.
[01:07:51.038 --> 01:07:53.682]  It will decide the fate of humanity.
[01:07:54.223 --> 01:07:56.026]  The time to choose sides has come.
[01:07:56.847 --> 01:07:58.269]  We are the resistance.
[01:07:58.729 --> 01:08:00.312]  We are the Infowar.
[01:08:03.576 --> 01:08:04.896]  Welcome back to the Alex Jones Show.
[01:08:04.996 --> 01:08:16.239]  I'm David Knight in Austin and we've been talking about immigration rising, soaring immigration as same time, of course, unemployment is rising and soaring and the connections between that.
[01:08:17.039 --> 01:08:18.959]  We've got Alex Jones here with his take.
[01:08:19.259 --> 01:08:19.499]  Alex?
[01:08:20.759 --> 01:08:25.600]  David, thanks for hosting the show on this eighth day.
[01:08:27.181 --> 01:08:32.662]  Can't believe that we're already well into this month of
[01:08:33.919 --> 01:08:34.059]  I'm
[01:08:49.520 --> 01:08:49.580]  Is
[01:09:08.294 --> 01:09:10.536]  Under the age of 10 at different facilities.
[01:09:10.556 --> 01:09:14.099]  They've got thousands of them at a facility just down in San Antonio.
[01:09:14.560 --> 01:09:19.504]  And the Obama administration is saying, yes, we will take your children and they will stay here.
[01:09:20.345 --> 01:09:28.872]  Which is only incentivizing more of the 7 plus billion people that live outside of the United States, mainly Latin America, who's able to get here.
[01:09:29.152 --> 01:09:32.815]  But from China, you name it, are just pouring in
[01:09:33.556 --> 01:09:33.936]  to this
[01:09:58.146 --> 01:09:58.867]  I don't know.
[01:10:21.223 --> 01:10:22.124]  Covered all of this.
[01:10:22.904 --> 01:10:31.472]  The fact that we've got, even with federal cooked books on unemployment and on people on welfare, ninety-two
[01:10:34.216 --> 01:10:49.122]  Million Americans not working, labor force at 16-year low, 7 million have left under Obama, lethargic economy, and you've got at least 30 million illegals undocumented who will vote for the destruction of this country.
[01:10:49.162 --> 01:10:54.605]  Over 90% of them end up voting on record for a socialist, globalist agenda.
[01:10:55.746 --> 01:11:04.509]  And again, the big corporations, Walmart and others, admit, they tell their employees, go out and get on welfare as a subsidy because you can't survive on what we pay you.
[01:11:04.909 --> 01:11:06.290]  Well, it's the same thing with the illegals.
[01:11:06.670 --> 01:11:11.551]  They get a subsidy of welfare, most of them are on welfare, no ID needed.
[01:11:11.571 --> 01:11:18.254]  They're able to get three or four different IDs from the Mexican consulate that all the major banks accept, the AP reports.
[01:11:18.654 --> 01:11:24.936]  And so they're above the law, getting welfare as a supplement, while their husbands do go and work, many of them working hard.
[01:11:25.476 --> 01:11:31.581]  And it's destroying the economy and collectivizing the economy, just like Chinese slave goods have done.
[01:11:31.841 --> 01:11:35.464]  This is a designed system to break this culture down.
[01:11:35.524 --> 01:11:49.415]  I know you're going to be taking calls coming up at the bottom of the hour and breaking this down, and I want to hear from the listeners on this, because undoubtedly NAFTA and GAAP were meant to domesticate this country and written as one-sided trade deals, and Ross Perot was right.
[01:11:50.342 --> 01:11:59.544]  But undoubtedly now we're going into this managed global economy, David, and we can see that the cheap third world labor is bankrupting Europe.
[01:11:59.924 --> 01:12:07.306]  Spain and Italy and Greece and others that were prosperous just a decade ago are imploding with cheap third world labor as well.
[01:12:07.646 --> 01:12:15.448]  They use African and Eastern European and Asian and Turkish labor there, Middle Eastern labor, to undercut people.
[01:12:15.728 --> 01:12:23.973]  And again, it doesn't create a free market when you've got imploded third world nations pouring in who get government subsidies on top of it.
[01:12:24.293 --> 01:12:30.156]  That isn't a free market like 150 years ago, poor European immigrants or others coming here.
[01:12:30.716 --> 01:12:36.360]  That isn't the type of cheap labor that produces a large middle class labor.
[01:12:37.220 --> 01:12:37.481]  Later.
[01:12:37.861 --> 01:12:40.224]  We know it creates economic destruction.
[01:12:40.465 --> 01:12:41.746]  We can see the proof.
[01:12:42.147 --> 01:12:49.897]  And then you have the globalists, the big mega banks, the big recipients of the banker bailouts by the trillions, like Warren Buffett, lobbying for open borders.
[01:12:50.794 --> 01:12:55.797]  Lobbying for higher taxes on the middle class while they themselves are basically exempt.
[01:12:56.097 --> 01:13:04.863]  It's a perfect managed economy system to bring us to our knees, financially totally break us so that we are nothing but financial vassals.
[01:13:05.183 --> 01:13:12.308]  We are being conquered by 21st century high-tech economic warfare and this country is being swamped right now.
[01:13:12.668 --> 01:13:22.682]  If they legalize the 30 million illegals by fiat and stop the deportations, as Obama has already done outside of Congress, and Congress won't impeach him, it sends a message to the world!
[01:13:23.413 --> 01:13:28.516]  That if you can get here, you're gonna be legal, and you're gonna be given a silver spoon in your mouth, so come here.
[01:13:28.796 --> 01:13:34.179]  And as long as you're anti-gun, anti-liberty, as long as you hate 1776, you're welcome.
[01:13:34.539 --> 01:13:36.681]  What a sickening story, David Knight.
[01:13:37.221 --> 01:13:45.506]  Yeah, Alex, you know, we look at this surging immigration, what were once anchor babies are now becoming children coming into this society.
[01:13:46.386 --> 01:13:56.552]  And further down the road, another story that Drudge had up last week, at the end of the week, was the dawn of the robot revolution as armies of machines escape the factory.
[01:13:56.572 --> 01:13:58.173]  Of course, robots are coming.
[01:13:58.233 --> 01:14:02.155]  It's not necessarily going to be uncontrolled immigration that takes our jobs in the future.
[01:14:02.195 --> 01:14:03.636]  It's not going to necessarily be Mexicans.
[01:14:03.656 --> 01:14:05.878]  It's going to be metal cans that are coming out here.
[01:14:05.898 --> 01:14:13.042]  And what they're talking about... And by the way, that's the perfect storm at The Globalist, all from Ray Kurzweil to you name it, to Zbigniew Brzezinski, write about and talk about.
[01:14:13.682 --> 01:14:18.363]  Is that it's a design system to use a giant wave of human labor to drive down human worth.
[01:14:18.743 --> 01:14:38.129]  And then you have unlimited resources and rare earth minerals basically to have huge automated factories run by robots, serviced by robots, that humans don't even know how to run now, in many cases, pouring out ground drones, ground cars, ground tanks, ground ships, ground subs, ground cruise missiles.
[01:14:42.155 --> 01:14:48.597]  Human obsolescence movement where the architecture of the world has been designed to bring this into fruition.
[01:14:48.917 --> 01:14:56.679]  France says they plan to have a robot race with China to replace humans with robots in the next 10 years in their factories.
[01:14:56.979 --> 01:14:59.080]  This is everything Bill Joy talked about, David.
