[00:00:00.069 --> 00:00:01.609]  Threat to America.
[01:35:39.415 --> 01:35:40.776]  We are on the march.
[01:35:41.136 --> 01:35:43.557]  The Empire is on the run.
[01:35:43.978 --> 01:35:48.500]  Live from the InfoWars.com studios, it's Alex Jones.
[01:36:03.442 --> 01:36:08.592]  The potential for the disastrous rise of misplaced power exists and will persist.
[01:36:09.073 --> 01:36:12.340]  This is the heart of 1776!
[01:36:16.325 --> 01:36:17.106]  We're back live.
[01:36:17.386 --> 01:36:27.375]  I am going to try to answer that caller's question in about 10-15 minutes when Joe Biggs leaves us and continue with calls right through the entire next hour with a ton of breaking news as well.
[01:36:27.815 --> 01:36:31.899]  This just broke at InfoWars.com and PrisonPlanet.com.
[01:36:32.379 --> 01:36:36.303]  Instead of monitoring ISIS, Obama spied on Americans.
[01:36:36.983 --> 01:36:40.527]  Former Pentagon official reveals President has been given
[01:36:42.622 --> 01:36:52.829]  Grandular intelligence on the rise of terror group for over a year, meaning almost none, reports Judge Andrew Napolitano.
[01:36:54.490 --> 01:37:01.935]  You also have former top general McErney coming out saying, quote, we helped build ISIS.
[01:37:05.387 --> 01:37:13.292]  ISIS is Al Qaeda under a new name because our government and others were embarrassed over openly arming them to attack Syria.
[01:37:13.392 --> 01:37:15.013]  Our own military said no last year.
[01:37:15.513 --> 01:37:16.874]  This time last year, it was epic.
[01:37:18.354 --> 01:37:26.199]  Thousands of tweets with photos of officers holding signs over their faces saying, I will not fight in Syria for Al Qaeda.
[01:37:28.001 --> 01:37:30.043]  General Dempsey went and said, no, we're not going to be part of it.
[01:37:30.504 --> 01:37:36.310]  It was a real moment of America finding its soul again, finding the moral capacity to say no.
[01:37:36.850 --> 01:37:38.292]  We voted down carbon taxes.
[01:37:38.972 --> 01:37:40.454]  We voted down having open borders.
[01:37:40.995 --> 01:37:42.656]  We voted down more gun control.
[01:37:43.177 --> 01:37:45.199]  Now Obama just does it by executive orders.
[01:37:45.659 --> 01:37:46.941]  So the good news is,
[01:37:50.182 --> 01:37:51.422]  People are waking up.
[01:37:51.903 --> 01:37:53.903]  Humanity understands we're in a crisis.
[01:37:54.383 --> 01:37:56.064]  Congress has a 7% approval rating.
[01:37:56.404 --> 01:37:59.005]  But the establishment doesn't care and is moving forward.
[01:37:59.345 --> 01:38:02.286]  So it's the immovable object running into the unstoppable force.
[01:38:03.907 --> 01:38:05.667]  It's an epic time to be alive right now.
[01:38:05.707 --> 01:38:08.268]  That's why all you know what is breaking loose around the world.
[01:38:08.328 --> 01:38:09.028]  It's not just here.
[01:38:09.068 --> 01:38:10.309]  This is a key time to be alive.
[01:38:10.929 --> 01:38:17.111]  Now, the heat out there is really raising havoc on our equipment with our live Skype feed.
[01:38:18.536 --> 01:38:20.097]  Our equipment's been overheating, so I'm going to go to them.
[01:38:20.137 --> 01:38:21.198]  It may cut out any minute.
[01:38:21.578 --> 01:38:29.503]  They've been posting HD reports every few hours to InfoWars.com and PrisonPlanet.com and to the Nightly News tonight, 7 o'clock Central.
[01:38:29.944 --> 01:38:45.174]  Joe Biggs, staff reporter, along with our top GraphicSky cameraman, Josh Owens, out there on the border in El Paso, where DHS last week said imminent terror attack on or before September 11th.
[01:38:45.474 --> 01:38:47.956]  They believe against Joint Task Force 6 at Fort Bliss.
[01:38:48.676 --> 01:38:50.297]  Biggs has a lot of Army connections there.
[01:38:50.317 --> 01:38:59.961]  He was a Staff Sergeant that got out about a year and a half ago from the Army, so he has a lot of connections down there and at Biggs Field, named after his grandfather, a great-grandfather.
[01:39:00.261 --> 01:39:05.363]  So Joe, you're down there, you've got the intel, you've got a lot of breaking information for us.
[01:39:05.864 --> 01:39:10.626]  Is this a real threat or are they getting ready to false flag or is it just hype or
[01:39:11.366 --> 01:39:15.832]  Is it people leaking memos who want to draw attention to the fact that our border is wide open?
[01:39:16.092 --> 01:39:27.147]  We know thousands of other than Mexicans, or other than Latin Americans as they're called, are coming across just there in Texas every month according to the Border Patrol's own internal documents.
[01:39:27.487 --> 01:39:29.410]  So what's the real intel, Joe Biggs?
[01:39:30.529 --> 01:39:33.391]  Joe Biggs here with Infowars.com in El Paso, Texas.
[01:39:33.751 --> 01:39:38.153]  And like you said earlier, Alex, this is an epic time in history that we live in.
[01:39:38.733 --> 01:39:41.475]  All the stuff that's going on right now, it's just mind-blowing.
[01:39:41.815 --> 01:39:45.497]  You know, the things with Russia and Ukraine, our southern borders are wide open.
[01:39:46.458 --> 01:39:50.740]  There's imminent threat by the ISIS terror group in Juarez, just behind me.
[01:39:51.160 --> 01:39:53.321]  You know, this is crazy.
[01:39:53.381 --> 01:39:54.282]  We funded them.
[01:39:55.106 --> 01:40:01.488]  You know guys, they used to be ISIS, then they became Al-Qaeda in Iraq, then they've gone back to ISIS now that Osama Bin Laden is dead.
[01:40:01.728 --> 01:40:04.508]  You know, these guys are brutal people.
[01:40:04.948 --> 01:40:09.129]  They chop people's heads off, they crucify them, kill people in mass numbers.
[01:40:09.529 --> 01:40:16.031]  You know, the fact that the commanding general of Fort Bliss was sat down and briefed about a possible ISIS
[01:40:17.172 --> 01:40:17.972]  That says a lot.
[01:40:18.032 --> 01:40:22.675]  You know, my friend is his driver, and here's a lot of the things that goes on.
[01:40:23.195 --> 01:40:25.237]  And they take it as a credible threat.
[01:40:25.517 --> 01:40:27.078]  I spoke to some of the locals here.
[01:40:27.518 --> 01:40:29.139]  They think it's a credible threat as well.
[01:40:29.159 --> 01:40:33.462]  A lot of them said that they won't even be anywhere around this area come September 11th.
[01:40:33.742 --> 01:40:39.086]  You know, and now we have these 11 missing planes out of the Libya airport that's been overrun.
[01:40:39.847 --> 01:40:40.648]  You know, they're crazy.
[01:40:40.688 --> 01:40:44.951]  We're almost, you know, approaching our 13th anniversary of the 9-11 attacks.
[01:40:45.351 --> 01:40:46.932]  We have all this stuff going on.
[01:40:47.273 --> 01:40:53.577]  You know, Al Qaeda put out an online magazine that states they want to hit the Air Force Academy.
[01:40:53.757 --> 01:40:56.019]  They want to hit a military academy in Georgia.
[01:40:56.039 --> 01:40:57.540]  They want to hit Las Vegas.
[01:40:57.740 --> 01:41:01.703]  And once again, New York is another target as well, Times Square.
[01:41:02.044 --> 01:41:03.265]  So these are very trying times.
[01:41:03.305 --> 01:41:08.649]  And they now have 12 passenger jets in working order and have been photographed celebrating with them.
[01:41:09.289 --> 01:41:10.972]  Basically saying they're going to kill us with them.
[01:41:11.814 --> 01:41:18.647]  I mean either way, even if it is a false flag, or if it's real, this is something they're going to use to take our liberties away.
[01:41:19.028 --> 01:41:19.729]  Plain and simple.
[01:41:19.990 --> 01:41:20.932]  We saw how easy
[01:41:21.756 --> 01:41:23.998]  Martial law can be in place in Ferguson.
[01:41:24.058 --> 01:41:28.921]  Everybody saw our live streams, our Ustreams, our videos that were put up for two weeks straight.
[01:41:29.382 --> 01:41:32.904]  It was so easy overnight for that to happen.
[01:41:33.184 --> 01:41:36.367]  You know, everything that's happening in the world right now is a step forward.
[01:41:36.387 --> 01:41:40.710]  We're moving inch by inch, closer and closer to this complete and total domination.
[01:41:40.910 --> 01:41:42.751]  They're going to strip us of everything that we have.
[01:41:43.031 --> 01:41:48.835]  And it's scary to be in this time, but it's also a historic time in our lives.
[01:41:49.943 --> 01:41:52.805]  Well, without giving up too much about sources, they're at the base.
[01:41:53.405 --> 01:41:58.087]  Of course, they're not telling you anything they're not supposed to tell you, but you talked to your friend, he said, no, we take it very serious.
[01:41:59.208 --> 01:42:01.869]  The Joint Chiefs had a planned meeting September 11th in New York.
[01:42:02.230 --> 01:42:06.232]  They canceled it two days before, back in 2001.
[01:42:07.232 --> 01:42:12.595]  Mayor Willie Brown told Condoleezza Rice not to be in New York that day, San Francisco Chronicle.
[01:42:13.375 --> 01:42:16.097]  Anybody can look this up, so bare minimum,
[01:42:17.435 --> 01:42:32.325]  When you get told by one of your sources that no, they don't even plan to be on the base on September 11th, and you're also telling me they've sealed the base down to two entrances, it's a huge base, and that all this is going on, they're taking it serious.
[01:42:33.362 --> 01:42:39.065]  Yes, you know, and as with the Pentagon as well, you know, how they had moved a lot of people away from that area as well where it was struck.
[01:42:39.125 --> 01:42:40.866]  So, that's kind of a tell-tale.
[01:42:41.206 --> 01:42:46.930]  Well, you know, like you said, the two main bases, they have the Sergeant Major Gate, which is at Biggs Field, and they have the Biggs Entrance.
[01:42:47.290 --> 01:42:51.592]  Those are two main entrances where there's a lot of high-ranking people, and they close those down.
[01:42:51.612 --> 01:42:56.135]  They left some of the other little smaller ones open where they go into the air.
[01:42:57.290 --> 01:42:58.010]  I don't think so.
[01:43:15.820 --> 01:43:23.146]  She's about 35 years old and right down on this main strip of I-10, there's a huge part of the fence that's completely knocked over.
[01:43:23.166 --> 01:43:24.727]  So I'm going to go over there and check that out.
[01:43:25.067 --> 01:43:28.210]  You know, I've talked to some people and people are like, oh, it's crazy.
[01:43:28.430 --> 01:43:30.191]  You know, El Paso is very guarded.
[01:43:30.411 --> 01:43:32.453]  It's the second safest city in the U.S.
[01:43:32.693 --> 01:43:34.875]  There's no way that ISIS could possibly get through.
[01:43:35.335 --> 01:43:38.838]  Well, the thing is, though, is if we created ISIS and we run ISIS,
[01:43:39.338 --> 01:43:41.199]  We're going to give them the tools they need to succeed.
[01:43:41.519 --> 01:43:43.159]  They're a big propaganda weapon.
[01:43:43.479 --> 01:43:47.180]  This is... What's to stop them from driving a dump truck full of explosives right up there to the base?
[01:43:47.701 --> 01:43:48.181]  Exactly!
[01:43:48.941 --> 01:43:51.902]  And people are like, no, there's no way, there's no gaps in our border.
[01:43:52.122 --> 01:43:54.283]  Well, I'm going to take Josh here in a minute to a lot of spots.
[01:43:54.323 --> 01:43:55.343]  I know this town very well.
[01:43:55.983 --> 01:43:56.944]  Well, just right over here.
[01:43:57.164 --> 01:43:58.725]  There's no fence whatsoever.
[01:43:58.925 --> 01:44:02.428]  It's the river, and there's an American flag and a Mexican flag right there.
[01:44:02.808 --> 01:44:03.388]  And you can walk.
[01:44:03.428 --> 01:44:04.809]  There's no fence whatsoever.
[01:44:05.069 --> 01:44:07.591]  Just on the other side of the dirt line, there's a store.
[01:44:07.991 --> 01:44:11.594]  Last time I was here, there was a guy sitting outside with a sombrero on, just hanging out.
[01:44:11.934 --> 01:44:12.935]  That's amazing.
[01:44:13.015 --> 01:44:14.275]  In the U.S., you could drive across that.
[01:44:14.496 --> 01:44:18.899]  The road leads... You ought to do what Project Veritas did.
[01:44:18.919 --> 01:44:24.502]  Go to a costume shop, dress up in a jihadi outfit, and just wade across.
[01:44:24.562 --> 01:44:25.463]  It's like two feet deep.
[01:44:27.024 --> 01:44:34.489]  I mean, man wades across as Bin Laden in ISIS attack zone.
[01:44:35.069 --> 01:44:43.254]  I mean, just to illustrate to people that, okay, if it's a real threat or a fake threat, regardless, stop groping us when we fly.
[01:44:43.594 --> 01:44:47.397]  Stop the highway checkpoints looking randomly for Al-Qaeda.
[01:44:48.277 --> 01:44:48.918]  It's ridiculous.
[01:44:48.938 --> 01:44:53.183]  Stop hardening shopping malls and police departments when you won't even control the borders.
[01:44:53.223 --> 01:44:58.449]  Like, leave the gate open, but then have the guards pointing swords at people that live inside the city.
[01:44:58.970 --> 01:45:00.251]  It makes absolutely no sense.
[01:45:00.672 --> 01:45:01.993]  We have HD video of it.
[01:45:02.334 --> 01:45:07.140]  We played it at the start of the broadcast today, but Joe, tell folks about flying out from Austin yesterday.
[01:45:08.576 --> 01:45:09.496]  Oh, yeah.
[01:45:09.897 --> 01:45:10.757]  I wanted to throw up.
[01:45:10.837 --> 01:45:12.137]  I hate going through that process.
[01:45:12.397 --> 01:45:23.841]  But the funniest part... Alright, so I'm walking up to the TSA checkpoint area and I look at the gentleman there and I said, hey, I would like to opt out and go through the pat-down process.
[01:45:24.441 --> 01:45:26.442]  And the lady walks over from the machine.
[01:45:26.462 --> 01:45:28.803]  She goes, oh, sir, don't worry about it.
[01:45:28.823 --> 01:45:30.563]  There's no radiation.
[01:45:30.743 --> 01:45:31.344]  Look at the sign.
[01:45:31.384 --> 01:45:32.384]  It says no radiation.
[01:45:32.564 --> 01:45:33.264]  Just come on through.
[01:45:33.404 --> 01:45:33.824]  It's better.
[01:45:33.884 --> 01:45:34.164]  Come on.
[01:45:34.204 --> 01:45:34.805]  Just come on through.
[01:45:35.145 --> 01:45:35.605]  And I said, no.
[01:45:36.610 --> 01:45:37.551]  I'm not going through that.
[01:45:37.891 --> 01:45:39.091]  She goes, look at the sign.
[01:45:39.151 --> 01:45:40.492]  It says there's no radiation though.
[01:45:41.132 --> 01:45:42.173]  And I said, well, how do I know?
[01:45:42.193 --> 01:45:44.734]  That's the same machine I saw here the other week when I flew out.
[01:45:44.754 --> 01:45:48.016]  The only thing that's different is now you have a sign that says there's no radiation.
[01:45:48.376 --> 01:45:49.717]  That doesn't make me feel any better.
[01:45:49.737 --> 01:45:51.838]  Well, what about them saving the naked image?
[01:45:51.878 --> 01:45:53.259]  And by the way, there is radiation.
[01:45:54.439 --> 01:45:56.621]  Yeah, you know, they just, they've lied.
[01:45:56.861 --> 01:46:00.142]  And then I went through and the guy's sitting there and I said, well, what does this do?
[01:46:00.543 --> 01:46:05.025]  You patting me down and harassing me and as an American citizen, what does this do to secure our borders?
[01:46:05.899 --> 01:46:09.122]  And, uh, he was like, uh, uh, uh, you know, and stuttered, didn't really know what to say.
[01:46:09.142 --> 01:46:11.464]  And then I said, well, what?
[01:46:13.486 --> 01:46:21.072]  Is there, is there truth to the fact that you guys are letting, you know, these undocumented, uh, legals fly before ID?
[01:46:21.332 --> 01:46:23.394]  And he said, no, no, no, that, that, that doesn't happen at all.
[01:46:23.774 --> 01:46:24.535]  But we know it does.
[01:46:25.476 --> 01:46:26.316]  We've seen the reports.
[01:46:26.657 --> 01:46:27.477]  We have the video.
[01:46:27.517 --> 01:46:28.138]  It's admitted.
[01:46:28.178 --> 01:46:30.460]  We have their own internal documents ordering them to do it.
[01:46:31.175 --> 01:46:32.876]  Yeah, and the guy was just bold-faced lying.
[01:46:32.956 --> 01:46:37.899]  Everybody in that entire TSA organization, they're a bunch of psy-op liars.
[01:46:37.939 --> 01:46:52.988]  I mean, they've sat down, they've been briefed for hours and hours, they know how to run their little game and, you know, spew forth their propaganda just to make the unawake person just ready to jump through that little machine and, you know, just get radiation and get cancer and die.
[01:46:53.008 --> 01:46:54.749]  They want us all to die off.
[01:46:55.350 --> 01:46:56.710]  The fact that we are evil
[01:46:59.702 --> 01:47:06.605]  Meanwhile, we harass hard-working American citizens who pay into the system and that aren't getting healthcare they deserve, and vets are dying.
[01:47:07.125 --> 01:47:09.266]  You know, what has this country gone to?
[01:47:09.286 --> 01:47:10.507]  I mean, what are these people doing?
[01:47:14.747 --> 01:47:22.454]  A few months ago that, oh, you know, it's only in Arizona that there's a secret list where we deny health care to people and let them die, veterans of the VA.
[01:47:22.834 --> 01:47:24.655]  Then, of course, it was at every major VA.
[01:47:24.936 --> 01:47:26.977]  And then it was, well, it was a mistake we didn't know.
[01:47:26.997 --> 01:47:29.940]  Then the New York Times comes out and goes, no, there are death panels.
[01:47:30.300 --> 01:47:31.541]  We can't take care of everybody.
[01:47:31.881 --> 01:47:38.027]  This idea that they're going to decide who to give care to, that's why you don't want socialist care.
[01:47:38.367 --> 01:47:40.549]  Because it always becomes a rationing, folks.
[01:47:41.009 --> 01:47:41.910]  It doesn't work.
[01:47:42.588 --> 01:47:46.131]  Someone from Juarez right now comes in our country with a weapon in their truck.
[01:47:46.151 --> 01:47:47.293]  You know what's gonna happen?
[01:47:47.673 --> 01:47:49.495]  Oh, hey, excuse me, sir, can you come over here?
[01:47:50.175 --> 01:47:51.657]  There's a hospital over here.
[01:47:51.677 --> 01:47:52.538]  You look like you're a part.
[01:47:52.558 --> 01:47:57.643]  We'll get you some water, give you an IV, and if you want, sign up for some education.
[01:47:57.983 --> 01:48:02.527]  Meanwhile, our Marine goes across into Mexico and makes a wrong turn.
[01:48:02.788 --> 01:48:06.111]  He's been held in jail for five months, and our government's doing nothing about it.
[01:48:06.567 --> 01:48:09.349]  Well, why are they being so racist and mean in Mexico?
[01:48:09.369 --> 01:48:11.751]  I mean, why don't they, you know, let him go?
[01:48:11.771 --> 01:48:17.855]  They want us to take all their garbage, but they can't, you know, do anything to help us out with this guy.
[01:48:17.895 --> 01:48:21.237]  This guy's been stuck over there, Sergeant Morrissey, for five months now.
[01:48:21.257 --> 01:48:24.620]  I know, it's because the American people are a joke.
[01:48:24.660 --> 01:48:25.641]  We put up with anything.
[01:48:25.661 --> 01:48:27.242]  That's one less threat for them to worry about.
[01:48:27.282 --> 01:48:28.022]  That's one less threat.
[01:48:28.062 --> 01:48:31.845]  That's why returning vets and veterans are enemies of the state now.
[01:48:33.351 --> 01:48:34.552]  That's one lesson they've got to worry about.
[01:48:34.572 --> 01:48:38.934]  That's one less trained Marine that they know can stand up and fight that tyranny.
[01:48:39.895 --> 01:48:46.778]  That's why they let the veterans die, because they know they don't have the ability to fight back when they start getting sick and they aren't being seen.
[01:48:47.058 --> 01:48:54.322]  This is all a planned, orchestrated attack on us by the Obama administration and the elites that run this entire world.
[01:48:54.542 --> 01:48:55.303]  This is crazy.
[01:48:55.751 --> 01:49:00.314]  Joe, how many times have you been to the Austin VA in the six months you've been here?
[01:49:00.994 --> 01:49:01.675]  How many times?
[01:49:01.695 --> 01:49:02.035]  Five times.
[01:49:02.335 --> 01:49:05.978]  Five times, and I haven't had one actual appointment where they do anything for me.
[01:49:06.558 --> 01:49:16.224]  All I do is I sit down, I see a new doctor, and I have to retell my story about what's going on, show them my medical documents, and then they're like, all right, we're going to schedule you for another appointment.
[01:49:16.484 --> 01:49:17.945]  Well, then that gets scratched.
[01:49:18.005 --> 01:49:18.686]  They cancel it.
[01:49:22.214 --> 01:49:41.405]  This guy's breaking up because of the heat out there, but he coughs up blood at night, he has to have black sheets because of the blood everywhere, and he's got his knees out, he's got shrapnel in his foot, and he can't get medical care, so he has to go and get private insurance and take care of it that way.
[01:49:42.406 --> 01:49:43.246]  And we do have him back.
[01:49:43.546 --> 01:49:50.170]  So you're saying five times you've gone, and then each time they just send you to another appointment?
[01:49:50.796 --> 01:49:51.996]  Yeah, they sent me to another appointment.
[01:49:52.096 --> 01:49:53.997]  I have to explain my whole situation over again.
[01:49:54.437 --> 01:50:02.060]  You know, I've done so many MRIs, and every time they come back, Alex, and they go, hey, you know, you have a complete, severed ACL in your right knee.
[01:50:02.480 --> 01:50:03.080]  That's bad.
[01:50:03.120 --> 01:50:03.900]  How long has this been?
[01:50:03.981 --> 01:50:04.421]  I said, since 2006.
[01:50:04.621 --> 01:50:06.841]  They're like, wow, that's crazy.
[01:50:06.881 --> 01:50:08.082]  They haven't tried to do surgery yet?
[01:50:08.442 --> 01:50:12.984]  I'm like, well, I've been trying since 2006, and you're like the 50th doctor over my, since 2006.
[01:50:14.424 --> 01:50:15.965]  Well, you're undoubtedly on their no-treatment list.
[01:50:38.800 --> 01:50:39.160]  Unbelievable.
[01:50:39.180 --> 01:50:40.241]  Stop shoving drugs down my throat.
[01:50:40.261 --> 01:50:41.962]  Stop trying to make me go insane.
[01:50:42.603 --> 01:50:43.824]  And I'm sick of it.
[01:50:44.084 --> 01:50:47.487]  I'm sick of being treated like a guinea pig, like some lab rat.
[01:50:47.727 --> 01:50:50.669]  Well, all these people that claim they support... I hear you.
[01:50:50.689 --> 01:50:55.553]  All these people that claim they support our troops, they better actually start supporting them and getting them real health care.
[01:50:55.573 --> 01:50:57.354]  Joe Biggs, we're going to file some more reports.
[01:50:57.414 --> 01:50:57.934]  Great job.
[01:50:58.195 --> 01:50:59.175]  Get out there and get it covered.
[01:50:59.235 --> 01:50:59.816]  Call's coming up.
[01:51:01.232 --> 01:51:04.154]  This hour brought to you by InfidelBodyArmor.com.
[01:51:04.214 --> 01:51:07.956]  When it hits the fan, don't be left without the body armor that will save your life.
[01:51:07.996 --> 01:51:11.499]  With prices starting at just $374.99 and ships free.
[01:51:11.699 --> 01:51:14.080]  Get yours at InfidelBodyArmor.com.
[01:51:14.180 --> 01:51:15.441]  Just won't quit.
[01:51:16.202 --> 01:51:18.123]  Hi, Ted Anderson with Midas Resources.
[01:51:18.383 --> 01:51:22.906]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[01:51:23.066 --> 01:51:24.647]  Get our 10 Reasons book free.
[01:51:24.847 --> 01:51:25.127]  Call 800-686-2237.
[01:51:25.147 --> 01:51:25.327]  That's 800-686-2237.
[01:51:31.593 --> 01:51:36.536]  My Magic Mud is a tooth whitening powder that removes plaque and detoxifies your mouth.
[01:51:37.017 --> 01:51:41.640]  It's safe for your enamel, giving you a beautiful polish and a dentist-like clean after every use.
[01:51:42.060 --> 01:51:45.923]  My Magic Mud is also the perfect remedy for pain caused by sensitivity.
[01:51:46.303 --> 01:51:49.485]  It strengthens your teeth and gums for a strong, healthy smile.
[01:51:49.746 --> 01:51:52.988]  The ingredients are 100% natural and it's safe for children.
[01:51:53.248 --> 01:51:57.331]  Simply brush with My Magic Mud right before bedtime for a cleaning you can count on.
[01:51:57.351 --> 01:51:59.532]  Visit MyMagicMud.com.
[01:52:00.573 --> 01:52:01.674]  Open your eyes.
[01:52:02.114 --> 01:52:05.077]  It's time to give your eyes a powerful nutritional boost.
[01:52:05.557 --> 01:52:11.802]  Sight is the primary input to the brain, arguably making eyesight the most important sense we have.
[01:52:12.102 --> 01:52:20.228]  And just like the other important organs in our bodies, our eyes function at peak levels when they are fed the proper amounts of essential nutrition.
[01:52:20.568 --> 01:52:21.589]  Open your eyes.
[01:52:21.969 --> 01:52:37.103]  Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts and more, Occupower by InfoWars Life is a new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[01:52:37.703 --> 01:52:45.268]  Optimize the natural power of your eyes with the latest addition to the super high quality InfoWars Live formulations, OcuPower.
[01:52:45.549 --> 01:52:50.832]  Go to InfoWarsLive.com or InfoWarsStore.com to order OcuPower.
[01:52:51.132 --> 01:52:51.613]  Or call 1-888-253-3139.
[01:52:51.633 --> 01:52:52.153]  OcuPower.
[01:52:52.193 --> 01:52:52.874]  Open your eyes.
[01:53:00.157 --> 01:53:00.557]  Question.
[01:53:00.917 --> 01:53:05.160]  Could too many GMO foods and toxins be overloading your digestive and immune systems?
[01:53:05.700 --> 01:53:06.541]  Answer, yes.
[01:53:06.961 --> 01:53:12.744]  If you're searching for a powerful detox that's gentle enough to use every day, use Pro-EM-1 from Teriganics.
[01:53:13.204 --> 01:53:20.448]  Pro-EM-1 is a powerful liquid probiotic that uses good bacteria to suppress pathogens and gently eliminate toxins from your body.
[01:53:20.768 --> 01:53:28.813]  A healthy digestive system will cleanse and remove toxins, support weight loss, improve absorption of food nutrients, and aid in controlling yeast and other infections.
[01:53:29.113 --> 01:53:36.796]  Pro-EM-1 is made with only non-GMO and certified organic ingredients, has no preservatives, and is dairy, soy, wheat, and gluten-free.
[01:53:37.056 --> 01:53:39.417]  Pro-EM-1 is the key to your digestive health.
[01:53:39.797 --> 01:53:43.658]  Order Pro-EM-1 Daily Probiotic Cleanse at Terragonics.com.
[01:53:43.678 --> 01:53:46.780]  Spelled T-E-R-A-G-A-N-I-X dot com.
[01:53:47.020 --> 01:53:48.020]  Or call toll free 866-369-3678.
[01:53:48.060 --> 01:53:48.380]  That's 866-369-3678.
[01:53:48.400 --> 01:53:49.841]  Also available through Amazon Prime.
[01:53:49.861 --> 01:53:50.861]  Pro-EM-1 from Terragonics.
[01:53:50.881 --> 01:53:51.842]  Life's getting better.
[01:54:10.111 --> 01:54:11.812]  Alright, we've had folks holding for a while.
[01:54:11.892 --> 01:54:13.392]  Bob, Robert, Nate, Judy.
[01:54:13.432 --> 01:54:14.713]  We're gonna go back to Trey here in a moment.
[01:54:15.093 --> 01:54:17.574]  Open phones coming up in the third hour.
[01:54:18.294 --> 01:54:21.495]  Also, we found an amazing video that hasn't even gone viral yet.
[01:54:22.316 --> 01:54:25.237]  A police wanting to go door-to-door without warrants looking for a felon.
[01:54:25.797 --> 01:54:28.939]  And a man basically constitutionally standing up against it.
[01:54:29.400 --> 01:54:30.361]  It's very informative.
[01:54:30.381 --> 01:54:37.166]  I'm going to play that at the bottom of the hour and post it to InfoWars.com and PrisonPlanet.com here in the next 10 minutes.
[01:54:37.546 --> 01:54:40.568]  I'll also tweet it out at real Alex Jones.
[01:54:41.129 --> 01:54:45.412]  Please don't forget this hour is brought to you by MyPatriotSupply.com.
[01:54:45.752 --> 01:54:47.914]  MyPatriotSupply.com forward slash Alex.
[01:54:48.434 --> 01:54:51.877]  The super high quality non-GMO, very inexpensive.
[01:54:52.777 --> 01:54:55.678]  With a proprietary packaging system that makes them very portable.
[01:54:56.418 --> 01:55:01.440]  MyPatriotSupply.com forward slash Alex to find their specials or 866-229-0927.
[01:55:01.560 --> 01:55:04.662]  In my view, everybody needs storable foods.
[01:55:04.682 --> 01:55:05.622]  This is the place to get it.
[01:55:06.202 --> 01:55:08.483]  MyPatriotSupply.com forward slash Alex.
[01:55:08.803 --> 01:55:13.145]  We also carry their full line of food at InfowarsStore.com.
[01:55:13.165 --> 01:55:16.266]  Whatever you do, MyPatriotSupply.com.
[01:55:17.826 --> 01:55:21.648]  Now, the caller, it was so epic last night.
[01:55:22.984 --> 01:55:31.010]  I haven't been to Barton Springs but a few times this summer, so I thought I'd go to Barton Springs last night, this big giant spring-fed pool on the side of the Colorado River.
[01:55:31.030 --> 01:55:37.815]  There was almost nobody there, there were all these bats flying around right at sunset over the water, huge big pink clouds.
[01:55:39.877 --> 01:55:49.104]  And over the little damn spillway, there was just a bunch of people that sounded like demons, yelling and screaming and laughing.
[01:55:50.299 --> 01:55:58.885]  Starting fights, yelling at people over the fence who'd paid three bucks to get into Barton Springs proper.
[01:55:58.925 --> 01:56:00.966]  And they sounded and looked like Charlie Mansons.
[01:56:01.526 --> 01:56:02.987]  But they were beyond schizophrenics.
[01:56:03.007 --> 01:56:05.589]  It looked like they were a group of men.
[01:56:05.669 --> 01:56:07.150]  Some of them middle-aged, one of them older.
[01:56:07.871 --> 01:56:11.033]  Just basically saying that they would kill people.
[01:56:11.513 --> 01:56:12.994]  Ha, look at you old man.
[01:56:13.034 --> 01:56:15.416]  They'd see people walk around in their swimsuits and make fun of them.
[01:56:16.216 --> 01:56:17.217]  Trying to get a rise.
[01:56:18.738 --> 01:56:18.858]  And
[01:56:20.765 --> 01:56:22.946]  Finally, as they were threatening people, the police were called.
[01:56:23.326 --> 01:56:28.689]  And I thought about every time I'm at Barton Springs, the police are over there writing tickets for people's dogs off a leash.
[01:56:29.650 --> 01:56:33.152]  In the area where the spillway of the springs come out, where you don't have to pay.
[01:56:34.373 --> 01:56:35.613]  And a lot of nice folks are over there.
[01:56:36.454 --> 01:56:37.954]  But there's also a lot of trashy people.
[01:56:39.035 --> 01:56:42.137]  And at an instinctive level, for about 30 minutes while the sun's setting,
[01:56:43.638 --> 01:56:51.592]  I just heard the voices and the meanness and them taunting people until they were told the police had been called and they all laughed and left.
[01:56:56.735 --> 01:56:57.315]  But it was weird.
[01:56:57.335 --> 01:57:01.098]  I was there with some of my friends and they said, look, just look at the sun setting and the moon coming up.
[01:57:01.478 --> 01:57:02.119]  Look at that.
[01:57:02.619 --> 01:57:04.300]  That's, that's good.
[01:57:04.360 --> 01:57:05.821]  That's God's creation.
[01:57:06.202 --> 01:57:06.942]  That's heaven.
[01:57:07.282 --> 01:57:08.263]  This way is hell.
[01:57:08.543 --> 01:57:20.092]  And you could see towards the Colorado, the city, the evil city and the night and these people yelling and screaming and saying horrible things as the beautiful moon came up and the sun set.
[01:57:20.552 --> 01:57:21.853]  And it was just an archetype.
