[00:00:00.009 --> 00:00:02.093]  Host, direct from Austin.
[01:31:19.513 --> 01:31:22.977]  So why are the social engineers adding it to the water?
[01:31:23.337 --> 01:31:23.717]  Simple.
[01:31:23.897 --> 01:31:28.242]  Dumb down the host population that the parasitic technocracy is feeding on.
[01:31:28.622 --> 01:31:34.086]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[01:31:34.327 --> 01:31:50.399]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[01:31:50.680 --> 01:31:54.883]  Let's take a stand against the globalists by blocking their poisons with Fluoride Shield.
[01:31:55.223 --> 01:31:57.064]  I use Fluoride Shield every day.
[01:31:57.384 --> 01:32:02.687]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[01:32:02.947 --> 01:32:07.189]  Let's start cleansing our bodies now and support the Info War at the same time.
[01:32:07.349 --> 01:32:09.190]  That's InfoWarsLife.com.
[01:32:09.450 --> 01:32:19.615]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting 100% organic coffee on the planet for more than a decade.
[01:32:19.815 --> 01:32:26.759]  My favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:32:26.920 --> 01:32:31.643]  We have now managed to secure these sought-after beans in a highly customized blend.
[01:32:31.803 --> 01:32:38.207]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:32:38.587 --> 01:32:45.671]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:32:45.751 --> 01:32:52.634]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:32:52.774 --> 01:32:57.136]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:32:57.256 --> 01:33:00.478]  Available in original or with our immune support infusion blend.
[01:33:00.538 --> 01:33:00.898]  This is our land.
[01:33:00.918 --> 01:33:01.878]  These are our people.
[01:33:01.898 --> 01:33:02.279]  The workers.
[01:33:29.923 --> 01:33:35.126]  The answer to 1984 is 1776.
[01:33:59.981 --> 01:34:02.706]  You're listening to the Alex Jones Show.
[01:34:06.152 --> 01:34:11.081]  We're going back to Charlotte Isserby, the greatest education whistleblower ever.
[01:34:13.373 --> 01:34:15.916]  And there she was, the head of policy of the Department of Education.
[01:34:15.936 --> 01:34:18.599]  Of course, Ronald Reagan was just a figurehead.
[01:34:19.240 --> 01:34:21.523]  But the system was there using that agenda.
[01:34:21.543 --> 01:34:29.273]  That's why they get more done when Republicans are in power for socialism and gun control than they even get when Democrats are in, except now with Obama.
[01:34:30.762 --> 01:34:35.147]  I mean, I hate to think what the next one's going to be like as they've turned the office into a dictatorship.
[01:34:35.187 --> 01:34:39.492]  And I want to ask Charlotte where we're going if we don't turn this around here in a moment.
[01:34:39.773 --> 01:34:45.399]  What's frustrating is when you've read the Carnegie Endowment documents, when you've read the committee hearings from Congress,
[01:34:46.320 --> 01:34:47.380]  You can go to her websites.
[01:34:47.721 --> 01:34:51.382]  They have the books for free, including books written by globalists.
[01:34:52.102 --> 01:35:04.847]  In one case, she was offered basically unlimited millions of dollars to turn over a book that they were able to secure through their inside connections, because the globalists write these books that are only for top technicians, like Tragedy and Hope.
[01:35:05.367 --> 01:35:07.908]  And we're going to talk about that in a minute when we go back to her.
[01:35:07.948 --> 01:35:10.789]  But it's all up on the sites where they lay it all out.
[01:35:10.829 --> 01:35:14.531]  It's not like I know what's coming, because I just had a vision at 2 a.m.
[01:35:16.209 --> 01:35:17.149]  That's what's frustrating.
[01:35:18.009 --> 01:35:24.731]  They literally, in the 80s, were saying, humans will be known as carbon units and won't be able to talk if we let you live.
[01:35:25.951 --> 01:35:32.452]  I mean, these people, it is so mega-evil that it's hard to believe, but it's all happening.
[01:35:32.732 --> 01:35:44.875]  And by the way, we sell the book, Behind the Green Mask, that she was mentioning is interviewed in her film, in her eight-disc set, with Rosa Corey, and it's the best little primer breaking it down, but it's total enslavement through the economy.
[01:35:45.745 --> 01:35:48.188]  Where the globalists are above the law and exempt from all their laws.
[01:35:48.308 --> 01:35:52.113]  It is absolute discrimination of the greatest magnitude.
[01:35:53.615 --> 01:36:04.049]  Now briefly, ladies and gentlemen, we are running out of the proprietary pure nascent iodine that has just done wonders for myself and my family and the thyroid that protects you from a lot of these isotopes.
[01:36:06.820 --> 01:36:08.361]  We haven't sold out of it in a month.
[01:36:08.702 --> 01:36:12.144]  We are basically going to be sold out if it keeps selling like it is by Monday.
[01:36:12.505 --> 01:36:27.737]  So if you want Survival Shield InfoWars Life Nascent Iodine, you've heard the rave reviews from listeners, and all the things it does, just go watch the video, read the medical, you know, links that are out there, the information, the research, consult your physician, and then check it out.
[01:36:28.117 --> 01:36:31.400]  Survival Shield InfoWars Life Nascent Iodine.
[01:36:32.020 --> 01:36:45.961]  Now, even if that sells out, the good news is we have the fluoride shield in a double the size bottle that also has nascent iodine in it with five other key compounds known to get fluoride out, heavy metals, you name it, other members of the borine family.
[01:36:46.954 --> 01:36:48.316]  So, or the halogen family.
[01:36:48.937 --> 01:36:50.038]  So, it's all there.
[01:36:50.178 --> 01:36:51.199]  See the information.
[01:36:51.239 --> 01:36:57.046]  See the interviews with the doctors and scientists and nutritionists at InfoWarsLife.com.
[01:36:57.667 --> 01:37:06.298]  And thank you for your support also, but we have committed to you to bring you the highest quality products to InfoWarsLife.com to be truly independent and fund our own operation.
[01:37:07.674 --> 01:37:10.958]  Most revolutionaries rob banks to fund their operations.
[01:37:10.998 --> 01:37:11.939]  That's what the communists do.
[01:37:12.239 --> 01:37:19.186]  We're free market, and the mainstream media criticizes us for being free and independent, selling high-quality products, like the Chiapas, High Mountain.
[01:37:20.743 --> 01:37:23.225]  A shade-grown, inorganic, volcanic soil coffee.
[01:37:23.265 --> 01:37:24.205]  It was my favorite coffee.
[01:37:24.485 --> 01:37:27.047]  I finally, after years, found a source to the farmers.
[01:37:27.487 --> 01:37:28.048]  We have it.
[01:37:28.348 --> 01:37:29.128]  And people tried it.
[01:37:29.148 --> 01:37:29.729]  They're blown away.
[01:37:29.789 --> 01:37:32.511]  Wake Up America Coffee at Infowarslife.com.
[01:37:32.531 --> 01:37:33.291]  Two different blends.
[01:37:34.492 --> 01:37:35.232]  Medium roast.
[01:37:35.292 --> 01:37:35.853]  My favorite.
[01:37:36.513 --> 01:37:37.013]  People agree.
[01:37:37.053 --> 01:37:38.794]  It's their favorite or they say it's excellent.
[01:37:39.175 --> 01:37:40.476]  I mean, it's all up to taste.
[01:37:40.496 --> 01:37:44.198]  But Infowarslife.com or call toll free 888-253-3139.
[01:37:44.218 --> 01:37:45.939]  The federal government just ordered
[01:37:50.376 --> 01:37:54.345]  Just ordered 14 million doses.
[01:37:54.365 --> 01:37:56.310]  14 million doses.
[01:38:01.029 --> 01:38:06.674]  of iodine because of what's happening in Fukushima and all the reports of that and the radiation wave coming our way and all of this.
[01:38:06.974 --> 01:38:12.198]  That's how I, five, six months ago, discovered TruNation iodine of this proprietary type.
[01:38:12.218 --> 01:38:13.739]  It did such wonders for me.
[01:38:13.899 --> 01:38:17.702]  I said, I want to basically, you know, buy you to where I can put this out.
[01:38:17.983 --> 01:38:19.284]  That's what I want to bring my people.
[01:38:19.364 --> 01:38:21.846]  I want to make sure you've got enough of it and you can supply it.
[01:38:22.466 --> 01:38:23.306]  And that's what we've done.
[01:38:23.386 --> 01:38:24.567]  So Infowarslife.com.
[01:38:24.607 --> 01:38:25.387]  Alright, enough from me.
[01:38:25.947 --> 01:38:38.032]  Going back to Charlotte Iserby, who was the head of policy, Department of Education in the 1980s, and was able to get this information in her book.
[01:38:38.672 --> 01:38:42.554]  The deliberate dumbing down of America that breaks down what's happening.
[01:38:42.574 --> 01:38:48.057]  But again, the globalists will use their own created crisis to bring in the solution.
[01:38:48.337 --> 01:38:50.338]  It's not that the government-run education is good.
[01:38:50.859 --> 01:39:00.824]  It's that their solution is Bill and Melinda Gates Foundation, Carnegie Endowment, Ford Foundation to come in and it's the same stuff that's being taught in the public schools.
[01:39:01.164 --> 01:39:04.206]  They just take the best students and say, aren't you lucky?
[01:39:04.786 --> 01:39:07.888]  And then you pay to put your kids in a brainwashing camp.
[01:39:08.569 --> 01:39:10.475]  So again, they wrecked the schools.
[01:39:10.755 --> 01:39:11.618]  They know you're gonna run.
[01:39:11.678 --> 01:39:12.962]  They've got the next scam.
[01:39:13.724 --> 01:39:14.847]  Charlotte, keep breaking it down.
[01:39:15.708 --> 01:39:32.382]  Well, I'd like to point out that there's going to be absolutely no, there's no difference between what they want to put in under the charter schools, the tax support in private education, the complete takeover of private education and destruction of the public school system.
[01:39:32.802 --> 01:39:37.026]  Because the charter schools are pulling the students out of the public school system.
[01:39:37.326 --> 01:39:40.288]  Now, I've never been one to defend public education.
[01:39:40.349 --> 01:39:41.790]  I do defend it on the teachers.
[01:39:42.190 --> 01:39:45.832]  Because I know what they've had to go through through the years.
[01:39:45.972 --> 01:39:53.355]  And so much of exposing the global road to ruin through education, we have interviews with public school teachers.
[01:39:53.836 --> 01:39:55.576]  That's why it makes it so special.
[01:39:55.957 --> 01:40:02.720]  The people involved in this product of ours are not affiliated with any political group in this country.
[01:40:03.160 --> 01:40:04.321]  We are all independent.
[01:40:04.641 --> 01:40:06.623]  We've been working with public school teachers.
[01:40:06.923 --> 01:40:13.608]  We have an administrator right from Austin, Texas, who gives out the information on what they're doing in Austin with the charter schools.
[01:40:14.168 --> 01:40:19.632]  But what I want to point out here is that our disc set has a recommendation in it.
[01:40:20.072 --> 01:40:38.244]  Exposing the Global Road to Ruin Through Education, which you can get at Amazon or at my website, click on Amazon link there, has the, one of the last disc I believe, has the toolkit, a to-do list, what we can do to take back America.
[01:40:38.284 --> 01:40:40.526]  Now I don't know of any other product out there
[01:40:41.406 --> 01:40:44.971]  That really has a list with 24 or 25 items on it.
[01:40:45.632 --> 01:40:52.380]  It can be done, but you're going to have to understand that we're between a rock and a hard place.
[01:40:53.241 --> 01:40:54.683]  The rock is really lethal.
[01:40:55.672 --> 01:41:05.624]  That is the corporate side with the governors, with the president, with the Heritage Foundation, with all of the phony Trotskyites.
[01:41:05.664 --> 01:41:08.728]  And by the way, Alex, I don't believe Reagan was a figurehead.
[01:41:09.288 --> 01:41:13.153]  He was very deeply involved in signing the agreements with the Soviet Union.
[01:41:13.173 --> 01:41:14.014]  He was in Moscow.
[01:41:14.054 --> 01:41:14.435]  He did it.
[01:41:15.552 --> 01:41:19.497]  Ed Curran, the greatest educator, went to get rid of his own office in the department.
[01:41:19.537 --> 01:41:21.740]  The NIE was fired by Reagan.
[01:41:22.281 --> 01:41:27.328]  I can't defend Reagan on this, but I don't defend one single president since Coolidge.
[01:41:28.887 --> 01:41:34.312]  No, no, I'm not saying, I mean, he was known as Red Ronnie when he was a communist before he became a supposed conservative.
[01:41:34.332 --> 01:41:37.375]  You might, Charlotte, mention to people who the Trotskyites are.
[01:41:37.395 --> 01:41:40.658]  For those that don't know, Trotsky was run out by Stalin.
[01:41:40.959 --> 01:41:45.243]  They came to Mexico and created the neoconservative movement and took over.
[01:41:45.939 --> 01:41:50.363]  And he was responsible for killing four million Russians, too, if people would like to know that.
[01:41:50.704 --> 01:42:00.773]  Now, in the disc set, there's one flower, Kelly Nelson from Tennessee, who's been researching the phony right, the neocon Trotskyites, for 40 years!
[01:42:02.461 --> 01:42:24.417]  She lists, she gets up there and she lists every single group in this country and every single individual who have been involved, pretending they love America and the Constitution, working with the Council on Foreign Relations, which, you know, the CFR, as I said before, CFR, Heritage, Obama, and Gerstner,
[01:42:25.660 --> 01:42:35.411]  All in bed with the same agenda to destroy our academic system, tear it down and put in the Soviet system, which is what Reagan was involved in doing.
[01:42:35.751 --> 01:42:37.052]  I have all the documents, okay?
[01:42:37.733 --> 01:42:42.718]  Now the school system going in, folks, we had a pilot in my little town here in Dresden, Maine.
[01:42:43.459 --> 01:42:44.800]  It's all over the country now.
[01:42:45.021 --> 01:42:45.901]  It's international.
[01:42:46.302 --> 01:42:48.664]  It's called Reinventing School Coalition.
[01:42:49.305 --> 01:42:53.429]  It takes away all grades, A, B, C, D. It takes away K through 12.
[01:42:54.209 --> 01:42:56.972]  It takes away the units for math, for law, etc.
[01:42:57.512 --> 01:43:01.356]  It uses the Malcolm Baldrige Award, Total Quality Management.
[01:43:01.796 --> 01:43:04.099]  That is the system going in across the country.
[01:43:04.839 --> 01:43:11.542]  It was first experimented on, and I was noticing laughter after I speak, you've got something to do with the minorities, how they've been experimented on.
[01:43:12.242 --> 01:43:16.524]  On my website, I have a paper called Experimentation on Minorities.
[01:43:17.204 --> 01:43:24.667]  They used the minorities from 1965 on, with the Skinner Method, OBE, they didn't care whether they failed and went down the tubes.
[01:43:25.047 --> 01:43:33.170]  Once they got the method and the restructuring of American education, no grades, all this I've been talking about, perfected, they're giving it to all of us now.
[01:43:33.630 --> 01:43:35.111]  No, no, no, that's on record.
[01:43:35.131 --> 01:43:52.968]  The wrecking the family, the turning people into all this horrible stuff, that was done to the minorities and now they're going to move it into everything and have, whether you're black, white, Hispanic, middle class and have money, you're going to beg to put your kid into the fancy brainwashing that has already been used to wreck the inner city.
[01:43:53.484 --> 01:43:55.507]  You have a very, that's very good.
[01:43:55.527 --> 01:43:57.790]  I mean, that was the Chicago Mastery Learning Plan.
[01:43:57.810 --> 01:44:00.594]  Which Obama helped push.
[01:44:01.134 --> 01:44:01.435]  Oh yeah.
[01:44:01.795 --> 01:44:03.558]  Well, I don't know, but it was way back in 1968.
[01:44:03.858 --> 01:44:08.705]  No, but I'm saying Obama took those later programs and helped destroy the private schools in Chicago.
[01:44:09.105 --> 01:44:10.705]  Well, yeah, that's true.
[01:44:11.346 --> 01:44:32.831]  Lee Schulman, the professor involved in the Chicago Master Learning Disaster, which was referred to by Education Week as a human disaster of enormous proportions, that man is working with a Catholic Education Association to put Common Core into the Catholic schools with his spin.
[01:44:33.291 --> 01:44:38.292]  This is the man responsible for the destruction of the inner city schools.
[01:44:38.732 --> 01:44:39.592]  Between 1970 and 1980.
[01:44:39.812 --> 01:44:42.693]  But Charlotte, let's be clear.
[01:44:42.753 --> 01:44:45.234]  It's not a disaster, as you know, in the documents.
[01:44:45.294 --> 01:44:46.094]  It is planned.
[01:44:46.914 --> 01:44:47.594]  Absolutely.
[01:44:47.794 --> 01:44:54.436]  Every single thing is planned, and I hope that inner-city minority people are listening to this today, because they were used.
[01:44:55.016 --> 01:44:56.636]  Again, they're always used.
[01:44:56.776 --> 01:44:58.897]  The whole integration thing managed to use them.
[01:44:59.337 --> 01:45:03.038]  And I might point out, Alex, talking about the order at Yale, huh?
[01:45:03.838 --> 01:45:04.278]  Thank you.
[01:45:04.419 --> 01:45:08.641]  I managed for the first time to see that great interview that the guys came up here to do.
[01:45:08.721 --> 01:45:09.862]  I saw it last week.
[01:45:10.562 --> 01:45:12.504]  And the one with Sutton and me and all that.
[01:45:12.524 --> 01:45:13.124]  Yes.
[01:45:13.424 --> 01:45:15.185]  And got almost half a million hits.
[01:45:15.385 --> 01:45:16.186]  I was amazed.
[01:45:16.666 --> 01:45:19.608]  But I found another smoking gun there.
[01:45:20.568 --> 01:45:26.912]  And he was very responsible for the black experimentation on the blacks, so-called integration and all.
[01:45:30.302 --> 01:45:36.689]  It's absolutely amazing that I had not found this before, and I'm so excited about it.
[01:45:36.709 --> 01:45:37.870]  I can't even remember his name right now.
[01:45:38.591 --> 01:45:39.752]  But it is in the book.
[01:45:39.792 --> 01:45:43.856]  It's in one of the little black books.
[01:45:44.317 --> 01:45:50.864]  And he came after Francis Keppel, and he was a commissioner, and I'm looking right now for the papers.
[01:45:51.204 --> 01:45:52.126]  I can't find it.
[01:45:52.146 --> 01:46:01.741]  But what's important is on your websites, give those out, you have a lot of the books and stuff totally free including their books that they fought to not have you publish online.
[01:46:01.781 --> 01:46:03.143]  Tell folks about some of those books.
[01:46:03.922 --> 01:46:04.442]  Well, yes.
[01:46:06.704 --> 01:46:09.747]  Actually, it was the Reese Committee hearings, 3,000 pages.
[01:46:10.047 --> 01:46:10.708]  As a block, yeah.
[01:46:11.108 --> 01:46:21.657]  Reese Committee hearings that I bought from someone who worked for the Intelligence Committee, for that committee that did the investigation of the tax exempt foundations.
[01:46:22.438 --> 01:46:23.339]  And I finally bought it.
[01:46:23.379 --> 01:46:30.084]  But he's the one that was offered any amount of money by the minions of the foundations for that one copy.
[01:46:30.925 --> 01:46:34.568]  Because they didn't want the American people to know what had gone on during those hearings.
[01:46:34.648 --> 01:46:43.876]  And I mentioned earlier, you know, that the importance of... Well, give the website up, because we're going to go to the site and show people on TV right now, not just radio.
[01:46:44.196 --> 01:46:49.240]  We're going to show them that document so they can go and get it, because it shouldn't just sit there.
[01:46:49.260 --> 01:46:50.281]  It's so important.
[01:46:50.301 --> 01:47:00.169]  People, especially academics and educators and policy wonks, should really go read their own blueprint and understand they're part of the systematic destruction of the mind.
[01:47:01.078 --> 01:47:08.721]  Well, it's at americandeception.com, and you can type in Dodd, Norman Dodd, or Investigation.
[01:47:09.742 --> 01:47:16.624]  The other important document that isn't as long is the Conclusions and Recommendations for the Social Studies, 1934.
[01:47:16.744 --> 01:47:19.866]  I call that THE smoking gun.
[01:47:20.426 --> 01:47:22.087]  That is, I talked about it earlier.
[01:47:22.107 --> 01:47:24.348]  People get bored with me.
[01:47:24.968 --> 01:47:27.489]  That's Carnegie's plan to use the schools
[01:47:28.700 --> 01:47:34.942]  to change America's capitalist economic system, and they even talk about taking our land.
[01:47:35.543 --> 01:47:43.946]  And Carnegie, from that time on, 1934, every five years, gave money to Education Commission of the States, the National Assessment.
[01:47:44.046 --> 01:47:48.187]  Okay, Common Core people, National Assessment, that's it, that's what you're dealing with.
[01:47:48.667 --> 01:47:57.531]  Now, the Education Commission of the States, the agreements with the Soviet Union, the Carnegie's agreement with the Soviet Academy of Science,
[01:47:58.598 --> 01:48:03.420]  To develop computer courseware in critical thinking, which is Marxist thinking.
[01:48:03.660 --> 01:48:27.452]  By the way, I've seen the Calhoun reader put out, it was about a decade ago, the University of Texas was using it for social workers, we showed it on air, and it was Bob Dacey actually brought it to me, because I'm going from memory, one of his sons was going to school to be a police officer, which he is now a state police, so he had to read this, and it said, we're going to get rid of the family, it belongs to an arcane age, I'm quoting that,
[01:48:27.972 --> 01:48:30.976]  I mean, this is the type of crazy stuff.
[01:48:31.497 --> 01:48:33.660]  They openly say we're getting rid of the family.
[01:48:33.760 --> 01:48:34.261]  It's bad.
[01:48:34.941 --> 01:48:36.884]  Well, nobody, and nobody believes it.
[01:48:37.104 --> 01:48:40.128]  I have to point out there is no way for the American people.
[01:48:41.089 --> 01:48:42.249]  To turn this thing around.
[01:48:43.049 --> 01:48:44.730]  Unless they have the history.
[01:48:45.470 --> 01:48:47.971]  Now I did the history for them in the deliberate dumbing down.
[01:48:48.291 --> 01:48:48.851]  And it's there.
[01:48:48.891 --> 01:48:49.791]  It's free as a download.
[01:48:49.831 --> 01:48:50.231]  That's good.
[01:48:50.851 --> 01:48:54.752]  They can get the hard copy at your site and at Amazon.
[01:48:54.992 --> 01:48:57.533]  But the most important one we've done.
[01:48:58.633 --> 01:49:07.275]  Why would I go to the trouble of the last two years putting this together is exposing the global road to ruin through education.
[01:49:08.095 --> 01:49:22.918]  It is definitely, because it gives Americans a toolkit to go out, show these things to your neighbors, to ministers, to businessmen especially, who have no idea they're going to be going out of business if they don't take money from the government, right?
[01:49:23.678 --> 01:49:32.980]  To educate schoolteachers, public schoolteachers, forget it, oh God, everybody sort of knows they're going to have Teach for America, these brainwashed
[01:49:33.820 --> 01:49:37.163]  College kids coming in to monitor on the computer.
[01:49:37.363 --> 01:49:37.643]  Okay.
[01:49:37.983 --> 01:49:39.565]  No, but go, please.
[01:49:39.665 --> 01:49:40.545]  I plead with you.
[01:49:40.565 --> 01:49:44.829]  This is the last product that you'll get out of me.
[01:49:44.849 --> 01:49:49.933]  I tried so hard with how many different publications and everything to get this word out.
[01:49:51.831 --> 01:49:55.095]  You know, it's good that Delivered Towing Down is a free download.
[01:49:55.135 --> 01:49:55.875]  That's great.
[01:49:55.955 --> 01:49:57.677]  You could go there, cut, paste, send stuff out.
[01:49:57.697 --> 01:50:00.019]  But Charlotte, you have fought so hard.
[01:50:00.059 --> 01:50:01.741]  You don't need to do this for the money.
[01:50:01.761 --> 01:50:07.306]  You know, your successful business and your life and your late husband, everything you've done, you've fought for.
[01:50:07.367 --> 01:50:09.368]  It's got to be 50 years for education.
[01:50:10.089 --> 01:50:11.249]  And you've done so much.
[01:50:11.370 --> 01:50:13.430]  And if it wasn't for people like you, they would have already won.
[01:50:14.010 --> 01:50:14.951]  And exactly.
[01:50:14.971 --> 01:50:17.472]  We're not saying public education and Common Core are good.
[01:50:17.852 --> 01:50:19.112]  They've already wrecked that.
[01:50:19.512 --> 01:50:21.213]  Now they're taking over all the other.
[01:50:21.253 --> 01:50:25.794]  We need true local schools, true local private, true local public.
[01:50:26.115 --> 01:50:27.995]  We need true local homeschooling.
[01:50:28.315 --> 01:50:29.156]  And I've seen it.
[01:50:29.556 --> 01:50:31.196]  You cannot find homeschooling groups.
[01:50:31.236 --> 01:50:32.877]  You cannot find homeschooling academies.
[01:50:33.317 --> 01:50:35.578]  You cannot find any private schools or churches.
[01:50:35.838 --> 01:50:37.718]  We go to mega churches, we go to small churches.
[01:50:37.978 --> 01:50:39.559]  They're all preaching government doctrine.
[01:50:39.879 --> 01:50:42.660]  I talk to the preachers, they admit they're basically government stooges.
[01:50:43.100 --> 01:50:45.161]  I mean, this is so deep, it's so bad.
[01:50:45.641 --> 01:50:52.523]  Alex, look, let me point out, our recommendation is to restructure, rebuild the public school system.
[01:50:53.023 --> 01:50:57.584]  Because it is less lethal than what we're looking at on the other side.
[01:50:57.624 --> 01:50:59.805]  The other side is the end of freedom for America.
[01:51:00.436 --> 01:51:02.457]  Alright, well we're gonna have to have you back on to research this more.
[01:51:02.517 --> 01:51:03.197]  Thank you so much.
[01:51:03.497 --> 01:51:05.418]  Phone calls, folks, are coming up for two segments.
[01:51:05.658 --> 01:51:08.240]  Then another guest on the Black Genocide Agenda.
[01:51:09.940 --> 01:51:10.781]  The facts are in.
[01:51:10.941 --> 01:51:12.081]  The studies are legion.
[01:51:12.362 --> 01:51:19.745]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[01:51:19.885 --> 01:51:23.347]  So why are the social engineers adding it to the water?
[01:51:23.707 --> 01:51:24.107]  Simple.
[01:51:24.267 --> 01:51:28.609]  Dumb down the host population that the parasitic technocracy is feeding on.
[01:51:28.969 --> 01:51:34.454]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[01:51:34.694 --> 01:51:40.059]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation.
[01:51:40.399 --> 01:51:50.748]  Using six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[01:51:51.028 --> 01:51:52.870]  Let's take a stand against the globalists.
[01:51:52.990 --> 01:51:55.273]  By blocking their poisons with Fluoride Shield.
[01:51:55.593 --> 01:51:57.455]  I use Fluoride Shield every day.
[01:51:57.755 --> 01:52:03.061]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[01:52:03.322 --> 01:52:07.566]  Let's start cleansing our bodies now and support the Info War at the same time.
[01:52:07.727 --> 01:52:08.988]  That's InfoWarsLife.com
[01:52:10.472 --> 01:52:15.535]  To thank you for being a loyal listener, we have a limited time freebie offer for you.
[01:52:16.215 --> 01:52:21.878]  Claim your free heirloom tomato seeds, just pay shipping, right now at 123freeseeds.com.
[01:52:24.540 --> 01:52:26.403]  These aren't ordinary seeds.
[01:52:26.863 --> 01:52:35.735]  These are heirloom, non-genetically modified, super seeds that are open pollinated and can be grown, harvested, and replanted endlessly.
[01:52:36.376 --> 01:52:41.443]  These survival seeds are actually more valuable than gold in a crisis.
[01:52:42.316 --> 01:52:54.299]  Go to 123freeseeds.com and you can get an airtight storage packet of 150 super seeds free while supplies last to say thank you for being a loyal listener.
[01:52:54.979 --> 01:52:56.580]  First come, first served.
[01:52:56.980 --> 01:52:57.900]  Just cover shipping.
[01:52:58.520 --> 01:53:04.842]  Go to 123freeseeds.com now to see if your free heirloom seeds are still available.
[01:53:05.242 --> 01:53:05.982]  That's 123freeseeds.com.
[01:53:09.946 --> 01:53:13.448]  For over five years, you've been hearing about the Berkey guy.
[01:53:13.748 --> 01:53:15.549]  So you may know a few things about him.
[01:53:15.849 --> 01:53:22.092]  For example, you are well aware of the superior quality and effectiveness of Berkey water filters and accessories.
[01:53:22.532 --> 01:53:27.775]  But did you know the Berkeys have had independent lab tests done to prove just how effective they are?
[01:53:28.115 --> 01:53:30.656]  It's true, and he can email you the test results.
[01:53:30.996 --> 01:53:32.897]  Just visit GoBerky.com.
[01:53:33.157 --> 01:53:38.039]  You may also know that the Berky Guy has helped tens of thousands of people get better prepared.
[01:53:38.299 --> 01:53:39.840]  Now here's something you may not know.
[01:53:40.200 --> 01:53:47.163]  GoBerky.com has amazing specials and deals all the time on a wide variety of survival and preparedness products.
[01:53:47.383 --> 01:53:48.243]  I was a highway man
[01:54:17.322 --> 01:54:42.152]  Along the coach roads I did ride With sword and pistol by my side Many a young maid lost her marbles to my trade Many a soldier shed his lifeblood on my blade The bastards hung me in the spring of twenty-five
[01:54:44.668 --> 01:54:47.309]  See, the issue is they wreck everything.
[01:54:47.949 --> 01:54:49.670]  And they get control of everything.
[01:54:49.750 --> 01:54:52.991]  And now these foundations are going to get all the property taxes.
[01:54:53.551 --> 01:54:56.032]  Which is what they've always wanted to do.
[01:54:56.092 --> 01:54:57.552]  They socialize it and wreck it.
[01:54:58.073 --> 01:55:00.413]  Then they corporatize it and make it fascist after.
[01:55:00.793 --> 01:55:02.074]  That's how the globalists operate.
[01:55:02.094 --> 01:55:03.894]  They create socialism, then communism.
[01:55:04.234 --> 01:55:08.496]  Things collapse and they come in and reorganize under corporatism that's not really free market.
[01:55:09.602 --> 01:55:10.443]  And that's what they're doing.
[01:55:11.244 --> 01:55:17.169]  But as for me, my children are 100% homeschooled, and they're just done with the system.
[01:55:18.670 --> 01:55:22.274]  Because it doesn't matter where you go, folks, the culture is falling to evil.
[01:55:22.794 --> 01:55:24.256]  The culture is falling to tyranny.
[01:55:25.316 --> 01:55:29.580]  And I support what Ron Paul's doing, the move towards true homeschooling.
[01:55:30.321 --> 01:55:33.104]  And who cares if it's... homeschools want to be accredited.
[01:55:33.939 --> 01:55:40.223]  So they all go and do an accredited program, which puts you under government control and surveillance, to go to a college where you're never going to get a job in the future?
[01:55:40.923 --> 01:55:43.485]  A whole new world's coming of nanotech robots.
[01:55:44.325 --> 01:55:47.167]  Knowing how the world really works is going to be the value in the future.
[01:55:47.487 --> 01:55:53.070]  Knowing how to skin a buck, run a trot line, grow a garden, be in the underground economy.
[01:55:53.691 --> 01:55:56.712]  To know how to live outside the system, but in it as much as you can.
[01:55:57.233 --> 01:55:58.654]  Outside the system, but still in it.
[01:55:59.254 --> 01:56:00.615]  Of the system, but not part of it.
[01:56:01.095 --> 01:56:02.515]  You understand, living in both worlds.
[01:56:02.755 --> 01:56:04.256]  It's going to be a wild time coming.
[01:56:06.376 --> 01:56:13.018]  I mean, I've just got to get an herb garden going and learn how to produce my own herbs and you name it, and stockpile stuff.
[01:56:13.038 --> 01:56:15.238]  They're going to ban most of the supplements in the next few years.
[01:56:15.738 --> 01:56:16.999]  I mean, it's just getting crazy.
[01:56:17.039 --> 01:56:17.859]  I said I'd go to your calls.
