[00:00:00.029 --> 00:00:00.629]  It's your family.
[01:27:17.597 --> 01:27:35.329]  I don't think we've actually coined a phrase for it, or maybe there is, but it's kind of externalizing people's fears as a way for them to not only be afraid, but in some way to adapt to them.
[01:27:36.710 --> 01:27:46.097]  Tommy Frank's statement, for instance, regarding that Cigar Aficionado magazine that came out recently, his long interview there,
[01:27:46.792 --> 01:27:54.155]  Which he says, well, you know, if another terrorist action, we might have to say goodbye to the Constitution and go with a military-style government.
[01:27:54.715 --> 01:27:59.756]  Kind of pretending as though, you know, that's not what it is that he wants, but the floating of these ideas.
[01:28:01.197 --> 01:28:09.580]  The Pentagon awarded, gave an award to a writer who wrote a piece in 1994.
[01:28:10.600 --> 01:28:14.642]  The title of the piece was Military Coup in 2012.
[01:28:16.810 --> 01:28:17.511]  I don't know.
[01:28:30.121 --> 01:28:40.548]  I mean, that's a big deal to have generals talking about the next step being martial law, or, hey, maybe torture's good.
[01:28:40.568 --> 01:28:45.191]  As you said, floating it out there, where we even have debates about it.
[01:28:45.412 --> 01:28:47.493]  Well, is martial law what we need?
[01:28:47.513 --> 01:28:48.073]  Yeah.
[01:28:48.334 --> 01:28:54.538]  Well, because it requires a certain conditioning of the population, so there'll be rationalizations
[01:28:55.208 --> 01:29:01.449]  For the use of non-lethal weapons, there'll be rationalizations put forth to try to convince the people.
[01:29:01.810 --> 01:29:07.591]  But I think the American people understand clearly, in some respects, what's going on.
[01:29:07.611 --> 01:29:09.851]  There's obviously an element of fear.
[01:29:10.471 --> 01:29:17.053]  But our campaign, for instance, demilitarizing the police, what we're looking at is we have to delineate
[01:29:17.475 --> 01:29:34.075]  The way in which we can break these, you know, we can stop these developments in the areas of weaponry that's being, that people are, these local law enforcement agencies are receiving the electromagnetic pulse weaponry and so forth.
[01:29:34.456 --> 01:29:36.919]  Those things, we can identify those as the public funds.
[01:29:37.321 --> 01:29:40.342]  There's a public, these are contracts that are made, these people are buying these things.
[01:29:40.422 --> 01:29:41.763]  I tell you what, Frank, we got a break again.
[01:29:41.783 --> 01:29:48.586]  I want to come back and talk about those weapons and solutions and what you see in the next year or two if we don't stop this.
[01:29:48.746 --> 01:29:50.427]  And we'll take your calls at 800-259-9231.
[01:29:50.467 --> 01:29:51.047]  We're on the march.
[01:29:51.167 --> 01:29:52.208]  The Empire's on the run.
[01:29:52.228 --> 01:29:55.089]  Alex Jones and the GCN Radio Network.
[01:30:04.978 --> 01:30:10.220]  It's here and Ted Anderson from Midas Resources wants to be sure you call right now and get yours today.
[01:30:10.620 --> 01:30:13.101]  It's the 22nd Edition Blue Book of Gun Values.
[01:30:13.361 --> 01:30:19.184]  I love going to all the big gun shows and now I can buy with the comfort of knowing exactly what that old Winchester is really worth.
[01:30:19.624 --> 01:30:25.206]  Armed with the 22nd Edition Blue Book of Gun Values makes you more knowledgeable and makes gun collecting more profitable.
[01:30:25.647 --> 01:30:31.689]  The 22nd Edition Blue Book of Gun Values contains more information and firearm values than any other publication.
[01:30:32.029 --> 01:30:36.354]  Over 1600 pages with the most accurate firearm prices available.
[01:30:36.514 --> 01:30:41.220]  The 22nd edition Blue Book of Gun Values contains nearly 1 million words of text.
[01:30:41.540 --> 01:30:46.726]  No other book even comes close and most of the information in this publication is not available anywhere else.
[01:30:47.327 --> 01:30:53.556]  Take the guesswork out of your next gun purchase by calling Midas Resources and ordering your copy of the Blue Book of Gun Values today.
[01:30:53.756 --> 01:30:54.477]  They're only $34.95 plus shipping.
[01:30:54.497 --> 01:30:54.897]  So call now, 1-800-686-2237.
[01:30:54.917 --> 01:30:55.278]  That's 1-800-686-2237.
[01:31:03.820 --> 01:31:04.260]  Gold.
[01:31:04.620 --> 01:31:05.901]  It's like nothing else on Earth.
[01:31:06.161 --> 01:31:12.243]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[01:31:12.443 --> 01:31:16.264]  For 6,000 years, gold has remained the ultimate store of wealth.
[01:31:16.604 --> 01:31:18.505]  According to the World Gold Council and the U.S.
[01:31:18.545 --> 01:31:18.725]  Mint,
[01:31:19.085 --> 01:31:20.826]  Demand is at an all-time high.
[01:31:20.966 --> 01:31:28.690]  The stage is being set for the re-emergence of gold as the common-sense alternative to a fiat paper currency that gets weaker every day.
[01:31:29.070 --> 01:31:37.974]  Midas Resources is proud to offer the hard-hitting report that arms you with the truth you need to protect you and your family from the Fed's plans for your hard-earned money.
[01:31:38.134 --> 01:31:39.255]  Don't gamble with your future.
[01:31:39.435 --> 01:31:43.697]  Call Midas Resources today and ask for your free copy of As Good As Gold.
[01:31:43.877 --> 01:31:44.157]  Call 1-800-686-2100.
[01:31:46.078 --> 01:31:46.418]  Thank you.
[01:32:03.300 --> 01:32:06.862]  Are you one of the millions of Americans who suffer from gum disease like gingivitis?
[01:32:07.122 --> 01:32:08.542]  If so, hope has arrived.
[01:32:09.023 --> 01:32:10.463]  I'd like to introduce you to Vitamir.
[01:32:10.743 --> 01:32:15.906]  Vitamir is the all-natural toothpaste and mouthwash designed to protect against and promote healing of gum disease.
[01:32:16.266 --> 01:32:20.748]  Unlike most toothpaste and mouthwash, Vitamir contains no alcohol, no sugar, and no fluoride.
[01:32:21.068 --> 01:32:29.752]  Instead, Vitamir products contain zinc to inhibit plaque growth and promote healing, folic acid to reduce inflammation, myrrh, used since biblical times for gum disease, and clove oil.
[01:32:30.212 --> 01:32:31.313]  Gum disease is serious.
[01:32:31.826 --> 01:32:35.568]  Research links gum disease to health problems like diabetes, stroke, and heart disease.
[01:32:35.848 --> 01:32:42.471]  With a regular program of oral hygiene including Vitamir toothpaste and mouthwash, your chances of experiencing gum disease will be greatly diminished.
[01:32:42.811 --> 01:32:46.853]  Find out for yourself why health professionals across America are recommending Vitamir.
[01:32:47.293 --> 01:32:49.254]  Order yours today from Cliff Scott Enterprises.
[01:32:49.514 --> 01:32:50.435]  Call toll-free 800-569-4340.
[01:32:50.455 --> 01:32:50.655]  That's 800-569-4340.
[01:32:50.715 --> 01:32:52.116]  Or visit their website at www.cliffscott.com.
[01:33:04.875 --> 01:33:19.765]  All right, my friends, Alex Jones here, back live.
[01:33:21.646 --> 01:33:26.489]  Crystallizing it down to its simplest form, its classical tyranny.
[01:33:28.331 --> 01:33:30.272]  I mean, again, a piece of the puzzle.
[01:33:31.189 --> 01:33:40.053]  I turn on Army News Watch three years ago, before 9-11, that airs every day on Channel 17, our local cable.
[01:33:40.133 --> 01:33:42.754]  The county has its own television channel on the cable.
[01:33:43.755 --> 01:33:52.499]  And it's a federal show, and it says, hey, no matter where you live, we will drop by your office if you have two employees or a hundred and drug test them.
[01:33:53.430 --> 01:34:06.816]  The Pentagon wants to help, and at the end of the show, a little local blurb put on there about, hey, troops from Fort Hood or troops from Camp Mabry or troops from down in San Antonio will come to Austin and drug test your employees once a month or every week.
[01:34:07.617 --> 01:34:12.339]  Again, getting the military involved in drug testing you for free, because they care!
[01:34:13.633 --> 01:34:18.915]  And I saw articles in 99 out of North Carolina where, oh, the troops are training to fight terrorism.
[01:34:18.935 --> 01:34:22.817]  We're going to have troops in the factories soon watching everyone.
[01:34:22.857 --> 01:34:25.338]  I mean, this is classical communist China, folks.
[01:34:26.258 --> 01:34:34.421]  And it's right here in front of us happening, ratcheting it up more and more, federalizing your local police.
[01:34:35.321 --> 01:34:37.602]  And Frank Morales has been fighting this for a long time.
[01:34:37.622 --> 01:34:38.663]  He's written a book on the subject.
[01:34:38.683 --> 01:34:39.923]  We'll talk about that a little bit later.
[01:34:40.843 --> 01:34:42.024]  Got a bunch of callers here.
[01:34:43.057 --> 01:34:51.942]  But, Frank, yeah, if they want to give local police a Humvee with a microwave gun on the top, we've got to take control of our cities politically and say no.
[01:34:53.042 --> 01:34:55.523]  But to first stop that, we've got to be able to vote.
[01:34:55.603 --> 01:35:02.167]  Well, three of the big touchscreen electronic voting machine companies have former deputy directors of the CIA running them.
[01:35:02.187 --> 01:35:03.827]  They've been caught manipulating elections.
[01:35:03.847 --> 01:35:08.630]  They've got convicted felons for computer fraud as their vice presidents running elections.
[01:35:09.710 --> 01:35:11.131]  So it's definitely
[01:35:11.963 --> 01:35:13.664]  We're very late in the hour.
[01:35:14.104 --> 01:35:17.766]  Why, here's a question, why do the globalists need this?
[01:35:17.786 --> 01:35:20.728]  You know, we've put up with this tyranny so far non-violently.
[01:35:21.008 --> 01:35:26.732]  What is it they have planned so horrible they know they've got to have a massive oppression force?
[01:35:27.392 --> 01:35:34.956]  Well, I think in part, you know, they suffer from what is known as the paranoia of the thief.
[01:35:36.057 --> 01:35:38.358]  So, you know, they're afraid.
[01:35:40.126 --> 01:35:43.229]  And I think that what they have planned is exactly what we're seeing.
[01:35:44.310 --> 01:35:58.085]  You know, but I think that the counterattack on our part has to be, you know, they're attacking us at the base, in our homes, in the communities, and so forth.
[01:35:58.125 --> 01:36:02.189]  And we have to formulate strategies that deal with it on that level.
[01:36:03.355 --> 01:36:11.041]  The voting is one aspect of it, but I think there are a number of other things we can do, which is to try and block.
[01:36:11.101 --> 01:36:14.204]  We have to preempt their ability to preempt us.
[01:36:14.844 --> 01:36:25.553]  And I think that by identifying within local police departments and local law enforcement agencies, you know, we need to deconstruct those entities.
[01:36:25.993 --> 01:36:28.936]  We need to find the contracts that are let
[01:36:29.423 --> 01:36:32.505]  And an example of that would be 400 plus cities now throwing out the Patriot Act.
[01:36:53.408 --> 01:36:59.753]  Would be for people to get their local congresspeople to begin process of recodification of Posse Comitatus Act.
[01:37:00.514 --> 01:37:11.822]  The Posse Comitatus Act is, you know, it's just a law and it's only so strong as the people below it who, you know, are pushing to make it effective.
[01:37:12.323 --> 01:37:21.490]  It's the law that delineates the role of the military and the police and says it's a criminal violation for the Pentagon to be involved in.
[01:37:21.917 --> 01:37:23.377]  In local law enforcement and so forth.
[01:37:23.397 --> 01:37:24.638]  We need to recodify that.
[01:37:25.018 --> 01:37:26.678]  We need to reaffirm it.
[01:37:27.258 --> 01:37:34.920]  We need to have people begin to create a discourse within the Congress of pushing the military out of our lives here.
[01:37:34.940 --> 01:37:40.081]  Well, Frank Morales, here's an example of what this means.
[01:37:41.001 --> 01:37:47.823]  Whether it's Miami or Seattle, and we've got judges now admitting this, reporters have seen this, you'll have a couple thousand peaceful people
[01:37:48.866 --> 01:37:52.833]  Ten thugs run up in black uniforms, dressed like anarchists, start hitting people.
[01:37:53.154 --> 01:37:54.656]  They pull back behind the police.
[01:37:54.957 --> 01:37:58.964]  The police then attack all the innocent people, old women, reporters, you name it.
[01:38:00.319 --> 01:38:04.260]  And the same thing happened here in Austin at a Fortune 500 meeting.
[01:38:04.300 --> 01:38:06.840]  The cops, I was in the middle of it, were trying to provocateur.
[01:38:07.360 --> 01:38:12.461]  Suddenly, five years ago, they're issued black uniforms and the weird ninja outfits.
[01:38:12.841 --> 01:38:15.082]  Suddenly, Delta Force is involved in advising them.
[01:38:15.422 --> 01:38:17.162]  Suddenly, these riots break out.
[01:38:17.522 --> 01:38:19.463]  Suddenly, you can't protest anywhere.
[01:38:19.503 --> 01:38:25.724]  They heard you off ten miles from where the WTO or whoever's meeting.
[01:38:26.364 --> 01:38:31.645]  I mean, they really are, time after time, trying to stop protests.
[01:38:31.665 --> 01:38:38.687]  And that tells me, they've got stuff planned that's so horrible, they know there's going to be huge protests, they're trying to preempt that now.
[01:38:38.827 --> 01:38:39.307]  Exactly.
[01:38:40.488 --> 01:38:44.769]  It's a primary, you know, it's a beginning point.
[01:38:44.809 --> 01:38:49.130]  Again, as I mentioned for counterinsurgency, is to act preemptively.
[01:38:49.670 --> 01:38:50.830]  It's gathering the intelligence.
[01:38:50.890 --> 01:38:53.351]  And the whole preemptive notion is not something Bush came up with.
[01:38:53.711 --> 01:38:54.911]  It's a long-time tenet.
[01:38:55.382 --> 01:38:58.684]  of counter-insurgency work, the CIA and so forth.
[01:38:59.864 --> 01:39:09.308]  The Pentagon's Operation Garden Plot, which is the overall so-called civil disturbance suppression apparatus, has been in high gear.
[01:39:09.849 --> 01:39:21.794]  And what we're seeing now is an attempt overtly, what happened in Miami, I was on a panel with some steel workers the other day, and this was a torture, a thuggery,
[01:39:23.158 --> 01:39:26.159]  Violating the rights of peaceful dissent.
[01:39:27.180 --> 01:39:32.202]  And I think people now are clear about it, and we need to go directly at this.
[01:39:32.662 --> 01:39:40.585]  We can't allow for, except as the fait accompli, that these people are going to continue to escalate their violence against us.
[01:39:40.685 --> 01:39:49.428]  And I think if people organize and look specifically, I think it's important, my own position is that we need to look at this weaponry.
[01:39:49.898 --> 01:39:52.399]  We need to take these tools out of their hands.
[01:39:52.819 --> 01:40:03.523]  And I think if we organize, if we look at the funding chains, and we can do that, and create legislation on a local level, Posse Comitatus Act-like statutes on a local level.
[01:40:03.763 --> 01:40:04.984]  Okay, let's take some calls.
[01:40:05.524 --> 01:40:10.206]  Ron in New York, and then Chris and Diane and others.
[01:40:10.266 --> 01:40:11.346]  Go ahead, Ron.
[01:40:11.806 --> 01:40:12.247]  Hi, Alex.
[01:40:12.507 --> 01:40:13.007]  Hi, Frank.
[01:40:13.127 --> 01:40:14.948]  I would like to wish you both a Happy New Year.
[01:40:15.188 --> 01:40:15.808]  Happy New Year.
[01:40:17.408 --> 01:40:18.289]  Hopefully it will be.
[01:40:19.847 --> 01:40:26.549]  With reference to the militarization of police, this is not anything that is new, and this is not something that came about since 9-11-2001.
[01:40:26.729 --> 01:40:29.629]  But there's a hyper-warp acceleration.
[01:40:29.749 --> 01:40:30.370]  That's correct.
[01:40:30.550 --> 01:40:33.250]  That was the catalyst to accelerate the process.
[01:40:34.291 --> 01:40:37.791]  I was making these observations as far back as ten years ago.
[01:40:37.811 --> 01:40:40.332]  Eleven years ago, I saw this happening.
[01:40:41.112 --> 01:40:43.653]  All the way back in the early days of the Clinton administration.
[01:40:44.181 --> 01:40:50.148]  When they were giving hardware like armored vehicles that they had decommissioned in the military to a police agency.
[01:40:50.228 --> 01:40:56.635]  I'm from, I'm retired from the New York City Police Department and this is something I had spoken out about way back then.
[01:40:57.376 --> 01:41:03.964]  As a matter of fact, Clinton, I don't know if any of you would remember this, Clinton had made a remark back at that time
[01:41:04.557 --> 01:41:10.864]  That he wanted to shift the gears of what would be called the military-industrial complex to law enforcement.
[01:41:11.485 --> 01:41:14.248]  And that's what Eberhardt said in the LA Times.
[01:41:14.288 --> 01:41:18.452]  He said, we're now focused on the home game, not the away game.
[01:41:18.813 --> 01:41:22.357]  And Clinton said that ten years ago because, of course, with the end of the Cold War,
[01:41:22.857 --> 01:41:31.443]  We didn't have the communists in Russia to fight anymore, so I guess this military-industrial complex has to continue to profit and thrive, so it has to find an enemy.
[01:41:31.463 --> 01:41:33.124]  Well, Ron, it's like the drug war.
[01:41:33.164 --> 01:41:34.906]  They ship the drugs in to create the crisis.
[01:41:35.206 --> 01:41:38.668]  Now they create the terror to create the crisis.
[01:41:38.688 --> 01:41:40.369]  Problem, reaction, solution.
[01:41:41.851 --> 01:41:45.173]  And they're the ones who are controlling, creating the problem, the reaction, and the solution.
[01:41:45.393 --> 01:41:48.595]  Yeah, I think you're exactly on point, Ron.
[01:41:48.715 --> 01:41:49.176]  I think the
[01:41:50.151 --> 01:42:03.873]  The thing about Clinton and under Clinton was he and Reno got together and created a memorandum between the DOD and the DOJ called the Technology Transfer Agreement.
[01:42:04.284 --> 01:42:05.085]  Correct.
[01:42:05.285 --> 01:42:10.148]  And legislatively, you know, sanctioned, legalized that process that you're pointing out.
[01:42:10.168 --> 01:42:13.310]  And that includes ground penetrating radar to look through your walls.
[01:42:13.450 --> 01:42:14.291]  Yeah, all kinds of things.
[01:42:14.331 --> 01:42:18.554]  There's a small arms industry boom at this point in this type of stuff.
[01:42:18.594 --> 01:42:23.677]  Everything from surveillance, so-called non-lethal, less than lethal, whatever, you know, these are
[01:42:24.492 --> 01:42:28.416]  The primary point being that they're directed against non-combatants.
[01:42:28.736 --> 01:42:35.002]  Well, really, when you train someone, these are like having the gloves on for kickboxing.
[01:42:35.222 --> 01:42:41.248]  This is to train the police to engage the public so we get used to this image of guns shooting at crowds.
[01:42:41.468 --> 01:42:44.131]  This is preparing us for Tiananmen Square events.
[01:42:44.611 --> 01:42:47.394]  This is acclimation of the public, as you mentioned, Alex.
[01:42:47.534 --> 01:42:49.356]  These shows, the news reports here,
[01:42:49.836 --> 01:42:58.262]  Listen, I had some interaction with the press in the 1990s, a little bit, I guess, sort of a local phenomenon for a short time, and I know how interviews are done.
[01:42:58.882 --> 01:43:06.508]  And I know that the press can create the impression, particularly the broadcast media, that something that is wholly unpopular is popular.
[01:43:06.828 --> 01:43:17.195]  Case in point, we had news reports yesterday evening in our local news in New York City, and they find probably the two people out of a crowd of a thousand who agree with their premise
[01:43:17.802 --> 01:43:26.231]  And they would actually use this to brainwash people that, you know, the majority of the public wants the government to put proctoscopes in us in order to keep us free.
[01:43:26.631 --> 01:43:27.171]  Hey, Ron.
[01:43:27.352 --> 01:43:28.273]  Ron, thanks for the call.
[01:43:28.333 --> 01:43:30.595]  And for Frank Morales, I talked about this in the first hour.
[01:43:30.635 --> 01:43:33.458]  I talked to my friend who works at the Bergstrom Airport here in Austin.
[01:43:34.199 --> 01:43:36.521]  He said he watched News 8, the local news channel.
[01:43:37.443 --> 01:43:48.188]  Talked to over 40 people who all disagree with the new security, said they didn't like it, said it didn't keep them safe, said it was a joke, said control the borders, and then one old lady at the end said, I love it.
[01:43:48.308 --> 01:43:52.410]  They talked to her, turned their cameras off, left, and then it was her on the news.
[01:43:52.470 --> 01:43:53.110]  Go ahead, Frank.
[01:43:53.210 --> 01:44:04.715]  Yeah, it's clear that the control of information and the manipulation of the population through this so-called mass media
[01:44:05.453 --> 01:44:07.433]  Is part of the problem.
[01:44:08.054 --> 01:44:14.155]  So, you know, all I can say is thank God for shows like yours and others that are putting out the information.
[01:44:14.195 --> 01:44:23.917]  Because, you know, the point Ron made about the thin hold that they have on the population, that they have to do that, you know, because we could look at that two ways.
[01:44:23.937 --> 01:44:29.859]  Yeah, they report on this one woman, but hey, those 99 people out there who disagreed, that's us.
[01:44:30.439 --> 01:44:34.900]  And I think what we need to do is now organize at the grassroots level
[01:44:35.365 --> 01:44:36.645]  And begin to attack these problems.
[01:44:36.685 --> 01:44:40.206]  I'm very confident in the creative potential of people to deal with this.
[01:44:40.226 --> 01:44:41.046]  Here's the problem, Frank.
[01:44:41.126 --> 01:44:42.386]  They could blow something up today.
[01:44:42.426 --> 01:44:43.807]  They're saying, oh, it's probably going to happen.
[01:44:43.867 --> 01:44:44.727]  I hope it doesn't.
[01:44:44.987 --> 01:44:48.988]  But the point is, they're capable of doing whatever's needed to scare us.
[01:44:49.208 --> 01:44:55.509]  We've got to have the understanding, the renaissance, the epiphany, that it is the military-industrial complex behind the terror.
[01:44:55.749 --> 01:44:57.850]  If we can't get that across, they're going to keep winning.
[01:44:58.110 --> 01:44:58.330]  Yeah.
[01:44:58.530 --> 01:45:02.311]  No, as long as people buy the notion that there are these
[01:45:05.046 --> 01:45:10.508]  Demons out there that are coming from some other place and so forth, you know, whatever.
[01:45:10.548 --> 01:45:14.229]  It's true that it's a provocateur state.
[01:45:15.069 --> 01:45:22.471]  These people create these situations in order to justify and rationalize their own agenda.
[01:45:23.552 --> 01:45:30.454]  There's certainly, and you've promoted a lot of this information around 9-1-1 that would lead most reasonable people
[01:45:31.181 --> 01:45:34.343]  Say, hey, there's some kind of setup going on here.
[01:45:34.383 --> 01:45:35.883]  This stinks.
[01:45:36.343 --> 01:45:49.370]  And with Operation Northwood and other historical precedents, we see that they're quite capable of creating terrorist events in order to justify social control, this agenda.
[01:45:49.910 --> 01:45:50.830]  Let's take another call.
[01:45:50.850 --> 01:45:53.632]  Let's talk to Diane in South Carolina.
[01:45:53.652 --> 01:45:54.052]  Go ahead.
[01:45:55.523 --> 01:45:56.584]  Good afternoon, gentlemen.
[01:45:57.184 --> 01:46:12.898]  What I wanted to ask Frank about, in 1970 it was called the American Democratic Institute did a program for the government, it's called Overseer, Gatekeeper, and in it they did like the entire Patriot Act was what it was, one and two.
[01:46:13.279 --> 01:46:20.185]  But in there they had in control of the United States at a point we would not have our presidential elections
[01:46:20.583 --> 01:46:26.046]  Because the president would have to quote-unquote, stay in power because of martial law and everything's going on.
[01:46:26.527 --> 01:46:27.987]  You think we're that close to that?
[01:46:28.448 --> 01:46:28.688]  Yep.
[01:46:28.968 --> 01:46:30.109]  And I have one more question.
[01:46:31.990 --> 01:46:32.230]  Yeah.
[01:46:32.330 --> 01:46:46.598]  I, I, I think, uh, as we were mentioning that the potential for some catastrophic event to cancel out next, uh, election and so forth is there because we can see the, uh, you know, the tone, um,
[01:46:48.284 --> 01:46:57.487]  We got the head of NORTHCOM, the new domestic military unit, saying, yeah, martial law might be needed, folks.
[01:46:57.647 --> 01:46:59.027]  Yeah, it's quite possible.
[01:46:59.147 --> 01:47:13.492]  And as you mentioned, back at that period, the Houston plan, Tom Charles Houston also was concerned with mass detention and martial law or martial rule, what have you, in these kinds of scenarios.
[01:47:13.919 --> 01:47:22.724]  So yeah, no, I think we need to be aware of that possibility and plan on protecting ourselves.
[01:47:22.744 --> 01:47:24.464]  I hope you're paying attention out there, folks.
[01:47:24.504 --> 01:47:26.365]  This is really happening.
[01:47:26.425 --> 01:47:30.347]  And you know, Frank and I didn't just jump up this year and say, oh, look, it's martial law.
[01:47:30.367 --> 01:47:32.829]  Right, it's been planned ever since way back.
[01:47:32.849 --> 01:47:35.070]  I mean, I've been talking about this for nine, ten years.
[01:47:35.150 --> 01:47:38.492]  Frank's been talking about it longer than that, laying out the program.
[01:47:38.512 --> 01:47:39.852]  I mean, we're not making this up.
[01:47:40.313 --> 01:47:43.154]  Well, Alex, you know how they are so big on symbols.
[01:47:43.587 --> 01:47:49.408]  I want you to go to the morning NBC News this morning when they showed the big ball that's going up at Times Square.
[01:47:50.009 --> 01:47:53.590]  It is made of triangles of the Eye of Horus.
[01:47:54.410 --> 01:47:57.090]  With the eye in the middle, the triangle with the rays coming out.
[01:47:57.451 --> 01:48:02.312]  And they were talking about how this generates the most beautiful light in the world.
[01:48:02.412 --> 01:48:06.533]  And they got an insignia on it signifying all the countries of the world.
[01:48:06.833 --> 01:48:11.194]  And he said this is a great step in our world union.
[01:48:11.952 --> 01:48:14.294]  I want you to get the news this morning.
[01:48:15.335 --> 01:48:15.696]  Watch it.
[01:48:15.736 --> 01:48:17.457]  It was on the NBC News this morning.
[01:48:18.918 --> 01:48:19.259]  Thank you.
[01:48:19.299 --> 01:48:19.479]  Bye.
[01:48:19.659 --> 01:48:20.260]  Thank you, Diane.
[01:48:22.979 --> 01:48:26.380]  A facet we haven't really talked about, Frank Morales, is police and military.
[01:48:26.400 --> 01:48:30.842]  A lot of them I've talked to, especially after they've been in a few years, start waking up to this.
[01:48:30.862 --> 01:48:36.183]  99% of police and firefighters and medical workers refuse a smallpox shot.
[01:48:36.583 --> 01:48:37.644]  They had to suspend that.
[01:48:37.964 --> 01:48:40.945]  How important is it to reach out and educate the police themselves?
[01:48:41.025 --> 01:48:42.245]  I think it's very important.
[01:48:42.885 --> 01:48:45.046]  It's critical.
[01:48:45.646 --> 01:48:49.908]  As I said, when push comes to shove, when the tire hits the road, it's about
[01:48:51.638 --> 01:48:53.379]  You know, our neighbors against neighbors.
[01:48:54.600 --> 01:49:00.165]  You know, yeah, they'll they'll attempt to import people and create some kind of international police forces and so forth.
[01:49:00.625 --> 01:49:08.071]  But ultimately, we need to reach people who are being used as tools in this in this game plan.
[01:49:08.892 --> 01:49:15.497]  Part of the the experience we have recently here at One Police Plaza, we had a press conference right down at police headquarters around
[01:49:16.238 --> 01:49:43.515]  uh... you know banning rubber bullets and and these people and electromagnetic pulse weaponry and all this kind of stuff uh... and a lot of the police people who were there expressed similar desires they don't want to be involved in the so-called uh... uh... civil disturbance suppression operations they want ads in the newspaper saying we apologize we've been ordered to crack down and treat you badly yeah i mean that you know it uh... it's very important that we organize we educate uh... we reach out
[01:49:44.171 --> 01:49:47.154]  Communities need to get familiar with their local police department.
[01:49:47.174 --> 01:49:52.498]  They need to ask police, do you want to be part of slitting America's throat for the big bankers?
[01:49:52.799 --> 01:49:53.719]  Yeah, exactly.
[01:49:53.779 --> 01:50:12.195]  We need to just be as direct as we can and impress upon them that it's treasonous, the activities of this elite and what they're involved in, and that the dissent is a form of patriotism.
[01:50:12.702 --> 01:50:19.089]  And we're not, you know, it's important for them to make that kind of judgment, but they need to be educated.
[01:50:19.149 --> 01:50:20.170]  We can't sit back.
[01:50:20.566 --> 01:50:27.848]  And allow for this intense media manipulation for these technology transfers, these laws.
[01:50:27.928 --> 01:50:29.368]  We've got to organize.
[01:50:29.528 --> 01:50:40.351]  Well, Frank, just the level of the syrupy, disgusting, again, Running Man type newscast, I think that should wake everybody up.
[01:50:40.571 --> 01:50:41.371]  Yeah, yeah.
[01:50:41.991 --> 01:50:46.692]  I mean, for somebody who's awake like I am or you are, I mean, how do you handle it?
[01:50:47.433 --> 01:50:48.713]  It drives me up a wall.
[01:50:51.152 --> 01:50:52.092]  Not that much.
[01:50:52.192 --> 01:50:57.273]  I tend not to take in too much of that kind of information, because I realize where it's coming from.
[01:50:58.153 --> 01:51:00.974]  And alternative sources of information, the stuff's out there.
[01:51:01.134 --> 01:51:01.694]  We gotta break.
[01:51:01.714 --> 01:51:02.654]  We'll be right back, Frank.
[01:51:02.674 --> 01:51:03.514]  Stay with us, folks.
[01:51:04.774 --> 01:51:09.115]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[01:51:09.295 --> 01:51:13.736]  Police State 3 details the architecture, goals, and operations of the New World Order.
[01:51:13.856 --> 01:51:18.237]  There is a chance to use this disaster as a New World Order.
[01:51:18.357 --> 01:51:19.617]  A New World Order.
[01:51:20.558 --> 01:51:22.199]  You will lose your liberty.
[01:51:35.154 --> 01:51:45.478]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[01:51:45.758 --> 01:51:51.121]  If you want to understand what the new world order really is, then my new two-and-a-half-hour video, Police State 3, is for you.
[01:51:51.641 --> 01:51:55.562]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[01:51:55.582 --> 01:51:56.023]  That's 888.
[01:52:00.452 --> 01:52:07.654]  Hello folks, Alex Jones here introducing you to the Black Berkey Replacement Elements.
[01:52:07.914 --> 01:52:11.414]  They're new and they're more powerful than any gravity filter element on the market.
[01:52:11.494 --> 01:52:15.455]  These powerful filters fit most gravity filter systems and can be installed in minutes.
[01:52:15.675 --> 01:52:21.836]  Black Berkey Replacement Elements are so powerful they remove pathogenic bacteria, cysts, parasites to non-detectable levels.
[01:52:22.236 --> 01:52:29.718]  The trihalomethanes and volatile organic chemicals such as atrazine, styrene, chloroform, and MTBE are removed below detectable
[01:52:29.718 --> 01:52:30.158]  I think so.
[01:52:58.463 --> 01:53:02.285]  That's 888-803-4438 and protect your family.
[01:53:04.506 --> 01:53:10.449]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[01:53:10.669 --> 01:53:12.911]  We specialize in keeping you alive and healthy.
[01:53:13.111 --> 01:53:19.454]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract
[01:53:19.867 --> 01:53:20.447]  I think so.
[01:53:42.419 --> 01:53:44.502]  Simply log on to HerbalHealer.com.
[01:53:44.662 --> 01:53:49.128]  Check out our online member testimonials and our hundreds of exceptional products.
[01:53:49.348 --> 01:53:52.432]  We have been working hard since 1988 to save the remnant.
[01:53:52.592 --> 01:53:58.460]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[01:54:05.658 --> 01:54:08.439]  Crashing through the lies and disinformation.
