[00:00:00.029 --> 00:00:00.950]  Here's the progression.
[00:42:51.019 --> 00:42:51.279]  Why?
[00:42:51.659 --> 00:42:56.044]  Because so much silver is needed in the defense industry.
[00:42:56.745 --> 00:42:57.305]  Like missiles.
[00:42:57.345 --> 00:42:58.727]  Let's see, I've got this.
[00:42:58.787 --> 00:43:01.029]  So they want to use it for everything that they can.
[00:43:07.671 --> 00:43:13.596]  In seven torpedoes, 34 kilograms of silver is used.
[00:43:14.117 --> 00:43:20.622]  Some of these big ICBMs that need silver in them have 11,000 ounces of silver per missile.
[00:43:20.642 --> 00:43:21.142]  Wow.
[00:43:21.162 --> 00:43:23.164]  Per missile or torpedo.
[00:43:23.585 --> 00:43:35.414]  So if you look at the price being suppressed by the government, if the largest user of silver in the world is the defense industry, are they going to want those prices to be high or low?
[00:43:36.075 --> 00:43:39.057]  They're going to want them to be low, because they have to buy it.
[00:43:39.077 --> 00:43:40.317]  So it's so strategic.
[00:43:41.018 --> 00:43:45.420]  Very strategic, and it's been suppressed for a long time because of that.
[00:43:45.500 --> 00:43:48.602]  But here's where we're at the end of the road on this.
[00:43:49.322 --> 00:43:51.183]  Silver is a depleting asset.
[00:43:51.663 --> 00:43:53.144]  There's not much left.
[00:43:53.544 --> 00:43:58.327]  You know, COMEX available inventories are down 70% over the last 18 months.
[00:43:58.767 --> 00:44:00.008]  We're in a war economy.
[00:44:00.308 --> 00:44:01.789]  You need silver for all this stuff.
[00:44:02.498 --> 00:44:05.119]  If it runs out, then what?
[00:44:05.539 --> 00:44:07.980]  Do we just not actually produce missiles or anything?
[00:44:08.040 --> 00:44:08.260]  No!
[00:44:09.100 --> 00:44:25.685]  You jack up the prices because if there's no supply, the people that own, like you and me, your hedge funds or countries, like what China is now doing, encouraging every single one of their citizens to buy silver instead of gold, they know that... Oh, we should have started that.
[00:44:25.705 --> 00:44:26.345]  That's in the news.
[00:44:26.425 --> 00:44:28.166]  China tells citizens to buy silver.
[00:44:28.466 --> 00:44:29.046]  What is that about?
[00:44:30.228 --> 00:44:45.076]  So this goes back to the day before, actually it was the last time I was on the show, it was the day that Iran was firing those stupid drones at Israel.
[00:44:45.756 --> 00:44:52.680]  So the day before that, the Western banks had shorted 1.2 billion ounces of silver.
[00:44:53.460 --> 00:44:54.541]  1.2 billion.
[00:44:55.181 --> 00:45:00.863]  So there's only 800 million ounces of silver mined in the entire world in a whole year.
[00:45:00.903 --> 00:45:02.384]  So they shorted way more than exists.
[00:45:02.584 --> 00:45:07.426]  Yeah, they shorted 50% more than the global mining production of silver in one afternoon.
[00:45:07.806 --> 00:45:08.826]  So what did China do?
[00:45:08.886 --> 00:45:09.347]  China says,
[00:45:10.467 --> 00:45:12.509]  We want to be the world's reserve currency.
[00:45:12.589 --> 00:45:13.890]  We want to destroy the West.
[00:45:13.950 --> 00:45:15.972]  We want to destroy the Western banking system.
[00:45:16.373 --> 00:45:26.482]  So in one fell swoop, when they shot off those drones, which literally Alex, everybody knew that those stupid low-flying, slow-flying drones with lights on them were going to be shot out of the sky.
[00:45:27.243 --> 00:45:35.591]  So, but it created fear because after that, and I was, we were watching it on TV and watching these things go, and you know, the narrative after that was, okay,
[00:45:35.931 --> 00:45:38.293]  We're going to attack Israeli and U.S.
[00:45:38.333 --> 00:45:39.434]  targets all over the world.
[00:45:39.454 --> 00:45:40.855]  80 mile an hour paper airplanes.
[00:45:40.896 --> 00:45:41.096]  Yeah.
[00:45:41.576 --> 00:45:44.759]  It's fear, fear, fear was just instilled in the hearts and minds of people.
[00:45:44.779 --> 00:45:52.266]  So if you want to destroy a civilization, A, you create fear, and B, you destroy their banks and people's access to money.
[00:45:52.706 --> 00:46:02.415]  So I think what China is doing is they are planning on winning this battle against America without ever firing a bullet because if they can entice
[00:46:03.055 --> 00:46:05.777]  Every one of their citizens to buy just one ounce of silver.
[00:46:06.077 --> 00:46:07.338]  There's over a billion people there.
[00:46:07.358 --> 00:46:08.418]  That'll stop the shorters.
[00:46:08.538 --> 00:46:16.363]  Yeah, but they don't even have to do that much because in 2024, India has already committed to 66% of the global supply.
[00:46:16.403 --> 00:46:19.965]  Sure, so there's already a run on silver and China's calling the bluff with the naked shorters.
[00:46:20.405 --> 00:46:22.827]  Yeah, so... Explain that to people that don't do that.
[00:46:23.268 --> 00:46:27.652]  So, a naked short means you sell something that you don't have.
[00:46:28.152 --> 00:46:30.434]  I mean, we can't do that, but central banks can.
[00:46:30.514 --> 00:46:33.217]  So, they're selling naked shorts.
[00:46:33.297 --> 00:46:36.880]  So, look at this... Oh, red shot guys, overhead.
[00:46:36.980 --> 00:46:40.003]  Yeah, Commitment of Traders Silver Report from May 10th.
[00:46:40.183 --> 00:46:42.866]  That was just like yesterday or something like that.
[00:46:43.306 --> 00:46:43.426]  So,
[00:46:44.654 --> 00:46:53.501]  This report shows how many short positions commercially and basically from speculators there is.
[00:46:54.022 --> 00:47:04.370]  So you add all of this up, the number of short positions by the commercial criminal banksters is 568.2 million ounces of silver that are short.
[00:47:08.453 --> 00:47:16.208]  So clearly naked shorts and I would say as early as next week and any time after that
[00:47:17.170 --> 00:47:42.067]  These shorts could be killed, and what China wants to do is they could win an economic battle against America, dethrone our dollar by killing the Western banking system, and they do that by enticing their citizens to buy silver, the rest of the world to buy silver, because when you have all those short positions, you're expecting the price to go down for the reasons we talked about, needed for defense and everything else.
[00:47:42.367 --> 00:47:45.489]  Sure, so obviously, how do the globals come in and try to block that now?
[00:47:47.492 --> 00:47:51.173]  Well, I don't know if they can actually do that right now.
[00:47:51.233 --> 00:47:52.673]  I mean... Wait a minute, is there some mechanism?
[00:47:53.333 --> 00:47:55.554]  When a naked short gets called by a government, what do they do?
[00:47:56.454 --> 00:47:59.395]  Well, when it's called, they have to pay up.
[00:48:00.355 --> 00:48:01.656]  So, China knows this.
[00:48:02.156 --> 00:48:06.957]  And so, I think what's going to happen... So, you could default, or you could print money.
[00:48:07.725 --> 00:48:08.646]  They try to bail it out.
[00:48:08.746 --> 00:48:09.706]  I mean, those are the two things.
[00:48:10.166 --> 00:48:14.949]  If you default, there's political ramifications of that, because who owns our treasuries?
[00:48:15.809 --> 00:48:18.891]  Like, China still has almost a trillion dollars worth of them.
[00:48:18.951 --> 00:48:26.555]  So that's just like stealing money out of their wallets, and they're going to get ticked, and that starts to create geopolitical conflict and even intensifying the war.
[00:48:27.055 --> 00:48:28.916]  But the media will call it a sanction.
[00:48:29.237 --> 00:48:31.698]  So if they have to now steal the Chinese money, they'll call it a sanction or something.
[00:48:31.718 --> 00:48:32.939]  Yeah, they would call it a sanction.
[00:48:33.019 --> 00:48:45.406]  I mean, just like when Biden froze Russia's assets after the Russia-Ukraine war started, I mean, they couldn't access them and they said, oh, we have to do that because we have to stop this evil Russia from invading Ukraine.
[00:48:46.046 --> 00:48:47.967]  And so they froze their assets.
[00:48:47.987 --> 00:48:51.769]  So you could try to freeze assets by putting sanctions on them.
[00:48:52.209 --> 00:48:56.432]  You could actually default, which would have major geopolitical ramifications.
[00:48:57.379 --> 00:49:04.244]  Or you could just print money, which there's probably going to be the result as they just try to inflate their way out of it.
[00:49:04.564 --> 00:49:07.986]  How do you square up Keely Unlimited with interest rate hikes coming?
[00:49:08.887 --> 00:49:24.497]  So we're now seeing that battle with the Fed and that the federal presidents of all the different regional Federal Reserve banks have now deviated from what Jerome Powell has been talking about of we got to lower interest rates.
[00:49:24.517 --> 00:49:25.058]  We're going to lower it.
[00:49:25.078 --> 00:49:26.038]  We've won this battle again.
[00:49:26.198 --> 00:49:26.879]  You've got the floor.
[00:49:27.820 --> 00:49:30.403]  I've been asked that today.
[00:49:30.423 --> 00:49:37.851]  Yeah, you've got all these regional banks that aren't the real Federal Reserve, but you have the local control fighting with the real Federal Reserve of New York.
[00:49:38.732 --> 00:49:40.053]  Folks, we're not in Kansas anymore.
[00:49:40.093 --> 00:49:42.356]  I don't know how to explain how bonkers this is.
[00:49:42.396 --> 00:49:43.397]  I'm not an economist like you.
[00:49:43.897 --> 00:49:45.599]  I've studied this for 30 years on air.
[00:49:45.899 --> 00:49:47.680]  This is unprecedented.
[00:49:47.800 --> 00:49:52.204]  So when you've got the Federal Reserve presidents, they're the ones that are voting.
[00:49:52.724 --> 00:49:56.367]  It's not just Jerome Powell, the chairman of the Fed, that has one singular vote.
[00:49:56.427 --> 00:50:00.131]  No, the Board of Governors actually votes for policy.
[00:50:00.811 --> 00:50:11.818]  So the narrative is changing from, hey, we're going to have 7 to 8 rate reductions to 5 to 6 to 2 to 3 to maybe just 1 right before the election so we can show that we're winning.
[00:50:12.419 --> 00:50:23.266]  However, you've got now the Federal Reserve presidents which are trying to save face saying that we are smart economists here, we can't actually have a rate reduction at all.
[00:50:23.706 --> 00:50:27.549]  In fact, we're probably going to have to have a rate increase.
[00:50:29.190 --> 00:50:31.031]  Why would you have to have a rate increase?
[00:50:31.671 --> 00:50:34.512]  You increase rates to slow down inflation.
[00:50:34.893 --> 00:50:36.593]  So this is the problem that we're seeing.
[00:50:36.894 --> 00:50:43.396]  I think that the Fed knows that there is a major financial battle starting to be waged here.
[00:50:43.937 --> 00:50:46.638]  It's an attack from China against the U.S.
[00:50:46.718 --> 00:50:51.960]  banks to dethrone their dominance, to actually get them to run out of money.
[00:50:52.460 --> 00:50:57.923]  And you could actually start to win an economic battle if you cause them to be undercapitalized
[00:50:58.103 --> 00:51:08.190]  Pay off all these short positions and there's 568 million plus ounces of silver in short right now.
[00:51:08.991 --> 00:51:10.111]  In a short position!
[00:51:10.652 --> 00:51:20.299]  So that's why I think as early as next week some of these shorts would have to be unraveled and I think what that's going to do to the price of silver it's going to go up and up and up and what did China just do?
[00:51:20.959 --> 00:51:23.843]  They just squeezed the U.S.
[00:51:23.903 --> 00:51:25.926]  banking system out of silver.
[00:51:25.946 --> 00:51:29.290]  But we go back to what the Fed is going to have to try to do.
[00:51:29.791 --> 00:51:31.212]  Are they going to bail out the banks?
[00:51:31.373 --> 00:51:38.602]  Well, they already said they didn't want to because they already legislated bail-ins and they want the depositors to bail out their own banks.
[00:51:39.503 --> 00:51:41.826]  So that's what a bail-in is versus a bailout.
[00:51:41.906 --> 00:51:44.549]  A bailout means the federal government's going to bail everybody out.
[00:51:44.669 --> 00:51:47.932]  A bail-in means you bail out your own financial institution.
[00:51:48.673 --> 00:51:58.124]  But I think it gets so bad, Alex, that when we look at what's coming next, they're going to be forced to print their way out of everything.
[00:51:59.119 --> 00:51:59.559]  Everything.
[00:51:59.980 --> 00:52:08.127]  Because it's like this culmination of a perfect economic storm where banks are running out of money, politically things are in upheaval.
[00:52:08.807 --> 00:52:09.928]  Biden is lying.
[00:52:09.968 --> 00:52:17.614]  Like we talked about on the last show, Biden says inflation was 9% when I took office and so technically it's lower now I'm winning.
[00:52:17.674 --> 00:52:19.196]  It's like, dude, you're lying.
[00:52:19.796 --> 00:52:20.257]  You're lying.
[00:52:20.677 --> 00:52:23.439]  Inflation when Trump left was officially at 1.4%.
[00:52:24.340 --> 00:52:25.581]  I think that's understated too.
[00:52:28.343 --> 00:52:42.554]  If it was at 1.4 and now they have these bogus numbers that they are, nobody believes for a second, Alex, that Biden is telling the truth on inflation when eggs have tripled or quadrupled in price.
[00:52:42.994 --> 00:52:48.158]  He just said Wednesday that inflation was higher under Trump, but it's 9 plus percent under him.
[00:52:48.178 --> 00:52:49.879]  It was 1.5 when it was under Trump.
[00:52:50.200 --> 00:52:52.822]  I mean, he's literally saying whales fly in the sky.
[00:52:53.803 --> 00:52:57.566]  Yeah, I mean, nobody that actually goes to the grocery store believes any of that nonsense.
[00:52:57.726 --> 00:53:02.130]  All right, I want to take a break, because this is so important what you mentioned, and I'm glad you reminded me, because I had the clip 30 minutes ago.
[00:53:02.650 --> 00:53:12.198]  Here is last year, the FDIC board meeting, where they're saying, we're going to have to have bail-ins, but we can't tell the public, maybe we shouldn't be talking about this on video.
[00:53:12.879 --> 00:53:14.420]  Because it's all public records.
[00:53:14.620 --> 00:53:16.422]  This is actually a federal agency, unlike the Federal Reserve.
[00:53:17.022 --> 00:53:17.943]  We'll play this clip.
[00:53:19.104 --> 00:53:21.105]  We're going to play a John Bowne report, so we can both take a break.
[00:53:21.997 --> 00:53:24.300]  And then we're going to come back and talk about this with Dr. Kirk Elliott.
[00:53:24.320 --> 00:53:25.842]  But folks, I want to explain something.
[00:53:26.263 --> 00:53:27.945]  This guy's been on air for an hour and a half.
[00:53:28.706 --> 00:53:30.468]  He's not even plugged his company and told you to go there.
[00:53:31.089 --> 00:53:33.812]  This guy has one of the biggest gold and silver companies in the world.
[00:53:34.553 --> 00:53:35.855]  He has five star ratings.
[00:53:35.935 --> 00:53:37.076]  I don't know why the hell
[00:53:37.737 --> 00:53:39.778]  When I didn't have a sponsor for 10 years, I didn't go get him.
[00:53:40.439 --> 00:53:42.560]  But I was literally trying to get him on as a guest.
[00:53:42.740 --> 00:53:44.922]  And I was like, well, we were trying to talk to you.
[00:53:45.482 --> 00:53:48.945]  You need to go to KEPM.com forward slash gold.
[00:53:49.065 --> 00:53:49.745]  Is it perfect?
[00:53:49.785 --> 00:53:50.646]  No, only God's perfect.
[00:53:51.126 --> 00:53:54.548]  But I only promote what I feel good about.
[00:53:54.628 --> 00:53:56.069]  And I've been on there 30 years, folks.
[00:53:56.450 --> 00:53:58.591]  You know, 98% of what we say happens, okay?
[00:53:58.871 --> 00:54:01.333]  I make mistakes, but there's no perfect thing.
[00:54:01.393 --> 00:54:04.115]  But I feel good telling you to get gold and silver.
[00:54:04.515 --> 00:54:06.116]  I wish I had money to be getting it myself.
[00:54:08.038 --> 00:54:10.480]  I've told my family in the last six months has been a sponsor.
[00:54:10.560 --> 00:54:10.820]  Go!
[00:54:10.900 --> 00:54:11.780]  They've been doing it.
[00:54:12.401 --> 00:54:15.783]  You need to go to kepm.com forward slash gold.
[00:54:16.383 --> 00:54:17.124]  They're really busy.
[00:54:17.144 --> 00:54:19.085]  They'll give me a call six hours a day, whatever.
[00:54:19.706 --> 00:54:20.766]  He's trying to get more crew in.
[00:54:20.786 --> 00:54:22.447]  This is exploding, obviously.
[00:54:23.508 --> 00:54:24.909]  You need to get gold and silver.
[00:54:25.009 --> 00:54:27.831]  You need to get it now, in my view.
[00:54:28.711 --> 00:54:34.055]  That doesn't mean a huge part, whatever your portfolio is, just you need to start sticking your toe in it.
[00:54:34.075 --> 00:54:35.556]  And people that are smart are going all the way in.
[00:54:36.196 --> 00:54:36.877]  That is my
[00:54:38.140 --> 00:54:42.603]  My firm belief, and who knows, they may do some giant naked short and drive it down 20%.
[00:54:43.323 --> 00:54:46.005]  It'll go bloop, I believe 100% back over that.
[00:54:46.325 --> 00:54:48.466]  I mean, we are in an inflationary spiral.
[00:54:49.387 --> 00:54:55.831]  My whole gut, my whole intellect says get into it, but then I can't ever do it because the companies are a bunch of frickin' sharks like everything else.
[00:54:55.891 --> 00:54:56.672]  This guy's not.
[00:54:57.472 --> 00:54:58.092]  Go to him.
[00:54:58.233 --> 00:54:59.053]  I love this guy.
[00:54:59.133 --> 00:55:06.778]  Go to KEPM.com forward slash gold or you can call 720-605-3900.
[00:55:07.278 --> 00:55:08.359]  Do a consultation.
[00:55:08.739 --> 00:55:09.539]  Tell him your needs.
[00:55:09.699 --> 00:55:12.381]  Talk to him and at least stick your toe in today.
[00:55:12.421 --> 00:55:13.242]  Don't screw around.
[00:55:13.702 --> 00:55:14.162]  Don't wait.
[00:55:14.222 --> 00:55:14.903]  That's my opinion.
[00:55:14.923 --> 00:55:20.026]  I'm not telling you what to do, but I, on my children, feel this is one of the best moves you can do.
[00:55:20.386 --> 00:55:23.828]  You should also, you don't have a gun, get a gun, get a gun safety course.
[00:55:24.248 --> 00:55:25.028]  Learn how to use it.
[00:55:25.348 --> 00:55:26.149]  Get a water filtration.
[00:55:26.209 --> 00:55:27.289]  Get some extra storable food.
[00:55:27.669 --> 00:55:36.931]  More importantly than getting gold or silver from Dr. Kirk Elliott, you better get on your knees to the founder and the creator of the universe and say, I can't handle this.
[00:55:37.112 --> 00:55:37.732]  I need you.
[00:55:38.072 --> 00:55:39.132]  You're a God of free will.
[00:55:39.332 --> 00:55:39.892]  I love you.
[00:55:40.252 --> 00:55:41.893]  Please come into me and tell me what to do.
[00:55:42.253 --> 00:55:45.774]  That gold doesn't even, it's not even 1% of a trillion.
[00:55:46.578 --> 00:55:46.978]  We're good to go.
[00:56:06.380 --> 00:56:17.113]  Get guns, get some food, get some water filtration, get ready and get gold and silver and get it from trusted people now at KEPM.com forward slash gold or the phone number on the screen.
[00:56:18.379 --> 00:56:21.181]  I'll never steer you wrong, folks, but I make mistakes every once in a while.
[00:56:21.441 --> 00:56:23.462]  I don't think you think I'm making a mistake here.
[00:56:23.762 --> 00:56:25.143]  You know in your gut, you can see it.
[00:56:25.363 --> 00:56:26.344]  You need gold and silver now.
[00:56:26.584 --> 00:56:27.105]  Go there now.
[00:56:27.245 --> 00:56:29.826]  And they finance this operation, which is wrecking the enemy.
[00:56:30.006 --> 00:56:30.627]  We'll be right back.
[00:56:30.867 --> 00:56:39.452]  Here is the clip of the incredible statement from the globalist at the Federal Depositors Insurance Corporation.
[00:56:39.893 --> 00:56:41.033]  Then the John Bowne report.
[00:56:41.054 --> 00:56:41.534]  We'll be right back.
[00:56:42.159 --> 00:56:43.780]  It's a little bit conflicted, right?
[00:56:43.840 --> 00:56:50.304]  I mean, it's important that people understand they can be bailed in, but you don't want a huge run on the institution.
[00:56:50.404 --> 00:56:52.285]  But they have, I mean, they're going to be.
[00:56:52.685 --> 00:57:01.390]  And it could be an early warning signal to the FDIC and the primary regulators when these things happen.
[00:57:01.430 --> 00:57:07.934]  And there may be some other prices, this is similar to what Jay was saying, in the market that
[00:57:09.750 --> 00:57:16.131]  You can tell whether people understand how the, who's going to be protected, who isn't going to be protected.
[00:57:16.731 --> 00:57:18.452]  Cause they own this fucking place.
[00:57:18.732 --> 00:57:21.652]  It's a big club and you ain't in it.
[00:57:22.932 --> 00:57:25.693]  You and I are not in the big club.
[00:57:28.173 --> 00:57:29.054]  I completely agree with that.
[00:57:29.394 --> 00:57:31.354]  I almost think you'd scare the public.
[00:57:32.234 --> 00:57:34.555]  If you put this out, like, why are they telling me this?
[00:57:34.975 --> 00:57:36.615]  Should I be concerned about my bank?
[00:57:38.209 --> 00:57:41.612]  My insurance company doesn't tell me what they're doing with my assets.
[00:57:41.832 --> 00:57:43.994]  They just assume they're going to pay my claim.
[00:57:45.155 --> 00:57:45.355]  Right?
[00:57:46.376 --> 00:57:55.923]  I think you've got to think of the unintended consequences of taking a public that has more full faith and confidence in the banking system than maybe people in this room do.
[00:57:58.365 --> 00:58:00.487]  We want them to have full faith and confidence in the banking system.
[00:58:00.547 --> 00:58:02.208]  They know the FDIC insurance is there.
[00:58:02.288 --> 00:58:02.989]  They know it works.
[00:58:03.129 --> 00:58:03.749]  They put their money in.
[00:58:03.769 --> 00:58:04.650]  They're going to get their money out.
[00:58:05.586 --> 00:58:10.831]  So there's a select crowd of people that are on the institutional side.
[00:58:11.591 --> 00:58:14.334]  And if they want to understand this, they're going to find a way to understand this.
[00:58:14.434 --> 00:58:16.216]  There's a bunch of law firms represented in this room.
[00:58:16.256 --> 00:58:19.939]  There's a bunch of people that will charge them by the hour a lot of money to explain this all to them.
[00:58:20.459 --> 00:58:22.321]  And it's fine.
[00:58:22.441 --> 00:58:23.342]  I don't have a problem with that.
[00:58:23.642 --> 00:58:24.743]  And they all have huge staffs.
[00:58:25.264 --> 00:58:31.649]  But I would be careful about the unintended consequences of starting to blast too much of this out in the general public.
[00:58:35.405 --> 00:58:40.051]  I would in fact make sure that there is, we immediately surge to the border.
[00:58:40.431 --> 00:58:42.053]  All those people are seeking asylum.
[00:58:42.334 --> 00:58:43.275]  They deserve to be heard.
[00:58:43.295 --> 00:58:45.117]  They deserve to be heard.
[00:58:45.418 --> 00:58:47.540]  Biden gets rid of the border three and a half years ago.
[00:58:47.560 --> 00:58:49.503]  20 million people are here.
[00:58:49.543 --> 00:58:50.844]  That's the real number, 22 million.
[00:58:51.705 --> 00:58:54.026]  They're slaves of the globalists, a new permanent underclass.
[00:58:54.687 --> 00:58:56.028]  He tells them immediately surge the border.
[00:58:56.048 --> 00:58:57.088]  If he wins, they get here.
[00:58:57.508 --> 00:58:58.749]  He says, oh, the border's not broken.
[00:58:58.769 --> 00:58:59.790]  He says, oh, it is broken.
[00:59:00.130 --> 00:59:00.990]  Pass amnesty.
[00:59:01.451 --> 00:59:05.153]  And then yesterday he comes out and says, oh, we can't have it illegal to come here.
[00:59:05.173 --> 00:59:05.873]  It's moral.
[00:59:05.893 --> 00:59:06.874]  This is totally open.
[00:59:07.074 --> 00:59:11.056]  You imagine a kid two years old saying, mom, don't take me across Rio Grande.
[00:59:11.076 --> 00:59:11.916]  It's against the law.
[00:59:12.397 --> 00:59:13.057]  Give me a break.
[00:59:13.709 --> 00:59:15.130]  These have been model citizens.
[00:59:15.650 --> 00:59:22.275]  Imagine telling a kid it's illegal to come across the border, which it is, which he's made legal by Fiat, and they're model citizens.
[00:59:22.335 --> 00:59:24.596]  They're citizens the minute they get here.
[00:59:24.917 --> 00:59:31.821]  Do you think there are people that are coming over that have the intent to do our neighbors, our friends, our family members harm?
[00:59:32.442 --> 00:59:34.103]  Absolutely.
[00:59:34.723 --> 00:59:36.805]  There's huge give up groups that we're getting.
[00:59:38.006 --> 00:59:42.929]  You know, the media is only reporting what
[00:59:44.398 --> 00:59:52.646]  They can report on rape, which is, statistically speaking, a small percentage of the actual bad guys that we're catching.
[00:59:52.946 --> 00:59:54.788]  No one is coming to protect you.
[00:59:55.469 --> 00:59:59.532]  Even at the local law enforcement level, we do not control the border.
[01:00:00.113 --> 01:00:01.795]  The cartel controls the border.
[01:00:02.776 --> 01:00:08.381]  Everything that we do is a reaction to things that they have planned.
[01:00:09.850 --> 01:00:16.833]  Usually we're chasing our own pawns while the kings and queens are doing whatever they want.
[01:00:17.133 --> 01:00:21.135]  Think about the magnitude of what he just said.
[01:00:21.195 --> 01:00:22.275]  The lawlessness of it.
[01:00:22.596 --> 01:00:23.676]  They're gonna grab your junk.
[01:00:23.696 --> 01:00:24.617]  They're gonna search your family.
[01:00:24.637 --> 01:00:26.677]  They're gonna put you through a body scanner at the airport.
[01:00:27.118 --> 01:00:29.979]  But the border is wide open.
[01:00:30.299 --> 01:00:31.760]  Absolutely insane.
[01:00:32.260 --> 01:00:34.481]  They stole the election three and a half years ago.
[01:00:35.581 --> 01:00:36.842]  They're planning to steal it again.
[01:00:38.584 --> 01:00:42.107]  Does the investigation confirm that there are missing ballot images?
[01:00:45.049 --> 01:00:46.310]  Yes.
[01:00:46.370 --> 01:00:46.710]  Yes.
[01:00:46.790 --> 01:00:53.735]  Do you know why 380,761 ballot images from Election Day machine count are not available?
[01:00:54.976 --> 01:00:55.857]  Those are for the recount.
[01:00:56.357 --> 01:00:57.458]  Those are from the recount.
[01:00:57.498 --> 01:01:02.522]  But we have no ballot images for 380,761 ballots from Election Day, correct?
[01:01:08.857 --> 01:01:15.121]  What was subpoenaed was the ballot images for the recount because that's what this case was about, not the election day.
[01:01:15.781 --> 01:01:20.003]  Does Fulton County know why there are not 380,761 ballot images from Election Day?
[01:01:25.612 --> 01:01:41.824]  According to news sources, a Wisconsin government employee has been fired from her government job for helping to rig the 2020 presidential election in Joe Biden's favor.
[01:01:42.605 --> 01:01:48.870]  We have a documented email from one of her co-workers by the name of Ryan Chu.
[01:01:49.070 --> 01:01:51.392]  He wrote on November 4th at 4.07 a.m.
[01:01:53.473 --> 01:02:01.282]  Damn Claire, you have a flair for drama, delivering just the margin needed at 3am.
[01:02:01.983 --> 01:02:06.509]  I bet you had those votes counted at midnight and just wanted to keep the world waiting.
[01:02:08.102 --> 01:02:25.414]  Now, if you're interested in learning more about hosting a migrant family, all you gotta do is take out your phone, dial 2-1-1.
[01:02:25.514 --> 01:02:26.495]  It's as easy as that.
[01:02:26.515 --> 01:02:27.816]  You're gonna be asked a few questions.
[01:02:28.336 --> 01:02:33.500]  Things along the lines of how long are you able to host somebody, what kind of space are you available to provide.
[01:02:33.780 --> 01:02:36.341]  These are the times to try Men and Women's Souls.
[01:02:37.495 --> 01:02:39.896]  But this is the last gasp all over the world.
[01:02:39.916 --> 01:02:44.639]  83% was the number I saw last week in regional, local, national elections.
[01:02:44.959 --> 01:02:49.161]  From Australia to El Salvador to you name it.
[01:02:49.981 --> 01:02:50.242]  Europe.
[01:02:50.842 --> 01:02:51.962]  Patriots are getting elected.
[01:02:52.022 --> 01:02:54.244]  That's why the system is so scared.
[01:02:59.386 --> 01:03:02.788]  Myself and Dr. Kirk Elliott are not here telling you what's coming.
[01:03:02.888 --> 01:03:04.609]  It's already going down.
[01:03:06.394 --> 01:03:19.671]  Get right with God first, folks, and take the border piece we just played, part of it, the computer glitched out, didn't play the whole thing, the whole thing's at BandaiVideo and InfoWars.com and RealAlexJones on X. Congress, the Democrats voted.
[01:03:20.970 --> 01:03:26.492]  To not stop illegals from voting or apportioning them for the Electoral College.
[01:03:27.072 --> 01:03:34.355]  And if they bring in, you know, 20-something million since Biden's in, that in the new census will be counted as new blue districts.
[01:03:36.796 --> 01:03:40.278]  And the border is not controlled by the cartels that are working with the CIA.
[01:03:40.978 --> 01:03:43.459]  It came out decades ago that the CIA was controlling the cartels.
[01:03:43.499 --> 01:03:46.000]  When they got out of line, they'd go kill them or use another cartel.
[01:03:46.520 --> 01:03:49.982]  So to try to explain to people how big a deal this is,
[01:03:52.043 --> 01:03:55.385]  There's really not words for me to describe to you.
[01:03:57.186 --> 01:03:58.948]  And you don't need me to tell you how big a deal this is.
[01:03:59.048 --> 01:04:00.108]  But here's the bottom line.
[01:04:00.649 --> 01:04:01.609]  We're in a war.
[01:04:01.649 --> 01:04:08.454]  There's a war against civilization, a war against your wealth, a war against your health, a war against your spirit, a war against your future.
[01:04:08.934 --> 01:04:10.455]  Recognize the war is here.
[01:04:10.495 --> 01:04:12.157]  And I know people tune in here because you get that.
[01:04:12.437 --> 01:04:13.437]  Well, you got to tell the people.
[01:04:13.958 --> 01:04:16.319]  Because as things get more intense, they're ready to hear the truth now.
[01:04:16.720 --> 01:04:20.042]  So to Kirk Elliott, you know, just watching that border clip and then other key points you've got.
[01:04:22.518 --> 01:04:28.184]  So, there's an obvious battle economically between the BRICS nations and us.
[01:04:28.805 --> 01:04:30.466]  They want to be the world's reserve currency.
[01:04:30.586 --> 01:04:38.154]  So, in Russia, this again I got from silverwars.org.
[01:04:38.254 --> 01:04:41.297]  So, this is a great piece that they wrote.
[01:04:41.838 --> 01:04:45.321]  There's an economist in Russia named Sergey Glazyev.
[01:04:45.962 --> 01:04:54.347]  So he proposed pegging the price of one gram of gold to one barrel of oil as a way to undermine the dominance of the U.S.
[01:04:54.387 --> 01:04:55.707]  dollar in global trade.
[01:04:55.767 --> 01:04:56.628]  Introduce a gold currency.
[01:04:57.869 --> 01:04:58.249]  Exactly.
[01:04:58.289 --> 01:04:59.029]  That's what they want to do.
[01:04:59.149 --> 01:04:59.490]  Checkmate.
[01:04:59.830 --> 01:05:05.953]  So Credit Suisse analyst Zoltan Pozar analyzed the potential implications of this proposal.
[01:05:08.191 --> 01:05:21.040]  When I think about this, it's like, Oh my word, Alex, this is brilliant because a, they got rid of the petrodollar and now they're going to peg the one gram of gold to a barrel of oil.
[01:05:21.660 --> 01:05:24.242]  So what has happened in the United States?
[01:05:24.282 --> 01:05:30.426]  Well, over the last few years, Biden has eliminated the strategic oil reserve.
[01:05:30.446 --> 01:05:31.527]  Like it's, it's depleted.
[01:05:31.647 --> 01:05:32.407]  It's, it's gone.
[01:05:32.807 --> 01:05:37.691]  So they now have to replenish the strategic oil reserve in America.
