[00:00:00.569 --> 00:00:05.652]  We had a chance to talk to Dr. Russell Blaylock, MD, a retired neurosurgeon and author.
[01:02:59.883 --> 01:03:05.306]  So that means 500 times more people died from the vaccine than died from the actual virus.
[01:03:06.427 --> 01:03:09.169]  It took 20 years for that to come out to the public.
[01:03:10.629 --> 01:03:14.772]  20 years from the figure out that in fact the whole thing had been concocted.
[01:03:15.733 --> 01:03:22.357]  So it's going to take another 20 years for us to actually see the impact of what's happened this past year with H1N1.
[01:03:24.557 --> 01:03:35.928]  When we finally get a tally of how many mothers lost their babies, I think so far the count's about 200, how many in the end are going to end up schizophrenic?
[01:03:37.029 --> 01:03:39.211]  How much increase in autism will we see?
[01:03:40.052 --> 01:03:42.594]  How many other neurodevelopmental problems will we see?
[01:03:42.614 --> 01:03:46.438]  How many children will have seizures for the rest of their life?
[01:03:48.140 --> 01:03:52.663]  How many elderly are going to have problems, autoimmune disease, etc.?
[01:03:53.324 --> 01:03:57.447]  It's going to take decades for that to finally be exposed.
[01:03:59.268 --> 01:04:12.618]  And so, you know, that's my warning to people is be a little bit more discerning, a little bit more skeptical when you hear these federal agencies on TV trying to terrify you into taking a course of action.
[01:04:13.019 --> 01:04:14.140]  And, of course, when we look at
[01:04:16.642 --> 01:04:30.518]  The CDC and again people who've visited there told me all the walls are plastered with posters that are printed by the vaccine companies themselves extolling the virtues of all these vaccines.
[01:04:31.829 --> 01:04:35.314]  So the Centers for Disease Control is using their posters.
[01:04:35.394 --> 01:04:45.427]  If you go in your doctor's office and you see this big poster all about the virtues of these vaccines, look down in the corner and you'll see printed the name of the pharmaceutical company.
[01:04:46.028 --> 01:04:49.192]  So that's where your doctors get the information from the pharmaceutical company.
[01:04:50.266 --> 01:04:53.688]  The CDC is heavily influenced by the pharmaceutical company.
[01:04:54.409 --> 01:04:59.112]  That's come out in a recent examination, an expose.
[01:04:59.312 --> 01:05:03.774]  It's that a number of these scientists are in fact receiving funds from the pharmaceutical companies.
[01:05:04.215 --> 01:05:14.481]  When you look at the vaccine board for the American Academy of Pediatrics, you see a number of those people are receiving funds from the pharmaceutical companies that makes vaccines.
[01:05:15.765 --> 01:05:26.175]  Well, how can they suggest mandatory vaccinations for the CDC and for state agencies when they're receiving money from the vaccine manufacturers?
