[00:00:02.349 --> 00:00:03.490]  This perfect storm.
[00:45:21.908 --> 00:45:24.510]  Homeowners are catching arsonists on their property.
[00:45:25.691 --> 00:45:31.011]  There are reports of people throwing Molotov cocktails out of moving vehicles on the freeway.
[00:45:39.175 --> 00:45:43.040]  And there are videos of arsonists setting people's homes on fire.
[00:45:44.261 --> 00:45:51.489]  We know for certain that at least one of the arrested arsonists is directly involved with the BLM Antifa movement.
[00:45:52.750 --> 00:45:55.954]  And the rest certainly seem to fit the bill.
[00:45:58.852 --> 00:46:00.494]  Local news is reporting on it.
[00:46:00.514 --> 00:46:03.817]  A man has been arrested, accused of starting this fire.
[00:46:03.937 --> 00:46:08.481]  One of two men accused of intentionally setting fire to fields along freeways.
[00:46:08.702 --> 00:46:12.405]  But the FBI and the mainstream media are in full denial.
[00:46:13.686 --> 00:46:21.714]  A Clackamas County Sheriff's Deputy was placed on administrative leave after warning locals about coordinated arson attacks.
[00:46:21.894 --> 00:46:25.255]  What I'm worried about is that there's people stashing stuff, right?
[00:46:25.275 --> 00:46:25.515]  Right.
[00:46:25.755 --> 00:46:28.176]  It means that they're going to go in preparation, right?
[00:46:28.716 --> 00:46:33.137]  And I don't want to sound like some doomsdayer, but it's getting serious.
[00:46:33.737 --> 00:46:37.618]  And the Democrat Party is telling you it is all climate change.
[00:46:37.779 --> 00:46:39.539]  Mother Earth is angry.
[00:46:39.559 --> 00:46:49.902]  She's telling us, whether she's telling us with hurricanes on the Gulf Coast, fires in the West, whatever it is, that the climate crisis is real and has an impact.
[00:46:50.302 --> 00:46:56.645]  And telling you that the fires will soon come to your town if you don't vote for climate change.
[00:46:57.065 --> 00:47:05.990]  What we're experiencing right here is coming to a community all across the United States of America unless we get our act together on climate change.
[00:47:06.250 --> 00:47:15.475]  Which is a pretty nasty threat considering how many cities across America have burned by the hands of radical leftists over the summer.
[00:47:17.060 --> 00:47:32.746]  The 2006 film Apocalypto beautifully illustrated how the ancient Mayans' advanced knowledge of astronomy could have been used to frighten the superstitious masses into offering their own to be sacrificed on the altar of false idols.
[00:47:34.026 --> 00:47:36.847]  Who had the power to blacken out the sun.
[00:47:38.148 --> 00:47:40.308]  And there is nothing new under the sun.
[00:47:40.969 --> 00:47:48.551]  People today will throw away their children's birthright because of ignorance, faith in false idols, and their blatant lies.
[00:47:49.792 --> 00:47:52.132]  For InfoWars.com, this is Greg Reese.
[00:47:52.693 --> 00:47:53.813]  Reports on InfoWars, share it.
[00:47:56.104 --> 00:48:11.273]  Well, Roger Stone is out in Reno, Nevada, covering the Trump event there, doing a bunch of big speaking engagements and private events, and we're really appreciating him ducking out into a little studio area to talk to us for just 30 minutes or so, and then he's gotta go.
[00:48:12.754 --> 00:48:19.759]  Is it true that Roger Stone, again, this is Alex Jones Show, if you just tuned in, second hour, Sunday broadcast, is it true that Roger Stone
[00:48:21.175 --> 00:48:26.378]  Called for martial law to be declared if Trump loses the election?
[00:48:26.618 --> 00:48:27.018]  No!
[00:48:27.619 --> 00:48:29.580]  Roger was on the main, I guess, Wednesday.
[00:48:30.933 --> 00:48:34.434]  And we went over the headlines that were in Reuters, AP, everywhere.
[00:48:34.934 --> 00:48:47.597]  General Mattis, according to Bob Woodward's book, wanted a coup and tried to plot a coup, but he couldn't get people to go along with him, even though he had John McCain and other Democrats, John McCain's really a Democrat, with him.
[00:48:48.257 --> 00:48:50.277]  Now, now, we don't just believe what Bob Woodward says.
[00:48:50.297 --> 00:48:51.077]  A lot of it's BS.
[00:48:51.257 --> 00:48:51.877]  We went and looked it up.
[00:48:51.897 --> 00:48:53.138]  There was a coup back at that time.
[00:48:53.218 --> 00:48:54.338]  Roger Stone covered it then.
[00:48:55.018 --> 00:48:58.659]  So by their alchemy, they turned it into Roger Stone calls for that.
[00:48:59.793 --> 00:49:00.414]  Here's the headlines.
[00:49:00.754 --> 00:49:04.156]  James Mattis is caught suggesting military coup against Trump.
[00:49:05.958 --> 00:49:08.159]  Paul Greg Roberts, former head of the Treasury, came out and said the U.S.
[00:49:08.220 --> 00:49:10.141]  and its Constitution have two months left.
[00:49:10.161 --> 00:49:11.522]  They're trying to have a coup against Trump.
[00:49:13.664 --> 00:49:14.624]  But here's Forbes.
[00:49:14.724 --> 00:49:19.728]  Roger Stone calls on Trump to seize total power and assert martial law.
[00:49:19.768 --> 00:49:20.249]  But could he?
[00:49:21.909 --> 00:49:23.730]  Roger Stone tells Trump to bring in Marshall Law.
[00:49:23.770 --> 00:49:24.470]  He loses the election.
[00:49:24.730 --> 00:49:25.410]  London Independent.
[00:49:25.970 --> 00:49:34.053]  Business Insider's got a long headline talking about all of Roger's plans for total power and the seizure of total control.
[00:49:34.874 --> 00:49:41.776]  Meanwhile, real former JAG officers and generals warn that the Democrats have been canvassing with other Republican rhinos and neocons
[00:49:42.156 --> 00:49:43.537]  For just that.
[00:49:43.838 --> 00:49:46.920]  And everyone's heard Joe Biden say the military is going to remove him.
[00:49:47.220 --> 00:49:49.702]  And Bill Clinton said two weeks ago the military needs to remove him.
[00:49:49.983 --> 00:49:52.885]  And Hillary and Eric Holder and they're all saying it.
[00:49:53.125 --> 00:49:57.669]  And Roger comes on and says Trump has a constitutional right and so do we to say no to this.
[00:49:58.049 --> 00:50:02.533]  He talks about that and they got really scared and misrepresented what you said, Rogers.
[00:50:02.894 --> 00:50:10.320]  They now admit contesting the election, as you said months ago on the show, and doing all of this and having civil unrest is their plan.
[00:50:10.600 --> 00:50:12.721]  Because I know Trump is surging in the polls.
[00:50:12.981 --> 00:50:14.161]  Roger Stone, thanks for joining us.
[00:50:15.582 --> 00:50:25.265]  Alex, I thought it was very important to get on with you today because I've really, actually in 40 years in American politics, I've never quite seen anything like this.
[00:50:25.305 --> 00:50:36.609]  You see, the unhinged left is very upset because I have exposed what they have planned, although it wasn't very hard because they talk about it openly.
[00:50:37.555 --> 00:50:47.742]  And my public comments can be construed as advising the president to legally use his powers to thwart what they have coming.
[00:50:48.462 --> 00:50:56.408]  I never said in any context the president should seize power through martial law if he loses the election.
[00:50:57.388 --> 00:51:01.251]  What I said was if there is overwhelming evidence of fraud,
[00:51:01.906 --> 00:51:20.157]  The president absolutely has the right to use every legal tool, including invoking the Insurrection Act, martial law if necessary, since there is violence in our streets and it is directly traceable to the Biden-Harris globalist forces.
[00:51:21.297 --> 00:51:23.399]  This is one of the most outrageous smears.
[00:51:23.539 --> 00:51:26.040]  I understand it because you see, I'm the boogeyman.
[00:51:26.300 --> 00:51:28.882]  Oh, Roger Stone, he's a dirty trickster.
[00:51:29.443 --> 00:51:47.827]  Based on my 40 years in American politics, based on my experience in 10 presidential campaigns, I'm trying to tell anyone who will listen what needs to happen in the event that we have an audacious, blatant, outrageous steal of this election.
[00:51:48.527 --> 00:51:55.528]  And it is not just the mail ballots, the mail-in ballots, where the stealing will take place.
[00:51:56.181 --> 00:52:11.472]  In fact, there's been too much focus on that and not enough focus on the old-fashioned methods of vote stealing as practiced in places like, oh, I don't know, Chicago, Illinois, Palm Beach County, Florida, Broward County, Florida.
[00:52:12.453 --> 00:52:16.856]  It is absolutely clear that the Democrats are going to vote dead people.
[00:52:17.626 --> 00:52:19.926]  As they're doing right here in Clark County, Nevada.
[00:52:20.367 --> 00:52:22.907]  They're going to vote people multiple times.
[00:52:22.987 --> 00:52:28.408]  I was about to say, a bunch of state attorney generals have already found the Democrats voting twice, just as Trump warned they would.
[00:52:30.068 --> 00:52:33.989]  But this is an attempt, again, at inoculation.
[00:52:34.669 --> 00:52:41.450]  They intend to steal this and they're trying to signal Trump that he better not dare challenge their illegal actions.
[00:52:42.170 --> 00:52:45.491]  And therefore, I was actually trending on Twitter yesterday.
[00:52:46.461 --> 00:52:50.303]  That's a social media platform where I've been banned for over three years.
[00:52:51.463 --> 00:52:55.025]  But I want to be very clear because I went back and I listened to our interview.
[00:52:55.645 --> 00:53:01.948]  I never said the president should seize power if he's, you know, not elected.
[00:53:01.988 --> 00:53:11.212]  In fact, the president himself has said in a White House news conference, well, of course, if I lost an honest and fair election, I would step down.
[00:53:11.272 --> 00:53:12.613]  There's no question about that.
[00:53:13.573 --> 00:53:15.554]  But that's not what they are talking about.
[00:53:16.552 --> 00:53:18.533]  So this has to be corrected.
[00:53:18.873 --> 00:53:33.081]  The Guardian, CNN, the Daily Beast, all the usual suspects, all of the corporately owned fake news fountains, the people that constantly spew falsehoods about InfoWars, about you, about me.
[00:53:33.101 --> 00:53:41.746]  The reason they hate InfoWars and us so much is because we're letting people know what is really about to happen.
[00:53:42.779 --> 00:53:44.502]  We're exposing their plans.
[00:53:44.622 --> 00:53:46.645]  I was about to say they always project.
[00:53:46.765 --> 00:53:48.307]  They're the ones saying use the military.
[00:53:48.567 --> 00:53:52.253]  They're the ones saying they're going to lose and they're going to contest it and use that for civil unrest.
[00:53:52.533 --> 00:53:53.895]  They're the ones saying they want a coup.
[00:53:54.135 --> 00:53:56.439]  And then we're like, how do we respond to this criminal activity?
[00:53:56.719 --> 00:53:59.003]  And then you went to the Constitution and what the president should do.
[00:54:00.202 --> 00:54:10.884]  Well, not only that, but yes, I did say federal agents, in this case federal marshals, can impound ballots in states where there are disputes to ensure that there are no tampering with those ballots.
[00:54:11.364 --> 00:54:12.525]  That's called the law.
[00:54:12.705 --> 00:54:13.705]  That's how it works.
[00:54:14.625 --> 00:54:23.907]  So this hysteria is because we have tipped the American people, and perhaps the people around the President, into what is about to happen.
[00:54:24.580 --> 00:54:40.087]  You notice in this interview that he gave with Judge Jeanine Pirro, someone I like very much, when she asked him about the potential for election fraud and stealing the 2020 election, the president said, we'll shut it down in a second.
[00:54:40.888 --> 00:54:42.488]  Well, I think that's optimistic.
[00:54:42.508 --> 00:54:46.429]  The President's not a lawyer, but it's more insidious than that.
[00:54:46.570 --> 00:54:48.490]  It's going to be multi-state.
[00:54:48.630 --> 00:54:51.031]  It's going to be multi-jurisdictional.
[00:54:51.491 --> 00:54:53.931]  It'll be in some courts, not in other courts.
[00:54:54.392 --> 00:54:59.453]  Meanwhile, how do we know that the BLM and TIFA forces
[00:55:00.143 --> 00:55:04.464]  Do not intend to intimidate voters from going to the polling places.
[00:55:05.164 --> 00:55:17.087]  I think that is exactly... Oh, by the way, the group Soros just set up to manage all this, the election transition team as they call it, publicly run by him, says we're gonna shut down all the cities, we're gonna shut down the polling places.
[00:55:17.107 --> 00:55:24.388]  They're actually saying they're gonna be there protecting them and then shutting them down and taking control and absolutely trying to lock down the country.
[00:55:25.289 --> 00:55:27.229]  There's a message for Attorney General Barr.
[00:55:28.044 --> 00:55:31.550]  Voter intimidation is a federal crime.
[00:55:32.130 --> 00:55:34.274]  They have just announced that they plan to do it.
[00:55:34.835 --> 00:55:36.938]  Sir, do your job.
[00:55:37.579 --> 00:55:38.981]  Please, do your job.
[00:55:40.433 --> 00:55:44.195]  When they say that we intimidate voters, it is baseless.
[00:55:44.695 --> 00:55:46.196]  We've never intimidated voters.
[00:55:46.236 --> 00:55:51.798]  In fact, I happen to think the bigger the turnout, the better it is for Donald Trump and the Republicans.
[00:55:52.299 --> 00:55:54.500]  But you're right, it's absolute projection.
[00:55:54.940 --> 00:55:57.601]  Their criminal plans have been laid bare.
[00:55:58.322 --> 00:56:00.102]  They don't want any opposition.
[00:56:00.503 --> 00:56:08.006]  And when we go out there and we sound the clarion call so people know what is about to happen, they smear us.
[00:56:08.827 --> 00:56:09.507]  It's outrageous.
[00:56:10.219 --> 00:56:12.222]  Roger, when we come back, talk about outrageous.
[00:56:12.242 --> 00:56:21.658]  I keep hearing that Durham's going to do something and they've indicted one FBI lawyer that falsified documents about the president, about you, about others, with Russiagate garbage.
[00:56:23.254 --> 00:56:31.980]  Durham, I mean, we have 30-plus phones by the whole Mueller investigation being wiped, just like Hillary wiping the servers and bleach-bitting it.
[00:56:32.900 --> 00:56:41.706]  The arrogance, the humorous of these people is just absolutely unparalleled because they think they're never going to get in trouble, which invites the next big scam.
[00:56:41.726 --> 00:56:43.527]  We'll come back to Roger Stone on the other side.
[00:56:43.547 --> 00:56:44.347]  He's out in Reno, Nevada.
[00:56:44.647 --> 00:56:45.808]  The President's giving his speech.
[00:56:46.389 --> 00:56:48.350]  There's so much more to get into here today.
[00:56:49.450 --> 00:56:50.651]  Roger Stone, of course.
[00:56:52.185 --> 00:56:53.226]  Has a lot of great websites.
[00:56:53.286 --> 00:56:54.927]  Roger, what's the best website for people to visit?
[00:56:55.328 --> 00:57:02.354]  These days, I think people should go to StoneColdTruth.com, where I am resuming broadcasting and reporting on American politics.
[00:57:02.414 --> 00:57:04.055]  StoneColdTruth.com.
[00:57:04.335 --> 00:57:07.298]  And just for listeners and viewers out there, we're burning the candle at both ends.
[00:57:07.318 --> 00:57:08.459]  We're up here seven days a week.
[00:57:09.159 --> 00:57:13.080]  Owen Schroer does a two-hour Sunday show now called Sunday Live.
[00:57:13.140 --> 00:57:14.180]  Two hours right after this.
[00:57:14.500 --> 00:57:15.620]  Only six minutes of ads.
[00:57:15.900 --> 00:57:17.020]  We're doing that right through the election.
[00:57:17.060 --> 00:57:18.281]  The crew's working around the clock.
[00:57:18.321 --> 00:57:20.341]  So am I. We're doing the best job we can.
[00:57:20.381 --> 00:57:23.982]  This is the time to be involved and to spread the word about this live show.
[00:57:24.062 --> 00:57:31.223]  Take the live feed right now and email it, text message it, Twitter it, Facebook it, YouTube it, word of mouth it, and tell folks what the local station you're listening to.
[00:57:31.243 --> 00:57:32.523]  That isn't just important.
[00:57:32.583 --> 00:57:33.323]  It's everything.
[00:57:33.983 --> 00:57:35.764]  You are everything, Paul Revere.
[00:57:36.104 --> 00:57:37.364]  Tell folks about the show now.
[00:57:37.544 --> 00:57:38.124]  I know you are.
[00:57:39.902 --> 00:57:40.522]  50 days out.
[00:57:40.922 --> 00:57:42.223]  Look at the London Guardian headline.
[00:57:42.763 --> 00:57:44.004]  Roger Stone and Donald Trump.
[00:57:44.624 --> 00:57:46.644]  Bring in martial law if you lose election.
[00:57:47.705 --> 00:57:50.306]  Trump, meanwhile, promises to put down left-wing protests.
[00:57:50.826 --> 00:57:51.506]  Says U.S.
[00:57:51.566 --> 00:57:54.527]  Marshals killing Portland suspect was retribution.
[00:57:56.288 --> 00:57:57.308]  All of it out of context.
[00:57:57.468 --> 00:57:58.388]  All of it disinfo.
[00:57:58.929 --> 00:58:01.930]  It's the Democrats and the Deep State and their Chinese Communist backers.
[00:58:02.490 --> 00:58:07.231]  With Pelosi and Biden admitting they work for Communist China against America in open treason.
[00:58:08.012 --> 00:58:08.372]  Saying,
[00:58:09.793 --> 00:58:11.975]  That they're going to have the military remove Trump.
[00:58:12.375 --> 00:58:16.438]  And that if they lose, they're going to contest it and plunge the country into civil war.
[00:58:16.758 --> 00:58:30.748]  And John Podesta, two months ago, in the New York Times, in their war gaming, the highest levels of the Democratic Party said, we'll have liberal states secede, plunging us into the second American civil war, in Rob Reiner's own words.
[00:58:32.649 --> 00:58:36.932]  But then they turn it around and say, Roger Stone, he's the one doing it.
[00:58:39.167 --> 00:58:40.768]  Quote a word here, quote a word there.
[00:58:41.428 --> 00:58:47.591]  Yes, he used the word martial law because they brought us into a form of martial law where they're attacking police.
[00:58:47.951 --> 00:58:52.273]  What do you make of the Democrats celebrating two cops shot in L.A.
[00:58:52.313 --> 00:58:58.276]  for no reason, and then Black Lives Matter coming to the hospital and chanting and cheering and saying, we hope you die?
[00:58:58.296 --> 00:59:00.537]  And people say, well, this will never work.
[00:59:00.577 --> 00:59:02.638]  Well, it will work if people are intimidated.
[00:59:02.658 --> 00:59:04.198]  I mean, the police are already intimidated.
[00:59:04.259 --> 00:59:05.979]  Do you think about leftist demonstrators?
[00:59:05.999 --> 00:59:07.220]  Where do you see all this going, Roger?
[00:59:08.206 --> 00:59:27.822]  Well, first of all, I think the Department of Justice needs to lay out in a formal fashion the absolute indisputable ties between these left-wing violent groups in our streets and the Biden-Harris campaign and the central management of this socialist revolution in our streets.
[00:59:28.543 --> 00:59:33.527]  Because the Democrats are trying to act like, oh, that's not us, but it is them.
[00:59:34.107 --> 00:59:36.970]  I think it is a vast overplaying of their hand.
[00:59:37.575 --> 00:59:42.179]  And what I mean by that is I believe that they are galvanizing the silent majority.
[00:59:42.900 --> 00:59:52.449]  They are intensifying the desire of Trump voters to vote and to go out and find others to do so.
[00:59:52.929 --> 00:59:56.793]  I detect among people I just speak to anecdotally,
[00:59:57.566 --> 00:59:59.887]  Uh, that there is growing support for the president.
[01:00:00.067 --> 01:00:02.448]  I believe he is gaining in this election.
[01:00:03.088 --> 01:00:13.932]  I believe people are reticent to tell that to a pollster they don't know or some person on the phone claiming to be a pollster that they don't know because they don't want to be harassed.
[01:00:14.512 --> 01:00:31.037]  I think particularly in the states like Wisconsin, in Michigan, where they have really raped and pillaged those communities, it is hurting them in the blue-collar, Catholic, Union, normally democratic suburbs.
[01:00:32.147 --> 01:00:37.031]  So I think in an odd way this is playing to the advantage of the president.
[01:00:37.091 --> 01:00:37.951]  I agree with you.
[01:00:38.552 --> 01:00:42.554]  I see it as part of the larger ongoing global realignment against the satanic left.
[01:00:43.015 --> 01:00:44.336]  But they're counter-striking.
[01:00:44.436 --> 01:00:47.138]  Why do you think Soros and the left did this card?
[01:00:47.178 --> 01:00:50.860]  Because it worked in Ukraine, worked in the Arab Spring, worked in other areas.
[01:00:51.180 --> 01:00:53.242]  Why do they keep running the same communist playbook?
[01:00:54.182 --> 01:00:56.184]  Because it is born of frustration.
[01:00:56.284 --> 01:00:59.286]  You see, the Russian collusion hoax was so perfect.
[01:01:00.109 --> 01:01:04.732]  They had the full force and the authority of the United States Justice Department.
[01:01:05.612 --> 01:01:15.257]  They actually had authority vested in Robert Mueller to investigate anybody and anything he wanted, and he did.
[01:01:16.018 --> 01:01:27.804]  When Rod Rosenstein, the acting Attorney General, two weeks ago said, oh, I actually told Mueller not to investigate Trump's ties to Russia, and he never really did, that's a lie.
[01:01:28.672 --> 01:01:43.637]  He signed three scope memos that gave Mueller the broadest possible authority, and I can assure you, they went all over me, like a practice logical examination, and they were looking for Russians, or Russian connections, and they couldn't find any.
[01:01:44.397 --> 01:01:49.759]  This is not the first time Rosenstein has lied, but usually he lies under oath before Congress.
[01:01:50.319 --> 01:01:52.260]  I just asked the rhetorical question.
[01:01:52.680 --> 01:01:54.960]  When will he be charged, Mr. Barr?
[01:01:55.561 --> 01:01:56.501]  When will he be charged?
[01:01:57.346 --> 01:01:58.306]  Well, that was my next question.
[01:01:58.346 --> 01:02:09.111]  What about the 30-plus missing phones of the entire Russia hoax group, the Russiagate coup d'etat group, handing their phones back classically wiped, some of them smashed?
[01:02:10.551 --> 01:02:17.754]  Destruction of evidence in a federal investigation is a felony with a 20-year penalty, Mr. Barr.
[01:02:19.251 --> 01:02:21.974]  I honestly, this is getting to the point of absurdity.
[01:02:22.234 --> 01:02:28.179]  By the way, Alex, this is not the first time that Mueller's dirty cops have destroyed evidence that would be useful.
[01:02:28.699 --> 01:02:31.942]  And then yesterday, you see, they're very clever.
[01:02:32.382 --> 01:02:47.874]  As soon as the story regarding Mueller's dirty cops, including Andrew Weissman, destroying the memories of the cell phones, hit the mainstream media, although I didn't see an NBC or CBS or ABC story on it.
[01:02:47.934 --> 01:02:48.455]  How about that?
[01:02:49.429 --> 01:03:04.767]  They immediately changed the narrative by leaking a story that one of John Durham's associate prosecutors has resigned reportedly to protest political pressure to speed up their investigation.
[01:03:05.228 --> 01:03:05.869]  Reportedly.
[01:03:06.684 --> 01:03:08.586]  No one has any confirmation of that.
[01:03:09.106 --> 01:03:14.590]  The woman prosecutor has denied that, or pardon me, she declines to confirm that.
[01:03:15.051 --> 01:03:23.598]  It's not in her resignation letter, but the purpose here was to get the story about Mueller's destruction of evidence, illegal, off the front page.
[01:03:23.618 --> 01:03:25.239]  Well obviously, here's my problem.
[01:03:25.499 --> 01:03:34.422]  It affects you, it's important, but if they're never going to do anything, it almost becomes, like Tucker Carlson has said, a distraction to keep saying, two more weeks, when is Durham going to do something?
[01:03:34.702 --> 01:03:43.425]  And then just more of their corruption keeps coming out, so it becomes a form of them just rubbing it into us, that they've done all this, and you know behind the scenes what they've been doing to me.
[01:03:43.745 --> 01:03:47.627]  I mean, I'm not a wimp, I can handle it, but my God, these people are raving criminals!
[01:03:48.567 --> 01:03:51.768]  Well, and the fact that we are this close to the election,
[01:03:52.646 --> 01:03:55.647]  ...gives the Democrats, sadly, a legitimate argument.
[01:03:55.667 --> 01:04:01.608]  I mean, traditionally, the Justice Department does not bring criminal indictments in a political matter.
[01:04:01.628 --> 01:04:02.909]  Sure, but tradition's out the window.
[01:04:02.929 --> 01:04:06.890]  They're talking about martial law and killing Trump and overthrowing him in the military.
[01:04:06.930 --> 01:04:10.991]  I mean, doesn't the Justice Department and Trump get they're not in Kansas anymore?
[01:04:11.011 --> 01:04:18.053]  That there is an internal criminal group allied with Communist China openly trying to overthrow the country and cause a damn civil war?
[01:04:19.504 --> 01:04:27.829]  No, when we say things like that, they think we are quote-unquote conspiracy theorists, when in fact they are the ones who are conspiracy theorists.
[01:04:28.469 --> 01:04:32.431]  They continue to say, Jake Tapper, this guy's a real piece of work.
[01:04:32.451 --> 01:04:35.793]  He had a special on CNN the other night on Russian collusion.
[01:04:36.693 --> 01:04:39.595]  This was one of the great golden oldie shows of all time.
[01:04:40.215 --> 01:04:42.657]  Hey Jake, there's no evidence whatsoever.
[01:04:42.777 --> 01:04:44.117]  Oh I know, they brought it all back.
[01:04:44.158 --> 01:04:45.778]  It's in the news that I'm a Russian again.
[01:04:45.798 --> 01:04:48.380]  I had a guy on the green belt call me a Russian two days ago.
[01:04:49.124 --> 01:04:57.728]  Paul Manafort was prosecuted for crimes that had nothing to do with Donald Trump, the 2016 election, or the Russians.
[01:04:58.088 --> 01:05:00.749]  General Flynn is innocent.
[01:05:01.109 --> 01:05:02.149]  It's indisputable.
[01:05:02.590 --> 01:05:03.270]  Roger Stone?
[01:05:03.650 --> 01:05:04.931]  I have no connection to the Russians.
[01:05:04.991 --> 01:05:08.852]  That was not among the bogus... And by the way, Roger, talk about electioneering.
[01:05:08.872 --> 01:05:10.453]  Look at how that judge, unprecedentedly,
[01:05:11.053 --> 01:05:15.915]  Won't let Flynn out of his conviction, even though they told him to reverse it, because it's a fraud.
[01:05:16.175 --> 01:05:17.615]  The judge just sits there for political reasons.
[01:05:17.795 --> 01:05:20.376]  Let's come back and talk about what Trump needs to do in the election.
[01:05:20.636 --> 01:05:33.080]  His big, incredible Nobel Peace Prize nominations, and how he really deserves it, and how Biden, I don't know if you saw this, had to admit, well, he accidentally got all these peace deals.
[01:05:33.440 --> 01:05:35.821]  We'll talk about that on the other side with Roger Stone.
[01:05:36.161 --> 01:05:37.922]  I'm Alex Jones with NewsWars.com.
[01:05:39.577 --> 01:05:40.639]  And Infowars.com.
[01:05:40.900 --> 01:05:47.031]  And the globalists work around the clock to suppress those and censor those because it's like penicillin for a country that's got...
[01:05:48.177 --> 01:05:51.059]  A serious bacterial infection, and you're the white blood cells.
[01:05:51.379 --> 01:05:53.540]  You carry the information.
[01:05:53.580 --> 01:05:55.801]  You carry the cure to it.
[01:05:55.901 --> 01:06:02.025]  So, everyone on local stations you're listening to, tell somebody at a store, at a red light right now, how you're listening.
[01:06:02.265 --> 01:06:03.746]  Call your wife, your husband, tell them to tune in.
[01:06:04.006 --> 01:06:04.946]  Tell your son, your daughter.
[01:06:05.207 --> 01:06:05.907]  Send out emails.
[01:06:05.927 --> 01:06:06.667]  Send out text messages.
[01:06:06.707 --> 01:06:07.368]  Get excited.
[01:06:07.408 --> 01:06:08.929]  Say, the forbidden show.
[01:06:09.229 --> 01:06:12.991]  What you're not supposed to hear, what they want to put people in prison for, is happening right now.
[01:06:13.111 --> 01:06:14.272]  Be the Paul Reveres.
[01:06:14.952 --> 01:06:16.793]  If you want to defeat them, you have to do it.
[01:06:17.033 --> 01:06:18.253]  This is not like regular elections.
[01:06:18.293 --> 01:06:20.094]  They get back in, folks, hell on earth.
[01:06:20.114 --> 01:06:20.694]  We'll talk about it.
[01:06:21.994 --> 01:06:23.975]  Waging war on corruption.
[01:06:24.075 --> 01:06:29.137]  It's Roger Stone and Alex Jones, 50 days out, where we were four years ago.
[01:06:29.757 --> 01:06:31.077]  Incredible times!
[01:06:31.958 --> 01:06:35.799]  The West and East Coast are collapsing, everyone's fleeing the leftists, but they
[01:06:36.852 --> 01:06:41.994]  Trump's got a lot of people still in his orbit that are non-confrontationalist.
[01:06:42.014 --> 01:06:43.034]  What was the word you used?
[01:06:54.949 --> 01:06:55.269]  Wimps.
[01:06:56.050 --> 01:06:56.511]  That's the name.
[01:06:56.551 --> 01:06:57.172]  Pussycats.
[01:06:57.913 --> 01:06:59.755]  And look, we don't want to be in that orbit.
[01:07:00.576 --> 01:07:01.758]  We're trying to save the country.
[01:07:02.058 --> 01:07:03.320]  What is your advice to the President?
[01:07:03.340 --> 01:07:06.744]  You were telling me during the break, you actually think he's a little bit behind right now, but gaining.
[01:07:07.244 --> 01:07:09.828]  You think the Democrats are going to win right now via fraud or what?
[01:07:10.643 --> 01:07:15.286]  Well, if the election were held today, I do think they would win, although mostly through fraud.
[01:07:15.846 --> 01:07:20.949]  I do think the president is slightly behind, but the momentum is with him.
[01:07:21.049 --> 01:07:21.750]  He is gaining.
[01:07:22.270 --> 01:07:32.096]  That's largely because he's back out on the stump and because they have badly overplayed their hand with this violence in a number of American cities.
[01:07:33.096 --> 01:07:35.898]  But Alex, you made a point that I have to come back to.
[01:07:36.943 --> 01:07:41.126]  What's going on in the Flynn case is one of the most outrageous things I have ever seen.
[01:07:41.966 --> 01:08:03.359]  Judge Sullivan, Emmett Sullivan, does not have the legal authority to appoint a special counsel, does not have the legal authority to decide whether General Flynn should now be charged with different crimes, because he folded to extraordinary... This is unprecedented, it's an overthrow of the Constitution on its face.
[01:08:04.519 --> 01:08:21.195]  And earlier in the trial, you may remember that Sullivan excoriated Flynn from the bench, called him a traitor, saying that he had worked for the Turkish government while in the employ of the United States government as National Security Advisor, which is not true.
[01:08:21.735 --> 01:08:30.383]  So he has demonstrated his bias against a genuine American war hero, a man who saved lives on the battlefield.
[01:08:31.064 --> 01:08:33.006]  Yet the appeals court in D.C.
[01:08:33.066 --> 01:08:36.589]  says that Sullivan does nothing to show his bias.
[01:08:37.089 --> 01:08:39.632]  This man is a disgrace to the federal bench.
[01:08:40.032 --> 01:08:41.613]  He's not the only one in the D.C.
[01:08:41.633 --> 01:08:41.994]  circuit.
[01:08:42.414 --> 01:08:44.356]  But if Republicans win the House,
[01:08:45.186 --> 01:08:54.113]  There must be impeachment proceedings against a number of these judicial tyrants who think that they are not bound by the law or the Constitution.
[01:08:54.554 --> 01:08:58.577]  They're only doing it by... Obviously, there's a power grab by Democrats, period.
[01:08:58.637 --> 01:08:59.538]  They know they're losing.
[01:08:59.558 --> 01:09:00.699]  There's a political realignment.
[01:09:00.719 --> 01:09:07.785]  So they're trying to bring in an authoritarianism, a censorship, and a judicial tyranny to enforce their power to then extinct the Republican Party.
[01:09:08.325 --> 01:09:14.233]  And the only question is, do Trump, Mitch McConnell, and all these Rand Paul get the existential crisis we're in?
[01:09:14.454 --> 01:09:15.275]  Do they not get it?
[01:09:16.997 --> 01:09:18.299]  Some do, some don't.
[01:09:18.379 --> 01:09:19.080]  Let me say this.
[01:09:19.701 --> 01:09:22.365]  If you go to magapetitions.org
[01:09:23.447 --> 01:09:28.971]  There's a great petition there to sign for a pardon for General Flynn, to end what they're doing to him.
[01:09:29.071 --> 01:09:30.332]  I've been through this personally.
[01:09:30.732 --> 01:09:32.494]  I know how excruciating it is.
[01:09:32.894 --> 01:09:35.236]  I know how difficult it is on a person's family.
