[00:00:00.552 --> 00:00:28.032]  We beseech the governor to think about his family and their future, and all of our family's futures, and to do the right thing, and to do what the Republican legislature already says they want, and call that new emergency session, and so we can expose the total fraud that we've already been discovering, and stop our birthright being stolen by the Communist Chinese agent Joe Biden and the Democratic Party!
[00:34:51.162 --> 00:35:01.124]  Just like the political information we cover is dynamite and game-changing and incredibly accurate, the supplements and nutraceuticals we sell at InfoWarsTore.com are one-of-a-kind.
[00:35:01.904 --> 00:35:02.884]  BioTrue Selenium.
[00:35:03.064 --> 00:35:04.324]  Totally essential for your body.
[00:35:04.624 --> 00:35:05.085]  Amazing.
[00:35:05.125 --> 00:35:06.885]  The highest quality selenium you're going to find.
[00:35:07.813 --> 00:35:12.956]  The PQQ, the CoQ10 and other ingredients in DNA Force Plus are the best you're going to find out there.
[00:35:12.976 --> 00:35:17.319]  They clean up your telomeres, your mitochondria, your very cells.
[00:35:17.679 --> 00:35:19.420]  DNA Force Plus, back in stock.
[00:35:19.941 --> 00:35:20.601]  50% off.
[00:35:20.961 --> 00:35:22.402]  We have the Ultimate Turmeric Formula.
[00:35:22.442 --> 00:35:25.204]  Bodies, 95% cucuminoid.
[00:35:25.704 --> 00:35:27.225]  Other competitors are 3-5%.
[00:35:27.505 --> 00:35:28.346]  Still have great results.
[00:35:28.466 --> 00:35:34.770]  Look into Bodies Ultimate Turmeric Formula and then decide to purchase it to support yourself and your family's health and the info war.
[00:35:35.470 --> 00:35:38.352]  Knockout, the Incredible Sleep Aid, 50% off.
[00:35:38.873 --> 00:35:40.314]  Turbo Force, 50% off.
[00:35:41.255 --> 00:35:44.978]  The Incredible Clean 10-Hour Energy Pack, Turbo Force.
[00:35:45.198 --> 00:35:46.699]  Back in stock, 50% off.
[00:35:46.919 --> 00:35:48.480]  Free shipping, triple patriot points.
[00:35:49.181 --> 00:35:50.502]  Ultimate Krill Oil, 33% off.
[00:35:52.103 --> 00:35:55.785]  Alpha Power for stamina, libido, energy, focus.
[00:35:55.965 --> 00:35:57.726]  It's got so many key compounds.
[00:35:58.106 --> 00:35:59.646]  Look into Alpha Power for yourself.
[00:36:00.067 --> 00:36:01.307]  Back in stock after a year.
[00:36:01.667 --> 00:36:02.928]  Infowarrestore.com.
[00:36:03.308 --> 00:36:05.869]  As Americans, we tend to think of ourselves as invincible.
[00:36:06.409 --> 00:36:11.772]  We think our republic's always been here and we're the best in the world just because we've won some major battles and been a global power.
[00:36:12.412 --> 00:36:18.038]  No, my friends, that makes us that much weaker because all of these powerful interests are attacking us.
[00:36:18.498 --> 00:36:27.888]  What makes us strong is realizing our Christian ethos of free market capitalism and Renaissance and the Enlightenment and coming together and understanding we're under attack.
[00:36:28.268 --> 00:36:33.253]  And then that makes us almost next to invincible if we have God's Spirit supporting us.
[00:36:33.814 --> 00:36:37.859]  But I can tell you, regardless of what happens to President Trump, you are our sponsors.
[00:36:38.139 --> 00:36:39.260]  You are our underwriters.
[00:36:39.280 --> 00:36:41.623]  Without you, we're not going to be on air.
[00:36:42.024 --> 00:36:45.688]  So I've never written that copy like this in 27 years on air.
[00:36:45.708 --> 00:36:48.371]  I'm going to read it right now to you because it's just the truth.
[00:36:48.391 --> 00:36:50.073]  It's what I just wrote minutes ago.
[00:36:50.994 --> 00:36:52.915]  America is in crisis.
[00:36:53.475 --> 00:36:57.777]  Emergency Lockdown 2 is coming under Biden.
[00:36:58.318 --> 00:37:04.100]  Support InfoWars in the fight against total economic collapse and Biden's martial law disguised as Lockdown 2.
[00:37:04.601 --> 00:37:12.204]  Up to 60% off, plus free shipping and triple Patriot points and more at InfoWarsStore.com on every major product we've got.
[00:37:12.464 --> 00:37:15.386]  DNA Force plus Alpha Power back in stock.
[00:37:15.746 --> 00:37:24.173]  BODY'S ULTIMATE TUMORING FORMULA, ULTRA 12, VITAMINERAL FUSION, KAVACHIL, SUPERMETAL VITALITY, SUPER FEMALE, AND SO MANY OTHER AMAZING PRODUCTS.
[00:37:25.074 --> 00:37:29.077]  THESE ARE GAME-CHANGING THINGS THAT THE GLOBALISTS DON'T WANT YOU TO HAVE.
[00:37:29.338 --> 00:37:33.982]  THESE ARE THINGS THAT ARE ABSOLUTELY ELEMENTAL TO WHAT YOU AND YOUR BODY HAVE TO HAVE TO LIVE.
[00:37:34.502 --> 00:37:38.924]  But regardless, buying these products from us funds the InfoWars, which is a 360 win.
[00:37:39.265 --> 00:37:40.525]  I want to thank you all for your support.
[00:37:40.545 --> 00:37:42.626]  I want to ask you to redouble your efforts to spread the word.
[00:37:42.646 --> 00:37:47.009]  I want to ask you to buy the products at InfoWarsStore.com today, because without you, we won't be on the air.
[00:37:47.329 --> 00:37:48.510]  Again, I salute you and thank you all.
[00:37:48.710 --> 00:37:49.450]  The toll-free number is 888-253-3139.
[00:37:49.470 --> 00:37:51.611]  Please take action today in our emergency center.
