[00:00:00.109 --> 00:00:00.930]  But here's the goal.
[01:22:30.275 --> 01:22:33.035]  They call it a mass enlightenment is the technical term.
[01:22:33.375 --> 01:22:33.996]  Yeah, yeah.
[01:22:34.316 --> 01:22:39.937]  I feel like, you know, one of my friends today, a black guy here in Chicago, community organizer, he texted me.
[01:22:39.957 --> 01:22:45.318]  He said, hey, did you see this thing from the Simpsons from 1993, you know, where they predicted the whole thing?
[01:22:45.338 --> 01:22:47.078]  And I said, Tony, you're not going to believe this.
[01:22:47.962 --> 01:22:52.886]  Uh, and I sent him over the lockstep video and told him about that, and he's like, holy, you know what?
[01:22:53.706 --> 01:23:06.955]  So I'm telling you, people that you wouldn't expect are really waking up to this, and I think it's good, but my fear is, you know, when these guys, when they get on the ropes and there's this mass enlightenment, I mean, what do they have planned next?
[01:23:07.035 --> 01:23:08.556]  That's sort of my fear.
[01:23:08.596 --> 01:23:10.498]  Oh, I can tell you, this is the drill.
[01:23:11.988 --> 01:23:16.433]  Let's all lock ourselves down and piss all over ourselves with just a weaponized cold virus.
[01:23:16.473 --> 01:23:18.114]  They're gonna release stuff that kills billions.
[01:23:18.675 --> 01:23:20.757]  And they just want you trained to stay in your house while you die.
[01:23:21.077 --> 01:23:22.659]  And then robots come by and clean you up.
[01:23:22.739 --> 01:23:26.303]  So, you know, robot trash trucks, robots come in, drag the bodies out, process it.
[01:23:27.784 --> 01:23:28.505]  And so that's all.
[01:23:28.525 --> 01:23:30.207]  I mean, no, I mean, everybody's dead.
[01:23:30.247 --> 01:23:31.068]  They're gonna kill everybody.
[01:23:31.688 --> 01:23:33.190]  That's why I'm not even worried about myself anymore.
[01:23:34.349 --> 01:23:43.614]  Because we fail this test and bow to the globalists, and bow to the Rockefeller plan, and grovel in fear to this, well then they're going to hit us with a real bioweapon.
[01:23:45.275 --> 01:23:55.540]  Well Alex, what I want to say too is the most positive thing I've heard all week is, you know, when this all kicked off, I looked at my wife and I said, you know, this is our chance to homeschool our kids.
[01:23:55.680 --> 01:23:56.741]  We've been talking about it.
[01:23:56.921 --> 01:24:02.044]  We've been wanting to sort of reverse the indoctrination, the global indoctrination they get.
[01:24:02.759 --> 01:24:06.141]  And so we started planning and I come home in the afternoon and I do P.E.
[01:24:06.201 --> 01:24:07.001]  and shop class.
[01:24:07.182 --> 01:24:10.263]  And yesterday, my son looked at me and it almost made me cry.
[01:24:10.283 --> 01:24:14.646]  He said, Hey, Dad, what time are we going to sit down for family dinner?
[01:24:15.979 --> 01:24:17.020]  Hold on, stay right there.
[01:24:17.040 --> 01:24:17.941]  Let's talk about this.
[01:24:17.961 --> 01:24:18.301]  Yeah.
[01:24:18.741 --> 01:24:26.307]  Me, personally, I just shut and pull wars down and just move to the country and let all the globalists and leftists just murder each other.
[01:24:26.867 --> 01:24:29.990]  Because, you know, the left hates us because we're holding back their Valhalla.
[01:24:30.570 --> 01:24:34.113]  And we're standing in the way of them getting all the destruction and debt they want.
[01:24:34.613 --> 01:24:35.474]  Why are we doing that?
[01:24:36.154 --> 01:24:36.835]  Let them die.
[01:24:37.956 --> 01:24:39.076]  Can we save the planet?
[01:24:39.397 --> 01:24:40.758]  Yeah, it's worth it for our children.
[01:24:41.658 --> 01:24:49.481]  And the answer is pulling out of the system, not doing business with any globalist, not giving them any support and realizing they hate you and your family.
[01:24:50.321 --> 01:24:51.621]  And it's really true.
[01:24:52.822 --> 01:24:56.323]  And then embracing others that tell the truth and take action and, you know, staying positive.
[01:24:56.343 --> 01:25:02.805]  And I tell myself that as much as I can, because, again, everybody says, Arne, don't you feel empowered?
[01:25:02.825 --> 01:25:03.605]  You've been proven right?
[01:25:03.665 --> 01:25:04.886]  No, I feel horrible.
[01:25:06.306 --> 01:25:07.127]  Absolutely horrible.
[01:25:07.147 --> 01:25:07.907]  We couldn't stop this.
[01:25:09.467 --> 01:25:10.248]  But it's all prophesied.
[01:25:10.308 --> 01:25:11.048]  It's what's going to happen.
[01:25:19.008 --> 01:25:20.510]  There's just so many evil people.
[01:25:21.591 --> 01:25:22.772]  So many bad people out there.
[01:25:23.713 --> 01:25:24.694]  Selfish evil people.
[01:25:25.875 --> 01:25:28.838]  And... God's gonna destroy us.
[01:25:28.858 --> 01:25:29.819]  It's just a fact.
[01:25:31.181 --> 01:25:33.783]  The question is, what do we do to get on the right side of that?
[01:25:34.284 --> 01:25:38.388]  Jack in Chicago, this beautiful story about how you're starting to homeschool your children now.
[01:25:38.448 --> 01:25:40.070]  This is just making you get out of the system.
[01:25:41.969 --> 01:25:43.790]  You know, they're going to come with the forced inoculations.
[01:25:43.810 --> 01:25:45.772]  They're going to come with a digital system to buy and sell.
[01:25:45.812 --> 01:25:52.776]  But if your children are aware of that and understand, this won't be like some Fortnite video game where they're fighting imaginary enemies.
[01:25:53.157 --> 01:25:55.598]  They'll be there with their family, fighting the real deal.
[01:25:55.618 --> 01:25:57.640]  You know, in a way, this is a great adventure.
[01:25:58.220 --> 01:26:00.642]  In a way, I shouldn't be so upset or depressed.
[01:26:01.162 --> 01:26:07.426]  This is pretty damn exciting to be alive, up against a satanic AI, anti-human, world government takeover.
[01:26:09.548 --> 01:26:10.469]  What do you have to say, Alex?
[01:26:11.687 --> 01:26:22.054]  Like you and David Eich were talking about yesterday, the key to winning is setting our will against their system and reversing the incremental domestication.
[01:26:22.794 --> 01:26:23.194]  Right there.
[01:26:23.875 --> 01:26:27.837]  And we've got camping trips planned.
[01:26:28.458 --> 01:26:29.278]  We're excited.
[01:26:29.318 --> 01:26:31.079]  You know, the baseball season's canceled.
[01:26:31.099 --> 01:26:32.400]  The soccer season's canceled.
[01:26:32.981 --> 01:26:35.502]  But like I told my wife and I are in agreement.
[01:26:35.542 --> 01:26:36.603]  And the other thing too is,
[01:26:37.978 --> 01:26:39.539]  We've got a good group of friends here, man.
[01:26:39.559 --> 01:26:44.341]  We're in the Southwest suburbs of Chicago, and there's probably 15, 20 people that we talk regularly.
[01:26:44.641 --> 01:26:50.804]  We've been open at their houses, hanging out in their backyards, whatever, and everybody's kind of on the same page.
[01:26:51.625 --> 01:27:04.831]  So, I mean, there is, you know, I'm pissed, and I'm saddened that we're through this, but it's almost what people needed to force them to get off their asses.
[01:27:06.721 --> 01:27:11.483]  And I think it really is, you know, waking so many people up.
[01:27:11.763 --> 01:27:12.964]  No, I totally agree with you.
[01:27:13.084 --> 01:27:15.865]  I mean, the globalists saw us as weak because we put up with so much.
[01:27:16.465 --> 01:27:21.967]  The last straw was pedophile story time, where convicted pedophiles come and your children, you know, ride horsey on them.
[01:27:22.287 --> 01:27:24.608]  They're just like, well, these folks will put up with anything, launch the virus.
[01:27:25.248 --> 01:27:27.609]  And well, they were mad that Trump was beating the impeachment.
[01:27:28.049 --> 01:27:29.570]  And I said, what's the next attack going to be?
[01:27:29.610 --> 01:27:31.070]  I said, probably a bioweapon attack.
[01:27:31.110 --> 01:27:31.931]  And it is.
[01:27:32.822 --> 01:27:35.265]  And, you know, people say, well, why doesn't Trump just arrest Fauci?
[01:27:35.706 --> 01:27:37.107]  Imagine the optics of that.
[01:27:38.089 --> 01:27:43.555]  Again, that's how surrounded Trump is, but he should have always known it'd be the medical tyranny that pulled this.
[01:27:45.233 --> 01:27:49.136]  That little cult member Fauci, we're exposing him, and he's hated online.
[01:27:49.616 --> 01:27:50.597]  Bill Gates is hated.
[01:27:51.017 --> 01:27:51.918]  And they're freaking out.
[01:27:51.938 --> 01:27:53.979]  They're like, my God, we're 99% hated.
[01:27:54.419 --> 01:27:54.719]  Yes!
[01:27:55.240 --> 01:28:01.244]  And when Time Magazine and the New York Times praise him and call him sexy, everyone gets even more enraged.
[01:28:01.744 --> 01:28:05.287]  That little ghoul is spotlighted.
[01:28:05.347 --> 01:28:10.110]  That little cockroach just had the lights at 2am turned on, and he knows it.
[01:28:12.685 --> 01:28:13.025]  Yes, sir.
[01:28:13.566 --> 01:28:14.706]  Alex, one other question.
[01:28:14.746 --> 01:28:24.151]  What's the best resource or source or paper or whatever to research the Sabbatean Franken cult or whatever that is?
[01:28:24.351 --> 01:28:27.533]  You know, that's something that David Icke gets into.
[01:28:27.553 --> 01:28:32.015]  And I know there is a Luciferian cult of Sabbateans.
[01:28:32.095 --> 01:28:38.539]  I know it ties into that, the new Microsoft lady, the devil worshiper lady.
[01:28:39.631 --> 01:28:41.372]  She's reportedly one of the head people in that.
[01:28:42.033 --> 01:28:45.075]  And it's just a bunch of delusional Merovingian line stuff.
[01:28:45.515 --> 01:28:49.258]  Like, from the Christian perspective, you'd say it's Merovingian, that they're Jesus' bloodline.
[01:28:49.658 --> 01:28:52.821]  But from that cult, they would say that it's a Jewish bloodline.
[01:28:53.201 --> 01:28:57.244]  And it's not Jewish, it's not Christian, it's not... It's devil worship is what it is.
[01:28:57.364 --> 01:28:58.905]  And it's really horrible.
[01:28:59.585 --> 01:29:06.690]  And, yeah, there's a whole Sabbatean cult that believes they're about to have world government on Earth and they're gonna kill everybody else, so...
[01:29:08.041 --> 01:29:08.461]  Good luck.
[01:29:08.521 --> 01:29:12.524]  I mean, Microsoft ran that ad with that devil worshiper witch as their spokesperson.
[01:29:12.544 --> 01:29:13.345]  I mean, they pulled it.
[01:29:13.845 --> 01:29:16.367]  I mean, we can't beat that blob of degenerate scum.
[01:29:18.469 --> 01:29:22.532]  I mean, that dog crap is on a higher level than that piece of trash.
[01:29:23.793 --> 01:29:25.154]  Alex Jones here, back live.
[01:29:25.214 --> 01:29:36.483]  We're going back to your calls here in a moment, but we always knew that Michelle Obama was, Michael Obama was fluttering around in the background with those beautiful linebacker shoulders.
[01:29:38.638 --> 01:29:42.101]  Ready to come in and save Biden, who can't even talk.
[01:29:42.741 --> 01:29:47.865]  He's just a shoehorn, who probably on Inauguration Day, if they're able to steal from Trump, won't even be able to talk.
[01:29:48.526 --> 01:29:53.370]  He'll probably be in the pens, naked, stumbling around in front of the Capitol.
[01:29:54.210 --> 01:30:00.575]  And Michelle will come down like a Valkyrie and land and like an eagle grab him and bite his head off or something.
[01:30:01.976 --> 01:30:02.437]  Who knows?
[01:30:02.497 --> 01:30:06.139]  But Michael Obama, who according to
[01:30:07.694 --> 01:30:11.476]  A lady who died soon after, she said, was our first tranny.
[01:30:14.518 --> 01:30:15.619]  Joan Rivers, remember she died?
[01:30:15.919 --> 01:30:21.802]  It wasn't Alex Jones said that Michael Obama is a man.
[01:30:23.823 --> 01:30:25.444]  It was Joan Rivers, her big buddy.
[01:30:26.885 --> 01:30:28.766]  She said, please, our first gay president.
[01:30:31.208 --> 01:30:33.429]  Obama and his wife, his husband,
[01:30:40.202 --> 01:30:40.843]  Michael Obama.
[01:30:41.864 --> 01:30:50.654]  But regardless of whether you think Michael is a man or a woman or something in between, that's who they're hoping to come in and defeat.
[01:30:51.214 --> 01:30:51.955]  President Trump.
[01:30:52.175 --> 01:30:52.916]  Here's Biden.
[01:30:55.679 --> 01:30:58.102]  Where are you in naming that running mate?
[01:30:58.542 --> 01:31:01.566]  And will you commit that that person would be a woman of color?
[01:31:02.833 --> 01:31:10.898]  No, I'll commit to be a woman, because I think it's very important that my administration look like the public, look like the nation.
[01:31:11.439 --> 01:31:15.361]  And there will be, I've committed, there will be a woman of color on the Supreme Court.
[01:31:15.421 --> 01:31:17.182]  Doesn't mean there won't be a vice president as well.
[01:31:17.443 --> 01:31:20.665]  In terms of who to pick, we're just beginning the process.
[01:31:21.025 --> 01:31:29.831]  We'll shortly be announcing the committee I've named to review this and begin to look through the backgrounds of the various potential nominees.
[01:31:30.331 --> 01:31:31.672]  And that's just getting underway.
[01:31:31.992 --> 01:31:35.515]  I've heard some speculation about Michelle Obama as Vice President.
[01:31:36.195 --> 01:31:39.998]  If she said to you she'd be willing to be your running mate, would you ask her?
[01:31:40.018 --> 01:31:41.860]  Oh, I'd take her in a heartbeat.
[01:31:42.020 --> 01:31:43.241]  She's brilliant.
[01:31:43.341 --> 01:31:45.583]  She knows the way around.
[01:31:45.663 --> 01:31:47.144]  She is a really fine woman.
[01:31:47.644 --> 01:31:55.010]  There's a lot of... Well, there you go.
[01:31:55.070 --> 01:31:56.191]  That's Joe Biden.
[01:32:01.155 --> 01:32:02.316]  Alright, I've got another clip here.
[01:32:02.336 --> 01:32:08.339]  I don't want to play, but let's go back to your phone calls and we'll get to that clip.
[01:32:10.421 --> 01:32:12.382]  Jason in Oregon, you're on the air.
[01:32:12.962 --> 01:32:13.322]  Go ahead.
[01:32:16.084 --> 01:32:18.986]  Brother Jones, greetings from FEMA Region 10 in Oregon.
[01:32:20.015 --> 01:32:22.757]  I just wanted to hit you up with a couple different points.
[01:32:22.777 --> 01:32:32.683]  First of all, Oregon, population of more than 4 million, only 1,200 confirmed corona cases, and they're locking down the state of over 4 million over 1,200 confirmed cases.
[01:32:32.764 --> 01:32:33.784]  It's absolutely ridiculous.
[01:32:34.905 --> 01:32:39.568]  And most of the cases are regular corona virus, which is the common cold.
[01:32:39.628 --> 01:32:42.050]  Yeah, the response is a hoax.
[01:32:42.330 --> 01:32:43.471]  Intriplicate confirmed.
[01:32:44.311 --> 01:32:46.893]  And notice they just say, we're never opening.
[01:32:46.913 --> 01:32:48.514]  The UN says we're never opening again.
[01:32:49.980 --> 01:32:54.436]  Well, and on that point, I mean, the gentleman from Wyoming kind of stole my thunder.
[01:32:54.456 --> 01:32:55.138]  We were talking about.
[01:32:55.931 --> 01:32:57.292]  Yeah, Barnes hosts the weeknight show.
[01:33:26.494 --> 01:33:27.134]  How's it going, Alex?
[01:33:27.154 --> 01:33:27.335]  I've got...
[01:33:43.030 --> 01:33:51.537]  I've had about a million things cross my brain that I wanted to bring up, but I'm going to try and condense it down into three things, maybe four, and I'll try and be quick.
[01:33:52.818 --> 01:34:06.670]  First one, I just wanted to bring up, and I don't think it's too late for you to do this, but I called in maybe three years ago, but I had made the suggestion, and I know I'm not trying to put everything on you, but you have to... Oh, I'm probably going to shut InfoWars down soon.
[01:34:06.690 --> 01:34:08.131]  I don't like this show anymore.
[01:34:08.151 --> 01:34:08.952]  I don't like what we do here.
[01:34:09.632 --> 01:34:10.613]  I can't do the show anymore.
[01:34:11.053 --> 01:34:12.154]  And it's not due to the pressure.
[01:34:12.294 --> 01:34:13.775]  I just can't stand it anymore.
[01:34:13.855 --> 01:34:14.896]  I can't look at it.
[01:34:15.276 --> 01:34:16.617]  I can't... I used to like the show.
[01:34:16.777 --> 01:34:17.358]  I hate the show.
[01:34:17.438 --> 01:34:19.539]  Every minute on the broadcast is pure torture now.
[01:34:19.919 --> 01:34:21.461]  And it's not the Democrats suing me.
[01:34:21.841 --> 01:34:22.681]  It's not the globalists.
[01:34:22.701 --> 01:34:23.262]  It's not all of it.
[01:34:23.322 --> 01:34:26.324]  It's just all... I just... America and the world's gonna burn.
[01:34:26.364 --> 01:34:27.185]  It needs to burn.
[01:34:27.545 --> 01:34:28.546]  We killed too many babies.
[01:34:28.586 --> 01:34:29.006]  We're done.
[01:34:29.026 --> 01:34:29.606]  We're gonna lose.
[01:34:31.288 --> 01:34:34.170]  Well, um, you know... So tell me what I need to do now.
[01:34:34.210 --> 01:34:34.550]  Go ahead.
[01:34:34.970 --> 01:34:35.851]  Well, no, no, no.
[01:34:35.871 --> 01:34:38.813]  I just... You thought I was gonna... Because God just needs to blow the planet up.
[01:34:40.106 --> 01:34:46.389]  See, I realize now that that's why I feel, I don't, we need to, we need to pay for what we've done, actually.
[01:34:47.149 --> 01:34:48.589]  Everybody's in zombie mode now.
[01:34:48.629 --> 01:34:49.770]  People aren't even alive anymore.
[01:34:50.030 --> 01:34:54.632]  The listeners are alive, I feel sorry for you, but, you know, the rest of the public's not, dude.
[01:34:54.832 --> 01:34:57.193]  We're on a planet of dumb idiots.
[01:34:57.633 --> 01:34:59.494]  We're on a planet of slugs now.
[01:35:01.075 --> 01:35:02.995]  I kind of, I kind of understand your position.
[01:35:03.015 --> 01:35:05.596]  Ruled by demons, and people don't care, so.
[01:35:06.397 --> 01:35:09.478]  Why don't you just get out of the way, man, and let it all fall apart, Kyle?
[01:35:10.114 --> 01:35:10.794]  Yeah, no kidding.
[01:35:10.854 --> 01:35:12.255]  So tell me what I need to do again, Kyle.
[01:35:12.675 --> 01:35:27.183]  Well, okay, so I brought up the idea and you thought it was a good idea, but I called in a couple years ago and I said, hey man, you should do some bumper stickers or shirts that say, and I got a couple other points I want to make really quick too, but I was like, you should maybe do some bumper stickers that say, the coming economic collapse is an inside job.
[01:35:28.144 --> 01:35:29.825]  No one will buy them, no one cares.
[01:35:30.677 --> 01:35:31.797]  Well, maybe.
[01:35:32.018 --> 01:35:32.298]  Maybe.
[01:35:32.338 --> 01:35:34.338]  But, um... People just like fake stuff.
[01:35:34.358 --> 01:35:36.339]  They like Q stuff and made-up crap.
[01:35:36.819 --> 01:35:38.140]  They don't like totally real stuff.
[01:35:38.180 --> 01:35:40.021]  Like, totally confirmed it's a bioweapon.
[01:35:40.041 --> 01:35:40.821]  Totally confirmed.
[01:35:41.081 --> 01:35:42.361]  Nobel Prize winner confirms it.
[01:35:42.401 --> 01:35:43.822]  Totally confirmed no one will do anything.
[01:35:44.222 --> 01:35:45.583]  That Fauci's all behind it.
[01:35:45.623 --> 01:35:47.243]  The UN's running the whole attack on us.
[01:35:47.623 --> 01:35:49.224]  The average idiot loves wearing a mask.
[01:35:49.284 --> 01:35:50.164]  Loves being a moron.
[01:35:51.125 --> 01:35:51.885]  They want a depression.
[01:35:51.905 --> 01:35:52.985]  They want to lose their bank accounts.
[01:35:53.225 --> 01:35:55.006]  They want to be forcibly inoculated with steroids.
[01:35:55.026 --> 01:35:55.626]  They want to die.
[01:35:55.947 --> 01:35:56.927]  They don't like prosperity.
[01:35:58.177 --> 01:36:04.325]  Yeah, so for your callers, or for the people listening to you, just a point of strategy, and I got one other thing.
[01:36:05.246 --> 01:36:16.200]  Point of strategy is, if you look back in history, it was, you know, the SS, it was, you know, the Special Force in Russia, all the secret police and everything.
[01:36:16.460 --> 01:36:21.784]  They were only able to do what they were able to do because... Yeah, it's an Alexander Shultz and Easton quote.
[01:36:21.984 --> 01:36:40.678]  Oh, later how we burned in the camps, wishing that when the secret police came out to round us up, that we would have fought them with our clubs, our hammers, our knives, when they came on our front doors, but instead we laid down and rolled over, when we would have just lifted a finger, the whole apparatus, the organs of oppression would have rounded a hole instantly, but we were cowardly filth, because we are filth!
[01:36:41.579 --> 01:36:42.620]  We are filth!
[01:36:42.840 --> 01:36:43.781]  We are cowards!
[01:36:43.841 --> 01:36:44.802]  We are trash!
[01:36:45.322 --> 01:36:52.849]  And so all the yuppies wearing their mask, and all the trendies getting into it, they're gonna have everything they have taken, and they're gonna starve to death, and it's good.
[01:36:53.310 --> 01:36:54.090]  It's a blessing.
[01:36:54.511 --> 01:36:57.633]  See, I'm beginning to realize that it's all a blessing.
[01:36:57.774 --> 01:36:59.355]  All this crap's about to end.
[01:36:59.735 --> 01:37:06.581]  All this fake stuff, all the laziness, all the stupidness, all the TV shows, all the Netflix, it's all about to go.
[01:37:07.867 --> 01:37:09.067]  You see, you didn't think of it right.
[01:37:09.928 --> 01:37:12.308]  The weakness of the people brought the secret police.
[01:37:14.789 --> 01:37:17.850]  They should have stopped it long before they came to their doors.
[01:37:18.710 --> 01:37:24.292]  They couldn't stop it because they were cowards and dumbed down and followed orders up front, just like we are.
[01:37:24.332 --> 01:37:24.992]  You understand, sir?
[01:37:25.709 --> 01:37:26.670]  Oh yeah, oh yeah.
[01:37:26.730 --> 01:37:27.671]  Oh, you understand now.
[01:37:28.191 --> 01:37:33.256]  Well, you see people coming out of the woodworks on Facebook and everything right now.
[01:37:33.356 --> 01:37:34.897]  You see the Tattletale squads coming.
[01:37:35.698 --> 01:37:45.186]  But just to lay a little more context over economically... You see Zuckerberg with that look of total psychotic dominance, and he knows you're weak and he's going to tear your family limb from limb.
[01:37:45.686 --> 01:37:47.628]  He's going to teach Americans you don't have free speech.
[01:37:47.688 --> 01:37:55.212]  They're going to come arrest you and your neighbors are going to praise it when you go to that gulag because he's liberal and he's superior and he is a God.
[01:37:55.532 --> 01:37:56.712]  He is the Superman.
[01:37:56.792 --> 01:37:57.933]  He is the Ubermensch.
[01:37:58.273 --> 01:37:59.614]  You are the slave.
[01:37:59.914 --> 01:38:00.934]  You are the cattle.
[01:38:01.034 --> 01:38:02.475]  Bow to him now.
[01:38:02.835 --> 01:38:05.777]  Worship your God before he kills you.
[01:38:06.077 --> 01:38:10.759]  The Spider King Zuckerberg, the baby that came out of the rectum of
[01:38:13.148 --> 01:38:13.228]  Yes.
[01:38:13.308 --> 01:38:13.749]  Yes, Lord Jones, yes.
[01:38:13.769 --> 01:38:14.970]  Greetings, Spiders.
[01:38:36.567 --> 01:38:37.868]  All right, I'm getting a little dark today.
[01:38:37.888 --> 01:38:39.869]  That's why I gotta take off a few days, folks.
[01:38:40.269 --> 01:38:43.330]  I've got plans and operations that would defeat the globalists overnight.
[01:38:44.551 --> 01:38:45.651]  People don't want it.
[01:38:46.351 --> 01:38:47.192]  They don't need it.
[01:38:47.252 --> 01:38:48.132]  They don't get it.
[01:38:49.553 --> 01:38:51.894]  And so, we will join the children.
[01:38:52.995 --> 01:38:53.555]  We deserve it.
[01:38:54.495 --> 01:38:56.836]  There's a way out, but I can tell you we're not gonna follow it.
[01:38:57.817 --> 01:38:59.778]  No, America and the world will burn.
[01:39:01.078 --> 01:39:03.019]  Look, I didn't mean the things I said last segment.
[01:39:03.079 --> 01:39:03.659]  I'm not gonna quit.
[01:39:03.699 --> 01:39:04.440]  I'm never gonna stop.
[01:39:05.495 --> 01:39:10.218]  And America and the world doesn't deserve to burn, but if we don't stand up and say out of this, that's what we're going to get.
[01:39:13.000 --> 01:39:16.243]  And I just feel such responsibility to fight this.
[01:39:16.463 --> 01:39:17.924]  And I've never felt stronger, actually.
[01:39:17.944 --> 01:39:19.825]  I've never had greater understanding.
[01:39:20.466 --> 01:39:21.907]  And quite frankly, I can't handle it.
[01:39:23.015 --> 01:39:23.835]  But nobody can handle it.
[01:39:23.855 --> 01:39:30.499]  We're all under incredible stress and I just pray for all of you out there to have a better life and to be healthy in a closer relationship with God and for peace and justice.
[01:39:30.959 --> 01:39:32.099]  And I pray for that myself.
[01:39:32.379 --> 01:39:34.580]  I probably, there's no probably about it.
[01:39:34.600 --> 01:39:38.822]  I need to take a couple days off because I work seven days a week and things are so crazy.
[01:39:38.862 --> 01:39:39.643]  I need to disconnect.
[01:39:40.737 --> 01:39:43.902]  Because I've just gotten extremely beyond hateful.
[01:39:44.943 --> 01:39:45.885]  I love my family.
[01:39:46.025 --> 01:39:46.566]  I love you.
[01:39:46.586 --> 01:39:47.607]  I care about everybody.
[01:39:47.627 --> 01:39:50.431]  And I know how to beat these people.
[01:39:51.232 --> 01:39:55.438]  I know that when I carry something out and do it right and work with you, we always win.
[01:39:56.522 --> 01:40:01.807]  And then the problem is there's so much coming at us that I can't organize even basic stuff.
[01:40:02.628 --> 01:40:21.145]  I do the show, I get ready for it, that's all I can do, and then it's just constantly, organize this, do that, this would work this way, that would work that way, and then I'm hit with this, I'm hit with that, and it's not even fear I'm dealing with, it's more just like, the nature of the modern world is deception.
[01:40:22.659 --> 01:40:24.620]  And they hide their intent behind things.
[01:40:25.381 --> 01:40:26.942]  And now it's just out in the open.
[01:40:28.483 --> 01:40:31.205]  And I'm not throwing a fit.
[01:40:36.588 --> 01:40:41.932]  It's just that all the restraints are gone.
[01:40:44.193 --> 01:40:51.418]  And it's almost sick to just sit up here and talk about all the evil stuff these people are doing without putting a change to it.
[01:40:53.655 --> 01:40:56.577]  And then I'm thinking, well, we're going out and demonstrating and getting demonized.
[01:40:56.657 --> 01:41:01.962]  And I told you yesterday, they're trying to take my kids away because I went out in public with them and I came back close in court to that happening.
[01:41:02.042 --> 01:41:02.842]  And I'm not complaining.
[01:41:02.862 --> 01:41:03.583]  I'm not a victim.
[01:41:04.183 --> 01:41:05.525]  That shouldn't even be going on.
[01:41:05.565 --> 01:41:06.846]  That shouldn't even be a question.
[01:41:07.546 --> 01:41:11.109]  I mean, if this thing was killing 2% of people, we have a right to go out in public.
[01:41:11.389 --> 01:41:12.850]  You quarantine who's actually got it.
[01:41:13.831 --> 01:41:15.372]  You never say everyone's suspect.
[01:41:16.093 --> 01:41:20.356]  But they've had real plagues that are killing 5% of people, not one-tenth of 1%.
[01:41:22.486 --> 01:41:36.814]  This whole thing is a giant UN world government takeover with barcode microchip 666 code actually on the patent number and a psychotic demon running it.
[01:41:37.734 --> 01:41:47.060]  And Mark Zuckerberg in the news saying, you go out and demonstrate, I'll delete you off Facebook.
[01:41:47.580 --> 01:41:49.141]  You don't have free speech in America.
[01:41:50.163 --> 01:41:53.285]  I'm the moral authority and he works for the Bill and Melinda Gates Foundation.
[01:41:54.286 --> 01:41:56.507]  Put his money in there tax-free to make even more money out.
[01:41:57.868 --> 01:42:00.870]  It's just these monsters, these evil authoritarians, man.
[01:42:01.871 --> 01:42:02.791]  And so I get pissed.
[01:42:03.832 --> 01:42:10.196]  And I can't just turn it off and then not get angry at everything around me.
[01:42:10.877 --> 01:42:14.199]  And so, it's a real test of leadership.
[01:42:15.500 --> 01:42:16.981]  Because see, I don't have a problem with fear.
[01:42:18.166 --> 01:42:19.968]  When people are attacking me and stuff, I don't have fear.
[01:42:20.708 --> 01:42:21.929]  I get angry.
[01:42:22.810 --> 01:42:26.713]  And I try to turn the anger off, and I'm just unable to do it.
[01:42:28.775 --> 01:42:45.609]  And then, I go in grocery stores, and I go in shops, in this California's toilet bowl that's Austin, Texas, and these people tell me, put my mask on, and I just get in their face, and I say, listen, jackass, this whole thing's a damn hoax.
[01:42:46.704 --> 01:42:48.005]  You loved it when the borders were open.
[01:42:48.045 --> 01:42:49.486]  Don't sit there and henpeck me.
[01:42:49.986 --> 01:42:59.051]  You understand 30 million people, it was 2 million, now they admit 30 million, are set to starve to death this year!
[01:42:59.071 --> 01:43:02.513]  And they go, still don't spread the virus.
[01:43:02.533 --> 01:43:04.634]  And I go, do you understand math?
[01:43:06.385 --> 01:43:08.386]  A million haven't died worldwide from this.
[01:43:08.506 --> 01:43:12.747]  Not 500,000, but a hundred and something thousand, and most of them died of something else.
[01:43:12.787 --> 01:43:14.787]  This is a globalist takeover.
[01:43:15.108 --> 01:43:18.709]  And now they're saying 30 extra million people, the UN says, are set to starve to death.
[01:43:19.329 --> 01:43:22.490]  Don't they have a... Hey man, just do what you're told!
[01:43:24.230 --> 01:43:26.691]  I'm like, yeah, I'm doing what I'm told by common sense and God.
[01:43:27.131 --> 01:43:28.932]  Turn the economy back on.
[01:43:29.332 --> 01:43:30.252]  This is the global
[01:43:32.190 --> 01:43:32.891]  Extermination.
[01:43:32.971 --> 01:43:33.912]  This is the beginning.
[01:43:33.952 --> 01:43:35.393]  This is what I made films about.
[01:43:35.673 --> 01:43:36.794]  This is what we warned of.
[01:43:36.834 --> 01:43:37.875]  This is what's going on.
[01:43:39.036 --> 01:43:39.897]  And to them, it's funny.
[01:43:45.101 --> 01:43:46.763]  And I'll tell you where I am, paradoxically.
[01:43:53.536 --> 01:43:59.339]  I don't sit up here and do this show so I get money to keep paying this crew and keep running this place.
[01:44:00.299 --> 01:44:14.926]  I do it because I have a responsibility, no matter how bad things get, to try to stay on the air to expose this, so that we're here on air while these critical things are happening, and I get mad thinking if I don't do a good job and get the money to stay on air, when stuff gets even worse and worse and worse, we won't be here to challenge it.
[01:44:18.087 --> 01:44:21.989]  And then I see the fact that there's not enough money to continue on at the level we're at.
[01:44:23.396 --> 01:44:41.451]  And I just think about the fact that if people really realized how serious this was, they would do their job, and I know a lot of you are, and get the word out about the guests and the shows and the things we cover, because this is life and death, and we predicted all of this because we've done our research, and it's going to get a lot worse unless we turn this around.
