[00:00:00.029 --> 00:00:00.929]  We're in an emergency.
[01:23:36.534 --> 01:23:36.695]  Oh no!
[01:23:37.075 --> 01:23:37.755]  Not me!
[01:23:38.536 --> 01:23:40.777]  We wouldn't be doing that behind the scenes.
[01:23:40.817 --> 01:23:48.362]  And they just laugh right in your face at you and try to make you doubt your instincts and doubt your gut and to see what's happening.
[01:23:48.762 --> 01:23:55.046]  But Miami Cubans, who a lot of them exiled from Cuba, they know what's happening.
[01:23:55.166 --> 01:23:56.387]  They see the writing on the wall.
[01:23:56.707 --> 01:23:59.709]  And other Hispanics from socialist countries like Venezuela.
[01:24:00.029 --> 01:24:00.469]  Absolutely.
[01:24:00.489 --> 01:24:02.610]  And a lot of those people live in Florida.
[01:24:02.871 --> 01:24:12.356]  And so the Democrats are saying, oh well, you know, Trump just won him because he just focused so much on state on message that it's, you know, socialism, socialism, socialism.
[01:24:12.796 --> 01:24:15.878]  Well, Trump stayed on that message because that's what's happening.
[01:24:15.918 --> 01:24:21.581]  Because hey guys, under communism, which is really a segway into communism, everything's free, but you can't get anything.
[01:24:21.921 --> 01:24:22.101]  Right.
[01:24:22.321 --> 01:24:23.261]  Everything's free.
[01:24:23.281 --> 01:24:26.003]  You get a free car when you wait on a waiting list 10 years, maybe.
[01:24:26.283 --> 01:24:40.875]  Everything's free, but you don't have any parts for your car, so you gotta use a plastic Coke bottle, you know, as your exhaust or something, because you can't get any new parts for... It's like... And I look at Harris, every photo, every video, and she's the most disingenuous fraud.
[01:24:40.915 --> 01:24:42.236]  I mean, look at this person!
[01:24:42.776 --> 01:24:47.921]  People who, like, maniacally laugh at everything, even when it's like a serious...
[01:24:49.021 --> 01:24:51.782]  She thinks that the laugh makes her approachable.
[01:24:51.882 --> 01:24:52.722]  She's a psychotic.
[01:24:53.162 --> 01:24:54.142]  She's a psychotic!
[01:24:54.302 --> 01:25:00.023]  Like, when you laugh maniacally at things at inappropriate times, I mean, that's just weird.
[01:25:00.343 --> 01:25:04.104]  What, is she going to be laughing when she goes and... That's all she does, is just walk around cackling.
[01:25:04.264 --> 01:25:06.925]  She's like, here, Iran, here's some more pallets of cash.
[01:25:08.765 --> 01:25:12.586]  Don't, you know, don't bomb us, or we're going to... But I mean, this is what traitors look like.
[01:25:13.046 --> 01:25:14.706]  This is what the chai comms had to get.
[01:25:15.226 --> 01:25:17.087]  So we wonder why they look like sacks of garbage.
[01:25:17.107 --> 01:25:17.427]  They are.
[01:25:18.027 --> 01:25:18.288]  Yeah.
[01:25:19.169 --> 01:25:25.618]  I mean, it's like they can't even really hide their kind of putrid evil that just seeps out from them.
[01:25:25.658 --> 01:25:27.721]  We're people who are good, aware, awake.
[01:25:28.700 --> 01:25:32.883]  When they look you in the eye and make that little smile, like, you sense it.
[01:25:33.143 --> 01:25:38.027]  You sense that you're in the presence of evil, that you're in the presence of darkness, that you're being taken advantage of.
[01:25:38.367 --> 01:25:42.270]  But so many people don't have that sensibility about it.
[01:25:42.290 --> 01:25:47.654]  In fact, once they go under evil, they might not be evil, but a lot of people I know get scared when you're real, when you're genuine, they get scared by that.
[01:25:47.674 --> 01:25:47.854]  Right.
[01:25:47.874 --> 01:25:50.316]  They've never had anybody be genuine to them, so they think that's weird.
[01:25:50.556 --> 01:25:50.737]  Right.
[01:25:51.477 --> 01:25:58.079]  And a lot of people, they've been so gaslit by the media for so many years that they don't even trust their own instincts.
[01:25:58.099 --> 01:25:59.439]  They don't trust themselves.
[01:25:59.459 --> 01:26:06.881]  They're like, oh, well, Dr. Fauci said, it doesn't really make sense about the mask, but Dr. Fauci said, you know, and the CDC keeps changing all the rules.
[01:26:06.901 --> 01:26:09.242]  Meanwhile, it's causing, now we know, almost all the deaths, bacterial pneumonia.
[01:26:09.602 --> 01:26:12.243]  We'll be right back with Leigh Ann McAdoo and another special guest.
[01:26:12.283 --> 01:26:14.163]  So much, we're going to be going live until late tonight.
[01:26:14.523 --> 01:26:15.944]  This is the 79 Days to Hell.
[01:26:16.064 --> 01:26:19.505]  I don't know if it'll go that long until inauguration, but the Democrats say that's their plan.
[01:26:20.385 --> 01:26:21.446]  Try to steal the election night?
[01:26:21.526 --> 01:26:27.750]  That failed, so they're going to hold it up, try to stuff all the ballots, and then just have a secession and total hell on earth.
[01:26:27.790 --> 01:26:29.090]  So, stay with us.
[01:26:29.351 --> 01:26:31.132]  79days.news.
[01:26:31.172 --> 01:26:32.533]  79days.news is the new site.
[01:26:32.793 --> 01:26:35.214]  Takes you to band.video to circumvent the censors.
[01:26:35.534 --> 01:26:35.214]  79.
[01:26:36.375 --> 01:26:37.336]  79days.news.
[01:26:39.117 --> 01:26:42.179]  Well, I'm very excited to have Leanne McAtee riding shotgun with us.
[01:26:42.199 --> 01:26:47.302]  We have a very special guest coming up at the start of the next segment, Chad Prather.
[01:26:48.903 --> 01:26:53.704]  And we're going to be breaking down the election, getting his really informative and interesting take on things.
[01:26:53.764 --> 01:26:55.165]  Leigh Ann, you've got a bunch of other articles there.
[01:26:55.185 --> 01:26:56.025]  What else is on your radar?
[01:26:56.565 --> 01:27:04.127]  Well, I mean, I'm just, I cannot believe that we are allowing social media to censor our ability to question the results of an election.
[01:27:04.167 --> 01:27:11.310]  I mean, they're still actively censoring anyone who dares question the results in Wisconsin, Michigan.
[01:27:11.330 --> 01:27:12.210]  I mean, it's...
[01:27:12.890 --> 01:27:14.631]  It's just, where are we headed?
[01:27:14.991 --> 01:27:30.879]  I mean, I'm hoping that after this election we can just see a huge exodus from Twitter, Facebook, and these other social media sites that are trying to control us and stifle our ability to communicate with each other and communicate the truth and get access to information.
[01:27:30.899 --> 01:27:34.961]  Boy, didn't Trump drop the ball, though, on not stopping Big Tech?
[01:27:35.061 --> 01:27:37.863]  He was too damn confident with that Parscale idiot.
[01:27:38.379 --> 01:27:39.579]  Yeah, I agree on that.
[01:27:39.699 --> 01:27:46.401]  And there was, um, you know, I think we just also have a lot of people in charge who have no idea how the internet even works.
[01:27:46.501 --> 01:27:48.861]  And, you know, they don't know how to ask the right questions.
[01:27:49.181 --> 01:28:01.964]  And then you have these, um, the tech gods go in and they basically just give as little information as possible and laugh because they're not even being asked the proper questions that allow them to skirt around those laws.
[01:28:03.284 --> 01:28:09.648]  Um, you know, it's just, it's kind of scary and we're having people actively voting for the prison planet.
[01:28:10.628 --> 01:28:11.889]  They're spelling it all out.
[01:28:11.969 --> 01:28:15.851]  Palantir is trying to work with the track and trace, you know, with foreign governments.
[01:28:15.932 --> 01:28:18.273]  It's just, the writing is on the wall.
[01:28:18.393 --> 01:28:21.495]  You've been telling us about this for 20 plus years now and we're here.
[01:28:21.955 --> 01:28:22.395]  We're here.
[01:28:22.796 --> 01:28:26.057]  And again, there's so many fake ideologies by design to confuse people.
[01:28:26.137 --> 01:28:31.701]  I'm going directly to Club of Rome, directly to CFR, directly to Davos, directly to Bilderberg.
[01:28:32.512 --> 01:28:39.554]  I mean, one time I was covering Bilderberg, like 12 years ago in Virginia, and a guy just pulls up on a motorcycle and goes, here, I work for a dead U.S.
[01:28:39.594 --> 01:28:40.474]  Senator at Archive.
[01:28:40.494 --> 01:28:41.055]  He's dead now.
[01:28:41.435 --> 01:28:43.335]  Here's 500 pages of secret documents.
[01:28:43.395 --> 01:28:50.697]  And it was all how we're going to bankrupt America, how we're going to take control, how we're going to take over the unions, how we're going to sell it to China in the 80s.
[01:28:51.338 --> 01:28:52.658]  This is all secret agreements.
[01:28:52.758 --> 01:28:55.559]  And we posted on InfoWars, and people are like, eh.
[01:28:56.588 --> 01:28:58.469]  I mean, it's like Death Star plans, man.
[01:28:59.009 --> 01:29:00.469]  It should be game over, just those.
[01:29:00.709 --> 01:29:00.909]  Right.
[01:29:01.010 --> 01:29:05.331]  It's just, it's so unbelievable that people, they just cannot wrap their heads around it.
[01:29:05.651 --> 01:29:16.435]  And that's why they want to go and listen to, you know, the news media that tells them what they want to hear and tells them, or even like traps them and locks them in this fear mode.
[01:29:16.755 --> 01:29:23.077]  Whenever I got the COVID and I was, you know, quarantining and staying home, being a good little citizen.
[01:29:24.077 --> 01:29:30.184]  My neighbor came out and I told him that I was getting out of quarantine, whatever, and I said, oh, yeah, well, I had it.
[01:29:30.224 --> 01:29:31.626]  I've been in my house for a couple weeks.
[01:29:32.006 --> 01:29:35.390]  He never would have known if I hadn't told him, but I did.
[01:29:35.450 --> 01:29:38.234]  And he's like, oh, just get away.
[01:29:38.354 --> 01:29:39.335]  I'll die if I get it.
[01:29:39.655 --> 01:29:40.716]  I'll die if I get it.
[01:29:41.621 --> 01:29:43.662]  And he's like this very healthy person.
[01:29:43.722 --> 01:29:44.223]  He's in his 60s.
[01:29:44.243 --> 01:29:45.844]  They get into the fear and the selfishness.
[01:29:45.884 --> 01:29:48.385]  Like, being into fear gives them a value.
[01:29:48.445 --> 01:29:49.246]  Wearing a mask.
[01:29:49.326 --> 01:29:53.128]  Even though they care about themselves, they check the statistics and find out it's like a bad flu.
[01:29:53.528 --> 01:29:53.728]  Right.
[01:29:54.008 --> 01:29:54.269]  Maybe.
[01:29:54.709 --> 01:29:58.591]  Yeah, they don't care about the 99.98% survival rate.
[01:29:58.611 --> 01:30:00.272]  They don't care about that.
[01:30:00.773 --> 01:30:02.053]  They want to feel important.
[01:30:02.193 --> 01:30:04.395]  It gives them this, like, camaraderie.
[01:30:04.455 --> 01:30:05.195]  A sense of standing.
[01:30:06.636 --> 01:30:08.017]  Like, you're a plaintiff in a case.
[01:30:09.097 --> 01:30:10.859]  I'm a hero going through all this right now.
[01:30:11.039 --> 01:30:14.241]  Meanwhile, you're destroying generations of wealth, starving the third world to death.
[01:30:14.521 --> 01:30:16.762]  It's a total scam, and you just bought into it being a chump.
[01:30:16.962 --> 01:30:18.083]  You're not part of the winning team.
[01:30:18.243 --> 01:30:21.185]  You're called a schmuck, a sucker, a dumbass, an idiot.
[01:30:21.425 --> 01:30:21.625]  Right.
[01:30:21.785 --> 01:30:28.489]  You're, like, literally guzzling on a big gulp, and then you're, like, scared of, you know, catching something that's less deadly than the flu.
[01:30:28.929 --> 01:30:29.810]  Oh, it's gonna kill me.
[01:30:29.950 --> 01:30:31.871]  Like, I'll die if I get it.
[01:30:32.071 --> 01:30:32.892]  Like, really, dude?
[01:30:33.052 --> 01:30:35.053]  That's your mentality that the news has
[01:30:35.413 --> 01:30:37.197]  How did you get to be so old and be so stupid?
[01:30:37.217 --> 01:30:38.219]  That's what I want to know.
[01:30:47.005 --> 01:30:48.347]  Well, I know this about predators.
[01:30:48.427 --> 01:30:49.668]  If you run from them, they attack you.
[01:30:50.009 --> 01:30:52.532]  If you run from a bear, if you run from wolves, they're going to think you're dinner.
[01:30:53.293 --> 01:30:55.315]  And we just can't keep doing it, folks.
[01:30:55.355 --> 01:30:58.058]  And I told everybody it was going to be close because of their fraud.
[01:30:58.138 --> 01:31:00.381]  And I mean, because the Democrats told us they were going to do.
[01:31:00.401 --> 01:31:01.242]  John Podesta did.
[01:31:01.282 --> 01:31:01.963]  They all told us.
[01:31:02.023 --> 01:31:03.625]  Leanne McAdoo is here with us.
[01:31:03.645 --> 01:31:04.386]  We have a special guest.
[01:31:04.406 --> 01:31:06.589]  I'll tell you about when we come back on the other side.
[01:31:06.889 --> 01:31:11.074]  We're going to lay out the numbers, the states, what's happening, and so much more.
[01:31:11.094 --> 01:31:14.258]  We're going to be live right through 9 o'clock tonight and the same thing tomorrow night.
[01:31:14.278 --> 01:31:19.645]  We're going to be here seven days a week until this is done and Trump is inaugurated January 20th.
[01:31:19.846 --> 01:31:20.567]  Hell or high water.
[01:31:21.516 --> 01:31:24.679]  The globalists are trying to censor what you can see and what you can share.
[01:31:24.979 --> 01:31:25.760]  Don't let them win.
[01:31:26.160 --> 01:31:30.964]  Go to our emergency election newsletter at InfoWars.com forward slash newsletter.
[01:31:31.204 --> 01:31:34.767]  Sign up for free and get intel they don't want you to have and then share it.
[01:31:35.107 --> 01:31:37.389]  InfoWars.com forward slash newsletter.
[01:31:37.590 --> 01:31:40.072]  It's time to override the censors and get the truth out.
[01:31:40.952 --> 01:31:45.036]  Welcome ladies and gentlemen to the front lines of the fight for human liberty.
[01:31:46.587 --> 01:31:47.708]  I'm Alex Jones, your host.
[01:31:47.869 --> 01:31:58.100]  Leon McAdoo is riding shotgun and Chad Prather, very popular talk show host on the Blaze Network and also a great country music singer, love his music, is here with us.
[01:31:58.480 --> 01:32:00.022]  We really appreciate him coming on.
[01:32:00.042 --> 01:32:04.527]  He's at WatchChad on Twitter and Chad Prather on YouTube.
[01:32:05.008 --> 01:32:05.769]  Well, my friend,
[01:32:08.178 --> 01:32:10.919]  We talked months ago about the fraud, about their plan.
[01:32:10.939 --> 01:32:12.140]  They were public about it then.
[01:32:12.280 --> 01:32:13.200]  You've been talking about it.
[01:32:13.640 --> 01:32:19.263]  So many others, and I wish we weren't the few, the proud, were like, Jones, it's going to be a landslide.
[01:32:19.303 --> 01:32:19.823]  Relax.
[01:32:20.183 --> 01:32:25.585]  And I'm like, well, the Democrats aren't wargaming this for no reason and getting all this lined up and then preparing all the censorship.
[01:32:25.625 --> 01:32:28.266]  So they intend to steal this from the American people.
[01:32:28.586 --> 01:32:31.848]  Let's talk about what you think is going to unfold, what your takeaway is, and then
[01:32:32.808 --> 01:32:38.896]  What happens if Trump does get back in, both of you, versus what if they actually put that crazy man in there?
[01:32:39.317 --> 01:32:44.103]  And my sick part of my mind sees even bigger defeat for the globalists if they actually take Trump from us.
[01:32:44.123 --> 01:32:44.564]  What do you think?
[01:32:46.454 --> 01:32:54.500]  Isn't it interesting that we spent time over these last months, even this last year, telling the American public this is what they were going to do.
[01:32:54.560 --> 01:32:55.741]  This is what was going to happen.
[01:32:56.481 --> 01:32:58.042]  And they called us idiots.
[01:32:58.102 --> 01:32:59.103]  They called us liars.
[01:32:59.123 --> 01:33:00.124]  They called us fake news.
[01:33:00.164 --> 01:33:01.185]  They called us frauds.
[01:33:01.865 --> 01:33:03.226]  We were conspiracy theorists.
[01:33:03.807 --> 01:33:05.808]  And then they turn around and they do it.
[01:33:06.508 --> 01:33:10.852]  And now, when we call them out for doing it, they want to call us all the same names again.
[01:33:10.892 --> 01:33:12.213]  We just can't accept loss.
[01:33:12.833 --> 01:33:14.534]  We just can't take defeat.
[01:33:14.694 --> 01:33:15.395]  All these different things.
[01:33:16.460 --> 01:33:17.381]  We know that it's there.
[01:33:17.481 --> 01:33:21.705]  Look, if Joe Biden were to win this election fair and square, that would be fine.
[01:33:21.765 --> 01:33:22.566]  That would be one thing.
[01:33:22.626 --> 01:33:23.607]  Tip of the cap to him.
[01:33:24.107 --> 01:33:25.209]  Move on down the road.
[01:33:25.269 --> 01:33:26.770]  Let's make America the best we can.
[01:33:26.850 --> 01:33:35.159]  But you can't convince me, Alex, that this man won this election or will win this election fair and square without some kind of fraudulent dealings that are going on.
[01:33:35.419 --> 01:33:36.619]  And then the fraud's everywhere.
[01:33:36.679 --> 01:33:37.660]  It's ridiculous.
[01:33:38.040 --> 01:33:39.060]  It's everywhere.
[01:33:39.120 --> 01:33:46.403]  I mean, I put on Twitter this morning, I said, hey, I just found 200,000 Michigan ballots for Trump.
[01:33:47.143 --> 01:33:49.544]  Does that sound believable to anyone?
[01:33:50.485 --> 01:34:01.016]  But yet, they want to defend this idea that somewhere out there there were, you know, 138, 139,000 ballots for Joe Biden in Michigan, then zero for Trump.
[01:34:01.076 --> 01:34:02.257]  That doesn't make sense to me.
[01:34:02.297 --> 01:34:02.958]  I've got it right here.
[01:34:02.978 --> 01:34:06.541]  In one of the states, 100% of registered Democrats voted for Biden.
[01:34:07.022 --> 01:34:07.843]  That's impossible!
[01:34:08.383 --> 01:34:12.304]  100%.
[01:34:09.263 --> 01:34:12.304]  Oh, we just found all of these ballots and they're all for Joe Biden.
[01:34:12.364 --> 01:34:13.124]  Gotta count them.
[01:34:13.244 --> 01:34:13.884]  I've got it right here.
[01:34:13.904 --> 01:34:15.525]  I mean, I saw it this morning and Twitter didn't believe it.
[01:34:15.725 --> 01:34:16.645]  I went and pulled all the numbers.
[01:34:16.945 --> 01:34:17.305]  It's true.
[01:34:17.725 --> 01:34:18.425]  I'll pull it in a minute.
[01:34:18.445 --> 01:34:18.865]  It's crazy.
[01:34:19.025 --> 01:34:20.526]  Yeah, count all the ballots.
[01:34:20.686 --> 01:34:22.966]  We don't need to check and make sure they're legal ballots.
[01:34:22.986 --> 01:34:28.167]  And you've got these Democrat judges saying, we don't need signature verification, address verification.
[01:34:28.487 --> 01:34:30.428]  These things are literally just coming out of warehouses.
[01:34:30.748 --> 01:34:32.328]  You know what's going to stop them, Chad?
[01:34:32.368 --> 01:34:34.889]  It's going to be patriots in the battleground states.
[01:34:35.769 --> 01:34:36.570]  Everybody's got to do this.
[01:34:36.610 --> 01:34:37.831]  Folks, I've got guys about to do it.
[01:34:37.851 --> 01:34:39.212]  I'm actually, I'm not going to tell what I'm going to do.
[01:34:39.612 --> 01:34:43.494]  We need people to stake out these key polling places and key areas and follow folks around.
[01:34:43.795 --> 01:34:45.076]  This is coming down to just us doing it.
[01:34:45.096 --> 01:34:45.476]  What do you think?
[01:34:46.431 --> 01:34:48.612]  Yeah, there's got to be some accountability somewhere, doesn't there?
[01:34:49.352 --> 01:34:51.252]  I mean, I can file my taxes online.
[01:34:51.972 --> 01:35:00.235]  I can do every major thing that is required for me to do in my life online, through the internet, and I trust that process.
[01:35:00.275 --> 01:35:09.157]  But yet, I got Kathy, who's going to give me a Scantron and a pencil, and I'm supposed to trust, you know, Ted, who's farsighted to count these things.
[01:35:10.358 --> 01:35:12.419]  It's insane this process that we've got.
[01:35:12.459 --> 01:35:13.239]  They've had ballots.
[01:35:13.259 --> 01:35:17.641]  This election's been going on for months already with mail-ins, with absentees.
[01:35:17.661 --> 01:35:19.763]  They should have already had all of this crap counted.
[01:35:20.283 --> 01:35:20.983]  And here we are.
[01:35:21.083 --> 01:35:22.024]  Here's our situation.
[01:35:22.044 --> 01:35:24.845]  And now we're going to say, well, we're going to need more days.
[01:35:24.865 --> 01:35:25.626]  We're going to need more months.
[01:35:25.646 --> 01:35:26.006]  You're right.
[01:35:26.066 --> 01:35:27.026]  It's time to fight back.
[01:35:27.066 --> 01:35:29.888]  I mean, that's the area right there that really pisses me off.
[01:35:30.388 --> 01:35:33.711]  Is we've rolled over and we've taken it over and over again.
[01:35:33.731 --> 01:35:39.796]  And that's what we're going to do again and again until ultimately we're going to look just like Venezuela.
[01:35:40.737 --> 01:35:42.698]  I mean, what are we looking forward to the most?
[01:35:42.738 --> 01:35:44.119]  The bread lines or the gulags?
[01:35:44.379 --> 01:35:51.885]  Because that's where we're headed with Kamala Harris, who's going to be president in six months if Joe Biden wins this election.
[01:35:52.426 --> 01:35:53.507]  And by the way, you're right.
[01:35:53.567 --> 01:35:54.828]  We're going to be Venezuela.
[01:35:55.188 --> 01:35:56.949]  Most of these blue cities, I've been there.
[01:35:57.110 --> 01:35:58.571]  They look and act like Venezuela.
[01:35:59.008 --> 01:35:59.188]  Right.
[01:35:59.648 --> 01:36:10.015]  I mean, the whole COVID thing was sort of a preparation to get us ready for the breadlines because so many people, if they continue to be shut down in their states, they're going to need it.
[01:36:10.035 --> 01:36:11.236]  They're going to need that handout.
[01:36:11.616 --> 01:36:12.997]  And by the way, the Davos group even said that.
[01:36:13.017 --> 01:36:15.439]  They're like, oh, this will teach us to be poor, Chad.
[01:36:16.550 --> 01:36:18.573]  Yeah, Leanne's exactly right.
[01:36:18.633 --> 01:36:20.956]  This COVID thing has trained us, right?
[01:36:21.036 --> 01:36:22.057]  It's made us into sheep.
[01:36:22.478 --> 01:36:24.941]  It's made us bow down at the altar of safetyism.
[01:36:25.342 --> 01:36:26.684]  The mask is our talisman.
[01:36:27.325 --> 01:36:31.911]  And you know who's a part of the cult based on the mask wearers and the fear.
[01:36:32.011 --> 01:36:33.132]  Fear is collateral.
[01:36:33.152 --> 01:36:33.933]  They can spend that.
[01:36:34.614 --> 01:36:38.375]  And the more they can make you fear and afraid for your life, they can control you.
[01:36:38.415 --> 01:36:39.755]  And that's exactly what they've done.
[01:36:40.175 --> 01:36:42.536]  So they've socially distanced us.
[01:36:42.556 --> 01:36:44.256]  They've put us behind plexiglass.
[01:36:44.296 --> 01:36:45.977]  They've made our transactions different.
[01:36:46.257 --> 01:36:47.597]  They've shut our businesses down.
[01:36:47.637 --> 01:36:48.738]  They've killed an economy.
[01:36:49.118 --> 01:36:54.399]  So that now, when we turn around and we're looking for a stimulus check to show up every month,
[01:36:55.220 --> 01:37:02.989]  Uh, then what is going to be is now we're on the government cheese, we're on the government bread, we're on the government, uh, uh, tit, so to speak.
[01:37:03.349 --> 01:37:05.151]  Constantly looking for something else as a handout.
[01:37:05.211 --> 01:37:09.076]  And now they can dictate, now they can dictate, exactly, now they can dictate the terms of our surrender.
[01:37:09.937 --> 01:37:10.497]  Yeah, that's right.
[01:37:10.517 --> 01:37:13.301]  How do we break free of that, Chad Prather and Leanne McAdoo?
[01:37:15.447 --> 01:37:21.572]  You know, at some point in time, we've got to stand up and let our voices be heard, and unfortunately, we've picked the wrong platforms to do that.
[01:37:21.872 --> 01:37:28.157]  Twitter, Facebook, all of these social media platforms, YouTube, Google, we've picked the wrong platforms.
[01:37:29.217 --> 01:37:32.460]  We're going to have to take to the streets, we're going to have to stand up, we're going to have to be vocal.
[01:37:33.080 --> 01:37:35.562]  I'm sick of seeing riots from Antifa and BLM.
[01:37:35.602 --> 01:37:38.424]  I'm tired of seeing this nonsense without anybody fighting back.
[01:37:38.785 --> 01:37:42.988]  I'm not advocating for violence, but at some point in time, you've got to pick a fight and you've got to take it to the street.
[01:37:43.889 --> 01:37:55.748]  I was about to say is that they attack our vehicles and stuff and I just got to the point where I'm not looking for a fight but next time we usually retreat and at a certain point it's time to beat the living hell out of these people.
[01:37:56.309 --> 01:37:56.890]  I'm sorry, go ahead.
[01:37:58.857 --> 01:37:59.837]  Well, you know what?
[01:37:59.917 --> 01:38:01.738]  I came into the studio, and I'm like you.
[01:38:01.778 --> 01:38:03.578]  You guys are burning the midnight oil.
[01:38:03.618 --> 01:38:05.439]  I mean, you guys are burning the candle at both ends.
[01:38:05.479 --> 01:38:06.199]  I know you're tired.
[01:38:06.239 --> 01:38:06.679]  We're tired.
[01:38:06.699 --> 01:38:10.140]  We were here until 3 o'clock in the morning, and we're going to continue to be here every day as well.
[01:38:10.780 --> 01:38:13.601]  And, you know, I came locked and loaded, man.
[01:38:13.641 --> 01:38:16.762]  I came into the studio with my go-bag ready to go.
[01:38:16.822 --> 01:38:21.103]  I didn't know what I was going to encounter in the streets of Dallas on my way home last night in the middle of the night.
[01:38:21.563 --> 01:38:22.364]  I didn't know what I was going to see.
[01:38:22.724 --> 01:38:23.644]  That's not my America.
[01:38:23.684 --> 01:38:25.125]  That's not the America I want to live in.
[01:38:25.145 --> 01:38:26.766]  And that's not the America I'm going to live in.
[01:38:26.886 --> 01:38:28.767]  And they're going to pick on the wrong people.
[01:38:29.187 --> 01:38:36.251]  They keep going after these elderly suburbanites who are already unarmed and can be bullied and pushed around.
[01:38:36.351 --> 01:38:40.473]  And they're going to push too far on the wrong people, sit down at the wrong damn table.
[01:38:40.833 --> 01:38:42.074]  And that's when it's going to start.
[01:38:42.134 --> 01:38:42.734]  It's going to be ugly.
[01:38:44.355 --> 01:38:45.957]  He said, these people are wimps.
[01:38:46.097 --> 01:38:46.998]  I'm going to go intimidate them.
[01:38:47.018 --> 01:38:47.619]  They won't do anything.
[01:38:47.900 --> 01:38:52.646]  And then he goes up and points a gun at an army veteran, a decorated combat vet, and the guy kills him.
[01:38:52.726 --> 01:38:53.507]  Well, what do you expect?
[01:38:54.007 --> 01:38:56.390]  He's dead 10 minutes after he says, these people are wimps.
[01:38:56.611 --> 01:38:57.432]  They'll never push back.
[01:38:57.812 --> 01:38:59.534]  And all this guy saw was a guy pointing a gun at him.
[01:38:59.574 --> 01:39:00.596]  He just, pew, you know.
[01:39:01.516 --> 01:39:04.981]  Yeah, and you know, Elijah Schaffer was on the streets in D.C.
[01:39:05.041 --> 01:39:06.183]  at BLM Plaza.
[01:39:06.323 --> 01:39:08.887]  I can't believe there's a place called Black Lives Matter Plaza.
[01:39:09.547 --> 01:39:17.439]  And they were putting out active tweets that were saying, we're looking for Elijah Schaffer with the intention of assassinating him as soon as there's no police presence.
[01:39:17.899 --> 01:39:18.720]  That's real stuff right there.
[01:39:18.760 --> 01:39:19.762]  That's when the world gets real.
[01:39:33.319 --> 01:39:34.299]  Well, you're absolutely right.
[01:39:34.339 --> 01:39:37.880]  And Elijah Schaffer's got our old Savannah Hernandez working with him.
[01:39:38.080 --> 01:39:39.061]  And Savannah's a great lady.
[01:39:39.081 --> 01:39:40.901]  She's mad at us that I wouldn't let her go out alone.
[01:39:40.961 --> 01:39:43.342]  I'd make her take security, and then that would actually blow her cover.
[01:39:43.382 --> 01:39:43.722]  We get it.
[01:39:43.762 --> 01:39:46.883]  But then, as soon as she said she was going to go there, she got beat up once.
[01:39:47.143 --> 01:39:50.904]  And she's got a lot of courage, but again, why would they beat up a woman videotaping them?
[01:39:50.924 --> 01:39:51.404]  They're scum!
[01:39:52.526 --> 01:39:55.388]  Yeah, they are scum, and that's exactly what was going on last night.
[01:39:56.389 --> 01:40:04.155]  And even with armed security or any assets that you have around you, when you're surrounded by 200 Antifa members that are threatening violence, you're mobbed.
[01:40:04.255 --> 01:40:05.195]  There's nothing you can do.
[01:40:05.235 --> 01:40:08.998]  You know, Elijah got tuned up last week in Philadelphia when he got punched in the mouth.
[01:40:09.178 --> 01:40:09.339]  Yeah.
[01:40:09.439 --> 01:40:10.680]  He got his lips split open.
[01:40:11.160 --> 01:40:13.762]  It's a crappy situation to go into that.
[01:40:14.562 --> 01:40:17.004]  He's got bigger balls than me, quite honestly, guys.
[01:40:17.024 --> 01:40:22.308]  Well, I was about to say, why are we having to send women and male reporters in when the police should do their job?
[01:40:22.328 --> 01:40:23.889]  But in these blue cities, they've been ordered to stand out.
[01:40:24.209 --> 01:40:24.409]  Right.
[01:40:24.890 --> 01:40:25.090]  Yeah.
[01:40:25.450 --> 01:40:26.651]  And people don't want to be exposed.
[01:40:26.691 --> 01:40:28.232]  I mean, that's the big issue there.
[01:40:28.592 --> 01:40:30.594]  They don't want to be filmed doing what they're doing.
[01:40:30.714 --> 01:40:31.794]  They want to be anonymous.
[01:40:31.814 --> 01:40:33.255]  That's why they're wearing the damn masks.
[01:40:33.355 --> 01:40:34.216]  They don't want to be seen.
[01:40:34.977 --> 01:40:37.438]  And so exposing the darkness like that's going to lead to violence.
[01:40:37.458 --> 01:40:42.302]  And I think one of the keys is we've got to continue exposing the violence because law enforcement apparently is not going to do that.
[01:40:43.447 --> 01:40:49.750]  Let's come back and talk about what happens if Trump gets in, what he should do, and then what happens if they're able to steal it, which they intend to do.
[01:40:50.871 --> 01:40:53.472]  Everybody better get like, well there's no way, it's a fraud.
[01:40:53.732 --> 01:40:54.633]  They don't care.
[01:40:55.173 --> 01:40:57.514]  They've already taken over almost every country in the world.
[01:40:57.534 --> 01:40:58.975]  Leigh Ann, tell folks about your Twitter.
[01:40:59.724 --> 01:41:00.485]  Leanne McAdoo.
[01:41:01.265 --> 01:41:02.727]  While you guys still have it, hopefully.
[01:41:02.747 --> 01:41:03.167]  Leanne McAdoo.
[01:41:03.187 --> 01:41:07.491]  Leanne McAdoo and at WatchChad, Chad Prather is our guest.
[01:41:07.831 --> 01:41:14.877]  I'm Alex Jones, and we've got a new URL to get around the bans that we have on Big Tech, and that is 79days.news.
[01:41:14.897 --> 01:41:17.840]  That takes you to Ban.Video, because now they've banned Ban.Video, 2020 Election Center.
[01:41:17.860 --> 01:41:18.160]  So 79days.news.
