[00:00:00.535 --> 00:00:00.895]  Warning.
[02:07:57.156 --> 02:07:58.417]  What is the new intel you've got, Zach?
[02:07:59.662 --> 02:08:06.464]  Well, so I'm hearing a lot of information about people saying, well, there's multiple missile launches, but there's no casualties.
[02:08:06.904 --> 02:08:21.149]  Well, make no mistake, our Patriot missile batteries are deployed in the area, and our Patriot missile batteries are mid-range missile defense systems that will intercept all of their areas of operation.
[02:08:21.169 --> 02:08:28.691]  That's what you said hours ago, is that it doesn't matter because a missile attack is still seen as an attempted lethal attack.
[02:08:28.731 --> 02:08:29.151]  Exactly.
[02:08:29.924 --> 02:08:41.049]  So what we're doing is completely, effectively, if it was a boxing match, boxing match, flipping their punches, moving, moving, flipping their punches, and then we come in with a jab.
[02:08:42.070 --> 02:08:51.854]  But we're intercepting their missile strikes with our Patriot missile operations, with our THAAD systems, with several missile re-entry operations.
[02:08:52.695 --> 02:08:55.276]  And geopolitically,
[02:08:56.317 --> 02:09:00.039]  I just want people to know they should be put on notice because it will be significant.
[02:09:00.059 --> 02:09:04.521]  The president will make a statement when dawn breaks.
[02:09:05.342 --> 02:09:06.122]  For sure, I think.
[02:09:06.903 --> 02:09:16.248]  And I just thought it would be imperative for the listeners to know it's not like they've shot them into the desert or they've missed or it didn't happen.
[02:09:17.068 --> 02:09:17.808]  They've tried.
[02:09:18.709 --> 02:09:20.250]  And we have impeccable defense.
[02:09:20.710 --> 02:09:22.391]  It's called air missile defense.
[02:09:23.905 --> 02:09:26.248]  It's perfect how you were bringing that up and then Zach called back in.
[02:09:36.772 --> 02:09:41.853]  With people like John Brennan still having security clearances, with people like John Kerry still meeting with the Iranians.
[02:09:42.493 --> 02:09:54.597]  I mean, do you think I'm wrong to sit here and be concerned that literally John Brennan and John Kerry are operating on behalf of the Iranian regime right now instead of the United States government?
[02:09:54.897 --> 02:10:03.739]  And is it a fair concern to think that Brennan is sharing information about artillery and weapons and missiles and everything with Iran right now?
[02:10:05.103 --> 02:10:05.864]  Without question.
[02:10:05.984 --> 02:10:17.193]  And not only that, the more devastating news is that they flew a drone into Iran, which they promoted as a PR piece, that they captured and landed.
[02:10:18.114 --> 02:10:19.595]  That is a farce.
[02:10:20.857 --> 02:10:21.857]  That was orchestrated.
[02:10:21.877 --> 02:10:23.459]  That was orchestrated.
[02:10:24.380 --> 02:10:27.402]  And it's very problematic.
[02:10:27.823 --> 02:10:31.666]  But make no mistake, those individuals are, in my opinion,
[02:10:32.887 --> 02:10:33.167]  I'm serious.
[02:10:33.187 --> 02:10:35.068]  It's fairly problematic.
[02:10:52.165 --> 02:11:01.176]  On a military level, we try to work on a kinetic level, but diplomatically and legally, without question, if I was subpoenaed, I could prove it.
[02:11:01.697 --> 02:11:02.057]  Alright.
[02:11:02.518 --> 02:11:05.882]  Zach, please join us again during David Knight and my show and the other shows tomorrow.
[02:11:06.403 --> 02:11:08.325]  Owen's going to continue on and take a few calls here.
[02:11:08.365 --> 02:11:09.206]  We really appreciate you.
[02:11:10.027 --> 02:11:10.328]  Beautiful.
[02:11:10.368 --> 02:11:10.588]  Thank you.
[02:11:12.373 --> 02:11:15.436]  Um, we've been on here for like three hours commercial free.
[02:11:15.496 --> 02:11:18.319]  I'm just going to leave this that the crew in there, we have to pay them.
[02:11:18.399 --> 02:11:20.001]  They're great guys and gals.
[02:11:20.661 --> 02:11:21.742]  Infowarshore.com.
[02:11:22.083 --> 02:11:27.348]  I don't have this big mega sale, the biggest of our history going and extended just because, you know, it's such a big sale.
[02:11:27.368 --> 02:11:28.669]  We've already sold out a lot of stuff.
[02:11:29.230 --> 02:11:29.770]  Big sales.
[02:11:29.810 --> 02:11:30.751]  Infowarshore.com.
[02:11:31.131 --> 02:11:33.133]  That's how this independent media operation is here.
[02:11:33.173 --> 02:11:34.294]  That's just trying to figure out the truth.
[02:11:35.031 --> 02:11:36.151]  Just trying to find out what's going on.
[02:11:36.171 --> 02:11:37.292]  We're not owned by lobbyists.
[02:11:37.312 --> 02:11:38.952]  We're not owned by Soros or Globalist.
[02:11:39.412 --> 02:11:42.453]  We're just Americans here with an operation trying to say, hey, what's really going on?
[02:11:42.793 --> 02:11:46.034]  That's why it's so successful and becomes number one anywhere they allow it on air.
[02:11:46.054 --> 02:11:48.395]  Because people tune in and go, well, that's really what I'm thinking.
[02:11:48.455 --> 02:11:49.735]  Like, I'm thinking about all the angles.
[02:11:50.215 --> 02:11:51.236]  That's what we're doing here.
[02:11:52.296 --> 02:12:03.863]  Final Hours, the big mega sale, blowout, 75% off, apparel, documents, videos, you know, books, films, air filtration, water filtration, high quality supplements, infowarestore.com.
[02:12:03.903 --> 02:12:09.366]  You've got Jefferson, William, Rick, Travis, Richard, Jacob, Brian, Gary, Judy, and Jeff.
[02:12:09.886 --> 02:12:11.307]  And I'm going to
[02:12:13.206 --> 02:12:15.528]  Pray for peace and hope that war doesn't happen.
[02:12:15.948 --> 02:12:20.091]  And I'm going to let you Owen take over here in closing and say what you want and take some of those calls.
[02:12:20.591 --> 02:12:22.573]  And then we're going to wake up in the morning and see what happened.
[02:12:22.593 --> 02:12:23.754]  But it's definitely a crazy time.
[02:12:24.094 --> 02:12:26.135]  And this is the big multinational challenge of Trump.
[02:12:26.475 --> 02:12:28.277]  We don't know what he was facing behind the scenes.
[02:12:28.777 --> 02:12:34.821]  You know, so many times I used to hear that, oh, it's a bunch of BS, but then I know stuff I can't say on air from what's going on with us.
[02:12:35.342 --> 02:12:37.523]  And people, I just go, hey, trust me, folks, it's important.
[02:12:37.583 --> 02:12:41.065]  But then people can never know what really happened because there's reasons people can't know.
[02:12:41.085 --> 02:12:42.326]  So it's quite a time.
[02:12:42.346 --> 02:12:43.547]  I want to thank the crew for staying late.
[02:12:43.887 --> 02:12:48.410]  We'll take seven or eight phone calls here in closing and then go into retransmission.
[02:12:48.471 --> 02:12:50.212]  Hopefully we wake up and the world's still here tomorrow.
[02:12:50.232 --> 02:12:51.072]  Owen Schroeder, take over.
[02:12:51.353 --> 02:12:51.853]  Thanks to the crew.
[02:12:52.153 --> 02:12:53.293]  So here's what we're going to do, guys.
[02:12:53.774 --> 02:12:58.095]  Anybody who's given their name to the screener, we're going to take your call.
[02:12:58.155 --> 02:12:59.496]  I'm going to give you 60 seconds.
[02:12:59.616 --> 02:13:00.596]  I'm going to take your call.
[02:13:00.716 --> 02:13:06.158]  If you haven't given your name to the screener, we're going to take all the calls.
[02:13:06.218 --> 02:13:08.039]  But guys, just don't bother taking any more calls.
[02:13:08.059 --> 02:13:08.939]  We're going to take these calls.
[02:13:09.779 --> 02:13:11.000]  So let's go back out to the calls.
[02:13:11.040 --> 02:13:12.900]  And I'll just say this before we do.
[02:13:14.041 --> 02:13:19.663]  I think Trump, it's time for Trump to start throwing curveballs and knuckleballs at the globalists.
[02:13:20.991 --> 02:13:32.895]  And the biggest knuckle curve he could throw would be to get up tomorrow in a huge statement at high noon and say, we're going to deescalate this.
[02:13:34.075 --> 02:13:36.076]  It wasn't my administration that started it.
[02:13:37.025 --> 02:13:37.805]  We want to finish it.
[02:13:38.025 --> 02:13:39.226]  We want to finish it peacefully.
[02:13:39.986 --> 02:13:46.089]  And we're going to begin investigating Barack Obama for his involvement with the Iranian regime and sending them pallets of cash.
[02:13:46.629 --> 02:13:53.172]  We're going to investigate John Kerry for violating the Logan Act and negotiating with these people.
[02:13:53.913 --> 02:13:58.135]  And we're going to call them into the White House immediately for
[02:13:59.635 --> 02:14:06.580]  Owen Schroer, thanks for being a mega patriot and thanks for trading blows with me at times.
[02:14:27.597 --> 02:14:28.697]  Yeah, I appreciate you calling in.
[02:14:28.737 --> 02:14:30.238]  I know we've debated on air.
[02:14:30.258 --> 02:14:31.178]  I'm looking forward to your point.
[02:14:31.198 --> 02:14:31.578]  Go ahead.
[02:14:33.138 --> 02:14:37.519]  I think Iran is... Iran is deep state.
[02:14:38.259 --> 02:14:40.459]  Iran is the deep state.
[02:14:41.039 --> 02:14:46.260]  And Trump has been flailing because of all the octopus arms.
[02:14:46.380 --> 02:14:48.001]  He needs to stab it in the heart.
[02:14:48.361 --> 02:14:51.541]  And the heart of the deep state is not in Iran, it's in D.C.
[02:14:51.821 --> 02:14:53.502]  So when I get pissed off about
[02:14:55.500 --> 02:15:01.464]  And you know, that's why I mean, look, I don't get mad when you call in and yell at me and we debate.
[02:15:01.865 --> 02:15:03.026]  I actually really enjoy it.
[02:15:03.066 --> 02:15:07.929]  But that's why it feels so perilous because because I'm on that same page.
[02:15:07.989 --> 02:15:10.571]  It's like, it's Trump or bust.
[02:15:10.611 --> 02:15:12.772]  You know, we barely even we're lucky we even got Trump in.
[02:15:25.478 --> 02:15:26.499]  I mean, what are we supposed to do?
[02:15:26.579 --> 02:15:29.101]  Send Patriot missiles overseas?
[02:15:29.181 --> 02:15:29.722]  Non-stop?
[02:15:29.782 --> 02:15:31.703]  Are we supposed to have Patriots in the government?
[02:15:31.743 --> 02:15:33.285]  I don't want to interrupt, but I'm leaving.
[02:15:38.095 --> 02:15:39.096]  You've been doing great, Owen.
[02:15:39.156 --> 02:15:41.357]  You're going to finish up with these calls within Gregory's.
[02:15:42.538 --> 02:15:45.619]  And, of course, Harris and Smith are going to take another hour of calls.
[02:15:45.960 --> 02:15:47.160]  The crews volunteered to do it.
[02:15:47.701 --> 02:15:50.782]  So we're here live covering this, hoping everything de-escalates.
[02:15:51.143 --> 02:15:52.363]  So the live coverage continues.
[02:15:52.403 --> 02:15:53.464]  Everybody spread those links.
[02:15:53.744 --> 02:15:56.066]  The globals are hacking us, trying to shut this down.
[02:15:56.106 --> 02:15:56.706]  Don't let them win.
[02:15:56.866 --> 02:15:57.166]  No BS.
[02:15:57.186 --> 02:15:59.348]  Let me tell you, everything's straight shooting here.
[02:15:59.568 --> 02:16:01.269]  See, I don't have some Machiavelli manipulative view.
[02:16:01.989 --> 02:16:04.190]  With me, it's all straightforward attack!
[02:16:04.250 --> 02:16:05.490]  That's the real power!
[02:16:06.050 --> 02:16:07.091]  Okay, so let's do this.
[02:16:07.311 --> 02:16:11.372]  Since Harrison Smith is waiting in the wings, I know he's been chomping at the bit to get on air.
[02:16:11.412 --> 02:16:11.992]  He's ready to go.
[02:16:12.052 --> 02:16:14.113]  Greg Reese, obviously, a bunch of intel, too.
[02:16:14.153 --> 02:16:14.593]  Let me do this.
[02:16:14.693 --> 02:16:19.735]  I'm gonna be here till 8.30, and I'm gonna hand over the reins to Harrison Smith and Greg Reese then.
[02:16:19.775 --> 02:16:21.635]  But before I do, let's go to these clips, guys.
[02:16:21.655 --> 02:16:22.956]  We got the McGregor clips ready to go?
[02:16:24.147 --> 02:16:29.750]  So we're going to go to these clips, and then Harrison and Greg will be taking your calls until they're out of steam.
[02:16:29.790 --> 02:16:33.353]  I've only been on air live for almost seven hours now, so it's no big deal.
[02:16:33.373 --> 02:16:35.354]  Just two nights in a row, almost seven hours live.
[02:16:35.374 --> 02:16:36.254]  That's what we do here at Air Force.
[02:16:36.815 --> 02:16:42.898]  So Doug McGregor was on with Tucker Carlson, and we got two powerful clips from the retired colonel.
[02:16:43.018 --> 02:16:45.140]  I just found it so powerful I wanted to play these first.
[02:16:45.540 --> 02:16:48.041]  Here is retired Colonel Doug McGregor on Tucker Carlson.
[02:16:48.442 --> 02:16:50.343]  What should President Trump do?
[02:16:52.106 --> 02:16:58.949]  These attacks dug on the base in Iraq by Iran amount to what do you think?
[02:16:59.029 --> 02:16:59.989]  What does this mean?
[02:17:01.570 --> 02:17:05.991]  Well, I think it means that we're about to find out if we got the president we voted for.
[02:17:06.972 --> 02:17:14.735]  The question is, will he de-escalate and withdraw our forces from Iraq as the Iraqi government has requested and the American people demand?
[02:17:15.875 --> 02:17:21.157]  Or is he now going to respond in a way that guarantees a larger war with uncertain
[02:17:22.071 --> 02:17:23.413]  Possibilities and outcomes.
[02:17:24.214 --> 02:17:27.598]  A war that undoubtedly will destroy his presidency.
[02:17:28.639 --> 02:17:31.242]  So I think those are the three critical questions.
[02:17:31.643 --> 02:17:38.592]  And I also think what we're seeing is what happens when you surround yourself with people who never really supported you.
[02:17:38.872 --> 02:17:41.996]  And that's the case for the president and have always been dedicated
[02:17:42.857 --> 02:17:43.818]  Right.
[02:17:44.218 --> 02:17:58.889]  And this conflict specifically, the conflict with Iran specifically has been the decades long focus of a very small group of people here in Washington.
[02:17:58.969 --> 02:18:04.394]  John Bolton, the former National Security Advisor, the disgraced National Security Advisor, would be a leader in that movement.
[02:18:04.974 --> 02:18:05.695]  Yeah, obviously.
[02:18:05.715 --> 02:18:08.819]  I mean, after all, our principal enemy from 2001 forward, some would say much earlier, were the Sunni Islamists.
[02:18:24.571 --> 02:18:39.895]  And yet, over and over and over again, there has been a desperate attempt by a series of leaders in this country and more important, powerful, influential voices inside the Trump administration, pushing the president into conflict with Iran.
[02:18:40.575 --> 02:18:43.736]  At this point, certainly we could go to war with Iran.
[02:18:43.976 --> 02:18:44.856]  Iran would suffer.
[02:18:45.356 --> 02:18:48.157]  The Russians would undoubtedly join the fray at some point.
[02:18:48.277 --> 02:18:49.237]  The Chinese, with
[02:18:50.526 --> 02:18:57.388]  Inexhaustible piles of cash will finance the Russians and ultimately go to work to help the Iranians.
[02:18:57.528 --> 02:19:00.869]  Europeans will look at this as though we've lost our minds, and they're probably right.
[02:19:01.590 --> 02:19:06.071]  The Japanese, the Koreans will stay out of it, refuse to have anything to do with this.
[02:19:06.951 --> 02:19:16.174]  And when the rest of the Middle East starts to be destroyed under hails of missiles, I imagine that our alleged strategic partners in the Arabian Peninsula will back away.
[02:19:17.193 --> 02:19:28.304]  So this is a very dumb idea, and remember that when you destroy Iran, you are essentially opening the floodgates to Mr. Erdogan in Turkey and the Sunni Islamists that we have been fighting.
[02:19:29.004 --> 02:19:33.829]  If you like ISIS, destroy Iran and you will get ISIS times 100.
[02:19:36.075 --> 02:19:40.898]  I think that is spot on from former Colonel Doug McGregor.
[02:19:40.918 --> 02:19:43.120]  I want to get Greg Reese's response to that.
[02:19:43.180 --> 02:19:44.180]  Did you happen to hear that?
[02:19:44.200 --> 02:19:44.841]  Do you have an earpiece in?
[02:19:45.141 --> 02:19:45.421]  I do.
[02:19:45.581 --> 02:19:45.782]  Yeah.
[02:19:46.202 --> 02:19:46.942]  No, I was listening to that.
[02:19:46.962 --> 02:19:51.285]  You know, and I've been thinking a lot about, I think my head's calming down a little bit.
[02:19:51.305 --> 02:20:00.651]  I'm thinking a lot about what you were saying about we should probably, it would be best if Trump did what they're not expecting him to do.
[02:20:00.872 --> 02:20:04.754]  And the fact that Iran has done this is
[02:20:06.243 --> 02:20:09.368]  You know, I was saying that it was suicide, but no, I don't think it is suicide.
[02:20:09.388 --> 02:20:10.629]  I think they want a war.
[02:20:10.990 --> 02:20:12.172]  They want a certain reaction.
[02:20:12.772 --> 02:20:17.840]  And I'm starting to think at this point, the smartest, most logical thing to do is to not give them what they want us to.
[02:20:18.080 --> 02:20:20.644]  And if you think about it too, they're saying martyr.
[02:20:21.565 --> 02:20:22.125]  It doesn't make sense.
[02:20:22.145 --> 02:20:23.145]  Soleimani is a martyr.
[02:20:23.185 --> 02:20:25.126]  He didn't go on a mission expecting to die.
[02:20:26.106 --> 02:20:26.986]  So that's not a real martyr.
[02:20:27.026 --> 02:20:31.927]  So I think they're trying to turn him into a martyr and say, oh, see, look, he died to expose America.
[02:20:31.987 --> 02:20:34.048]  Now we can destroy America thanks to Soleimani.
[02:20:35.268 --> 02:20:38.649]  But I think McGregor is spot on, you know, as far as it destroying the Trump presidency.
[02:20:39.129 --> 02:20:41.249]  I don't think it destroys the Trump presidency overnight.
[02:20:41.349 --> 02:20:44.950]  I think what it does, it destroys the Trump presidency in history.
[02:20:45.450 --> 02:20:49.992]  Instead of being different than every other president before him, he just gets lumped in with the rest of them.
[02:20:50.032 --> 02:20:52.012]  I think that's at least my interpretation.
[02:20:52.493 --> 02:21:01.176]  Now let's go to former Colonel Doug McGregor on Tucker Carlson talking about how war is not popular in the Americans right now.
[02:21:02.652 --> 02:21:04.153]  The American left did that.
[02:21:04.834 --> 02:21:08.337]  They drove Russia into the arms of China.
[02:21:08.577 --> 02:21:15.823]  When this country could have struck an alliance of convenience with Russia against our actual enemy, China, no.
[02:21:16.083 --> 02:21:17.084]  We weren't allowed to do that.
[02:21:17.464 --> 02:21:19.085]  And that's one of the reasons we wound up where we are.
[02:21:19.125 --> 02:21:29.153]  And I think it's vital that the president remember that 64% of veterans who actually fought in Iraq all concluded a long time ago that it was not worth fighting.
[02:21:30.614 --> 02:21:35.197]  That has to be understood because 59% of the American public agrees with them.
[02:21:35.877 --> 02:21:43.721]  You cannot fight effectively against anyone when the public support at home is non-existent or weak.
[02:21:44.062 --> 02:21:47.904]  We've proved that, sadly, a number of times in a number of different conflicts.
[02:21:48.184 --> 02:21:50.185]  Douglas McGregor, thank you so much for your clarity tonight.
[02:21:50.565 --> 02:21:52.006]  You know, and I'll just say this too.
[02:21:53.840 --> 02:21:55.660]  I don't know who President Trump is listening to.
[02:21:55.840 --> 02:22:03.022]  I'm obviously not claiming to be some foreign policy expert, you know, national security expert.
[02:22:03.082 --> 02:22:13.244]  But, I mean, what does it say when I can sit here and do analysis and say, after the strike of Soleimani, Trump needs to pull all the troops out, declare victory.
[02:22:13.384 --> 02:22:14.544]  We could have avoided this whole mess.
[02:22:15.344 --> 02:22:19.665]  I mean, Greg, why doesn't his own national security team see that in the scope?
[02:22:20.444 --> 02:22:23.746]  What I was thinking of listening to McGregor also is Saudi Arabia.
[02:22:23.786 --> 02:22:27.509]  You know it does like he was talking about our alleged ally over in the Middle East.
[02:22:28.229 --> 02:22:35.974]  Makes you wonder like we seem to have this or Trump seems to have this relationship going on with Saudi Arabia that the rest of us aren't really clear about.
[02:22:36.475 --> 02:22:39.737]  And we've seen what went on in Las Vegas with Saudi Arabia.
[02:22:39.797 --> 02:22:42.559]  We've seen there seems to be some type of inter-civil war there.
[02:22:42.579 --> 02:22:45.401]  But what exactly are we are we doing with Saudi Arabia?
[02:22:46.141 --> 02:22:48.825]  And how could this ever lead to something good?
[02:22:48.905 --> 02:22:59.218]  I mean, it almost seems as if, and especially since we heard that the Islamic Republic is now threatening to attack Saudi, as if we're now working with Saudi against Iran.
[02:22:59.418 --> 02:23:00.059]  It makes you wonder.
[02:23:00.600 --> 02:23:01.741]  I want to know what's going on there.
[02:23:02.625 --> 02:23:06.328]  And I wouldn't trust going into a war with Iran as with Saudi as our ally.
[02:23:06.348 --> 02:23:08.690]  That doesn't seem... That's a good point, too.
[02:23:08.730 --> 02:23:10.151]  I mean, who do you trust if you're Trump?
[02:23:10.191 --> 02:23:17.957]  And I would say nobody, which just means just, you know, at that point, that's when you pull the chips in and get out of the table.
[02:23:18.057 --> 02:23:20.059]  You know when to hold them, know when to fold them, know when to walk away.
[02:23:20.679 --> 02:23:25.885]  Alright, one more clip here and then I'm going to hand the reins over to Harrison Smith and Greg Reese and they're going to take your phone calls.
[02:23:26.466 --> 02:23:32.013]  Here's John Kerry, who Trump called out for violating the Logan Act and needs to be investigated immediately.
[02:23:32.053 --> 02:23:34.976]  President Trump should call John Kerry in for an Oval Office meeting tomorrow.
[02:23:35.016 --> 02:23:37.619]  That's what he'd do if he was smart, at least in my opinion.
[02:23:38.160 --> 02:23:39.802]  Here's John Kerry on the missile strikes.
[02:23:41.152 --> 02:23:53.706]  Well, I think that generally speaking, the United States needs to find a way to do diplomacy here because it's not going to serve anybody to have tit-for-tat escalatory process.
[02:23:54.426 --> 02:23:55.908]  I don't know the details.
[02:23:55.928 --> 02:24:01.694]  I don't know anything about what actually happened at this base or whether
[02:24:02.715 --> 02:24:05.716]  It was indeed the Iranians or a surrogate of the Iranians.
[02:24:06.197 --> 02:24:07.577]  So I'm not going to comment on that.
[02:24:07.637 --> 02:24:11.639]  But I think generically we've got to see diplomacy.
[02:24:12.319 --> 02:24:21.843]  Clearly, when the Obama administration engaged in the negotiations with Iran, we did so because Iran was very close to getting a nuclear weapon.
[02:24:22.603 --> 02:24:33.934]  And they had major enriched material, they had the nuclear capacity, and they were two months away from having the capacity to break out to 10 or 12 bombs.
[02:24:34.635 --> 02:24:36.256]  We negotiated away from that.
[02:24:37.202 --> 02:24:50.216]  We lengthened that time that they could take in order to even potentially get a weapon and we created enormous inspection and verifiability and accountability where it didn't exist.
[02:24:50.976 --> 02:24:53.039]  Donald Trump regrettably just pulled out of that.
[02:24:54.104 --> 02:24:54.224]  Okay.
[02:25:15.942 --> 02:25:24.987]  That is needless, it didn't have to happen, and it will be a reckless war of choice by the President of the United States.
[02:25:25.307 --> 02:25:26.748]  Well that just sums it up right there.
[02:25:27.148 --> 02:25:28.949]  They're clearly trying to frame this on Trump.
[02:25:28.989 --> 02:25:34.732]  I mean, and I don't know where that clip came from, but again, John, you're the one meeting with Iran, bro!
[02:25:35.513 --> 02:25:37.474]  And he even says, a surrogate of Iran.
[02:25:37.514 --> 02:25:38.835]  Well what the hell does that mean?
[02:25:39.653 --> 02:25:45.296]  And so that's what I'm saying, whoever's sitting here doing that interview, I guess he's just standing in front of the camera, it's like, John, what did you do when you met with the Iranians?
[02:25:45.716 --> 02:25:47.457]  John, what does that mean, a surrogate of Iran?
[02:25:48.318 --> 02:25:50.739]  So I mean, to me, John Kerry just showed their hand.
[02:25:51.580 --> 02:25:54.581]  They tried to frame Trump, and they're gonna try to blame this whole thing on Trump.
[02:25:54.941 --> 02:26:04.046]  And for Kerry to sit here and act like his administration under Obama was some sort of, oh yeah, they were close to getting nuclear weapons.
[02:26:04.667 --> 02:26:07.949]  Guys, did you ever find that somebody sold, I just saw it today,
[02:26:09.028 --> 02:26:17.274]  During the Obama administration, I think it was like Obama okayed some sale of steel to Iran that they ended up using to enrich uranium.
[02:26:17.294 --> 02:26:18.155]  Will you pull that up for me?
[02:26:18.175 --> 02:26:21.557]  I'm trying to remember what that story was here just off the top of my head.
[02:26:22.318 --> 02:26:29.663]  But the point is, for John Kerry to sit up here and act like it's the Trump administration not trying to engage in diplomacy when they're trying,
[02:26:30.504 --> 02:26:32.105]  To set him up.
[02:26:32.145 --> 02:26:32.965]  There it is right there.
[02:26:33.825 --> 02:26:38.426]  Obama approved the sale of 130 tons of uranium to Iran.
[02:26:41.507 --> 02:26:46.449]  The point is, I just hope Trump realizes how they're trying to set him up.
[02:26:46.829 --> 02:26:48.189]  And I'm not saying Iran's good.
[02:26:48.229 --> 02:26:49.950]  I'm not saying, you know, just...
[02:26:51.877 --> 02:26:57.259]  They're trying to set him up to destroy his presidency, like McGregor said, and they're trying to set him up to frame him for World War III.
[02:26:58.100 --> 02:26:59.260]  That's my opinion.
[02:26:59.300 --> 02:27:05.503]  Now, Gregory's and Harrison Smith are about to take over here, so they're going to give you their analysis, and they're going to be taking your calls.
[02:27:07.083 --> 02:27:08.924]  They'll be here as long as they want to be.
[02:27:09.964 --> 02:27:11.245]  I'll just say this in closing.
[02:27:14.266 --> 02:27:18.648]  We need to pray that President Trump gets the right guidance.
[02:27:20.205 --> 02:27:35.574]  Because I have a bad feeling there's bad actors trying to lead him down a dark path and give him bad intelligence to try to bait him and frame him for World War III and then it becomes a situation kind of like Obama.
[02:27:35.594 --> 02:27:42.558]  I mean, remember, a lot of people that voted for Obama hate him now because he expanded all these wars, he bombed these countries, and then they ended up voting for Trump.
[02:27:43.099 --> 02:27:44.940]  So Trump can't become Obama
[02:27:45.990 --> 02:27:47.271]  By engaging in these wars.
[02:27:47.651 --> 02:27:56.616]  And if Trump was smart, in my opinion, and again, I'm not the national security expert, but apparently the experts aren't very good at their job because they keep getting us into more trouble.
[02:27:57.117 --> 02:28:02.640]  Trump should throw a knuckle curve and say, we're getting out, Iraq voted on it, we're getting out, no U.S.
[02:28:02.660 --> 02:28:04.001]  deaths, we don't want to see any more U.S.
[02:28:04.021 --> 02:28:08.984]  deaths, we're pulling out, we're stationing people in Saudi Arabia, we'll station people here where our allies are.
[02:28:09.284 --> 02:28:18.352]  And we're going to ultimately de-escalate and I'm going to call in Barack Obama and John Kerry and we're going to have a little White House meeting about the billions of dollars they sent and about who John Kerry met with.
[02:28:18.652 --> 02:28:19.273]  And that!
[02:28:20.253 --> 02:28:35.563]  We'll send chills down the globalist's spine, and Obama and John Kerry will be pooping their britches as soon as they hear that, because they know they're on the hook for actually colluding with Iran and really trying to get this mess off of the ground.
[02:28:35.623 --> 02:28:37.664]  So, that's my final statement.
[02:28:38.225 --> 02:28:39.265]  Pray for peace tonight.
[02:28:39.986 --> 02:28:45.009]  Greg Rees and Harrison Smith now take over taking your phone calls.
[02:28:45.309 --> 02:28:46.470]  Greg Rees, take it away.
[02:28:47.691 --> 02:28:48.332]  Thank you, Owen.
[02:28:48.412 --> 02:28:53.256]  Thanks for putting in all the time today, and I hope you rest well.
[02:28:53.276 --> 02:28:57.100]  I hope I wake up and see you tomorrow, and everything is... You will.
[02:28:57.320 --> 02:28:57.821]  Good to go.
[02:28:58.502 --> 02:28:58.802]  You will.
[02:28:59.683 --> 02:29:00.504]  Yeah, I think so too.
[02:29:01.164 --> 02:29:06.189]  You know, and it's like, the other thing I'm thinking also is the timing of all this is interesting as well.
[02:29:08.471 --> 02:29:11.093]  Everyone was expecting another false flag.
[02:29:11.113 --> 02:29:16.535]  Everyone was expecting another diversion from everything that's happening here at home in America.
[02:29:17.496 --> 02:29:20.637]  And this is the Deep State's proxy.
[02:29:20.657 --> 02:29:25.580]  This is one of their main cards that they have in their hand.
[02:29:25.880 --> 02:29:29.022]  So it's not that surprising that things came out of Iran.
[02:29:29.382 --> 02:29:33.804]  It's making me wonder also about the plan to get Soleimani.
[02:29:35.785 --> 02:29:40.267]  We've been hearing some things that some of the deep staters surrounding Trump sort of tricked him into doing that.
[02:29:40.767 --> 02:29:45.329]  And at first, I think the the hothead in me brushed that off.
[02:29:45.349 --> 02:29:50.511]  But now I'm starting to wonder if that was part of the plan, tricking him into getting Soleimani.
[02:29:51.212 --> 02:29:58.595]  And then the whole threat now with Iran saying, if you strike us back, we're going after you and Saudi makes me think that's what we should not do.
[02:29:59.414 --> 02:29:59.834]  Harrison.
[02:30:00.135 --> 02:30:00.655]  Hello, Greg.
[02:30:00.675 --> 02:30:01.196]  How are you doing?
[02:30:01.636 --> 02:30:02.056]  Very good.
[02:30:02.176 --> 02:30:04.499]  I completely agree with everything you just said.
[02:30:04.519 --> 02:30:08.602]  I think Trump has been tricked into doing the deeds of the deep state.
[02:30:09.143 --> 02:30:12.045]  I've been in the back monitoring what's been going on.
[02:30:12.065 --> 02:30:16.890]  I have some up-to-the-minute updates for you, if you don't mind.
[02:30:18.431 --> 02:30:23.375]  Actually, the IRGC has put out a statement over social media.
[02:30:24.363 --> 02:30:25.223]  Let me pull that up real quick.
[02:30:25.243 --> 02:30:39.168]  They say, quote, the attacks on the Ain al-Assad and Erbil bases are, in fact, attacks on the command and control infrastructure, detection, radar, electronic warfare, and more so, the American brains, eyes, and ears in the region.
[02:30:39.728 --> 02:30:47.250]  And it continues, compared with the next steps in the plan, this is just a first step, planning and executing maximum losses in a few waves.
[02:30:47.690 --> 02:30:53.052]  The message of the attack is that Iran's second strike will be completely sweeping and much more effective.
[02:30:53.732 --> 02:30:54.413]  If necessary.
[02:31:13.007 --> 02:31:13.347]  I don't know.
[02:31:30.578 --> 02:31:34.500]  So I'll go ahead and give you the updates that I have, sort of in reverse order, because things change so much.
[02:31:35.021 --> 02:31:37.382]  What's true 10 minutes ago is no longer true.
[02:31:37.422 --> 02:31:38.923]  This is the up-to-date stuff.
[02:31:38.943 --> 02:31:45.687]  Canadian troops are on the base that was targeted by Iranian missiles in Erbil, but no reports of Canadian casualties at this time.
[02:31:46.348 --> 02:31:46.528]  U.S.
