[00:00:00.000 --> 00:00:23.280]  MUSIC PLAYS Thank you.
[00:50:07.650 --> 00:50:10.550]  So now they want to say, anywhere I go, they own the social media.
[00:50:10.750 --> 00:50:11.889]  Anything I get, they grab.
[00:50:12.130 --> 00:50:13.769]  I can have no personal name.
[00:50:14.389 --> 00:50:16.030]  I can't have the tools of my trade.
[00:50:17.010 --> 00:50:18.590]  Total violation of the 13th Amendment.
[00:50:19.010 --> 00:50:21.949]  So they're now not just attacking free speech with surveillance and censorship.
[00:50:22.269 --> 00:50:31.130]  They are literally saying the 13th Amendment does not apply in a federal filing by the U.S. trustee at the behest of the Democratic Party.
[00:50:33.309 --> 00:50:33.829]  Unbelievable.
[00:50:36.929 --> 00:50:38.769]  Okay, so let's play this short clip.
[00:50:40.099 --> 00:50:43.760]  Sandy Hook lawyers, Democrat Party lawyers, shut him down.
[00:50:43.900 --> 00:50:45.820]  And then I'll show you going, he won't give us money.
[00:50:46.119 --> 00:50:47.940]  We want him to work for us and make us money.
[00:50:48.000 --> 00:50:48.920]  No, that's not what they want.
[00:50:49.400 --> 00:50:50.599]  So they play both of it.
[00:50:50.679 --> 00:50:51.659]  Oh, we want to shut him down.
[00:50:51.780 --> 00:50:53.139]  Oh, we don't do settlements.
[00:50:53.340 --> 00:50:55.460]  Oh, we want him to stop saying what he says.
[00:50:55.739 --> 00:50:57.280]  Oh, God, he won't give us money.
[00:50:57.400 --> 00:50:59.960]  We have to get his real Alex Jones.
[00:51:00.099 --> 00:51:01.099]  We can't have anything.
[00:51:01.539 --> 00:51:02.599]  We own that now.
[00:51:02.800 --> 00:51:03.739]  It's in the terms of service.
[00:51:03.860 --> 00:51:06.920]  Musk will shut it down if a court ordered them to hand it to him, which they won't.
[00:51:07.699 --> 00:51:12.000]  And don't worry, Elon Musk knows what this is, so you're going to have him to deal with.
[00:51:13.940 --> 00:51:15.179]  Oh, yeah.
[00:51:17.440 --> 00:51:21.360]  Just like I told you, Elon Musk was going to come out against the New World Order three years ago.
[00:51:21.420 --> 00:51:21.840]  Did he do it?
[00:51:22.440 --> 00:51:24.940]  A little birdie tweet he told me right here in Austin.
[00:51:29.300 --> 00:51:30.840]  Just like I told you, RFK Jr.
[00:51:31.059 --> 00:51:31.920]  would endorse Trump.
[00:51:32.929 --> 00:51:35.449]  On that Friday, on that Monday, people thought I made that up.
[00:51:35.809 --> 00:51:38.590]  It came directly from the highest levels of the campaign.
[00:51:39.269 --> 00:51:40.710]  And of course it came true, like I said.
[00:51:42.650 --> 00:51:47.530]  So, the globalists are getting their ass routed.
[00:51:47.889 --> 00:51:53.409]  It's not comfortable for Alex Jones or Rudolph Giuliani or Steve Manning or Owen Schroer.
[00:51:54.150 --> 00:51:58.449]  But as long as we're willing to take the heat, it's fine.
[00:51:58.769 --> 00:52:00.329]  All I ask is for you to back us.
[00:52:00.750 --> 00:52:02.210]  You got a good horse in the fight.
[00:52:03.900 --> 00:52:08.760]  A good horse in the race, but I'm only as strong as you are.
[00:52:09.920 --> 00:52:13.099]  And of course, I didn't barely even cover any of this thing on the main show.
[00:52:13.719 --> 00:52:23.300]  I'm trying to focus on all the other big, huge issues, getting Trump in, stopping World War III, finding where the 325,000 missing kids under Kamala and Mayorkas and Biden are.
[00:52:23.860 --> 00:52:25.340]  But this is a big story.
[00:52:25.460 --> 00:52:30.400]  If this was happening to anybody else, I'd be all over this like white on rice, like flies on shit.
[00:52:32.230 --> 00:52:33.429]  And you should be all over it.
[00:52:33.489 --> 00:52:34.170]  Holy Toledo.
[00:52:34.909 --> 00:52:38.389]  I told you you were next when they started taking off everything seven years ago.
[00:52:40.090 --> 00:52:42.250]  And now you see.
[00:52:43.570 --> 00:52:45.409]  All right, so overhead shot, please.
[00:52:45.610 --> 00:52:49.030]  I'm going to start reading this Bloomberg article and I'll actually show you the document itself.
[00:52:49.389 --> 00:52:50.289]  So here it is.
[00:52:51.489 --> 00:52:55.489]  Alex Jones bankruptcy trustee to sell social media accounts.
[00:52:55.590 --> 00:52:56.250]  I'm going to go through this.
[00:52:56.389 --> 00:52:57.070]  It'll probably take 20 minutes.
[00:52:57.329 --> 00:52:58.869]  So let's look back at what happened.
[00:52:58.969 --> 00:53:09.070]  I declared personal bankruptcy two years ago, and the company declares bankruptcy, and they go in and tell the judge I'm hiding $400 million and I'm a criminal and my dad's hiding all this money and we're master criminals.
[00:53:10.760 --> 00:53:23.659]  And I'd go in there and file in the federal court, okay, I got $3 million and a small piece of property and a lake house in my house, and I'm worth, you know, total, everything, $10 million, if you exaggerate what I had.
[00:53:23.980 --> 00:53:25.619]  And I said, I've never hidden that.
[00:53:25.679 --> 00:53:27.119]  I've never said anything about that.
[00:53:28.320 --> 00:53:33.559]  Yeah, over the years, we've sold hundreds of millions of dollars of product, but we make like 35% on water filters and stuff like that.
[00:53:33.599 --> 00:53:34.920]  I mean, it's not gross.
[00:53:35.099 --> 00:53:35.699]  I mean, it's gross.
[00:53:35.719 --> 00:53:36.900]  It's not what you keep.
[00:53:38.090 --> 00:53:40.650]  And so the judge believes him, the federal judge.
[00:53:40.650 --> 00:53:43.710]  He appoints three different outside accounting firms that literally dig through everything.
[00:53:43.789 --> 00:53:50.829]  The IRS comes in and audits me, goes through everything, and finds out that exactly what I said was true.
[00:53:50.889 --> 00:53:56.289]  You think I'm going to lie in a federal court in sworn testimonies and being at the depositions?
[00:53:56.329 --> 00:53:58.329]  It was like seven or eight of them with the Justice Department there.
[00:53:58.429 --> 00:53:59.190]  Yeah, they got involved.
[00:53:59.949 --> 00:54:02.690]  Reading the U.S. Code, if you say one thing untrue, we're going to put you in prison.
[00:54:03.030 --> 00:54:05.250]  I'm like, I got mainline accounts and CPAs.
[00:54:05.250 --> 00:54:05.929]  I don't even touch the money.
[00:54:07.710 --> 00:54:10.590]  I'm so busy, I never had time to go to a little fishing house.
[00:54:11.130 --> 00:54:16.010]  I used to live there 10 years ago, and I bought a piece of property outside Austin.
[00:54:16.110 --> 00:54:16.769]  I never had time to go there.
[00:54:16.849 --> 00:54:17.730]  Okay, take it away.
[00:54:18.190 --> 00:54:19.409]  All I care about is freedom of speech.
[00:54:20.550 --> 00:54:22.809]  And they came to me and said, listen, you ready to sell out?
[00:54:22.929 --> 00:54:26.289]  You ready to, literally in the mediation, you ready to do what we say?
[00:54:26.349 --> 00:54:27.030]  I said, hell no.
[00:54:27.789 --> 00:54:29.010]  Well, no amount of money you can pass.
[00:54:29.929 --> 00:54:32.389]  And then they were dumb enough outside mediation to say that to my lawyers.
[00:54:32.449 --> 00:54:33.130]  They said, you can say it now.
[00:54:33.190 --> 00:54:34.170]  They said to us, outside mediation.
[00:54:35.710 --> 00:54:36.969]  So what a scandal that is.
[00:54:38.929 --> 00:54:47.269]  So, the first trustee, because they come through a wheel, a whole bunch of people wouldn't take the job to be a U.S. trustee.
[00:54:47.329 --> 00:54:47.989]  They can refuse it.
[00:54:50.329 --> 00:54:50.730]  Okay?
[00:54:50.889 --> 00:54:55.889]  So, they got the trustee, and then they've got a CRO that comes in, chief restructuring officer.
[00:54:56.010 --> 00:54:57.329]  Usually, it's a company that actually doesn't have money.
[00:54:58.909 --> 00:55:10.010]  And they immediately get rid of all of our sponsors and start making aspersions about me and claiming I'm a crook and filed in federal court that I had hidden sponsors from them that were on the air that I already put in a federal filing.
[00:55:10.150 --> 00:55:15.349]  I had as sponsors personally that I was trying to put into the bankruptcy, but Pat McGill wouldn't accept it.
[00:55:15.530 --> 00:55:24.309]  So we'd filed in court that we had this money months and months and months before, and then he still went and filed that he found secret money, and the judge thought that was really weird that he said that.
[00:55:24.510 --> 00:55:25.590]  They were trying to say I was a crook.
[00:55:25.650 --> 00:55:26.570]  They were desperate to find something.
[00:55:28.829 --> 00:55:34.329]  And then, 14 weeks ago, I see more security showing up, armed security, and I say, what's going on?
[00:55:34.389 --> 00:55:36.210]  They say, oh, it's being shut down tonight.
[00:55:36.409 --> 00:55:37.289]  I call my lawyers.
[00:55:37.369 --> 00:55:42.130]  They just heard Pat McGill and the U.S. trustee from the Justice Department ordered the company shut.
[00:55:42.690 --> 00:55:43.909]  I said, well, where's the court order?
[00:55:43.989 --> 00:55:44.750]  Well, it's not.
[00:55:44.789 --> 00:55:45.730]  He just says he can do it.
[00:55:47.510 --> 00:55:49.650]  And I go on air and I say, they're out here doing it.
[00:55:49.690 --> 00:55:50.389]  I'm having to sleep here.
[00:55:50.429 --> 00:55:51.010]  They don't have an order.
[00:55:51.070 --> 00:55:51.730]  I'm going to call the police.
[00:55:51.929 --> 00:55:54.530]  The private security company goes, yeah, that's actually true.
[00:55:54.530 --> 00:55:55.409]  We're not going to shut you down.
[00:55:56.590 --> 00:56:01.030]  We're good to go.
[00:56:01.190 --> 00:56:07.030]  We're good to go.
[00:56:10.099 --> 00:56:19.920]  Then they file another thing to shut us down, and on June 14th, it's all over the news, InfoWars will be shut down today, and the judge tells the U.S. trustee and the CRO, you can't do that to Alex Jones.
[00:56:20.039 --> 00:56:20.840]  He owns his company.
[00:56:21.099 --> 00:56:22.239]  He's in private bankruptcy.
[00:56:22.239 --> 00:56:26.579]  If you guys won't settle, then we can liquidate the assets, but that's it.
[00:56:26.860 --> 00:56:29.199]  And of course, without Jones there, they're not worth really anything.
[00:56:31.269 --> 00:56:31.889]  And they go, that's fine.
[00:56:31.989 --> 00:56:32.469]  We want to shut down.
[00:56:32.550 --> 00:56:34.489]  The judge said, no, I'm going to leave Jones in control.
[00:56:34.849 --> 00:56:36.250]  They said, don't give him his bank accounts.
[00:56:36.349 --> 00:56:37.070]  He'll steal all the money.
[00:56:37.190 --> 00:56:43.130]  And he goes, you said this for two years and hired three outside accounting firms that his company had to pay for at the cost of $3 million.
[00:56:44.090 --> 00:56:45.949]  And it was all, everything he said was true.
[00:56:46.050 --> 00:56:47.510]  You never filed one thing of proof.
[00:56:47.630 --> 00:56:49.510]  The judge said, he talked for 40 minutes at him.
[00:56:50.590 --> 00:56:53.030]  He said, you're fired.
[00:56:53.190 --> 00:56:53.730]  You're fired.
[00:56:54.110 --> 00:56:54.530]  Hand Mr.
[00:56:54.670 --> 00:56:56.030]  Jones's bank accounts over today.
[00:56:57.730 --> 00:57:00.309]  But he said, I'm going ahead with the sale.
[00:57:00.510 --> 00:57:02.730]  Then they decided they didn't want that because Patriots might buy it.
[00:57:02.869 --> 00:57:05.070]  So the feds, the Justice Department, look it up.
[00:57:05.150 --> 00:57:07.150]  Justice Department seeks to block sale of InfoWars.
[00:57:09.250 --> 00:57:11.789]  And the judge says, no, I have the power to do that.
[00:57:11.809 --> 00:57:12.250]  I'm doing it.
[00:57:13.429 --> 00:57:15.030]  So then I said to my lawyers, watch.
[00:57:15.110 --> 00:57:17.849]  They'll start filing saying, okay, Soros is going to buy it.
[00:57:17.929 --> 00:57:19.570]  Sure as hell, Soros comes in through Media Matters.
[00:57:19.710 --> 00:57:20.610]  People go, how do you know this?
[00:57:20.630 --> 00:57:21.090]  I know.
[00:57:21.230 --> 00:57:21.429]  I know.
[00:57:21.869 --> 00:57:22.550]  That's what I do.
[00:57:22.630 --> 00:57:23.050]  I study them.
[00:57:24.550 --> 00:57:26.469]  He's always a State Department CIA bag man.
[00:57:26.469 --> 00:57:27.030]  He's the front guy.
[00:57:27.699 --> 00:57:30.940]  He's a zombie, so he's a son, but they're the placeholder.
[00:57:31.880 --> 00:57:34.039]  And they say, we own Alex Jones, we own everything.
[00:57:34.300 --> 00:57:36.639]  And I go file, and the judge says, we're not doing that.
[00:57:36.880 --> 00:57:40.539]  And the new U.S. trustee goes, oh yeah, that's not reasonable to say they own your name.
[00:57:40.619 --> 00:57:41.760]  File his 13th Amendment, you're right.
[00:57:42.380 --> 00:57:48.119]  And I told my lawyers, I said, watch, right before the sale, they'll sneak in a new filing saying, actually, we are selling his name, and we do own Alex Jones.
[00:57:48.820 --> 00:57:49.400]  Get it today!
[00:57:51.440 --> 00:57:55.579]  And I'd imagine at the online auction, good guys will be locked out.
[00:57:55.599 --> 00:57:56.000]  It's online.
[00:57:56.119 --> 00:57:56.800]  They won't be able to bid.
[00:57:56.920 --> 00:57:57.940]  Their computers will go down.
[00:57:58.340 --> 00:57:59.920]  And the bad guys will get it.
[00:58:00.460 --> 00:58:01.460]  That's just what's going to happen.
[00:58:02.539 --> 00:58:03.460]  Unless we expose it.
[00:58:03.820 --> 00:58:05.099]  I mean, that's what I do.
[00:58:05.179 --> 00:58:06.340]  I know the enemy next move.
[00:58:07.059 --> 00:58:09.000]  And I'm not even saying the auction company would do that.
[00:58:09.139 --> 00:58:11.099]  What I'm saying is, this is what they do.
[00:58:11.239 --> 00:58:19.780]  When Elon Musk had a poll, tens of millions of voters, in the first hour, should Alex Jones be brought back, they DDoSed it and shut it down because 93% were saying, bring Alex Jones back.
[00:58:20.869 --> 00:58:26.510]  And Musk said, well, they attacked the poll, but we had tens of millions of votes and 90 plus percent Alex Jones, he's back.
[00:58:28.150 --> 00:58:29.170]  This is what they do.
[00:58:29.269 --> 00:58:31.190]  They're DDoSing, attacking InfoWars today.
[00:58:31.570 --> 00:58:32.530]  We're attacked every day.
[00:58:33.510 --> 00:58:36.409]  So, if it's nasty, if it can be done, they'll do it.
[00:58:36.429 --> 00:58:38.809]  It's the CIA that came out in court and the FBI running it all.
[00:58:41.170 --> 00:58:47.190]  So, I'm like, okay, well, I don't think they're going to allow good guys to buy this.
[00:58:47.969 --> 00:58:49.989]  They've already spent 70 plus million trying to shut me down.
[00:58:50.210 --> 00:59:00.570]  But, you know, maybe if we talk to the auction house and make sure and have them ready and have backup connections, you know, for folks and a whole new system they can fire up during or take, you know, stuff over the telephone.
[00:59:00.750 --> 00:59:02.170]  I know the enemy's got them on the line steps.
[00:59:02.309 --> 00:59:03.690]  They're already one step ahead of us, but it's okay.
[00:59:04.610 --> 00:59:05.889]  I'm just predicting that'll happen.
[00:59:06.050 --> 00:59:08.570]  So hopefully that doesn't happen because we're, you know, ahead of it.
[00:59:11.559 --> 00:59:21.920]  But really, the deep state, the Democrats will just try to buy it for a huge amount, and then through the charities it's given to, put it back in as donations to Democrats, because they're allowed to do all that, even though, you know, nobody else does, because it's illegal.
[00:59:22.639 --> 00:59:23.820]  I mean, I know all the tricks.
[00:59:23.900 --> 00:59:24.639]  That's what I do is study them.
[00:59:25.679 --> 00:59:26.860]  So here, I read you the headline.
[00:59:27.239 --> 00:59:33.139]  Let's continue analyzing this here tonight, live, uncensored, unfiltered, teleprompter-free, unlike Kamala Harris.
[00:59:35.139 --> 00:59:36.099]  So, that's what they said.
[00:59:36.099 --> 00:59:45.599]  So, the new trustee, who's got a name as a fair guy, won't do you any favors, but he's got major pressure on him, just told me in my face, no, no, we know you own Real Alex Jones.
[00:59:45.659 --> 00:59:46.400]  We know you own your name.
[00:59:46.480 --> 00:59:47.639]  We'll carve that out for you.
[00:59:47.699 --> 00:59:48.179]  This is months ago.
[00:59:48.420 --> 00:59:49.019]  Don't worry, Alex.
[00:59:49.019 --> 00:59:49.460]  This is not going to happen.
[00:59:49.739 --> 00:59:50.780]  And then now he files today.
[00:59:50.920 --> 00:59:52.099]  Actually, that is the thing.
[00:59:52.619 --> 00:59:53.300]  We're saying that.
[00:59:53.559 --> 00:59:56.900]  So, they'll have him in a sale saying they own my name and own Real Alex Jones.
[00:59:58.760 --> 00:59:59.480]  Have a following right here?
[01:00:00.239 --> 01:00:00.920]  Perfectly happened, like I said.
[01:00:02.159 --> 01:00:04.219]  So, That's where we are.
[01:00:04.940 --> 01:00:10.860]  So there's some truth in this article and then a bunch of bull, but it's good to go through the history.
[01:00:11.019 --> 01:00:12.420]  You can kind of review the history of each paragraph.
[01:00:12.599 --> 01:00:14.400]  So let's start, may we?
[01:00:15.199 --> 01:00:18.500]  Alex Jones bankruptcy trustee aims to sell social media accounts.
[01:00:19.519 --> 01:00:21.940]  And then later they say, including his name.
[01:00:23.039 --> 01:00:34.219]  The trustee, federal, overseeing liquidation of Alex Jones' assets has sought bankruptcy court approval to sell the right-wing provocateur's personal social media accounts, plus his book and video game rights, which aren't big.
[01:00:34.519 --> 01:00:35.320]  And that you can do.
[01:00:36.340 --> 01:00:43.119]  Jones' 16 social media accounts, book rights to the Great Reset and the War for the World, and the video game Alex Jones...
[01:00:44.019 --> 01:00:53.760]  Now Wars, which I don't even own, should be, I don't care, let's put that in there, should be added to the ongoing sale process for Jones Infowars Media Empire.
[01:00:53.980 --> 01:00:57.480]  The empire is the giant audience, it's me, not some websites.
[01:00:57.980 --> 01:01:05.159]  Trustee Christopher Murray told the U.S. Bankruptcy Court for the Southern District of Texas in a motion Tuesday that hit the news today.
[01:01:06.039 --> 01:01:15.909]  The trustee is tasked with liquidating Jones' assets that the Infowars parent company, Free Street Systems LLC, To help pay down the $1.5 billion defamation judgment.
[01:01:15.969 --> 01:01:16.510]  It wasn't a judgment.
[01:01:16.590 --> 01:01:17.250]  I was already found guilty.
[01:01:18.610 --> 01:01:24.690]  Related to the statements Jones made calling the 2012 Sandy Hook Elementary School shooting a hoax.
[01:01:24.769 --> 01:01:26.170]  I just covered other people saying it.
[01:01:26.230 --> 01:01:28.269]  Even if I did do that, the way they say it's my right.
[01:01:29.090 --> 01:01:37.050]  Murray, in September, was given the green light by a Houston bankruptcy court to start auctioning off property for Jones' InfoWars Media platform.
[01:01:39.159 --> 01:01:43.579]  Including Infowars, intellectual property, the studio production equipment, according to the auctioneer website.
[01:01:43.900 --> 01:01:46.559]  Now, they haven't claimed they own the crew next, but I'll imagine that's next.
[01:01:48.019 --> 01:01:56.139]  In fact, they've already said, oh, we want them to sign something and we'll give them a little severance, which I'm sure will be non-compete and that they are owned by the Democratic Party or something.
[01:01:57.380 --> 01:02:07.239]  Murray has said Jones' personal IP has attracted interest from potential bidders and that adding it to the Infowars assets already on sale will increase recoveries.
[01:02:07.380 --> 01:02:21.179]  Meanwhile, an auctioneer for the Infowars assets already set up a sale has said there has been a large volume of inquiries ranging from media companies to supplement and other e-commerce businesses and general investors like Media Matters and George Soros.
[01:02:21.800 --> 01:02:28.579]  Now, that's on record in New York Post, AP, Reuters, Bloomberg, So everything I'm saying, you can pull up.
[01:02:29.219 --> 01:02:34.199]  Now, again, they're saying Alex Jones' IP is all of his words, all of his shows, all of his films.
[01:02:34.599 --> 01:02:39.019]  They list my films that a bunch of them are owned by the companies that distribute them.
[01:02:39.079 --> 01:02:41.000]  They don't even care if the video game's not owned by me.
[01:02:41.019 --> 01:02:41.980]  They just say it's theirs.
[01:02:42.340 --> 01:02:42.920]  Why not?
[01:02:45.420 --> 01:02:46.260]  Hell, they own everybody.
[01:02:46.360 --> 01:02:47.320]  They own your body, don't they?
[01:02:47.460 --> 01:02:49.599]  Hell, they got the military trained to kill you and take your guns.
[01:02:49.719 --> 01:02:50.860]  It's now official, public.
[01:02:51.739 --> 01:02:52.940]  Then they say Trump's going to do it.
[01:02:54.460 --> 01:02:58.639]  So it's all just a giant legal lawyer deep state power grab.
[01:03:00.119 --> 01:03:03.699]  But the documents, three inches stick, are on InfoWars.
[01:03:04.139 --> 01:03:04.980]  We ought to show them.
[01:03:05.059 --> 01:03:06.559]  In fact, I'll do it on my main show tomorrow.
[01:03:07.260 --> 01:03:11.840]  But we have contracts on the website going back decades and updated saying anything I do is free to air.
[01:03:12.099 --> 01:03:17.739]  The show, anything, you can tape it, air it anywhere you want, free to air, because people like to take my show and air it on commercial TV stations and stuff.
[01:03:17.840 --> 01:03:19.480]  They got to have it for the station to say we're allowed to air this.
[01:03:20.599 --> 01:03:23.679]  So, again, it's like Linux creator said this is free to the world.
[01:03:24.139 --> 01:03:28.199]  They can't then say the creator's gone bankrupt so they own Linux because he made it and said it's free.
[01:03:28.440 --> 01:03:34.119]  Like if I did a symphony or a painting or a song and said this belongs to the world, no rights.
[01:03:34.300 --> 01:03:35.000]  I have no rights.
[01:03:35.079 --> 01:03:35.840]  You have all the rights.
[01:03:36.780 --> 01:03:39.539]  But I have my own rights by giving it to everybody, including me.
[01:03:40.449 --> 01:03:41.469]  I pioneered that.
[01:03:41.570 --> 01:03:43.869]  Not even on purpose, because I wanted just to get it out to everybody.
[01:03:44.190 --> 01:03:45.230]  Been on the air 30 years.
[01:03:45.349 --> 01:03:48.489]  Back then, people wanted a letter with a law firm saying it.
[01:03:48.570 --> 01:03:50.710]  And we've told them all that, and they don't care.
[01:03:51.789 --> 01:03:53.510]  Because they now have admitted media matters.
[01:03:53.610 --> 01:03:59.650]  Oh, we want to get in and go in and ban him everywhere and say we own everything he ever said, because it's so devastating to them.
[01:04:01.849 --> 01:04:14.869]  The trustee and his advisors have received interest in His advisors, that's the Democratic Party, Sandy Hook people, from multiple parties in purchasing the social media accounts, in particular, the trustee said Tuesday.
[01:04:15.429 --> 01:04:24.010]  The rumble, the gab, the ex, all of them say, you can't transfer your private social media or sell it.
[01:04:25.949 --> 01:04:26.969]  It goes away.
[01:04:27.150 --> 01:04:27.949]  But they know that.
[01:04:28.670 --> 01:04:31.429]  They want to shut it down, like I just showed you them saying earlier.
[01:04:33.170 --> 01:04:38.489]  Jones' social media accounts that could go up for sale include his account on X, previously known as Twitter.
[01:04:38.690 --> 01:04:39.849]  Oh, his account.
[01:04:39.989 --> 01:04:40.769]  See, and they listed in there.
[01:04:41.170 --> 01:04:41.869]  Real Alex Jones.
[01:04:42.449 --> 01:04:48.050]  As well as accounts on Gab, Telegram, and former President Donald Trump's true social media company.
[01:04:49.230 --> 01:04:50.730]  Jones likely to fight sale.
[01:04:50.909 --> 01:04:56.929]  Jones maintains that his personal social media accounts aren't property of the bankruptcy estate and can't be sold.
[01:04:57.070 --> 01:05:06.210]  His bankruptcy lawyer, Vicki Driver of Elliott, Thompson& Gibson, LLP, told Bloomberg Law via email today, they are unalienable personal property and cannot be sold.
[01:05:06.539 --> 01:05:09.460]  Unwound from his name, image, and likeness, Driver said.
[01:05:09.800 --> 01:05:13.840]  Further, the contracts with the social media companies do not allow for anyone other than Mr.
[01:05:13.960 --> 01:05:22.440]  Jones to operate the personal accounts, and any third party doing this would violate the terms and conditions of such accounts, opening them up to liability.
[01:05:22.659 --> 01:05:32.719]  But they don't care, just like illegally spying on you and the FBI telling, and the White House, you know, having 50 million people censored on Facebook alone.
[01:05:32.780 --> 01:05:33.780]  That all came out in Congress.
[01:05:34.000 --> 01:05:35.219]  Totally illegal, all of it.
[01:05:36.019 --> 01:05:38.760]  Just like disappearing 325,000 kids is illegal.
[01:05:39.159 --> 01:05:47.139]  Just like the U.S. trustee saying, the one before Chris Murray, just shut it down, sending armed men, we're here, get out of the building.
[01:05:47.199 --> 01:05:49.039]  I'm like, no you're not, I'm calling the police.
[01:05:49.619 --> 01:05:51.139]  Where's your document, dumbass?
[01:05:51.559 --> 01:05:53.619]  They weren't dumbasses, they were like, yeah, where is the document?
[01:05:54.119 --> 01:06:02.519]  I told the federal government, told me that, I had to call, I said, hey, you're not a dumbass, I actually said, you better call your company, you better call your boss, what are you doing?
[01:06:04.099 --> 01:06:06.500]  They're like, yeah, that's actually, well, whatever.
[01:06:07.960 --> 01:06:11.800]  Well, they told us we need to get more people here, too, because you might cause a problem.
[01:06:11.980 --> 01:06:17.000]  And then McGill gets up in that June 14th hearing, and he goes, we were just scared that Mr.
[01:06:17.099 --> 01:06:18.000]  Jones would cause a problem.
[01:06:19.760 --> 01:06:21.099]  You know, there are guns in the building.
[01:06:21.280 --> 01:06:22.139]  And the judge goes, what do you mean?
[01:06:22.460 --> 01:06:23.519]  Well, there's guns.
[01:06:24.440 --> 01:06:24.760]  Mr.
[01:06:24.840 --> 01:06:25.760]  Jones has guns.
[01:06:27.280 --> 01:06:28.400]  So I got a safe gun.
[01:06:29.210 --> 01:06:38.650]  With shotguns and self-defense rifles in it, and I've got an instant-access pistol safe in my office, and my crew has concealed carry.
[01:06:38.750 --> 01:06:39.789]  Some of them wear them on their sides.
[01:06:39.789 --> 01:06:40.289]  Big deal.
[01:06:40.650 --> 01:06:41.750]  We know we're a target.
[01:06:43.809 --> 01:06:47.590]  But again, implying violence, and the judge goes, well, that's not illegal.
[01:06:49.429 --> 01:06:58.489]  So they come with armed security to shut us down without an order, without a ticket, without a citation, without one stick of bubblegum wrapping.
[01:06:59.789 --> 01:07:00.989]  Not a piece of toilet paper.
[01:07:01.070 --> 01:07:01.969]  Not birdcage liner.
[01:07:03.630 --> 01:07:05.530]  That's how crazy they are.
[01:07:06.929 --> 01:07:11.730]  It's illegal for Kamala Harris in Mayorkas to disappear through 25,000 kids, many found in sex slavery.
[01:07:12.269 --> 01:07:17.949]  New York Times admits in slave labor, as young as 10 years old, sleeping at factories on the floor.
[01:07:18.409 --> 01:07:19.349]  You're like, how is that?
[01:07:19.809 --> 01:07:20.989]  They're just doing it.
[01:07:21.230 --> 01:07:24.050]  Biden authorized a month ago heavy U.S. missiles to start bombing Russia.
[01:07:24.090 --> 01:07:24.869]  They backed off.
[01:07:25.750 --> 01:07:28.710]  Because Russia threatened nuclear war, but I mean, these are crazy people.
[01:07:29.070 --> 01:07:34.090]  They've announced in executive orders and Pentagon announcements they're training to kill the American people and take your guns.
[01:07:34.730 --> 01:07:37.789]  They're going, oh, martial law, Trump, martial law, oh God, the military.
[01:07:38.630 --> 01:07:41.550]  Did Trump kill Ashley Babbitt and other U.S. citizens at the Capitol that day?
[01:07:41.690 --> 01:07:42.510]  Two women, two men?
[01:07:46.849 --> 01:07:53.130]  Jones' social media accounts could go up for sale, including his account, his account, on X, previously known as Twitter.
[01:07:54.130 --> 01:07:59.190]  As well as accounts on Gab, Telegram, and former President Donald Trump's social media company, True Social.
[01:07:59.429 --> 01:08:00.630]  Jones likely to fight the sale.
[01:08:00.769 --> 01:08:01.389]  And I read over that.
[01:08:02.090 --> 01:08:14.809]  In a video posted on X account on Wednesday, Jones said he plans to launch the Alex Jones network in response to the potential closure of InfoWars on November 13th, the auction date set for InfoWars assets sale.
[01:08:15.460 --> 01:08:18.819]  My guests, myself, and my crew are the info war, Jones said.
[01:08:19.079 --> 01:08:24.739]  The info war goes on no matter what happens to a website or a shopping cart or this equipment.
[01:08:25.180 --> 01:08:31.420]  Murray said he only seeking to sell the estate's interest in the social media accounts.
[01:08:31.720 --> 01:08:39.439]  Oh, the interest in the accounts, but not license the use of Jones' persona or force him to post content on the accounts.
[01:08:39.579 --> 01:08:42.939]  No, just take it away and shut it down when it's mine and personal.
[01:08:43.689 --> 01:08:45.250]  Because it's clear they can't do that.
[01:08:45.409 --> 01:08:46.710]  So now they're taking the first bite.
[01:08:46.829 --> 01:08:50.989]  Oh, well, just the state's interest in his name.
[01:08:51.850 --> 01:08:53.409]  We just own a piece of it.
[01:08:53.510 --> 01:08:58.270]  I'm like saying black people are two-thirds human.
[01:08:59.170 --> 01:09:01.329]  I'm one-third human.
[01:09:01.430 --> 01:09:02.970]  I got a little right.
[01:09:03.090 --> 01:09:06.430]  They could take everything away from me, but you're still free to die in the ditch.
[01:09:08.159 --> 01:09:18.640]  Murray said he's only seeking to sell the estate's interest in the social media accounts, not for license or use of Jones' persona or force him to post content on the accounts according to the motion.
[01:09:19.500 --> 01:09:28.279]  The social media accounts are primarily used by Jones to promote the InfoWars broadcast and brand his books and video game and therefore are integral to free speech systems business.
[01:09:28.560 --> 01:09:39.199]  Yeah, I personally have been using my social media to promote my free speech, which is on InfoWars, but almost all the posts are other people.
[01:09:39.460 --> 01:09:42.279]  Let's pull up my X account and show people right now.
[01:09:42.619 --> 01:09:44.760]  Trump, Elon Musk, common people.
[01:09:45.659 --> 01:09:50.119]  Other people's articles, other people's speeches, other guests I'm having on.
[01:09:50.239 --> 01:09:52.180]  It's about exposing evil.
[01:09:53.159 --> 01:09:58.520]  But they say, oh, because he linked to Infowars, that's ours too.
