[00:00:03.979 --> 00:00:06.440]  It's Saturday, January 2nd.
[00:44:31.279 --> 00:44:35.939]   We've got a few minutes left here, but clearly the UN, clearly the big corporations admit
[00:44:35.939 --> 00:44:38.579]  with the great reset, they say, this is our takeover.
[00:44:38.579 --> 00:44:39.939]  This will cut the carbon footprint.
[00:44:39.939 --> 00:44:41.200]  This will make you poor.
[00:44:41.200 --> 00:44:42.260]  It's good for the earth.
[00:44:42.260 --> 00:44:43.499]  You're not going to have kids now.
[00:44:43.499 --> 00:44:44.739]  We're going to control you.
[00:44:44.739 --> 00:44:47.860]   You're going to have a universal income, but we'll tell you how to live your life.
[00:44:47.415 --> 00:44:49.296]  It's such an authoritarian revolution.
[00:44:49.816 --> 00:44:53.297]  Are they doing it because they saw the populist revolution accelerating?
[00:44:53.317 --> 00:44:54.537]  Because they always had this planned.
[00:44:54.557 --> 00:44:56.058]  I mean, it was on the drawing board.
[00:44:56.798 --> 00:45:03.863]  But the fact that they've launched such a dangerous gamble, I really see that because they were behind and because they're weak.
[00:45:04.784 --> 00:45:07.186]  As bleak as this is, I see a lot of good signs.
[00:45:07.206 --> 00:45:07.927]  Do you agree with that?
[00:45:08.227 --> 00:45:09.127]  Do you disagree with that?
[00:45:09.167 --> 00:45:18.875]  And I think we should really start talking about Klaus Schwab and Bill Gates and how they really are the Adolf Hitler's and Mao Tse Tung's of our day, hitting us with a new type of war.
[00:45:20.817 --> 00:45:21.418]  Oh, very much so.
[00:45:21.438 --> 00:45:27.442]  I mean, this Blitzkrieg is in response to the success of the Brexit movement and populist movements around the world.
[00:45:27.922 --> 00:45:36.709]  If they had tried this in 2012, they would have had a lot more success with a lot more, a lot less resistance, because they would have had the Obama machine and everything else on their side.
[00:45:37.169 --> 00:45:48.878]  So the fact that they chose now to launch it because of the, and as you note, it's been on the, it's been in the roadmap all the way along, this, you know, people who love power will constantly seek excuses to have more of it.
[00:45:49.558 --> 00:45:53.260]  But they launched it now because they were on the verge of complete failure.
[00:45:53.600 --> 00:46:01.163]  China was on the verge of losing its attempts to have global domination of the West due to the lead that Trump in particular had taken against them.
[00:46:01.543 --> 00:46:07.906]  The success of Brexit showed that their EU model for European sort of bureaucratic dictatorial government was failing.
[00:46:08.346 --> 00:46:11.430]  So I think this was launched as a means to counteract all of that.
[00:46:11.811 --> 00:46:21.203]  And they had the willing complicity of Bill Gates, who was able to compromise all of our public health entities around the entire world with his massive donations and monetary control.
[00:46:21.703 --> 00:46:24.306]  And the combination of the two allowed them to get away with it.
[00:46:24.687 --> 00:46:26.890]  And unfortunately, too many Americans were asleep.
[00:46:27.330 --> 00:46:40.678]  So unless you were a part of the Infowars audience, you didn't realize or recognize what was happening until all of a sudden you woke up and you can't leave your home or have your grandma over without being subject to the cops raiding your home, beating you down, and throwing you in jail.
[00:46:40.998 --> 00:46:41.878]  That's not America.
[00:46:41.918 --> 00:46:42.679]  That's not freedom.
[00:46:42.719 --> 00:46:43.559]  That's not liberty.
[00:46:43.759 --> 00:46:44.620]  That's not the West.
[00:46:44.960 --> 00:46:47.802]  So we got to fight back and we got to fight back with every means available.
[00:46:47.822 --> 00:46:53.605]  But you're right, we are better equipped and more knowledgeable to fight back now than maybe at any other time in world history.
[00:46:54.125 --> 00:47:03.992]  I don't want to be over positive, but that's what I'm seeing is a mega massive awakening of neighbors and family and people that thought I was full of it are now like, oh my God, you were dead on.
[00:47:04.032 --> 00:47:04.612]  How'd you know this?
[00:47:04.632 --> 00:47:07.454]  And I'm like, well, the globalists write all these white papers and it's their plan.
[00:47:07.895 --> 00:47:12.578]  And now so many people going to be in the street and go black, white, old, young men, you know, women.
[00:47:13.218 --> 00:47:14.220]  I'm reading The Great Reset.
[00:47:14.260 --> 00:47:15.181]  I can't believe they admit it all.
[00:47:15.421 --> 00:47:16.563]  I'm reading David Rockefeller.
[00:47:16.603 --> 00:47:17.784]  I'm reading Bill Gates.
[00:47:17.925 --> 00:47:20.208]  Bill Gates' dad ran a eugenics group.
[00:47:20.408 --> 00:47:21.570]  Oh my God, it's all true!
[00:47:21.730 --> 00:47:26.036]  I mean, people are really finally going, because the globals are finally assaulting.
[00:47:26.056 --> 00:47:30.341]  They're finally gone from beta to the big push, and people are really starting to get it.
[00:47:31.545 --> 00:47:31.945]  Absolutely.
[00:47:31.985 --> 00:47:38.391]  We have the highest level of resistance to vaccines, forced vaccines in American history, at least in the modern age.
[00:47:38.871 --> 00:47:43.976]  And that's because people are recognizing that there's something disingenuous, dishonest about it.
[00:47:44.296 --> 00:47:49.240]  They have access to independent means of media despite all of the efforts of big media and big tech suppression and censorship.
[00:47:49.581 --> 00:47:52.663]  Independent media still keeps out there because people share the links.
[00:47:52.924 --> 00:47:57.868]  People find ways around the institutional gated narrative of gatekeeper control.
[00:47:58.188 --> 00:47:59.009]  That's right.
[00:47:59.049 --> 00:48:00.550]  This is the golden age.
[00:48:00.590 --> 00:48:01.511]  I don't mean as in old.
[00:48:01.571 --> 00:48:03.852]  I mean the golden age of rebirth right now.
[00:48:04.193 --> 00:48:06.915]  Barnes, in closing, let me show you a few headlines of your take on this.
[00:48:08.496 --> 00:48:09.216]  Washington Post.
[00:48:09.396 --> 00:48:10.717]  Anti-vaxxers are dangerous.
[00:48:10.797 --> 00:48:13.359]  Make them face isolation, fines, and arrests.
[00:48:13.419 --> 00:48:14.660]  The Washington Post.
[00:48:15.021 --> 00:48:16.542]  How authoritarian is that?
[00:48:17.583 --> 00:48:19.324]  Mandatory COVID-19 vaccines.
[00:48:19.584 --> 00:48:21.906]  Everything is on the table, says Fauci.
[00:48:22.206 --> 00:48:23.167]  There's video of this.
[00:48:24.144 --> 00:48:25.424]  Like he's God, he decides.
[00:48:25.824 --> 00:48:30.606]  Digital receipts for COVID vaccinations spark concerns about two-tiered society and data grab.
[00:48:30.866 --> 00:48:31.266]  Think so?
[00:48:32.666 --> 00:48:41.469]  You must take the vaccine, giggling Joe and Jill Biden, New Year's dud interview, where they can't even pull a party popper string and don't know how to make it work.
[00:48:41.569 --> 00:48:43.570]  I mean, oh, but he's your doctor now.
[00:48:44.690 --> 00:48:46.370]  I'm choosing the risk of getting COVID.
[00:48:46.570 --> 00:48:51.532]  Over a half of healthcare workers, that's the number, 80%, at California hospitals refuse vaccinations.
[00:48:52.682 --> 00:48:55.383]  Another person dies hours after taking COVID vaccine.
[00:48:55.583 --> 00:48:57.064]  There's deaths all over the world from this thing.
[00:48:57.924 --> 00:48:59.145]  What the hell's going on here?
[00:48:59.185 --> 00:49:01.726]  Wuhan City Center jam-packed for New Year's Eve.
[00:49:01.766 --> 00:49:02.666]  Most aren't wearing masks.
[00:49:02.986 --> 00:49:08.889]  New York Times Square and London empty and police arresting people.
[00:49:09.229 --> 00:49:12.911]  2019 bill in New York called for quarantines, lockdowns, contact tracers.
[00:49:13.171 --> 00:49:14.391]  They already had it ready and written.
[00:49:14.751 --> 00:49:16.572]  All this up on InfoWars.com.
[00:49:16.892 --> 00:49:20.954]  Canadian ministers headed to Caribbean while lecturing people to sacrifice the holidays.
[00:49:22.130 --> 00:49:26.151]  And we've got another one here where this big teacher union head said, don't leave your house, don't go to school.
[00:49:26.451 --> 00:49:28.972]  She got caught partying with her family in the Caribbean.
[00:49:30.293 --> 00:49:36.115]  The NHS requires recently retired doctors to have diversity training, all just brainwashing.
[00:49:36.655 --> 00:49:43.377]  And you're going to find these interviews they don't want you to see at band.video, like the full interviews with the lady.
[00:49:45.438 --> 00:49:47.362]  Wendy Hicks, who went into the hospital.
[00:49:47.382 --> 00:49:50.769]  The whole 30 minutes is at Bandai Video in the Band Video section.
[00:49:51.069 --> 00:49:52.532]  That's where all these incredible videos are.
[00:49:52.813 --> 00:49:54.216]  How criminal is this, Barnes?
[00:49:55.222 --> 00:50:02.246]  To have them gaslight us, do this, and then censor doctors, scientists that expose the vaccine or expose COVID as an overblown hoax.
[00:50:03.007 --> 00:50:07.670]  And then when people show hospitals are empty, Facebook, Twitter, YouTube take it down.
[00:50:07.970 --> 00:50:09.891]  This is so damn diabolical.
[00:50:10.431 --> 00:50:12.733]  I mean, this is ridiculously diabolical, Barnes.
[00:50:13.033 --> 00:50:22.339]  The big pharma and big tech and big media and big banks and the government and the police and the chi-coms all ganged up on the individual.
[00:50:22.539 --> 00:50:24.160]  This is incredible criminal activity.
[00:50:25.546 --> 00:50:29.847]  Well, the Great Reset is going to trigger the Great Awakening, and hopefully the Great Rebellion.
[00:50:30.548 --> 00:50:34.689]  And that needs to happen, and it's only happening because people are able to see through it.
[00:50:35.069 --> 00:50:46.252]  People see that when you use the tactics of totalitarians, in the sense of crushing dissent, criminalizing dissent, gaslighting people who raise honest questions about honest information, people see through that.
[00:50:46.373 --> 00:50:47.353]  Enough people see through that.
[00:50:47.693 --> 00:50:54.115]  And enough people see through that that they recognize that the mere technique is a sign that something problematic is deeply happening.
[00:50:54.455 --> 00:51:05.326]  So the ability, you know, one of the great intellectual enlightenment rebels said that there are two great schools of learning that the church and the state could never close, and that's the archives of nature and the rights of man.
[00:51:05.647 --> 00:51:12.073]  And what he meant was that God left his imprint of truth on the world for our conscience to witness and for our minds to observe.
[00:51:12.414 --> 00:51:24.325]   And as long as we keep those great schools of learning open and continue to listen to them, Then we will be in a position where we can resist any form of oppression that any state or system may try to impose.
[00:51:24.745 --> 00:51:32.151]  And luckily, the conscience of man and the rights of man are still strong with beating hearts and wise souls all around the world.
[00:51:32.512 --> 00:51:35.694]  And that will happen again, and we'll be able to push back against it.
[00:51:35.574 --> 00:51:41.724]   But we need to begin the battle back because the powers that be are pushing as hard and heavy as they ever have
[00:51:41.724 --> 00:51:42.253]  before.
[00:51:42.253 --> 00:51:52.293]   Robert, just speechless how powerful the information is that you're laying out here, my friend.
[00:51:52.293 --> 00:51:53.854]  And I--
[00:51:53.340 --> 00:52:02.766]  Truly, as Martin Luther King said, the universe bends towards justice, God bends towards justice, and the imprint of natural law, the imprint of God's law is there.
[00:52:03.106 --> 00:52:10.306]   God's law is powerful, it's regenerative, it's Genesis, it gives us pleasure, it gives us life,
[00:52:10.306 --> 00:52:15.346]   it gives us justice, it gives us enjoyment, it gives us empowerment, fulfillment.
[00:52:15.346 --> 00:52:21.426]   And then sin is just systems that are based on fraud and based on lies that don't work and hurt innocent people.
[00:52:21.426 --> 00:52:28.106]   And so whether you believe in God or the devil or not, these basic truths, the pillars of the universe are there
[00:52:28.106 --> 00:52:31.325]   and those that decide to break those pillars go downhill very, very quickly.
[00:52:31.325 --> 00:52:36.026]   We have to organize and get ready for the collapse to come out on the other end and rebuild civilization.
[00:52:36.841 --> 00:52:39.484]  We're entering the bottom of the decadent swing and phase.
[00:52:40.065 --> 00:52:42.848]  Again, you've got a powerful Twitter account and other places to visit.
[00:52:43.109 --> 00:52:47.314]  How do people find more of the amazing mindset and understanding of Robert Barnes?
[00:52:48.442 --> 00:53:02.168]  Sure, so I'm still up on Twitter so far, we'll see how long that lasts, at Barnes underscore Law, and then created a Locals Board to be sort of a backup location in case I get censored everywhere, which is VivaBarnesLaw.Locals.com.
[00:53:02.548 --> 00:53:04.909]  So people can always find me in either place.
[00:53:05.269 --> 00:53:09.371]  And we'll continue, and we're going to be launching legal actions throughout this next year.
[00:53:09.751 --> 00:53:12.232]  The Free America Law Center is going to be part of that project.
[00:53:12.632 --> 00:53:24.979]  So we're going to try to do everything we can to free back up our core rights and liberties from these extraordinary and unprecedented forms of repression and suppression that have occurred and that are occurring and that will be occurring in the new year.
[00:53:25.320 --> 00:53:27.661]  The new year brings new hope and new risks.
[00:53:27.921 --> 00:53:29.142]  Hard to believe we're in the year 2021.
[00:53:29.402 --> 00:53:35.804]  I know you're already back in Vegas, but I'm running, to a great extent, the big Tuesday rally.
[00:53:36.165 --> 00:53:40.346]  I can also get you, I'm sure you can already get it, you work for the White House, doing some work for them, to that event.
[00:53:40.406 --> 00:53:42.627]  If you'd like to go, I'd pay for your hotel room, my friend.
[00:53:42.948 --> 00:53:50.631]  I'd love to get you a 10-minute, 20-minute speaking slot, especially on that Tuesday night event that's going to be there in Freedom Plaza.
[00:53:51.171 --> 00:53:52.132]  Do you want to come to D.C.?
[00:53:53.072 --> 00:53:53.272]  Sure.
[00:53:53.372 --> 00:53:53.552]  Yeah.
[00:53:53.612 --> 00:53:53.912]  Oh, yeah.
[00:53:54.012 --> 00:53:54.313]  No problem.
[00:53:54.333 --> 00:53:54.933]  Yeah, I can be there.
[00:53:55.868 --> 00:54:04.332]  Alright, well I'm going to call the main lady that's booking it all, and we've got some slots that we're going to be open for Ted Nugent.
[00:54:04.352 --> 00:54:07.733]  He's not sure if he can come, so I really think we should probably get you there.
[00:54:07.753 --> 00:54:11.174]  So I'll call you after the end of the show tonight once I've made some calls.
[00:54:11.535 --> 00:54:12.555]  Robert Barnes, thank you so much.
[00:54:13.635 --> 00:54:14.056]  Absolutely.
[00:54:14.436 --> 00:54:16.277]  Alright, there goes Robert Barnes.
[00:54:16.397 --> 00:54:19.158]  Again, I want to thank the crew for coming in on Saturday.
[00:54:20.202 --> 00:54:21.603]  I want to thank the listeners and viewers.
[00:54:21.744 --> 00:54:28.350]  You're the men and women around the world, not just the U.S., that are tuned in and care about justice and care about freedom and care about your rights.
[00:54:28.730 --> 00:54:29.791]  You are the tip of the spear.
[00:54:29.811 --> 00:54:30.712]  You're the salt of the earth.
[00:54:31.193 --> 00:54:32.134]  You are the 300.
[00:54:32.234 --> 00:54:43.625]  And I know there's probably, depending on when you're watching this, if you're watching it live, probably a half a million people watching, watching it later, you know, maybe 100,000 watching, or you're watching the archive, it'll be posted later, demand.video.
[00:54:44.795 --> 00:54:47.497]  It's so magic when you decide to share this interview.
[00:54:47.997 --> 00:54:51.119]  It's so magic when you decide to circumvent the censors.
[00:54:51.300 --> 00:54:53.881]  It's so incredible and it changes the universe.
[00:54:53.921 --> 00:55:00.266]  So please take this interview and share it and tell people about Band.Video.
[00:55:00.546 --> 00:55:02.407]  Tell folks about InfoWars.com.
[00:55:02.728 --> 00:55:18.074]   Send them InfoWars.com forward slash show and please also remember Like the widow's mite story in the Bible of where, you know, they gave the old man the little bit of grain, a little bit of oil they had each day.
[00:55:18.495 --> 00:55:19.635]  You know, they were going to starve to death.
[00:55:19.675 --> 00:55:20.475]  God told them to do it.
[00:55:20.795 --> 00:55:24.337]  And then every morning the oil and the meal was replenished.
[00:55:24.817 --> 00:55:34.100]  Well, I took basically most of the extra money we had when nobody was going to put the money up for the Tuesday event and for the Wednesday event that the president now has announced he's speaking at.
[00:55:35.250 --> 00:55:37.051]  For this big march, no one was putting the money forward.
[00:55:37.131 --> 00:55:40.593]  I put it forward, the base money, hundreds of thousands of dollars.
[00:55:41.253 --> 00:55:51.739]  And then a big donor came along and didn't even know that we'd done this and wanted to support it and heard that I was involved heavily with it and gave us the money that we had already spent.
[00:55:52.020 --> 00:55:56.622]  In fact, offered me the exact amount, not even knowing that I'd already put in.
[00:55:56.682 --> 00:56:02.862]   And then the lady put in hundreds like $300,000 more. Okay. So when the Trump has a
[00:56:02.862 --> 00:56:07.652]   big event or a speech, people have to pay for that. That's done by donors or by the campaign.
[00:56:07.652 --> 00:56:13.102]   So that's where your money's going to build this infrastructure of satellite uplinks and all
[00:56:13.102 --> 00:56:16.998]   the servers and all the encoders and the We're trying to hire more crew.
[00:56:17.238 --> 00:56:19.698]  So this crew would end up be up there seven days a week, although they do a great job.
[00:56:20.139 --> 00:56:21.819]  So go to infowarrestore.com.
[00:56:21.859 --> 00:56:25.360]  Don't procrastinate and get all the great products that are back in.
[00:56:25.420 --> 00:56:28.701]  Super Melon Vitality X2 back in 50% off.
[00:56:29.341 --> 00:56:34.202]  Pollen Block been sold out for eight months because of the lockdown and chain reaction supply chain.
[00:56:34.282 --> 00:56:37.763]  We couldn't have it for your seasonal discomfort and allergies.
[00:56:37.823 --> 00:56:38.544]  It's back in stock.
[00:56:39.284 --> 00:56:45.827]   Also, Living Defense, that parasite cleanse, and what it does is a next-level probiotic with the right reviews.
[00:56:45.887 --> 00:56:47.068]  It's discounted massively.
[00:56:47.728 --> 00:56:49.869]  And Winter Sun to fight for your immune system.
[00:56:49.909 --> 00:56:54.332]  Highest quality vitamin D3 and K for your immune system and to boost your body's natural defenses.
[00:56:54.872 --> 00:56:57.654]  InfoWarsStore.com or 888-253-3139.
[00:56:57.494 --> 00:57:02.094]  Or 888-253-3139.
[00:57:02.094 --> 00:57:07.294]  Again that's 888-253-3139.
[00:57:07.294 --> 00:57:08.814]  Infowarsstore.com.
[00:57:08.814 --> 00:57:17.200]  And when you sign up for AutoShip, you get an additional 10% off on the next order on things like the Wake of America coffee that's super good, that you're going to want to reorder every month, every two months, every three months.
[00:57:17.520 --> 00:57:18.440]  You pick, it's free.
[00:57:18.661 --> 00:57:19.141]  Just click it.
[00:57:19.421 --> 00:57:22.823]  Then when it reorders on your card, get additional 10% off.
[00:57:22.863 --> 00:57:23.984]  Cancel any time for free.
[00:57:24.485 --> 00:57:25.165]  So many other deals.
[00:57:25.185 --> 00:57:28.167]  We've got Patriot Points, where you get 5% off on your next order.
[00:57:28.187 --> 00:57:29.088]  That builds up in an account.
[00:57:29.448 --> 00:57:31.249]  So you're the folks that kept us on air.
[00:57:31.689 --> 00:57:35.672]  And now with all the world government out in the open, it's more precious than ever to keep us on air.
[00:57:35.712 --> 00:57:36.613]  So please do it.
[00:57:37.493 --> 00:57:39.254]  Uh, the enemy's coming after us in so many ways.
[00:57:39.274 --> 00:57:49.740]  We're trying to build some auxiliary systems and got some other aces in the sleeve and in the hole, but we need the seed money to keep doing this and to fight 110% full out.
[00:57:50.120 --> 00:57:52.061]  I don't want to pull back on the accelerator.
[00:57:52.081 --> 00:57:59.645]  I want to be balls on the walls to use that old aviator term of just pushing the stick all the way into the control panel and hair on fire.
[00:57:59.985 --> 00:58:02.547]  And we're just trusting in you, even though our tank is on about 10%.
[00:58:03.547 --> 00:58:05.388]  It'd be good to have more fuel in there, but it doesn't matter.
[00:58:05.748 --> 00:58:16.552]  I pushed the tank to 2%, and then the money came back in magically because of God, because God is in command, and the Lord works in mysterious ways, and the creator of the universe oversees these battlefields of the mind.
[00:58:17.048 --> 00:58:18.789]  All right, so infowarestore.com.
[00:58:18.809 --> 00:58:20.010]  I want to salute the crew.
[00:58:20.070 --> 00:58:20.791]  Incredible job.
[00:58:20.831 --> 00:58:23.573]  I'll be back live, Lord willing, 4 to 6 p.m.
[00:58:23.613 --> 00:58:29.758]  with the regular Sunday show, and then Owen will host the new Sunday live 6 to 8 p.m.
[00:58:29.978 --> 00:58:30.539]  as well.
[00:58:31.279 --> 00:58:40.993]   I'm going to leave you with a short little video dealing with the events coming up in General Flynn's going to be speaking in DC at multiple events.
[00:58:40.833 --> 00:58:43.751]  loop once we're not on air with the same transmission.
[00:58:43.751 --> 00:58:45.353]  So be sure and share it.
[00:58:45.353 --> 00:58:48.313]  God bless and good luck and I'll see you in DC.
[00:58:48.313 --> 00:58:51.793]   General Flynn's going to be speaking in DC at multiple events.
[00:58:51.793 --> 00:58:57.153]   Roger Stone spent some substantial time with Trump in Florida just a few days ago.
[00:58:57.153 --> 00:59:02.273]   And I'm told big things are afoot and that Trump's got major action up his sleeve.
[00:59:02.319 --> 00:59:04.920]  Thank God he's not giving into this tyranny.
[00:59:05.220 --> 00:59:11.283]  Thank God he's not acquiescing and going along with the gaslighting and the fraud and the lie.
[00:59:11.503 --> 00:59:18.526]  There's no evidence of election scams because we have absolutely massive evidence and the president must not concede.
[00:59:18.806 --> 00:59:25.529]  He must never concede because Joe Biden tried to steal this election, got caught doing it, and is a communist Chinese agent.
[00:59:25.589 --> 00:59:28.110]  A few weeks ago, Trump tweeted, be there on January 6th.
[00:59:28.250 --> 00:59:34.214]  So as of today, January 1st, 2021, coming up about five and a half days, Trump is speaking at that event.
[00:59:34.554 --> 00:59:38.936]  This is so incredibly important that we have not just 100,000, not just 500,000 like the 1st of March.
[00:59:40.857 --> 00:59:59.467]  But over a million, 2 million, 3 million people to really show Joe Biden, the Democrats, the gaslighting media that say there's no evidence of fraud, when there's mountains of it, that we know the truth and we don't accept China Joe and China Mitch and the Republican Democrat establishment that sold this country out to Communist China.
