# Transcription model: nvidia/canary-1b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 8db85116eb05465e0d7250a7e9d9f2cf
[00:00:15.359 --> 00:00:19.298]  The Alex Jones Network is tomorrow's news today.
[01:37:45.840 --> 01:37:57.040]  This was an incredibly rich country, rich soil, gold, silver, diamonds, emeralds, the most oil per square foot anywhere in the world, incredible culture, all flushed down the toilet.
[01:37:58.080 --> 01:38:00.640]  Let's play the clip of this American Venezuelan talking about it.
[01:38:00.720 --> 01:38:04.880]  Then let's show you a mom being woken up at 3 am by her husband with the babies in bed.
[01:38:05.600 --> 01:38:09.920]  Well, I know about that, your kids climbing and bed with you in the middle of the night, their fear in your face and everywhere else.
[01:38:10.320 --> 01:38:22.400]  And mom just gets up and is like, whoa, this is so exciting because of the incredible tyranny they lived under and how they started like Mandami, oh, we're just going to, if you're not renting somebody a house right, we're going to come take it.
[01:38:22.480 --> 01:38:26.000]  Oh, now we're going to take this business, that business and just the hell that it is.
[01:38:26.240 --> 01:38:27.440]  Play those clips back to back.
[01:38:29.680 --> 01:38:29.760]  Okay.
[01:38:30.560 --> 01:38:33.120]  As a Venezuelan American, I got some shit to say.
[01:38:34.240 --> 01:38:40.320]  My family, my parents, my sister, my extended family, all lost everything.
[01:38:41.280 --> 01:38:50.320]  Their work, their savings, their investments gone, wiped out by a narco dictatorship that has held Venezuela in a death grip for over 25 years.
[01:38:51.520 --> 01:38:56.720]  And what happened to my family has happened to millions, and yes, millions.
[01:38:57.920 --> 01:39:03.040]  The Venezuelan exodus is the second largest displacement crisis on Earth after Syria.
[01:39:04.000 --> 01:39:09.440]  This is not just a tragedy, it is one of the great humanitarian disasters of our time.
[01:39:11.120 --> 01:39:12.560]  But the suffering doesn't end there.
[01:39:13.920 --> 01:39:17.200]  This regime has jailed hundreds of political prisoners.
[01:39:18.240 --> 01:39:22.000]  Thousands have been murdered simply for speaking out.
[01:39:23.120 --> 01:39:26.800]  More than a third of the population has fled, one third.
[01:39:28.000 --> 01:39:34.080]  Not for better opportunities or for the American dream, but to survive, to live.
[01:39:35.200 --> 01:39:37.440]  Because staying often means death.
[01:39:38.720 --> 01:39:44.720]  And while the world may see Venezuela as a collapsed state, what it is in reality is an occupied one.
[01:39:45.840 --> 01:39:52.480]  Our territory, our natural resources, and our institutions have been overrun by hostile foreign powers.
[01:39:54.000 --> 01:40:01.200]  Iranian militias, Chinese corporations, Russian intelligence, all exploiting our country with impunity.
[01:40:02.400 --> 01:40:04.560]  Venezuela is no longer just a local country.
[01:40:05.600 --> 01:40:11.280]  It is now a geopolitical threat that endangers the entire Western Hemisphere.
[01:40:12.560 --> 01:40:17.200]  It has become a launch pad for an authoritarian expansion in the Americas.
[01:40:18.800 --> 01:40:24.800]  And in the midst of all this, one woman has dared to lead the charge for freedom.
[01:40:26.000 --> 01:40:28.000]  Maria Corina Machado.
[01:40:29.280 --> 01:40:35.600]  In 2024, against every odd, she led a peaceful democratic uprising that won the election.
[01:40:36.480 --> 01:40:43.920]  Her team smuggled physical voting receipts out of the country, hard proof of victory that the regime tried to bury.
[01:40:45.200 --> 01:40:52.800]  Her courage has lit a fire on hundreds of millions of Venezuelans desperate to believe that change is still possible.
[01:40:55.360 --> 01:41:00.560]  But now some have questioned her decision to dedicate her Nobel Prize to Donald Trump.
[01:41:01.200 --> 01:41:02.960]  Okay, I get that.
[01:41:03.840 --> 01:41:04.720]  But here's the truth.
[01:41:06.640 --> 01:41:10.720]  It was a brilliant strategic move in the global chessboard of politics.
[01:41:11.600 --> 01:41:13.200]  Maria Corina is no fool.
[01:41:14.320 --> 01:41:17.280]  She knows exactly the kind of man Trump is.
[01:41:18.160 --> 01:41:25.360]  She knows how much he campaigned for it loudly and relentlessly to win that very same prize.
[01:41:25.840 --> 01:41:29.920]  She knows how symbolic and personal that recognition is to him.
[01:41:31.280 --> 01:41:39.440]  And precisely because of that, she understood that this gesture might be the thing that keeps his attention focused on Venezuela.
[01:41:41.120 --> 01:41:49.120]  When US presence and pressure in the Caribbean is rising, she didn't dedicate that award to flatter him.
[01:41:50.320 --> 01:41:56.960]  She did it to protect and preserve the one kind of power that could help shift the course of history.
[01:41:58.560 --> 01:42:01.280]  Because for her, this isn't about pride.
[01:42:02.320 --> 01:42:06.000]  It's about freedom.
[01:42:07.360 --> 01:42:08.720]  And let's be very clear.
[01:42:09.680 --> 01:42:13.040]  Maria Corina is not asking for the US to invade Venezuela.
[01:42:14.000 --> 01:42:15.600]  She's not campaigning for war.
[01:42:16.720 --> 01:42:19.040]  Venezuela is already invaded.
[01:42:20.640 --> 01:42:38.080]  It is held hostage by a narco state, overrun by foreign agents and enemies of democracy, Russians, Iranians, Chinese, operating freely, weaponizing our land and resources to expand their influence across Latin America.
[01:42:40.640 --> 01:42:57.440]  What Maria Corina is calling for, what millions of Venezuelans are praying for, is the support of the only military on Earth capable of countering that threat and helping to free our people.
[01:42:58.960 --> 01:43:00.400]  This is not imperialism.
[01:43:00.880 --> 01:43:01.680]  This is liberation.
[01:43:02.960 --> 01:43:04.960]  She's not playing partisan games.
[01:43:05.440 --> 01:43:08.320]  She's playing for Venezuela's life.
[01:43:10.000 --> 01:43:11.440]  Because this isn't theoretical.
[01:43:11.760 --> 01:43:12.960]  This isn't academic.
[01:43:14.640 --> 01:43:16.560]  This is life or death.
[01:43:18.240 --> 01:43:20.560]  So yes, it is time to honor her bravery.
[01:43:20.800 --> 01:43:28.080]  But more importantly, it is time for the world, especially the free world, to recognize what's at stake.
[01:43:29.520 --> 01:43:35.920]  The fight for Venezuela is a fight for freedom, for democracy, and for the stability of an entire continent.
[01:43:37.600 --> 01:43:46.480]  If we truly care about liberty, human dignity, and peace in the Americas, then Venezuela's fight must matter to all of us.
[01:43:48.720 --> 01:43:51.880]  Que viva Venezuela, que viva Maria Corina Machado.
[01:44:01.838 --> 01:44:13.090]  Undersecretary of State just came out and said for years the global establishment perched and preached appeasement while anarcho-terrorists turned Venezuela into a criminal outpost.
[01:44:13.760 --> 01:44:14.880]  That era of weakness is over.
[01:44:15.040 --> 01:44:17.360]  President Trump just delivered the ultimate justice.
[01:44:17.360 --> 01:44:22.720]  Maduro's in custody, a massive victory for the rule of law, America's strength, the free ride for dictators is finished.
[01:44:24.320 --> 01:44:27.520]  I can show you these Venezuelans celebrating here, but I just want to say this.
[01:44:30.880 --> 01:44:31.760]  That's what communists do.
[01:44:32.160 --> 01:44:35.600]  They take over a country, they use it, they exploit it to attack the next country, project to power.
[01:44:37.200 --> 01:44:46.000]  And our government's been involved since the 30s supporting this in many ways and then opposing communism on another level.
[01:44:46.480 --> 01:44:48.720]  This is straightforward action.
[01:44:48.960 --> 01:44:50.000]  This is real policy.
[01:44:51.200 --> 01:44:53.520]  And this has been an incredible success so far.
[01:44:54.640 --> 01:44:57.559]  We need to see more of this domestically, the same energy.
[01:44:57.680 --> 01:45:10.110]  And I don't mean helicopters raiding Democrats and giving them, you know, rides like, you know, like you've seen happen in Latin America with Pinochet.
[01:45:10.920 --> 01:45:16.819]  I'm talking about getting rid of the filibuster the Democrats say they're going to get rid of and pack the Supreme Court and do everything else.
[01:45:17.360 --> 01:45:21.280]  They're going to make the move if they're able to get the Senate.
[01:45:25.440 --> 01:45:37.520]  If Trump gets rid of the filibuster, which he wants to do, and two of the others have been blocking it, We can go in and not pack the Supreme Courourt do things like that, but pass all the laws and regulations we want to really dismantle the deep state and the globalists.
[01:45:39.200 --> 01:45:46.800]  So now is the time to have that same energy you see from Trump, where you got a military that will do what he says domestically through the Justice Department.
[01:45:46.960 --> 01:45:51.280]  That's why the people at the top, we know we're bad, need to be replaced and replaced yesterday.
[01:45:53.200 --> 01:45:57.120]  And that's why you, the listeners, need to realize that we're winning the battles but not the war yet.
[01:45:57.360 --> 01:46:03.840]  And that's why it's so vital that you don't be demoralized and you understand with Trump, we have a real chance of turning this around.
[01:46:04.080 --> 01:46:06.560]  The Globalists are in full retreat right now.
[01:46:07.360 --> 01:46:11.760]  So let's press the attack and Kennedy's doing such great work at Tulsa Gabbards, the border, all of it.
[01:46:11.920 --> 01:46:12.480]  It's amazing.
[01:46:12.800 --> 01:46:17.360]  We criticize the bad, we promote the good, but it's night and day, as I say, compared to the Democrats.
[01:46:18.560 --> 01:46:19.680]  But I need your support.
[01:46:20.160 --> 01:46:21.040]  These are great products.
[01:46:21.280 --> 01:46:22.080]  I need the funds.
[01:46:23.360 --> 01:46:24.960]  I've sacrificed everything I've had personally.
[01:46:25.040 --> 01:46:25.840]  It didn't matter to me.
[01:46:25.920 --> 01:46:27.200]  I never had a lot, but it was okay.
[01:46:28.160 --> 01:46:30.800]  But I need the funds to run these operations and the products are amazing.
[01:46:31.120 --> 01:46:35.280]  Go down, get Ultramethylene Blue and you get a free bottle of Atomic Defense.
[01:46:35.520 --> 01:46:37.280]  But just get the Methylene Blue and you'll be hooked.
[01:46:37.360 --> 01:46:37.920]  We got the best.
[01:46:38.000 --> 01:46:38.800]  Trust somebody else's.
[01:46:38.880 --> 01:46:39.600]  It won't be as good.
[01:46:39.760 --> 01:46:40.400]  It's incredible.
[01:46:40.800 --> 01:46:43.360]  Real Alex Jones dot com, real Alex Jones dot com.
[01:46:43.440 --> 01:46:44.560]  I'm counting on you to go there.
[01:46:46.480 --> 01:46:50.800]  Let's play the Venezuelan family middle of the night hearing this happening and coming in telling his wife.
[01:46:51.600 --> 01:46:54.480]  And then I'm going to cut to a piece I did last night as a joke.
[01:46:54.640 --> 01:46:56.960]  And I said it was satire in the video.
[01:46:59.040 --> 01:47:03.840]  Where I play this game of, oh, I got a witness that was at the military base and they saw this meeting happen without evidence.
[01:47:04.080 --> 01:47:04.800]  You can say anything.
[01:47:05.760 --> 01:47:07.280]  It's not an attack on Candace Owens.
[01:47:07.680 --> 01:47:09.040]  I like Candace a lot in the past.
[01:47:09.760 --> 01:47:13.120]  And I've said I believe there's a cover-up in Charlie Kirk's murder and I've exposed it.
[01:47:13.280 --> 01:47:15.440]  You know, Caspell ordered don't look at accomplices.
[01:47:15.840 --> 01:47:17.360]  But I knew Mitch was a fraud.
[01:47:17.440 --> 01:47:18.880]  This Wachuca meeting didn't happen.
[01:47:20.160 --> 01:47:22.240]  And so I called it out and I was proven right again.
[01:47:22.800 --> 01:47:35.520]  But I'm giving you the example of what you can do and just say you saw this, you saw that with no proof and just accuse a bunch of inno innocent people involved in assassinations and then say, oh, you weren't really saying that before and say, F anybody that questions me, you're a Mossad agent.
[01:47:35.680 --> 01:47:38.320]  And then now that she's got heat on her, she's like, hey, everybody be nice.
[01:47:38.400 --> 01:47:39.440]  I'm just asking questions.
[01:47:41.360 --> 01:47:44.560]  Just because the corporate media lies, the Democrats lie, we can't become them.
[01:47:47.200 --> 01:47:50.480]  So I didn't want to get in the middle of this and I'm trying not to talk about it.
[01:47:51.520 --> 01:47:55.280]  But at the same time, we've woken up a lot of people.
[01:47:55.680 --> 01:48:02.560]  A lot of them are newbies and they're being lied to by the corporate media and the government, but they don't understand they can be lied to by independent individuals as well.
[01:48:03.840 --> 01:48:12.800]  I saw it yesterday, shot a report on last night, saw a whole bunch of videos flood the zone going, oh, the Somalis didn't steal the money, $24 billion now in Minnesota.
[01:48:13.440 --> 01:48:21.120]  No, Israel did because Israel just made a deal with Somaliland, some little tiny rebellion group in larger Somalia.
[01:48:21.280 --> 01:48:23.040]  There's a whole bunch of different countries and warlords.
[01:48:23.680 --> 01:48:24.480]  It's a failed state.
[01:48:26.400 --> 01:48:27.520]  And the experts are like.
[01:48:29.760 --> 01:48:34.880]  Nick Shirley only found $110 million that Somalis stole, but there's $9 million missing.
[01:48:35.040 --> 01:48:35.840]  That's the Israelis.
[01:48:37.680 --> 01:48:38.480]  And I saw the comments.
[01:48:38.640 --> 01:48:39.440]  Oh, this is incredible.
[01:48:39.520 --> 01:48:44.560]  Nick Shirley in one day went and showed $110 million individually of the fraud.
[01:48:44.560 --> 01:48:46.160]  If he had months, he could show every place.
[01:48:46.880 --> 01:48:50.400]  90% of the fraud is the Somalis in Minnesota.
[01:48:51.360 --> 01:48:52.720]  It's up to $24 million now.
[01:48:53.280 --> 01:48:57.520]  And it goes up to the Democrats and they ship it to Somali proper that's at war with Somaliland.
[01:48:57.760 --> 01:48:59.920]  But that just shows it's not about a defense of Israel.
[01:49:00.080 --> 01:49:03.440]  It's this weird game where, oh no, the Somalis didn't do anything.
[01:49:03.600 --> 01:49:04.000]  It's Israel.
[01:49:04.240 --> 01:49:05.440]  So it goes into a dead trail.
[01:49:07.280 --> 01:49:13.120]  No, the Somali fraud was set up by Elon Omar and Walls who accelerated it.
[01:49:13.360 --> 01:49:14.240]  It's been going on forever.
[01:49:14.320 --> 01:49:16.400]  We've been exposing forever, but it gets bigger and bigger.
[01:49:17.280 --> 01:49:19.120]  And so again, it goes back to some mental illness.
[01:49:19.280 --> 01:49:30.800]  If I don't believe Mitt Snow, the known con con conman and caught in all the lies about all this stuff, then I'm with Is getting at here.
[01:49:31.360 --> 01:49:41.120]  Meanwhile, Israel's openly calling for censoring Americans and we need to deal with that and say no to that and have Trump stand up to Netanyahu just like he has to carry Starmer and the EU trying to censor us.
[01:49:42.160 --> 01:49:48.160]  I just call like I see it, but we'll play that report as well that I did last night.
[01:49:48.800 --> 01:49:49.360]  It's on X.
[01:49:50.720 --> 01:49:56.960]  But first the Venezuelan family, then my little joke video, satire about Candace Owens, and then my video.
[01:50:00.320 --> 01:50:03.280]  And I shot it last night and I didn't communicate well with Rhys.
[01:50:03.440 --> 01:50:14.880]  He did a good job, but I want him to put bigger clips of these so-called influencers, because the ones the famous Somali, it was a lot of them who says, you little white people, you're my slaves, do my work.
[01:50:15.440 --> 01:50:16.880]  Yeah, I'm stealing your money, bitch.
[01:50:16.880 --> 01:50:19.040]  Now he's like, no, it's not us, it's Israel.
[01:50:19.280 --> 01:50:20.240]  I mean, it's hilarious.
[01:50:20.480 --> 01:50:23.200]  There's a little clip of him in there, but man, the wider clips are insane.
[01:50:23.360 --> 01:50:25.440]  And these other influencers know exactly what they're doing.
[01:50:26.480 --> 01:50:28.400]  Oh, the Somalis only stole 110 million.
[01:50:28.720 --> 01:50:30.160]  No, they stole 24 billion.
[01:50:30.560 --> 01:50:31.840]  They're 90 percent of the fraud.
[01:50:32.160 --> 01:50:39.840]  Nick Shirley in one day went and showed location after location of 110 million of that just as a case point example.
[01:50:41.760 --> 01:50:42.960]  So just crazy.
[01:50:43.120 --> 01:50:46.560]  Now people use Israel as a diversion from what they've done.
[01:50:47.040 --> 01:50:52.240]  I cover communist China being heavily involved in our politics and while the Democrats are on the payroll every time I post it.
[01:50:52.400 --> 01:50:53.360]  Why are you covering for Israel?
[01:50:53.920 --> 01:50:55.360]  That is a mental illness, folks.
[01:50:56.080 --> 01:50:58.560]  You could cover Israel and its corruption all day and that's good.
[01:50:58.640 --> 01:51:00.000]  And it's manipulating our politics.
[01:51:00.160 --> 01:51:00.400]  We should.
[01:51:00.720 --> 01:51:03.280]  But you have to be aware of other things that are going on as well.
[01:51:04.880 --> 01:51:09.360]  Like I could not support Israel what they're doing in Gaza and also not support the Muslim Brotherhood.
[01:51:10.240 --> 01:51:15.680]  Just like I could support if I go to a restaurant and they say on the menu is cat shit or dog shit.
[01:51:15.840 --> 01:51:17.840]  And I'm like, I don't want to eat cat shit or dog shit.
[01:51:17.920 --> 01:51:19.840]  And you're like, well, wait a minute, you gotta eat one or the other.
[01:51:20.080 --> 01:51:21.520]  No, I don't want to eat either one.
[01:51:22.480 --> 01:51:24.160]  Do I want to take cyanide or arsenic?
[01:51:24.480 --> 01:51:24.880]  Neither one.
[01:51:25.760 --> 01:51:26.320]  See what I mean?
[01:51:27.600 --> 01:51:30.000]  And I should be so logical to a lot of you.
[01:51:30.400 --> 01:51:35.280]  I know a lot of those people are just bots, but I've just really wanted to try to get some sanity in there because it's so important.
[01:51:35.600 --> 01:51:39.440]  And I'll be back, Lord Willing, from the M4 Studios tomorrow night, 4 p.m. Central.
[01:51:40.400 --> 01:51:45.840]  And we'll cover all the latest developments and all the other big news and issues, but I really focus mainly today on this as well because this is a historic situation.
[01:51:46.080 --> 01:51:50.160]  There'll be so much more I'll be covering throughout the day with special reports and then obviously tomorrow.
[01:51:50.480 --> 01:51:51.440]  But just God bless you all.
[01:51:51.600 --> 01:51:53.360]  God bless our military being back under our control.
[01:51:53.920 --> 01:51:56.000]  And this is a big deal with Trump and a big success.
[01:51:56.560 --> 01:51:56.640]  So.
[01:51:56.720 --> 01:51:59.760]  So just to thank God it was so successful, just simply amazing.
[01:52:00.640 --> 01:52:03.920]  So here's those reports back to back, but please remember the crew is funded by you.
[01:52:04.080 --> 01:52:04.800]  They do a great job.
[01:52:05.360 --> 01:52:06.720]  We can't run this operation without you.
[01:52:06.880 --> 01:52:08.480]  You built this operation, so I salute you.
[01:52:08.640 --> 01:52:11.040]  grillogshows.com, an amazing shopping cart.
[01:52:11.280 --> 01:52:12.160]  Please get a t-shirt.
[01:52:12.320 --> 01:52:13.680]  Please get some of the great supplements.
[01:52:13.840 --> 01:52:14.640]  Please take action now.
[01:52:14.800 --> 01:52:17.760]  We have a great sale that's about to end right there at grillogshows.com.
[01:52:19.378 --> 01:52:20.319]  I'm sorry.
[01:52:21.079 --> 01:52:21.560]  Flaca.
[01:52:24.750 --> 01:52:26.050]  They grabbed a Maduro.
[01:52:26.210 --> 01:52:27.829]  No, no me digas.
[01:52:27.929 --> 01:52:28.050]  No.
[01:52:29.710 --> 01:52:31.149]  No, no me digas.
[01:52:31.329 --> 01:52:31.509]  No.
[01:52:31.609 --> 01:52:32.229]  What have you said, Flaca?
[01:52:37.260 --> 01:52:40.010]  A ver, a ver, a ver.
[01:52:40.448 --> 01:52:41.069]  A ver.
[01:52:41.729 --> 01:52:47.328]  What is this?
[01:52:55.710 --> 01:52:56.609]  What have you done?
[01:52:56.828 --> 01:52:57.729]  I'm trembling.
[01:52:59.649 --> 01:53:00.130]  Ah, coño.
[01:53:01.429 --> 01:53:03.649]  Te digo bye-bye.
[01:53:07.239 --> 01:53:16.969]  Ladies and gentlemen, it is now being reported by the mainstream corporate media that Erica Kirk is pregnant and that she's been hiding this fact.
[01:53:18.880 --> 01:53:25.600]  And the word is, according to a source I had, That was in North Dakota at a military base.
[01:53:25.760 --> 01:53:27.040]  She just walked in the secure skin.
[01:53:27.040 --> 01:53:56.960]  to the security skiff that was 15 colonels and also the people of DPSA they're having a big meeting about how Candace Owens is really a man and that's why there's such a fight between him and Erica Kirk is because five months ago before Charlie got killed Candace also known as Big Mike Jr. got Erica Kirk pregnant and Charlie found out about it And that's why the two of them got together.
[01:53:57.360 --> 01:54:05.840]  and conspired at the fort in North Dakota and also Fort Pachuca to assassinate Charlie to cover this up.
[01:54:06.320 --> 01:54:08.160]  But now the two are in a major fight with each other.
[01:54:08.560 --> 01:54:14.400]  And again, if you question me, you're trying to cover up the fact that obviously Charlie was killed and there was those accessories.
[01:54:14.960 --> 01:54:16.400]  You're hiding the investigation.
[01:54:17.760 --> 01:54:18.720]  You cannot question this.
[01:54:19.280 --> 01:54:22.640]  My source is named Mitch Bumbleberry.
[01:54:24.000 --> 01:54:27.280]  And you just can't question him, but we're going to put a gift to go for him.
[01:54:27.440 --> 01:54:30.800]  We can raise a few hundred thousand dollars just now.
[01:54:31.680 --> 01:54:35.360]  So I'll put the article up from mainstream media saying she's pregnant.
[01:54:35.920 --> 01:54:51.120]  So off that piece of information, you must connect the dots now and say that Candace Owens is a man, Big Mike junior, Anaconas for Arms, one of the pants, and had a secret relationship with Erica Kirk, and that it is Charles Owens.
[01:54:51.360 --> 01:54:52.240]  That's his real name.
[01:54:53.600 --> 01:54:54.640]  Charles P. Owens.
[01:54:54.640 --> 01:54:57.760]  Charles P. Boddy Owens is the real name.
[01:54:59.120 --> 01:55:01.120]  And that Candace is an Israeli man.
[01:55:01.440 --> 01:55:01.520]  Okay?
[01:55:02.320 --> 01:55:02.960]  So there it is.
[01:55:03.040 --> 01:55:04.720]  Do not question me or you work for Israel.
[01:55:05.600 --> 01:55:08.080]  Do not question me or you're a Mossad operative.
[01:55:09.440 --> 01:55:10.240]  Do you understand that?
[01:55:12.000 --> 01:55:12.160]  Good.
[01:55:13.360 --> 01:55:15.280]  Now, actually, this is called satire, folks.
[01:55:16.400 --> 01:55:17.280]  But that's how this works.
[01:55:17.360 --> 01:55:18.640]  I can just make up whatever I want, right?
[01:55:18.800 --> 01:55:19.280]  Couldn't I?
[01:55:19.520 --> 01:55:21.040]  They are saying, ooh, she's got a baby bump.
[01:55:21.200 --> 01:55:22.000]  Ooh, she's pregnant.
[01:55:22.080 --> 01:55:22.960]  Ooh, who baby is it?
[01:55:23.120 --> 01:55:29.760]  She's got splaying to do the corporate media like she's done something wrong if she did, as if she didn't already have two babies with Charlie.
[01:55:30.160 --> 01:55:31.920]  By the way, she did have that glow going on.
[01:55:32.240 --> 01:55:33.680]  I haven't said what I saw on tv.
[01:55:34.000 --> 01:55:35.120]  I said i've seen her before.
[01:55:35.680 --> 01:55:36.480]  She always looked great.
[01:55:36.560 --> 01:55:37.760]  But god damn, she's glowing.
[01:55:37.920 --> 01:55:38.720]  That woman's glowing.
[01:55:39.040 --> 01:55:40.400]  People are like she should be mourning more.
[01:55:40.560 --> 01:55:43.360]  Why's she glowing, got that pregnant glow going on.
[01:55:43.600 --> 01:55:54.960]  So congratulations uh, Erica Kirk, and we're sorry you've gone through all this, and TPA stronger than Tpusa, stronger than ever, and just god bless you all and I think it's totallyally fine.
[01:55:56.320 --> 01:55:57.840]  The big mind cheaters live a double life.
[01:55:57.920 --> 01:55:58.800]  Okay, I'm joking around.
[01:55:58.960 --> 01:55:59.680]  For how about that?
[01:55:59.920 --> 01:56:00.960]  Can't help it, sorry.
[01:56:03.920 --> 01:56:06.160]  You work all fucking day, you don't got shit.
[01:56:06.560 --> 01:56:09.040]  Thank you for working so hard so I can be home all day.
[01:56:09.520 --> 01:56:10.560]  I can use my EVT.
[01:56:11.040 --> 01:56:13.200]  Go to work for me, white boy, white girl.
[01:56:13.600 --> 01:56:15.680]  Go to work for me, you fucking white animals.
[01:56:17.840 --> 01:56:18.480]  This is so sad.
[01:56:18.960 --> 01:56:23.360]  Somalis in the United States are taking the blame for this massive cover-up.
[01:56:23.600 --> 01:56:25.760]  I've been digging deep and I pieced it together.
[01:56:26.320 --> 01:56:28.720]  It's not the Somalian people pulling off the fraud.
[01:56:29.040 --> 01:56:38.480]  No, it's the United States government who rigged the whole thing to funnel billions of dollars to what Israel just recognized as Somaliland.
[01:56:38.720 --> 01:56:44.400]  This is huge because Israel needs a spot to deport the Palestinians and someone gotta foot the bill.
[01:56:45.040 --> 01:56:53.840]  Turns out one of the most viral stories of 2025 about the Somali daycare fraud in Minnesota ends up being a complete syoph.
[01:56:53.920 --> 01:57:05.680]  Because evidently, Israeli reporters are now asserting that Mossad and Israeli intelligence, not U.S. authorities, were responsible for exposing the Somalian-ran Minnesota fraud operations.
[01:57:05.680 --> 01:57:15.670]  Did you know that Nick Shirley is an Israeli operative?
[01:57:17.040 --> 01:57:26.880]  Did you know? that the Somalis now stealing $24 billion, that's how high it's gone, in Minnesota alone was all because of the Israelis.
[01:57:27.680 --> 01:57:31.360]  That's right, it's Friday evening, about six o'clock or so.
[01:57:31.520 --> 01:57:38.480]  I'm about to go home and suddenly flooding my email, flooding X, flooding everything else are hundreds of videos.
[01:57:39.520 --> 01:57:46.720]  I just watched five or six of them all saying the same thing, including prominent American Somalis that are like, bitch, you're my slave.
[01:57:47.120 --> 01:57:47.680]  I own you.
[01:57:47.920 --> 01:57:48.960]  We're stealing all the money.
[01:57:49.840 --> 01:57:53.840]  Gabby's back and he's like, No, I'm sorry.
[01:57:54.960 --> 01:57:58.800]  Israel runs the scams in Minnesota and they stole all the money.
[01:57:59.280 --> 01:58:00.160]  We're not involved.
[01:58:00.640 --> 01:58:06.400]  But first, I want to show you just another one of the influencers saying, look at this side-up Nick Shirley.
[01:58:06.800 --> 01:58:08.160]  No evidence he's an Israeli.
[01:58:09.280 --> 01:58:11.840]  He only found $110 million of fraud.
[01:58:12.400 --> 01:58:14.080]  Why, there's billions and billions and billions.
[01:58:14.240 --> 01:58:15.520]  He uses the old number of 9 billion.
[01:58:15.600 --> 01:58:16.400]  That was a few weeks ago.
[01:58:16.479 --> 01:58:29.760]  24 billion now he goes but must be the other 9 billion went to israel no So Nick Shirley with his local guide in one day went and showed $110 million of fraud at the 15 plus facilities they visited.
[01:58:30.320 --> 01:58:32.640]  The daycares, the home health cares, all the rest of it.
[01:58:33.200 --> 01:58:39.040]  So again, these people are writing these stops, they're being given these stops, you can tell, because it's all the same script.
[01:58:39.840 --> 01:58:43.920]  No, if Nick Shirley had months to go all over Minnesota, he'd show the $24 billion.
[01:58:44.400 --> 01:58:52.160]  And now all these other citizen journalists around the country are going out and showing it in their towns and their cities, not just with Somalis, but other Democrat Party front-rich.
[01:58:53.120 --> 01:59:00.800]  So I famously made a song eight years ago about we love our Somalis, we love our Muslims too, about the fraud and about the crime.
[01:59:01.600 --> 01:59:03.040]  That was the Israelis then too.
[01:59:04.080 --> 01:59:11.360]  And then they used this thing about, oh, look, Somaliland in Somalia just did a treaty with Israel.
[01:59:12.480 --> 01:59:21.760]  And so the money stolen is going to Somaliland out of what's stolen in Somalia.
[01:59:22.320 --> 01:59:26.480]  The small territory in the Horn of Africa that broke off from Somalia in 1991.
[01:59:26.720 --> 01:59:28.400]  But why does Somaliland even matter?
[01:59:28.720 --> 01:59:31.920]  It is located in the Gulf of Aden, one of the world's most important shipping routes.
[01:59:32.080 --> 01:59:33.680]  There is also a Gaza related angle.
[01:59:33.840 --> 01:59:40.720]  Earlier this year, it was reported that the US and Israel have explored Somaliland as a potential destination for displaced Palestinians from Gaza.
[01:59:41.040 --> 01:59:46.320]  And bingo, that is why we've been hearing so much about Somali fraud in Minnesota.
[01:59:46.720 --> 01:59:54.560]  Because it had already been reported weeks before by the US attorney that fraud in Minnesota exceeded $9 billion.
[01:59:55.840 --> 01:59:59.280]  $9 billion, that's a whole lot of fraud compared to what was it?
[01:59:59.440 --> 02:00:02.960]  Nick Shirley talked about $110 million, $9 billion.
[02:00:03.440 --> 02:00:09.600]  We're talking about a small fraction, but focusing specifically on the Somali community.
[02:00:10.240 --> 02:00:10.800]  Here's the problem.
[02:00:11.760 --> 02:00:16.640]  Ilhan Omar represents the main group in Mogadishu.
[02:00:17.680 --> 02:00:19.120]  Somaliland's way over here.
[02:00:20.400 --> 02:00:21.360]  Mogadishu's over here.
[02:00:21.440 --> 02:00:23.600]  There's a whole bunch. of little sub-countries.
[02:00:23.840 --> 02:00:24.720]  It's a failed state.
[02:00:25.920 --> 02:00:35.040]  And so when you see her up giving speeches and talking about all the billions that were sent back, that's going to the larger central government that's at war with Somaliland.
[02:00:35.840 --> 02:00:42.720]  And yeah, Israel does want a base there on the Mediterranean with these Yahoos and all the rest of it.
[02:00:43.440 --> 02:00:56.960]  But the idea that the ongoing infighting in the Middle East has something to do with the Somalis over here, with Tim Walz, the Democrats, knowingly signing up for all this and accelerating all this fraud is preposterous.
[02:00:57.760 --> 02:00:58.640]  They milk the homeless.
[02:00:58.800 --> 02:00:59.920]  They milk the illegal aliens.
[02:01:00.080 --> 02:01:01.360]  They milk all these groups that come in.
[02:01:01.680 --> 02:01:03.520]  The Somalians are very homogeneous.
[02:01:04.240 --> 02:01:10.240]  They're a dominant tribe of the Somalis, the particular dominant tribe from the East Coast.
[02:01:10.960 --> 02:01:14.320]  And so most of the Somalis that are here are actually from that tribe.
[02:01:14.720 --> 02:01:15.840]  There's a whole bunch of tribes.
[02:01:16.160 --> 02:01:17.760]  I've actually gone and studied all this.
