[00:00:19.724 --> 00:00:21.445]  It's Wednesday, October 14th.
[00:53:40.429 --> 00:53:43.591]  In 1999, you voted for the very bill that made banks bigger.
[00:53:44.967 --> 00:53:46.568]  The Glass-Steagall was my very first vote.
[00:53:46.608 --> 00:53:47.189]  I just arrived.
[00:53:47.229 --> 00:53:48.390]  My dad had died in office.
[00:53:48.410 --> 00:53:49.430]  I was appointed to the office.
[00:53:49.450 --> 00:53:50.311]  It was my very first vote.
[00:53:50.331 --> 00:53:51.792]  Are you saying you didn't know what you were voting for?
[00:53:51.872 --> 00:53:53.113]  I just arrived the Senate.
[00:53:53.173 --> 00:53:55.675]  Oh, you didn't know what you were voting for?
[00:53:55.695 --> 00:53:57.096]  None of them read the bills.
[00:53:57.136 --> 00:53:59.277]  They've had to pass them to find out what's in it.
[00:53:59.297 --> 00:54:01.719]  Dude, I was drunk at the time I voted for that bill.
[00:54:01.779 --> 00:54:04.561]  My dad had just died and I didn't know what I was doing.
[00:54:04.641 --> 00:54:06.082]  There's a cockroach on the ground.
[00:54:08.484 --> 00:54:09.244]  We're good, we got it.
[00:54:09.404 --> 00:54:09.664]  Hard choices.
[00:54:09.684 --> 00:54:10.165]  There's the cockroach.
[00:54:10.225 --> 00:54:11.345]  It's still there, it's still alive.
[00:54:11.365 --> 00:54:12.085]  That's not a hard choice.
[00:54:31.312 --> 00:54:33.333]  That's sexist.
[00:54:33.913 --> 00:54:36.454]  That was pretty sexist.
[00:54:36.474 --> 00:54:40.915]  I gotta say that Lincoln Chaffee is one of the weakest presidential candidates I've ever seen in my life.
[00:54:41.015 --> 00:54:42.235]  It's really pathetic.
[00:54:42.295 --> 00:54:43.196]  I know, he had less than 1%.
[00:54:43.256 --> 00:54:45.296]  I guess they just had to make it a little bit more exciting.
[00:54:55.647 --> 00:54:57.368]  I don't know.
[00:54:57.448 --> 00:54:59.089]  I think it's to make Hillary look good.
[00:54:59.189 --> 00:55:08.633]  If you're going to talk about criminal justice reform, why don't you talk about making the government obey our due process.
[00:55:08.933 --> 00:55:15.416]  And that's not just the drug war, that's all the regulatory agencies who ignore our presumption of innocence.
[00:55:15.436 --> 00:55:20.979]  Well, Hillary said we need to listen to Obama's UN agenda on policing.
[00:55:20.999 --> 00:55:21.399]  Yeah, yeah.
[00:55:23.607 --> 00:55:24.628]  That's what we're going to get.
[00:55:24.648 --> 00:55:25.108]  It's getting hard.
[00:55:25.128 --> 00:55:26.329]  We've got bigger bubbles now.
[00:55:26.349 --> 00:55:27.370]  We're ready for more bubbles.
[00:55:27.450 --> 00:55:28.411]  You got the accent, Rob.
[00:55:28.431 --> 00:55:29.932]  That was actually Bernie Sanders.
[00:55:52.409 --> 00:55:53.309]  Yeah, that'll solve everything.
[00:55:53.369 --> 00:55:54.630]  Hey, why stop at $15?
[00:55:54.710 --> 00:55:55.590]  I want to be really rich.
[00:55:55.950 --> 00:55:57.771]  Let's make it $50 an hour.
[00:55:57.871 --> 00:55:58.871]  Then we'll all be rich.
[00:55:59.211 --> 00:56:02.192]  I hate this whole argument of raising minimum wage.
[00:56:02.252 --> 00:56:05.453]  What an idiot.
[00:56:05.673 --> 00:56:09.534]  See, the thing is, Republicans won't fight against it.
[00:56:09.614 --> 00:56:11.395]  They'll just say, no, no, don't go that high.
[00:56:11.415 --> 00:56:15.456]  And it's like, hey, just have the Federal Reserve print more money and we'll all be wealthy.
[00:56:15.976 --> 00:56:20.663]  That's the naivete of the American public and they can get away with that time and time again.
[00:56:20.943 --> 00:56:26.191]  You don't make yourself rich by printing pieces of paper and giving everybody a raise.
[00:56:26.391 --> 00:56:29.255]  It's just, everybody has to pay more for everything else.
[00:56:29.335 --> 00:56:30.216]  It's just that simple.
[00:56:30.497 --> 00:56:31.899]  We've been down this road before.
[00:56:32.599 --> 00:56:35.363]  Why should the government be telling us how much we can pay each other?
[00:56:35.403 --> 00:56:37.625]  That ought to be something that's decided voluntarily.
[00:56:37.645 --> 00:56:49.759]  And of course, if we didn't have a few corporations that had control, absolute control of the government in terms of regulations and everything else, establishing barriers for competition, then we would have a free market.
[00:56:49.819 --> 00:56:51.120]  That's what we don't have here.
[00:56:51.140 --> 00:56:53.543]  We haven't tried a free market in this country for a long time.
[00:56:53.663 --> 00:56:54.883]  It hasn't been this bad since the 1990s.
[00:56:54.983 --> 00:56:56.424]  These are about hard choices.
[00:56:56.444 --> 00:56:57.424]  Hard choices.
[00:56:57.444 --> 00:56:58.884]  These are about hard choices.
[00:56:58.984 --> 00:57:01.165]  So that something like Benghazi wouldn't happen again.
[00:57:01.625 --> 00:57:05.586]  There were already seven committee reports about what to do.
[00:57:05.906 --> 00:57:10.507]  So I think it's pretty clear what their obvious goal is.
[00:57:10.547 --> 00:57:11.468]  But I'll be there.
[00:57:11.608 --> 00:57:12.668]  I'll answer their questions.
[00:57:12.688 --> 00:57:14.128]  Well, you know, people have gone to jail.
[00:57:14.168 --> 00:57:15.289]  People have been fired.
[00:57:15.329 --> 00:57:16.989]  There are all kinds of consequences.
[00:57:17.029 --> 00:57:18.909]  Far less than she did with secure emails.
[00:57:18.949 --> 00:57:20.470]  But of course, she gets a pass.
[00:57:21.110 --> 00:57:22.813]  Let's not worry about all the times I've lied.
[00:57:22.934 --> 00:57:25.118]  Let's get down to the fact that I need to be in the White House.
[00:57:25.218 --> 00:57:29.426]  Let's not worry about how I skirted the law and funneled money into my slush fund.
[00:57:31.634 --> 00:57:32.735]  This is not a hard choice.
[00:58:01.735 --> 00:58:05.549]  These two keep setting each other up and then the other one knocks it out of the park.
[00:58:07.469 --> 00:58:24.565]  That's going to wrap it up for tonight's edition of InfoWars Nightly News and remember if you're watching this on YouTube subscribe to PrisonPlanet.TV where you get a whole bunch more exclusive content and of course you support this broadcast at PrisonPlanet.TV.
[00:58:25.185 --> 00:58:27.287]  I've been your host Paul Joseph Watson.
[00:58:27.548 --> 00:58:32.132]  Be sure to tune in tomorrow night 7pm for the InfoWars Nightly News.
[00:58:48.809 --> 00:58:49.970]  Knockout is back.
[00:58:50.310 --> 00:59:01.414]  If you want a product that has 10 known ingredients that naturally get your body to relax, your brain to relax, so you get deep restful sleep, Knockout's it.
[00:59:01.815 --> 00:59:03.515]  Infowarslife.com.
[00:59:04.015 --> 00:59:13.139]  L-theanine, hops flower extract, lemon balm extract, valerian root extract, chamomile flower extract, L-tryptophan extract, melatonin, and more.
[00:59:13.539 --> 00:59:15.320]  All organic, all the natural sources.
[00:59:15.880 --> 00:59:16.741]  It's the same price
[00:59:17.481 --> 00:59:23.364]  As leading brands of melatonin that are three milligrams a piece, it has three milligram, the standard recommended dose for an adult.
[00:59:23.904 --> 00:59:30.148]  It's got the GABA, so it would probably cost $50 to take all this as separate pills.
[00:59:30.648 --> 00:59:30.768]  It's $19.95.
[00:59:31.488 --> 00:59:33.830]  You take one or two of these,
[00:59:34.930 --> 00:59:38.213]  And it just is really clean restful sleep is what the reviews are.
[00:59:38.554 --> 00:59:42.477]  It's what I've experienced and it just synergistically puts everything in there.
[00:59:42.758 --> 00:59:43.719]  Infowarslife.com.
[00:59:43.779 --> 00:59:47.262]  That's Infowarslife.com or call 888-253-3139.
[00:59:48.703 --> 00:59:52.627]  You are watching the Infowars Nightly News which airs 7 p.m.
[00:59:52.667 --> 00:59:58.733]  Central at Infowarsnews.com and your support is helping us defend liberty worldwide.
