[00:00:19.884 --> 00:00:22.129]  It's September 23rd, 2015.
[00:52:21.700 --> 00:52:26.224]  I think we've found, by the way, where the wage gap myth comes from.
[00:52:26.244 --> 00:52:26.985]  Going for a job interview.
[00:52:27.045 --> 00:52:27.765]  Oh God, what's that smell?
[00:52:27.865 --> 00:52:28.466]  It's me!
[00:52:28.506 --> 00:52:29.687]  Are you not gonna hire me?
[00:52:29.807 --> 00:52:30.107]  No!
[00:52:30.728 --> 00:52:30.868]  Ow!
[00:52:31.268 --> 00:52:32.889]  You'll be hearing from Gloria Alvarez!
[00:52:33.190 --> 00:52:34.291]  Oh, I guess there's a bunch of excuses.
[00:52:34.351 --> 00:52:41.216]  I'm allergic to deodorant, the chemicals, oh, the pores, the GM... Okay, you can find something, just soap would kill it.
[00:52:41.416 --> 00:52:44.419]  Toss some talcum powder on there and call it a day.
[00:52:44.539 --> 00:52:46.120]  Just, no, call it a start.
[00:52:46.440 --> 00:52:46.741]  Uh, let's...
[00:52:47.261 --> 00:52:49.303]  Let's get to the Grand Rapids Feminist Press.
[00:52:49.323 --> 00:52:51.264]  I'm gonna open it to the very first article.
[00:52:51.384 --> 00:52:51.905]  Okay!
[00:52:52.005 --> 00:52:57.569]  Calling all cis, straight, white feminists, it's time to wake the f*** up.
[00:52:57.749 --> 00:53:00.071]  She used the F-word so you know it's real talk.
[00:53:00.191 --> 00:53:01.672]  I just, I can't, I can't.
[00:53:02.753 --> 00:53:14.402]  I couldn't write a sketch, okay, a video like this, without you here in the YouTube comment section, or Lauderwithcrowd, or wherever you're reading this, accusing me of building up straw men.
[00:53:15.751 --> 00:53:17.092]  I couldn't write it any more absurd.
[00:53:17.392 --> 00:53:22.175]  These women, these feminists, are the absolute weakest among women.
[00:53:22.195 --> 00:53:24.817]  And I say this as someone who's married to a very strong woman.
[00:53:25.717 --> 00:53:28.379]  They can't handle content that might be upsetting.
[00:53:28.419 --> 00:53:29.420]  They need to be warned.
[00:53:29.460 --> 00:53:30.861]  They need to demand legislation.
[00:53:30.901 --> 00:53:32.902]  They need to make up terms like microaggression.
[00:53:32.942 --> 00:53:37.205]  They need to kick people out who ask very polite questions that may possibly disagree with them.
[00:53:39.514 --> 00:53:40.254]  We're not running that.
[00:53:40.475 --> 00:54:03.208]  These women demand that you don't say anything that they don't like, don't show anything that they don't like, don't request that they adhere to those same standards, free abortion anytime, on demand, make sure that you find them attractive and praise them for being fat, lazy, whale-like, and smelly, according to their own words, and then demand that you foot the bill for their healthcare, for their college, for their public welfare.
[00:54:03.228 --> 00:54:06.730]  They're not responsible for their own finances, for their own health,
[00:54:07.551 --> 00:54:09.835]  Or even how they feel about themselves.
[00:54:09.956 --> 00:54:14.725]  You are demanded to not only approve, tolerate, but praise them.
[00:54:15.829 --> 00:54:21.253]  It's cultural Marxism to a T, and here's the reason most men are rejecting it.
[00:54:21.334 --> 00:54:22.795]  Here's something you're forgetting, feminists.
[00:54:23.315 --> 00:54:25.797]  Men don't get to choose our biology either.
[00:54:25.977 --> 00:54:33.063]  If you choose to be fat, smelly, with a pumpkin pie boy haircut, men won't find you attractive.
[00:54:33.223 --> 00:54:36.625]  Come on, give me that bogey, you little pumpkin pie haircutted freak!
[00:54:36.645 --> 00:54:36.986]  Come on!
[00:54:37.856 --> 00:54:49.520]  It's the biggest irony that feminists want to claim female empowerment, yet they are so weak that they demand legislation and cultural censorship in order to protect them.
[00:54:50.280 --> 00:54:53.501]  That's why people have a problem with it.
[00:54:53.541 --> 00:54:55.842]  Top story up on m4wars.com today.
[00:54:56.422 --> 00:55:01.723]  Secretary of State Kerry warns US and Russia may clash in Syria.
[00:55:01.783 --> 00:55:03.324]  This is an article by Kurt Nimmo.
[00:55:03.764 --> 00:55:16.155]  On Wednesday, the US Secretary of State John Kerry said Russian support for the government of Bashar al-Assad and its targeting of the Islamic State in Syria may lead to confrontation between the United States and Russia.
[00:55:16.475 --> 00:55:22.340]  These actions could provoke a further escalation of the conflict and lead to the loss of more innocent lives, Kerry said.
[00:55:22.860 --> 00:55:25.322]  Then a few days ago, we had another article out of the AP.
[00:55:26.343 --> 00:55:36.186]  Where they reported Russia's military backing for the Syrian regime only risks sending more extremists to the war-torn country and could further hamper any efforts at bringing peace.
[00:55:37.046 --> 00:55:38.186]  So let me get this straight.
[00:55:38.246 --> 00:55:40.927]  China's sending ships to help defeat ISIS in Syria.
[00:55:41.247 --> 00:55:43.288]  Russia sent 28 fighter jets.
[00:55:43.668 --> 00:55:45.709]  Russia is sending thousands of troops.
[00:55:45.749 --> 00:55:46.729]  They're sending tanks.
[00:55:47.449 --> 00:55:51.410]  Russia and China are actually trying to defeat ISIS.
[00:55:51.730 --> 00:56:00.692]  They're trying to kill jihadists while Kerry is lecturing Russia and while the US is arming jihadists.
[00:56:01.333 --> 00:56:03.013]  Which leads us on to this RT article.
[00:56:03.533 --> 00:56:09.955]  Headline, US-trained Syrian rebels with weapons end up in hands of Nusra jihadists.
[00:56:10.655 --> 00:56:20.517]  Around 70 US-trained Syrian rebel fighters allegedly surrendered a weapons stockpile to the extremist Jabhat al-Nusra group after crossing the Turkish border.
[00:56:21.317 --> 00:56:32.439]  Then as we've reported before, not only the FSA rebels, but the Jabhat al-Nusra jihadists go on to defect and join ISIS.
[00:56:32.739 --> 00:56:37.060]  So the Obama White House is lecturing Russia for killing ISIS jihadists,
[00:56:37.620 --> 00:56:42.122]  While they arm jihadists, who go on to join ISIS?
[00:56:42.882 --> 00:56:43.982]  Whose side are they on?
[00:56:44.622 --> 00:56:50.144]  And why do ISIS keep getting these bizarre heads up before US bombing raids?
[00:56:50.764 --> 00:56:56.826]  Why do we consistently see these articles about them conveniently finding caches of US weapons?
[00:56:57.206 --> 00:57:01.288]  The Russian Foreign Minister Lavrov came out on Sunday and basically said that
[00:57:02.269 --> 00:57:10.387]  ISIS militants in these key regions of Syria are getting warnings before these major bombing runs by US warplanes.
[00:57:11.041 --> 00:57:35.649]  So Russia is fighting ISIS, they're sending troops in to fight ISIS, China is now reportedly sending a warship, and yet Kerry is lecturing Russia about their actions leading to an increase in jihadists, when every single action that the Obama White House has took, including arming jihadist rebels that go on to join ISIS, has caused more extremists to flood the region.
[00:57:36.690 --> 00:57:57.782]  So again, this entire Syrian civil war, from the very beginning, was provocateured by the US and its allies in the region, directly as a result of arming these jihadists in the first place, who went on to transfer their weapons and their loyalty, their allegiance, to al-Nusra al-Qaeda affiliates, as well as ISIS itself.
[00:57:57.883 --> 00:58:03.326]  And yet now, Russia is taking the blame when they're actually trying to fight
[00:58:03.947 --> 00:58:09.541]  ISIS and trying to actually get the job done while Obama sits idly by.
[00:58:09.642 --> 00:58:11.587]  So again, it's the height of hypocrisy.
[00:58:12.571 --> 00:58:15.874]  That's going to wrap it up for the InfoWars Nightly News.
[00:58:16.274 --> 00:58:28.385]  You can check out my channel, which is Prison Planet Live, a lot of exclusive reports, as well as the Alex Jones channel, InfoWars.com, for all the latest breaking news.
[00:58:28.445 --> 00:58:31.068]  That has been the InfoWars Nightly News.
[00:58:31.108 --> 00:58:38.735]  Check out the radio show 11 to 2 tomorrow, and I'll be back hosting the fourth hour overdrive of the Alex Jones Show next week.
[00:58:39.316 --> 00:58:42.810]  So that wraps it up for InfoWars Nightly News.
[00:58:48.743 --> 00:58:51.725]  A clean, toxic-free body is the foundation of true health.
[00:58:52.005 --> 00:59:01.672]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:59:01.972 --> 00:59:07.196]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:59:07.296 --> 00:59:14.381]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others,
[00:59:14.701 --> 00:59:16.202]  Deep Cleanse doesn't hold back.
[00:59:16.442 --> 00:59:25.066]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:59:25.326 --> 00:59:32.229]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[00:59:32.409 --> 00:59:38.654]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[00:59:38.815 --> 00:59:43.559]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:59:43.739 --> 00:59:47.202]  That's InfoWarsLife.com, or call 888-253-3139.
[00:59:48.783 --> 00:59:52.726]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[00:59:52.787 --> 00:59:55.249]  Central at InfoWarsNews.com.
[00:59:55.369 --> 00:59:58.832]  And your support is helping us defend liberty worldwide.
